网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
天网智能线路,智慧城市通信系统,NB-IoT,中兴通讯,2021-03-10,中兴通讯,中兴通讯股份有限公司,企业用户,中国通信企业协会,http://www.china-cpte.com/,2024-09-11,,,,,,,,,
联动网,移动通信系统,4G LTE,电信集团,2016-05-20,电信集团,中国电信集团公司,大众用户,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-11,,,,,,,,,
互动云平台,云通信系统,VoIP,阿里巴巴,2020-11-18,阿里云,阿里巴巴集团控股有限公司,企业用户,中国电子信息产业发展研究院,https://www.ccidgroup.com/,2024-09-11,,,,,,,,,
全球卫星通信系统,卫星通信系统,GEO,中国卫星通信公司,2015-08-14,中国卫星,中国卫星通信集团公司,国际用户,国防科技工业局,http://www.miit.gov.cn/,2024-09-11,,,,,,,,,
边缘网络2.0,边缘计算通信系统,Edge Computing,思科系统公司,2022-02-22,思科,思科系统公司,企业用户,工信部网络安全管理局,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
光纤网络优化系统,宽带通信系统,FTTH,中国联通,2019-05-30,中国联通,中国联通股份有限公司,普通用户,中国网信网,https://www.cac.gov.cn/,2024-09-11,,,,,,,,,
智能家居无线网络,家庭通信系统,Zigbee,小米科技,2021-07-04,小米,小米科技有限公司,家庭用户,市场监督管理局,https://www.samr.gov.cn/,2024-09-11,,,,,,,,,
超高清视频传输网络,广播电视通信系统,8K TV,华数传媒,2022-10-10,华数传媒,华数传媒股份有限公司,大众用户,中国广播电视协会,http://www.cntv.cn/,2024-09-11,,,,,,,,,
中国电信5G云网,移动通信系统,5G NR,中国电信,2020-09-15,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
卫星宽带通信系统,卫星通信系统,Ka频段,中国卫星通信集团公司,2021-03-22,中国卫星,中国卫星通信集团有限公司,平民和边远地区用户,中国航天科技集团,https://www.cast.cn,2024-09-11,,,,,,,,,
FTTH光纤接入网络,宽带通信系统,光纤到户,中国联通,2022-01-10,中国联通,中国联合网络通信集团有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
NB-IoT物联网通信系统,物联网通信系统,NB-IoT,华为技术有限公司,2021-06-20,华为,华为技术有限公司,智能设备制造商,中国信息通信研究院,https://www.huawei.com,2024-09-11,,,,,,,,,
低轨道卫星网络,卫星通信系统,LEO,SpaceX,2023-04-12,SpaceX,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com,2024-09-11,,,,,,,,,
6G超高速网络,移动通信系统,6G,三星电子,2025-05-01,三星,三星电子有限公司,高端商业用户,韩国通信委员会,https://www.samsung.com,2024-09-11,,,,,,,,,
智能城市通信解决方案,综合通信系统,定制化,阿里巴巴集团,2023-01-15,阿里巴巴,阿里巴巴集团控股有限公司,城市管理者,阿里云,https://www.alibaba.com,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中科院国家天文台,2022-11-30,国家天文台,中国科学院,科研机构,中国科学院,http://www.casad.cas.cn,2024-09-11,,,,,,,,,
增强现实通信平台,AR通信系统,AR标准协议,Facebook（Meta）,2023-07-19,Meta,"Meta Platforms, Inc.",开发者,Meta官方网站,https://www.meta.com,2024-09-11,,,,,,,,,
长距离无线通信系统,无线通信系统,LoRa,Semtech Corporation,2022-12-05,Semtech,Semtech Corporation,物联网解决方案提供商,Semtech官方网站,https://www.semtech.com,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020-10-01,SpaceX,Space Exploration Technologies Corp.,普通用户,中国工业和信息化部,https://www.spacex.com,2024-09-11,,,,,,,,,
长城光纤通信系统,光纤通信系统,DWDM,中国电信,2022-03-15,中国电信,中国电信股份有限公司,企业用户,工信部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
京东智能物联网系统,物联网系统,NB-IoT,京东科技,2021-05-20,京东,北京京东世纪贸易有限公司,企业用户,中国电子商务研究中心,https://jd.com,2024-09-11,,,,,,,,,
边缘计算系统,云计算系统,Edge Computing,阿里巴巴,2023-07-30,阿里云,阿里巴巴集团,开发者,行业报告,https://cloud Alibaba.com,2024-09-11,,,,,,,,,
6G移动网络,移动通信系统,6G,华为技术有限公司,2025-01-01,华为,华为技术有限公司,普通用户,全球移动通信系统协会,https://www.gsma.com,2024-09-11,,,,,,,,,
智能家居网络系统,物联网系统,Zigbee,小米科技,2020-11-25,小米,北京小米科技有限责任公司,家庭用户,小米官网,https://www.mi.com,2024-09-11,,,,,,,,,
超高速光纤网络,光纤通信系统,10G,中国联通,2022-08-12,中国联通,中国联通股份有限公司,企业用户,光通信行业协会,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
企业私有云平台,云计算系统,Private Cloud,百度云,2021-09-10,百度,百度在线网络技术（北京）有限公司,企业用户,百度云官方,https://cloud.baidu.com,2024-09-11,,,,,,,,,
车联网通信平台,物联网系统,V2X,蔚来汽车,2023-02-14,蔚来,蔚来汽车有限公司,汽车用户,交通运输部,https://www.nio.com,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,Quantum Key Distribution,中科院,2024-03-30,中国科学院,中国科学院,科研用户,科技部,http://www.cas.cn,2024-09-11,,,,,,,,,
VoLTE高清声音服务,语音通信系统,VoLTE,中国移动,2015-12-10,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,
5G超高清电视,多媒体服务,5G,中国联通,2021-06-15,中国联通,中国联通股份有限公司,家庭用户,行业协会报告,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
卫星互联网项目,卫星通信系统,Starlink,SpaceX,2022-03-01,Starlink,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com,2024-09-11,,,,,,,,,
WiFi 6E无线网络,无线通信系统,WiFi 6E,高通技术公司,2020-09-01,高通,Qualcomm Incorporated,企业和家庭用户,无线电管理局,https://www.qualcomm.com,2024-09-11,,,,,,,,,
开放移动网络,移动通信系统,O-RAN,诺基亚,2021-05-20,诺基亚,Nokia Corporation,运营商,行业研究报告,https://www.nokia.com,2024-09-11,,,,,,,,,
智能物联网平台,物联网通信系统,NB-IoT,中兴通讯,2019-11-11,中兴,ZTE Corporation,工业用户,科技部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
无人机网络控制系统,无人机通信系统,4G/5G,大疆创新科技有限公司,2023-01-10,大疆创新,"DJI Technology Co., Ltd.",商业用户,行业协会,https://www.dji.com,2024-09-11,,,,,,,,,
边缘计算网络服务,边缘计算服务,Edge Computing,阿里云,2022-12-22,阿里巴巴,Alibaba Group Holding Limited,企业用户,云计算协会,https://www.aliyun.com,2024-09-11,,,,,,,,,
光纤到户FTTH解决方案,固定通信系统,FTTH,中国电信,2020-08-01,中国电信,中国电信股份有限公司,家庭用户,国家广播电视总局,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
智能城市通信平台,城市通信系统,Smart City,华为,2023-05-12,华为,华为技术有限公司,政府和社区,科技创新部,https://www.huawei.com,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020-11-12,SpaceX,SpaceX公司,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,
NextGen移动网络,移动通信系统,6G,京东集团,2023-01-15,京东,京东数字科技控股有限公司,车联网用户,工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
下一代光纤网络,光纤通信系统,10G PON,中兴通讯,2021-06-23,中兴,中兴通讯股份有限公司,商业用户,中国光通信行业协会,http://www.gochina.org,2024-09-11,,,,,,,,,
未来城市智能网络,综合通信系统,IoT标准,阿里巴巴,2022-05-10,阿里云,阿里巴巴集团,城市管理者,《智慧城市发展报告》,https://www.aliyun.com,2024-09-11,,,,,,,,,
超宽带通信系统,新的通信系统,UWB,博通,2021-09-15,博通有限公司,博通股份有限公司,家庭用户,IEEE协会,https://www.ieee.org,2024-09-11,,,,,,,,,
全球量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023-03-29,中国科学院,中国科学院量子通信实验室,政府机构,国际量子通信会议,https://www.ict.cn,2024-09-11,,,,,,,,,
智能家居网络,家庭网络系统,Zigbee,小米科技,2021-11-07,小米,小米科技有限公司,家庭用户,中国家电协会,http://www.cheaa.com,2024-09-11,,,,,,,,,
区块链通信系统,数据通信系统,DLT,比特大陆,2022-08-20,比特大陆,比特大陆科技有限公司,金融机构,区块链行业协会,http://www.btc.com,2024-09-11,,,,,,,,,
智能运输网络系统,物联网系统,V2X,百度自动驾驶,2022-12-01,百度,百度在线网络技术（北京）有限公司,交通管理者,中国智能交通协会,http://www.cits.org.cn,2024-09-11,,,,,,,,,
先进数据通信网络,固定通信系统,SDH,中兴通讯股份有限公司,2002-05-21,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
光纤宽带网络,固网宽带系统,FTTx,中国电信,2015-03-15,中国电信,中国电信股份有限公司,普通家庭,中国互联网信息中心,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
Wi-Fi 6,无线局域网,IEEE 802.11ax,华为技术有限公司,2020-07-01,华为,华为技术有限公司,全部用户,中国信息通信研究院,https://www.huawei.com,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2022-01-10,SpaceX,SpaceX,全球用户,国际电信联盟,https://www.spacex.com,2024-09-11,,,,,,,,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学院,2021-10-12,中国科学院,中国科学院,政府和科研机构,自然科学基金委员会,https://www.cas.cn,2024-09-11,,,,,,,,,
边缘计算网络,移动通信系统,Edge Computing,阿里巴巴集团,2022-03-22,阿里云,阿里巴巴集团,企业用户,阿里云技术文档,https://www.aliyun.com,2024-09-11,,,,,,,,,
车联网 ,移动通信系统,V2X,滴滴出行,2023/5/1,滴滴出行,滴滴出行科技有限公司,驾驶用户,中国交通运输部,https://www.didiglobal.com,2024-09-11,,,,,,,,,
智能家居通信网,物联网系统,Zigbee,小米科技,2020/9/10,小米,小米科技有限公司,家庭用户,国家市场监督管理总局,https://www.mi.com,2024-09-11,,,,,,,,,
高可用性网络,数据中心网络,SD-WAN,思科系统公司,2023/2/15,思科,思科系统公司,企业用户,网络工程技术协会,https://www.cisco.com,2024-09-11,,,,,,,,,
普遍接入网络,移动通信系统,6G,华为技术有限公司,2023/9/1,华为,华为技术有限公司,普通用户,国际电信联盟,https://www.huawei.com,2024-09-11,,,,,,,,,
5G E-UTRA,移动通信系统,5G NR,中兴通讯,2020/5/15,中兴,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
VoLTE服务,移动通信系统,LTE,中国广电,2021/3/8,中国广电,中国国家广播电视总局,普通用户,中国广电官网,https://www.cnbroadcasting.gov.cn,2024-09-11,,,,,,,,,
中国电信新一代网络,移动通信系统,5G,中国电信,2022/9/14,中国电信,中国电信股份有限公司,普通用户,中国电信官网,https://www.chinatelecom.cn,2024-09-11,,,,,,,,,
IoT网络平台,固定通信系统,NB-IoT,华为技术有限公司,2021/8/21,华为,华为技术有限公司,企业用户,华为官网,https://www.huawei.com,2024-09-11,,,,,,,,,
卫星宽带网络,固定通信系统,VSAT,中国卫通,2019/11/30,中国卫通,中国卫星通信集团公司,普通用户,中国卫通官网,https://www.china-satellite.com,2024-09-11,,,,,,,,,
星链卫星互联网,卫星通信系统,Starlink,SpaceX,2023/2/15,SpaceX,Space Exploration Technologies Corp,乡村用户,SpaceX官网,https://www.spacex.com,2024-09-11,,,,,,,,,
SDN网络架构,数据通信系统,SDN,思科系统公司,2022/4/5,思科,思科系统公司,企业用户,思科官网,https://www.cisco.com,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023/5/1,中国科学院,中国科学院,政府与军方,中国科学院官网,https://www.cas.cn,2024-09-11,,,,,,,,,
云通讯平台,云计算系统,WebRTC,阿里巴巴,2021/10/10,阿里云,阿里巴巴集团,企业用户,阿里巴巴官网,https://www.alibaba.com,2024-09-11,,,,,,,,,
边缘计算网络,边缘计算系统,Edge Computing,IBM公司,2023/1/12,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com,2024-09-11,,,,,,,,,
越南移动网络,移动通信系统,GSM,Viettel,2006/1/15,Viettel,越南军队电信集团,普通用户,越南信息与通信部,https://viettel.vn/,2024-09-11,,,,,,,,,
印度5G网络,移动通信系统,5G NR,Jio,2021/9/25,Reliance Jio,Reliance Industries Limited,普通用户,印度信息技术部,https://www.jio.com/,2024-09-11,,,,,,,,,
澳大利亚NB-IoT网络,物联网通信系统,NB-IoT,Telstra,2018/3/10,Telstra,Telstra Corporation Limited,企业用户,澳大利亚通信与媒体管理局,https://www.telstra.com.au/,2024-09-11,,,,,,,,,
日本超宽带网络,固定通信系统,光纤宽带,NTT,2015/6/12,NTT Corporation,日本电信电话公司,家庭用户,日本总务省,https://www.ntt.co.jp/,2024-09-11,,,,,,,,,
北美卫星通信系统,卫星通信系统,KU波段,SpaceX,2020/11/19,SpaceX,Space Exploration Technologies Corp.,企业与个人用户,美国联邦通信委员会,https://www.spacex.com/,2024-09-11,,,,,,,,,
巴西城市Wi-Fi,公共通信系统,Wi-Fi 6,Oi S.A.,2022/1/3,Oi,Oi S.A.（巴西电信公司）,城市居民,巴西国家电信局,https://www.oi.com.br/,2024-09-11,,,,,,,,,
意大利智能家居网络,物联网通信系统,Zigbee,Telecom Italia,2021/5/15,Telecom Italia,意大利电信公司,家庭用户,意大利通信局,https://www.telecomitalia.com/,2024-09-11,,,,,,,,,
德国车联网系统,车载通信系统,V2X,Volkswagen,2022/10/12,Volkswagen AG,大众汽车集团,汽车用户,德国交通部,https://www.volkswagen.com/,2024-09-11,,,,,,,,,
南非长距离通信网,长途通信系统,光纤网络,Telkom South Africa,2019/3/20,Telkom,南非电信公司,企业用户,南非通信局,https://www.telkom.co.za/,2024-09-11,,,,,,,,,
英国公共无线电网络,公共通信系统,4G LTE,BT Group,2020/7/5,BT,英国电信集团,普通用户,英国通信局,https://www.bt.com/,2024-09-11,,,,,,,,,
5G Star Network,移动通信系统,5G NR,中兴通讯,2020/11/15,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E,无线网络,Wi-Fi 6E,英特尔公司,2021/3/1,英特尔,英特尔科技（中国）有限公司,家庭用户,国家无线电监管机构,https://www.intel.com,2024-09-11,,,,,,,,,
Starlink卫星网络,卫星通信系统,卫星互联网,SpaceX,2021/5/1,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,FCC（美国联邦通信委员会）,https://www.spacex.com,2024-09-11,,,,,,,,,
Quantum Secure Communication,量子通信系统,量子密钥分发,中国科学技术大学,2022/9/15,中国科学技术大学,中国科学技术大学,科研机构,科技日报,https://www.stdaily.com,2024-09-11,,,,,,,,,
Private 5G Network,专用网络,5G,阿里巴巴,2023/1/10,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,中国信息产业网,https://www.aliyun.com,2024-09-11,,,,,,,,,
Smart IoT Network,物联网通信系统,NB-IoT,华为技术有限公司,2022/6/1,华为,华为技术有限公司,智能设备制造商,TechCrunch,https://techcrunch.com,2024-09-11,,,,,,,,,
Mobile Edge Computing Network,边缘计算网络,边缘计算,百度,2022/12/20,百度,百度在线网络技术（北京）有限公司,企业用户,人民日报,https://www.people.com.cn,2024-09-11,,,,,,,,,
Open RAN Network,开放无线接入网络,Open RAN,爱立信,2023/5/30,爱立信,爱立信（中国）有限公司,移动通信运营商,中国信息通信技术集团公司,https://www.ericsson.com,2024-09-11,,,,,,,,,
Hybrid Fiber-Coaxial Network,混合光纤同轴网络,HFC,中国广电,2021/8/10,中国广电,中国广播电视网络有限公司,普通用户,广电总局,http://www.sarft.gov.cn,2024-09-11,,,,,,,,,
智能物联网系统,物联网通信,LoRaWAN,阿里云,2021/5/15,阿里巴巴,阿里巴巴集团股份有限公司,企业用户,中国互联网协会,https://www.aliyun.com/,2024-09-11,,,,,,,,,
光纤综合接入系统,固定通信系统,基于GPON,中国广电,2020/9/17,中国广电,中国广播电视网络有限公司,家庭用户,中国工业和信息化部,https://www.chinacbn.com/,2024-09-11,,,,,,,,,
城市智能交通系统,智慧城市通信,C-V2X,中兴通讯,2022/3/2,中兴,中兴通讯股份有限公司,政府与企业,国家交通运输部,http://www.zte.com.cn/,2024-09-11,,,,,,,,,
下一代卫星通信系统,卫星通信,GEO-LEO混合,华为技术有限公司,2023/7/21,华为,华为技术有限公司,全球用户,中国通信研究院,https://www.huawei.com/,2024-09-11,,,,,,,,,
5G边缘计算网络,移动通信系统,5G EC,中国电信,2023/1/15,中国电信,中国电信股份有限公司,大型企业,中国信息通信研究院,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
3G互联网络,移动通信系统,WCDMA,中国联通,2010/10/1,中国联通,中国联通股份有限公司,普通用户,开放数据平台,https://www.chinaunicom.com/,2024-09-11,,,,,,,,,
基于SDN的网络架构,计算机网络,SDN,思科系统有限公司,2021/11/20,思科,思科系统有限公司,云服务提供商,全球互联网论坛,https://www.cisco.com/,2024-09-11,,,,,,,,,
虚拟现实通信系统,虚拟现实,VR Cloud,微软,2022/4/10,微软,微软公司,普通用户及企业,国际软件协会,https://www.microsoft.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信,量子密钥分发,中国科学技术大学,2023/9/12,中国科学技术大学,中国科学技术大学,实验室及科研机构,中国量子通信研究中心,http://www.ustc.edu.cn/,2024-09-11,,,,,,,,,
增强现实通信平台,增强现实,AR Cloud,字节跳动,2023/2/18,字节跳动,字节跳动有限公司,普通用户及企业,科技创新署,https://www.bytedance.com/,2024-09-11,,,,,,,,,
5G超宽带通信系统,移动通信系统,5G,中国联通,2020/1/15,中国联通,中国联通股份有限公司,商用企业,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2018/5/20,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2015/3/11,中国电信,中国电信股份有限公司,家庭用户,中国电信官网,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
家庭安防无线网络,无线通信系统,Zigbee,小米科技,2022/2/28,小米,小米科技有限责任公司,家庭用户,互联网科技评论,https://www.xiaomi.com/,2024-09-11,,,,,,,,,
卫星通信系统,卫星通信系统,C-band,中星微电子,2016/9/14,中星微电子,中星微电子股份有限公司,政府与企业用户,卫星通信协会,https://www.outlook.com/,2024-09-11,,,,,,,,,
加密通信系统,安全通信系统,Quantum Encryption,阿里巴巴,2023/7/20,阿里云,阿里巴巴集团控股有限公司,企业客户,阿里云官网,https://www.aliyun.com/,2024-09-11,,,,,,,,,
企业级SD-WAN网络,软件定义网络,SD-WAN,思科系统,2021/11/5,思科,思科系统有限公司,中小企业,思科官网,https://www.cisco.com/,2024-09-11,,,,,,,,,
虚拟现实通信系统,增强现实与虚拟现实,5G VR,Facebook Technologies,2023/8/15,Meta,"Meta Platforms, Inc.",游戏用户,虚拟现实日报,https://www.meta.com/,2024-09-11,,,,,,,,,
边缘计算通信系统,边缘计算,Edge Compute,亚马逊网络服务,2024/2/10,AWS,亚马逊公司,企业用户,云计算门户,https://aws.amazon.com/,2024-09-11,,,,,,,,,
区块链通信网络,区块链技术,Blockchain,IBM,2021/3/3,IBM,IBM公司,金融机构,IBM官网,https://www.ibm.com/,2024-09-11,,,,,,,,,
卫星通信网络,卫星通信系统,VSAT,中国卫通,2020/5/15,中国卫通,中国卫通股份有限公司,军事及科研机构,中国工业和信息化部,https://www.china-satcom.com,2024-09-11,,,,,,,,,
Wi-Fi 6,无线通信系统,802.11ax,TP-Link,2021/2/10,TP-Link,TP-Link科技有限公司,家庭与企业用户,中国网络安全与信息化委员会,https://www.tp-link.com,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022/9/23,中国科学院,中国科学院网络信息中心,政府与金融机构,中国科学院官方网站,https://www.cas.cn,2024-09-11,,,,,,,,,
低轨卫星互联网,卫星互联网,Ku频段,星链通信,2023/1/15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,中国工业和信息化部,https://www.spacex.com,2024-09-11,,,,,,,,,
5G专网,企业通信系统,5G NR,中兴通讯,2023/3/20,中兴通讯,中兴通讯股份有限公司,工业用户,中国信息通信研究院,http://www.cai.gov.cn,2024-09-11,,,,,,,,,
车联网通信系统,物联网系统,C-V2X,华为,2022/6/15,华为,华为技术有限公司,汽车制造商,中国汽车工业协会,http://www.cauto.org.cn,2024-09-11,,,,,,,,,
边缘计算网络,云计算系统,Edge Computing,阿里云,2023/8/1,阿里巴巴,阿里巴巴集团,企业用户,阿里云官网,https://www.aliyun.com,2024-09-11,,,,,,,,,
超宽带通信系统,无线通信系统,UWB,高通公司,2021/11/5,高通,高通股份有限公司,消费电子用户,高通官网,https://www.qualcomm.com,2024-09-11,,,,,,,,,
定向无线电台,无线通信系统,MIMO,摩托罗拉,2022/7/18,摩托罗拉,摩托罗拉解决方案公司,应急服务,摩托罗拉官网,https://www.motorolasolutions.com,2024-09-11,,,,,,,,,
5G高速移动互联网,移动通信系统,5G,中国联通,2020/9/15,中国联通,中国联通股份有限公司,普通用户,中国国家广播电视总局,https://www.nrta.gov.cn,2024-09-11,,,,,,,,,
VoLTE语音通话服务,移动通信系统,VoLTE,华为技术有限公司,2016/3/10,华为,华为技术有限公司,普通用户,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
高通量卫星通信系统,卫星通信系统,GEO,中星技术公司,2022/1/20,中星技术,中国卫星通信集团有限公司,企业用户,中国空间技术研究院,http://www.cast.cn,2024-09-11,,,,,,,,,
智能城市数据网络,物联网系统,LPWAN,阿里巴巴集团,2021/5/25,阿里云,阿里巴巴（中国）有限公司,政府及企业用户,中国工业和信息化部,http://www.miit.gov.cn,2024-09-11,,,,,,,,,
Wi-Fi 6无线路由,无线路由系统,Wi-Fi 6,TP-Link,2020/11/12,TP-Link,TP-Link科技有限公司,普通用户,中国信通院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
超宽带无线通信系统,固定无线访问系统,UWB,百度,2023/2/14,百度,百度公司,开发者与专业用户,中国互联网信息中心,https://www.cnnic.cn,2024-09-11,,,,,,,,,
NBIoT边缘网络,物联网系统,NBIoT,中国电信,2021/9/30,中国电信,中国电信股份有限公司,物联网应用开发者,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
低轨道卫星互联网,卫星通信系统,LEO,Starlink,2023/5/18,SpaceX,SpaceX公司,全球用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
光纤接入网络,光纤通信系统,GPON,中国广电,2022/8/5,中国广电网络股份有限公司,中国广电,住宅及企业用户,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
SDN云网络技术,云计算网络系统,SDN,京东科技,2023/1/27,京东,京东集团,企业与开发者,信息技术产业部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
5G Edge计算平台,移动通信系统,5G,中兴通讯股份有限公司,2021/5/15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,无线通信系统,Wi-Fi 6E,英特尔公司,2022/1/10,英特尔,英特尔公司,家庭与办公用户,市场研究报告,https://www.intel.com,2024-09-11,,,,,,,,,
STARLINK卫星网络,卫星通信系统,星链,SpaceX,2020/11/5,SpaceX,SpaceX公司,偏远地区用户,美国联邦通信委员会,https://www.spacex.com,2024-09-11,,,,,,,,,
光纤到户(FttH),固定通信系统,光纤,中国电信,2018/8/20,中国电信,中国电信股份有限公司,住宅用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019/2/28,华为,华为技术有限公司,物联网应用开发者,科技新闻媒体,https://www.huawei.com,2024-09-11,,,,,,,,,
超宽带(UWB)通信系统,无线通信系统,UWB,苹果公司,2020/11/10,苹果,苹果公司,智能设备用户,行业分析报告,https://www.apple.com,2024-09-11,,,,,,,,,
下一代移动通信网络(6G),未来网络,6G,中国移动,2023/3/1,中国移动,中国移动通信集团有限公司,研究机构和战略投资者,技术发展论坛,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,
超高清视频传输网络,媒体传输系统,4K/8K,小米科技,2022/9/12,小米,小米科技有限责任公司,娱乐用户,产业网络协会,https://www.mi.com,2024-09-11,,,,,,,,,
智能城市网络接口,城市基础设施,IoT集成,阿里巴巴集团,2021/12/15,阿里巴巴,阿里巴巴集团控股有限公司,城市管理者,行业研究机构,https://www.alibabagroup.com,2024-09-11,,,,,,,,,
5G超高速网络,移动通信系统,5G,中国移动,2020/8/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
NB-IoT网络,物联网系统,NB-IoT,华为技术有限公司,2017/11/1,华为,华为技术有限公司,企业用户,中国互联网信息中心,https://www.cnnic.net.cn,2024-09-11,,,,,,,,,
全球卫星互联网,卫星通信系统,Starlink,SpaceX,2020/4/5,SpaceX,Space Exploration Technologies Corp,偏远地区用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2016/9/12,中国电信,中国电信股份有限公司,家庭用户,中国通信工业协会,https://www.cai.org,2024-09-11,,,,,,,,,
VoWiFi网络,移动通信系统,VoWiFi,中国联通,2021/1/10,中国联通,中国联通股份有限公司,普通用户,中国互联网络信息中心,https://www.cnnic.net.cn,2024-09-11,,,,,,,,,
Wi-Fi 6网络,局域网通信,IEEE 802.11ax,新华三技术有限公司,2019/10/20,新华三,新华三技术有限公司,家庭及企业用户,中国信息通信技术集团有限公司,https://www.zte.com.cn,2024-09-11,,,,,,,,,
云计算网络,云服务系统,云计算,阿里巴巴集团,2018/6/30,阿里云,阿里巴巴网络技术有限公司,企业及开发者,中国云计算产业联盟,https://cloud.aliyun.com,2024-09-11,,,,,,,,,
区域5G网络,移动通信系统,5G,中国广播电视网络公司,2021/9/10,广电网络,中国广播电视网络公司,城市居民,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
智能城市通信平台,物联网系统,智慧城市,中兴通讯股份有限公司,2022/3/15,中兴,中兴通讯股份有限公司,政府及企业,城市智能化发展论坛,https://www.zte.com.cn,2024-09-11,,,,,,,,,
量子通信系统,量子通信,量子密钥分发,中国科学院,2023/1/5,中国科学院,中国科学院,科研机构及高端用户,中国科技信息研究所,https://www.cas.cn,2024-09-11,,,,,,,,,
NextGen卫星通信系统,卫星通信系统,Ku频段,中国卫通,2021/5/15,中国卫通,中国卫星通信集团公司,政府及企业用户,国家广播电视总局,https://www.cgtn.com,2024-09-11,,,,,,,,,
Wi-Fi 6E 网络,无线通信系统,802.11ax,高通,2020/12/10,高通,高通公司,普通用户及商业用户,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,
光纤接入网络,固定通信系统,GPON,中国电信,2017/11/20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
