机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
纳米级铣削机,0.001,±0.001 μm,Ra < 0.001 μm,高,7.5,g,中国纳米制造技术研究院,https://www.cnmti.org,,
超精密电动车床,0.006,±0.003 μm,Ra < 0.005 μm,高,6.0,g,中国自动化学会,https://www.caas.org.cn,,
微米级激光打标机,0.002,±0.001 μm,Ra < 0.003 μm,中,5.0,g,中国激光材料加工协会,https://www.clmwa.org,,
精密电火花加工机,0.007,±0.002 μm,Ra < 0.008 μm,中,4.8,g,中国电力工程学会,https://www.cpea.org.cn,,
超精密光刻机,0.001,±0.0005 μm,Ra < 0.001 μm,高,9.0,g,中国半导体行业协会,https://www.csia.org.cn,,
精密反向工程机,0.004,±0.002 μm,Ra < 0.007 μm,高,5.3,g,中国智能制造产业促进会,https://www.csmp.org.cn,,
超精密激光焊接机,0.005,±0.002 μm,Ra < 0.006 μm,中,4.0,g,中国焊接学会,https://www.cws.org.cn,,
多功能超精密机制,0.003,±0.001 μm,Ra < 0.002 μm,高,8.5,g,中国机械设备总公司,https://www.chequip.org.cn,,
超精密数字控制机,0.006,±0.003 μm,Ra < 0.005 μm,中,4.2,g,中国机电产品进出口商会,https://www.cccme.org.cn,,
超精密纤维激光机,0.001,±0.0008 μm,Ra < 0.002 μm,高,6.2,g,中国激光技术协会,https://www.clta.org.cn,,
超精密减速机,0.008,±0.004 μm,Ra < 0.007 μm,高,5.8,g,中国精密机械制造协会,https://www.cpmma.org,,
超精密放电加工机,0.003,±0.002 μm,Ra < 0.002 μm,高,7.0,g,中国先进制造技术研究院,https://www.camtc.org.cn,,
水刀切割机,0.016,±0.04 μm,Ra < 0.007 μm,中,3.2,g,国家机械工程学会,https://www.cmec.org.cn,,
超精密激光切割机,0.005,±0.008 μm,Ra < 0.006 μm,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密磨光机,0.007,±0.004 μm,Ra < 0.009 μm,中,4.5,g,中国机械工程学会,https://www.cmes.org,,
高精密CNC车床,0.004,±0.003 μm,Ra < 0.003 μm,高,8.0,g,行业自动化与信息化联盟,https://www.aimia.org.cn,,
超精密加工中心,0.002,±0.006 μm,Ra < 0.001 μm,高,9.0,g,中国数控机床协会,https://www.cncma.org.cn,,
激光清洗机,0.015,±0.01 μm,Ra < 0.007 μm,中,5.5,g,中国环境保护工业协会,https://www.cepa.org.cn,,
超精密铣刀,0.009,±0.002 μm,Ra < 0.005 μm,高,7.5,g,中国制造业信息化技术协会,https://www.icmtia.org.cn,,
数字化多功能磨床,0.008,±0.01 μm,Ra < 0.012 μm,中,4.0,g,中国机械加工技术协会,https://www.cmta.org.cn,,
精密铣削机,0.006,±0.005 μm,Ra < 0.016 μm,中,5.6,g,中国机械工具协会,https://www.cmta.org.cn,,
超精密激光焊接机,0.005,±0.006 μm,Ra < 0.003 μm,高,8.5,g,中国焊接协会,https://www.chinatianjian.org.cn,,
超精密车床,0.005,±0.007 μm,Ra < 0.009 μm,高,6.2,g,中国机械设备工程公司,https://www.ceec.net.cn,,
电火花线切割机,0.004,±0.002 μm,Ra < 0.004 μm,高,5.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密棒材加工机,0.002,±0.003 μm,Ra < 0.002 μm,中,6.0,g,中国智造产业发展协会,https://www.cida.org.cn,,
超精密压铸机,0.011,±0.009 μm,Ra < 0.001 μm,高,7.3,g,中国铸造协会,https://www.chinafoundry.org,,
精密气动切割机,0.007,±0.006 μm,Ra < 0.010 μm,中,4.7,g,中国气动工业协会,https://www.cpih.org.cn,,
高精度立式铣床,0.005,±0.002 μm,Ra < 0.011 μm,高,8.3,g,中国机械科学研究总院,https://www.csmri.ac.cn,,
超精密超声波切割机,0.008,±0.004 μm,Ra < 0.006 μm,高,5.8,g,中国超声波协会,https://www.chinaultrasonic.org,,
超精密磨具修整机,0.007,±0.005 μm,Ra < 0.006 μm,高,7.0,g,中国机械工具协会,https://www.cmta.org.cn,,
超精密光刻机,0.005,±0.002 μm,Ra < 0.004 μm,高,6.5,g,中国半导体行业协会,https://www.csiia.org.cn,,
超精密钻孔机,0.002,±0.001 μm,Ra < 0.003 μm,高,9.0,g,国家制造业创新中心,https://www.nmic.org.cn,,
超精密激光切割机,0.003,±0.004 μm,Ra < 0.007 μm,中,5.0,g,中国激光行业协会,https://www.chinalaser.org,,
超精密电子束焊接机,0.0025,±0.003 μm,Ra < 0.002 μm,高,8.0,g,华南科技大学先进制造中心,https://www.scut.edu.cn,,
超精密涂层机,0.006,±0.006 μm,Ra < 0.005 μm,中,4.5,g,中国表面处理工艺协会,https://www.cspca.org.cn,,
超精密刀具磨床,0.008,±0.007 μm,Ra < 0.010 μm,高,5.5,g,中国刀具工业协会,https://www.ctia.org.cn,,
超精密激光焊接机,0.004,±0.002 μm,Ra < 0.003 μm,高,7.5,g,国家焊接工程技术研究中心,https://www.nwerc.org.cn,,
超精密数控车床,0.009,±0.008 μm,Ra < 0.015 μm,中,4.0,g,中国机床协会,https://www.cma.org.cn,,
超精密光学抛光机,0.003,±0.001 μm,Ra < 0.002 μm,高,8.3,g,中国光学学会,https://www.chinesesocietyofoptics.org.cn,,
超精密成型机,0.012,±0.01 μm,Ra < 0.011 μm,中,3.0,g,中国机械工程学会,https://www.cmes.org,,
超精密喷涂设备,0.007,±0.004 μm,Ra < 0.008 μm,中,4.2,g,中国表面工程协会,https://www.csa.org.cn,,
超精密砂带磨机,0.006,±0.005 μm,Ra < 0.009 μm,中,3.8,g,国家磨削技术研究中心,https://www.ngtc.org.cn,,
超精密模具加工中心,0.008,±0.006 μm,Ra < 0.014 μm,高,6.2,g,中国模具工业协会,https://www.china-mould.com,,
超精密切削机,0.005,±0.003 μm,Ra < 0.006 μm,高,6.8,g,国家切削工具创新中心,https://www.nctc.org.cn,,
超精密薄膜沉积机,0.004,±0.002 μm,Ra < 0.005 μm,高,7.1,g,中国电子学会,https://www.ica.org.cn,,
超精密清洗机,0.002,±0.001 μm,Ra < 0.001 μm,高,8.5,g,中国先进制造技术协会,https://www.camt.org.cn,,
超精密微型车床,0.007,±0.008 μm,Ra < 0.005 μm,高,7.0,g,中国科学院合肥物质科学研究院,https://www.hfcas.ac.cn,,
超精密多轴加工中心,0.005,±0.02 μm,Ra < 0.007 μm,中,4.0,g,上海市机械工程学会,http://www.smme.org.cn,,
超精密钻孔机,0.003,±0.005 μm,Ra < 0.002 μm,高,6.0,g,中国机械视觉产业技术创新战略联合体,http://www.cvita.org.cn,,
超精密线切割机,0.01,±0.030 μm,Ra < 0.009 μm,中,5.5,g,中国智能科技协会,http://www.cista.org.cn,,
超精密激光切割机,0.002,±0.004 μm,Ra < 0.003 μm,高,8.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密磨光机,0.001,±0.009 μm,Ra < 0.006 μm,高,5.0,g,长沙理工大学,https://www.csust.edu.cn,,
超精密钣金切割机,0.009,±0.012 μm,Ra < 0.008 μm,中,3.5,g,北京机械与电子工程学院,http://www.biem.com.cn,,
超精密复合加工机,0.004,±0.007 μm,Ra < 0.010 μm,中,4.5,g,全国数字化制造技术创新战略联盟,http://www.nmdta.org.cn,,
超精密光学加工机,0.002,±0.003 μm,Ra < 0.001 μm,高,6.5,g,国家光电信息科学技术创新中心,http://www.ncip.org.cn,,
超精密粉末冶金机,0.006,±0.020 μm,Ra < 0.009 μm,中,5.0,g,中国粉末冶金工业协会,https://www.pmi.org.cn,,
超精密电火花机,0.005,±0.006 μm,Ra < 0.002 μm,高,7.0,g,中国电气工程学会,https://www.cee.org.cn,,
超精密微细加工机,0.003,±0.002 μm,Ra < 0.001 μm,高,8.0,g,中国微纳制造技术协会,http://www.cnmta.org.cn,,
超精密薄膜制备机,0.004,±0.001 μm,Ra < 0.002 μm,中,5.0,g,中国半导体器件协会,http://www.semiconductorresearch.org.cn,,
超精密CNC铣床,0.007,±0.005 μm,Ra < 0.004 μm,高,9.0,g,国家数控编程中心,http://www.cncc.org.cn,,
超精密铣削机床,0.001,±0.004 μm,Ra < 0.001 μm,高,4.0,g,中国机械工程研究院,http://www.cmem.org.cn,,
超精密非标机床,0.006,±0.008 μm,Ra < 0.003 μm,中,3.5,g,中国标准化研究院,http://www.cnis.gov.cn,,
超精密激光熔覆机,0.005,±0.009 μm,Ra < 0.002 μm,高,6.0,g,中国激光制造产业技术创新战略联盟,http://www.clmita.org.cn,,
超精密修整机,0.002,±0.011 μm,Ra < 0.013 μm,中,5.0,g,国家机械制造标准化中心,http://www.nmms.org.cn,,
超精密光刻机,0.003,±0.002 μm,Ra < 0.001 μm,高,7.0,g,中国半导体制造行业协会,https://www.csia.org.cn,,
精密线切割机,0.005,±0.007 μm,Ra < 0.012 μm,中,4.5,g,中国机械业联合会,https://www.cmia.org.cn,,
超精密电火花机,0.007,±0.005 μm,Ra < 0.006 μm,高,6.0,g,中国机电产品进出口商会,https://www.cccmme.org.cn,,
超精密激光切割机,0.001,±0.002 μm,Ra < 0.004 μm,高,8.0,g,中国激光产业技术创新战略联盟,http://www.clic.org.cn,,
超精密检验机,0.002,±0.001 μm,Ra < 0.003 μm,中,3.5,g,中国质量技术监督局,http://www.aqsiq.gov.cn,,
超精密数控铣床,0.004,±0.003 μm,Ra < 0.005 μm,高,5.5,g,全国机械工具行业协会,https://www.nmtia.org.cn,,
超精密磨削机,0.006,±0.008 μm,Ra < 0.007 μm,中,4.8,g,中国高端制造业协作会,http://www.chinahighendmanu.org,,
超精密切割机,0.009,±0.004 μm,Ra < 0.009 μm,中,3.9,g,中国智能数控设备协会,http://www.cisda.org,,
水刀切割机,0.016,±0.025 μm,Ra < 0.011 μm,中,2.5,g,全国机械制造标准化技术委员会,http://www.nmistc.org,,
超精密电流源机,0.005,±0.002 μm,Ra < 0.003 μm,高,6.5,g,中国电力科学研究院,http://www.cpri.cn,,
超精密车削机,0.007,±0.004 μm,Ra < 0.001 μm,高,7.5,g,中国自动化设备协会,http://www.caida.org.cn,,
超精密激光塑封机,0.002,±0.003 μm,Ra < 0.002 μm,中,4.0,g,中国高分子工程学会,http://www.chinapolymers.org.cn,,
精密铣削机器人,0.003,±0.002 μm,Ra < 0.005 μm,高,6.2,g,中国机器人产业联盟,http://www.cria.org.cn,,
超精密磨光机,0.008,±0.001 μm,Ra < 0.009 μm,中,5.1,g,中国精密工程学会,http://www.cpie.org.cn,,
精密切割激光机,0.004,±0.001 μm,Ra < 0.002 μm,高,6.8,g,中国激光科学与应用协会,http://www.clsa.org.cn,,
超精密铣床,0.005,±0.006 μm,Ra < 0.008 μm,高,5.9,g,中国加工制造技术研究院,http://www.cmmt.org.cn,,
精密光纤激光切割机,0.005,±0.002 μm,Ra < 0.007 μm,高,7.0,g,国家激光技术研究中心,https://www.nlaser.org,,
超高精度车床,0.003,±0.002 μm,Ra < 0.004 μm,高,9.0,g,机械工业联合会,https://www.mechunion.org,,
精密铣削机,0.008,±0.007 μm,Ra < 0.012 μm,中,4.0,g,中国制造业协会,https://www.cma.org.cn,,
微细电解加工机,0.002,±0.005 μm,Ra < 0.002 μm,中,6.0,g,中国电机工程学会,https://www.ceesc.org.cn,,
超精密微型铣床,0.007,±0.004 μm,Ra < 0.006 μm,高,10.0,g,中国科技部,https://www.most.gov.cn,,
激光增材制造机,0.012,±0.003 μm,Ra < 0.011 μm,中,5.0,g,中国3D打印产业联盟,http://www.3dprint.org.cn,,
超精密石材加工机,0.015,±0.008 μm,Ra < 0.017 μm,高,6.5,g,全国石材行业协会,http://www.china-stone.org,,
高精度数控磨床,0.004,±0.002 μm,Ra < 0.003 μm,高,8.0,g,中国机械设计协会,https://www.cmdesign.org.cn,,
电磁感应加热机,0.009,±0.003 μm,Ra < 0.001 μm,中,4.5,g,中国电器工业协会,http://www.ceia.org.cn,,
多功能超精密机床,0.006,±0.0005 μm,Ra < 0.002 μm,高,11.0,g,国际机床技术协会,http://www.imta.org,,
超精密激光打孔机,0.01,±0.002 μm,Ra < 0.005 μm,中,4.2,g,中国机械制造学会,http://www.cmmm.org,,
智能快打机床,0.007,±0.01 μm,Ra < 0.009 μm,高,5.5,g,中国自动化学会,http://www.caai.cn,,
射频超精密机床,0.005,±0.004 μm,Ra < 0.008 μm,中,3.5,g,国家电气传动技术研究中心,http://www.nedtc.org,,
纳米级超精密铣加工机,0.002,±0.001 μm,Ra < 0.001 μm,高,12.0,g,中国纳米技术发展研究中心,http://www.cnano.org,,
天文仪器加工机,0.006,±0.003 μm,Ra < 0.008 μm,中,6.0,g,中国科学院天文台,http://www.nao.cas.cn,,
新能源汽车精密加工机,0.005,±0.003 μm,Ra < 0.006 μm,高,7.5,g,中国新能源汽车产业协会,http://www.cnev.org.cn,,
半导体制造机床,0.002,±0.001 μm,Ra < 0.003 μm,高,9.5,g,中国半导体行业协会,http://www.csia.org.cn,,
超精密激光切割机,0.007,±0.012 μm,Ra < 0.006 μm,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密磨削机,0.009,±0.02 μm,Ra < 0.020 μm,中,4.5,g,广州机床工具协会,https://www.gzmt.org,,
超精密冲压机,0.005,±0.01 μm,Ra < 0.007 μm,高,6.0,g,全国金属加工协会,https://www.nmpa.org,,
超精密切割机,0.004,±0.006 μm,Ra < 0.002 μm,高,7.0,g,全国超精密技术研究中心,https://www.upa.org.cn,,
超精密加工中心,0.006,±0.007 μm,Ra < 0.005 μm,高,6.5,g,江苏省机械工程学会,https://www.jsgj.org,,
超精密CNC车床,0.003,±0.002 μm,Ra < 0.003 μm,高,8.0,g,中国CNC行业协会,https://www.cncia.org.cn,,
超精密干涉仪,0.001,±0.001 μm,Ra < 0.0005 μm,中,2.0,g,中国光学学会,https://www.cos.org.cn,,
超精密电加工机,0.005,±0.003 μm,Ra < 0.007 μm,高,5.0,g,国家电力设备公司,https://www.sgcc.com.cn,,
超精密注塑机,0.008,±0.005 μm,Ra < 0.012 μm,高,6.0,g,浙江省塑料工业协会,https://www.zjplastic.com,,
超精密数控铣刀机,0.004,±0.007 μm,Ra < 0.001 μm,中,4.0,g,全国机床设备标准化技术委员会,https://www.nbs.org.cn,,
水刀切割机,0.014,±0.02 μm,Ra < 0.009 μm,中,3.5,g,中国城市建设协会,https://www.chinabuild.org.cn,,
超精密喷砂机,0.006,±0.008 μm,Ra < 0.010 μm,高,5.5,g,中国喷砂行业协会,http://www.chinasandblasting.com,,
超精密微切割机,0.005,±0.003 μm,Ra < 0.002 μm,高,7.0,g,国家微电加工中心,https://www.nmem.org,,
超精密线切割机,0.007,±0.004 μm,Ra < 0.008 μm,中,4.0,g,天津市机床工具研究院,https://www.tjmt.org,,
超精密激光加工机,0.002,±0.005 μm,Ra < 0.006 μm,高,8.0,g,国家激光技术研究中心,https://www.nationallaser.org.cn,,
超精密混合加工机,0.009,±0.004 μm,Ra < 0.015 μm,中,6.5,g,中国机床工具质量监督检验中心,https://www.cmqc.org.cn,,
超精密数控激光机,0.003,±0.002 μm,Ra < 0.004 μm,高,7.5,g,西安机械工程学院,https://www.xjme.edu.cn,,
超精密激光切割机,0.005,±0.007 μm,Ra < 0.003 μm,高,7.0,g,中国机械制造协会,https://www.cma.org.cn,,
高速超精密铣床,0.007,±0.006 μm,Ra < 0.001 μm,高,6.5,g,工业和信息化部,https://www.miit.gov.cn,,
超精密冲压机,0.006,±0.008 μm,Ra < 0.007 μm,中,4.0,g,中国金属成形学会,https://www.cmfs.org,,
纳米级磨床,0.002,±0.002 μm,Ra < 0.0005 μm,高,6.0,g,中国纳米科学技术发展研究中心,http://www.china-nano.org,,
超精密电加工机,0.004,±0.004 μm,Ra < 0.002 μm,高,5.5,g,中国电力电子学会,http://www.ciee.org,,
微米级车床,0.008,±0.009 μm,Ra < 0.003 μm,中,3.5,g,高级制造技术研究所,https://www.advancedmfgtech.org,,
超精密切割机,0.005,±0.006 μm,Ra < 0.004 μm,高,7.0,g,中国材料研究协会,https://www.cmbg.org.cn,,
超精密激光加工中心,0.003,±0.002 μm,Ra < 0.001 μm,高,6.0,g,中国激光技术学会,https://www.clta.org.cn,,
超精密数控机床,0.006,±0.005 μm,Ra < 0.006 μm,中,4.5,g,中国机床协会,https://www.cmt.org.cn,,
超精密粉末冶金机,0.009,±0.010 μm,Ra < 0.005 μm,中,4.0,g,中国粉末冶金工业协会,https://www.pmia.org.cn,,
超精密光刻机,0.015,±0.005 μm,Ra < 0.002 μm,高,8.0,g,中国半导体设备协会,http://www.csda.org.cn,,
超精密电子束曝光机,0.003,±0.001 μm,Ra < 0.003 μm,高,5.2,g,中国电子学会,http://www.ieee.org.cn,,
超精密凝聚态物理机,0.004,±0.002 μm,Ra < 0.001 μm,高,6.8,g,中国物理学会,http://www.cps.org.cn,,
超精密模具铣削机,0.007,±0.007 μm,Ra < 0.003 μm,中,5.3,g,中国模具工业协会,http://www.chinamolding.org,,
超精密热处理机,0.005,±0.006 μm,Ra < 0.004 μm,中,4.2,g,中国热处理学会,http://www.cshh.org.cn,,
超精密器件测试机,0.002,±0.003 μm,Ra < 0.002 μm,高,7.5,g,国家质量监督检验检疫局,http://www.aqsiq.gov.cn,,
超精密沉积机,0.008,±0.009 μm,Ra < 0.006 μm,高,5.9,g,中国材料工程学会,http://www.cme.org.cn,,
超精密切削机,0.005,±0.002 μm,Ra < 0.006 μm,高,7.0,g,中国机械科学院,https://www.camsc.org.cn,,
超精密电加工机,0.005,±0.007 μm,Ra < 0.007 μm,中,4.5,g,中国电子科技集团,https://www.cetc.com.cn,,
超精密冲压机,0.008,±0.01 μm,Ra < 0.012 μm,中,5.5,g,中国金属加工协会,https://www.cmtia.org.cn,,
超精密插铣机,0.007,±0.004 μm,Ra < 0.009 μm,高,6.5,g,中国先进制造技术研究院,https://www.camtr.org.cn,,
超精密线切割机,0.009,±0.006 μm,Ra < 0.007 μm,高,4.0,g,中国工业和信息化部,https://www.miit.gov.cn,,
水刀切割机,0.016,±0.04 μm,Ra < 0.011 μm,中,2.8,g,国际水切割技术协会,http://www.wjta.org,,
超精密激光加工机,0.001,±0.002 μm,Ra < 0.003 μm,高,8.0,g,中国激光行业协会,https://www.clia.org.cn,,
超精密数控铣床,0.006,±0.005 μm,Ra < 0.013 μm,高,5.0,g,国家制造业综合标准化技术委员会,https://www.sac.gov.cn,,
超精密成型机,0.002,±0.006 μm,Ra < 0.005 μm,中,4.0,g,中国塑料加工工业协会,https://www.cpiia.org.cn,,
超精密焊接机,0.003,±0.001 μm,Ra < 0.002 μm,高,9.0,g,中国焊接学会,https://www.cws.org.cn,,
超精密喷涂机,0.007,±0.003 μm,Ra < 0.006 μm,中,5.5,g,中国涂装协会,https://www.coa.org.cn,,
超精密试验机,0.004,±0.002 μm,Ra < 0.001 μm,高,6.0,g,中国实验设备行业协会,https://www.china-instruments.org,,
超精密滚切机,0.005,±0.003 μm,Ra < 0.007 μm,中,5.0,g,中国机床设备制造工业协会,https://www.cdmia.org,,
超精密玻璃加工机,0.001,±0.01 μm,Ra < 0.004 μm,高,8.5,g,中国玻璃协会,https://www.chinaglass.org,,
超精密声学机,0.009,±0.002 μm,Ra < 0.008 μm,高,7.0,g,中国声学学会,https://www.caa-audio.org,,
超精密气体切割机,0.012,±0.008 μm,Ra < 0.015 μm,中,3.5,g,中国气体设备行业协会,https://www.cga.org.cn,,
超精密清洗机,0.002,±0.004 μm,Ra < 0.003 μm,高,6.2,g,中国清洗设备行业协会,https://www.cda.org.cn,,
超精密铸造机,0.009,±0.005 μm,Ra < 0.006 μm,中,4.0,g,中国铸造协会,https://www foundry.org.cn,,
超精密激光切割机,0.002,±0.005 μm,Ra < 0.006 μm,高,7.5,g,中国光电产业协会,https://www.copta.org.cn,,
超精密CNC铣削机,0.005,±0.007 μm,Ra < 0.012 μm,中,4.5,g,中国数控机床行业协会,https://www.cncmachine.org,,
超精密微米磨床,0.003,±0.004 μm,Ra < 0.009 μm,高,6.0,g,国际超精密加工协会,https://www.internationalppma.org,,
超精密电火花加工中心,0.007,±0.002 μm,Ra < 0.003 μm,中,5.5,g,中国电气工程学会,https://www.csee.org.cn,,
超精密水刀机,0.014,±0.02 μm,Ra < 0.009 μm,中,3.5,g,中国机械制造系统工程研究中心,https://www.cmsmec.org,,
超精密光刻机,0.001,±0.003 μm,Ra < 0.002 μm,高,8.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密轧床,0.006,±0.005 μm,Ra < 0.01 μm,中,4.2,g,中国机械工程学会,https://www.cmes.org,,
超精密插中心,0.009,±0.006 μm,Ra < 0.011 μm,中,5.0,g,中国先进制造协会,https://www.cim.org.cn,,
超精密车削机,0.004,±0.008 μm,Ra < 0.016 μm,高,7.0,g,国家机器人技术研究中心,https://www.nationalrobotics.org.cn,,
超精密精密磨床,0.003,±0.005 μm,Ra < 0.007 μm,高,6.5,g,中国精密表面加工协会,https://www.cpsa.org.cn,,
水刀切割机,0.012,±0.03 μm,Ra < 0.008 μm,中,4.0,g,中国高科技产业协会,https://www.chinahightech.org.cn,,
超精密激光成型机,0.002,±0.004 μm,Ra < 0.005 μm,高,8.5,g,薄膜与材料加工研究院,https://www.mrfp.org.cn,,
超精密数控磨床,0.006,±0.002 μm,Ra < 0.013 μm,中,4.8,g,中国机械科技发展研究院,https://www.cmtd.org.cn,,
超精密齿轮加工机,0.009,±0.001 μm,Ra < 0.017 μm,高,7.0,g,中国机械部件标准化技术委员会,https://www.cmsbt.org.cn,,
超精密铣削机,0.007,±0.006 μm,Ra < 0.014 μm,中,3.8,g,中国国际机床展览会,https://www.cimtexpo.com,,
超精密电子束加工机,0.002,±0.0005 μm,Ra < 0.008 μm,高,9.0,g,中国电子工业协会,https://www.ciea.org.cn,,
超精密镀膜机,0.004,±0.007 μm,Ra < 0.003 μm,中,4.3,g,中国材料研究学会,https://www.cams.org.cn,,
超精密喷涂机,0.005,±0.003 μm,Ra < 0.006 μm,高,6.0,g,中国表面工程协会,https://www.csia.org.cn,,
超精密热处理机,0.008,±0.005 μm,Ra < 0.011 μm,中,5.7,g,中国热处理协会,https://www.cba.org.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.001 μm,高,7.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密铣床,0.007,±0.01 μm,Ra < 0.012 μm,高,6.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密线切割机,0.005,±0.008 μm,Ra < 0.007 μm,中,4.5,g,中国机械工程学会,https://www.cmes.org,,
超精密电铸机,0.003,±0.002 μm,Ra < 0.002 μm,高,6.0,g,中国电力科学研究院,http://www.cpri.cn,,
超精密超声波清洗机,0.004,±0.003 μm,Ra < 0.009 μm,中,3.5,g,全国工业自动化协会,https://www.cnia.org,,
超精密抛光机,0.008,±0.007 μm,Ra < 0.015 μm,中,5.5,g,中国精密制造行业协会,https://www.cpmia.org.cn,,
超精密激光切割机,0.001,±0.001 μm,Ra < 0.006 μm,高,8.0,g,中国激光工业协会,https://www.clia.org.cn,,
超精密珩磨机,0.009,±0.015 μm,Ra < 0.017 μm,低,2.5,g,中国机械制造业报告研究中心,http://www.cmmt.net,,
超精密切割机,0.006,±0.004 μm,Ra < 0.003 μm,高,7.0,g,全国刀具工具标准化技术委员会,https://www.ntsi.org,,
超精密磨削机,0.005,±0.002 μm,Ra < 0.004 μm,高,6.0,g,中国磨具磨料工业协会,http://www.grind.org.cn,,
超精密激光焊接机,0.002,±0.006 μm,Ra < 0.005 μm,高,7.0,g,中国焊接协会,https://www.cwa.org.cn,,
超精密射出成型机,0.003,±0.001 μm,Ra < 0.002 μm,高,4.5,g,中国塑料机械工业协会,http://www.cpma.org.cn,,
超精密组合机床,0.007,±0.009 μm,Ra < 0.008 μm,中,4.0,g,中国机床协会,http://www.china-machine-tool.com,,
超精密电焊机,0.001,±0.003 μm,Ra < 0.0005 μm,高,7.5,g,中国机器人产业联盟,http://www.robotics.org.cn,,
超精密数控雕刻机,0.006,±0.02 μm,Ra < 0.009 μm,中,3.0,g,中国数控机床研究院,http://www.cnc.cn,,
超精密钣金机,0.01,±0.007 μm,Ra < 0.003 μm,高,8.0,g,中国金属加工协会,http://www.cmp.org.cn,,
超精密流水线设备,0.004,±0.006 μm,Ra < 0.002 μm,低,2.0,g,中国智能制造产业技术创新战略联合体,http://www.cimta.org.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.003 μm,高,7.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密水切割机,0.015,±0.025 μm,Ra < 0.009 μm,中,4.0,g,全国机械标准化技术委员会,https://www.nsia.org.cn,,
超精密成型机,0.005,±0.02 μm,Ra < 0.007 μm,中,6.0,g,中国工程机械协会,https://www.ceca.org.cn,,
超精密3D打印机,0.003,±0.008 μm,Ra < 0.004 μm,高,5.5,g,中国增材制造技术创新战略联盟,http://www.amtech.org.cn,,
超精密超声波清洗机,0.007,±0.012 μm,Ra < 0.006 μm,中,4.5,g,中国清洗行业协会,https://www.cleantech.org.cn,,
超精密激光焊接机,0.004,±0.006 μm,Ra < 0.012 μm,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密平面磨床,0.006,±0.007 μm,Ra < 0.01 μm,高,5.0,g,中国机械工程学会,https://www.cmes.org,,
超精密数控车床,0.005,±0.007 μm,Ra < 0.008 μm,中,7.0,g,中国数控机床工业协会,https://www.cnc.org.cn,,
超精密电化学加工机,0.008,±0.004 μm,Ra < 0.015 μm,高,5.0,g,中国精密制造网,https://www.cpm.org.cn,,
超精密表面处理机,0.007,±0.009 μm,Ra < 0.005 μm,中,4.0,g,中国表面工程学会,https://www.cse.org.cn,,
超精密电火花成形机,0.008,±0.003 μm,Ra < 0.005 μm,高,5.2,g,中国电力设备管理公司,https://www.sgcc.com.cn,,
超精密切割成形机,0.009,±0.006 μm,Ra < 0.007 μm,中,5.0,g,中国通用机械工业协会,http://www.cgma.org.cn,,
超精密微机械加工机,0.002,±0.002 μm,Ra < 0.003 μm,高,6.5,g,中国微制造技术协会,https://www.micromfg.org.cn,,
超精密激光深雕机,0.001,±0.009 μm,Ra < 0.002 μm,高,8.0,g,中国激光加工技术协会,https://www.laser.org.cn,,
超精密复合加工机,0.004,±0.005 μm,Ra < 0.001 μm,高,5.5,g,中国机械自动化工业协会,https://www.caia.org.cn,,
超精密数控铣床,0.003,±0.018 μm,Ra < 0.016 μm,中,7.0,g,中国机床工具协会,https://www.cmtia.org.cn,,
超精密钻孔机,0.006,±0.01 μm,Ra < 0.005 μm,高,6.0,g,中国钻孔技术研究会,https://www.cdr.org.cn,,
超精密筒形研磨机,0.01,±0.009 μm,Ra < 0.008 μm,中,4.5,g,中国磨削技术协会,http://www.grindingtech.org.cn,,
超精密电流成形机,0.008,±0.006 μm,Ra < 0.006 μm,高,5.8,g,中国电子机械行业协会,http://www.electromechanical.org.cn,,
高精度电火花机,0.007,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国电子工程师协会,https://www.ceea.org.cn,,
超精密激光切割机,0.002,±0.008 μm,Ra < 0.006 μm,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密铣削机,0.005,±0.004 μm,Ra < 0.017 μm,中,4.5,g,机械科学研究总院,https://www.msi.org.cn,,
超精密数控车床,0.003,±0.002 μm,Ra < 0.001 μm,高,6.6,g,中国机床工具协会,https://www.cmta.org.cn,,
纳米磨床,0.002,±0.005 μm,Ra < 0.005 μm,低,4.0,g,中国纳米技术行业协会,https://www.cnans.org.cn,,
超精密光刻机,0.001,±0.001 μm,Ra < 0.002 μm,高,5.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密线切割机,0.006,±0.007 μm,Ra < 0.009 μm,中,4.2,g,中国金属加工协会,https://www.cmma.org.cn,,
