产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注
水刀切割机,广州智能水刀有限公司,9500,1600,±0.014,±0.006,±0.021,±0.011,广东省切割技术协会,https://www.guangdongcutting.org,,
数控加工中心,珠海高端制造公司,13000,2000,±0.01,±0.005,±0.018,±0.008,广东省智能制造协会,http://www.gdsmartmanufacturing.org,,
数控铣床,无锡瑞鑫机械有限公司,6000,1400,±0.019,±0.009,±0.026,±0.014,江苏省机电工程协会,http://www.wxme.org,,
数控激光切割机,杭州激光器有限公司,11000,2000,±0.015,±0.007,±0.02,±0.011,浙江省激光行业科技协会,https://www.zjlaser.org,,
数控车床,长春市机床设备有限公司,7000,1300,±0.022,±0.012,±0.028,±0.015,吉林省机床制造商联合会,http://www.jlmachines.org,,
数控冲床,广西机械制造有限公司,450,900,±0.020,±0.013,±0.034,±0.016,广西生产力促进中心,http://www.gxpl.gov.cn,,
数控折弯机,郑州机械工具有限公司,3600,1200,±0.025,±0.015,±0.03,±0.018,河南省自动化装备协会,http://www.henaiautomation.org,,
数控磨床,烟台精密机械厂,7800,700,±0.012,±0.004,±0.017,±0.009,山东省机械工程协会,http://www.yantaimechanical.org,,
高速切削机,太原智能制造中心,21000,850,±0.008,±0.002,±0.019,±0.006,山西省高技术产业协会,http://www.sthightech.org,,
数控车床,成都机械工具有限公司,7500,1300,±0.012,±0.006,±0.020,±0.013,四川省机械工业协会,http://www.scmech.org,,
数控激光切割机,杭州激光科技有限公司,12000,2000,±0.005,±0.002,±0.010,±0.005,浙江省智能制造协会,https://www.zjmm.org,,
数控铣床,天津现代机床制造有限公司,10000,900,±0.015,±0.004,±0.020,±0.010,天津市机械工程协会,http://www.tjmech.com,,
数控冲床,厦门金属成型设备有限公司,500,800,±0.030,±0.012,±0.050,±0.025,福建省机械制造协会,https://www.fujianmachinery.org,,
数控线切割机,东莞市数控设备有限公司,2000,1500,±0.020,±0.010,±0.025,±0.015,广东省智能设备协会,http://www.guangdongmachine.org,,
数控弯管机,南京机床股份有限公司,3000,600,±0.018,±0.008,±0.030,±0.015,江苏省管道工程协会,http://www.jspipe.org,,
超高压水刀,上海精工机械有限公司,9500,1600,±0.011,±0.007,±0.020,±0.009,上海机器制造行业联盟,https://www.shmachinery.org,,
数控钻床,苏州华东机床有限公司,8000,1000,±0.022,±0.005,±0.032,±0.014,江苏省机械工程协会,https://www.jiangsuengineering.org,,
数控切割机,武汉精密机床有限公司,4000,1200,±0.020,±0.011,±0.027,±0.012,湖北省机械工业局,http://www.hbmi.gov.cn,,
数控喷涂机,广州喷涂设备制造有限公司,5000,750,±0.015,±0.008,±0.021,±0.013,广东省喷涂行业协会,https://www.gdpaint.org,,
数控薄板机,沈阳薄板制造有限公司,6000,1100,±0.013,±0.006,±0.019,±0.010,辽宁省金属加工行业协会,http://www.lnmetal.org,,
数控模型加工机,青岛机械数字化有限公司,3000,1400,±0.020,±0.010,±0.028,±0.014,山东省制造业协会,http://www.shandongmanufacturing.org,,
数控冲压机,合肥机器制造有限公司,650,1000,±0.040,±0.020,±0.045,±0.023,安徽省工业管理局,http://www.ahindustry.org,,
精密锯切机,郑州新兴机床科技有限公司,2200,950,±0.017,±0.009,±0.020,±0.012,河南省冶金与机械协会,https://www.hnmachinery.org,,
CNC复合机,昆明先进机械制造有限公司,7500,1250,±0.015,±0.008,±0.019,±0.011,云南省机械协会,http://www.ynmachinery.org,,
数控切管机,贵阳管道设备有限公司,4200,980,±0.020,±0.009,±0.030,±0.015,贵州省机电行业协会,https://www.gzmech.org,,
数控铸造机,兰州铸造机械有限公司,1800,800,±0.025,±0.012,±0.020,±0.014,甘肃省机械工业局,http://www.gansuindustry.org,,
数控激光切割机,武汉激光科技有限公司,10000,1500,±0.01,±0.005,±0.02,±0.01,湖北省机电协会,http://www.hbmachinery.org,,
数控铣床,哈尔滨铣刀有限公司,5000,1000,±0.015,±0.006,±0.03,±0.014,黑龙江省机械制造同业公会,http://www.hljmachinery.com,,
数控光纤激光切割机,深圳光电科技有限公司,12000,2000,±0.005,±0.002,±0.015,±0.005,广东省高新技术协会,http://www.guangdongtech.org,,
数控多功能小型车床,长春机器设备有限公司,4000,700,±0.02,±0.008,±0.028,±0.013,吉林机械工业协会,http://www.jilinmachinery.com,,
数控水刀切割机,南京水刀科技有限公司,8500,1800,±0.02,±0.009,±0.025,±0.012,江苏省切割技术协会,https://www.jiangcutting.org,,
数控车床,上海华东机床有限公司,9000,1500,±0.014,±0.007,±0.02,±0.01,上海机电应用协会,https://www.shmachinery.org,,
高精度数控铣床,广州精密机械有限公司,11000,1200,±0.008,±0.004,±0.02,±0.009,广东省机械制造业协会,https://www.guangdongmachining.com,,
智能化数控冲床,重庆数控设备有限公司,700,800,±0.03,±0.015,±0.04,±0.018,重庆市工业协会,https://www.cqindustry.org,,
数控折弯机,合肥机床制造有限公司,3500,1000,±0.025,±0.012,±0.03,±0.015,安徽省机电行业协会,http://www.ahmech.com,,
数控折弯机,沈阳机床集团,3000,1500,±0.02,±0.01,±0.027,±0.014,辽宁省机械工程学会,https://www.lnme.org,,
数控磨床,大连数控机床有限公司,6000,950,±0.022,±0.011,±0.02,±0.009,大连海事业机械研究所,http://www.dalianresearch.org,,
数控激光打标机,西安激光设备有限公司,7000,500,±0.015,±0.007,±0.015,±0.006,陕西激光技术协会,http://www.lasershanxi.org,,
数控水刀切割机,天津水刀科技有限公司,8000,1700,±0.01,±0.005,±0.022,±0.012,天津市机械制造协会,http://www.tianjinmachine.com,,
数控打孔机,福州数控设备有限公司,6000,1200,±0.018,±0.007,±0.025,±0.013,福建省机械工程协会,http://www.fujianmech.org,,
数控切割机,上海精密机床有限公司,9500,1600,±0.027,±0.013,±0.03,±0.015,上海机械工业协会,http://www.shmachineryassociation.com,,
数控车床,青岛数控设备有限公司,7500,1400,±0.016,±0.008,±0.02,±0.01,青岛机械工程学会,http://www.qdmech.com,,
高精度数控钻床,南昌机械制造有限公司,6500,950,±0.012,±0.006,±0.027,±0.013,江西省机电协会,http://www.jxmech.com,,
数控雕刻机,沈阳雕刻机床公司,4000,1300,±0.020,±0.010,±0.030,±0.015,辽宁省雕刻技术协会,http://www.liaoningcarve.com,,
数控铣床,沈阳机床集团,12000,800,±0.008,±0.004,±0.02,±0.01,沈阳机械科学研究院,http://www.symech.org,,
数控折弯机,合肥机械设备有限公司,4000,1000,±0.015,±0.007,±0.035,±0.015,安徽省科技厅,http://www.ahsti.gov.cn,,
数控钻床,佛山数控机械有限公司,5000,600,±0.012,±0.006,±0.022,±0.011,广东省机械行业协会,http://www.gdmachinery.org,,
数控车床,上海华东机床厂,10000,1200,±0.005,±0.003,±0.02,±0.009,上海市机械工程协会,http://www.shme.org.cn,,
数控放电加工机,北京精密机械有限公司,3000,650,±0.007,±0.004,±0.018,±0.008,北京市数控机床供应链联盟,http://www.bjcnc.org,,
数控激光切割机,宁波激光科技发展有限公司,8000,1600,±0.02,±0.01,±0.03,±0.015,浙江省机械创意中心,http://www.zjmachinery.com,,
数控平面磨床,武汉磨床制造有限公司,6000,900,±0.01,±0.005,±0.025,±0.012,湖北省机械行业协会,http://www.hbme.org.cn,,
数控雕刻机,郑州多功能机床有限公司,12000,700,±0.006,±0.003,±0.02,±0.008,郑州市工业&信息化局,http://www.zzi.gov.cn,,
数控水刀切割机,温州水切割设备厂,7000,1400,±0.016,±0.008,±0.028,±0.013,温州市刀具行业协会,http://www.wenzhoutools.org,,
数控石材加工机,厦门石材机床厂,4000,1200,±0.02,±0.009,±0.03,±0.014,福建省石材行业协会,http://www.fujianstone.org,,
数控电火花机,青岛电火花机床制造公司,5000,800,±0.01,±0.007,±0.02,±0.009,青岛市机械工程学会,http://www.qdme.org.cn,,
数控转台,南昌高精度机床有限公司,9000,1100,±0.018,±0.009,±0.024,±0.010,江西省机械制造商协会,http://www.jxmachinery.org,,
数控组合机床,大连数控技术有限公司,3500,1500,±0.020,±0.011,±0.028,±0.012,辽宁省智能制造推进会,http://www.liaoningcmi.org,,
数控激光焊接机,上海激光技术有限公司,6000,2000,±0.008,±0.004,±0.022,±0.011,上海市激光协会,http://www.shlaser.org,,
高速数控铣床,哈尔滨重型机械厂,15000,900,±0.015,±0.007,±0.025,±0.015,黑龙江省机电行业协会,http://www.hljsme.org.cn,,
数控折弯机,南通激光机床有限公司,8000,1500,±0.014,±0.006,±0.023,±0.012,江苏省科技厅,http://www.jst.gov.cn,,
数控铣床,常州数控机械厂,10500,1200,±0.009,±0.005,±0.021,±0.010,江苏省智能制造协会,http://www.jsim.org,,
数控冲床,南昌精密机床公司,700,1300,±0.030,±0.014,±0.032,±0.015,江西省机电一体化协会,http://www.jxme.org,,
数控车床,山东数控机械有限公司,7000,1500,±0.01,±0.005,±0.02,±0.009,山东省机械制造协会,https://www.sdmachinery.org,,
数控铣床,南京高新机械科技有限公司,12000,1000,±0.012,±0.006,±0.018,±0.010,江苏省创新科技论坛,http://www.jscnforum.org,,
数控冲床,长沙机床股份有限公司,500,800,±0.028,±0.015,±0.035,±0.018,湖南省工业和信息化厅,http://www.hunan.gov.cn,,
数控激光切割机,武汉激光设备有限责任公司,10000,1200,±0.020,±0.008,±0.015,±0.006,湖北省激光技术应用协会,http://www.hubeilaser.org,,
数控铣床,上海机电设备公司,9000,900,±0.014,±0.007,±0.022,±0.011,上海机械工程协会,https://www.sme-shanghai.org,,
数控折弯机,天津先进制造公司,4000,1100,±0.021,±0.008,±0.027,±0.013,天津市科技局,http://www.tianjin.gov.cn,,
数控切割机,郑州创新设备有限公司,5500,1300,±0.019,±0.010,±0.021,±0.015,河南省工业发展协会,http://www.henanindustry.org,,
数控水刀机,青岛水刀技术有限公司,9500,1400,±0.017,±0.008,±0.020,±0.012,青岛科技发展局,http://www.qdscience.gov.cn,,
数控火焰切割机,合肥金属加工有限公司,7500,1600,±0.029,±0.014,±0.023,±0.011,安徽省机械设备协会,http://www.ahmachinery.org,,
数控线切割机,成都数控设备有限公司,6000,1000,±0.015,±0.009,±0.024,±0.013,四川省机械行业协会,http://www.scmachinery.org,,
数控电火花成型机,厦门电气设备有限公司,8000,1200,±0.025,±0.015,±0.032,±0.016,福建省电气工程学会,http://www.fujianinse.com,,
数控磨床,哈尔滨机械设计院,3000,900,±0.026,±0.014,±0.021,±0.010,黑龙江省机械工业协会,http://www.hljmech.org,,
数控洗床机,宁波机械精工有限公司,9800,1500,±0.012,±0.008,±0.029,±0.015,浙江省机械制造行业协会,http://www.zjmachinery.org,,
数控多轴机床,沈阳机床股份有限公司,7200,1300,±0.018,±0.011,±0.022,±0.009,辽宁省工业发展局,http://www.lnindustry.org,,
数控抛光机,福州机械科技有限公司,8500,1000,±0.017,±0.007,±0.024,±0.010,全国机械工业信息中心,https://www.eeic.cn,,
数控铸造机,南宁铸造设备有限公司,4000,900,±0.023,±0.012,±0.025,±0.008,广西省铸造行业协会,http://www.gxcasting.org,,
数控打磨机,武汉机械制造有限公司,3000,800,±0.02,±0.010,±0.015,±0.005,湖北省机械工程学会,http://www.hbmechanics.org,,
数控铣床,杭州精密机电有限公司,7000,800,±0.008,±0.004,±0.02,±0.01,浙江省机械工程协会,http://www.zjmachinery.org,,
数控电火花机,武汉高级工具厂,2500,600,±0.015,±0.006,±0.03,±0.016,湖北省机械制造业协会,https://www.hbme.org,,
数控切割机,上海豪迈自动化有限公司,8500,1300,±0.007,±0.002,±0.018,±0.008,上海市商业联合会,http://www.shbc.org.cn,,
数控车床,北京机床厂,9000,1500,±0.01,±0.005,±0.02,±0.009,中国机床工具工业协会,https://www.cmtia.org.cn,,
数控激光切割机,广州杰出激光设备有限公司,12000,1600,±0.006,±0.003,±0.012,±0.005,广州市工业和信息化局,https://www.gzmi.gov.cn,,
数控折弯机,沈阳机械设备制造有限公司,4000,900,±0.022,±0.011,±0.028,±0.014,辽宁机械工业协会,http://www.lnma.org,,
数控放电加工机,南京先进制造技术有限公司,2100,700,±0.03,±0.015,±0.05,±0.02,南京市机械制造协会,http://www.nanjing-machinery.gov.cn,,
数控注塑机,珠海精密塑器有限公司,1800,1000,±0.02,±0.01,±0.035,±0.018,广东省塑料行业协会,http://www.guangdongplastic.org.cn,,
数控深孔加工机,长沙机械科技有限公司,3000,1200,±0.019,±0.007,±0.023,±0.014,湖南省工程机械协会,http://www.hnme.org.cn,,
数控激光打标机,福州工业设备有限公司,9500,800,±0.005,±0.002,±0.015,±0.006,福建省机械制造业协会,http://www.fujianmachinery.org.cn,,
高精度数控车床,合肥高端机床制造有限公司,12000,1400,±0.007,±0.003,±0.02,±0.009,安徽省先进制造业协会,http://www.ahcma.org.cn,,
数控铣削中心,重庆数控机床有限公司,8000,1000,±0.015,±0.008,±0.025,±0.012,重庆市科学技术局,https://www.cqst.gov.cn,,
数控切削机,东莞市机电设备有限公司,7800,950,±0.009,±0.004,±0.017,±0.008,东莞市机械行业协会,http://www.dgme.org,,
数控绳锯机,天津精密加工中心,2200,1200,±0.018,±0.010,±0.04,±0.019,天津市制造业协会,http://www.tianjin-ma.org,,
数控机床维修设备,鄂尔多斯金属制造有限公司,1500,600,±0.04,±0.02,±0.027,±0.013,内蒙古机械工程协会,http://www.nmgme.org.cn,,
数控屋顶机械,南昌精密设备有限公司,3200,650,±0.022,±0.015,±0.029,±0.017,江西省机械协会,http://www.jxma.org.cn,,
数控冲床,沈阳机械技术有限公司,300,1300,±0.05,±0.025,±0.03,±0.014,全国机械业发展协会,http://www.nmcda.org,,
高速数控雕刻机,西安雕刻设备有限公司,11000,1200,±0.004,±0.001,±0.022,±0.011,陕西省雕刻协会,http://www.sxdg.org.cn,,
数控铣床,杭州铣削设备有限公司,9000,800,±0.008,±0.004,±0.018,±0.007,浙江省机械制造协会,https://www.zjmachine.org,,
数控激光切割机,成都激光技术有限公司,7000,1200,±0.02,±0.009,±0.03,±0.015,成都市激光行业协会,http://www.chengdu-laser.org,,
数控切割机,广州切割精密机械有限公司,6000,900,±0.015,±0.006,±0.022,±0.008,广州市机械设备研究所,https://www.gzmachinery.com,,
数控折弯机,武汉金属加工机械有限公司,3500,1500,±0.027,±0.015,±0.03,±0.012,湖北省金属加工协会,http://www.hbmetal.org,,
数控水刀,宁波先进机械科技有限公司,8000,1100,±0.012,±0.004,±0.020,±0.010,宁波市水切技术中心,https://www.nbcutting.org.cn,,
集成数控车床,上海机械科技有限公司,12000,1000,±0.005,±0.002,±0.015,±0.005,上海市机器制造商协会,https://www.shmachinery.com,,
数控铣床,济南机床技术有限公司,7000,1200,±0.01,±0.005,±0.022,±0.011,山东省机床行业协会,https://www.jnmachine.org,,
高速数控车床,沈阳精密机床制造有限公司,15000,900,±0.006,±0.003,±0.014,±0.006,辽宁省机械设备行业协会,http://www.lnmachine.org,,
数控电火花机,南京特种机械有限公司,5000,800,±0.02,±0.008,±0.025,±0.009,南京市特殊制造协会,https://www.njmachinery.com,,
数控压铸机,佛山机械装备有限公司,4000,1300,±0.03,±0.013,±0.030,±0.014,广东省铸造行业协会,http://www.foshanforge.org,,
数控剪切机,合肥机器科技公司,5500,1100,±0.018,±0.007,±0.020,±0.007,安徽省机械工程协会,http://www.ahmachine.org,,
数控铜铣床,长春光电科技有限公司,8500,1000,±0.012,±0.004,±0.021,±0.010,吉林省光电行业协会,http://www.ccmachine.org,,
数控带锯床,南昌机电有限公司,3500,800,±0.028,±0.012,±0.027,±0.013,江西省机电产品协会,http://www.ncmechanics.org,,
数控木工铣床,厦门木工设备有限公司,6000,1200,±0.015,±0.010,±0.025,±0.011,福建省木工机械协会,http://www.xmwood.org,,
数控冷加工机,郑州先进制造有限公司,4000,1300,±0.019,±0.008,±0.032,±0.016,河南省机械制造协会,http://www.henanjx.com,,
数控加工中心,天津数控有限公司,8000,1400,±0.009,±0.004,±0.022,±0.010,天津市机械工程学会,http://www.tjmachinery.com,,
数控激光切割机,青岛雷智能科技有限公司,9500,1600,±0.015,±0.009,±0.028,±0.012,青岛市智能制造协会,http://www.qdtech.org,,
数控激光切割机,北京激光科技有限公司,12000,2000,±0.012,±0.003,±0.02,±0.01,中国激光行业协会,https://www.clia.org.cn,,
数控铣床,深圳市铣床制造有限公司,4000,1500,±0.02,±0.008,±0.03,±0.014,广东省机械制造协会,https://www.gdmm.org,,
数控激光打标机,杭州激光打标设备有限公司,5000,700,±0.009,±0.005,±0.015,±0.006,中国制造网,https://www.china.cn,,
数控车床,上海精密机械有限公司,7000,1200,±0.01,±0.005,±0.02,±0.008,上海市机械工业联合会,http://www.smia.org.cn,,
五轴数控机床,南京高精度设备制造有限公司,15000,800,±0.008,±0.004,±0.018,±0.007,江苏省质量技术监督局,https://www.jsqts.gov.cn,,
数控装配机械,天津市精密机电设备有限公司,3500,1000,±0.015,±0.006,±0.022,±0.012,天津市机械工程学会,http://www.tjmes.org,,
数控珩磨机,青岛精密机械有限公司,8000,1100,±0.02,±0.011,±0.025,±0.014,山东省机械行业协会,http://www.sdmia.org.cn,,
数控钢筋弯曲机,济南现代机械有限公司,6000,700,±0.02,±0.009,±0.025,±0.012,山东省建材行业协会,http://www.sdmia.org,,
数控弯管机械,郑州新兴机械制造有限公司,4500,1200,±0.013,±0.005,±0.017,±0.007,河南省有所建材协会,http://www.hnmm.org,,
数控电火花机,四川电火花制造有限公司,2000,1000,±0.04,±0.018,±0.03,±0.01,成都市机械行业联合会,http://www.cdmm.org,,
数控复合加工机,福州精密加工设备有限公司,12000,1500,±0.007,±0.002,±0.02,±0.006,福建省机械制造行业协会,http://www.fjmia.org.cn,,
数控铜加工机,无锡铜加工有限公司,9000,800,±0.015,±0.007,±0.028,±0.013,无锡市经济和信息化局,http://www.wx.gov.cn,,
高速钻床,南昌高速机械有限公司,18000,600,±0.005,±0.003,±0.017,±0.008,江西省机械研究院,http://www.jxme.org,,
数控平面磨床,沈阳经纬磨具有限公司,6000,1100,±0.018,±0.007,±0.022,±0.014,辽宁省机械协会,http://www.lnmechanics.org,,
数控切割机,合肥切割设备制造厂,8000,2000,±0.02,±0.01,±0.03,±0.015,安徽省机械工程协会,http://www.anhui.me,,
数控精密齿轮机床,洛阳齿轮机械有限公司,4500,800,±0.016,±0.004,±0.021,±0.011,河南省机械行业协会,http://www.hnma.org,,
数控纵剪机,吉林碳素机械有限公司,3500,1000,±0.02,±0.006,±0.029,±0.015,吉林省经济和信息化厅,http://www.jilin.gov.cn,,
数控铣床,绵阳华南机床有限公司,5000,1000,±0.011,±0.005,±0.020,±0.010,四川省机械工业协会,https://www.scmech.org.cn,,
数控铣床,武汉精密机床制造有限公司,7000,1200,±0.015,±0.008,±0.022,±0.013,湖北省机械工程协会,https://www.hubeimech.org.cn,,
数控激光切割机,北京激光科技有限公司,12000,1800,±0.008,±0.004,±0.015,±0.008,北京电子技术协会,https://www.bjcta.org.cn,,
数控车床,东莞精密机械有限公司,9000,1500,±0.012,±0.006,±0.018,±0.009,广东省机械行业协会,https://www.gdmech.org.cn,,
数控电火花机,南京电加工设备有限公司,3000,1000,±0.005,±0.002,±0.020,±0.005,江苏省电加工行业协会,https://www.jsedm.org.cn,,
数控磨削机,昆山高精度机械有限公司,6800,900,±0.010,±0.003,±0.018,±0.012,江苏省机械创新中心,https://www.jsinnovation.org.cn,,
全自动数控车床,上海机床科技公司,10000,1300,±0.014,±0.007,±0.022,±0.010,上海市机械工程学会,https://www.shmech.org.cn,,
数控折弯机,长春智能加工设备有限公司,3500,900,±0.020,±0.011,±0.030,±0.015,吉林省机械工程协会,http://www.jlmech.org.cn,,
高速切削机,沈阳先进制造厂,22000,800,±0.008,±0.004,±0.012,±0.006,辽宁省制造业协会,https://www.lnma.org.cn,,
数控绳锯机,厦门砂石机械有限公司,4000,2000,±0.018,±0.009,±0.025,±0.012,福建省矿业协会,http://www.fjmining.org.cn,,
数控水刀,成都水切割设备有限公司,9500,1400,±0.010,±0.005,±0.020,±0.014,四川省水切割协会,http://www.scslicing.org.cn,,
数控多轴机床,南昌精密科技有限公司,8000,1500,±0.015,±0.006,±0.021,±0.008,江西省机械行业商会,https://www.jxmech.org.cn,,
数控车床,郑州宇宙机床有限公司,8500,1800,±0.013,±0.007,±0.017,±0.010,河南省机械行业协会,http://www.hnmech.org.cn,,
数控激光切割机,南京瑞光激光科技有限公司,13000,2000,±0.009,±0.003,±0.019,±0.008,江苏省激光技术研究所,http://www.jslaser.org.cn,,
多功能数控机床,哈尔滨新技术机械厂,6000,1600,±0.016,±0.008,±0.023,±0.015,黑龙江省机械设计院,http://www.hljmech.org.cn,,
数控切割机,无锡精密机械科技有限公司,8000,1250,±0.015,±0.007,±0.024,±0.009,江苏省切割技术协会,http://www.js-cutting.org.cn,,
数控升降机床,佛山精铣机械有限公司,7000,1400,±0.012,±0.006,±0.020,±0.011,广东省高新技术产业园,https://www.gdhitech.org.cn,,
数控钻床,唐山机械有限公司,4000,1600,±0.019,±0.009,±0.025,±0.012,河北省机械制造协会,http://www.hebeimech.org.cn,,
数控铣床,天津精密机械有限公司,10000,800,±0.008,±0.004,±0.02,±0.009,天津机床行业协会,https://www.tianjin-machinery.org,,
数控激光切割机,武汉激光科技有限公司,12000,2000,±0.015,±0.006,±0.025,±0.013,湖北省激光产业协会,http://www.hubeilasercraft.org,,
数控车床,沈阳机床制造有限公司,7000,1000,±0.020,±0.009,±0.018,±0.011,东北机械工程协会,http://www.ne-dme.org.cn,,
数控水切割机,珠海水刀科技有限公司,8500,1600,±0.017,±0.008,±0.022,±0.010,广东省水刀技术协会,http://www.guangdongwetcut.org,,
数控折弯机,长春铸造机械有限公司,3000,1500,±0.025,±0.015,±0.03,±0.015,吉林省铸造行业协会,http://www.jilinfoundry.org,,
数控磨床,杭州精密机械有限公司,9000,750,±0.020,±0.007,±0.028,±0.013,浙江省机械工程协会,https://www.zjmachinery.com,,
数控冲床,南京机械设备有限公司,500,1050,±0.030,±0.013,±0.045,±0.020,江苏省工业信息中心,http://www.jsindustry.org,,
高速切削机,成都机床工具有限公司,23000,800,±0.011,±0.004,±0.017,±0.006,四川省机床制造协会,http://www.sc-machine.org,,
数控激光焊接机,广州焊接科技有限公司,9500,1200,±0.019,±0.008,±0.020,±0.012,广州市焊接及切割协会,http://www.gzwelding.org,,
数控铣削中心,西安精密制造有限公司,12000,1100,±0.014,±0.007,±0.021,±0.010,陕西省机械工程协会,http://www.sxmech.org,,
数控材料切割机,郑州激光材料科技有限公司,7500,1300,±0.022,±0.009,±0.024,±0.015,河南省材料科学研究院,http://www.henanmaterial.org,,
数控钻床,南昌机械集团,6500,900,±0.020,±0.010,±0.026,±0.014,江西省机床行业协会,http://www.jiangximachine.com,,
数控卧式车床,大连机床制造有限公司,8000,1500,±0.018,±0.006,±0.022,±0.012,辽宁省机械工业协会,http://www.liaoningmachine.org,,
数控桥式机床,山西桥机有限公司,4000,2000,±0.030,±0.015,±0.039,±0.020,山西省工程机械行业协会,http://www.shanxiheavymachinery.org,,
数控剪板机,佛山金属加工有限公司,3200,1800,±0.027,±0.014,±0.032,±0.018,广东省金属加工技术协会,http://www.foshanmetalprocessing.org,,
数控喷涂机,鹿泉喷涂设备有限公司,6000,950,±0.022,±0.010,±0.019,±0.009,河北省喷涂行业协会,http://www.hebeispray.org,,
数控多轴机械手,合肥自动化设备有限公司,4000,1400,±0.015,±0.007,±0.023,±0.011,安徽省自动化工艺协会,http://www.anhuiautomation.org,,
数控铣床,杭州高精度机床厂,10000,800,±0.01,±0.004,±0.02,±0.009,浙江省机械工程学会,https://www.zjmfg.org,,
数控激光切割机,宁波激光科技有限公司,12000,1400,±0.015,±0.006,±0.028,±0.014,中国激光行业创新发展中心,https://www.clii.org.cn,,
数控折弯机,成都精密机械有限公司,3500,1200,±0.02,±0.01,±0.025,±0.012,四川省机床协会,https://www.scmachinery.org,,
数控车床,南京数控装备有限公司,7000,1800,±0.018,±0.007,±0.02,±0.009,江苏省机械工业研究院,http://www.jsimri.org,,
数控冲床,深圳现代机床有限公司,800,1500,±0.03,±0.012,±0.04,±0.019,广东省机械工程学会,https://www.gdmfg.org,,
高精度数控磨床,济南精工机床制造有限公司,9000,600,±0.005,±0.002,±0.009,±0.004,山东省机械行业协会,https://www.sdmachinery.org,,
数控水刀,青岛水切公司,7500,2000,±0.022,±0.011,±0.015,±0.008,水切割技术研究所,http://www.waterjettech.org,,
数控激光雕刻机,武汉激光设备有限公司,16000,500,±0.008,±0.003,±0.02,±0.005,湖北省工业协会,https://www.hbindustry.org,,
数控铣床,沈阳重型机床有限公司,8500,1000,±0.012,±0.005,±0.021,±0.009,辽宁省机械工程学会,http://www.liaoningmachinery.org,,
数控木工机械,长春木业科技有限公司,4100,1300,±0.03,±0.015,±0.035,±0.017,吉林省木材工业协会,https://www.jlmfg.org,,
数控车床,长沙机械制造厂,6500,1600,±0.019,±0.007,±0.027,±0.013,湖南机械工程研究院,https://www.hunanmachine.org,,
数控冲床,武汉冲压设备有限公司,450,1100,±0.032,±0.015,±0.038,±0.018,中国冲压行业协会,http://www.chinapress.org,,
数控磨床,大连精密机床有限公司,7200,950,±0.017,±0.006,±0.029,±0.012,东北机床行业协会,https://www.dnmfg.org,,
数控刀具,深圳精密刀具有限公司,8000,400,±0.007,±0.003,±0.010,±0.004,刀具工业协会,http://www.toolassociation.org,,
数控冲床,南昌机床制造有限公司,500,1300,±0.026,±0.014,±0.030,±0.020,江西省机械研究协会,http://www.jiangximachine.org,,
数控折弯机,厦门机械制造有限公司,3600,1000,±0.029,±0.011,±0.021,±0.013,福建省科技创新协会,http://www.fujianinnovation.org,,
数控铣床,哈尔滨机械集团,9500,700,±0.023,±0.008,±0.020,±0.010,黑龙江省机床协会,https://www.hljmachine.org,,
数控水刀,合肥水切科技股份有限公司,9200,1750,±0.021,±0.010,±0.015,±0.007,安徽省机械工业经济信息中心,http://www.ahmfginfo.org,,
数控车床,北京机械技术有限公司,7500,950,±0.011,±0.006,±0.020,±0.009,北京市机械工程协会,http://www.bjmachinery.org.cn,,
数控铣床,杭州铣床制造厂,5000,1200,±0.015,±0.007,±0.022,±0.011,浙江省机械行业协会,http://www.zjmachinery.org.cn,,
数控折弯机,天津自动化设备有限公司,4000,1000,±0.02,±0.01,±0.028,±0.014,天津市科技局,https://www.tjtechnology.gov.cn,,
数控激光切割机,上海激光机床有限公司,12000,2000,±0.005,±0.002,±0.015,±0.008,上海市激光研究所,http://www.shlaser.org,,
数控电火花机,重庆机床设备有限公司,3000,800,±0.03,±0.015,±0.045,±0.022,重庆市机械行业协会,http://www.cqmachinery.org.cn,,
数控水刀切割机,南京水刀科技有限公司,9000,3000,±0.02,±0.01,±0.018,±0.007,江苏省切割技术开发协会,http://www.njcutting.org,,
数控铣床,沈阳机床制造有限公司,6500,1400,±0.012,±0.006,±0.024,±0.010,辽宁省机械工程学会,http://www.liaoningmachine.org,,
数控加工中心,广州数控科技有限公司,18000,1200,±0.009,±0.004,±0.015,±0.006,广东省机械制造协会,http://www.gdmachinery.org,,
数控切割机,武汉新兴设备厂,7000,1000,±0.01,±0.005,±0.022,±0.011,湖北省工业信息中心,http://www.hbindustry.gov.cn,,
数字化激光切割机,厦门数控精密机械有限公司,11000,1500,±0.008,±0.003,±0.017,±0.005,福建省科技厅,http://www.fujian.gov.cn,,
高精度数控机床,郑州精密加工有限公司,4000,850,±0.015,±0.007,±0.021,±0.010,河南省机械行业协会,https://www.henanmachinery.org.cn,,
数控冲床,合肥冲压设备有限公司,500,1500,±0.030,±0.015,±0.040,±0.020,安徽省机械工程学会,http://www.ahmachinery.org.cn,,
自动化数控线切割,福州数控设备有限公司,6500,900,±0.014,±0.008,±0.027,±0.012,福建省机械工程研究院,http://www.fjmech.org.cn,,
