年月,企业,直营收入占比,单位,经销收入占比,单位,电商收入占比,单位,前五大客户占比,单位,最大客户占比,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
2023,时尚品牌GlamourCube,45,%,30,%,25,%,78,%,10,%,服装市场研究,https://www.apparelinvestigation.com/,2024-09-18,,,,,,,,,,
2022,时尚先锋,40,%,35,%,25,%,10,%,5,%,安信证券,https://www.essence.com/,2024-09-18,,,,,,,,,,
2021,时尚先锋,28.5,%,50.5,%,21,%,52,%,11,%,大公国际,https://www.dagong.com/,2024-09-18,,,,,,,,,,
2023,双星,30,%,50,%,20,%,15,%,5,%,优衣库官网,https://www.uniqlo.com/cn/,2024-09-18,,,,,,,,,,
2022,斯凯奇,29.9,%,51,%,19.1,%,50,%,12.5,%,Retail Dive,https://www.retaildive.com,2024-09-18,,,,,,,,,,
2021,太平鸟,29.7,%,50.3,%,20,%,55,%,15,%,市场分析网,https://www.marketanalysis.com,2024-09-18,,,,,,,,,,
2023,太平鸟,50,%,15,%,35,%,5,%,2,%,公司公告,https://www.anta.com/,2024-09-18,,,,,,,,,,
2022,太平鸟,43,%,37,%,20,%,10,%,2.5,%,行业分析报告,https://www.industryanalysis.com/,2024-09-18,,,,,,,,,,
2021,桃花源,50,%,30,%,20,%,60,%,25,%,优衣库年报,https://www.uniqlo.com/jp/ja/annual-report,2024-09-18,,,,,,,,,,
2023,特步,33,%,67,%,0,%,7,%,1,%,Zalora报告,https://www.zalora.com/investor-relations,2024-09-18,,,,,,,,,,
2023,特步,25,%,55,%,20,%,40,%,12,%,H&M集团,https://www.hmgroup.com/,2024-09-18,,,,,,,,,,
2022,特步,29,%,52,%,19,%,60,%,12,%,全球市场研究,https://www.zara.com/investor/,2024-09-18,,,,,,,,,,
2021,先锋时尚,50,%,15,%,35,%,4,%,1.5,%,安踏公司报告,https://www.anta.com/,2024-09-18,,,,,,,,,,
2023,鞋堡,30,%,40,%,30,%,60,%,25,%,聚合数据,https://www.jiemian.com,2024-09-18,,,,,,,,,,
2022,杏璞,33,%,40,%,27,%,50,%,15,%,公司公告,https://www.fila.com,2024-09-18,,,,,,,,,,
2021,新安怡,35,%,40,%,25,%,23,%,10,%,FashionBusiness,https://www.fashionbusiness.com/forever21-report-2023,2024-09-18,,,,,,,,,,
2023,新百伦,39,%,37,%,24,%,10,%,3,%,聚源,https://www.hangyan.co/,2024-09-18,,,,,,,,,,
2022,休闲品牌EverydayEssentials,31.5,%,54.5,%,14,%,11,%,3.8,%,市场分析,https://www.marketanalysis.com/uniclo-report-2023,2024-09-18,,,,,,,,,,
2021,雅戈尔,30,%,50,%,20,%,62,%,17,%,商丘日报,http://www.sqnews.com/,2024-09-18,,,,,,,,,,
2023,雅致服饰,22.5,%,77.5,%,15,%,6,%,2.5,%,聚源,https://www.hangyan.co/,2024-09-18,,,,,,,,,,
2022,一线服饰,37,%,43,%,20,%,12,%,5,%,服装行业报告,https://www.clothingindustryreport.com/,2024-09-18,,,,,,,,,,
2021,壹药网,42,%,25,%,33,%,9,%,3.5,%,慧聪网,https://www.hc360.com/report/,2024-09-18,,,,,,,,,,
2022,优衣库,50,%,20,%,30,%,15,%,5,%,中国证券网,https://www.cs.com.cn,2024-09-18,,,,,,,,,,
2023,优衣库,40,%,30,%,30,%,15,%,3,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2024,优衣库,50,%,30,%,20,%,10,%,5,%,公司公告,https://www.uniqlo.com/cn/zh/news,2024-09-18,,,,,,,,,,
2023,优衣库,38,%,40,%,22,%,8,%,3,%,森马集团财报,https://www.sem.ir/,2024-09-18,,,,,,,,,,
2022,悦诗风吟,40,%,45,%,15,%,80,%,20,%,西瓜数据,https://www.xiguadata.com/,2024-09-18,,,,,,,,,,
2021,越秀地产服饰,38.5,%,37,%,24.5,%,9,%,3.5,%,工商银行,https://www.icbc.com.cn/,2024-09-18,,,,,,,,,,
2023,运动品牌SlamDunk,42.5,%,37,%,20.5,%,6,%,2,%,华尔街见闻,https://wallstreetcn.com/,2024-09-18,,,,,,,,,,
2023,彰显,38,%,45,%,17,%,4.5,%,2.1,%,粤港服装市场研究,https://www.Xtep.com,2024-09-18,,,,,,,,,,
2022,芝麻开门,40,%,30,%,30,%,50,%,10,%,Business of Fashion,https://www.businessoffashion.com,2024-09-18,,,,,,,,,,
2021,专柜时尚,30.8,%,40.5,%,28.7,%,70.5,%,28.3,%,中国服装行业协会,http://www.cgfar.org,2024-09-18,,,,,,,,,,
2023,佐藤服饰,22,%,50,%,28,%,4,%,1.5,%,H&M可持续发展报告,https://hmgroup.com/sustainability,2024-09-18,,,,,,,,,,
