可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
光网络监控治理系统,光网络,3,2023-08-05,成都网络科技有限公司,已完成,2023-08-06,合格,成都网络科技有限公司,安全监控单元,成都网络科技有限公司,VLC-063-2024,通信技术,无,普通型,V1.0,四川省科技厅,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光通信系统,光通信,1,2023-07-30,上海智能科技有限公司,已完成,2023-07-31,合格,上海智能科技有限公司,光信号传输模块,上海智能科技有限公司,VLC-078-2024,交通管理,无,标准型,V1.0,上海市科技委员会,http://www.shanghai.gov.cn/,2024-10-17,,,,,,,,,,
高效光传输与计算系统,光计算,2,2023-08-17,天津创新科技有限公司,审核中,2023-08-18,待定,天津创新科技有限公司,光信号处理单元,天津创新科技有限公司,VLC-084-2024,城市管理,无,高级型,V2.0,天津市科技局,http://www.tianjin.gov.cn/,2024-10-17,,,,,,,,,,
高速光数据网络系统,光网络,3,2023-09-21,重庆光电科技中心,已完成,2023-09-22,合格,重庆光电科技中心,高效传输模块,重庆光电科技中心,VLC-007-2024,网络安全,无,标准型,V1.0,重庆市科技局,http://www.cq.gov.cn/,2024-10-17,,,,,,,,,,
智能交通光通信系统,光通信,1,2023-10-01,武汉智能交通有限公司,审核中,2023-10-02,待定,武汉智能交通有限公司,信号控制模块,武汉智能交通有限公司,VLC-012-2024,农业监测,无,高级型,V2.0,湖北省科技厅,http://www.hubei.gov.cn/,2024-10-17,,,,,,,,,,
光通信健康监测系统,光网络,3,2023-09-28,陕西网络技术有限公司,已完成,2023-09-29,合格,陕西网络技术有限公司,实时监测模块,陕西网络技术有限公司,VLC-019-2024,通信技术,无,标准型,V1.0,陕西省科技厅,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
光计算数据集成系统,光计算,2,2023-10-10,青岛光电产业公司,审核中,2023-10-11,待定,青岛光电产业公司,光数据分析模块,青岛光电产业公司,VLC-024-2024,交通管理,无,高级型,V2.0,山东省科技局,http://www.qd.gov.cn/,2024-10-17,,,,,,,,,,
新一代超高速光通信系统,光通信,1,2023-09-01,江苏创新光电有限公司,已完成,2023-09-02,合格,江苏创新光电有限公司,光调制模块,江苏创新光电有限公司,VLC-036-2024,通信技术,无,标准型,V1.0,江苏省科技厅,http://jst.jiangsu.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络优化系统,光网络,2,2023-09-15,杭州信息技术有限公司,审核中,2023-09-16,待定,杭州信息技术有限公司,智能调度算法,杭州信息技术有限公司,VLC-042-2024,计算机网络,无,高级型,V2.0,浙江省科学技术协会,http://www.zjsta.gov.cn/,2024-10-17,,,,,,,,,,
光智能监控系统,光计算,1,2023-08-20,北京智联科技股份有限公司,已完成,2023-08-21,合格,北京智联科技股份有限公司,监控数据分析单元,北京智联科技股份有限公司,VLC-058-2024,监控技术,无,标准型,V1.0,北京市统计局,http://www.bjtj.gov.cn/,2024-10-17,,,,,,,,,,
下一代光信息处理系统,光计算,2,2023-10-01,厦门联通科技有限公司,审核中,2023-10-02,待定,厦门联通科技有限公司,光信号处理模块,厦门联通科技有限公司,VLC-064-2024,处理技术,无,高级型,V2.1,福建省科技厅,http://www.fjst.gov.cn/,2024-10-17,,,,,,,,,,
高效能光信号传输系统,光通信,1,2023-09-10,重庆光电股份有限公司,已完成,2023-09-11,合格,重庆光电股份有限公司,光发射模块,重庆光电股份有限公司,VLC-075-2024,通信技术,无,标准型,V1.1,重庆市科技局,http://www.cqst.gov.cn/,2024-10-17,,,,,,,,,,
多模光通信系统,光通信,3,2023-10-05,天津未来科技研究院,审核中,2023-10-06,待定,天津未来科技研究院,多模信号接收模块,天津未来科技研究院,VLC-083-2024,传输技术,无,高级型,V2.2,天津市科技厅,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
便携式光计算终端,光计算,1,2023-09-25,武汉万维科技有限责任公司,已完成,2023-09-26,合格,武汉万维科技有限责任公司,便携式计算单元,武汉万维科技有限责任公司,VLC-003-2024,现场测试,无,标准型,V1.0,湖北省科技局,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络安防系统,光网络,3,2023-10-10,福建安防科技有限公司,审核中,2023-10-11,待定,福建安防科技有限公司,光监控模块,福建安防科技有限公司,VLC-015-2024,网络安全,无,高级型,V2.1,福建省安防协会,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
高端光数据中心系统,光计算,1,2023-09-30,广东光电云计算技术有限公司,已完成,2023-10-01,合格,广东光电云计算技术有限公司,云计算处理模块,广东光电云计算技术有限公司,VLC-007-2024,数据处理,无,标准型,V1.1,广东省科学技术厅,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
未来智能光通信系统,光通信,1,2023-09-05,杭州未来科技有限公司,已完成,2023-09-06,合格,杭州未来科技有限公司,多通道调制模块,杭州未来科技有限公司,VLC-012-2024,先进通信技术,无,标准型,V1.0,国家科技创新平台,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
智能高清光传输系统,光计算,2,2023-09-12,北京现代信息科技有限公司,审核中,2023-09-13,待定,北京现代信息科技有限公司,信号解码器,北京现代信息科技有限公司,VLC-024-2024,影像技术,无,高级型,V2.0,中国数字技术平台,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
新一代光网络协作系统,光网络,3,2023-07-29,南京光通信技术有限公司,已完成,2023-07-30,合格,南京光通信技术有限公司,协作接口模块,南京光通信技术有限公司,VLC-005-2024,互联网技术,无,标准型,V1.5,江苏省高新技术企业管理系统,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
动态光信号转换系统,光计算,2,2023-10-01,重庆光电集团,审核中,2023-10-02,待定,重庆光电集团,信号转换单元,重庆光电集团,VLC-018-2024,电子通信,无,高级型,V2.2,重庆市科技厅,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
智能化防干扰光网络,光网络,3,2023-09-15,武汉智慧网络,已完成,2023-09-16,合格,武汉智慧网络,防干扰模块,武汉智慧网络,VLC-009-2024,保障系统,无,标准型,V1.1,中央网络安全管理局,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
超高速可见光传输系统,光通信,1,2023-08-25,合肥高新技术公司,审核中,2023-08-26,待定,合肥高新技术公司,多波长光源,合肥高新技术公司,VLC-022-2024,未来网络,无,高级型,V2.0,安徽省科技厅,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
量子安全光通讯系统,光通信,1,2023-09-29,厦门量子科技有限公司,已完成,2023-09-30,合格,厦门量子科技有限公司,光量子解码器,厦门量子科技有限公司,VLC-013-2024,量子通信,无,标准型,V1.0,福建省科技厅,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
新型医用光传输系统,光计算,2,2023-10-12,成都医疗科技研究所,审核中,2023-10-13,待定,成都医疗科技研究所,光信号采集器,成都医疗科技研究所,VLC-002-2024,医疗健康,无,高级型,V2.3,四川省科技厅,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
智能家居可见光网络,光网络,3,2023-09-20,深圳智能家居科技有限公司,已完成,2023-09-21,合格,深圳智能家居科技有限公司,智能控制模块,深圳智能家居科技有限公司,VLC-005-2024,家庭自动化,无,标准型,V1.0,深圳市市场监督管理局,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
城市智能灯光控制系统,光通信,1,2023-09-05,北京城市智能科技有限公司,已完成,2023-09-06,合格,北京城市智能科技有限公司,灯光控制模块,北京城市智能科技有限公司,VLC-010-2024,生态智慧城市,无,标准型,V1.0,江苏省高新技术企业管理系统,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
医疗图像传输系统,光计算,2,2023-09-15,杭州健康科技有限公司,审核中,2023-09-16,待定,杭州健康科技有限公司,图像处理单元,杭州健康科技有限公司,VLC-013-2024,医疗电子,无,高级型,V1.0,重庆市科技厅,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
智能家居可见光通信系统,光通信,1,2023-10-01,上海未来家居科技公司,已完成,2023-10-02,合格,上海未来家居科技公司,智能控制模块,上海未来家居科技公司,VLC-018-2024,智能家居,无,标准型,V1.0,中央网络安全管理局,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
高效能光计算平台,光计算,2,2023-10-10,南京慧智光电研究院,审核中,2023-10-11,待定,南京慧智光电研究院,计算处理单元,南京慧智光电研究院,VLC-022-2024,信息技术,无,高级型,V1.0,安徽省科技厅,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
智能交通调度系统,光网络,3,2023-10-20,武汉智能交通技术公司,已完成,2023-10-21,合格,武汉智能交通技术公司,交通信号控制模块,武汉智能交通技术公司,VLC-027-2024,交通管理,无,标准型,V1.0,福建省科技厅,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
航天通信光系统,光通信,1,2023-10-25,长沙航天科技公司,审核中,2023-10-26,待定,长沙航天科技公司,卫星光信号模块,长沙航天科技公司,VLC-033-2024,航天技术,无,高级型,V1.0,四川省科技厅,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
智能教育信息传输系统,光通信,1,2023-10-30,广州智能教育科技公司,已完成,2023-10-31,合格,广州智能教育科技公司,数据交互模块,广州智能教育科技公司,VLC-040-2024,教育信息技术,无,标准型,V1.0,深圳市市场监督管理局,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
分布式光存储系统,光计算,2,2023-11-05,西安光电存储科技公司,审核中,2023-11-06,待定,西安光电存储科技公司,存储处理模块,西安光电存储科技公司,VLC-045-2024,数据存储与处理,无,高级型,V1.0,江苏省高新技术企业管理系统,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
激光微处理系统,光计算,2,2023-11-15,青岛激光科技有限公司,已完成,2023-11-16,合格,青岛激光科技有限公司,处理与控制单元,青岛激光科技有限公司,VLC-002-2025,制造业,无,标准型,V1.0,重庆市科技厅,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
先进光通信终端系统,光通信,1,2023-09-01,南京光电科技有限公司,已完成,2023-09-02,合格,南京光电科技有限公司,数据传输模块,南京光电科技有限公司,VLC-005-2024,通信技术,无,标准型,V1.2,南京市科技局注册系统,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
城市智能灯光控制系统,光网络,2,2023-08-25,杭州智慧科技集团,审核中,2023-08-26,待定,杭州智慧科技集团,灯光控制单元,杭州智慧科技集团,VLC-007-2026,物联网,无,高级型,V2.0,杭州市科技业务管理平台,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
光纤融合计算系统,光计算,1,2023-09-10,成都高科技有限公司,已完成,2023-09-11,合格,成都高科技有限公司,计算单元模块,成都高科技有限公司,VLC-009-2023,计算技术,无,标准型,V1.1,成都市科技管理平台,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
室内导航光信号系统,光通信,2,2023-09-12,厦门新科技有限公司,审核中,2023-09-13,待定,厦门新科技有限公司,信号发射器,厦门新科技有限公司,VLC-011-2025,物流管理,无,高级型,V1.3,厦门市高新技术企业平台,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
智能交通光通信系统,光网络,3,2023-09-15,武汉智能交通公司,已完成,2023-09-16,合格,武汉智能交通公司,交通监控模块,武汉智能交通公司,VLC-013-2024,交通管理,无,标准型,V2.0,武汉市交通运输局,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
高密度数据光计算系统,光计算,1,2023-09-20,深圳频道科技有限公司,已完成,2023-09-21,合格,深圳频道科技有限公司,数据处理引擎,深圳频道科技有限公司,VLC-017-2026,计算技术,无,高级型,V2.2,深圳市科技局,http://www.fjaq.gov.cn/,2024-10-17,,,,,,,,,,
可见光手势识别系统,光通信,2,2023-09-25,北京手势科技有限公司,审核中,2023-09-26,待定,北京手势科技有限公司,交互检测模块,北京手势科技有限公司,VLC-019-2023,人机交互,无,标准型,V1.0,北京市科技服务管理平台,http://www.gdst.gov.cn/,2024-10-17,,,,,,,,,,
多功能光学传感系统,光网络,3,2023-09-30,上海光学传感科技有限公司,已完成,2023-10-01,合格,上海光学传感科技有限公司,环境监测模块,上海光学传感科技有限公司,VLC-021-2025,交通管理,无,高级型,V2.0,上海市科技创新办公室,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
光栅通信提升系统,光通信,1,2023-10-05,沈阳光电企业有限公司,已完成,2023-10-06,合格,沈阳光电企业有限公司,信号增强器,沈阳光电企业有限公司,VLC-023-2024,远程通信,无,标准型,V1.5,沈阳市科技管理局,http://www.hbkj.gov.cn/,2024-10-17,,,,,,,,,,
新一代高速可见光系统,光通信,1,2023-09-01,杭州光电科技有限公司,已完成,2023-09-02,合格,杭州光电科技有限公司,光信号解析模块,杭州光电科技有限公司,VLC-007-2024,电子教育,无,标准型,V1.1,国家光电技术管理平台,http://www.nationaloptics.gov.cn/,2024-10-17,,,,,,,,,,
智能化光计算加速器,光计算,2,2023-09-10,武汉光计算研究所,审核中,2023-09-11,待定,武汉光计算研究所,计算加速模块,武汉光计算研究所,VLC-012-2024,计算机技术,无,高级型,V2.0,光电技术产业园,http://www.opticalindustrypark.cn/,2024-10-17,,,,,,,,,,
可见光交互通信系统,光通信,1,2023-10-05,成都未来光科技有限公司,已完成,2023-10-06,合格,成都未来光科技有限公司,交互接口模块,成都未来光科技有限公司,VLC-019-2024,网络通信,无,标准型,V1.0,成都市科技创新中心,http://www.cdstic.gov.cn/,2024-10-17,,,,,,,,,,
可见光智能传感网络,光网络,3,2023-09-25,天津智能信号技术股份有限公司,审核中,2023-09-26,待定,天津智能信号技术股份有限公司,传感器模块,天津智能信号技术股份有限公司,VLC-023-2024,企业服务,无,高级型,V2.1,国家智能网络安全平台,http://www.smartnetwork.gov.cn/,2024-10-17,,,,,,,,,,
基于可见光的环境监测系统,光通信,1,2023-08-30,南京环境技术研究院,已完成,2023-08-31,合格,南京环境技术研究院,环境监测模块,南京环境技术研究院,VLC-035-2024,教育研究,无,标准型,V1.0,中国环境科技网络,http://www.cnenvirolink.gov.cn/,2024-10-17,,,,,,,,,,
下一代光网络速率提升系统,光网络,3,2023-10-12,西安光网络技术公司,审核中,2023-10-13,待定,西安光网络技术公司,速率提升模块,西安光网络技术公司,VLC-041-2024,交通监控,无,高级型,V3.0,国家光网络发展局,http://www.godn.gov.cn/,2024-10-17,,,,,,,,,,
室内可见光定位系统,光通信,1,2023-10-20,沈阳智能科技有限责任公司,已完成,2023-10-21,合格,沈阳智能科技有限责任公司,定位模块,沈阳智能科技有限责任公司,VLC-058-2024,计算机视觉,无,标准型,V1.1,中国智能定位与导航网,http://www.zhnavi.gov.cn/,2024-10-17,,,,,,,,,,
可见光融入车联网的通信技术,光通信,1,2023-11-01,北京车联网科技有限公司,审核中,2023-11-02,待定,北京车联网科技有限公司,车载通信模块,北京车联网科技有限公司,VLC-063-2024,物联网技术,无,高级型,V2.0,国家交通部科技处,http://www.mot.gov.cn/,2024-10-17,,,,,,,,,,
智能可见光家庭网络系统,光网络,2,2023-11-15,上海智慧家庭科技有限公司,已完成,2023-11-16,合格,上海智慧家庭科技有限公司,家庭网络模块,上海智慧家庭科技有限公司,VLC-075-2024,监控技术,无,标准型,V1.0,居民网络科技服务平台,http://www.familytech.gov.cn/,2024-10-17,,,,,,,,,,
高性能可见光通信系统,光通信,1,2023-09-05,杭州光网络科技有限公司,已完成,2023-09-06,合格,杭州光网络科技有限公司,光信号处理单元,杭州光网络科技有限公司,VLC-089-2024,云计算,无,标准型,V1.0,浙江省科技局,http://www.godn.gov.cn/,2024-10-17,,,,,,,,,,
智能光计算优化系统,光计算,2,2023-08-25,广州光技术开发有限公司,审核中,2023-08-26,待定,广州光技术开发有限公司,光频率调制模块,广州光技术开发有限公司,VLC-023-2024,计算机科学,无,高级型,V2.0,广州市科技局,http://www.zhnavi.gov.cn/,2024-10-17,,,,,,,,,,
多模式可见光传输系统,光通信,1,2023-07-15,沈阳光电科技有限公司,已完成,2023-07-16,合格,沈阳光电科技有限公司,光传输协议模块,沈阳光电科技有限公司,VLC-059-2024,交通运输,无,标准型,V1.0,沈阳科技发展局,http://www.mot.gov.cn/,2024-10-17,,,,,,,,,,
高级光网络照明系统,光网络,3,2023-07-30,南京智慧光电有限公司,审核中,2023-07-31,待定,南京智慧光电有限公司,光源与控制模块,南京智慧光电有限公司,VLC-087-2024,绿色照明,无,高级型,V2.1,南京市科技情报网站,http://www.familytech.gov.cn/,2024-10-17,,,,,,,,,,
实时光信号传输系统,光通信,1,2023-06-10,天津精密光学有限公司,已完成,2023-06-11,合格,天津精密光学有限公司,光信号接收模块,天津精密光学有限公司,VLC-112-2024,监控系统,无,标准型,V1.0,天津市科学技术委员会,http://www.godn.gov.cn/,2024-10-17,,,,,,,,,,
集成光计算处理系统,光计算,2,2023-08-20,成都光电科技研究院,审核中,2023-08-21,待定,成都光电科技研究院,光计算单元,成都光电科技研究院,VLC-175-2024,计算机信息,无,高级型,V2.0,成都市科技局,http://www.zhnavi.gov.cn/,2024-10-17,,,,,,,,,,
前沿光网络安全系统,光网络,3,2023-09-10,西安网络科技公司,已完成,2023-09-11,合格,西安网络科技公司,网络监测模块,西安网络科技公司,VLC-204-2024,互联网安全,无,高级型,V2.1,西安市科技局,http://www.mot.gov.cn/,2024-10-17,,,,,,,,,,
未来光传输解决方案,光通信,1,2023-08-05,福州光电科技有限公司,审核中,2023-08-06,待定,福州光电科技有限公司,光数据传输单元,福州光电科技有限公司,VLC-231-2024,物流运输,无,标准型,V1.0,福建省科技厅,http://www.familytech.gov.cn/,2024-10-17,,,,,,,,,,
光子计算智能系统,光计算,2,2023-09-18,昆明光通信与计算研究所,已完成,2023-09-19,合格,昆明光通信与计算研究所,光子信号处理单元,昆明光通信与计算研究所,VLC-290-2024,量子计算,无,高级型,V2.0,云南省科技厅,http://www.godn.gov.cn/,2024-10-17,,,,,,,,,,
高效光信号处理系统,光处理,2,2023-09-01,厦门光通信有限公司,已完成,2023-09-02,合格,厦门光通信有限公司,光信号转换模块,厦门光通信有限公司,VLC-315-2024,电子技术,无,标准型,V1.0,国家光电信息技术网,http://www.optic.cn/,2024-10-17,,,,,,,,,,
智能家居光网络系统,光通信,1,2023-09-05,杭州智能科技有限公司,审核中,2023-09-06,待定,杭州智能科技有限公司,家庭光网络模块,杭州智能科技有限公司,VLC-389-2024,物联网技术,无,高级型,V2.0,中国物联网发展研究中心,http://www.iot.org.cn/,2024-10-17,,,,,,,,,,
超高速可见光通信系统,光通信,3,2023-09-15,武汉光网络科技有限公司,已完成,2023-09-16,合格,武汉光网络科技有限公司,光信号发射模块,武汉光网络科技有限公司,VLC-004-2025,先进通信,无,标准型,V1.0,光通信技术创新平台,http://www.opticinnovations.com/,2024-10-17,,,,,,,,,,
医疗光信息处理系统,光计算,2,2023-10-01,上海医疗科技有限公司,审核中,2023-10-02,待定,上海医疗科技有限公司,信息处理单元,上海医疗科技有限公司,VLC-009-2024,生命科学,无,高级型,V1.2,中国医疗器械行业协会,http://www.cmda.org.cn/,2024-10-17,,,,,,,,,,
高效光网络安全监控系统,光网络,3,2023-10-10,天津网络安全技术有限公司,待审核,2023-10-11,待定,天津网络安全技术有限公司,网络监控模块,天津网络安全技术有限公司,VLC-015-2023,互联网安全,无,高级型,V2.0,国家网络安全局,http://www.cac.gov.cn/,2024-10-17,,,,,,,,,,
云计算光通讯系统,光计算,2,2023-10-15,成都云科技有限公司,已完成,2023-10-16,合格,成都云科技有限公司,云数据处理模块,成都云科技有限公司,VLC-002-2026,计算机科学,无,标准型,V1.0,四川省科技厅,http://www.scst.gov.cn/,2024-10-17,,,,,,,,,,
智慧交通光通信系统,光通信,1,2023-10-20,北京智慧交通有限公司,待审核,2023-10-21,待定,北京智慧交通有限公司,交通监控组件,北京智慧交通有限公司,VLC-011-2024,交通系统,无,高级型,V2.1,北京市交通委员会,http://jtw.beijing.gov.cn/,2024-10-17,,,,,,,,,,
农业传感光通信系统,光通信,1,2023-10-30,郑州农业科技公司,已完成,2023-10-31,合格,郑州农业科技公司,传感器模块,郑州农业科技公司,VLC-007-2025,农业技术,无,标准型,V1.0,中国农业科学院,http://www.caas.cn/,2024-10-17,,,,,,,,,,
环境监测光通讯系统,光计算,2,2023-11-05,南京环境科技公司,待审核,2023-11-06,待定,南京环境科技公司,环境监测模块,南京环境科技公司,VLC-013-2023,环境保护,无,高级型,V2.0,江苏省环境保护厅,http://www.jshb.gov.cn/,2024-10-17,,,,,,,,,,
高速传输光通信系统,光通信,1,2023-09-05,杭州技术发展有限公司,已完成,2023-09-06,合格,杭州技术发展有限公司,无线收发模块,杭州技术发展有限公司,VLC-005-2026,电子通信,无,标准型,V1.0,浙江省科技厅,http://www.zj.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络管理系统,光网络,2,2023-09-15,南京光电科技有限公司,审核中,2023-09-16,待定,南京光电科技有限公司,流量监测模块,南京光电科技有限公司,VLC-008-2024,运营管理,无,高级型,V2.0,江苏省科技局,http://www.jiangsu.gov.cn/,2024-10-17,,,,,,,,,,
融合光信号处理系统,光计算,1,2023-10-01,上海未来科技有限公司,已完成,2023-10-02,合格,上海未来科技有限公司,光信号处理器,上海未来科技有限公司,VLC-010-2023,计算机科学,无,标准型,V1.1,上海市科技委员会,http://www.shanghai.gov.cn/,2024-10-17,,,,,,,,,,
无线可见光传输平台,光通信,3,2023-10-10,武汉光电工程公司,审核中,2023-10-11,待定,武汉光电工程公司,光纤与发射模块,武汉光电工程公司,VLC-007-2024,远程通信,无,高级型,V2.2,湖北省科技厅,http://www.hubei.gov.cn/,2024-10-17,,,,,,,,,,
超高频光网络系统,光网络,2,2023-11-01,成都现代科技集团,已完成,2023-11-02,合格,成都现代科技集团,网络管理与监控系统,成都现代科技集团,VLC-005-2024,互联网技术,无,标准型,V1.0,四川省科技厅,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信系统,光通信,1,2023-11-10,厦门智能科技有限公司,审核中,2023-11-11,待定,厦门智能科技有限公司,家庭自动化模块,厦门智能科技有限公司,VLC-012-2024,物联网,无,高级型,V2.1,福建省科技厅,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
城市智能光监控系统,光计算,3,2023-12-01,西安未来科技公司,已完成,2023-12-02,合格,西安未来科技公司,城市监控与分析模块,西安未来科技公司,VLC-009-2024,城市管理,无,标准型,V1.2,陕西省科技厅,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
无人机光通信系统,光通信,2,2024-01-10,青岛无人机科技有限公司,审核中,2024-01-11,待定,青岛无人机科技有限公司,无人机通信链路,青岛无人机科技有限公司,VLC-014-2024,UAV技术,无,高级型,V2.3,山东省科技厅,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
光量子计算系统,光计算,1,2024-01-20,哈尔滨量子科技有限公司,已完成,2024-01-21,合格,哈尔滨量子科技有限公司,量子数据处理模块,哈尔滨量子科技有限公司,VLC-003-2024,量子计算,无,标准型,V1.0,黑龙江省科技厅,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
城市智能交通系统,光通信,1,2023-09-05,成都智慧科技有限公司,已完成,2023-09-06,合格,成都智慧科技有限公司,交通管理模块,成都智慧科技有限公司,VLC-011-2024,交通运输,无,标准型,V1.1,成都科技创新管理系统,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
光学信号增强系统,光通信,2,2023-09-10,杭州光电科技有限公司,审核中,2023-09-11,待定,杭州光电科技有限公司,信号增强单元,杭州光电科技有限公司,VLC-004-2024,通信技术,无,高级型,V2.0,杭州科技业务管理系统,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
光计算优化平台,光计算,1,2023-08-20,武汉量子通信研究所,已完成,2023-08-21,合格,武汉量子通信研究所,优化算法模块,武汉量子通信研究所,VLC-010-2024,计算机科学,无,标准型,V1.0,武汉工业科技管理系统,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
智慧城市监控系统,光网络,3,2023-09-15,南京智能网络公司,审核中,2023-09-16,待定,南京智能网络公司,监控传输模块,南京智能网络公司,VLC-008-2024,监控系统,无,高级型,V2.1,南京科技发展管理系统,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
智能医疗数据传输系统,光通信,2,2023-09-25,上海智慧医疗科技有限公司,已完成,2023-09-26,合格,上海智慧医疗科技有限公司,医疗数据处理模块,上海智慧医疗科技有限公司,VLC-032-2024,电子医疗,无,标准型,V1.1,上海市医疗科技管理系统,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
农业环境监测系统,光计算,1,2023-10-01,北京农业科技研究院,审核中,2023-10-02,待定,北京农业科技研究院,环境监测模块,北京农业科技研究院,VLC-015-2024,农业科技,无,高级型,V2.0,北京科技服务中心,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
基于光通信的智能制造系统,光通信,3,2023-10-10,深圳市智能制造科技有限公司,已完成,2023-10-11,合格,深圳市智能制造科技有限公司,制造控制模块,深圳市智能制造科技有限公司,VLC-048-2024,制造业,无,标准型,V1.0,深圳市智能科技管理系统,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
新一代光通信标准系统,光网络,1,2023-10-15,厦门新光科技有限公司,审核中,2023-10-16,待定,厦门新光科技有限公司,新标准制订模块,厦门新光科技有限公司,VLC-029-2024,通信标准,无,高级型,V2.2,厦门市科技管理平台,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信系统,光通信,2,2023-10-20,成都智能家居科技有限公司,已完成,2023-10-21,合格,成都智能家居科技有限公司,家居控制模块,成都智能家居科技有限公司,VLC-074-2024,家居科技,无,标准型,V1.1,成都智能科技管理系统,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
低延迟可见光数据传输系统,光通信,1,2023-01-10,深圳明月科技有限公司,已完成,2023-01-11,合格,深圳明月科技有限公司,激光发射单元,深圳明月科技有限公司,VLC-021-2024,通信技术,无,标准型,V1.0,深圳市科技业务管理系统,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
光计算加速平台,光计算,2,2023-03-05,南京硅光公司,审核中,2023-03-06,待定,南京硅光公司,计算单元模块,南京硅光公司,VLC-057-2024,计算技术,无,高级型,V2.0,国家光电技术中心,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能光纤传感器系统,光网络,3,2023-02-18,北京智能传感器技术有限公司,待审核,2023-02-19,待定,北京智能传感器技术有限公司,传感器网络模块,北京智能传感器技术有限公司,VLC-013-2024,传感技术,无,标准型,V1.0,中国光电行业协会,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
可见光室内定位系统,光通信,1,2023-04-12,杭州光源科技有限公司,已完成,2023-04-13,合格,杭州光源科技有限公司,定位数据模块,杭州光源科技有限公司,VLC-087-2024,位置服务,无,标准型,V1.0,浙江省科技信息系统,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
新型光网络智能控制系统,光网络,2,2023-05-25,武汉未来网络科技股份有限公司,审核中,2023-05-26,待定,武汉未来网络科技股份有限公司,智能控制模块,武汉未来网络科技股份有限公司,VLC-005-2024,网络管理,无,高级型,V2.0,武汉市科技局,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
