批准文号/注册证号（字符型）,可见光通信系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称（字符型）,是否通过一致性（字符型）,可见光通信系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
2023-009,无线LIFI家庭网络,300Mbps,杭州新光网络有限公司,2023-05-22,杭州市市场监督管理局,杭州新光网络有限公司,否,家庭网络系统,家庭科技日报,https://www.familytechnews.com,2023-10-18,,,,,,,,
2023-010,光传输教育系统,150Mbps,南京教育科技有限公司,2023-04-11,南京市市场监督管理局,南京教育科技有限公司,是,教育网络系统,中国教育网,http://www.chinaeducation.org,2023-10-18,,,,,,,,
2023-011,智能办公LIFI系统,200Mbps,广州智能科学技术有限公司,2023-10-01,广州市市场监督管理局,广州智能科学技术有限公司,是,办公通信系统,科技前沿杂志,https://www.techfrontier.com,2023-10-18,,,,,,,,
2023-012,高清影像光通信系统,500Mbps,武汉光支持科技有限公司,2023-08-15,武汉市市场监督管理局,武汉光支持科技有限公司,是,影视播放系统,影响力影像网,https://www.influenceimage.com,2023-10-18,,,,,,,,
2023-013,农田监测LIFI系统,120Mbps,徐州农业科技有限公司,2023-07-25,徐州市市场监督管理局,徐州农业科技有限公司,是,农业监测系统,农业技术杂志,https://www.agriculturaltech.com,2023-10-18,,,,,,,,
2023-014,智能城市管理LIFI系统,350Mbps,福州城市科技有限公司,2023-09-28,福州市市场监督管理局,福州城市科技有限公司,是,城市管理系统,城市科技论坛,https://www.citytechforum.com,2023-10-18,,,,,,,,
2023-015,零售店LIFI系统,90Mbps,深圳零售科技有限公司,2023-03-18,深圳市市场监督管理局,深圳零售科技有限公司,否,零售应用系统,零售商协会,https://www.retailassociation.com,2023-10-18,,,,,,,,
2023-006,高效室外LIFI系统,250Mbps,成都光信科技有限公司,2023-10-01,成都市市场监督管理局,成都光信科技有限公司,是,室外通信系统,光通信产业网,http://www.lightcommunication.com,2023-10-18,,,,,,,,
2023-007,城市智能交通系统,400Mbps,北京智慧交通科技有限公司,2023-09-28,北京市市场监督管理局,北京智慧交通科技有限公司,是,交通监控系统,中国交通新闻网,http://www.chinatrafficnews.com,2023-10-18,,,,,,,,
2023-008,农业智能监控系统,100Mbps,郑州农科技术有限公司,2023-08-15,河南省市场监督管理局,郑州农科技术有限公司,否,农业监控系统,农业科技网,http://www.agriculturetech.com,2023-10-18,,,,,,,,
2023-009,医院配药系统,150Mbps,上海医疗科技服务有限公司,2023-07-22,上海市市场监督管理局,上海医疗科技服务有限公司,是,医疗应用系统,健康医疗网,http://www.healthcare.com,2023-10-18,,,,,,,,
2023-010,无障碍光通信系统,200Mbps,杭州无障碍科技有限公司,2023-08-01,浙江省市场监督管理局,杭州无障碍科技有限公司,是,社会公共服务系统,无障碍科技网,http://www.accessibletechnology.com,2023-10-18,,,,,,,,
2023-011,校园安全监控系统,300Mbps,武汉校园科技有限公司,2023-09-10,湖北省市场监督管理局,武汉校园科技有限公司,是,校园安全系统,校园网,http://www.campustechnology.com,2023-10-18,,,,,,,,
2023-012,智能灯光控制系统,250Mbps,苏州智能照明科技有限公司,2023-10-10,江苏省市场监督管理局,苏州智能照明科技有限公司,是,智能控制系统,智能家居网,http://www.smarthome.com,2023-10-18,,,,,,,,
2023-013,制造业数据传输系统,500Mbps,南京制造科技有限公司,2023-09-25,江苏省市场监督管理局,南京制造科技有限公司,是,工业应用系统,制造业新闻网,http://www.manufacturingnews.com,2023-10-18,,,,,,,,
2023-014,无缝智慧商业系统,450Mbps,深圳智慧商业有限公司,2023-08-30,深圳市市场监督管理局,深圳智慧商业有限公司,是,商业应用系统,商业科技网,http://www.businesstechnology.com,2023-10-18,,,,,,,,
2023-015,光纤农业传输系统,200Mbps,佛山农光科技有限公司,2023-09-18,广东省市场监督管理局,佛山农光科技有限公司,是,农业应用系统,农业信息网,http://www.agricultureinfo.com,2023-10-18,,,,,,,,
2023-006,城市公共交通LIFI系统,250Mbps,武汉智慧交通科技有限公司,2023-10-10,武汉市市场监督管理局,武汉智慧交通科技有限公司,是,公共交通系统,湖北日报,https://www.hubeidaily.com,2023-10-18,,,,,,,,
2023-007,医疗级可见光通信系统,100Mbps,重庆医疗科技股份有限公司,2023-09-28,重庆市市场监督管理局,重庆医疗科技股份有限公司,是,医疗通信系统,健康时报,https://www.jksb.com.cn,2023-10-18,,,,,,,,
2023-008,农业远程监控LIFI系统,180Mbps,西安农业科技公司,2023-08-15,陕西省市场监督管理局,西安农业科技公司,是,农业应用系统,农业科技杂志,https://www.agri-tech.com,2023-10-18,,,,,,,,
2023-009,智能建筑LIFI网络,450Mbps,杭州建筑科技有限公司,2023-07-22,浙江省市场监督管理局,杭州建筑科技有限公司,是,建筑通信系统,建筑与设计杂志,https://www.architecture.com,2023-10-18,,,,,,,,
2023-010,旅游景区LIFI系统,350Mbps,苏州旅游科技有限公司,2023-09-05,江苏省市场监督管理局,苏州旅游科技有限公司,是,旅游通信系统,旅游资讯网,https://www.travelnews.cn,2023-10-18,,,,,,,,
2023-011,社区安防LIFI系统,400Mbps,深圳社区安全科技有限公司,2023-10-01,深圳市市场监督管理局,深圳社区安全科技有限公司,是,安全防护系统,安全科技论坛,https://www.safety-tech.com,2023-10-18,,,,,,,,
2023-012,工业自动化LIFI解决方案,500Mbps,南京智能制造科技有限公司,2023-09-18,江苏省市场监督管理局,南京智能制造科技有限公司,是,工业应用系统,工业新闻网,https://www.industrynews.cn,2023-10-18,,,,,,,,
2023-013,室外智能照明LIFI系统,300Mbps,成都智能城市科技公司,2023-08-30,四川省市场监督管理局,成都智能城市科技公司,是,室外照明系统,现代城市研究,https://www.moderncity.cn,2023-10-18,,,,,,,,
2023-014,智能交通LIFI网络,450Mbps,天津市交通科技有限公司,2023-09-25,天津市市场监督管理局,天津市交通科技有限公司,是,智能交通系统,智能交通杂志,https://www.smarttransportation.cn,2023-10-18,,,,,,,,
2023-006,光伴随传输系统,120Mbps,杭州光纤网络科技有限公司,2023-06-10,浙江省市场监督管理局,杭州光纤网络科技有限公司,是,室内通信系统,高科技视野,https://www.techvision.com.cn,2023-10-18,,,,,,,,
2023-007,农业光敏通信系统,80Mbps,成都农业科技有限公司,2023-07-15,四川省市场监督管理局,成都农业科技有限公司,是,农业应用系统,农科技快讯,https://www.agri-news.com,2023-10-18,,,,,,,,
2023-008,交通安全LIFI系统,250Mbps,武汉智通科技有限公司,2023-08-01,湖北省市场监督管理局,武汉智通科技有限公司,是,交通信号系统,交通运输研究院,https://www.transportresearch.cn,2023-10-18,,,,,,,,
2023-009,智能办公LIFI系统,180Mbps,北京现代科技有限公司,2023-09-05,北京市市场监督管理局,北京现代科技有限公司,是,办公通信系统,前沿科技报告,https://www.frontiertech.cn,2023-10-18,,,,,,,,
2023-010,智慧医疗通信系统,220Mbps,广州医疗科技有限公司,2023-07-20,广州市市场监督管理局,广州医疗科技有限公司,是,医疗应用系统,医疗科技观察,https://www.medi-tech.cn,2023-10-18,,,,,,,,
2023-011,智能校园网络系统,300Mbps,西安高教科技有限公司,2023-05-30,陕西省市场监督管理局,西安高教科技有限公司,是,教育校园系统,教育技术前沿,https://www.edutechnontline.cn,2023-10-18,,,,,,,,
2023-012,城市公共WiFi系统,400Mbps,天津城市网络科技有限公司,2023-04-25,天津市市场监督管理局,天津城市网络科技有限公司,是,公共通信系统,城市生活网,https://www.citylife.cn,2023-10-18,,,,,,,,
2023-013,航空通信数据系统,350Mbps,航空科技集团有限公司,2023-03-18,民航总局,航空科技集团有限公司,是在,航空应用系统,航空科技前沿,https://www.aerotechadvances.cn,2023-10-18,,,,,,,,
2023-014,网络安全LIFI系统,300Mbps,上海数码安全科技有限公司,2023-09-30,上海市市场监督管理局,上海数码安全科技有限公司,是,安全通信系统,网络安全观察,https://www.cybersecuritywatch.cn,2023-10-18,,,,,,,,
2023-015,智能零售LIFI系统,175Mbps,沈阳智能科技有限公司,2023-09-01,辽宁省市场监督管理局,沈阳智能科技有限公司,是,商业零售系统,商业科技观察,https://www.commercialtech.cn,2023-10-18,,,,,,,,
2023-006,城市公共照明系统,250Mbps,成都光联科技有限公司,2023-10-01,成都市市场监督管理局,成都光联科技有限公司,是,城市基础设施,新华光电在线,https://www.xinhua-light.com,2023-10-18,,,,,,,,
2023-007,高速公路LIFI系统,400Mbps,吉林省交通科技有限公司,2023-09-10,吉林省市场监督管理局,吉林省交通科技有限公司,是,交通通信系统,交通科技新闻,https://www.jtnews.com,2023-10-18,,,,,,,,
2023-008,农业智能监控系统,80Mbps,郑州农科科技股份有限公司,2023-09-20,郑州市市场监督管理局,郑州农科科技股份有限公司,否,农业应用,中国农业网,http://www.chinaagriculturenews.com,2023-10-18,,,,,,,,
2023-009,海洋环境监测系统,60Mbps,青岛蓝海科技有限公司,2023-08-15,山东省市场监督管理局,青岛蓝海科技有限公司,是,海洋监测系统,海洋技术研究院,https://www.oceanresearch.org,2023-10-18,,,,,,,,
2023-010,医院无线光通信网络,300Mbps,杭州医疗科技有限公司,2023-09-12,杭州市市场监督管理局,杭州医疗科技有限公司,是,医疗通信系统,健康时报,https://www.healthtimes.com,2023-10-18,,,,,,,,
2023-011,商场智能导航系统,120Mbps,苏州智能科技有限公司,2023-10-05,苏州市市场监督管理局,苏州智能科技有限公司,是,商业应用系统,商业日报,https://www.businessdaily.com,2023-10-18,,,,,,,,
2023-012,图书馆LIFI阅读系统,90Mbps,武汉文化科技股份有限公司,2023-07-22,武汉市市场监督管理局,武汉文化科技股份有限公司,是,教育应用,文化科技日报,http://www.culturaltechnews.com,2023-10-18,,,,,,,,
2023-013,智能校园光通信系统,400Mbps,厦门教育科技发展有限公司,2023-09-18,厦门市市场监督管理局,厦门教育科技发展有限公司,是,教育领域应用,教育科研信息网,http://www.earnews.com,2023-10-18,,,,,,,,
2023-014,智能家居可见光网络,220Mbps,深圳家居科技有限公司,2023-05-09,深圳市市场监督管理局,深圳家居科技有限公司,是,家居通信系统,家居科技网,https://www.hometechnews.com,2023-10-18,,,,,,,,
2023-015,全景LED光通信系统,500Mbps,南京全景科技有限公司,2023-06-30,南京市市场监督管理局,南京全景科技有限公司,否,照明通信系统,科技创新闻,https://www.technews.com,2023-10-18,,,,,,,,
2023-006,企业级LIFI解决方案,500Mbps,北京智联科技有限公司,2023-10-05,北京市市场监督管理局,北京智联科技有限公司,是,企业通信系统,第一财经日报,https://www.yicai.com/news/100555234.html,2023-10-18,,,,,,,,
2023-007,城市智能交通系统,400Mbps,长沙未来科技有限公司,2023-09-30,长沙市市场监督管理局,长沙未来科技有限公司,是,交通监控系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-008,医院智能处方系统,250Mbps,杭州医疗科技有限公司,2023-08-15,浙江省市场监督管理局,杭州医疗科技有限公司,是,医疗健康系统,医疗资讯网,https://www.medicalnews.cn/,2023-10-18,,,,,,,,
2023-009,工业4.0智能工厂系统,800Mbps,东莞制造科技有限公司,2023-07-25,东莞市市场监督管理局,东莞制造科技有限公司,是,工业解决方案,制造业日报,http://www.made-in-china.com/,2023-10-18,,,,,,,,
2023-010,智能校园网络系统,600Mbps,昆明教育技术有限公司,2023-06-12,昆明市市场监督管理局,昆明教育技术有限公司,是,教育空间系统,教育信息网,http://www.edunews.com.cn/,2023-10-18,,,,,,,,
2023-011,智慧城市管理平台,350Mbps,西安城市科技有限公司,2023-05-28,西安市市场监督管理局,西安城市科技有限公司,否,城市管理系统,城市发展论坛,http://www.urbanforum.cn/,2023-10-18,,,,,,,,
2023-012,虚拟现实LIFI系统,500Mbps,天津虚拟技术有限公司,2023-04-20,天津市市场监督管理局,天津虚拟技术有限公司,是,娱乐与游戏系统,福建科技观察,http://www.fjtechnews.com/,2023-10-18,,,,,,,,
2023-013,移动办公LIFI系统,400Mbps,合肥信息科技有限公司,2023-03-11,合肥市市场监督管理局,合肥信息科技有限公司,是,办公环境系统,科技前沿报,http://www.techfrontier.com/,2023-10-18,,,,,,,,
2023-014,智能养老防跌倒系统,450Mbps,福州智慧生活有限公司,2023-02-16,福州市市场监督管理局,福州智慧生活有限公司,是,养老服务系统,养老科技网,http://www.agingtech.com/,2023-10-18,,,,,,,,
2023-015,赛博篮球场LIFI系统,350Mbps,南京国际体育科技有限公司,2023-01-30,南京市市场监督管理局,南京国际体育科技有限公司,是,体育应用系统,体育产业观察,http://www.sportsindustry.com/,2023-10-18,,,,,,,,
2023-006,光联通2.0,250Mbps,杭州光电科技有限公司,2023-10-05,浙江省市场监督管理局,杭州光电科技有限公司,是,室外通信系统,中国光通信网,http://www.luminalights.com/,2023-10-18,,,,,,,,
2023-007,室内智能照明LIFI,180Mbps,北京智能照明科技有限公司,2023-09-10,北京市市场监督管理局,北京智能照明科技有限公司,是,智能照明系统,前瞻产业研究院,https://www.qianzhan.com/,2023-10-18,,,,,,,,
2023-008,超高速LIFI系统,400Mbps,苏州高新科技有限公司,2023-10-15,苏州市市场监督管理局,苏州高新科技有限公司,是,企业通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-009,教育实践LIFI系统,300Mbps,武汉教育电子科技有限公司,2023-08-25,武汉市市场监督管理局,武汉教育电子科技有限公司,是,教育领域应用,教育时报,http://www.jynews.org/,2023-10-18,,,,,,,,
2023-010,城市安防LIFI系统,125Mbps,成都安全科技有限责任公司,2023-09-30,成都市市场监督管理局,成都安全科技有限责任公司,是,安防监控系统,天府新闻,http://www.tianfunews.com/,2023-10-18,,,,,,,,
2023-011,公共卫生LIFI网络,350Mbps,广州公共卫生科技有限公司,2023-07-15,广州市市场监督管理局,广州公共卫生科技有限公司,是,公共卫生应用,中国医疗网,http://www.chinamedical.net/,2023-10-18,,,,,,,,
2023-012,农业监测光通信系统,70Mbps,青岛农业科技公司,2023-09-20,青岛市市场监督管理局,青岛农业科技公司,否,农业科技应用,农业科技网,http://www.agriculturaltech.com/,2023-10-18,,,,,,,,
2023-013,智能工厂LIFI系统,500Mbps,天津智能制造公司,2023-04-20,天津市市场监督管理局,天津智能制造公司,是,工业自动化,中国智能制造网,http://www.china-smartfactory.com/,2023-10-18,,,,,,,,
2023-014,智能交通灯LIFI系统,160Mbps,深圳智慧交通有限公司,2023-05-10,深圳市市场监督管理局,深圳智慧交通有限公司,是,交通管理系统,交通运输部,http://www.mot.gov.cn/,2023-10-18,,,,,,,,
2023-015,云计算支持的LIFI网络,450Mbps,武汉云计算技术有限公司,2023-06-22,武汉市市场监督管理局,武汉云计算技术有限公司,是,云计算服务,云计算电子杂志,http://www.cloudcomputingmagazine.com/,2023-10-18,,,,,,,,
2023-006,高速信号传输系统,500Mbps,杭州光联科技有限公司,2023-10-01,杭州市市场监督管理局,杭州光联科技有限公司,是,室内光通信系统,光通信网,http://www.lightcomms.com/,2023-10-18,,,,,,,,
2023-007,城市监控LIFI系统,250Mbps,南京智能技术有限公司,2023-08-30,南京市市场监督管理局,南京智能技术有限公司,是,城市管理应用,未来城市研究院,http://www.futurecity.cn/,2023-10-18,,,,,,,,
2023-008,光纤无线融合通信系统,600Mbps,武汉太阳能科技有限公司,2023-07-25,武汉市市场监督管理局,武汉太阳能科技有限公司,是,多媒体传输系统,光电行业资讯,https://www.optical-news.com/,2023-10-18,,,,,,,,
2023-009,智能楼宇控制系统,400Mbps,长春智慧科技有限公司,2023-09-12,长春市市场监督管理局,长春智慧科技有限公司,是,建筑自动化系统,中国建筑科技网,https://www.cabuildtech.com/,2023-10-18,,,,,,,,
2023-010,虚拟现实LIFI系统,350Mbps,成都虚拟科技有限公司,2023-08-15,成都市市场监督管理局,成都虚拟科技有限公司,是,虚拟现实应用,虚拟现实产业报告,https://www.vrindustryreport.com/,2023-10-18,,,,,,,,
2023-011,环境监测光信号系统,450Mbps,苏州环境科技有限公司,2023-06-30,苏州市市场监督管理局,苏州环境科技有限公司,是,环境监测系统,中国环境科技网,http://www.cnenvironmentaltech.com/,2023-10-18,,,,,,,,
2023-012,智能医疗LIFI系统,300Mbps,深圳智医科技有限公司,2023-10-05,深圳市市场监督管理局,深圳智医科技有限公司,是,医疗设备应用,中国医疗科技网,https://www.chinamedtech.com/,2023-10-18,,,,,,,,
2023-013,室外公共场所LIFI方案,550Mbps,厦门光明科技有限公司,2023-08-25,厦门市市场监督管理局,厦门光明科技有限公司,是,公共设施应用,福建先进科技研究院,http://www.fujian-tech.com/,2023-10-18,,,,,,,,
2023-014,高铁移动通信系统,700Mbps,北京铁路通信有限公司,2023-09-20,北京市市场监督管理局,北京铁路通信有限公司,是,运输通信系统,中国铁路科技网,http://www.chinarailtech.com/,2023-10-18,,,,,,,,
2023-015,无人机光通信系统,350Mbps,西安无人科技有限公司,2023-06-10,西安市市场监督管理局,西安无人科技有限公司,是,无人机应用,无人机行业协会,https://www.uavindustry.org/,2023-10-18,,,,,,,,
2023-006,工业LIFI解决方案,500Mbps,成都智能科技有限公司,2023-10-05,四川省市场监督管理局,成都智能科技有限公司,是,工业自动化系统,科技日报,https://www.stdaily.com,2023-10-18,,,,,,,,
2023-007,智慧城市光网络,1Gbps,天津光电通信技术公司,2023-09-22,天津市市场监督管理局,天津光电通信技术公司,是,城市基础设施,城市规划网,http://www.cityplanning.com,2023-10-18,,,,,,,,
2023-008,可穿戴设备LIFI系统,80Mbps,杭州未来科技有限公司,2023-08-15,浙江省市场监督管理局,杭州未来科技有限公司,是,健康监测系统,健康时报,https://www.healthtimes.cn,2023-10-18,,,,,,,,
2023-009,智能公交LIFI系统,125Mbps,西安现代交通科技股份有限公司,2023-07-30,陕西省市场监督管理局,西安现代交通科技股份有限公司,是,公共交通系统,交通运输网,http://www.transportation.com,2023-10-18,,,,,,,,
2023-010,智慧校园光通信系统,250Mbps,北京智慧教育科技有限公司,2023-10-12,北京市市场监督管理局,北京智慧教育科技有限公司,是,教育领域应用,教育科技网,https://www.educationaltechnology.com,2023-10-18,,,,,,,,
2023-011,高效农业LIFI系统,400Mbps,南京农业科技股份有限公司,2023-09-03,江苏省市场监督管理局,南京农业科技股份有限公司,是,农业应用,现代农业网,http://www.modernagriculture.com,2023-10-18,,,,,,,,
2023-012,商业区LIFI网络,350Mbps,上海商业科技有限公司,2023-10-01,上海市市场监督管理局,上海商业科技有限公司,是,商业应用,商业观察网,https://www.businessobservation.com,2023-10-18,,,,,,,,
2023-013,博物馆光通信系统,70Mbps,重庆文化科技发展有限公司,2023-09-19,重庆市市场监督管理局,重庆文化科技发展有限公司,是,文化推广系统,文化产业报,http://www.culturalindustrynews.com,2023-10-18,,,,,,,,
2023-014,房地产光互联网,600Mbps,北京房地产科技有限公司,2023-10-10,北京市市场监督管理局,北京房地产科技有限公司,是,房地产解决方案,房地产网,http://www.realestate.com,2023-10-18,,,,,,,,
2023-006,光连通V2,125Mbps,重庆光信科技有限公司,2023-10-01,重庆市市场监督管理局,重庆光信科技有限公司,是,室内通信系统,搜狐科技,https://www.sohu.com,2023-10-18,,,,,,,,
2023-007,智慧城市光联网,500Mbps,杭州智慧光电有限公司,2023-09-25,浙江省市场监督管理局,杭州智慧光电有限公司,是,城市基础设施,光电网,http://www.lumination.cn,2023-10-18,,,,,,,,
2023-008,LIFI办公解决方案,350Mbps,天津创新科技有限公司,2023-08-15,天津市市场监督管理局,天津创新科技有限公司,是,办公通信系统,界面新闻,https://www.jiemian.com,2023-10-18,,,,,,,,
2023-009,医疗光通信系统,250Mbps,武汉光电医疗技术有限公司,2023-07-12,湖北省市场监督管理局,武汉光电医疗技术有限公司,否,医疗应用系统,健康时报,https://www.jksb.com.cn,2023-10-18,,,,,,,,
2023-010,智能教育分布系统,400Mbps,北京未来教育科技有限公司,2023-06-22,北京市市场监督管理局,北京未来教育科技有限公司,是,在线教育应用,腾讯教育,https://edu.qq.com,2023-10-18,,,,,,,,
2023-011,多功能可见光通信系统,600Mbps,广州多维通信有限公司,2023-05-30,广州市市场监督管理局,广州多维通信有限公司,是,综合通信系统,南方日报,https://www.southcn.com,2023-10-18,,,,,,,,
2023-012,能源管理光通信系统,700Mbps,新疆能源科技有限公司,2023-04-18,新疆维吾尔自治区市场监督管理局,新疆能源科技有限公司,是,能源管理系统,能源网,http://www.chinaenergy.com.cn,2023-10-18,,,,,,,,
2023-013,农业智能光通信系统,200Mbps,青岛农业科技股份有限公司,2023-09-05,山东省市场监督管理局,青岛农业科技股份有限公司,否,农业生产系统,农业信息网,http://www.agnnet.com,2023-10-18,,,,,,,,
2023-014,智能家居光衍射系统,150Mbps,西安智能家居科技有限公司,2023-07-20,陕西省市场监督管理局,西安智能家居科技有限公司,是,家庭自动化系统,家居在线,http://www.fangji.com,2023-10-18,,,,,,,,
2023-006,校园光通信系统,500Mbps,北京智慧校园科技有限公司,2023-10-01,北京市市场监督管理局,北京智慧校园科技有限公司,是,教育领域应用,中国教育科技网,https://www.cet.com,2023-10-18,,,,,,,,
2023-007,车载LIFI系统,250Mbps,广州车联科技有限公司,2023-09-22,广州市市场监督管理局,广州车联科技有限公司,是,交通领域应用,交通运输部,http://www.mot.gov.cn,2023-10-18,,,,,,,,
2023-008,工业可见光通信系统,400Mbps,武汉光电行业协会,2023-08-15,湖北省市场监督管理局,武汉光电行业协会,否,工业领域应用,智汇光电论坛,http://www.lightforum.cn,2023-10-18,,,,,,,,
2023-009,健康监测光通信系统,350Mbps,南京医疗设备有限公司,2023-07-28,江苏省市场监督管理局,南京医疗设备有限公司,是,医疗健康应用,中国医疗器械网,http://www.cmde.org.cn,2023-10-18,,,,,,,,
2023-010,智慧城市光网络,600Mbps,深圳智能城市科技有限公司,2023-06-30,深圳市市场监督管理局,深圳智能城市科技有限公司,是,城市基础设施,智能城市发展论坛,http://www.smartcityforum.cn,2023-10-18,,,,,,,,
2023-011,家庭LIFI能源管理系统,200Mbps,成都能源科技有限公司,2023-05-20,成都市市场监督管理局,成都能源科技有限公司,是,家庭通信系统,绿色能源网,http://www.greenenergy.cn,2023-10-18,,,,,,,,
2023-012,户外企业通信系统,800Mbps,东莞光网科技发展有限公司,2023-04-15,东莞市市场监督管理局,东莞光网科技发展有限公司,是,企业应用,企业网联,http://www.enterpriseunited.cn,2023-10-18,,,,,,,,
2023-013,智能零售LIFI系统,450Mbps,杭州智慧零售科技有限公司,2023-03-30,杭州市市场监督管理局,杭州智慧零售科技有限公司,否,零售应用,零售行业动态,http://www.retailindustrynews.cn,2023-10-18,,,,,,,,
2023-014,企业网络可见光通信,700Mbps,天津企业科技公司,2023-02-10,天津市市场监督管理局,天津企业科技公司,是,企业通信系统,科技信息杂志,http://www.techinfo.com.cn,2023-10-18,,,,,,,,
2023-015,农业智能传感器光通信系统,250Mbps,福州农科集团,2023-01-20,福州市市场监督管理局,福州农科集团,是,农业应用,农业科技网,http://www.agri-tech.cn,2023-10-18,,,,,,,,
2023-006,VIGE2023,120Mbps,天津讯联光电科技有限公司,2023-10-05,天津市市场监督管理局,天津讯联光电科技有限公司,是,室内教育系统,新华网,http://www.xinhuanet.com,2023-10-18,,,,,,,,
2023-007,EcoLite系统,250Mbps,浙江环保科技有限公司,2023-09-22,浙江省市场监督管理局,浙江环保科技有限公司,是,绿色建筑系统,经济日报,http://www.ce.cn,2023-10-18,,,,,,,,
2023-008,水域光通,80Mbps,上海海洋信息科技股份有限公司,2023-08-10,上海市市场监督管理局,上海海洋信息科技股份有限公司,否,水下通信系统,中国海洋报,http://www.coi.gov.cn,2023-10-18,,,,,,,,
2023-009,WiFi Lite家庭系统,180Mbps,北京智能科技有限公司,2023-09-01,北京市市场监督管理局,北京智能科技有限公司,是,家庭通信系统,前瞻产业研究院,https://www.qianzhan.com,2023-10-18,,,,,,,,
2023-010,未来之光连接系统,400Mbps,江苏未来科技集团,2023-07-15,江苏省市场监督管理局,江苏未来科技集团,是,室外商业系统,科技日报,http://www.stdaily.com,2023-10-18,,,,,,,,
2023-011,LIFI学术系统,220Mbps,华东师范大学研究院,2023-08-30,上海市市场监督管理局,华东师范大学研究院,是,高等教育系统,中国教育在线,http://www.eol.cn,2023-10-18,,,,,,,,
2023-012,智能办公光通信系统,300Mbps,武汉智能科技有限公司,2023-09-12,武汉市市场监督管理局,武汉智能科技有限公司,是,办公通信系统,企业观察网,http://www.cqi.com.cn,2023-10-18,,,,,,,,
2023-013,农田光通信系统,60Mbps,四川农业信息科技有限公司,2023-06-25,四川省市场监督管理局,四川农业信息科技有限公司,否,农业应用系统,农业科技网,http://www.agri-tech.cn,2023-10-18,,,,,,,,
2023-014,轨道交通光通信系统,170Mbps,广东轨道交通科技有限公司,2023-08-15,广东省市场监督管理局,广东轨道交通科技有限公司,是,交通管理系统,城市交通杂志,http://www.citytransport.com,2023-10-18,,,,,,,,
2023-015,LIFI智能照明a,320Mbps,福建智能光联科技有限公司,2023-09-18,福建省市场监督管理局,福建智能光联科技有限公司,是,智能照明系统,光通信网,http://www.lightcomm.com,2023-10-18,,,,,,,,
2023-006,城市交通LIFI系统,120Mbps,北京智联科技有限公司,2023-10-02,北京市市场监督管理局,北京智联科技有限公司,是,城市交通系统,中国交通信息网,http://www.chinatransportinfo.com,2023-10-18,,,,,,,,
2023-007,卫星通信光模块,250Mbps,华星光电科技有限公司,2023-09-25,工业和信息化部,华星光电科技有限公司,否,远程通信系统,科技日报,http://www.stdaily.com,2023-10-18,,,,,,,,
2023-008,工业4.0光通信系统,400Mbps,江苏工业科技有限公司,2023-08-15,江苏省市场监督管理局,江苏工业科技有限公司,是,工业自动化,前瞻产业研究院,https://www.qianzhan.com,2023-10-18,,,,,,,,
2023-009,智能办公LIFI系统,180Mbps,成都未来科技有限公司,2023-07-20,成都市市场监督管理局,成都未来科技有限公司,是,智能办公系统,成都日报,http://www.chengduribao.com,2023-10-18,,,,,,,,
2023-010,医疗可见光通信系统,300Mbps,广州医疗科技股份有限公司,2023-06-11,广州市市场监督管理局,广州医疗科技股份有限公司,是,医疗应用系统,医疗科技网,http://www.medicaltech.com,2023-10-18,,,,,,,,
2023-011,高校校园LIFI网络,350Mbps,上海教育科技有限公司,2023-10-01,上海市教育局,上海教育科技有限公司,是,校园网络系统,教育科技观察,http://www.eduobs.com,2023-10-18,,,,,,,,
2023-012,展览会LIFI系统,90Mbps,陕西会展科技公司,2023-09-15,西安市市场监督管理局,陕西会展科技公司,否,展览会通信,会展周刊,http://www.exhibitionweekly.com,2023-10-18,,,,,,,,
2023-013,智能电网光通信系统,300Mbps,深圳电力科技有限公司,2023-07-25,深圳市市场监督管理局,深圳电力科技有限公司,是,电力行业应用,电力观察网,http://www.electricobs.com,2023-10-18,,,,,,,,
2023-014,智能农业光通信系统,160Mbps,安徽智能科技有限公司,2023-08-08,合肥市市场监督管理局,安徽智能科技有限公司,是,农业技术应用,农业科技网,http://www.agritech.com,2023-10-18,,,,,,,,
2023-015,光计算存储系统,500Mbps,浙江计算机技术有限公司,2023-05-30,浙江省市场监督管理局,浙江计算机技术有限公司,是,计算存储,计算机周刊,http://www.computerweekly.com,2023-10-18,,,,,,,,
2023-006,LIFI企业解决方案,400Mbps,北京智联科技有限公司,2023-10-01,北京市市场监督管理局,北京智联科技有限公司,是,商业通信系统,科技日报,http://www.stdaily.com,2023-10-18,,,,,,,,
2023-007,Smart Light LIFI,250Mbps,杭州光影科技有限公司,2023-09-10,杭州市市场监督管理局,杭州光影科技有限公司,是,智能办公系统,杭州日报,http://www.hznews.com,2023-10-18,,,,,,,,
2023-008,光纤教育网络,350Mbps,武汉教育科技有限公司,2023-08-15,武汉市市场监督管理局,武汉教育科技有限公司,是,教育领域应用,中国教育网,http://www.edu.cn,2023-10-18,,,,,,,,
2023-009,黄浦江水下通信系统,60Mbps,上海水下技术研究所,2023-07-30,上海市市场监督管理局,上海水下技术研究所,否,水下通信系统,科技前沿,http://www.techfrontiers.com,2023-10-18,,,,,,,,
