OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
512,7.2,bps/Hz,1/2符号周期,130,μs,长序列,频域估计,2,kHz,2,ms,900,m,Rayleigh衰落,每隔4个符号,1/64,较高,动态地址,光电技术研究,https://www.oemtech.com,2024-10-16,,,
256,6,bps/Hz,1/16符号周期,110,μs,短序列,自适应估计,6.25,kHz,4,ms,600,m,Nakagami衰落,每个OFDM符号,1/32,适中,地址固定,高等院校研究测评,https://www.edu.cn,2024-10-16,,,
128,4,bps/Hz,1/8符号周期,140,μs,时钟同步信号,频域估计,14.5,kHz,6.9,ms,500,m,Rician衰落,每隔2个符号,,高,nan,信息通信技术研究所,https://www.ict.ac.cn,2024-10-16,,,
32,3,bps/Hz,1/8符号周期,120,μs,伪随机序列,基于模型的估计,20,kHz,31.25,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
64,4.5,bps/Hz,1/16符号周期,200,μs,时钟同步信号,信道脉冲响应,10,kHz,20,ms,300,m,Rician衰落,每隔2个符号,,高,地址动态,4G LTE Technical Reports,https://www.itu.int/en/ITU-T/studygroups/2017-2020/16/Pages/default.aspx,2024-10-16,,,
128,5,bps/Hz,1/4符号周期,70,μs,短序列,最小二乘估计,15,kHz,6.67,ms,600,m,AWGN,每个OFDM符号,,较低,nan,China Academy of Telecommunications,http://www.catr.cn/,2024-10-16,,,
2048,8,bps/Hz,1/32符号周期,100,μs,长序列,自适应估计,1,kHz,0.5,ms,1200,m,Nakagami衰落,每隔4个符号,1/64,高,地址动态,NIST Publications,https://www.nist.gov/,2024-10-16,,,
512,6.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,导频插入法,5,kHz,3,ms,700,m,Rayleigh衰落,每隔5个符号,1/32,适中,地址固定,光通信技术杂志,https://www.sciencedirect.com/journal/optical-communications-and-networks,2024-10-16,,,
256,5.5,bps/Hz,1/16符号周期,110,μs,短序列,基于导频的估计,2,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,地址动态,Telecom Review,https://www.telecomreview.com/,2024-10-16,,,
128,6,bps/Hz,1/8符号周期,130,μs,长序列,最小二乘法,7.5,kHz,10,ms,500,m,Rician衰落,每个OFDM符号,,高,nan,光纤通信技术,https://www.fiberoptics.com/,2024-10-16,,,
1024,7,bps/Hz,1/4符号周期,150,μs,动态序列,基于稀疏信道的估计,3.5,kHz,8,ms,900,m,Nakagami衰落,每隔3个符号,,适中,地址固定,Optical Society of America,https://www.osapublishing.org/,2024-10-16,,,
64,4.2,bps/Hz,1/16符号周期,90,μs,伪随机序列,基于盲估计,12,kHz,15,ms,350,m,AWGN,每个OFDM符号,,较低,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
32,3,bps/Hz,1/16符号周期,80,μs,固定频率信号,已知信道信息,20,kHz,30,ms,250,m,Rice衰落,每隔两个OFDM符号,,适中,动态地址,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
512,8,bps/Hz,1/8符号周期,120,μs,全序列,周期性插入,15,kHz,6.67,ms,450,m,AWGN,每隔四个符号,,高,固定地址,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
384,6.5,bps/Hz,1/4符号周期,90,μs,时间同步信号,插值方法,12.5,kHz,8,ms,600,m,MIMO衰落,每个OFDM符号,,适中,地址随机分配,SpringerLink,https://link.springer.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,110,μs,伪随机序列,最近邻估计,10,kHz,12,ms,300,m,Rayleigh衰落,每隔三个符号,,较低,地址动态,MDPI,https://www.mdpi.com/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,130,μs,固定序列,自适应滤波,5,kHz,15,ms,400,m,Nakagami衰落,每个OFDM符号,,适中,固定地址,Elsevier,https://www.elsevier.com/,2024-10-16,,,
256,9,bps/Hz,1/4符号周期,210,μs,同步前导序列,信道均衡,6.25,kHz,4,ms,700,m,AWGN,每隔两个OFDM符号,,高,地址随机,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
1024,10,bps/Hz,1/8符号周期,300,μs,特定模式信号,多用户估计,1.25,kHz,1,ms,1200,m,选择性衰落,每个ODFM符号,,非常高,动态分配,光通信学会,https://www.liaison.org/,2024-10-16,,,
2048,11,bps/Hz,1/16符号周期,250,μs,时间戳信号,智能算法补偿,0.625,kHz,0.5,ms,1500,m,Rician衰落,每隔五个符号,,适中,固定分配,光电技术期刊,https://www.journalofoptoelectronics.com/,2024-10-16,,,
16,2,bps/Hz,1/32符号周期,40,μs,快速同步信号,模糊误差模型,25,kHz,60,ms,200,m,仅限应用,每隔一个符号,,低,动态变更,国际通信杂志,https://www.ictjournal.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,时域均衡估计,12,kHz,16.67,ms,450,m,Rayleigh衰落,每3个符号,,适中,动态,IEEE论文集,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,短序列,最小均方估计,6,kHz,8.33,ms,350,m,Rician衰落,每个OFDM符号,,高,固定,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,7.1,bps/Hz,1/4符号周期,60,μs,时钟同步信号,信道脉冲响应,3,kHz,4,ms,600,m,AWGN,每隔2个符号,,较低,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔4个符号,1/32,高,动态,MDPI期刊,https://www.mdpi.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/4符号周期,90,μs,伪随机序列,自适应估计,1.25,kHz,1,ms,1400,m,Rayleigh衰落,每个OFDM符号,1/64,较低,地址固定,SpringerLink,https://link.springer.com/,2024-10-16,,,
2048,9.3,bps/Hz,1/8符号周期,200,μs,长序列,线性插值,0.5,kHz,0.5,ms,1500,m,Rician衰落,每隔2个符号,,适中,动态,ACM数字图书馆,https://dl.acm.org/,2024-10-16,,,
512,6.5,bps/Hz,1/16符号周期,110,μs,短序列,盲估计法,2.5,kHz,2.5,ms,800,m,AWGN,每个OFDM符号,1/32,高,nan,TechCrunch,https://techcrunch.com/,2024-10-16,,,
256,5.8,bps/Hz,1/32符号周期,70,μs,时钟同步信号,基于导频的估计,3.5,kHz,4,ms,550,m,Nakagami衰落,每隔3个符号,1/64,较低,固定,CNKI,https://www.cnki.net/,2024-10-16,,,
128,4.8,bps/Hz,1/8符号周期,160,μs,短序列,非导频估计,5,kHz,8.33,ms,400,m,Rayleigh衰落,每个OFDM符号,,高,动态,MDPI期刊,https://www.mdpi.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,较高,动态地址,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,6,bps/Hz,1/16符号周期,90,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,400,m,Rician衰落,每隔2个符号,,高,地址固定,国际电信联盟,https://www.itu.int/en/ITU-T/publications/Pages/default.aspx,2024-10-16,,,
256,5,bps/Hz,1/4符号周期,130,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,中等,nan,华为技术有限公司,https://www.huawei.com/en/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,110,μs,长序列,导频插入法,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,固定地址,阿里云,https://www.aliyun.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,210,μs,伪随机序列,粒子滤波,1.56,kHz,1,ms,900,m,Rayleigh衰落,每隔4个符号,1/40,适中,动态地址,南方科技大学,http://www.sustech.edu.cn/,2024-10-16,,,
2048,9,bps/Hz,1/16符号周期,160,μs,时钟同步信号,最小均方误差,0.75,kHz,0.5,ms,1500,m,Rician衰落,每个OFDM符号,,高,nan,国家无线电监测中心,http://www.nrsc.org.cn/,2024-10-16,,,
4096,10,bps/Hz,1/8符号周期,300,μs,长序列,导频序列为主,0.37,kHz,0.25,ms,2000,m,AWGN,每隔8个符号,/25,适中,地址固定,清华大学学报,https://www.tsinghua.edu.cn/,2024-10-16,,,
8192,11,bps/Hz,1/4符号周期,400,μs,频率偏移信号,自适应估计,0.19,kHz,0.125,ms,3000,m,Nakagami衰落,每隔4个符号,1/50,极高,固定地址,中科院信息技术研究所,http://www.ict.ac.cn/,2024-10-16,,,
16384,12,bps/Hz,1/8符号周期,250,μs,伪随机序列,基于导频的估计法,0.094,kHz,0.0625,ms,4000,m,Rician衰落,每个OFDM符号,1/100,极高,动态地址,光纤通信技术,http://www.opticalfiber.org/,2024-10-16,,,
64,3.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小均方误差估计,12.5,kHz,20,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,深圳大学,http://www.szu.edu.cn,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,250,μs,时钟同步信号,信道均衡,6,kHz,8,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
256,6.5,bps/Hz,1/2符号周期,100,μs,重复序列,自适应估计,4.5,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
512,7.5,bps/Hz,1/4符号周期,250,μs,长序列,导频插入法,1.5,kHz,1.5,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,地址动态,南开大学,http://www.nankai.edu.cn,2024-10-16,,,
1024,9,bps/Hz,1/8符号周期,300,μs,伪随机序列,最小二乘估计,0.75,kHz,0.98,ms,1500,m,Rician衰落,每隔5个符号,1/64,适中,地址固定,东南大学,http://www.seu.edu.cn,2024-10-16,,,
256,6,bps/Hz,1/8符号周期,80,μs,短序列,自适应估计,8.75,kHz,12,ms,600,m,AWGN,每个OFDM符号,,较低,nan,国家无线电监测中心,http://www.nrcc.gov.cn,2024-10-16,,,
128,4.5,bps/Hz,1/16符号周期,180,μs,长序列,基于导频估计,5.5,kHz,9,ms,450,m,Rayleigh衰落,每隔1个符号,,高,地址动态,光通信研究院,http://www.optical-communication.cn,2024-10-16,,,
512,8,bps/Hz,1/4符号周期,220,μs,短序列,最小均方误差托管,2,kHz,1.25,ms,950,m,Nakagami衰落,每个OFDM符号,1/32,适中,非固定,科技日报,http://www.stdaily.com,2024-10-16,,,
1024,10,bps/Hz,1/8符号周期,280,μs,长序列,信道状态信息估计,0.5,kHz,3,ms,1600,m,AWGN,每隔4个符号,1/64,高,预计不变,中国电子技术标准化研究院,http://www.cesi.cn,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,12.5,kHz,16,ms,600,m,Rayleigh衰落,每个OFDM符号,/06,适中,地址固定,华北电力大学,http://www.ncepu.edu.cn,2024-10-16,,,
256,6.2,bps/Hz,1/16符号周期,80,μs,长序列,自适应估计,5,kHz,4,ms,450,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5,bps/Hz,1/4符号周期,160,μs,时钟同步信号,信道脉冲响应,10,kHz,8,ms,300,m,AWGN,每个OFDM符号,,较低,nan,Journal of Communications,https://www.journalofcommunications.com,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,100,μs,长序列,导频插入法,2.5,kHz,2,ms,900,m,Nakagami衰落,每隔4个符号,,高,nan,光纤通信技术期刊,http://www.octjournal.com,2024-10-16,,,
1024,8.4,bps/Hz,1/8符号周期,90,μs,短序列,时域插值法,1.25,kHz,1,ms,1200,m,Rayleigh衰落,每6个符号,1/32,适中,地址固定,光电子学杂志,https://www.journalofoptoelectronics.com,2024-10-16,,,
768,7,bps/Hz,1/4符号周期,220,μs,时钟同步信号,最小均方误差,3.2,kHz,2.5,ms,700,m,AWGN,每个OFDM符号,/10,较低,地址动态,Elsevier ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,5.5,bps/Hz,1/8符号周期,110,μs,伪随机序列,导频引导法,8.3,kHz,5,ms,800,m,Rician衰落,每隔3个符号,/,高,nan,光通信研究,http://www.lightcommresearch.com,2024-10-16,,,
1024,8.1,bps/Hz,1/2符号周期,250,μs,长序列,时变信道估计,2.5,kHz,1.2,ms,1500,m,Nakagami衰落,每隔2个符号,,适中,地址固定,光网络周刊,http://www.lighteventweekly.com,2024-10-16,,,
512,6.8,bps/Hz,1/8符号周期,180,μs,短序列,最优导频估计,1.875,kHz,2.67,ms,600,m,Rayleigh衰落,每个OFDM符号,/24,较低,nan,学术交流网,http://www.academic.net,2024-10-16,,,
32,3,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,12.5,kHz,20,ms,450,m,Rayleigh衰落,每个OFDM符号,/06,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
512,6,bps/Hz,1/4符号周期,120,μs,长序列,自适应估计,10,kHz,10,ms,800,m,AWGN,每隔2个符号,1/32,高,动态地址,国防科技大学,http://www.nudt.edu.cn/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,210,μs,时钟同步信号,信道脉冲响应,6,kHz,15,ms,375,m,Rician衰落,每隔4个符号,,较高,地址固定,科研论文,https://www.researchgate.net/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,短序列,导频插入法,3.125,kHz,3.2,ms,600,m,Nakagami衰落,每隔5个符号,,适中,nan,光通信期刊,https://www.osapublishing.org/,2024-10-16,,,
64,4.5,bps/Hz,1/2符号周期,140,μs,希望序列,自适应估计,15.625,kHz,16.67,ms,700,m,Rayleigh衰落,每个OFDM符号,,较低,动态地址,COST Action,http://www.cost.eu/,2024-10-16,,,
256,5.8,bps/Hz,1/4符号周期,180,μs,时钟同步信号,最小二乘估计,7.5,kHz,7.5,ms,450,m,AWGN,每隔2个符号,1/32,高,地址动态,技术论坛,https://www.itu.int/,2024-10-16,,,
2048,9,bps/Hz,1/16符号周期,160,μs,长序列,信道脉冲响应,1.25,kHz,0.5,ms,1200,m,Rician衰落,每个OFDM符号,1/64,适中,nan,中国电子科技集团,http://www.cetc.com/,2024-10-16,,,
512,6.2,bps/Hz,1/2符号周期,170,μs,伪随机序列,自适应估计,2.5,kHz,4,ms,550,m,Nakagami衰落,每隔3个符号,,低,地址固定,中国科学技术大学,http://www.ustc.edu.cn/,2024-10-16,,,
256,5,bps/Hz,1/8符号周期,110,μs,短序列,信道脉冲响应,8.33,kHz,12,ms,300,m,AWGN,每隔4个符号,,高,动态地址,光电技术期刊,http://www.journalofoptronics.org/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小均方误差,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,/06,适中,地址动态,IEEE Transactions on Communications,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,220,μs,外部同步信号,基于导频的估计,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,,高,地址固定,光电技术学报,http://www.opticsjournal.net/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,45,μs,扩频序列,自适应滤波,4.2,kHz,4,ms,750,m,AWGN,每个OFDM符号,,较低,nan,Journal of Optical Communications and Networking,https://www.osapublishing.org/jocn/home.cfm,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,150,μs,长序列,导频插入法,2.5,kHz,2,ms,800,m,Nakagami衰落,每隔3个符号,1/32,高,地址动态,中国光学,https://www.chineseoptics.net/,2024-10-16,,,
1024,8.1,bps/Hz,1/8符号周期,180,μs,快速傅里叶变换,信道脉冲响应,1.25,kHz,1,ms,900,m,Rayleigh衰落,每隔4个符号,1/64,适中,nan,Telecommunication Systems,https://www.springer.com/journal/11235,2024-10-16,,,
256,6,bps/Hz,1/16符号周期,75,μs,长序列,最小二乘估计,3.125,kHz,8,ms,500,m,Rician衰落,每个OFDM符号,,较低,地址固定,Journal of Communications and Networks,https://www.springer.com/journal/12235,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,100,μs,时钟同步信号,基于CSI的估计,10,kHz,8,ms,400,m,AWGN,每隔2个符号,/10,高,地址动态,红外与激光工程,http://www.irlaeg.com/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,130,μs,伪随机序列,快速傅里叶变换,16,kHz,16.67,ms,300,m,Nakagami衰落,每隔3个符号,,适中,地址固定,中国电信科技,http://www.chinatelecom.com.cn/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,短序列,推测性算法,2,kHz,2,ms,1100,m,Rayleigh衰落,每个OFDM符号,,高,nan,光电信息科学,https://www.opticsjournal.net/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,50,μs,数字时钟,固定导频,1,kHz,1,ms,1200,m,Rician衰落,每隔5个符号,1/50,适中,地址动态,光电子学报,http://www.journalofoptoelectronics.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,中国电信研究院,http://www.chinatelecom-h.com,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,120,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,550,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE通讯杂志,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
256,6.4,bps/Hz,1/3符号周期,60,μs,短序列,自适应估计,4.5,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,南京邮电大学,http://www.njupt.edu.cn,2024-10-16,,,
512,7.1,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,1.5,kHz,2,ms,950,m,Nakagami衰落,每隔3个符号,1/32,高,nan,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,100,μs,脉冲信号,最小二乘估计,1,kHz,1,ms,1200,m,Rayleigh衰落,每个OFDM符号,1/64,适中,地址固定,北方工业大学,http://www.ncut.edu.cn,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,110,μs,伪随机序列,信道脉冲响应,8,kHz,12.5,ms,500,m,Rician衰落,每隔2个符号,,高,地址动态,中国科学技术大学,http://www.ustc.edu.cn,2024-10-16,,,
1024,8.5,bps/Hz,1/2符号周期,180,μs,长序列,导频插入法,0.5,kHz,0.8,ms,1600,m,Nakagami衰落,每隔4个符号,1/32,高,nan,上海交通大学,http://www.sjtu.edu.cn,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,90,μs,脉冲信号,自适应估计,3,kHz,4.5,ms,600,m,AWGN,每个OFDM符号,1/64,较低,nan,复旦大学,http://www.fudan.edu.cn,2024-10-16,,,
512,7.3,bps/Hz,1/3符号周期,160,μs,长序列,信道脉冲响应,1.25,kHz,1.6,ms,850,m,Rayleigh衰落,每隔2个符号,,适中,地址固定,湖南大学,http://www.hnu.edu.cn,2024-10-16,,,
256,5.9,bps/Hz,1/2符号周期,130,μs,伪随机序列,最小二乘估计,3.2,kHz,4,ms,300,m,Rician衰落,每个OFDM符号,,高,地址动态,北京大学,http://www.pku.edu.cn,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,时频估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,自适应估计,7.5,kHz,8.33,ms,400,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,60,μs,短序列,最小二乘估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,中国通讯,https://www.chinatelecom.com.cn,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,120,μs,长序列,导频插入法,1.875,kHz,2,ms,950,m,Nakagami衰落,每隔4个符号,1/32,高,地址动态,光通信与网络,http://www.lightcommunication.org,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,130,μs,周期性序列,信道脉冲响应,1.25,kHz,1,ms,1200,m,Rician衰落,每隔4个符号,1/64,极高,地址固定,电子学报,http://www.electronicsjournal.org,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,110,μs,伪随机序列,自适应估计,10,kHz,8.33,ms,350,m,Rayleigh衰落,每个OFDM符号,,适中,nan,欧盟通讯研究,http://www.ec.europa.eu,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,90,μs,短周期序列,最小二乘估计,5,kHz,4,ms,700,m,AWGN,每隔3个符号,,较低,地址动态,ScienceDirect,https://www.sciencedirect.com,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,2.5,kHz,2,ms,1100,m,Nakagami衰落,每隔3个符号,1/32,高,nan,国家信息中心,http://www.nic.gov.cn,2024-10-16,,,
1024,9,bps/Hz,1/16符号周期,200,μs,周期性序列,时频估计,1,kHz,0.98,ms,1400,m,Rician衰落,每隔4个符号,1/64,极高,地址动态,华为技术,https://www.huawei.com,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.3,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,320,m,Rician衰落,每隔2个符号,,高,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,75,μs,长序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,1/32,较低,nan,SpringerLink,https://link.springer.com/,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,160,μs,短序列,导频插入法,1,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/64,高,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,125,μs,伪随机序列,信道脉冲响应,1.25,kHz,1,ms,1500,m,Rayleigh衰落,每个OFDM符号,1/32,适中,地址动态,arXiv,https://arxiv.org/,2024-10-16,,,
2048,9.2,bps/Hz,1/16符号周期,90,μs,长序列,自适应估计,0.625,kHz,0.5,ms,2000,m,AWGN,每隔4个符号,,高,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,6.9,bps/Hz,1/8符号周期,140,μs,时钟同步信号,导频插入法,1.875,kHz,2,ms,950,m,Rician衰落,每隔2个符号,,适中,地址固定,通讯学报,http://www.comjournals.com/,2024-10-16,,,
256,5.8,bps/Hz,1/4符号周期,110,μs,短序列,信道脉冲响应,3.75,kHz,4,ms,650,m,Nakagami衰落,每个OFDM符号,1/32,较低,nan,中国通信杂志,http://www.chinacomms.cn/,2024-10-16,,,
1024,8.1,bps/Hz,1/16符号周期,180,μs,伪随机序列,自适应估计,0.625,kHz,1,ms,1250,m,AWGN,每隔4个符号,1/64,高,地址动态,电子与信息学报,http://www.jei.info/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,序列码同步,最大比合并,12.5,kHz,20,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,Tencent Research,http://www.tencent.com/zh-cn/research/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,170,μs,长伪随机序列,压缩感知,6.25,kHz,10,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,120,μs,信号序列,信道相关估计,5,kHz,4,ms,600,m,AWGN,每个OFDM符号,,较低,nan,国家通信研究院,http://www.ncra.org.cn,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,200,μs,弱同步序列,信道矩阵,3.125,kHz,1,ms,750,m,Nakagami衰落,每隔4个符号,1/32,高,地址动态,光通信学报,http://www.journaloflightwaveengineering.org,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,250,μs,双频率序列,基于导频的估计,1.5625,kHz,0.9765625,ms,1200,m,Log-Normal衰落,每隔2个符号,1/64,很高,地址固定,光通信技术研究所,http://www.lightroute.org,2024-10-16,,,
256,6.3,bps/Hz,1/3符号周期,110,μs,伪随机序列,简单最小均方误差,4,kHz,5,ms,500,m,极端AWGN,每个OFDM符号,,适中,nan,国际通信联合会,http://www.itu.int,2024-10-16,,,
128,5.5,bps/Hz,1/10符号周期,90,μs,短序列,基于信号功率的估计,6,kHz,8,ms,450,m,Rayleigh衰落,每隔3个符号,,适中,地址固定,光通信与网络,https://www.journaloflight.com,2024-10-16,,,
64,4,bps/Hz,1/6符号周期,130,μs,时钟同步信号,导频显示法,10,kHz,15,ms,300,m,Rician衰落,每隔4个符号,,较高,地址动态,企业通信技术,http://www.techconsult.com,2024-10-16,,,
512,8,bps/Hz,1/5符号周期,180,μs,多路径同步,自适应混合估计,2.5,kHz,2,ms,900,m,Nakagami衰落,每个OFDM符号,1/32,高,nan,未来通信技术,http://www.futuretech.org,2024-10-16,,,
256,7,bps/Hz,1/8符号周期,95,μs,简单伪随机序列,常规估计,3.125,kHz,4,ms,600,m,极端AWGN,每隔2个符号,,适中,地址固定,国际电信联盟,http://www.itu.int,2024-10-16,,,
256,6.5,bps/Hz,1/8符号周期,80,μs,延迟锁定信号,时频估计,6.25,kHz,4,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,4.5,bps/Hz,1/4符号周期,120,μs,自适应序列,最小方差估计,12,kHz,8,ms,450,m,Rician衰落,每隔4个符号,,较高,动态分配,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
64,5.2,bps/Hz,1/16符号周期,70,μs,单周期序列,导频基线估计,15,kHz,16.67,ms,300,m,AWGN,每个OFDM符号,1/32,正常,静态地址,MIT OpenCourseWare,https://ocw.mit.edu/,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,200,μs,检测序列,直方图估计,1.25,kHz,2,ms,1200,m,Nakagami衰落,每隔2个符号,,高,自适应分配,MDPI,https://www.mdpi.com/,2024-10-16,,,
1024,10.5,bps/Hz,1/8符号周期,250,μs,伪随机序列,相关连续估计,2.5,kHz,1,ms,750,m,Rayleigh衰落,每隔4个符号,1/64,非常高,完全动态,Gartner,https://www.gartner.com/,2024-10-16,,,
384,7.5,bps/Hz,1/16符号周期,60,μs,跨域同步,时变信道估计,3.125,kHz,6,ms,800,m,参数化模拟,每个OFDM符号,1/32,适中,固定地址,Applied Physics Letters,https://aip.scitation.org/journal/apl,2024-10-16,,,
2048,12,bps/Hz,1/4符号周期,180,μs,脉冲序列,导频频率估计,0.625,kHz,0.5,ms,1100,m,Rician衰落,每隔3个符号,,高,自动分配,ZTE Corporation,https://www.zte.com.cn/,2024-10-16,,,
