试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
基于VLC的城市照明系统测试,20240110,城市VLC照明系统,技术开发,完成,第一阶段,产品测试,深圳大学,深圳光电研究所,2024-01-20,2024-02-10,2024-08-10,2024-10-15,项目总结,深圳光源科技有限公司,市场调查,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
可见光通信与无线网络结合实验,20240111,光无线融合系统,系统集成,准备中,第一阶段,技术研究,北京邮电大学,北邮光电实验室,2024-01-30,2024-02-15,2024-07-15,2024-10-06,新项目申请,北京光通信有限公司,实验室数据,中国,北京邮电大学官网,https://www.bupt.edu.cn/,2024-10-17,,,,,
新型可见光通信系统评估,20240104,生态可见光通信系统,实验室测试,完成,第一阶段,基础研究,华中科技大学,华中科技大学光电子实验室,2024-02-12,2024-02-20,2024-04-01,2024-04-05,新申请,华中光电有限公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光计算效率的理论研究,20240105,基于光计算的智能系统,应用研究,进行中,第二阶段,应用开发,浙江大学,浙江大学信息技术研究所,2024-03-01,2024-03-15,待定,2024-09-25,技术改进,浙江科技有限公司,项目进展报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光信号在复杂环境中的测试,20240106,多光源通信系统,系统集成,准备中,第一阶段,系统测试,东南大学,东南大学信息工程学院,2024-03-12,待定,待定,待定,初步申请,东南光电科技,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光的室内导航方案,20240107,室内光导航系统,应用开发,进行中,第二阶段,技术应用,福州大学,福州大学光电研究所,2024-04-01,2024-04-10,待定,2024-09-20,新技术,福建科技有限公司,项目数据,中国,福州大学官网,https://www.fzu.edu.cn/,2024-10-17,,,,,
光计算在智能交通中的应用研究,20240108,智能交通光计算系统,应用研究,完成,第三阶段,技术研发,南开大学,南开大学智能研究中心,2024-01-20,2024-01-30,2024-03-30,2024-04-01,新申请,南开智能科技,实验室数据,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
可见光通信在海洋传感器中的应用,20240109,海洋传感器系统,实验室测试,进行中,第一阶段,基础研究,武汉大学,武汉大学海洋研究院,2024-04-15,2024-04-20,待定,2024-09-15,新技术,武汉智能科技,项目进展报告,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
基于LED的环境监测系统开发,20240110,LED环境监测系统,应用开发,完成,第一阶段,产品测试,华东师范大学,华东师范大学生物与环境科学学院,2024-01-18,2024-01-25,2024-03-10,2024-03-15,新申请,华东智能科技,实验室数据,中国,华东师范大学官网,https://www.ecnu.edu.cn/,2024-10-17,,,,,
基于光的医疗影像传输系统研究,20240111,医疗影像光传输系统,系统集成,准备中,初步阶段,基础研究,重庆大学,重庆大学光电研究中心,2024-02-05,待定,待定,待定,新申请,重庆光电科技有限公司,实验室数据,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
可见光通信在智慧城市的应用研究,20240104,智慧城市VLC系统,应用研究,完成,第一阶段,基础研究,华中科技大学,华中科技大学实验室,2024-02-01,2024-02-05,2024-03-05,2024-03-06,新申请,华中科技公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
高效光计算算法设计与实现,20240105,光计算高效算法平台,技术研发,进行中,第二阶段,应用开发,浙江大学,浙江大学计算机系,2024-02-15,2024-02-20,2024-11-30,2024-10-12,改进申请,浙江光电有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光通信与光计算联合测试项目,20240106,联合测试平台,系统集成,准备中,第一阶段,系统测试,复旦大学,复旦大学电子工程系,2024-03-01,待定,待定,待定,初步申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信的抗干扰能力研究,20240107,抗干扰VLC系统,基础研究,完成,第三阶段,技术研究,东南大学,东南大学光电实验室,2024-01-18,2024-01-25,2024-03-20,2024-03-21,新技术,东南光电公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光的无线网络新方案,20240108,VLC无线网络系统,应用研究,进行中,第二阶段,网络测试,南京理工大学,南京理工大学网络研究中心,2024-02-20,2024-02-25,2024-06-30,2024-06-01,改进申请,南京光电科技公司,项目报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
VLC与AI结合的新型计算模型,20240109,AI光计算平台,创新研究,完成,第一阶段,技术开发,厦门大学,厦门大学科技与工程学院,2024-01-25,2024-02-01,2024-03-30,2024-03-31,新技术,厦门光电公司,实验室数据,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
低功耗光通信系统研发,20240110,低功耗VLC系统,技术研发,进行中,第二阶段,性能测试,四川大学,四川大学光电工程系,2024-03-10,2024-03-15,2024-09-30,2024-09-01,改进申请,四川科技有限公司,项目报告,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
城市轨道交通中的光通信应用,20240111,轨道交通VLC系统,应用研究,完成,第三阶段,技术研究,广州大学,广州大学交通工程学院,2024-01-30,2024-02-05,2024-03-15,2024-03-16,新技术,广州科技有限公司,实验室数据,中国,广州大学官网,https://www.gzhu.edu.cn/,2024-10-17,,,,,
室内可见光通信实测,20240104,室内VLC系统,应用研究,完成,第一阶段,技术验证,南京理工大学,南京光电技术研究中心,2024-01-20,2024-01-25,2024-02-15,2024-02-16,新申请,南京光电科技有限公司,实验室数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
光计算应用于智能农业研究,20240105,智能农业系统,应用开发,进行中,第二阶段,技术研发,华南农业大学,华南农业大学研究所,2024-01-18,2024-01-30,待定,2024-10-12,技术改进,华南科技公司,项目报告,中国,华南农业大学官网,https://www.scau.edu.cn/,2024-10-17,,,,,
城市可见光网络优化实验,20240106,城市VLC网络,系统集成,准备中,第一阶段,系统设计,中山大学,中山大学技术开发中心,2024-01-12,待定,待定,待定,初步申请,中山光电开发公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
可见光通信与AI优化集成实验,20240107,AI驱动的VLC系统,应用研究,完成,第二阶段,技术验证,浙江大学,浙江大学智能实验室,2024-02-01,2024-02-05,2024-03-20,2024-03-21,新技术,浙江光电科技股份,项目数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
医院可见光通信应用研究,20240108,智能医疗VLC系统,应用开发,进行中,第一阶段,医疗研究,北京大学医学部,北京大学医院,2024-01-25,2024-01-28,待定,2024-09-01,改进申请,医疗光电技术公司,项目报告,中国,北京大学官网,https://www.bjmu.edu.cn/,2024-10-17,,,,,
光计算与5G融合应用实验,20240109,5G与光计算平台,系统集成,准备中,第二阶段,应用开发,东南大学,东南大学光电实验室,2024-01-30,待定,待定,待定,初步申请,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光计算系统在智能家居中的应用,20240110,智能家居光计算解决方案,应用研究,完成,第三阶段,技术开发,哈工大,哈尔滨工业大学科技园,2024-02-05,2024-02-15,2024-03-30,2024-03-31,新技术,哈工大光电技术公司,项目数据,中国,哈工大官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于VLC的交通管理系统实验,20240111,VLC智能交通系统,系统集成,进行中,第一阶段,城市规划,华东交通大学,华东交通大学智能交通实验室,2024-01-12,2024-02-01,待定,2024-10-05,技术申请,华东交通科技公司,项目报告,中国,华东交通大学官网,https://www.east-jt.edu.cn/,2024-10-17,,,,,
新型可见光无线通信技术开发,20240104,VLC-5G融合系统,技术开发,进行中,第一阶段,原型测试,复旦大学,复旦通信研究所,2024-01-12,2024-01-20,2024-05-20,2024-10-11,新技术,复旦光电科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居系统实验,20240105,智慧家居VLC系统,应用开发,完成,第二阶段,技术验证,华南理工大学,华南理工大学智能技术中心,2024-01-15,2024-01-25,2024-05-15,2024-10-10,新申请,华南光电有限公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光通信在农业中的应用研究,20240106,农业环境监测VLC系统,实验室测试,准备中,第一阶段,基础研究,南京农业大学,南京农业大学环境科学研究所,2024-01-18,待定,待定,待定,初步申请,农业科技发展公司,文献综述,中国,南京农业大学官网,https://www.njau.edu.cn/,2024-10-17,,,,,
基于光计算的智能交通系统研究,20240107,光计算交通监测系统,技术开发,进行中,第二阶段,产品开发,交通运输部科学研究院,智能交通实验室,2024-01-20,2024-01-30,2024-11-30,2024-10-12,技术改进,交通数据科技有限公司,技术报告,中国,交通运输部官网,http://www.mot.gov.cn/,2024-10-17,,,,,
新一代VLC系统的环境影响评估,20240108,绿色VLC系统,可持续开发,完成,第三阶段,环境研究,北京理工大学,环境与可持续发展研究中心,2024-01-22,2024-02-01,2024-07-30,2024-10-09,新申请,生态光电技术有限公司,实验室数据,中国,北京理工大学官网,https://www.bit.edu.cn/,2024-10-17,,,,,
可见光通信在公共安全中的应用研究,20240109,公共安全光网络系统,应用研究,进行中,第一阶段,应用开发,中国科学技术大学,安防技术研究中心,2024-01-25,2024-02-05,待定,2024-10-10,改进申请,安全科技有限公司,行业报告,中国,中国科学技术大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
光计算算法在机器学习中的应用,20240110,智能算法优化系统,算法开发,准备中,第一阶段,基础研究,西安交通大学,人工智能与计算机科学学院,2024-01-30,待定,待定,待定,初步申请,西安光电科技公司,研究文献,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
基于VLC的室内导航系统研究,20240111,室内VLC导航系统,研发测试,进行中,第二阶段,应用研究,浙江大学,智能交通与导航研究所,2024-02-05,2024-02-10,2024-12-15,2024-10-10,新申请,导航科技公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光计算辅助的量子通信实验,20240112,量子光计算平台,基础研究,进行中,第一阶段,先进技术,清华大学,清华大学量子研究所,2024-02-10,2024-02-15,待定,2024-10-12,新申请,量子科技有限公司,项目文献,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
高效可见光通信网络的研究,20240104,新一代VLC系统,基础研究,进行中,第一阶段,基础研究,中国科技大学,中国科技大学光电实验室,2024-01-12,2024-01-20,2024-06-20,2024-06-21,新项目,中国光电科技有限公司,项目报告,中国,中国科技大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
基于可见光通信的室内定位技术研究,20240105,室内定位系统,应用研究,准备中,第一阶段,技术开发,华南理工大学,华南理工大学光电实验室,2024-01-15,待定,待定,待定,初步申请,华南科技集团,研究资料,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
面向智能家居的可见光通信方案设计,20240106,智能家居通信系统,产品验证,完成,第二阶段,市场测试,浙江大学,浙江大学智能系统实验室,2024-02-01,2024-02-10,2024-07-10,2024-07-11,新设计,光创科技有限公司,实验室报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信及光计算协同研究,20240107,VLC与光计算系统平台,合作研究,进行中,第三阶段,技术探索,南京大学,南京大学光电科学研究中心,2024-02-05,2024-02-20,2024-12-20,2024-12-21,中期申请,南京光电技术有限公司,学术论文,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
可见光通信系统抗干扰性能评估,20240108,信号抗干扰系统,实验室测试,进行中,第一阶段,基础实验,哈尔滨工业大学,哈尔滨工业大学信息实验室,2024-02-10,2024-02-14,2024-08-01,2024-08-02,新科学,黑龙江光电公司,实验室记录,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于光计算的智能城市构建,20240109,智能城市光计算系统,系统设计,完成,第二阶段,城市应用,西安交通大学,西安交通大学智慧城市研究中心,2024-02-15,2024-03-01,2024-10-01,2024-10-02,技术推广,西北信息技术公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
下一代光计算架构研究,20240110,演进光计算系统,理论研究,进行中,第一阶段,基础理论,东南大学,东南大学智能计算研究所,2024-02-20,2024-03-10,2025-01-10,2025-01-11,新科技研究,江苏光电技术有限公司,最新研究,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光计算与深度学习的结合探索,20240111,深度学习计算平台,应用研究,完成,第三阶段,应用开发,复旦大学,复旦大学人工智能研究院,2024-03-01,2024-03-15,2024-09-15,2024-09-16,应用推广,复旦光电科技公司,研究文献,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信中的低延迟传输测试,20240104,超低延迟VLC系统,实验室测试,完成,第一阶段,基础研究,河南大学,河南大学光电实验室,2024-01-12,2024-01-20,2024-03-01,2024-03-02,新申请,河南光电科技有限公司,实验室观测数据,中国,河南大学官网,https://www.henu.edu.cn/,2024-10-17,,,,,
城市光网络应用实验,20240105,城市光通信网络,应用研究,进行中,第二阶段,系统测试,武汉大学,武汉大学网络中心,2024-01-15,2024-02-01,预计2024-12-31,2024-10-10,新申请,武汉光电集团,项目监测报告,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
新型光计算处理能力评估,20240106,新一代光计算平台,产品测试,准备中,第一阶段,技术研究,南方科技大学,南方科技大学光计算中心,2024-01-20,待定,待定,待定,初步申请,深圳光电技术有限公司,实验室研发资料,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居通信实验,20240107,智能家居VLC系统,应用研究,进行中,第二阶段,系统集成,东南大学,东南大学智慧生活研究所,2024-02-01,2024-02-10,预计2025-01-01,2024-10-12,新技术,南京智联科技公司,项目开发数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
可见光下的多用户系统试验,20240108,多用户VLC系统,系统集成,完成,第三阶段,技术研发,西安交通大学,光通信研究所,2024-01-25,2024-02-05,2024-06-30,2024-07-01,技术改进,西安光电科技公司,实验室测试结果,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光通信与5G融合实验,20240109,5G与VLC融合网络,应用研究,进行中,第一阶段,行业应用,华中科技大学,华中科技大学网络实验室,2024-01-30,2024-02-15,预计2025-02-15,2024-10-15,新申请,武汉光通信公司,实践操作记录,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
绿色光通信系统性能评估,20240110,绿色节能VLC方案,基础研究,完成,第二阶段,性能测试,吉林大学,吉林大学环保技术研究所,2024-02-05,2024-02-20,2024-05-15,2024-05-16,改善申请,吉林环保科技公司,测试报告,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
室内可见光通信实施研究,20240111,商业室内VLC解决方案,系统集成,准备中,第一阶段,应用开发,浙江大学,浙江大学智能系统研究所,2024-02-10,待定,待定,待定,初步申请,杭州光电科技有限公司,行业案例分析,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
室内光通信系统优化研究,20240104,室内VLC网络,实验室测试,进行中,第一阶段,技术开发,华中科技大学,华中科技大学实验室,2024-02-01,2024-02-10,待定,2024-10-12,新申请,华中光电科技,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
多模光通信系统性能评估,20240105,多模VLC系统,系统测试,准备中,第一阶段,基础研究,浙江大学,浙江大学光电实验室,2024-02-15,待定,待定,待定,初步申请,浙江光电科技有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光的智能照明系统,20240106,智能照明实验平台,应用研究,完成,第二阶段,产品开发,南京理工大学,南京理工大学光电研究所,2024-01-12,2024-01-20,2024-03-15,2024-10-11,技术改进,南京智能科技有限公司,实验室数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
城市范围内光通信系统建模,20240107,城市光网络平台,系统研究,进行中,第三阶段,应用开发,西安交通大学,西安交通大学通信工程实验室,2024-01-20,2024-01-25,待定,2024-10-12,新申请,西安光电技术公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
卫星光通信系统应用分析,20240108,卫星VLC系统,研究开发,完成,第二阶段,技术测试,哈尔滨工业大学,哈尔滨工业大学光电所,2024-01-30,2024-02-05,2024-04-01,2024-10-10,新技术,哈尔滨科技公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
高密度光通信系统研究,20240109,高密度VLC系统,应用研究,进行中,第三阶段,基础研究,南方科技大学,南方科技大学研究中心,2024-02-05,2024-02-12,待定,2024-10-12,新技术,南方光电科技,实验室数据,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光与人工智能结合的研究,20240110,AI驱动的光通信系统,技术研究,完成,第一阶段,技术开发,东南大学,东南大学光电学院,2024-01-25,2024-01-28,2024-03-30,2024-10-10,技术改进,东南科技有限公司,项目报告,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
实时可见光通信系统测试,20240111,实时VLC系统测试,系统测试,进行中,第二阶段,应用开发,武汉大学,武汉大学光通信研究所,2024-02-08,2024-02-15,待定,2024-10-12,新申请,武汉光电科技有限公司,项目数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
可见光信号稳定性研究,20240104,稳定性系统,基础研究,完成,第一阶段,基础研究,西安交通大学,西安交通大学无线中心,2024-01-12,2024-01-20,2024-02-28,2024-03-01,新申请,西安光电科技公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光数据传输速率优化实验,20240105,超高速通信系统,应用研究,进行中,第二阶段,性能优化,哈尔滨工业大学,哈尔滨工业大学电子实验室,2024-01-15,2024-01-25,待定,2024-10-12,改进申请,阿尔法光电,项目报告,中国,哈工大官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算与AI结合的探索,20240106,智能光计算系统,应用开发,准备中,第一阶段,技术探索,浙江大学,浙江大学AI实验室,2024-01-18,待定,待定,待定,初步申请,浙江智能科技,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光和无线网络融合实验,20240107,融合网络实验室,系统集成,进行中,第二阶段,系统测试,武汉大学,武汉大学通信技术研究中心,2024-01-20,2024-01-30,待定,2024-10-12,新申请,光汇科技有限公司,实验室数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
新型光计算算法性能测试,20240108,光计算平台,基础研究,完成,第一阶段,技术研究,南方科技大学,南方科技大学实验室,2024-01-25,2024-02-01,2024-03-10,2024-03-11,新技术,南方光电有限公司,研究报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
光信号干扰分析实验,20240109,干扰测试平台,系统集成,进行中,第二阶段,系统测试,复旦大学,复旦大学光学实验室,2024-01-30,2024-02-15,待定,2024-10-12,改进申请,复旦光电科技,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光联网技术应用实验,20240110,光联网平台,应用开发,准备中,第一阶段,技术测试,中国科学技术大学,中国科学技术大学光电中心,2024-02-01,待定,待定,待定,初步申请,中科光电有限公司,项目计划,中国,中国科学技术大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
可见光通信系统新材料研究,20240111,新型材料系统,基础研究,进行中,第二阶段,材料研究,兰州大学,兰州大学材料实验室,2024-02-05,2024-02-20,待定,待定,新申请,兰州光电科技,研究数据,中国,兰州大学官网,https://www.lzu.edu.cn/,2024-10-17,,,,,
光通信系统传输效率研究,20240104,VLC高效系统,理论研究,完成,第二阶段,基础研究,浙江大学,浙江大学电子学院,2024-01-10,2024-01-15,2024-02-20,2024-02-21,项目申请,浙江光电有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于光计算的智能控制系统研究,20240105,智能光计算平台,应用研究,进行中,第一阶段,技术开发,华中科技大学,华中科技大学机电学院,2024-02-01,2024-02-10,2024-12-31,2024-10-02,新申请,华中光电技术公司,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于可见光的智能交通系统实验,20240106,智能交通可见光系统,系统集成,准备中,第一阶段,系统测试,东南大学,东南大学交通学院,2024-03-01,待定,待定,待定,初步申请,东南光电科技有限公司,实验室预研,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
可见光通信在物联网中的应用,20240107,物联网可见光系统,应用研究,进行中,第二阶段,技术验证,武汉大学,武汉大学计算机学院,2024-02-20,2024-03-01,2025-03-01,2024-10-05,改进申请,武汉光电科技有限公司,数据采集,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
光计算技术在大数据处理中的应用研究,20240108,光计算大数据平台,应用开发,完成,第三阶段,产品测试,西安交通大学,西安交通大学信息学院,2024-03-15,2024-04-01,2024-06-30,2024-07-01,新技术,西安智能科技有限公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光在5G网络中的应用,20240109,5G可见光系统,系统集成,进行中,第一阶段,系统测试,南京理工大学,南京理工大学通信学院,2024-04-01,2024-04-10,2024-12-10,2024-08-10,新申请,南京光电科技股份有限公司,实验室报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
新型光计算芯片研究,20240110,光计算发展平台,技术开发,完成,第四阶段,基础研究,四川大学,四川大学电气与信息工程学院,2024-05-10,2024-06-01,2024-09-30,2024-10-01,技术改进,四川光电科技有限公司,技术资料,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
智能家居中的光通信技术实验,20240111,智能家居光通信系统,应用研究,进行中,第一阶段,系统集成,福州大学,福州大学电子信息学院,2024-06-01,待定,待定,待定,初步申请,福州光电技术公司,实验室初步数据,中国,福州大学官网,https://www.fzu.edu.cn/,2024-10-17,,,,,
现代光计算系统探索,20240104,新一代光计算平台,前沿研究,进行中,第一阶段,基础研究,复旦大学,复旦大学光通讯实验室,2024-01-12,2024-01-20,2025-01-20,2024-10-05,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
VLC系统在室内导航中的应用,20240105,室内定位系统,应用研究,准备中,第一阶段,应用开发,华中科技大学,华中科技大学光电实验室,2024-02-01,2024-02-15,2024-12-15,2024-10-12,新的应用,华中科技公司,市场调研,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光信号增强技术检验,20240106,光信号增强设备,系统开发,完成,第三阶段,技术验证,东南大学,东南大学光电中心,2024-03-15,2024-04-01,2024-10-01,2024-10-15,技术优化,东南电子技术有限公司,技术分析报告,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
新型VLC与5G融合测试,20240107,新一代通信平台,综合研究,进行中,第二阶段,系统测试,浙江大学,浙江大学光通信实验室,2024-04-01,2024-04-15,2025-04-15,2024-10-18,改进申请,浙大科技有限公司,项目中期报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
室外光通信网络实验,20240108,光传播网络,现场测试,完成,第一阶段,基础研究,同济大学,同济大学光学研究所,2024-04-05,2024-04-20,2024-07-30,2024-10-20,新科技,同济技术有限公司,实验室数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
增强现实中的光计算应用,20240109,AR光计算平台,应用研究,进行中,第二阶段,技术研发,南京大学,南京大学光电实验室,2024-05-01,2024-05-10,2025-05-10,2024-10-22,新申请,南京光电科技有限公司,项目报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
针对遥感的VLC系统测试,20240110,遥感光通信系统,应用开发,完成,第三阶段,技术验证,哈尔滨工业大学,哈工大光通信实验室,2024-05-15,2024-06-01,2024-11-01,2024-10-25,技术改进,哈工大科技有限公司,研究成果,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于VLC的智能家居网络测试,20240111,智能家居通信系统,技术开发,进行中,第一阶段,技术研发,西安交通大学,西安交通大学实验室,2024-06-01,2024-06-15,2025-06-15,2024-10-30,初步申请,西交科技有限公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光通信多用户系统实验,20240104,多用户VLC系统,实验室测试,进行中,第一阶段,基础研究,哈尔滨工业大学,哈尔滨工业大学光电实验室,2024-01-12,2024-01-20,2024-03-15,2024-10-12,新申请,黑龙江光电科技有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
高畴可见光通信系统应用评估,20240105,城市无线照明系统,应用研究,待定,第三阶段,产品开发,浙江大学,浙江大学智能光电中心,2024-01-15,2024-02-01,2024-06-30,2024-10-10,技术开发,浙江光电科技有限公司,项目进展报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信与5G系统融合研究,20240106,融合网络试验平台,综合实验,完成,第二阶段,基础研究,南开大学,南开大学蜘蛛实验室,2024-02-01,2024-03-01,2024-05-30,2024-10-11,新申请,南开科技有限公司,实验室报告,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
基于光计算的AI系统开发,20240107,光计算与深度学习平台,应用开发,进行中,第一阶段,新技术,复旦大学,复旦大学光电技术实验室,2024-02-15,2024-03-01,待定,2024-10-09,技术申请,复旦光电科技有限公司,数据分析报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
农业传感器可见光通信测试,20240108,智能农业VLC系统,系统集成,准备中,第一阶段,应用研究,南京农业大学,南京农业大学光电研究所,2024-02-20,待定,待定,待定,项目申请,南京光电技术有限公司,实验室数据,中国,南京农业大学官网,https://www.njau.edu.cn/,2024-10-17,,,,,
未来可见光通信理论发展,20240109,可见光信道理论平台,理论研究,进行中,第三阶段,理论探究,中国科学技术大学,中国科学技术大学光学实验室,2024-03-01,2024-03-10,待定,2024-10-05,研究申请,中国科技公司,文献综述,中国,中国科学技术大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
智能家居应用光通信系统研究,20240110,智能家居VLC系统,应用开发,完成,第二阶段,用户测试,华中科技大学,华中科技大学智能科技研究所,2024-03-15,2024-04-01,2024-07-10,2024-10-08,项目完结,华中光电科技有限公司,用户反馈,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光计算与量子通信融合研究,20240111,量子光计算平台,基础研究,进行中,第一阶段,创新研究,清华大学,清华大学量子研究中心,2024-03-20,待定,待定,待定,新技术申请,清华量子科技有限公司,研究概述,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
新型可见光通信融合系统开发,20240104,光智能通信系统,实验室开发,进行中,第三阶段,技术开发,华中科技大学,华中科技大学光电子研究所,2024-02-05,2024-02-15,2024-12-31,2024-10-10,新技术申请,华中科技有限公司,项目实施数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
室内可见光通信网络稳定性研究,20240105,室内VLC系统,实验室测试,完成,第一阶段,基础研究,吉林大学,吉林大学信息科学学院,2024-01-12,2024-01-20,2024-04-20,2024-04-22,研究成果申请,吉林光电科技公司,实验室记录,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
