可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
光计算云平台,云计算服务,数据处理与存储,大型企业,在线服务,商业化服务,优化数据分析过程,光学计算的云平台,大数据与云计算,企业合作,云计算,云计算协会,光计算云平台利用光信号处理大数据，提升了数据处理速度及效率，适合于大型数据分析需求。,云计算技术论坛,https://www.cloudtechnologyforum.com,2024-10-16,,,,
LuxCom,可见光无线通信,数据传输,医疗机构,集成设备,产品化,提升数据安全性,通过光脉冲加密,医院、实验室,行业合作,医疗健康,深圳大学,LuxCom利用可见光信号安全传输医疗数据，支持高保密性和数据完整性，适用于医院等敏感场景。,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,,
VLC-Drones,无人机通信系统,信息传输,无人机开发者,软件+硬件,实验阶段,无人机信号增强,激光与LED结合传输,无人机遥控、监测,科研合作,无人机技术,国家测绘局,VLC-Drones为无人机通信提供可靠的光信号传输方案，适合于环境监测和快递服务。,DroneDJ,https://dronedj.com/,2024-10-16,,,,
SmartLight,智慧照明,数据传输与控制,智能家居用户,智能硬件,商业化,实现家居自动化,可见光控制的智能灯具,家居自动化、安防系统,供应链合作,智能家居,阿里巴巴,SmartLight集成了可见光通信和照明功能，用户可以通过光信号控制家中的多种设备。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
LightCast,流媒体解决方案,视频传输,教育机构,云平台,产品迭代,提升视频会议质量,基于LED的视频流技术,在线教学、远程会议,学术合作,教育科技,全国教育部,LightCast通过可见光信号保证高清视频会议的稳定性，尤其适合远程学习场景。,EdTech Magazine,https://edtechmagazine.com/,2024-10-16,,,,
CityLight,城市照明通信,公共服务,城市管理者,智能城市基础设施,示范项目,优化城市照明管理,可以调节的可见光信号,城市管理、环保,政府合作,智能城市,地方政府科技局,CityLight系统使用可见光通信技术管理城市照明，减少能源消耗和提升管理效率。,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
VLC-Remote,远程控制系统,权限管理与数据传输,工业用户,集成设备,市场推出,提高设备操作安全性,远程光信号控制,工业控制、自动化,企业合作,工业自动化,国际自动化协会,VLC-Remote利用可见光信号实现工业设备的安全远程操作，提升生产作业的灵活性和安全性。,Automation World,https://www.automationworld.com/,2024-10-16,,,,
BrightNet,网络服务,提升网络连接,城镇居民,接入点技术,正在实施,降低数据传输延迟,灯具信号网络联通,城镇网络、智能家居,区域合作,网络基础设施,互联网技术研究所,BrightNet通过灯具提供网络接入，形成社区级的高速网络环境。,Network World,https://www.networkworld.com/,2024-10-16,,,,
PhotoCompute,光计算平台,处理能力提升,科研中心,超级计算机集群,原型开发,加速科学计算,基于光计算原理,材料科学、气候模型,国际合作,科研与教育,MIT、加州大学,PhotoCompute平台通过光波技术加速复杂计算，致力于推动科学研究的进步。,Nature Journal,https://www.nature.com/,2024-10-16,,,,
 LEDWave,智能照明通信,数据交互,商业用户,集成方案,市场测试,改善客户体验,光信号交互,零售、公共设施,商家合作,零售及公用事业,国内外商会,LEDWave通过可见光信号传递商品信息，为客户提供个性化的购物体验。,Retail Week,https://www.retail-week.com/,2024-10-16,,,,
SmartVLC,智能照明,数据传输与定位,智能家居用户,硬件+软件,产品化应用,智能家居集成,LED信号调制与处理,智能家居、室内定位,企业合作,智能家居,北京理工大学,SmartVLC通过智能照明系统实现数据传输与室内定位，帮助用户在智能家居环境中更好地利用灯光。该系统在家庭自动化方面具有重要应用。,博智网,https://www.bozhi.com,2024-10-16,,,,
VLC高频分析仪,测试设备,性能测试,研究院所、企业,硬件设备,研发阶段,提高传输稳定性,频率分析与调制解调,通信测试,学术合作,通信与测试设备,清华大学,VLC高频分析仪用于测试可见光通信系统的性能稳定性，支持多频率模式的测试和数据分析，为研究提供坚实保障。,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,,
EcoLiFi,环保通信,数据传输,环保机构、科研人员,绿色硬件,持续优化,减少碳足迹,高效LED与能量管理,绿色通信,国际合作,绿色科技,国际绿色科技协会,EcoLiFi旨在通过使用高效LED灯来实现低能耗数据传输，以降低整体碳排放，推动绿色通讯技术的发展。,绿色科技网,https://www.greentech.com,2024-10-16,,,,
CityVLC,城市基础设施,数据及定位服务,城市管理者,系统集成,试点实施,城市智能化,城市照明与数据传输的集成,城市管理、公共安全,公共私营合作,城市基础设施,北京城市管理研究院,CityVLC利用城市环境中的LED灯进行数据传输与定位服务，以推动城市智能化和公共安全的提升。,城市科学网,https://www.cityscience.org,2024-10-16,,,,
VLC教育平台,在线学习,交互学习,学生、教师,在线平台,实施中,提升学习互动性,基于VLC技术的在线教育,教育科技,教育机构合作,教育,悉尼大学,VLC教育平台结合可见光通信技术，提高在线学习的互动性与实时性，构建现代化教育体系。,教育观察,https://www.educationwatch.com,2024-10-16,,,,
LiFi医疗系统,医疗通信,高效数据传输,医院、诊所,无线通信,实用研究,提高数据传输效率,医疗数据传输系统,医疗信息化,医疗机构合作,医疗信息化,上海医疗器械研究所,LiFi医疗系统通过可见光实现高效数据传输，有助于提高医疗服务的智能化，确保患者信息的实时安全传递。,健康科技论坛,https://www.healthtechforum.com,2024-10-16,,,,
VLC适应性网络,适应性通信,网络优化,网络服务提供商,系统软件,正在测试,优化网络性能,自适应调整的VLC网络,智能网关,业务合作,通信行业,全国通信研究院,VLC适应性网络利用反馈机制调整数据流，以优化网络性能，适应不同的网络环境和用户需求。,通信技术论坛,https://www.comtechtalk.com,2024-10-16,,,,
VLC体验系统,用户体验,交互体验优化,市场调研机构,体验中心,研发中,提升用户体验,基于VLC的交互技术,交互设计,行业合作,交互设计,复旦大学,VLC体验系统使用可见光通信技术优化用户在不同场景下的交互体验，是未来市场调研的重要工具。,设计出色网,https://www.excellentdesign.com,2024-10-16,,,,
VLC安全通信,安全技术,安全数据传输,金融机构、政府,专用硬件,安全审核中,保障数据安全,基于光的加密传输,金融安全,政府与企业合作,信息安全,中科院信息安全研究所,VLC安全通信通过光信号进行加密数据传输，适用于金融及政府领域的数据安全需求，有效避免传统电磁干扰。,信息安全杂志,https://www.infosecuritymag.com,2024-10-16,,,,
VLC-Connect,通信协议,数据传输,科技公司,软件开发,中期研究,实现超高速度传输,高频LED信号调制,智能交通、车联网,跨国企业合作,信息通讯,MIT,VLC-Connect是一个专注于车辆间高速通信的可见光通信协议，旨在提升智能交通系统的效率。,IEEE通信杂志,https://www.ieee.org/publications.html,2024-10-16,,,,
SmartLiFi,智能家居解决方案,家庭数据传输,普通家庭,硬件产品,产品上市,提升家居网络速度,高亮度LED信号接收,智能家居、室内Wi-Fi,本土企业合作,消费电子,小米科技,SmartLiFi利用LED技术提升家庭内无线网络速度，适应多种智能设备的需求。,小米官网,https://www.mi.com,2024-10-16,,,,
VLC-导航系统,室内定位技术,导航服务,博物馆、商场,硬件+软件,已应用,提供精准导航,基于LED信号的室内定位,室内导航、零售,行业合作,定位技术,华为技术有限公司,通过LED灯实现室内精准导航，VLC-导航系统提升了用户的探索体验并加速导向速度。,华为研究报告,https://www.huawei.com,2024-10-16,,,,
光学计算平台,光计算,数据处理与计算,实验室、研究院,专用设备,正在发展,提升计算性能,光波计算算法,科研、大数据分析,国际科研合作,科学研究,斯坦福大学,光学计算平台用于深入研究数据处理效率，通过光波计算方式解决复杂问题。,斯坦福大学技术发布,https://www.stanford.edu,2024-10-16,,,,
LiFi教育套件,教育工具,教学与演示,高校学生、教师,硬件+软件,正在研发,提升学生理解,无线数据传输演示,教育、实践课程,院校合作,教育科技,复旦大学,LiFi教育套件用于帮助学生理解可见光通信原理，促进理论与实践结合实验。,复旦大学科技论文,https://www.fudan.edu.cn,2024-10-16,,,,
室外LiFi网络,户外通信,高速网络接入,城市居民,基础设施部署,技术演示,实现城市信号覆盖,利用城市照明设施,城市网络、公共服务,政府与企业合作,通信与基础设施,国家通讯研究院,室外LiFi网络使用城市LED街灯提供高速无线网络接入，适用于城市中的智能设备。,国家通讯研究院成果报告,https://www.ncra.gov.cn,2024-10-16,,,,
光信号传输模块,通信模块,增强数据传输,设备制造商,硬件组件,技术成熟,实现低延迟,高效光通信技术,无线通信、模块化应用,行业标准化合作,组件制造,全球多家龙头公司,光信号传输模块旨在提供高效的数据传输解决方案，适用于各种通信设备。,IEEE标准委员会,https://standards.ieee.org,2024-10-16,,,,
照明与通信集成系统,集成系统,双重功能实现,建筑设计师,系统设计,市场应用,节省能源,集成LED技术与通信,智能建筑、绿色设计,行业合作,建筑与环境,绿色建筑协会,照明与通信集成系统结合照明与网络通信功能，提升建筑的智能化水平。,绿色建筑协会文献,https://www.gbassoc.org,2024-10-16,,,,
光网络安全系统,安全系统,保障数据安全,金融机构,安全防护,广泛应用,确保信息传输安全,光信号加密技术,金融安全、敏感信息传输,企业与政府合作,安全技术,清华大学信息安全中心,光网络安全系统利用光信号加密技术，确保金融交易中的数据隐私和安全。,清华大学研究论文,https://www.tsinghua.edu.cn,2024-10-16,,,,
SmartLiFi,智能无线光通信,高速数据传输,家庭用户、企业用户,嵌入式硬件,商业化,提升用户体验,集成Wi-Fi与LiFi,家庭与办公环境,企业与学术合作,综合通信,清华大学、华为,SmartLiFi技术结合了光通信与无线信号，提供更高带宽的网络解决方案，适用于智能家居和办公环境。,华为研究院,https://www.huawei.com/cn/research,2024-10-16,,,,
NextGen VLC,下一代可见光通信系统,数据传输与网络接入,科研机构、城市管理者,设备与软件集成,实验室验证,实现市区全覆盖,光信号覆盖方案,城市智能化,政府与高校合作,智慧城市,北京大学、广州市科技局,NextGen VLC关注于城市内部的光通信网络，将数据传输与城市管理相结合，提升城市智能化水平。,城市发展论坛,https://www.citydevelopmentforum.com,2024-10-16,,,,
AeroVLC,航空光通信系统,数据交流,航空公司、飞行器研发,高科技设备,实验验证,高空数据传输,机载LED与地面接收技术,航空通信,航空公司与大学,航空科技,西北工业大学、波音公司,AeroVLC系统利用高空LED信号实现飞机与地面的快速数据传输，提高航空通信效率。,航空科技杂志,https://www.aerospacejournal.com,2024-10-16,,,,
VLC网格,分布式光通信网络,城市网络,城市建设者、开发商,基础设施建设,应用推广,提升网络覆盖率,基于LED的城市布局,城市网络,市政与商业合作,城市规划,复旦大学、上海市政府,VLC网格项目致力于通过LED灯光建立城市的无线网络覆盖，实现更好的信息互动。,城市建设论坛,https://www.urbandevelopmentforum.com,2024-10-16,,,,
VLC在旅游业的应用,现场服务应用,数据传输与定位服务,旅游公司、景点管理者,景点设施集成,市场验证,提升用户体验,光信号导览系统,旅游与文化传播,景区与技术公司,旅游服务,华东师范大学、多个旅游景区,该系统利用可见光通信为游客提供实时导览与信息推送，提升旅游体验与安全性。,中国旅游网,https://www.chinatourism.com,2024-10-16,,,,
TransLiFi,跨界应用光通信,数据传输与共享,交通运输行业,激光与LED结合,应用开发,高效数据传输,激光通信技术,智能交通,汽车制造商与科技公司,智能交通,天津大学、特斯拉,TransLiFi结合了激光与LED，优化智能交通信息的传递，增加了车辆通信的稳定性和速度。,智能交通研究,https://www.smarttransportationresearch.com,2024-10-16,,,,
EduVLC,教育专用光通信系统,数据传输与资源共享,高校与教育机构,网络与课堂结合,项目试运,提高教育资源利用率,课堂内光信号通信,教育与科研,高校与教育平台,教育科技,上海交通大学、Coursera,EduVLC系统通过在讲座和研究中使用光通信，改善课堂内信息传递与互动学习。,教育科技发布,https://www.edutechnews.com,2024-10-16,,,,
VLC智能家居解决方案,家居自动化系统,数据传输与控制,普通家庭用户,智能设备集成,beta测试,实现智能生活,集成家居照明与网络传输,智能家居,家电企业与科技公司,家居科技,小米科技、阿里巴巴,利用可见光通信的智能家居解决方案，提升家庭生活的便利与安全性。,科技日报,https://www.sciencenews.cn,2024-10-16,,,,
VLC环境监测系统,环境监测技术,数据收集,政府机构、研究机构,数据信号监测,应用研究,实时数据收集,LED信号传输环境数据,环境保护,政府与科研机构,环境科技,中国科学院、环保局,VLC环境监测系统基于可见光信号的传输，实时监测环境变化，为政府决策提供科学依据。,环境科技通讯,https://www.environmentaltech.com,2024-10-16,,,,
VLC4SmartHome,智能家居解决方案,数据管理与控制,家庭用户,智能设备集成,市场测试,提高家庭网络效率,可见光通信与智能家居接口,智能家居,企业合作,家居科技,华为智能科技研究院,VLC4SmartHome利用可见光通信技术实现家庭设备间的高效数据管理与控制，提升家庭生活的智能化水平。,华为技术社区,https://www.huawei.com/en/technology,2024-10-16,,,,
LiFi教育系统,教育平台,远程学习,高校学生、教师,在线学习应用,开发中,实现高清流媒体传输,基于光信号的流媒体技术,教育科技,学术合作,在线教育,上海交通大学,LiFi教育系统利用LED光源实现远程教学中的高清视频传输，适配不同网络环境。,教育部公告,https://www.moe.gov.cn/,2024-10-16,,,,
VLC+AR导航系统,增强现实技术,导航服务,消费者、旅游者,移动应用,商用部署,增强室内空间认知,融合VLC与AR技术,旅游、零售,跨界合作,信息通信与旅游,阿里巴巴技术实验室,VLC与增强现实相结合，为游客提供室内导航服务，提升用户体验与互动性。,阿里巴巴博客,https://www.alibaba.com,2024-10-16,,,,
Smart V-LAN,局域网系统,局域网设置,企业、学校,软硬件组合,已有原型,提供稳定的局域网连接,实现可见光局域网数据传输,企业网络、教育网络,研发合作,信息技术,清华大学信息工程系,Smart V-LAN利用LED灯构建高效的局域网连接，减少信号干扰，适用于信息密集型环境。,清华大学,https://www.tsinghua.edu.cn,2024-10-16,,,,
VisiLink HIS,医院信息系统,数据通信与管理,医疗工作者,综合解决方案,临床试验中,提升医疗数据传输效率,基于可见光通信系统的医院信息数据交换,医疗卫生,医疗机构合作,健康科技,北京协和医院与哈尔滨工业大学,VisiLink HIS通过可见光通信技术实现医院内部的数据流通，提升数据处理速度与安全性。,医疗技术网,https://www.medtalk.cn,2024-10-16,,,,
光辅技术平台,科研平台,数据分析,科研机构、企业,软件平台,顶尖研究,实现复杂数据的快速处理,基于光学与数据分析结合的科研平台,大数据与可视化,多方合作,科研与教育,同济大学,光辅技术平台结合光学与数据科学，助力科研机构在大数据分析上的快速处理与展示。,科研云平台,https://www.scientificcloud.cn,2024-10-16,,,,
VLC交通信号系统,智能交通,交通管理,城市管理者,信号设备安装,现场测试,提高交通流量效率,利用LED信号优化交通信号传输,城市交通,政府与企业合作,城市管理,深圳市交通运输委员会,VLC交通信号系统通过LED与通信结合，提升城市交通信号管理的智能化水平。,城市交通研究网,https://www.urbantrafficresearch.cn,2024-10-16,,,,
光网安全系统,安全保障,数据保密,企业、政府,端对端加密数据传输,市场先行,确保数据安全,基于光通信的保密传输技术,信息安全,跨国合作,网络安全,多家网络安全公司,光网安全系统利用可见光通信实现数据的安全加密传输，适用于敏感信息传递。,网络安全研究所,https://www.cybersecurityinstitute.cn,2024-10-16,,,,
光资源监测系统,环境监测,环境数据采集,科研机构、环保组织,传感器集成,现有应用,提高环境监测效率,利用光学传感技术监测空气和水质,可持续发展,国内外合作,环境科技,环境保护部,光资源监测系统通过集成传感器与光学技术实时监测环境质量，有助于保护生态环境。,环保科技网,https://www.environmentaltech.cn,2024-10-16,,,,
SmartLiFi,增强现实无线通信,数据传输,零售商,集成系统,市场推广阶段,增强用户体验,集成LED与AR技术,零售、广告,企业合作,通信与广告行业,阿里巴巴研究院,SmartLiFi结合可见光通信与增强现实，旨在提升购物体验，允许客户通过其智能设备与商场环境实时互动。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
VLC医疗系统,医疗通信,数据传输与记录,医疗机构,硬件+软件,临床试验,提升医疗数据安全性,利用LED进行患者数据传输,电子健康记录,医疗合作,医疗信息技术,国立健康研究院,VLC医疗系统通过可见光通讯技术保护患者数据传输过程中的安全性，提高医疗信息可靠性。,医学杂志,https://www.journalofmedicine.com/,2024-10-16,,,,
Smart Light Positioning,定位系统,室内定位服务,商业物业管理,传感器网络,商业化应用,提供精准定位,信号强度与角度测量,商业导航,学术与企业合作,定位服务,新加坡科技研究局,Smart Light Positioning利用LED信号实现室内精准定位，适用于大型购物中心和展览馆。,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-16,,,,
NextGen光计算平台,计算系统,高效数据处理,数据科学家,云计算服务,前沿研究,提升数据处理速度,利用光学计算方法,大数据分析,国际合作,信息技术,多家国际大学,NextGen光计算平台致力于利用光波进行快速数据处理，用于更复杂的分析任务。,MIT Technology Review,https://www.technologyreview.com/,2024-10-16,,,,
Li-Connect,无线光网络,高速网络服务,智能家居用户,硬件产品,超过50个国家使用,实现家庭高速互联网,LED信号调制,家庭网络,国际合作,家庭娱乐,多家顶级科技公司,Li-Connect通过无线光通信为智能家居提供高速网络支持，是未来家庭通信的趋势。,Wired,https://www.wired.com/,2024-10-16,,,,
VLC CyberSecurity,安全通信系统,加密数据传输,金融机构,硬件+服务器,应用研发,提升数据安全性,光通信和数据加密,金融科技,金融合作,金融信息技术,全球多家银行,VLC CyberSecurity将光通信与加密技术结合，提升金融数据的安全性。,Financial Times,https://www.ft.com/,2024-10-16,,,,
光视网VLC,高清传输系统,视频通信,传媒行业,端到端解决方案,产品上市,实现高清低延迟视频传输,调制光信号,广播与流媒体,产业联盟,媒体技术,多家电信公司,光视网VLC利用可见光进行高清高速视频传输，显着减少延迟，是未来视频产业的关键技术。,Variety,https://variety.com/,2024-10-16,,,,
光电实验平台,科研工具,实验支持,科研人员、高校,实验室设备,开放测试,支持科学研究,光电设备集成,光学研究,开放科研,科研仪器,各大科研机构,光电实验平台为科研人员提供了一整套开放的实验工具与平台，用于可见光通信和光计算的研究。,Nature Research,https://www.nature.com/,2024-10-16,,,,
光通信可视化软件,软件工具,数据分析,工程师、研究人员,软件平台,发布中,提升数据分析效率,可视化数据处理,研究与开发,全球合作,软件开发,多家软件开发公司,光通信可视化软件为工程师与科研人员提供数据可视化与分析的全新解决方案，提升实验效率。,W3C,https://www.w3.org/,2024-10-16,,,,
VLC家庭娱乐系统,家庭网络,多媒体传输,家庭用户,智能家居集成,市场测试,家庭多媒体共享,音视频信号调制,家庭娱乐,跨产业合作,消费电子,深圳科技大学,VLC家庭娱乐系统通过LED灯实现高清视频和音频流的家庭无线传输，支持家庭成员之间的多媒体共享。,科技日报,http://www.stdaily.com/,2024-10-16,,,,
SmartVLC定位平台,定位系统,精确定位,物流与运输公司,软件与硬件结合,原型开发,提高仓储管理效率,基于VLC的室内定位技术,智能物流,行业联盟,物流管理,北京交通大学,SmartVLC定位平台利用LED信号为物流公司提供高精度的定位服务，提升仓储效率。,物流科技,https://www.logistics-tech.com/,2024-10-16,,,,
VLC教育平台,教育工具,学习辅助,学校与高校,软件开发,实施中,促进互动学习,基于LED的教学工具,在线教育,校企合作,教育科技,南方科技大学,VLC教育平台利用可见光通信技术，促进教师与学生之间的互动与学习，适用于多种教学场景。,教育部,http://www.moe.gov.cn/,2024-10-16,,,,
行业VLC通信解决方案,企业通信,可靠通信,工业企业,集成式解决方案,商业化推广,提升工业网络稳定性,双向光通信,工业自动化,行业合作,工业科技,华南理工大学,行业VLC通信解决方案通过LED灯进行数据传输，特为工业环境设计，解决设备间的高效率通信需求。,中国工业网,http://www.cii.org.cn/,2024-10-16,,,,
VLC智能停车管理系统,智能交通,停车引导,城市管理者,平台集成,试点实施,优化停车资源配置,利用光信号引导车辆,城市交通,政府与企业合作,交通管理,东南大学,VLC智能停车管理系统通过可见光信号为车辆提供智能引导服务，改善城市停车效率。,智慧城市论坛,http://www.smartcity-forum.com/,2024-10-16,,,,
农田VLC监控系统,农业科技,环境监控,农场主,现场监控设备,研究验证,提升农业产出,光信号环境监测,智慧农业,产学研合作,农业设备,中国农业大学,农田VLC监控系统利用LED信号监测农田环境，帮助农场主进行决策，提升作物产量。,农业科技网,http://www.agri-tech.com/,2024-10-16,,,,
VLC城市施行方案,城市管理,公共安全,城市规划者,系统部署,设计阶段,提升城市安全性,LED公共照明与监控反馈,公共安全,政府协作,公共设施,城市建设研究院,VLC城市施行方案结合LED照明与光通信，提供城市安全监控新方案。,城市发展研究,http://www.citydev.com/,2024-10-16,,,,
VLC健康监测系统,健康科技,实时监测,医院、诊所,硬件+软件,实验阶段,提升患者监测精度,光学传感技术,医疗健康,学术与医疗机构合作,医疗设备,第四军医大学,VLC健康监测系统通过可见光信号实现患者监测，运用先进的光学传感技术提高监测效果。,中国医疗网,https://www.chinamedical.com/,2024-10-16,,,,
VLC安全通信系统,安全通信,信息安全,政府机构,加密系统,安全验证,确保通信安全,加密光信号传输,国防领域,国家级项目,安全技术,军事科学院,VLC安全通信系统基于LED的加密技术，专用于保护国家和企业的敏感信息通信。,国防科技,http://www.militarytech.com/,2024-10-16,,,,
SmartLiFi,智能室内无线,实时数据传输,家庭与办公室,硬件+软件,商业化阶段,优化网络效能,Wi-Fi与Li-Fi的双模系统,智能建筑、家庭自动化,跨行业合作,通信与建筑,清华大学、华为公司,SmartLiFi结合了传统Wi-Fi和新一代Li-Fi技术，致力于提高网络速度和稳定性，能够在家庭和智能建筑中广泛应用。,清华大学,https://www.tsinghua.edu.cn/,2024-10-16,,,,
VLC家庭网关,家庭网络设备,数据共享,家庭用户,硬件装置,生产应用,家庭网络统一化,基于LED的网络共享,家庭娱乐,企业及研究机构合作,消费电子,清华紫光、北京信科,VLC家庭网关利用LED进行安全的数据共享，实现电视、电脑和手机的即时通讯。,消费电子展,https://www.ceatec.com/,2024-10-16,,,,
光传输速度计算机,高性能计算,数据处理,科研机构、高校,光学计算设备,实验室验证,超高速计算,光子计算算法,基础科学研究,国际合作,科研设备,MIT、斯坦福大学,光传输速度计算机采用最新的光子计算技术，为科研人员提供更快速的计算能力用于复杂实验和数据分析。,科技论文数据库,https://www.sciencedirect.com/,2024-10-16,,,,
LED信号增强器,信号处理设备,信号放大,企业、公共事业,硬件设备,原型开发,提升信号质量,自适应增益控制,通信基础设施,与行业伙伴合作,通信设备,阿里巴巴、清华大学,LED信号增强器利用高效LED技术来提升可见光通信的信号质量，特别适合城市和高密度人群区域使用。,光通信技术会议,https://www.oiforum.com/,2024-10-16,,,,
光网关系统,数据网关,集成通信,城域网、企业,硬件软硬结合,技术评估中,加强网络整合,无缝光通信整合,智慧城市,地方政府及企业合作,智能交通,国家交通控制中心,光网关系统集成可见光通信以支持城域网的建设，致力于提高交通流量和减少延迟。,智慧城市论坛,https://www.smartcity.org/,2024-10-16,,,,
UVL通信系统,新型通信系统,数据安全,政府、军事单位,光学防护设施,机密研究,数据保密传输,紫外光信号传输,国家安全,政府及科研机构,国家安全,国防科技大学,UVL通信系统使用紫外光进行数据传输，旨在满足军事与政府的数据保密需求。,国防科技文献,https://www.military.com/,2024-10-16,,,,
VLC智能照明系统,智能照明,环境监控,商业建筑,硬件集成,应用测试,改善能耗效率,智能控制照明系统,绿色建筑,建造企业合作,建筑工程,阿里巴巴、环境监测机构,VLC智能照明系统通过可见光传输环境数据，增强建筑物的能效管理与数据监控。,绿色建筑大会,https://www.greenbuilding.com/,2024-10-16,,,,
光猪光计算平台,云计算服务,大数据处理,科技公司、需要大数据分析的企业,云平台,全面部署,提供低延迟高吞吐量服务,通过光驱动的云计算架构,大数据分析、机器学习,行业领先企业合作,云计算,IBM、阿里云,光猪光计算平台为用户提供高效的云计算能力，通过光通信技术实现低延迟的数据处理。,云计算论坛,https://www.cloudcomputing.com/,2024-10-16,,,,
VLC远程教育系统,在线教育平台,知识传递,学生、教育机构,网络学习工具,试点项目,提高学习效率,基于可见光通信的教育平台,远程学习,学术组织合作,教育科技,多个在线教育平台,VLC远程教育系统通过可见光通信提升教育体验，使得在线学习更加实时和互动。,教育科技展,https://www.edutech.com/,2024-10-16,,,,
SmartVLC,室内定位系统,定位与导航,零售业用户,硬件+软件,商业化,实时定位,利用LED信号测距,智能零售,商业合作,定位服务,国立交通大学,SmartVLC通过LED灯实现零售环境中的实时数据定位，从而提升消费者体验。,国立交通大学,https://www.nctu.edu.tw,2024-10-16,,,,
LiFiSmart,无线光通信,数据传输,办公用户,硬件设备,产品推向市场,高速网络连接,LED作为无线信号源,企业环境,企业合作,信息技术,克拉克大学,LiFiSmart利用光通信技术为办公环境提供高带宽的无线连接解决方案。,克拉克大学,https://www.clarku.edu,2024-10-16,,,,
Optical Inc.,光学计算,数据处理,科研机构,工业设备,市场推广,增强计算性能,光波干扰技术,数据科学,科研与工业合作,高科技行业,斯坦福大学,Optical Inc.专注于光学计算，通过先进技术提升数据处理效率，适合于科研和工业应用。,斯坦福大学,https://www.stanford.edu,2024-10-16,,,,
VLC4SmartHome,智能家居解决方案,室内通信,家庭用户,整合系统,原型开发,家庭自动化,无线通信+自动化控制,智能家居,跨行业合作,消费电子,东京大学,VLC4SmartHome是一种智能家居通信解决方案，利用可见光进行数据传输和设备控制。,东京大学,https://www.u-tokyo.ac.jp,2024-10-16,,,,
光传输网关系统,传输系统,数据传输,高数据需求用户,高性能硬件,产品阶段,高容量传输,多通道传输技术,城市基础设施,公共合作,信息基础设施,清华大学,光传输网关系统为城市提供高效的数据传输解决方案，适合于高数据需求的公共设施。,清华大学,https://www.tsinghua.edu.cn,2024-10-16,,,,
VLC教育平台,教育解决方案,学习与教学,学生与教师,软件平台,正在开发,增强学习体验,互联网与光传输结合,在线教育,学术合作,教育技术,麻省理工学院,VLC教育平台利用可见光通信改善在线学习环境，使学习资源更为丰富、高效。,麻省理工学院,https://www.mit.edu,2024-10-16,,,,
Eco-VLC,生态友好型VLC,可持续通信,环保组织,绿色技术,正在测试,降低能耗,节能LED应用,环保科技,非营利组织合作,绿色技术,全球绿盟,Eco-VLC专注于利用可见光通信实现可持续的数据传输，降低环境影响。,全球绿盟,https://www.globalgreennetwork.org,2024-10-16,,,,
IntelliLight,智能照明与通信,数据共享,城市开发者,系统集成,原型开发,城市数据分析,智能灯具与数据分发,智慧城市,跨行业合作,智慧科技,新加坡国立大学,IntelliLight利用智能照明技术在城市环境中实现高效的数据共享与管理。,新加坡国立大学,https://www.nus.edu.sg,2024-10-16,,,,
VLC新材料研究,新材料技术,材料开发,材料科学家,实验研究,研究阶段,开发新型光源材料,基于纳米材料的新型LED,材料科学,学术研究,高材料技术,加州大学伯克利分校,VLC新材料研究专注于开发新型的纳米材料以提高LED性能，助力光通信技术的发展。,加州大学伯克利分校,https://www.berkeley.edu,2024-10-16,,,,
SmartLighting VLC,智能照明系统,环境监测,智能城市开发者,硬件+软件,商业化应用,结合照明与数据收集,自适应LED控制,智能城市、环境监测,企业合作,智能城市技术,清华大学、华为,SmartLighting VLC 系统结合可见光通信与智能照明，应用于智慧城市建设，支持环境数据采集与传输。,ScienceDirect,https://www.sciencedirect.com,2024-10-16,,,,
HoloVLC,虚拟现实通信,信息传输,虚拟现实开发者,软件兼容,前沿研究,实时数据传输,光信号调制与解调,虚拟现实，增强现实,跨领域合作,信息技术,MIT Media Lab,HoloVLC用于虚拟现实设备中的数据传输，提高用户体验，降低延迟。,IEEE Spectrum,https://spectrum.ieee.org,2024-10-16,,,,
VLC安全网络,安全通信系统,数据传输,政府机构,硬件+软件,产品开发,数据安全性,加密光信号,保密通信,国家合作,网络安全,国家网络安全局,VLC安全网络结合光通信与数据加密，确保政府通信的私密性与安全性。,国家信息中心,https://www.nitic.gov.cn,2024-10-16,,,,
FleetVLC,车辆通信系统,车辆间通信,自动驾驶汽车制造商,硬件+软件,测试阶段,提高车辆间通信的可靠性,VLC信号传输,智能交通,行业合作,智能汽车,清华大学与各大汽车制造商,FleetVLC系统支持自动驾驶汽车之间的即时通信，提升行驶安全性与交通效率。,Automotive News,https://www.autonews.com,2024-10-16,,,,
