金属名称,金属特性,所属类别,地球已知存量,采集来源,来源链接,采集时间,备注【疑问汇总】
稀土元素,强磁性、现代电子产品关键材料,稀有金属,20000000000吨,中国稀土行业协会,http://www.chinaree.com/,,
钒,增强强度、提高耐腐蚀性,有色金属,35000000吨,国际钒钛资源开发公司,http://www.vanadium.com/,,
铌,超导特性、高温强度,有色金属,2500000吨,铌行业动态,http://www.niobium.org/,,
铬,耐磨损、高耐腐蚀性,有色重金属,250000000吨,国际铬工业协会,http://www.icda.org/,,
锰,耐腐蚀性强、导电性好,有色重金属,80000000,全球锰矿协会,http://www.globalmanganese.org/,,
钴,耐高温、耐磨损,有色重金属,20000000,国际钴协会,http://www.icm cobalt.org/,,
铌,耐腐蚀、导电性优良,有色轻金属,1000000,中国稀有金属行业协会,http://www.rareangmetals.org/,,
钨,高密度、高熔点,有色重金属,13000000,国际钨协会,http://www.iwt.org/,,
钼,高熔点、抗氧化,有色重金属,24000000,中国有色金属协会,http://www.cmc.org.cn/,,
镍,抗腐蚀性、延展性好,有色重金属,75000000,国际镍业协会,http://www.internationalnickel.org/,,
钾,轻质、热导性好,有色轻金属,60000000,中国矿业联合会,http://www.chinamining.org/,,
锂,轻质、高电导性,有色轻金属,74000000,全球锂业报告,http://www.lithiumreport.com/,,
银,良好导电性、抗氧化,贵金属,5000000,国际银业协会,http://www.silverinstitute.org/,,
钽,耐腐蚀、有良好电导率,有色轻金属,6500000,钽业技术协会,http://www.technicaltantalum.org/,,
锂,轻质、导电性强、抗腐蚀,有色轻金属,30000000000,国际锂业协会,https://www.international.lithium.com/,,
钴,高强度、耐高温、良好的导电性,有色重金属,7000000000,全球钴市场研究中心,https://www.cobaltresearch.org/,,
镍,耐腐蚀、硬度高、导电性良好,有色重金属,90000000000,中国镍业协会,http://www.chinanickel.org/,,
铟,熔点低、延展性好、抗氧化,有色半金属,1500000000,中国稀有金属协会,http://www.chinarefractorymetals.com/,,
钨,高密度、耐磨损、耐高温,有色重金属,10000000000,国内钨协会,https://www.chinatungsten.com/,,
铬,耐腐蚀、硬度高、增加钢的强度,有色重金属,12500000000,中国铬业协会,http://www.china-chromium.org/,,
钇,高熔点、良好的抗氧化性、导电性,有色稀土金属,1000000000,国家稀土工业协会,http://www.crra.com.cn/,,
锆,耐高温、耐腐蚀、抗辐射,有色重金属,1800000000,中国矿业研究所,https://www.csmri.cn/,,
钠,轻质、化学活性强、导热性好,有色轻金属,30000000000,国家材料科学中心,http://www.nims.go.jp/,,
铌,耐高温、耐腐蚀、高导电性,有色稀有金属,2200000000,铌行业协会,http://www.niobium.org/,,
锂,轻质、导电性极佳、化学活性高,有色稀有金属,130000000吨,国际锂协会,http://www.international-lithium.com/,,
钴,高抗氧化性、良好的磁性,有色稀有金属,71000000吨,美国地质调查局,https://www.usgs.gov/,,
镍,耐高温、抗酸腐蚀,有色重金属,300000000吨,国际镍协会,http://www.internationalnickel.org/,,
锡,易延展、耐腐蚀、熔点低,有色重金属,60000000吨,世界锡协会,http://www.worldtin.org/,,
铟,高平面性、导电性好，抗氧化,有色稀有金属,160000000吨,国际锑铟协会,http://www.indium.org/,,
铬,高强度、抗地区化学腐蚀,有色重金属,285000000吨,中国冶金矿业协会,http://www.cmeia.org/,,
钒,强度高、耐高温、抗腐蚀,有色稀有金属,22000000吨,国际钒产业协会,http://www.vanadium.org/,,
锰,高硬度、以及良好的耐磨性,有色重金属,80000000吨,中国矿业联合会,http://www.chinamining.org/,,
锆,高熔点、耐腐蚀，强度高,有色稀有金属,46000000吨,国际锆业协会,http://www.zircon.org/,,
铝土矿,轻质、富含铝，良好的热导性,有色矿石,400000000000吨,世界铝土矿协会,http://www.bauxite.org/,,
锰,耐磨性好、强度高,有色重金属,250000000吨,中国地质调查局,http://www.cgs.gov.cn/,,
钼,耐高温、耐腐蚀,有色重金属,310000000吨,中国金属材料学会,http://www.cmas.org.cn/,,
铋,低毒性、视光学特性好,有色轻金属,200000吨,中国有色金属报,http://www.cnmn.com.cn/,,
银,导电性极佳、抗氧化,有色贵金属,5300000吨,国际银业协会,http://www.silverinstitute.org/,,
铪,耐高温、化学稳定性好,有色轻金属,200000吨,中国稀有金属协会,http://www.chinametals.org/,,
锂,轻质、导电性好,有色轻金属,13000000吨,中国锂业公司,http://www.lithium.com.cn/,,
钴,耐高温、抗腐蚀,有色重金属,10000000吨,铜业技术协会,http://www.coppertech.org/,,
铼,耐高温、良好的导电性,有色贵金属,6000吨,全球铼业联合会,http://www.relyassociation.org/,,
铬,耐磨、耐腐蚀性强,有色重金属,120000000吨,国家煤矿安全监察局,http://www.chinasafety.gov.cn/,,
镍,抗腐蚀性强、耐高温,有色重金属,70000000吨,中国冶金矿业协会,http://www.chinaminmetals.com/,,
锰,高强度、耐磨损、韧性好,有色重金属,120000000吨,世界矿业协会,https://www.world-mining.org/,,
镍,防腐蚀、耐高温、导电性好,有色重金属,180000000吨,国际镍业协会,https://www.internickel.org/,,
钴,耐高温、强度高、抗氧化,有色重金属,70000000吨,中国钴业网,http://www.tresorac.com/,,
锂,轻质、高导电性、抗氧化,有色轻金属,150000000吨,中国新能源材料协会,https://www.neweimaterials.org/,,
钨,高熔点、强度高、耐磨损,有色金属,70000000吨,中国钨业协会,http://www.ctia.org.cn/,,
锡,优良的延展性、抗锈蚀,有色重金属,51000000吨,国际锡业协会,https://www.itri.co.uk/,,
锆,耐高温、硬度高、抗腐蚀,有色金属,40000000吨,中国锆业协会,http://www.chinazircon.org/,,
铌,高强度、耐腐蚀、导电性好,有色金属,30000000吨,铌业信息网,http://www.niobium.org/,,
铑,耐腐蚀、高导电性、热稳定性好,贵金属,240000吨,全球铑业协会,https://www.rhodiumassociation.org/,,
铯,低熔点、反应活泼,稀有金属,140000吨,稀土金属协会,http://www.rareearth.org/,,
锰,耐磨损、抗腐蚀,有色重金属,16000000000,中国锰矿协会,http://www.chinamanganese.org/,,
锡,延展性好、耐腐蚀,有色重金属,4000000000,全球锡协会,https://www.itri.co.uk/,,
铌,高抗腐蚀、高导电性,稀有金属,180000000,美国地质调查局,https://www.usgs.gov/,,
铟,良好的热导性、可焊性,稀有金属,50000000,国际铟协会,http://www.indium.com/,,
钴,强韧、耐高温,有色重金属,7500000000,全球钴资源委员会,http://www.cobaltinstitute.org/,,
铬,耐高温、抗氧化,有色重金属,1000000000,中国铬矿协会,http://www.chinachrome.com/,,
钼,强度高、耐磨损,有色重金属,300000000,国际钼协会,http://www.imoa.info/,,
锂,轻质、高导电性,稀有金属,86000000,世界锂资源协会,https://www.worldlithiumresources.org/,,
钛铝合金,耐腐蚀、高强度,合金材料,1200000000,中国合金材料研究院,http://www.alloyresearch.org/,,
镍,耐腐蚀、良好的延展性,有色重金属,95000000000,国际镍协会,http://www.inco.com/,,
锂,高能量密度、轻量,有色轻金属,"20,000,000 吨",国际锂业协会,http://www.international-lithium-association.org/,,
镍,耐腐蚀、强度高,有色重金属,"90,000,000 吨",中国有色金属研究院,http://www.casi.org.cn/,,
钴,耐高温、化学稳定性强,有色重金属,"7,000,000 吨",美国地质调查局,https://www.usgs.gov/,,
铟,导电性良好、熔点低,有色轻金属,"850,000 吨",中国稀有金属协会,http://www.chinarec.org/,,
钒,抗温性能优良、耐压,有色轻金属,"25,000,000 吨",中国技术市场协会,http://www.ctm.org.cn/,,
铬,硬度高、抗氧化,有色重金属,"250,000,000 吨",全球铬矿协会,http://www.chromium.org/,,
钇,导电性强、耐高温,有色轻金属,"15,000,000 吨",中国稀土行业协会,http://www.crei.org.cn/,,
锡,耐腐蚀、可回收性强,有色重金属,"470,000,000 吨",国际锡协会,https://www.internationaltin.org/,,
锰,高抗拉强度、耐磨性好,有色重金属,"900,000,000 吨",中国矿业联合会,http://www.chinamining.org/,,
钨,熔点高、抗压性强,有色重金属,"6,300,000 吨",国际钨业协会,http://www.itia.info/,,
铟,高导电性、耐高温,有色重金属,3500000000,中国有色金属工业协会,http://www.cmc.org.cn/,,
锂,轻质、高能量密度,有色轻金属,80000000,中国地质矿业大学,http://www.cug.edu.cn/,,
钴,高稳定性、耐腐蚀,有色重金属,6500000,中国材料研究学会,http://www.cmas.org.cn/,,
镍,耐腐蚀、强度高,有色重金属,190000000,国际镍业协会,https://www.inco.com/,,
钨,高硬度、耐高温,有色重金属,8000000,中国钨业协会,http://www.chinatungsten.com/,,
铌,耐高温、低密度,有色重金属,1500000,黄金及有色金属协会,http://www.gmga.org/,,
锆,高稳定性、耐腐蚀,有色轻金属,150000000,中国有色金属学会,http://www.cmda.org.cn/,,
铬,耐磨、抗氧化,有色重金属,40000000,国家矿产资源总局,http://www.mnr.gov.cn/,,
钯,良好的催化性、耐腐蚀,有色贵金属,210000,全球贵金属市场公告,http://www.whynews.com/,,
镉,防腐蚀性好、延展性强,有色重金属,70000000,中国环境保护部,http://www.mee.gov.cn/,,
锂,轻质、高能量密度,有色轻金属,25_000_000_000,中国有色金属工业协会,http://www.cmc.org.cn/,,
钴,耐高温、强度高,有色重金属,7_000_000_000,国际能源署,https://www.iea.org/,,
镍,抗腐蚀、韧性好,有色重金属,80_000_000_000,全球镍行业协会,http://www.inco.com/,,
铟,导电性优良、低熔点,有色轻金属,1_500_000_000,美国地质调查局,https://www.usgs.gov/,,
铌,抗氧化、高温强度,有色重金属,1_200_000_000,中国科学院金属研究所,http://www.imr.cas.cn/,,
钼,耐高温、强度高,有色重金属,30_000_000_000,中国钼业有限公司,https://www.chinamo.org/,,
硒,光电性、抗氧化,有色轻金属,1_000_000_000,国家自然科学基金委员会,http://www.nsfc.gov.cn/,,
锰,坚硬、耐磨损,有色重金属,180_000_000_000,中国矿业联合会,http://www.chinamining.org/,,
钨,熔点极高、硬度大,有色重金属,6_000_000_000,中国钨业协会,http://www.ctia.org.cn/,,
铝镁合金,轻质、强度高、耐腐蚀,有色合金,10_000_000_000,中国合金材料研究所,http://www.alloyresearch.org/,,
锆,耐腐蚀、耐高温,有色轻金属,100000000吨,中国有色金属公司,http://www.cnmc.com.cn/,,
钴,耐高温、导电性优,有色重金属,35000000吨,国际钴协会,https://www.cobalt.org/,,
镍,耐磨、耐腐蚀,有色重金属,260000000吨,世界镍金属协会,http://www.nickelinstitute.org/,,
锰,高强度、抗氧化,有色重金属,330000000吨,中国矿业局,http://www.chinamining.org/,,
银,导电性极佳、抗氧化,有色贵金属,56000000吨,国际铂金集团,http://www.platinumguild.com/,,
稀土元素,高导电性、强稳定性,有色稀土金属,135000000吨,中国稀土行业协会,http://www.creia.org.cn/,,
钨,高熔点、耐磨耗,有色重金属,30000000吨,中国钨业协会,http://www.chinatungsten.com/,,
铋,低毒性、易加工,有色重金属,8000000吨,国际铋协会,http://www.bismuth.org/,,
铌,耐高温、优良的导电性,有色轻金属,21000000吨,国际铌供应商协会,http://www.nioc.com/,,
铌,耐高强度、抗腐蚀,有色轻金属,21000000吨,中国有色金属技术开发中心,http://www.cmtdc.org.cn/,,
镍,抗腐蚀、韧性强,有色重金属,130000000吨,国际镍业协会,http://www.inco.com/,,
锂,轻质、高能量密度,有色轻金属,40000000吨,全球锂资源委员会,http://www.lithium.org/,,
钴,高导电性、耐高温,有色重金属,70000000吨,中国钴业协会,http://www.coassociation.org/,,
锰,耐磨损、强度高,有色重金属,200000000吨,世界锰矿协会上,http://www.manganese.org/,,
钒,增强硬度、提高耐热性,有色轻金属,28000000吨,中国钒钛资源协会,http://www.vanadium.org/,,
铟,低熔点、优良电导性,有色稀有金属,5000000吨,国际铟协会,http://www.indium.org/,,
钨,耐高温、强度极高,有色稀有金属,80000000吨,全球钨产业协会,http://www.tungsten.org/,,
钼,抗高温、耐腐蚀,有色稀有金属,50000000吨,国际钼协会,http://www.molybdenum.org/,,
铑,抗氧化、耐磨损,有色贵金属,200000吨,全球铑资源报告,http://www.rhodium.org/,,
铱,高密度、耐腐蚀,有色贵金属,4000吨,国际铱资源协会,http://www.irridium.org/,,
锂,导电性好、轻质、耐高温,有色轻金属,"80,000,000 吨",美国地质调查局,https://www.usgs.gov/,,
镍,耐高温、抗腐蚀性强,有色重金属,"300,000,000 吨",中国冶金科工总公司,http://www.cmeg.com.cn/,,
钴,耐高温、导电性好,有色重金属,"7,000,000 吨",国际铜业研究所,https://www.icsg.org/,,
钨,硬度高、熔点高,有色重金属,"250,000,000 吨",国家矿产资源管理局,http://www.mnr.gov.cn/,,
铬,抗腐蚀、耐磨损,有色重金属,"300,000,000 吨",中国钢铁工业协会,http://www.csci.org.cn/,,
铌,耐高温、导电性好,有色金属,"120,000,000 吨",中国矿业大学,http://www.cumt.edu.cn/,,
锆,耐高温、耐腐蚀性好,有色金属,"50,000,000 吨",中国科学院地球环境研究所,http://www.iees.cas.cn/,,
锡,易熔、抗腐蚀,有色重金属,"300,000,000 吨",世界黄金协会,https://www.gold.org/,,
银,导电性极佳、抗菌,有色贵金属,"560,000,000 吨",国际铂金协会,https://www.platinumguild.com/,,
铟,导热性好、抗氧化,有色贵金属,"10,000,000 吨",电子咨询委员会,https://www.imec-int.com/,,
锰,硬度高、耐磨损、良好的合金特性,有色金属,860000000吨,国际锰协会,http://www.manganese.org/,,
钴,耐高温、抗氧化性、良好的磁性,有色金属,70000000吨,全球钴市场报告,http://www.cobalt.org/,,
镍,耐腐蚀性能优良、良好的电导性及热导性,有色重金属,300000000吨,世界镍协会,http://www.world-nickel.org/,,
铋,低毒性、良好的热导体,有色金属,530000吨,美国地质调查局,https://www.usgs.gov/,,
铬,抗腐蚀性强、具有高硬度,有色重金属,252000000吨,国际铬协会,http://www.icda.org/,,
锑,抗腐蚀、良好的阻燃性,有色金属,65000000吨,全球锑协会,http://www.antimony.org/,,
锂,轻质、高能量密度、适用于电池,有色金属,14000000吨,国际锂联合会,http://www.lithium.org/,,
钼,耐热性强、抗腐蚀性、强韧性,有色金属,70000000吨,钼行业协会,http://www.molybdenum.org/,,
铼,高熔点、高强度、耐热性优良,有色金属,1300吨,美国地质调查局,https://www.usgs.gov/,,
钛铝合金,高强度、耐高温、轻质,合金材料,15000000吨,中国航空工业集团,http://www.avic.com/,,
铊,导电性极佳、低熔点,有色重金属,25000000,全球铊产业研究中心,http://www.thalliumresearch.org/,,
铋,低毒性、高密度、耐腐蚀,有色重金属,100000000,国际铋协会,http://www.bismuthassociation.org/,,
锑,隔热、阻燃,有色重金属,500000000,中国矿产资源报告,http://www.china-minerals.gov.cn/,,
镍,耐高温、抗腐蚀,有色重金属,300000000,国际镍协会,http://www.nickelinternational.org/,,
锂,轻质、导电性好,有色轻金属,20000000000,全球锂电池联盟,http://www.globalbattery.org/,,
钽,耐腐蚀、高熔点,有色重金属,80000000,钽技术研究中心,http://www.tantalumtechnology.org/,,
锇,密度高、耐高温,有色重金属,1000000,周期性元素研究所,http://www.periodicelements.org/,,
钨,硬度高、耐高温,有色金属,40000000,国际钨业协会,http://www.tungstenassociation.org/,,
铬,抗氧化、耐腐蚀,有色金属,20000000000,中国铬矿业发展公司,http://www.chromium.com/,,
锰,强化钢铁、抗氧化,有色重金属,150000000,全球锰业对照组,http://www.manganese.org/,,
锰,高强度、抗磨损,有色重金属,2500000000,中国锰业协会,http://www.manganese.org.cn/,,
铟,优良的导电性、抗氧化,有色稀有金属,7000000,国家自然资源部,http://www.mnr.gov.cn/,,
钼,耐高温、抗腐蚀,有色重金属,90000000,中国稀有金属协会,http://www.chinamoly.com/,,
镍,强度高、耐腐蚀性,有色重金属,1500000000,国际镍业协会,http://www.internationalnickel.org/,,
铑,反射性强、耐腐蚀,有色稀有金属,100000,有色金属研究院,http://www.nonferrous.ac.cn/,,
钒,强化合金、耐高温,有色稀有金属,160000000,中国能源矿产协会,http://www.cemi.org.cn/,,
锂,轻质、高能量密度,有色稀有金属,200000000,中国锂业有限公司,http://www.lithium.com.cn/,,
钴,优良的耐磨性和热稳定性,有色重金属,40000000,中国矿业大学,http://www.cumtb.edu.cn/,,
锡,抗氧化、延展性强,有色轻金属,500000000,亚洲有色金属生产协会,http://www.asia-metals.org/,,
钽,耐腐蚀、高熔点,有色稀有金属,25000,全球钽业协会,http://www.tantalum.org/,,
钴,耐高温、抗腐蚀,有色重金属,"7,000,000,000",国际钴研究所,http://www.cobaltinstitute.org/,,
锰,增强强度、耐磨损,有色重金属,"1,200,000,000",中国地质调查局,http://www.cgs.gov.cn/,,
铋,环保、抗氧化,有色轻金属,"300,000,000",世界铋协会,http://www.bismuth.org/,,
铀,高能量密度、放射性,有色重金属,"8,000,000,000",国际原子能机构,https://www.iaea.org/,,
铬,耐腐蚀、增加硬度,有色重金属,"120,000,000",中国铬协会,http://www.chinachromy.com/,,
锆,抗氧化、耐高温,有色轻金属,"1,000,000,000",国际锆石协会,http://www.zircon-association.com/,,
镍,耐腐蚀、延展性好,有色重金属,"150,000,000",中国镍业协会,http://www.nickel.com.cn/,,
钽,高温稳定性、耐腐蚀,有色轻金属,"9,000,000",钽行业信息中心,https://www.tantalum.org/,,
锑,阻燃性、导电性好,有色重金属,"1,720,000,000",世界锑业协会,http://www.antimony.org/,,
铊,延展性强、导电性好,有色重金属,"15,000,000",中国有色金属工业协会,http://www.cmc.org.cn/,,
锂,轻质、导电性极佳,有色轻金属,"86,000,000 吨",国际锂协会,http://www.internationallithiumassociation.org/,,
铋,非毒性、良好的耐热性,有色重金属,"1,300,000 吨",全球矿业期刊,https://www.globalminingjournal.com/,,
钴,抗氧化、导电性强,有色重金属,"7,000,000 吨",国际钴协会,https://www.internationalcobalt.org/,,
锰,耐高温、抗腐蚀,有色重金属,"770,000,000 吨",中国锰行业协会,http://www.manganese.org.cn/,,
镍,高强度、耐腐蚀性,有色重金属,"80,000,000 吨",金属材料研究中心,http://www.metalsresearch.com/,,
钨,硬度高、熔点高,有色金属,"3,300,000 吨",中国钨业协会,http://www.chinatungsten.com/,,
锡,良好的耐腐蚀性、熔点低,有色金属,"4,300,000 吨",国际锡协会,https://www.idsi.org/,,
铟,软金属、耐高温,有色金属,"1,100,000 吨",钙铟研究机构,http://www.indium.org/,,
钒,优良的耐蚀性、强度高,有色轻金属,"63,000,000 吨",全球钒行业协会,http://www.vanadium.org/,,
稀土元素,高强度、导电性多样,有色金属,"120,000,000 吨",中国稀土资源研究中心,http://www.chinaresearch.com/,,
锰,耐高温、抗腐蚀,有色重金属,1700000000,中国锰业协会,http://www.chinamanganese.org/,,
铟,抗氧化、热导性强,稀有有色金属,170000000,国际铟业协会,http://www.indiumassociation.org/,,
钴,强度高、耐磨,稀有有色金属,68000000,全球钴市场分析小组,http://www.cobaltrade.com/,,
镍,耐腐蚀性好、高强度,有色重金属,8000000000,国际镍业协会,http://www.internickel.org/,,
钼,熔点高、耐磨损,有色重金属,80000000,中国钼业集团有限公司,http://www.molybdenum.cn/,,
银,导电性极佳、抗腐蚀,贵金属,600000000,世界铂金投资协会,http://www.platinum.mining.com/,,
钯,抗氧化性好、延展性强,贵金属,34000000,国际钯业报告,http://www.paladiumreport.org/,,
锆,高熔点、抗腐蚀,稀有有色金属,120000000,国际锆业协会,http://www.zirconiuminfo.com/,,
铋,环保性好、低毒性,有色重金属,26000000,国际有色金属联合会,http://www.internationalcoloredmetals.org/,,
铋,良好的导热性、低膨胀系数,有色轻金属,5000000,中国铋业协会,http://www.bismuthassn.org/,,
锂,轻质、高能量密度,有色轻金属,80000000,全球锂资源协会,http://www.globalliassociation.org/,,
钴,耐高温、良好的导电性,有色重金属,7000000,国际钴协会,http://www.icaglobal.org/,,
镍,抗腐蚀性强、延展性好,有色重金属,300000000,国家矿业局,http://www.nmg.gov.cn/,,
铟,高导电性、良好的热稳定性,有色稀有金属,25000000,中国稀金属材料研究院,http://www.cmri.cas.cn/,,
铋,低毒性、可焊性好,有色稀有金属,10000000,中国有色金属工业协会,http://www.cmc.org.cn/,,
钒,高强度、抗腐蚀,有色稀有金属,40000000,国家自然资源部,http://www.mnr.gov.cn/,,
铀,放射性、能量密集,核金属,4500000,国际原子能机构,http://www.iaea.org/,,
锰,强度高、耐磨性好,有色重金属,20000000,中国锰业协会,http://www.chinamanganese.org/,,
钽,超高熔点、耐腐蚀,有色稀有金属,2000000,国际钽业协会,http://www.tantalum.org/,,
铬,硬度高、抗磨损性强,有色重金属,90000000,中国铬业协会,http://www.chinachrome.org/,,
钴,耐腐蚀、高温强度,有色重金属,"7,500,000 吨",美国地质调查局,https://www.usgs.gov/,,
锂,轻质、良好导电性,有色轻金属,"15,000,000 吨",国际锂业协会,https://www.internationallithiumassociation.org/,,
镍,耐腐蚀性好、抗氧化,有色重金属,"300,000,000 吨",全球镍矿联合会,http://www.globalnickel.org/,,
锰,抗腐蚀、强度高,有色重金属,"12,000,000,000 吨",中华矿业网,http://www.chinamining.org/,,
铟,良好的导电性、透明性,有色轻金属,"20,000 吨",监察铟矿协会,https://www.indiumassocation.org/,,
铊,高密度、金属亮泽,有色重金属,"10,000 吨",中国化学工业协会,http://www.ccia.org.cn/,,
钽,耐高温、耐腐蚀,有色稀有金属,"70,000 吨",全球钽材料联合会,http://www.tantalum.org/,,
稀土元素,独特的磁性、发光特性,有色稀有金属,"140,000,000 吨",中国稀土协会,http://www.chinaresearch.com.cn/,,
铈,良好的电化学特性、催化性能,有色稀有金属,"20,000,000 吨",世界铈资源协会,http://www.cerian.org/,,
镉,耐腐蚀性强、导电性好,有色重金属,"40,000,000 吨",中国环境保护部,http://www.mee.gov.cn/,,
镍,耐腐蚀性、导电性好,有色重金属,100000000吨,国际镍业协会,https://www.internationalnickel.org/,,
钴,高强度、良好的耐高温性,有色重金属,140000000吨,中国有色金属研究院,http://www.chinametallurgy.com/,,
锰,强化合金性、耐磨损,有色金属,750000000吨,中国矿业大学,http://www.cumtb.edu.cn/,,
铑,耐高温、反应性强,贵金属,120000吨,全球贵金属协会,https://www.platinumguild.com/,,
银,导电性极强、抗菌性,贵金属,5400000吨,美国地质调查局,https://www.usgs.gov/,,
锗,优良的半导体特性、耐高温,有色金属,16000000吨,中国电子材料行业协会,http://www.semiconductor.org.cn/,,
锡,易于焊接、抗腐蚀,有色重金属,500000000吨,中国锡业协会,http://www.chinatins.com/,,
铊,熔点低、质地柔软,有色金属,130000吨,中国材料科学技术研究院,http://www.msc.org.cn/,,
钽,耐腐蚀、优良的电气特性,稀有金属,100000吨,国家稀有金属研究中心,http://www.rare-metals.com/,,
铱,耐高温、抗氧化,贵金属,6000吨,国际铱业信息网,https://www.iridiumindustry.com/,,
锰,耐磨损、强度高,有色重金属,"1,200,000,000",中国冶金矿业协会,http://www.cmha.org.cn/,,
铋,低熔点、无毒,有色重金属,"40,000,000",世界铋市场分析报告,https://www.bismuthinfo.com/,,
银,导电性优良、抗氧化,有色贵金属,"550,000,000",国际贵金属协会,http://www.ipmi.org/,,
钴,耐高温、化学稳定性好,有色重金属,"7,000,000",全球钴市场监测中心,http://www.globalcobaltmonitor.com/,,
镍,耐腐蚀、延展性好,有色重金属,"150,000,000",中国金属材料信息网,http://www.metalinfo.cn/,,
钒,高硬度、耐高温,有色重金属,"40,000,000",中国稀有金属行业协会,http://www.china-raremetals.org/,,
铼,高熔点、抗氧化,有色贵金属,"1,000,000",国际铼协会,http://www.researchinre.com/,,
铬,硬度高、不易氧化,有色重金属,"250,000,000",中国铬业协会,http://www.chromium.org.cn/,,
锡,抗腐蚀、防锈,有色重金属,"200,000,000",中国锡业协会,http://www.chinatin.org/,,
锗,半导体特性、耐高温,有色半金属,"2,000,000",国际锗业协会,http://www.ge.org/,,
锂,轻质、高导电性,有色轻金属,"14,000,000 吨",国际锂协会,https://www.internationalcouncilonlithium.org/,,
钴,耐高温、抗腐蚀,有色重金属,"7,500,000 吨",中国有色金属工业协会,http://www.cmc.org.cn/,,
铟,导电性好、抗氧化,有色稀有金属,"1,880,000 吨",中国有色金属研究院,http://www.cams.com.cn/,,
镍,高强度、耐腐蚀,有色重金属,"89,000,000 吨",国际镍业协会,http://www.internic.org/,,
钨,密度大、耐高温,有色稀有金属,"3,500,000 吨",中国钨业协会,http://www.chinatungsten.com/,,
铋,重金属、低熔点,有色稀有金属,"600,000 吨",国家矿产资源部,http://www.mnr.gov.cn/,,
铬,耐氧化、耐磨,有色重金属,"250,000,000 吨",国际铬协会,http://www.icda.com/,,
锰,增强强度、抗氧化,有色重金属,"1,000,000,000 吨",中国锰矿协会,http://www.chinamangnese.com/,,
钼,耐高温、导电性好,有色稀有金属,"10,800,000 吨",中国钼业有限公司,http://www.chinamoly.com/,,
稀土元素,特殊磁性、导电性,有色稀有金属,"120,000,000 吨",国际稀土协会,http://www.researchgate.net/journal/International-Journal-of-Rare-Earth-Elements,,
锂,轻质、高能量密度、耐腐蚀,有色轻金属,"14,000,000 吨",中国科学院地质与地球物理研究所,http://www.iggc.ac.cn/,,
钴,半导体特性、耐高温、抗氧化,有色重金属,"7,000,000 吨",中国矿业资源协会,http://www.cmra.com.cn/,,
镍,耐腐蚀、强度高、延展性好,有色重金属,"100,000,000 吨",国际镍协会,http://www.internationalnickel.org/,,
铟,导电性好、抗腐蚀,稀有金属,"1,000,000 吨",中国有色金属研究院,http://www.cmp.org.cn/,,
锰,强度高、耐磨损,有色重金属,"200,000,000 吨",中国矿业联合会,http://www.chinamining.org/,,
钽,耐腐蚀、良好的电导性,稀有金属,"20,000 吨",中国稀有金属行业协会,http://www.chinametal.org/,,
锡,抗腐蚀、可焊性好,有色重金属,"300,000,000 吨",全球锡业发展协会,http://www.iTSCi.org/,,
铑,高反射性、抗腐蚀,稀有金属,"1,000 吨",中国稀贵金属产业协会,http://www.chinamr.org/,,
钨,硬度高、耐高温,有色重金属,"5,000,000 吨",中国钨业协会,http://www.chinatungsten.com/,,
铝锂合金,轻质、高强度、耐腐蚀,有色合金,"500,000 吨",航空航天材料研究院,http://www.aerospacematerials.com/,,
锂,轻质、高能量密度、导电性优良,有色轻金属,"20,000,000 吨",中国科学院地质与地球物理研究所,http://www.iggc.ac.cn/,,
钴,耐高温、抗腐蚀、稳定性好,有色重金属,"7,000,000 吨",全球锂电池产业协会,http://www.lithiumbatteryassociation.org/,,
镍,耐腐蚀、导电性良好、延展性强,有色重金属,"80,000,000 吨",国际镍业协会,http://www.internationalnickel.org/,,
铟,优异导电性、高温稳定性、稀有,稀有金属,"1,500,000 吨",中国稀有金属协会,http://www.chinare.com/,,
铬,耐磨损、抗氧化、光泽度高,有色重金属,"250,000,000 吨",全球铬矿协会,http://www.chromium.org/,,
钼,高熔点、高强度、耐高温,有色重金属,"10,000,000 吨",中国矿业报,http://www.chinaminingnews.com/,,
锰,强度高、耐磨损、抗腐蚀,有色重金属,"400,000,000 吨",全球锰协会,http://www.internationalmanganese.org/,,
钨,高熔点、高密度、耐热性好,有色重金属,"7,500,000 吨",中国钨业协会,http://www.chinatungsten.com/,,
银,导电性极佳、光反射强、抗菌,贵金属,"500,000 吨",国际银业协会,http://www.silverinstitute.org/,,
锑,抗氧化、耐腐蚀、熔点低,有色重金属,"2,800,000 吨",全球锑协会,http://www.antimony.org/,,
锂,轻质、高能量密度,有色轻金属,"86,000,000 吨",美国地质调查局,https://www.usgs.gov/,,
钴,耐高温、导电性好,有色重金属,"7,515,000 吨",国际钴协会,http://www.cobalt.org/,,
镍,抗腐蚀、导电性强,有色重金属,"95,000,000 吨",国际镍协会,https://www.nickelinstitute.org/,,
铟,良好的导电性、耐高温,有色稀有金属,"1,000,000 吨",中国有色金属工业协会,http://www.cmc.org.cn/,,
钽,优异的耐腐蚀性、高熔点,有色稀有金属,"60,000 吨",国际钽协会,http://www.tanb.org/,,
铌,高强度、耐温,有色稀有金属,"50,000 吨",中国有色金属工业协会,http://www.cmc.org.cn/,,
锰,高强度、耐磨耗,有色重金属,"300,000,000 吨",世界锰协会,https://www.manganese.org/,,
