年份,月份,市场模式,市场化机制,电量偏差处理,调峰机制,可再生能源配额,单位,交易规则,价格机制,电量结算方式,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,10,边际定价,政府指导,固定补偿,有,14,百分比,定期交易,รัฐบาล定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,22,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,19,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,无,20,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.ceri.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,电力市场交易中心,http://www.cpex.org.cn/,,
2025,3,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,可再生能源协会,http://www.renewables.org.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,21,百分比,灵活交易,市场与政府结合,按年结算,国家电力公司,http://www.spower.com.cn/,,
2025,5,现货市场,自由定价,由市场调节,有,17,百分比,按需交易,市场价格,按小时结算,中国电力投资集团,http://www.cpic.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按周结算,中国能源网,http://www.cec.net.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,14,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,长期合同,固定价格,双方协商,有,22,百分比,合同交易,市场价格,按季度结算,国家能源局,https://www.nea.gov.cn/,,
2024,1,混合模式,混合定价,按比例分配,有,10,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,2,现货市场,自由定价,由市场调节,有,12,百分比,按需交易,市场价格,按小时结算,中国电力企业发布,http://www.spd.org.cn/,,
2024,3,边际定价,政府指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,中国气候变化中心,http://www.ccchina.gov.cn/,,
2024,4,长期合同,固定价格,双方协商,无,16,百分比,合同交易,固定价格,按季度结算,中国能源研究院,http://www.ceri-resource.org.cn/,,
2024,5,混合模式,混合定价,按比例分配,有,25,百分比,灵活交易,市场与政府结合,按年结算,能源信息网,http://www.energyinfo.org.cn/,,
2024,6,现货市场,自由定价,由市场调节,无,30,百分比,按需交易,市场价格,按小时结算,中国能源局,https://www.nea.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国际可再生能源机构,https://www.irena.org/,,
2025,2,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,中国电力市场交易中心,http://www.cet.org.cn/,,
2024,9,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国风能协会,http://www.cwea.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2025,3,现货市场,自由定价,由市场调节,有,14,百分比,按需交易,市场价格,按小时结算,中国科学院电力所,http://www.energy.ac.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,19,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,长期合同,固定价格,双方协商,无,21,百分比,合同交易,固定价格,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,12,混合模式,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,5,现货市场,自由定价,由市场调节,有,17,百分比,按需交易,市场价格,按小时结算,国际能源署,https://www.iea.org/,,
2025,6,边际定价,政府指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,可再生能源全球发展论坛,https://www.regen.org/,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,25,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2023,11,长期合同,固定价格,双方协商,有,5,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,无,22,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,国际可再生能源署,https://www.irena.org/,,
2025,2,边际定价,政府指导,固定补偿,无,15,百分比,定期交易,政府定价,按月结算,中国电力市场筹备组,http://www.energychina.com/,,
2023,10,长期合同,固定价格,双方协商,有,10,百分比,合同交易,固定价格,按季度结算,中国可再生能源协会,http://www.cresc.cn/,,
2025,3,混合模式,混合定价,按比例分配,无,28,百分比,灵活交易,市场与政府结合,按年结算,深圳市经济和信息化委员会,http://www.szgy.gov.cn/,,
2024,11,现货市场,自由定价,由市场调节,有,13,百分比,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,,
2023,9,边际定价,政府指导,固定补偿,无,17,百分比,定期交易,政府定价,按月结算,中国电力行业协会,http://www.cea.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按月结算,冶金工业规划研究院,http://www.mppi.com.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,20,百分比,定期交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,30,百分比,合同交易,固定价格,按年度结算,国家能源局,https://www.nea.gov.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,25,百分比,灵活交易,市场与政府结合,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,现货市场,自由定价,由市场调节,有,22,百分比,按需交易,市场价格,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,28,百分比,定期交易,政府定价,按年度结算,国际可再生能源署,https://www.irena.org/,,
2024,3,长期合同,固定价格,双方协商,无,35,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,40,百分比,灵活交易,市场与政府结合,按年结算,中国电力市场网,http://www.cpecc.com/,,
2024,5,现货市场,自由定价,由市场调节,有,27,百分比,按需交易,市场价格,按月结算,国家能源局,https://www.nea.gov.cn/,,
2024,6,边际定价,政府指导,固定补偿,无,19,百分比,定期交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,14,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,无,15,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,现货市场,自由定价,动态调节,有,17,百分比,按需交易,市场价格,按小结算,国际可再生能源署,https://www.irena.org/,,
2024,1,边际定价,政府指导,市场补偿,有,22,百分比,定期交易,政府定价,按月结算,中国电力市场,http://www.cpeia.org.cn/,,
2024,2,长期合同,固定价格,协商解决,无,19,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,3,混合模式,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,能源研究中心,http://www.eri.ruc.edu.cn/,,
2024,4,现货市场,自由定价,主动协调,无,21,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,5,边际定价,政府指导,固定补偿,有,23,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,可再生能源电力市场,https://www.renwujiaoyi.com/,,
2023,10,边际定价,政府指导,固定补偿,无,14,百分比,定期交易,政府定价,按季度结算,中国新能源协会,http://www.cnea.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,22,百分比,合同交易,固定价格,按年结算,国际可再生能源机构,https://www.irena.org/,,
2024,5,混合模式,混合定价,按比例分配,有,25,百分比,灵活交易,市场与政府结合,按月结算,杜邦能源研究所,https://www.dupont.com/energy.html,,
2024,11,现货市场,自由定价,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,国家发改委,https://www.ndrc.gov.cn/,,
2024,4,边际定价,政府指导,固定补偿,无,17,百分比,定期交易,政府定价,按季度结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,3,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按年结算,世界资源研究所,https://www.wri.org/,,
2023,12,混合模式,混合定价,按比例分配,有,23,百分比,灵活交易,市场与政府结合,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,2,现货市场,自由定价,由市场调节,无,16,百分比,按需交易,市场价格,按小时结算,中国可再生能源研究院,http://www.ceri.cn/,,
2024,8,边际定价,政府指导,固定补偿,有,21,百分比,定期交易,政府定价,按季度结算,中国电力空调公司,http://www.ceac.com/,,
2024,5,现货市场,自愿交易,完全市场化,有,18,百分比,按需交易,市场竞价,按小时结算,中国电力公司,http://www.sgcc.com.cn/,,
2024,9,边际定价,限价拍卖,双向补偿,有,25,百分比,定期交易,基于市场需求,按月结算,能源研究中心,http://www.energyresearch.cn/,,
2024,10,长期合同,固定价格,由市场调节,无,30,百分比,合同交易,合同约定,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,市场调节,按比例分配,有,22,百分比,灵活交易,市场与协议结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2023,10,现货市场,自由定价,由政府补贴,有,28,百分比,即时交易,动态定价,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,1,长期合同,市场导向,由双方协商,有,20,百分比,合同交易,参照市场价格,按季度结算,新能源开发协会,http://www.renewable.org.cn/,,
2023,8,边际定价,政府指导,按需求分配,无,17,百分比,定期交易,政府定价,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,3,混合模式,混合定价,全面补偿,有,19,百分比,自由交易,多元化定价,按月结算,中国能源研究所,http://www.ceri.com.cn/,,
2024,2,现货市场,价格浮动,与市场比例挂钩,有,14,百分比,按需交易,市场影响,按小时结算,全国电力监管委员会,http://www.cerc.gov.cn/,,
2023,9,长期合同,固定价格,自由协商,有,21,百分比,合同交易,基于市场情况,按季度结算,国家气候变化中心,http://www.ccchina.gov.cn/,,
2024,9,现货市场,自由定价,市场调节,有,18,百分比,按需交易,市场价格,按小时结算,新能源电力交易中心,https://www.pvx.com.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,可再生能源绩效评估中心,http://www.recenter.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,国家气候变化中心,http://www.nccc.gov.cn/,,
2024,12,混合模式,市场与政府结合,按比例分配,有,20,百分比,灵活交易,市场价格,按年结算,中国电力发展促进中心,http://www.cpdpc.org.cn/,,
2023,12,现货市场,自由定价,市场调节,无,10,百分比,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,5,边际定价,政府指导,固定补偿,有,17,百分比,定期交易,政府定价,按月结算,国家统计局,http://www.stats.gov.cn/,,
2023,11,长期合同,固定价格,双方协商,无,16,百分比,合同交易,固定价格,按季度结算,能源局电力司,https://www.nea.gov.cn/,,
2024,3,混合模式,市场与政府结合,按比例分配,有,19,百分比,灵活交易,市场价格,按年结算,中国光伏行业协会,http://www.china-pv.org.cn/,,
2024,1,现货市场,自由定价,市场调节,有,21,百分比,按需交易,市场价格,按小时结算,国家电力公司,http://www.spic.com/,,
2024,2,边际定价,政府指导,固定补偿,有,24,百分比,定期交易,政府定价,按月结算,中国国家能源局,http://www.nea.gov.cn/,,
2024,9,现货市场,市场主导,共同承担,有,18,百分比,按需交易,市场价格,按小时结算,电力供应商联盟,http://www.supplypower.org/,,
2024,10,边际定价,混合定价,由市场调节,无,14,百分比,灵活交易,动态市场定价,按月结算,全球可再生能源报告,https://www.renewablereport.com/,,
2023,11,长期合同,协商定价,固定补偿,有,25,百分比,合同交易,固定价格,按季度结算,国家电力公司,http://www.spower.com/,,
2024,5,现货市场,自由报价,按比例分配,无,20,百分比,定期交易,市场竞价,按小时结算,能源市场信息平台,http://www.emip.com/,,
2023,10,混合模式,地方政府指导,双边协商,有,22,百分比,灵活交易,动态定价,按半年结算,中国绿色电力发展协会,http://www.cgdpa.org/,,
2024,1,边际定价,区域市场主导,由市场调节,无,16,百分比,白天交易,市场平均价,按日结算,国家电网公司,http://www.sgcc.com.cn/,,
2023,9,长期合同,固定协议,共同承担,有,30,百分比,合同交易,可再生能源定价,按年度结算,中国新能源协会,http://www.cneia.org/,,
2024,3,现货市场,自由定价,固定补偿,有,21,百分比,按需交易,市场动态,按月结算,中国电力贸易协会,http://www.cpta.org.cn/,,
2023,7,边际定价,政策引导,按比例分配,无,19,百分比,定期交易,政策与市场结合,按季结算,中电联,http://www.cec.org.cn/,,
2024,2,混合模式,政府与市场结合,双边协商,有,24,百分比,灵活交易,市场导向,按年底结算,可再生能源研究所,http://www.researchrenewables.com/,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,中国新能源网,http://www.china新能源.com/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,国家气候变化事务局,https://www.nccc.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国电力网,http://www.chinaelectricity.com/,,
2024,12,混合模式,混合定价,按比例分配,有,30,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源促进会,http://www.creia.org.cn/,,
2023,6,现货市场,自由定价,由市场调节,有,14,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2023,7,边际定价,山西省政策,固定补偿,无,11,百分比,定期交易,政府定价,按月结算,山西省能源局,http://www.sxny.gov.cn/,,
2023,8,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按季度结算,中国环境保护部,http://www.epa.gov.cn/,,
2023,5,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,1,现货市场,自由定价,由市场调节,有,13,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,3,边际定价,政府指导,固定补偿,无,27,百分比,定期交易,政府定价,按月结算,中国电力网,http://www.chinaelectricity.com/,,
2024,9,现货市场,自愿定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,10,边际定价,价格弹性,在线调整,有,19,百分比,实时交易,市场动态定价,按月结算,国家能源局,https://www.nea.gov.cn/,,
2023,11,长期合同,合同定价,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,1,混合模式,灵活定价,补偿机制,有,14,百分比,灵活交易,政府与市场结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,5,现货市场,自由定价,市场补偿,有,22,百分比,按需交易,市场价格,按小时结算,上海市能源局,http://www.shdrc.gov.cn/,,
2024,3,边际定价,政府指导,固定补偿,无,16,百分比,定期交易,政府参考市场,按月结算,中国电力网,http://www.chinaelectricity.com/,,
2024,2,长期合同,固定价格,协商调整,有,21,百分比,合同交易,固定价格,按季度结算,国家可再生能源中心,http://www.nrec.org.cn/,,
2023,12,混合模式,混合定价,按比例分配,有,30,百分比,灵活交易,市场与政府结合,按年结算,各省电力公司,http://www.chinapower.com/,,
2024,4,现货市场,自愿定价,动态调节,有,13,百分比,按需交易,市场价格,按小时结算,中国绿色电力市场,http://www.gepm.org.cn/,,
2024,5,现货市场,自由定价,由市场调节,有,11,百分比,按需交易,市场价格,按小时结算,全国能源监管委员会,http://www.nerc.gov.cn/,,
2024,9,边际定价,政府指导,固定补偿,有,18,百分比,定期交易,政府定价,按月结算,中国电力公司,http://www.cec.gov.cn/,,
2024,10,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源行业协会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,生态环境部,http://www.mee.gov.cn/,,
2024,1,现货市场,自由定价,由市场调节,有,12,百分比,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,3,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,中华人民共和国国家能源局,http://www.nea.gov.cn/,,
2024,4,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按季度结算,中国能源研究院,http://www.eri.org.cn/,,
2023,2,混合模式,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,现货市场,自由定价,由市场调节,有,20,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,8,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国能源网,http://www.energy.org.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,25,百分比,定期交易,政府定价,按月结算,中国电力市场,http://www.cpmarket.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,30,百分比,合同交易,固定价格,按季度结算,中国能源研究院,http://www.ceri.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,无,20,百分比,灵活交易,市场与政府结合,按年结算,国家电力公司,http://www.sgcc.com.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,22,百分比,按需交易,市场价格,按小时结算,中国建设银行,http://www.ccb.com/,,
2025,2,边际定价,政府指导,固定补偿,有,17,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,3,长期合同,固定价格,双方协商,无,28,百分比,合同交易,固定价格,按季度结算,国家能源局,http://www.nea.gov.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,19,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,5,现货市场,自由定价,由市场调节,无,15,百分比,按需交易,市场价格,按小时结算,中国环境保护部,http://www.mee.gov.cn/,,
2025,6,边际定价,政府指导,固定补偿,有,24,百分比,定期交易,政府定价,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,5,现货市场,市场驱动,由市场调节,有,11,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,9,边际定价,政府指导,固定补偿,有,18,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,10,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,1,现货市场,自由定价,市场调节,有,21,百分比,按需交易,市场价格,按小时结算,中国电力调度中心,http://www.china-grid.com/,,
2023,8,边际定价,政府指导,固定补偿,有,13,百分比,定期交易,政府定价,按月结算,中国能源局,https://www.nea.gov.cn/,,
2024,2,长期合同,固定价格,双方协商,无,22,百分比,合同交易,固定价格,按季结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,7,混合模式,混合定价,按比例分配,有,17,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,3,现货市场,市场驱动,由市场调节,有,16,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,4,边际定价,政府指导,固定补偿,无,19,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按月结算,中国环境保护部,http://www.mee.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按季度结算,中国电力网,http://www.chinaelectricity.com.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按年结算,中国科学院,http://www.cas.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按季度结算,国家能源局,https://www.nea.gov.cn/,,
2023,10,现货市场,自由定价,由市场调节,有,16,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,边际定价,政府指导,固定补偿,有,30,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,1,长期合同,固定价格,双方协商,无,17,百分比,合同交易,固定价格,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,9,混合模式,混合定价,按比例分配,有,19,百分比,灵活交易,市场与政府结合,按季度结算,中国气候变化事务所,http://www.climate.gov.cn/,,
2024,2,现货市场,自由定价,由市场调节,无,21,百分比,按需交易,市场价格,按小时结算,中国环保产业协会,http://www.chinagreen.org.cn/,,
2024,3,边际定价,政府指导,固定补偿,有,23,百分比,定期交易,政府定价,按月结算,中国电力运营公司,http://www.poweroperation.com.cn/,,
2024,5,现货市场,市场竞争,经济补偿,有,18,百分比,灵活交易,市场价格,按小时结算,中国电力市场管理中心,http://www.cpmc.com.cn/,,
2024,9,边际定价,政府指导,预定补偿,无,25,百分比,定期交易,政府定价,按月结算,国家电力公司,http://www.spic.com.cn/,,
2024,10,长期合同,公私合营,双边协商,有,30,百分比,合同交易,市场与政府结合,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,灵活定价,按比例分配,有,22,百分比,按需交易,市场价格,按年结算,可再生能源发展研究中心,http://www.credec.com/,,
2024,1,现货市场,自由竞争,预算调整,无,12,百分比,灵活交易,市场价格,按小时结算,中国电力资产管理公司,http://www.cpm.com.cn/,,
2024,3,边际定价,政府调控,全额补偿,有,18,百分比,合同交易,政府定价,按季度结算,全球可再生能源协会,http://www.renewableglobal.org/,,
2023,8,混合模式,市场引导,双方协商,无,15,百分比,按需交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2024,2,长期合同,固定价格,定额协商,有,14,百分比,定期交易,市场价格,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,4,现货市场,灵活定价,市场调节,有,19,百分比,灵活交易,市场价格,按小时结算,中国电力可再生能源技术推广中心,http://www.chinaurt.com/,,
2024,12,边际定价,综合定价,经济补偿,有,31,百分比,合同交易,政府定价,按季度结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,9,现货市场,自由定价,临时补偿,有,18,百分比,按需交易,市场价格,按周结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,是,20,百分比,定期交易,政府定价,按季结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,市场定价,双方协商,无,22,百分比,合同交易,固定价格,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,临时补偿,是,25,百分比,按需交易,市场价格,按小时结算,电力交易中心,http://www.cepra.org.cn/,,
2025,2,边际定价,政策指导,固定补偿,有,30,百分比,定期交易,政府定价,按月结算,中国电力市场网,http://www.cps.org.cn/,,
2025,3,长期合同,固定价格,双方协商,无,35,百分比,合同交易,固定价格,按季结算,国际可再生能源机构,https://www.irena.org/,,
2025,4,混合模式,混合定价,按比例分配,有,28,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2025,5,现货市场,政府指导,临时补偿,是,40,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.ceri.edu.cn/,,
2024,9,现货市场,市场导向,实时调整,无,18,百分比,即时交易,动态定价,按日结算,中国可再生能源协会,http://www.creia.org.cn/,,
2024,10,边际定价,市场机制优先,全额支付,有,25,百分比,定期交易,市场与政府结合,按周结算,中国电力科学院,http://www.cea.gov.cn/,,
2025,1,长期合同,协商定价,按需协商,有,30,百分比,年度合同,固定基准,按年结算,国家能源局,https://www.nea.gov.cn/,,
2025,2,混合模式,部门指导,政府补贴,有,22,百分比,轮换交易,市场波动,按月结算,中国可再生能源网,http://www.creenergy.com/,,
2025,3,现货市场,自由价格,小时调节,无,28,百分比,随需而定,固定市场价,按小时结算,中国电力交易中心,http://www.cpex.gov.cn/,,
2024,12,边际定价,市场中立,自动调整,有,14,百分比,灵活交易,即时市场价格,按周结算,国家发改委,https://www.ndrc.gov.cn/,,
2023,11,长期合同,固定指导,年度审核,无,19,百分比,合同交易,固定价格,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,5,混合模式,自由与指导并行,由用户选择,有,13,百分比,按需交易,市场动态,按月结算,国家新能源开发公司,http://www.nec.gov.cn/,,
2023,10,现货市场,市场竞争优化,临时补偿,无,16,百分比,即时交易,市场主导,按小时结算,绿色电力交易平台,http://www.greenpower.com/,,
2025,4,边际定价,保护与市场结合,动态调整,有,27,百分比,灵活交易,市场与政府协调,按日结算,中国电力系统分析中心,http://www.psa.gov.cn/,,
2024,9,现货市场,市场引导,市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力市场研究中心,http://www.cpmsc.org.cn/,,
2024,10,边际定价,政府指导,灵活补偿,无,25,百分比,定期交易,政府定价,按月结算,国际可再生能源机构,https://www.irena.org/,,
2024,11,长期合同,自由定价,双边协商,有,30,百分比,合同交易,市场价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,1,混合模式,混合定价,按比例分配,无,14,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2023,2,现货市场,自由定价,市场调节,有,22,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,边际定价,政府指导,固定补偿,无,13,百分比,定期交易,政府定价,按月结算,电力储运协会,http://www.sepa.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,27,百分比,合同交易,固定价格,按季度结算,全球风能理事会,http://gwec.net/,,
2024,3,现货市场,市场引导,市场调节,有,20,百分比,按需交易,市场价格,按小时结算,国家电力调度中心,http://www.csp.gov.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按年结算,中国储能网,https://www.escn.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.ceri.edu.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,30,百分比,定期交易,政府定价,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,国家能源局,https://www.nea.gov.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,22,百分比,灵活交易,市场与政府结合,按年结算,中国环境保护部,http://www.mee.gov.cn/,,
2023,5,现货市场,自由定价,由市场调节,有,16,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,1,边际定价,政府指导,固定补偿,无,12,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
