年份,国家,新能源类型,装机规模,发电量,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,中国,风电,5.25,6200,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.5,4600,中国可再生能源学会,http://www.cres.org.cn/,,
2024,中国,水电,4.75,5900,中国水电工程顾问集团,http://www.chinca.com/,,
2023,中国,生物质,600,1500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,地热能,200,800,中国地热协会,http://www.cgeo.org.cn/,,
2024,中国,新型储能,600,2000,国家电网公司,http://www.sgcc.com.cn/,,
2023,中国,海洋能,100,350,中国海洋能协会,http://www.cmoea.org.cn/,,
2024,中国,氢能,300,900,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,中国,风电,6.0,7200,能源年度报告2025,http://www.energyreport2025.com/,,
2025,中国,太阳能,9.0,5500,可再生能源年度报告2025,http://www.renewableenergyannual2025.com/,,
2025,中国,风电,5.12,6100,全球风能理事会,https://gwec.net/,,
2025,中国,太阳能,8.23,4500,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.85,6000,中国水电工程学会,http://www.chinahe.com/,,
2024,中国,生物质,600,700,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,地热能,120,135,中国地热能协会,http://www.cgeo.org.cn/,,
2023,中国,新型储能,550,数据未提供,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,氢能,80,50,中国氢能联盟,https://www.chinahydrogen.org/,,
2023,中国,潮汐能,30,12,中国水利部,http://www.mwr.gov.cn/,,
2023,中国,太阳能,6.5,3850,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,5.5,6800,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,风电,5.23,5920,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.5,4210,中国可再生能源发展协会,http://www.creia.org.cn/,,
2024,中国,水电,4.5,5100,中国水利水电建设集团,http://www.cwcc.com/,,
2024,中国,生物质,5000,630,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,6000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,中国,风电,4.0,4820,中国风能协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,6.5,3580,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.8,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,4000,540,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,风电,5.2,6000,中国风能协会,http://www.chinawea.org/,,
2024,中国,太阳能,8.0,4150,中国光伏行业协会,http://www.cpvda.org/,,
2024,中国,水电,4.75,5800,中国水电工程顾问公司,http://www.chinese-wind-solar.com/,,
2023,中国,生物质,5000,3800,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,6000,4200,国家能源局,https://www.nea.gov.cn/,,
2025,中国,潮汐能,1000,1200,中国潮汐能开发协会,http://www.chinawaveenergy.com/,,
2025,中国,氢能,2500,1500,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2024,中国,地热能,1000,800,中国地热能协会,http://www.geothermal.org.cn/,,
2023,中国,生物气,1500,1000,中国产业发展研究院,http://www.cidc.org.cn/,,
2024,中国,垃圾焚烧,2000,1400,中国环境保护部,http://www.mee.gov.cn/,,
2024,中国,风电,5.1,5722,中国风能协会,https://www.cwea.org.cn/,,
2024,中国,太阳能,8.0,4250,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,4.6,6100,中国电力部,http://www.chinapower.com/,,
2023,中国,生物质,5000,5170,环保部,http://www.meep.gov.cn/,,
2023,中国,新型储能,5200,1160,国家能源科技公司,http://www.nerc.cn/,,
2025,中国,海洋能,600,500,海洋能开发研究中心,http://www.oceanenergy.cn/,,
2025,中国,地热能,800,220,中国地热能协会,http://www.geothermal.cn/,,
2025,中国,氢能,3000,900,中国氢能联盟,http://www.chinahydrogen.org/,,
2023,中国,风电,4.35,4800,风能供应链协会,http://www.windassociation.org.cn/,,
2023,中国,太阳能,6.8,3150,中国太阳能学会,http://www.cssa.org.cn/,,
2024,中国,风电,510000000.0,570000000000.0,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,820000000.0,426000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,450000000.0,500000000000.0,中国水利水电建设集团,http://www.chinawater.com/,,
2025,中国,生物质,60000000.0,300000000000.0,中国环境保护部,http://www.mee.gov.cn/,,
2025,中国,新型储能,50000000.0,250000000000.0,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,水电,480000000.0,523000000000.0,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,风电,415000000.0,467500000000.0,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,900000000.0,480000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,生物质,75000000.0,350000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,60000000.0,290000000000.0,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,5.12,5340,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,7.9,4190,国家能源局,https://www.nea.gov.cn/,,
2025,中国,水电,4.55,5770,中国水电工程咨询公司,http://www.chinahydro.com/,,
2025,中国,生物质,5000,3200,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,6000,1500,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,地热,1500,1250,中国地热能学会,http://www.geothermal.cn/,,
2025,中国,海洋能,800,400,国家海洋局,http://www.soa.gov.cn/,,
2024,中国,氢能,2500,900,氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2023,中国,综合能源服务,3000,850,中国能源研究会,http://www.ceri.org.cn/,,
2024,中国,风电,6.1,6300,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,风电,5.12,5700,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.3,4500,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.5,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,3000,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,1000,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,美国,风电,135.0,45000,美国风能协会,https://www.awea.org/,,
2024,德国,太阳能,75.0,11000,德国电力市场协会,https://www.bdew.de/,,
2024,印度,水电,48.0,14500,印度水电局,http://www.nhpcindia.com/,,
2025,巴西,生物质,9.0,4000,巴西可再生能源协会,https://www.abbio.org.br/,,
2025,澳大利亚,新型储能,4.2,800,澳大利亚能源市场运营商,https://www.aemo.com.au/,,
2024,中国,风电,5.21,5500,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,9.55,4600,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,4.6,6000,中国水利水电建设集团,http://www.cwcc.com/,,
2023,中国,生物质,4870,1942,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,0,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,风电,6.78,6800,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.2,5000,国家电力公司,http://www.sgcc.com.cn/,,
2024,中国,水电,4.85,5750,中国水力发电工程学会,http://www.chinahydropower.com/,,
2023,中国,生物质,4700,2100,全国生物质能发展中心,http://www.biomass.com.cn/,,
2025,中国,新型储能,6000,0,中国储能产业技术创新战略联盟,http://www.cnesa.org/,,
2024,中国,风电,5.32,5789,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.2,4600,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,5.05,6750,中国水电工程咨询集团,http://www.chinahydro.com/,,
2024,中国,生物质,650,1030,国家能源局,https://www.nea.gov.cn/,,
2024,中国,新型储能,500,0,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,地热能,200,220,中国地热能协会,http://www.geotherm.org.cn/,,
2023,中国,潮汐能,120,150,中国潮汐能协会,http://www.tidalenergy.org.cn/,,
2024,中国,风电,6.45,7360,可再生能源发展协会,http://www.rec.org.cn/,,
2024,中国,太阳能,9.3,5100,国际太阳能联盟,https://www.irena.org/,,
2023,中国,水电,4.8,6300,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,风电,5.1,5450,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.2,4300,中国可再生能源学会,http://www.creia.org.cn/,,
2025,印度,生物质,6500,3000,印度可再生能源发展部,https://www.mnre.gov.in/,,
2025,德国,水电,5.0,4100,德国联邦水力发电协会,https://www.bdhh.de/,,
2023,美国,新型储能,3720,数据未提供,美国能源部,https://www.energy.gov/,,
2024,中国,潮汐能,1200,182,中国海洋能源开发中心,http://www.cmeo.gov.cn/,,
2025,日本,太阳能,9.5,5200,日本新能源产业技术综合开发机构,https://www.nedo.go.jp/,,
2025,澳大利亚,风电,13.2,8600,澳大利亚能源局,http://www.energy.gov.au/,,
2024,巴西,水电,11.8,12000,巴西电力监控局,http://www.ons.org.br/,,
2023,中国,生物质,5000,数据未提供,中国生物能源研究中心,http://www.cbe.org.cn/,,
2025,中国,风电,5.0,5700,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.5,4200,中国光伏行业协会,http://www.cpv.org.cn/,,
2025,中国,水电,4.5,5500,中国水电工程建设总公司,http://www.chinawaterpower.com/,,
2023,中国,生物质,5000,1500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,1000,中国储能网,http://www.escn.com/,,
2026,中国,氢能,2000,300,中国氢能联盟,http://www.chinahydrogen.org/,,
2026,中国,风电,6.1,6300,中国可再生能源学会,http://www.creia.org.cn/,,
2024,美国,太阳能,150,300,美国能源部,https://www.energy.gov/,,
2023,德国,水电,50,160,德国联邦水电协会,http://www.bbhw.de/,,
2023,日本,生物质,1800,500,日本可再生能源协会,http://www.japan-renergy.org/,,
2025,中国,风电,5.23,5820,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.05,4410,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.3,5700,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,4800,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5230,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,地热,300,220,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,氢能,1500,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2025,中国,潮汐电力,120,30,国家海洋局,http://www.soa.gov.cn/,,
2025,中国,风电,6.0,6500,中国风能协会,http://www.cwea.org.cn/,,
2026,中国,太阳能,8.5,4900,中国光伏行业协会,http://www.cpv.org.cn/,,
2024,中国,海洋能,12000000.0,1200,中国海洋能源协会,http://www.cocean.org.cn/,,
2023,中国,风电,550000000.0,6140,国家风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,830000000.0,4800,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,485000000.0,6450,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,600,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,6000,800,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,风电,620000000.0,7250,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,储能技术,4500,500,中国储能产业技术创新战略联盟,https://www.cesito.org/,,
2024,中国,太阳能,950000000.0,7000,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,500000000.0,6000,水利部,http://www.mwr.gov.cn/,,
2025,中国,风电,520000000.0,5850,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,850000000.0,4500,中国光伏行业协会,http://www.cpvpa.org/,,
2023,中国,水电,450000000.0,5500,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,1200,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5500,800,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,地热能,3000,440,中国地热能协会,http://www.geothermal.org.cn/,,
2023,中国,海洋能,1200,220,中国海洋能源开发协会,http://www.mocean.org.cn/,,
2024,中国,风电,600000000.0,6200,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,910000000.0,4850,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,480000000.0,5900,中国水电设计院,http://www.cwea.net/,,
2025,中国,风电,5.23,6000,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.56,4200,国家能源局,https://www.nea.gov.cn/,,
2025,中国,水电,4.6,5800,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5000,2300,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,1800,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,潮汐能,800,1000,中国海洋发展报告,http://www.ocean.gov.cn/,,
2024,中国,氢能,300,500,氢能产业发展联盟,http://www.hydrogenalliance.org/,,
2026,中国,风电,6.12,6500,全球风电理事会,http://www.gwec.net/,,
2026,中国,太阳能,9.48,5000,中国太阳能学会,http://www.csp-solar.org/,,
2026,中国,地热能,700,300,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,风电,5.03,5640,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,8.21,4321,中国光伏行业协会,http://www.cpv.org.cn/,,
2023,中国,水电,4.75,6000,中国水利部,http://www.mwr.gov.cn/,,
2023,中国,生物质,5000,3200,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,2100,国家能源局,https://www.nea.gov.cn/,,
2023,中国,潮汐能,200,1200,中国海洋能源协会,http://www.cmeia.org/,,
2025,中国,氢能,3000,1700,中国能源研究会,http://www.ceri.com.cn/,,
2025,中国,地热能,800,600,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,混合能源,2.5,1500,中国电力规划设计总院,http://www.dlpla.com/,,
2023,中国,太阳能热水,1000,800,中国太阳能热利用协会,http://www.solarthermal.org.cn/,,
2024,中国,风电,5.32,5820,中国风能协会,http://www.cwea.org.cn/,,
2023,美国,太阳能,3.85,1000,美国能源信息署,https://www.eia.gov/,,
2024,德国,水电,1.5,3500,德国水资源管理协会,https://www.bmwi.de/,,
2023,印度,生物质,620,数据未提供,印度可再生能源部,https://www.mnre.gov.in/,,
2025,巴西,新型储能,830,数据未提供,巴西电力监管局,http://www.aneel.gov.br/,,
2024,中国,氢能,580,450,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,法国,太阳能,12.6,7400,法国可再生能源协会,https://reseau-energie.com/,,
2023,日本,风电,4.2,2600,日本风能协会,http://www.jwea.or.jp/,,
2024,中国,水电,5.0,6200,中国水电工程顾问集团,http://www.chinawaterpower.com/,,
2024,加拿大,生物质,300,1250,加拿大可再生能源协会,https://canrea.ca/,,
2024,中国,风电,5.12,5820,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,8.75,4210,中国国家能源局,https://www.nea.gov.cn/,,
2023,中国,风电,4.85,5500,中国风能协会,http://www.cwea.org.cn/,,
2022,中国,水电,4.75,5100,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,4800,2400,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5200,1500,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,美国,风电,130.0,335.0,美国风能协会,https://www.awea.org/,,
2023,欧洲,太阳能,200.0,240.0,欧洲可再生能源委员会,https://www.erec.org/,,
2023,中国,水电,4.9,5850,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,地热,1200,800,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,风电,5.03,5650,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.21,4400,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,4.72,6100,中国水电工程学会,http://www.china-sdh.org/,,
2024,中国,生物质,5300,2300,中国生物质能源协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5600,1200,中国储能产业技术创新战略联盟,http://www.cnaes.org/,,
2024,中国,氢能,2000,850,中国氢能联盟,http://www.hydrogencn.org/,,
2023,中国,地热能,1500,700,中国地热能协会,http://www.geothermal.org.cn/,,
2023,中国,潮汐能,800,300,中国海洋能协会,http://www.chinaoceanenergy.org/,,
2025,中国,风电,6.2,6500,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,9.0,5000,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,风电,5.12,5860,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,8.32,4420,国家太阳能网,http://www.solar.gov.cn/,,
2025,中国,水电,4.5,5700,水电发展协会,http://www.hydropower.org.cn/,,
2022,中国,生物质,500,650,中国能源投资公司,http://www.ceic.com.cn/,,
2022,中国,新型储能,300,200,储能产业发展协会,http://www.eschina.org/,,
2023,美国,风电,150,2000,美国风能协会,http://www.awea.org/,,
2023,美国,太阳能,150,1200,美国太阳能产业协会,http://www.seia.org/,,
2023,德国,水电,19,80,德国水电协会,http://www.igb.bund.de/,,
2025,印度,生物质,80,1000,印度生物质能开发署,http://www.ibgb.in/,,
2025,印度,新型储能,50,500,印度可再生能源部,http://www.mnre.gov.in/,,
2024,中国,氢能,1.25亿千瓦,1800亿千瓦时,中国氢能协会,http://www.chinahydrogen.org/,,
2023,中国,地热能,5000万千瓦,600亿千瓦时,中国地热能产业发展联盟,http://www.geothermal-china.org/,,
2025,中国,风电,5.50亿千瓦,6200亿千瓦时,国际风能协会,https://www.ewea.org/,,
2024,中国,太阳能,8.00亿千瓦,4500亿千瓦时,中国太阳能产业协会,http://www.cspa.org.cn/,,
2023,中国,水电,4.80亿千瓦,6300亿千瓦时,中国水电工程顾问公司,http://www.chinahydro.com/,,
2024,中国,生物质,5500万千瓦,400亿千瓦时,全球生物质能论坛,http://www.worldbiomass.org/,,
2025,中国,新型储能,6000万千瓦,750亿千瓦时,国际储能联合会,https://www.isea.org/,,
2024,中国,潮汐能,2800万千瓦,250亿千瓦时,中国海洋能源协会,http://www.coms.org.cn/,,
2023,中国,风电,4.90亿千瓦,5700亿千瓦时,中国电力建设集团,http://www.powerchina.cn/,,
2024,中国,太阳能,7.85亿千瓦,4100亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,风电,5.1,5800,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,8.5,4500,中国光伏行业协会,http://www.cpvta.org.cn/,,
2024,中国,水电,4.75,6000,中国水电工程顾问集团,http://www.chinawater.com/,,
2024,中国,生物质,5600,2800,国家可再生能源中心,https://www.renergy.org.cn/,,
2025,中国,新型储能,5000,数据未提供,未来能源研究中心,http://www.fes.org.cn/,,
2023,中国,风电,4.2,4850,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,6.8,4100,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.9,5750,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,6000,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,6000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,风电,512000000.0,5400,全球风能理事会,https://www.gwec.net/,,
2025,美国,太阳能,385000000.0,5200,美国能源部,https://www.energy.gov/,,
2025,德国,水电,162000000.0,1400,德国水利协会,https://www.dwa.de/,,
2025,中国,生物质,34200000.0,2150,中国生物质能协会,http://www.chinabiomass.org/,,
2025,印度,新型储能,22000000.0,870,印度可再生能源部,https://mnre.gov.in/,,
2023,中国,氢能,50000000.0,数据未提供,中国氢能联盟,http://www.chinahydrogen.org/,,
2024,巴西,风电,145000000.0,1500,巴西电力监管局,http://www.aneel.gov.br/,,
2024,澳大利亚,太阳能,250000000.0,3100,澳大利亚能源市场运营商,https://www.aemo.com.au/,,
2024,中国,地热能,24000000.0,数据未提供,国家地热能资源中心,http://www.geothermal.org.cn/,,
2023,加拿大,水电,1230000000.0,7200,加拿大水电协会,https://www.hydrocanada.ca/,,
2024,中国,风电,5.2,5720,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.0,4500,国际太阳能联盟,https://www.isolaralliance.org/,,
2024,中国,水电,4.7,5800,中国水电工程顾问集团,http://www.china-sdg.com/,,
2023,中国,生物质,4800,1200,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,新型储能,5000,800,工信部新能源发展中心,http://www.miit.gov.cn/,,
2025,中国,海洋能,2200,500,中国海洋能源协会,http://www.coemc.org/,,
2023,中国,氢能,6000,400,中国氢能联盟,http://www.hydrogenalliance.org/,,
2025,中国,风电,6.0,6400,中电联,http://www.cec.org.cn/,,
2025,中国,太阳能,9.5,5200,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,4.5,5500,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,风电,5.2,6000,中国国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,9.0,4800,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,4.55,5000,中国水利水电建设集团,http://www.chinawater.com/,,
2023,中国,生物质,4800,2200,中国农业农村部,http://www.moa.gov.cn/,,
2024,中国,新型储能,6000,3500,国家电力公司,http://www.sgcc.com.cn/,,
2025,中国,风电,6.8,7200,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,10.5,5500,中国能源研究会,http://www.cenergy.org.cn/,,
2023,中国,水电,4.8,5750,中国水电工程顾问集团,http://www.cwec.com.cn/,,
2024,中国,生物质,5000,3000,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,8000,4000,中国储能产业协会,http://www.cesa.org.cn/,,
2025,中国,风电,5.25,6000,国际风能协会,https://www.wec-global.com/,,
2023,中国,太阳能,8.3,4200,中国光伏行业协会,http://www.cpv.org.cn/,,
2024,中国,水电,4.9,5000,中国水利部,http://www.mwr.gov.cn/,,
2025,中国,生物质,5000,400,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,6000,0,国家能源局,https://www.nea.gov.cn/,,
2024,中国,海洋能,300,100,中国海洋能源协会,http://www.oceansolar.org/,,
2023,中国,风电,4.0,4500,新浪财经,https://finance.sina.com.cn/,,
2022,中国,太阳能,6.5,3800,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,氢能,1500,0,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,水电,4.0,6200,中国水利水电建设集团,http://www.cwcc.com.cn/,,
2024,中国,风电,5.12,5700,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,7.85,4250,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.58,6100,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5010,1420,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,860,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,风电,6.0,6400,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.68,4600,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,水电,4.75,6700,中国水电工程顾问集团,http://www.chinahydro.com/,,
2025,中国,生物质,6000,1600,中国生物质能协会,http://www.chinabiomass.org/,,
2026,中国,新型储能,6000,1000,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,风电,5.1,5300,中国电力发展报告,http://www.chinaelectricity.com,,
2024,中国,太阳能,8.0,4200,全球太阳能委员会,https://www.gswec.org/,,
2023,中国,水电,4.5,5700,中国水能协会,http://www.chinahydro.com,,
2023,中国,生物质,5500,2300,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,5000,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2025,中国,风电,6.3,6000,中国风能协会,http://www.chinawind.org,,
2024,中国,太阳能,6.8,3700,中国可再生能源学会,http://www.creia.org.cn/,,
2022,中国,水电,3.9,4300,水利部,http://www.mwr.gov.cn,,
2024,中国,氢能,1200,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2023,中国,潮汐能,800,1200,中国海洋能协会,http://www.chinamarinenrg.com,,
2024,中国,风电,5.12,6002,国家电网公司,http://www.sgcc.com.cn/,,
2024,中国,太阳能,8.3,4840,中国太阳能产业协会,http://www.cpv.org.cn/,,
2023,中国,水电,4.85,6150,中国水利部,http://www.mwr.gov.cn/,,
2025,中国,氢能,5000,2500,中国氢能产业联盟,http://www.chinahydrogen.org/,,
2023,中国,生物质,600,1100,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,700,350,国家能源局,https://www.nea.gov.cn/,,
2026,中国,风电,6.25,7190,国际可再生能源署,https://www.irena.org/,,
2024,中国,太阳能,9.0,5500,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,5.0,6100,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,新能源,800,400,中国能源研究会,http://www.cre.org.cn/,,
2025,中国,风电,5.12,6150,国际可再生能源机构,https://www.irena.org/,,
2024,中国,太阳能,8.2,4590,中国光伏行业协会,http://www.cpvda.org.cn/,,
2023,中国,水电,4.95,6100,国家水利部,http://www.mwr.gov.cn/,,
2025,中国,生物质,5200,3300,中国国家生物质能源技术中心,http://www.bioenergy.cn/,,
2025,中国,新型储能,6000,1800,中国储能产业技术创新战略联盟,http://www.chinaese.com.cn/,,
2026,中国,海洋能,250,600,中国海洋能源协会,http://www.cmoea.org.cn/,,
2023,中国,氢能,1000,750,中国氢能产业联盟,http://www.chinahydrogen.org/,,
2026,中国,风电,6.0,7200,上海风电产业协会,http://www.shwind.org/,,
2024,中国,太阳能,9.5,4700,全国能源信息中心,http://www.neic.gov.cn/,,
2025,中国,水电,5.5,6400,中国水电工程咨询有限公司,http://www.chinawaterpower.com/,,
2025,中国,风电,5.12,6102,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.0,4520,全国太阳能中心,http://www.cnsolar.org/,,
2025,中国,水电,4.6,5800,中国水电工程顾问集团,http://www.china-wp.com/,,
2023,中国,生物质,5000,3200,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,6000,2800,电力储能技术研究中心,http://www.etsrc.org/,,
2024,中国,海洋能,2500,1750,中国海洋能协会,http://www.oceanenergy.org.cn/,,
2023,中国,氢能,1250,900,中国氢能产业联盟,http://www.chinahydrogen.org/,,
2024,中国,地热能,800,620,中国地热能协会,http://www.geothermal.cn/,,
2025,中国,太阳能热水,2000,1500,中国太阳能热利用协会,http://www.cseru.org/,,
2025,中国,固体废弃物发电,1200,980,中国环境保护部,http://www.mee.gov.cn/,,
2024,中国,风电,5.05,5790,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,8.2,4380,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,5.0,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5000,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,4900,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,风电,6.0,6200,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,9.0,5000,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,5.5,6500,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,潮汐能,3000,1500,中国海洋局,http://www.soac.gov.cn/,,
2024,中国,氢能,1500,数据未提供,中国氢能产业协会,http://www.chinahydrogen.org/,,
2024,可再生能源岛国,风电,3.20亿千瓦,3745亿千瓦时,国际风能协会,https://www.wea.com/,,
