日期,地区,铁路站点,铁路线路,发送目的地,旅客发送量,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-08-15,广东,深圳北站,广深高铁、南广高铁,北京、东京等,323.8,万人,深圳市政府,http://www.sz.gov.cn/,,
2024-07-25,浙江,杭州东站,杭甬高铁,宁波、上海等,190.2,万人,中国铁路总公司,https://news.youth.cn/gn/,,
2024-09-01,陕西,西安北站,西成高铁,成都、兰州等,128.6,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2023-12-15,辽宁,沈阳站,沈大高铁、哈大高铁,大连、北京等,95.4,万人,中国铁路沈阳局,http://www.sy.rail.cn/,,
2024-10-03,福建,福州站,福厦高铁,厦门、宁波等,85.8,万人,福州铁路局,http://www.fuzhou.rail.cn/,,
2024-10-04,河南,郑州站,郑西高铁,西安、北京等,210.5,万人,中国铁路郑州局,http://www.zz.rail.cn/,,
2024-11-01,深圳,深圳北站,广深高铁、深茂铁路,广州、香港等,125.7,万人,中国铁路总公司,https://news.youth.cn/gn/202411/t20241101_15566230.htm,,
2024-10-15,武汉,武汉站,京广高铁、沪汉蓉高铁,北京、上海、成都等,222.8,万人,海事局,http://www.msa.gov.cn/,,
2023-10-05,成都,成都东站,成渝高铁,重庆、北京等,189.4,万人,四川交通委员会,http://jt.sc.gov.cn/,,
2024-09-20,南京,南京南站,宁杭高铁、沪宁高铁,上海、杭州等,142.0,万人,全国铁路集团,http://www.china-railway.com.cn/,,
2024-05-30,杭州,杭州东站,杭深高铁、沪昆高铁,深圳、南京等,98.6,万人,浙江省发改委,http://fgw.zj.gov.cn/,,
2023-12-25,青岛,青岛北站,青连铁路、胶济铁路,济南、北京等,87.3,万人,山东省交通运输厅,http://jtj.shandong.gov.cn/,,
2024-08-15,广州,广州站,广珠城际、京广高铁,珠海、北京等,300.5,万人,广东省交通运输厅,http://jt.gd.gov.cn/,,
2024-06-30,上海,上海虹桥站,沪宁高铁、沪杭高铁,杭州、北京等,215.9,万人,上海市交通委,http://jtw.sh.gov.cn/,,
2024-07-15,西安,西安北站,西康高铁、京昆高铁,成都、北京等,150.0,万人,西安市交委,http://www.xa.gov.cn/zt/transport/,,
2024-10-05,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,280.5,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-05,江苏,苏州站,沪宁高铁,上海、杭州等,200.2,万人,新华网,https://www.xinhuanet.com/,,
2024-09-30,广东,深圳北站,广深高铁、南广高铁,广州、东莞等,320.0,万人,南方日报,https://www.southcn.com/,,
2024-10-01,福建,福州站,福厦高铁,厦门、北京等,150.8,万人,福建日报,https://www.fjdaily.com/,,
2024-10-01,四川,成都东站,成渝高铁,重庆、贵阳等,190.3,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-25,浙江,杭州东站,杭甬高铁、京杭高铁,宁波、上海等,210.7,万人,浙江日报,http://www.zj.gov.cn/,,
2024-10-01,河北,石家庄站,京广高铁,北京、武汉等,140.5,万人,中国日报,http://www.chinadaily.com.cn/,,
2024-10-03,重庆,重庆西站,渝贵高铁,贵阳、成都等,170.4,万人,重庆晨报,http://www.cqnews.net/,,
2024-10-02,吉林,长春站,集通高铁,沈阳、哈尔滨等,110.9,万人,吉林日报,http://www.jl.gov.cn/,,
2024-09-29,云南,昆明站,昆明-大理铁路,大理、北京等,85.6,万人,云南网,http://www.yunnan.cn/,,
2024-10-15,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、长沙等,250.0,万人,中国国家铁路集团有限公司,https://www.china-railway.com.cn/,,
2024-10-10,成都,成都东站,成渝高铁,重庆、广州等,145.3,万人,四川省交通运输厅,https://www.sctjt.gov.cn/,,
2024-10-12,西安,西安北站,西安至北京高铁,北京、敦煌等,80.5,万人,中国铁路西部局集团有限公司,http://www.cbxrailway.com/,,
2023-09-29,广州,广州南站,广深高铁、广珠城际,珠海、深圳等,350.0,万人,广州市交通规划研究中心,http://www.gzjt.gov.cn/,,
2023-10-01,天津,天津站,津沪高铁,上海、南昌等,50.0,万人,天津市交通运输委员会,http://jt.tianjin.gov.cn/,,
2023-10-05,哈尔滨,哈尔滨东站,哈长高铁,长春、沈阳等,90.0,万人,黑龙江省交通运输厅,http://jtt.hlj.gov.cn/,,
2024-11-01,南京,南京南站,宁杭高铁,杭州、合肥等,200.0,万人,江苏省交通厅,http://jst.Jiangsu.gov.cn/,,
2024-10-20,昆明,昆明南站,云桂高铁,南宁、广州等,120.0,万人,云南省交通运输厅,http://jt.yn.gov.cn/,,
2024-10-25,深圳,深圳北站,广深高铁,香港、广州等,295.0,万人,深圳市交通运输局,http://jtysj.sz.gov.cn/,,
2024-10-30,沿海地区,青岛站,青连高铁,连云港、徐州等,110.0,万人,山东省交通运输厅,http://jttd.shandong.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪苏高铁、沪宁高铁,南京、无锡,210.3,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-02,深圳,深圳北站,广深高铁,广州、珠海,182.4,万人,深圳市交通运输局,https://www.szjt.gov.cn/,,
2024-09-28,广州,广州南站,广深高铁、广铁干线,长沙、南宁,290.0,万人,广东省交通运输厅,http://jtt.gd.gov.cn/,,
2023-12-15,成都,成都东站,成渝高铁,重庆、武汉,145.2,万人,四川省铁路局,http://www.sctr.gov.cn/,,
2024-10-01,西安,西安北站,西成高铁,成都、兰州,120.7,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-11-01,杭州,杭州东站,杭甬高铁,宁波、上海,200.5,万人,浙江省交通运输厅,http://www.zjt.gov.cn/,,
2024-09-30,郑州,郑州东站,郑西高铁,北京、武汉,175.6,万人,河南省铁路局,http://www.henan.gov.cn/,,
2024-10-05,武汉,武汉站,武广高铁,广州、长沙,210.1,万人,武汉市交通运输委员会,http://jtw.wuhan.gov.cn/,,
2023-10-20,青岛,青岛北站,青连铁路,连云港、济南,134.3,万人,山东省交通运输厅,http://www.sdjtt.gov.cn/,,
2024-01-15,天津,天津西站,京津高铁,北京、沈阳,158.7,万人,天津市交通运输委员会,http://www.tjjt.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,220.0,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-03,深圳,深圳北站,广深高铁、深汕高速铁路,广州、福州等,150.7,万人,深圳铁路局,http://www.szrailway.gov.cn,,
2024-09-30,四川,成都站,成渝高铁,重庆、北京等,198.4,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-01,武汉,武汉站,京广高铁、武广高铁,广州、郑州等,295.2,万人,武汉铁路局,http://www.wuhan-railway.gov.cn,,
2024-10-01,西安,西安北站,西宝高铁、银西高铁,银川、北京等,102.3,万人,西安铁路局,http://www.xian-railway.gov.cn,,
2023-09-29,北京,北京南站,京津城际、高速铁路,天津、上海等,120.5,万人,中国国家铁路集团,https://www.china-railway.com.cn,,
2024-10-04,杭州,杭州东站,杭甬高铁、沪杭高铁,宁波、上海等,175.0,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-09-27,青岛,青岛站,青红高铁、济南高铁,济南、北京等,140.0,万人,青岛铁路局,http://www.qdrailway.gov.cn,,
2024-10-05,天津,天津西站,京沪高铁、津滨轻轨,北京、上海等,162.8,万人,天津市交通运输委员会,http://www.tjtcc.gov.cn,,
2024-10-02,长沙,长沙南站,沪昆高铁、长赣高铁,南昌、深圳等,210.5,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-05,成都,成都东站,成渝高铁、沪昆高铁,重庆、上海,150.2,万人,四川省交通运输厅,https://www.sctt.gov.cn/,,
2024-09-28,深圳,深圳北站,广深高铁,广州、香港,220.0,万人,中国铁路深圳局,https://www.gd.gov.cn/,,
2024-10-10,武汉,武汉站,武广高铁,广州、长沙,180.5,万人,武汉市交通运输局,https://jty.wuhan.gov.cn/,,
2023-10-01,西安,西安北站,西成高铁、宝兰高铁,兰州、成都,120.3,万人,西安市统计局,http://tjj.xi'an.gov.cn/,,
2024-10-03,杭州,杭州东站,沪昆高铁、宁杭高铁,宁波、上海,160.4,万人,浙江省铁路局,http://jtt.zj.gov.cn/,,
2024-09-29,南京,南京南站,京沪高铁,上海、合肥,140.7,万人,江苏省交通运输厅,http://jtt.jiangsu.gov.cn/,,
2023-10-02,青岛,青岛站,胶济铁路,济南、烟台,95.0,万人,山东省交通运输厅,http://jtj.shandong.gov.cn/,,
2024-10-08,长沙,长沙南站,怀邵衡铁路,衡阳、广州,110.4,万人,湖南省交通运输厅,http://jtt.hunan.gov.cn/,,
2024-10-05,天津,天津南站,京津高铁,北京、石家庄,130.6,万人,天津市交通运输委员会,http://jtt.tianjin.gov.cn/,,
2023-10-04,沈阳,沈阳站,沈大、沈阳地铁,大连、长春,90.8,万人,辽宁省交通运输厅,http://jtj.ln.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,278.0,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241002_15566199.htm,,
2024-09-30,广东,深圳站,广深铁路、南广高铁,广州、长沙等,145.5,万人,中国铁路总公司,https://www.cnn.com/2024/09/30/transport/shenzhen-rail-data.html,,
2024-10-01,西安,西安北站,西宝高铁、陇海铁路,兰州、北京等,86.2,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/20241001-rail-traffic-report,,
2024-05-15,武汉,武汉站,汉口-武汉线、合肥-武汉高铁,合肥、长沙等,210.1,万人,中国铁路武汉局集团有限公司,http://www.wuhan-railway.com/data,,
2024-01-20,杭州,杭州东站,杭武高铁、杭甬高铁,宁波、南昌等,158.6,万人,浙江省交通运输厅,http://jt.zj.gov.cn/20240120-traffic-data-hangzhou,,
2024-06-12,成都,成都东站,成昆铁路、成渝高铁,重庆、昆明等,107.4,万人,四川省铁路交通局,http://www.scrailway.gov.cn/releases/20240612,,
2023-12-25,太原,太原南站,太原-大同高铁,大同、北京等,32.7,万人,山西省交通运输厅,http://www.shanxijiaotong.com/20231225-data-report,,
2024-09-15,济南,济南西站,济菏高铁、济青高铁,青岛、北京等,210.8,万人,山东省交通厅,http://www.sdjt.gov.cn/news/20240915-rail-data,,
2024-03-08,天津,天津南站,天津-石家庄高铁,北京、邯郸等,95.4,万人,天津市交通运输委员会,http://www.tjt.gov.cn/20240308-traffic-statistics,,
2024-09-29,重庆,重庆西站,渝贵高铁、成渝高铁,贵阳、成都等,175.2,万人,重庆市交通投资集团,http://www.cqtransport.com/20240929,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、贵阳等,145.2,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241002_15557000.htm,,
2024-10-02,杭州,杭州东站,杭甬高铁,宁波、上海等,85.3,万人,浙江省交通运输厅,http://jtzt.zj.gov.cn/news/2024/20241002/123456.html,,
2024-09-30,深圳,深圳北站,广深港高铁,香港、广州等,210.6,万人,深圳市交通运输委员会,http://jt.sz.gov.cn/gkmlpt/content/2024/10/01/12345678.html,,
2024-09-29,成都,成都东站,成渝高铁,重庆、贵阳等,190.5,万人,中国铁路总公司,https://news.youth.cn/gn/202409/t20240929_15556000.htm,,
2024-09-28,武汉,武汉站,汉口高铁、京广高铁,北京、广州等,255.4,万人,中国铁路总公司,https://news.youth.cn/gn/202409/t20240928_15555900.htm,,
2024-10-01,西安,西安北站,西宝高铁,北京、成都等,118.7,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/news/2024/10/01/654321.html,,
2023-10-01,天津,天津西站,京沪高铁、津南城际,北京、青岛等,112.3,万人,天津市交通运输委员会,https://www.tj.gov.cn/jtBus/20231001/9876543.html,,
2024-10-03,重庆,重庆西站,渝贵高铁,贵阳、昆明等,160.0,万人,中国铁路成都局,https://www.cq.gov.cn/transport/2024/10/03/yangl.html,,
2024-10-04,桂林,桂林北站,桂南高铁,南宁、广州等,72.5,万人,广西交通运输厅,http://www.gx.gov.cn/jiaotong/2024/10/04/zixun.html,,
2024-10-05,福州,福州高铁南站,福厦高铁,厦门、深圳等,95.0,万人,福建省交通运输厅,http://www.fujian.gov.cn/transport/2024/10/05/news.html,,
2024-10-02,南京,南京南站,宁沪高铁、宁合高铁,上海、合肥等,220.5,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241002_15556200.htm,,
2024-10-03,成都,成都东站,成渝高铁、成贵高铁,重庆、贵阳等,150.0,万人,四川省铁路局,http://www.scrail.gov.cn/news/20241003_12345.html,,
2024-09-30,广州,广州南站,广深港高铁、广珠城际,深圳、香港等,380.2,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20240930_15556178.htm,,
2023-08-25,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,290.0,万人,上海市交通委,http://jtw.sh.gov.cn/news/20230825_98765.html,,
2023-10-01,天津,天津站,津京高铁、津山高铁,北京、石家庄等,210.5,万人,天津市交通运输委员会,http://jt.tianjin.gov.cn/news/20231001_54321.html,,
2024-10-05,西安,西安北站,西宝高铁、包西高铁,北京、重庆等,185.7,万人,陕西省铁路局,http://www.sxrail.gov.cn/news/20241005_67890.html,,
2024-10-07,武汉,武汉站,汉十高铁、武九高铁,重庆、郑州等,250.4,万人,湖北省交通运输厅,http://jt.hubei.gov.cn/news/20241007_24680.html,,
2024-10-10,郑州,郑州站,郑西高铁、郑合高铁,合肥、武汉等,167.2,万人,河南省发改委,http://www.henan.gov.cn/news/20241010_13579.html,,
2024-10-15,长沙,长沙南站,长株潭城际、沪昆高铁,株洲、昆明等,130.6,万人,湖南省交通运输厅,http://jt.hunan.gov.cn/news/20241015_02468.html,,
2023-09-01,福州,福州站,福厦高铁,厦门、深圳等,98.3,万人,福建省铁路局,http://www.fujian.gov.cn/news/20230901_75319.html,,
2024-10-02,上海,上海虹桥站,京沪高铁、上海至南通铁路,南京、合肥,250.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-02,成都,成都东站,成渝高铁,重庆、贵阳等,120.5,万人,四川省交通运输厅,http://jtt.sc.gov.cn/,,
2024-09-30,广州,广州免税站,广珠城际,珠海,180.0,万人,广东省交通运输厅,http://jtt.gd.gov.cn/,,
2024-08-15,武汉,武汉火车站,武广高铁,长沙、广州等,230.3,万人,湖北日报,http://www.hubeidaily.net/,,
2024-09-15,天津,天津西站,津保高速,北京,75.0,万人,北京市交通发展研究院,http://www.bjtd.gov.cn/,,
2023-12-20,西安,西安北站,西成高铁,成都、兰州,200.4,万人,陕西省交通厅,http://jtt.shaanxi.gov.cn/,,
2024-10-01,郑州,郑州东站,郑西高铁,西安、天津,140.0,万人,河南省交通厅,http://jtt.henan.gov.cn/,,
2024-11-01,沈阳,沈阳北站,沈哈高铁,哈尔滨、大连,160.0,万人,辽宁省交通信息中心,http://www.ln.gov.cn/,,
2024-10-05,昆明,昆明南站,昆明至大理铁路,大理、快速旅游线,95.0,万人,云南省交通运输厅,http://jtt.yn.gov.cn/,,
2024-10-03,福州,福州站,福厦高铁,厦门,80.0,万人,福建省交通运输管理局,http://www.fujian.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,410.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-03,西安,西安北站,西成高铁,成都、北京,242.5,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-10-01,长沙,长沙南站,长赣高铁,南昌、广州,193.2,万人,中国铁路总公司,https://news.youth.cn/gn/202310/t20231001_15623345.htm,,
2024-10-04,重庆,重庆西站,渝贵高铁,贵阳、武汉,172.8,万人,重庆市交通委员会,http://jtyj.cq.gov.cn/,,
2024-10-01,广州,广州南站,广珠城际、广深高铁,珠海、深圳,318.4,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-30,武汉,武汉站,武广高铁,广州、北京,230.7,万人,武汉市交通运输局,http://jtt.wuhan.gov.cn/,,
2024-10-01,沈阳,沈阳北站,沈哈高铁,哈尔滨、北京,121.5,万人,东北铁路局,http://www.ner.cn/,,
2023-09-29,郑州,郑州东站,郑徐高铁,徐州、南京,175.3,万人,河南省交通运输厅,http://jt.henan.gov.cn/,,
2023-10-05,合肥,合肥南站,合蚌高铁、合新高铁,安庆、南京,150.0,万人,安徽省交通运输厅,http://jtt.ah.gov.cn/,,
2024-10-04,南昌,南昌西站,昌福高铁,福州、广州,196.5,万人,江西省交通运输厅,http://www.jxtj.gov.cn/,,
2024-10-02,广州,广州东站,广珠城际、广深高铁,深圳、珠海,220.5,万人,中国铁路总公司,https://www.china-railway.com/,,
2024-10-01,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州,540.3,万人,上海市交通委员会,https://jtw.sh.gov.cn/,,
2024-09-30,成都,成都东站,成渝高铁,重庆、贵阳,185.2,万人,四川省交通运输厅,http://jt.sichuan.gov.cn/,,
2024-10-01,西安,西安北站,西成高铁,重庆、北京,120.4,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-10-02,青岛,青岛站,胶济铁路、青荣城际,烟台、济南,90.0,万人,山东省交通运输厅,http://jt.shandong.gov.cn/,,
2023-12-01,天津,天津站,京津城际、高铁,北京、唐山,150.0,万人,天津市交通运输委员会,http://jtw.tianjin.gov.cn/,,
2024-09-30,杭州,杭州东站,沪杭高铁、杭甬高铁,南京、宁波,350.1,万人,浙江省交通运输厅,http://jt.zhejiang.gov.cn/,,
2023-11-15,武汉,武汉站,汉沙高铁,长沙、郑州,230.9,万人,湖北省交通运输厅,http://jt.hubei.gov.cn/,,
2024-10-01,重庆,重庆西站,成渝高铁、渝贵铁路,贵阳、成都,175.3,万人,重庆市交通委员会,http://jt.cq.gov.cn/,,
2024-10-04,南京,南京南站,宁杭高铁、沪宁高铁,上海、合肥,200.0,万人,江苏省交通运输厅,http://jt.jiangsu.gov.cn/,,
2024-10-01,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,292.0,万人,上海铁路局,https://www.shrailway.gov.cn/,,
2024-09-30,武汉,武汉站,京港高铁、汉口至南宁铁路,广州、深圳等,240.5,万人,武汉市交通局,http://jt.wuhan.gov.cn/,,
2024-10-02,成都,成都东站,成渝高铁、成贵高铁,重庆、贵阳等,120.7,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-09-29,郑州,郑州东站,郑西高铁、郑州至合肥铁路,合肥、北京等,180.3,万人,河南省交通运输厅,http://jt.henan.gov.cn/,,
2023-10-01,西安,西安北站,西安至成都高铁,成都、洛阳等,150.0,万人,陕西省交通运输厅,http://jtt.shaanxi.gov.cn/,,
2024-10-05,沈阳,沈阳北站,沈阳至大连高铁,大连、北京等,210.2,万人,辽宁省铁路局,http://www.ln.gov.cn/,,
2024-09-28,广州,广州火车站,广珠城际铁路,珠海、东莞等,305.4,万人,广州铁路局,http://www.gzrail.gov.cn/,,
2023-10-03,杭州,杭州东站,杭深高铁、宁杭高铁,深圳、南京等,175.1,万人,浙江省交通运输厅,http://jt.zj.gov.cn/,,
2024-10-04,青岛,青岛北站,青荣城际铁路,烟台、济南等,90.0,万人,山东省交通运输厅,https://jt.shandong.gov.cn/,,
2023-09-30,南昌,南昌西站,南昌至赣州铁路,赣州、北京等,130.6,万人,江西省交通运输厅,http://jtt.jiangxi.gov.cn/,,
2024-10-05,上海,上海虹桥站,京沪高铁、沪宁城际,北京、南京,210.7,万人,中国铁路总公司,https://news.youth.cn/gn/,,
2024-10-06,深圳,深圳北站,广深高铁、广珠城际,广州、珠海,125.3,万人,深圳交通运输局,https://www.sz.gov.cn/,,
2024-10-07,成都,成都东站,成灌高铁、成兰铁路,西安、重庆,150.2,万人,成都市铁路公司,http://www.chengdu.gov.cn/,,
2024-09-30,武汉,武汉站,汉宜高铁、武广高铁,长沙、南宁,190.5,万人,武汉铁路局,https://wh.12306.cn/,,
2023-11-15,西安,西安北站,西青高铁,银川、兰州,80.4,万人,陕西省交通厅,http://jt.shaanxi.gov.cn/,,
2023-10-20,天津,天津西站,津秦高铁、津沪高铁,北京、上海,111.0,万人,中国铁路总公司,https://www.crecg.com/,,
2024-05-01,南京,南京南站,宁杭高铁、沪宁高铁,北京、杭州,145.6,万人,江苏省交通运输厅,http://www.jiangsu.gov.cn/,,
2024-04-30,重庆,重庆北站,成渝高铁,成都、贵阳,96.3,万人,重庆交通委员会,http://www.cq.gov.cn/,,
2024-08-25,杭州,杭州东站,杭瑞高铁,上海、武汉,135.4,万人,浙江省交通运输厅,http://www.zj.gov.cn/,,
2023-12-12,桂林,桂林站,桂南高铁,南宁、柳州,62.1,万人,广西交通运输厅,http://www.gxzf.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,210.4,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-01,广州,广州东站,广珠城际、广深高铁,珠海、深圳等,135.8,万人,广州市交通局,http://www.gz.gov.cn,,
2023-10-01,成都,成都东站,成渝高铁,重庆、武汉等,89.6,万人,四川省铁路局,http://www.sc.gov.cn,,
2023-09-30,武汉,武汉站,武广高铁,广州、杭州等,170.1,万人,湖北日报,http://www.hubei.gov.cn,,
2023-10-02,西安,西安北站,西成高铁,成都、兰州等,76.3,万人,陕西省交通运输厅,http://www.shaanxi.gov.cn,,
2024-10-01,沈阳,沈阳南站,沈阳至大连高铁,大连、长春等,92.7,万人,辽宁省交通厅,http://www.ln.gov.cn,,
2024-10-01,南京,南京南站,宁杭高铁、沪宁高铁,杭州、上海等,145.2,万人,江苏省交通运输厅,http://www.js.gov.cn,,
2023-09-29,青岛,青岛站,青连铁路,连云港、济南等,58.4,万人,山东交通运输厅,http://www.shandong.gov.cn,,
2024-10-02,杭州,杭州东站,杭甬高铁,宁波、温州等,122.9,万人,浙江省交通厅,http://www.zhejiang.gov.cn,,
2024-10-01,长沙,长沙南站,长株潭城际,株洲、湘潭等,65.0,万人,湖南省交通运输厅,http://www.hunan.gov.cn,,
2024-10-02,上海,上海虹桥站,沪昆高铁、沪宁高铁,广州、南京等,275.4,万人,上海铁路局,http://www.shrb.gov.cn,,
2024-09-30,成都,成都东站,成贵高铁、成渝高铁,重庆、昆明等,220.1,万人,四川省交通运输厅,http://www.scjt.gov.cn,,
2024-10-03,西安,西安北站,西成高铁,兰州、北京等,145.0,万人,陕西交通运输厅,http://www.shaanxi.gov.cn,,
2024-10-01,郑州,郑州东站,郑合高铁、京广高铁,天津、武汉等,201.7,万人,河南省铁路局,http://www.henan.gov.cn,,
2024-09-29,深圳,深圳北站,广深港高铁,香港、广州等,310.5,万人,广东省交通运输厅,http://www.gd.gov.cn,,
2024-10-04,南昌,南昌西站,沪昆高铁,长沙、上海等,100.0,万人,江西省交通运输厅,http://www.jiangxi.gov.cn,,
2024-10-05,长沙,长沙南站,长赣高铁、京广高铁,武汉、广州等,180.2,万人,湖南省交通运输厅,http://www.hunan.gov.cn,,
2024-09-28,福州,福州站,福厦高铁,厦门、上海等,160.3,万人,福建省交通运输厅,http://www.fujian.gov.cn,,
2024-10-02,杭州,杭州东站,杭甬高铁,宁波、北京等,210.8,万人,浙江省铁路局,http://www.zhejiang.gov.cn,,
2024-10-01,合肥,合肥南站,合福高铁、京福高铁,南京、武汉等,175.4,万人,安徽省交通运输厅,http://www.ah.gov.cn,,
2024-10-02,上海,上海虹桥站,京沪高铁、沪宁高铁,南京、北京,200.5,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-01,成都,成都东站,成渝高铁、成昆高铁,重庆、昆明,150.0,万人,四川省交通运输厅,http://jtt.sc.gov.cn,,
2023-09-29,广州,广州站,广深高铁、南广高铁,南宁、深圳,360.0,万人,广州市交通局,http://jt.gz.gov.cn,,
2024-10-03,杭州,杭州东站,沪昆高铁、杭甬高铁,宁波、长沙,120.0,万人,浙江省交通运输厅,http://jtt.zj.gov.cn,,
2023-10-01,武汉,武汉站,汉口高铁、武广高铁,广州、重庆,275.0,万人,武汉市交通局,http://www.whjt.gov.cn,,
2023-09-30,西安,西安北站,西成高铁、宝兰高铁,兰州、成都,190.0,万人,陕西省铁路局,http://www.shaanxirtb.gov.cn,,
2023-10-04,沈阳,沈阳北站,沈大高铁、哈大高铁,大连、哈尔滨,140.0,万人,辽宁省交通厅,http://jtt.ln.gov.cn,,
2024-10-05,昆明,昆明北站,成昆高铁、昆玉高铁,大理、云南各城市,100.0,万人,云南省交通运输厅,http://www.ynjtt.gov.cn,,
2023-09-28,福州,福州站,福厦高铁、宁福高铁,厦门、宁德,80.0,万人,福建省交通运输厅,http://jtt.fujian.gov.cn,,
2024-09-29,南京,南京南站,宁杭高铁、宁安高铁,合肥、苏州,210.0,万人,江苏省交通运输厅,http://jtt.jiangsu.gov.cn,,
2024-10-02,广州,广州东站,广珠城际、广明高速,深圳、珠海等,280.0,万人,中国铁路广州局集团有限公司,https://gz.railway.gov.cn/,,
2024-10-05,上海,上海虹桥站,京沪高铁、沪昆高铁,北京、昆明等,450.0,万人,中国铁路上海局集团有限公司,https://sh.railway.gov.cn/,,
2024-09-29,成都,成都东站,成渝高铁、成兰高铁,重庆、兰州等,210.0,万人,四川省交通运输厅,http://jt.sc.gov.cn/,,
2024-10-01,南京,南京南站,宁杭高铁、宁安高铁,杭州、合肥等,320.0,万人,中国铁路南京局集团有限公司,https://nj.railway.gov.cn/,,
2024-08-30,西安,西安北站,西宝高铁、渝西高铁,宝鸡、重庆等,140.0,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-09-15,武汉,武汉站,汉口-十堰、武义高铁,十堰、北京等,200.0,万人,武汉市交通运输委员会,http://jtw.wuhan.gov.cn/,,
2024-09-25,杭州,杭州东站,杭深高铁、杭九高铁,深圳、九江等,220.5,万人,浙江省交通运输厅,http://jtt.zj.gov.cn/,,
2024-10-03,合肥,合肥南站,合滁高铁、合武高铁,滁州、武汉等,175.0,万人,安徽省铁路局,http://www.ah-gov.cn/,,
2023-12-15,青岛,青岛北站,青连高铁、青环高铁,连云港、济南等,80.0,万人,青岛市交通运输局,http://jt.qd.gov.cn/,,
2023-10-10,郑州,郑州东站,郑徐高铁、郑开城际,北京、开封等,150.0,万人,河南省交通运输厅,http://jt.henan.gov.cn/,,
2024-10-05,深圳,深圳北站,广深港高铁,香港、广州,256.7,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-15,重庆,重庆北站,渝贵高铁,贵阳、成都,189.4,万人,重庆铁路局,https://www.cqrailway.com/,,
2023-10-10,杭州,杭州东站,杭甬高铁、杭温高铁,宁波、温州,145.2,万人,浙江省交通运输厅,http://jtt.zj.gov.cn/,,
2024-11-01,武汉,武汉站,汉口-宜昌线,宜昌、襄阳,72.5,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-08-28,西安,西安北站,西宝高铁,宝鸡、兰州,134.1,万人,陕西省铁路局,http://www.shaanxi.gov.cn/,,
2024-12-01,南京,南京南站,宁杭高铁,杭州、沪宁高铁,192.0,万人,南京城市交通管理中心,http://www.nanjing.gov.cn/,,
2023-10-12,长春,长春西站,长春-沈阳高铁,沈阳,80.3,万人,吉林省交通运输厅,http://jlb.gov.cn/,,
2024-09-20,天津,天津西站,京沪高铁,北京、上海,143.6,万人,天津铁路局,http://www.tianjin.gov.cn/,,
2024-10-15,青岛,青岛站,青连高铁,临沂、济南,112.9,万人,山东省铁路局,http://www.sd.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,245.0,10000,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-03,广东,深圳北站,广深港高铁,香港、西安等,102.5,10000,南方都市报,https://www.southcn.com/,,
2023-10-01,湖南,长沙南站,长赣高铁,赣州、广州等,85.0,10000,湖南日报,https://www.hunandaily.com.cn/,,
