日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2023-07-01,亚太地区,航空,同比增长39%,None,39,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2023-12-01,日本,地铁,3.2亿,None,7.0,人次,日本城市交通联合会,http://www.japanrailways.com/,,
2024-09-01,印度,水路,500万,None,15.0,人次,印度港口部,http://www.port.gov.in/,,
2024-05-01,美国,航空,同比增长21.5%,None,21.5,%,美国交通部,https://www.transportation.gov/,,
2024-03-15,中国,公路,8亿,None,6.0,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-07-01,全球,混合交通,同比增长12%,None,12,%,全球交通论坛,https://www.globaltransportforum.org/,,
2023-10-01,加拿大,铁路,1.2亿,None,8.5,人次,加拿大交通部,https://www.tc.gc.ca/,,
2024-01-10,英国,航空,同比增长30.8%,None,30.8,%,英国民航局,https://www.caa.co.uk/,,
2024-02-01,欧洲,铁路,同比增长15.5%,nan,15.5,%,欧洲铁路运输联盟,https://www.era.europa.eu,,
2024-07-01,亚洲,水路,2.3亿,340万吨,20.2,人次,亚洲港口协会,https://www.asianports.org,,
2023-12-01,印度,航空,同比增长18.0%,nan,18.0,%,印度民用航空局,https://www.civilaviation.gov.in,,
2024年Q2,中国,公路,4.5亿,nan,5.3,人次,中国交通运输部,http://www.mot.gov.cn,,
2024-03-01,北美,铁路,同比增长25.0%,nan,25.0,%,美国交通部,https://www.dot.gov,,
2024-05-01,中东,航空,同比下降3.5%,nan,-3.5,%,中东航空运输协会,https://www.mea.aero,,
2024-09-01,拉美地区,公路,50万,nan,8.1,人次,拉美交通协会,https://www.clatran.org,,
2024-10-01,非洲,水路,同比增长70.0%,nan,70.0,%,非洲交通运输部,https://www.afridev.com,,
2024年Q1,全球,航空,3.1亿,440万吨,12.6,人次,国际航空运输协会 (IATA),https://www.iata.org,,
2024-06-01,澳大利亚,铁路,同比增长6.4%,nan,6.4,%,澳大利亚交通局,https://www.infrastructure.gov.au,,
2024-05-01,欧洲,航运,同比增长15.2%,nan,15.2,%,欧洲航运协会,https://www.euroports.com,,
2024-02-01,亚洲,铁路,1.2亿,150万吨,8.5,人次,亚洲铁路联盟,https://www.arail.org,,
2024-03-15,中国,民航,6千万,nan,9.3,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-04-10,北美,汽车,同比增长20.5%,nan,20.5,%,美国交通部,https://www.transportation.gov,,
2024-06-01,全球,航空,同比增长18.4%,nan,18.4,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-07-15,南美,水路,同比增长5.0%,nan,5.0,%,南美运输研究中心,https://www.southamericatransport.org,,
2024-04-25,印度,铁路,3亿,350万吨,11.0,人次,印度铁道部,https://www.indianrailways.gov.in,,
2024-03-30,日本,航空,同比增长22.6%,nan,22.6,%,日本航空协会,https://www.japanaviation.or.jp,,
2024-05-15,加拿大,公路,8千万,nan,10.7,人次,加拿大交通部,https://www.tc.gc.ca,,
2024-06-20,澳大利亚,民航,5千万,nan,7.4,人次,澳大利亚交通部,https://www.infrastructure.gov.au,,
2024-02-01,欧洲,航空,同比增长25.3%,None,25.3,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-06-01,东南亚,铁路,1.5亿,150万吨,15.0,人次,东南亚铁路运输局,http://www.seastc.org,,
2023-12-01,中国,道路运输,3.0亿,None,18.5,人次,中国交通运输部,http://www.mot.gov.cn,,
2024-01-20,全球,水路运输,同比增长7.8%,None,7.8,%,全球运输联盟,https://www.globaltransportation.org,,
2024-03-01,北美,航空,同比增长16.4%,None,16.4,%,美国运输部,https://www.transportation.gov,,
2024-05-01,南美,民航,420万,None,12.2,人次,南美民航机构,http://www.southamericancivilaviation.org,,
2023-11-15,中东,航空,同比增长20.0%,None,20.0,%,中东航空局,https://www.mideastaviation.org,,
2024-09-01,全球,水路运输,同比增长3.5%,None,3.5,%,国际海事组织,http://www.imo.org,,
2024-07-15,非洲,铁路,850万,None,9.1,人次,非洲铁路运输协会,http://www.africanrailways.org,,
2024-08-15,东亚,民航,同比增长35.7%,None,35.7,%,东亚民用航空局,http://www.eastasiacivilaviation.org,,
2024-06-01,欧洲,铁路,同比增长15.3%,nan,15.3,%,欧洲铁路联盟,https://www.era.europa.eu/,,
2024-05-01,东南亚,航空,5340万,nan,22.0,人次,东盟航空协会,https://www.asean.org/asean-economic-community/sectoral-bodies/transport/,,
2024-03-15,亚洲,民航,同比增长9.8%,302.1万吨,9.8,%,国际民航组织,https://www.icao.int,,
2024-02-01,澳大利亚,道路运输,989万,nan,10.5,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-07-01,北美,航空,同比增长20.2%,nan,20.2,%,运输安全局,https://www.tsb.gc.ca/,,
2024-09-01,南美,水路,157万,nan,13.4,人次,南美运输协会,https://www.asnt.org/,,
2025-01-01,中国,铁路,2.0亿,500万吨,8.0,人次,中国铁路总公司,http://www.china-railway.com.cn/,,
2024-08-15,全球,航空,nan,nan,6.5,%,国际航空运输协会,https://www.iata.org/,,
2024-12-01,印度,民航,同比增长30.2%,nan,30.2,%,印度民航总局,https://www.civilaviation.gov.in/,,
2025-03-01,中东,铁路,5500万,nan,15.0,人次,中东铁路协会,https://www.metrans.org/,,
2024-05-01,欧洲,航空,同比增长25.3%,nan,25.3,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2024-06-15,中国,铁路,1.2亿,150万吨,5.6,人次,中国国家铁路集团公司,https://www.china-railway.com.cn/,,
2024-04-20,亚太地区,水路,350万,nan,15.2,人次,亚太港口协会,https://www.apa.org/,,
2024-07-01,北美,道路运输,600万,nan,4.8,人次,美国交通部,https://www.transportation.gov/,,
2024-05-15,全球,航空,同比增长18.0%,nan,18.0,%,国际航协 (IATA),https://www.iata.org/,,
2024-03-01,英国,铁路,800万,nan,10.1,人次,英国运输部,https://www.gov.uk/government/organisations/department-for-transport,,
2024-06-10,日本,高速铁路,500万,nan,9.0,人次,日本铁路公司,https://www.japanrailpass.net/,,
2024-08-01,全球,航空,同比增长12.5%,nan,12.5,%,国际航协 (IATA),https://www.iata.org/,,
2024-02-01,印度,道路运输,1.5亿,nan,20.0,人次,印度交通运输部,https://www.morth.nic.in/,,
2024-09-01,全球,航空,同比增长30%,nan,30.0,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-06-01,欧洲,铁路,8500万,500万吨,5.2,人次,欧洲铁路协会,https://www.era.europa.eu,,
2024-05-15,中国,民航,2.2亿,300万吨,8.1,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-04-30,东南亚,水路,480万,不适用,10.5,人次,东南亚海运协会,https://www.sea-transport.org,,
2024-03-01,南美洲,航空,600万,不适用,15.0,人次,南美航空联盟,https://www.southamericanairlines.org,,
2024-07-01,北美,公路运输,350万,不适用,12.3,人次,美国公路运输协会,https://www.aaa.com,,
2024-09-01,亚洲,铁路,3亿,200万吨,9.7,人次,国际铁路联盟,https://www.uic.org,,
2024-05-05,非洲,航空,800万,不适用,20.4,人次,非洲航空协会,https://www.afraassociation.org,,
2024-10-01,全球,水路,数量待定,不适用,0.0,人次,国际海运协会,https://www.imo.org,,
2024-02-20,中国,公路运输,1500万,不适用,14.9,人次,中国交通运输部,http://www.mot.gov.cn,,
2024-08-15,亚太地区,民航,2500万,不适用,6.7,人次,亚太地区航空运输协会,https://www.apad.org,,
2024-05-01,欧洲,航空,同比增长15.2%,nan,15.2,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2023-10-01,中东,航空,同比增长20.5%,nan,20.5,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024年Q2,中国,铁路,200000000.0,160万吨,12.5,人次,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-03-15,东南亚,水路,同比增长7.1%,nan,7.1,%,东南亚航运协会,https://www.sea.org/,,
2024-05-15,美国,公路运输,300000,nan,5.5,人次,美国交通部,https://www.transportation.gov/,,
2024-06-01,全球,航空,同比增长9.8%,nan,9.8,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-02-01,亚洲,民航,120000000.0,nan,8.3,人次,亚洲航空业协会,https://www.aapa.aero/,,
2023-09-01,拉美地区,铁路,同比增长18.0%,nan,18.0,%,拉美铁路协会,https://www.alaf.org.ar/,,
2023-12-01,非洲,航空,同比增长22.4%,nan,22.4,%,非洲航空协会,https://afraa.org/,,
2024年Q1,印度,公路运输,10000000.0,nan,15.0,人次,印度交通运输部,http://morth.nic.in/,,
2024-05-15,亚洲,铁路,同比增长25.6%,nan,25.6,%,亚洲铁路联盟,https://www.aru.org/,,
2024-02-10,欧洲,航空,同比增长29.4%,nan,29.4,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2024-06-01,南美洲,公路运输,5000000,nan,5.0,人次,南美运输部,http://www.mintrans.gov.br/,,
2024年Q2,全球,民航,2.45亿,1500万吨,1.12,人次,国际民航组织,https://www.icao.int/,,
2024-03-01,大洋洲,水路运输,120000,nan,8.0,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-07-20,中东,航空,同比增加40.2%,nan,40.2,%,中东航空运输协会,http://www.amaero.org/,,
2023-12-15,非洲,铁路,1500000,nan,10.5,人次,非洲铁路与运输协会,http://www.arpt.org/,,
2024-09-01,印度,航空,同比增长27.3%,nan,27.3,%,印度民航局,https://www.civilaviation.gov.in/,,
2024-10-10,加拿大,公路运输,700万,nan,6.5,人次,加拿大交通部,https://www.tc.gc.ca/,,
2024-05-01,欧盟,航空,同比增长25.1%,None,25.1,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-07-01,非洲,铁路,同比增长12.5%,None,12.5,%,非洲铁路协会,http://www.afrra.org/,,
2024-06-01,东南亚,水路,1800万,None,5.5,人次,东南亚交通论坛,https://www.seatransportconference.com/,,
2024-08-01,印度,道路运输,3亿,None,7.8,人次,印度运输部,https://indiantransport.gov.in/,,
2024-09-01,拉美地区,航空,同比增长18.3%,None,18.3,%,拉美航空运输协会,https://www.alta.aero/,,
2024-10-01,日本,铁路,2.5亿,None,15.0,人次,日本交通运输省,https://www.mlit.go.jp/,,
2024-11-01,中国,民航,3亿,500.6,8.0,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-12-01,欧美地区,水路运输,150万,None,9.0,人次,国际海事组织 (IMO),http://www.imo.org/,,
2025-01-01,全球,航空,3.5亿,None,10.2,人次,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-05-01,欧洲,航空,同比增长15%,None,15,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-06-01,东南亚,铁路,4200万,50万吨,6.7,人次,亚洲铁路联盟,http://www.asianrailway.org/,,
2024-07-01,中国,长途客车,500万,None,8.2,人次,中国交通运输部,http://www.mot.gov.cn/,,
2023-12-01,非洲,航空,同比增长23%,None,23,%,非洲航空运输协会,https://www.afraassociation.org/,,
2024-03-01,美国,水路运输,300万,None,10.5,人次,美国交通部,https://www.transit.dot.gov/,,
2024-04-15,全球,多模式运输,同比增长5.5%,None,5.5,%,国际运输论坛 (ITF),https://www.itf-oecd.org/,,
2024-02-01,拉丁美洲,航空,同比增长12%,None,12,%,拉丁美洲航空协会,https://www.alta.aero/,,
2024-05-15,中国,城市轨道交通,8亿,None,14.1,人次,中国城市轨道交通协会,http://www.curt.org.cn/,,
2024-07-15,澳大利亚,航空,同比增长18%,None,18,%,澳大利亚民用航空安全局,https://www.casa.gov.au/,,
2024-01-20,中东,铁路,250万,None,9.0,人次,中东铁路与运输协会,http://www.metransit.org/,,
2024-05-01,日本,航天旅行,同比增长20%,nan,20,%,日本航空局,https://www.japan-aerospace.jp,,
2024-02-15,欧洲,水路运输,350万,nan,3.5,人次,欧洲水路运输协会,https://www.ewta.eu,,
2024-07-10,印度,铁路,5.2亿,nan,5.8,人次,印度铁路总公司,https://www.indianrailways.gov.in,,
2024-09-01,南美洲,航空,同比增长12%,nan,12,%,南美航运协会,https://www.southamericanairlines.org,,
2024-03-15,东南亚,汽车,900万,nan,9,人次,东南亚交通运输部,https://www.seasiatransport.gov,,
2024-06-20,加拿大,航空,同比增长19.5%,nan,19.5,%,加拿大交通部,https://www.tc.gc.ca,,
2023-12-01,俄罗斯,城市公共交通,4500万,nan,6,人次,俄罗斯交通部,https://www.transport.gov.ru,,
2024-10-10,澳大利亚,铁路,2.5亿,nan,8.2,人次,澳大利亚铁路局,https://www.rail.gov.au,,
2024-11-01,中东,航空,同比增长15%,nan,15,%,中东航空管理局,https://www.mideastaviation.gov,,
2024-05-15,非洲,长途巴士,1200万,nan,10,人次,非洲交通联合会,https://www.afrtransit.org,,
2024-05-01,欧洲,铁路,1.2亿,150.5万吨,24.5,人次,欧洲铁路公司,https://www.era.europa.eu,,
2024-03-15,中国,水路,250万,500万吨,10.2,人次,中国水运网,http://www.chinashipping.gov.cn,,
2024-07-01,亚洲,航空,3.5亿,nan,18.7,人次,亚洲航空网,https://www.asianaviation.com,,
2024-08-31,拉丁美洲,道路运输,900万,nan,5.1,人次,拉丁美洲交通部,http://www.latinamericatransport.gov,,
2024-02-20,南亚,铁路,1.5亿,180万吨,12.4,人次,印度铁路公司,http://www.indianrailways.gov.in,,
2024-01-01,非洲,航空,500万,nan,15.0,人次,非洲民航组织,http://www.africa-aviation.org,,
2024-06-10,全球,高速列车,1.0亿,nan,20.3,人次,国际高速铁路协会,https://www.ihra.org,,
2024-03-25,北美,道路运输,700万,nan,8.9,人次,美国交通部,https://www.dot.gov,,
2024-04-15,中国,民航,2.5亿,nan,30.6,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-09-01,东南亚,航空,1.3亿,nan,14.5,人次,东南亚航空协会,http://www.aseanairlines.org,,
2024-05-01,欧洲,铁路,同比增长8.5%,nan,8.5,%,欧洲铁路运输协会,https://www.era.europa.eu/,,
2024-03-15,日本,航空,同比增长12.0%,nan,12.0,%,日本民用航空局,http://www.mlit.go.jp/en/,,
2023-12-01,澳大利亚,道路运输,450万,nan,2.1,人次,澳大利亚交通运输局,https://www.infrastructure.gov.au/,,
2024-06-01,南美洲,民航,同比增长15.3%,nan,15.3,%,南美洲航空协会,https://www.alta.aero/,,
2024-07-01,东南亚,水路,120万,nan,5.7,人次,东南亚海洋局,http://www.seaboard.co.hq/,,
2024-02-01,中国,高铁,5.2亿,nan,9.2,人次,中国铁路总公司,https://www.china-railway.gov.cn/,,
2024-11-01,非洲,航空,同比增长20.0%,nan,20.0,%,非洲民航组织,https://www.icao.int/afcad/,,
2024-09-01,北极区,航空,预计增加30.4%,nan,30.4,%,北极事务委员会,https://www.arctic-council.org/,,
2024-10-01,英国,地铁,1.1亿,nan,7.5,人次,伦敦交通局,https://tfl.gov.uk/,,
2024-12-01,加拿大,铁路,850万,nan,6.5,人次,加拿大交通部,https://www.tc.gc.ca/en/services/transportation.html,,
2024-05-01,欧洲,高铁,7000万,900万吨,5.2,人次,欧洲铁路局,https://www.era.europa.eu,,
2023-12-01,日本,铁路,1.2亿,nan,3.4,人次,日本运输省,https://www.mlit.go.jp,,
2024-03-01,德国,航空,2700万,nan,8.1,人次,德国民航局,https://www.luftfahrtbundesamt.de,,
2024-02-01,印度,航空,5200万,nan,16.5,人次,印度民用航空部,https://www.civilaviation.gov.in,,
2024-07-01,中国,水路,1800万,300万吨,12.3,人次,中国交通运输部,https://www.mot.gov.cn,,
2024-06-01,澳大利亚,公交,2亿,nan,9.1,人次,澳大利亚交通部,https://www.infrastructure.gov.au,,
2024-05-15,北美,航空,6800万,nan,14.0,人次,美国交通部,https://www.transportation.gov,,
2023-10-01,巴西,道路运输,4000万,nan,20.7,人次,巴西交通部,https://www.gov.br/infraestrutura,,
2024-01-01,中东,民航,3200万,nan,7.8,人次,中东民航组织,https://www.meca.gov,,
2023-09-01,南非,铁路,1500万,nan,11.2,人次,南非运输部,http://www.transport.gov.za,,
2024-05-01,欧洲,航空,同比增长15.2%,nan,15.2,%,欧洲航空安全局,https://www.easa.europa.eu/newsroom-and-events/news,,
2024-06-15,中国,铁路,2.1亿,220万吨,0.45,人次,中国国家铁路集团,https://www.china-railway.com.cn/,,
2024-08-01,亚洲,道路运输,1.2亿,nan,22.5,人次,亚洲交通运输研究机构,http://www.atri.org/,,
2024-03-15,中东,航空,同比增长22.0%,nan,22,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-04-10,全球,海运,同比下降5.0%,nan,-5,%,国际海事组织 (IMO),http://www.imo.org/,,
2024-07-20,北美,铁路,3.5亿,400万吨,18.6,人次,美国交通运输部,https://www.transportation.gov/,,
2024-09-01,南美,航空,同比增长28.7%,nan,28.7,%,南美洲民航总局,http://www.sac.gob.ar/,,
2024-10-05,亚洲,水路,75万,nan,10.2,人次,亚洲港口协会,http://www.apa.org/,,
2024-05-15,中国,公共交通,7亿,nan,13.3,人次,中国城市公共交通协会,https://www.cpta.org.cn/,,
2024-11-01,北极,航空,同比增长30.1%,nan,30.1,%,北极航运协会,http://www.arcticshipping.org/,,
2024-05-01,欧洲,航空,同比增长22.5%,nan,22.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-02-10,日本,铁路,5500万,430万吨,5.6,人次,日本国家铁路公司,https://www.japanrailways.com/,,
2024-07-15,东南亚,道路运输,同比增长10.2%,nan,10.2,%,东南亚交通运输研究所,https://www.seatran.org/,,
2023-12-15,印度,航空,同比增长37.1%,nan,37.1,%,印度民用航空局,http://www.civilaviation.gov.in/,,
2024-06-01,中国,水路,300万,nan,15.0,人次,中国水路运输协会,http://www.mot.gov.cn/,,
2024-03-20,非洲,民航,同比增长20.0%,nan,20.0,%,非洲民航组织 (AFRAA),https://www.afraa.org/,,
2024年Q2,全球,铁路,6.1亿,700万吨,3.5,人次,国际铁路联盟 (UIC),https://uic.org/,,
2024年Q2,澳大利亚,道路运输,450万,nan,2.9,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2023-10-01,拉美地区,航空,同比增长28.4%,nan,28.4,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-09-10,中东,民航,同比增长15.5%,nan,15.5,%,中东航空协会,https://www.middleeastaero.org/,,
2024-06-01,中国,铁路,1.9亿,250万吨,8.0,人次,中国铁路总公司,http://www.china-railway.com.cn,,
2024-09-15,欧洲,航空,同比增长20%,nan,20,%,欧洲航空安全局,https://www.easa.europa.eu,,
2024-07-01,南美洲,道路运输,500万,nan,5.2,人次,南美交通协会,https://www.southamericatransport.org,,
2024-10-01,亚洲,航空,同比下降15%,nan,-15,%,亚洲航空运输联合会,https://www.aatu.org,,
2024-08-15,全球,海路,150万,nan,7.5,人次,国际海事组织,http://www.imo.org,,
2024-05-15,非洲,航空,同比增长12%,nan,12,%,非洲航空联合会,https://www.afraac.org,,
2024-12-01,中国,城市公共交通,2.4亿,nan,10.5,人次,中国城市公共交通协会,http://www.cupta.org,,
2024-11-20,北美洲,铁路,800万,nan,9.1,人次,北美铁路管理局,http://www.nmra.com,,
2024-11-01,澳大利亚,道路运输,1.2亿,nan,6.3,人次,澳大利亚运输部门,https://www.transport.gov.au,,
2024-03-01,全球,航空,同比增长15%,nan,15,%,国际民航组织,https://www.icao.int,,
2024-05-01,欧盟,铁路,4亿,100万吨,5.2,人次,欧洲铁路协会,https://www.era.europa.eu/,,
2024-06-15,中国,公路,3亿,250万吨,10.1,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-07-01,印度,航空,选择增幅,nan,22.0,%,印度民用航空局,https://www.civilaviation.gov.in/,,
2024-03-01,日本,铁路,2亿,350万吨,3.8,人次,日本铁路公司,https://www.japanrailpass.net/,,
2024-09-01,巴西,水路,500万,nan,7.5,人次,巴西港口管理局,http://www.antaq.gov.br/,,
2024-04-15,英国,航空,5千万人,nan,15.3,人次,英国民用航空局,https://www.caa.co.uk/,,
2023-12-15,东南亚,公路,1.2亿,nan,18.8,人次,东南亚交通运输论坛,https://www.aseantransport.org/,,
2024-02-10,俄罗斯,铁路,7千万,nan,5.7,人次,俄罗斯交通部,https://www.miit.gov.ru/,,
2024-01-01,加拿大,航空,2亿,nan,9.2,人次,加拿大交通部,https://www.tc.gc.ca/,,
2024-08-01,南非,水路,300万,nan,6.0,人次,南非交通部,http://www.transport.gov.za/,,
2024-06-01,中国,铁路,1.5亿,180万吨,0.238,人次,中国铁路总公司,http://www.china-railway.com.cn/,,
2023-12-01,欧洲,航空,同比增长29.4%,nan,29.4,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu,,
2024-04-01,亚太地区,海运,250万,45万吨,0.15,人次,国际海事组织 (IMO),http://www.imo.org/,,
2024-07-15,全国,道路运输,1.2亿,nan,0.05,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-01-10,全球,航空,nan,nan,0.207,人次,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-03-15,北美,航空,同比增长18.5%,nan,18.5,%,美国联邦航空局 (FAA),https://www.faa.gov/,,
2023-11-10,南美,铁路,350万,nan,0.08,人次,南美铁路运输协会,http://www.southamericatransport.com/,,
2024-05-01,印度,航空,同比增长12.3%,nan,12.3,%,印度民用航空局,http://www.civilaviation.gov.in/,,
2024-02-01,非洲,海运,85万,10万吨,0.1,人次,非洲海事委员会,http://www.africanmaritime.org/,,
2024-08-01,东南亚,航空,同比增长25.0%,nan,25.0,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-05-01,欧洲,铁路,同比增长29.5%,250.3,29.5,%,欧洲铁路合作组织,https://www.era.europa.eu/,,
2024-06-15,中国,航空,2亿,300.9,16.4,人次,中国民用航空局,http://www.caac.gov.cn/,,
2023-12-20,印度,道路运输,同比增长18.2%,150.5,18.2,%,印度交通部,https://www.morth.nic.in/,,
2024-03-15,南美洲,航空,同比增长22.1%,120.7,22.1,%,南美洲航空运输协会,http://www.southamericanairlines.org/,,
2024-07-30,非洲,铁路,同比增长12.4%,80.3,12.4,%,非洲铁路公司,https://www.africanrailways.com/,,
2024-01-25,亚洲,水路,同比增长7.3%,95.6,7.3,%,亚洲港口协会,http://www.apa.org/,,
2024-09-01,中东,航空,同比增长35.6%,110.2,35.6,%,中东航空协会,http://www.middleeastaero.com/,,
2024-02-10,中国,民航,1.3亿,150.4,8.9,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-05-15,全球,航空,同比增长19.0%,250.1,19.0,%,国际航空运输协会,https://www.iata.org/,,
2024-03-10,澳大利亚,道路运输,同比增长10.6%,60.7,10.6,%,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-06-01,欧洲,航空,同比增长22.5%,None,22.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-05-15,日本,铁路,1.2亿,150万吨,7.3,人次,日本交通安全委员会,https://www.mlit.go.jp/en/,,
2024年Q2,中国,水路,1.5亿,None,None,人次,中国水路运输协会,http://www.wlzy.org/,,
2024-07-01,南美洲,航空,同比增长15.6%,None,15.6,%,南美洲航空运输业协会,http://www.alacd.com/,,
2023-12-31,北美洲,道路运输,350万,None,5.4,人次,美国交通部,https://www.dot.gov/,,
2024-04-15,世界各地,航空,同比增长19.0%,None,19.0,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-08-15,韩国,铁路,7000万,None,12.2,人次,韩国交通部,http://www.molit.go.kr/eng/,,
2024年Q2,印度,航空,4500万,None,None,人次,印度民用航空局,https://www.civilaviation.gov.in/,,
2024-09-01,俄罗斯,铁路,8000万,None,9.1,人次,俄罗斯交通部,http://www.mintrans.ru/,,
2024-10-31,东南亚,水路,2500万,None,10.5,人次,东南亚水路运输协会,http://www.seacoast.com/,,
2024-09-01,欧洲,铁路,同比增长20.5%,nan,20.5,%,欧洲铁路运输协会,https://www.era.europa.eu/,,
2024-02-01,日韩地区,航空,1000万,nan,10.0,人次,国际民用航空组织 (ICAO),https://www.icao.int/,,
2023-12-15,中国,城市公共交通,季度增长5.5%,nan,5.5,%,中国城市交通研究中心,http://www.cctri.com,,
2024-06-01,南美洲,公交,可比增长8.3%,nan,8.3,%,南美交通协会,https://www.southamericantransportation.org/,,
2024-03-01,印度,铁路,3.2亿,500万吨,15.0,人次,印度铁路部,https://www.indianrail.gov.in/,,
2024-05-01,北美,航空,同比增长12.2%,nan,12.2,%,美国交通部,https://www.transportation.gov/,,
2023-10-01,亚洲,水路运输,378万,nan,9.3,人次,亚洲水运协会,http://www.aasianshipping.org,,
2024-07-01,全球,航空,同比增长15.5%,nan,15.5,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-01-01,东非,长途汽车,240万,nan,6.8,人次,东非运输部,http://www.eastafricatransport.org,,
2024-11-15,全球,航空,nan,nan,2.0,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-05-15,欧洲,航空,同比增长20.1%,None,20.1,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu,,
2024-03-01,中国,铁路,2.2亿,250万吨,0.506,人次,中国铁路总站,http://www.china-railway.com,,
2023-12-01,亚洲,水路,超过90万,None,>18%,人次,国际海事组织 (IMO),http://www.imo.org,,
2024-07-01,北美,航空,同比增长27.5%,None,27.5,%,美国运输部门,https://www.transportation.gov,,
2023-09-01,非洲,道路运输,450万,None,>10%,人次,非洲开发银行,http://www.afdb.org,,
2024-01-01,全球,航空,预计同比增长50.0%,None,50.0,%,国际航空运输组织 (IATA),https://www.iata.org,,
2024-02-15,拉丁美洲,民航,350万,80万吨,0.177,人次,拉丁美洲民航联合会,http://www.alta.aero,,
2024-03-20,南亚,铁路,7500万,None,0.225,人次,印度铁路局,http://www.indianrailways.gov.in,,
2024-06-01,中国,水路运输,100万,None,>15%,人次,中国水运协会,http://www.chinaswa.org,,
2024-04-01,欧洲,道路运输,800万,None,>5%,人次,欧洲陆运协会,http://www.ertta.eu,,
2024-05-01,中国,铁路,同比增长15.2%,nan,15.2,%,中国铁路总公司,http://www.china-railway.com.cn/,,
2024-03-01,欧洲,航空,同比增长18.9%,nan,18.9,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2024-06-01,亚太地区,水路,450万,nan,6.4,人次,亚太运输协会,https://www.apta.com/,,
2024-09-01,美国,道路运输,同比增长8.5%,nan,8.5,%,美国交通部,https://www.dot.gov/,,
2024-10-01,国际,航空,同比增长20%,nan,20,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-02-01,东南亚,民航,1亿,150万吨,1.5,人次,东南亚民航局,https://www.caa.gov.sg/,,
2024-04-15,非洲,铁路,同比增长25%,nan,25,%,非洲铁路协会,http://www.africanrailwayassociation.org/,,
2024-07-01,中东,水路,640万,nan,7.2,人次,中东运输部,http://www.mot.gov.ae/,,
2024-12-01,全球,航空,同比增长12%,nan,12,%,国际民用航空组织 (ICAO),https://www.icao.int/,,
2024-08-01,全球,道路运输,350万,nan,4.3,人次,全球公共交通协会,https://www.gptp.org/,,
2025-03-01,欧洲,铁路,同比增长20.5%,nan,20.5,%,欧洲铁路公司,https://www.era.europa.eu,,
2025-06-01,东南亚,航空,同比增长45.2%,nan,45.2,%,东南亚民航局,https://www.caas.gov.sg,,
2024-12-01,南美,道路运输,250万,nan,8.3,人次,南美交通运输研究所,https://www.tranportresearch.org,,
2025-02-15,中国,高铁,8500万,500万吨,12.6,人次,中国铁路总公司,https://www.china-railway.com,,
2025-07-01,美国,民航,3500万,nan,nan,人次,美国联邦航空局,https://www.faa.gov,,
2025-11-01,亚洲,水路运输,80万,nan,10.2,人次,亚洲航运协会,https://www.asianshipping.org,,
2024-09-01,北美,铁路,300万,nan,nan,人次,美国国家铁路公司,https://www.amtrak.com,,
2025-05-01,非洲,航空,500万,nan,5.0,人次,非洲民航组织,https://www.afcaa.org,,
2025-10-01,中东,道路运输,400万,nan,7.4,人次,中东交通运输部,https://www.mot.gov.ae,,
2024-12-15,全球,航空,同比增长30.0%,nan,30.0,%,国际航空运输协会 (IATA),https://www.iata.org,,
