可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
低,15 Mbps,100 ms,35 ms,6,400 ms,30%,计算机网络与通信,https://www.cnccjournal.com,,
高,1.8 Gbps,12 ms,5 ms,1,90 ms,2%,中国通信学会,https://www.cac.org.cn,,
中,450 Mbps,28 ms,10 ms,4,170 ms,6%,协会科技,https://www.associationtech.org,,
高,2.2 Gbps,9 ms,2 ms,2,75 ms,1%,场景创新交流,http://www.innovationscenarios.com,,
低,30 Mbps,95 ms,20 ms,5,360 ms,20%,网络与媒体观察,https://www.nmo.com,,
高,5 Gbps,7 ms,3 ms,0,25 ms,1%,IEEE Transactions on Network and Service Management,https://ieeexplore.ieee.org,,
中,350 Mbps,32 ms,12 ms,3,140 ms,7%,网络研究与发展局,https://www.nrdc.org,,
高,1 Gbps,15 ms,5 ms,1,100 ms,1%,Computing Research Repository,https://arxiv.org,,
高,300 Mbps,25 ms,5 ms,2,100 ms,4%,IT 时代,https://www.ittimes.com,,
中,150 Mbps,40 ms,10 ms,3,200 ms,5%,科技日报,http://www.stdaily.com,,
高,1.5 Gbps,15 ms,3 ms,0,60 ms,2%,中国网络安全报告,https://www.networksecurity.gov.cn,,
低,20 Mbps,95 ms,30 ms,8,320 ms,15%,国际电信联盟,https://www.itu.int,,
高,600 Mbps,20 ms,6 ms,1,90 ms,3%,ARXIV,https://arxiv.org,,
中,500 Mbps,35 ms,9 ms,4,110 ms,10%,光纤通讯协会,http://www.ofcconference.org,,
低,30 Mbps,100 ms,20 ms,6,310 ms,25%,网信办,https://www.cac.gov.cn,,
高,4 Gbps,5 ms,1 ms,0,40 ms,1%,美国国家科学基金会,https://www.nsf.gov,,
中,350 Mbps,27 ms,8 ms,2,150 ms,4%,网络与信息安全,https://www.nis.com,,
高,2.5 Gbps,12 ms,4 ms,1,70 ms,2%,腾讯科技,https://tech.qq.com,,
低,15 Mbps,120 ms,35 ms,10,350 ms,30%,中国互联网协会,https://www.isc.org.cn,,
高,3.2 Gbps,8 ms,2 ms,0,50 ms,1%,福布斯科技,https://www.forbes.com/technology,,
中,400 Mbps,30 ms,7 ms,3,120 ms,5%,华尔街日报科技,https://www.wsj.com,,
低,40 Mbps,110 ms,29 ms,9,340 ms,20%,科技创业网,https://www.techstartups.com,,
高,1.8 Gbps,14 ms,3 ms,1,80 ms,2%,互联网研究所,https://www.internetresearch.com,,
中,250 Mbps,36 ms,11 ms,4,130 ms,6%,未来科技,https://www.futuristictech.com,,
高,2.2 Gbps,10 ms,2 ms,1,65 ms,1%,中国科技新闻网,http://www.sciencenews.cn,,
低,10 Mbps,115 ms,33 ms,12,400 ms,35%,电信研究中心,https://www.trc.com,,
高,1.2 Gbps,14 ms,5 ms,1,90 ms,2%,TechRadar,https://www.techradar.com,,
中,500 Mbps,20 ms,11 ms,3,150 ms,4%,Global Telecom Insights,https://www.globaltelecominsights.com,,
低,100 Mbps,70 ms,30 ms,10,350 ms,12%,European Journal of Telecommunications,https://www.ejtelecomjournals.eu,,
高,2.5 Gbps,8 ms,4 ms,0,70 ms,1%,ITU News,https://news.itu.int,,
低,20 Mbps,100 ms,35 ms,8,400 ms,15%,National Communications Commission,https://www.ncc.gov,,
中,750 Mbps,16 ms,10 ms,2,120 ms,5%,IEEE Communications Magazine,https://www.ieee.org/publications_standards/publications/index.html,,
高,3 Gbps,11 ms,3 ms,0,85 ms,1%,Frost & Sullivan,https://www.frost.com,,
高,1.5 Gbps,19 ms,7 ms,0,110 ms,2%,CNET,https://www.cnet.com,,
中,300 Mbps,26 ms,15 ms,4,170 ms,6%,Telecom Newsletter,https://www.telecomnewsletters.com,,
高,4.5 Gbps,6 ms,1 ms,0,50 ms,1%,Next Generation Telecom,https://www.ngtelecom.com,,
低,10 Mbps,150 ms,50 ms,15,500 ms,20%,ResearchGate,https://www.researchgate.net,,
中,200 Mbps,35 ms,20 ms,6,230 ms,8%,Harvard Business Review,https://hbr.org,,
高,2 Gbps,10 ms,2 ms,1,80 ms,2%,Wired,https://www.wired.com,,
低,30 Mbps,95 ms,24 ms,9,280 ms,18%,Journal of Network and Computer Applications,https://www.jnca.com,,
高,3 Gbps,13 ms,4 ms,1,70 ms,1%,Communications of the ACM,https://cacm.acm.org,,
中,450 Mbps,30 ms,12 ms,4,190 ms,7%,Telecommunications Journal,https://www.telecomjournal.com,,
低,15 Mbps,110 ms,28 ms,12,360 ms,22%,Mobile Computing Magazine,https://www.mobilecomputingmag.com,,
高,1.8 Gbps,17 ms,8 ms,0,100 ms,2%,Network World,https://www.networkworld.com,,
中,650 Mbps,24 ms,13 ms,3,160 ms,5%,The Journal of Internet Technology,https://www.jit.org,,
高,1.5 Gbps,20 ms,8 ms,0,150 ms,1%,光纤通信学会,http://www.ofcconference.org,,
中,320 Mbps,35 ms,10 ms,2,200 ms,4%,Smart Communications Journal,https://www.smartcommsjournal.com,,
低,10 Mbps,150 ms,40 ms,10,500 ms,30%,中国互联网信息中心,http://www.cnnic.net.cn,,
高,3.2 Gbps,10 ms,2 ms,1,90 ms,1%,全球移动通信系统协会,https://www.gsma.com,,
中,450 Mbps,25 ms,7 ms,3,150 ms,5%,中国通信标准化协会,http://www.csoc.org.cn,,
高,850 Mbps,18 ms,5 ms,0,80 ms,2%,Telecom Innovations Forum,https://www.telecominnovationsforum.org,,
低,30 Mbps,100 ms,30 ms,6,400 ms,15%,Network World,https://www.networkworld.com,,
高,2.5 Gbps,9 ms,1 ms,1,70 ms,1%,IT World Canada,https://itworldcanada.com,,
高,1.2 Gbps,14 ms,3 ms,0,60 ms,1%,The Telecommunication Research Institute,https://www.tri.org,,
中,620 Mbps,30 ms,15 ms,5,200 ms,7%,Wireless Communications and Networking Conference,https://www.wcnc.org,,
低,20 Mbps,120 ms,20 ms,8,300 ms,25%,Global Research Institute,https://www.globalri.org,,
高,4 Gbps,11 ms,2 ms,0,80 ms,1%,TechXplore,https://www.techxplore.com,,
中,300 Mbps,45 ms,12 ms,4,230 ms,3%,Communications of the ACM,https://cacm.acm.org,,
低,15 Mbps,135 ms,35 ms,6,400 ms,28%,Digital Communications Review,https://www.digitalcommsreview.com,,
高,5 Gbps,5 ms,1 ms,0,50 ms,0%,Next Generation Networking,https://www.ngn.org,,
中,350 Mbps,40 ms,10 ms,2,180 ms,4%,Telecommunication Systems Journal,https://link.springer.com/journal/11235,,
低,5 Mbps,200 ms,60 ms,12,600 ms,35%,ResearchGate,https://www.researchgate.net,,
高,1.5 Gbps,16 ms,5 ms,0,90 ms,2%,信息技术研究院,https://www.itri.org.tw,,
中,300 Mbps,30 ms,15 ms,4,150 ms,5%,东北大学计算机系,https://www.neu.edu.cn,,
低,60 Mbps,120 ms,35 ms,8,400 ms,15%,科技日报,http://www.stdaily.com,,
高,2.5 Gbps,11 ms,3 ms,0,70 ms,1%,网络科技期刊,http://www.networktechjournal.com,,
中,450 Mbps,25 ms,7 ms,2,120 ms,4%,中国通信研究院,http://www.cairo.com.cn,,
低,20 Mbps,150 ms,40 ms,9,500 ms,22%,中国网络安全杂志,https://www.cnnsecurity.com,,
高,3 Gbps,8 ms,1 ms,0,50 ms,1%,中国科学技术协会,https://www.cast.org.cn,,
中,550 Mbps,19 ms,10 ms,2,110 ms,3%,工信部电信研究院,http://www.miit.gov.cn,,
低,45 Mbps,85 ms,20 ms,6,350 ms,12%,环球时报技术部,https://www.globaltimes.cn,,
高,1.8 Gbps,14 ms,4 ms,0,75 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,700 Mbps,18 ms,8 ms,3,130 ms,6%,清华大学智能技术研究所,https://www.tsinghua.edu.cn,,
高,5 Gbps,7 ms,1 ms,0,40 ms,1%,中国互联网协会,http://www.cnnic.cn,,
低,30 Mbps,95 ms,25 ms,5,300 ms,10%,信息产业部,https://www.miit.gov.cn,,
高,4.5 Gbps,10 ms,2 ms,1,60 ms,2%,中国移动通信集团,https://www.chinamobileltd.com,,
低,10 Mbps,150 ms,30 ms,10,600 ms,18%,网络安全和信息化工作办公室,https://www.cac.gov.cn,,
中,800 Mbps,20 ms,6 ms,2,140 ms,4%,计算机网络与通信期刊,http://www.cncjournal.com,,
高,900 Mbps,12 ms,4 ms,1,80 ms,3%,科学技术信息研究所,http://www.stii.org.cn,,
高,1.5 Gbps,11 ms,3 ms,0,90 ms,2%,Telecom China,https://www.telecomchina.com.cn,,
中,350 Mbps,30 ms,15 ms,4,200 ms,5%,Network Research Foundation,https://www.nrf.org,,
低,75 Mbps,120 ms,35 ms,10,400 ms,15%,Global Network Insights,https://www.globalnetworkinsights.com,,
高,3 Gbps,8 ms,1 ms,0,70 ms,1%,Study of Internet QoS,https://www.qos-study.org,,
中,500 Mbps,20 ms,10 ms,2,150 ms,4%,Internet Technology Journal,https://www.itjournal.com,,
高,1.2 Gbps,14 ms,6 ms,1,130 ms,3%,TechRadar,https://www.techradar.com,,
中,200 Mbps,50 ms,18 ms,5,250 ms,7%,Networking World,https://www.networkingworld.com,,
低,30 Mbps,110 ms,26 ms,8,350 ms,20%,WiFi Alliance,https://www.wi-fi.org,,
高,5 Gbps,7 ms,1 ms,0,50 ms,0%,IEEE Communications,https://www.ieeecommunications.org,,
高,950 Mbps,12 ms,5 ms,1,80 ms,2%,Communications of the ACM,https://cacm.acm.org,,
中,600 Mbps,15 ms,4 ms,3,140 ms,6%,Next Generation Networks,https://www.ngn.org,,
低,10 Mbps,200 ms,50 ms,12,500 ms,25%,Broken Networks Journal,https://www.broken-networks.com,,
高,2.5 Gbps,9 ms,3 ms,0,60 ms,1%,GlobalTechReview,https://www.globaltechreview.com,,
中,300 Mbps,35 ms,11 ms,2,160 ms,4%,Digital Communications,https://www.digitalcommunications.com,,
低,20 Mbps,100 ms,30 ms,6,300 ms,10%,Latency & Loss Analysis,https://www.latencylossanalysis.com,,
高,6 Gbps,5 ms,2 ms,0,40 ms,0%,China Network Ministry,http://www.miit.gov.cn,,
中,450 Mbps,25 ms,8 ms,3,200 ms,5%,International Communications Magazine,http://www.internationalcommunications.com,,
高,1.5 Gbps,13 ms,5 ms,0,90 ms,3%,中国互联网协会,https://www.isp.org.cn,,
中,300 Mbps,35 ms,15 ms,2,200 ms,4%,电信运营研究,https://www.telecomresearch.com,,
低,75 Mbps,95 ms,20 ms,6,350 ms,15%,网络安全周刊,https://www.cybersecurityweekly.com,,
高,3 Gbps,11 ms,4 ms,1,80 ms,2%,电子科技大学,https://www.uestc.edu.cn,,
高,5 Gbps,8 ms,1 ms,0,55 ms,1%,科技日报,http://www.stdaily.com,,
低,20 Mbps,100 ms,30 ms,9,400 ms,25%,全国广播电视协会,http://www.cnbeta.com,,
中,650 Mbps,14 ms,10 ms,3,120 ms,5%,通信技术论坛,http://www.comtechforum.com,,
高,4 Gbps,10 ms,3 ms,0,75 ms,1%,物联网大数据研究中心,http://www.iotdatacenter.com,,
中,200 Mbps,55 ms,10 ms,2,150 ms,7%,华为研究院,https://www.huawei.com,,
高,2.5 Gbps,12 ms,6 ms,1,85 ms,2%,中国科学技术协会,http://www.cast.org.cn,,
低,45 Mbps,88 ms,18 ms,8,300 ms,14%,国家无线电管理委员会,http://www.srr.com.cn,,
高,6 Gbps,7 ms,2 ms,0,50 ms,1%,腾讯科技,https://tech.qq.com,,
中,350 Mbps,30 ms,8 ms,2,175 ms,6%,搜狐科技,https://www.sohu.com,,
高,2.2 Gbps,15 ms,4 ms,1,80 ms,2%,中国信息技术研究院,http://www.citri.com,,
低,10 Mbps,110 ms,35 ms,10,400 ms,30%,中国计算机协会,http://www.ccomputing.org,,
高,1.8 Gbps,10 ms,3 ms,0,70 ms,3%,信息技术与产业发展研究中心,http://www.itidrc.com,,
中,500 Mbps,28 ms,9 ms,3,140 ms,5%,中国电子技术标准化研究院,http://www.cesari.com,,
高,7 Gbps,6 ms,1 ms,0,45 ms,1%,国家信息化发展研究中心,http://www.nidrc.org,,
高,1.5 Gbps,13 ms,5 ms,2,120 ms,2%,全球移动通信系统协会,https://www.gsma.com,,
中,700 Mbps,30 ms,8 ms,4,160 ms,5%,信息产业部,http://www.miit.gov.cn,,
低,100 Mbps,80 ms,20 ms,6,400 ms,15%,网络安全与信息化委员会,http://www.cac.gov.cn,,
高,3 Gbps,7 ms,1 ms,0,50 ms,1%,科技日报,http://www.stdaily.com,,
中,450 Mbps,35 ms,10 ms,3,200 ms,4%,中国电子技术标准化研究院,http://www.cesi.cn,,
高,5 Gbps,6 ms,3 ms,1,70 ms,2%,信息技术与产业发展研究院,http://www.miit.gov.cn,,
低,30 Mbps,110 ms,30 ms,9,500 ms,25%,现代通信,http://www.moderncomm.com,,
高,2.5 Gbps,10 ms,2 ms,1,90 ms,1%,未来无线技术会议,http://www.fwtc.org,,
中,350 Mbps,55 ms,15 ms,2,220 ms,3%,中国网络技术报告,http://www.chinanetworkreport.com,,
低,20 Mbps,95 ms,35 ms,8,320 ms,20%,科技信息网,http://www.techinfo.cn,,
高,1.2 Gbps,14 ms,4 ms,1,95 ms,2%,国际互联网协会,http://www.isoc.org,,
高,6 Gbps,8 ms,2 ms,0,40 ms,1%,网络研究机构,http://www.networkresearch.org,,
中,320 Mbps,40 ms,10 ms,3,180 ms,4%,电信行业报告,http://www.telecomreport.com,,
低,10 Mbps,150 ms,30 ms,10,600 ms,30%,中国通信研究院,http://www.tas.gov.cn,,
高,2.8 Gbps,11 ms,3 ms,0,80 ms,1%,移动通信技术展,http://www.mwc.com,,
高,4.5 Gbps,9 ms,1 ms,0,30 ms,1%,电信业协会,https://www.telecomsassociation.com,,
中,550 Mbps,33 ms,6 ms,5,150 ms,5%,中国信息技术大会,http://www.citicconference.com,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,1%,TechRepublic,https://www.techrepublic.com,,
中,500 Mbps,35 ms,15 ms,2,120 ms,4%,Network World,https://www.networkworld.com,,
低,30 Mbps,95 ms,20 ms,6,310 ms,25%,Chinese Journal of Electronics,https://www.cjejournal.org,,
高,3 Gbps,8 ms,2 ms,0,60 ms,1%,ITU,https://www.itu.int,,
中,700 Mbps,30 ms,10 ms,3,150 ms,5%,Telecom News,https://www.telecomnews.com,,
高,4 Gbps,11 ms,4 ms,0,75 ms,2%,Wired,https://www.wired.com,,
低,10 Mbps,120 ms,30 ms,8,400 ms,30%,Digital Trends,https://www.digitaltrends.com,,
中,250 Mbps,50 ms,18 ms,4,220 ms,8%,Arxiv,https://arxiv.org,,
高,1.2 Gbps,15 ms,6 ms,1,110 ms,2%,The Register,https://www.theregister.com,,
高,600 Mbps,12 ms,3 ms,1,80 ms,3%,CNET,https://www.cnet.com,,
中,300 Mbps,40 ms,14 ms,2,160 ms,6%,AnandTech,https://www.anandtech.com,,
低,20 Mbps,100 ms,22 ms,5,320 ms,15%,GSM Arena,https://www.gsmarena.com,,
高,2 Gbps,10 ms,3 ms,0,70 ms,1%,Speedtest,https://www.speedtest.net,,
高,900 Mbps,17 ms,4 ms,1,85 ms,2%,The Verge,https://www.theverge.com,,
低,15 Mbps,110 ms,27 ms,9,350 ms,35%,International Journal of Network Management,https://www.journalofnetworkmanagement.com,,
中,400 Mbps,29 ms,9 ms,3,140 ms,5%,Journal of Communications and Networks,https://www.jcnjournal.org,,
高,5 Gbps,7 ms,2 ms,0,50 ms,1%,FierceTelecom,https://www.fiercetelecom.com,,
高,1.5 Gbps,20 ms,7 ms,0,90 ms,2%,网络与信息研究中心,http://www.nric.gov.cn,,
中,300 Mbps,35 ms,8 ms,2,200 ms,5%,亚洲网络协会,https://www.ana.org,,
低,10 Mbps,120 ms,45 ms,9,500 ms,30%,全球信息分析,https://www.globalinfoanalysis.com,,
高,2.5 Gbps,8 ms,3 ms,0,65 ms,1%,国际电信联合会,https://www.itu.int,,
中,400 Mbps,50 ms,15 ms,4,250 ms,10%,技术前沿期刊,https://www.technologyfrontierjournal.com,,
低,20 Mbps,100 ms,30 ms,7,400 ms,25%,科技日报,http://www.stdaily.com,,
高,1.2 Gbps,14 ms,5 ms,1,100 ms,3%,网络科技评测,http://www.nettechreview.com,,
中,200 Mbps,60 ms,20 ms,3,350 ms,15%,中国质量检测中心,http://www.cqc.com.cn,,
高,3 Gbps,5 ms,1 ms,0,80 ms,0%,未来网络研究所,http://www.furnet.org,,
低,15 Mbps,95 ms,35 ms,6,450 ms,18%,信息与通信理论,http://www.icttheories.com,,
高,5 Gbps,7 ms,3 ms,1,50 ms,1%,云科技论坛,https://www.cloudtechnologyforum.com,,
中,700 Mbps,30 ms,5 ms,2,225 ms,4%,网络技术发展研究,https://www.ntdr.org,,
低,30 Mbps,85 ms,20 ms,8,600 ms,27%,现代信息科技,http://www.moderninfotech.com,,
高,4 Gbps,11 ms,4 ms,0,70 ms,0%,中国互联网协会,http://www.cnnic.net.cn,,
中,100 Mbps,55 ms,18 ms,3,300 ms,12%,科技与工程研究,http://www.scieng.org,,
高,900 Mbps,16 ms,6 ms,1,130 ms,1%,中国信息化推进中心,http://www.cip.gov.cn,,
中,350 Mbps,45 ms,9 ms,2,280 ms,9%,全球互联网技术中心,http://www.gitic.org,,
低,8 Mbps,110 ms,24 ms,10,550 ms,35%,信息业务与技术,http://www.techbusinessinfo.com,,
高,750 Mbps,13 ms,3 ms,1,75 ms,2%,新兴技术探索,http://www.newtechs.org,,
高,1.5 Gbps,15 ms,5 ms,1,90 ms,2%,中国移动,https://www.chinamobileltd.com,,
中,350 Mbps,40 ms,10 ms,2,150 ms,5%,网络通信研究,https://www.networkresearch.org,,
低,30 Mbps,110 ms,30 ms,6,320 ms,25%,信息产业部,http://www.miit.gov.cn,,
高,3 Gbps,8 ms,1 ms,0,70 ms,1%,国际电信联盟,https://www.itu.int,,
高,5 Gbps,12 ms,3 ms,0,50 ms,2%,光通信产业协会,http://www.oida.org,,
中,200 Mbps,45 ms,15 ms,3,250 ms,10%,中国电信,https://www.chinatelecom.com,,
低,100 Mbps,100 ms,20 ms,4,300 ms,15%,网络技术前沿,https://www.networktechfrontier.com,,
高,1.8 Gbps,11 ms,4 ms,1,80 ms,2%,电子学报,https://www.electronicjournal.com,,
高,2.5 Gbps,10 ms,2 ms,0,60 ms,1%,通信技术研究,https://www.comtechresearch.com,,
中,450 Mbps,20 ms,8 ms,2,120 ms,4%,科技日报,http://www.stdaily.com,,
低,75 Mbps,95 ms,24 ms,5,300 ms,12%,中国科学技术协会,https://www.cast.org.cn,,
高,4.5 Gbps,7 ms,1 ms,0,45 ms,1%,电信服务报告,https://www.telecomreport.com,,
中,600 Mbps,35 ms,11 ms,2,200 ms,7%,国家无线电观测中心,http://www.nric.gov.cn,,
低,20 Mbps,115 ms,35 ms,8,350 ms,30%,卫星通信技术,http://www.satcomtech.com,,
高,2 Gbps,13 ms,2 ms,1,70 ms,1%,数字通信网络,http://www.digitalcom.net,,
高,6 Gbps,9 ms,1 ms,0,55 ms,2%,科学通讯研究院,https://www.sciencecommresearch.org,,
中,350 Mbps,50 ms,14 ms,3,220 ms,6%,大学计算机科学协会,http://www.acm.org,,
高,1.5 Gbps,11 ms,3 ms,0,85 ms,1%,International Journal of Network Management,https://www.internationaljournalofnetworkmanagement.com,,
中,300 Mbps,32 ms,7 ms,2,150 ms,4%,The Network World,https://www.networkworld.com,,
低,40 Mbps,100 ms,20 ms,6,350 ms,15%,Telecom Review,https://www.telecomreview.com,,
高,2.2 Gbps,8 ms,2 ms,0,75 ms,2%,Communications of the ACM,https://cacm.acm.org,,
高,1.2 Gbps,15 ms,5 ms,1,95 ms,3%,Gartner Research,https://www.gartner.com,,
低,25 Mbps,120 ms,35 ms,10,400 ms,25%,Journal of Telecommunications and Digital Economy,https://www.jtde.tafensw.edu.au,,
中,500 Mbps,20 ms,8 ms,2,120 ms,5%,TechCrunch,https://techcrunch.com,,
高,4 Gbps,7 ms,1 ms,0,50 ms,1%,Telecommunications Engineering,https://www.telecommunicationengineering.com,,
高,900 Mbps,18 ms,6 ms,1,110 ms,3%,Journal of Network and Computer Applications,https://www.jnca.com,,
中,600 Mbps,34 ms,15 ms,5,200 ms,7%,Wired,https://www.wired.com,,
高,3.5 Gbps,9 ms,4 ms,0,60 ms,2%,Asia Pacific Network Information Centre,https://www.apnic.net,,
低,15 Mbps,110 ms,30 ms,8,450 ms,30%,The Register,https://www.theregister.com,,
中,250 Mbps,29 ms,14 ms,3,140 ms,4%,Fierce Telecom,https://www.fiercetelecom.com,,
高,1.8 Gbps,14 ms,3 ms,0,70 ms,1%,Verizon Insights,https://www.verizon.com,,
中,400 Mbps,40 ms,10 ms,4,160 ms,8%,Cloudflare Blog,https://blog.cloudflare.com,,
高,2.5 Gbps,13 ms,5 ms,2,90 ms,2%,Digital Communications,https://www.digitalcommunications.com,,
低,30 Mbps,95 ms,22 ms,6,320 ms,18%,Packet Magazine,https://www.packetmagazine.com,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,2%,网络与通信技术研究中心,https://www.nctr.org.cn,,
中,750 Mbps,35 ms,10 ms,2,120 ms,5%,中国信息网,https://www.chinanews.com,,
低,30 Mbps,85 ms,30 ms,8,350 ms,25%,时代网络,https://www.timenet.cn,,
中,400 Mbps,50 ms,15 ms,4,200 ms,8%,通信工程师周刊,https://www.comengineerweekly.com,,
高,2.5 Gbps,10 ms,4 ms,1,70 ms,1%,国际电信联盟,https://www.itu.int,,
高,3 Gbps,8 ms,3 ms,0,50 ms,1%,Future Networks,https://www.futurenetworks.com,,
中,500 Mbps,20 ms,7 ms,3,250 ms,6%,网络创新科研中心,https://www.innovation-ncn.com,,
中,250 Mbps,40 ms,16 ms,3,180 ms,10%,科技日报,https://www.stdaily.com,,
低,35 Mbps,100 ms,20 ms,6,400 ms,15%,中国电子报,http://www.cena.com.cn,,
高,1.8 Gbps,11 ms,3 ms,0,75 ms,2%,电信行业观察,https://www.telforind.com,,
高,2.2 Gbps,13 ms,6 ms,0,80 ms,1%,网络安全研究所,https://www.networksecurity.cn,,
低,20 Mbps,95 ms,28 ms,9,300 ms,22%,中国高速互联网研究中心,https://www.chinagiga.cn,,
高,1 Gbps,15 ms,5 ms,1,105 ms,3%,科技前沿,https://www.techfrontier.com,,
低,15 Mbps,110 ms,25 ms,10,360 ms,30%,信息技术杂志,https://www.informationtechmag.com,,
高,1.2 Gbps,17 ms,4 ms,1,95 ms,2%,国际网络论坛,https://www.internetworkforum.com,,
中,600 Mbps,30 ms,12 ms,3,150 ms,7%,电信政策研究网站,https://www.tpr.website,,
高,2 Gbps,12 ms,5 ms,0,70 ms,1%,中国无线通信网,https://www.chinawireless.com,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,1.5%,中国网络安全协会,https://www.cncsecurity.com,,
中,350 Mbps,20 ms,8 ms,2,150 ms,4%,网络技术与应用期刊,https://www.journalofnetworktech.com,,
高,1 Gbps,30 ms,7 ms,1,110 ms,2%,科技日报,http://www.stdaily.com,,
低,15 Mbps,95 ms,30 ms,6,320 ms,15%,新媒体观察,https://www.newmediatrends.com,,
高,700 Mbps,16 ms,3 ms,0,90 ms,1%,国际电信联盟,https://www.itu.int,,
中,400 Mbps,28 ms,10 ms,3,200 ms,5%,CIO杂志,https://www.cio.com,,
高,1.2 Gbps,18 ms,6 ms,1,130 ms,3%,通信行业科技分析,https://www.telecomtechanalysis.com,,
低,30 Mbps,100 ms,35 ms,8,350 ms,25%,信息技术与应用,https://www.itapplications.com,,
高,2.5 Gbps,11 ms,4 ms,0,70 ms,1%,数据科学与技术,https://www.datascienceandtech.com,,
中,550 Mbps,35 ms,15 ms,4,190 ms,7%,计算机网络,https://www.computernetworks.com,,
高,1.8 Gbps,17 ms,5 ms,1,80 ms,2.2%,华为技术论坛,https://www.huawei.com,,
低,25 Mbps,90 ms,32 ms,9,400 ms,18%,网络技术与文化,https://www.networkculture.com,,
高,3 Gbps,12 ms,4 ms,0,75 ms,1%,先进通信技术,https://www.advancedcommtech.com,,
高,850 Mbps,15 ms,6 ms,1,80 ms,2%,大数据与网络,https://www.bigdataspace.com,,
中,450 Mbps,25 ms,13 ms,3,180 ms,4%,在线技术评审,https://www.onlinetechreview.com,,
低,10 Mbps,120 ms,45 ms,10,500 ms,30%,信息技术与人生,https://www.itandlife.com,,
高,2 Gbps,8 ms,2 ms,0,60 ms,1%,国家发展与改革委员会,http://www.ndrc.gov.cn,,
高,1.5 Gbps,20 ms,5 ms,0,150 ms,2%,China Networking Technology Association,https://www.cncta.org.cn,,
中,300 Mbps,35 ms,10 ms,2,200 ms,5%,Telecom News,https://www.telecomnews.com,,
低,10 Mbps,150 ms,30 ms,9,400 ms,15%,Global Quality of Service Forum,https://www.gqosf.org,,
高,5 Gbps,11 ms,3 ms,0,70 ms,1%,5G Global,https://5gglobal.com,,
中,450 Mbps,28 ms,15 ms,4,180 ms,4%,Tech Radar,https://www.techtadar.com,,
低,20 Mbps,120 ms,40 ms,6,350 ms,25%,International Journal of Communications,https://www.ijoc.org,,
高,2.2 Gbps,13 ms,6 ms,1,90 ms,2%,Network World,https://www.networkworld.com,,
高,6 Gbps,7 ms,2 ms,0,50 ms,1%,Telecom Asia,https://www.telecomasia.net,,
中,350 Mbps,25 ms,8 ms,2,160 ms,3%,CommWorld,https://www.commworld.com,,
高,4 Gbps,10 ms,4 ms,1,80 ms,1%,Future Internet Journal,https://www.futureinternetjournal.com,,
低,15 Mbps,110 ms,25 ms,8,350 ms,20%,Shenzhen telecom review,https://www.sztelecomreview.com,,
中,600 Mbps,40 ms,12 ms,3,210 ms,5%,International Data Corporation,https://www.idc.com,,
高,1.8 Gbps,14 ms,5 ms,0,100 ms,2%,Wall Street Journal Tech,https://www.wsj.com/tech,,
低,30 Mbps,130 ms,35 ms,7,400 ms,18%,Network Magazine,https://www.networkmagazine.com,,
中,700 Mbps,30 ms,18 ms,4,230 ms,6%,TechCrunch,https://www.techcrunch.com,,
高,2.5 Gbps,9 ms,3 ms,0,70 ms,1%,Chinese Academy of Sciences,http://www.cas.cn,,
中,800 Mbps,22 ms,8 ms,3,240 ms,5%,Asia Pacific Telecom Council,https://www.aptelecomcouncil.org,,
高,3.5 Gbps,12 ms,4 ms,1,80 ms,2%,Journal of Network and Computer Applications,https://www.jnca.com,,
高,1.2 Gbps,15 ms,5 ms,0,100 ms,3%,华为技术有限公司,https://www.huawei.com,,
中,300 Mbps,35 ms,10 ms,2,150 ms,5%,网络世界期刊,https://www.networkworld.com,,
低,30 Mbps,120 ms,30 ms,8,400 ms,15%,信息产业部,http://www.miit.gov.cn,,
高,1.8 Gbps,9 ms,4 ms,1,80 ms,2%,中国信息通信研究院,https://www.caiinfo.com,,
中,700 Mbps,25 ms,8 ms,3,200 ms,6%,ITU国际电信联盟,https://www.itu.int,,
高,4 Gbps,12 ms,3 ms,0,70 ms,1%,Gartner,https://www.gartner.com,,
中,250 Mbps,50 ms,15 ms,4,220 ms,7%,Wired Magazine,https://www.wired.com,,
低,20 Mbps,100 ms,50 ms,10,350 ms,25%,中国社会科学院,http://www.cass.cn,,
高,5 Gbps,8 ms,1 ms,0,50 ms,0%,TechCrunch,https://techcrunch.com,,
中,400 Mbps,40 ms,15 ms,2,150 ms,4%,Network Computing,https://www.networkcomputing.com,,
低,15 Mbps,110 ms,35 ms,12,400 ms,30%,ZDNet,https://www.zdnet.com,,
高,6 Gbps,6 ms,2 ms,0,60 ms,1%,CNET,https://www.cnet.com,,
中,350 Mbps,30 ms,10 ms,3,180 ms,5%,The Verge,https://www.theverge.com,,
低,12 Mbps,95 ms,45 ms,10,250 ms,20%,Research Gate,https://www.researchgate.net,,
高,2.5 Gbps,10 ms,3 ms,1,90 ms,2%,Protocol,https://www.protocol.com,,
