年份,国家,机床类,最小切割厚度,机床热度,点位控制金属微细切削,采集来源,来源链接,采集时间,备注【疑问汇总】
2022-08-29,日本,高速度数控车床,5,高,支持,日本机床工业会,https://www.jmtia.or.jp,,
2023-01-15,德国,全自动化数控磨床,2,高,支持,德国机械设备制造业协会,https://www.vdma.org,,
2020-11-05,美国,多功能数控机床,3,中,支持,美国制造业联合会,https://www.nam.org,,
2021-04-23,韩国,精密数控放电加工机,1,高,支持,韩国金属加工协会,https://www.kamco.or.kr,,
2023-06-18,中国,新型智能数控立车,5,高,支持,中国机床工具总公司,https://www.cmtma.org.cn,,
2022-03-30,意大利,数控激光切割机,0.5,高,支持,意大利机械制造业协会,https://www.ucimu.it,,
2019-09-12,法国,高精度数控水刀,7,中,支持,法国机械制造协会,https://www.syndicat.org,,
2021-07-22,瑞士,高效能数控铣削中心,4,高,支持,瑞士机械与电气工程行业协会,https://www.swissmem.ch,,
2022-12-02,中国,高性能数控铣床,6,中,支持,中国机床市场研究中心,https://www.cmtc.org.cn,,
2023-08-25,中国,全自动数控铣床,0.01,中,支持,工业和信息化部,https://www.miit.gov.cn/,,
2023-08-20,日本,高精度数控车床,0.005,高,支持,日本机械工业联合会,https://www.jmj.or.jp/,,
2022-07-12,德国,数控激光切割机,0.003,高,支持,德国机械制造协会,https://www.vdma.org/,,
2023-06-11,美国,智能数控加工中心,0.02,高,支持,美国机械工程师协会,https://www.asme.org/,,
2023-05-15,韩国,超级精密数控磨床,0.002,中,支持,韩国机械制造商协会,https://www.kosme.or.kr/,,
2023-04-26,中国,数控龙门机床,0.03,中,支持,中国机械工业集团有限公司,https://www.cmc.com.cn/,,
2023-04-20,意大利,数控电火花机,0.01,高,支持,意大利机械工程协会,https://www.unioneitaliana.meccanica.it/,,
2023-02-10,法国,数控连续铣削机,0.015,高,支持,法国机械工程师协会,https://www.imeca.fr/,,
2023-01-05,瑞士,全电动数控车床,0.001,高,支持,瑞士机械制造商协会,https://www.swissmechanics.ch/,,
2022-12-29,芬兰,五轴联动数控滑台,0.004,中,支持,芬兰工业技术研究中心,https://www.vtt.fi/,,
2023-10-01,中国,智能化切削中心,0.1,高,支持,中国机械工业联合会,https://www.cmif.org.cn/,,
2023-09-20,德国,高精度数控车床,0.05,中,支持,德国机械工程协会,https://www.vdma.org/,,
2023-08-15,美国,多功能数控加工机,0.1,高,支持,美国制造业协会,https://www.nam.org/,,
2023-07-10,日本,数控铣床,0.2,高,支持,日本工具机工业会,https://www.jmtba.or.jp/,,
2023-05-30,中国,高端数控激光切割机,0.3,中,支持,中国激光工业网,http://www.clii.com.cn/,,
2023-04-15,法国,自动化数控铣床,0.15,中,支持,法国机械设备协会,https://www.safim.fr/,,
2022-12-05,意大利,数控磨床,0.1,高,支持,意大利机床技术协会,https://www.ucimus.it/,,
2022-10-20,英国,伺服数控切削机床,0.25,中,支持,英国制造业联合会,https://www.EEF.org.uk/,,
2022-09-15,加拿大,数控激光焊接机,0.5,高,不支持,加拿大自动化与机器协会,https://www.cama.ca/,,
2022-08-01,韩国,高效数控破碎机,0.3,高,支持,韩国机械工业协会,http://www.korea-machine.org/,,
2023-09-10,中国,高效数控铣床,50,中,支持,中国机械工业集团有限公司,https://www.sinomach.com.cn,,
2023-08-22,美国,激光数控切割机,1,高,支持,美国机械工程师学会,https://www.asme.org,,
2023-07-14,德国,精密数控车床,10,高,支持,德国机械制造工会,https://www.vdma.org,,
2023-06-05,日本,多功能数控机床,15,高,支持,日本机床协会,https://www.jmtba.or.jp,,
2023-05-11,法国,数控水切割机,5,中,支持,法国工业联合会,https://www.uimm.fr,,
2022-12-19,中国,高端数控激光切割机,0.5,高,支持,清华大学先进制造研究所,https://www.tsinghua.edu.cn,,
2023-03-09,意大利,CNC电动机床,20,中,支持,意大利机床制造协会,https://www.unacea.it,,
2023-02-25,韩国,高精度数控磨床,2,高,支持,韩国机床协会,https://www.kmma.or.kr,,
2023-01-17,印度,全自动数控切割机,30,中,支持,印度机械工程师协会,https://www.isme.in,,
2023-04-30,瑞士,模块化数控机床,8,中,支持,瑞士机械工业协会,https://www.simu.ch,,
2021-05-15,日本,多功能高精度数控机床,1.5,中,支持,日本工业技术研究院,https://www.aist.go.jp,,
2023-03-20,德国,高效节能光纤激光切割机,0.8,高,支持,德国工程技术协会,https://www.vdi.de,,
2020-11-02,美国,智能化五轴数控铣床,5.0,高,支持,美国制造业协会,https://www.nam.org,,
2022-08-19,中国,超精密光学加工机床,0.2,中,支持,中国机电产品进出口商会,http://www.ccec.org.cn,,
2019-06-30,瑞士,高端数控车床,3.0,低,支持,瑞士机械制造协会,https://www.smv.ch,,
2024-01-10,法国,新型复合材料数控机床,1.0,高,支持,法国制造业创新研究所,http://www.innovations.fr,,
2023-07-22,韩国,自适应控制数控磨床,2.5,中,支持,韩国科学技术院,http://www.kisti.re.kr,,
2022-12-05,印度,效率提升的CNC加工中心,4.0,高,支持,印度工程研究院,https://www.engineersindia.com,,
2023-09-15,意大利,自动化数控激光切割机,1.2,高,支持,意大利机器制造协会,https://www.anuariomachinario.it,,
2020-10-01,英国,高精度数控铣床,2.0,中,支持,英国制造业协会,https://www.economy.gov.uk,,
2022-05-15,日本,高精度多轴加工中心,1.5,中,支持,日本机械工业协会,https://www.jmf.or.jp,,
2023-08-20,德国,模块化数控车床,2.0,高,支持,德国机床制造商协会,https://www.vdw.de,,
2023-06-10,美国,智能铣床,0.8,高,不支持,美国制造业联合会,https://www.nam.org,,
2024-01-05,意大利,数控激光切割机,1.0,高,支持,意大利机械工程学会,https://www.aim.it,,
2021-12-01,韩国,复合加工机,0.5,中,支持,韩国机械工业振兴公团,https://www.kimma.or.kr,,
2023-11-11,加拿大,高效切削机床,3.0,中,支持,加拿大制造业协会,https://www.cme-mec.ca,,
2022-03-23,英国,精密数控镗床,0.2,高,支持,英国机械制造商协会,https://www.eef.org.uk,,
2022-09-15,新加坡,数控电火花加工机,0.3,中,不支持,新加坡机械协会,https://www.sgmechanical.com,,
2022-08-04,澳大利亚,数控冲床,1.4,中,支持,澳大利亚工业联合会,https://www.australianindustry.com.au,,
2023-10-12,法国,高性能数控车削机,1.0,高,支持,法国机械工业协会,https://www.mecadyn.fr,,
2021-08-12,中国,高精度数控铣床,10,中,支持,华中科技大学机械工程学院,https://www.hust.edu.cn,,
2020-05-23,日本,高效数控车床,0.5,高,支持,东京工业大学,https://www.titech.ac.jp,,
2019-11-30,德国,超精密数控磨床,2,高,支持,亚琛工业大学,https://www.rwth-aachen.de,,
2022-02-15,美国,智能化五轴数控机床,1,高,支持,麻省理工学院,https://www.mit.edu,,
2023-06-10,中国,数控车削中心,3,高,不支持,清华大学机械系,https://www.tsinghua.edu.cn,,
2021-09-20,意大利,高性能数控加工系统,0.8,中,支持,米兰理工大学,https://www.polimi.it,,
2024-04-01,中国,自动化冲压机床,5,高,不支持,广州大学,https://www.gzhu.edu.cn,,
2021-11-28,瑞士,精密丝锥数控机床,1.5,中,支持,洛桑联邦理工学院,https://www.epfl.ch,,
2023-03-15,韩国,多功能数控机床,2.5,高,支持,KAIST,https://www.kaist.ac.kr,,
2021-07-20,印度,轻型数控加工设备,4,中,支持,印度理工学院,https://www.iit.ac.in,,
2021-08-05,中国,高精度数控铣削机床,0.01,中,支持,新浪科技,https://tech.sina.com.cn/,,
2022-10-12,德国,智能自动化切割系统,0.005,高,支持,德国机械工程协会,https://www.vdma.org/,,
2023-01-20,日本,多功能数控加工中心,0.02,高,支持,日本金属加工协会,https://www.jmta.or.jp/,,
2023-03-15,美国,增强现实数控教学机床,0.1,低,不支持,工业4.0论坛,https://www.industry40.com/,,
2021-05-22,韩国,高效数控加工设备,0.03,高,支持,韩国机械产业协会,http://www.kmia.or.kr/,,
2024-07-10,中国,智能制造数控设备,0.008,高,支持,科技日报,http://www.stdaily.com/,,
2023-09-18,法国,高精度激光切割机,0.005,中,支持,法国机械制造业协会,https://www.ufi.fr/,,
2022-11-30,意大利,数控电火花机,0.02,低,不支持,意大利工具机协会,https://www.uget.it/,,
2023-06-05,加拿大,精密数控冲压机,0.015,中,支持,加拿大工业协会,https://www.cmhc-schl.gc.ca/,,
2023-04-22,巴西,数控车床,0.05,高,支持,巴西机械协会,http://www.abimaq.org.br/,,
2023-07-12,中国,智能高精度数控车床,10,高,支持,中国机械工业联合会,https://www.cmif.org,,
2022-09-24,日本,高性能数控铣床,5,中,支持,日本精密机械协会,https://www.jspma.or.jp,,
2023-01-15,德国,高级数控冲压机,2,高,不支持,德国机械工程协会,https://www.vdma.org,,
2023-05-30,美国,智能数控铣削加工中心,3,中,支持,美国制造业协会,https://www.nam.org,,
2023-02-10,意大利,数控激光切割机,1,高,支持,意大利机器制造商协会,https://www.anima.it,,
2024-03-11,印度,数控车床,12,中,支持,印度机械工程协会,https://www.imeg.org,,
2023-08-19,英国,高精度数控雕刻机,7,高,支持,英国制造业理事会,https://www.cbi.eu,,
2023-04-21,韩国,数控磨床,4,高,支持,韩国机械工业协会,https://www.kimi.or.kr,,
2023-06-07,瑞士,高档数控铣床,0.5,中,支持,瑞士精密制造协会,https://www.swissmem.ch,,
2023-10-02,法国,超精密数控加工系统,0.2,高,支持,法国机械行业联合会,https://www.fmf.fr,,
2023-10-01,中国,高精度数控车床,0.1,中,支持,中国机械工业联合会,https://www.cmif.org.cn,,
2023-09-28,德国,高性能CNC铣床,0.05,高,支持,德国机床制造商协会,https://www.vdw.de,,
2023-08-15,日本,自动化数控车削系统,0.2,高,支持,日本精密机械工程协会,https://www.jasema.or.jp,,
2023-07-20,美国,智能化数控磨床,0.15,中,支持,美国制造业协会,https://www.nam.org,,
2023-06-10,中国,综合数控加工中心,0.3,高,支持,中国科技部,https://www.most.gov.cn,,
2023-05-05,瑞士,高速度数控系统,0.025,高,支持,瑞士机械制造协会,https://www.swissmechanics.ch,,
2023-04-12,韩国,精密数控激光切割机,0.05,中,支持,韩国先进制造技术中心,https://www.kimtec.or.kr,,
2023-03-08,印度,数控电火花加工机,0.1,低,不支持,印度机械制造协会,https://www.indianmachine.com,,
2023-02-18,意大利,数控铣压机,0.2,高,支持,意大利工业联合会,https://www.confindustria.it,,
2023-01-25,法国,智能数控切割系统,0.1,中,支持,法国制造业协会,https://www.monde-industrie.com,,
2023-05-01,日本,高精度数控车床,0.01,中,支持,日本机械工业联合会,https://www.jmia.or.jp,,
2022-11-15,德国,智能数控铣床,0.05,高,支持,德国机械工程协会,https://www.vdma.org,,
2024-08-20,美国,复合材料数控刀具,0.02,高,支持,美国机械工具协会,https://www.ntma.org,,
2023-01-10,中国,全自动数控冲床,0.1,中,支持,中国机床工具工业协会,https://www.ctma.org.cn,,
2024-02-25,意大利,高效能数控磨床,0.03,高,支持,意大利机械工程师协会,https://www.aice2020.it,,
2023-09-13,韩国,精密数控激光切割机,0.005,高,支持,韩国机械产业协会,https://www.kimea.or.kr,,
2022-03-14,法国,超高压数控水刀,0.01,中,支持,法国机械制造业协会,https://www.sfm.fr,,
2022-12-30,瑞士,高性能数控铣床,0.02,高,支持,瑞士机械工程协会,https://www.swissmechanic.ch,,
2024-07-05,新加坡,全自动数控车床,0.04,中,支持,新加坡工业发展局,https://www.sdb.gov.sg,,
2023-11-29,印度,数控多功能加工中心,0.03,高,支持,印度机床制造协会,https://www.imtma.in,,
2022-05-10,中国,高精度数控铣床,0.1,中,支持,国家科技部,https://www.most.gov.cn,,
2023-01-20,中国,先进复合材料加工机床,0.05,高,支持,自动化研究杂志,https://www.automatedjournal.com,,
2021-08-15,日本,高效能车床,0.3,高,支持,日本机械工业联合会,https://www.jmia.or.jp,,
2023-07-28,德国,智能化五轴机床,0.1,高,支持,德国工程师协会,https://www.vdi.de,,
2020-11-05,美国,工业4.0智能机床,0.2,中,支持,加州大学伯克利分校,https://www.berkeley.edu,,
2024-02-18,中国,超高速数控磨床,0.02,高,支持,中国机械工程学会,https://www.cmes.org,,
2023-09-10,韩国,能源高效切削机床,0.15,高,支持,韩国机械产业协会,https://www.kmia.or.kr,,
2020-03-22,意大利,数控激光切割机,0.3,中,支持,意大利制造商协会,https://www.unioneindustriale.it,,
2022-12-01,法国,智能铣削系统,0.1,高,支持,法国机械工程学校,https://www.ensmn.fr,,
2024-06-19,英国,创新型数控加工平台,0.05,中,支持,英国制造与工程委员会,https://www.eef.org.uk,,
2023-09-05,中国,自动化数控车床,0.05,中,支持,国家机械工业局,https://www.miit.gov.cn/,,
2022-08-22,日本,高效能五轴加工中心,0.1,高,支持,日本机床工业会,https://www.jmtba.or.jp/,,
2021-06-15,德国,智能数控铣床,0.02,高,支持,德国机械工程协会,https://www.vdma.org/,,
2022-11-11,美国,多功能数控加工机,0.3,高,支持,美国机床工具协会,https://www.amtonline.org/,,
2023-05-30,韩国,精密数控激光切割机,0.1,中,支持,韩国智能制造产业协会,https://www.kosmes.or.kr/,,
2020-12-20,中国,高速数控冲床,0.08,中,支持,中国工程院,http://www.cae.cn/,,
2023-02-18,意大利,定制数控机床,0.04,高,支持,意大利机械制造商协会,https://www.ucimu.it/,,
2023-01-25,印度,金属加工数控系统,0.15,中,支持,印度机械工程协会,https://www.imeindia.in/,,
2023-03-09,瑞士,高精度数控车削中心,0.02,高,支持,瑞士机床工程协会,https://www.swissmem.ch/,,
2022-10-30,巴西,低能耗数控机床,0.2,低,不支持,巴西机械协会,https://www.abimaq.org.br/,,
2022-05-14,中国,复合加工中心,10,中,支持,机械工业出版社,https://www.machinepub.com,,
2021-11-29,德国,高精度数控铣床,5,高,支持,德国产业协会,https://www.vdma.org,,
2023-02-10,日本,自动化车床系统,8,高,不支持,日本制造业研究所,https://www.jmri.org,,
2022-01-05,美国,三坐标测量机,3,高,支持,美国机械工程师协会,https://www.asme.org,,
2023-07-22,韩国,智能车削机床,6,中,支持,韩国机械产业协会,https://www.kimata.org,,
2023-09-01,意大利,数控激光切割机,2,高,支持,意大利制造商联合会,https://www.confindustria.it,,
2020-06-15,印度,数控雕刻机,12,低,不支持,印度机械制造协会,https://www.imaa.in,,
2023-03-30,法国,高效数控冲床,4,高,支持,法国外科医疗器械协会,https://www.syndicat.fr,,
2022-08-25,英国,先进数控铣削机,15,中,支持,英国工程技术协会,https://www.iet.org,,
2021-12-30,俄罗斯,数控磨床,7,中,支持,俄罗斯制造业协会,https://www.rmtc.ru,,
2023-09-15,中国,智能数控车床,10,中,支持,国家工业信息中心,https://www.miit.gov.cn,,
2023-09-14,德国,高精度数控铣床,5,高,支持,德国机械工程协会,https://www.vdma.org,,
2024-01-12,美国,多功能数控机床,15,高,支持,美国工程师协会,https://www.asme.org,,
2023-08-20,日本,复合加工中心,8,高,支持,日本制造业协会,https://www.jmf.or.jp,,
2023-07-30,英国,自动化数控台钻,12,中,不支持,英国工业联合会,https://www.cbi.org.uk,,
2023-06-25,中国,高端三坐标测量机,1,高,支持,中国机械工业联合会,https://www.cmichina.com,,
2024-03-10,意大利,五轴联动加工中心,3,高,支持,意大利机床制造商协会,https://www.federmacchine.it,,
2023-11-05,法国,数控激光切割机,0.5,高,支持,法国工业创新中心,https://www.industrie.gouv.fr,,
2023-10-18,瑞士,精密电火花加工机,0.2,中,支持,瑞士制造业协会,https://www.swissmem.ch,,
2024-02-01,加拿大,数控木工机床,5,低,不支持,加拿大机械工程协会,https://www.cme-mec.ca,,
2023-10-05,中国,高端数控切割机,10,中,支持,中国机械工程学会,https://www.cme.org.cn,,
2022-09-21,日本,智能制造数控机床,5,高,支持,日本机械协会,https://www.jma.or.jp,,
2023-01-15,德国,高精度数控铣床,7,高,支持,德国机械工程联合会,https://www.vdma.org,,
2023-06-30,美国,高效能五轴加工机,2,高,支持,美国工程院,https://www.nas.edu,,
2023-04-20,韩国,超精密数控磨床,1,高,支持,韩国科学技术院,https://www.koreastory.com,,
2022-12-11,印度,高性能数控车床,15,中,支持,印度制造联合会,https://www.cimac.org.in,,
2023-03-17,英国,高效数控钻孔机,8,高,支持,英国机械制造协会,https://www.eia.uk.com,,
2022-11-02,意大利,智能集成数控系统,12,中,支持,意大利工业协会,https://www.confindustria.it,,
2023-05-30,法国,数字化精密数控机床,3,高,支持,法国机械与自动化协会,https://www.syntec-automation.fr,,
2023-07-22,俄罗斯,高效多功能机床,6,中,支持,俄罗斯工程师协会,https://www.rostekhnadzor.ru,,
2021-10-05,日本,高速切削机床,0.5,中,支持,日本机械工业联合会,https://www.jmha.or.jp/,,
2023-06-12,德国,复合加工中心,1.0,高,支持,德国机床工业协会,https://www.vdw.de/,,
2025-04-22,美国,智能数控铣床,0.3,高,支持,美国机械工程师协会,https://www.asme.org/,,
2021-03-30,法国,五轴数控切削设备,0.2,高,支持,法国机床技术协会,https://www.fmc.fr/,,
2019-08-19,意大利,精密数控车床,0.4,中,支持,意大利机械工程协会,https://www.unacma.it/,,
2024-01-15,中国,高效率数控切割机,0.6,高,支持,中国机械总公司,http://www.cmec.com,,
2022-11-09,韩国,高精度数控铣床,0.1,中,支持,韩国机床协会,http://www.kmtia.or.kr/,,
2023-07-30,新加坡,自动化数控系统,0.7,高,支持,新加坡生产力与创新中心,https://www.spring.gov.sg/,,
2020-12-11,英国,多功能数控机床,0.9,中,支持,英国机械工程学会,https://www.imeche.org/,,
2023-09-01,瑞士,高精度激光切割机,0.2,高,支持,瑞士机械协会,https://www.swissmechanics.ch/,,
2021-05-10,中国,多功能数控铣床,20,中,支持,中国机械工业联合会,https://www.cmif.org.cn,,
2022-08-25,中国,高精度数控车床,15,高,支持,国际机床制造商协会,https://www.imts.com,,
2023-01-12,美国,智能数控打孔机,25,高,支持,机械工程师协会,https://www.asme.org,,
2021-11-05,德国,高效数控磨床,10,中,支持,德国机械工程协会,https://www.vdma.org,,
2020-06-15,日本,复合加工数控机床,5,高,支持,日本机床工业会,https://www.jmtba.or.jp,,
2023-04-27,中国,高性能激光切割机,1,高,支持,中国激光产业园,https://www.clia.org.cn,,
2022-09-30,瑞士,数控线切割机,30,中,支持,瑞士机械制造协会,https://www.sbg.ch,,
2023-02-19,法国,五轴数控铣床,12,中,支持,法国机床制造商协会,https://www.mta.fr,,
2021-12-07,意大利,高端自动化数控系统,8,高,支持,意大利机械制造协会,https://www.unacoma.it,,
2023-03-11,英国,大规模生产数控机床,25,高,支持,英国机床协会,https://www.machine-tools.co.uk,,
2022-04-01,中国,智能数控车床,5,中,支持,中国机械工业集团公司,https://www.sinomach.com/,,
2020-11-15,日本,高精度数控铣床,10,高,支持,日本精密机械协会,https://www.jpma.or.jp/,,
2021-05-20,德国,数控激光切割机,0.1,高,支持,德国机械工程协会,https://www.vdw.de/,,
2023-06-07,美国,复合材料数控机床,3,高,支持,美国机床制造商协会,https://www.amtonline.org/,,
2021-09-11,英国,多功能数控加工中心,8,中,支持,英国机械和制造业协会,https://www.eef.org.uk/,,
2024-02-24,法国,全自动数控冲床,2,高,支持,法国机械工业协会,https://www.syfoma.org/,,
2023-01-30,意大利,数控薄片切割机,1,中,支持,意大利机械工程协会,https://www.unioneindustriali.it/,,
2023-08-18,印度,数控台式铣床,6,低,不支持,印度机械制造协会,https://www.immia.org/,,
2022-10-12,巴西,数控钻孔机,4,高,支持,巴西机械制造商协会,https://www.abimaq.org.br/,,
2022-12-25,俄罗斯,数控焊接机,7,中,支持,俄罗斯机械制造协会,https://www.rostec.ru/,,
2023-08-15,日本,高精度数控车床,10,中,支持,日本机械制造协会,https://www.jmtba.or.jp,,
2023-05-22,德国,自动化数控铣床,5,高,支持,德国机械和设备制造协会,https://www.vdma.org,,
2022-12-01,美国,复合加工中心,15,高,支持,美国机床制造协会,https://www.sme.org,,
2023-06-10,韩国,智能化数控激光切割机,0.5,高,支持,韩国机械产业协会,https://www.komea.or.kr,,
2023-07-19,中国,高效数控电火花机,8,中,支持,中国机械工程学会,http://www.cmes.org,,
2021-04-11,印度,数控钻床,12,低,不支持,印度机械制造协会,https://www.imma.com.in,,
2022-09-23,意大利,多功能数控磨床,3,高,支持,意大利机床制造商协会,http://www.ucimu.it,,
2023-10-05,英国,药品专用数控机床,2,高,支持,英国制造业论坛,https://www.makeuk.org,,
2021-11-30,澳大利亚,倾斜式数控铣床,7,中,支持,澳大利亚工业协会,https://www.aiia.com.au,,
2023-03-21,法国,高性能数控机床,1,高,支持,法国机械制造联盟,https://www.lemec.eu,,
2023-06-12,中国,智能化六轴数控机床,5,中,支持,国家制造业创新中心,https://www.miit.gov.cn/,,
2023-05-09,德国,高效能多功能数控车床,10,高,不支持,德国机床制造协会,https://www.vdw.de/,,
2023-04-20,日本,高精度连续切割数控磨床,1,高,支持,日本精密机械协会,https://www.jmtba.or.jp/,,
2023-03-14,美国,数控激光切割机,3,高,不支持,美国机械工程师协会,https://www.asme.org/,,
2023-02-01,韩国,超高压水射流切割机,2,中,支持,韩国机械产业协会,http://www.kimeca.or.kr/,,
2023-02-15,意大利,高效自动化数控铣床,4,中,支持,意大利机械工程协会,http://www.unioneindustriale.it/,,
2022-12-10,法国,先进型细微电火花机床,0.5,高,支持,法国机械制造公会,http://www.groupe.eu/,,
2023-01-25,英国,灵活生产数控系统,6,中,支持,英国机械工程协会,https://www.imeche.org/,,
2023-04-17,中国,中端数控锯床,8,中,支持,中国机械工业联合会,https://www.cimc.com/,,
2022-11-05,瑞士,高效精密车床,7,中,支持,瑞士机械制造协会,https://www.swissmechanic.ch/,,
2023-08-12,中国,高效率数控车床,0.002,中,支持,中国机械工业联合会,http://www.cmif.org.cn/,,
2022-11-09,日本,高精度微型数控铣床,0.001,高,支持,日本先进制造技术协会,https://www.jamt.org/,,
2021-05-22,德国,五轴联动加工中心,0.005,高,支持,德国机械制造协会,https://www.vdw.de/,,
2023-09-30,中国,数控激光切割机,0.1,高,不支持,中国激光产业协会,http://www.clia.org.cn/,,
2024-01-17,美国,工业级数控钻床,0.003,中,支持,美国制造业研究所,http://www.nam.org/,,
2022-06-05,瑞士,自动化数控磨床,0.004,高,支持,瑞士机械工程协会,https://www.swissmem.ch/,,
2023-02-18,韩国,多功能数控加工中心,0.005,高,支持,韩国机械产业协同会,http://www.kosme.or.kr/,,
2022-10-25,意大利,高精密数控舌片机床,0.002,中,支持,意大利机床与工具制造协会,https://www.uci.it/,,
2023-12-07,加拿大,高级数控铣削机,0.006,中,支持,加拿大机械制造商协会,http://www.cme-mec.ca/,,
2022-04-22,新加坡,小型高效数控设备,0.003,低,不支持,新加坡先进制造技术协会,https://www.singaporemanufacturing.com/,,
2020-03-12,中国,高精度数控车床,5,中,支持,中国机械工业集团公司,https://www.sinomach.com,,
2021-05-08,日本,高性能数控铣床,0.1,高,支持,日本制造业协会,https://www.jma.or.jp,,
2019-11-20,德国,智能数控加工中心,10,高,支持,德国机械设备制造商协会,https://www.vdma.org,,
2022-04-15,美国,多功能数控激光切割机,0.5,高,支持,美国机械工程师协会,https://www.asme.org,,
2023-01-10,韩国,精密数控钻床,3,中,不支持,韩国机械制造协会,http://www.kmma.or.kr,,
2020-09-25,意大利,工业级数控磨床,15,高,支持,意大利机械工业联合会,https://www.ucimu.it,,
2024-02-02,瑞士,全自动数控工具磨削设备,0.2,中,支持,瑞士机床制造协会,https://www.swissmachinery.ch,,
2018-07-19,加拿大,高精度数控冲床,8,中,支持,加拿大制造业协会,https://www.cmc.ca,,
2021-12-05,印度,数控冲压机,5,高,不支持,印度机械工程师协会,https://www.imeindia.org,,
2023-04-11,巴西,经济型数控铣床,12,中,支持,巴西机械工程协会,https://www.abimaq.org.br,,
2023-08-01,中国,超精密数控车床,5,高,支持,国家制造业技术中心,https://www.nmct.cn,,
2020-06-15,日本,自动化数控铣床,10,中,支持,日本精密机械协会,https://www.jpma.or.jp,,
2023-10-10,德国,高效节能数控锯床,2,高,支持,德国机械工程协会,https://www.vdma.org,,
2019-03-22,美国,机器人集成加工中心,1,中,支持,美国机械行业协会,https://www.amtonline.org,,
2021-05-05,韩国,数控激光切割机,0.5,高,支持,韩国制造业协会,https://www.korcham.net,,
2022-11-30,中国,智能数控钻床,7,高,支持,中国机床工具工业协会,https://www.cmtba.org.cn,,
2022-04-18,印度,数控水刀切割机,3,中,支持,印度机械工具协会,https://www.imtma.in,,
2023-01-09,越南,高精度数控磨床,4,高,支持,越南机械与自动化工业协会,https://www.vimab.org.vn,,
2022-02-26,巴西,数控刨床,6,中,支持,巴西机械工程协会,https://www.abimaq.org.br,,
2020-12-15,意大利,数控立式加工中心,2,高,支持,意大利机械制造行业协会,https://www.umea.it,,
2022-05-10,德国,高智能化数控车床,0.5,高,支持,德国机械工程协会,https://www.vdma.org,,
2023-01-15,日本,高效率数控铣床,0.3,中,支持,日本精密机械协会,https://www.jisa.or.jp,,
2021-12-05,美国,数控电火花加工机,1.0,高,不支持,美国制造业协会,https://www.nam.org,,
2023-03-20,意大利,多功能数控加工中心,0.2,高,支持,意大利机械工业联合会,https://www.ucimu.it,,
2022-09-11,法国,高端数控激光切割机,0.1,高,支持,法国机器制造业协会,https://www.snia.fr,,
2023-07-22,韩国,智能制造数控复合机床,0.7,中,支持,韩国机电协会,https://imekorea.org,,
2020-10-30,瑞士,超精密数控磨床,0.05,高,支持,瑞士机械工程师协会,https://www.satw.ch,,
2023-04-17,新加坡,高性能数控冲压机,1.5,低,不支持,新加坡制造业理事会,https://www.smfederation.org.sg,,
2022-11-28,巴西,数控线切割机,1.2,中,支持,巴西机械协会,https://www.abimaq.org.br,,
2023-02-19,加拿大,数控五轴加工机,0.6,高,支持,加拿大制造业研究所,https://www.cimi.ca,,
2023-09-01,中国,智能化复合加工中心,50,中,支持,国际机床装备网,https://www.machine-tools.com.cn,,
2022-08-20,德国,高精度数控铣床,20,高,支持,德国机床制造协会,https://www.vdw.de,,
2021-06-10,日本,超精密切削机床,5,高,不支持,日本机械工业联合会,https://www.jmia.or.jp,,
2020-11-05,美国,高效五轴加工机,15,中,支持,美国制造业研究所,https://www.nam.org,,
2019-12-18,意大利,数控激光切割机,1,高,支持,意大利数控协会,https://www.aicq.org,,
2023-03-15,中国,多功能智能数控车床,2,低,支持,中国机床网,https://www.china-tool.com,,
2021-10-30,韩国,智能数控雕刻机,3,中,支持,韩国机械研究所,https://www.kmia.or.kr,,
2023-02-25,中国,高效率数控冲床,12,高,支持,中国工程机械市场,https://www.chinaengineer.com,,
2022-04-05,法国,数控冲压成型机,8,中,支持,法国机械协同组织,https://www.societe-machines.fr,,
2020-09-10,英国,高效加工中心,25,高,不支持,英国工程协会,https://www.engineeringuk.com,,
2021-05-20,中国,智能化高速数控铣床,0.5,高,支持,中国机械工业联合会,https://www.cmiit.gov.cn,,
2022-10-15,德国,光纤激光切割机,0.1,中,支持,德国机械工程协会,https://www.vdw.de,,
2023-02-28,美国,复合材料数控加工中心,0.3,高,支持,美国制造业协会,https://www.nam.org,,
2021-08-10,日本,超精密数控铣床,0.01,高,支持,日本机械制造业协会,https://www.jmtba.or.jp,,
2023-06-25,印度,数控车床,0.2,中,支持,印度机床制造商协会,https://www.imtma.in,,
2022-12-11,意大利,多功能数控磨床,0.4,中,支持,意大利机械制造商协会,https://www.ucimu.it,,
2020-09-05,韩国,高端模具数控加工中心,0.2,高,支持,韩国机械产业协会,https://www.kmeia.or.kr,,
2021-03-18,瑞士,精密数控车床,0.05,高,支持,瑞士机械制造协会,https://www.swissmem.ch,,
2022-11-30,法国,激光切割数控机床,0.3,低,支持,法国家具与机床制造协会,https://www.local.fr,,
2023-01-22,英国,高精度数控铣床,0.2,中,支持,英国工程技术协会,https://www.imeche.org,,
2021-05-10,中国,高精度数控切割机,0.5,高,支持,中国机械工业联合会,https://www.cmhi.org,,
2022-03-12,德国,数控激光切割机,1,中,不支持,德国机械制造商协会,https://www.vdma.org,,
2023-04-20,日本,数控铣床,0.3,高,支持,日本生产性效率协会,https://www.jipm.org,,
