机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
水刀切割机,0.025,±0.03 μm,Ra < 0.009 μm,中,3,信息产业部,https://www.miit.gov.cn,,
超精密车床,0.004,±0.002 μm,Ra < 0.005 μm,高,5,中国国防科技局,https://www.mod.gov.cn,,
超精密铣床,0.007,±0.008 μm,Ra < 0.015 μm,高,7,中国科学院,https://www.cas.cn,,
超精密放电加工机,0.002,±0.005 μm,Ra < 0.020 μm,高,4,中国机床工具工业协会,http://www.cmtia.org.cn,,
超精密激光加工机,0.003,±0.012 μm,Ra < 0.010 μm,中,6,国家科技部,http://www.most.gov.cn,,
超精密磨床,0.01,±0.02 μm,Ra < 0.018 μm,高,5,国家工程技术研究中心,http://www.nstc.gov.cn,,
超精密车床,0.008,±0.009 μm,Ra < 0.022 μm,中,5,上海市机械工业局,http://www.sjdb.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,高,3,广东省机械工程学会,http://www.gdmea.org,,
超精密光刻机,0.004,±0.003 μm,Ra < 0.008 μm,高,8,武汉光电国家研究中心,http://www.wuhanoptics.cn,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.007 μm,高,6,北京机械科学研究院,http://www.bjresearch.cn,,
超精密铣削中心,0.006,±0.015 μm,Ra < 0.014 μm,中,5,中国智能制造产业技术创新战略联合体,http://www.cimta.org.cn,,
超精密电火花机,0.005,±0.012 μm,Ra < 0.009 μm,中,4,河南省科技厅,http://www.hnkjt.gov.cn,,
超精密加工中心,0.008,±0.005 μm,Ra < 0.012 μm,高,7,中国机械科学研究院,https://www.camsri.com.cn,,
超精密铣床,0.005,±0.006 μm,Ra < 0.018 μm,中,4,机床工具行业协会,https://www.ctma.org.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.015 μm,高,5,国家科技部,https://www.most.gov.cn,,
激光加工作业机,0.007,±0.010 μm,Ra < 0.008 μm,高,6,全国激光应用技术评估委员会,https://www.clae.org.cn,,
超精密电火花机,0.006,±0.004 μm,Ra < 0.020 μm,中,5,中国电器工业协会,https://www.eia.org.cn,,
超精密转台,0.004,±0.003 μm,Ra < 0.010 μm,高,8,先进制造技术研究院,https://www.imti.org.cn,,
超精密拉丝机,0.02,±0.02 μm,Ra < 0.025 μm,中,3,中国特种设备检测认证中心,https://www.cab.gov.cn,,
超精密增材制造机,0.003,±0.002 μm,Ra < 0.005 μm,高,10,国家增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,,
超精密切削机,0.008,±0.007 μm,Ra < 0.003 μm,高,5,国际机床行业展览会,https://www.imts.com,,
超精密陶瓷加工机,0.009,±0.009 μm,Ra < 0.017 μm,中,4,陶瓷行业协会,https://www.ceramics.org.cn,,
超精密电火花机,0.005,±0.005 μm,Ra < 0.015 μm,高,6,中国科技部,https://www.most.gov.cn,,
超精密激光打标机,0.001,±0.01 μm,Ra < 0.008 μm,中,4,中国工业互联网研究院,https://www.ciiia.org,,
纳米精密铣床,0.003,±0.003 μm,Ra < 0.02 μm,高,8,中国国家标准委员会,https://www.sac.gov.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.01 μm,极高,7,中国半导体行业协会,https://www.csia.org.cn,,
超精密多轴加工中心,0.006,±0.007 μm,Ra < 0.018 μm,中,5,中国制造业表面处理协会,https://www.cmaia.org,,
超精密调制机,0.004,±0.006 μm,Ra < 0.012 μm,高,9,国家科技重大专项,https://www.most.gov.cn,,
超精密微米车床,0.007,±0.008 μm,Ra < 0.017 μm,高,6,中国质量技术监督局,https://www.cnca.gov.cn,,
超精密陶瓷加工机,0.005,±0.02 μm,Ra < 0.009 μm,中,4,中国科学院,https://www.cas.cn,,
超精密超导加工机,0.003,±0.004 μm,Ra < 0.02 μm,高,8,中国物理学会,https://www.cps.org.cn,,
超精密电加工机,0.002,±0.001 μm,Ra < 0.005 μm,极高,10,中国工程院,https://www.cae.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国机床工具协会,https://www.cmta.org.cn,,
超精密磨床,0.01,±0.01 μm,Ra < 0.02 μm,中,4,广东省质量监督局,https://www.gdqsb.gov.cn,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,7,北京机械研究所,https://www.bmri.ac.cn,,
超精密车床,0.003,±0.008 μm,Ra < 0.02 μm,高,5,中国科学院,https://www.cas.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.009 μm,中,4,福建省工业和信息化厅,https://www.fjiic.gov.cn,,
超精密铣床,0.009,±0.006 μm,Ra < 0.018 μm,高,6,江苏省科学技术厅,https://www.jstc.gov.cn,,
增材制造机床,0.012,±0.01 μm,Ra < 0.03 μm,中,4,中国增材制造技术创新战略联盟,https://www.camtic.org,,
超精密研磨机,0.005,±0.007 μm,Ra < 0.012 μm,高,5,浙江省机械行业协会,https://www.zjhj.org.cn,,
五轴加工中心,0.01,±0.015 μm,Ra < 0.022 μm,高,8,天津市机械工程学会,https://www.tjmec.org.cn,,
超精密激光切割机,0.008,±0.005 μm,Ra < 0.001 μm,高,9,国际先进制造技术协会,https://www.iamt.org,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,高,7,中国机床工具工业协会,https://www.cmti.org.cn,,
超精密电火花机,0.015,±0.02 μm,Ra < 0.02 μm,中,4,国家科技部,https://www.most.gov.cn,,
超精密激光焊接机,0.008,±0.012 μm,Ra < 0.010 μm,高,6,中国工业技术研发中心,https://www.citr.org.cn,,
超精密磨床,0.007,±0.01 μm,Ra < 0.022 μm,中,5,中国机械国际合作有限公司,https://www.cmichina.org,,
超精密超声波切割机,0.025,±0.018 μm,Ra < 0.030 μm,高,8,浙江省质量技术监督局,https://www.zjsta.gov.cn,,
超精密车床,0.005,±0.005 μm,Ra < 0.020 μm,高,5,广东省机械行业协会,https://www.gd-machinery.org,,
超精密铣削机,0.006,±0.007 μm,Ra < 0.014 μm,高,7,重庆市经济和信息化委员会,https://www.cqmi.gov.cn,,
超精密激光切割机,0.01,±0.015 μm,Ra < 0.008 μm,高,9,天津市科技委员会,https://www.tjkw.gov.cn,,
超精密三坐标测量机,0.005,±0.006 μm,Ra < 0.020 μm,中,4,北京市质量技术监督局,https://www.bjsta.gov.cn,,
超精密电铣床,0.005,±0.01 μm,Ra < 0.012 μm,高,6,中国质量认证中心,https://www.cqc.com.cn,,
超精密铣床,0.005,±0.008 μm,Ra < 0.018 μm,高,7,浙江省机械制造业协会,https://www.zjmi.gov.cn,,
超精密磨床,0.007,±0.015 μm,Ra < 0.02 μm,中,4,上海市质量技术监督局,https://www.sqts.gov.cn,,
激光切割机,0.01,±0.012 μm,Ra < 0.007 μm,极高,8,中国工程院,https://www.cae.cn,,
双面研磨机,0.006,±0.009 μm,Ra < 0.015 μm,中,5,广州机械设备制造协会,https://www.gzmea.org.cn,,
超精密车床,0.004,±0.005 μm,Ra < 0.012 μm,高,6,国家知识产权局,https://www.cnipa.gov.cn,,
水刀切割机,0.02,±0.02 μm,Ra < 0.009 μm,中,3,江西省工业和信息化厅,https://jxj.jiangxi.gov.cn,,
超精密铣床,0.001,±0.005 μm,Ra < 0.004 μm,高,9,科学技术部,https://www.most.gov.cn,,
精密激光打标机,0.002,±0.003 μm,Ra < 0.006 μm,高,7,河南省科技厅,https://www.hnkj.gov.cn,,
超精密抛光机,0.005,±0.007 μm,Ra < 0.001 μm,高,5,国家建设部,https://www.mohurd.gov.cn,,
超精密激光切割机,0.008,±0.004 μm,Ra < 0.002 μm,极高,10,工业和信息化部,https://www.miit.gov.cn,,
超精密电加工机,0.008,±0.005 μm,Ra < 0.02 μm,高,7,中国机械工程学会,https://www.cmes.org.cn,,
超精密激光成型机,0.005,±0.008 μm,Ra < 0.015 μm,中,4,中国电子技术标准化研究院,https://www.cesi.ac.cn,,
超精密磨床,0.012,±0.015 μm,Ra < 0.018 μm,中,3,上海市科学技术委员会,https://stc.sh.gov.cn,,
超精密线切割机,0.015,±0.020 μm,Ra < 0.012 μm,高,5,国家科技部,https://www.most.gov.cn,,
纳米精度铣床,0.007,±0.009 μm,Ra < 0.022 μm,中,4.5,中国先进制造技术研究院,https://www.camt.org.cn,,
超精密车床,0.003,±0.007 μm,Ra < 0.01 μm,高,8,国家经济和信息化委员会,https://www.miit.gov.cn,,
超精密组合机床,0.006,±0.011 μm,Ra < 0.017 μm,中,5,中国机械设备集团公司,http://www.cmegc.com,,
精密激光系统,0.004,±0.005 μm,Ra < 0.009 μm,高,6,市工业和信息化局,https://www.miit.gov.cn,,
超精密超声机床,0.009,±0.012 μm,Ra < 0.014 μm,中,4,广东省科技厅,http://www.gdstc.gov.cn,,
超精密纳米机床,0.002,±0.005 μm,Ra < 0.003 μm,高,9,国务院发展研究中心,https://www.drc.gov.cn,,
超精密电火花机,0.002,±0.005 μm,Ra < 0.015 μm,中,4,中国机床工具工业协会,https://www.china-mould.com,,
纳米磨床,0.003,±0.008 μm,Ra < 0.012 μm,高,6,先进制造技术研究院,https://www.amti.org.cn,,
超精密激光焊接机,0.005,±0.01 μm,Ra < 0.03 μm,高,5,科技部,https://www.most.gov.cn,,
超高精度光刻机,0.001,±0.003 μm,Ra < 0.004 μm,高,7,国家半导体产业发展领导小组,https://www.miit.gov.cn,,
超精密激光切割机,0.005,±0.01 μm,Ra < 0.005 μm,高,8,深圳市先进制造业协会,https://www.szzjcy.gov.cn,,
精密电加工机,0.001,±0.005 μm,Ra < 0.008 μm,中,4,国家智能制造标准化委员会,https://www.sac.gov.cn,,
超精密切削机床,0.002,±0.01 μm,Ra < 0.007 μm,中,5,中国制造业协会,https://www.cmia.org.cn,,
超精密卧式铣床,0.004,±0.008 μm,Ra < 0.02 μm,高,6,国家科技创新局,https://www.most.gov.cn,,
纳米铣床,0.001,±0.002 μm,Ra < 0.003 μm,高,6,中国科学技术协会,https://www.cast.org.cn,,
超精密铣车复合机床,0.003,±0.005 μm,Ra < 0.006 μm,高,7,国家发改委,https://www.ndrc.gov.cn,,
超精密电火花机,0.008,±0.005 μm,Ra < 0.015 μm,高,4,中国科学技术协会,https://www.cast.org.cn,,
超精密钻床,0.005,±0.004 μm,Ra < 0.020 μm,中,4.5,全国机械工具行业协会,https://www.chinatool.org.cn,,
超精密激光焊接机,0.007,±0.008 μm,Ra < 0.01 μm,高,5.5,中国光学学会,https://www.chinesoptics.org,,
超精密刨床,0.009,±0.006 μm,Ra < 0.018 μm,中,3.5,中国机床工具行业协会,https://www.cmtia.org,,
超精密抛光机,0.004,±0.003 μm,Ra < 0.012 μm,高,6,国际机床协会,https://www.imt.org,,
超精密切削机,0.002,±0.002 μm,Ra < 0.005 μm,高,7,工信部电子信息司,https://www.miit.gov.cn,,
超精密超声加工机,0.006,±0.007 μm,Ra < 0.025 μm,中,3,国家信息中心,https://www.sic.gov.cn,,
超精密综合加工中心,0.003,±0.005 μm,Ra < 0.018 μm,高,5.2,国家军工局,https://www.miit.gov.cn,,
超精密铸造机,0.01,±0.01 μm,Ra < 0.02 μm,中,4.7,中国铸造协会,https://www.casting.org.cn,,
超精密成型机,0.005,±0.004 μm,Ra < 0.007 μm,中,3.8,中国报关协会,https://www.chinabusiness.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,7,国际精密工程学会,https://www.ispe.org,,
超精密磨床,0.01,±0.012 μm,Ra < 0.015 μm,中,4,上海机械研究所,http://www.siem.net,,
激光切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,8,广东省工业技术研究院,http://www.gd-iri.com,,
水刀切割机,0.02,±0.045 μm,Ra < 0.007 μm,中,3,中国机械工程学会,https://www.cmes.org,,
超精密车床,0.005,±0.005 μm,Ra < 0.030 μm,高,6,天津市机械局,http://www.tjmachinery.gov.cn,,
数控磨床,0.012,±0.020 μm,Ra < 0.018 μm,中,5,全国标准化技术委员会,http://www.sac.gov.cn,,
超精密铣床,0.006,±0.007 μm,Ra < 0.010 μm,高,9,中国机床工具工业协会,https://www.cmtia.org.cn,,
电子束刻蚀机,0.001,±0.005 μm,Ra < 0.004 μm,高,10,中国科学院微电子研究所,http://www.micronano.ac.cn,,
超精密激光打标机,0.005,±0.012 μm,Ra < 0.003 μm,高,7,国家工业信息化部,http://www.miit.gov.cn,,
精密自动化组装机,0.005,±0.015 μm,Ra < 0.012 μm,中,4,中国产业链发展研究中心,http://www.idrc.org.cn,,
超精密铣床,0.008,±0.008 μm,Ra < 0.018 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.015 μm,中,4.5,中机联,http://www.cmia.org.cn,,
激光切割机,0.007,±0.013 μm,Ra < 0.006 μm,高,7,国家工业和信息化部,http://www.miit.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,2.5,中国工程院,http://www.cae.cn,,
超精密车床,0.004,±0.009 μm,Ra < 0.028 μm,高,5.8,中国机械工程学会,http://www.cmes.org,,
超精密铣床,0.006,±0.011 μm,Ra < 0.020 μm,高,5.5,机械行业信息网,http://www.mhc.org.cn,,
超精密磨床,0.003,±0.005 μm,Ra < 0.004 μm,中,3.2,国家标准化管理委员会,https://www.sac.gov.cn,,
激光切割机,0.009,±0.014 μm,Ra < 0.007 μm,高,6.5,工业和信息化部,https://www.miit.gov.cn,,
水刀切割机,0.014,±0.028 μm,Ra < 0.009 μm,中,3.8,中国机械工业联合会,https://www.cmia.org.cn,,
超精密车床,0.002,±0.007 μm,Ra < 0.022 μm,高,6,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.02 μm,中,4,中国汽车工程学会,https://www.sae-china.org,,
超精密车床,0.004,±0.008 μm,Ra < 0.03 μm,高,5,电子科技大学,https://www.esu.edu.cn,,
激光切割机,0.01,±0.01 μm,Ra < 0.005 μm,高,7,中联重科,https://www.zoomlion.com,,
水刀切割机,0.015,±0.02 μm,Ra < 0.01 μm,中,3,中国航天科技集团,https://www.casic.cn,,
超精密铣床,0.006,±0.007 μm,Ra < 0.02 μm,高,5,国家能源局,https://www.nea.gov.cn,,
超精密磨床,0.007,±0.015 μm,Ra < 0.018 μm,中,4,北京机电研究所,https://www.biemi.com.cn,,
激光切割机,0.01,±0.012 μm,Ra < 0.006 μm,高,8,上海市机械工程学会,https://www.sme-sh.org,,
超精密车床,0.002,±0.005 μm,Ra < 0.01 μm,高,6,浙江大学,https://www.zju.edu.cn,,
水刀切割机,0.018,±0.025 μm,Ra < 0.009 μm,低,2,宁波杭州湾新区开发投资有限公司,https://www.nbhw.com,,
超精密铣床,0.009,±0.005 μm,Ra < 0.015 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.008,±0.01 μm,Ra < 0.018 μm,中,4,中国机械工程学会,https://www.cmes.org,,
激光切割机,0.007,±0.012 μm,Ra < 0.002 μm,高,7,全球激光技术协会,https://www.laserglobal.com,,
水刀切割机,0.03,±0.04 μm,Ra < 0.009 μm,中,2,中国水切割技术协会,https://www.waterrjet.org,,
超精密车床,0.004,±0.008 μm,Ra < 0.04 μm,高,5,中国金属加工协会,https://www.cmta.org.cn,,
超精密铣床,0.01,±0.008 μm,Ra < 0.022 μm,高,6,国际机械工程师学会,https://www.imeche.org,,
超精密磨床,0.012,±0.015 μm,Ra < 0.020 μm,中,3,机械工程资讯网,https://www.machineryinfo.com,,
激光切割机,0.006,±0.009 μm,Ra < 0.003 μm,高,7,中国激光加工网,https://www.chinalaser.org,,
水刀切割机,0.025,±0.05 μm,Ra < 0.012 μm,中,2,中国高科技产业协会,https://www.chinatech.org,,
超精密车床,0.002,±0.007 μm,Ra < 0.035 μm,高,6,机械制造创新成果展示平台,https://www.innovationmachinery.com,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,中国机械工程学会,https://www.cmes.org.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.020 μm,中,3,国家工业和信息化部,https://www.miit.gov.cn,,
多功能超精密机床,0.005,±0.01 μm,Ra < 0.018 μm,高,6,中国科学院,https://www.cas.cn,,
超精密车床,0.002,±0.008 μm,Ra < 0.007 μm,高,8,国家发改委,https://www.ndrc.gov.cn,,
超精密激光切割机,0.003,±0.01 μm,Ra < 0.003 μm,高,5,中国轻工机械协会,https://www.clmea.org.cn,,
超精密水刀切割机,0.004,±0.02 μm,Ra < 0.006 μm,中,4,国家科技部,https://www.most.gov.cn,,
超精密电火花机床,0.006,±0.015 μm,Ra < 0.009 μm,中,3,中国机床工具工业协会,https://www.cmtii.org.cn,,
超精密纳米加工机床,0.001,±0.005 μm,Ra < 0.002 μm,高,9,国家自然科学基金,https://www.nsfc.gov.cn,,
超精密铣削加工机,0.008,±0.007 μm,Ra < 0.012 μm,中,4,中国进出口银行,https://www.cebbank.com,,
超精密钻床,0.009,±0.008 μm,Ra < 0.008 μm,高,6,中国汽车工业协会,https://www.caam.org.cn,,
超精密铣床,0.008,±0.008 μm,Ra < 0.015 μm,高,6,中国科学院,https://www.cas.cn,,
超精密磨床,0.006,±0.012 μm,Ra < 0.020 μm,中,4,中国机械工业教育协会,http://www.cmiea.org.cn,,
激光切割机,0.01,±0.018 μm,Ra < 0.007 μm,高,5,全国工业与信息化统计机构,https://www.miit.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.010 μm,中,3,中国机电产品进出口商会,http://www.cccm.com.cn,,
超精密车床,0.004,±0.005 μm,Ra < 0.002 μm,高,7,国家技术监督局,http://www.sac.gov.cn,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,高,5,中国机械工程学会,http://www.cmes.org.cn,,
激光切割机,0.007,±0.012 μm,Ra < 0.006 μm,高,6,国家工业信息安全发展研究中心,http://www.ciisc.cn,,
水刀切割机,0.02,±0.035 μm,Ra < 0.008 μm,中,4,国际机床工具协会,http://www.ima.de,,
超精密磨床,0.008,±0.014 μm,Ra < 0.003 μm,高,5,中国机械工业发展中心,http://www.cmeic.com,,
超精密车床,0.002,±0.002 μm,Ra < 0.001 μm,极高,8,国际精密加工技术协会,http://www.ippmt.org,,
超精密加工中心,0.008,±0.005 μm,Ra < 0.012 μm,高,7,中国科学院,https://www.cas.cn,,
超精密激光雕刻机,0.009,±0.012 μm,Ra < 0.008 μm,中,4,机械工业出版社,https://www.mep.gov.cn,,
超精密电火花机,0.007,±0.006 μm,Ra < 0.015 μm,高,6,工程技术研究中心,https://www.cerc.org.cn,,
超精密锯床,0.006,±0.02 μm,Ra < 0.03 μm,中,3,电子工业出版社,https://www.eepw.com.cn,,
超精密切割机,0.005,±0.004 μm,Ra < 0.02 μm,高,8,国家科技部,https://www.most.gov.cn,,
超精密针床,0.003,±0.007 μm,Ra < 0.018 μm,低,2,中国机械工程学会,https://www.cmes.org.cn,,
超精密数控车床,0.004,±0.009 μm,Ra < 0.016 μm,中,5,国家信息中心,https://wwwnic.gov.cn,,
超精密卧式磨床,0.006,±0.015 μm,Ra < 0.022 μm,高,7,国家机械设备监管局,https://www.secm.gov.cn,,
超精密立式铣床,0.005,±0.008 μm,Ra < 0.01 μm,高,6,中国数控技术协会,https://www.cncabc.org.cn,,
超精密磨光机,0.007,±0.005 μm,Ra < 0.004 μm,中,4,全国工业和信息化工作协调委员会,https://www.nic.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,国际精密机械协会,https://www.ipma.org,,
超精密磨床,0.009,±0.007 μm,Ra < 0.02 μm,中,4,欧洲机械制造协会,https://www.emma.eu,,
激光切割机,0.012,±0.012 μm,Ra < 0.008 μm,中,5,亚太经济委员会,https://www.apec.org,,
水刀切割机,0.01,±0.02 μm,Ra < 0.01 μm,高,5,中国机床工具工业协会,https://www.cttia.org,,
超精密车床,0.005,±0.01 μm,Ra < 0.03 μm,高,5,全球机械工程联合会,https://www.wmef.org,,
超精密铣床,0.007,±0.003 μm,Ra < 0.012 μm,高,7,全球制造行业协会,https://www.globalmanufacturing.org,,
超精密磨床,0.006,±0.004 μm,Ra < 0.015 μm,中,4,机械工程学会,https://www.asme.org,,
激光切割机,0.011,±0.008 μm,Ra < 0.009 μm,高,5,中国激光行业协会,https://www.clia.org.cn,,
水刀切割机,0.015,±0.01 μm,Ra < 0.007 μm,高,6,水工业研究所,https://www.waterindustry.org,,
超精密车床,0.004,±0.005 μm,Ra < 0.02 μm,高,8,国家机器人标准化技术委员会,https://www.nbsa.org,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,中国科学院,https://www.cas.cn,,
超精密车床,0.002,±0.008 μm,Ra < 0.02 μm,高,6,机械科学研究院,http://www.imeri.com.cn,,
超精密磨床,0.009,±0.02 μm,Ra < 0.01 μm,中,4,天津市工业和信息化局,http://guojitijian.tianjin.gov.cn,,
激光切割机,0.003,±0.01 μm,Ra < 0.008 μm,高,8,中国激光加工网,https://www.clcw.com.cn,,
水刀切割机,0.015,±0.04 μm,Ra < 0.03 μm,中,5,中国机床工具工业协会,http://www.cmmtc.com,,
超精密铣床,0.004,±0.006 μm,Ra < 0.012 μm,高,9,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密激光雕刻机,0.007,±0.005 μm,Ra < 0.009 μm,高,10,中国制造业协会,http://www.cmf.com.cn,,
超精密车床,0.001,±0.007 μm,Ra < 0.005 μm,高,5,山东省机械工业协会,http://www.sdmia.org,,
超精密阳模机,0.006,±0.009 μm,Ra < 0.018 μm,中,4,广州市经济和信息化局,http://www.gz.gov.cn,,
精密电火花机,0.0025,±0.003 μm,Ra < 0.007 μm,高,6,国家电气产品质量监督检测中心,http://www.cqc.com.cn,,
超精密铣床,0.008,±0.02,Ra < 0.022,高,6,中国航空工业集团,https://www.avic.com,,
超精密磨床,0.007,±0.015,Ra < 0.018,中,4.5,全国机械信息中心,https://www.cmii.org.cn,,
激光切割机,0.01,±0.018,Ra < 0.006,高,7,中国科学技术部,https://www.most.gov.cn,,
水刀切割机,0.03,±0.025,Ra < 0.012,中,3.5,中国机械设备工程股份有限公司,http://www.ceec.net.cn,,
超精密车床,0.005,±0.005,Ra < 0.02,高,5.5,中国智能制造科技创新战略联盟,http://www.aimt.org.cn,,
超精密磨床,0.009,±0.02,Ra < 0.02,中,5,行业协会科技发展部,http://www.techassociation.org,,
激光切割机,0.012,±0.02,Ra < 0.003,高,6.5,国家技术标准研究院,http://www.nisl.org.cn,,
水刀切割机,0.025,±0.01,Ra < 0.015,中,4,机器人工程技术中心,http://www.robotics.org.cn,,
超精密铣床,0.006,±0.012,Ra < 0.02,高,5.2,中国科学院,http://www.cas.cn,,
超精密车床,0.003,±0.007,Ra < 0.001,高,8,智能制造研究院,http://www.aim.org.cn,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,中,4,中国科学院,https://www.cas.cn,,
超精密光刻机,0.003,±0.002 μm,Ra < 0.01 μm,高,6,科技部,https://www.most.gov.cn,,
超精密车床,0.002,±0.015 μm,Ra < 0.02 μm,高,5,广东省机械工业协会,http://www.gdmi.gov.cn,,
超精密磨床,0.007,±0.008 μm,Ra < 0.018 μm,中,4.5,江苏省政府,http://www.jiangsu.gov.cn,,
超精密激光切割机,0.001,±0.01 μm,Ra < 0.007 μm,高,7,国家科技创新2030重大项目,https://www.most.gov.cn,,
超精密水刀切割机,0.02,±0.025 μm,Ra < 0.02 μm,中,3,中国机械工程学会,http://www.cmes.org,,
超精密电子束曝光机,0.0015,±0.005 μm,Ra < 0.008 μm,高,5.5,半导体行业协会,http://www.siaonline.org,,
超精密冲床,0.008,±0.015 μm,Ra < 0.015 μm,高,4.2,国家制造业转型升级促进中心,https://www.miit.gov.cn,,
超精密珩磨机,0.006,±0.010 μm,Ra < 0.022 μm,中,3.5,中国国际机械展览会,http://www.cimefair.com,,
超精密喷墨打印机,0.004,±0.012 μm,Ra < 0.006 μm,高,6,中国印刷及设备器材工业协会,http://www.cpiia.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,中国科学院,https://www.cas.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,6,中国机械工程学会,https://www.cmes.org,,
激光切割机,0.007,±0.004 μm,Ra < 0.003 μm,高,8,国家新技术产业化研究基地,https://www.nst.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.007 μm,中,4,中国国家标准化管理委员会,https://www.sac.gov.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.02 μm,高,5,杭州市经济和信息化局,https://www.hangzhou.gov.cn,,
数控铣床,0.01,±0.015 μm,Ra < 0.009 μm,高,6,中国工业和信息化部,https://www.miit.gov.cn,,
钻孔机,0.018,±0.020 μm,Ra < 0.01 μm,中,5,天津市科学技术局,https://www.tj.gov.cn,,
超精密激光刻蚀机,0.005,±0.007 μm,Ra < 0.002 μm,高,9,深圳市光明区科技局,https://www.szgm.gov.cn,,
超精密电火花机,0.006,±0.003 μm,Ra < 0.004 μm,高,5,国家电力公司,https://www.sgcc.com.cn,,
超精密激光焊接机,0.002,±0.002 μm,Ra < 0.001 μm,中,8,国家科技部,https://www.most.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国航空工业集团,https://www.avic.com,,
超精密磨床,0.012,±0.015 μm,Ra < 0.018 μm,中,4,湖南省机械工业协会,http://www.hnmech.org,,
激光切割机,0.009,±0.012 μm,Ra < 0.004 μm,高,7,国家科技发展局,http://www.nst.gov.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.006 μm,中,3,河北省机械制造协会,http://www.hbmm.org,,
超精密车床,0.007,±0.01 μm,Ra < 0.02 μm,高,5,深圳市工业和信息化局,http://www.szgm.gov.cn,,
超精密铣床,0.006,±0.007 μm,Ra < 0.012 μm,高,8,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密磨床,0.01,±0.02 μm,Ra < 0.022 μm,中,4.5,上海机械工业联合会,http://www.shmia.org,,
激光切割机,0.005,±0.009 μm,Ra < 0.003 μm,高,7.5,国家能源局,http://www.nea.gov.cn,,
水刀切割机,0.02,±0.035 μm,Ra < 0.009 μm,中,2,江苏省经济和信息化委员会,http://www.jiangsugov.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.01 μm,高,5.5,中国创新设计产业促进会,http://www.cidi.org.cn,,
超精密铣床,0.005,±0.008,Ra < 0.015,高,7,中国机械行业协会,https://www.cmia.org.cn,,
超精密电火花加工机,0.02,±0.02,Ra < 0.03,中,4,国家能源局,https://www.nea.gov.cn,,
超精密光刻机,0.003,±0.005,Ra < 0.01,高,8,中国半导体产业协会,https://www.china-semi.org,,
超精密激光加工机,0.001,±0.004,Ra < 0.008,高,9,国家科技部,https://www.most.gov.cn,,
超精密磨床,0.008,±0.015,Ra < 0.02,中,5,中国机械设备制造业协会,https://www.cmema.org.cn,,
超精密切割机,0.006,±0.012,Ra < 0.009,高,6,中国自动化学会,https://www.caa.org.cn,,
超精密冲压机,0.02,±0.02,Ra < 0.025,中,4,中国制造业联合会,https://www.cmmi.org.cn,,
超精密车床,0.005,±0.007,Ra < 0.02,高,5,中国科技部,https://www.most.gov.cn,,
超精密激光铣床,0.003,±0.009,Ra < 0.006,高,7,中国光电协会,https://www.cpoa.org.cn,,
超精密超声加工机,0.02,±0.03,Ra < 0.022,中,3,国家质量监督局,https://www.aqsiq.gov.cn,,
超精密铣床,0.007 nm,±0.012 μm,Ra < 0.02 μm,高,5.5,国际精密机床协会,https://www.ippma.org,,
微米级车床,0.008 nm,±0.008 μm,Ra < 0.015 μm,中,4.8,中国机械工程学会,https://www.cmes.org,,
