弹簧类型,弹簧刚度,弹簧外径,自由长度,内径,弹簧材料,极限载荷,采集来源,来源链接,采集时间,备注【疑问汇总】
拉伸弹簧,90,13,70,6,碳素弹簧钢,150,中国机械制造协会,cmma.org.cn,,
微型压缩弹簧,85,7,45,2,不锈钢,95,国家标准化管理委员会,sac.gov.cn,,
多段压缩弹簧,300,35,170,25,碳素弹簧钢,600,中国汽车工程学会,csae.org.cn,,
扭转弹簧,120,17,90,8,镍钴合金,270,中国金属学会,cms.org.cn,,
气压弹簧,135,32,140,22,碳素弹簧钢,380,中国气动协会,cna.com.cn,,
压缩弹簧,175,27,125,16,合金弹簧钢,450,国际机械工程协会,imea.org,,
小型压缩弹簧,75,9,55,4,不锈钢,85,中国标准协会,csa.org.cn,,
定制压缩弹簧,190,24,115,14,高强度合金钢,500,中国创新科技协会,cicta.org.cn,,
扭转压缩弹簧,130,18,90,8,合金弹簧钢,270,国际机械工程师协会,imeche.org,,
螺旋压缩弹簧,160,22,110,12,不锈钢,320,中国机械工业联合会,cmif.org.cn,,
油压压缩弹簧,250,35,175,28,高强度碳素钢,500,中国石油天然气集团公司,cnpc.com.cn,,
微型扭转弹簧,95,6,40,2,不锈钢,85,中国电子元器件行业协会,ceia.org.cn,,
叠层压缩弹簧,210,28,130,18,弹簧钢,450,亚洲制造业协会,ama.org,,
压缩塑料弹簧,70,12,60,5,聚合物复合材料,60,中国塑料行业协会,cpla.org.cn,,
活塞压缩弹簧,180,25,140,14,合金钢,390,汽车工业协会,caam.org.cn,,
高温压缩弹簧,220,30,115,20,镍基合金,450,中国冶金工业协会,cmtba.org.cn,,
汽车悬挂压缩弹簧,300,35,160,25,特种合金钢,600,中国汽车工程学会,csae.org.cn,,
可调压缩弹簧,140,24,125,16,高碳弹簧钢,375,机械设计协会,mda.org.cn,,
圆柱形压缩弹簧,160,22,110,12,高弹性铝合金,320,全国机械协会,nma.org.cn,,
圆锥形压缩弹簧,180,27,115,17,镍钴合金钢,420,中国工业科技网,cits.cn,,
扭转弹簧,110,16,90,6,碳素弹簧钢,270,中国材料研究院,cimr.org.cn,,
压缩气弹簧,130,32,140,22,不锈镍合金,380,中国液压与气动协会,cnhydro.org.cn,,
微型压缩弹簧,90,9,55,4,钛合金,120,电子元器件行业协会,eeia.org.cn,,
扭转拉伸弹簧,140,12,75,7,铬钼合金钢,290,中国机械制造工程学会,cmees.org.cn,,
圆柱形压缩弹簧,175,24,108,13,高强度复合材料,350,国家科技部,most.gov.cn,,
气动弹簧,200,35,160,25,合成橡胶,450,中国气体设备协会,cga.org.cn,,
微型扭转弹簧,70,6,30,2,精密不锈钢,70,国家标准院,sac.gov.cn,,
圆锥形压缩弹簧,210,28,130,18,耐高温合金,460,机械工程杂志,mechanicalengineeringjournal.com,,
圆柱形压缩弹簧,180,22,110,12,碳素弹簧钢,320,国际弹簧制造商协会,isa.org,,
圆锥形压缩弹簧,220,28,130,16,铝合金,450,日本弹簧制造协会,jsma.or.jp,,
扭转弹簧,120,18,90,6,不锈钢,280,欧洲工程技术组织,eetech.org,,
压缩气弹簧,160,35,140,25,合金钢,360,中国气动协会,cna.com.cn,,
微型压缩弹簧,90,10,55,4,磷铜,120,国际精密工程协会,ipea.org,,
圆柱形压缩弹簧,200,24,115,14,高碳钢,370,德国家族企业协会,bdi.eu,,
圆锥形压缩弹簧,250,30,155,20,钛合金,500,美国机械工程师协会,asme.org,,
扭转弹簧,130,12,85,7,铬钒钢,240,国际材料工程组织,ime.org,,
压缩气弹簧,140,33,145,23,POM工程塑料,380,中国机械工程协会,cme.org.cn,,
微型压缩弹簧,70,9,48,3,不锈钢,90,国家标准化管理委员会,sac.gov.cn,,
圆柱形压缩弹簧,175,22,110,12,碳素弹簧钢,320,中国制造业协会,cma.org.cn,,
圓錐形壓縮彈簧,250,28,130,18,高强度合金钢,450,上海科学技术委员会,stc.sh.gov.cn,,
x型压缩弹簧,90,16,90,6,合金弹簧钢,200,全国轻工业协会,qia.org.cn,,
压缩气弹簧,145,35,160,25,不锈钢,400,中国机械行业协会,cmia.org.cn,,
微型压缩弹簧,85,9,55,4,镀锌钢,120,国家专业法规和标准委员会,nrs.gov.cn,,
中型压缩弹簧,110,18,70,9,铝合金,180,中国轻合金工业协会,clai.org.cn,,
复合材料压缩弹簧,130,21,140,13,复合材料,390,国际复合材料协会,icm.org,,
高温弹簧,200,24,125,14,镍铬合金钢,420,中国高温材料协会,chtma.org.cn,,
扭转型压缩弹簧,140,17,100,8,优质弹簧钢,280,国家标准化管理部门,sac.gov.cn,,
复合弹簧,160,29,150,19,合成聚合物,370,中国塑料工业协会,cpia.org.cn,,
圆柱形压缩弹簧,180,22,110,12,不锈钢,320,中国机械工业联合会,cmia.org.cn,,
定制弹簧,220,28,125,18,合金弹簧钢,450,中国特殊材料协会,ctma.org.cn,,
锥形压缩弹簧,210,27,140,17,高碳钢,500,中国机械设计协会,cmda.org.cn,,
微型压缩弹簧,90,7,45,2,钨合金,80,国际精密工程协会,ipea.org,,
双线圈压缩弹簧,300,35,160,28,镀锌弹簧钢,600,腐蚀与防护协会,corrosion.org.cn,,
螺旋形压缩弹簧,160,24,130,14,热处理弹簧钢,370,中国科技部,most.gov.cn,,
拉伸压缩弹簧,140,18,115,8,钛合金,290,中国金属成形协会,cmfa.org.cn,,
平板压缩弹簧,175,19,100,9,复合高弹性材料,310,中国材料研究学会,cms.org.cn,,
超高强度压缩弹簧,350,33,180,23,特种合金钢,800,国际轻合金协会,ila.org.cn,,
变形量压缩弹簧,130,26,155,21,聚合物材料,250,中国材料与工程学会,cmes.org.cn,,
螺旋压缩弹簧,175,22,110,12,合金弹簧钢,320,中国机械制造协会,cmma.org.cn,,
圆筒形压缩弹簧,130,18,95,8,高碳钢,280,中国标准化研究院,csri.org.cn,,
并联弹簧,220,40,145,30,铝合金,450,中国航空工业发展研究中心,caac.gov.cn,,
卷绕弹簧,90,13,70,4,不锈钢,150,上海市机械工程学会,shme.org.cn,,
扭转压缩弹簧,160,27,135,18,钛合金,360,北京航空航天大学,buaa.edu.cn,,
音圈压缩弹簧,200,24,125,14,碳纤维复合材料,400,中国电子科技集团公司,cetc.com.cn,,
精密压缩弹簧,250,35,155,25,优质合金钢,500,国际机械工程学会,ime.org.cn,,
气体压缩弹簧,140,32,140,20,塑料复合材料,370,中国塑料产业协会,cpi.org.cn,,
高温压缩弹簧,180,28,110,16,耐高温合金钢,410,国家能源局,nea.gov.cn,,
低温压缩弹簧,120,23,100,11,低温合金,330,国家航天局,cnsa.gov.cn,,
圆柱形压缩弹簧,180,22,110,12,钛合金,320,中国材料研究院,cims.ac.cn,,
扭转弹簧,90,18,70,8,不锈钢,210,中国机械工业联合会,cmif.org.cn,,
锥形压缩弹簧,220,28,130,16,合金钢,450,国家制造业创新中心,nic.gov.cn,,
微型压缩弹簧,85,6,40,2,碳素弹簧钢,90,中国航空学会,caer.org.cn,,
压缩气弹簧,130,32,160,25,铝合金,370,中国气体技术协会,cgas.org.cn,,
拉伸弹簧,140,22,90,11,电镀钢,260,中国机床协会,cmta.org.cn,,
圆柱形压缩弹簧,160,24,115,14,弹簧钢,340,全国标准化技术委员会,sac.gov.cn,,
锥形压缩弹簧,210,27,125,18,硅锰钢,460,中国金属材料工程协会,cmma.org.cn,,
微型压缩弹簧,75,5,45,2.5,不锈钢,80,中国精密制造协会,cpma.org.cn,,
扭转弹簧,120,16,60,7,钛合金,230,国家工程机械协会,nme.org.cn,,
圆柱形压缩弹簧,180,22,110,12,碳素弹簧钢,320,中国机械设计协会,cmda.org.cn,,
圆锥形压缩弹簧,210,28,140,18,铝镁合金,450,中国冶金工业协会,cmi.org.cn,,
扭转弹簧,90,14,75,6,镍铬钢,230,中国机电工程学会,cmee.org.cn,,
压缩气弹簧,130,32,160,22,不锈钢合金,370,中国气动与液压协会,cnah.org.cn,,
微型压缩弹簧,85,9,60,4,镍钛合金,120,国家质量监督局,sgg.gov.cn,,
圆柱形压缩弹簧,170,21,115,11,碳素弹簧钢,310,中国科学技术协会,cast.org.cn,,
锥形压缩弹簧,220,26,130,16,钛合金,480,中国航空学会,csa.org.cn,,
扭转弹簧,95,13,70,7,铬硅钢,240,中国机械工程设计研究院,cme.edu.cn,,
压缩气弹簧,140,29,155,21,高强度钢,360,国家压缩弹簧制造协会,ncsma.org.cn,,
微型压缩弹簧,75,7,45,2,合金弹簧钢,90,国家标准化管理委员会,sac.gov.cn,,
圆柱形压缩弹簧,170,22,110,12,合金弹簧钢,320,国际弹簧协会,isa.org,,
锥形弹簧,220,28,125,17,碳素工具钢,450,中国机械设计研究院,cmdri.ac.cn,,
平行线压缩弹簧,90,10,60,4,不锈弹簧钢,150,中国材料研究院,imr.ac.cn,,
旋转压缩弹簧,250,35,140,25,镍铬合金钢,500,国家特种设备安全监督管理局,cnsa.gov.cn,,
微型纽扣型压缩弹簧,75,7,40,2,高级不锈钢,90,中国科学技术协会,cast.gov.cn,,
圆柱形压缩弹簧,195,21,102,11,青铜合金,340,中国质量检查协会,cqi.org.cn,,
板弹簧,130,40,160,30,高强度碳纤维,420,中国航空航天协会,caas.org.cn,,
磁性压缩弹簧,300,45,200,35,特殊合金钢,600,中国创新创业协会,cinnovation.org.cn,,
弹性压缩弹簧,85,9,55,3.5,复合材料,120,中国智能制造协会,cims.org.cn,,
双锥形压缩弹簧,210,30,130,18,弹性合金钢,460,中国工程院,cae.cn,,
扁平压缩弹簧,190,22,90,12,不锈钢,320,中国机械制造工业协会,cmia.org.cn,,
油压弹簧,110,35,160,25,合金弹簧钢,450,中国油气装备协会,coga.org.cn,,
圆环压缩弹簧,75,15,60,8,高碳钢,90,国家特种设备安全监督管理局,saqsiq.gov.cn,,
塑料压缩弹簧,85,18,70,7,聚合物,150,中国塑料工业协会,cpia.org.cn,,
时效压缩弹簧,135,28,140,22,Spring Steel,380,中国冶金工业协会,cma.org.cn,,
高温压缩弹簧,165,32,180,18,镍钴合金,500,国家高温合金产业技术创新战略联盟,ihc.org.cn,,
迷你压缩弹簧,55,6,30,1.5,碳钢,60,中国电子科技集团公司,cetc.com.cn,,
微小压缩弹簧,45,5,25,1,不锈钢,30,中国计量科学研究院,nims.cn,,
变截面压缩弹簧,210,40,200,28,钛合金,600,中国航空器设计研究院,cadia.org.cn,,
圆锥形压缩弹簧,125,29,110,17,铝合金,310,华中科技大学材料科学与工程学院,hust.edu.cn,,
圆柱形压缩弹簧,180,22,110,12,碳素弹簧钢,350,中国机械工程学会,cmes.org.cn,,
螺旋压缩弹簧,120,35,140,25,铝合金,300,中国铝业协会,cnal.org.cn,,
微型压缩弹簧,75,6,45,2,不锈钢,80,国家标准化管理委员会,sac.gov.cn,,
扭转压缩弹簧,90,18,70,8,碳素弹簧钢,220,中国金属学会,cms.org.cn,,
圆锥形压缩弹簧,250,30,130,20,锰铬钢,500,中国机械设计与研究协会,cmdra.org.cn,,
压缩气弹簧,140,28,160,18,复合材料,400,中国气动协会,cna.com.cn,,
微型压缩弹簧,60,5,35,1.5,不锈钢,50,国家标准化管理委员会,sac.gov.cn,,
锥形压缩弹簧,160,32,125,22,钛合金,420,中国航空学会,casa.org.cn,,
扭转弹簧,110,16,85,6,铬钒钢,230,中国金属学会,cms.org.cn,,
压缩弹簧,210,24,115,14,优质弹簧钢,450,国家机械装备鉴定中心,nmeic.org.cn,,
圆柱形压缩弹簧,175,22,110,12,碳素弹簧钢,320,中国机械部件协会,cba.org.cn,,
圆锥形压缩弹簧,210,26,125,16,硅锰弹簧钢,450,中华工程师协会,cea.org.cn,,
扭转弹簧,110,17,85,6,铬钒钢,260,中国标准协会,sac.gov.cn,,
压缩气弹簧,135,32,160,22,不锈钢,380,中国气动设备技术协会,cnadata.org.cn,,
微型压缩弹簧,85,9,55,4,碳素弹簧钢,110,国家微型器件发展中心,microscale.gov.cn,,
多股圆柱形压缩弹簧,160,24,105,14,不锈钢合金,340,中国机械设计协会,csmda.org.cn,,
椭圆形压缩弹簧,140,21,130,13,合金弹簧钢,300,中国弹簧技术研究中心,springscience.org.cn,,
小型波纹压缩弹簧,75,10,45,2,铝合金,90,国际弹簧学会,isfa.org,,
高温压缩弹簧,200,28,140,18,镍铬合金,410,中国特殊材料协会,ams.org.cn,,
压缩陶瓷弹簧,120,19,115,11,陶瓷复合材料,310,中国新材料科技协会,nmti.org.cn,,
圆柱形压缩弹簧,180,22,110,12,铝合金,320,国际弹簧协会,isda.org,,
螺旋压缩弹簧,160,28,140,18,高碳钢,450,华夏材料科技,china-materials.com,,
圆锥形压缩弹簧,210,30,125,20,不锈钢,420,中国机械工业联合会,cmii.org.cn,,
微型压缩弹簧,90,7,45,2,锰钢,110,国家标准化管理委员会,sac.gov.cn,,
多段压缩弹簧,250,35,180,25,合金弹簧钢,600,中国材料研究学会,cmrs.org.cn,,
圆形气压弹簧,130,26,160,16,不锈钢,370,中国气动技术协会,pneumatic.org.cn,,
扭力弹簧,75,14,70,6,铬钒钢,180,中国精密工程学会,cipes.org.cn,,
橡胶弹簧,50,40,200,30,合成橡胶,200,中国橡胶工业协会,cria.org.cn,,
高温压缩弹簧,220,32,140,22,耐高温合金,500,高温材料科技研究院,hightempscience.org,,
扁平压缩弹簧,110,18,95,10,镀锌钢,240,中国标准化协会,csa.org.cn,,
圆柱形压缩弹簧,180,22,110,12,镍铬弹簧钢,320,中国机械工程学会,cmes.org.cn,,
锥形压缩弹簧,220,28,130,16,钼铬合金钢,450,国际弹簧协会,ispa.org,,
扭转弹簧,110,18,85,7,铝合金,270,中国金属材料研究院,cmri.cn,,
压缩气弹簧,145,32,160,21,耐热不锈钢,380,中国气动协会,cna.com.cn,,
微型压缩弹簧,90,9,55,4,合金弹簧钢,120,国家标准化管理委员会,sac.gov.cn,,
圆柱形压缩弹簧,160,24,115,14,碳素弹簧钢,340,科技部高新技术发展中心,most.gov.cn,,
锥形压缩弹簧,210,26,125,17,复合材料,460,中国塑料工业协会,cpla.org.cn,,
扭转弹簧,115,16,78,6,不锈钢,280,中国机械工程学会,cmes.org.cn,,
压缩气弹簧,130,29,140,19,铝镁合金,360,中国气动技术研究中心,cptc.org.cn,,
微型压缩弹簧,75,7,45,3,高碳弹簧钢,90,中国计量科学研究院,nims.org.cn,,
圆柱形压缩弹簧,175,22,110,12,高合金弹簧钢,320,中国国家标准化管理委员会,sac.gov.cn,,
波纹压缩弹簧,90,28,130,18,低合金钢,280,中国机械工程学会,cmes.org.cn,,
扭矩压缩弹簧,130,18,95,9,铬硅钢,210,国际标准化组织,iso.org,,
圆锥形压缩弹簧,220,27,140,17,弹簧合金钢,500,中国企业联合会,cuc.org.cn,,
微型压缩弹簧,85,7,45,2,不锈钢,95,国家核安全局,nra.gov.cn,,
高温抵抗弹簧,300,40,160,30,耐热合金钢,700,中国航空工业集团,avic.com,,
圆柱形压缩弹簧,165,24,115,14,碳素弹簧钢,340,山东省机械工程学会,sdme.org.cn,,
压缩气弹簧,140,32,155,21,不锈钢,360,中国气动协会,cna.com.cn,,
扭转弹簧,110,16,85,6,铬钼钢,230,中国金属材料协会,cmma.org.cn,,
重型压缩弹簧,250,35,180,25,合金钢,600,全国机械材料标准化技术委员会,nmmsc.org.cn,,
圆柱形压缩弹簧,180,22,110,12,碳素弹簧钢,320,国际弹簧制造协会,ispa.org,,
圆锥形压缩弹簧,220,28,130,18,铬钼弹簧钢,450,机械工程师协会,mecha.org.cn,,
双段压缩弹簧,140,24,140,14,不锈钢,370,中国工程院院士新进展,cae.edu.cn,,
螺旋压缩弹簧,160,19,90,9,锰硅弹簧钢,310,金属材料研究所,mmri.org.cn,,
微型压缩弹簧,75,7,45,2.5,钛合金,90,中国微型科技协会,cmte.com.cn,,
压缩气弹簧,130,32,160,22,铝合金,410,气动技术国际会议,ptc.org,,
卷曲压缩弹簧,110,26,115,16,耐高温合金,330,中国航天科技集团,casic.com.cn,,
圆柱形压缩弹簧,190,23,125,13,碳素弹簧钢,360,中国机械工业联合会,cmif.org.cn,,
高强度压缩弹簧,210,30,140,20,合金钢,500,现代制造技术论坛,mmts.net,,
扭转弹簧,120,18,85,6,铬钒钢,240,材料科学与工程期刊,jms.com.cn,,
锥形压缩弹簧,180,22,110,12,合金弹簧钢,350,中国材料研究院,imr.ac.cn,,
扭转压缩弹簧,70,12,70,4,不锈钢,150,中国机械工业联合会,cmif.org.cn,,
板簧,130,40,200,30,高碳弹簧钢,500,中国工程机械工业协会,cemia.org.cn,,
小型压缩弹簧,85,5,25,2,磷青铜,60,中国电子标准化研究院,cesi.ac.cn,,
塑料压缩弹簧,50,15,100,7,聚酯,80,国家轻工业研究院,scti.ac.cn,,
油压压缩弹簧,220,35,130,18,镍铬钢,450,中国润滑油研究院,clri.ac.cn,,
大型压缩弹簧,300,50,250,40,特种合金钢,800,中国矿业大学,cumt.edu.cn,,
精密压缩弹簧,110,8,45,4,不锈钢,90,全国机械标准化技术委员会,sac.gov.cn,,
冷拉压缩弹簧,160,18,120,10,碳素弹簧钢,320,中国金属材料研究院,cmri.ac.cn,,
圆柱形压缩弹簧,180,22,110,12,铬硅弹簧钢,320,中国制造业协会,cna.org.cn,,
扭转弹簧,90,18,70,6,高碳钢,210,全国机械标准化技术委员会,nbss.org.cn,,
拉伸弹簧,150,16,200,8,不锈钢,270,国际金属专家委员会,imec.org.cn,,
圆锥形压缩弹簧,220,28,130,18,镍铬合金钢,480,中国机械工业联合会,cmia.org.cn,,
重载压缩弹簧,300,35,200,25,高强度弹簧钢,700,中国工程材料协会,cema.org.cn,,
微型压缩弹簧,75,6,40,2,优质碳素钢,90,国家标准化技术委员会,sac.gov.cn,,
气体弹簧,130,32,160,22,复合材料,360,中国气体动力学协会,cgda.org.cn,,
带过渡段压缩弹簧,160,24,115,14,合金弹簧钢,350,中国特种弹簧协会,ctsa.org.cn,,
精密压缩弹簧,250,30,140,20,耐腐蚀弹簧材料,500,中国精密机械协会,cpma.org.cn,,
高负载压缩弹簧,320,40,180,28,重负荷弹簧钢,850,国家重型机械研究院,nhmri.org.cn,,
圆柱形压缩弹簧,160,22,110,12,铬硅合金钢,320,中国机械行业联合会,cmeia.org.cn,,
圆锥形压缩弹簧,210,28,125,18,合金弹簧钢,450,中国工程院,cae.cn,,
扭转弹簧,120,18,85,6,不锈钢,260,中国材料研究学会,cms.org.cn,,
压缩气弹簧,130,35,160,25,铝合金,370,中国气动技术协会,cpta.org.cn,,
微型压缩弹簧,90,10,55,4,镍钛合金,120,国家科技部,most.gov.cn,,
圆柱形压缩弹簧,175,24,115,14,铬钼钢,360,中国机械工业集团,sinomach.com,,
圆锥形压缩弹簧,230,30,140,20,热轧弹簧钢,500,工业和信息化部,miit.gov.cn,,
扭转弹簧,110,20,90,7,钛合金,280,中国特种材料学会,csm.org.cn,,
压缩气弹簧,140,32,155,22,碳纤维复合材料,380,中国复合材料学会,ccms.org.cn,,
微型压缩弹簧,85,9,52,3.5,高碳弹簧钢,110,国家标准化技术委员会,sac.gov.cn,,
圆柱形压缩弹簧,170,22,110,12,不锈钢,350,中国工业和信息化部,miit.gov.cn,,
扭转弹簧,90,18,70,6,钛合金,200,中国材料研究学会,cmrs.org.cn,,
圆锥形压缩弹簧,210,28,140,17,铬钼合金钢,450,中国机械工程协会,cme.org.cn,,
压缩气弹簧,135,32,160,22,高强度钢,380,中国气动技术协会,cnpa.org.cn,,
微型压缩弹簧,85,9,55,4,镍钛合金,120,国家标准局,sac.gov.cn,,
圆柱形压缩弹簧,160,25,115,14,碳素弹簧钢,330,中国产业经济研究院,ciri.org.cn,,
扭转弹簧,120,16,90,8,不锈钢,220,中国机械设计制造网,cmmsn.com,,
圆锥形压缩弹簧,175,30,130,19,氮合金钢,360,中国工程院,cae.cn,,
压缩气弹簧,145,34,170,24,铝合金,400,国际气动技术委员会,iatc.org.cn,,
微型压缩弹簧,75,7,45,2,钨合金,90,中国标准化协会,sac.gov.cn,,
矩形压缩弹簧,250,35,160,20,高碳合金钢,500,国际精密工程协会,ipea.org,,
线圈压缩弹簧,170,18,80,8,不锈钢304,275,中国机械设计协会,cmda.cn,,
扁平压缩弹簧,90,12,70,4,铝合金,150,中国轻工业联合会,clia.org.cn,,
双锥形压缩弹簧,280,28,100,14,碳素合金钢,600,中国航空航天协会,caaa.org.cn,,
多圈压缩弹簧,140,22,130,10,氮化不锈钢,350,中国汽车工程学会,csae.com.cn,,
微型圆柱形压缩弹簧,110,9,45,2.5,高弹性合金,85,国家精密仪器标准化研究院,www.nism.org.cn,,
锥形压缩弹簧,220,24,140,12,锰硅合金钢,500,中国钢铁工业协会,cisa.org.cn,,
高温压缩弹簧,160,26,110,15,钨合金,450,中国有色金属协会,cnmn.com,,
汽车弹簧,300,40,180,18,特殊合金钢,700,中国汽车工业协会,caam.org.cn,,
螺旋式压缩弹簧,180,22,110,12,铬镍钢,320,中国机械设计研究院,cmri.org.cn,,
平行弹簧,90,18,60,8,合金钢,150,国家金属材料测试中心,nmmtc.org.cn,,
扭簧,70,14,55,6,碳素钢,200,中国机械动力研究所,chmpre.com.cn,,
紧缩弹簧,160,21,130,11,钛合金,420,中国航空标准化技术委员会,casca.org.cn,,
非标准压缩弹簧,110,25,140,18,铝合金,280,国家先进材料研究院,nami.org.cn,,
气动压缩弹簧,130,28,160,19,高强度钢,370,中国空气动力学会,chinaadl.org.cn,,
耐高温压缩弹簧,140,24,180,16,不锈钢,390,中国材料科学委员会,cmstc.gov.cn,,
微型压缩螺旋弹簧,75,10,40,4,高碳钢,90,国家五金工具质量监督检验中心,natlmetals.com.cn,,
矩形压缩弹簧,130,35,170,25,合金弹簧钢,450,中国机械工业联合会,cmu.org.cn,,
复合材料压缩弹簧,155,30,200,22,复合材料,400,中国现代材料技术发展中心,cmtc.org.cn,,
圆柱形压缩弹簧,180,22,110,12,合金弹簧钢,320,中国工程机械行业协会,cehma.org.cn,,
扭转弹簧,95,18,75,8,碳素弹簧钢,220,国家质量监督局,aqsiq.gov.cn,,
大直径压缩弹簧,250,40,200,30,铝合金,600,中国铝业协会,chinaa.org.cn,,
圆锥形压缩弹簧,210,28,130,18,不锈钢,440,沈阳机械研究所,symech.com.cn,,
微型压缩弹簧,70,9,45,4,高强度合金钢,90,国家科技成果转化中心,ncstc.gov.cn,,
矩形压缩弹簧,120,35,160,25,高碳钢,350,中国机电装备协会,cmeia.org.cn,,
气压弹簧,140,32,140,18,计算机生成材料,375,中国气动元件协会,cnpa.org.cn,,
桶形压缩弹簧,160,27,90,17,氮化钢,330,中国国家标准局,gbstandards.gov.cn,,
弹性压缩弹簧,110,24,100,14,优质不锈钢,280,华南理工大学,scut.edu.cn,,
弹簧宁波型压缩弹簧,130,23,115,13,双相不锈钢,310,宁波市机械行业协会,nbmha.org.cn,,
圆柱形压缩弹簧,175,22,110,12,铝合金,350,国际压缩弹簧协会,icsa.org,,
扭转弹簧,90,18,70,7,不锈钢,200,中国机械设计协会,cmdc.org.cn,,
微型压缩弹簧,85,6,45,2,音乐线,90,国家小型机械标准化技术委员会,nsmtec.gov.cn,,
卷绕弹簧,145,28,130,18,钛合金,450,中国航空工业集团,avic.com,,
锥形压缩弹簧,190,26,125,16,弹簧钢,500,中国材料研究学会,cmos.org.cn,,
压缩气弹簧,160,35,160,25,特种合金钢,400,中国能源技术学会,cnenergy.org.cn,,
扭转弹簧,110,12,85,4,碳素弹簧钢,250,中国机械创新研究院,cmii.edu.cn,,
圆柱形压缩弹簧,160,24,140,14,硅锰弹簧钢,380,中国制造业协会,cnma.org.cn,,
微型压缩弹簧,75,5,35,2.5,不锈钢,80,国家强度研究中心,nst.rc.gov.cn,,
压缩气弹簧,130,32,155,22,合金钢,360,中国气动智能工程技术研究中心,cnpneumatic.org.cn,,
圆柱形压缩弹簧,180,22,110,12,铝合金,320,中国材料研究学会,csmr.org.cn,,
锥形弹簧,220,28,140,17,不锈钢,500,中国机械设计学会,cmdesign.org.cn,,
塔形压缩弹簧,160,26,130,14,弹簧钢,410,中国工程院,cae.cn,,
微型气弹簧,90,10,70,4,高强度碳钢,150,国家增材制造创新中心,camic.org.cn,,
盘形压缩弹簧,250,40,90,30,钛合金,600,中国空间技术研究院,cast.cn,,
扭转压缩弹簧,110,18,85,7,弹簧钢,300,国家机器人创新中心,cib.org.cn,,
复合结构衬垫弹簧,140,21,95,10,聚合物材料,350,中国塑料加工工业协会,cpiia.com.cn,,
锥形气弹簧,210,27,125,12,铝硅合金,450,中国汽车工业协会,caam.org.cn,,
微型拉伸弹簧,75,9,40,2,不锈钢,80,中国机械标准化协会,cmstandard.org.cn,,
圆柱形压缩弹簧,195,23,115,13,合金钢,350,中国国际智慧制造博览会,ciime.com.cn,,
圆柱形压缩弹簧,175,22,110,12,不锈钢,320,中国机械工业联合会,cmif.org.cn,,
锥形压缩弹簧,230,27,130,18,合金弹簧钢,450,国家标准技术委员会,nsta.gov.cn,,
扭转弹簧,90,17,75,6,碳素弹簧钢,220,国际材料科学会,ims.org,,
压缩气弹簧,150,32,160,25,普通铝合金,380,中国航空航天协会,cosa.org.cn,,
微型压缩弹簧,85,9,55,4,不锈钢,110,中国电子元件协会,ceca.org.cn,,
圆柱形压缩弹簧,190,24,125,14,硅锰弹簧钢,370,中国工程院,cae.cn,,
锥形压缩弹簧,210,30,140,20,高强度弹簧钢,420,中国机械设计协会,cmda.org.cn,,
扭转弹簧,120,14,65,8,铝合金,260,国际金属加工协会,impa.org,,
压缩气弹簧,160,35,170,28,强化塑料,490,中国机床工具工业协会,cmti.org.cn,,
微型压缩弹簧,75,7,48,2,不锈钢,90,国家专业技术人才中心,npc.gov.cn,,
圆柱形压缩弹簧,160,22,110,12,碳素弹簧钢,320,中国机械设计协会,cmda.org.cn,,
锥形压缩弹簧,240,28,140,18,合金弹簧钢,450,中国汽车工程学会,sae-china.org,,
压缩气弹簧,140,35,160,25,铝合金,380,中国气动元件协会,cnma.org.cn,,
扭转弹簧,120,18,90,10,不锈钢,260,国家特种装备质量监督专业委员会,tqi.gov.cn,,
微型压缩弹簧,90,7,55,4,高强度碳素钢,110,中国标准化研究院,gbstandard.org.cn,,
圆柱形压缩弹簧,175,24,120,14,钛合金,350,中国航空航天协会,casa.gov.cn,,
扭转弹簧,110,17,85,8,铬钼钢,220,国家金属材料与制品标准化技术委员会,smtc.org.cn,,
圆锥形压缩弹簧,210,26,130,16,耐高温合金钢,420,中国机械工具协会,cmta.org.cn,,
压缩气弹簧,150,32,170,22,尼龙复合材料,390,中国塑料与橡胶工业协会,cpra.org.cn,,
微型压缩弹簧,95,9,60,4.5,碳素弹簧钢,105,中国创新创业委员会,cice.org.cn,,
圆柱形压缩弹簧,180,22,110,12,优质碳素弹簧钢,320,中国材料研究学会,cmri.cn,,
双锥形压缩弹簧,210,28,130,18,合金弹簧钢,450,国际弹簧工业协会,isa.org,,
螺旋压缩弹簧,160,35,140,25,镍铬弹簧钢,380,全国高端装备制造技术创新战略联盟,www.innovationalliance.org.cn,,
平衡复位弹簧,90,10,75,4,不锈钢,150,中国机械制造业协会,cma.org.cn,,
微型气动压缩弹簧,70,6,45,2,铝合金,80,中国气动技术协会,cpta.org.cn,,
高温压缩弹簧,140,25,120,14,高温合金钢,360,中国钢铁工业协会,cisi.org.cn,,
工业用弹簧,220,30,160,20,合成复合材料,500,中国智能制造产业技术创新战略联盟,www.smartindustry.cn,,
摩托车弹簧,130,26,100,16,镀锌钢,320,中国摩托车工业协会,cmia.org.cn,,
弹头弹簧,150,15,85,7,高强度弹簧钢,200,中国军事技术协会,cmt.org.cn,,
调节型压缩弹簧,110,18,95,11,碳钛弹簧钢,285,国际调节技术协会,www.adjustmenttech.org,,
钩形压缩弹簧,160,22,110,12,铝合金,350,中国材料研究所,cmri.cn,,
