企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注【疑问汇总】
Yokogawa,1 Hz - 1 GHz,200 mV - 10 V,±20 V,外部,±0.018%,日本标准协会 (JSA),jsa.or.jp,,
Rigol Technologies,10 Hz - 500 MHz,100 mV - 8 V,±10 V,内置,±0.025%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,,
Rohde & Schwarz,1 Hz - 2 GHz,100 mV - 12 V,±12 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,10 Hz - 500 MHz,10 mV - 15 V,±20 V,外部,±0.025%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma,100 kHz - 1 GHz,20 mV - 10 V,±10 V,内置,±0.02%,国际电信联盟 (ITU),itu.int,,
Tektronix,10 Hz - 1.5 GHz,50 mV - 8 V,±5 V,外部,±0.03%,日本电子信息技术产业协会 (JEITA),jeita.or.jp,,
Anritsu,1 kHz - 2.5 GHz,1 mV - 9 V,±15 V,内置,±0.02%,韩国电信通信委员会 (KCC),kcc.go.kr,,
Instek,100 Hz - 600 MHz,10 mV - 20 V,±10 V,外部,±0.018%,台湾经济部标准检验局 (BSMI),bsmi.gov.tw,,
Sigrity,10 Hz - 800 MHz,5 mV - 25 V,±18 V,内置,±0.022%,德国电气电子工程师协会 (VDE),vde.com,,
Mikrotron,1 kHz - 1 GHz,200 mV - 15 V,±25 V,外部,±0.01%,国际电气和电子工程师协会 (IEEE),ieee.org,,
National Instruments,100 Hz - 1.2 GHz,50 mV - 10 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
Rhino,1 Hz - 2 GHz,5 mV - 10 V,±12 V,外部,±0.02%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Rohde & Schwarz,1 Hz - 2 GHz,10 mV - 12 V,±12 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,100 Hz - 1.5 GHz,5 mV - 10 V,±10 V,外部,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma,100 kHz - 300 MHz,1 mV - 25 V,±5 V,内置,±0.03%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
GW Instek,10 Hz - 1 GHz,1 mV - 15 V,±20 V,外部,±0.018%,日本工业标准调查会 (JIS),jis.go.jp,,
Similar Instruments,1 kHz - 750 MHz,20 mV - 8 V,±25 V,内置,±0.025%,德国技术监督协会 (TÜV),tuv.com,,
Hitachi,500 Hz - 1 GHz,50 mV - 20 V,±15 V,外部,±0.01%,国际电信联盟 (ITU),itu.int,,
Anritsu,10 Hz - 2.5 GHz,500 mV - 10 V,±30 V,内置,±0.02%,国际标准化组织 (ISO),iso.org,,
FLIR Systems,1 kHz - 500 MHz,100 mV - 18 V,±10 V,外部,±0.04%,美国材料与试验协会 (ASTM),astm.org,,
National Instruments,1 Hz - 1 GHz,1 mV - 25 V,±12 V,内置,±0.005%,国际电气和电子工程师协会 (IEEE),ieee.org,,
Omicron,50 Hz - 1.2 GHz,200 mV - 12 V,±10 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,,
Rohde & Schwarz,1 kHz - 3 GHz,1 mV - 12 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Yokogawa,10 Hz - 1.2 GHz,5 mV - 8 V,±20 V,外部,±0.01%,日本消费品安全委员会 (CPSC),cpsc.gov,,
National Instruments,100 Hz - 2 GHz,10 mV - 15 V,±10 V,内置,±0.02%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Teledyne LeCroy,20 Hz - 500 MHz,50 mV - 10 V,±10 V,外部,±0.025%,美国环境保护署 (EPA),epa.gov,,
Advantest,10 Hz - 500 MHz,100 mV - 25 V,±15 V,内置,±0.03%,韩国食品医药安全厅 (MFDS),mfds.go.kr,,
Anritsu,1 kHz - 6 GHz,1 mV - 5 V,±5 V,外部,±0.015%,新西兰电信局 (Telecom NZ),telecom.co.nz,,
Amphenol,10 Hz - 1 GHz,500 mV - 10 V,±10 V,内置,±0.02%,澳大利亚国家标准局 (NATA),nata.com.au,,
Meyer Sound,100 Hz - 400 MHz,5 mV - 20 V,±12 V,外部,±0.03%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,10 Hz - 600 MHz,10 mV - 18 V,±5 V,内置,±0.02%,英国国家标准协会 (BSI),bsi.global,,
Owin Technologies,1 kHz - 2 GHz,100 mV - 16 V,±10 V,外部,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Rohde & Schwarz,9 Hz - 3 GHz,100 µV - 50 V,±12 V,内置,±0.01%,德国标准化学会 (DIN),din.de,,
Chroma,10 Hz - 2 MHz,1 mV - 12 V,±8 V,外部,±0.03%,亚洲电气安全认证机构,ceas.org,,
Anritsu,100 kHz - 2.5 GHz,10 mV - 30 V,±25 V,内置,±0.02%,日本电波产业协会 (JAPAN),japanradio.com,,
Hewlett Packard,1 Hz - 1 MHz,100 µV - 10 V,±20 V,内置,±0.015%,国家计量局 (NIM),nim.gov.cn,,
Tektronix,20 Hz - 2 GHz,50 mV - 25 V,±5 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
HIOKI,10 kHz - 1.5 MHz,500 mV - 20 V,±9 V,外部,±0.04%,中国科学院 (CAS),cas.cn,,
SCS,1 kHz - 800 MHz,1 mV - 15 V,±10 V,内置,±0.025%,海洋与气象局,ncdc.noaa.gov,,
Agilent Technologies,1 Hz - 500 MHz,100 µV - 18 V,±10 V,外部,±0.01%,美国国家标准与技术研究所 (NIST),nist.gov,,
Fluke Corporation,10 Hz - 1.2 GHz,100 mV - 10 V,±15 V,内置,±0.02%,IEEE电气与电子工程师协会,ieee.org,,
Megger,5 Hz - 500 MHz,10 mV - 9 V,±12 V,外部,±0.05%,国际标准化组织 (ISO),iso.org,,
Rohde & Schwarz,10 Hz - 3 GHz,1 mV - 30 V,±12 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 kHz - 2 MHz,100 mV - 20 V,±5 V,外部,±0.015%,日本电子标准化协会 (JEITA),jeita.or.jp,,
Teledyne LeCroy,100 Hz - 1.5 GHz,50 mV - 10 V,±8 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,,
Ametek,1 Hz - 500 kHz,100 mV - 15 V,±10 V,外部,±0.03%,国际半导体设备与材料协会 (SEMI),semi.org,,
Tektronix,50 Hz - 1 GHz,10 mV - 25 V,±20 V,内置,±0.025%,美国国家标准与技术研究院 (NIST),nist.gov,,
National Instruments,1 kHz - 100 MHz,500 mV - 5 V,±15 V,外部,±0.01%,IEEE标准协会,ieee.org,,
Fluke,10 Hz - 2 GHz,1 mV - 1 V,±15 V,内置,±0.005%,国际电信联盟 (ITU),itu.int,,
B&K Precision,1 kHz - 3 MHz,10 mV - 50 V,±10 V,外部,±0.02%,中国国家标准化管理委员会,sac.gov.cn,,
Siglent,100 Hz - 1 GHz,100 mV - 10 V,±12 V,外部,±0.018%,英国国家物理实验室 (NPL),npl.co.uk,,
Owon,10 Hz - 1 MHz,50 mV - 5 V,±5 V,内置,±0.04%,德国电子标准化协会 (ZEVA),zeva.de,,
Rohde & Schwarz,1 Hz - 2 GHz,1 mV - 12 V,±12 V,外部,±0.02%,德国电信联邦网络局 (BNetzA),bnetza.de,,
VNA Solutions,100 kHz - 1.5 GHz,500 mV - 10 V,±8 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Olympus,1 kHz - 300 MHz,0.5 mV - 5 V,±18 V,外部,±0.03%,日本工业标准调查会 (JISC),jisc.go.jp,,
Yokogawa,10 Hz - 200 MHz,200 mV - 15 V,±20 V,内置,±0.02%,新加坡标准局 (SPRING Singapore),spring.gov.sg,,
Advantest,100 Hz - 700 MHz,100 mV - 10 V,±7 V,外部,±0.015%,英国国家计量院 (NPL),npl.co.uk,,
Tektronix,10 kHz - 1.2 GHz,50 mV - 20 V,±5 V,内置,±0.01%,澳大利亚国家测量研究所 (NMIA),nmi.gov.au,,
Fluke,1 kHz - 500 MHz,10 mV - 8 V,±10 V,外部,±0.02%,美国国家标准技术研究院 (NIST),nist.gov,,
ASUSTek,100 Hz - 1000 MHz,20 mV - 25 V,±30 V,内置,±0.05%,国际标准化组织 (ISO),iso.org,,
National Instruments,1 Hz - 100 MHz,5 mV - 5 V,±12 V,外部,±0.02%,全球信息通信技术基金会 (ITU),itu.int,,
Anritsu,500 Hz - 1.8 GHz,1 mV - 15 V,±10 V,内置,±0.03%,世界卫生组织 (WHO),who.int,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 50 V,±25 V,外部,±0.02%,日本计量标准协会 (JCSS),jcss.go.jp,,
Sony,1 kHz - 1.5 GHz,100 mV - 5 V,±12 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Chroma,100 Hz - 1.2 GHz,1 mV - 25 V,±10 V,内置,±0.03%,韩国工业标准协会 (KSA),ksa.or.kr,,
Flir Systems,100 Hz - 600 MHz,50 mV - 20 V,±5 V,外部,±0.025%,澳大利亚国家测量院 (NMI),nmi.gov.au,,
National Instruments,10 Hz - 2.5 GHz,1 mV - 30 V,±8 V,外部,±0.02%,中国计量科学院 (NIM),nim.ac.cn,,
Yokogawa,1 kHz - 1 GHz,10 mV - 10 V,±15 V,内置,±0.01%,新加坡标准、有道品质认证局 (Enterprise Singapore),enterprisesg.gov.sg,,
MetraBTech,100 Hz - 800 MHz,100 mV - 12 V,±15 V,外部,±0.04%,国际标准化组织 (ISO),iso.org,,
Anritsu,10 Hz - 1 GHz,10 mV - 50 V,±20 V,内置,±0.015%,美国国家标准技术研究院 (NIST),nist.gov,,
Tti,1 kHz - 200 MHz,200 mV - 1 V,±10 V,外部,±0.03%,英国标准协会 (BSI),bsigroup.com,,
Owon,10 Hz - 500 MHz,50 mV - 10 V,±5 V,内置,±0.05%,巴西国家计量研究所 (INMETRO),inmetro.gov.br,,
Yokogawa,1 Hz - 1 GHz,10 mV - 10 V,±5 V,内置,±0.02%,日本工业标准调查局 (JISC),jisc.go.jp,,
Omega,10 Hz - 500 MHz,1 mV - 5 V,±12 V,外部,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Rohde & Schwarz,100 kHz - 3 GHz,100 mV - 20 V,±10 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Ametek,1 kHz - 2 GHz,10 mV - 5 V,±20 V,外部,±0.01%,美国环境保护局 (EPA),epa.gov,,
B&K Precision,10 Hz - 1 MHz,50 mV - 10 V,±8 V,内置,±0.03%,美国电气和电子工程师协会 (IEEE),ieee.org,,
Chroma,1 Hz - 2.5 GHz,50 mV - 15 V,±15 V,外部,±0.022%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Testek,100 Hz - 1.5 GHz,500 mV - 10 V,±5 V,内置,±0.02%,国际电工委员会 (IEC),iec.ch,,
National Instruments,1 Hz - 1 GHz,10 mV - 20 V,±25 V,外部,±0.012%,美国国家航空航天局 (NASA),nasa.gov,,
Advantest,1 kHz - 5 GHz,1 mV - 10 V,±18 V,内置,±0.018%,国际标准化组织 (ISO),iso.org,,
Tektronix,10 Hz - 600 MHz,100 mV - 25 V,±30 V,外部,±0.01%,国际电池协会 (IBS),ibsa.org,,
Rohde & Schwarz,100 Hz - 3 GHz,1 mV - 12 V,±30 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetz.de,,
Anritsu,10 Hz - 2 GHz,10 mV - 5 V,±50 V,外部,±0.025%,日本产经新闻经济研究所,nikkei.com,,
Tektronix,300 Hz - 1.5 GHz,100 mV - 25 V,±25 V,内置,±0.03%,英国标准协会 (BSI),bsigroup.com,,
Chroma,1 kHz - 100 MHz,500 mV - 10 V,±10 V,内置,±0.02%,台湾经济部工业局,moi.gov.tw,,
NI (National Instruments),1 Hz - 1 GHz,1 mV - 15 V,±20 V,外部,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
B&K Precision,10 Hz - 500 MHz,10 mV - 10 V,±15 V,内置,±0.04%,澳大利亚国家测量研究所,measurement.gov.au,,
Metrix,1 kHz - 500 MHz,50 mV - 20 V,±10 V,外部,±0.018%,印度国家电力公司,ntpc.co.in,,
Spectris,100 Hz - 2.5 GHz,100 mV - 30 V,±12 V,内置,±0.02%,中国国家市场监督管理总局,samr.gov.cn,,
Sinjia Electronics,1 kHz - 1.2 GHz,5 mV - 10 V,±20 V,外部,±0.03%,俄罗斯联邦通信委员会,rossvyaz.ru,,
Tabor Electronics,10 Hz - 1.5 GHz,500 mV - 12 V,±40 V,内置,±0.022%,以色列标准协会 (SII),si.gov.il,,
Yokogawa,10 Hz - 800 MHz,100 mV - 12 V,±12 V,内置,±0.02%,日本质量保证机构 (JQA),jqa.jp,,
Rohde & Schwarz,1 kHz - 3 GHz,200 mV - 25 V,±10 V,外部,±0.005%,德国物理技术研究所 (PTB),ptb.de,,
B&K Precision,100 Hz - 1 GHz,50 mV - 30 V,±5 V,内置,±0.1%,新加坡国家标准局 (SAS),sas.gov.sg,,
Chroma,10 Hz - 10 MHz,100 mV - 18 V,±20 V,外部,±0.03%,韩国电子通信技术研究院 (ETRI),etri.re.kr,,
Advantest,1 mHz - 5 GHz,10 mV - 15 V,±30 V,内置,±0.01%,日本工业标准调查会 (JISC),jisc.go.jp,,
Tektronix,10 Hz - 2 GHz,5 mV - 10 V,±10 V,外部,±0.04%,美国国家标准技术研究所 (NIST),nist.gov,,
National Instruments,1 kHz - 500 MHz,1 mV - 8 V,±15 V,内置,±0.02%,国际电工委员会 (IEC),iec.ch,,
HIOKI,1 Hz - 2 MHz,150 mV - 20 V,±25 V,外部,±0.02%,澳大利亚标准局 (Standards Australia),standards.org.au,,
GPA,1 Hz - 600 MHz,80 mV - 14 V,±10 V,内置,±0.015%,英国标准协会 (BSI),bsi-global.com,,
Metrix,1 kHz - 1 GHz,200 mV - 12 V,±12 V,外部,±0.02%,世界卫生组织 (WHO),who.int,,
Rohde & Schwarz,9 kHz - 3 GHz,100 μV - 50 V,±30 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Chroma,100 Hz - 2 MHz,10 mV - 12 V,±12 V,外部,±0.02%,台湾经济部标准检验局 (BSMI),bsmi.gov.tw,,
Advantest,50 Hz - 1 GHz,1 mV - 30 V,±5 V,内置,±0.02%,日本电子信息技术产业协会 (JEITA),jeita.or.jp,,
Tektronix,200 Hz - 1 GHz,100 mV - 25 V,±25 V,内置,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Yokogawa,1 kHz - 200 MHz,500 mV - 10 V,±10 V,外部,±0.03%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,10 Hz - 1.2 GHz,50 μV - 12 V,±20 V,内置,±0.02%,新加坡标准局 (SPRING Singapore),spring.gov.sg,,
GW Instek,20 Hz - 500 MHz,1 mV - 8 V,±10 V,外部,±0.05%,韩国科学技术信息通信部 (MSIT),msit.go.kr,,
OMICRON,1 kHz - 10 MHz,100 mV - 16 V,±15 V,内置,±0.01%,奥地利标准化协会 (Austrian Standards),austrian-standards.at,,
HPI,5 Hz - 1 GHz,10 mV - 20 V,±25 V,外部,±0.02%,加拿大标准委员会 (CSA),csagroup.org,,
Ana inova,1 kHz - 750 MHz,100 μV - 5 V,±10 V,内置,±0.03%,国际标准化组织 (ISO),iso.org,,
Rohde & Schwarz,10 Hz - 6 GHz,100 µV - 20 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Chroma,1 kHz - 2 MHz,500 mV - 10 V,±20 V,内置,±0.05%,中国电子产品标准化研究院 (CEPSR),cepsr.org.cn,,
Advantest,100 Hz - 3 GHz,10 mV - 15 V,±7 V,外部,±0.02%,日本电子技术产业协会 (JEITA),jeita.or.jp,,
Yokogawa,1 Hz - 5 MHz,1 mV - 5 V,±10 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Testo,10 kHz - 1 GHz,100 µV - 12 V,±15 V,外部,±0.03%,加拿大标准协会 (CSA),csa.ca,,
National Instruments,1 Hz - 1 GHz,5 mV - 10 V,±5 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Hewlett Packard (HP),50 Hz - 2.5 GHz,200 mV - 25 V,±10 V,外部,±0.01%,国际标准化组织 (ISO),iso.org,,
Tektronix,100 Hz - 500 MHz,100 mV - 10 V,±20 V,内置,±0.03%,英国国家标准局 (BSI),bsigroup.com,,
Sefram,1 kHz - 100 kHz,1 mV - 5 V,±10 V,外部,±0.05%,法国标准化协会 (AFNOR),afnor.org,,
Ametek,10 Hz - 10 MHz,10 mV - 15 V,±20 V,内置,±0.02%,ISO/IEC 17025认证机构,iso.org,,
Rohde & Schwarz,10 Hz - 3 GHz,100 mV - 12 V,±12 V,外部,±0.01%,国际电信联盟 (ITU),itu.int,,
B&K Precision,1 kHz - 1.5 GHz,1 mV - 8 V,±10 V,内置,±0.05%,日本工业标准调查会 (JISC),jisc.go.jp,,
Chroma ATE,100 Hz - 1 GHz,10 mV - 25 V,±20 V,外部,±0.03%,全球电子测试与测量市场分析上 (Gartner),gartner.com,,
Flir Systems,10 Hz - 800 MHz,200 mV - 5 V,±5 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Hewlett Packard,10 Hz - 2 GHz,100 mV - 15 V,±8 V,外部,±0.01%,国际电工委员会 (IEC),iec.ch,,
Yokogawa,1 kHz - 600 MHz,50 mV - 10 V,±15 V,内置,±0.04%,全国计量协会 (NCSL),ncsl.com,,
Omicron,1 Hz - 3 MHz,1 mV - 18 V,±15 V,外部,±0.03%,英国国家标准局 (NPL),npl.co.uk,,
Agilent Technologies,1 kHz - 2 GHz,5 mV - 10 V,±10 V,内置,±0.02%,美国国家实验室 (ANL),anl.gov,,
GW Instek,10 Hz - 300 MHz,10 mV - 6 V,±5 V,外部,±0.05%,亚洲电子技术协会 (AET),aet.org,,
Spectrum Instrumentation,1 kHz - 1.2 GHz,100 mV - 14 V,±20 V,内置,±0.01%,国际微电子公司 (IME),ime.com,,
Rohde & Schwarz,1 Hz - 3 GHz,1 mV - 5 V,±12 V,外部,±0.01%,中华人民共和国市场监督管理总局,samr.gov.cn,,
Nanjing Jiliang,100 kHz - 2 GHz,10 mV - 15 V,±8 V,内置,±0.05%,中国科学院合肥物质科学研究院,hftsci.ac.cn,,
NTT Advanced Technology,10 kHz - 1.5 GHz,5 mV - 12 V,±18 V,外部,±0.02%,日本电气通信研究所,nict.go.jp,,
Anritsu,10 MHz - 2.5 GHz,100 mV - 10 V,±20 V,内置,±0.015%,英国国家物理实验室,npl.co.uk,,
Chroma,100 kHz - 1 GHz,1 mV - 5 V,±16 V,外部,±0.03%,台湾经济部工业局,moea.gov.tw,,
GW Instek,100 Hz - 500 MHz,50 mV - 10 V,±9 V,内置,±0.04%,香港特区政府工业署,itc.gov.hk,,
Metrel,1 Hz - 3 MHz,200 mV - 8 V,±15 V,外部,±0.025%,斯洛文nia标准化局,itc.gov.si,,
Fluke Calibration,10 Hz - 1.2 GHz,1 mV - 9 V,±25 V,内置,±0.01%,美国国家标准与技术研究院,nist.gov,,
Keysight Technologies,100 kHz - 1 GHz,10 mV - 20 V,±12 V,外部,±0.02%,美国环保署,epa.gov,,
Tektronix,1 kHz - 2 GHz,5 mV - 10 V,±11 V,内置,±0.03%,国际电工委员会,iec.ch,,
Rohde & Schwarz,10 Hz - 2 GHz,100 μV - 12 V,±12 V,内置,±0.015%,德国电气和电子工程师协会 (IEEE),ieee.org,,
QLife Technologies,100 Hz - 1.5 GHz,5 mV - 8 V,±8 V,外部,±0.025%,国际电工委员会 (IEC),iec.ch,,
Tektronix,1 kHz - 1 GHz,100 μV - 20 V,±20 V,外部,±0.02%,中国国家质量监督检查总局,cnca.gov.cn,,
B&K Precision,1 Hz - 300 MHz,1 mV - 25 V,±10 V,内置,±0.03%,日本电子学会,iee.jp,,
Chroma ATE,10 Hz - 400 MHz,50 mV - 18 V,±5 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,,
SRS Instruments,1 kHz - 2.5 GHz,10 mV - 15 V,±15 V,外部,±0.01%,国际半导体技术协会 (ISTA),ista.org,,
National Instruments,100 Hz - 1 GHz,100 μV - 10 V,±20 V,外部,±0.02%,美国国家标准与技术局 (NIST),nist.gov,,
Advantest Corporation,100 Hz - 1.2 GHz,5 mV - 22 V,±10 V,内置,±0.015%,美国工程师学会,aia.org,,
Yokogawa,1 kHz - 500 MHz,10 mV - 30 V,±25 V,内置,±0.02%,国际电气工程师学会 (IEEE),ieee.org,,
GW Instek,10 Hz - 1 GHz,10 mV - 12 V,±8 V,外部,±0.02%,国际测试与测量协会 (ITMA),itma.org,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 15 V,±12 V,内置,±0.01%,德国联邦网络署 (BNetzA),bnetza.de,,
Trek,1 kHz - 10 MHz,100 mV - 5 V,±5 V,内置,±0.05%,国际电工委员会 (IEC),iec.ch,,
Chroma,100 Hz - 1 MHz,50 mV - 20 V,±10 V,外部,±0.02%,中国电力科研院 (CEPRI),cepri.csp.escience.cn,,
Advantest,1 Hz - 500 MHz,1 mV - 10 V,±8 V,内置,±0.02%,日本产经新闻社,sankeibiz.jp,,
B&K Precision,50 Hz - 1 GHz,100 mV - 10 V,±15 V,外部,±0.03%,国际计量局 (BIPM),bipm.org,,
Yokogawa,1 kHz - 2 GHz,1 mV - 12 V,±20 V,内置,±0.01%,日本安全保障厅 (NISC),nisc.go.jp,,
Quantum Design,10 Hz - 500 MHz,200 mV - 15 V,±10 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,,
Vishay,10 Hz - 1 GHz,500 mV - 10 V,±12 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,,
Omicron,20 Hz - 2 GHz,20 mV - 18 V,±5 V,外部,±0.03%,国际电信联盟 (ITU),itu.int,,
Tektronix,1 Hz - 1 MHz,150 mV - 14 V,±20 V,内置,±0.02%,国际电工委员会 (IEC),iec.ch,,
Rohde & Schwarz,100 kHz - 3 GHz,100 mV - 5 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Anritsu,10 Hz - 10 GHz,1 mV - 50 V,±25 V,外部,±0.005%,日本总务省 (MIC),soumu.go.jp,,
Spectris,1 kHz - 300 MHz,10 mV - 30 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
B&K Precision,10 Hz - 1.5 GHz,100 mV - 20 V,±5 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 kHz - 1 GHz,500 mV - 25 V,±15 V,内置,±0.015%,台湾经济部 (MOEA),moea.gov.tw,,
Texio,10 Hz - 800 MHz,5 mV - 10 V,±18 V,外部,±0.03%,香港科技局,itb.gov.hk,,
Hameg Instruments,1 Hz - 400 MHz,50 mV - 12 V,±10 V,内置,±0.02%,德国物理技术研究所 (PTB),ptb.de,,
Instek,100 Hz - 100 MHz,200 mV - 18 V,±20 V,外部,±0.04%,韩国电气通信委员会 (KCC),kcc.go.kr,,
Kikusui,10 Hz - 1.2 GHz,2 mV - 30 V,±12 V,内置,±0.01%,日本标准协会 (JISA),jisa.or.jp,,
Yokogawa,100 kHz - 5 GHz,1 mV - 40 V,±25 V,外部,±0.005%,国际质量认证体系 (ISO),iso.org,,
Rohde & Schwarz,100 Hz - 3 GHz,10 mV - 5 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Victor,1 Hz - 1 kHz,50 mV - 20 V,±8 V,外部,±0.05%,新加坡国家标准局 (SPRING Singapore),spring.gov.sg,,
Chroma,10 Hz - 2.5 GHz,20 mV - 15 V,±10 V,内置,±0.02%,台湾经济部标准检验局 (BSMI),bsmi.gov.tw,,
Yokogawa,1 Hz - 2 GHz,5 mV - 10 V,±20 V,外部,±0.01%,日本工业标准调查会 (JISC),jisc.go.jp,,
Elekta,100 kHz - 1 GHz,1 mV - 5 V,±15 V,内置,±0.03%,世界卫生组织 (WHO),who.int,,
Spectris,10 kHz - 500 MHz,100 mV - 10 V,±7 V,外部,±0.025%,英国国家标准局 (BSI),bsi.group,,
National Instruments,1 Hz - 1 GHz,500 mV - 12 V,±5 V,内置,±0.02%,加州大学洛杉矶分校 (UCLA),ucla.edu,,
Tektronix,10 Hz - 1.5 GHz,200 mV - 10 V,±18 V,外部,±0.005%,美国国家标准技术研究所 (NIST),nist.gov,,
Agilent,100 Hz - 3 MHz,1 mV - 1 V,±10 V,内置,±0.03%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Fluke,1 Hz - 500 MHz,10 mV - 25 V,±22 V,外部,±0.01%,俄国计量单位国家研究院 (VNIIMS),vniims.ru,,
Rohde & Schwarz,10 Hz - 3 GHz,10 mV - 12 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
NI (National Instruments),1 Hz - 2 GHz,100 mV - 8 V,±25 V,内置,±0.01%,IEEE 802.11标准委员会,ieee.org,,
Anritsu,20 Hz - 6 GHz,5 mV - 15 V,±20 V,外部,±0.02%,国际电信联盟 (ITU),itu.int,,
Tektronix,100 Hz - 1 GHz,1 mV - 10 V,±10 V,内置,±0.05%,北美电气制造商协会,nema.org,,
Ono Sokki,1 kHz - 1.5 GHz,10 mV - 20 V,±30 V,外部,±0.03%,日本国家科技与创新机构 (JSTI),jsti.go.jp,,
Hewlett Packard,100 Hz - 1 GHz,50 mV - 50 V,±5 V,内置,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Advantest,1 kHz - 1 GHz,1 mV - 5 V,±10 V,外部,±0.02%,日本电子技术标准委员会 (JEITA),jeita.or.jp,,
Chroma,1 Hz - 2 MHz,100 mV - 6 V,±15 V,内置,±0.04%,台湾电力公司 (Taiwan Power Company),taipower.com.tw,,
Fluke,10 Hz - 500 MHz,5 mV - 100 V,±12 V,外部,±0.005%,全球电子测试仪器协会 (GEEA),geea.org,,
Yokogawa,20 Hz - 1 GHz,500 mV - 25 V,±5 V,内置,±0.02%,环境监测国际联盟 (IMEP),imep.org,,
Rohde & Schwarz,5 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Tektronix,1 kHz - 1.2 GHz,100 mV - 8 V,±10 V,外部,±0.025%,美国国家标准技术局 (NIST),nist.gov,,
NI (National Instruments),10 Hz - 500 MHz,10 mV - 15 V,±5 V,内置,±0.03%,国际电工委员会 (IEC),iec.ch,,
Hewlett Packard (HP),100 Hz - 2 MHz,200 mV - 20 V,±8 V,外部,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
Chroma ATE,1 Hz - 1 GHz,50 mV - 5 V,±15 V,内置,±0.015%,日本工业标准化组织 (JIS),jis.go.jp,,
Kikusui Electronics,1 kHz - 1.5 GHz,500 mV - 10 V,±10 V,外部,±0.02%,日本计量总局 (NMIJ),nmi.go.jp,,
Impedance Technology,1 Hz - 1.2 MHz,1 mV - 5 V,±20 V,内置,±0.03%,中国国际标准化组织 (ISO China),iso.org.cn,,
B&K Precision,10 Hz - 300 MHz,100 mV - 15 V,±6 V,外部,±0.01%,法国国家科学研究院 (CNRS),cnrs.fr,,
Advantest,100 Hz - 1 GHz,200 mV - 10 V,±15 V,内置,±0.022%,韩国科学技术院 (KAIST),kaist.ac.kr,,
Oscilloscope Corp.,20 Hz - 500 MHz,1 V - 20 V,±25 V,外部,±0.02%,加拿大标准协会 (CSA),csagroup.org,,
Rohde & Schwarz,10 Hz - 1 GHz,1 mV - 5 V,±12 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
Siglent,100 Hz - 300 MHz,100 mV - 3 V,±8 V,外部,±0.025%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
