批准文号/注册证号（字符型）,人工智能系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,是否通过一致性（字符型）,人工智能系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
AI-010-2023,智能社交媒体监控系统,V2.0,新浪,2023-10-05,新浪科技,新浪科技,是,媒体与内容,环球时报,http://www.huanqiu.com/,2024-10-11,,,,,,,,
AI-012-2023,智慧农业管理平台,V2.3,农夫山泉,2023-09-15,农夫科技,农夫科技,是,农业,科技日报,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-015-2023,智能健身教练,V1.2,阿里体育,2023-08-15,阿里健康,阿里健康,是,健康与健身,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-018-2023,智能电网管理系统,V1.0,国家电网,2023-09-01,国家电网公司,国家电网公司,是,能源管理,新华网,http://www.xinhuanet.com,2024-10-11,,,,,,,,
AI-021-2023,环境监测AI系统,V1.1,蓝天科技,2023-04-25,蓝天环保,蓝天环保,是,环境保护,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-11,,,,,,,,
AI-024-2023,智能农业管理系统,V1.3,华北农业科技公司,2023-02-14,华北农业,华北农业,是,农业,AgFunder Network Partners,https://agfundernews.com,2024-10-11,,,,,,,,
AI-027-2023,智能心理咨询系统,V2.0,心理健康科技有限公司,2023-05-20,心理健康科技,心理健康科技,否,心理健康,Psychology Today,https://www.psychologytoday.com,2024-10-11,,,,,,,,
AI-002-2023,智能陪伴机器人,V1.0,小米,2023-06-25,小米科技,小米科技,是,机器人,TechNode,https://technode.com,2024-10-11,,,,,,,,
AI-005-2023,AI数据分析平台,V1.0,华为,2023-03-01,华为云,华为云,是,数据管理,Forrester,https://go.forrester.com,2024-10-11,,,,,,,,
AI-010-2023,智能城市安全系统,V2.0,中兴通讯,2023-07-30,中兴智能,中兴智能,是,城市安全,Smart Cities Dive,https://www.smartcitiesdive.com,2024-10-11,,,,,,,,
AI-013-2023,农田管理AI助手,V1.1,农业数字化有限公司,2023-09-10,农业数字化,农业数字化,是,农业,AgFunder Network Partners,https://agfundernews.com,2024-10-11,,,,,,,,
AI-017-2023,AI智能翻译系统,V2.0,有道,2023-08-01,有道翻译,有道翻译,是,翻译服务,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-023-2023,智慧城市运营管理系统,V1.5,华为,2023-08-15,华为技术,华为技术,是,城市管理,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-027-2023,智能数字营销平台,V1.4,阿里巴巴,2023-09-10,阿里巴巴集团,阿里巴巴集团,是,市场营销,Pinterest,https://www.pinterest.com,2024-10-11,,,,,,,,
AI-031-2023,个性化医疗推荐系统,V1.0,百度健康,2023-07-20,百度健康科技,百度健康科技,是,医疗健康,CSDN,https://www.csdn.net,2024-10-11,,,,,,,,
AI-036-2023,智能金融审查系统,V2.0,平安科技,2023-06-25,平安科技集团,平安科技集团,是,金融科技,Reuters,https://www.reuters.com,2024-10-11,,,,,,,,
AI-042-2023,植物病害预测系统,V1.2,农业农村部,2023-05-30,农业农村部,农业农村部,是,农业,新华社,http://www.xinhua.net,2024-10-11,,,,,,,,
AI-007-2023,全景洽谈平台,V1.1,腾讯,2023-03-15,腾讯科技,腾讯科技,否,信息交流,THEVERGE,https://www.theverge.com,2024-10-11,,,,,,,,
AI-015-2023,能源监测智能系统,V1.3,南方电网,2023-10-05,南方电网公司,南方电网公司,是,能源管理,Energy News,http://www.energynews.com,2024-10-11,,,,,,,,
AI-024-2023,智能心理评估工具,V1.0,心灵科技,2023-08-01,心灵科技有限公司,心灵科技有限公司,是,心理健康,心理学杂志,http://www.psychologyjournal.com,2024-10-11,,,,,,,,
AI-033-2023,智能图像识别平台,V3.0,华大基因,2023-11-15,华大基因技术,华大基因技术,是,生物科技,Nature,https://www.nature.com,2024-10-11,,,,,,,,
AI-041-2023,可持续发展预测系统,V1.0,生态环境部,2023-09-25,生态环境部,生态环境部,是,环境监测,World Resources Institute,https://www.wri.org,2024-10-11,,,,,,,,
AI-059-2023,智能健康管理平台,V1.2,阿里健康,2023-08-05,阿里健康科技,阿里健康科技,是,医疗健康,腾讯科技,https://tech.qq.com/,2024-10-11,,,,,,,,
AI-063-2023,建筑智能监测系统,V1.0,华为,2023-09-12,华为技术有限公司,华为技术有限公司,是,建筑工程,华为官网,https://www.huawei.com/,2024-10-11,,,,,,,,
AI-078-2023,智能旅游推荐系统,V1.0,携程,2023-07-15,携程旅行网,携程旅行网,是,旅游服务,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-084-2023,法律合规智能审核系统,V1.0,中信集团,2023-05-30,中信法律科技,中信法律科技,否,法律服务,法学研究,http://www.lawyer.org.cn/,2024-10-11,,,,,,,,
AI-092-2023,智能能源管理系统,V1.1,国网公司,2023-06-25,国网新能源科技,国网新能源科技,是,能源管理,中国能源网,http://www.chinaenergy.com.cn/,2024-10-11,,,,,,,,
AI-005-2023,图像识别安防系统,V2.0,商汤科技,2023-08-20,商汤科技有限公司,商汤科技有限公司,是,安全防护,AI前线,https://www.aifrontline.com/,2024-10-11,,,,,,,,
AI-012-2023,AI语音助手,V1.0,百度,2023-07-10,百度科技,百度科技,是,语音识别,新浪科技,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-003-2023,智能城市治理平台,V1.0,腾讯,2023-09-05,腾讯科技,腾讯科技,是,城市管理,腾讯科技,https://tech.tencent.com/,2024-10-11,,,,,,,,
AI-009-2023,个性化推荐系统,V1.3,网易,2023-06-17,网易云,网易云,是,互联网服务,36氪,https://www.36kr.com/,2024-10-11,,,,,,,,
AI-007-2023,机器人流程自动化系统,V1.0,易道信息,2023-07-25,易道科技,易道科技,是,企业解决方案,OpenAI,https://www.openai.com/,2024-10-11,,,,,,,,
AI-004-2023,健康监测平台,V1.0,阿里健康,2023-08-15,阿里健康科技,阿里健康科技,是,医疗健康,People's Daily,http://www.people.com.cn/,2024-10-11,,,,,,,,
AI-011-2023,城市安全监控系统,V1.0,华为,2023-09-10,华为技术有限公司,华为技术有限公司,是,公共安全,China Daily,http://www.chinadaily.com.cn/,2024-10-11,,,,,,,,
AI-010-2023,自动文档处理系统,V1.1,用友网络,2023-07-20,用友软件,用友软件,是,企业服务,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-002-2023,个性化推荐引擎,V2.0,京东,2023-10-01,京东商城,京东商城,是,电子商务,NetEase,https://www.163.com/,2024-10-11,,,,,,,,
AI-006-2023,智能语音助手,V1.5,腾讯,2023-08-05,腾讯科技,腾讯科技,是,用户交互,Sina Technology,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-007-2023,智能检测平台,V1.0,平安科技,2023-09-15,平安科技集团,平安科技集团,否,金融服务,Tencent News,https://xw.qq.com/,2024-10-11,,,,,,,,
AI-012-2023,虚拟现实教育平台,V1.0,网易云课堂,2023-06-25,网易科技,网易科技,是,教育行业,China Academic Journal,http://www.cajournal.net/,2024-10-11,,,,,,,,
AI-019-2023,智能健康顾问,V2.0,春雨医生,2023-08-30,春雨科技,春雨科技,是,医疗健康,Medical News Today,https://www.medicalnewstoday.com/,2024-10-11,,,,,,,,
AI-023-2023,智能制造系统,V1.0,上海汽车,2023-07-18,上海汽车工业,上海汽车工业,是,制造业,Automotive News,https://www.autonews.com/,2024-10-11,,,,,,,,
AI-034-2023,智慧城市管理系统,V1.0,深圳市政府,2023-09-25,深圳智慧城市,深圳智慧城市,是,城市管理,Government of Shenzhen,http://www.sz.gov.cn/,2024-10-11,,,,,,,,
AI-045-2023,智能药物研发系统,V1.0,辉瑞,2023-07-15,辉瑞中国,辉瑞药业,是,制药行业,药监局,https://www.nmpa.gov.cn,2024-10-11,,,,,,,,
AI-056-2023,农业作物监测系统,V2.0,中科院农业研究所,2023-08-01,中科院农业,中科院,是,农业,ScienceDirect,https://www.sciencedirect.com,2024-10-11,,,,,,,,
AI-062-2023,智能招聘系统,V1.5,领英,2023-08-20,领英中国,领英,是,人力资源,HR Tech,https://www.hrtech.com,2024-10-11,,,,,,,,
AI-071-2023,智能金融分析系统,V2.1,阿里巴巴,2023-09-02,蚂蚁科技,蚂蚁集团,是,金融服务,金融时报,https://www.ft.com,2024-10-11,,,,,,,,
AI-084-2023,个性化学习助手,V1.2,网易,2023-09-15,网易教育,网易,是,教育行业,EdTech Digest,https://edtechdigest.com,2024-10-11,,,,,,,,
AI-002-2023,基因组分析系统,V2.0,华大基因,2023-09-30,华大生物,华大基因,是,生物技术,Nature,https://www.nature.com,2024-10-11,,,,,,,,
AI-005-2023,智能心理咨询系统,V1.0,阿里健康,2023-10-10,阿里健康科技,阿里巴巴,是,心理健康,Psychology Today,https://www.psychologytoday.com,2024-10-11,,,,,,,,
AI-008-2023,智能物流调度系统,V1.0,顺丰,2023-10-20,顺丰科技,顺丰速运,是,物流,物流科技,https://www.logistics.com,2024-10-11,,,,,,,,
AI-013-2023,智慧城市规划系统,V1.0,腾讯,2023-11-01,腾讯城市,腾讯,是,城市管理,城市规划,https://www.cityplanning.com,2024-10-11,,,,,,,,
AI-019-2023,智能气候监测系统,V1.0,国测,2023-11-15,国家气象局,国家气象局,是,环境监测,气象网,https://www.weather.com,2024-10-11,,,,,,,,
AI-024-2023,AI心理健康助手,V1.0,心智灵,2023-08-15,心智灵科技,心智灵科技,是,心理健康,HealthTech,https://www.healthtech.com,2024-10-11,,,,,,,,
AI-031-2023,智能供应链优化系统,V2.0,阿里巴巴,2023-09-01,阿里创新,阿里创新,是,物流管理,TechCrunch,https://www.techcrunch.com,2024-10-11,,,,,,,,
AI-037-2023,农业精准辅助决策系统,V1.0,中农大,2023-07-20,中农大科技,中农大科技,是,农业科技,农业日报,http://www.ruraldaily.com,2024-10-11,,,,,,,,
AI-045-2023,智能营销优化平台,V3.0,字节跳动,2023-08-30,字节市场,字节市场,是,市场营销,MarketingProfs,https://www.marketingprofs.com,2024-10-11,,,,,,,,
AI-052-2023,健康数据分析系统,V1.0,腾讯,2023-06-05,腾讯健康,腾讯健康,是,医疗健康,Tencent Health,https://health.qq.com,2024-10-11,,,,,,,,
AI-045-2023,实时监控智慧农业系统,V2.5,新农业科技,2023-10-12,新农业科技,新农业科技,是,农业,中国农业网,http://www.chinaagriculture.com,2024-10-11,,,,,,,,
AI-027-2023,智能合约审查助手,V1.0,链上科技,2023-09-10,链上法律科技,链上法律科技,是,法律服务,LegalTech News,https://www.legaltechnews.com,2024-10-11,,,,,,,,
AI-093-2023,智能城市安全监控系统,V2.0,华为,2023-10-01,华为智慧城市,华为智慧城市,是,公共安全,SmartCity Solutions,https://www.smartcitysolutions.com,2024-10-11,,,,,,,,
AI-061-2023,AI金融预测系统,V1.1,摩根大通,2023-05-20,摩根大通金融科技,摩根大通金融科技,是,金融服务,Financial Times,https://www.ft.com,2024-10-11,,,,,,,,
AI-018-2023,AI语音助手,V1.2,腾讯,2023-08-20,腾讯科技,腾讯科技,是,智能语音,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-037-2023,城市安全监控系统,V1.0,华为,2023-09-18,华为技术,华为技术,是,公共安全,网络安全杂志,https://www.cybersecuritymagazine.com,2024-10-11,,,,,,,,
AI-070-2023,精准医疗分析系统,V2.1,阿里巴巴,2023-07-05,阿里健康,阿里健康,是,医疗健康,医疗科技网,https://www.medicaltechnews.com,2024-10-11,,,,,,,,
AI-056-2023,智能推荐系统,V1.5,字节跳动,2023-10-01,字节跳动科技,字节跳动科技,是,内容推荐,科技日报,https://www.scitechdaily.com,2024-10-11,,,,,,,,
AI-084-2023,智能教育管理平台,V1.0,好未来,2023-06-15,好未来教育,好未来教育,是,教育行业,教育科技网,https://www.edutechnology.com,2024-10-11,,,,,,,,
AI-029-2023,智能金融助手,V1.0,平安集团,2023-05-22,平安金融,平安金融,是,金融服务,中国金融网,https://www.chinafinance.com,2024-10-11,,,,,,,,
AI-005-2023,智能制造系统,V1.8,海尔,2023-04-11,海尔集团,海尔集团,是,制造业,制造业观察,https://www.manufacturingobserver.com,2024-10-11,,,,,,,,
AI-012-2023,智能养老护理系统,V1.0,乐龄科技,2023-08-30,乐龄科技有限公司,乐龄科技,否,养老服务,长者之家网,https://www.seniorscare.com,2024-10-11,,,,,,,,
AI-023-2023,AI市场分析系统,V2.2,京东,2023-09-12,京东商城,京东商城,是,市场分析,商界动态,https://www.businessworld.com,2024-10-11,,,,,,,,
AI-007-2023,虚拟现实教育工具,V1.0,网易,2023-10-05,网易教育,网易教育,是,教育行业,虚拟现实日报,https://www.vrnews.com,2024-10-11,,,,,,,,
AI-019-2023,智能医疗影像分析系统,V1.1,阿里健康,2023-09-05,阿里健康科技,阿里健康科技,是,医疗健康,HealthTech,https://www.healthtech.com,2024-10-11,,,,,,,,
AI-034-2023,城市环境监测系统,V2.1,华为,2023-08-20,华为技术有限公司,华为技术有限公司,是,环境监测,EcoMonitor,https://www.ecomonitor.com,2024-10-11,,,,,,,,
AI-001-2023,金融信贷评分系统,V1.2,蚂蚁金服,2023-09-15,蚂蚁集团,蚂蚁集团,是,金融服务,FinTech Daily,https://www.fintechdaily.com,2024-10-11,,,,,,,,
AI-045-2023,智能知识图谱构建系统,V1.0,腾讯,2023-07-30,腾讯科技,腾讯科技,是,数据分析,AI News,https://www.ainews.com,2024-10-11,,,,,,,,
AI-029-2023,商场顾客行为分析系统,V1.1,京东,2023-08-10,京东数字科技,京东数字科技,是,零售分析,RetailTech,https://www.retailtech.com,2024-10-11,,,,,,,,
AI-033-2023,个性化教育推荐系统,V1.0,网易有道,2023-05-25,网易教育,网易教育,是,教育行业,EdTech,https://www.edtech.com,2024-10-11,,,,,,,,
AI-045-2023,智能生产调度系统,V1.0,智能制造有限公司,2023-06-18,智能制造集团,智能制造集团,否,工业自动化,Manufacturing Insights,https://www.manufacturinginsights.com,2024-10-11,,,,,,,,
AI-012-2023,精准森林监测系统,V1.0,中国林业部,2023-07-20,中国林业部,中国林业部,是,环境监测,Environmental Journal,https://www.environmentaljournal.com,2024-10-11,,,,,,,,
AI-078-2023,智能社交媒体情感分析系统,V1.0,字节跳动,2023-09-25,字节跳动科技,字节跳动科技,是,社交媒体分析,Social Media Trends,https://www.socialmediatrends.com,2024-10-11,,,,,,,,
AI-034-2023,智能建筑管理系统,V1.0,中建集团,2023-07-15,中建科技,中建科技,是,建筑管理,Construction Tech,https://www.constructiontech.com,2024-10-11,,,,,,,,
AI-059-2023,智能语音识别系统,V1.0,腾讯,2023-06-20,腾讯科技,腾讯科技,是,语音处理,百度百科,https://baike.baidu.com/,2024-10-11,,,,,,,,
AI-021-2023,金融市场预测系统,V2.1,蚂蚁集团,2023-07-05,蚂蚁金服,蚂蚁金服,是,金融服务,金融时报,https://www.ft.com/,2024-10-11,,,,,,,,
AI-087-2023,虚拟学习助手,V2.0,寒梅科技,2023-07-15,寒梅教育,寒梅教育,是,教育行业,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-063-2023,智能法律咨询系统,V1.0,法大大,2023-08-05,法大大科技,法大大科技,是,法律服务,新华社,http://www.xinhuanet.com/,2024-10-11,,,,,,,,
AI-050-2023,内容生成助手,V1.5,字节跳动,2023-07-25,字节跳动科技,字节跳动科技,是,内容创作,新浪科技,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-092-2023,智能健康监测系统,V1.0,阿里健康,2023-05-15,阿里健康科技,阿里健康科技,是,医疗健康,21世纪经济报道,http://www.21jingji.com/,2024-10-11,,,,,,,,
AI-002-2023,智能气象预测系统,V1.0,国家气象局,2022-12-01,国家气象局,国家气象局,是,气象服务,中国日报,http://www.chinadaily.com.cn/,2024-10-11,,,,,,,,
AI-005-2023,高级数据分析系统,V2.0,华为,2023-08-20,华为云,华为云,是,数据分析,科技日报,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-007-2023,个性化推荐系统,V3.0,京东,2023-09-01,京东科技,京东科技,是,电商服务,投资界,https://pe.pedaily.cn/,2024-10-11,,,,,,,,
AI-010-2023,智能制造调度系统,V1.3,海尔,2023-09-10,海尔智家,海尔智家,是,制造业,搜狐科技,https://www.sohu.com/,2024-10-11,,,,,,,,
AI-012-2023,智能供应链优化系统,V1.0,阿里巴巴,2023-09-01,阿里云,阿里云,是,供应链管理,Alibaba Insights,https://www.alibaba.com,2024-10-11,,,,,,,,
AI-015-2023,智能医疗影像诊断系统,V2.1,腾讯,2023-07-20,腾讯医药,腾讯医药,是,医疗健康,Tencent Health,https://health.tencent.com,2024-10-11,,,,,,,,
AI-019-2023,智能法律合规助手,V1.0,华为,2023-08-15,华为法律科技,华为法律科技,是,法律服务,华为官网,https://www.huawei.com/cn/solutions/legal-technology,2024-10-11,,,,,,,,
AI-023-2023,人脸识别考勤系统,V1.0,京东,2023-06-25,京东科技,京东科技,是,人力资源,JD Tech,https://tech.jd.com,2024-10-11,,,,,,,,
AI-027-2023,智能环境监控系统,V1.0,中科院,2023-03-21,中国科学院,中国科学院,是,环保监测,Chinese Academy of Sciences,https://www.cas.cn,2024-10-11,,,,,,,,
AI-031-2023,智能生产调度系统,V2.0,海尔,2023-05-30,海尔智家,海尔智家,否,制造业,Haier News,https://www.haier.com/cn/news,2024-10-11,,,,,,,,
AI-027-2023,智能骑行助手,V1.0,美团,2023-09-10,美团出行,美团出行,是,交通出行,Meituan Tech,https://www.meituan.com,2024-10-11,,,,,,,,
AI-045-2023,心理健康应用AI助手,V1.0,丁香医生,2023-06-12,丁香医生科技,丁香医生科技,是,心理健康,Dingxiang Doctor,https://www.dxy.cn,2024-10-11,,,,,,,,
AI-112-2023,多语种翻译助手,V1.0,百度,2023-08-05,百度翻译,百度翻译,是,翻译服务,Baidu AI,https://ai.baidu.com,2024-10-11,,,,,,,,
AI-064-2023,智慧养老系统,V1.0,阿里巴巴,2023-08-01,阿里健康,阿里健康,是,健康护理,ChinaDaily,https://www.chinadaily.com.cn,2024-10-11,,,,,,,,
AI-089-2023,智能语音助手,V2.0,腾讯,2023-09-15,腾讯科技,腾讯科技,是,人工智能助手,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-033-2023,虚拟购物体验系统,V1.5,京东,2023-06-25,京东科技,京东科技,是,电子商务,TechNode,https://technode.com,2024-10-11,,,,,,,,
AI-075-2023,智慧制造管理系统,V2.1,华为,2023-07-20,华为技术,华为技术,是,工业制造,CSDN,https://blog.csdn.net,2024-10-11,,,,,,,,
AI-056-2023,AI语言翻译系统,V1.0,百度,2023-08-30,百度翻译,百度翻译,是,语言服务,China Business News,https://www.cb.com,2024-10-11,,,,,,,,
AI-099-2023,智能推荐系统,V1.2,美团,2023-09-05,美团科技,美团科技,是,大数据分析,Zol.com.cn,https://www.zol.com.cn,2024-10-11,,,,,,,,
AI-014-2023,智能金融助手,V1.0,蚂蚁集团,2023-09-12,蚂蚁科技,蚂蚁科技,否,金融服务,Forbes China,https://www.forbeschina.com,2024-10-11,,,,,,,,
AI-081-2023,智能家庭安防系统,V1.0,海康威视,2023-10-01,海康科技,海康科技,是,安防监控,Sohu,https://www.sohu.com,2024-10-11,,,,,,,,
AI-020-2023,智能环境监测系统,V1.0,理想汽车,2023-06-18,理想科技,理想科技,是,环境监测,NetEase,https://www.163.com,2024-10-11,,,,,,,,
AI-038-2023,智慧城市监控系统,V1.0,腾讯,2023-08-12,腾讯科技,腾讯科技,是,城市管理,新浪科技,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-067-2023,个性化推荐系统,V2.0,阿里巴巴,2023-06-15,阿里云,阿里云,是,电商服务,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-092-2023,情感分析系统,V1.0,字节跳动,2023-09-05,字节跳动科技,字节跳动科技,是,社交媒体分析,猎云网,https://www.lieyunwang.com/,2024-10-11,,,,,,,,
AI-048-2023,智能翻译助手,V3.0,百度,2023-10-01,百度翻译,百度翻译,是,语言服务,知乎,https://www.zhihu.com/,2024-10-11,,,,,,,,
AI-012-2023,自动驾驶系统,V1.5,华为,2023-05-18,华为技术有限公司,华为技术有限公司,是,智能交通,网易科技,https://tech.163.com/,2024-10-11,,,,,,,,
AI-034-2023,智慧医疗影像系统,V1.2,海康威视,2023-07-22,海康医疗,海康医疗,是,医疗健康,医学界,https://www.yixuejie.com/,2024-10-11,,,,,,,,
AI-056-2023,智能金融决策系统,V1.0,平安集团,2023-03-11,平安金融,平安金融,否,金融服务,财经网,https://www.caijing.com.cn/,2024-10-11,,,,,,,,
AI-078-2023,语音识别助手,V1.1,科大讯飞,2023-09-20,科大讯飞科技,科大讯飞科技,是,人机交互,DataScience,https://www.datascience.com/,2024-10-11,,,,,,,,
AI-091-2023,虚拟教育助理,V1.0,新东方,2023-07-30,新东方教育科技,新东方教育科技,是,教育行业,教育部官方网站,http://www.moe.gov.cn/,2024-10-11,,,,,,,,
AI-115-2023,智慧法律咨询平台,V1.1,法律创客,2023-08-05,法律创客科技,法律创客科技,是,法律服务,法律网,https://www.law.com.cn/,2024-10-11,,,,,,,,
AI-134-2023,智能法律咨询系统,V1.0,法祖科技,2023-08-10,法祖法律科技,法祖法律科技,是,法律服务,CSDN,https://www.csdn.net,2024-10-11,,,,,,,,
AI-167-2023,智能医疗诊断助手,V1.0,阿里健康,2023-08-25,阿里巴巴健康,阿里巴巴健康,是,医疗健康,Xinhua News,http://www.xinhuanet.com,2024-10-11,,,,,,,,
AI-189-2023,AI教育推荐平台,V1.1,腾讯教育,2023-09-01,腾讯课堂,腾讯课堂,是,教育行业,Sohu,https://www.sohu.com,2024-10-11,,,,,,,,
AI-205-2023,智能数据分析平台,V2.0,华为技术,2023-05-22,华为云,华为云,是,大数据分析,China Daily,http://www.chinadaily.com.cn,2024-10-11,,,,,,,,
AI-007-2023,智能安防系统,V1.0,海康威视,2023-06-15,海康威视科技,海康威视科技,是,安防监控,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-012-2023,虚拟助手系统,V1.0,字节跳动,2023-07-30,字节跳动科技,字节跳动科技,否,社交媒体,Weibo,https://www.weibo.com,2024-10-11,,,,,,,,
AI-019-2023,智能物流管理系统,V2.0,京东物流,2023-08-05,京东科技,京东科技,是,物流运输,Tencent News,https://news.tencent.com,2024-10-11,,,,,,,,
AI-025-2023,智慧城市建设系统,V1.0,中兴通讯,2023-09-15,中兴智能,中兴智能,是,城市管理,People's Daily,http://www.people.com.cn,2024-10-11,,,,,,,,
AI-033-2023,金融市场预测系统,V1.0,建设银行,2023-07-20,建行科技,建行科技,是,金融服务,Sina Finance,https://finance.sina.com.cn,2024-10-11,,,,,,,,
AI-041-2023,AI心理咨询助手,V1.0,腾讯,2023-08-10,腾讯健康,腾讯健康,是,心理健康,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-056-2023,智能农场管理系统,V1.1,阿里巴巴,2023-07-15,阿里云农业,阿里云,是,农业,农经网,http://www.nongjing.com/,2024-10-11,,,,,,,,
AI-066-2023,能源管理智能平台,V2.0,华为,2023-06-20,华为技术,华为技术,是,能源管理,工业互联网,http://www.gii.com.cn/,2024-10-11,,,,,,,,
AI-078-2023,智能金融分析系统,V1.0,蚂蚁集团,2023-09-05,蚂蚁金融,蚂蚁金融,是,金融服务,财经网,http://www.caixin.com/,2024-10-11,,,,,,,,
AI-084-2023,智慧气象服务系统,V1.0,中国气象局,2023-04-22,中国气象局,中国气象局,是,气象服务,Weather.com,https://www.weather.com/,2024-10-11,,,,,,,,
AI-002-2023,智能营销分析平台,V1.0,字节跳动,2023-03-30,字节跳动科技,字节跳动科技,是,市场营销,互联网周刊,http://www.互联网周刊.com/,2024-10-11,,,,,,,,
AI-005-2023,智能环境监测系统,V1.0,京东,2023-10-01,京东科技,京东科技,是,环境监测,生态环境部,http://www.mee.gov.cn/,2024-10-11,,,,,,,,
AI-007-2023,个性化健康管理系统,V1.2,美团,2023-05-30,美团健康,美团健康,是,健康管理,健康时报,http://www.jksb.com.cn/,2024-10-11,,,,,,,,
AI-010-2023,智能招聘平台,V1.0,LinkedIn,2023-08-15,LinkedIn招聘科技,LinkedIn招聘科技,是,人力资源,人力资源网,http://www.humanresources.com/,2024-10-11,,,,,,,,
AI-013-2023,智能法律咨询助手,V1.0,法大大,2023-09-18,法大大法律科技,法大大法律科技,是,法律服务,中国法律资讯网,http://www.legalinfo.cn/,2024-10-11,,,,,,,,
AI-018-2023,AI心理健康助手,V1.1,阿里巴巴,2023-08-12,阿里健康,阿里健康,是,心理健康,WeChat,https://www.wechat.com,2024-10-11,,,,,,,,
AI-021-2023,智能工业控制系统,V2.0,华为,2023-05-15,华为技术有限公司,华为技术有限公司,是,工业自动化,TechNode,https://technode.com,2024-10-11,,,,,,,,
AI-025-2023,智能预测分析系统,V1.0,腾讯,2023-09-18,腾讯科技,腾讯科技,是,数据分析,36氪,https://www.36kr.com,2024-10-11,,,,,,,,
AI-029-2023,智能城市管理系统,V1.0,百度,2023-07-30,百度城市科技,百度城市科技,否,城市管理,CSDN,https://www.csdn.net,2024-10-11,,,,,,,,
AI-033-2023,AI语言翻译助手,V1.0,搜狗,2023-06-25,搜狗科技,搜狗科技,是,翻译服务,丁香园,https://www.dxy.cn,2024-10-11,,,,,,,,
AI-002-2023,智能信用评分系统,V1.0,腾讯,2023-10-05,腾讯金融,腾讯金融,是,金融服务,中国财经网,https://www.china.com.cn,2024-10-11,,,,,,,,
AI-005-2023,全面健康监测系统,V1.0,平安科技,2023-04-22,平安健康,平安健康,是,健康监测,搜狐科技,https://www.sohu.com,2024-10-11,,,,,,,,
AI-007-2023,智能金融顾问,V1.0,中信证券,2023-08-30,中信金融,中信金融,是,金融服务,新浪财经,https://finance.sina.com.cn,2024-10-11,,,,,,,,
AI-011-2023,智能南北沟通助手,V1.0,iFlyTek,2023-09-11,科大讯飞,科大讯飞,是,语言处理,网易科技,https://tech.163.com,2024-10-11,,,,,,,,
AI-013-2023,智能情感分析系统,V1.0,字节跳动,2023-11-07,字节跳动科技,字节跳动科技,是,大数据分析,科技日报,http://www.stdaily.com,2024-10-11,,,,,,,,
AI-018-2023,智能疫情跟踪系统,V1.2,阿里巴巴,2023-08-15,阿里卫生科技,阿里卫生科技,是,公共卫生,上海热线,https://www.sohu.com/c/457810628,2024-10-11,,,,,,,,
AI-020-2023,智能农田监测系统,V2.1,中科院,2023-09-05,中科院农业部,中科院,是,农业监测,中国农业网,http://www.chinaagri.com,2024-10-11,,,,,,,,
AI-023-2023,AI个性化教育顾问,V1.5,学而思,2023-09-20,学而思教育科技,学而思教育科技,是,教育服务,清华大学教育研究院,http://www.tsinghua.edu.cn,2024-10-11,,,,,,,,
AI-025-2023,智能安全监控系统,V3.0,华为,2023-10-01,华为技术有限公司,华为技术有限公司,是,公共安全,科技日报,http://www.stdaily.com,2024-10-11,,,,,,,,
AI-029-2023,在线翻译助手,V1.4,腾讯,2023-06-30,腾讯科技,腾讯科技,是,语言服务,腾讯新闻,https://news.qq.com,2024-10-11,,,,,,,,
AI-023-2023,智能财务分析系统,V1.3,平安科技,2023-11-12,平安科技有限公司,平安科技有限公司,是,金融科技,金融时报,http://www.financialnews.com.cn,2024-10-11,,,,,,,,
AI-067-2023,智能城市管理系统,V2.3,中兴通讯,2023-12-01,中兴智能科技,中兴智能科技,否,城市管理,中国城市规划网,http://www.up.cn,2024-10-11,,,,,,,,
AI-145-2023,智能旅游推荐系统,V1.2,携程,2023-08-23,携程网,携程网,是,旅游服务,财经时报,http://www.caijing.com.cn,2024-10-11,,,,,,,,
AI-092-2023,智能客服交互平台,V1.1,京东,2023-07-17,京东客服部,京东客服部,是,客户支持,科技日报,http://www.stdaily.com,2024-10-11,,,,,,,,
