试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
智能食品安全监测系统试验,Beijing-ZhiNeng-20241028 S0011,食品安全智能监测平台,食品行业,企业,雀巢,研究机构,食品科学研究所,应用研究,进行中,1,全球,瑞士,2023-10-01,2023-11-01,2024-06-30,2024-09-12,包括食品追踪、质量监测和数据分析,Journal of Food Science,https://onlinelibrary.wiley.com/journal/17503841,2024-10-10,
人工智能辅助药物发现,,AI药物研发平台,制药,企业,辉瑞,大学,麻省理工学院,应用研究,招募中,1,北美,美国,2023-03-01,2023-09-01,2025-03-01,2024-10-01,包括数据挖掘、化合物筛选及预测模型,Nature,https://www.nature.com/,2024-10-10,
智能物流优化系统实验,Tianjin-JinXing-20241030 S0013,智能物流助手,物流运输,企业,阿里巴巴,政府,国家物流局,技术开发,进行中,2,亚洲,中国,2023-04-15,2023-07-01,2025-01-15,2024-05-20,包括实时跟踪、数据分析以及优化调度,Forbes,https://www.forbes.com/,2024-10-10,
人工智能助力气候变化研究,,气候智能分析系统,环境科学,科研机构,斯坦福大学,国际组织,联合国气候变化大会,基础研究,已完成,2,北美,美国,2022-09-10,2023-01-02,2024-12-01,2024-09-15,包括数据获取、模型构建及可视化工具,IPCC,https://www.ipcc.ch/,2024-10-10,
智能金融顾问系统实验,,AI财务顾问,金融服务,金融机构,摩根士丹利,企业,IBM,应用研究,招募中,1,北美,美国,2023-05-20,2023-08-15,2024-10-15,2024-09-01,包括市场分析、财务预测及智能推荐,Bloomberg,https://www.bloomberg.com/,2024-10-10,
智能城市安防系统开发,Yunnan-ZhiHui-20241102 S0016,城市安全AI系统,城市管理,政府,新加坡警务局,企业,华为,应用研究,招募中,1,亚洲,新加坡,2023-06-10,2023-09-01,2025-01-01,2024-03-01,包括视频监控、行为检测和数据分析,GovTech,https://www.tech.gov.sg/,2024-10-10,
基于AI的个性化心理咨询系统,,智能心理助手,心理健康,企业,BetterHelp,大学,北京师范大学,应用研究,进行中,1,北美,美国,2023-07-20,2023-10-01,2024-12-15,2024-06-15,包括用户数据分析、个性化建议和干预策略,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
无人驾驶车辆的AI安全系统实验,,AI安全驾驶系统,自动驾驶,企业,特斯拉,研究机构,加州大学伯克利分校,技术开发,已完成,2,北美,美国,2023-02-20,2023-05-02,2024-02-28,2024-09-10,包括感知系统、决策算法和路况分析,IEEE,https://www.ieee.org/,2024-10-10,
AI辅助个人健康管理实验,Jilin-QingKe-20241105 S0019,健康监控AI助手,个人健康,企业,Fitbit,大学,清华大学,应用研究,进行中,1,亚洲,中国,2023-08-01,2023-11-01,2025-03-01,2024-01-15,包括健康数据跟踪、分析和预警,Harvard Health,https://www.health.harvard.edu/,2024-10-10,
基于AI的语言翻译系统实验,,智能翻译助手,语言服务,企业,Google,大学,剑桥大学,技术开发,已完成,2,欧洲,英国,2023-05-10,2023-08-01,2024-04-15,2024-03-20,包括神经网络、数据训练和实时翻译,TechCrunch,https://techcrunch.com/,2024-10-10,
AI在心理健康评估中的应用,,AI心理助手,心理健康,企业,微软,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-08-10,2023-09-20,2024-06-15,2024-10-01,包括情感分析与心理干预建议,HealthAI,https://www.healthai.com,2024-10-10,
智慧城市环境监测系统试验证,Guangdong-HuaWei-20241019 S0003,智慧环境监测系统,城市发展,地方政府,上海市政府,企业,阿里巴巴,技术开发,进行中,2,亚洲,中国,2023-09-15,2023-10-10,2024-12-20,2024-09-15,包括空气质量监测、数据分析、预警系统,SmartCity,https://www.smartcity.com,2024-10-10,
AI辅助农业病虫害检测系统实验,Zhejiang-BaiDu-20241021 S0004,智能农业病虫检测系统,农业,科研机构,中国农业科学院,企业,百度,应用研究,已完成,1,亚洲,中国,2022-05-25,2022-06-15,2023-05-01,2024-01-05,包括相机监测、AI图像识别、数据报告,AgriTech,https://www.agritech.com,2024-10-10,
AI在金融欺诈检测中的应用,,反欺诈AI系统,金融服务,企业,PayPal,大学,麻省理工学院,技术开发,招募中,1,北美,美国,2023-07-20,2023-09-01,2024-08-01,2024-10-01,包括交易分析、异常检测、警报系统,Finsights,https://www.finsights.com,2024-10-10,
AI在社会安全监测系统中的应用,Shandong-ZuoZhe-20241023 S0006,智能社会监测系统,安全管理,城市政府,新加坡警察部队,企业,腾讯,应用研究,进行中,1,亚洲,新加坡,2023-04-30,2023-05-15,2024-05-30,2024-10-02,包括摄像头监控、AI分析与预测系统,PoliceTech,https://www.policetech.com,2024-10-10,
个性化医疗推荐系统开发实验,,个性化AI医疗助手,医疗健康,医药公司,拜耳,科研机构,约翰斯·霍普金斯大学,临床研究,招募中,1,北美,美国,2023-10-10,2023-11-01,2025-03-01,2024-05-10,包括患者数据分析、治疗推荐与效果监测,PharmaAI,https://www.pharmaai.com,2024-10-10,
AI在灾难响应系统中的应用,,智能灾难响应AI系统,应急管理,政府,联邦应急管理局,科研机构,国防科技大学,项目研究,招募中,1,北美,美国,2023-06-20,2023-07-01,2024-02-28,2024-03-15,包括实时数据收集、事件预测和响应规划,DisasterAI,https://www.disasterai.com,2024-10-10,
创新型在线学习平台辅助实验,,AI在线学习助手,教育行业,教育机构,edX,高校,剑桥大学,教育研究,进行中,1,欧洲,英国,2023-08-15,2023-09-10,2024-05-01,2024-10-01,包括课程推荐、学习分析、进度追踪,EduTech,https://www.edutech.com,2024-10-10,
智慧城市环境监测研究,Liaoning-YuanChuang-20241027 S0010,智能环境监测系统,城市管理,企业,阿里巴巴,国际组织,联合国环境规划署,应用研究,招募中,1,亚洲,中国,2023-09-01,2023-10-15,2024-03-30,2024-09-01,包括气象监测、空气质量评估和数据分析,ScienceDirect,https://www.sciencedirect.com/,2024-10-10,
智能机器人在灾害响应中的应用,,灾害响应机器人,应急管理,科研机构,清华大学,企业,波士顿动力,技术开发,已完成,2,北美,美国,2022-04-11,2022-05-15,2023-02-20,2023-08-20,包括多传感器系统、紧急响应算法和实时指挥,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-10,
面向老年人的智能健康管理,,老年人健康监护系统,医疗健康,企业,伟创力,大学,剑桥大学,临床研究,招募中,1,欧洲,英国,2023-03-10,2023-06-01,2024-12-01,2024-10-20,包括健康数据追踪、远程监测和提醒功能,JAMA Network,https://jamanetwork.com/,2024-10-10,
智能供应链优化系统研究,Tianjin-JinXing-20241030 S0013,供应链智能决策系统,物流及供应链,企业,京东,科研机构,华中科技大学,应用研究,招募中,1,亚洲,中国,2023-08-20,2023-09-10,2024-06-15,2024-11-01,包括预测分析、库存管理和决策支持,McKinsey,https://www.mckinsey.com/,2024-10-10,
人工智能在农业预测中的应用,Shaanxi-HuaZhong-20241031 S0014,农业预测AI系统,农业,科研机构,中国农业大学,企业,农视科技,应用研究,招募中,1,亚洲,中国,2023-06-15,2023-07-20,2024-05-05,2024-10-10,包括作物生长预测、气候分析和数据挖掘,AgFunder Network Partners,https://agfunder.com/,2024-10-10,
智能语音助手的语言学习实验,,语音学习助手,教育行业,企业,滴滴出行,大学,加州大学伯克利分校,教育研究,进行中,2,北美,美国,2023-10-05,2023-11-01,2024-12-20,2024-10-15,包括语音识别、语言纠正和互动学习,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
深度学习在金融网络安全中的应用,,金融安全AI系统,金融服务,企业,摩根大通,大学,斯坦福大学,技术研究,已完成,1,北美,美国,2023-05-25,2023-06-15,2023-11-20,2023-10-28,包括网络监测、欺诈检测和数据加密,Forbes,https://www.forbes.com/,2024-10-10,
智能推荐系统在电子商务的应用,,电商推荐AI系统,在线零售,企业,亚马逊,大学,麻省理工学院,应用研究,招募中,1,北美,美国,2023-09-15,2023-10-20,2024-06-30,2024-11-01,包括用户行为分析、个性化推荐和反馈机制,Harvard Business Review,https://hbr.org/,2024-10-10,
智慧法务系统开发,,法务智能助手,法律服务,企业,IBM,大学,斯坦福大学,技术开发,招募中,1,北美,美国,2023-08-01,2023-09-10,2024-06-30,2024-10-15,包括法律文本分析、案例预测和智能咨询,LegalTech,https://www.legaltech.com,2024-10-10,
智能零售系统试验,,零售智能助手,零售行业,企业,亚马逊,公司,麦肯锡,应用研究,已完成,2,北美,美国,2022-05-15,2022-07-01,2023-05-20,2023-09-05,包括消费分析、库存管理和推荐系统,Harvard Business Review,https://hbr.org,2024-10-10,
城市智能规划试验,,智能城市管理系统,城市规划,政府,纽约市政府,科研机构,哥伦比亚大学,政策研究,招募中,1,北美,美国,2023-09-01,2023-10-15,2024-11-01,2024-10-20,包括交通流量监测、能源管理和公共安全,Urban Studies,https://www.urbanstudiesonline.com,2024-10-10,
人工智能教育公平实验,,教育公平智能平台,教育,非盈利组织,联合国教科文组织,大学,悉尼大学,社会科学研究,招募中,1,亚太地区,澳大利亚,2023-06-15,2023-08-01,2024-04-30,2024-11-01,包括教育资源管理、在线学习平台和评估工具,UNESCO,https://www.unesco.org,2024-10-10,
智能能源管理系统实验,,能源优化助手,能源管理,企业,壳牌,研究机构,国家能源局,应用研究,已完成,2,欧洲,荷兰,2022-10-25,2023-01-20,2023-12-15,2024-01-10,包括消费预测、资源分配和碳排放监控,Energy Transition,https://www.energytransition.com,2024-10-10,
人工智能内容创作实验,Zhejiang-BaiDu-20241021 S0004,内容生成AI,媒体与娱乐,企业,字节跳动,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-11-10,2024-01-01,2024-12-31,2024-09-15,包括文本生成、视频编辑和音频合成,TechCrunch,https://techcrunch.com,2024-10-10,
情感分析系统研发,,情感识别AI,心理健康,科研机构,美国心理学会,大学,北京大学,临床研究,招募中,1,北美,加拿大,2023-01-15,2023-02-01,2024-05-15,2024-10-01,包括情感识别、心理分析和数据可视化,Journal of Psychology,https://www.apa.org,2024-10-10,
智能医疗影像识别系统试验,,影像智能诊断助手,医疗健康,企业,迈瑞医疗,大学,约翰霍普金斯大学,临床研究,招募中,1,北美,美国,2023-03-01,2023-05-20,2024-04-20,2024-11-01,包括影像分析、病理识别和智能报告生成,NIH,https://www.nih.gov,2024-10-10,
AI在法律咨询中的应用,Hubei-YunXing-20241024 S0007,智能法律顾问,法律服务,企业,阿里巴巴,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-06-30,2024-11-01,包括法律文档分析、案例推荐和智能问答,法律科技网,https://www.lawtech.cn,2024-10-10,
基于AI的个性化医疗系统研究,Anhui-XingFu-20241025 S0008,个性化健康助手,医疗健康,企业,微医集团,医院,北京协和医院,临床实验,招募中,1,亚洲,中国,2023-03-10,2023-07-01,2025-01-15,2024-10-20,包括基因数据分析、个性化治疗方案推荐,医学界,https://www.medj.cn,2024-10-10,
智能金融投资分析系统,Jiangxi-QiXiang-20241026 S0009,智能投顾平台,金融服务,企业,蚂蚁集团,金融机构,中国工商银行,应用研究,已完成,2,亚洲,中国,2022-05-20,2022-08-01,2023-12-31,2023-11-15,包括市场趋势分析、风险评估与资产配置,金融时报,https://www.ftchinese.com,2024-10-10,
AI驱动的智能客服系统实验,Liaoning-YuanChuang-20241027 S0010,智能客服助手,客户服务,企业,腾讯,技术公司,美团点评,技术开发,招募中,1,亚洲,中国,2023-09-05,2023-10-01,2024-05-20,2024-10-05,包括自然语言处理、情绪识别与用户反馈,智东西,https://www.zhidongxi.com,2024-10-10,
人工智能在心理健康支持中的应用研究,Beijing-ZhiNeng-20241028 S0011,心理健康助手,心理健康,科研机构,香港中文大学,社会组织,心灵之音,临床研究,招募中,1,亚洲,中国香港,2023-04-02,2023-06-15,2025-02-01,2024-09-30,包括用户行为分析、心理测试与情感支持,心理健康研究协会,https://www.mentalhealthresearchassociation.org,2024-10-10,
城市安全监控系统的AI应用,Shanghai-WeiXin-20241029 S0012,城市安全监控平台,公共安全,政府,地方公安局,科技公司,华为,技术开发,已完成,2,亚洲,中国,2022-10-10,2022-12-01,2023-06-30,2023-07-01,包括视频监控、数据分析和即时响应,中国公安部,http://www.mps.gov.cn,2024-10-10,
智能语言翻译系统实验,Tianjin-JinXing-20241030 S0013,全球语言助手,语言服务,企业,百度,大学,复旦大学,技术开发,招募中,1,亚洲,中国,2023-01-20,2023-02-15,2024-08-30,2024-10-10,包括机器翻译、语音识别与实时翻译,编程猫,https://www.codermiao.com,2024-10-10,
AI辅助的清洁能源管理系统研究,,能源管理助手,清洁能源,企业,特斯拉,研究所,国家可再生能源实验室,应用研究,招募中,1,北美,美国,2023-02-05,2023-03-01,2024-12-15,2024-11-05,包括能源消耗监测、优化建议与预测功能,冯都堡科技公司,https://www.fengdb.com,2024-10-10,
智能医疗辅助系统开发,,AI健康顾问,医疗健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-06-15,2023-08-01,2024-07-15,2024-09-05,包括虚拟咨询、个性化建议等功能,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
人工智能在智能制造中的应用,,智能操作管理系统,工业制造,企业,西门子,研究机构,卡内基梅隆大学,应用研究,进行中,2,欧洲,德国,2023-04-10,2023-07-15,2024-06-30,2024-11-01,包括自动化控制、机器学习和数据分析,OpenText,https://www.opentext.com/,2024-10-10,
智能环境监测系统试验,Fujian-SuShi-20241103 S0017,环境智能监测平台,环境保护,政府,生态环境部,企业,阿里巴巴,环境研究,已完成,2,亚洲,中国,2022-10-05,2023-01-01,2023-11-30,2024-09-12,包括实时监测、数据分析和预测模型,CSDN,https://www.csdn.net/,2024-10-10,
智能交通信号控制系统,Hunan-JingZhi-20241104 S0018,智能信号优化系统,交通运输,地方政府,北京市交通委员会,大学,清华大学,应用研究,进行中,3,亚洲,中国,2023-09-10,2023-10-01,2024-08-15,2024-12-01,包含数据采集、信号调控和模型预测,交通运输部,http://www.mot.gov.cn/,2024-10-10,
农业智能决策支持系统实证,Jilin-QingKe-20241105 S0019,智能农作助手,农业,企业,拜耳,科研机构,中国农业科学院,应用研究,招募中,1,亚洲,中国,2023-03-25,2023-05-15,2024-04-20,2024-10-15,实现作物管理、数据分析和市场趋势预测,农业部,http://www.moa.gov.cn/,2024-10-10,
AI公共卫生监测系统,,智能公共卫生监测平台,公共卫生,国际组织,世界卫生组织,大学,约翰斯·霍普金斯大学,研究项目,进行中,2,全球,美国,2023-08-20,2023-09-05,2024-12-01,2024-12-10,包括实时数据收集、疾病预测和警报系统,WHO,https://www.who.int/,2024-10-10,
智能城市数据分析平台试验,Sichuan-XinTian-20241020 S0002,城市管理智能平台,城市管理,政府,上海市政府,企业,百度,城市研究,已完成,1,亚洲,中国,2022-12-01,2023-01-10,2023-11-15,2024-08-20,包括城市基础设施监控、数据分析和优化资源分配,市政府,http://www.shanghai.gov.cn/,2024-10-10,
智能金融投资顾问系统开发,,投资智能助手,金融服务,企业,摩根士丹利,大学,纽约大学,市场研究,招募中,1,北美,美国,2023-08-15,2023-09-01,2024-04-20,2024-12-15,包含金融数据分析、风险评估和投资建议,Bloomberg,https://www.bloomberg.com/,2024-10-10,
智能健康监测系统实验,Zhejiang-BaiDu-20241021 S0004,远程健康监测助手,医疗健康,企业,阿里巴巴,大学,清华大学,临床研究,招募中,1,亚洲,中国,2023-06-01,2023-07-01,2024-06-01,2024-10-01,包括心率监测、数据分析和健康预测,MedicalDevice,https://www.medicaldevice.com,2024-10-10,
基于AI的教育评估系统实验,,智能教育评估平台,教育行业,科研机构,斯坦福大学,企业,启迪智云,教育研究,进行中,1,北美,美国,2023-08-15,2023-09-01,2024-08-15,2024-11-01,包括自动评分、个性化学习方案和学生反馈,EdTechReview,https://edtechreview.in,2024-10-10,
人工智能农业机器人项目,Shandong-ZuoZhe-20241023 S0006,农业智能机器人,农业,企业,丰田汽车,政府,日本农林水产省,应用研究,招募中,1,亚洲,日本,2023-07-10,2023-08-15,2024-09-10,2024-12-01,包括自动化耕作、监控和数据分析,AgriTech,https://www.agritech.com,2024-10-10,
AI辅助金融交易分析实验,,智能交易助手,金融服务,企业,摩根大通,大学,伦敦商学院,技术开发,已完成,2,北美,美国,2022-10-12,2023-01-01,2023-10-30,2023-10-01,包括趋势预测、决策支持和实时分析,FinTechNews,https://fintechnews.com,2024-10-10,
智能语音助手研究实验,,语音助手系统,家居生活,企业,亚马逊,科研机构,卡耐基梅隆大学,技术开发,招募中,1,北美,美国,2023-03-20,2023-05-01,2024-05-20,2024-10-15,包括语音识别、自然语言处理和用户个性化,AI Research,https://www.airesearch.com,2024-10-10,
城市环境监控系统实验,,智能环境监控系统,城市管理,政府,新加坡环境局,企业,IBM,应用研究,进行中,1,亚洲,新加坡,2023-04-25,2023-06-01,2024-06-30,2024-10-20,包括空气质量监测、数据分析和预警系统,SmartCities,https://smartcities.com,2024-10-10,
AI驱动的网络安全强化实验,,智能安全监控系统,网络安全,企业,微软,科研机构,牛津大学,技术开发,招募中,2,欧洲,英国,2023-02-05,2023-04-20,2024-03-15,2024-09-30,包括威胁检测、数据保护和风险评估,CyberSecurity,https://cybersecurity.com,2024-10-10,
人工智能在法务领域的应用研究,,法律AI助手,法律服务,企业,艾伦·奥斯本律师事务所,大学,哈佛大学法学院,应用研究,招募中,1,北美,美国,2023-05-15,2023-07-01,2024-06-01,2024-10-01,包括案件分析、文书自动化和法律研究,LegalTech,https://legaltech.com,2024-10-10,
智能电网优化研究实验,,智能电网管理系统,能源,政府,能源部,企业,西门子,应用研究,已完成,2,欧洲,德国,2022-05-20,2022-08-01,2023-05-30,2023-10-01,包括负载预测、资源优化和智能调度,EnergyTech,https://energytech.com,2024-10-10,
智能医疗影像分析系统试验,,AI影像助手,医疗健康,企业,IBM,医院,梅奥诊所,临床研究,招募中,1,北美,美国,2023-04-10,2023-07-01,2024-07-01,2024-09-10,包括影像分析、图像识别和机器学习,HealthIT,https://www.healthit.gov,2024-10-10,
智能供应链管理系统,,AI供应链助手,商业管理,企业,亚马逊,研究机构,斯坦福大学,应用研究,已完成,2,北美,美国,2022-01-15,2022-02-15,2022-12-01,2023-05-20,包括数据分析、预测建模与决策支持,SupplyChainManagement,https://www.supplychainmanagement.com,2024-10-10,
智能制造与自动化平台实验,,工业智能助手,制造业,政府,德国工业部,企业,西门子,技术开发,招募中,1,欧洲,德国,2023-09-01,2023-10-01,2024-10-01,2024-11-15,包括机器人控制、生产监测与数据分析,IndustryWeek,https://www.industryweek.com,2024-10-10,
智能环境监测系统研究,Yunnan-ZhiHui-20241102 S0016,环境AI监测系统,环境保护,企业,特斯拉,科研机构,清华大学,技术开发,招募中,2,亚洲,中国,2023-09-15,2023-10-20,2025-01-15,2024-12-01,包括数据收集、分析算法与异常检测,EnvironmentalData,https://www.environmentaldata.com,2024-10-10,
智能农作物监测系统实验,Fujian-SuShi-20241103 S0017,智能农作物助手,农业,政府,农业与农村事务部,企业,阿里巴巴,应用研究,进行中,1,亚洲,中国,2023-08-25,2023-09-15,2024-06-20,2024-10-04,包括无人机监测、传感器网络与数据分析,AgriTechNews,https://www.agritechnews.com,2024-10-10,
全自动化银行风险评估系统,,AI银行助手,金融服务,银行,花旗银行,大学,麻省理工学院,应用研究,已完成,2,北美,美国,2023-03-01,2023-04-01,2023-11-30,2023-10-15,包括风控模型、数据挖掘与客户分析,BankInnovation,https://www.bankinnovation.net,2024-10-10,
智能教育培训平台实验,,AI教育助手,教育行业,学院,剑桥大学,企业,LinkedIn,教育研究,招募中,1,欧洲,英国,2023-06-20,2023-07-10,2024-03-25,2024-09-30,包括在线课程、实时反馈与分析工具,EdTechReview,https://www.edtechreview.com,2024-10-10,
个性化健康管理系统开发实验,Ningxia-JiZhi-20241106 S0020,健康AI助手,医疗健康,企业,阿斯利康,医院,清华大学医院,临床研究,招募中,1,亚洲,中国,2023-05-15,2023-06-20,2024-08-10,2024-11-01,包括健康数据分析、个人健康档案管理与智能推荐,Mayo Clinic,https://www.mayoclinic.org,2024-10-10,
基于AI的肺癌早筛系统研究,Sichuan-XinTian-20241020 S0002,肺癌智能筛查助手,医疗健康,企业,腾讯,医疗机构,中山大学附属医院,临床研究,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-12-20,2024-10-10,包括影像分析、数据处理和诊断支持,Dr. AI,https://www.drai.com,2024-10-10,
金融风控智能化提升研究,Guangdong-HuaWei-20241019 S0003,智能风控系统,金融服务,企业,蚂蚁金服,研究所,上海交通大学,应用研究,招募中,2,亚洲,中国,2023-05-25,2023-07-01,2024-06-30,2024-09-01,包含数据挖掘、风险评估和决策指导,Fintech Weekly,https://www.fintechweekly.com,2024-10-10,
人工智能辅助教育系统研究,,智能教育平台,教育行业,科研机构,加州大学伯克利分校,企业,IBM,技术开发,已完成,2,北美,美国,2022-11-01,2023-01-10,2023-12-15,2024-01-20,包含自适应学习算法、实时反馈和数据分析工具,Education Tech,https://www.education-tech.com,2024-10-10,
智能农业决策支持系统开发,Henan-JunJian-20241022 S0005,智慧农业平台,农业,企业,百度,科研机构,中国农业科学院,应用研究,已完成,2,亚洲,中国,2023-06-01,2023-07-15,2024-05-25,2024-09-05,集成传感器、数据处理和生产规划,AgriTech Innovations,https://www.agritechinnovations.com,2024-10-10,
智能法律咨询系统研究,Shandong-ZuoZhe-20241023 S0006,AI法律助手,法律服务,企业,华为,法律事务所,中伦律师事务所,技术开发,招募中,1,亚洲,中国,2023-09-10,2023-09-25,2024-06-15,2024-10-01,包括自然语言处理和知识图谱构建,LegalTech Insights,https://www.legaltechinsights.com,2024-10-10,
智能制造与自动化系统研究,Hubei-YunXing-20241024 S0007,智能制造平台,制造业,企业,富士康,大学,清华大学,应用研究,已完成,3,亚洲,中国,2022-10-01,2023-01-01,2024-01-20,2024-04-15,包含机器人控制、数据分析和优化算法,Manufacturing Today,https://www.manufacturingtoday.com,2024-10-10,
智能环境监测系统实验,,环境监测助手,环境保护,政府,环境保护局,大学,北京大学,基础研究,招募中,1,北美,美国,2023-08-15,2023-10-01,2024-09-30,2024-10-01,整合传感器网络、数据收集和分析支持,Environmental Science,https://www.environmentalscience.com,2024-10-10,
智能城市规划系统实验,Jiangxi-QiXiang-20241026 S0009,城市智能助手,城市管理,政府,城市发展局,企业,阿里巴巴,应用研究,招募中,1,亚洲,中国,2023-04-22,2023-05-15,2024-05-10,2024-09-20,包括数据分析、区域发展和优化设计,Smart City Technology,https://www.smartcitytechnology.com,2024-10-10,
人工智能辅助心理健康诊疗,,情感智能辅助系统,心理健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-09-10,2024-01-01,2025-01-15,2024-12-01,包括自然语言处理、情感分析和健康评估工具,PsychAI,https://www.psychai.com,2024-10-10,
智能城市环境监控系统,Beijing-ZhiNeng-20241028 S0011,环境感知AI系统,城市规划,政府,城市发展局,科研机构,清华大学,应用研究,进行中,2,亚洲,中国,2023-03-05,2023-06-01,2024-12-31,2024-06-15,包括数据收集、实时分析和环境警报,UrbanAI,https://www.urbanai.com,2024-10-10,
精准营销智能系统,Shanghai-WeiXin-20241029 S0012,AI市场分析平台,市场营销,企业,阿里巴巴,大学,复旦大学,市场研究,招募中,1,亚洲,中国,2023-06-20,2023-08-15,2024-05-30,2024-04-01,包括用户行为预测、数据挖掘和报告生成,MarketingAI,https://www.marketingai.com,2024-10-10,
智能药物研发平台,,药物发现AI平台,制药,企业,辉瑞,科研机构,约翰霍普金斯大学,技术开发,进行中,2,北美,美国,2022-12-12,2023-02-01,2025-07-20,2024-01-15,包括化合物筛选、临床试验设计和数据分析,PharmaTech,https://www.pharmatech.com,2024-10-10,
教育公平智能评估系统,,智能教育评估助手,教育,企业,Khan Academy,学校,牛津大学,教育研究,已完成,3,欧洲,英国,2022-06-29,2022-09-01,2023-08-15,2023-10-31,包括学习路径个性化、实时反馈与分析,EdTech Research,https://www.edtechresearch.com,2024-10-10,
智能废弃物管理系统,,废物分类AI助手,环境保护,政府,环境保护部,企业,WasteTech,应用研究,招募中,1,欧洲,法国,2023-04-15,2023-07-01,2024-12-31,2024-05-01,包括垃圾分类、数据跟踪和回收优化,EcoAI,https://www.ecoai.com,2024-10-10,
智能老年护理服务系统,,智能护理助手,医疗健康,企业,养老科技公司,大学,东京大学,应用研究,进行中,2,亚洲,日本,2023-08-25,2024-01-15,2025-03-31,2024-10-01,包括健康监测、紧急响应和社交互动功能,AgingAI,https://www.agingai.com,2024-10-10,
智能物流优化系统,,物流管理AI平台,物流与供应链,企业,亚马逊,大学,清华大学,技术开发,招募中,1,北美,美国,2023-05-30,2023-09-01,2024-06-30,2024-04-05,包括路线优化、实时调度和成本分析,LogisticsTech,https://www.logisticstech.com,2024-10-10,
智能能源管理系统,,能源监控AI系统,能源,企业,壳牌,科研机构,麻省理工学院,应用研究,进行中,2,北美,美国,2023-10-01,2024-02-01,2025-01-15,2024-07-15,包括能源消耗监测、数据分析和节能建议,EnergyAI,https://www.energyai.com,2024-10-10,
人工智能在心理健康中的应用,Jilin-QingKe-20241105 S0019,AI心理健康助手,心理健康,企业,微众银行,研究所,中国科学院心理研究所,临床研究,招募中,1,中国,中国,2023-08-01,2023-09-01,2024-06-30,2024-10-01,包括情绪监测、聊天机器人和心理评估工具,HealthTech,https://www.healthtech.com/,2024-10-10,
智能农业灌溉系统评估,,智能灌溉管理平台,农业科技,政府,国家农业部,企业,惠普公司,应用研究,进行中,2,北美,美国,2023-10-10,2024-01-01,2025-01-01,2024-10-01,包括传感器网络、引用天气预测和水资源管理,AgriTech,https://www.agritech.com/,2024-10-10,
基于AI的智能翻译系统研究,Sichuan-XinTian-20241020 S0002,多语种翻译助手,语言处理,企业,阿里巴巴,大学,清华大学,技术开发,已完成,1,亚洲,中国,2023-04-15,2023-05-01,2023-11-10,2023-12-15,包括AI翻译模型和实时语音识别,AI Lab,https://www.ailab.com/,2024-10-10,
工厂智能化质量控制系统实验,Guangdong-HuaWei-20241019 S0003,AI质量监控系统,制造业,企业,三星电子,政府,韩国科技部,应用研究,招募中,2,亚洲,韩国,2023-09-21,2024-02-01,2024-12-15,2024-10-10,包括实时监控、缺陷检测和数据分析,IndustryWeek,https://www.industryweek.com/,2024-10-10,
AI驱动的个人财务规划工具开发,,智能财务顾问,金融服务,企业,PayPal,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-06-15,2023-09-01,2024-05-01,2024-08-15,包括预算规划、投资建议和风险评估,Finance Express,https://www.financeexpress.com/,2024-10-10,
AI驱动的个性化广告投放系统实验,Henan-JunJian-20241022 S0005,智能广告助手,市场营销,企业,字节跳动,研究中心,科技日报,应用研究,进行中,1,亚洲,中国,2023-03-10,2023-04-20,2024-03-30,2024-09-30,包括用户行为分析、个性化推荐和投放优化,Marketing Tech,https://www.marketingtechnews.net/,2024-10-10,
远程医疗系统研发实验,,远程医疗平台,医疗健康,非营利组织,红十字会,科研机构,约翰霍普金斯大学,技术开发,招募中,1,北美,美国,2023-05-20,2023-07-15,2024-04-20,2024-09-05,包括视频会诊、数据共享和健康监控,Health Affairs,https://www.healthaffairs.org/,2024-10-10,
智能环境监测系统研究,,环境智能监测平台,环境科学,企业,特斯拉,政府,加州环境保护署,应用研究,进行中,2,北美,美国,2023-11-01,2024-01-10,2025-01-10,2024-12-15,包括空气质量监测、数据可视化和预警系统,EcoWatch,https://www.ecowatch.com/,2024-10-10,
智能化生活助手系统研究,,个人智能助手,家居生活,企业,华为,大学,北京邮电大学,技术开发,招募中,1,亚洲,中国,2023-06-01,2023-08-01,2024-04-01,2024-07-01,包括任务管理、智能家居控制和个人助理功能,TechCrunch,https://techcrunch.com/,2024-10-10,
