标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
H.264/AVC,跨平台视频编码标准,30.0,fps,8bit,高清晰度,4:3,2007-02-01,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,全球,Wikipedia,,
AVS3,先进视频编解码标准,120.0,fps,12bit,超高清晰度,16:09,2023-05-01,http://www.sac.gov.cn,中国,中国国家标准化管理委员会,,
EVC,高效视频编解码标准,60.0,fps,10bit,超高清晰度,21:09,2023-03-20,https://www.iso.org,全球,ISO/IEC,,
H.266/VVC,视频编码先进标准,120.0,fps,10bit,超高清晰度,2.39:1,2022-08-31,https://hhi.fraunhofer.de,全球,Fraunhofer HHI,,
HEVC-PF,HEVC视频传输补充标准,60.0,fps,12bit,超高清晰度,16:09,2021-10-10,https://www.itu.int,美洲,ITU,,
NEXTGEN TV,下一代广播电视标准,30.0,fps,10bit,高画质,16:09,2023-04-20,https://www.atsc.org,北美,ATSC,,
SMPTE ST 2110-30,媒体流编码标准,50.0,fps,12bit,超高清晰度,16:09,2020-12-01,https://www.smpte.org,全球,SMPTE,,
OMAF,超高画质媒体的编解码标准,60.0,fps,12bit,超高清晰度,16:09,2021-01-01,https://www.mpeg.org,全球,MPEG,,
VVC,视频编解码新标准,60.0,fps,10bit,超高清晰度,16:09,2019-07-01,https://www.itu.int,全球,ITU,,
QtYUV,新一代视频流标记标准,120.0,fps,10bit,超高清晰度,21:09,2022-12-15,https://www.un.org,全球,联合国标准化组织,,
ITU-T H.661,新一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-11-01,全球,ITU,https://www.itu.int/en,,
DVB-S2X,改进的卫星广播标准,50.0,fps,12bit,超高清晰度,16:09,2022-01-15,全球,DVB,https://www.dvb.org,,
ISDB-T,日本地面数字电视广播标准,24.0,fps,8bit,高清晰度,16:09,2019-07-01,日本,日本放送协会,https://www.nhk.or.jp,,
HEVC/H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T,,
AVS3,视频编码新标准,120.0,fps,12bit,超高清晰度,16:09,2023-10-01,中国,AVS工作组,http://www.avs.org.cn,,
SCTE 2042,交互式流媒体标准,30.0,fps,10bit,高清晰度,16:09,2021-06-15,北美,SCTE,https://www.scte.org,,
QTML,现代视频编码标准,60.0,fps,10bit,高品质,16:09,2023-03-01,全球,QuickTime,https://developer.apple.com/quicktime/,,
H.265/HEVC,高效视频编码标准,50.0,fps,10bit,超高清晰度,16:09,2016-08-05,亚洲和欧洲,ITU,https://www.itu.int/en/ITU-T,,
DASH,动态自适应流媒体标准,30.0,fps,8bit,高清晰度,16:09,2015-01-01,全球,MPEG,https://www.itu.int/en/ITU-T,,
AV1-RV,开放视频编码V2,60.0,fps,10bit,超高清晰度,16:09,2023-12-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.647,下一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-15,全球,ITU,https://www.itu.int,,
SMPTE ST 2110-10,专业媒体流传输标准,60.0,fps,10bit,高品质,16:09,2017-07-01,全球,SMPTE,https://www.smpte.org,,
AVS2-P2,视频编码标准 更新版,60.0,fps,10bit,超高清晰度,16:09,2022-05-01,中国,中国视音频技术标准化委员会,http://www.CATV.org.cn,,
H.268,视频高效编码标准,30.0,fps,12bit,超高清晰度,16:09,2023-09-01,全球,ITU,https://www.itu.int,,
JPEG XS,低延迟视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2021-12-01,全球,JPEG,https://jpeg.org,,
EVC,增强视频编码标准,50.0,fps,10bit,高清晰度,16:09,2023-01-01,欧洲,ITU,https://www.itu.int,,
ITU-T H.661,高清视频传输标准,30.0,fps,10bit,高清晰度,16:09,2024-01-15,全球,ITU,https://www.itu.int,,
DVB-S2,卫星广播视频标准,50.0,fps,10bit,超高清晰度,16:09,2022-11-01,全球,DVB,https://www.dvb.org,,
ISO/IEC 23091,视频流标准,30.0,fps,12bit,高画质,21:09,2023-02-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2022,实时媒体传输标准,30.0,fps,10bit,高品质,16:09,2018-08-01,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2021-01-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.261,视频压缩标准,30.0,fps,8bit,标准质量,4:3,1990-12-01,全球,ITU,https://www.itu.int,,
HEIF,高效图像文件格式标准,30.0,fps,10bit,高画质,16:09,2015-10-01,全球,MPEG,https://mpeg.chiariglione.org,,
RFC 8216,媒体缠绕协议,25.0,fps,8bit,标准质量,16:09,2017-05-01,全球,IETF,https://www.ietf.org,,
JT-NM TR 101,IP媒体标准,60.0,fps,10bit,高品质,16:09,2020-11-01,全球,JT-NM,https://jt-nm.org,,
AVS3,视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2022-04-01,中国,中国信息通信研究院,https://www.caict.ac.cn,,
MPEG-2,视频编码标准,25.0,fps,8bit,标准质量,4:3,1994-11-01,全球,MPEG,https://mpeg.chiariglione.org,,
HFR,高帧率视频标准,120.0,fps,10bit,超高清晰度,16:09,2023-06-01,全球,HEVC,https://hevc.hhi.fraunhofer.de,,
H.263,视频编码标准,30.0,fps,8bit,标准质量,4:3,1996-03-01,全球,ITU,https://www.itu.int,,
ETSI EN 300 743,数字电视广播标准,50.0,fps,10bit,高清晰度,16:09,2021-09-01,欧洲,ETSI,https://www.etsi.org,,
VVC,Versatile Video Coding,120.0,fps,12bit,超高清晰度,21:09,2022-12-01,全球,ITU,https://www.itu.int,,
ITU-T H.800,沉浸式视频标准,60.0,fps,10bit,超高清晰度,21:09,2022-04-15,全球,ITU,https://www.itu.int,,
DVB-S2X,卫星传输标准,30.0,fps,12bit,高清晰度,16:09,2018-11-20,全球,DVB,https://www.dvb.org,,
AVS3,视频编码新标准,120.0,fps,16bit,超高清晰度,16:09,2021-05-10,中国,AVS工作组,https://www.avs.org.cn,,
HEVC/H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-01-01,全球,ITU,https://www.itu.int/en/ITU-T/H.265,,
NAB 2021,广播对接标准,30.0,fps,8bit,高清晰度,16:09,2021-10-01,北美,NAB,https://www.nab.org,,
SMPTE ST 2094,高动态范围标准,60.0,fps,12bit,超高清晰度,16:09,2016-12-15,全球,SMPTE,https://www.smpte.org,,
H.267/VVC,视频编解码新标准,120.0,fps,12bit,超高清晰度,21:09,2022-06-15,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
DASH-264,动态自适应流标准,30.0,fps,8bit,高清晰度,16:09,2020-12-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.264/MPEG-4 AVC,视频编码和传输标准,50.0,fps,8bit,高清晰度,16:09,2007-07-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
CI-VDX,视频互动体验标准,25.0,fps,10bit,高清晰度,16:09,2022-05-20,欧洲,CI,https://www.ci.org,,
SO/IEC 13818,信息技术视频压缩标准,30.0,fps,10bit,高清晰度,16:09,2023-03-01,全球,ISO,https://www.iso.org,,
ATSC 3.0,下一代视频广播标准,60.0,fps,12bit,超高清晰度,16:09,2017-11-01,北美,ATSC,https://www.atsc.org,,
EBU R128,音视频放送标准,25.0,fps,8bit,HD,16:09,2014-06-01,欧洲,EBU,https://www.ebu.ch,,
QT-AVC,快速视频编解码标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,Apple,https://www.apple.com,,
JPEG XS,视频无损压缩标准,30.0,fps,12bit,超高清晰度,16:09,2021-02-01,全球,ISO/IEC,https://www.iso.org,,
AV1R,下一代开放视频编码,120.0,fps,10bit,超高清晰度,16:09,2023-09-01,全球,Alliance for Open Media,https://aomedia.org,,
ITU-T H.661,下一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-10-15,ITU,全球,https://www.itu.int,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2015-01-01,ITU,全球,https://www.itu.int/en/ITU-T/Studies/Pages/HEVC.aspx,,
DVB-T2,第二代数字视频广播标准,25.0,fps,10bit,高清晰度,16:09,2018-06-15,DVB,欧洲,https://www.dvb.org,,
AVS3,视频编码标准升级,120.0,fps,10bit,超高清晰度,16:09,2021-07-01,AVS工作组,中国,https://www.avs.org.cn,,
ISO/IEC 23090-5,视频编码与传输标准,60.0,fps,12bit,超高清晰度,21:09,2022-09-10,ISO,全球,https://www.iso.org,,
SMPTE ST 2076,专业的色彩空间标准,30.0,fps,12bit,高清晰度,16:09,2019-11-15,SMPTE,全球,https://www.smpte.org,,
DASH-AVC,动态自适应流媒体标准,60.0,fps,8bit,高画质,16:09,2020-02-29,MPEG,全球,https://mpeg.chiariglione.org,,
H.264/MPEG-4 AVC,视频编码标准,30.0,fps,10bit,高清晰度,16:09,2003-05-01,H.264组织,全球,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
H.265+,增强高效视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2021-12-05,ITU,全球,https://www.itu.int/en/ITU-T/Studies/Pages/HEVC.aspx,,
H.661,下一代视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2023-01-10,国际标准化组织,亚洲,https://www.iso.org,,
JPEG XS,快速视频编码标准,24.0,fps,12bit,高画质,16:09,2020-08-20,JPEG,全球,https://jpeg.org,,
HEVC-2,新一代高效视频编码,60.0,fps,8bit,高清晰度,16:09,2022-04-15,专业电影协会,欧美,https://www.mpaa.org,,
AV1.1,开放视频编码新标准,120.0,fps,10bit,超高清晰度,16:09,2022-12-01,开放媒体联盟,全球,https://aomediacodec.github.io/av1-specification/,,
VP9,谷歌视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-30,Google,全球,https://www.google.com/vp9,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高画质,16:09,2015-03-22,ITU,全球,https://www.itu.int,,
HEVC-3,超高效视频编码标准,120.0,fps,12bit,超高清晰度,21:9,2023-03-01,IEEE,全球,https://www.ieee.org,,
MPEG-H HEVC,MPEG高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-10-01,MPEG,全球,https://mpeg.chiariglione.org,,
ITU-R BT.2020,宽色域视频标准,60.0,fps,10bit,超高清晰度,16:09,2016-11-01,ITU,全球,https://www.itu.int,,
ITU-T H.661,超高清电视传输标准,30.0,fps,10bit,超高清晰度,16:09,2022-06-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DASH-IF,动态自适应流媒体标准,60.0,fps,12bit,超高清晰度,16:09,2023-02-20,全球,DASH-IF,https://dashif.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2015-01-01,全球,ITU,https://www.itu.int/en/ITU-T/H.265,,
VVC,未来视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2021-11-25,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,第三代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-03-15,中国,AVS Working Group,http://www.avs.org.cn,,
H.263,视频压缩标准,30.0,fps,8bit,标准清晰度,4:3,2007-10-10,全球,ITU,https://www.itu.int/en/ITU-T/H.263,,
ISDB-T,Japan Integrated Services Digital Broadcasting,30.0,fps,10bit,高清晰度,16:09,2011-07-24,日本,ARIB,https://www.arib.or.jp,,
SRT,安全可靠传输,60.0,fps,8bit,高画质,16:09,2018-05-18,全球,SRT Alliance,https://srtalliance.org,,
HEIF,高效图像文件格式,24.0,fps,10bit,高清晰度,16:09,2020-11-01,全球,ISO/IEC,https://www.iso.org/standard/75972.html,,
MP4,MPEG-4多媒体容器格式,60.0,fps,8bit,高清晰度,16:09,2005-08-20,全球,ISO,https://www.iso.org/standard/63982.html,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2021-04-30,全球,Alliance for Open Media,https://aomedia.org,,
JPEG XS,低延迟图像压缩,30.0,fps,12bit,高画质,16:09,2019-09-15,全球,ISO/IEC,https://www.iso.org/standard/73653.html,,
H.261,第一个视频压缩标准,30.0,fps,8bit,标准清晰度,4:3,1990-11-01,全球,ITU,https://www.itu.int/en/ITU-T/H.261,,
AVS2-P2,视频编码标准第二代,60.0,fps,10bit,超高清晰度,16:09,2020-04-21,中国,AVS Industry Alliance,http://www.avs.org.cn,,
SMPTE ST 2022,IP流媒体和视频戳,60.0,fps,10bit,高品质,16:09,2019-03-01,全球,SMPTE,https://www.smpte.org,,
RFC 3550,实时传输协议标准,30.0,fps,8bit,标准清晰度,16:09,2003-07-01,全球,IETF,https://tools.ietf.org/html/rfc3550,,
ITU-T H.661,高效率视频编码标准,50.0,fps,10bit,超高清晰度,16:09,2022-01-15,亚太地区,ITU,https://www.itu.int/en/ITU-T,,
DVB-T2,第二代数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2019-09-20,欧洲,DVB,https://www.dvb.org,,
HEVC,高效视频编码,60.0,fps,12bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2110-20,视频流传输标准,60.0,fps,10bit,高质量,16:09,2018-06-01,全球,SMPTE,https://www.smpte.org,,
AV1,高级开放视频编码,120.0,fps,10bit,超高清晰度,16:09,2019-04-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.261,视频压缩标准,30.0,fps,8bit,标清,4:3,1993-04-01,全球,ITU,https://www.itu.int/en/ITU-T,,
AVS3,视频编码标准3,120.0,fps,12bit,超高清晰度,16:09,2022-03-01,中国,中国网络视听节目服务协会,https://www.cva.org.cn,,
ISO/IEC 13818,MPEG-2标准,30.0,fps,8bit,标准清晰度,16:09,1994-11-01,全球,ISO,https://www.iso.org,,
MPEG-I,插画视频编码标准,30.0,fps,16bit,高清晰度,16:09,1991-01-01,全球,ISO,https://www.iso.org,,
XAVC,视频录制标准,60.0,fps,10bit,超高清晰度,16:09,2013-10-01,全球,Sony,https://pro.sony,,
EUC 2017/0127,欧洲超高清标准,50.0,fps,10bit,超高清晰度,16:09,2021-01-01,欧洲,EU Digital,https://ec.europa.eu,,
ATSC 3.0,先进电视系统委员会标准,60.0,fps,12bit,超高清晰度,16:09,2017-03-01,北美,ATSC,https://www.atsc.org,,
ITU-R BT.2020,超高清电视制作标准,60.0,fps,10bit,超高清晰度,16:09,2012-08-01,全球,ITU,https://www.itu.int/en/ITU-R,,
H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2015-10-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.265,,
AVS2-P2,第二代音频视频编解码标准,30.0,fps,10bit,高清晰度,16:09,2020-06-01,中国,中国音视频技术标准委员会,https://www.avs.org.cn,,
ISO 23001-9,媒体内容识别标准,60.0,fps,10bit,超高清晰度,16:09,2021-03-20,全球,ISO,https://www.iso.org,,
DASH,动态自适应流媒体标准,30.0,fps,8bit,高清晰度,16:09,2012-10-01,全球,MPEG,https://www.mpeg.org,,
RFC 7741,网络视频传输标准,30.0,fps,8bit,高清晰度,16:09,2016-02-01,全球,IETF,https://www.ietf.org,,
ITU-T H.669,高清晰度视音频传输标准,50.0,fps,10bit,高清晰度,16:09,2023-12-01,全球,https://www.itu.int,全球,,
DVB-T2,数字视频广播地面标准,25.0,fps,10bit,超高清晰度,16:09,2022-01-15,DVB,https://www.dvb.org,欧洲,,
ISO/IEC 23093,空中高清晰度视频传输标准,60.0,fps,12bit,超高清晰度,21:09,2021-11-01,ISO,https://www.iso.org,全球,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高清晰度,16:09,2016-07-01,ITU,https://www.itu.int/en/ITU-T/Studies,全球,,
H.267/VVC,视频编码技术标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-01,Fraunhofer HHI,https://hhi.fraunhofer.de,全球,,
AVS3,视频编码新标准,60.0,fps,12bit,超高清晰度,16:09,2022-04-01,AVS,http://www.avs.org.cn,中国,,
DASH,动态自适应流媒体标准,30.0,fps,8bit,高画质,16:09,2018-05-01,ISO,https://www.iso.org,全球,,
H.263,视频压缩标准,15.0,fps,8bit,中等画质,4:3,1996-02-01,ITU,https://www.itu.int/en/ITU-T/Studies,全球,,
HLS,HTTP实时流媒体标准,30.0,fps,8bit,高清,16:09,2017-03-15,Apple,https://developer.apple.com/streaming/,全球,,
DVG,数字视频门控标准,24.0,fps,10bit,超高清晰度,21:09,2020-11-01,DVG,https://www.dvg.org,北美,,
MPEG-4,多媒体编码标准,30.0,fps,8bit,高清晰度,16:09,2010-01-01,ISO,https://www.iso.org,全球,,
XAVC,eXtended Video Coding标准,60.0,fps,10bit,超高清晰度,16:09,2013-08-01,Sony,https://pro.sony/technologies/xavc/,全球,,
VP9,开源视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-30,Google,https://developers.google.com/speed/webp/docs/vp9,全球,,
HEVC,高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2014-04-14,ITU,https://www.itu.int/en/ITU-T/Studies,全球,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高清晰度,4:3,2022-02-01,ITU,https://www.itu.int,全球,,
ITU-T H.661,高效视频传输标准,30.0,fps,12bit,超高清晰度,16:09,2023-12-15,全球,ITU,https://www.itu.int,,
DVB-S2X,扩展数字视频广播标准,50.0,fps,10bit,高画质,16:09,2022-11-20,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 21840,流媒体传输标准,24.0,fps,8bit,高清晰度,4:3,2022-06-10,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,21:9,2021-01-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AV1.1,更新版开放视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2023-09-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
SMPTE ST 2110-21,基于IP的媒体流标准,60.0,fps,10bit,高品质,16:09,2023-03-01,全球,SMPTE,https://www.smpte.org,,
ATSC 3.0,高级电视系统标准,60.0,fps,12bit,超高清晰度,16:09,2020-01-01,北美,ATSC,https://www.atsc.org,,
MPEG-I,下一代视频编码标准,30.0,fps,10bit,高清晰度,16:09,2021-05-15,全球,MPEG,https://mpeg.chiariglione.org,,
HLS 2.0,HTTP实时流媒体标准,25.0,fps,8bit,高画质,16:09,2023-04-01,全球,Apple,https://developer.apple.com/streaming/,,
VP9,开源视频编解码器标准,60.0,fps,10bit,超高清晰度,16:09,2016-07-05,全球,Google,https://developers.google.com/speed/webp,,
RFC 8570,视频编解码操作标准,30.0,fps,8bit,高清晰度,4:3,2020-01-01,全球,IETF,https://www.ietf.org,,
J.701,高效手机视频标准,60.0,fps,10bit,超高清晰度,21:9,2024-01-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
HEVC 2.0,高效视频编码第二版,120.0,fps,12bit,超高清晰度,21:9,2021-10-10,全球,ITU,https://www.itu.int,,
AVS3,视频编码标准3.0,60.0,fps,10bit,超高清晰度,16:09,2022-08-20,中国,中国视频产业,http://www.cvi.com,,
VVC 1.0,视频编码新标准,120.0,fps,10bit,超高清晰度,21:9,2023-07-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
H.264/AVC 1.1,增强型H.264标准,30.0,fps,10bit,高清晰度,16:09,2020-04-30,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-T H.661,高清视频传输标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2022-10-01,洲际,DVB,https://www.dvb.org,,
ISO/IEC 21000,媒体内容描述标准,24.0,fps,12bit,超高清晰度,21:09,2021-11-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2019-12-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.264/AVC,高级视频编码标准扩展,30.0,fps,10bit,高清晰度,16:09,2023-03-01,亚太地区,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
SMPTE ST 2094,高动态范围标准,120.0,fps,12bit,超高清晰度,21:09,2022-06-15,全球,SMPTE,https://www.smpte.org,,
AVC,自适应视频编码标准,30.0,fps,8bit,高清晰度,16:09,2024-05-01,新兴市场,MediaTek,https://www.mediatek.com,,
AVS3,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-07-15,中国,国家广电总局,https://www.nrta.gov.cn,,
IEEE 1857.1,高效视频编解码扩展,120.0,fps,12bit,超高清晰度,21:09,2020-12-01,全球,IEEE,https://www.ieee.org,,
H.647,下一代视频编码标准,48.0,fps,12bit,超高清晰度,16:09,2025-01-01,全球,你的技术法,https://www.tech.org,,
HEVC-HLS,HTTP直播流媒体视频标准,30.0,fps,10bit,高清晰度,16:09,2023-09-20,全球,Apple,https://developer.apple.com,,
VP9,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-07-25,全球,Google,https://www.google.com,,
ITU-R BT.2020,超高清电视标准,60.0,fps,12bit,超高清晰度,16:09,2016-12-15,全球,ITU,https://www.itu.int,,
DASH,动态自适应流媒体传输标准,30.0,fps,8bit,高清晰度,16:09,2015-01-15,全球,MPEG,https://mpeg.chiariglione.org,,
AV1.1,进阶开放视频编码,120.0,fps,10bit,超高清晰度,16:09,2024-02-20,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ITU-T H.661,新一代视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-11-01,全球,ITU,https://www.itu.int,,
DVB-T2,新一代地面数字电视广播标准,50.0,fps,10bit,高清晰度,16:09,2015-12-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体传输与应用标准,30.0,fps,12bit,超高清晰度,16:09,2022-06-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2018-01-31,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2084,高动态范围标准,60.0,fps,12bit,超高清晰度,16:09,2019-03-01,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码与解码标准,60.0,fps,12bit,超高清晰度,16:09,2022-05-01,中国,中国信息通信研究院,https://www.cicta.cn,,
H.264/AVC,视频编码标准,30.0,fps,8bit,高清晰度,16:09,2015-11-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2020-01-01,全球,Alliance for Open Media,https://aomediacodec.github.io/,,
MPEG-DASH,动态自适应流媒体标准,60.0,fps,10bit,高清晰度,16:09,2016-09-15,全球,MPEG,https://mpeg.chiariglione.org,,
HEIF,高效图像文件格式标准,24.0,fps,12bit,高清晰度,16:09,2021-01-15,全球,Moving Picture Experts Group,https://mpeg.chiariglione.org/standards/HEIF,,
JPEG XS,超低延迟图像编码标准,60.0,fps,10bit,高质量,16:09,2020-03-01,全球,JPEG,https://jpeg.org,,
SMPTE ST 2110-20,专业媒体传输标准,60.0,fps,10bit,高质量,16:09,2019-05-01,全球,SMPTE,https://www.smpte.org,,
H.267/LCEVC,低复杂度增强视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2022-02-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.263,早期视频编码标准,30.0,fps,8bit,标清晰度,4:3,2000-04-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
G.711,音频编解码标准,30.0,fps,8bit,标准质量,16:09,1988-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ITU-T H.661,新一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-T2,第二代数字视频广播标准,50.0,fps,8bit,高清晰度,16:09,2022-01-10,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,下一代媒体传输标准,60.0,fps,12bit,超高清晰度,21:09,2024-01-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2014-10-31,全球,ITU,https://www.itu.int/en/ITU-T/,,
H.267/IVC,超级视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-06-15,全球,Standardization Organization,https://www.sdo.org,,
SMPTE ST 2036,高级视频编码和传输标准,50.0,fps,10bit,高品质,16:09,2020-11-01,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-03-01,中国,中国音视频技术标准联盟,http://www.avs.org.cn,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-05-20,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
IEEE 1857.1,高效视频信息编解码,90.0,fps,12bit,超高清晰度,21:09,2021-04-15,全球,IEEE,https://www.ieee.org,,
DASH,动态自适应流媒体传输标准,60.0,fps,10bit,超高清晰度,16:09,2019-12-01,全球,MPEG,https://www.mpeg.org,,
NVIDIA VVC,视频编码最佳实践标准,120.0,fps,12bit,超高清晰度,21:09,2023-06-10,北美,NVIDIA,https://www.nvidia.com,,
ITU-R BT.2020,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2016-08-01,全球,ITU,https://www.itu.int/en/ITU-R,,
SMPTE ST 2118,高清和超高清媒体系统标准,120.0,fps,12bit,超高清晰度,21:09,2022-07-15,全球,SMPTE,https://www.smpte.org,,
HEVC 2.0,最新视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2024-02-28,全球,ITU,https://www.itu.int/en/ITU-T/,,
FRP,视频流处理标准,30.0,fps,10bit,高清晰度,16:09,2023-11-20,亚洲,Video Processing Standards Organization,https://www.vpso.org,,
AOM AV1.1,AV1编码更新标准,30.0,fps,8bit,高清晰度,16:09,2023-01-16,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
ITU-T H.662,视频编码改进标准,30.0,fps,10bit,高清晰度,16:09,2022-11-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-S2X,增强型数字视频广播标准,50.0,fps,12bit,超高清晰度,16:09,2023-06-01,欧洲,DVB,https://www.dvb.org,,
IEC 61934,媒体内容交付标准,60.0,fps,12bit,超清晰度,16:09,2021-12-01,全球,IEC,https://www.iec.ch,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2019-03-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2022-6,高质量无压缩视频流标准,120.0,fps,12bit,高品质,16:09,2018-10-01,北美,SMPTE,https://www.smpte.org,,
AVS3,视频编码新标准,120.0,fps,10bit,超高清晰度,16:09,2022-07-01,中国,中国标准化管理委员会,http://www.sac.gov.cn,,
HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-01-15,全球,ITU,https://www.itu.int/en/ITU-T/standard/HEVC/,,
H.263,视频压缩标准,30.0,fps,8bit,标清晰度,4:3,2007-08-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.263,,
RFC 3550,实时传输协议标准,30.0,fps,10bit,高清晰度,16:09,2003-07-01,全球,IETF,https://www.ietf.org,,
MPEG-4,多媒体标准,25.0,fps,8bit,高清晰度,16:09,1998-11-01,全球,ISO,https://www.iso.org,,
