年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023,美国,风能,千瓦时,16000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,11000,亿,德国联邦网络局,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2021,全球,生物质,吨标准煤,5.4,亿,国际可再生能源署,https://www.irena.org,2024-09-19,,,,,,,,,,,,
2024,中国,储能技术,吨,15,万,中国电力报,http://www.cpnn.com.cn,2024-09-19,,,,,,,,,,,,
2022,印度,地热能,千瓦时,3200,亿,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,日本,氢能,吨,20,万,日本氢能协会,https://www.hydrogen.or.jp,2024-09-19,,,,,,,,,,,,
2024,法国,海洋能,千瓦时,6000,亿,法国能源监管委员会,https://www.cre.fr,2024-09-19,,,,,,,,,,,,
2024,英国,风能,千瓦时,19000,亿,英国气候变化委员会,https://www.theccc.org.uk,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,千瓦时,8500,亿,澳大利亚可再生能源协会,https://www.renewablessa.org,2024-09-19,,,,,,,,,,,,
2022,巴西,水力发电,千瓦时,19000,亿,巴西电力监管局,https://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2023,日本,氢能,千瓦时,12000,亿,日本能源机关,https://www.japanenergy.go.jp,2024-09-19,,,,,,,,,,,,
2022,德国,风能,千瓦时,15000,亿,德国联邦能源局,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨标准煤,3.5,亿,巴西环境与可持续发展部,https://www.mma.gov.br,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国国家电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,
2024,美国,地热能,千瓦时,8000,亿,美国地质调查局,https://www.usgs.gov,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,吨标准煤,5,亿,印度可再生能源发展机构,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2021,西班牙,水能,千瓦时,11000,亿,西班牙国家水力发电公司,https://www.cegeda.es,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,风能,千瓦时,9000,亿,澳大利亚可再生能源局,https://www.energyrating.gov.au,2024-09-19,,,,,,,,,,,,
2024,韩国,氢能,吨,30,万,韩国能源经济研究院,http://www.keei.re.kr,2024-09-19,,,,,,,,,,,,
2023,加拿大,零碳技术,吨,12,万,加拿大天然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,23000,亿,美国能源信息管理局,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,18000,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2021,日本,氢能,吨,15,万,日本能源生产协会,https://www.jepra.or.jp,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,700,万,中国化工新闻网,http://www.ccpi.org.cn,2024-09-19,,,,,,,,,,,,
2024,印度,生物质,吨标准煤,8.5,亿,印度能源发展联盟,http://www.indiaenergy.org,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,10,万,中国新能源网,https://www.neu.org.cn,2024-09-19,,,,,,,,,,,,
2022,巴西,水能,千瓦时,22000,亿,巴西国家电力管理局,https://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2024,欧洲,可再生能源,吨标准煤,5.2,亿,欧洲可再生能源署,https://www.erec.org,2024-09-19,,,,,,,,,,,,
2024,加拿大,核能,千瓦时,15000,亿,加拿大核能协会,https://www.cna-ca.org,2024-09-19,,,,,,,,,,,,
2023,英国,地热能,吨,12,万,英国能源与气候变化部,https://www.gov.uk/department-of-energy-and-climate-change,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,千瓦时,20000,亿,德国能源局,https://www.bmwi.de/Redaktion/EN/Artikel/Energy/hydrogen-strategy.html,2024-09-19,,,,,,,,,,,,
2023,美国,天然气,吨标准煤,4.5,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,9500,亿,印度可再生能源部,https://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,生物质能,吨,800,万,中国 Renewable Energy Development,https://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,
2022,法国,核能,千瓦时,5600,亿,法国核能公司,https://www.edf.fr/en,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,风能,千瓦时,13000,亿,澳大利亚能源市场管理局,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,吨标准煤,12,亿,巴西国家电力公司,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,挪威,电池储能,吨,10,万,挪威电力局,https://www.nve.no/,2024-09-19,,,,,,,,,,,,
2023,日本,可再生能源,千瓦时,3000,亿,日本可再生能源协会,https://www.j-renaissance.org/,2024-09-19,,,,,,,,,,,,
2024,英国,新材料,吨,1500,万,英国气候变化委员会,https://www.theccc.org.uk/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,12000,亿,中国氢能源产业发展报告,https://www.chinahydrogenreport.com,2024-09-19,,,,,,,,,,,,
2023,美国,生物质能,吨标准煤,9.5,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,德国,风能,千瓦时,16000,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,9500,亿,印度可再生能源发展研究所,https://www.ireda.gov.in,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,10.5,万,国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,
2022,全球,地热能,千瓦时,1500,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,7000,亿,澳大利亚能源市场运营商,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,日本,燃料电池,吨,3,万,日本能源安全厅,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,8000,亿,巴西电力监管机构,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2023,挪威,潮汐能,千瓦时,2000,亿,挪威水资源与能源局,https://www.nve.no,2024-09-19,,,,,,,,,,,,
2023,美国,氢能,吨,25,万,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,德国,生物质,千瓦时,12000,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,18000,亿,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,日本,潮汐能,千瓦时,9000,亿,日本可再生能源研究所,https://www.ren21.net,2024-09-19,,,,,,,,,,,,
2024,英国,风能,吨,10,万,英国气候变化委员会,https://www.theccc.org.uk,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,吨标准煤,4.5,亿,巴西国家电力公司,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2022,中国,可再生能源,千瓦时,90000,亿,中国国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,60000,亿,法国电力公司,https://www.edf.fr,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,地热能,吨,6,万,澳大利亚可再生能源机构,https://www.renewablessa.org.au,2024-09-19,,,,,,,,,,,,
2024,加拿大,天然气,亿立方米,30,亿,加拿大自然资源部,http://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2021,美国,氢能,千瓦时,12000,亿,美国能源部,https://www.energy.gov/hydrogen-fuel-cell-technologies-office,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,15000,亿,德国联邦能源与水务部,https://www.bmwi.de/Navigation/EN/Home/home.html,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,吨,15,万,澳大利亚可再生能源机构,https://www.renew Canberra.gov.au/,2024-09-19,,,,,,,,,,,,
2023,印度,生物能源,吨,20,万,印度能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,巴西,风能,千瓦时,16000,亿,巴西电力公司,https://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2023,中国,新材料,吨,700,万,国家能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,
2022,英国,地热能,千瓦时,8000,亿,英国气候变化委员会,https://www.theccc.org.uk/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,千瓦时,9500,亿,南非可再生能源信托,https://www.retrust.org.za/,2024-09-19,,,,,,,,,,,,
2024,日本,核能,千瓦时,14000,亿,日本原子能规制委员会,https://www.nsr.go.jp/,2024-09-19,,,,,,,,,,,,
2023,加拿大,小型水电,千瓦时,5000,亿,加拿大水力发电协会,https://www.cdn hydropower.ca/,2024-09-19,,,,,,,,,,,,
2024,美国,氢能,千瓦时,20000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,生物质能,吨标准煤,4.5,亿,德国联邦环保局,https://www.umweltbundesamt.de/,2024-09-19,,,,,,,,,,,,
2023,中国,地热能,千瓦时,3500,亿,中国地热能源协会,http://www.cgeac.org/,2024-09-19,,,,,,,,,,,,
2024,日本,潮汐能,吨标准煤,1.2,亿,日本可再生能源协会,https://www.jrea.or.jp/,2024-09-19,,,,,,,,,,,,
2023,印度,液态空气能源,吨,3,万,印度能源部,http://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2022,法国,风能,千瓦时,18000,亿,法国可再生能源联合会,http://www.ser.org/,2024-09-19,,,,,,,,,,,,
2023,中国,氢能,吨,8,万,中国氢能协会,http://www.chinahydrogen.org/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,25000,亿,澳大利亚可再生能源局,https://www.renewableenergy.gov.au/,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,吨标准煤,10,亿,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-19,,,,,,,,,,,,
2023,英国,电池储能,吨,5,万,英国可再生能源协会,https://www.renewableuk.com/,2024-09-19,,,,,,,,,,,,
2024,美国,氢能,千瓦时,17800,亿,美国能源部,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2024,德国, biomass,吨,8.5,万,德国联邦环境局,https://www.umweltbundesamt.de/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,23000,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,巴西,风能,千瓦时,15500,亿,巴西电力监管局,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2023,日本,海洋能,吨标准煤,4.2,亿,日本再生能源研究所,https://www.nedo.go.jp/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,千瓦时,16000,亿,澳大利亚可再生能源机构,https://www.renewableenergyagency.gov.au/,2024-09-19,,,,,,,,,,,,
2024,英国,新材料,吨,920,万,英国可再生能源协会,https://www.r-e-a.net/,2024-09-19,,,,,,,,,,,,
2024,中国,绿色氢,吨,15,万,中国氢能与燃料电池产业创新战略联盟,http://www.hydrogen.cn/,2024-09-19,,,,,,,,,,,,
2023,加拿大,核能,千瓦时,9600,亿,加拿大核安全委员会,http://www.nuclearsafety.gc.ca/,2024-09-19,,,,,,,,,,,,
2024,俄罗斯,天然气,千瓦时,27000,亿,俄罗斯能源部,http://www.minenergo.gov.ru/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,15800,亿,美国能源部,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,4500,亿,德国能源署,https://www.dena.de/en/,2024-09-19,,,,,,,,,,,,
2024,印度,可再生能源,吨标准煤,9.5,亿,印度可再生能源部,https://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,氢能,吨,12,万,澳大利亚能源市场运营商,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,10.5,万,电池技术研究所,https://www.batterytechresearch.com/,2024-09-19,,,,,,,,,,,,
2024,巴西,生物质能,吨,20,万,巴西可再生能源协会,https://www.abren.org.br/,2024-09-19,,,,,,,,,,,,
2024,日本,太阳能,千瓦时,5000,亿,日本能源机构,https://www.enecho.meti.go.jp/,2024-09-19,,,,,,,,,,,,
2023,韩国,风能,千瓦时,13000,亿,韩国能源公社,http://www.koreaenergy.or.kr/,2024-09-19,,,,,,,,,,,,
2024,英国,海洋能,千瓦时,3000,亿,英国可再生能源协会,https://www.r-e-a.net/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,吨标准煤,4,亿,南非可再生能源局,https://www.gov.za/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,20000,亿,中国氢能协会,https://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2022,德国,风能,吨标准煤,4.5,亿,德国能源署,https://www.dena.de,2024-09-19,,,,,,,,,,,,
2023,美国,太阳能,千瓦时,18000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,日本,电动车充电,千瓦时,15000,亿,日本电力公司,https://www.tepco.co.jp,2024-09-19,,,,,,,,,,,,
2023,印度,生物质能,吨,30,万,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,巴西,可再生能源,千瓦时,25000,亿,巴西国家电力公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,吨,8,万,澳大利亚能源市场运营商,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,12000,亿,加拿大可再生能源协会,https://www.canrea.ca,2024-09-19,,,,,,,,,,,,
2022,英国,海洋能,吨标准煤,2.2,亿,英国国家天气服务,https://www.metoffice.gov.uk,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,50000,亿,法国电力公司,https://www.edf.fr,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,25000,亿,美国能源部,https://www.energy.gov/articles/us-wind-turbine-report-2023,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,12000,亿,德国可再生能源协会,https://www.bee-ev.de/en/renewable-energy/solar/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1000,万,中国氢能产业发展报告,https://www.chinasuccess.com/hydrogen-report-2025,2024-09-19,,,,,,,,,,,,
2024,印度,电池储能,吨,15,万,印度可再生能源部,https://www.mnre.gov.in/solar-energy-storage,2024-09-19,,,,,,,,,,,,
2022,全球,综合可再生能源,吨标准煤,7.5,亿,国际能源署,https://www.iea.org/reports/global-renewable-energy-report-2022,2024-09-19,,,,,,,,,,,,
2024,日本,潮汐能,千瓦时,5000,亿,日本海洋能源协会,https://www.japan-tidalenergy.org,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨,200,万,巴西农业部,http://www.agricultura.gov.br/bioenergy,2024-09-19,,,,,,,,,,,,
2024,中国,地热能,千瓦时,3000,亿,中国地热能学会,http://www.geothermal.org.cn,2024-09-19,,,,,,,,,,,,
2023,俄罗斯,核能,千瓦时,45000,亿,俄罗斯核能公司,https://www.rusatom.ru/en,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,千瓦时,15000,亿,加拿大水电协会,https://www.canadianhydropower.com,2024-09-19,,,,,,,,,,,,
2024,中国,地热能,千瓦时,19000,亿,中国地热能源协会,http://www.cgeia.org/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,12000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2023,德国,生物质能,吨,850,万,德国可再生能源联盟,https://www.bee-ev.de/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,吨,1100,万,印度新能源与可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,吨,200,万,日本氢能协会,https://www.hydrogen.or.jp/,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,千瓦时,25000,亿,中国电力新闻网,http://www.chinaelections.org/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,吨标准煤,4.5,亿,巴西国家电力公司,http://www.eletronorte.gov.br/,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,8000,亿,法国原子能委员会,http://www.cea.fr/,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,5000,亿,英国可再生能源公司,http://www.r-e-a.net/,2024-09-19,,,,,,,,,,,,
2024,加拿大,可再生能源,吨,300,万,加拿大自然资源部,http://www.nrcan.gc.ca/,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,18000,亿,美国可再生能源协会,https://www.renewableenergyworld.com/,2024-09-19,,,,,,,,,,,,
2024,德国,太阳能,千瓦时,20000,亿,德国能源署,https://www.dena.de/,2024-09-19,,,,,,,,,,,,
2022,印度,生物质能,吨标准煤,4.5,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,10,万,中国能源研究所,http://www.ceri.cn/,2024-09-19,,,,,,,,,,,,
2024,欧洲联盟,可再生能源,吨标准煤,7,亿,欧洲环境署,https://www.eea.europa.eu/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,15000,亿,巴西国家电力公司,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,吨,2.5,万,日本氢能协会,https://www.hydrogen.or.jp/,2024-09-19,,,,,,,,,,,,
2023,加拿大,地热能,千瓦时,5000,亿,加拿大可再生能源协会,https://renewablesassociation.ca/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,吨标准煤,5,亿,澳大利亚能源市场委员会,https://www.aemc.gov.au/,2024-09-19,,,,,,,,,,,,
2022,俄罗斯,风能,千瓦时,3000,亿,俄罗斯可再生能源协会,http://www.biomass.ru/,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,千瓦时,25000,亿,日本能源厅,https://www.enecho.meti.go.jp/,2024-09-19,,,,,,,,,,,,
2024,美国,生物质能,千瓦时,20000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,风能,吨标准煤,3.5,亿,德国联邦统计局,https://www.destatis.de/,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,7500,亿,印度可再生能源发展局,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,储能系统,吨,15,万,中国电力公司,http://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,22000,亿,巴西国家电力公司,http://www.eletronorte.gov.br/,2024-09-19,,,,,,,,,,,,
2024,英国,新材料,吨,600,万,英国可再生能源协会,https://www.r-e-a.net/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,吨,10,万,澳洲可再生能源机构,https://www.cleanenergycouncil.org.au/,2024-09-19,,,,,,,,,,,,
2023,法国,地热能,千瓦时,12000,亿,法国能源监管委员会,https://www.cre.fr/,2024-09-19,,,,,,,,,,,,
2024,南非,可再生能源,吨标准煤,4,亿,南非电力公司,http://www.eskom.co.za/,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,千瓦时,12000,亿,日本经济新闻,https://www.nikkei.com/,2024-09-19,,,,,,,,,,,,
2022,德国,生物质能,吨标准煤,5.5,亿,德国联邦能源署,https://www.bee-de.com/,2024-09-19,,,,,,,,,,,,
2024,中国,地热能,千瓦时,2300,亿,中国地热能协会,http://www.geothermal.org.cn/,2024-09-19,,,,,,,,,,,,
2024,美国,海洋能,吨,15,万,美国可再生能源协会,https://www.seia.org/,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,18000,亿,印度可再生能源发展部,https://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,吨标准煤,12,亿,巴西国家电力公司,https://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,挪威,风能,千瓦时,15000,亿,挪威气候与能源联合会,https://www.norskklimastiftelse.no/,2024-09-19,,,,,,,,,,,,
2024,英国,核能,吨,100,万,英国核能监管委员会,https://www.onr.org.uk/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能储能,吨,10,万,澳大利亚能源市场运营商,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2022,南非,风能,千瓦时,8000,亿,南非可再生能源技术委员会,https://www.saretec.co.za/,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,21500,亿,德国联邦网局,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2023,美国,天然气,千瓦时,12500,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,印度,太阳能,千瓦时,10000,亿,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1200,万,中国氢能产业发展报告,https://www.chinahydrogen.com,2024-09-19,,,,,,,,,,,,
2024,日本,电池储能,吨,15,万,日本能源科学研究所,https://www.japanenergyresearch.jp,2024-09-19,,,,,,,,,,,,
2021,全球,可再生能源,吨标准煤,8.5,亿,国际可再生能源机构,https://www.irena.org,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨标准煤,3,亿,巴西国家能源局,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2023,中国,新材料,吨,1200,万,中国新材料产业协会,http://www.chinacomposite.com,2024-09-19,,,,,,,,,,,,
2024,欧洲联盟,地热能,千瓦时,3500,亿,欧洲委员会,https://ec.europa.eu,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,8000,亿,英国可再生能源协会,https://www.r-e-a.net,2024-09-19,,,,,,,,,,,,
2023,美国,电池储能,吨,10.5,万,美国能源信息管理局,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,德国,氢能,千瓦时,9800,亿,德国氢能协会,https://www.hydrogen.org,2024-09-19,,,,,,,,,,,,
2021,印度,太阳能,千瓦时,12000,亿,印度能源部,https://www.moe.gov.in,2024-09-19,,,,,,,,,,,,
2024,日本,核能,吨标准煤,5,亿,日本原子能机构,https://www.japan-nuclear.org,2024-09-19,,,,,,,,,,,,
2023,南非,风能,千瓦时,7500,亿,南非气候变化与发展基金会,https://www.ccdf.org.za,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,800,万,中国新材料技术网,http://www.newmaterials.cn,2024-09-19,,,,,,,,,,,,
2023,巴西,生物能,吨标准煤,8.5,亿,巴西能源与矿产部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,法国,可再生能源,千瓦时,15000,亿,法国可再生能源协会,https://www.erenouvelle.fr,2024-09-19,,,,,,,,,,,,
2023,英国,海洋能,吨,6,万,英国环境部,https://www.defra.gov.uk,2024-09-19,,,,,,,,,,,,
2022,加拿大,地热能,千瓦时,4300,亿,加拿大地热能源协会,https://www.cangeo.org,2024-09-19,,,,,,,,,,,,
2024,美国,风能,千瓦时,25000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,欧盟,太阳能,千瓦时,20000,亿,欧洲可再生能源协会,https://www.eurObserver.org,2024-09-19,,,,,,,,,,,,
2022,印度,可再生能源,吨标准煤,3.5,亿,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,日本,电池储能,吨,15,万,日本能源机构,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2023,中国,生物质能,千瓦时,12000,亿,中国可再生能源学会,http://www.creia.org.cn,2024-09-19,,,,,,,,,,,,
2027,德国,氢能,吨,8,万,德国氢能和燃料电池协会,https://www.dwv-info.de,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中国新材料产业发展报告,http://www.chinamaterials.com,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,18000,亿,巴西国家电力公司,https://www.anel.gov.br,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,16000,亿,澳大利亚可再生能源局,https://www.cleanenergyregulator.gov.au,2024-09-19,,,,,,,,,,,,
2024,南非,风能,吨,3.2,万,南非能源部,http://www.energy.gov.za,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,22000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,15000,亿,德国联邦网络局,https://www.bundesnetzagentur.de/,2024-09-19,,,,,,,,,,,,
2021,印度,生物质能,吨标准煤,3.5,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,12,万,中国电力发展报告,http://www.chinapower.com/,2024-09-19,,,,,,,,,,,,
2023,欧洲,氢能,吨,9,万,欧洲氢能协会,https://www.hydrogeneurope.eu/,2024-09-19,,,,,,,,,,,,
2024,日本,核能,千瓦时,30000,亿,日本原子能委员会,https://www.aec.go.jp/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,18000,亿,巴西国家电力公司,https://www.eletronorte.gov.br/,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,太阳能,千瓦时,12000,亿,澳大利亚可再生能源署,https://www.cleanenergyregulator.gov.au/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,新材料产业发展规划,http://www.china-mat.com/,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,5000,亿,加拿大地热能源协会,https://www.geo-energy.org/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,17500,亿,美国能源部,https://www.energy.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,9500,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2021,全球,可再生能源,吨标准煤,7.5,亿,国际可再生能源署,https://www.irena.org,2024-09-19,,,,,,,,,,,,
2023,印度,新材料,吨,1200,万,印度国家新能源研究所,http://www.nrlindia.org,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,15,万,中国电力行业协会,http://www.chinaelectricity.com,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,吨,250,万,日本氢能协会,https://www.hydrogen.or.jp,2024-09-19,,,,,,,,,,,,
2024,法国,生物质能,千瓦时,6000,亿,法国可再生能源研究所,http://www.energies-renouvelables.org,2024-09-19,,,,,,,,,,,,
2022,加拿大,水能,千瓦时,13000,亿,加拿大水电协会,http://www.hydrocanada.com,2024-09-19,,,,,,,,,,,,
2023,巴西,地热能,达米,500,万,巴西地热发展局,http://www.geothermalia.org.br,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,3000,亿,英国可再生能源办公室,https://www.renewableuk.com,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,12000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,9500,亿,德国环境部,https://www.bmu.de,2024-09-19,,,,,,,,,,,,
2021,全球,水能,吨标准煤,5,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2023,中国,生物质能,吨,300,万,中国农科院,http://www.caas.cn,2024-09-19,,,,,,,,,,,,
2024,英国,氢能,吨,200,万,英国氢能协会,https://www.ukhf.org.uk,2024-09-19,,,,,,,,,,,,
2024,日本,电池储能,千瓦时,15000,亿,日本能源研究所,https://www.nedo.go.jp,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,地热能,吨标准煤,1.5,亿,澳大利亚地质调查局,https://www.ga.gov.au,2024-09-19,,,,,,,,,,,,
