年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2022,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,苏州,0.75,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,大连,0.88,吨标准煤/万元GDP,大连市统计局,https://www.dl.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.81,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南昌,0.89,吨标准煤/万元GDP,南昌市统计局,https://www.nc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.84,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,郑州,0.91,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.83,吨标准煤/万元GDP,山东省统计局,https://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.94,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,苏州,0.81,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,佛山,0.88,吨标准煤/万元GDP,佛山市统计局,https://www.foshan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.86,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.89,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.79,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.87,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.84,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.82,吨标准煤/万元GDP,郑州市统计局,https://www.zz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.8,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,大连,0.77,吨标准煤/万元GDP,大连市统计局,https://www.dalian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.83,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.86,吨标准煤/万元GDP,河南省统计局,http://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.81,吨标准煤/万元GDP,湖北省统计局,http://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.75,吨标准煤/万元GDP,江苏省统计局,http://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,http://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.79,吨标准煤/万元GDP,山东省统计局,http://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,厦门,0.8,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,合肥,0.89,吨标准煤/万元GDP,安徽省统计局,http://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,东莞,0.77,吨标准煤/万元GDP,东莞市统计局,http://www.dg.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,佛山,0.84,吨标准煤/万元GDP,佛山市统计局,http://www.foshan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.75,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.87,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.76,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.8,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,苏州,0.84,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.91,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,郑州,0.89,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,成都,0.93,吨标准煤/万元GDP,四川省统计局,https://www.sc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,厦门,0.81,吨标准煤/万元GDP,福建省统计局,https://www.fj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,佛山,0.76,吨标准煤/万元GDP,广东省统计局,https://www.gd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.81,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.83,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.76,吨标准煤/万元GDP,福建省统计局,https://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,宁波,0.8,吨标准煤/万元GDP,浙江省统计局,https://www.zj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.89,吨标准煤/万元GDP,山东省统计局,https://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,济南,0.84,吨标准煤/万元GDP,山东省统计局,https://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,http://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.86,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,广州,0.77,吨标准煤/万元GDP,广州市统计局,https://www.gz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.88,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.jssz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.83,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.87,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.85,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,济南,0.86,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,佛山,0.92,吨标准煤/万元GDP,佛山市统计局,https://www.foshan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,昆明,0.8,吨标准煤/万元GDP,云南省统计局,https://www.yn.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.76,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.87,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.84,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,宁波,0.79,吨标准煤/万元GDP,宁波市统计局,https://www.ningbo.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.86,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.81,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,哈尔滨,0.94,吨标准煤/万元GDP,哈尔滨市统计局,https://www.hrb.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.75,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.84,吨标准煤/万元GDP,湖北省统计局,https://www.hb.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.91,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.86,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.8,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,佛山,0.76,吨标准煤/万元GDP,佛山市统计局,https://www.foshan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.72,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,哈尔滨,0.92,吨标准煤/万元GDP,黑龙江省统计局,https://www.hlj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.84,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.91,吨标准煤/万元GDP,武汉市统计局,http://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.76,吨标准煤/万元GDP,青岛市统计局,http://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.89,吨标准煤/万元GDP,天津市统计局,http://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.83,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,济南,0.8,吨标准煤/万元GDP,济南市统计局,http://www.jinan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,郑州,0.86,吨标准煤/万元GDP,郑州市统计局,http://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.92,吨标准煤/万元GDP,合肥市统计局,http://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2024,中国,福州,0.79,吨标准煤/万元GDP,福州市统计局,http://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,昆明,0.87,吨标准煤/万元GDP,昆明市统计局,http://www.kunming.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.91,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.86,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.87,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,济南,0.88,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,沈阳,1,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.84,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.81,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,苏州,0.75,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.79,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.92,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,郑州,0.87,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,长沙,0.84,吨标准煤/万元GDP,长沙市统计局,https://www.changsha.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,福州,0.76,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,合肥,0.81,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2018,中国,济南,0.89,吨标准煤/万元GDP,济南市统计局,https://www.jinan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.84,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.79,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.86,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn,2024-09-20,,,,,,,,,,,,,
2021,中国,苏州,0.81,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.77,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.85,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.89,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.76,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.81,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.94,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.87,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,沈阳,0.92,吨标准煤/万元GDP,沈阳市统计局,https://www.sy.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,长沙,0.79,吨标准煤/万元GDP,长沙市统计局,https://www.cs.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.84,吨标准煤/万元GDP,郑州市统计局,https://www.zz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.8,吨标准煤/万元GDP,合肥市统计局,https://www.hf.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.81,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.76,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.87,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.79,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.84,吨标准煤/万元GDP,郑州市统计局,https://www.zz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.91,吨标准煤/万元GDP,合肥市统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,苏州,0.77,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.77,吨标准煤/万元GDP,天津市统计局,http://www.tj.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,http://www.wuhan.gov.cn/zwgk/tjsj/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,http://www.xa.gov.cn/xxgk/tjsj/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,http://www.cq.gov.cn/zwgk/tjsj/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.79,吨标准煤/万元GDP,南京市统计局,http://www.nanjing.gov.cn/gkml/,2024-09-20,,,,,,,,,,,,,
2021,中国,无锡,0.84,吨标准煤/万元GDP,无锡市统计局,http://www.wuxi.gov.cn/wxwj/,2024-09-20,,,,,,,,,,,,,
2020,中国,厦门,0.92,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/gkml/,2024-09-20,,,,,,,,,,,,,
2020,中国,福州,0.86,吨标准煤/万元GDP,福州市统计局,http://www.fuzhou.gov.cn/gkml/,2024-09-20,,,,,,,,,,,,,
2019,中国,杭州,0.8,吨标准煤/万元GDP,浙江省统计局,http://www.zj.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2019,中国,合肥,0.87,吨标准煤/万元GDP,合肥市统计局,http://www.hefei.gov.cn/gkml/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.84,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.81,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.87,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.83,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.86,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,济南,0.79,吨标准煤/万元GDP,山东省统计局,https://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.92,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,福州,0.88,吨标准煤/万元GDP,福建省统计局,https://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,昆明,0.91,吨标准煤/万元GDP,云南省统计局,https://www.yn.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.93,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.89,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.8,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,成都,0.92,吨标准煤/万元GDP,成都统计局,https://www.chengdu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.81,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,哈尔滨,0.97,吨标准煤/万元GDP,哈尔滨市统计局,https://www.hrbl.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.87,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.86,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.79,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.76,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.84,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,郑州,0.87,吨标准煤/万元GDP,郑州市统计局,https://www.zz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.82,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,济南,0.85,吨标准煤/万元GDP,济南市统计局,https://www.jinan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,福州,0.77,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南昌,0.81,吨标准煤/万元GDP,南昌市统计局,https://www.nc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.8,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.91,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.85,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
