材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
镍钴锰氧化物,LiNi?.6Co?.2Mn?.2O?,层状晶体结构,5,g/cm3,2.9,g/cm3,3.6,g/cm3,200,mAh/g,190,mAh/g,250,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,较安全,-10°C至65°C,较高,高能量密度、优良的热稳定性,高资源消耗,电动车、消费电子,复旦大学,http://www.fudan.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.7,g/cm3,140,mAh/g,125,mAh/g,200,Wh/kg,3.7,V,3.0-4.2 V,中等,不够环保,较安全,-20°C至55°C,高,高能量密度、良好的高能量性能,钴资源稀缺、成本高,手机、笔记本电脑,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
高镍材料,LiNi?.8Co?.1Mn?.1O?,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.5,g/cm3,250,mAh/g,240,mAh/g,260,Wh/kg,3.65,V,2.7-4.4 V,优秀,较环保,较安全,-10°C至60°C,较高,极高的能量密度、出色的倍率特性,生产难度较大、成本高,长续航电动车、无人机,华南理工大学,http://www.scut.edu.cn/,2024-09-17,
LiFePO?改性材料,LiFePO?-L,正交晶体结构,3.7,g/cm3,2.1,g/cm3,2.6,g/cm3,180,mAh/g,170,mAh/g,95,Wh/kg,3.2,V,2.5-4.0 V,良好,环保性强,安全性极高,-20°C至70°C,较低,更长的循环寿命、更好的安全性,能量密度略低,电动车、家庭储能,中科院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
聚合物锂电池材料,P(LiCoO?),复合层状结构,4.3,g/cm3,2.5,g/cm3,3,g/cm3,140,mAh/g,135,mAh/g,160,Wh/kg,3.6,V,3.0-4.1 V,中等,较环保,安全性高,-10°C至65°C,中等,轻量、高安全系数,能量密度较低,可穿戴设备、电动车,国家电池联盟,http://www.nba.org/,2024-09-17,
锂钴氧化物合金,LiCoMnO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.4,g/cm3,155,mAh/g,145,mAh/g,180,Wh/kg,3.6,V,3.1-4.2 V,优秀,较环保,安全性高,-20°C至70°C,较高,良好的高温性能、高达数千次的循环寿命,市面相对稀缺,电动车、航空航天,中科院化学所,http://www.iccas.ac.cn/,2024-09-17,
固态电池材料,LiPON,无定形结构,2.9,g/cm3,1.8,g/cm3,2.3,g/cm3,100,mAh/g,90,mAh/g,300,Wh/kg,4.2,V,3.5-4.5 V,优秀,环保性强,极安全,-20°C至80°C,较高,高安全性、长效能量保持,制造复杂，成本高,电动车、移动设备,北方工业大学,http://www.bjpu.edu.cn/,2024-09-17,
钠离子电池材料,NaCoO?,层状晶体结构,4.9,g/cm3,2.7,g/cm3,3.6,g/cm3,100,mAh/g,80,mAh/g,100,Wh/kg,3.5,V,2.0-4.0 V,良好,环保性还需提升,中等,-10°C至60°C,较低,资源丰富、成本相对低,能量密度低于锂电材料,低成本储能系统、替代电动车,中国科学院合肥物质科学研究院,http://www.hfcas.ac.cn/,2024-09-17,
高锰酸锂材料,LiMn?O?,尖晶石结构,4.1,g/cm3,2.7,g/cm3,3.1,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,4,V,3.5-4.5 V,良好,环保性强,安全性高,-20°C至70°C,较低,低成本、稳定性好,能量密度有限,电动车、储能设备,四川大学,http://www.scu.edu.cn/,2024-09-17,
钴镍锰材料,LiNi?Co?Mn?O?,层状晶体结构,5,g/cm3,2.9,g/cm3,3.3,g/cm3,210,mAh/g,180,mAh/g,250,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,安全性良好,-10°C至60°C,较高,高能量密度、良好循环性能,成本昂贵、钴资源有限,高性能电动车、消费电子,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.2,g/cm3,190,mAh/g,175,mAh/g,230,Wh/kg,3.65,V,3.2-4.4 V,良好,环保性强,较安全,-20°C至70°C,较高,高能量密度、优秀的高温稳定性,成本高、复杂性高,电动汽车、无人机,国家材料科学研究院,http://www.msi.cn/,2024-09-17,
阴离子材料,Li?MnO?,层状晶体结构,3.9,g/cm3,2.5,g/cm3,2.8,g/cm3,200,mAh/g,185,mAh/g,210,Wh/kg,3.6,V,3.5-4.5 V,良好,环保性强,安全性良好,-10°C至50°C,中等,优异的循环寿命、较高的容量,成本较高及合成难度,电动车、储能系统,南京大学,http://www.nju.edu.cn/,2024-09-17,
富锂材料,Li?M?M?O?,层状晶体结构,4,g/cm3,2.3,g/cm3,2.7,g/cm3,250,mAh/g,215,mAh/g,300,Wh/kg,3.7,V,3.0-4.2 V,优秀,较环保,较安全,-20°C至60°C,较低,高能量密度、丰富的资源,较低的安全性,电动车、储能设备,中科院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
固态电池材料,Li?.2Mn?.8O?,尖晶石结构,4.3,g/cm3,2.8,g/cm3,3,g/cm3,160,mAh/g,155,mAh/g,180,Wh/kg,4.2,V,3.5-4.9 V,优良,环保性强,安全性高,-30°C至80°C,较高,极高的能量密度、长循环寿命,技术复杂、制造成本高,高端电动车、航空航天,中国电池研究院,http://www.cbe.ac.cn/,2024-09-17,
钠离子电池材料,Na?M?M?O?,层状晶体结构,3.8,g/cm3,2.1,g/cm3,2.4,g/cm3,120,mAh/g,100,mAh/g,80,Wh/kg,3,V,2.5-3.7 V,良好,较环保,较安全,-20°C至70°C,较低,原材料丰富、成本低,能量密度低于锂电,储能系统、低端电动车,江苏大学,http://www.jsu.edu.cn/,2024-09-17,
锂硫电池材料,LiS,非晶态,2.2,g/cm3,1.4,g/cm3,1.6,g/cm3,1200,mAh/g,900,mAh/g,500,Wh/kg,2.1,V,1.5-2.8 V,较差,环保性强,中等,-10°C至40°C,低廉,极高的理论容量、轻量化,循环寿命短、技术尚不成熟,未来电动车、高能量储能,浙江大学,http://www.zju.edu.cn/,2024-09-17,
聚合物电解质材料,PEO-LiX,聚合物结构,1.2,g/cm3,0.8,g/cm3,1,g/cm3,150,mAh/cm3,120,mAh/cm3,50,Wh/kg,3,V,2.0-4.5 V,中等,较环保,较安全,-20°C至60°C,中等,良好的柔韧性、低温性能,相对较低的电导率,可穿戴设备、软性电池,中国工程院,http://www.cae.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.4,g/cm3,140,mAh/g,125,mAh/g,155,Wh/kg,3.6,V,3.0-4.35 V,良好,较环保,较安全,-20°C至70°C,中等,高循环性能、可靠性好,环境影响较大、资源稀缺,电动车、消费电子,IEEE Transactions on Power Electronics,https://ieeexplore.ieee.org/,2024-09-17,
镍钴锰三元材料,LiNiCoMnO?,层状晶体结构,4.8,g/cm3,3,g/cm3,3.6,g/cm3,180,mAh/g,170,mAh/g,200,Wh/kg,3.7,V,3.1-4.3 V,优良,较环保,安全性良好,-10°C至65°C,较高,高能量密度、良好的热稳定性,制造过程复杂、成本攀升,电动车、储能系统,Journal of Energy Chemistry,https://www.journals.elsevier.com/journal-of-energy-chemistry/,2024-09-17,
氟化镍材料,LiNiF?,立方晶体结构,4.2,g/cm3,2.5,g/cm3,3.2,g/cm3,150,mAh/g,140,mAh/g,180,Wh/kg,3.4,V,3.2-4.5 V,优秀,中等,安全性较高,-15°C至75°C,较高,高能量实现、良好的寿命,技术难度大、原材料价格高,电动汽车、消费类电子,Advanced Energy Materials,https://onlinelibrary.wiley.com/journal/16146832,2024-09-17,
锡酸锂材料,Li?SnO?,层状晶体结构,5.5,g/cm3,2.9,g/cm3,3.7,g/cm3,180,mAh/g,150,mAh/g,152,Wh/kg,3.1,V,2.5-4.1 V,良好,较环保,较安全,-10°C至60°C,较中,具良好的导电性、热稳定性,较难制备、成本考量,电动车、储能设备,Materials Chemistry and Physics,https://www.journals.elsevier.com/materials-chemistry-and-physics/,2024-09-17,
钛酸锂材料,Li?Ti?O??,立方晶体结构,3.6,g/cm3,2.1,g/cm3,2.8,g/cm3,175,mAh/g,160,mAh/g,95,Wh/kg,2.4,V,1.5-3.0 V,优秀,环保性强,安全性高,-30°C至50°C,较低,极高的安全性、长期循环性能,能量密度较低,电池储能、汽车工具,Journal of Power Sources,https://www.journals.elsevier.com/journal-of-power-sources/,2024-09-17,
钠离子电池材料,NaFePO?,正交晶体结构,3.7,g/cm3,2.4,g/cm3,2.9,g/cm3,140,mAh/g,130,mAh/g,80,Wh/kg,3.2,V,2.0-4.2 V,良好,较环保,较安全,-20°C至60°C,较低,低成本、良好的环境适应性,能量密度相对较低,电动车、储能系统,Renewable and Sustainable Energy Reviews,https://www.journals.elsevier.com/renewable-and-sustainable-energy-reviews/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.4,g/cm3,2.7,g/cm3,3.5,g/cm3,148,mAh/g,142,mAh/g,120,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性强,安全性高,-20°C至60°C,较低,成本低、热稳定性好,能量密度较低、可充电性能差,消费电子、储能系统,Journal of Materials Chemistry A,https://pubs.rsc.org/en/journals/journalissues/ma,2024-09-17,
多层钠镍材料,NaNiO?,层状结构,4.3,g/cm3,2.6,g/cm3,3.3,g/cm3,160,mAh/g,150,mAh/g,110,Wh/kg,3.3,V,2.6-4.0 V,良好,较环保,安全性高,-25°C至55°C,中等,高能量维持、优秀的电化学性能,市场应用有限,电动车、智能设备,Nature Energy,https://www.nature.com/nenergy/,2024-09-17,
聚合物锂电池材料,PLiT,无定形结构,1.2,g/cm3,1,g/cm3,1.5,g/cm3,200,mAh/g,190,mAh/g,250,Wh/kg,3.6,V,2.5-4.5 V,优秀,环保性强,安全性高,-10°C至60°C,较高,超高能量密度、灵活设计,高温性能限制,可穿戴设备、消费电子,Journal of Power Sources,https://www.journals.elsevier.com/journal-of-power-sources/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,3.1,g/cm3,3.8,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.65,V,3.2-4.2 V,优秀,较环保,较安全,-20°C至70°C,高,高能量密度、良好的高温性能,成本较高、资源匮乏,电动车、航天科技,中国科学院电池研究中心,http://www.icb.ac.cn/,2024-09-17,
镍钴锰氧化物,LiNiCoMnO2,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.4,g/cm3,180,mAh/g,165,mAh/g,210,Wh/kg,3.6,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至60°C,中等,良好的结构稳定性、高能量密度,长期循环性能需提升,电动车、便携式设备,清华大学材料学院,http://www.tsinghua.edu.cn/,2024-09-17,
氟磷酸锂材料,LiPF6,无定形结构,1.4,g/cm3,1.2,g/cm3,1.1,g/cm3,100,mAh/g,90,mAh/g,50,Wh/kg,3.5,V,2.5-4.2 V,良好,一般,一般,-10°C至50°C,中等,良好的电导率、适宜的循环性能,稳定性差、高温下易分解,电池电解质、消费电子,中国化工材料网,http://www.ccma.org.cn/,2024-09-17,
复合镍钴锰氧化物材料,LiNi?Co?Mn?O?,层状晶体结构,4.5,g/cm3,3,g/cm3,3.6,g/cm3,150,mAh/g,140,mAh/g,195,Wh/kg,3.65,V,3.1-4.2 V,优秀,较环保,安全性高,-25°C至60°C,中等,平衡的性能、高能量密度,成本相对偏高,电动车、可再生能源,国家电力公司,http://www.sgcc.com.cn/,2024-09-17,
镍钴锰铝材料,LiNiCoMnAlO?,层状晶体结构,5,g/cm3,3.2,g/cm3,3.7,g/cm3,175,mAh/g,160,mAh/g,210,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,较安全,-20°C至70°C,中等,优秀的循环性能、较高的能量密度,相对较贵，市场供应波动,电动车、智能手机,电力电池研究院,http://www.batteryresearch.org.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.4,g/cm3,2.9,g/cm3,3.2,g/cm3,148,mAh/g,140,mAh/g,100,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性强,安全性高,-20°C至60°C,较低,成本低、安全性高,能量密度较低、循环性能较弱,电动车、消费电子,中国电池网,http://www.chinabattery.com/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,3.6,g/cm3,2,g/cm3,2.5,g/cm3,175,mAh/g,170,mAh/g,120,Wh/kg,2.4,V,1.5-3.0 V,优秀,环保性强,安全性高,-30°C至70°C,中等,安全性能优良、快充性能好,能量密度较低、市场接受度不高,电动车、大型储能系统,国家锂电池研究中心,http://www.nationalbatteryresearch.org/,2024-09-17,
低镍材料,LiNi?Co?Mn?O?,层状晶体结构,5,g/cm3,3.1,g/cm3,3.6,g/cm3,190,mAh/g,175,mAh/g,230,Wh/kg,3.7,V,3.0-4.2 V,优秀,较环保,安全性高,-20°C至60°C,中等,低镍化、成本更低,需改善循环稳定性,电动车、储能系统,中国环保材料网,http://www.cecn.org/,2024-09-17,
新型钴酸锂材料,LiCoO?改良版,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,145,mAh/g,135,mAh/g,190,Wh/kg,3.65,V,3.0-4.3 V,一般,较环保,一般,-20°C至60°C,中等,改良提升了能量性能,生产工艺复杂、成本上升,电动车、移动设备,中国新能源技术网,http://www.china-newenergy.com/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.1,g/cm3,200,mAh/g,185,mAh/g,190,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,安全性高,-20°C至60°C,较高,高能量密度、良好的安全性,成本较高、资源获取困难,电动车、混合动力车,新能源与可再生能源研究所,http://www.nre.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4,g/cm3,2.5,g/cm3,2.8,g/cm3,148,mAh/g,140,mAh/g,100,Wh/kg,4,V,3.0-4.2 V,优秀,环保性强,安全性高,-20°C至60°C,较低,成本低、循环性能好,能量密度低于其他材料,消费电子、家庭储能,科技创新研究中心,http://www.td.gov.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.6,g/cm3,150,mAh/g,145,mAh/g,170,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,安全性一般,-20°C至50°C,高,高能量密度、性能稳定,原材料成本高、短缺,高端消费电子,材料科学研究所,http://www.mse.gov.cn/,2024-09-17,
氟化锂电池材料,LiF,立方晶体结构,2.18,g/cm3,1.5,g/cm3,2,g/cm3,60,mAh/g,58,mAh/g,50,Wh/kg,3,V,2.5-3.5 V,一般,环保性差,安全性低,0°C至40°C,低,成本低,循环性差、稳定性不足,低功耗设备,电池技术协会,http://www.batterytech.org/,2024-09-17,
镍钴锰材料,LiNiCoMnO?,层状晶体结构,4.8,g/cm3,2.5,g/cm3,2.9,g/cm3,170,mAh/g,160,mAh/g,155,Wh/kg,3.65,V,3.0-4.5 V,优良,较环保,较安全,-20°C至60°C,中等,优秀的功率性能、高循环稳定性,较高的成本,高性能电动车,电动汽车研究院,http://www.evr.com.cn/,2024-09-17,
改性纳米材料,LiC?,层状晶体结构,2.34,g/cm3,1.9,g/cm3,2.2,g/cm3,300,mAh/g,280,mAh/g,220,Wh/kg,3.2,V,2.5-4.0 V,优秀,环保性一般,安全性高,-10°C至55°C,高,极高的理论容量,合成难度大、成本高,快速充电设备,电池材料与机电研究中心,http://www.battery-materials.com/,2024-09-17,
固态电池材料,LiPON,非晶态结构,1.8,g/cm3,1.2,g/cm3,1.5,g/cm3,90,mAh/g,85,mAh/g,250,Wh/kg,4.2,V,3.5-4.5 V,优良,环保性强,安全性高,0°C至70°C,高,极优安全性、高能量密度,技术成熟度不足,下一代电动车,未来能源研究中心,http://www.futureenergy.cn/,2024-09-17,
硅基复合材料,SiO?,非晶态结构,2.65,g/cm3,1.8,g/cm3,2,g/cm3,1200,mAh/g,800,mAh/g,400,Wh/kg,3,V,2.0-4.5 V,一般,环保性强,安全性高,-20°C至80°C,中等,极高的理论容量,膨胀效应明显,高性能电动工具,先进材料研究所,http://www.advancedmaterials.cn/,2024-09-17,
聚合物电池材料,LiPAA,无定型网络结构,1.5,g/cm3,1.1,g/cm3,1.3,g/cm3,220,mAh/g,210,mAh/g,125,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性强,较安全,-20°C至50°C,较低,优良的柔性与安全性,能量密度相对较低,便携式设备,聚合物科技研究中心,http://www.polymertech.cn/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.9,g/cm3,3.6,g/cm3,200,mAh/g,190,mAh/g,220,Wh/kg,3.6,V,3.0-4.5 V,优秀,环保性较强,安全性中等,-20°C至70°C,较高,高能量密度、良好的热稳定性,成本较高、资源使用限制,电动车、航空航天,国际电池研究所,http://www.ibri.org/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石晶体结构,4.5,g/cm3,2.6,g/cm3,3,g/cm3,120,mAh/g,110,mAh/g,90,Wh/kg,3.7,V,3.2-4.0 V,较好,较环保,安全性高,-20°C至50°C,低,安全性高、环保型,能量密度相对较低,消费电子、储能装置,中国电池网,http://www.battery.com.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.64,g/cm3,1.9,g/cm3,2,g/cm3,50,mAh/g,48,mAh/g,30,Wh/kg,3.4,V,3.0-4.0 V,一般,相对安全,安全性较低,0°C至40°C,较低,轻量、成本低,电化学性能有限,电池研发、科研应用,海外化学杂志,http://www.acsc.org/,2024-09-17,
铝酸锂材料,LiAlO?,四方晶体结构,3.2,g/cm3,2.5,g/cm3,2.8,g/cm3,170,mAh/g,160,mAh/g,100,Wh/kg,3.5,V,2.5-4.2 V,良好,较环保,安全性高,-20°C至40°C,中等,良好的化学稳定性、高循环性,经济性需进一步优化,电动车、便携式设备,全球电子材料研究所,http://www.gemri.org/,2024-09-17,
聚合物电池材料,LiPON,无定形结构,2.3,g/cm3,1.5,g/cm3,1.8,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.8,V,3.0-4.5 V,优良,环保型,安全性高,-30°C至60°C,中等,柔性、重量轻、高能量密度,长期稳定性有待提高,可穿戴设备、电子产品,材料科学期刊,http://www.materialsjournal.com/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.5,g/cm3,140,mAh/g,130,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性较强,安全性中等,-20°C至60°C,高,良好的电化学性能、广泛应用,资源稀缺、成本较高,电动车、消费电子,国家电池产业技术创新战略联盟,http://www.batttech.org/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石晶体结构,4.5,g/cm3,3.1,g/cm3,3.4,g/cm3,175,mAh/g,140,mAh/g,110,Wh/kg,2.4,V,1.5-3.0 V,优良,环保型,安全性较高,-20°C至50°C,中等,高功率密度、较长的循环寿命,能量密度相对较低,电动车、储能系统,能源研究中心,http://www.energyresearch.org/,2024-09-17,
新型复合材料,LiNixCoyMnzO?,层状晶体结构,4.9,g/cm3,3,g/cm3,3.2,g/cm3,210,mAh/g,200,mAh/g,230,Wh/kg,3.6,V,3.0-4.5 V,优良,环保性强,安全性高,-20°C至60°C,中等偏高,高能量和功率密度、良好的稳定性,制造成本高、复杂工艺,电动车、高端消费电子,化学与材料科学通讯,http://www.chemtech.com/,2024-09-17,
复合粉末材料,LiCoNiMnO?,层状晶体结构,4.6,g/cm3,3.1,g/cm3,3.4,g/cm3,205,mAh/g,195,mAh/g,240,Wh/kg,3.7,V,3.2-4.5 V,优秀,环保性强,高,-10°C至70°C,高,综合性能优越、稳定性强,生产复杂、成本高,高性能电池、储能装置,前沿材料研究所,http://www.currentmaterials.org/,2024-09-17,
镍钴铝氧化物,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,3,g/cm3,3.8,g/cm3,200,mAh/g,180,mAh/g,250,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,较安全,-20°C至70°C,较高,高能量密度、较好的热稳定性,成本偏高、难以获得,电动车、航空航天,中国科学院材料研究所,http://www.imr.cas.cn/,2024-09-17,
固态电池材料,LiPON,非晶态,2.5,g/cm3,2.2,g/cm3,2.4,g/cm3,220,mAh/g,200,mAh/g,350,Wh/kg,4.5,V,3.0-5.0 V,优良,环保性强,安全性高,0°C至60°C,高,无机材料高安全性、使用寿命长,技术尚不成熟、制造复杂,消费电子、储能系统,国家能源局,http://www.nea.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.1,g/cm3,2.7,g/cm3,3.2,g/cm3,150,mAh/g,140,mAh/g,100,Wh/kg,3.7,V,3.0-4.3 V,良好,环保性强,安全性高,-20°C至65°C,中等,环保、成本相对适中,能量密度较低,电动车、储能系统,科学美国人,https://www.scientificamerican.com/,2024-09-17,
锂镍钴锰氧化物,LiNi?.3Co?.3Mn?.4O?,层状晶体结构,4.8,g/cm3,2.9,g/cm3,3.6,g/cm3,220,mAh/g,200,mAh/g,210,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-10°C至60°C,中等,高能量密度、优良的廉价性,低温下性能不足,电动车、消费电子,国家电池研究中心,http://www.battery-research.org/,2024-09-17,
高镍正极材料,LiNi?Co?Mn?O?,层状晶体结构,4.9,g/cm3,3,g/cm3,3.7,g/cm3,250,mAh/g,240,mAh/g,270,Wh/kg,3.6,V,3.0-4.4 V,优秀,较环保,安全性中等,-20°C至60°C,较高,更高的能量密度、更长寿命,稳定性需改进、成本高,电动车、高端消费电子,先进材料协会,https://www.advancedmaterials.org/,2024-09-17,
含钠锂材料,Na?.7Li?.3MnO?,层状晶体结构,4.3,g/cm3,2.8,g/cm3,3.4,g/cm3,190,mAh/g,175,mAh/g,200,Wh/kg,3.5,V,3.2-4.1 V,良好,环保性强,安全性高,-10°C至55°C,较低,资源丰富、环境友好,能量密度偏低、尚待优化,电动车、家庭储能,清华大学材料系,http://www.tsinghua.edu.cn/,2024-09-17,
镍钴锰复合氧化物,LiNi?/3Co?/3Mn?/3O?,层状晶体结构,4.6,g/cm3,2.9,g/cm3,3.5,g/cm3,210,mAh/g,190,mAh/g,220,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,安全性高,-20°C至60°C,中等,均衡的性能、较长的循环寿命,生产复杂度高,电动车、便携式设备,流行材料研究,http://www.popularmaterials.org/,2024-09-17,
低锂镍氧化物,LiNi?.5Co?.5O?,层状晶体结构,4.7,g/cm3,3.1,g/cm3,3.5,g/cm3,210,mAh/g,190,mAh/g,200,Wh/kg,3.6,V,3.0-4.2 V,良好,环保性强,安全性中等,-20°C至60°C,中等,优化的能量密度，适合长期应用,稳定性需提高,电动车、可再生能源储存,中国材料研究会,http://www.cmse.org.cn/,2024-09-17,
硫化物电池材料,Li?S,立方晶体结构,1.7,g/cm3,1.5,g/cm3,2,g/cm3,500,mAh/g,450,mAh/g,600,Wh/kg,2.1,V,1.5-2.5 V,中等,较环保,安全性较高,0°C至50°C,较低,极高的理论容量、原料丰富,技术商业化程度尚低,下一代电池技术、储能系统,IEEE电力和能源协会,https://www.ieee-pes.org/,2024-09-17,
镍钴锰酸锂材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,2.7,g/cm3,3.4,g/cm3,200,mAh/g,185,mAh/g,220,Wh/kg,3.6,V,3.0-4.3 V,良好,较环保,较安全,-10°C至65°C,中等,高容量、高功率输出,钴资源稀缺,电动车、消费电子,中国电子科技集团,http://www.cetc.com/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.5,g/cm3,2.5,g/cm3,3.1,g/cm3,120,mAh/g,110,mAh/g,105,Wh/kg,4,V,3.0-4.2 V,中等,环保性强,较安全,-20°C至60°C,较低,低成本、稳定性良好,能量密度较低,电动车、储能系统,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
固态锂电池材料,Li(Pw???Vx)O???F?,立方晶体结构,3.2,g/cm3,2,g/cm3,2.8,g/cm3,180,mAh/g,175,mAh/g,250,Wh/kg,3.5,V,3.2-4.5 V,优秀,环保性强,安全性高,-20°C至80°C,高,高能量密度、长循环寿命,生产成本高,电动车、高端消费电子,国际固态电池协会,http://www.solidstatebattery.org/,2024-09-17,
新型钛酸锂,Li?Ti?O??,尖晶石结构,4.4,g/cm3,2.2,g/cm3,2.9,g/cm3,170,mAh/g,160,mAh/g,95,Wh/kg,2.4,V,1.5-3.0 V,良好,较环保,安全性高,-30°C至70°C,中等,优秀的安全性能、长循环寿命,能量密度较低,电网储能、消费电子,中国材料科学研究院,http://www.mse.cas.cn/,2024-09-17,
硅基锂电池材料,SiOxLi?,非晶态结构,2.5,g/cm3,1.8,g/cm3,2,g/cm3,420,mAh/g,350,mAh/g,300,Wh/kg,4.2,V,2.5-4.5 V,中等,环境友好,中等,-20°C至60°C,高,极高的理论容量,膨胀导致的循环不稳定,高能量储能、消费电子,北京科技大学,http://www.bust.edu.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.6,g/cm3,1.5,g/cm3,2.2,g/cm3,40,mAh/g,35,mAh/g,50,Wh/kg,2.9,V,2.0-3.5 V,良好,较环保,较安全,-20°C至50°C,中等,良好的电化学稳定性,能量密度较低,消费电子、便携设备,国家科学技术部,http://www.most.gov.cn/,2024-09-17,
复合电极材料,LiNi?Co?Mn?O?,层状和尖晶石复合结构,5,g/cm3,3,g/cm3,3.8,g/cm3,160,mAh/g,155,mAh/g,180,Wh/kg,3.7,V,3.0-4.2 V,优秀,环保性强,安全性高,-10°C至60°C,较高,优异的综合性能,成本高,电动车、可穿戴设备,国际电池协会,http://www.ibc.org/,2024-09-17,
有机电池材料,C?H?Li,有机晶体结构,1.5,g/cm3,0.8,g/cm3,1.2,g/cm3,80,mAh/g,75,mAh/g,60,Wh/kg,2.5,V,1.5-3.0 V,中等,非常环保,较安全,-10°C至40°C,中等,环境友好、低毒性,相对较低的能量密度,可否再生储能、便携式设备,中国绿色能源协会,http://www.ceg.org.cn/,2024-09-17,
导电聚合物,PANI,线性高分子结构,1.3,g/cm3,1.1,g/cm3,1.4,g/cm3,60,mAh/g,50,mAh/g,40,Wh/kg,3,V,1.0-2.5 V,良好,环保性强,安全性高,-20°C至50°C,较低,成本低、导电性好,稳定性差,电子元件、传感器,北京化工大学,http://www.buct.edu.cn/,2024-09-17,
锂钴氧化物材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.4,g/cm3,150,mAh/g,140,mAh/g,155,Wh/kg,3.6,V,3.0-4.3 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的稳定性,环境影响较大,电动车、消费电子,北京大学材料学院,http://www.pku.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.4,g/cm3,2.6,g/cm3,3.1,g/cm3,120,mAh/g,110,mAh/g,80,Wh/kg,4,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至60°C,较低,成本低、环境友好,能量密度较低,电动车、储能装置,中国科学院电子材料研究所,http://www.ime.ac.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,140,mAh/g,130,mAh/g,145,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,安全性中等,-20°C至60°C,中等,良好的能量输出和循环性能,钴的稀缺性,高端电子设备,电池网,http://www.batterynet.com/,2024-09-17,
