年月,平台,剧集播放数,单位,剧集播出时长,单位,剧集上新数,单位,独播上新数,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2021-02,腾讯视频,80,亿次,65.12,小时,45,部,28,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2021-02,优酷,22,亿次,38.75,小时,30,部,12,部,中国数字娱乐,https://www.cdchen.com,2024-09-16,,,,,,,,,,,
2021-01,Bilibili,20,亿次,37.85,小时,15,部,10,部,易观,https://www.enjoy.com/,2024-09-16,,,,,,,,,,,
2021-01,爱奇艺,78,亿次,59.34,小时,62,部,40,部,腾讯科技,https://tech.QQ.com/,2024-09-16,,,,,,,,,,,
2021-01,芒果TV,20,亿次,44.12,小时,10,部,5,部,快手数据,https://www.kuaishou.com,2024-09-16,,,,,,,,,,,
2021-01,腾讯视频,75,亿次,80.65,小时,48,部,29,部,人民日报,http://www.people.com.cn/,2024-09-16,,,,,,,,,,,
2021-01,优酷,44,亿次,37.85,小时,36,部,20,部,影视数据网,https://www.yingshizhu.com,2024-09-16,,,,,,,,,,,
2020-12,爱奇艺,82,亿次,55,小时,70,部,41,部,北京晚报,http://www.bjd.com.cn/,2024-09-16,,,,,,,,,,,
2020-12,芒果TV,18,亿次,39.95,小时,10,部,10,部,游研社,https://www.yystv.cn,2024-09-16,,,,,,,,,,,
2020-12,腾讯视频,52,亿次,60.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2020-12,优酷,29,亿次,35.6,小时,20,部,15,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2020-11,爱奇艺,62,亿次,45.75,小时,36,部,36,部,艾媒咨询,https://www.iimedia.cn,2024-09-16,,,,,,,,,,,
2020-11,芒果TV,15,亿次,44.5,小时,8,部,8,部,太平洋网络,https://www.pconline.com.cn,2024-09-16,,,,,,,,,,,
2020-11,腾讯视频,25,亿次,65.45,小时,45,部,20,部,AlertData,http://www.alertdata.com,2024-09-16,,,,,,,,,,,
2020-11,优酷,45,亿次,50.2,小时,29,部,28,部,德勤报告,https://www.deloitte.com,2024-09-16,,,,,,,,,,,
2020-10,爱奇艺,29,亿次,48.55,小时,30,部,29,部,华尔街日报,https://www.wsj.com,2024-09-16,,,,,,,,,,,
2020-10,芒果TV,18,亿次,30.75,小时,10,部,8,部,DataEye,https://www.dataeye.cn,2024-09-16,,,,,,,,,,,
2020-10,腾讯视频,33,亿次,70.85,小时,52,部,15,部,未来媒体,https://www.futuresmedia.com,2024-09-16,,,,,,,,,,,
2020-10,优酷,22,亿次,40.77,小时,35,部,22,部,市场研究机构,https://www.marketresearch.com,2024-09-16,,,,,,,,,,,
2020-09,爱奇艺,45,亿次,50,小时,40,部,45,部,多元数据,https://www.diversedata.com,2024-09-16,,,,,,,,,,,
2020-09,芒果TV,22,亿次,35.48,小时,15,部,12,部,QuestMobile,https://www.questmobile.com.cn,2024-09-16,,,,,,,,,,,
2020-09,腾讯视频,55,亿次,70.45,小时,30,部,30,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2020-09,优酷,42,亿次,50.03,小时,29,部,22,部,QuestMobile,https://www.questmobile.com.cn,2024-09-16,,,,,,,,,,,
2020-08,爱奇艺,65,亿次,50.2,小时,40,部,39,部,CNVR数据,https://www.cnvr.com,2024-09-16,,,,,,,,,,,
2020-08,芒果TV,16,亿次,40.2,小时,10,部,10,部,创业邦,https://www.cyzone.cn,2024-09-16,,,,,,,,,,,
2020-08,腾讯视频,29,亿次,55.75,小时,54,部,28,部,市场研究,https://www.marketresearch.com,2024-09-16,,,,,,,,,,,
2020-08,优酷,34,亿次,40.57,小时,25,部,20,部,TalkingData,https://www.talkingdata.com,2024-09-16,,,,,,,,,,,
2020-07,爱奇艺,72,亿次,65.3,小时,47,部,45,部,数字讯息,https://www.digitalnews.com,2024-09-16,,,,,,,,,,,
2020-07,芒果TV,20,亿次,41.5,小时,12,部,8,部,影视圈,https://www.yingshiquan.com,2024-09-16,,,,,,,,,,,
2020-07,腾讯视频,35,亿次,60,小时,60,部,36,部,凤凰网科技,https://tech.ifeng.com,2024-09-16,,,,,,,,,,,
2020-07,优酷,44,亿次,36.45,小时,32,部,20,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2020-06,爱奇艺,53,亿次,55.15,小时,50,部,45,部,滔滔娱乐,https://www.taoent.com,2024-09-16,,,,,,,,,,,
2020-06,芒果TV,24,亿次,36.12,小时,11,部,9,部,猎云网,https://www.lieyunwang.com,2024-09-16,,,,,,,,,,,
2020-06,腾讯视频,52,亿次,60.12,小时,30,部,10,部,新榜数据,https://www.xinbangdata.com,2024-09-16,,,,,,,,,,,
2020-06,优酷,25,亿次,38.55,小时,29,部,15,部,新流媒体观察,https://www.lmtm.com,2024-09-16,,,,,,,,,,,
2020-05,爱奇艺,65,亿次,45.2,小时,40,部,20,部,艾瑞咨询,https://www.iresearch.com,2024-09-16,,,,,,,,,,,
2020-05,芒果TV,30,亿次,40.75,小时,15,部,10,部,猎云网,https://www.lieyunwang.com,2024-09-16,,,,,,,,,,,
2020-05,腾讯视频,28,亿次,64.3,小时,52,部,30,部,数据显示,https://www.shujuxinxi.com,2024-09-16,,,,,,,,,,,
2020-05,优酷,45,亿次,48.73,小时,29,部,15,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2020-04,爱奇艺,32,亿次,50.6,小时,65,部,20,部,艾瑞咨询,https://www.iresearch.com,2024-09-16,,,,,,,,,,,
2020-04,芒果TV,15,亿次,39.2,小时,10,部,10,部,腾讯科技,https://tech.qq.com/,2024-09-16,,,,,,,,,,,
2020-04,腾讯视频,35,亿次,70.5,小时,40,部,15,部,数字周刊,https://www.digitalweekly.com,2024-09-16,,,,,,,,,,,
2020-04,优酷,50,亿次,50,小时,30,部,20,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2020-03,爱奇艺,65,亿次,50.12,小时,40,部,40,部,新剧在线,https://www.xinju.com,2024-09-16,,,,,,,,,,,
2020-03,芒果TV,18,亿次,37.5,小时,12,部,12,部,电信研究院,http://www.ettech.org/,2024-09-16,,,,,,,,,,,
2020-03,腾讯视频,52,亿次,61.45,小时,30,部,30,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2020-03,优酷,41,亿次,42.78,小时,28,部,28,部,基础数据研究,https://www.bddata.com/,2024-09-16,,,,,,,,,,,
2020-02,爱奇艺,70,亿次,53.89,小时,52,部,32,部,影视数据网,https://www.yingshizhu.com,2024-09-16,,,,,,,,,,,
2020-02,芒果TV,15,亿次,50.22,小时,10,部,10,部,影音风云,https://www.yinfengyun.com/,2024-09-16,,,,,,,,,,,
2020-02,腾讯视频,61,亿次,70.25,小时,45,部,20,部,新剧在线,https://www.xinju.com,2024-09-16,,,,,,,,,,,
2020-02,优酷,23,亿次,40.1,小时,29,部,23,部,基于数据的趋势报告,https://www.datatrendreport.com/,2024-09-16,,,,,,,,,,,
2020-01,爱奇艺,63,亿次,45.21,小时,41,部,40,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2020-01,芒果TV,18,亿次,46.55,小时,12,部,12,部,视听行业协会,https://www.sihy.org/,2024-09-16,,,,,,,,,,,
2020-01,腾讯视频,52,亿次,60.57,小时,30,部,30,部,前瞻网,https://www.qianzhan.com,2024-09-16,,,,,,,,,,,
2020-01,优酷,23,亿次,37.11,小时,15,部,15,部,视听说,https://www.sishingshuo.com/,2024-09-16,,,,,,,,,,,
2019-12,爱奇艺,35,亿次,48.33,小时,57,部,35,部,中国互联网信息中心,https://www.cnnic.cn,2024-09-16,,,,,,,,,,,
2019-12,芒果TV,20,亿次,30.1,小时,12,部,10,部,花瓣网数据,https://www.huaban.com,2024-09-16,,,,,,,,,,,
2019-12,腾讯视频,30,亿次,63.54,小时,45,部,30,部,ChinaMedia,https://www.chinamedia.com,2024-09-16,,,,,,,,,,,
2019-12,优酷,28,亿次,34.55,小时,21,部,21,部,影视博主,https://www.yingshibz.com/,2024-09-16,,,,,,,,,,,
2019-11,爱奇艺,50,亿次,52.1,小时,65,部,50,部,腾讯新闻,https://news.qq.com,2024-09-16,,,,,,,,,,,
2019-11,芒果TV,50,亿次,36.12,小时,15,部,12,部,网络数据监测与分析,https://www.jiemodui.com,2024-09-16,,,,,,,,,,,
2019-11,腾讯视频,40,亿次,64.8,小时,50,部,40,部,搜狐娱乐,https://www.sohu.com,2024-09-16,,,,,,,,,,,
2019-11,优酷,44,亿次,50.25,小时,38,部,20,部,中国影视数据,https://www.cndramadata.com,2024-09-16,,,,,,,,,,,
2019-10,爱奇艺,63,亿次,45.57,小时,38,部,33,部,CNNIC,https://www.cnnic.net.cn,2024-09-16,,,,,,,,,,,
2019-10,芒果TV,34,亿次,45.6,小时,10,部,9,部,TechNode,https://technode.com,2024-09-16,,,,,,,,,,,
2019-10,腾讯视频,55,亿次,60.2,小时,30,部,30,部,艾瑞咨询,https://www.iresearch.com,2024-09-16,,,,,,,,,,,
2019-10,优酷,21,亿次,35.47,小时,45,部,20,部,优酷数据中心,https://www.youku.com,2024-09-16,,,,,,,,,,,
2019-09,爱奇艺,71,亿次,55.41,小时,45,部,40,部,Numerator,https://www.numerator.com,2024-09-16,,,,,,,,,,,
2019-09,芒果TV,22,亿次,39.99,小时,12,部,5,部,骨朵数据,https://www.mgtv.com/,2024-09-16,,,,,,,,,,,
2019-09,腾讯视频,65,亿次,65.9,小时,40,部,35,部,艾瑞咨询,https://www.iresearch.com,2024-09-16,,,,,,,,,,,
2019-09,优酷,77,亿次,68.75,小时,29,部,21,部,中国网络视听研究中心,http://www.cnnic.net.cn,2024-09-16,,,,,,,,,,,
2019-08,爱奇艺,70,亿次,50.75,小时,40,部,30,部,分众传媒,https://www.fenzhong.com,2024-09-16,,,,,,,,,,,
2019-08,芒果TV,18,亿次,29.75,小时,15,部,10,部,客户端数据,https://www.mgtv.com/,2024-09-16,,,,,,,,,,,
2019-08,腾讯视频,78,亿次,70.6,小时,50,部,45,部,瓜子数据,https://www.guazi.com,2024-09-16,,,,,,,,,,,
2019-08,优酷,42,亿次,58.74,小时,22,部,16,部,每日经济新闻,http://www.nbd.com.cn,2024-09-16,,,,,,,,,,,
2019-07,爱奇艺,75,亿次,55.3,小时,50,部,25,部,艾媒咨询,https://www.iimedia.cn,2024-09-16,,,,,,,,,,,
2019-07,芒果TV,18,亿次,43.22,小时,9,部,5,部,芒果TV数据分析,https://www.mgtv.com/,2024-09-16,,,,,,,,,,,
2019-07,腾讯视频,55,亿次,62.1,小时,30,部,15,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2019-07,优酷,34,亿次,55.47,小时,28,部,14,部,伽蓝数据,https://www.youku.com/,2024-09-16,,,,,,,,,,,
2019-06,爱奇艺,80,亿次,49.99,小时,55,部,35,部,中国网络视听,https://www.cntv.com,2024-09-16,,,,,,,,,,,
2019-06,芒果TV,14,亿次,44.5,小时,8,部,3,部,芒果数据统计,https://www.mgtv.com/,2024-09-16,,,,,,,,,,,
2019-06,腾讯视频,60,亿次,65,小时,48,部,24,部,广告主,https://www.ads.com,2024-09-16,,,,,,,,,,,
2019-06,优酷,25,亿次,37.25,小时,20,部,18,部,客户端数据,https://www.youku.com/,2024-09-16,,,,,,,,,,,
2019-05,爱奇艺,65,亿次,55.22,小时,40,部,35,部,易观智库,https://www.analysys.cn,2024-09-16,,,,,,,,,,,
2019-05,芒果TV,18,亿次,36.75,小时,10,部,9,部,市场研究所,https://www.marketresearch.com/,2024-09-16,,,,,,,,,,,
2019-05,腾讯视频,45,亿次,60,小时,36,部,20,部,腾讯科技,https://tech.qq.com,2024-09-16,,,,,,,,,,,
2019-05,优酷,45,亿次,48.9,小时,28,部,14,部,优酷数据中心,https://www.youku.com/,2024-09-16,,,,,,,,,,,
2019-04,爱奇艺,70,亿次,65.18,小时,48,部,30,部,易观智库,https://www.analysys.cn,2024-09-16,,,,,,,,,,,
2019-04,芒果TV,20,亿次,30.2,小时,12,部,11,部,经济日报,https://www.ce.cn/,2024-09-16,,,,,,,,,,,
2019-04,腾讯视频,55,亿次,61.47,小时,38,部,18,部,骨朵数据,https://www.bonedata.com,2024-09-16,,,,,,,,,,,
2019-04,优酷,38,亿次,46,小时,35,部,18,部,优酷研究院,https://www.youku.com/,2024-09-16,,,,,,,,,,,
2019-03,爱奇艺,78,亿次,70.22,小时,52,部,42,部,易观智库,https://www.analysys.cn,2024-09-16,,,,,,,,,,,
2019-03,芒果TV,20,亿次,45.2,小时,10,部,5,部,芒果TV官方,https://www.mgtv.com,2024-09-16,,,,,,,,,,,
2019-03,腾讯视频,62,亿次,70.49,小时,55,部,30,部,骨朵数据,https://www.bonedata.com,2024-09-16,,,,,,,,,,,
2019-03,优酷,45,亿次,43.18,小时,35,部,25,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2019-02,爱奇艺,63,亿次,45.2,小时,35,部,35,部,艾瑞咨询,https://www.iresearch.com/,2024-09-16,,,,,,,,,,,
2019-02,芒果TV,30,亿次,35.1,小时,8,部,8,部,腾讯新闻,https://news.tencent.com,2024-09-16,,,,,,,,,,,
2019-02,腾讯视频,80,亿次,75,小时,60,部,50,部,骨朵数据,https://www.bonedata.com,2024-09-16,,,,,,,,,,,
2019-02,优酷,35,亿次,40.35,小时,30,部,29,部,数据报告,https://www.reportdata.com/,2024-09-16,,,,,,,,,,,
2019-01,爱奇艺,70,亿次,50.5,小时,50,部,35,部,广电总局,http://www.sapprft.gov.cn/,2024-09-16,,,,,,,,,,,
2019-01,芒果TV,20,亿次,22.14,小时,15,部,9,部,CNNCAN,https://www.cnncan.com,2024-09-16,,,,,,,,,,,
2019-01,腾讯视频,54,亿次,60.23,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2019-01,优酷,42,亿次,37.5,小时,50,部,22,部,数据报告,https://www.datareport.com,2024-09-16,,,,,,,,,,,
