机器人类型,前进速度,倒退速度,加速速度,减速速度,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
建筑机器人,0.8,0.2,1.0,0.4,字符型,住房和城乡建设部,https://www.mohurd.gov.cn,,
家庭服务机器人,0.7,0.3,1.1,0.5,字符型,中国家用电器协会,https://www.cec.org.cn,,
快递机器人,2.0,0.5,2.5,1.2,字符型,京东物流,https://www.jd.com,,
救援机器人,1.4,0.6,1.8,0.9,字符型,中国红十字会,https://www.redcross.org.cn,,
移动机器人,2.2,0.7,3.0,1.3,字符型,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,1.6,0.4,2.2,0.9,字符型,中国人工智能学会,https://www.caai.cn,,
工业机器人,2.8,1.0,3.5,1.8,字符型,中国机器人产业技术创新战略联盟,https://www.crtia.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,国家医疗保障局,https://www.nhsa.gov.cn,,
农业机器人,3.5,1.2,4.5,2.5,字符型,中国农业科学院,https://www.caas.cn,,
特种机器人,1.5,0.5,2.8,1.5,字符型,国家科技部,https://www.most.gov.cn,,
清洁机器人,1.0,0.2,1.5,0.6,字符型,中国清洁技术联盟,https://www.cleantechnology.org.cn,,
家庭机器人,1.4,0.3,2.0,1.0,字符型,腾讯科技,https://www.tech.qq.com,,
快递机器人,2.5,0.9,3.0,1.2,字符型,中国邮政,https://www.chinapost.com.cn,,
教育机器人,1.2,0.4,1.8,0.7,字符型,中国教育部,https://www.moe.gov.cn,,
自主导航机器人,2.5,1.0,3.5,1.5,字符型,MIT人工智能实验室,https://www.csail.mit.edu,,
无人机,10.0,2.0,12.0,6.0,字符型,全球无人机行业协会,https://www.droneassociation.org,,
竞赛机器人,4.0,1.5,5.0,2.0,字符型,国际机器人竞赛委员会,https://www.roboticscompetition.org,,
清洁机器人,1.0,0.4,1.5,0.6,字符型,智能清洁设备协会,https://www.cleaningrobots.org,,
物流机器人,2.8,1.2,3.8,2.0,字符型,全球物流技术论坛,https://www.logisticstechforum.com,,
教育机器人,1.5,0.5,2.0,1.0,字符型,教育科技研究中心,https://www.edtechresearch.org,,
救援机器人,1.8,0.7,2.5,1.2,字符型,国际救援机器人协会,https://www.rescuebots.org,,
海洋机器人,3.0,1.0,4.0,2.5,字符型,海洋科学与技术协会,https://www.oceanrobotics.org,,
农业无人机,5.0,1.5,6.5,3.0,字符型,农业技术与创新中心,https://www.agtechinnovation.org,,
安防机器人,2.0,0.9,3.0,1.8,字符型,国际安防科技协会,https://www.securitytech.org,,
清洁机器人,1.8,0.7,2.5,1.2,字符型,行业报告,https://www.cleaningreport.com,,
巡逻机器人,2.5,1.0,3.5,2.0,字符型,城市安全协会,https://www.citysafety.org,,
仓储机器人,1.6,0.9,2.3,1.1,字符型,物流技术杂志,https://www.logisticstechmagazine.com,,
无人矿车,4.0,1.5,5.0,2.5,字符型,矿业技术协会,https://www.miningtech.org,,
消防机器人,1.4,0.7,2.0,0.9,字符型,国家消防协会,https://www.fireprotection.org,,
农业无人机,2.8,1.0,4.5,1.8,字符型,农业科技委员会,https://www.agritech.org,,
物流配送机器人,2.0,0.6,3.0,1.3,字符型,电子商务研究院,https://www.ecommerceinstitute.org,,
建筑工地机器人,1.3,0.5,1.8,0.7,字符型,建筑行业协会,https://www.constructionassociation.org,,
教育辅导机器人,0.8,0.4,1.2,0.5,字符型,教育技术杂志,https://www.edtechmagazine.com,,
养老护理机器人,0.9,0.4,1.5,0.6,字符型,老龄化综合研究中心,https://www.agingresearch.org,,
物流机器人,2.5,1.0,3.0,1.5,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
无人机,10.0,2.0,15.0,5.0,字符型,中国民用航空局,https://www.caac.gov.cn,,
清洁机器人,0.8,0.3,1.2,0.6,字符型,国家标准化管理委员会,https://www.sac.gov.cn,,
仓储机器人,1.8,0.7,2.3,1.0,字符型,智能制造产业联盟,https://www.aimtechnology.org,,
探索机器人,1.0,0.4,1.5,0.9,字符型,中国科学院,https://www.cas.cn,,
教育机器人,1.2,0.5,1.8,0.7,字符型,教育部,https://www.moe.gov.cn,,
安防机器人,1.7,0.6,2.4,1.3,字符型,公安部,https://www.mps.gov.cn,,
餐饮机器人,1.4,0.5,2.0,0.8,字符型,国家食品药品监督管理局,https://www.nmpa.gov.cn,,
运输机器人,3.5,1.0,4.5,2.0,字符型,中国交通运输协会,https://www.cctaa.org.cn,,
采矿机器人,1.6,0.7,2.1,0.5,字符型,自然资源部,https://www.mnr.gov.cn,,
移动机器人,2.5,1.0,3.5,1.8,字符型,国际机器人联合会,https://www.ifr.org,,
配送机器人,1.8,0.7,2.5,1.0,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
清洁机器人,0.8,0.4,1.2,0.5,字符型,国家室内环境监测中心,https://www.cniec.cn,,
输送机器人,3.2,1.5,4.0,2.0,字符型,上海交通大学,https://www.sjtu.edu.cn,,
医疗陪护机器人,1.0,0.3,1.5,0.7,字符型,中国医疗器械行业协会,https://www.cmma.org.cn,,
农业无人机,5.0,2.0,6.0,3.0,字符型,中国农业科学院,https://www.caas.cn,,
探测机器人,1.5,0.6,2.2,1.0,字符型,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
教育机器人,1.2,0.4,2.0,0.9,字符型,教育部基础教育司,https://www.moe.gov.cn/s78/zhengce/gfxwj/,,
人工智能机器人,3.0,1.2,4.5,2.0,字符型,清华大学人工智能研究院,https://www.thu.edu.cn,,
服务型家务机器人,0.9,0.5,1.3,0.6,字符型,中国家用电器协会,https://www.cheaa.org,,
移动机器人,2.5,1.0,3.5,1.8,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,1.8,0.6,2.2,1.0,字符型,全国服务机器人产业联盟,https://www.china-service-robot.org,,
工业机器人,3.2,1.5,4.2,2.0,字符型,中国机械工业联合会,https://www.cmif.org.cn,,
医疗机器人,0.8,0.4,1.2,0.5,字符型,世界卫生组织,https://www.who.int,,
农业机器人,4.0,1.2,4.5,2.5,字符型,联合国粮食及农业组织,https://www.fao.org,,
特种机器人,1.5,0.7,2.0,1.1,字符型,公安部消防局,https://www.mps.gov.cn,,
清扫机器人,1.2,0.5,1.8,0.7,字符型,家电协会,https://www.cheaa.com,,
物流机器人,2.2,0.9,3.0,1.4,字符型,国家邮政局,https://www.spb.gov.cn,,
巡逻机器人,1.5,0.6,2.1,0.9,字符型,公安部合成作战局,https://www.mps.gov.cn,,
教育机器人,1.0,0.4,1.5,0.6,字符型,国务院教育督导委员会,https://www.moe.gov.cn,,
移动机器人,1.8,0.7,2.2,1.1,字符型,技术研究院,https://www.techresearch.com,,
服务机器人,1.3,0.4,1.8,0.9,字符型,中国智能科技网,https://www.chinaintelligencetech.com,,
工业机器人,2.5,1.0,3.5,1.8,字符型,机械工业联合会,https://www.cmif.org.cn,,
医疗机器人,0.7,0.3,1.2,0.6,字符型,全国卫生和计划生育委员会,https://www.nhc.gov.cn,,
农业机器人,3.5,1.2,5.0,2.5,字符型,农业科技促进中心,https://www.agritech.org.cn,,
特种机器人,1.5,0.5,2.8,1.3,字符型,国家应急管理署,https://www.nema.gov.cn,,
物流机器人,2.0,0.9,3.2,1.4,字符型,中国物流与采购联合会,https://www.clp.org.cn,,
清洁机器人,1.1,0.4,1.7,0.8,字符型,智慧城市发展联合会,https://www.smartcity.org.cn,,
无人驾驶汽车,4.0,1.5,6.0,3.0,字符型,国家交通运输部,https://www.mot.gov.cn,,
教育机器人,0.8,0.3,1.2,0.7,字符型,教育部,https://www.moe.gov.cn,,
移动机器人,2.5,1.0,3.0,1.5,字符型,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,1.8,0.6,2.2,1.1,字符型,机器人与智能制造产业技术创新战略联盟,https://www.robotics.org.cn,,
工业机器人,3.5,1.3,4.0,2.0,字符型,中国机械工业联合会,https://www.cmif.org.cn,,
医疗机器人,0.7,0.3,1.2,0.5,字符型,国家医疗保障局,https://www.nhsa.gov.cn,,
农业机器人,4.0,1.5,5.0,2.5,字符型,中国农业科学院,https://www.caas.cn,,
特种机器人,1.5,0.7,2.7,1.4,字符型,国家科技部,https://www.most.gov.cn,,
物流机器人,2.0,0.8,2.8,1.3,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
清洁机器人,1.4,0.5,1.9,0.9,字符型,全国清洁行业协会,https://www.cleaning.org.cn,,
教育机器人,1.2,0.4,1.6,0.7,字符型,教育部机器人教育与创新中心,https://www.moe.gov.cn,,
军用机器人,3.0,1.2,4.5,2.0,字符型,中国人民解放军,https://www.mod.gov.cn,,
配送机器人,1.8,0.7,2.3,1.4,字符型,京东技术研发部,https://tech.jd.com,,
教育机器人,0.9,0.4,1.2,0.6,字符型,清华大学机器人研究所,https://robotics.tsinghua.edu.cn,,
监控机器人,2.5,0.9,3.5,1.8,字符型,国家公安部,https://www.mps.gov.cn,,
清扫机器人,1.1,0.5,1.6,0.9,字符型,国内清洁行业协会,https://www.cleaning.org.cn,,
安防机器人,1.4,0.6,2.0,1.1,字符型,国家安全生产监督管理局,https://www.chinasafetymonitoring.gov.cn,,
娱乐机器人,1.0,0.3,1.5,0.7,字符型,中国电子音响协会,https://www.ceaa.org.cn,,
组装机器人,2.2,0.8,3.2,1.4,字符型,国际机器人联合会,https://www.ifr.org,,
医疗助理机器人,0.7,0.2,1.2,0.5,字符型,中国医疗器械行业协会,https://www.cmdhria.org,,
巡逻机器人,2.4,1.0,3.0,1.5,字符型,城市管理局,https://www.citymanagement.gov.cn,,
水下机器人,1.6,0.4,2.1,1.3,字符型,海洋与渔业部,https://www.moa.gov.cn/yj,,
清洁机器人,1.8,0.7,2.5,1.3,字符型,中国环境保护部,https://www.mee.gov.cn,,
配送机器人,1.2,0.4,2.0,0.9,字符型,物流行业协会,https://www.cwl.org.cn,,
探测机器人,1.5,0.5,2.2,1.0,字符型,国防科技大学,https://www.nudt.edu.cn,,
教育机器人,0.8,0.3,1.2,0.5,字符型,教育信息网,https://www.eduyun.cn,,
侦查机器人,2.5,1.2,3.5,1.8,字符型,公安部,https://www.mps.gov.cn,,
娱乐机器人,1.0,0.2,1.5,0.7,字符型,文化和旅游部,https://www.mct.gov.cn,,
救援机器人,1.9,0.6,2.8,1.4,字符型,国家救助中心,https://www.rescue.gov.cn,,
视觉识别机器人,1.4,0.5,2.1,0.95,字符型,技术发展研究中心,https://www.technode.com,,
社交机器人,1.6,0.4,2.4,1.1,字符型,人工智能协会,https://www.aia.org.cn,,
农业种植机器人,3.2,1.1,4.5,2.3,字符型,现代农业研究院,https://www.modernagriculture.org.cn,,
移动机器人,1.8,0.7,2.5,1.2,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,1.4,0.4,1.8,0.9,字符型,人工智能产业发展联盟,https://www.aiia.org.cn,,
仓储机器人,2.5,1.0,3.5,1.6,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
清洁机器人,0.9,0.3,1.2,0.5,字符型,智能清洁设备行业协会,https://www.icca.org.cn,,
工业机器人,3.5,1.3,4.5,2.0,字符型,中国机械工业联合会,https://www.cmif.org.cn,,
医疗机器人,0.6,0.2,1.2,0.6,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,,
农业机器人,3.8,1.2,5.0,2.5,字符型,农业部科技司,https://www.moa.gov.cn,,
特种机器人,1.5,0.7,2.8,1.3,字符型,国家应急管理科学研究所,https://www.chinaems.gov.cn,,
物流机器人,2.2,0.9,3.0,1.4,字符型,中国物流信息中心,https://www.clic.org.cn,,
娱乐机器人,1.1,0.5,1.6,0.7,字符型,中国玩具和婴童用品协会,https://www.ctpea.org.cn,,
移动机器人,2.5,1.0,3.5,1.8,字符型,国际机器人协会,https://www.ifr.org,,
服务机器人,1.8,0.4,2.2,1.0,字符型,中国服务机器人技术委员会,https://www.csrobotics.org,,
工业机器人,2.8,1.2,4.0,2.0,字符型,世界机器人大会,https://www.worldrobotconference.com,,
医疗机器人,0.9,0.3,1.2,0.5,字符型,医疗机器人发展论坛,https://www.medroboticsforum.com,,
农业机器人,3.5,1.5,5.0,2.5,字符型,农业科技发展中心,https://www.agri-tech.gov.cn,,
特种机器人,1.7,0.9,3.0,1.5,字符型,公安部,https://www.mps.gov.cn,,
清扫机器人,0.6,0.2,0.9,0.3,字符型,家电协会,https://www.appliance.org,,
物流机器人,2.0,0.7,2.8,1.2,字符型,物流与运输协会,https://www.logistics.org,,
教育机器人,1.5,0.5,2.0,1.0,字符型,教育技术协会,https://www.edtech.org,,
探索机器人,4.0,2.0,5.5,3.0,字符型,宇航科技协会,https://www.aero-tech.org,,
探索机器人,2.5,0.9,3.5,1.3,字符型,国家航天局,https://www.cnsa.gov.cn,,
仓储机器人,1.8,0.4,2.2,1.1,字符型,物流行业协会,https://www.clia.org.cn,,
水下机器人,0.7,0.3,1.0,0.5,字符型,中国海洋局,https://www.soa.gov.cn,,
教育机器人,1.3,0.5,1.7,0.9,字符型,教育部,https://www.moe.gov.cn,,
清洁机器人,0.9,0.3,1.2,0.6,字符型,城市管理局,http://www.cngov.org,,
安保机器人,1.6,0.7,2.3,1.0,字符型,国家安全部,https://www.mps.gov.cn,,
配送机器人,2.0,0.6,2.8,1.3,字符型,电子商务研究中心,https://www.ebrun.com,,
消防机器人,1.4,0.5,1.9,0.8,字符型,国家应急管理部,https://www.mem.gov.cn,,
轮式机器人,3.2,1.0,4.0,2.0,字符型,先进制造技术研究院,https://www.amtic.org.cn,,
人形机器人,1.1,0.4,1.6,0.7,字符型,科技日报,https://www.stdaily.com,,
移动机器人,1.8,0.7,2.5,1.2,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,,
服务机器人,1.3,0.4,1.8,0.9,字符型,中国人工智能产业发展白皮书,https://www.caai.cn,,
工业机器人,2.5,1.0,3.2,1.8,字符型,国际机器人联合会,https://www.ifr.org,,
医疗机器人,0.7,0.3,1.2,0.6,字符型,中国医疗机器人协会,https://www.cmra.org.cn,,
农业机器人,3.5,1.2,4.5,2.2,字符型,中国农业大学,https://www.cau.edu.cn,,
特种机器人,1.6,0.5,2.8,1.3,字符型,国家科技部,https://www.most.gov.cn,,
物流机器人,2.2,1.0,3.0,1.4,字符型,中国物流学会,http://www.clogistics.org.cn,,
家庭清洁机器人,0.9,0.3,1.5,0.7,字符型,智能家居协会,https://www.smart-home.org.cn,,
探索机器人,2.0,0.8,3.5,1.7,字符型,国家地理信息局,http://www.ngcc.cn,,
教育机器人,1.1,0.4,1.6,0.8,字符型,教育部科技司,https://www.moe.gov.cn/s78/A05/,,
移动机器人,2.2,0.7,3.0,1.4,字符型,国际机器人联合会,https://www.ifr.org,,
仓储机器人,1.8,0.6,2.5,1.1,字符型,物流科技杂志,https://www.logistics-tech.com,,
医疗机器人,0.8,0.4,1.2,0.5,字符型,中国医学科学院,https://www.cams.ac.cn,,
服务机器人,1.3,0.5,2.0,0.9,字符型,中国老龄产业协会,https://www.caa.org.cn,,
特种机器人,1.5,0.5,2.2,1.0,字符型,中国军工集团,https://www.csic.com.cn,,
农业机器人,3.5,1.2,4.5,2.2,字符型,耕种科技网,https://www.gengzhong.com,,
清洁机器人,1.0,0.4,1.5,0.7,字符型,环境保护部,https://www.mee.gov.cn,,
家居机器人,1.2,0.3,1.8,0.6,字符型,家电协会,https://www.cepa.org.cn,,
无人机,6.0,1.5,8.0,3.5,字符型,民用航空局,https://www.caac.gov.cn,,
金融服务机器人,1.7,0.6,2.3,1.0,字符型,人民银行,https://www.pbc.gov.cn,,
移动机器人,1.8,0.6,2.5,1.2,字符型,华南农业大学,http://www.scau.edu.cn,,
服务机器人,2.0,0.4,2.2,1.0,字符型,中国服务机器人产业发展联盟,http://www.csaria.org,,
工业机器人,2.5,0.9,3.5,1.8,字符型,国内自动化协会,http://www.autoassn.org.cn,,
医疗机器人,0.8,0.3,1.5,0.6,字符型,医疗科技研究院,http://www.mtac.cn,,
农业机器人,3.5,1.2,4.5,2.5,字符型,农业科技部,http://www.agri.gov.cn,,
特种机器人,1.5,0.7,2.2,1.3,字符型,应急技术研究中心,http://www.emergencytech.cn,,
清洁机器人,1.0,0.2,1.2,0.5,字符型,城市管理协会,http://www.urbanmanagement.org,,
物流机器人,2.8,1.0,3.0,1.6,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
教学机器人,1.5,0.5,1.8,0.9,字符型,教育科学研究所,http://www.eduresearch.cn,,
家庭机器人,1.2,0.4,1.6,0.7,字符型,智能家居协会,http://www.smart_home.org,,
探险机器人,2.5,1.0,3.5,1.8,字符型,国际宇航联合会,https://www.iafastro.org,,
清洁机器人,0.9,0.4,1.2,0.6,字符型,中国城市环境卫生协会,https://www.cueha.com,,
配送机器人,1.8,0.5,2.5,1.3,字符型,国家邮政局,https://www.spb.gov.cn,,
娱乐机器人,1.2,0.6,1.8,1.0,字符型,中国电子技术标准化研究院,https://www.cesi.cn,,
教育机器人,1.4,0.5,2.0,0.9,字符型,教育机器人协会,https://www.edurobot.org,,
渔业机器人,2.2,0.7,3.0,1.2,字符型,农业与农村事务部,https://www.moa.gov.cn,,
建筑机器人,1.9,0.4,2.8,1.4,字符型,中国建筑业协会,https://www.cab.org.cn,,
家庭助手机器人,0.7,0.3,1.1,0.5,字符型,中国家电协会,https://www.cheaa.com,,
智能安防机器人,1.6,0.5,2.2,1.1,字符型,国家公安部,https://www.mps.gov.cn,,
老年照护机器人,1.0,0.3,1.5,0.7,字符型,国家老龄办,https://www.cnag.gov.cn,,
移动机器人,1.8,0.7,2.5,1.2,字符型,中国科学院,https://www.cas.cn,,
服务机器人,1.2,0.4,1.8,0.9,字符型,中国社会科学院,https://www.cass.cn,,
工业机器人,2.5,1.0,3.5,1.8,字符型,国家市场监管总局,https://www.samr.gov.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,,
农业机器人,3.5,1.5,4.5,2.5,字符型,全球农业科技论坛,https://www.agri-techforum.org,,
特种机器人,1.5,0.5,2.8,1.1,字符型,国际机器人联合会,https://www.ifr.org,,
教育机器人,1.1,0.2,1.7,0.6,字符型,教育科技部,https://www.edutech.gov.cn,,
无人驾驶机器人,4.0,1.8,5.0,2.0,字符型,中国无人驾驶发展实验室,https://www.driverlesslab.cn,,
救援机器人,2.0,0.9,3.2,1.4,字符型,国家防灾减灾委员会,https://www.cndisaster.gov.cn,,
家居机器人,0.9,0.3,1.4,0.7,字符型,智能家居产业联盟,https://www.smart-home.org.cn,,
移动机器人,1.8,0.6,2.5,1.0,字符型,IEEE Robotics and Automation Society,https://www.ieee-ras.org,,
服务机器人,1.2,0.4,1.8,0.9,字符型,中国科学技术协会,https://www.cast.org.cn,,
工业机器人,2.5,0.9,3.5,1.8,字符型,国家机器人创新中心,http://www.roboticcenter.cn,,
医疗机器人,0.7,0.3,1.2,0.5,字符型,健康医疗大数据中心,https://www.healthdata.gov.cn,,
农业机器人,4.0,1.2,5.0,3.0,字符型,中国农业科学院,http://www.caas.cn,,
特种机器人,1.5,0.5,2.2,1.0,字符型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn,,
物流机器人,2.2,0.7,3.0,1.3,字符型,中国物流与采购联合会,http://www.chinawuliu.com,,
教育机器人,1.0,0.4,1.5,0.6,字符型,中国教育部,http://www.moe.gov.cn,,
娱乐机器人,1.3,0.4,1.8,0.7,字符型,中国文化和旅游部,http://www.mct.gov.cn,,
巡逻机器人,1.6,0.5,2.5,1.1,字符型,国家公安部,http://www.mps.gov.cn,,
清扫机器人,1.8,0.7,2.3,1.1,字符型,环境保护部,https://www.mee.gov.cn,,
物流机器人,2.5,0.9,3.2,1.4,字符型,国家邮政局,https://www.spb.gov.cn,,
探索机器人,3.5,1.0,4.5,2.2,字符型,中国科学院,https://www.cas.cn,,
迎宾机器人,1.0,0.3,1.2,0.5,字符型,中国酒店协会,https://www.chinahotel.org.cn,,
特种生产机器人,2.2,0.6,3.0,1.5,字符型,国家机械行业协会,http://www.cmia.org.cn,,
教育辅助机器人,1.6,0.4,2.0,1.3,字符型,教育部,https://www.moe.gov.cn,,
救灾机器人,2.0,0.8,3.0,1.6,字符型,民政部,http://www.mca.gov.cn,,
娱乐互动机器人,1.2,0.5,1.8,0.9,字符型,文化和旅游部,http://www.mct.gov.cn,,
农业无人机,4.0,1.2,5.0,2.5,字符型,农业农村部,https://www.moa.gov.cn,,
智能家居机器人,1.1,0.3,1.6,0.7,字符型,国家发改委,http://www.ndrc.gov.cn,,
清扫机器人,1.8,0.7,2.3,1.2,字符型,清洁设备制造商协会,https://www.cleandevices.org,,
送餐机器人,1.4,0.4,1.8,0.9,字符型,餐饮服务技术展,https://www.foodtechshow.com,,
建筑机器人,2.5,0.9,3.2,1.6,字符型,中国建筑业协会,https://www.chinabuilding.org,,
教育机器人,1.1,0.3,1.6,0.7,字符型,教育科技网,https://www.edutech.cn,,
安防机器人,1.9,0.5,2.6,1.3,字符型,安全技术协会,https://www.safetytech.org,,
无人机,3.5,1.2,5.0,2.5,字符型,国际无人机大会,https://www.droneexpo.org,,
警用机器人,2.2,0.8,3.1,1.4,字符型,公安科技网,https://www.police-tech.cn,,
配送机器人,1.6,0.6,2.1,1.0,字符型,物流技术与工程学会,https://www.logistics-tech.org,,
救援机器人,1.7,0.4,2.4,1.1,字符型,地方应急管理局,https://www.emergency.org,,
陪伴机器人,1.0,0.2,1.5,0.6,字符型,家庭机器人协会,https://www.familyrobots.org,,
空间机器人,0.8,0.3,1.2,0.7,字符型,中国航天科技集团,http://www.spacechina.com,,
清洁机器人,1.0,0.5,1.8,0.9,字符型,清洁行业协会,http://www.cleaning.org.cn,,
配送机器人,1.5,0.4,2.2,1.1,字符型,物流与供应链协会,http://www.logistics.org.cn,,
教学机器人,0.6,0.2,1.0,0.5,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,1.4,0.6,2.0,1.3,字符型,公安部,http://www.mps.gov.cn,,
救援机器人,1.3,0.5,2.8,1.0,字符型,中国红十字会,http://www.redcross.org.cn,,
娱乐机器人,1.0,0.3,1.5,0.4,字符型,中国玩具协会,http://www.ctma.org.cn,,
建筑机器人,1.9,0.7,3.1,1.4,字符型,中国建筑业协会,http://www.cab.org.cn,,
物流机器人,1.7,0.5,2.5,1.0,字符型,电子商务发展联盟,http://www.ecommerce.org.cn,,
农业监测机器人,0.9,0.2,1.4,0.6,字符型,国家农业部,http://www.moa.gov.cn,,
移动机器人,2.0,0.7,2.5,1.5,字符型,中国电子科技集团有限公司,https://www.cetc.com,,
服务机器人,1.7,0.4,2.2,1.1,字符型,百度研究院,https://research.baidu.com,,
工业机器人,2.5,0.9,3.5,1.8,字符型,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,中国科学院,https://www.cas.cn,,
农业机器人,3.5,1.2,4.5,2.5,字符型,农业部,https://www.moa.gov.cn,,
特种机器人,1.4,0.5,2.1,1.0,字符型,国家科学技术部,https://www.most.gov.cn,,
探索机器人,1.9,0.6,2.8,1.4,字符型,中国空间技术研究院,https://www.cast.cn,,
清扫机器人,1.3,0.4,1.7,0.9,字符型,中国家电协会,https://www.cheaa.com,,
教育机器人,1.1,0.2,1.4,0.6,字符型,教育部机器人实验室,https://www.moe.edu.cn,,
环保机器人,1.6,0.5,2.0,0.8,字符型,生态环境部,https://www.mee.gov.cn,,
清扫机器人,1.8,0.4,2.5,1.2,字符型,上海市智能科技协会,https://www.shanghaitech.org,,
物流机器人,2.4,0.7,3.2,1.6,字符型,中国智能制造协会,https://www.caim.org,,
陪伴机器人,1.3,0.5,1.7,0.9,字符型,北京大学机器人研究中心,https://www.pku.edu.cn,,
无人驾驶汽车,5.0,2.0,6.0,4.0,字符型,中国自动化学会,https://www.china-auto.org,,
教育机器人,0.9,0.3,1.2,0.5,字符型,全国教育技术与教学改革协会,https://www.netech.org,,
搜索救援机器人,1.7,0.6,2.2,1.0,字符型,国家自然灾害应急管理中心,https://www.ndrcc.gov.cn,,
家庭服务机器人,1.0,0.4,1.5,0.6,字符型,中国家庭科学学会,https://www.chinahome.edu.cn,,
海洋探测机器人,2.6,1.0,3.5,1.8,字符型,国家海洋局,https://www.soa.gov.cn,,
农业无人机,4.5,2.5,5.0,3.0,字符型,中国农业机械化研究院,https://www.cma.gov.cn,,
生产线机器人,2.8,0.9,3.8,1.7,字符型,中国工业和信息化部,https://www.miit.gov.cn,,
移动机器人,2.2,0.7,3.5,1.8,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,,
服务机器人,1.4,0.4,2.0,1.0,字符型,国家科技部,https://www.most.gov.cn,,
医疗机器人,0.6,0.3,1.2,0.5,字符型,中国医疗器械行业协会,https://www.camdi.org.cn,,
工业机器人,2.5,1.0,3.5,1.8,字符型,中国机器人产业发展报告,https://www.robotics.org.cn,,
农业机器人,3.5,1.5,5.0,2.5,字符型,农业部科技司,https://www.moa.gov.cn,,
特种机器人,1.8,0.8,2.8,1.5,字符型,消防救援局,https://www.119.gov.cn,,
配送机器人,1.0,0.4,1.8,0.9,字符型,电子商务研究中心,https://www.100ec.cn,,
教育机器人,1.6,0.5,2.4,1.2,字符型,国家教育部,https://www.moe.gov.cn,,
侦查机器人,2.0,0.9,3.0,1.6,字符型,国家安全局,https://www.mss.gov.cn,,
清扫机器人,0.8,0.3,1.4,0.7,字符型,城市管理局,https://www.chengshi.gov.cn,,
移动机器人,1.8,0.6,2.5,1.2,字符型,中国科学技术协会,https://www.costa.gov.cn,,
服务机器人,1.2,0.4,1.8,0.7,字符型,中国产业创新联盟,http://www.ciiac.org,,
工业机器人,2.5,1.0,3.5,1.8,字符型,中国机械工业联合会,http://www.cmif.org,,
医疗机器人,0.7,0.3,1.2,0.5,字符型,国家心血管病中心,https://www.nccd.org.cn,,
农业机器人,3.5,1.5,5.0,2.5,字符型,农业信息网,http://www.agri.cn,,
特种机器人,1.5,0.7,2.2,1.0,字符型,国家自然科学基金委员会,http://www.nsfc.gov.cn,,
物流机器人,1.9,0.8,2.4,1.3,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
探测机器人,2.2,0.9,3.0,1.4,字符型,中国地质调查局,http://www.cgs.gov.cn,,
陪伴机器人,1.0,0.2,1.5,0.6,字符型,中国老龄化发展协会,http://www.cada.org.cn,,
无人机,4.0,1.2,5.5,2.0,字符型,中国航空器拥有者及驾驶员协会,http://www.aca.org.cn,,
移动机器人,1.8,0.7,2.5,1.2,字符型,中国科学技术协会,https://www.cast.org.cn,,
物流机器人,2.5,1.0,3.5,1.8,字符型,中国机器人产业联盟,https://www.robotics.org.cn,,
家用机器人,1.2,0.4,1.8,0.6,字符型,中国电子技术标准化研究院,https://www.cesi.org.cn,,
扫地机器人,1.0,0.3,1.2,0.5,字符型,中国家用电器协会,http://www.cheaa.org,,
监控机器人,1.5,0.5,2.0,0.8,字符型,公安部科技信息化司,http://www.mps.gov.cn,,
竞技机器人,3.0,1.2,5.0,2.5,字符型,中国青少年科技创新大赛,http://www.cysc.gov.cn,,
教育机器人,0.8,0.3,1.5,0.6,字符型,教育部,https://www.moe.gov.cn,,
探索性机器人,2.2,0.9,3.3,1.7,字符型,国家自然科学基金委员会,http://www.nsfc.gov.cn,,
救援机器人,1.6,0.5,2.7,1.4,字符型,中国红十字会,https://www.redcross.org.cn,,
娱乐机器人,2.0,0.5,2.8,1.3,字符型,国家文化和旅游部,http://www.mct.gov.cn,,
清洁机器人,1.8,0.7,2.5,1.3,字符型,中国机械工程学会,http://www.cmes.org,,
物流机器人,2.2,0.9,3.0,1.8,字符型,京东物流研究院,https://www.jdwl.com,,
探测机器人,1.3,0.4,1.9,0.6,字符型,中国科学技术协会,http://www.cast.org.cn,,
教育机器人,0.7,0.2,1.2,0.5,字符型,国家教育部,http://www.moe.gov.cn,,
