机器人类型,主要结构,特点,常见应用,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
建筑机器人,自动化施工平台,高效施工、材料搬运,建筑工地、基础设施建设,字符型,中国建筑业协会,https://www.cah.gov.cn,,
仓储机器人,无人搬运车,高动态载荷、路径优化,自动化仓库、工业物流,字符型,中国供应链管理协会,https://www.chinascm.org,,
救援机器人,移动搜索平台,远程控制、环境适应,灾区搜救、紧急救援,字符型,国际红十字会,https://www.icrc.org,,
儿童教育机器人,可编程模块,互动教学、STEM教育,学校教育、家庭教学,字符型,中国教育科技网,https://www.edunet.gov.cn,,
服务机器人,移动轮式底盘,语音识别、自主学习,酒店服务、导览,字符型,中国机器人产业联盟,https://www.robotics.org.cn,,
教育机器人,可编程积木,游戏互动、增强学习,STEM教育,字符型,清华大学教育研究所,https://www.ts.edu.cn,,
工业机器人,并联机械手,高速、高精度,电子组装、搬运,字符型,中国自动化学会,https://www.ca.org.cn,,
医疗机器人,手术导引系统,远程手术、高清摄像,远程医疗,字符型,中国科学院,https://www.cas.cn,,
农业机器人,无人机,精准播种、农药喷洒,大田作业,字符型,农业农村部,https://www.moa.gov.cn,,
特种机器人,水下机器人,深海探测、耐压,海洋研究、救援,字符型,国家海洋局,http://www.soa.gov.cn,,
物流机器人,移动运输系统,智能调度、灵活性,仓储管理,字符型,中国物流与采购联合会,http://www.chinawuliu.com,,
社交机器人,人形设计,情感识别、互动式交流,陪伴、心理辅导,字符型,北京大学人工智能研究院,http://www.pku.edu.cn,,
清洁机器人,吸尘底盘,智能规划、自动充电,家庭清洁、办公环境,字符型,中国家电协会,http://www.cheaa.com,,
监控机器人,全向移动平台,实时视频监控、智能分析,公共安全、企业安防,字符型,国家公安部,http://www.mps.gov.cn,,
家用机器人,移动底盘,语音识别、个性化助手,家庭清洁、娱乐,字符型,智能家居网,https://www.smart-home.com,,
物流机器人,自动导向车(AGV),高效搬运、实时定位,仓库管理、配送中心,字符型,物流与供应链管理协会,https://www.logistics.org.cn,,
娱乐机器人,四轮驱动,互动游戏、陪伴,儿童教育、家庭娱乐,字符型,玩具产业协会,https://www.toyindustry.com,,
安防机器人,巡逻机器人,实时监控、自动报警,公共安全、商业设施,字符型,中国安防协会,https://www.security.org.cn,,
建筑机器人,工程机械结合,自动施工、高精度,建筑施工、维修,字符型,中国建筑科学研究院,https://www.cib.com.cn,,
清扫机器人,圆形底盘,智能规划、自动充电,室内清洁、家庭护理,字符型,消费电子协会,https://www.ceaa.org.cn,,
老年护理机器人,人形设计,健康监测、情感陪伴,养老院、家庭护理,字符型,国内社会保障部,https://www.mca.gov.cn,,
自主农业机器人,多功能拖拉机,智能耕作、精准喷洒,农业生产、土地管理,字符型,农业高新技术中心,https://www.agridata.org.cn,,
救援机器人,遥控操作平台,灾害检测、柔性应对,紧急救援、灾后重建,字符型,应急科技部,https://www.emergencyscience.cn,,
金融服务机器人,嵌入式计算机,数据分析、客户服务,银行、金融咨询,字符型,金融科技协会,https://www.fintech.org.cn,,
物流机器人,自动驾驶底盘,高效仓储、导航精确,仓库管理、包裹配送,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
工业机器人,并联机械手臂,高速度、重负载,汽车制造、重工业,字符型,工信部,https://www.miit.gov.cn,,
教育机器人,可编程模块,创造性、趣味性强,STEM教育,字符型,国家科技部,https://www.most.gov.cn,,
医疗机器人,遥控手术臂,远程控制、实时反馈,远程手术、病人监测,字符型,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,智能拖拉机,精准施肥、自动驾驶,农作物管理,字符型,中国农业大学,https://www.cau.edu.cn,,
服务机器人,社交互动平台,情感识别、语音交互,老年人护理、酒店接待,字符型,中国老龄协会,https://www.chinalao.com,,
特种机器人,水下无人机,水下探测、摄像能力,海洋研究、灾害监测,字符型,国家海洋局,http://www.soa.gov.cn,,
陪伴机器人,友好界面设计,情感交流、行为学习,儿童教育、游戏伴侣,字符型,中国机器人产业联盟,https://www.robotics.org.cn,,
物流无人机,四旋翼,快速配送、遥控操控,快递送货、仓储管理,字符型,中国民用航空局,http://www.caac.gov.cn,,
救援机器人,地面穿越型,障碍物识别、实时通讯,灾后搜救、逃生辅助,字符型,国家应急管理部,https://www.mem.gov.cn,,
工业机器人,协作机械臂,灵活、高效,小型制造业,字符型,国际机器人工程协会,https://www.iaee.org,,
服务机器人,智能移动平台,语音识别、自学习,酒店服务、导览,字符型,中国机械工程学会,https://www.cmes.org,,
教育机器人,多功能套件,趣味化学习、编程,编程教育、STEM培训,字符型,教育信息化,http://www.e-education.cn,,
医疗机器人,遥控手术系统,远程操控、实时反馈,远程手术,字符型,国际医疗机器人组织,https://www.imra.org,,
农业机器人,无人机喷洒装置,精准农业、无人作业,农药喷洒、作物监测,字符型,中国农业大学,http://www.cau.edu.cn,,
特种机器人,复合传感器平台,高灵敏度、远程操控,水下探测,字符型,国家海洋局,http://www.soa.gov.cn,,
军事机器人,地面侦察车辆,隐蔽性强、自主导航,侦查行动,字符型,国防科技大学,http://www.nudt.edu.cn,,
配送机器人,自主移动系统,路径规划、交通识别,食品配送、快递运送,字符型,物流与运输技术研究中心,http://www.logistics.gov.cn,,
家居机器人,智能清洁底座,自主清扫、智能回充,家庭清洁,字符型,消费电子协会,https://www.ce.org,,
娱乐机器人,机甲对战装置,动感、互动性强,主题公园、活动展览,字符型,中国玩具和婴童用品协会,http://www.ctjpa.org.cn,,
物流机器人,移动平台,自动导航、高效配送,仓储管理、快递配送,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
娱乐机器人,人形结构,语音识别、情感交互,家庭娱乐、陪伴,字符型,上海市科学技术委员会,https://www.stcsm.gov.cn,,
安防机器人,固定监控平台,实时监控、警报功能,公共场所安全、家庭防盗,字符型,公安部,https://www.mps.gov.cn,,
清洁机器人,圆形底盘,自动清扫、智能避障,家庭清洁、商业清洁,字符型,国家标准化管理委员会,https://www.sac.gov.cn,,
工业机器人,SCARA机械臂,高速、重复精度高,电子产品组装,字符型,中国机械工业联会,http://www.cmia.org.cn,,
康复机器人,可穿戴外骨骼,提高肢体功能、个性化治疗,康复训练、老年照护,字符型,国家卫健委,https://www.nhc.gov.cn,,
无人机,旋翼结构,远程操控、多种传感器,农业监测、灾害评估,字符型,中国民用航空局,http://www.caac.gov.cn,,
仓储机器人,自动引导车,自主导航、高度集成,电商仓储、配送中心,字符型,电子商务研究中心,https://www.100ec.cn,,
海洋机器人,水下航行器,水下探测、超强耐压,海洋勘探、环境监测,字符型,中国海洋局,http://www.soa.gov.cn,,
农田管理机器人,智能拖拉机,精准施肥、自动播种,农业种植、精准灌溉,字符型,农业农村部,https://www.moa.gov.cn,,
建筑机器人,自动化构建系统,高效、精准,建筑施工,字符型,中国建筑业协会,https://www.china-cba.org.cn,,
清洁机器人,智能导航与吸尘系统,自我充电、超静音,家庭清洁,字符型,中国家用电器协会,https://www.cheaa.com,,
物流机器人,移动运输平台,自动行驶、货物识别,仓储管理,字符型,物流科技网,https://www.logisticstech.com,,
快递服务机器人,可变形设计,自主行驶、实时定位,最后一公里配送,字符型,电子商务研究中心,https://www.100ec.cn,,
陈列机器人,多功能感应臂,商品识别、货架管理,商超商品陈列,字符型,中国零售业协会,https://www.china-retail.org,,
环境监测机器人,多传感器阵列,实时数据采集、环境适应性,环境监控,字符型,生态环境部,https://www.mee.gov.cn,,
陪伴机器人,人形设计,情感交互、语音识别,老人陪护,字符型,中国老龄化产业协会,http://www.caaa.org.cn,,
无人机,四旋翼结构,高清摄像、远程控制,航空拍摄、农业监测,字符型,中国无人机行业协会,https://www.uav.org.cn,,
探测机器人,耐高温设计,长续航、传输可靠,火灾与事故救援,字符型,国家消防救援局,http://www.119.gov.cn,,
交互机器人,集成指令面板,多语言支持、用户友好,旅游导览,字符型,文化和旅游部,http://www.mct.gov.cn,,
无人机,垂直起降平台,远程控制、高清拍摄,地理勘测、电影制作,字符型,无人机产业协会,https://www.uav.org,,
物流机器人,自动化小车,智能导航、货物搬运,仓储物流、配送中心,字符型,物流与供应链研究所,https://www.logisticsinstitutes.org,,
陪伴机器人,人形设计,情感交互、语音识别,老年人陪伴、心理咨询,字符型,中国人工智能学会,https://www.caaai.cn,,
安防机器人,轮式巡逻系统,自主巡逻、实时监控,公共安全、商场防护,字符型,国家安全局,https://www.mps.gov.cn,,
清洁机器人,自走式吸尘器,自动清洁、路径规划,家居清洁、商业场所,字符型,清洁行业协会,https://www.cleaningindustry.org,,
救援机器人,多功能机器人,具备抓取和移动能力,灾难救助、应急响应,字符型,消防救援技术研究中心,https://www.fire.gov.cn,,
娱乐机器人,全向移动底盘,互动性强、娱乐性高,主题公园、展览展示,字符型,娱乐科技协会,https://www.entertainmenttech.org,,
检验机器人,模块化检测平台,高精度检测、快速响应,制造业质量控制,字符型,质量监测技术中心,https://www.qc.org.cn,,
儿童教育机器人,交互式学习助手,启发式教学、定制学习,儿童培养、学习辅助,字符型,教育科技部,https://www.edutech.gov,,
厨房机器人,智能烹饪设备,自动化烹饪、食谱推荐,家庭料理、餐厅服务,字符型,食品科技研究院,https://www.foodtech.org,,
工业机器人,并联机器人,高速、高精度,包装、搬运,字符型,国际机器人联合会,https://ifr.org,,
服务机器人,智能轮椅,语音控制、自动避障,老年照护,字符型,中国护理协会,https://www.cna.com.cn,,
教育机器人,移动机器人,编程教育、可扩展性,青少年编程教育,字符型,中国青少年科技创新大赛,http://www.cys.org.cn,,
医疗机器人,机动辅助装置,远程手术、实时监控,远程医疗,字符型,全国卫生健康委员会,http://www.nhc.gov.cn,,
农业机器人,无人驾驶拖拉机,精准导航、数据分析,农业自动巡行,字符型,农业科技研究院,http://www.cas.ac.cn,,
特种机器人,水下机器人,抗压性能强、远程控制,海洋探测,字符型,国家海洋局,http://www.soa.gov.cn,,
清洁机器人,自动吸尘器,智能导航、自动充电,家庭清洁,字符型,家电协会,http://www.cheaa.com,,
安防机器人,旋转摄像头,实时监控、自动巡逻,社区监控,字符型,公安部,http://www.mps.gov.cn,,
物流机器人,自主移动平台,智能调度、路径优化,仓储管理,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
娱乐机器人,儿童陪伴机器人,情绪识别、互动性强,儿童心理辅导,字符型,国际儿童心理学会,http://www.icpa.org,,
教育机器人,可拆卸模块,协作学习、可定制,STEAM教学,字符型,创新教育科技公司,https://www.edtechinnovation.com,,
物流机器人,智能传送带,自动调度、路径优化,仓库管理、配送中心,字符型,国际物流协会,https://www.iwa.org,,
工业机器人,直线运动机械臂,高速度、高负载,汽车制造,字符型,中国自动化学会,https://www.caai.cn,,
服务机器人,轮式底盘,人机交互、智能识别,酒店服务、接待,字符型,人工智能发展研究中心,https://www.ai-research.org,,
农业机器人,无人驾驶拖拉机,精确施肥、耕作,现代农业,字符型,农业科技网,https://www.agritechnews.cn,,
医疗机器人,三维立体视觉系统,实时影像、远程手术,远程医疗、手术指导,字符型,中国医疗器械行业协会,https://www.cmda.org.cn,,
特种机器人,水下探测平台,深海适应性、自动导航,海洋科学研究,字符型,国家海洋局,https://www.soa.gov.cn,,
娱乐机器人,全向轮移动平台,互动娱乐、编程游戏,主题乐园、展览展示,字符型,娱乐场所管理协会,https://www.amusementassn.org,,
家庭机器人,可折叠设计,家庭多功能、智能家居集成,家庭清洁、安防监控,字符型,智能家居产业协会,https://www.smarthome.org.cn,,
无人机机器人,四旋翼设计,高清视频传输、实时监控,航空摄影、环境监测,字符型,无人机产业链联盟,https://www.drones.org.cn,,
工业机器人,并联机械手,高效率、精确性强,组装线作业,字符型,机器人技术研究院,https://www.robotics-research.org,,
物流机器人,自动引导车(AGV),自主导航、负载能力强,仓库管理与输送,字符型,电子商务研究中心,https://www.100ec.cn,,
医疗机器人,柔性机械手臂,人机协作、高适应性,康复辅助、病人护理,字符型,中国医疗机器人协会,https://www.cmra.org.cn,,
娱乐机器人,社交互动平台,娱乐性、教育性,儿童陪伴、家庭活动,字符型,国家文化和旅游部,https://www.mct.gov.cn,,
无人机,多旋翼设计,远程操控、拍摄功能,遥感监测、农业喷洒,字符型,航空航天科技部,https://www.nasa.gov,,
清洁机器人,智能感应系统,自动导航、定时清洁,家庭清扫、商业清洁,字符型,智能家居研究中心,https://www.smart-home.org,,
农业机器人,施肥机型,精准施肥、自动驾驶,农作物管理,字符型,农业科技日报,https://www.agritechnews.cn,,
安防机器人,监控巡逻系统,实时监控、远程控制,安保巡逻、警务辅助,字符型,警察学院,https://www.police.edu.cn,,
探险机器人,四轮越野车体,适应复杂环境、强动力,极地探险、火星探测,字符型,宇航科技组织,https://www.space.org,,
个人助理机器人,语音交互系统,人工智能、家庭助手,个人助理、日程管理,字符型,智能生活研究中心,https://www.smartlife.org,,
教育机器人,人形外观,语音识别、情感智能,语言学习、儿童教育,字符型,清华大学人工智能研究院,https://www.ai.tsinghua.edu.cn,,
物流机器人,无轨导航平台,实时位置跟踪、货物分类,仓库管理、配送中心,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
工业机器人,串联机械手臂,高耐用性、负载能力强,汽车制造、装配线,字符型,中国自动化学会,https://www.caais.org.cn,,
特种机器人,移动式探测平台,远程遥控、环境探测,油气管道监测,字符型,中国石油天然气集团公司,https://www.cnpc.com.cn,,
医疗机器人,手术用微创机器人,小型化、可视化手术,微创手术、医疗影像,字符型,中国医学科学院,https://www.cams.cn,,
家庭机器人,四轮移动底盘,智能家居控制、家庭监控,家庭安全、健康监测,字符型,国家智能家居产业技术创新战略联盟,https://www.smart-home.org.cn,,
农业机器人,播种施肥一体机,高效节能、精准施肥,农业生产、增产提效,字符型,中国农业科学院,https://www.caas.cn,,
服务机器人,移动导览系统,多功能服务、用户交互,博物馆、商场导览,字符型,中国智能机器人产业联合会,https://www.cirb.org.cn,,
环卫机器人,全自动清扫车,智能导航、低噪音,城市道路清洁,字符型,城市管理局,https://www.citymanagement.gov.cn,,
增强现实机器人,虚拟交互接口,沉浸式体验、增强现实,娱乐、培训模拟,字符型,中国虚拟现实产业协会,https://www.cvrai.org.cn,,
巡检机器人,移动平台,自主巡检、数据回传,工厂设施监测,字符型,中国机械工业集团,https://www.cmigc.com,,
物流机器人,导引车,高效搬运、路径优化,仓储配送,字符型,中物联物流分会,https://www.cflp.org.cn,,
娱乐机器人,扭动底盘,互动性强、音乐播放,家庭娱乐,字符型,中国玩具和婴童用品协会,http://www.ctjpa.org.cn,,
农业机器人,拖拉机附加设备,精准施肥、智能监控,大田农业,字符型,农业机械化研究院,http://www.cau.edu.cn,,
人形机器人,仿生设计,情感交流、动作灵活,陪伴机器人,字符型,中国人工智能产业发展联盟,http://www.caai.cn,,
救援机器人,多功能操作臂,强力抓握、障碍物探测,灾害救援,字符型,国家地震局,https://www.cea.gov.cn,,
清洁机器人,圆形底盘,智能导航、自动充电,家庭、商用清扫,字符型,家庭设备行业协会,https://www.appliances.org.cn,,
医疗辅助机器人,灵活传输臂,精准定位、远程操作,远程医疗,字符型,中国医院协会,https://www.china.hospital.org.cn,,
无人机,固定翼设计,高空监测、数据收集,环境监控,字符型,中国无人机产业发展协会,http://www.uav.org.cn,,
儿童教育机器人,可拆卸模块,游戏互动、编程学习,编程教育,字符型,中国教育科技发展中心,http://www.cestc.edu.cn,,
协作机器人,人机协作臂,安全性高、灵活性强,小型组装线,字符型,工业自动化研究所,https://www.automationresearch.org,,
清扫机器人,激光导航系统,自动充电、智能路径规划,商场、办公室清洁,字符型,家庭服务机器人协会,https://www.cleanrobotics.org,,
无人机,四旋翼框架,高清摄像、远程控制,农业监测、快递投递,字符型,无人机行业联盟,https://www.dronealliance.com,,
物流机器人,智能移动平台,自动导航、负载运输,仓储、配送中心,字符型,物流科技发展中心,https://www.logisticstechnology.org,,
家庭陪伴机器人,语音识别系统,情感交互、学习功能,老人陪伴、儿童教育,字符型,智能家居网络,https://www.smart-home.com,,
安防机器人,360度监控设备,实时监控、远程报警,商铺、社区安防,字符型,安防科技协会,https://www.securitytech.org,,
娱乐机器人,多媒体交互系统,社交功能、娱乐互动,展览、活动,字符型,文化科技部,https://www.culturalscience.gov,,
远程医疗机器人,移动手术台,高精度操作、远程监控,远程医疗诊断,字符型,国家医学科学院,https://www.nma.gov.cn,,
建筑机器人,自动铺设系统,效率高、精准施工,大型建筑工程,字符型,建筑行业协会,https://www.buildingassociation.org,,
探险机器人,越野行走系统,环境适应性、数据采集,极地探险、宇宙探索,字符型,探索科技研究院,https://www.explorationtech.org,,
物流机器人,自主移动平台,路径规划、自动加载,仓储物流,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
娱乐机器人,社会化交互系统,语音识别、情感反馈,家庭娱乐、陪伴,字符型,国家广播电视总局,https://www.sapprft.gov.cn,,
医疗机器人,手术辅助臂,远程操作、视频反馈,远程医疗、手术辅助,字符型,医学界,https://www.medicalworld.com,,
清洁机器人,全自动吸尘系统,智能路径规划、自动充电,家庭清洁,字符型,国际家电博览会,https://www.applianceworld.com,,
农业机器人,智能播种机,精准施肥、作物监测,现代农业,字符型,农业科技期刊,https://www.agriculturejournal.com,,
教育机器人,智能学习系统,自适应学习、互动性强,学前教育、编程教育,字符型,中国教育科学研究院,https://www.nie.edu.cn,,
特种机器人,火灾救援设备,高温耐受、遥控操作,火灾现场救援,字符型,国家消防救援局,https://www.msa.gov.cn,,
服务机器人,社交型移动平台,智能交互、语音助手,酒店、商场导览,字符型,国际服务机器人协会,https://www.servicerobotics.org,,
制造机器人,协作机械臂,高度协作、灵活性高,小批量生产,字符型,中国自动化学会,https://www.caas.org.cn,,
无人机,多旋翼飞行器,实时数据传输、高度灵活,农业监测、快递投递,字符型,中国无人机产业发展协会,https://www.uav.org.cn,,
服务机器人,移动平台,语音识别、远程控制,老年人照护、酒店服务,字符型,中国智能服务机器人产业联盟,https://www.csria.org,,
仓储机器人,自主导航平台,高效搬运、路径优化,物流仓储、配送中心,字符型,阿里巴巴智能物流部,https://www.alibaba.com,,
医疗机器人,机器人手术系统,实时影像反馈、精准手术,微创手术、远程手术,字符型,国际医疗机器人协会,https://www.iamrobotics.org,,
娱乐机器人,智能交互体,情感识别、游戏功能,儿童教育、家庭娱乐,字符型,国内玩具行业协会,https://www.toyassociation.org,,
农业机器人,多功能农业平台,实时数据分析、精准施肥,智能温室、农田管理,字符型,国家农业信息中心,https://www.naiic.gov.cn,,
研究机器人,模块化实验平台,数据模拟、环境感知,科学研究、技术开发,字符型,中国科学院,https://www.cas.cn,,
特种机器人,救援机器人平台,实时传输、抗压性能强,灾后救援、勘测,字符型,国家消防救援机构,https://www.119.gov.cn,,
教育机器人,可编程智能演示机,培养编程能力、互动学习,STEM教育、编程课程,字符型,教育部科技处,https://www.moe.gov.cn,,
无人机,四旋翼结构,高空拍摄、数据传输,农业监测、景观拍摄,字符型,中国无人机协会,https://www.drone.org.cn,,
家用清洁机器人,扫地机器人,自动清扫、智能避障,家居清洁、宠物毛发清理,字符型,家电网,https://www.jiadianw.com,,
工业机器人,并联机器人,高速、高精度,组装、包装,字符型,自动化技术,https://www.automation.com,,
服务机器人,轮式移动平台,语音识别、智能互动,酒店接待、导览,字符型,科技日报,https://www.stdaily.com,,
医疗机器人,微创外科机器人,小型、高控制精度,腔镜手术,字符型,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,遥控无人机,精准播种、施肥,农业喷洒,字符型,中国农业大学,https://www.cau.edu.cn,,
特种机器人,水下机器人,深水探测、强适应性,海洋研究、救援,字符型,国家海洋局,https://www.soha.gov.cn,,
教育机器人,可编程积木,趣味性、互动性,编程启蒙教育,字符型,全国教育科学规划,https://www.dongfangzhigu.com,,
物流机器人,自动驾驶小车,仓库管理、智能调度,物品搬运,字符型,智能物流,https://www.intelligentlogistics.com,,
娱乐机器人,智能玩具,情感互动、学习功能,儿童教育、互动娱乐,字符型,消费电子协会,https://www.ce.org,,
安防机器人,四轮移动平台,实时监控、自动巡逻,公共安全、监控,字符型,国家公安部,https://www.mps.gov.cn,,
医疗辅助机器人,智能康复手臂,协助康复、灵活调节,病后恢复训练,字符型,中国健康促进与教育协会,https://www.china-health.org.cn,,
物流机器人,移动导航系统,路径优化、智能调度,仓库物流、货物配送,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
服务机器人,人形设计,社交互动、情感识别,老年护理、教育辅导,字符型,机器人时代,https://www.robotimes.com,,
工业机器人,平面关节结构,高负载、稳定性强,重工业、制造业,字符型,中国机械工业集团,https://www.sinomach.com.cn,,
医疗机器人,远程操作系统,远程操控、实时反馈,远程手术、病患监护,字符型,中国医学科学院,https://www.cams.cn,,
农业机器人,多功能传感器,自动施肥、病虫害检测,农业生产、环境监测,字符型,中国农业科学院,https://www.caas.cn,,
教育机器人,增强现实功能,沉浸式学习、个性化辅导,编程教育、STEM教育,字符型,全国教育技术标准委员会,https://www.edtech.cn,,
特种机器人,全地形底盘,适应复杂环境、抗震,军事侦察、灾害救援,字符型,国防科技大学,https://www.nudt.edu.cn,,
家庭机器人,集成传感器系统,多功能、智能家居控制,家务管理、安防监控,字符型,智能家居协会,https://www.smarthome.org.cn,,
社交机器人,旋转关节,语音沟通、行为学习,社交陪伴、情感交流,字符型,中国人工智能产业发展联盟,https://www.caai.cn,,
清洁机器人,智能导航模块,自主清扫、污垢识别,家庭清洁、商业场所,字符型,国际清洁设备协会,https://www.icd.org,,
物流机器人,自动导航系统,实时定位、路径优化,仓储管理、配送,字符型,智能物流协会,https://www.logistics.org.cn,,
娱乐机器人,轮式移动底盘,多媒体互动、娱乐,家庭娱乐、儿童教育,字符型,中国玩具和婴童用品协会,https://www.ctjta.org,,
维修机器人,移动平台+检测装置,高效维修、数据采集,设备维护、巡检,字符型,机器学习研究中心,https://www.mlresearch.org,,
安保机器人,轮式巡逻系统,智能监控、远程控制,公共安全、设施保护,字符型,公安部,https://www.mps.gov.cn,,
餐饮机器人,旋转机械手臂,快餐制作、自动配送,餐厅、咖啡厅,字符型,中国餐饮协会,https://www.ccfa.com.cn,,
救援机器人,四轮驱动系统,地形适应、远程操控,自然灾害救援、紧急救助,字符型,国家减灾委员会,https://www.ndrcc.gov.cn,,
护老机器人,交互式服务平台,人机互动、健康监测,养老院、家庭护理,字符型,国家老龄工作委员会,http://www.cnag.gov.cn,,
建筑机器人,工业机械臂,高精度施工、自动化,建筑施工、基础设施,字符型,中国建筑业协会,http://www.ceca.org.cn,,
运输机器人,无人驾驶平台,高效运输、低能耗,城市配送、工厂内部运输,字符型,中国智能交通协会,https://www.cita.org.cn,,
虚拟现实机器人,兼容VR设备,沉浸式体验、用户交互,教育培训、游戏娱乐,字符型,中国虚拟现实产业联盟,http://www.vria.org,,
工业机器人,SCARA机械手,高速度、精确控制,电子装配、包装,字符型,中国电子科技集团,https://www.cetc.com,,
服务机器人,智能移动平台,语音识别、情感交互,老人陪护、公共服务,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,,
农业机器人,无人驾驶拖拉机,精准耕作、数据采集,土地耕种、作物监测,字符型,中国农业大学,https://www.cau.edu.cn,,
医疗机器人,手术导引系统,远程操作、实时反馈,远程手术、训练辅助,字符型,中国医学科学院,https://www.cams.ac.cn,,
教育机器人,智能编程平台,开源编程、模块化,青少年编程教育,字符型,国家教育考试服务中心,https://www.neea.edu.cn,,
特种机器人,高空作业平台,稳定性强、可载重,建筑施工、维护,字符型,国际特种机器人技术协会,https://www.surveyor.com,,
物流机器人,自主导航小车,高效路径规划、实时定位,仓储物流、配送,字符型,中国物流与采购联合会,http://www.clp.edu.cn,,
娱乐机器人,智力互动模型,趣味编程、亲子互动,亲子互动、娱乐教育,字符型,中国玩具协会,http://www.ctia.com.cn,,
水下机器人,多功能探测器,深海探测、数据传输,环保监测、海洋探索,字符型,国家海洋局,http://www.soa.gov.cn,,
家庭机器人,嵌入式控制系统,智能家居管理、日常协助,家庭助手、智能家居,字符型,国家经济和信息化委员会,http://www.miit.gov.cn,,
物流机器人,移动机器人,高效路径规划、自动充电,仓储管理、配送,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
医疗机器人,机器人手术系统,远程操作、视觉增强,微创手术,字符型,中国医学科学院,http://www.cams.ac.cn,,
娱乐机器人,智能移动平台,语音识别、情绪交互,家庭娱乐、陪伴,字符型,人工智能产业发展联盟,http://www.aiai.org.cn,,
农业机器人,无人播种机,自动化播种、土壤分析,大田作物种植,字符型,中国农业科学院,http://www.caas.cn,,
教育机器人,互动学习平台,基于AI、个性化学习,儿童编程教育,字符型,中国教育研究院,http://www.nier.edu.cn,,
特种机器人,救援机器人,灾害应对、目标识别,地震救援,字符型,国家自然灾害应急救援中心,http://www.nchcg.gov.cn,,
人形机器人,仿生结构,高自由度、情感表达,陪护服务,字符型,中国机器人产业生态联盟,https://www.robotics.org.cn,,
工业机器人,对焊机器人,高强度、精确操作,金属加工,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
服务机器人,导航机器人,激光测距、自主导航,酒店服务,字符型,中国服务机器人协会,http://www.csra.org.cn,,
清洁机器人,扫地机器人,智能感应、自动清扫,家庭清洁,字符型,中国家电协会,http://www.cheaa.org,,
物流机器人,移动机器人,智能避障、路径规划,仓储、配送,字符型,智慧物流研究中心,https://www.smartlogistics.org,,
医疗机器人,全身式机械手,实时监控、精确控制,康复治疗、远程手术,字符型,中国卫生信息协会,https://www.chinahealthinfo.org,,
服务机器人,人形设计,情感识别、语音交互,陪伴、助老,字符型,人工智能研究院,https://www.airesearch.org,,
农业机器人,多功能播种机,精准施肥、气候适应,智能种植、农田监测,字符型,现代农业发展基金,https://www.modernagriculture.org,,
特种机器人,水下探测器,深海探测、数据采集,海洋研究、搜救,字符型,国家海洋局,https://www.soa.gov.cn,,
教育机器人,编程平台,趣味教学、互动体验,编程教育、STEM课程,字符型,国家教育部,https://www.edu.cn,,
环境监测机器人,移动传感器平台,实时数据传输、环境适应,空气质量监测、污染检测,字符型,环境保护部,https://www.mep.gov.cn,,
智能清洁机器人,自动清扫系统,自主管理、路径优化,家庭清洁、商业物业,字符型,智能家居协会,https://www.smart-home.org.cn,,
娱乐机器人,声控系统,多媒体互动、个性化服务,娱乐场所、家庭陪伴,字符型,人工智能娱乐协会,https://www.aientertainment.org,,
安全巡逻机器人,移动监控系统,视频监控、自动警报,社区安防、商业监控,字符型,公共安全研究院,https://www.publicsafety.org.cn,,
物流机器人,自动导航系统,实时定位、路径优化,仓库管理,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
教育机器人,仿生设计,情感识别、互动学习,早教、编程教育,字符型,中国科学技术协会,https://www.cast.org.cn,,
海底机器人,深海探测器,高压力适应能力,海洋调查、矿产资源勘探,字符型,国家海洋局,http://www.soa.gov.cn,,
娱乐机器人,轮式运动平台,语音交互、情景反应,玩具、展示,字符型,中国玩具协会,https://www.ctjpa.org.cn,,
巡逻机器人,四轮驱动,人工智能监控、实时报告,街区安全、企业安保,字符型,公安部,http://www.mps.gov.cn,,
人形机器人,双足行走系统,高仿真、社交能力,陪伴、客户服务,字符型,杭州未来科技城,http://www.hzfut.com,,
清洁机器人,智能识别系统,自主清扫、障碍物识别,公共场所清洁、家用,字符型,中国家庭服务业协会,http://www.chfa.org.cn,,
农业无人机,多旋翼设计,精准喷洒、数据收集,作物监测、精准施肥,字符型,农业农村部,http://www.moa.gov.cn,,
建设机器人,自动化设备,高效率、工地安全监控,建筑施工、危险区域操作,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
救援机器人,全地形底盘,强大的负重能力、环境适应性,灾害救援、事故现场监测,字符型,国家应急管理部,http://www.mem.gov.cn,,
清洁机器人,移动底盘,自动充电、路径规划,商业清洁、家庭清洁,字符型,中国智能清洁行业协会,https://www.cleanchina.org,,
物流机器人,模块化设计,智能调度、导航,仓库管理、快递运送,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
