产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
空天科学探测器,探测器,尺寸：2.5m x 1.2m x 0.6m,70,人,功能完整性评估标准,功能标准,2024-02-20,科学探测技术公司,国家科学委员会,https://www.cnsci.gov.cn/detection,2024-10-08,,,,,,,,,
空天网格化监测系统,监测设备,监测范围：500km,135,人,监测精度评估标准,监测标准,2024-05-22,网格科技公司,环保部网站,https://www.mee.gov.cn/monitoring,2024-10-08,,,,,,,,,
空天综合信息平台,信息管理软件,信息处理能力：3TB/day,110,人,系统可靠性评估标准,性能标准,2023-11-18,信息科技公司,科技部信息中心,https://www.most.gov.cn/information,2024-10-08,,,,,,,,,
空天数据采集系统,数据采集设备,采集速度：500GB/h,85,人,数据采集效率评估标准,效率标准,2024-06-30,数据采集技术公司,前沿科技网,https://www.fronttech.org/collection,2024-10-08,,,,,,,,,
空天态势感知系统,态势感知设备,反应时间：< 1秒,140,人,响应能力评估标准,性能标准,2024-08-12,态势感知科技公司,国家安全局,https://www.nsa.gov.cn/situation,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：XJ-800,200,人,气象数据准确度标准,技术标准,2023-08-10,气象科技研究院,中国气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天遥感影像处理平台,数据处理软件,处理能力：500GB/day,60,人,数据处理效率标准,性能标准,2024-03-15,影像处理科技公司,遥感技术开发中心,https://www.rstec.cn/imaging,2024-10-08,,,,,,,,,
空天卫星通信终端,通信设备,频率：10GHz,120,人,通信可靠性标准,安全标准,2023-12-01,卫星通信技术公司,国家广播电视总局,https://www.nrat.gov.cn/satellite,2024-10-08,,,,,,,,,
空天地理信息系统,信息系统,支持3D建模,180,人,地理信息精度标准,测量标准,2023-10-16,地理信息科技公司,国家测绘局,https://www.ngcc.cn,2024-10-08,,,,,,,,,
空天无人机遥感系统,遥感设备,航时：8小时,90,人,飞行性能评估标准,性能标准,2024-01-20,无人机技术公司,中国无人机协会,https://www.dronecn.org,2024-10-08,,,,,,,,,
空天航天器设计软件,设计软件,版本：V3.2,75,人,设计标准评估,设计标准,2024-02-28,航天设计科技公司,航天科技集团,https://www.cast.cn,2024-10-08,,,,,,,,,
空天机动观察平台,观察设备,视野：360度,100,人,观察精度标准,测量标准,2023-11-05,机动观察科技公司,国家安全部,https://www.mps.gov.cn,2024-10-08,,,,,,,,,
空天地基监测传感器,传感器设备,测量范围：0-1000km,130,人,传感器灵敏度标准,技术标准,2024-03-25,地基监测科技公司,中国科学院,https://www.cas.cn,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,解析度：4K,140,人,监控质量评估标准,安全标准,2024-04-15,安全科技公司,国家安全技术协会,https://www.nsta.org.cn,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,传感器类型：高精度,140,人,环境评估标准,环境标准,2023-11-05,生态监测中心,中国环境保护部,https://www.mep.gov.cn/environment,2024-10-08,,,,,,,,,
空天信息共享平台,信息平台,用户容量：5000人,300,人,数据安全评估标准,信息安全标准,2023-08-12,信息科技研究所,国家信息中心,https://www.ncc.gov.cn/information,2024-10-08,,,,,,,,,
空天预测分析系统,分析软件,预测模型：机器学习,70,人,预测准确性评估标准,性能标准,2024-03-20,未来科技公司,人工智能协会,https://www.aaai.org/artificial-intelligence,2024-10-08,,,,,,,,,
空天技术演示平台,演示工具,演示能力：全功能,120,人,用户体验评估标准,用户标准,2023-09-15,技术演示机构,国家科技进步奖,https://www.nast.org.cn/technology-demo,2024-10-08,,,,,,,,,
空天多光谱成像系统,成像设备,光谱范围：400-900nm,85,人,成像质量评估标准,图像标准,2023-12-01,成像科技公司,华夏科技网,https://www.hxtech.net/imaging,2024-10-08,,,,,,,,,
空天救灾平台,应急响应系统,响应时间：小于1小时,160,人,响应效率评估标准,应急标准,2023-10-01,国家应急管理局,全球应急网络,https://www.globalemergency.net/response,2024-10-08,,,,,,,,,
空天计量系统,测量设备,测量范围：0.1-2000米,100,人,计量精度评估标准,测量标准,2024-05-10,国家计量局,国际计量组织,https://www.bipm.org/metrology,2024-10-08,,,,,,,,,
空天导航增强仪,导航设备,兼容范围：全球,90,人,导航精度评估标准,导航标准,2023-08-25,导航科技公司,国家航天局,https://www.cnsa.gov.cn/navigation,2024-10-08,,,,,,,,,
空天无人机群控制系统,控制系统,可控制数量：50架无人机,110,人,操控灵活性评估标准,操作标准,2024-02-15,无人机科技公司,中国无人机行业协会,https://www.uuqi.org/drone,2024-10-08,,,,,,,,,
空天监测云平台,监测服务,处理能力：500GB/hour,100,人,数据处理标准,技术标准,2023-03-15,云空间科技有限公司,行业期刊,https://www.industryjournal.com/cloud,2024-10-08,,,,,,,,,
空天智能分析系统,分析软件,算法版本：v2.0,70,人,算法准确性标准,性能标准,2023-08-25,分析科技研究院,技术大会,https://www.techconference.cn/analysis,2024-10-08,,,,,,,,,
空天导航算法优化器,导航软件,兼容性：跨平台,110,人,运行效率标准,算法标准,2023-02-10,导航科技有限公司,国家航天科技局,https://www.nasa.gov/nav,2024-10-08,,,,,,,,,
空天能源管理系统,管理软件,故障率：<1%,60,人,可靠性评估标准,技术标准,2023-11-12,能源技术开发公司,能源协会,https://www.energyassociation.cn/,2024-10-08,,,,,,,,,
空天项目管理平台,管理工具,用户数：最多500,90,人,用户体验标准,服务标准,2024-03-21,项目管理研究所,行业报告,https://www.projectmanagementreports.com/,2024-10-08,,,,,,,,,
空天高分辨率成像系统,成像设备,分辨率：0.25米,150,人,图像解析度标准,图像标准,2023-12-01,成像科技公司,中国科学院,https://www.cas.cn/imaging,2024-10-08,,,,,,,,,
空天实时数据分析系统,分析设备,响应时间：<1秒,130,人,实时性能标准,技术标准,2024-01-09,数据解决方案公司,科技发展论坛,https://www.techforum.com/data-analysis,2024-10-08,,,,,,,,,
空天短波通信系统,通信设备,传输速率：200Mbps,250,人,传输可靠性标准,安全标准,2024-02-20,短波通信技术公司,国家通信管理局,https://www.ndrcc.com/communication,2024-10-08,,,,,,,,,
空天信息安全防护系统,安全设备,防护等级：三级,140,人,安全性评估标准,安全标准,2023-09-18,信息安全公司,网络安全大会,https://www.cybersecurityconvention.cn/,2024-10-08,,,,,,,,,
空天无人机管理系统,无人机管理软件,操作人数：最多200,80,人,操作效率标准,管理标准,2023-10-05,无人机科技公司,无人机协会,https://www.dronetechassn.org/,2024-10-08,,,,,,,,,
空天灾害监测系统,监测设备,型号：HJ-800,160,人,可靠性评估标准,技术标准,2023-11-15,灾害监测科技公司,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天物流分配系统,软件系统,处理能力：5000单/日,210,人,效率评估标准,性能标准,2023-12-01,空天物流公司,物流与运输协会,https://www.logistics.org,2024-10-08,,,,,,,,,
空天紧急响应系统,响应设备,速度：快速部署,120,人,反应速度评估标准,安全标准,2024-03-12,应急管理部,国家应急管理局,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天气象数据平台,数据平台,更新频率：每小时,180,人,数据准确性评估标准,信息标准,2024-01-25,气象数据公司,中国气象网,https://www.weather.com.cn,2024-10-08,,,,,,,,,
空天农作物监测系统,遥感设备,分辨率：0.1米,100,人,作物健康评估标准,图像标准,2023-08-20,农业科技公司,农业农村部,https://www.moa.gov.cn,2024-10-08,,,,,,,,,
空天城市管理系统,管理软件,用户数：500+,250,人,用户体验评估标准,用户标准,2024-04-10,城市科技公司,城市发展研究院,https://www.urbandevelopment.cn,2024-10-08,,,,,,,,,
空天防灾预警系统,预警设备,覆盖范围：500km,140,人,警报及时性评估标准,响应标准,2024-05-05,防灾科技公司,应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天社会服务系统,服务平台,用户反馈：85%满意度,90,人,服务质量评估标准,质量标准,2024-06-18,社会服务公司,社会服务管理局,https://www.ssm.gov.cn,2024-10-08,,,,,,,,,
空天运输调度系统,调度软件,调度效率：96%,130,人,调度准确性评估标准,效率标准,2024-07-22,运输交通公司,交通运输部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天气象探测系统,气象设备,探测范围：500km,75,人,气象数据评估标准,气象标准,2023-08-15,气象科技研究所,国家气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天局势监测系统,监测设备,数据更新频率：每小时,140,人,监测准确性评估标准,精度标准,2023-11-01,国际安全研究中心,全球安全观察网,https://www.globalsecurity.org/,2024-10-08,,,,,,,,,
空天资源管理系统,管理软件,支持资源类型：水源、土地,55,人,资源利用效率评估标准,效能标准,2024-03-18,环境资源公司,可持续发展委员会,https://www.un.org/sustainabledevelopment/,2024-10-08,,,,,,,,,
空天巡逻无人机,无人机,航程：200km,30,人,飞行安全评估标准,安全标准,2024-05-20,无人机技术公司,航空航天杂志,https://www.aerospace-technology.com/,2024-10-08,,,,,,,,,
空天数据存储系统,存储设备,存储容量：10PB,100,人,数据完整性评估标准,数据标准,2024-04-09,信息科技公司,云计算协会,https://www.cloudcomputing.org/,2024-10-08,,,,,,,,,
空天形势评估平台,评估软件,分析模型：多因素,60,人,态势评估标准,模型标准,2023-10-12,态势分析研究院,国际战略研究所,https://www.iiss.org/,2024-10-08,,,,,,,,,
空天遥感影像处理系统,影像处理软件,处理能力：2TB/day,95,人,影像质量评估标准,质量标准,2024-01-15,遥感工程公司,中国科学院,https://www.cas.cn/,2024-10-08,,,,,,,,,
空天空间站运营系统,运营管理软件,支持模块：生存、实验,220,人,运营效率评估标准,运营标准,2024-06-25,宇航科技公司,空间站研究中心,https://www.space-station.org/,2024-10-08,,,,,,,,,
空天通信卫星群,通信卫星,数量：12颗,300,人,卫星通信能力评估标准,通信标准,2023-12-05,卫星通信公司,信息产业部,https://www.mii.gov.cn/,2024-10-08,,,,,,,,,
空天智能防御系统,防御设备,反应时间：<200ms,175,人,防御能力评估标准,技术标准,2024-08-10,防御技术研究院,国家安全局,https://www.nsa.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,观测频率：1Hz,65,人,气象数据质量标准,质量标准,2023-11-05,气象科技公司,中国气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天卫星成像系统,成像设备,图像刷新率：30分钟,300,人,成像精度评估标准,精度标准,2024-03-12,卫星图像科技公司,中国空间信息中心,https://www.csic.cn,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,监控范围：500km,110,人,安全监控标准,安全标准,2023-10-25,空天安全技术公司,国家网络安全局,https://www.cac.gov.cn,2024-10-08,,,,,,,,,
空天搜索救援系统,救援设备,响应时间：5分钟,75,人,响应有效性评估标准,响应标准,2023-12-01,救援科技公司,中国红十字会,https://www.redcross.org.cn,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测粒径：PM2.5,40,人,环境数据标准,污染标准,2024-01-15,环境监测公司,国家环境保护局,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天交通监控系统,交通监控设备,监控精度：98%,180,人,交通安全标准,安全标准,2024-02-08,交通科技公司,交通运输部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天军事侦察系统,侦察设备,侦察距离：1000km,220,人,军事侦察标准,侦察标准,2024-03-20,国防科技公司,国家国防部,https://www.mod.gov.cn,2024-10-08,,,,,,,,,
空天风能监测系统,能量监测设备,监测风速：0-25m/s,95,人,风能评估标准,能源标准,2023-11-18,可再生能源科技公司,国家能源局,https://www.nea.gov.cn,2024-10-08,,,,,,,,,
空天农业监测系统,农业监测设备,监测精度：±1亩,130,人,农业数据评估标准,农业标准,2024-02-25,农业科技公司,农业农村部,https://www.moa.gov.cn,2024-10-08,,,,,,,,,
空天智能监测系统,监测设备,型号：KJ-600,180,人,技术性能评估标准,技术标准,2023-08-01,智能科技公司,官方发布,https://www.kongtian.com/smart-monitor,2024-10-08,,,,,,,,,
空天卫星通信系统,通信设备,信号覆盖：1000km,250,人,数据传输性能标准,传输标准,2023-10-12,卫星技术发展研究院,国家卫星通信管理局,https://www.casm.gov.cn/satellitecom,2024-10-08,,,,,,,,,
空天智能数据处理平台,数据处理软件,处理能力：2TB/day,60,人,性能和效率评估标准,性能标准,2024-03-15,数据智能科技有限公司,数据科学研究所,https://www.dsri.org.cn/data-processing-platform,2024-10-08,,,,,,,,,
空天精准导航设备,导航设备,定位精度：±2米,90,人,导航精度评估标准,测量标准,2024-05-28,精密导航科技公司,国家测绘与地理信息局,https://www.nmg.gov.cn/navigation-tech,2024-10-08,,,,,,,,,
空天遥感影像处理系统,遥感设备,分辨率：0.3米,110,人,图像处理质量标准,图像标准,2023-11-07,遥感应用技术公司,中国遥感网,https://www.cresda.cn/imagery-processing,2024-10-08,,,,,,,,,
空天探测卫星,卫星,尺寸：3m x 2m x 1m,75,人,功能和性能评估标准,功能标准,2024-04-22,航天探测科技公司,国家航天局,https://www.cnsa.gov.cn/satellite,2024-10-08,,,,,,,,,
空天网络安全系统,安全设备,防护等级：C3,130,人,安全性能评估标准,安全标准,2023-09-15,网络安全研发中心,国家网络信息安全局,https://www.ncnsa.gov.cn/security-system,2024-10-08,,,,,,,,,
空天综合监控系统,综合监控设备,功能模块：视频监控、传感器集成,160,人,综合性能评估标准,综合标准,2023-12-01,综合监控科技公司,国家科技发展高技术研究中心,https://www.nst.gov.cn/integrated-monitoring,2024-10-08,,,,,,,,,
空天智慧能源系统,能源设备,效率：90%,70,人,能源利用效率标准,能源标准,2023-10-20,智慧能源科技有限公司,国家能源局,https://www.nea.gov.cn/energy-tech,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,探测范围：500km,85,人,气象数据准确性标准,气象标准,2024-01-15,气象科技集团官网,国家气象局,https://www.cma.gov.cn/weather-monitor,2024-10-08,,,,,,,,,
空天安全防护系统,安全设备,保护范围：5000km²,300,人,安全性评估标准,安全标准,2024-03-15,空天安全科技有限公司,国家安全局,https://www.nsa.gov.cn/safety,2024-10-08,,,,,,,,,
空天数据审计系统,数据审计软件,审计能力：500TB/year,110,人,数据完整性评估标准,性能标准,2024-04-20,数据可信任公司,信息安全研究所,https://www.isi.org.cn/audit,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测精度：±0.1°C,95,人,气象数据评估标准,环境标准,2023-12-01,气象局科技部,国家气象局,https://www.nmc.cn/meteo,2024-10-08,,,,,,,,,
空天环境监测平台,监测设备,监测范围：1000km²,160,人,环境标准评估,环境标准,2024-07-10,环境保护科技中心,环保部,https://www.mep.gov.cn/environ,2024-10-08,,,,,,,,,
空天抗干扰系统,防干扰设备,抗干扰能力：≥ 100dB,140,人,抗干扰评估标准,技术标准,2024-05-05,综合防护公司,国家传输安全中心,https://www.ntsc.gov.cn/interference,2024-10-08,,,,,,,,,
空天通信加密系统,加密设备,加密算法：AES-256,200,人,通信安全评估,安全标准,2023-11-01,网络安全公司,国家网络安全局,https://www.cybersecurity.gov.cn/encryption,2024-10-08,,,,,,,,,
空天无人机系统,无人机设备,飞行高度：3000m,70,人,飞行性能评估标准,性能标准,2024-08-01,无人机技术公司,无人机协会,https://www.uavassociation.cn/drone,2024-10-08,,,,,,,,,
空天紧急响应系统,响应设备,响应时间：≤15分钟,125,人,响应能力评估,服务标准,2024-06-10,应急管理中心,中国应急网,https://www.emergency.gov.cn,2024-10-08,,,,,,,,,
空天测绘系统,测绘设备,测绘精度：±2cm,85,人,测绘数据评估标准,测量标准,2023-10-05,测绘科技有限公司,国家测绘局,https://www.ngcc.cn/surveying,2024-10-08,,,,,,,,,
空天资源管理平台,管理软件,用户数量：5000+,180,人,管理效率评估标准,效率标准,2024-09-30,资源管理公司,国家资源部,https://www.nrm.gov.cn/resource,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：200公里,140,人,气象数据准确性标准,数据标准,2023-04-12,气象科技公司,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天资源管理平台,数据管理软件,支持用户：500,75,人,性能综合评估标准,性能标准,2023-11-01,资源管理研究中心,资源与环境部,https://www.moe.gov.cn/resource,2024-10-08,,,,,,,,,
空天视频监控系统,监控设备,摄像头数量：16,60,人,视频画质评估标准,图像标准,2024-03-15,监控技术公司,安全科技委员会,https://www.securitytech.cn/video,2024-10-08,,,,,,,,,
空天无人机控制系统,无人机系统,控制范围：50公里,110,人,操作安全评估标准,安全标准,2023-10-30,无人机研发基地,航空航天技术协会,https://www.aerospace.org/drones,2024-10-08,,,,,,,,,
空天智能导航系统,导航设备,导航精度：±2米,95,人,导航性能评估标准,测量标准,2024-01-25,智能导航科技公司,科技发展论坛,https://www.techforum.cn/navigation,2024-10-08,,,,,,,,,
空天地理信息系统,信息处理软件,数据处理能力：500GB/day,85,人,信息质量评估标准,信息标准,2023-12-05,地理信息技术公司,中国地理学会,https://www.geoscience.cn/gis,2024-10-08,,,,,,,,,
空天超高清成像系统,成像设备,分辨率：0.25米,130,人,成像质量评估标准,图像标准,2024-02-20,成像科技公司,高清视界协会,https://www.highdefinition.org/imaging,2024-10-08,,,,,,,,,
空天卫星通信系统,通信设备,传输速率：1Gbps,300,人,通信效率评估标准,效率标准,2023-11-14,卫星通信技术公司,通信管理局,https://www.cac.gov.cn/satellite,2024-10-08,,,,,,,,,
空天多光谱探测器,探测器,探测波段：10个,45,人,功能表现评估标准,功能标准,2024-04-10,多光谱技术公司,光学技术研究所,https://www.opticalinstitute.cn/multispectral,2024-10-08,,,,,,,,,
空天智能调度系统,调度软件,支持多个任务调度,65,人,调度效率评估标准,效率标准,2024-05-18,智能调度研究公司,管理科学学会,https://www.managementscience.org/scheduling,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测范围：1000km,180,人,环境影响评估标准,环境标准,2023-08-15,环境科技公司,生态环境部,https://www.mee.gov.cn/monitoring,2024-10-08,,,,,,,,,
空天救援系统,应急设备,快速部署,220,人,应急响应评估标准,应急标准,2023-10-01,应急管理局,国家灾害应急管理中心,https://www.mem.gov.cn/rescue,2024-10-08,,,,,,,,,
空天监控系统,安全监控设备,精准监控：全域覆盖,300,人,数据安全评估标准,安全标准,2024-03-05,安全科技研究院,国家安全局,https://www.nsa.gov.cn/surveillance,2024-10-08,,,,,,,,,
空天气象数据分析系统,数据分析软件,处理能力：500GB/day,70,人,气象数据标准,气象标准,2024-01-12,气象科技公司,中国气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天多维成像技术平台,成像设备,成像分辨率：0.3米,110,人,成像质量评估标准,成像标准,2023-11-20,成像科技研究所,中国科学院,https://www.cas.cn/imaging,2024-10-08,,,,,,,,,
空天遥感传输系统,传输设备,传输速度：1Gbps,160,人,传输稳定性评估标准,性能标准,2024-02-25,遥感技术研究所,国际遥感协会,https://www.isrs.org/remote-sensing,2024-10-08,,,,,,,,,
空天定位服务系统,定位设备,定位精度：±3米,130,人,定位精度评估标准,测量标准,2024-04-10,定位科技公司,国家测绘局,https://www.ngcc.cn/positioning,2024-10-08,,,,,,,,,
空天信息融合系统,数据融合平台,处理能力：2TB/day,95,人,数据融合评估标准,数据标准,2024-05-18,数据融合技术公司,中国信息产业部,https://www.miit.gov.cn/fusion,2024-10-08,,,,,,,,,
空天探测与识别系统,探测设备,探测范围：150km,85,人,探测性能评估标准,性能标准,2024-06-30,探测科技研究院,中国航天科技集团,https://www.casic.cn/detection,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,测量范围：-50°C至+50°C,90,人,气象监测标准,环境标准,2023-03-15,气象科技研究院,中国气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天监控无人机,无人机,飞行时间：4小时,110,人,飞行性能标准,技术标准,2024-04-12,无人机工程公司,航空航天科学基金,https://www.aerospace.org/,2024-10-08,,,,,,,,,
空天数字地图系统,制图软件,地图更新频率：每半年,70,人,地图精度标准,图像标准,2023-08-22,数字地图科技公司,地理信息系统协会,https://www.gis.org/,2024-10-08,,,,,,,,,
空天搜索与救援系统,应急设备,响应时间：10分钟以内,60,人,应急响应标准,安全标准,2023-12-01,紧急管理部,城市应急管理局,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天环境监测平台,在线监测设备,监测频率：实时,40,人,监测数据标准,环境标准,2024-01-20,环境保护公司,国家环保局,http://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天先进成像系统,成像设备,分辨率：0.3米,130,人,成像质量标准,图像标准,2023-07-05,成像科技公司,中国图像科学学会,https://www.cis.org.cn/,2024-10-08,,,,,,,,,
空天卫星通信系统,通信平台,通信范围：全球,220,人,通信稳定性标准,技术标准,2024-03-28,全球通信公司,国际通信联盟,https://www.itu.int/,2024-10-08,,,,,,,,,
空天采集与分析系统,数据分析软件,分析速度：3TB/hour,95,人,数据处理标准,性能标准,2024-02-15,数据分析集团,国家数据管理局,http://www.ndma.gov.cn/,2024-10-08,,,,,,,,,
空天智能监控平台,监控软件,支持设备：1000个以上,80,人,系统集成标准,系统标准,2024-05-10,智能科技研究中心,智能技术协会,https://www.ita.org.cn/,2024-10-08,,,,,,,,,
空天自动化控制系统,控制软件,控制延迟：<10ms,100,人,控制系统性能标准,技术标准,2024-06-01,自动化科技公司,自动化行业协会,http://www.ica.org.cn/,2024-10-08,,,,,,,,,
空天视觉监测系统,监测设备,分辨率：0.2米,130,人,成像质量评估标准,图像标准,2023-04-15,地球观察技术公司,国际空间机构,https://www.space-agency.org/visual-monitoring,2024-10-08,,,,,,,,,
空天精准定位系统,导航设备,定位精度：±2米,175,人,精准度评估标准,技术标准,2023-11-01,国家导航研究所,中国科学院,https://www.cas.cn/navigation,2024-10-08,,,,,,,,,
空天即时通信平台,通信设备,频率范围：300MHz - 3GHz,160,人,通信效率评估标准,性能标准,2023-08-20,航空通信集团,全球通信联盟,https://www.itu.int/en/ITU-T,2024-10-08,,,,,,,,,
空天数据采集系统,数据处理软件,数据吞吐量：10TB/day,85,人,处理效率评估标准,性能标准,2024-01-25,先锋数据科技,数据科技研究院,https://www.datac.org.cn,2024-10-08,,,,,,,,,
空天卫星传感器,探测器,探测范围：500km,70,人,反应速度评估标准,性能标准,2024-03-10,空间传感技术研究所,国家空间局,https://www.nasa.gov,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,监测频率：每小时,110,人,环境影响评估标准,环境标准,2023-10-05,环境科学技术公司,环保部,https://www.epa.gov,2024-10-08,,,,,,,,,
空天技术集成平台,数据融合软件,支持多种格式,90,人,系统集成评估标准,融合标准,2024-02-20,技术集成院,信息技术协会,https://www.itea.org,2024-10-08,,,,,,,,,
空天无人机监测系统,无人机设备,最大飞行高度：3000米,60,人,飞行性能评估标准,技术标准,2023-12-15,无人机科技公司,无人机协会,https://www.rpas.org,2024-10-08,,,,,,,,,
空天多功能传输系统,通信设备,传输速度：1Gbps,125,人,传输质量评估标准,性能标准,2023-07-18,高能通信有限公司,国际通信联合会,https://www.itu.int,2024-10-08,,,,,,,,,
空天遥感影像分析系统,数据分析软件,分析能力：超高清视频,95,人,影像分析标准,图像标准,2024-04-01,影像分析科技公司,遥感技术中心,https://www.cresda.cn,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,测量范围：-40°C到60°C,100,人,气象数据质量评估,质量标准,2023-08-15,气象科技集团,气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天导航增强系统,增强设备,支持多种GNSS,75,人,导航精度评估标准,精度标准,2024-03-12,导航创新公司,全国测绘局,https://www.nasg.gov.cn/,2024-10-08,,,,,,,,,
空天影像处理软件,软件,支持4K影像处理,60,人,软件性能评估,软件标准,2023-11-05,影像科技公司,中国图像处理协会,https://www.cips.org.cn/,2024-10-08,,,,,,,,,
智能空天数据分析平台,数据分析平台,支持AI及大数据分析,200,人,分析效率评估,效率标准,2024-01-20,数据智能公司,大数据研究中心,https://www.bdrc.org.cn/,2024-10-08,,,,,,,,,
空天无人机监测系统,无人机设备,飞行时间：5小时,150,人,无人机监测能力评估,功能标准,2023-12-10,无人机科技集团,国家无人机管理局,https://www.uav.gov.cn/,2024-10-08,,,,,,,,,
空天系统安全保障设备,安全设备,防护等级：IP68,40,人,安全性验证标准,安全标准,2024-02-18,安全技术研究所,安全生产监管局,https://www.chinasafety.gov.cn/,2024-10-08,,,,,,,,,
空天通信安全增强系统,通信设备,抗干扰能力：≥80dB,180,人,通信安全标准评估,安全标准,2023-10-25,通信安全技术公司,国家通信管理局,https://www.miit.gov.cn/,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,"监测气体：SO2, CO2",70,人,环境监测准确度评估,环境标准,2024-03-01,环境科技公司,生态环境部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天多源信息融合系统,信息融合设备,兼容各种数据格式,90,人,信息融合有效性评估,融合标准,2023-11-30,信息科技研究院,信息产业部,https://www.miit.gov.cn/,2024-10-08,,,,,,,,,
空天数据分析平台,数据分析软件,处理能力：500GB/day,120,人,数据完整性评估标准,数据标准,2023-08-18,数据分析研究所,信息产业部,https://www.miit.gov.cn/data-analysis,2024-10-08,,,,,,,,,
空天图像处理系统,图像处理设备,处理速度：200张/秒,85,人,图像处理效率标准,效率标准,2023-07-14,云计算技术公司,国家技术创新中心,https://www.nsti.gov.cn/image-processing,2024-10-08,,,,,,,,,
空天卫星通信设备,通信设备,频率：5GHz,175,人,通信性能评估标准,通信标准,2024-03-12,卫星通信公司,国际电信联盟,https://www.itu.int/satellite-communication,2024-10-08,,,,,,,,,
空天地理信息系统,GIS软件,更新频率：每小时,100,人,地理数据评估标准,地理标准,2023-09-05,地理信息公司,国土资源部,https://www.mnr.gov.cn/geoinformation,2024-10-08,,,,,,,,,
空天气象监测系统,气象监测设备,精度：±1°C,60,人,气象监测标准,气象标准,2024-01-15,气象科技公司,气象局,https://www.cma.gov.cn/meteorology,2024-10-08,,,,,,,,,
空天测绘无人机,无人机,飞行时间：2小时,40,人,无人机性能评估标准,无人机标准,2023-10-22,无人机研发公司,无人机协会,https://www.uavassociation.cn,2024-10-08,,,,,,,,,
空天遥感影像系统,遥感设备,传感器类型：多光谱,130,人,图像质量评估标准,图像标准,2024-04-06,遥感影像公司,国家地理空间情报局,https://www.ngs.gov.cn/remote-sensing,2024-10-08,,,,,,,,,
空天自动化监测平台,监测软件,支持设备数：50台,95,人,监测效率评估标准,效率标准,2023-11-30,自动化技术公司,科技日报,https://www.stdaily.com/automation,2024-10-08,,,,,,,,,
空天网络安全防护系统,安全设备,防护等级：防DDoS,110,人,网络安全评估标准,安全标准,2024-02-20,网络安全研究所,网络安全部,https://www.cyp.gov.cn/cybersecurity,2024-10-08,,,,,,,,,
空天环境监测仪,监测设备,监测范围：30公里,70,人,环境监测标准,环境标准,2023-12-01,环境科技公司,环境保护部,https://www.mee.gov.cn/environment-monitoring,2024-10-08,,,,,,,,,
空天高分辨率成像系统,成像设备,分辨率：0.3米,160,人,成像质量评估标准,图像标准,2023-08-15,空间成像技术公司,中国空间技术研究院,https://www.csrc.gov.cn,2024-10-08,,,,,,,,,
空天全球定位系统,导航设备,精度：±3米,130,人,精度评估标准,测量标准,2023-11-10,全球导航公司,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,监测范围：500km,90,人,气象监测评估标准,监测标准,2024-01-25,气象技术开发公司,气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天无人机控制系统,控制软件,最大飞行高度：5000米,110,人,安全性评估标准,安全标准,2023-12-05,无人机技术公司,民用无人机协会,https://www.cuaa.org.cn,2024-10-08,,,,,,,,,
空天数据集成平台,数据处理平台,集成能力：500TB,200,人,数据整合评估标准,性能标准,2024-03-12,数据集成公司,数据管理局,https://www.datagov.cn,2024-10-08,,,,,,,,,
