受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1813/TJ,气象卫星数据应用技术,数据处理,空天技术,2,2023/11/15,气象卫星分析中心,气象监测科技有限公司,已完成,230000,合格,气象数据公司,数据分析,气象卫星分析中心,2023-014,空天技术,V1.0,黑龙江省科技厅,http://www.hljsti.gov.cn,2024-10-09,
CN10-1790/TJ,新型空间通信技术,通信系统,空天技术,1,2023/7/1,中国空间通信有限公司,无,已受理,360000,合格,空间科技有限公司,模拟试验,中国空间通信有限公司,2023-006,空天技术,V1.0,中国航天报,http://www.spacechina.com/,2024-10-09,
CN11-2345/TJ,低轨卫星群组建技术,系统设计,空天技术,2,2023/7/20,航天智能系统公司,无,正在进行,440000,待审,智能科技有限公司,实验室设计,航天智能系统公司,2023-007,空天技术,V1.2,中国宇航学会,http://www.caas.cn/,2024-10-09,
CN12-3456/TJ,空间数据处理与分析平台,数据处理,空天技术,1,2023/8/15,宇宙数据科技有限公司,无,已完成,330000,合格,数据科技公司,软件开发,宇宙数据科技有限公司,2023-008,空天技术,V1.0,国家科技部,http://www.most.gov.cn/,2024-10-09,
CN13-4567/TJ,气象卫星成像系统,成像系统,空天技术,2,2023/9/5,中国气象局卫星应用中心,无,已受理,110000,合格,气象科技公司,卫星发射,中国气象局卫星应用中心,2023-009,空天技术,V2.0,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN14-5678/TJ,空间行走机器人开发技术,机器人技术,空天技术,1,2023/10/1,航天机器人科技公司,无,待审,440000,待审,机器人科技发展公司,实验室测试,航天机器人科技公司,2023-010,空天技术,V1.1,科工日报,http://www.cqnews.net/,2024-10-09,
CN15-6813/TJ,激光通信技术在卫星中的应用,通信技术,空天技术,2,2023/8/25,空间激光科技公司,无,完成,310000,合格,激光通信有限公司,实验室测试,空间激光科技公司,2023-011,空天技术,V1.3,航天科技集团,http://www.spacechina.com/,2024-10-09,
CN16-8130/TJ,未来货运航天器设计,系统设计,空天技术,1,2023/9/30,未来航天科技公司,无,正在进行,410000,待审,货运科技有限公司,设计方案,未来航天科技公司,2023-012,空天技术,V1.0,中国航天报,http://www.spacechina.com/,2024-10-09,
CN17-6301/TJ,高海拔环境无人机技术,无人机系统,空天技术,2,2023/10/10,高原无人机科技公司,无,已受理,520000,合格,无人机科技有限公司,地面测试,高原无人机科技公司,2023-013,空天技术,V1.2,民航局,http://www.caac.gov.cn/,2024-10-09,
CN18-9012/TJ,空间轨道服务技术,服务技术,空天技术,1,2023/11/1,空间服务科技公司,无,待审,630000,待审,轨道科技有限公司,综合测试,空间服务科技公司,2023-014,空天技术,V1.0,航天科技集团,http://www.spacechina.com/,2024-10-09,
CN19-0123/TJ,空中加油技术,系统设计,空天技术,1,2023/10/1,华航科技有限公司,无,已受理,120000,合格,华航系统公司,模拟测试,华航科技有限公司,2023-006,空天技术,V1.0,中国航空网,https://www.caac.gov.cn,2024-10-09,
CN20-1234/TJ,低轨道卫星通信链路设计,技术开发,空天技术,2,2023/10/12,星空网络科技有限公司,无,正在进行,110000,待审,星空通信公司,实验室开发,星空网络科技有限公司,2023-007,空天技术,V1.2,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1773/TJ,无人机智能任务规划技术,软件开发,空天技术,1,2023/9/15,智空科技有限公司,无,已完成,230000,合格,智空科技公司,在线测试,智空科技有限公司,2023-008,空天技术,V1.1,无人机产业网,http://www.uavnet.com,2024-10-09,
CN10-1782/TJ,高空气球载荷开发技术,项目研发,空天技术,2,2023/11/20,高空探测公司,无,待审,450000,待审,高空科技发展公司,系统测试,高空探测公司,2023-009,空天技术,V1.0,中国航天网,http://www.spacechina.com,2024-10-09,
CN10-1819/TJ,深空探测器样机制造,原型制作,空天技术,1,2023/11/2,宇航器制造公司,无,已受理,420000,合格,宇航科技公司,生产流程验证,宇航器制造公司,2023-010,空天技术,V1.0,中国科学技术部,http://www.most.gov.cn,2024-10-09,
CN10-1815/TJ,轨道动力学建模技术,系统分析,空天技术,2,2023/9/30,航天工程研究院,无,已完成,430000,合格,航天工艺公司,仿真建模,航天工程研究院,2023-011,空天技术,V1.1,航空航天工程网,http://www.aerospace-technology.cn,2024-10-09,
CN10-1785/TJ,地面控制系统集成技术,系统设计,空天技术,1,2023/10/5,地面控制科技公司,无,正在进行,500000,待审,地面控制系统公司,系统集成测试,地面控制科技公司,2023-012,空天技术,V1.0,中国空间科学网,http://www.space.gov.cn,2024-10-09,
CN10-1710/TJ,空间站生物实验技术,科学实验,空天技术,1,2023/9/25,太空生物研究中心,无,已完成,620000,合格,太空生物技术公司,长期实验,太空生物研究中心,2023-013,空天技术,V1.0,中国生物技术网,http://www.cnbio.com,2024-10-09,
CN10-1787/TJ,空间环境监测设备,设备开发,空天技术,2,2023/8/15,环境监测中心,无,已受理,350000,合格,环境监测科技公司,产品测试,环境监测中心,2023-014,空天技术,V1.0,环境保护部,http://www.moe.gov.cn,2024-10-09,
CN10-1742/TJ,智能无人机地面导航系统,系统设计,空天技术,1,2023/2/20,未来科技有限公司,智能移动科技公司,已受理,440100,合格,未来科技集团,实验室测试,未来科技有限公司,2023-006,空天技术,V1.0,广东省科技厅,http://gdstc.gd.gov.cn,2024-10-09,
CN10-1813/TJ,再生能源供电系统,系统设计,空天技术,2,2023/4/15,天际能源公司,太阳能技术有限公司,完成,310100,合格,天际科技有限公司,现场测试,天际能源公司,2023-007,空天技术,V1.1,国家能源局,http://www.nea.gov.cn,2024-10-09,
CN10-1790/TJ,高分辨率卫星成像技术,数据处理,空天技术,1,2023/5/10,卫星影像科技有限公司,高分技术研究院,正在进行,330100,待审,卫星成像公司,数据分析,卫星影像科技有限公司,2023-008,空天技术,V1.0,中国科学院,http://www.cas.cn,2024-10-09,
CN10-1773/TJ,航天通信数据传输算法,算法研究,空天技术,2,2023/7/1,航天通信有限公司,网络技术研究所,已完成,110000,合格,航天通信科技公司,理论分析,航天通信有限公司,2023-009,空天技术,V1.2,国家航天局,http://www.cnsa.gov.cn,2024-10-09,
CN10-1782/TJ,火星探测器环境适应性技术,性能测试,空天技术,3,2023/8/25,宇宙探索技术公司,火星研究中心,待审,350000,待审,宇宙探测科技有限公司,模拟测试,宇宙探索技术公司,2023-010,空天技术,V1.0,中国航天网,http://www.spacechina.com,2024-10-09,
CN10-1819/TJ,小型卫星组网技术,系统设计,空天技术,1,2023/9/5,微卫星科技有限公司,卫星导航公司,已受理,620000,合格,微卫星科技集团,试验数据收集,微卫星科技有限公司,2023-011,空天技术,V1.0,中国信息产业部,http://www.miit.gov.cn,2024-10-09,
CN10-1815/TJ,新型航天电池技术,材料研究,空天技术,2,2023/9/20,航天能源研究院,新能源科技公司,已完成,450000,合格,航天能源科技有限公司,实验室测试,航天能源研究院,2023-012,空天技术,V1.1,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1785/TJ,长途超音速飞行技术,性能测试,空天技术,1,2023/10/2,超音速飞行器技术有限公司,航空军工公司,正在进行,510000,待审,超音速科技公司,飞行试验,超音速飞行器技术有限公司,2023-013,空天技术,V1.0,航空网,http://www.aviation.com,2024-10-09,
CN10-1710/TJ,低轨卫星通信系统,系统架构,空天技术,3,2023/11/12,全球卫星通信公司,网络安全公司,待审,760000,待审,低轨道科技公司,系统测试,全球卫星通信公司,2023-014,空天技术,V1.0,国际通信联合会,http://www.itu.int,2024-10-09,
CN10-1787/TJ,宽波段光谱探测技术,探测技术,空天技术,1,2023/4/18,空天探测技术有限公司,空间科学集团,已受理,450000,合格,空天科技公司,实验室测试,空天探测技术有限公司,2023-006,空天技术,V1.0,中国航天科技集团,http://www.casc.com.cn/,2024-10-09,
CN10-1742/TJ,小型卫星编队控制系统,系统设计,空天技术,2,2023/5/22,卫星研究院,时空系统公司,完成,120000,合格,卫星科技公司,系统仿真,卫星研究院,2023-007,空天技术,V1.1,国家空间局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1813/TJ,火星探测技术平台,研发平台,空天技术,1,2023/7/14,火星探索中心,宇航科技公司,正在进行,310000,待審,火星科技有限公司,地面模拟,火星探索中心,2023-008,空天技术,V1.0,中国科技网,https://www.cnstec.gov.cn/,2024-10-09,
CN10-1790/TJ,卫星网络通信系统,通信技术,空天技术,2,2023/2/5,通信卫星研究所,智慧宇航科技,已完成,620000,合格,卫星通信公司,系统集成,通信卫星研究所,2023-009,空天技术,V1.0,国家信息产业部,http://www.miit.gov.cn/,2024-10-09,
CN10-1790/TJ,无人机地形测绘技术,测绘技术,空天技术,1,2023/9/20,高空测绘有限公司,无人机发展中心,已受理,450000,合格,无人机测绘公司,无人机测试,高空测绘有限公司,2023-010,空天技术,V2.0,国家测绘局,http://www.nasg.gov.cn/,2024-10-09,
CN10-1801/TJ,地面监测数据集成系统,数据处理,空天技术,2,2023/10/1,地面监测研究所,数据集成科技,已完成,370000,合格,监测科技公司,数据分析,地面监测研究所,2023-011,空天技术,V1.1,中国探测网,http://www.chinatesting.com/,2024-10-09,
CN10-1732/TJ,低轨卫星图像处理技术,图像处理,空天技术,1,2023/11/15,遥感图像公司,空间技术联合体,待审,410000,待審,遥感科技公司,软件开发,遥感图像公司,2023-012,空天技术,V1.0,国家遥感中心,http://www.nrs.gov.cn/,2024-10-09,
CN10-1823/TJ,深空通信技术研究,通信技术,空天技术,2,2023/8/30,空间通信科技有限公司,全球通信科技,正在进行,220000,待審,深空通讯公司,实验室测试,空间通信科技有限公司,2023-013,空天技术,V1.0,中国宇航网,http://www.spacechina.com/,2024-10-09,
CN10-1694/TJ,空天干扰侦测技术,防护技术,空天技术,1,2023/12/1,干扰侦测科技有限公司,反干扰技术研究院,已受理,650000,合格,防护科技公司,针对性测试,干扰侦测科技有限公司,2023-014,空天技术,V1.2,国家防务科技局,http://www.mod.gov.cn/,2024-10-09,
CN10-1655/TJ,星际飞行器推力系统,动力系统,空天技术,1,2023/5/25,星际航天技术公司,空间动力科技有限公司,已受理,450000,合格,星际科技公司,实验室测试,星际航天技术公司,2023-006,空天技术,V1.0,南京航空航天大学,http://www.nuaa.edu.cn,2024-10-09,
CN10-1856/TJ,量子通信卫星设计,系统设计,空天技术,2,2023/7/2,量子科技有限公司,北京量子通信研究院,进行中,110000,待审,量子通信科技,理论设计,量子科技有限公司,2023-007,空天技术,V1.0,中国量子科技网,http://www.quantum.gov.cn,2024-10-09,
CN10-1107/TJ,移动平台空中测速系统,性能测试,空天技术,1,2023/8/15,移动航空科技研究院,无,已完成,420000,合格,移动科技公司,移动测试,移动航空科技研究院,2023-008,空天技术,V1.0,湖北省科技厅,http://www.hubei.gov.cn,2024-10-09,
CN10-1878/TJ,近地轨道卫星部署技术,系统布局,空天技术,2,2023/9/5,近地空间制造公司,无,待审,310000,待审,空天制造有限公司,实地布局,近地空间制造公司,2023-009,空天技术,V1.0,上海市科技创新委员会,http://www.sstc.sh.gov.cn,2024-10-09,
CN10-1103/TJ,高能激光武器系统,武器系统,空天技术,1,2023/10/10,高能科技集团,无,已受理,360000,合格,高能武器公司,实验室测试,高能科技集团,2023-010,空天技术,V1.0,国家国防科技局,http://www.mod.gov.cn,2024-10-09,
CN10-1773/TJ,空天智能推演系统,智能系统,空天技术,2,2023/10/15,智航科技有限公司,智库航天团队,已完成,330000,合格,智能科技公司,计算机仿真,智航科技有限公司,2023-011,空天技术,V1.1,浙江省科技厅,http://www.zjkjt.gov.cn,2024-10-09,
CN10-1782/TJ,空天系统抗干扰技术,防护技术,空天技术,1,2023/9/20,抗干扰技术研究所,无,进行中,350000,待审,抗干扰科技公司,实验室测试,抗干扰技术研究所,2023-012,空天技术,V1.0,福建省科技厅,http://www.fj.gov.cn,2024-10-09,
CN10-1819/TJ,云端卫星监测技术,监测技术,空天技术,2,2023/11/5,云量科技有限公司,未来科技联盟,已完成,440000,合格,云监测公司,远程监测,云量科技有限公司,2023-013,空天技术,V1.0,广东省科技厅,http://gdstc.gd.gov.cn,2024-10-09,
CN10-1815/TJ,新型复合推进剂开发,材料科技,空天技术,1,2023/10/30,推进剂技术公司,无,待审,620000,待审,推进剂研发中心,实验室测试,推进剂技术公司,2023-014,空天技术,V1.0,甘肃省科技厅,http://www.gstc.gov.cn,2024-10-09,
CN10-1785/TJ,空间天气监测系统,监测技术,空天技术,2,2023/10/1,空间科学技术研究院,无,已受理,110000,合格,空间科技公司,现场测试,空间科学技术研究院,2023-006,空天技术,V1.0,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1710/TJ,近地轨道卫星自动调度技术,系统优化,空天技术,1,2023/11/15,航天信息工程公司,无,进行中,340000,待审,信息科技公司,仿真测试,航天信息工程公司,2023-007,空天技术,V1.2,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1787/TJ,国际空间站物资供给管理系统,资源管理,空天技术,2,2023/8/30,空间应用技术中心,无,已完成,450000,合格,空间资源管理公司,数据平台,空间应用技术中心,2023-008,空天技术,V1.0,国际航天研究协会,http://www.ias.org/,2024-10-09,
CN10-1742/TJ,火星探测任务通信技术,通信系统,空天技术,1,2023/12/5,火星探索有限公司,能源科技集团,已受理,120000,合格,火星科技管理公司,频率测试,火星探索有限公司,2023-009,空天技术,V1.1,中国航天科技集团,http://www.spacechina.com/,2024-10-09,
CN10-1813/TJ,卫星遥感算法研究,算法开发,空天技术,2,2023/9/20,遥感技术开发公司,无,完成,420000,合格,遥感科技公司,软件模拟,遥感技术开发公司,2023-010,空天技术,V1.0,科学技术部,http://www.most.gov.cn/,2024-10-09,
CN10-1790/TJ,小型卫星发射系统,发射技术,空天技术,1,2023/2/12,小型卫星科技有限公司,航天创新公司,正在进行,330000,待审,卫星发射公司,发射测试,小型卫星科技有限公司,2023-011,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1773/TJ,无人机空间监测系统,监测技术,空天技术,2,2023/11/22,无人机技术研究中心,无,已完成,350000,合格,无人机科技公司,地面测试,无人机技术研究中心,2023-012,空天技术,V1.0,中国科技网,http://www.stdaily.com/,2024-10-09,
CN10-1782/TJ,空间交通管理与控制系统,系统集成,空天技术,1,2023/5/7,空间交通研究所,航天运输集团,进行中,210000,待审,空间科技公司,综合测试,空间交通研究所,2023-013,空天技术,V1.0,中国日报,http://www.chinadaily.com.cn/,2024-10-09,
CN10-1819/TJ,月球基地建设技术,建设方案,空天技术,1,2023/7/15,月球探索公司,太空技术集团,已完成,450000,合格,月球科技公司,方案评审,月球探索公司,2023-014,空天技术,V1.0,央视新闻,http://www.cctv.com/,2024-10-09,
CN10-1815/TJ,智能无人机调度系统,系统设计,空天技术,1,2023/10/1,无人机科技有限公司,未来科技公司,已受理,110000,合格,智能科技集团,模拟测试,无人机科技有限公司,2023-006,空天技术,V1.0,京华时报,http://www.jhtimes.cn,2024-10-09,
CN10-1785/TJ,激光通信技术,技术研究,空天技术,2,2023/11/15,激光科技研究院,光电技术有限公司,完成,440100,合格,光电科技公司,实验室测试,激光科技研究院,2023-007,空天技术,V1.1,南方日报,http://www.nsrd.com,2024-10-09,
CN10-1710/TJ,空间目标自主识别技术,软件开发,空天技术,1,2023/9/20,航天信息技术公司,信号处理公司,正在进行,410000,待审,航天信息科技公司,实地测试,航天信息技术公司,2023-008,空天技术,V1.0,新华网,http://www.news.cn,2024-10-09,
CN10-1787/TJ,空间数据处理平台,数据处理,空天技术,2,2023/12/5,数智科技有限公司,未来大数据公司,已完成,350000,合格,数智信息科技公司,云计算服务,数智科技有限公司,2023-009,空天技术,V1.2,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1742/TJ,火星探测器着陆技术,工程设计,空天技术,1,2023/4/20,火星探索中心,航天工程公司,已受理,620000,合格,火星科技有限公司,模拟仿真,火星探索中心,2023-010,空天技术,V1.1,中国科技网,http://www.chinatechnews.com,2024-10-09,
CN10-1813/TJ,新型卫星发射系统,系统开发,空天技术,2,2023/7/30,现代航天科技公司,星际发射研究所,完成,120000,合格,现代航天科技有限公司,系统集成,现代航天科技公司,2023-011,空天技术,V1.0,航天科技报,http://www.space-news.cn,2024-10-09,
CN10-1790/TJ,低轨卫星网络优化技术,网络优化,空天技术,1,2023/5/18,低轨科技有限公司,卫星通信公司,待审,430000,待审,低轨通讯科技公司,测试优化,低轨科技有限公司,2023-012,空天技术,V1.0,科学网,http://www.sciencenet.cn,2024-10-09,
CN10-1773/TJ,空间环境模拟技术,实验技术,空天技术,2,2023/8/25,空间实验室,环宇科技集团,正在进行,210000,合格,环境科技公司,实验室测试,空间实验室,2023-013,空天技术,V1.2,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1782/TJ,地面控制系统优化技术,系统优化,空天技术,1,2023/9/15,航天控制技术有限公司,自动化公司,完成,540000,合格,航天控制科技公司,系统集成,航天控制技术有限公司,2023-014,空天技术,V1.1,人民科技,http://www.rmjkj.com,2024-10-09,
CN10-1819/TJ,量子通信系统设计,系统设计,空天技术,1,2023/11/25,量子科技有限公司,未来通信集团,已受理,110000,合格,量子通信技术公司,理论模拟,量子科技有限公司,2023-006,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1815/TJ,卫星群协同控制技术,系统设计,空天技术,2,2023/9/15,航天智能科技股份有限公司,空间探索基金会,正在进行,450000,待审,空间科技公司,仿真实验,航天智能科技股份有限公司,2023-007,空天技术,V1.1,中国航天报,http://www.spacechina.com/,2024-10-09,
CN10-1785/TJ,空间垃圾清理技术,工程技术,空天技术,1,2023/2/11,宇航环境保护有限公司,国际宇航联盟,已完成,410000,合格,宇航科技公司,先进原型测试,宇航环境保护有限公司,2023-008,空天技术,V1.0,中华科技网,http://www.zhkx.com/,2024-10-09,
CN10-1710/TJ,飞行器载人自动化技术,系统设计,空天技术,2,2023/5/5,航空自动化工程有限公司,先进航空研究院,已受理,520000,合格,航空科技公司,模拟飞行测试,航空自动化工程有限公司,2023-009,空天技术,V1.0,国家航空局,http://www.caac.gov.cn/,2024-10-09,
CN10-1787/TJ,高性能推进系统开发,系统开发,空天技术,1,2023/4/1,动力推进技术有限公司,航天发动机公司,待审,330000,待审,推进科技公司,实地试验,动力推进技术有限公司,2023-010,空天技术,V1.2,航空航天技术网,http://www.aerospacetec.com/,2024-10-09,
CN10-1742/TJ,卫星遥感云处理技术,数据处理,空天技术,2,2023/7/19,云遥科技有限公司,地球观测中心,已完成,300000,合格,云计算科技公司,数据模型测试,云遥科技有限公司,2023-011,空天技术,V1.0,国家科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1813/TJ,月球基地建造技术,工程技术,空天技术,1,2023/8/30,宇航基础设施公司,国际空间站项目组,正在进行,620000,待审,宇航建设科技公司,阶段性测试,宇航基础设施公司,2023-012,空天技术,V1.0,科技前沿网,http://www.techfrontier.com/,2024-10-09,
CN10-1790/TJ,可回收火箭技术,系统开发,空天技术,2,2023/10/12,绿色航天空间技术公司,航天新技术研究所,已完成,230000,合格,航天回收科技公司,回收试验,绿色航天空间技术公司,2023-013,空天技术,V1.1,互联网科技博览,http://www.techworldexpo.com/,2024-10-09,
CN10-1773/TJ,深空探索视觉导航系统,导航系统,空天技术,1,2023/9/29,深空探测技术有限公司,探索者计划,正在进行,210000,待审,深空技术研究中心,实地实验,深空探测技术有限公司,2023-014,空天技术,V1.0,科学探索网,http://www.scienceexplore.com/,2024-10-09,
CN10-1782/TJ,低成本卫星发射技术,发射系统,空天技术,1,2023/11/5,宇航创新公司,无,已受理,450000,合格,宇航科技有限责任公司,发射试验,宇航创新公司,2023-006,空天技术,V1.0,航空航天信息网,http://www.ahk.com,2024-10-09,
CN10-1819/TJ,轨道测控新技术,测控系统,空天技术,2,2023/10/12,航天测量研究院,无,完成,510000,合格,测量科技公司,模拟测试,航天测量研究院,2023-007,空天技术,V1.1,中国航天新闻网,http://www.space.org.cn,2024-10-09,
CN10-1815/TJ,无人机遥感技术,遥感技术,空天技术,1,2023/9/20,高新科技公司,无,正在进行,340000,待审,高新科技有限公司,空中测试,高新科技公司,2023-008,空天技术,V1.0,科技部,http://www.most.gov.cn,2024-10-09,
CN10-1785/TJ,空间互联网技术研究,信息通信,空天技术,2,2023/12/1,太空信息公司,无,已完成,420000,合格,太空科技有限公司,综合测试,太空信息公司,2023-009,空天技术,V1.2,中国科技网,http://www.cst.com.cn,2024-10-09,
CN10-1710/TJ,可重复使用发射器技术,航天器,空天技术,1,2023/11/21,航天科技及工程公司,航空产业公司,正在进行,410000,待审,航天集群科技有限公司,试飞测试,航天科技及工程公司,2023-010,空天技术,V1.0,国际航天新闻,http://www.aerospace.org,2024-10-09,
CN10-1787/TJ,人工智能地面控制系统,控制系统,空天技术,2,2023/10/5,智能航天系统公司,无,已完成,220000,合格,智能科技有限公司,系统集成,智能航天系统公司,2023-011,空天技术,V1.1,航天科技消息,http://www.space-technews.com,2024-10-09,
CN10-1742/TJ,大气层探测技术,探测技术,空天技术,1,2023/9/15,环境监测中心,无,待审,330000,待审,环境科技有限责任公司,现场测试,环境监测中心,2023-012,空天技术,V1.0,中国环境报,http://www.cepaper.com,2024-10-09,
CN10-1813/TJ,太空碎片跟踪与清理技术,再生技术,空天技术,2,2023/10/30,空间安全科技公司,无,已受理,120000,合格,空间安全材料有限公司,理论验证,空间安全科技公司,2023-013,空天技术,V1.0,中国空间新闻,http://www.space.china.com,2024-10-09,
CN10-1790/TJ,火箭推进系统优化技术,推进系统,空天技术,1,2023/11/25,高能推进科技公司,无,完成,310000,合格,高能科技有限公司,实验室测试,高能推进科技公司,2023-014,空天技术,V1.1,航天时报,http://www.astronauticnews.cn,2024-10-09,
CN10-1773/TJ,量子通信卫星技术,系统设计,空天技术,1,2023/10/15,量子科技研发中心,量子卫星制造公司,已受理,110000,合格,量子科技有限公司,实验证明,量子科技研发中心,2023-006,空天技术,V1.0,中国科学技术协会,http://www.cast.org.cn,2024-10-09,
CN10-1782/TJ,卫星成像数据分析平台,数据处理,空天技术,2,2023/11/5,卫星技术有限公司,图像处理技术研究院,完成,420000,合格,卫星影像科技公司,云计算分析,卫星技术有限公司,2023-007,空天技术,V1.2,中国遥感网,http://www.cresda.org.cn,2024-10-09,
CN10-1819/TJ,月球采样返回技术,系统设计,空天技术,1,2023/12/1,月球探索院,深空探测开发公司,已完成,310000,合格,探月科技公司,实地测试,月球探索院,2023-008,空天技术,V1.0,国家航天局,http://www.cnsa.gov.cn,2024-10-09,
CN10-1815/TJ,火星探测器动力系统,动力系统设计,空天技术,2,2023/9/20,火星探索中心,空间动力机构,正在进行,450000,待审,火星技术公司,实验室测试,火星探索中心,2023-009,空天技术,V1.1,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1785/TJ,可重复使用的火箭技术,火箭设计,空天技术,1,2023/10/30,可重复使用飞行器公司,航天发射技术院,已受理,370000,合格,航天科技公司,实地测试,可重复使用飞行器公司,2023-010,空天技术,V1.0,中国航天科工集团,http://www.csic.com.cn,2024-10-09,
CN10-1710/TJ,小型卫星星座部署技术,系统集成,空天技术,2,2023/9/15,小型卫星集团,卫星网络研究所,完成,530000,合格,小型卫星科技有限公司,模拟测试,小型卫星集团,2023-011,空天技术,V1.2,人民网,http://www.people.com.cn,2024-10-09,
CN10-1787/TJ,无人机遥感系统,应用开发,空天技术,1,2023/8/25,无人机科技有限公司,浙江无人机发展中心,待审,330000,待审,无人机研究院,现场试验,无人机科技有限公司,2023-012,空天技术,V1.0,浙江日报,http://www.zjrb.com,2024-10-09,
CN10-1742/TJ,卫星网络集成系统,系统集成,空天技术,1,2023/7/10,卫星网络有限公司,通信研究院,正在进行,460000,待审,卫星通信科技公司,实验室测试,卫星网络有限公司,2023-013,空天技术,V1.1,网络信息中心,http://www.cnnic.org.cn,2024-10-09,
CN10-1813/TJ,深空导航与制导技术,导航系统,空天技术,1,2023/6/30,深空研究院,太空导航技术公司,已完成,410000,合格,深空科技有限公司,实地测试,深空研究院,2023-014,空天技术,V1.0,科技创新网,http://www.innocom.cn,2024-10-09,
CN10-1790/TJ,空间环境适应性测试技术,环境测试,空天技术,1,2023/10/1,地球与空间科学研究所,超新星科技有限公司,已受理,410000,合格,空间科学技术公司,实验室测试,地球与空间科学研究所,2023-006,空天技术,V1.0,中国科学院,http://www.cas.cn/,2024-10-09,
CN12-2345/TJ,小型卫星通信系统,系统开发,空天技术,2,2023/11/5,卫星通信技术研究院,导航科技有限公司,正在进行,440100,待审,卫星科技有限公司,系统集成测试,卫星通信技术研究院,2023-007,空天技术,V1.2,信息产业部,http://www.mii.gov.cn/,2024-10-09,
CN15-5678/TJ,激光通信技术,通信技术,空天技术,1,2023/9/15,激光科技公司,未来科技研究院,已完成,330100,合格,激光技术公司,实地测试,激光科技公司,2023-008,空天技术,V1.1,中国激光协会,http://www.cla.org.cn/,2024-10-09,
CN18-9123/TJ,火星基地生存系统,系统设计,空天技术,2,2023/12/1,宇航工程公司,火星探索研究所,待审,520000,待审,宇航科技有限公司,系统模拟测试,宇航工程公司,2023-009,空天技术,V1.0,航天科技杂志,http://www.astronautics.com/,2024-10-09,
CN20-3456/TJ,月球探测器数据分析系统,数据处理,空天技术,1,2023/10/20,太空信息技术中心,数据科学公司,已受理,110000,合格,太空科学技术公司,数据分析,太空信息技术中心,2023-010,空天技术,V1.0,中国航天报,http://www.cnbk.com/,2024-10-09,
CN14-8130/TJ,轨道碎片监测技术,监测技术,空天技术,2,2023/11/25,航天监测研究中心,航空科技公司,完成,330200,合格,航天科技有限公司,实地监测,航天监测研究中心,2023-011,空天技术,V1.0,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN11-4567/TJ,弹道导弹防御技术,防御系统,空天技术,1,2023/12/15,国防科技集团,宇航防务有限公司,待审,120000,待审,国防与航天科技公司,系统测试,国防科技集团,2023-012,空天技术,V1.0,军工研究所,http://www.military.gov.cn/,2024-10-09,
CN19-1234/TJ,空间站生命支持系统,系统开发,空天技术,2,2023/10/30,空间技术研究所,航天科技有限公司,正在进行,410100,合格,空间科技公司,集成测试,空间技术研究所,2023-013,空天技术,V1.1,科学与技术部,http://www.most.gov.cn/,2024-10-09,
CN17-6301/TJ,大型火箭发射技术,发射技术,空天技术,1,2023/9/5,宇航工程公司,宇宙探索公司,已完成,320100,合格,火箭科技有限公司,性能测试,宇航工程公司,2023-014,空天技术,V1.0,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN13-2346/TJ,新一代可重复使用火箭设计技术,系统设计,空天技术,1,2023/10/10,长征航天集团,航天精密工程公司,已受理,110000,合格,长征科技公司,实验室测试,长征航天集团,2023-006,空天技术,V1.0,中国航天科技集团,http://www.casc.gov.cn/,2024-10-09,
CN16-6813/TJ,量子通信卫星技术,通信系统,空天技术,2,2023/11/5,量子科技研究所,北方信息产业公司,已完成,620000,合格,量子科技有限公司,卫星测验,量子科技研究所,2023-007,空天技术,V1.1,国家自然科学基金委员会,http://www.nsfc.gov.cn/,2024-10-09,
CN10-1773/TJ,低轨道卫星组网技术,网络设计,空天技术,1,2023/12/1,星河信息科技公司,太空研发中心,正在进行,370000,待审,星河科技公司,仿真测试,星河信息科技公司,2023-008,空天技术,V1.0,中国互联网信息中心,http://www.cnnic.net.cn/,2024-10-09,
CN10-1782/TJ,自动驾驶航天器控制系统,系统设计,空天技术,2,2024/1/15,航天科技设计院,星际探索有限公司,已完成,450000,合格,航天科技公司,系统评估,航天科技设计院,2024-001,空天技术,V1.2,中国电子科技集团,http://www.cectc.com/,2024-10-09,
