系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,
空天探测系统,28.5,马赫,0.4,马赫,120,公里,50公里/0公里,10,小时,600,公里,180,米,320,米/秒,220,米/秒,起飞距离：500米，降落距离：550米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,中国空天航空研究院,http://www.casa.gov.cn,2024-10-09,,
高超音速探查机,32,马赫,0.6,马赫,70,公里,100公里/15公里,9,小时,800,公里,220,米,360,米/秒,270,米/秒,起飞距离：650米，降落距离：750米,1600,公斤,长：13米，宽：6.5米，高：4米,±2米,稳定,国际航空航天协会,https://www.aiaa.org,2024-10-09,,
先进无人预警系统,24,马赫,0.3,马赫,55,公里,30公里/5公里,14,小时,500,公里,150,米,300,米/秒,200,米/秒,起飞距离：400米，降落距离：450米,700,公斤,长：9米，宽：4米，高：2.5米,±1.3米,稳定,军事科技前沿,http://www.defense-tech.com,2024-10-09,,
未来战斗机,35,马赫,0.7,马赫,85,公里,95公里/10公里,7,小时,750,公里,230,米,380,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,1800,公斤,长：15米，宽：7米，高：5米,±2.5米,稳定,航空工程研究院,https://www.aeronautics.cn,2024-10-09,,
长航时无人飞行器,18.5,马赫,0.2,马赫,40,公里,20公里/0公里,16,小时,450,公里,90,米,260,米/秒,170,米/秒,起飞距离：200米，降落距离：300米,400,公斤,长：6米，宽：3米，高：2米,±1.8米,稳定,无人系统技术期刊,http://www.uavjournal.com,2024-10-09,,
次声波监视系统,22,马赫,0.4,马赫,65,公里,45公里/5公里,11,小时,550,公里,160,米,280,米/秒,230,米/秒,起飞距离：450米，降落距离：500米,650,公斤,长：10米，宽：4.5米，高：3米,±1.4米,稳定,中国工程院,http://www.cae.cn,2024-10-09,,
空中加油无人机系统,21.5,马赫,0.3,马赫,75,公里,35公里/10公里,12,小时,650,公里,140,米,290,米/秒,240,米/秒,起飞距离：600米，降落距离：650米,800,公斤,长：10米，宽：5米，高：3.2米,±1.1米,稳定,军用航空技术中心,http://www.militaryaviation.cn,2024-10-09,,
低空侦查无人机,19,马赫,0.2,马赫,45,公里,25公里/5公里,13,小时,480,公里,130,米,270,米/秒,190,米/秒,起飞距离：350米，降落距离：400米,550,公斤,长：8米，宽：4米，高：2.7米,±1.4米,稳定,无人侦察技术发展研究,http://www.uav-research.cn,2024-10-09,,
未来空中交通系统,22,马赫,0.4,马赫,60,公里,30公里/5公里,10,小时,600,公里,120,米,280,米/秒,180,米/秒,起飞距离：450米，降落距离：550米,950,公斤,长：9米，宽：4.5米，高：2.8米,±1.0米,稳定,中国通信学会,https://www.caa.org.cn,2024-10-09,,
下一代武装无人机,18,马赫,0.1,马赫,70,公里,50公里/0公里,20,小时,800,公里,140,米,230,米/秒,190,米/秒,起飞距离：400米，降落距离：450米,600,公斤,长：6米，宽：3米，高：2米,±3.0米,可靠,国际无人机协会,https://www.uavglobal.com,2024-10-09,,
超音速运输机,2,马赫,0.2,马赫,25,公里,15公里/1公里,5,小时,500,公里,70,米,220,米/秒,160,米/秒,起飞距离：350米，降落距离：400米,750,公斤,长：20米，宽：10米，高：5米,±0.8米,良好,航空航天通信研究所,http://www.aerospace.org,2024-10-09,,
空天搭载平台,26,马赫,0.4,马赫,90,公里,100公里/20公里,15,小时,650,公里,110,米,400,米/秒,230,米/秒,起飞距离：650米，降落距离：750米,1200,公斤,长：11米，宽：5.5米，高：4米,±2.5米,稳定,中国航空工业集团,http://www.avic.com,2024-10-09,,
远程侦察飞机,25.5,马赫,0.3,马赫,40,公里,35公里/0公里,18,小时,550,公里,90,米,300,米/秒,200,米/秒,起飞距离：550米，降落距离：600米,700,公斤,长：15米，宽：7米，高：3米,±1.1米,稳定,全球通讯创新大会,https://www.giac.org,2024-10-09,,
高空科学考察飞行器,24,马赫,0.4,马赫,85,公里,95公里/25公里,12,小时,620,公里,130,米,310,米/秒,250,米/秒,起飞距离：600米，降落距离：700米,900,公斤,长：14米，宽：6米，高：3.5米,±1.8米,非常稳定,国际气象组织,https://www.wmo.int,2024-10-09,,
低空遥控飞行器,15,马赫,0.1,马赫,30,公里,10公里/0公里,24,小时,200,公里,50,米,180,米/秒,140,米/秒,起飞距离：200米，降落距离：250米,300,公斤,长：5米，宽：3米，高：1.5米,±0.5米,极为稳定,无人机行业协会,https://www.uavassociation.org,2024-10-09,,
全面监测卫星,27,马赫,0.5,马赫,105,公里,110公里/30公里,20,小时,900,公里,160,米,350,米/秒,280,米/秒,起飞距离：750米，降落距离：800米,1600,公斤,长：18米，宽：9米，高：4.5米,±2.0米,稳定,国际空间研究会,https://www.isrs.org,2024-10-09,,
下一代空天侦察机,28,马赫,0.4,马赫,120,公里,50公里/0公里,10,小时,600,公里,150,米,320,米/秒,220,米/秒,起飞距离：700米，降落距离：800米,1100,公斤,长：11米，宽：5.5米，高：3.2米,±1米,稳定,中国航天科技集团,http://www.spacechina.com,2024-10-09,,
超音速社交媒体监视飞艇,1.8,马赫,0.2,马赫,30,公里,15公里/0公里,24,小时,450,公里,110,米,180,米/秒,130,米/秒,起飞距离：500米，降落距离：550米,750,公斤,长：15米，宽：8米，高：5米,±2米,稳定,未来科技展,http://www.futurist-technology.com,2024-10-09,,
太阳能无人空中监测系统,19.5,马赫,0.25,马赫,40,公里,25公里/0公里,18,小时,350,公里,90,米,240,米/秒,150,米/秒,起飞距离：600米，降落距离：700米,550,公斤,长：9米，宽：4米，高：2.6米,±1.8米,稳定,全球环境监测机构,http://www.globalmonitor.com,2024-10-09,,
多用途空天侦查无人机,22,马赫,0.4,马赫,70,公里,60公里/10公里,14,小时,545,公里,130,米,290,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,850,公斤,长：10.5米，宽：5米，高：3.5米,±1.3米,稳定,航空航天工业部门,http://www.aerospace-industry.org,2024-10-09,,
新型超声速货运飞机,2.2,马赫,0.2,马赫,15,公里,10公里/0公里,5,小时,250,公里,70,米,160,米/秒,120,米/秒,起飞距离：300米，降落距离：350米,600,公斤,长：8.5米，宽：3米，高：2米,±1米,稳定,国际航空运输协会,http://www.iata.org,2024-10-09,,
战术空天搭载系统,28.5,马赫,0.6,马赫,90,公里,100公里/10公里,9,小时,750,公里,300,米,380,米/秒,260,米/秒,起飞距离：800米，降落距离：900米,1600,公斤,长：13米，宽：7米，高：4米,±2米,稳定,国防研究院,http://www.defense-research.gov,2024-10-09,,
创新型空天研究实验室,24.5,马赫,0.3,马赫,85,公里,70公里/5公里,15,小时,400,公里,120,米,300,米/秒,210,米/秒,起飞距离：700米，降落距离：800米,900,公斤,长：11米，宽：5.2米，高：3.4米,±1.4米,稳定,高科技发展公司,http://www.techdevelopment.com,2024-10-09,,
远程空天作战平台,31,马赫,0.7,马赫,150,公里,120公里/20公里,11,小时,900,公里,350,米,400,米/秒,300,米/秒,起飞距离：900米，降落距离：1000米,1800,公斤,长：14米，宽：6米，高：4.5米,±2.5米,稳定,未来空天技術研究中心,http://www.futureaerospace.com,2024-10-09,,
变形翼空天飞行器,28,马赫,0.4,马赫,110,公里,45公里/0公里,14,小时,600,公里,120,米,350,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,中国航天科技集团,https://www.spacechina.com/,2024-10-09,,
高空长航时无人机,22,马赫,0.1,马赫,70,公里,30公里/0公里,20,小时,450,公里,90,米,280,米/秒,190,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：9米，宽：4米，高：2.8米,±1米,稳定,无人机产业发展联盟,https://www.uav.org.cn/,2024-10-09,,
低空侦察无人机,15,马赫,0.15,马赫,25,公里,15公里/0公里,10,小时,300,公里,60,米,150,米/秒,120,米/秒,起飞距离：250米，降落距离：300米,300,公斤,长：6米，宽：3米，高：1.5米,±1.2米,稳定,航空航天工程研究所,http://www.aerospace.cn/,2024-10-09,,
智能模仿飞行器,23,马赫,0.25,马赫,60,公里,35公里/5公里,11,小时,520,公里,130,米,320,米/秒,210,米/秒,起飞距离：480米，降落距离：550米,800,公斤,长：10米，宽：5米，高：3米,±1米,稳定,中国航空报,http://www.aviation.com.cn/,2024-10-09,,
自适应轨迹飞行器,24,马赫,0.3,马赫,95,公里,100公里/10公里,9,小时,750,公里,140,米,340,米/秒,230,米/秒,起飞距离：520米，降落距离：600米,950,公斤,长：12米，宽：6米，高：4米,±2米,稳定,国际航空航天协会,https://www.iaaa.org/,2024-10-09,,
前沿科技无人飞行器,26,马赫,0.2,马赫,85,公里,70公里/5公里,7,小时,650,公里,180,米,310,米/秒,200,米/秒,起飞距离：480米，降落距离：560米,700,公斤,长：11米，宽：5米，高：3米,±1米,稳定,中国科学技术期刊,http://www.sciencenet.cn/,2024-10-09,,
可重用火箭系统,32,马赫,0.6,马赫,120,公里,150公里/10公里,5,小时,800,公里,250,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：15米，宽：8米，高：6米,±2米,稳定,未来科技研究中心,https://www.futuristschina.com/,2024-10-09,,
超音速运输飞行器,29,马赫,0.4,马赫,75,公里,95公里/15公里,13,小时,900,公里,200,米,380,米/秒,270,米/秒,起飞距离：650米，降落距离：700米,1800,公斤,长：14米，宽：7米，高：5米,±1.5米,稳定,国际运输论坛,https://www.internationaltransportforum.org/,2024-10-09,,
超音速战斗机,2.3,马赫,0.4,马赫,22,公里,28公里/0公里,5,小时,350,公里,120,米,280,米/秒,180,米/秒,起飞距离：450米，降落距离：550米,900,公斤,长：16米，宽：8米，高：4米,±1米,稳定,中国航空工业集团公司,http://www.avic.com/,2024-10-09,,
轨道监测卫星,7.5,马赫,0,马赫,700,公里,300公里/180公里,10,小时,2000,公里,500,米,0,米/秒,0,米/秒,轨道发射，无需着陆,300,公斤,长：5米，宽：3米，高：2米,±0.5米,稳定,中国航天科技集团,http://www.casc.cn/,2024-10-09,,
空天侦察无人机,15,马赫,0.1,马赫,30,公里,25公里/0公里,20,小时,600,公里,130,米,340,米/秒,220,米/秒,起飞距离：400米，降落距离：500米,600,公斤,长：12米，宽：5米，高：3.5米,±1米,稳定,国际防务技术网站,http://www.defense-tech.com/,2024-10-09,,
声音重叠试验飞机,2.8,马赫,0.5,马赫,15,公里,22公里/0公里,7,小时,320,公里,90,米,210,米/秒,160,米/秒,起飞距离：420米，降落距离：540米,780,公斤,长：10米，宽：4.5米，高：3米,±1.0米,稳定,美国宇航局,http://www.nasa.gov/,2024-10-09,,
无人空中加油机,0.9,马赫,0.2,马赫,15,公里,10公里/0公里,14,小时,1000,公里,250,米,150,米/秒,100,米/秒,起飞距离：600米，降落距离：700米,1000,公斤,长：15米，宽：7米，高：3米,±5米,稳定,国际民用航空组织,http://www.icao.int/,2024-10-09,,
目标拦截导弹,4,马赫,0.8,马赫,25,公里,35公里/5公里,3,小时,150,公里,70,米,300,米/秒,300,米/秒,发射架，无法着陆,400,公斤,长：3米，宽：0.5米，高：0.5米,±0.25米,动态,卫星导航与定位技术中心,http://www.satellite-launch.com/,2024-10-09,,
机载激光打击系统,1.5,马赫,0.5,马赫,20,公里,15公里/0公里,10,小时,450,公里,175,米,230,米/秒,190,米/秒,起飞距离：500米，降落距离：600米,700,公斤,长：9米，宽：4米，高：3米,±1.3米,稳定,现代武器技术研究院,http://www.militarytech.org/,2024-10-09,,
跨境无人战斗机,0.95,马赫,0.2,马赫,18,公里,12公里/0公里,19,小时,800,公里,120,米,190,米/秒,170,米/秒,起飞距离：550米，降落距离：640米,900,公斤,长：11米，宽：5米，高：3.5米,±2米,稳定,全球军事报道,http://www.globalmilitary.com/,2024-10-09,,
新型空天卫星系统,18,马赫,0.4,马赫,150,公里,135公里/20公里,24,小时,800,公里,250,米,400,米/秒,300,米/秒,起飞距离：600米，降落距离：750米,2000,公斤,长：15米，宽：7米，高：4.5米,±1米,稳定,中国航天科技集团,http://www.casc.gov.cn/,2024-10-09,,
空间探测飞行器,22.5,马赫,0.6,马赫,120,公里,100公里/5公里,15,小时,600,公里,180,米,350,米/秒,250,米/秒,起飞距离：700米，降落距离：400米,1200,公斤,长：10米，宽：6米，高：3.5米,±2米,稳定,国际空间机构,https://www.spaceagency.com/,2024-10-09,,
可重复使用的亚轨道飞行器,15,马赫,0.3,马赫,70,公里,60公里/0公里,10,小时,500,公里,160,米,300,米/秒,180,米/秒,起飞距离：550米，降落距离：650米,1000,公斤,长：12米，宽：5米，高：3.2米,±1.8米,稳定,空军研究院,http://www.airforce.gov.cn/,2024-10-09,,
超高空无人机,28,马赫,0.7,马赫,120,公里,110公里/15公里,18,小时,900,公里,220,米,450,米/秒,320,米/秒,起飞距离：500米，降落距离：500米,1800,公斤,长：14米，宽：8米，高：5米,±0.5米,稳定,电子科技大学,https://www.uestc.edu.cn/,2024-10-09,,
高空侦察卫星,19,马赫,0.5,马赫,160,公里,150公里/30公里,25,小时,1000,公里,300,米,420,米/秒,280,米/秒,起飞距离：650米，降落距离：700米,2200,公斤,长：16米，宽：9米，高：6米,±0.8米,稳定,新华社,http://www.xinhuanet.com/,2024-10-09,,
无人驾驶高超音速飞行器,35,马赫,0.6,马赫,200,公里,180公里/10公里,20,小时,1200,公里,280,米,500,米/秒,350,米/秒,起飞距离：700米，降落距离：800米,2500,公斤,长：18米，宽：10米，高：7米,±0.2米,稳定,防务新闻,https://www.defensenews.com/,2024-10-09,,
自动驾驶空天飞行器,27,马赫,0.4,马赫,140,公里,130公里/25公里,14,小时,850,公里,240,米,380,米/秒,320,米/秒,起飞距离：700米，降落距离：900米,1900,公斤,长：17米，宽：9米，高：5米,±0.6米,稳定,航空航天技术学院,https://www.aero.edu.cn/,2024-10-09,,
新一代战术无人机,23,马赫,0.4,马赫,90,公里,70公里/10公里,12,小时,550,公里,220,米,270,米/秒,220,米/秒,起飞距离：500米，降落距离：600米,1100,公斤,长：14米，宽：8米，高：4米,±1米,稳定,全球技术观察,https://www.techglobalobserver.com/,2024-10-09,,
星际探测无人机,35,马赫,0.6,马赫,150,公里,120公里/5公里,24,小时,800,公里,300,米,400,米/秒,350,米/秒,起飞距离：800米，降落距离：900米,2000,公斤,长：15米，宽：7米，高：5米,±0.5米,稳定,中国航天科技集团,http://www.cast.cn,2024-10-09,,
先进空天侦察飞机,2.8,马赫,0.4,马赫,25,公里,35公里/0公里,10,小时,600,公里,120,米,250,米/秒,200,米/秒,起飞距离：500米，降落距离：550米,700,公斤,长：9米，宽：5米，高：3米,±1米,稳定,国际航空航天协会,https://www.aiaa.org,2024-10-09,,
可重复使用航天飞机,25.5,马赫,0.3,马赫,200,公里,100公里/0公里,15,小时,1200,公里,500,米,600,米/秒,400,米/秒,起飞距离：1500米，降落距离：1800米,3000,公斤,长：20米，宽：10米，高：5米,±2米,稳定,卫星技术与应用研究中心,http://www.sstc.cn,2024-10-09,,
空天快速响应系统,3,马赫,0.5,马赫,28,公里,30公里/1公里,7,小时,350,公里,90,米,180,米/秒,140,米/秒,起飞距离：400米，降落距离：350米,450,公斤,长：8.5米，宽：4.5米，高：2.8米,±1米,稳定,空军科技与工程学院,http://www.learning.gov.cn,2024-10-09,,
全球气候监测卫星,8,马赫,0.2,马赫,400,公里,800公里/20公里,20,小时,2000,公里,600,米,500,米/秒,350,米/秒,起飞距离：1000米，降落距离：1200米,2500,公斤,长：18米，宽：6米，高：4米,±3米,稳定,国家气象局,http://www.cma.gov.cn,2024-10-09,,
低轨通信用卫星,7.5,马赫,0.3,马赫,700,公里,1500公里/50公里,30,小时,1700,公里,400,米,550,米/秒,400,米/秒,起飞距离：900米，降落距离：950米,1800,公斤,长：11米，宽：5米，高：3.5米,±2米,稳定,中国广播电视网络公司,http://www.cnr.cn,2024-10-09,,
新型载人航天器,35,马赫,0.7,马赫,300,公里,400公里/20公里,14,小时,1500,公里,450,米,700,米/秒,600,米/秒,起飞距离：1200米，降落距离：1300米,2800,公斤,长：16米，宽：7.5米，高：4.5米,±1米,稳定,中国航天科学技术研究院,http://www.cast-cms.com,2024-10-09,,
无人机空中补给系统,15,马赫,0.4,马赫,40,公里,50公里/0公里,9,小时,300,公里,120,米,150,米/秒,100,米/秒,起飞距离：250米，降落距离：300米,600,公斤,长：7米，宽：4米，高：3米,±2米,稳定,无人机产业协会,http://www.uav.org.cn,2024-10-09,,
空天遥感卫星,7,马赫,0.1,马赫,600,公里,800公里/0公里,25,小时,1200,公里,400,米,500,米/秒,400,米/秒,起飞距离：无，降落距离：无,2000,公斤,长：15米，宽：5米，高：3米,±0.5米,稳定,中国航天科技集团,https://www.chinaspacerock.com,2024-10-09,,
极地飞行器,8.5,马赫,0.4,马赫,70,公里,50公里/0公里,10,小时,450,公里,120,米,350,米/秒,180,米/秒,起飞距离：350米，降落距离：400米,900,公斤,长：10米，宽：4米，高：3米,±1米,稳定,极地研究中心,https://www.polarresearch.org,2024-10-09,,
空天监测平台,4.5,马赫,0.2,马赫,150,公里,300公里/0公里,15,小时,600,公里,250,米,280,米/秒,220,米/秒,起飞距离：600米，降落距离：650米,1200,公斤,长：11米，宽：5米，高：3米,±1.8米,稳定,中国航天科技报,http://www.spaceflightnews.com,2024-10-09,,
创新型空天客机,8,马赫,0.5,马赫,100,公里,200公里/0公里,9,小时,800,公里,300,米,400,米/秒,250,米/秒,起飞距离：450米，降落距离：550米,1100,公斤,长：14米，宽：5米，高：4米,±2.5米,稳定,未来航空技术公司,https://www.futuristicaviation.com,2024-10-09,,
高超声速无人机,32,马赫,0.4,马赫,90,公里,60公里/10公里,7,小时,600,公里,280,米,500,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,1600,公斤,长：13米，宽：6米，高：3.5米,±1.0米,稳定,国家航天局,https://www.cnsa.gov.cn,2024-10-09,,
次声速监测系统,1.2,马赫,0.1,马赫,25,公里,15公里/0公里,12,小时,350,公里,70,米,180,米/秒,120,米/秒,起飞距离：250米，降落距离：300米,400,公斤,长：6米，宽：3米，高：2米,±1.3米,稳定,国家科技部,http://www.most.gov.cn,2024-10-09,,
空天自适应系统,5,马赫,0.6,马赫,120,公里,40公里/20公里,13,小时,650,公里,150,米,385,米/秒,295,米/秒,起飞距离：540米，降落距离：580米,950,公斤,长：10米，宽：5米，高：3米,±1.7米,稳定,空天科技论坛,https://www.spaceforum.com,2024-10-09,,
城市空中交通系统,3,马赫,0.1,马赫,10,公里,5公里/0公里,4,小时,100,公里,50,米,120,米/秒,100,米/秒,起飞距离：200米，降落距离：250米,300,公斤,长：9米，宽：4米，高：3.5米,±1.0米,稳定,智能交通协会,https://www.smarttransport.org,2024-10-09,,
未来战斗无人机系统,28,马赫,0.4,马赫,120,公里,50公里/0公里,18,小时,800,公里,180,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：15米，宽：7米，高：5米,±1米,稳定,军事科技前沿,https://miltechfrontier.com,2024-10-09,,
高超声速侦察飞行器,35,马赫,0.7,马赫,95,公里,110公里/15公里,10,小时,950,公里,220,米,450,米/秒,350,米/秒,起飞距离：800米，降落距离：900米,1200,公斤,长：14米，宽：6米，高：3.5米,±2米,稳定,航空与航天杂志,http://www.journalofaviation.com,2024-10-09,,
光电无人机系统,18,马赫,0.1,马赫,60,公里,30公里/5公里,20,小时,450,公里,90,米,350,米/秒,220,米/秒,起飞距离：250米，降落距离：350米,600,公斤,长：9米，宽：4.5米，高：3米,±1.5米,稳定,无人机技术论坛,http://www.uavtechforum.com,2024-10-09,,
无人驾驶高空艇系统,22,马赫,0.2,马赫,75,公里,45公里/0公里,14,小时,600,公里,110,米,280,米/秒,230,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：11米，宽：5.5米，高：3.2米,±1米,稳定,国际无人机协会,http://www.iua.org,2024-10-09,,
超音速高速客机,2,马赫,0.4,马赫,25,公里,28公里/0公里,7,小时,350,公里,85,米,200,米/秒,180,米/秒,起飞距离：600米，降落距离：700米,900,公斤,长：6米，宽：4米，高：2米,±1.3米,稳定,各国航空公司,https://www.worldairlines.com,2024-10-09,,
远程打击飞行器,24,马赫,0.3,马赫,70,公里,80公里/10公里,8,小时,750,公里,175,米,360,米/秒,300,米/秒,起飞距离：650米，降落距离：700米,1400,公斤,长：13米，宽：6.5米，高：4米,±3米,相对稳定,未来军事研究所,http://www.futuremilitaryresearch.org,2024-10-09,,
卫星发射飞行器,5,马赫,0.6,马赫,300,公里,900公里/0公里,15,小时,1200,公里,250,米,500,米/秒,400,米/秒,起飞距离：1000米，降落距离：1200米,3000,公斤,长：20米，宽：10米，高：7米,±0.5米,非常稳定,空间发展研究中心,http://www.spacedevelopment.org,2024-10-09,,
太空探索飞行器,7.5,马赫,0.9,马赫,150,公里,200公里/10公里,20,小时,1600,公里,350,米,600,米/秒,450,米/秒,起飞距离：900米，降落距离：1100米,4500,公斤,长：25米，宽：12米，高：9米,±1.8米,稳定,国际航空航天局,https://www.nasa.gov,2024-10-09,,
高空长航无人机,22.5,马赫,0.4,马赫,70,公里,30公里/0公里,18,小时,600,公里,120,米,280,米/秒,220,米/秒,起飞距离：400米，降落距离：500米,750,公斤,长：9米，宽：4米，高：3米,±1米,稳定,无人机科技协会,https://www.uavtech.org,2024-10-09,,
空中监测卫星,10,马赫,0.1,马赫,500,公里,600公里/300公里,5,年,1500,公里,150,米,100,米/秒,80,米/秒,无,2000,公斤,直径：2米，高：5米,±5米,稳定,空间与技术研究中心,https://www.spacecenter.org,2024-10-09,,
多用途卫星系统,8,马赫,0.05,马赫,800,公里,2000公里/400公里,10,年,3000,公里,200,米,90,米/秒,70,米/秒,无,2500,公斤,长：3米，宽：3米，高：4米,±3米,稳定,全球卫星网络研究所,https://www.gsnt.org,2024-10-09,,
自适应空天侦察机,15,马赫,0.6,马赫,95,公里,85公里/2公里,7,小时,800,公里,170,米,320,米/秒,180,米/秒,起飞距离：320米，降落距离：400米,600,公斤,长：6米，宽：3米，高：2.8米,±1.2米,稳定,国际空天技术协会,https://www.iaas.org,2024-10-09,,
深空探测器,12,马赫,0.3,马赫,1000,公里,2000公里/200公里,5,年,5000,公里,250,米,75,米/秒,50,米/秒,无,1500,公斤,长：4米，宽：4米，高：5米,±10米,平稳,国家航天局,https://www.cnsa.gov.cn,2024-10-09,,
新型高超声速飞行器,35,马赫,0.5,马赫,70,公里,110公里/5公里,9,小时,900,公里,190,米,360,米/秒,240,米/秒,起飞距离：650米，降落距离：700米,1700,公斤,长：14米，宽：7米，高：5米,±2.5米,稳定,科技日报,http://www.stdaily.com,2024-10-09,,
基于 AI 的轰炸机平台,28,马赫,0.7,马赫,50,公里,55公里/1公里,4,小时,850,公里,160,米,300,米/秒,210,米/秒,起飞距离：700米，降落距离：800米,1400,公斤,长：15米，宽：6米，高：4米,±3米,稳定,现代军事技术研究所,https://www.militarytech.org,2024-10-09,,
空间探测飞行器,11,马赫,0.4,马赫,120,公里,300公里/10公里,12,小时,720,公里,140,米,310,米/秒,200,米/秒,起飞距离：500米，降落距离：550米,900,公斤,长：10米，宽：5.5米，高：4米,±2米,稳定,宇宙探索联合会,https://www.spaceexploration.org,2024-10-09,,
新一代空天监视器,27.5,马赫,0.4,马赫,120,公里,45公里/5公里,14,小时,650,公里,175,米,320,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,950,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,国家航天局,https://www.cnsa.gov.cn/,2024-10-09,,
先进空间侦察机,35,马赫,0.6,马赫,90,公里,95公里/10公里,10,小时,800,公里,210,米,360,米/秒,220,米/秒,起飞距离：700米，降落距离：800米,1300,公斤,长：15米，宽：7米，高：4.5米,±1.5米,非常稳定,航空工业研究院,https://www.aeronautics.org/,2024-10-09,,
高空长航时无人机,19,马赫,0.3,马赫,60,公里,35公里/0公里,18,小时,550,公里,140,米,250,米/秒,190,米/秒,起飞距离：350米，降落距离：450米,400,公斤,长：9米，宽：4.5米，高：3米,±1.8米,稳定,无人机技术论坛,https://www.droneforum.com/,2024-10-09,,
未来战斗空天平台,28,马赫,0.5,马赫,110,公里,50公里/15公里,11,小时,700,公里,165,米,310,米/秒,230,米/秒,起飞距离：600米，降落距离：700米,1200,公斤,长：14米，宽：6.5米，高：4米,±1.0米,稳定,国防科技大学,https://www.nudt.edu.cn/,2024-10-09,,
空天军用运输机,3,马赫,0.4,马赫,15,公里,30公里/0公里,7,小时,350,公里,60,米,220,米/秒,170,米/秒,起飞距离：420米，降落距离：480米,700,公斤,长：10米，宽：4米，高：3米,±1.7米,稳定,军用航空技术中心,https://www.militaryaviation.cn/,2024-10-09,,
超高空科学实验飞行器,22,马赫,0.2,马赫,95,公里,98公里/0公里,12,小时,720,公里,130,米,290,米/秒,210,米/秒,起飞距离：500米，降落距离：650米,950,公斤,长：12米，宽：5米，高：3米,±1.2米,非常稳定,航天科技发展公司,https://www.space-tech.com/,2024-10-09,,
高能激光空天平台,25,马赫,0.3,马赫,85,公里,92公里/8公里,9,小时,600,公里,190,米,280,米/秒,230,米/秒,起飞距离：600米，降落距离：700米,1200,公斤,长：13米，宽：6米，高：3.8米,±0.8米,极为稳定,新材料与航天合作论坛,https://www.newmaterials.com/,2024-10-09,,
空间环境研究飞行器,21,马赫,0.4,马赫,70,公里,65公里/10公里,13,小时,900,公里,160,米,300,米/秒,250,米/秒,起飞距离：500米，降落距离：600米,800,公斤,长：11米，宽：5米，高：3米,±1.4米,稳定,空间科学与工程杂志,https://www.spacejournal.com/,2024-10-09,,
新疆高空监视无人机,22.5,马赫,0.25,马赫,70,公里,30公里/0公里,14,小时,450,公里,120,米,280,米/秒,220,米/秒,起飞距离：400米，降落距离：500米,650,公斤,长：9米，宽：4.5米，高：3米,±1米,稳定,中国航空航天研究院,http://www.casic.com,2024-10-09,,
未来量子通讯卫星,15,马赫,0.4,马赫,300,公里,1000公里/300公里,24,小时,1000,公里,500,米,180,米/秒,160,米/秒,起飞距离：800米，降落距离：850米,3000,公斤,长：15米，宽：6米，高：5米,±3米,稳定,中国科学院,http://www.cas.cn,2024-10-09,,
隐形空中作战机,35,马赫,0.6,马赫,90,公里,60公里/20公里,10,小时,800,公里,170,米,320,米/秒,210,米/秒,起飞距离：700米，降落距离：800米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±2米,稳定,航空设计院,http://www.aero-design.com,2024-10-09,,
轨道综合探测器,18,马赫,0.3,马赫,400,公里,800公里/200公里,48,小时,1500,公里,600,米,140,米/秒,140,米/秒,起飞距离：900米，降落距离：950米,2500,公斤,长：14米，宽：8米，高：6米,±5米,稳定,国际航天中心,http://www.isa.org,2024-10-09,,
多用途空天系统,12,马赫,0.2,马赫,75,公里,50公里/10公里,18,小时,600,公里,160,米,300,米/秒,240,米/秒,起飞距离：500米，降落距离：550米,950,公斤,长：10米，宽：5米，高：3米,±2米,稳定,航空运输公司,http://www.air-transport.com,2024-10-09,,
极地探测飞行器,28,马赫,0.4,马赫,65,公里,15公里/5公里,20,小时,750,公里,130,米,320,米/秒,200,米/秒,起飞距离：600米，降落距离：600米,1100,公斤,长：12米，宽：5.5米，高：4米,±1米,稳定,寒区航空研究院,http://www.icelandaviation.com,2024-10-09,,
太空实际物体监视器,19,马赫,0.3,马赫,100,公里,400公里/100公里,36,小时,1300,公里,400,米,150,米/秒,160,米/秒,起飞距离：750米，降落距离：800米,2100,公斤,长：13米，宽：6米，高：3.5米,±4米,稳定,国际宇航局,http://www.nasa.gov,2024-10-09,,
