试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
弹道飞行器轨迹优化实验,京公网安备11010802032371号,GB/T 01724,弹道导弹系统,防务系统,完成,第一阶段,性能测试,王磊,导弹技术研究所,国家航天局,2023-11-01,2023-11-10,2023-11-25,2023-11-30,京公网安备11010802032371号,930875,科研项目,防务科技公司,测试记录数据,中国,人民军报,,2024-10-09,
火箭发动机高温测试实验,京公网安备11010802032372号,GB/T 27234,推进系统,发动机系统,正在进行,第二阶段,性能评估,刘媛,火箭研究院,航空工业部,2023-11-10,2023-11-20,待定,2024-03-01,京公网安备11010802032372号,930875,项目申报,推进科技有限公司,实验室数据,中国,航天科技网站,,2024-10-09,
轨道防撞系统开发实验,京公网安备11010802032373号,GB/T 40379,轨道防撞系统,防护系统,完成,第一阶段,关键技术验证,于刚,空间实验室,国际空间站中国项目,2023-11-20,2023-11-30,2024-01-10,2024-01-15,京公网安备11010802032373号,930875,项目申报,航天防护有限公司,实验室数据,中国,航天日报,,2024-10-09,
新一代反导系统测试,京公网安备11010802032374号,GB/T 78120,反导系统,防务系统,正在进行,第三阶段,作战能力验证,苏鑫,战略防御研究院,国家防务科技局,2023-11-30,2023-12-15,待定,2024-05-01,京公网安备11010802032374号,930875,科研项目,防务技术有限公司,现场测试记录,中国,国防科技网,,2024-10-09,
空天遥感成像技术验证,京公网安备11010802032375号,GB/T 67891,新型遥感成像系统,成像系统,正在进行,第二阶段,技术验证,王中天,地球观察技术研究所,国家遥感中心,2023-06-15,2023-07-01,待定,2024-02-10,京公网安备11010802032375号,930875,项目申报,遥感科技发展有限公司,实验室和现场数据,中国,北京日报,http://www.bjd.com.cn/,2024-10-09,
超音速飞行器气动特性研究,京公网安备11010802032376号,GB/T 34038,超音速飞行器,飞行器系统,完成,第三阶段,性能测试,陆哲,飞行器设计研究院,航空测试中心,2023-08-05,2023-08-20,2023-09-10,2023-09-15,京公网安备11010802032376号,930875,科研项目,超音速科技有限公司,风洞试验数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
空间站实验模块设计测试,"京公网安备11010802098765号,京公网安备11010802123456号,京公网安备11010802134567号,京公网安备11010802145678号,京公网安备11010802156789号,京公网安备11010802167890号,京公网安备11010802178901号,京公网安备11010802189012号,京公网安备11010802190123号,京公网安备11010802201234号",GB/T 83765,空间站实验模块,实验平台,正在进行,第一阶段,设计验证,周恩,中国空间站项目组,空间站技术研究中心,2023-10-01,2023-10-10,待定,2024-01-15,"京公网安备11010802098765号,京公网安备11010802123456号,京公网安备11010802134567号,京公网安备11010802145678号,京公网安备11010802156789号,京公网安备11010802167890号,京公网安备11010802178901号,京公网安备11010802189012号,京公网安备11010802190123号,京公网安备11010802201234号",930875,项目申报,空间技术有限公司,设计分析数据,中国,新华社,http://www.xinhuanet.com/,2024-10-09,
大气层外雷达探测技术实践,"京公网安备11010802045678号,京公网安备11010802056789号,京公网安备11010802067890号,京公网安备11010802078901号,京公网安备11010802089012号",GB/T 87654,外层空间雷达系统,探测系统,完成,第二阶段,技术检验,赵青,空间探测研究院,国家探测中心,2023-09-15,2023-09-20,2023-09-30,2023-10-01,"京公网安备11010802045678号,京公网安备11010802056789号,京公网安备11010802067890号,京公网安备11010802078901号,京公网安备11010802089012号",930875,科研项目,探测科技发展公司,现场测试数据,中国,中国日报,http://www.chinadaily.com.cn/,2024-10-09,
低轨道卫星通信系统测试,空天技术备案号11010802012345,GB/T 83765,低轨道通信卫星,通信系统,完成,第一阶段,技术验证,赵鹏,卫星通信研究所,国家卫星实验室,2023-09-05,2023-09-10,2023-09-20,2023-09-22,空天技术备案号11010802012345,930875,科研项目,卫星科技有限公司,实验室数据,中国,中国科学杂志,,2024-10-09,
空间站环境控制实验,空天技术备案号11010802067890,GB/T 13579,空间站生命支持系统,环境控制系统,正在进行,第二阶段,性能测试,刘雪,空间应用研究中心,国际空间研究院,2023-10-01,2023-10-10,2023-11-01,2023-10-15,空天技术备案号11010802067890,930875,项目申报,航天环境技术公司,现场测试数据,中国,航天科技新闻,,2024-10-09,
高超声速飞行器发射实验,空天技术备案号11010802023456,GB/T 55897,新型高超声速飞行器,发射系统,完成,第三阶段,发射测试,周颖,高超声速实验室,国家航天发射中心,2023-10-05,2023-10-15,2023-10-20,2023-10-25,空天技术备案号11010802023456,930875,科研项目,超声科技有限责任公司,发射记录数据,中国,航天日报,,2024-10-09,
深空探测器传感器实验,空天技术备案号11010802098765,GB/T 86420,深空探测器,探测系统,正在进行,第一阶段,技术验证,马丽,深空探测研究所,国家深空实验室,2023-10-10,2023-10-15,待定,2023-10-20,空天技术备案号11010802098765,930875,技术研发,深空科技集团,实地测试数据,中国,中国航天新闻网,,2024-10-09,
太空碎片监测系统测试,空天技术备案号11010802034567,GB/T 28180,太空监测系统,监测系统,完成,第二阶段,监测测试,王强,空间环境监测中心,国家太空监测台,2023-11-01,2023-11-10,2023-11-20,2023-11-25,空天技术备案号11010802034567,930875,项目申报,航天监测科技有限公司,实验室数据,中国,中国科技发展网,,2024-10-09,
航天器材料强度测试,空天技术备案号11010802045678,GB/T 28191,航天材料实验室,材料测试,完成,第三阶段,实验测试,郑宇,材料科学研究所,国家航天材料中心,2023-12-01,2023-12-05,2023-12-10,2023-12-15,空天技术备案号11010802045678,930875,科研项目,航天材料科技公司,测试记录数据,中国,材料科学杂志,,2024-10-09,
卫星轨道优化实验,空天技术备案号11010802087654,GB/T 35791,卫星轨道优化系统,轨道系统,完成,第一阶段,数据分析,于云,轨道动力研究所,国家轨道实验室,2023-12-05,2023-12-10,2023-12-15,2023-12-20,空天技术备案号11010802087654,930875,科研项目,轨道科技有限公司,实验室数据,中国,中国航天报,,2024-10-09,
空间探测器热真空测试,空天技术备案号11010802013579,GB/T 65582,空间探测器,热真空测试系统,正在进行,第二阶段,性能测试,李静,探测技术研究所,国家实验中心,2023-12-10,2023-12-15,待定,2023-12-18,空天技术备案号11010802013579,930875,项目申报,探测科技集团,实验室数据,中国,中国科技新闻,,2024-10-09,
空天遥感应用实验,空天技术备案号11010802024680,GB/T 87654,空天遥感系统,应用系统,完成,第一阶段,应用测试,张刚,遥感技术研究中心,国家遥感实验室,2023-12-15,2023-12-20,2023-12-25,2023-12-28,空天技术备案号11010802024680,930875,科技项目,遥感科技有限公司,现场测试数据,中国,科技日报,,2024-10-09,
2023-006,空天技术备案号11010802035791,GB/T 03789,月球探测器,探测系统,完成,第一阶段,性能测试,赵敏,月球探测研究所,国家航天局,2023-09-01,2023-09-15,2023-09-30,2023-10-05,空天技术备案号11010802035791,930875,科研项目,深空探测科技有限公司,实验室数据,中国,中国航天新闻网,https://www.cmse.gov.cn/,2024-10-09,
2023-007,京公网安备11010802042367号,GB/T 67891,生物材料实验舱,实验舱,正在进行,第一阶段,生物实验,王静,中国生物研究院,国际空间站,2023-09-05,2023-09-20,待定,2023-10-01,京公网安备11010802042367号,930875,项目申报,空间生物科技公司,国际合作项目数据,美国与中国合作,科学探索网,https://www.science.com/,2024-10-09,
2023-008,京公网安备11010802052368号,GB/T 83765,量子通信卫星,通信系统,完成,第三阶段,技术验证,李鹏,量子科技研究所,国家卫星通信中心,2023-08-20,2023-09-10,2023-09-25,2023-09-30,京公网安备11010802052368号,930875,科研项目,量子科技发展有限公司,测试记录数据,中国,量子科学网,https://www.quantum-science.com/,2024-10-09,
2023-009,京公网安备11010802062369号,GB/T 17281,卫星轨道模拟器,模拟系统,正在进行,第二阶段,数据分析,于强,航天计划与研究中心,国家航天平台,2023-07-15,2023-08-01,待定,2023-10-01,京公网安备11010802062369号,930875,项目申报,航天模拟技术公司,实验室数据,中国,空间科学网,https://www.space-science.cn/,2024-10-09,
2023-010,京公网安备11010802072370号,GB/T 72457,气候监测卫星,监测系统,完成,第一阶段,性能测试,张勇,气候研究协会,国家气象局,2023-08-30,2023-09-10,2023-09-25,2023-09-30,京公网安备11010802072370号,930875,科研项目,气象科技有限公司,实验室数据,中国,中国气象官网,https://www.cma.gov.cn/,2024-10-09,
2023-011,京公网安备11010802082371号,GB/T 40379,卫星姿态控制系统,控制系统,正在进行,第三阶段,技术验证,王阳,卫星导航研究所,国家航天科技公司,2023-02-29,2023-03-05,待定,2024-02-01,京公网安备11010802082371号,930875,科研项目,卫星控科技有限责任公司,实地测试数据,中国,航天科技新闻网,http://www.space-tech.gov.cn/,2024-10-09,
2023-012,京公网安备11010802092372号,GB/T 34038,空间碎片监测系统,监测系统,完成,第二阶段,数据分析,朱浩,空间安全研究中心,国家空间调查局,2023-03-25,2023-04-10,2023-04-30,2023-05-05,京公网安备11010802092372号,930875,科研项目,空间安全科技公司,监测数据,中国,空间安全网,https://www.space-safety.cn/,2024-10-09,
2023-013,京公网安备11010802102373号,GB/T 83766,合成频率发生器,系统工程,正在进行,第一阶段,技术验证,林华,航天电气工程学院,国家设计院,2023-06-12,2023-06-30,待定,2023-07-15,京公网安备11010802102373号,930875,项目申报,航天电气科技公司,设计实验数据,中国,中国航天电气网,http://www.aerospace-electronics.net/,2024-10-09,
2023-014,京公网安备11010802112374号,GB/T 65582,高空实验平台,流体动力实验,完成,第一阶段,性能测试,邓兴,航空动力研究所,国家高空实验室,2023-10-10,2023-10-15,2023-10-30,2023-11-01,京公网安备11010802112374号,930875,科研项目,航空实验科技公司,实验室数据,中国,航空研究网,http://www.aeronautics-research.net/,2024-10-09,
新型空天传感器性能测试,京公网安备11010802122375号,GB/T 34038,空天传感器,传感器系统,完成,第二阶段,性能测试,赵强,空间技术研究院,国家航天实验室,2023-09-15,2023-10-01,2023-10-20,2023-10-25,京公网安备11010802122375号,930875,科研项目,传感科技有限公司,实验室数据,中国,科技时报,http://www.kjrb.com,2024-10-09,
航天大气采样验证实验,京公网安备11010802132376号,GB/T 40379,大气探测系统,探测系统,正在进行,第一阶段,技术验证,孙丽,气象研究所,国家气候中心,2023-09-20,2023-10-10,待定,2023-10-15,京公网安备11010802132376号,930875,项目申报,气象科技公司,现场测试数据,中国,气象网,http://www.weather.com,2024-10-09,
月球基地建设材料性能测试,京公网安备11010802012345号,GB/T 83765,月球建设系统,基础设施,完成,第一阶段,材料测试,杨宇,航天工程公司,国家材料研究所,2023-10-05,2023-10-15,2023-11-05,2023-11-10,京公网安备11010802012345号,930875,科研项目,新材料科技公司,测试记录数据,中国,科技日报,http://www.stdaily.com,2024-10-09,
新型卫星通信系统试验,京公网安备11010802054321号,GB/T 17267,卫星通信系统,通信系统,正在进行,第二阶段,技术验证,高志,国防科技大学,航天通信研究中心,2023-09-30,2023-10-10,待定,2023-10-20,京公网安备11010802054321号,930875,科研项目,卫星科技有限公司,实验室数据,中国,航天新闻,http://www.cnn.com,2024-10-09,
抗辐射材料在太空中的应用研究,京公网安备11010802067890号,GB/T 87654,抗辐射材料系统,材料系统,完成,第一阶段,材料测试,周琳,空间材料研究院,太空技术中心,2023-10-02,2023-10-15,2023-10-25,2023-10-30,京公网安备11010802067890号,930875,科研项目,宇航材料有限公司,实验室数据,中国,材料研究网,http://www.materials.com,2024-10-09,
先进动力技术在航天器中的应用研究,京公网安备11010802098765号,GB/T 72457,动力技术系统,动力系统,正在进行,第二阶段,实验研究,郭峰,航空航天动力研究院,航天动力系统中心,2023-09-25,2023-10-05,待定,2023-10-15,京公网安备11010802098765号,930875,科研项目,航天动力科技有限公司,实验室数据,中国,航天工程实时资讯,http://www.aviationnews.com,2024-10-09,
国际空间站设备改进验证实验,京公网安备11010802045678号,GB/T 55897,空间站装备系统,设备改进,完成,第一阶段,技术验证,田径,国际空间站研究中心,国家宇航局,2023-10-12,2023-10-20,2023-11-02,2023-11-05,京公网安备11010802045678号,930875,国际合作项目,空间科技有限公司,国际合作报告,中国,NASA官网,http://www.nasa.gov,2024-10-09,
高超声速飞行器软着陆实验,京公网安备11010802023456号,GB/T 83760,高超声速飞行器,飞行器,正在进行,第三阶段,飞行测试,何蓉,航天飞行技术研究院,航空实验室,2023-10-15,2023-10-25,待定,2023-11-01,京公网安备11010802023456号,930875,实验项目,飞行器科技有限公司,飞行测试数据,中国,航天产业智库,http://www.spaceindustry.com,2024-10-09,
高超声速飞行器材料适应性测试,京公网安备11010802087654号,GB/T 78121,高超声速飞行器材料,材料测试,完成,第一阶段,材料测试,王刚,材料科学研究院,国家航空材料实验室,2023-08-20,2023-09-01,2023-09-30,2023-10-05,京公网安备11010802087654号,930875,科技项目,高新材料公司,实验室数据,中国,中国材料网,http://www.materials.cn,2024-10-09,
低轨卫星通讯技术性能评估,京公网安备11010802034567号,GB/T 81212,低轨卫星数据传输系统,通讯系统,正在进行,第二阶段,系统评估,赵敏,卫星通讯技术公司,国家卫星中心,2023-09-05,2023-09-15,待定,2023-10-15,京公网安备11010802034567号,930875,项目申报,宇信科技有限公司,现场测试数据,中国,科学技术部,http://www.most.gov.cn,2024-10-09,
月球探测器导航系统试验,京公网安备11010802078901号,GB/T 03172,月球探测器导航系统,导航系统,完成,第三阶段,技术验证,李小华,月球探索研究所,城市科学实验室,2023-06-20,2023-07-10,2023-08-30,2023-09-01,京公网安备11010802078901号,930875,科技项目,月球探测科技有限公司,技术报告,中国,中国航天网,http://www.spacechina.com,2024-10-09,
空天基遥感影像融合实验,京公网安备11010802013579号,GB/T 17281,遥感影像处理系统,数据处理,正在进行,第二阶段,数据融合,周鹏,遥感信息研究院,国家数据融合中心,2023-07-15,2023-08-01,待定,2023-09-10,京公网安备11010802013579号,930875,项目申报,空天信息公司,实地测试数据,中国,科技日报,http://www.stdaily.com,2024-10-09,
火星探测器科学实验装置,京公网安备11010802032367号,GB/T 15837,火星探测器,科学实验,完成,第一阶段,科学实验,孙静,火星探索研究中心,国家火星实验室,2023-05-25,2023-06-15,2023-06-30,2023-07-05,京公网安备11010802032367号,930875,科研项目,空间科技公司,实验室数据,中国,中国科学网,http://www.sciencenet.cn,2024-10-09,
远程无人机监测系统试验,京公网安备11010802032368号,GB/T 38178,无人机监测系统,监测系统,正在进行,第二阶段,系统测试,车刚,无人机技术研究所,无人航空实验室,2023-09-10,2023-09-20,待定,2023-10-10,京公网安备11010802032368号,930875,科技项目,无人机科技有限公司,现场记录数据,中国,航空新闻网,http://www.aviationnews.cn,2024-10-09,
空间站生命保障系统测试,京公网安备11010802032369号,GB/T 15972,空间站生命保障系统,保障系统,完成,第一阶段,系统验证,徐峰,空间站研究院,国家航天局,2023-06-30,2023-07-05,2023-08-15,2023-08-20,京公网安备11010802032369号,930875,科研项目,航天保障公司,实验室分析数据,中国,中国航天科技网,http://www.casc.cn,2024-10-09,
天基量子通信实验,京公网安备11010802032370号,GB/T 83765,量子通信卫星,通信系统,完成,第一阶段,性能测试,黄宇,量子信息研究所,国家量子通信实验室,2023-08-01,2023-08-15,2023-09-01,2023-09-05,京公网安备11010802032370号,930875,项目申报,量子科技有限公司,实验室数据,中国,量子科学网,http://www.quantumnews.cn,2024-10-09,
海洋监测卫星轨道调整试验,京公网安备11010802032371号,GB/T 38179,海洋监测卫星,运动控制,正在进行,第二阶段,轨道测试,于晨,海洋科技研究所,国家海洋局,2023-09-12,2023-09-18,待定,2023-10-01,京公网安备11010802032371号,930875,技术申报,海洋科技公司,轨道追踪数据,中国,中国海洋网,http://www.ocean.gov.cn,2024-10-09,
轨道空间站抗辐射测试,京公网安备11010802032372号,GB/T 78121,国际空间站,空间站,完成,第一阶段,安全性测试,赵强,空间环境研究院,航天研究中心,2023-01-20,2023-02-10,2023-03-15,2023-03-20,京公网安备11010802032372号,930875,科研项目,宇航科技有限公司,测试实验数据,中国,中国航天新闻网,http://www.spacechina.com,2024-10-09,
无人机遥控系统稳定性测试,京公网安备11010802032373号,GB/T 11111,下一代无人机,飞行控制系统,正在进行,第二阶段,性能验证,林玲,无人机研究所,无人机试飞基地,2023-04-10,2023-05-01,待定,2024-03-01,京公网安备11010802032373号,930875,项目申报,未来科技有限公司,现场试验数据,中国,航天日报,http://www.spaceweekly.com,2024-10-09,
半天轨道卫星通信技术验证,京公网安备11010802032374号,GB/T 22222,先进通信卫星,通信系统,完成,第三阶段,技术验证,于刚,卫星技术研究院,通信测试中心,2023-06-15,2023-07-05,2023-08-20,2023-08-25,京公网安备11010802032374号,930875,科研项目,星际通信有限公司,卫星数据记录,中国,中国航天科技发展网,http://www.casc.cn,2024-10-09,
气动加热特性实验,京公网安备11010802032375号,GB/T 33333,热防护系统,热控制系统,完成,第一阶段,热测试,周悦,气动热力学研究所,国家气动实验室,2023-07-20,2023-08-10,2023-09-15,2023-09-20,京公网安备11010802032375号,930875,科研项目,热控科技有限公司,实验室试验记录,中国,中国科学报,http://www.sciencenet.cn,2024-10-09,
高分辨率成像技术测试,京公网安备11010802032376号,GB/T 44444,空间成像卫星,高分辨率成像系统,正在进行,第一阶段,图像获取,马宁,高分资源研究中心,卫星成像实验室,2023-08-30,2023-09-20,待定,2024-01-05,京公网安备11010802032376号,930875,项目申报,高分科技公司,现场成像数据,中国,中国卫星应用网,http://www.csaa.org.cn,2024-10-09,
深空探测器热控制系统测试,"京公网安备11010802098765号,京公网安备11010802087654号,京公网安备11010802054321号,京公网安备11010802123456号,京公网安备11010802013579号",GB/T 55555,深空探测器,探测系统,完成,第二阶段,系统测试,张珊,深空探索实验室,综合测试中心,2023-09-01,2023-10-01,2023-11-10,2023-11-15,"京公网安备11010802098765号,京公网安备11010802087654号,京公网安备11010802054321号,京公网安备11010802123456号,京公网安备11010802013579号",930875,科研项目,宇航热控公司,实验室数据分析,中国,航天科技网,http://www.space-tech.com.cn,2024-10-09,
多功能飞行器气动特性试验,京公网安备11010802032367号,GB/T 66666,智能无人飞行器,测试系统,正在进行,第三阶段,综合测试,李刚,智能飞行研究院,飞行测试基地,2023-11-05,2023-11-20,待定,2024-02-01,京公网安备11010802032367号,930875,项目申报,未来飞行科技有限公司,现场测试记录,中国,中国航空新闻网,http://www.chinaaviationnews.com,2024-10-09,
次声绑定测试及评估,京公网安备11010802032368号,GB/T 77777,次声探测设备,探测系统,完成,第一阶段,技术验证,黄磊,探测技术研究中心,国家探测技术实验室,2023-12-01,2024-01-10,2024-02-15,2024-02-20,京公网安备11010802032368号,930875,科研项目,探测科技公司,实验室测试报告,中国,科技日报,http://www.sciencenet.cn,2024-10-09,
极端环境下生物实验,京公网安备11010802032369号,GB/T 88888,生物实验舱,实验舱,正在进行,第二阶段,生物实验,许瑶,生物科学研究所,空间生物实验室,2024-01-15,2024-02-01,待定,待定,京公网安备11010802032369号,930875,项目申报,生物航天有限公司,实验室数据,中国,中国科学报,http://www.sciencenet.cn,2024-10-09,
未来太空航行材料的耐辐射实验,京公网安备11010802032370号,GB/T 03789,耐辐射材料组件,材料实验,完成,第一阶段,材料测试,赵强,新材料研究所,国家空间实验室,2023-08-20,2023-09-01,2023-09-15,2023-09-20,京公网安备11010802032370号,930875,科研项目,材料科技公司,实验室数据,中国,中国科技网,http://www.cstoday.com,2024-10-09,
低轨卫星组网性能测试,京公网安备11010802032371号,GB/T 87654,低轨卫星导航系统,导航系统,正在进行,第二阶段,技术验证,孙佳,卫星导航研究院,国家航天局,2023-09-05,2023-09-15,待定,2024-01-01,京公网安备11010802032371号,930875,项目申报,卫星科技有限公司,实地测试数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
卫星图像实时处理系统实验,京公网安备11010802032372号,GB/T 08376,实时遥感处理系统,数据处理系统,完成,第三阶段,软件验证,冯宇,遥感技术应用研究所,国家卫星中心,2023-09-10,2023-09-20,2023-10-05,2023-10-10,京公网安备11010802032372号,930875,科研项目,遥感科技公司,实验室数据,中国,中国日报,http://www.chinadaily.com.cn,2024-10-09,
深空探测器电力系统测试,京公网安备11010802032373号,GB/T 11272,深空探测电池系统,电源系统,完成,第一阶段,电力测试,李刚,空间动力研究所,国家电力实验室,2023-09-15,2023-09-25,2023-10-10,2023-10-15,京公网安备11010802032373号,930875,项目申报,深空电力公司,测试记录,中国,光明网,http://www.gmw.cn,2024-10-09,
超高速飞行器气动特性分析,京公网安备11010802032374号,GB/T 27234,高超声速飞行器,实验系统,正在进行,第二阶段,性能测试,王刚,飞行技术研究所,国家航空实验室,2023-09-30,2023-10-10,待定,2024-02-01,京公网安备11010802032374号,930875,科研项目,航空科技有限公司,实验室数据,中国,科技部,https://www.most.gov.cn,2024-10-09,
新型稀土材料在空天器应用测试,京公网安备11010802032375号,GB/T 03789,稀土合金材料,材料测试系统,完成,第一阶段,材料性能测试,张海,稀土材料研究中心,国家材料实验室,2023-09-05,2023-09-15,2023-10-01,2023-10-05,京公网安备11010802032375号,930875,科研项目,稀土科技股份有限公司,实验室数据,中国,中国材料网,http://www.cmp.gov.cn/,2024-10-09,
基于AI的卫星轨道控制系统试验,京公网安备11010802032376号,GB/T 78121,AI轨道控制系统,控制系统,正在进行,第二阶段,系统验证,李华,高科技航天中心,卫星导航实验室,2023-07-20,2023-08-01,待定,2024-02-15,京公网安备11010802032376号,930875,项目申报,新星航天科技,实时数据监测,中国,航天科技网,http://www.spacechina.com/,2024-10-09,
深海无人机空天联动测试,京公网安备11010802032367号,GB/T 34512,无人机联动系统,无人系统,完成,第一阶段,综合性能测试,赵军,深海探索研究院,航空航天行业协会,2023-10-10,2023-10-20,2023-11-15,2023-11-20,京公网安备11010802032367号,930875,科技项目,深海科技有限公司,实地试验数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
空间站载荷管理软件测试,京公网安备11010802032368号,GB/T 12172,载荷管理系统,软件系统,正在进行,第三阶段,软件验证,于刚,航天软件开发中心,国家航天局,2023-06-15,2023-07-01,待定,2024-01-05,京公网安备11010802032368号,930875,项目申报,航天软件有限公司,实验室数据,中国,航天日报,https://www.spaceflightnews.com/,2024-10-09,
火星探测器智能决策系统测试,京公网安备11010802032369号,GB/T 72412,智能决策系统,决策系统,完成,第二阶段,决策响应测试,周磊,火星探测中心,宇航科技公司,2023-09-18,2023-10-01,2023-10-30,2023-11-01,京公网安备11010802032369号,930875,科研项目,火星科技集团,模拟测试数据,中国,太空新闻,https://www.spacenews.com/,2024-10-09,
小型卫星自主成像实验,京公网安备11010802032370号,GB/T 81212,小型卫星成像系统,成像系统,正在进行,第一阶段,成像性能测试,杨洋,小卫星研究所,国家遥感观测中心,2023-08-25,2023-09-05,待定,2024-01-01,京公网安备11010802032370号,930875,科技项目,小型卫星科技,实验室数据,中国,中国科技网,http://www.cast.net.cn/,2024-10-09,
未来空天技术发展趋势研究,京公网安备11010802032371号,GB/T 67858,未来技术研究,趋势分析,完成,第四阶段,趋势研究,孙敏,航天发展研究院,科技咨询公司,2023-05-28,2023-06-15,2023-07-30,2023-08-05,京公网安备11010802032371号,930875,科研项目,未来科技有限公司,市场调研,中国,航天Mobile,http://www.aerospacemobile.com/,2024-10-09,
空中发射平台性能验证实验,京公网安备11010802032372号,GB/T 17267,空中发射平台,发射平台,正在进行,第三阶段,性能测试,韩冰,发射平台研究所,国家航天发射中心,2023-04-14,2023-05-10,待定,2024-01-20,京公网安备11010802032372号,930875,科技项目,航空航天发射集团,实验室数据,中国,航天时报,http://www.aerospace.gov.cn/,2024-10-09,
地月轨道传感器性能测试,京公网安备11010802032373号,GB/T 03789,地月轨道监测系统,监测系统,完成,第一阶段,性能测试,周建华,空间科学实验室,国家空间监测中心,2023-02-10,2023-03-01,2023-04-10,2023-04-15,京公网安备11010802032373号,930875,科研项目,空间科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
新型小型卫星组网实验,京公网安备11010802032374号,GB/T 67812,小型卫星组网系统,卫星系统,正在进行,第二阶段,技术验证,赵丽,小型卫星研究中心,航天科技公司,2023-05-05,2023-06-15,待定,2024-01-05,京公网安备11010802032374号,930875,项目申报,卫星科技有限公司,实地测试数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
沉浸式空天环境模拟实验,京公网安备11010802032375号,GB/T 78121,空天环境模拟系统,模拟系统,完成,第三阶段,环境测试,朱刚,航空航天综合实验室,我国自主航空实验中心,2023-03-20,2023-04-25,2023-05-30,2023-06-01,京公网安备11010802032375号,930875,科研项目,航天环境科技有限公司,实验室数据,中国,中国航空新闻网,http://www.carnet.org.cn/,2024-10-09,
空间站重力波探测实验,京公网安备11010802032376号,GB/T 81212,重力波探测器,探测系统,正在进行,第一阶段,科学实验,于刚,重力波实验室,中国科学技术研究院,2023-04-05,2023-05-15,待定,2024-01-20,京公网安备11010802032376号,930875,科研项目,重力波科技有限公司,科学实验数据,中国,科技部,https://www.most.gov.cn/,2024-10-09,
太空电力系统功能性测试,京公网安备11010802042367号,GB/T 10378,卫星电力管理系统,电力系统,完成,第二阶段,性能测试,李珊,航天电气工程研究所,国家电力响应中心,2023-08-20,2023-09-01,2023-09-20,2023-09-25,京公网安备11010802042367号,930875,项目申报,航天电力控股公司,实验室数据,中国,新华网,http://www.news.cn/,2024-10-09,
空间机器人多任务处理实验,京公网安备11010802052368号,GB/T 03700,空间机器人系统,服务系统,正在进行,第一阶段,功能验证,阮心馨,空间机器人工程研究所,航天智能技术中心,2023-06-15,2023-07-01,待定,2024-01-20,京公网安备11010802052368号,930875,科研项目,机器人技术有限公司,实地测试数据,中国,科技日报,http://www.stdaily.com/,2024-10-09,
深空探测器抗辐射试验,京公网安备11010802062369号,GB/T 83765,深空探测器,探测器,完成,第二阶段,环境测试,陆哲,深空探测管理局,国家航天局,2023-06-25,2023-07-10,2023-08-15,2023-08-20,京公网安备11010802062369号,930875,项目申报,航天技术有限公司,实验室数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
空间载荷实验系统集成测试,京公网安备11010802072370号,GB/T 39700,空间载荷集成系统,载荷系统,正在进行,第三阶段,集成测试,郑宇,载荷工程研究中心,国家航天科技公司,2023-04-20,2023-05-05,待定,2024-01-30,京公网安备11010802072370号,930875,科研项目,载荷科技有限公司,实验室数据,中国,新华网,http://www.news.cn/,2024-10-09,
新型火箭发动机热测试,京公网安备11010802082371号,GB/T 34589,火箭发动机系统,发动机,完成,第一阶段,性能测试,马强,航天推进研究院,国家航天技术研究中心,2023-09-05,2023-09-20,2023-10-15,2023-10-20,京公网安备11010802082371号,930875,科研项目,航天推进科技有限公司,实验室数据,中国,科技日报,https://www.ncsti.gov.cn/,2024-10-09,
空天飞行器热防护材料实验,京公网安备11010802098765号,GB/T 03789,热防护系统,材料测试,完成,第一阶段,材料测试,赵强,材料科学研究院,国家材料分析中心,2023-02-20,2023-03-01,2023-03-15,2023-03-20,京公网安备11010802098765号,930875,科研项目,热防护科技有限公司,实验室数据,中国,中国材料网,http://www.cmat.org.cn,2024-10-09,
轨道空间站结构强度测试,京公网安备11010802012345号,GB/T 67891,空间站模块,结构系统,正在进行,第二阶段,结构测试,李华,空间站建设中心,航天综合研究所,2023-04-10,2023-05-05,待定,2024-02-01,京公网安备11010802012345号,930875,项目申报,空间科技公司,实时监测数据,中国,新华社,http://www.xinhuanet.com,2024-10-09,
微重力下液体动力学研究,京公网安备11010802054321号,GB/T 78121,微重力实验舱,实验舱,完成,第三阶段,科学实验,周静,空间科学研究所,航空航天大学,2023-06-05,2023-06-20,2023-07-05,2023-07-10,京公网安备11010802054321号,930875,科研项目,液体动力科技有限公司,实验室数据,中国,中国科学报,http://www.sciencenet.cn,2024-10-09,
