激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
光纤激光器,1070 nm,40-50%,6000,W,1.4,良好,优秀,一般,金属、塑料、玻璃,中,中型,每年,中等,较便捷,8000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
YAG激光器,1064 nm,22-28%,3500,W,<1.2,优秀,优秀,优秀,厚金属板、合金,高,大型,每年,较高,方便,15000,小时,莱坊德国际公司,https://www.laserline.com,2024-09-25,,
CO2激光器,10.6 µm,7%-9%,800,W,1.6,一般,中等,优秀,塑料、木材、金属,低,大型,每年,中等,一般,6000,小时,美国激光技术学会,https://www.laserbio.org,2024-09-25,,
光纤激光器,1064 nm,32-42%,2000,W,<1.1,优良,良好,优秀,金属、陶瓷、高分子材料,极高,小型,每两年,中等,非常便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
半导体激光器,850-1100 nm,50-60%,1000,W,1.3,优良,优秀,良好,塑料、陶瓷、镀膜材料,低,中型,每年,中等,方便,10000,小时,激光行业协会,https://www.lasers.org,2024-09-25,,
青光激光器,450 nm,25%-35%,800,W,1.1,优秀,优秀,良好,金属板、复合材料,高,中型,每年,较高,较便捷,18000,小时,英特尔激光技术,https://www.intel-laser.com,2024-09-25,,
直流激光器,980 nm,15%-25%,600,W,>1.8,一般,较差,一般,表面处理、标识,中,小型,每半年,较高,较便捷,25000,小时,全球激光科技研究院,https://www.global-laser-institute.com,2024-09-25,,
绿激光器,532 nm,20%-30%,300,W,<2.0,一般,较差,较差,标记、研磨,中,小型,每三年,较低,便捷,5000,小时,中国科技发展报告,https://www.standreports.org,2024-09-25,,
紫外激光器,355 nm,30%-40%,400,W,1.8,一般,中等,优秀,金属、陶瓷,中,大型,每年,中等,一般,10000,小时,中国物理学会,https://www.cps.org.cn,2024-09-25,,
气体激光器,10.6 µm,5%-8%,3500,W,<1.2,优秀,优秀,优秀,金属、塑料、木材,高,小型,每年,较低,非常便捷,25000,小时,国家工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
固体激光器,1064 nm,25%-35%,5000,W,1.8,良好,中等,优秀,非金属、金属切割,中,大型,每年,中等,较便捷,6000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
红外激光器,1064 nm,10%-20%,700,W,1.4,优良,优秀,良好,金属切割、铝合金焊接,高,中型,每年,中等,较便捷,8000,小时,中国激光协会,https://www.cla.org.cn,2024-09-25,,
单频激光器,780 nm,15%-22%,200,W,>2.0,一般,较差,良好,打标、刻蚀,低,小型,每半年,高,便捷,25000,小时,国家电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-25,,
超短脉冲激光器,1030 nm,30%-50%,1000,W,<1.3,优秀,优秀,优秀,金属、合金,中,中型,每年,中等,非常便捷,30000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
二氧化碳激光器,10.6 µm,9%-11%,1200,W,1.6,良好,优良,优秀,金属、复合材料,高,中型,每年,较高,便捷,12000,小时,国际激光科学与工程学会,https://www.lasermeetings.org,2024-09-25,,
钕激光器,1064 nm,15%-25%,1500,W,1.6,一般,较好,一般,非金属、塑料,低,大型,每年,中等,便捷,4000,小时,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-25,,
半导体激光器,850-980 nm,45%-55%,700,W,<1.4,优秀,优良,良好,金属、陶瓷、玻璃,高,小型,每年,较低,非常便捷,22000,小时,国家新材料产业发展领导小组办公室,https://www.nmp.gov.cn,2024-09-25,,
固体激光器,532 nm,25%-35%,800,W,>1.5,一般,较差,良好,打标、焊接,中,小型,每半年,高,便捷,28000,小时,半导体工业协会,https://www.sematech.org,2024-09-25,,
紫外激光器,355 nm,20%-30%,400,W,<1.2,优良,优秀,良好,金属、塑料,中,中型,每年,中等,较便捷,10000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
石榴激光器,10.44 µm,5%-8%,900,W,>1.5,一般,中等,优良,木材、塑料,低,大型,每年,中等,较便捷,8000,小时,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-25,,
蓝光激光器,445 nm,25%-35%,600,W,<1.5,优秀,优良,中等,塑料、玻璃,高,小型,每年,较低,非常便捷,15000,小时,企业技术中心,https://www.tech.gov.cn,2024-09-25,,
相控激光器,520 nm,10%-15%,1750,W,<1.5,优良,优秀,优良,塑料、陶瓷,高,中型,每年,较高,便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
绿色激光器,532 nm,15-25%,800,W,1.8,一般,良好,优秀,金属、非金属,低,大型,每年,高,较复杂,7000,小时,国际激光制造协会,https://www.ilm.org,2024-09-25,,
蓝色激光器,450 nm,20-35%,1500,W,<1.3,优良,优秀,良好,大多数金属、塑料,高,中型,每年,中等,便捷,15000,小时,中国机械工业联合会,https://www.cmif.org,2024-09-25,,
光谱激光器,780 nm,10-18%,600,W,1.2,优良,良好,较差,金属、混合材料,中,小型,每半年,低,较便捷,9000,小时,全国激光研究院,https://www.laser-research.cn,2024-09-25,,
DIODE激光器,900-1000 nm,30-45%,300,W,<1.1,优良,中等,优秀,金属、陶瓷,高,小型,每年,中等,非常便捷,12000,小时,中国光电产业技术创新战略联盟,https://www.optical-innovation.org.cn,2024-09-25,,
激光增材制造器,1070 nm,25-35%,4000,W,<1.5,优秀,优良,优良,金属、复合材料,高,中型,每年,较高,便捷,20000,小时,中国激光技术研究中心,https://www.laser-research-center.cn,2024-09-25,,
低功率激光器,650 nm,5-10%,200,W,1.4,优良,中等,优异,木材、塑料、金属,中,大型,每年,中等,较便捷,6000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
高功率CO2激光器,10.6 µm,10-15%,5000,W,1.8,良好,优秀,良好,金属、陶瓷,中,中型,每年,中等,较便捷,9000,小时,中国工信部,https://www.miit.gov.cn,2024-09-25,,
超快激光器,1030 nm,40-50%,500,W,<1.4,优秀,优良,优秀,金属、塑料,高,小型,每年,较低,非常便捷,25000,小时,科技部,https://www.most.gov.cn,2024-09-25,,
量子点激光器,940 nm,30-40%,2500,W,>1.6,良好,中等,良好,打标、刻字,低,小型,每半年,中等,便捷,50000,小时,工业技术研究院,https://www.iri.org.cn,2024-09-25,,
双波长激光器,1064 nm & 532 nm,15-25%,1500,W,1.9,良好,中等,优良,金属、玻璃、塑料,中,中型,每年,中等,较便捷,12000,小时,中国激光技术研究所,https://www.cltri.org.cn,2024-09-25,,
绿激光器,532 nm,25-35%,600,W,2,优良,良好,优秀,纸、塑料、皮革,低,小型,每年,较高,便捷,8000,小时,中国激光产业技术创新战略联盟,https://www.clit.org.cn,2024-09-25,,
紫外激光器,355 nm,30-45%,1000,W,1.3,优良,较差,一般,非金属,低,中型,每年,中等,较便捷,7000,小时,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,
掺镱光纤激光器,1070 nm,35-45%,5000,W,1,良好,中等,良好,纸、塑料,低,小型,每年,中低,较便捷,10000,小时,国内激光科研机构,http://www.laser-research.org.cn,2024-09-25,,
氩气激光器,488 nm,10-15%,300,W,1.4,良好,优秀,优良,金属、陶瓷,中,中型,每年,中等,便捷,15000,小时,新兴激光技术研究中心,https://www.elite-laser.com,2024-09-25,,
激光切割机,1064 nm,20-28%,4000,W,1.8,良好,良好,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
陶瓷激光器,450 nm,25-35%,800,W,1.4,优良,优秀,良好,金属、陶瓷,高,小型,每年,较低,非常便捷,18000,小时,中国电子材料行业协会,https://www.sem.org.cn,2024-09-25,,
波长可调激光器,400-1000 nm,20-40%,1200,W,1.2,一般,中等,中等,金属、非金属,低,大型,每年,中等,较便捷,10000,小时,中国激光技术研究院,https://www.cltri.org.cn,2024-09-25,,
三维激光器,980 nm,15-25%,2000,W,>2.0,一般,较差,优秀,打标、表面处理,高,小型,每半年,中等,便捷,25000,小时,中国半导体激光器产业联盟,https://www.iclaser.org,2024-09-25,,
半导体激光器,700-900 nm,35-45%,800,W,1.3,优秀,优秀,优秀,金属合金、复合材料,中,中型,每年,较高,较便捷,15000,小时,国家增材制造技术创新中心,https://www.additiveinnovation.cn,2024-09-25,,
光纤激光器,1070 nm,32-42%,4000,W,1.9,一般,较差,中等,塑料、表面处理,低,小型,每半年,较低,便捷,5000,小时,国家光电技术标准化技术委员会,https://www.standards.org.cn,2024-09-25,,
YAG激光器,1064 nm,15-25%,3000,W,1.7,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,较便捷,12000,小时,国际激光工业协会,https://www.ilia.org,2024-09-25,,
交替弧激光器,850 nm,25-35%,1200,W,<1.0,优良,优秀,优秀,金属、陶瓷、塑料,高,中型,每年,较高,便捷,10000,小时,中国科学院物理研究所,https://www.iphy.ac.cn,2024-09-25,,
量子点激光器,940 nm,50-65%,700,W,1.6,良好,中等,优秀,金属、非金属,中,中型,每年,中等,较便捷,15000,小时,中国量子科技产业发展联盟,https://www.qsd.org.cn,2024-09-25,,
固体激光器,532 nm,20-30%,900,W,1.3,良好,中等,优秀,金属切割、镀层,中,中型,每年,较高,较便捷,12000小时,小时,中国激光协会,https://www.cla.org.cn,2024-09-25,,
蓝光激光器,445 nm,25-35%,2000,W,<1.5,优良,优秀,良好,金属、塑料,高,小型,每年,中等,较便捷,8000小时,小时,国际激光产业协会,https://www.laserindustry.org,2024-09-25,,
紫外激光器,355 nm,30-40%,600,W,1,优良,优秀,优秀,高分子、金属,高,小型,每年,较低,非常便捷,15000小时,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
绿色激光器,532 nm,30-40%,800,W,<1.2,优秀,优良,良好,金属、陶瓷,高,大型,每年,较低,较便捷,20000小时,小时,中国光纤激光产业协会,https://www.cflia.org,2024-09-25,,
光谱激光器,589 nm,20-25%,1200,W,>1.8,一般,中等,较差,表面处理、打标,中,小型,每半年,较高,较便捷,4000小时,小时,激光技术研究所,https://www.lasertech.com.cn,2024-09-25,,
超短激光器,800 nm,15-25%,500,W,1.5,优良,优秀,良好,金属、合金,高,中型,每年,中等,非常便捷,10000小时,小时,中国制造协会,https://www.cma.org.cn,2024-09-25,,
绿光固体激光器,532 nm,22-30%,3500,W,1,优良,良好,优秀,非金属、陶瓷,中,大型,每年,中等,较便捷,5000小时,小时,陶瓷科学技术研究院,https://www.ceramics.org.cn,2024-09-25,,
红外激光器,10600 nm,10-15%,4000,W,1.5,良好,中等,良好,金属、非金属,中,中型,每年,较高,便捷,8000小时,小时,中国科学院,https://www.cas.cn,2024-09-25,,
高功率激光器,1070 nm,30-35%,5000,W,1.4,优良,优秀,优良,金属、塑料、复合材料,中,大型,每年,中等,非常便捷,15000小时,小时,国家制造业创新中心,https://www.nmic.org.cn,2024-09-25,,
纳秒激光器,355 nm,18-28%,900,W,>2.0,一般,良好,优良,金属、塑料,中,小型,每年,高,便捷,25000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
造纸激光器,1064 nm,20-22%,700,W,1.4,优良,中等,良好,非金属、塑料焊接,低,大型,每年,中等,较便捷,6000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
绿激光器,532 nm,25-35%,1800,W,<1.4,优秀,优秀,优秀,金属、陶瓷、玻璃,高,中型,每年,中等,非常便捷,21000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
镭射晶体激光器,1064 nm,15-25%,1500,W,1.1,良好,优良,优良,金属切割、焊接、打标,高,中型,每年,较高,较便捷,12000,小时,电子科技大学,https://www.uestc.edu.cn,2024-09-25,,
超短脉冲激光器,800 nm,25-40%,1000,W,2,一般,良好,良好,金属、合金,中,中型,每年,中等,便捷,8000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
蓝光激光器,445 nm,30-50%,2500,W,1.8,优良,优良,优良,塑料、金属,中,小型,每年,较高,非常便捷,35000,小时,中国科学院物理研究所,https://www.iphy.ac.cn,2024-09-25,,
高功率二氧化碳激光器,10.6 µm,10-12%,5000,W,1.5,良好,中等,良好,金属、塑料,中,大型,每年,中等,便捷,15000,小时,上海交通大学,https://www.sjtu.edu.cn,2024-09-25,,
氮化物激光器,390 nm,20-30%,700,W,1.3,优良,优良,优秀,金属、非金属,高,中型,每年,中等,便捷,18000,小时,天津大学,https://www.tju.edu.cn,2024-09-25,,
石墨激光器,1064 nm,12-22%,1200,W,1.2,优良,优良,良好,塑料、陶瓷,低,小型,每半年,高,非常便捷,30000,小时,中国光学学会,https://www.optics.org.cn,2024-09-25,,
紫外激光器,355 nm,30-40%,1500,W,<1.2,优秀,优秀,良好,塑料、玻璃、金属,中,中型,每年,较高,较便捷,10000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
高能量脉冲激光器,1064 nm,22-35%,4000,W,1.3,良好,中等,优秀,金属、陶瓷、树脂,高,小型,每年,中等,非常便捷,15000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
Yb激光器,1030 nm,25%-35%,4000,W,1.5,一般,较差,良好,非金属、金属焊接,中,中型,每季度,较低,较便捷,8000,小时,工业激光资讯网,https://www.industrial-laser.com,2024-09-25,,
绿激光器,532 nm,15%-20%,200,W,<1.0,优良,优秀,优秀,高分子材料、金属,高,大型,每年,高,方便,30000,小时,中国激光技术联盟,https://www.cltc.org.cn,2024-09-25,,
重复频率激光器,1064 nm,20%-28%,3000,W,1.2,优良,中等,优秀,金属、非金属,中,小型,每年,中等,便捷,20000,小时,中国工程院,https://www.cae.cn,2024-09-25,,
蓝光激光器,445 nm,30%-35%,800,W,1.4,良好,优秀,中等,非金属,低,大型,每年,高,较便捷,15000,小时,国家激光标准化技术委员会,https://www.clsta.org,2024-09-25,,
量子点激光器,490 nm,25%-30%,600,W,<1.2,优良,优秀,优秀,金属切割、焊接,高,大型,每年,中等,方便,18000,小时,激光与光电子技术杂志,https://www.journaloflasers.com,2024-09-25,,
单模激光器,1550 nm,40%-50%,100,W,1.7,一般,中等,中等,塑料、金属,中,中型,每半年,较高,方便,12000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
高功率激光器,10.4 µm,15%-20%,6000,W,1.1,良好,优秀,良好,纸张、金属,低,小型,每年,较低,非常便捷,15000,小时,中国纸业协会,https://www.cpci.org,2024-09-25,,
气体激光器,488 nm,10%-15%,300,W,1.1,优秀,良好,一般,塑料、金属,中,中型,每年,中等,较便捷,8000,小时,绿色科技研讨会,https://www.greentechconference.org,2024-09-25,,
工业超快激光器,1030 nm,50%-60%,5000,W,1.8,一般,中等,优秀,金属、陶瓷,高,大型,每年,较高,一般,7000,小时,材料科学期刊,https://www.materialsjournal.com,2024-09-25,,
绿色激光器,532 nm,15%-25%,1500,W,<1.3,优秀,优秀,优秀,金属、陶瓷、薄膜,高,小型,每年,中等,非常便捷,5000,小时,激光与光电子应用研究所,https://www.laserresearch.gov,2024-09-25,,
紫外激光器,355 nm,18%-22%,800,W,1.5,良好,良好,中等,塑料、金属,高,大型,每年,低,便捷,15000,小时,先进激光技术协会,https://www.advancedlasers.org,2024-09-25,,
钕激光器,1064 nm,10%-20%,700,W,1.2,优良,优秀,良好,金属、复合材料,低,大型,每年,高,较便捷,6000,小时,机械工程与制造学会,https://www.mem.org.cn,2024-09-25,,
激光二极管,800-850 nm,50%-60%,300,W,1.4,良好,一般,一般,塑料、金属,中,中型,每年,中等,较便捷,3000,小时,半导体激光技术公司,https://www.semiconductorlasers.com,2024-09-25,,
2600nm红外激光器,2.6 µm,8%-12%,1200,W,1.6,中等,良好,一般,金属、薄膜,中,小型,每半年,较高,便捷,4000,小时,光电技术协会,https://www.optoelec.org,2024-09-25,,
高功率脉冲激光器,1064 nm,20%-28%,5000,W,1.1,优良,优秀,良好,金属、塑料,高,大型,每年,较低,非常便捷,10000,小时,激光应用研究与开发中心,https://www.laserapplications.org,2024-09-25,,
超短脉冲激光器,800 nm,25%-35%,600,W,1.3,优秀,优秀,优秀,金属、陶瓷,高,中型,每年,中等,便捷,12000,小时,激光技术与应用杂志,https://www.lasertechjournal.com,2024-09-25,,
铝激光器,980 nm,22%-30%,2500,W,<1.2,优秀,良好,优秀,光敏材料、塑料,低,中型,每年,中等,较便捷,10000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
固体激光器,1064 nm,25-35%,1500,W,<1.4,优秀,优秀,优秀,金属、陶瓷,中,大型,每年,中等,便捷,15000,小时,国家能源局,https://www.nea.gov.cn,2024-09-25,,
紫外激光器,355 nm,15-20%,800,W,>2.0,一般,较差,良好,塑料、玻璃,中,小型,每半年,较高,较便捷,5000,小时,中国光电行业协会,https://www.cipa.org.cn,2024-09-25,,
激光二极管,660 nm,50-60%,200,W,<1.8,优良,良好,优秀,金属、合金,高,中型,每年,偏高,便捷,12000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
多波长激光器,532 nm to 1064 nm,30-45%,2500,W,<1.6,良好,中等,良好,塑料、金属,中,小型,每年,中等,非常便捷,8000,小时,国家发改委,https://www.ndrc.gov.cn,2024-09-25,,
脉冲激光器,1064 nm,10-15%,500,W,<1.4,优秀,良好,良好,塑料、陶瓷,中,小型,每年,偏高,较便捷,9000,小时,光电科技发展研究院,https://www.optoelec.gov.cn,2024-09-25,,
小型化激光器,940 nm,45-50%,300,W,<1.0,优良,良好,优秀,光纤、金属,低,小型,每半年,中等,非常便捷,20000,小时,国家通信局,https://www.miit.gov.cn,2024-09-25,,
基于增材制造的激光器,1070 nm,25-30%,1800,W,<1.5,良好,优秀,优良,金属、复合材料,高,大型,每年,较高,较便捷,8000,小时,中科院物理所,https://www.iphy.ac.cn,2024-09-25,,
高功率激光器,1064 nm,35-45%,5000,W,>2.0,一般,中等,差,塑料、纸张,低,中型,每半年,高,不便捷,5000,小时,中国激光协会,https://www.cla.org.cn,2024-09-25,,
增材制造专用激光器,1064 nm,30-38%,3500,W,<1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,高,大型,每年,偏高,便捷,12000,小时,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,
绿色激光器,532 nm,25-35%,1500,W,1.8,良好,中等,良好,金属、陶瓷,中,中型,每年,中等,较便捷,8000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
Yb激光器,1030 nm,28-38%,4000,W,1,优秀,优秀,良好,塑料、金属、玻璃,高,小型,每年,较高,非常便捷,12000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
固体激光器,1064 nm,18-25%,3000,W,<1.3,优秀,优良,非常优秀,金属、铝合金,高,小型,每年,低,非常便捷,25000,小时,国际激光商会,https://www.worldlaser.org,2024-09-25,,
高功率气体激光器,10.3 µm,6-8%,8000,W,1.5,一般,中等,一般,非金属、金属,中,大型,每年,高,一般,6000,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
高亮度激光器,450 nm,30-50%,2500,W,>2.0,一般,较差,优良,表面处理、打标,中,小型,每半年,中等,较便捷,20000,小时,中国半导体激光产业协会,https://www.csla.org.cn,2024-09-25,,
频率倍增激光器,532 nm,20-30%,1200,W,1.4,优良,良好,良好,复杂合金材料,中,中型,每年,中等,便捷,7000,小时,国家激光研究中心,https://www.nrlc.gov.cn,2024-09-25,,
超快激光器,800 nm,25-35%,1500,W,1,优良,优秀,优秀,硬质合金、金属,高,大型,每年,高,较便捷,15000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
绿激光器,532 nm,15-20%,300,W,0.9,优秀,优良,良好,陶瓷、塑料,中,中型,每年,中等,非常便捷,10000,小时,中国科学院光电技术研究所,https://www.ioe.ac.cn,2024-09-25,,
激光切割机,1070 nm,30-40%,10000,W,1.2,中等,良好,优秀,铝、镁材料,高,中型,每年,较高,便捷,9000,小时,中国材料科学研究院,https://www.materials.gov.cn,2024-09-25,,
紫外激光器,355 nm,10-15%,500,W,1.8,良好,优秀,优秀,金属、非金属,中,中型,每年,中等,便捷,12000,小时,国家激光技术研究中心,https://www.nationalift.org,2024-09-25,,
脉冲激光器,10600 nm,12-18%,2000,W,1.4,优良,优良,优秀,塑料、金属,高,小型,每年,中等,较便捷,7000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
分布反馈激光器,1550 nm,20-25%,250,W,>2,一般,差,良好,打标、表面处理,中,微型,每半年,较高,非常便捷,15000,小时,激光技术产业协会,https://www.laserassociation.org,2024-09-25,,
钕激光器,1064 nm,25-35%,800,W,1.3,优良,优秀,良好,金属、塑料,高,大型,每年,中等,相对便捷,18000,小时,先进激光技术公司,https://www.advancedlasertech.com,2024-09-25,,
陶瓷激光器,940 nm,15-20%,1500,W,1.6,一般,良好,优秀,金属焊接、打标,中,中型,每年,中等,便捷,10000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
蓝色激光器,450 nm,20-30%,450,W,<2.0,优良,一般,良好,微加工,低,微型,每半年,较高,非常便捷,6000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
青光激光器,450 nm,30%-35%,800,W,1,优良,优秀,优秀,金属,高,大型,每年,中等,便捷,15000,小时,中国增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,2024-09-25,,
绿激光器,532 nm,15%-25%,700,W,1.1,优秀,优良,优秀,金属切割、焊接,高,中型,每年,较高,较便捷,20000,小时,国家能源局,https://www.nea.gov.cn,2024-09-25,,
紫外激光器,355 nm,20%-28%,1200,W,1.2,优良,优秀,良好,金属、合金,高,中型,每年,中等,便捷,16000,小时,工业署,https://www.mi.gov.cn,2024-09-25,,
超短脉冲激光器,780 nm,25%-35%,400,W,1.3,良好,较好,优秀,金属、塑料,中,中型,每年,较中等,便捷,8000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
纳秒激光器,1064 nm,18%-25%,2500,W,<1.5,优秀,优秀,良好,电子元件、塑料,高,小型,每年,较高,非常便捷,15000,小时,电子技术应用网,https://www.eea.com.cn,2024-09-25,,
碳纤维激光器,10.2 µm,12%-15%,500,W,<1.3,优秀,优秀,优秀,金属、复合材料,高,中型,每两年,较低,方便,25000,小时,工业激光应用杂志,https://www.industrial-lasers.com,2024-09-25,,
合金激光器,980 nm,22%-30%,900,W,1.6,优良,优秀,良好,非金属、木材,低,大型,每年,中等,较便捷,6000,小时,全国激光技术推广中心,https://www.laser.gov.cn,2024-09-25,,
多波长激光器,"488 nm, 532 nm, 1064 nm",15%-22%,1200,W,1.4,良好,较好,优秀,金属、合金,高,中型,每年,高,便捷,18000,小时,激光与光电子技术杂志,https://www.laserjournal.org,2024-09-25,,
增材制造激光器,1064 nm,25%-30%,1500,W,1.5,一般,中等,良好,金属、玻璃,中,大型,每年,中等,便捷,12000,小时,中国激光技术论坛,https://www.chinalaserforum.com,2024-09-25,,
二氧化碳激光器,10.6 µm,10%-12%,1500,W,2,中等,优秀,较好,金属、塑料,低,大型,每年,高,较便捷,7500,小时,激光制造与应用研究,https://www.laser-manufacturing-research.com,2024-09-25,,
YAG激光器,1064 nm,25%-35%,5000,W,1.2,优秀,良好,优秀,合金、复合材料,高,小型,每六个月,中等,非常便捷,9000,小时,激光技术开发公司,https://www.lasertech.cn,2024-09-25,,
半导体激光器,850 nm,45%-55%,300,W,1.1,优秀,优秀,良好,金属、陶瓷,中,中型,每年,较高,便捷,7000,小时,深圳激光技术协会,https://www.szlaser.org.cn,2024-09-25,,
紫外激光器,355 nm,20%-25%,800,W,<1.1,优良,优秀,尚可,金属、塑料、玻璃,高,中型,每年,较高,便捷,8000,小时,国家纳米科学与技术中心,https://www.nano.gov.cn,2024-09-25,,
新型碳化硅激光器,980 nm,30%-35%,2500,W,1.8,良好,一般,优秀,有机材料、木材,中,小型,每年,中等,便捷,5000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
固态激光器,540 nm,15%-20%,4000,W,<1.2,优秀,优秀,良好,金属材料,高,大型,每半年,较低,非常便捷,15000,小时,中国激光产业网,https://www.chinelasernet.com,2024-09-25,,
脉冲激光器,532 nm,50%-60%,1000,W,1.3,良好,优秀,一般,光敏材料、塑料,低,中型,每年,高,便捷,6000,小时,中国材料研究所,https://www.mse.edu.cn,2024-09-25,,
激光切割机,1064 nm,22%-28%,6000,W,2,一般,中等,良好,塑料、泡沫,低,大型,每年,中等,便捷,7000,小时,激光科技发展中心,https://www.laser.gov.cn,2024-09-25,,
绿色激光器,532 nm,15%-20%,600,W,1.5,优良,较良好,优秀,光纤、光电设备,中,小型,每年,中等,较便捷,12000,小时,光纤通信产业协会,https://www.ofc.org,2024-09-25,,
激光增材制造器,1070 nm,30%-35%,1000,W,1.4,优良,较好,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,10000,小时,中国激光产业研究中心,https://www.lasertech.org.cn,2024-09-25,,
蓝光激光器,450 nm,20%-28%,800,W,1.6,良好,中等,良好,金属、陶瓷,中,中型,每年,中等,便捷,9000,小时,陶瓷技术与应用研究所,https://www.ceramictech.org,2024-09-25,,
新型钕激光器,1064 nm,28%-38%,2500,W,1.9,良好,中等,优良,电子元器件、塑料,低,小型,每年,较高,便捷,4000,小时,消费电子协会,https://www.ceassociation.org,2024-09-25,,
高功率CO2激光器,10.6 µm,10%-12%,4500,W,<1.2,优秀,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,15000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
便携式激光焊接机,1080 nm,15%-18%,1000,W,1.8,良好,良好,中等,非金属、打标,中,小型,每年,中等,便捷,8000,小时,激光制造技术杂志,https://www.lasertechjournal.com,2024-09-25,,
超短脉冲激光器,800 nm,30%-45%,200,W,<1.3,优秀,优秀,优良,陶瓷、复合材料,低,中型,每年,较高,较便捷,10000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
转盘激光器,1064 nm,17%-22%,1200,W,<1.0,优秀,优秀,优秀,金属、塑料、陶瓷,高,大型,每年,中等,非常便捷,12000,小时,国际激光与光学联合会,https://www.ilfo.org,2024-09-25,,
YAG激光器,1064 nm,25-35%,2500,W,1.6,良好,优质,良好,金属、塑料,中,中型,每年,较高,便捷,9000,小时,中国工业研究院,https://www.ciri.org.cn,2024-09-25,,
半导体激光器,750-980 nm,45-55%,800,W,2,中等,中等,较差,复合材料、打标,低,小型,每半年,较高,较便捷,7000,小时,中国复合材料协会,https://www.acms.org.cn,2024-09-25,,
紫外激光器,355 nm,12-15%,500,W,1.5,优良,良好,优质,金属、加合材料,高,中型,每年,中等,便捷,11000,小时,清华大学材料科学研究院,https://www.mse.tsinghua.edu.cn,2024-09-25,,
钕激光器,1060 nm,30-35%,1500,W,1.2,良好,优良,良好,金属、非金属,中,大型,每年,较高,便捷,8000,小时,中国电子学会,https://www.ice.org.cn,2024-09-25,,
绿色激光器,532 nm,25-30%,700,W,<1.5,优秀,中等,优良,金属粉末,高,大型,每6个月,较高,非常便捷,15000,小时,国家增材制造工程研究中心,https://www.additivecn.org,2024-09-25,,
蓝光激光器,445 nm,20-25%,1000,W,1.3,优秀,高,良好,金属切割、塑料焊接,中,大型,每年,中等,便捷,6000,小时,中国制造业协会,https://www.cma.org.cn,2024-09-25,,
超高速激光器,515 nm,35-45%,2000,W,<1.2,优秀,优秀,非常优秀,金属、塑料,高,小型,每年,较低,非常便捷,25000,小时,福布斯科技,https://www.forbes.com/technology,2024-09-25,,
双波长激光器,1064 nm / 532 nm,25%-35%,1200,W,1.5,良好,优良,优秀,金属、复合材料,高,中型,每年,较高,较便捷,12000,小时,中国激光技术协会,https://www.clta.org.cn,2024-09-25,,
绿色激光器,532 nm,20%-30%,750,W,>1.8,一般,一般,良好,打标、刻蚀,中,小型,每半年,高,便捷,35000,小时,电子科技部,https://www.miit.gov.cn,2024-09-25,,
