细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光冷却,深圳市三维激光技术有限公司,250,1-5000,10-600,12,≤1.3,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打孔,东莞光达激光科技有限公司,350,1-7000,5-400,8,<1.7,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,宁波佳能激光技术有限公司,450,1-3500,15-550,18,≤1.4,浙江省质量技术监督局,https://www.zjqts.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,武汉锐科激光技术股份有限公司,180,1-3000,8-250,3,≤1.6,湖北省科学技术厅,https://www.hbstd.gov.cn,2024-09-25,,,,,,,,,,
激光微加工,成都新光激光技术公司,200,1-8000,1-500,5,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光修复,天津迅捷激光科技有限公司,400,1-6000,10-400,10,≤1.3,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光精雕,厦门光谱激光技术有限公司,330,1-4500,7-300,7,≤1.5,福建省科技厅,https://www.fjst.gov.cn,2024-09-25,,,,,,,,,,
激光熔覆,哈尔滨普林斯激光科技有限公司,600,1-2000,20-500,25,<1.2,黑龙江省科技厅,http://www.hljst.gov.cn,2024-09-25,,,,,,,,,,
激光探伤,青岛中科激光技术有限公司,280,1-3600,3-400,4,≤1.4,山东省质量技术监督局,https://www.sdqts.gov.cn,2024-09-25,,,,,,,,,,
激光美容,广州美尚激光科技有限公司,100,1-5000,5-200,1,<1.8,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光电技术有限公司,350,1-5000,10-450,20,≤1.2,中国激光加工技术学会,https://www.clang.org.cn,2024-09-25,,,,,,,,,,
激光精密加工,广州越秀激光设备有限公司,400,1-7000,15-300,12,<1.5,广东省科技厅,https://www.stc.gd.gov.cn,2024-09-25,,,,,,,,,,
激光打标,深圳市美激光科技有限公司,250,1-4500,5-250,10,≤1.6,深圳高新技术企业协会,https://www.szhightech.org,2024-09-25,,,,,,,,,,
激光清洗,成都光环激光科技有限公司,180,1-2200,5-250,3,≤1.3,四川省科学院,https://www.scasi.org,2024-09-25,,,,,,,,,,
激光焊接,杭州市激光科技有限公司,600,1-3600,10-400,8,≤1.4,浙江省发展和改革委员会,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,西安华光激光有限公司,500,1-2500,20-500,6,≤1.5,陕西省科技厅,https://www.sxtc.gov.cn,2024-09-25,,,,,,,,,,
激光3D打印,天津市激光科技集团,550,1-3200,15-450,9,≤1.3,天津市工业和信息化局,https://www.tj.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,南京华晨激光医疗设备公司,200,1-1500,10-300,4,<1.4,江苏省卫生健康委员会,https://www.jshw.gov.cn,2024-09-25,,,,,,,,,,
激光检测,福州超越激光科技有限公司,220,1-4000,8-350,5,<1.6,福建省质监局,https://www.fjqs.gov.cn,2024-09-25,,,,,,,,,,
激光能源,哈尔滨光明激光科技有限公司,700,1-6000,20-500,25,≤1.3,黑龙江省科技厅,https://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳光电科技有限公司,350,1-5000 kHz,10-400 ns,20,≤1.2,广东省市场监督管理局,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉精锐激光有限公司,400,1-7000 kHz,5-350 ns,25,<1.5,全国激光技术应用与研究中心,https://www.claser.org.cn,2024-09-25,,,,,,,,,,
激光打标,杭州智光激光技术公司,250,1-4500 kHz,3-600 ns,>3,≤1.4,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,重庆锐境激光科技有限公司,180,1-2500 kHz,5-200 ns,>1.8,≤1.3,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,福州新光激光设备制造有限公司,550,1-3500 kHz,10-450 ns,>6,≤1.5,福建省科技厅,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光制造,昆明金智科技有限公司,320,1-6200 kHz,9-500 ns,15,≤1.6,云南省经济和信息化委员会,https://www.yn.gov.cn,2024-09-25,,,,,,,,,,
激光打标,沈阳光辉激光科技有限公司,210,1-4700 kHz,6-300 ns,>2.5,≤1.4,辽宁省质量技术监督局,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京先锋激光有限公司,160,1-2200 kHz,4-250 ns,>1.2,≤1.1,江苏省科技厅,https://www.js.gov.cn,2024-09-25,,,,,,,,,,
激光加工,西安睿德激光有限公司,450,1-6800 kHz,8-450 ns,30,<1.7,陕西省科学技术厅,https://www.sn.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,广州迅维激光科技股份有限公司,600,1-4000 kHz,12-500 ns,>7,≤1.3,广州市科学技术局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华韵科技股份有限公司,400,1-5000 kHz,5-600 ns,20,≤1.5,中国光学学会,https://www.cos.gov.cn,2024-09-25,,,,,,,,,,
激光检测,广州虹润激光科技有限公司,350,1-4500 kHz,10-300 ns,12,<1.6,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州铂光科技有限公司,250,1-2500 kHz,5-400 ns,3,≤1.4,中国机械工业联合会,http://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光加工,天津东软激光技术公司,500,1-6000 kHz,5-500 ns,25,≤1.3,中国科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打标,上海光傲激光器有限公司,100,1-3000 kHz,2-200 ns,1.5,<1.7,国家知识产权局,https://www.cnipa.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京强能激光科技有限公司,600,1-4000 kHz,10-350 ns,18,≤1.2,中国电子技术标准化研究院,http://www.cesi.cn,2024-09-25,,,,,,,,,,
激光设备,重庆金刚激光科技有限公司,450,1-5500 kHz,8-600 ns,22,<1.4,中国工业经济联合会,http://www.ciea.org.cn,2024-09-25,,,,,,,,,,
激光制造,武汉启明星激光设备有限公司,350,1-3000 kHz,5-400 ns,10,≤1.6,中国研究型院校,http://www.nas.edu.cn,2024-09-25,,,,,,,,,,
激光清洗,洛阳激光创新科技有限公司,180,1-2000 kHz,3-250 ns,5,<1.5,中国专家网,http://www.zgzyw.com,2024-09-25,,,,,,,,,,
激光检测,山东维尔激光技术有限公司,320,1-5000 kHz,10-350 ns,15,≤1.3,中国光产业发展网,http://www.cogd.org.cn,2024-09-25,,,,,,,,,,
激光打标,西安锐阳激光技术有限公司,250,1-5000,5-450,20,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉光谱激光科技有限公司,180,1-6000,2-400,3,≤1.4,中国科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京新兴激光系统有限公司,600,1-2500,10-300,4,≤1.5,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光加工,浙江国立激光科技有限公司,280,1-7000,15-400,10,≤1.3,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光切割,青岛高能激光科技有限公司,500,1-5500,8-450,6,<1.6,中国激光协会,https://www.clpa.org.cn,2024-09-25,,,,,,,,,,
激光检测,沈阳拓宇激光技术研究院,320,1-8000,5-300,5,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光应用,重庆精诚激光科技有限公司,420,1-6000,10-500,12,≤1.4,中国计量院,https://www.cma.gov.cn,2024-09-25,,,,,,,,,,
激光实验,杭州星辰激光集团,380,1-4800,7-450,25,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光扫描,河北精光激光设备有限公司,200,1-7000,6-300,8,≤1.4,中国科学院大学,https://www.ucas.ac.cn,2024-09-25,,,,,,,,,,
激光焊接,深圳优维激光科技有限公司,400,1-3200,3-360,7,≤1.4,国家清洁生产委员会,https://www.mep.gov.cn,2024-09-25,,,,,,,,,,
激光加工,广州启智激光技术有限公司,250,1-5000,10-450,4.5,≤1.6,深圳市市场监督管理局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光打标,成都极光激光科技有限公司,350,1-7000,5-300,3,<1.5,广州市科技局,http://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,吉林省东光激光科技公司,200,1-4500,5-550,8.2,≤1.3,成都市经济和信息化局,http://www.cd.gov.cn,2024-09-25,,,,,,,,,,
激光制造,西安创新激光科技有限公司,500,1-2500,2-400,2.5,≤1.4,吉林省商务厅,http://www.jl.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京展辉激光技术有限公司,450,1-6000,10-600,12,≤1.5,西安市科学技术局,http://www.xa.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,上海云跃激光科技有限公司,175,1-8000,8-350,6.5,<1.7,南京市工业和信息化局,http://www.nj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,青岛海洋激光科技有限公司,300,1-1800,5-250,1,≤1.2,上海市经济和信息化委员会,http://www.shanghai.gov.cn,2024-09-25,,,,,,,,,,
激光打标,哈尔滨深蓝激光科技有限公司,120,1-4000,15-500,7,≤1.3,青岛市科技局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,郑州铭品激光科技有限公司,600,1-3000,10-400,0.8,≤1.5,黑龙江省经济和信息化厅,http://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州激光科技有限公司,350,1-6500,12-450,11.5,≤1.4,郑州市科技局,http://www.zz.gov.cn,2024-09-25,,,,,,,,,,
激光精密焊接,深圳华强激光应用技术公司,450,1-5000,10-400,18,≤1.3,中国激光行业协会,https://www.clpa.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州万光激光科技有限公司,250,1-4500,5-300,12,≤1.5,深圳科技创新委员会,https://www.szhk.gov.cn,2024-09-25,,,,,,,,,,
激光医疗设备,成都光源医疗激光系统有限公司,200,1-3000,10-400,10,≤1.4,浙江省产品质量监督管理局,http://www.zjciq.gov.cn,2024-09-25,,,,,,,,,,
激光检测,合肥科创激光技术研究院,400,1-3500,2-600,8,≤1.6,四川省卫生健康委员会,http://www.scwst.gov.cn,2024-09-25,,,,,,,,,,
激光打印,武汉创新激光技术有限公司,280,1-7000,10-500,14,≤1.2,安徽省市场监督管理局,https://amr.ah.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,天津北方激光科技有限公司,320,1-5500,5-450,6,≤1.5,湖北省经济和信息化厅,http://jxj.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光光纤通信,南京红炫光电科技有限公司,370,1-6000,5-300,11,≤1.3,天津市工业和信息化委员会,http://www.tjjjc.gov.cn,2024-09-25,,,,,,,,,,
激光照明,西安光明激光科技公司,150,1-8000,20-450,20,≤1.2,江苏省通信管理局,http://www.jskjj.gov.cn,2024-09-25,,,,,,,,,,
激光文物修复,沈阳古今激光科技有限公司,220,1-5000,10-250,4,≤1.4,陕西省科技厅,http://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市光辉激光科技有限公司,350,1-3000,15-500,7,≤1.5,辽宁省文化和旅游厅,http://whly.ln.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州激光科技有限公司,400,1-5000,12-480,18,≤1.2,中国光学学会,https://www.optics.org.cn,2024-09-25,,,,,,,,,,
激光打标,天津恒信激光有限公司,250,1-2000,10-600,20,≤1.5,广东省科技厅,http://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,重庆精技激光有限公司,600,1-4500,5-400,4,≤1.6,天津市科技局,http://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,西安优机激光科技有限公司,180,1-3500,15-450,12,≤1.3,重庆工商大学,http://www.cqu.edu.cn,2024-09-25,,,,,,,,,,
激光刻蚀,杭州雷霆激光科技有限公司,280,1-2200,8-350,3,≤1.4,陕西省发改委,http://www.sxdrc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,南京福亨激光设备有限公司,450,1-5000,10-300,5,≤1.7,浙江省科技厅,http://www.zjkj.gov.cn,2024-09-25,,,,,,,,,,
激光微加工,福州精工激光科技有限公司,200,1-6000,12-350,15,≤1.4,江苏省工信厅,http://www.jsgxj.gov.cn,2024-09-25,,,,,,,,,,
激光淬火,合肥华友激光科技有限公司,350,1-4000,5-200,2,≤1.5,福建省科学技术协会,http://www.fjkx.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,成都蓝宏激光制造有限公司,500,1-3000,10-400,10,≤1.6,安徽省经济和信息化厅,http://www.ahjx.gov.cn,2024-09-25,,,,,,,,,,
激光材料加工,珠海光纤激光科技有限公司,450,1-3200,8-500,8,≤1.8,四川省科技厅,http://www.sckj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,昆山光能激光设备有限公司,550,1-5000,8-350,20,≤1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光3D打印,成都创安激光科技有限公司,300,1-6500,10-450,22,≤1.6,国家工信部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光铭刻,广州恒耀激光设备有限公司,250,1-4000,5-500,12,≤1.5,中国增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,深圳市雷德科技有限公司,600,1-5000,5-350,8,≤1.2,全国工业产品生产许可证办公室,https://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光清理,杭州杰昂激光有限公司,200,1-8000,10-400,18,≤1.3,中国科协,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光医疗,上海嘉美医疗科技有限公司,350,1-3000,5-250,6,≤1.1,全国清洗行业协会,http://www.cleaning.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,西安天锐激光科技有限公司,400,1-5000,10-300,9,≤1.5,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光科研,南京激光技术研究院,375,1-7000,6-400,14,≤1.4,陕西省科技厅,http://www.sxkb.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,佛山华光激光设备有限公司,180,1-6500,2-500,10,≤1.3,中国激光协会,http://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光加工,杭州铭光科技有限公司,350,1-2000,5-270,4,≤1.2,广东省工信厅,http://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳市激光飞测科技有限公司,450,1-5000 kHz,8-400 ns,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,天津宙斯激光科技有限公司,250,1-7000 kHz,12-450 ns,10,<1.5,中国光电产业发展促进会,https://www.cpheic.org,2024-09-25,,,,,,,,,,
激光清洗,武汉华亿激光科技有限公司,200,1-5000 kHz,5-300 ns,8,≤1.4,天津市科学技术委员会,http://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京优科激光技术有限公司,600,1-2500 kHz,6-400 ns,5,≤1.3,武汉市经济和信息化局,http://jxw.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光制造,广州华光科技有限公司,400,1-3200 kHz,10-350 ns,15,≤1.6,国家工业与信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光测量,重庆立光科技有限公司,300,1-4800 kHz,10-500 ns,18,≤1.1,广东省质量技术监督局,http://www.gdqs.gov.cn,2024-09-25,,,,,,,,,,
激光质控,福州瑞之激光技术有限公司,220,1-5500 kHz,10-450 ns,12,<1.7,重庆市科学技术局,http://www.cqkj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,郑州精锐激光科技有限公司,370,1-3000 kHz,4-500 ns,7,≤1.5,福建省市场监管局,http://sjjj.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安志昂激光有限公司,500,1-6000 kHz,8-390 ns,15,<1.4,河南省企业信用信息公共服务平台,http://www.haoxin.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳新世纪激光技术有限公司,350,1-3400 kHz,12-400 ns,20,≤1.3,陕西省科技厅,http://sxt.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,广州优创激光设备有限公司,180,1-5000,5-450,18,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光打标,杭州金辰激光科技有限公司,220,1-2500,10-400,3,≤1.5,广东省科技厅,https://most.gd.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,成都华雅激光设备有限责任公司,600,1-3500,1-300,9,≤1.4,浙江省经济和信息化厅,http://jxt.zj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉旭日激光科技有限公司,280,1-4000,5-500,20,≤1.3,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,北京中科激光科技有限公司,130,1-4500,15-550,5,≤1.6,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光制造,西安如意激光技术有限公司,450,1-1500,5-300,1.2,≤1.1,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光打标,南京优亚激光科技有限公司,250,1-6000,10-400,15,≤1.3,陕西省科学技术厅,http://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,上海集盛激光设备有限公司,550,1-3500,2-400,7,≤1.4,江苏省市场监督管理局,http://www.jssupervision.gov.cn,2024-09-25,,,,,,,,,,
激光加工,天津光明激光科技有限公司,320,1-4800,10-450,12,≤1.5,上海市经济和信息化委员会,http://www.sheit.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳华美激光科技有限公司,400,1-5500,15-480,8,≤1.4,天津市科学技术局,http://www.tjsti.gov.cn,2024-09-25,,,,,,,,,,
激光检测,广州金龙激光技术有限公司,250,1-5000,5-100 ns,>3 mJ,≤1.2,中国激光工业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光微加工,成都激光精密科技股有限公司,300,1-3500,8-200 ns,>2.2 mJ,<1.6,全国质量监督检验中心,https://www.cnis.gov.cn,2024-09-25,,,,,,,,,,
激光动力焊接,浙江华光激光科技股份有限公司,600,1-4500,1-400 ns,1.8 mJ,≤1.3,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光清洗,上海瑞鹏激光科技有限公司,200,1-6000,10-300 ns,>4.5 mJ,≤1.5,中国机械工程学会,https://www.cmes.org,2024-09-25,,,,,,,,,,
激光成像,福建亿光激光有限公司,150,1-2000,5-250 ns,>2 mJ,≤1.4,国家环境保护部,https://www.sepa.gov.cn,2024-09-25,,,,,,,,,,
激光熔覆,天津盛光激光科技有限公司,500,1-3000,10-500 ns,>3 mJ,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光打孔,湖南激光器件研究中心,280,1-3500,15-300 ns,5 mJ,<1.7,中国煤炭工业协会,https://www.cmt.org.cn,2024-09-25,,,,,,,,,,
激光脱漆,重庆激光创新科技有限公司,100,1-5000,8-400 ns,>2.5 mJ,≤1.3,中国产品质量监督中心,https://www.cpb.gov.cn,2024-09-25,,,,,,,,,,
激光行业认证,宁波嘉亿激光设备有限公司,350,1-2000,10-300 ns,>1.8 mJ,<1.5,国家知识产权局,https://www.cnipa.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市激光科技有限公司,350,1-4000,5-250 ns,>2 mJ,≤1.1,中国企业合规协会,https://www.ceca.org.cn,2024-09-25,,,,,,,,,,
激光加工,广州精雕激光设备有限公司,400,1-4500,8-480,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,杭州华光激光有限公司,250,1-5000,10-400,>3,<1.5,国际激光协会,https://www.laser.org,2024-09-25,,,,,,,,,,
激光清洗,武汉激光科技有限公司,180,1-3500,5-500,>1.8,≤1.4,国内外激光技术研究中心,https://www.laser-research.cn,2024-09-25,,,,,,,,,,
激光焊接,南京激光精密制造有限公司,600,1-2200,6-320,>1.2,≤1.1,国家环保局,https://www.sepa.gov.cn,2024-09-25,,,,,,,,,,
激光标刻,郑州耀金激光有限公司,350,1-3000,15-450,>6,≤1.3,中国机械工业联合会,https://www.cmief.com,2024-09-25,,,,,,,,,,
激光雕刻,厦门博雅激光设备有限公司,220,1-4800,7-380,>2.3,<1.6,中国科学技术协会,https://www.cast.gov.cn,2024-09-25,,,,,,,,,,
激光喷涂,东莞市激光技术有限公司,500,1-3300,10-450,≤2.0,≤1.5,全国工业激光应用技术委员会,https://www.cmlac.org.cn,2024-09-25,,,,,,,,,,
激光卫生与医疗,西安医疗激光技术有限公司,450,1-6000,12-400,>5,≤1.2,中国激光设备制造网,https://www.laserequipments.cn,2024-09-25,,,,,,,,,,
激光照明,天津光电激光科技有限公司,280,1-5200,3-480,>4,<1.7,国家医疗器械监督管理局,https://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳锐科激光技术有限公司,400,1-4000,10-350,>2.5,≤1.3,中国光学学会,https://www.optics.org.cn,2024-09-25,,,,,,,,,,
激光打标,广州激光科技有限公司,250,1-5000 kHz,5-450 ns,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,成都医科激光有限公司,180,1-3500 kHz,10-600 ns,>2.5 mJ,≤1.5,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉光电技术有限公司,450,1-1500 kHz,3-400 ns,>1.2 mJ,≤1.1,成都市经济和信息化局,https://www.cdmi.gov.cn,2024-09-25,,,,,,,,,,
激光加工,杭州创鑫激光装备有限公司,350,1-2500 kHz,15-500 ns,>8 mJ,≤1.3,武汉科技大学,https://www.wust.edu.cn,2024-09-25,,,,,,,,,,
激光热处理,南京激光技术开发公司,320,1-6000 kHz,10-400 ns,>4 mJ,<1.6,浙江省信息产业协会,https://www.zjii.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,天津市星辉激光科技有限公司,200,1-4950 kHz,20-550 ns,3.5 mJ,≤1.4,南京市科学技术局,https://www.nj.gov.cn,2024-09-25,,,,,,,,,,
激光涂层修复,西安光电科技股份有限公司,500,1-3000 kHz,15-450 ns,>2 mJ,<1.7,天津市工业和信息化局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光电镀,沈阳先进激光技术有限公司,280,1-3200 kHz,12-520 ns,>6 mJ,≤1.3,西安科技大学,https://www.xust.edu.cn,2024-09-25,,,,,,,,,,
激光检测,福州高新激光科技有限公司,150,1-4100 kHz,8-480 ns,>2.8 mJ,≤1.5,沈阳市经济和信息化委员会,https://www.shenyang.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华联激光科技有限公司,350,1-2000 kHz,5-300 ns,>1 mJ,≤1.2,福建省科技厅,https://www.fjsti.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津亿洋激光设备有限公司,600,1-5000,7-450,10,≤1.5,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,武汉激光科技有限公司,250,1-2500,5-350,8,≤1.3,全国自动化行业协会,https://www.caia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,广州兆丰激光科技有限公司,200,1-3500,3-500,4,≤1.6,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光切割,杭州迅维激光科技公司,550,1-4000,4-300,2,≤1.4,中国清洗行业协会,https://www.clea.org.cn,2024-09-25,,,,,,,,,,
激光复合加工,南京东旭激光有限公司,450,1-4500,8-400,12,≤1.2,浙江省科技厅,https://www.zjsti.gov.cn,2024-09-25,,,,,,,,,,
激光检测,厦门超光激光科技有限公司,300,1-6000,6-500,5,≤1.4,江苏省工业和信息化厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,成都美光激光医疗设备有限公司,250,1-3200,10-450,3,≤1.5,国家技术监督局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光科研,沈阳理工大学激光研究所,175,1-2000,15-300,7,≤1.3,国家医学管理局,https://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光环境监测,青岛蓝天激光技术有限公司,350,1-4700,9-390,6,≤1.7,教育部高等教育司,https://www.moe.gov.cn,2024-09-25,,,,,,,,,,
激光制造,宁波捷德激光技术有限公司,350,1-3500,10-400,9,≤1.4,国家生态环境部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光加工,广州宇航激光科技有限公司,400,1-5000,5-450,20,≤1.2,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,江苏人杰激光设备制造有限公司,250,1-7000,10-400,10,<1.5,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,天津新锐激光科技有限公司,200,1-3000,2-250,5,≤1.4,中国制造网,https://www.made-in-china.com,2024-09-25,,,,,,,,,,
激光焊接,成都光电科技有限公司,600,1-3500,5-300,8,≤1.3,环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,武汉锐雕激光装置有限公司,180,1-8000,10-450,12,≤1.5,中国机电产品进出口商会,http://www.ccpits.org.cn,2024-09-25,,,,,,,,,,
激光切割,沈阳华星激光设备有限公司,450,1-3500,3-350,3,≤1.6,国家知识产权局,http://www.cnipa.gov.cn,2024-09-25,,,,,,,,,,
激光诊断,深圳光影科技有限责任公司,220,1-6000,15-400,14,<1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光测量,厦门威特激光科技有限公司,280,1-2000,5-250,6,≤1.5,中国生物医学工程学会,https://www.cmbes.org.cn,2024-09-25,,,,,,,,,,
激光材料加工,青岛传世激光科技有限公司,320,1-5000,10-300,7,≤1.3,国家统计局,https://www.stats.gov.cn,2024-09-25,,,,,,,,,,
高能激光制造,广州锐光激光科技有限公司,450,1-4500,10-400,9,≤1.4,农业农村部,http://www.moa.gov.cn,2024-09-25,,,,,,,,,,
激光纳米加工,深圳光迅激光科技有限公司,200,1-5500,8-400,20,≤1.6,广州市科技创新委员会,https://www.gzsti.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州精锐激光设备有限公司,600,1-7500,5-300,3,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光医疗,南京恒光医疗科技有限公司,150,1-5000,10-200,18,≤1.4,浙江省工业和信息化厅,https://www.zjw.gov.cn,2024-09-25,,,,,,,,,,
激光镭射,武汉大明激光科技股份有限公司,350,1-8000,15-600,2,≤1.3,南京市卫生健康委员会,http://wsjkw.nanjing.gov.cn,2024-09-25,,,,,,,,,,
激光照明,成都新视界激光科技有限公司,250,1-4000,10-350,10,≤1.2,湖北省科学技术厅,https://kjt.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光精密制造,合肥光电技术有限公司,450,1-4000,20-500,5,<1.7,成都市经济和信息化局,https://www.chengdu.gov.cn,2024-09-25,,,,,,,,,,
激光材料处理,沈阳科技激光有限公司,400,1-7200,12-450,25,≤1.3,合肥市科学技术协会,https://www.hf.ketang.org,2024-09-25,,,,,,,,,,
激光科研,青岛高能激光科技有限公司,300,1-4800,18-500,12,≤1.5,沈阳市工业和信息化局,http://www.shenyang.gov.cn,2024-09-25,,,,,,,,,,
激光环境保护,西安环境激光科技有限公司,200,1-6000,14-520,8,≤1.4,青岛市科技局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光科技有限责任公司,350,1-3000,5-450,7,≤1.3,陕西省环保厅,http://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州瑞光激光技术有限公司,400,1-4500,5-450,20,≤1.3,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
