机器人类型,前进速度,单位,倒退速度,单位,加速速度,单位,减速速度,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2,m/s,1,m/s,字符型,中国应急管理部,https://www.cema.gov.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1,m/s,0.2,m/s,1.6,m/s,0.7,m/s,字符型,CES科技展,https://www.ces.tech,2024-09-23,,,,,,,,,,,
无人驾驶机器人,4,m/s,1.5,m/s,6,m/s,3,m/s,字符型,中国交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,2.2,m/s,0.9,m/s,3,m/s,1.4,m/s,字符型,国际空间站网站,https://www.nasa.gov/mission_pages/station/main/index.html,2024-09-23,,,,,,,,,,,
快递机器人,2,m/s,0.6,m/s,3.2,m/s,1.5,m/s,字符型,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.6,m/s,0.7,m/s,2.2,m/s,1,m/s,字符型,中国文化和旅游部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
家庭清洁机器人,1.2,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国家电协会,https://www.cec.org.cn,2024-09-23,,,,,,,,,,,
安全巡逻机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.3,m/s,字符型,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
建筑机器人,2.2,m/s,1.1,m/s,3,m/s,1.5,m/s,字符型,中华人民共和国住房和城乡建设部,http://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.5,m/s,0.6,m/s,2,m/s,0.9,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
餐饮服务机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,中国餐饮协会,https://www.cra.org.cn,2024-09-23,,,,,,,,,,,
物流无人机,5,m/s,2,m/s,6,m/s,3,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
老年护理机器人,0.7,m/s,0.3,m/s,1,m/s,0.5,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国服务机器人产业技术创新战略联盟,https://www.csra.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,0.9,m/s,3.2,m/s,1.7,m/s,字符型,中国自动化学会,https://www.china-aai.org,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.1,m/s,字符型,中国农机化协会,http://www.cama.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国医疗器械行业协会,http://www.camdi.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.8,m/s,1.4,m/s,字符型,中国消防救援局,https://www.119.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,教育部科技司,https://www.moe.gov.cn/s78/A15,2024-09-23,,,,,,,,,,,
娱乐机器人,1,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国机器人产业协会,https://www.robomaker.cn,2024-09-23,,,,,,,,,,,
居家机器人,1.4,m/s,0.2,m/s,1.9,m/s,1,m/s,字符型,中国家电协会,http://www.cheaa.com,2024-09-23,,,,,,,,,,,
物流机器人,2,m/s,0.8,m/s,3,m/s,1.5,m/s,字符型,中国物流与采购联合会,http://www.clp.org.cn,2024-09-23,,,,,,,,,,,
仓储机器人,2.5,m/s,1,m/s,3.5,m/s,1.2,m/s,字符型,京东物流,https://www.jd.com,2024-09-23,,,,,,,,,,,
教育机器人,1.6,m/s,0.4,m/s,2.1,m/s,1,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国清洁行业协会,https://www.chinaclean.org.cn,2024-09-23,,,,,,,,,,,
采矿机器人,2,m/s,0.7,m/s,2.8,m/s,1.3,m/s,字符型,中国矿业联合会,https://www.cico.org.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.4,m/s,0.5,m/s,2,m/s,1,m/s,字符型,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
美食机器人,1.3,m/s,0.6,m/s,1.9,m/s,0.9,m/s,字符型,中国餐饮协会,https://www.china-catering.org,2024-09-23,,,,,,,,,,,
探测机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.4,m/s,字符型,国家自然资源部,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
送货机器人,2.2,m/s,0.9,m/s,3,m/s,1.1,m/s,字符型,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
物流机器人,1.9,m/s,0.4,m/s,2.8,m/s,1.2,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.org,2024-09-23,,,,,,,,,,,
无人机,10,m/s,5,m/s,12,m/s,3.5,m/s,字符型,中国航空工业集团,https://www.avic.com,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,1.4,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国人工智能产业发展联盟,https://www.caai.cn,2024-09-23,,,,,,,,,,,
农业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.8,m/s,1,m/s,3.5,m/s,1.4,m/s,字符型,国家发展和改革委员会,https://www.ndrc.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国医学科学院,https://www.cams.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,2,m/s,0.5,m/s,3,m/s,1.2,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.6,m/s,0.4,m/s,2.4,m/s,1,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.2,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,环境保护部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶出租车,1.8,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,中国交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.6,m/s,0.4,m/s,2.1,m/s,1,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
巡检机器人,1,m/s,0.5,m/s,1.4,m/s,0.9,m/s,字符型,中国电力行业联合会,http://www.cei.gov.cn,2024-09-23,,,,,,,,,,,
消防机器人,1.3,m/s,0.5,m/s,2,m/s,1,m/s,字符型,中华人民共和国应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,1.1,m/s,0.3,m/s,1.6,m/s,0.7,m/s,字符型,中国家用电器协会,http://www.cec.org.cn,2024-09-23,,,,,,,,,,,
送餐机器人,1.7,m/s,0.4,m/s,2.3,m/s,1.2,m/s,字符型,中国餐饮行业协会,http://www.cra.org.cn,2024-09-23,,,,,,,,,,,
安保机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1,m/s,0.2,m/s,1.7,m/s,0.6,m/s,字符型,国家自然灾害救助中心,http://www.ndrcc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.5,m/s,0.4,m/s,2,m/s,0.9,m/s,字符型,国家市场监督管理总局,http://wwwSAMR.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3.5,m/s,1.2,m/s,字符型,深圳智能技术研究院,https://www.szrobotics.com,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
家庭机器人,0.8,m/s,0.2,m/s,1,m/s,0.5,m/s,字符型,家庭科技论坛,https://www.hometechforum.com,2024-09-23,,,,,,,,,,,
探测机器人,1.8,m/s,0.5,m/s,2.4,m/s,1,m/s,字符型,国家地质局,https://www.ngc.gov.cn,2024-09-23,,,,,,,,,,,
防疫机器人,1.2,m/s,0.7,m/s,1.6,m/s,0.9,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
环保机器人,2,m/s,0.9,m/s,3,m/s,1.5,m/s,字符型,生态环境部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.6,m/s,0.8,m/s,2.2,m/s,1.1,m/s,字符型,中国消防救援队,https://www.cghj.gov.cn,2024-09-23,,,,,,,,,,,
个人助理机器人,1.4,m/s,0.4,m/s,2,m/s,0.7,m/s,字符型,人工智能行业协会,https://www.aiassn.org,2024-09-23,,,,,,,,,,,
无人驾驶车辆,3.5,m/s,1.2,m/s,4.5,m/s,2,m/s,字符型,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
餐饮服务机器人,1,m/s,0.3,m/s,1.7,m/s,0.8,m/s,字符型,中国餐饮协会,https://www.catering.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,1.8,m/s,0.4,m/s,2.3,m/s,1.1,m/s,字符型,阿里巴巴研究院,https://www.alibabastudies.com,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.5,m/s,1.4,m/s,0.6,m/s,字符型,全国清洁机器人技术中心,https://www.cleanrobot.tech,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,0.7,m/s,3.2,m/s,1.4,m/s,字符型,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
仓储机器人,2,m/s,0.6,m/s,3,m/s,1.2,m/s,字符型,物流技术与应用杂志,https://www.wuliu-tech.com,2024-09-23,,,,,,,,,,,
娱乐机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国机器人产业研究院,https://www.robotics.cn,2024-09-23,,,,,,,,,,,
建筑机器人,1.7,m/s,0.5,m/s,2.1,m/s,1,m/s,字符型,建筑行业协会,https://www.buildingassociation.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.3,m/s,1.6,m/s,0.7,m/s,字符型,教育部科技发展中心,https://www.moe-science.gov.cn,2024-09-23,,,,,,,,,,,
探险机器人,2.2,m/s,0.5,m/s,3.5,m/s,1.6,m/s,字符型,科学探索基金会,https://www.science-exploration.org,2024-09-23,,,,,,,,,,,
矿山机器人,1.9,m/s,0.4,m/s,2.4,m/s,1.3,m/s,字符型,矿业安全与技术研究所,https://www.mining-tech.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,4,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,农业机器化技术研究院,https://www.agri-tech.com.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,0.7,m/s,3.5,m/s,1.8,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
探索机器人,1.8,m/s,0.6,m/s,2.3,m/s,0.9,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.6,m/s,0.5,m/s,2.1,m/s,0.8,m/s,字符型,公安部,https://www.gov.cn/zhengce/zhengceku/2021-03/01/7430457/files/7430457.pdf,2024-09-23,,,,,,,,,,,
清洁机器人,1.2,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国清洁技术协会,https://www.chinaclean.com,2024-09-23,,,,,,,,,,,
无人驾驶汽车,3.2,m/s,1,m/s,4.5,m/s,2.3,m/s,字符型,中国智能交通协会,https://www.citaa.org.cn,2024-09-23,,,,,,,,,,,
空间机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.4,m/s,字符型,中国航天科技集团公司,https://www.casc.com.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.4,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国服务机器人产业联盟,https://www.csr-ic.org,2024-09-23,,,,,,,,,,,
智能陪伴机器人,1.1,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,人工智能发展组织,https://www.ai.org.cn,2024-09-23,,,,,,,,,,,
水下机器人,1.3,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国家电协会,https://www.cheaa.org,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.9,m/s,3.5,m/s,1.3,m/s,字符型,中国物流与采购联合会,http://www.clp.org.cn,2024-09-23,,,,,,,,,,,
建筑机器人,1,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,国家建筑材料局,http://www.moc.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,3,m/s,1,m/s,4,m/s,2.5,m/s,字符型,中国智能玩具协会,http://www.cctoy.org.cn,2024-09-23,,,,,,,,,,,
探测机器人,2.5,m/s,0.5,m/s,3.2,m/s,1,m/s,字符型,国防科技大学,http://www.nudt.edu.cn,2024-09-23,,,,,,,,,,,
无人机,15,m/s,3,m/s,20,m/s,8,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
家庭辅助机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家发展和改革委员会,https://www.ndrc.gov.cn,2024-09-23,,,,,,,,,,,
农业无人车,4,m/s,1.5,m/s,5,m/s,2,m/s,字符型,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
安防巡逻机器人,1.6,m/s,0.4,m/s,2.2,m/s,1,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
单轨列车机器人,5.5,m/s,1.5,m/s,7,m/s,3,m/s,字符型,国家铁路局,http://www.nra.gov.cn,2024-09-23,,,,,,,,,,,
探测机器人,1.8,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
教育机器人,1.3,m/s,0.5,m/s,1.7,m/s,0.9,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
无人机,10,m/s,2,m/s,15,m/s,5,m/s,字符型,中国民用航空局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3,m/s,1.5,m/s,字符型,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
巡逻机器人,1.6,m/s,0.4,m/s,2.1,m/s,1,m/s,字符型,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国玩具和婴童用品协会,https://www.ctta.org.cn,2024-09-23,,,,,,,,,,,
建筑机器人,0.8,m/s,0.2,m/s,1,m/s,0.4,m/s,字符型,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国家用电器协会,https://www.cec.org.cn,2024-09-23,,,,,,,,,,,
快递机器人,2,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,京东物流,https://www.jd.com,2024-09-23,,,,,,,,,,,
救援机器人,1.4,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,中国红十字会,https://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.2,m/s,0.7,m/s,3,m/s,1.3,m/s,字符型,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.6,m/s,0.4,m/s,2.2,m/s,0.9,m/s,字符型,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.8,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机器人产业技术创新战略联盟,https://www.crtia.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2.8,m/s,1.5,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,中国清洁技术联盟,https://www.cleantechnology.org.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1.4,m/s,0.3,m/s,2,m/s,1,m/s,字符型,腾讯科技,https://www.tech.qq.com,2024-09-23,,,,,,,,,,,
快递机器人,2.5,m/s,0.9,m/s,3,m/s,1.2,m/s,字符型,中国邮政,https://www.chinapost.com.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
自主导航机器人,2.5,m/s,1,m/s,3.5,m/s,1.5,m/s,字符型,MIT人工智能实验室,https://www.csail.mit.edu,2024-09-23,,,,,,,,,,,
无人机,10,m/s,2,m/s,12,m/s,6,m/s,字符型,全球无人机行业协会,https://www.droneassociation.org,2024-09-23,,,,,,,,,,,
竞赛机器人,4,m/s,1.5,m/s,5,m/s,2,m/s,字符型,国际机器人竞赛委员会,https://www.roboticscompetition.org,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,智能清洁设备协会,https://www.cleaningrobots.org,2024-09-23,,,,,,,,,,,
物流机器人,2.8,m/s,1.2,m/s,3.8,m/s,2,m/s,字符型,全球物流技术论坛,https://www.logisticstechforum.com,2024-09-23,,,,,,,,,,,
教育机器人,1.5,m/s,0.5,m/s,2,m/s,1,m/s,字符型,教育科技研究中心,https://www.edtechresearch.org,2024-09-23,,,,,,,,,,,
救援机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,国际救援机器人协会,https://www.rescuebots.org,2024-09-23,,,,,,,,,,,
海洋机器人,3,m/s,1,m/s,4,m/s,2.5,m/s,字符型,海洋科学与技术协会,https://www.oceanrobotics.org,2024-09-23,,,,,,,,,,,
农业无人机,5,m/s,1.5,m/s,6.5,m/s,3,m/s,字符型,农业技术与创新中心,https://www.agtechinnovation.org,2024-09-23,,,,,,,,,,,
安防机器人,2,m/s,0.9,m/s,3,m/s,1.8,m/s,字符型,国际安防科技协会,https://www.securitytech.org,2024-09-23,,,,,,,,,,,
清洁机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,行业报告,https://www.cleaningreport.com,2024-09-23,,,,,,,,,,,
巡逻机器人,2.5,m/s,1,m/s,3.5,m/s,2,m/s,字符型,城市安全协会,https://www.citysafety.org,2024-09-23,,,,,,,,,,,
仓储机器人,1.6,m/s,0.9,m/s,2.3,m/s,1.1,m/s,字符型,物流技术杂志,https://www.logisticstechmagazine.com,2024-09-23,,,,,,,,,,,
无人矿车,4,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,矿业技术协会,https://www.miningtech.org,2024-09-23,,,,,,,,,,,
消防机器人,1.4,m/s,0.7,m/s,2,m/s,0.9,m/s,字符型,国家消防协会,https://www.fireprotection.org,2024-09-23,,,,,,,,,,,
农业无人机,2.8,m/s,1,m/s,4.5,m/s,1.8,m/s,字符型,农业科技委员会,https://www.agritech.org,2024-09-23,,,,,,,,,,,
物流配送机器人,2,m/s,0.6,m/s,3,m/s,1.3,m/s,字符型,电子商务研究院,https://www.ecommerceinstitute.org,2024-09-23,,,,,,,,,,,
建筑工地机器人,1.3,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,建筑行业协会,https://www.constructionassociation.org,2024-09-23,,,,,,,,,,,
教育辅导机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,教育技术杂志,https://www.edtechmagazine.com,2024-09-23,,,,,,,,,,,
养老护理机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,老龄化综合研究中心,https://www.agingresearch.org,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3,m/s,1.5,m/s,字符型,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
无人机,10,m/s,2,m/s,15,m/s,5,m/s,字符型,中国民用航空局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,1.8,m/s,0.7,m/s,2.3,m/s,1,m/s,字符型,智能制造产业联盟,https://www.aimtechnology.org,2024-09-23,,,,,,,,,,,
探索机器人,1,m/s,0.4,m/s,1.5,m/s,0.9,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.7,m/s,0.6,m/s,2.4,m/s,1.3,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
餐饮机器人,1.4,m/s,0.5,m/s,2,m/s,0.8,m/s,字符型,国家食品药品监督管理局,https://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
运输机器人,3.5,m/s,1,m/s,4.5,m/s,2,m/s,字符型,中国交通运输协会,https://www.cctaa.org.cn,2024-09-23,,,,,,,,,,,
采矿机器人,1.6,m/s,0.7,m/s,2.1,m/s,0.5,m/s,字符型,自然资源部,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
配送机器人,1.8,m/s,0.7,m/s,2.5,m/s,1,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,国家室内环境监测中心,https://www.cniec.cn,2024-09-23,,,,,,,,,,,
输送机器人,3.2,m/s,1.5,m/s,4,m/s,2,m/s,字符型,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,
医疗陪护机器人,1,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,中国医疗器械行业协会,https://www.cmma.org.cn,2024-09-23,,,,,,,,,,,
农业无人机,5,m/s,2,m/s,6,m/s,3,m/s,字符型,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
探测机器人,1.5,m/s,0.6,m/s,2.2,m/s,1,m/s,字符型,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.4,m/s,2,m/s,0.9,m/s,字符型,教育部基础教育司,https://www.moe.gov.cn/s78/zhengce/gfxwj/,2024-09-23,,,,,,,,,,,
人工智能机器人,3,m/s,1.2,m/s,4.5,m/s,2,m/s,字符型,清华大学人工智能研究院,https://www.thu.edu.cn,2024-09-23,,,,,,,,,,,
服务型家务机器人,0.9,m/s,0.5,m/s,1.3,m/s,0.6,m/s,字符型,中国家用电器协会,https://www.cheaa.org,2024-09-23,,,,,,,,,,,
移动机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,1.8,m/s,0.6,m/s,2.2,m/s,1,m/s,字符型,全国服务机器人产业联盟,https://www.china-service-robot.org,2024-09-23,,,,,,,,,,,
工业机器人,3.2,m/s,1.5,m/s,4.2,m/s,2,m/s,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,世界卫生组织,https://www.who.int,2024-09-23,,,,,,,,,,,
农业机器人,4,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,联合国粮食及农业组织,https://www.fao.org,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2,m/s,1.1,m/s,字符型,公安部消防局,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,家电协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.9,m/s,3,m/s,1.4,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.5,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,公安部合成作战局,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,国务院教育督导委员会,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,技术研究院,https://www.techresearch.com,2024-09-23,,,,,,,,,,,
服务机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国智能科技网,https://www.chinaintelligencetech.com,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,全国卫生和计划生育委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,农业科技促进中心,https://www.agritech.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2.8,m/s,1.3,m/s,字符型,国家应急管理署,https://www.nema.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2,m/s,0.9,m/s,3.2,m/s,1.4,m/s,字符型,中国物流与采购联合会,https://www.clp.org.cn,2024-09-23,,,,,,,,,,,
