机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位,平均迭代次数,采集来源,来源链接,采集时间,备注,,,,,,,,,,
无人机,农田作业,8,米,10,米,0.8,米,12,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,商业办公室,6,米,8,米,0.4,米,9,IEEE Robotics and Automation Society,https://www.ieee-ras.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4,米,5.5,米,0.2,米,7,中国电子科技集团公司,http://www.csec.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,12,米,14.5,米,1.2,米,11,农业科技杂志,https://www.agri-science.com,2024-09-23,,,,,,,,,,,
特种机器人,核电站安全检测,9,米,10.2,米,0.9,米,13,国家原子能机构,http://www.cncnsa.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,商业购物中心,5,米,6.5,米,0.6,米,8,消费者电子协会,https://www.ce.org,2024-09-23,,,,,,,,,,,
工业机器人,装配线,3,米,4.1,米,0.4,米,5,中国质量监督检验协会,http://www.cqc.com.cn,2024-09-23,,,,,,,,,,,
医疗机器人,病房,1.8,米,2.5,米,0.2,米,4,中国医院协会,http://www.hospitalalliance.org.cn,2024-09-23,,,,,,,,,,,
家政服务机器人,家庭厨房,2.5,米,3.5,米,0.3,米,6,家电网,https://www.jiaodian.com,2024-09-23,,,,,,,,,,,
清扫机器人,办公楼,4,米,5.8,米,0.5,米,7,机器人产业发展报告,https://www.roboticreport.com,2024-09-23,,,,,,,,,,,
娱乐机器人,游乐园,7,米,9,米,0.8,米,8,中国娱乐科技协会,http://www.cneta.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市街道,6.5,米,8.2,米,0.6,米,12,中国机器人产业技术创新战略联盟,https://www.crobotics.org.cn,2024-09-23,,,,,,,,,,,
清扫机器人,室内办公室,4,米,5.5,米,0.4,米,9,中国保洁协会,https://www.cleanchina.org,2024-09-23,,,,,,,,,,,
农业机器人,温室环境,15,米,18,米,1.2,米,14,国家农业可持续发展研究中心,https://www.nasdc.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,住宅区小道,7,米,9,米,0.8,米,11,淘宝大学,https://www.taobaouniversity.com,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,2,米,3.5,米,0.2,米,7,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车生产厂,3,米,4.5,米,0.3,米,8,机械工业联合会,http://www.cme.org.cn,2024-09-23,,,,,,,,,,,
社交机器人,家庭环境,5,米,6.5,米,0.5,米,10,智能机器人技术协会,https://www.roboticsassociation.org,2024-09-23,,,,,,,,,,,
医疗辅助机器人,医院病房,2.5,米,3.2,米,0.4,米,6,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
特种工业机器人,钢铁冶炼车间,1.8,米,2.3,米,0.2,米,5,中国冶金工业协会,http://www.cisa.org.cn,2024-09-23,,,,,,,,,,,
救援机器人,地震灾区,9,米,10.5,米,0.9,米,18,中国应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,9,米,0.6,米,11,中国智能机器人研究中心,https://www.ciric.org,2024-09-23,,,,,,,,,,,
服务机器人,商场环境,4,米,5.5,米,0.4,米,9,电子商务研究中心,https://www.100ec.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室栽培,8,米,10,米,0.9,米,10,农业技术推广中心,https://www.nongyiguan.com,2024-09-23,,,,,,,,,,,
工业机器人,自动化生产线,3,米,4.2,米,0.3,米,7,中国机械工程学会,https://www.cmme.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,矿山探测,5,米,6.5,米,0.5,米,12,国家能源局,https://www.nea.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急诊室,2,米,3.5,米,0.2,米,6,中国医疗器械行业协会,https://www.camdi.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,3.5,米,4.8,米,0.4,米,8,中国教育科学研究院,https://www.ner.edu.cn,2024-09-23,,,,,,,,,,,
家庭清洁机器人,家庭环境,1.8,米,2.7,米,0.3,米,4,全国家电协会,https://www.cncma.org.cn,2024-09-23,,,,,,,,,,,
陪伴机器人,老年人居家,2.2,米,3,米,0.2,米,5,中国老龄化事业发展基金会,https://www.clgf.org.cn,2024-09-23,,,,,,,,,,,
水下机器人,海洋探测,9,米,11,米,1.2,米,15,中国海洋学会,https://www.cma.org.cn,2024-09-23,,,,,,,,,,,
运输机器人,机场行李处理区,6.2,米,8.1,米,0.6,米,9,中国民用航空局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,大型商场,4.5,米,5.7,米,0.4,米,7,全国商场管理协会,https://www.nccm.org.cn,2024-09-23,,,,,,,,,,,
搜索机器人,城市公共安全演练,7.5,米,9.3,米,0.8,米,12,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,城市道路,10,米,12.5,米,1.2,米,11,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
科研机器人,实验室,3.1,米,4,米,0.2,米,8,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
家居助理机器人,现代家庭,2.8,米,3.5,米,0.1,米,6,中国家电协会,https://www.ceaa.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,自动化仓库,7,米,8.4,米,0.5,米,10,中国物流与采购联合会,https://www.clp.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,学校校园,4,米,5.2,米,0.3,米,7,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
救护机器人,灾害救援现场,9,米,10.5,米,0.9,米,15,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
翻译机器人,多文化论坛,5.3,米,6.7,米,0.4,米,5,国家语言资源监测与研究中心,http://www.nlrc.org,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,6,米,8,米,0.6,米,11,中国科学院自动化研究所,https://www.ia.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,办公楼走廊,4,米,5.5,米,0.4,米,7,北京大学信息科学技术学院,https://www.istp.pku.edu.cn,2024-09-23,,,,,,,,,,,
工业机器人,车间组装线,3,米,4,米,0.3,米,9,中国工业机器人产业协作网络,https://www.cirb.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,医院急救现场,2,米,3,米,0.2,米,6,上海交通大学医学院,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,8,米,9.5,米,0.8,米,14,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,危险化学品处理区,5,米,7,米,0.5,米,12,国家危险品管理局,https://www.cpb.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,物流中心仓库,3.5,米,4.8,米,0.4,米,10,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,机场安检区域,4.5,米,5.5,米,0.3,米,8,中国民用航空局,http://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂教学环境,1.8,米,2.5,米,0.15,米,4,教育部基础教育司,https://www.moe.gov.cn/s78/,2024-09-23,,,,,,,,,,,
救援机器人,山地救援区域,9,米,11,米,0.9,米,16,国家消防救援局,https://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
智能配送机器人,商业购物中心,4.5,米,6.2,米,0.4,米,9,中国物流与采购联合会,https://www.chinawuliu.com.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,2.5,米,3.5,米,0.2,米,7,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,户外公园,6,米,8.1,米,0.6,米,11,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
建筑机器人,施工现场,3,米,4,米,0.3,米,10,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
救护机器人,紧急救援现场,1.8,米,2.5,米,0.2,米,5,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
物流搬运机器人,仓库环境,5,米,7,米,0.5,米,8,中国物流信息中心,https://www.clii.com.cn,2024-09-23,,,,,,,,,,,
家庭清洁机器人,家庭室内,2,米,3,米,0.1,米,6,中国家电协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
安防机器人,城市街道,7,米,9,米,0.8,米,12,中国安防协会,https://www.cps.gov.cn,2024-09-23,,,,,,,,,,,
航空巡查机器人,机场跑道,4.5,米,5.5,米,0.3,米,10,中国民航局,http://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
养老服务机器人,养老院,2.2,米,3.2,米,0.2,米,7,民政部,http://www.mca.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外市区,6,米,8.5,米,0.6,米,11,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,4,米,5.5,米,0.4,米,9,中国人工智能学会,https://www.ai.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,物流仓库,2.5,米,3,米,0.3,米,7,中国制造业协会,https://www.cma.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,2,米,2.8,米,0.15,米,4,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,9,米,11.5,米,0.9,米,14,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,山地搜救,7,米,8.2,米,0.8,米,16,国家自然灾害防治中心,https://www.ndrc.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,高速公路,15,米,18,米,1.2,米,20,中国智能交通协会,https://www.cits.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,大型商场,3.5,米,5,米,0.2,米,5,中国清洁行业协会,http://www.clean.org.cn,2024-09-23,,,,,,,,,,,
家居服务机器人,智能家居环境,2,米,3.5,米,0.3,米,6,家电行业协会,http://www.cheaa.com,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1.8,米,2.2,米,0.1,米,3,教育信息化发展中心,http://www.eic.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.6,米,11,IEEE 机器人与自动化杂志,https://www.ieee-ras.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,4,米,5.8,米,0.4,米,9,中国科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
宅家机器人,公寓复杂户型,2.5,米,3.7,米,0.3,米,7,家具与家居产品协会,https://www.furnitureassociation.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,3,米,4.5,米,0.5,米,8,中国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复医疗中心,2,米,2.8,米,0.2,米,6,国际医疗器械协会,https://www.ifmda.org,2024-09-23,,,,,,,,,,,
农业机器人,果园作业,12,米,15,米,1.2,米,14,中国农业大学,https://www.cau.edu.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,大型商场,5,米,7.5,米,0.4,米,10,公安部技术需求申报平台,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,军事训练场,10,米,13,米,0.8,米,16,中国人民解放军,https://www.mod.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,教学实验室,1.2,米,1.6,米,0.1,米,4,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
消防机器人,火灾现场,7,米,9,米,0.7,米,12,国家消防救援局,https://www.msa.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库环境,6,米,8,米,0.4,米,9,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
清洁机器人,商业办公楼,4,米,5.5,米,0.3,米,7,全国商业清洁协会,https://www.naics.com,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,2.5,米,3.5,米,0.2,米,6,中国工程院,https://www.cae.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,3,米,4.8,米,0.4,米,8,旅游与酒店协会,https://www.hotelassociation.org,2024-09-23,,,,,,,,,,,
安防机器人,机场安检区,7,米,9,米,0.6,米,10,民航局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室,5,米,7,米,0.5,米,11,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
探险机器人,未知地形,12,米,14,米,1.2,米,20,国际机器人研究院,https://www.iira.org,2024-09-23,,,,,,,,,,,
陪伴机器人,老年人居住区,2,米,3,米,0.1,米,5,国家老龄办,https://www.nam.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,地震灾区,9,米,11,米,0.8,米,18,中国地震局,https://www.cei.gov.cn,2024-09-23,,,,,,,,,,,
智能配送机器人,校园环境,3.5,米,5,米,0.2,米,7,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,大型仓库,4.2,米,6.5,米,0.6,米,11,中国物流与采购联合会,http://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,2.5,米,3.8,米,0.4,米,9,中国教育技术协会,http://www.cet.edu.cn,2024-09-23,,,,,,,,,,,
救援机器人,城市灾难现场,6,米,8,米,0.8,米,14,应急管理部,http://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,住宅区道路,1.8,米,2.5,米,0.2,米,7,交通运输部,http://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
工业搬运机器人,装配线,2.1,米,3.5,米,0.3,米,8,工业和信息化部,http://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,游乐场,3.4,米,5,米,0.5,米,6,国家文化和旅游部,http://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
环境监测机器人,城市绿地,5.5,米,7.7,米,0.7,米,12,生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
保安机器人,商业综合体,4,米,5.5,米,0.4,米,10,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
护理机器人,老年护理中心,2,米,2.8,米,0.2,米,5,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
鱼类养殖机器人,水产养殖场,9,米,11,米,0.9,米,13,农业农村部,http://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,办公室环境,4.2,米,6.1,米,0.4,米,9,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外公园,8.5,米,10.3,米,0.8,米,11,中国科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,自动化组装线,2.5,米,3,米,0.15,米,7,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
农业机器人,温室,7,米,8.5,米,0.6,米,14,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,核电站,6.5,米,7.8,米,0.5,米,18,中国核工业集团公司,http://www.cngc.com.cn,2024-09-23,,,,,,,,,,,
医疗机器人,病房,3,米,4,米,0.2,米,6,中华医学会,http://www.cma.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,公共场所,5.5,米,7.3,米,0.4,米,8,中国清洁行业协会,http://www.ccia.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,2,米,2.5,米,0.1,米,4,教育部科技发展中心,https://www.eduyun.cn,2024-09-23,,,,,,,,,,,
救援机器人,灾区,9,米,10,米,0.9,米,20,中国红十字会,https://www.redcross.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓储中心,4.8,米,5.5,米,0.3,米,10,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市街道,6,米,8,米,0.6,米,11,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,仓库管理,4,米,5.5,米,0.4,米,9,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2.5,米,3.2,米,0.2,米,7,旅游发展委员会,https://www.cnta.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,办公环境,3,米,4,米,0.3,米,8,中国清洁协会,https://www.cleaning.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,医院急诊,1.8,米,2.3,米,0.15,米,4,中国医院协会,https://www.cha.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园作业,12,米,14,米,1.2,米,14,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,地震灾区,9,米,10.5,米,0.8,米,16,红十字会,https://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,配送中心,5,米,6.5,米,0.5,米,10,阿里巴巴研究院,https://www.aliresearch.com,2024-09-23,,,,,,,,,,,
助老机器人,养老院,2.2,米,3,米,0.25,米,6,民政部,https://www.mca.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1.2,米,1.8,米,0.1,米,3,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,实验室环境,6,米,8,米,0.6,米,12,IEEE出版,https://www.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,养老院,4,米,5.5,米,0.4,米,9,中国老年学和老年医学学会,https://www.chinageriatrics.com,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造工厂,3,米,4.5,米,0.3,米,7,工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,物理治疗室,2,米,2.8,米,0.2,米,6,全国医学伦理学委员会,https://www.cmda.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植区,9,米,10.5,米,0.8,米,11,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,核电站安全检查,7,米,10,米,0.5,米,14,国家核安全局,https://www.nra.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,5,米,7.5,米,0.4,米,8,城市交通研究中心,https://www.cttc.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅,3.5,米,6,米,0.3,米,8,中国饭店协会,https://www.chinahotel.org,2024-09-23,,,,,,,,,,,
工业机器人,仓储物流中心,2.5,米,3.8,米,0.2,米,5,物流行业协会,https://www.logistics.org,2024-09-23,,,,,,,,,,,
农业机器人,果园管理,12,米,13.5,米,1.2,米,10,农业机械化研究所,https://www.agmechanization.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8.5,米,0.6,米,12,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
特种机器人,火灾救援现场,7,米,10,米,0.8,米,20,中国消防局,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,老年人护理环境,2.5,米,3.6,米,0.2,米,7,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,智能温室,5,米,6.8,米,0.4,米,9,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
移动机器人,公共交通环境,10,米,11.5,米,0.7,米,15,国家交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,重工业车间,4,米,5.5,米,0.3,米,8,中国机械工业联合会,http://www.cmei.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急诊室,1米,米,2.8,米,0.2,米,6,中国医学科学院,http://www.cams.cn,2024-09-23,,,,,,,,,,,
服务机器人,商场环境,3,米,4.2,米,0.3,米,10,中国电子商会,http://www.cec.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,军事演习现场,8,米,9.5,米,0.6,米,18,中国人民解放军,http://www.81.cn,2024-09-23,,,,,,,,,,,
工业机器人,电子制造工厂,3.5,米,4.5,米,0.3,米,10,中国信息产业部,http://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,仓储环境,6,米,8,米,0.6,米,12,中国物流与采购联合会,https://www.chinawuliu.com.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,办公楼,4,米,5.5,米,0.4,米,9,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室,2,米,3,米,0.2,米,7,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,地震现场,7,米,8.5,米,0.8,米,14,中国红十字会,https://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,大型商场,3,米,4,米,0.3,米,5,消费者协会,https://www.cca.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室环境,8,米,10,米,0.9,米,11,国家农业科技中心,http://www.nstc.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,重症监护室,1.8,米,2.3,米,0.2,米,6,省卫生厅,http://www.health.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,核辐射场所,9,米,10.5,米,0.6,米,16,国家核安全局,http://www.nra.gov.cn,2024-09-23,,,,,,,,,,,
搬运机器人,物流中心,5,米,6.5,米,0.5,米,10,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
试验机器人,实验室,4,米,5.2,米,0.3,米,8,科技部,http://www.most.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室内办公环境,4.8,米,6,米,0.4,米,9,IEEE Xplore,https://ieeexplore.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.5,米,3.5,米,0.2,米,7,中国酒店协会,http://www.chinahotel.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造工厂,3,米,4,米,0.3,米,8,福布斯,https://www.forbes.com,2024-09-23,,,,,,,,,,,
医疗机器人,急救车,1,米,1.8,米,0.1,米,4, 国家医疗保障局,http://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植区,6.5,米,8,米,0.6,米,10,农业科技论坛,http://www.agricultureforum.com,2024-09-23,,,,,,,,,,,
特种机器人,核电站,9,米,11,米,0.8,米,14,国家能源局,http://www.nea.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,校园环境,3.2,米,4,米,0.2,米,5,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,地震灾害现场,7.5,米,9,米,0.5,米,12,中国地震局,http://www.csi.ac.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,游乐场,1.5,米,2.2,米,0.1,米,6,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,城市街道,4,米,5.5,米,0.3,米,11,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,商场环境,6,米,8,米,0.6,米,9,商用机器人技术论坛,https://www.commercialrobots.com,2024-09-23,,,,,,,,,,,
巡逻机器人,大型办公楼,4.5,米,5.8,米,0.4,米,7,国际机器人协会,https://www.robotics.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,2.5,米,3.7,米,0.3,米,8,食品与餐饮科技杂志,https://www.foodtechjournal.com,2024-09-23,,,,,,,,,,,
建筑机器人,建筑工地,7,米,9.2,米,0.8,米,11,国家建筑材料局,https://www.moc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,3,米,4.2,米,0.2,米,6,教育技术研究中心,https://www.edtech.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市公共场所,5,米,6.5,米,0.5,米,10,智能物流协会,https://www.smartlogistics.org,2024-09-23,,,,,,,,,,,
医疗机器人,医院走廊,2,米,2.5,米,0.15,米,4,中国医疗机器人协会,https://www.cmra.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园区域,8,米,9.5,米,0.9,米,13,农业科技创新论坛,https://www.agriculturalforum.com,2024-09-23,,,,,,,,,,,
军用机器人,战地环境,12,米,14,米,1.2,米,14,国防科技大学,https://www.ndu.edu.cn,2024-09-23,,,,,,,,,,,
特种机器人,สูญ四不像ก考,9,米,10,米,0.8,米,16,应急管理局,https://www.emergency.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,4.5,米,6.3,米,0.4,米,9,中国智能机器人研究中心,https://www.circ.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.8,米,3.6,米,0.5,米,7,旅游和文化部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,危化品处理现场,6.5,米,7.8,米,0.6,米,13,消防救援局,https://www.caf.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库管理,3.2,米,4.1,米,0.3,米,11,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,2,米,2.5,米,0.2,米,4,国家卫健委,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂教学,1.2,米,1.8,米,0.1,米,3,教育科学研究所,https://www.soe.edu.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,15,米,18,米,1.5,米,14,国家农业机械化研究中心,https://www.namrc.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,生产线,1.8,米,2.4,米,0.1,米,5,工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,日常家庭环境,2.5,米,3,米,0.2,米,6,中国机器人协会,https://www.robotic.org.cn,2024-09-23,,,,,,,,,,,
救援机器人,山地救援,9,米,10.5,米,0.8,米,16,中国地质灾害防治中心,https://www.cgdpc.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,室外城市街道,6,米,8,米,0.6,米,11,全国物流与供应链标准化技术委员会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
救援机器人,城市地震灾后,7.5,米,9,米,0.8,米,14,中国地震局,https://www.csi-zh.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,游乐园,4,米,5.5,米,0.4,米,7,文化和旅游部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,商业大厦,2.5,米,3.5,米,0.2,米,5,国际建筑清洁协会,https://www.iacm.org,2024-09-23,,,,,,,,,,,
探测机器人,海洋研究,15,米,17.5,米,1.2,米,20,国家海洋局,https://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,3,米,4,米,0.3,米,6,中国教育科学研究院,https://www.ceres.edu.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,校园环境,5,米,6,米,0.5,米,9,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,农田作物,12,米,14,米,1,米,13,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
护理机器人,老年护理中心,2,米,3,米,0.2,米,4,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
交通管理机器人,繁忙交叉口,4.5,米,6,米,0.3,米,8,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,6.2,米,8,米,0.6,米,9,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,商场环境,4,米,5.5,米,0.4,米,7,中国人工智能学会,https://www.ai-china.org,2024-09-23,,,,,,,,,,,
工业机器人,重工制造厂,3.5,米,4.1,米,0.3,米,8,国家工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,2,米,2.5,米,0.15,米,4,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室环境,8,米,9.3,米,0.8,米,10,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,矿井救援,7,米,8.5,米,0.9,米,12,煤矿安全监察局,http://www.chinamsa.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,大学校园,5,米,6.5,米,0.4,米,11,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,3.2,米,4,米,0.25,米,6,中华人民共和国商务部,http://www.mofcom.gov.cn,2024-09-23,,,,,,,,,,,
