设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位,施加推力,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,
并联机械手,Parallel Delta Robot,0.3,mm,3,±0.05,mm,55,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,6,±0.03,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,NACHI SCARA,0.15,mm,4,±0.1,mm,45,N,字符型,中国工业机器人技术协会,https://www.crista.org,2024-09-24,,,,,,,,,,
协作机器人,SafeLog,0.4,mm,6,±0.2,mm,25,N,字符型,中国机器人产业发展报告,https://www.robotics.cn,2024-09-24,,,,,,,,,,
服务机器人,Mizuno家庭机器人,1.2,mm,5,±0.7,mm,18,N,字符型,美国国家科学基金会,https://www.nsf.gov,2024-09-24,,,,,,,,,,
特种机器人,探索型海底机器人,3,mm,4,±2.0,mm,75,N,字符型,全球海洋研究机构,https://www.globaloceanscience.org,2024-09-24,,,,,,,,,,
并联机械手,Haptic Feedback Robots,0.2,mm,3,±0.1,mm,50,N,字符型,智能机器人研究中心,https://www.roboticsresearch.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.1,mm,6,±0.04,mm,29,N,字符型,电子工业出版社,https://www.eepw.com.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁家庭机器人,0.8,mm,4,±0.6,mm,20,N,字符型,国际机器人应用研究所,https://www.iar.org,2024-09-24,,,,,,,,,,
特种机器人,工业灌装机器人,1.5,mm,5,±0.8,mm,70,N,字符型,国家食品安全局,https://www.nfda.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Cobra,0.3,mm,3,±0.05,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,6,±0.03,mm,50,N,字符型,德国弗劳恩霍夫协会,https://www.fraunhofer.de,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-TS,0.2,mm,4,±0.1,mm,35,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
协作机器人,异构协作机器人,0.6,mm,7,±0.15,mm,25,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
服务机器人,自动配送机器人,0.8,mm,5,±0.4,mm,20,N,字符型,移动互联网产业协会,https://www.miia.org,2024-09-24,,,,,,,,,,
特种机器人,无人机监测机器人,1.5,mm,4,±0.5,mm,70,N,字符型,国家航空航天局,https://www.nasa.gov,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot A3,0.4,mm,3,±0.07,mm,55,N,字符型,美国国家科学基金会,https://www.nsf.gov,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.05,mm,6,±0.02,mm,65,N,字符型,电子工业出版社,https://www.eepw.com.cn,2024-09-24,,,,,,,,,,
协作机器人,Denso Cobotta,0.4,mm,7,±0.1,mm,30,N,字符型,机器人行业协会,https://www.ric.org,2024-09-24,,,,,,,,,,
服务机器人,智能清洁机器人,1.2,mm,4,±0.6,mm,18,N,字符型,智慧城市发展论坛,https://www.smartcityforum.org,2024-09-24,,,,,,,,,,
并联机械手,高速Delta机器人,0.3,mm,3,±0.08,mm,55,N,字符型,北京市机械工程协会,https://www.bjme.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA系列,0.05,mm,6,±0.02,mm,45,N,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha SCARA,0.1,mm,4,±0.1,mm,35,N,字符型,机器人技术与应用协会,https://www.roboticsapp.org,2024-09-24,,,,,,,,,,
协作机器人,ABB YuMi,0.4,mm,7,±0.15,mm,25,N,字符型,国家机器人标准化技术委员会,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
服务机器人,送餐机器人,1.2,mm,5,±0.6,mm,20,N,字符型,中国智能家居产业协会,https://www.chinajiaju.org,2024-09-24,,,,,,,,,,
特种机器人,环境监测机器人,1.8,mm,3,±0.9,mm,70,N,字符型,环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,激光切割机器人,0.2,mm,3,±0.05,mm,60,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M系列,0.04,mm,6,±0.01,mm,50,N,字符型,上海市机器人产业协会,https://www.roboticssh.org,2024-09-24,,,,,,,,,,
协作机器人,Kawasaki的人形机器人,0.6,mm,7,±0.3,mm,30,N,字符型,中国自动化学会,https://www.caas.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁机器人,0.8,mm,5,±0.4,mm,18,N,字符型,全国智能产品标准化技术委员会,https://www.cspc.org.cn,2024-09-24,,,,,,,,,,
串联机械手,KUKA LBR iiwa,0.1,mm,7,±0.05,mm,35,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
并联机械手,TROJAN X6,0.3,mm,6,±0.15,mm,45,N,字符型,国家机器人产业发展基础,https://www.industryrobot.com,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.2,mm,6,±0.1,mm,40,N,字符型,中国自动化学会,https://www.caa.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR10e,0.3,mm,6,±0.05,mm,25,N,字符型,上海市机器人产业协会,http://www.shria.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清扫机器人,1,mm,5,±0.5,mm,10,N,字符型,北京环境保护局,http://www.bjepb.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防救援机器人,1.5,mm,3,±0.7,mm,70,N,字符型,中国公安部,http://www.mps.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB 6700,0.2,mm,6,±0.08,mm,50,N,字符型,国家工信部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboDK Delta,0.4,mm,3,±0.1,mm,55,N,字符型,中国工业信息网,https://www.cnii.com.cn,2024-09-24,,,,,,,,,,
协作机器人,Doosan M0609,0.4,mm,6,±0.07,mm,30,N,字符型,国家科学技术部,http://www.most.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,配送服务机器人,1,mm,4,±0.6,mm,20,N,字符型,中国互联网信息中心,http://www.cnnic.net.cn,2024-09-24,,,,,,,,,,
并联机械手,Spider Robot,0.4,mm,3,±0.05,mm,55,N,字符型,中国科学技术协会,https://www.cast.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA系列机器人,0.2,mm,6,±0.03,mm,75,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Bigger SCARA,0.3,mm,4,±0.06,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
协作机器人,RoboCo,0.5,mm,7,±0.15,mm,25,N,字符型,中国智能制造网,https://www.china-im.com,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,1.2,mm,4,±0.8,mm,10,N,字符型,中华全国工商业联合会,https://www.acfic.org.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,1.5,mm,3,±1.2,mm,80,N,字符型,中国消防协会,https://www.cffaa.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Penta Arm,0.3,mm,3,±0.07,mm,60,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,Yaskawa Motoman,0.15,mm,6,±0.02,mm,90,N,字符型,中国机电产品进出口商会,https://www.cceie.org,2024-09-24,,,,,,,,,,
协作机器人,Niryo One,0.7,mm,7,±0.12,mm,18,N,字符型,中国人工智能学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
服务机器人,医疗护理机器人,1,mm,5,±0.4,mm,20,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel 12,0.3,mm,3,±0.1,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA AGILUS,0.05,mm,6,±0.03,mm,25,N,字符型,德国机械工程协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha SCARA,0.15,mm,4,±0.1,mm,35,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
协作机器人,Baxter,0.4,mm,7,±0.3,mm,18,N,字符型,美国机器人行业协会,https://www.robotics.org,2024-09-24,,,,,,,,,,
服务机器人,Pepper,1,mm,5,±0.6,mm,10,N,字符型,国际消费电子展,https://www.ces.tech,2024-09-24,,,,,,,,,,
特种机器人,远程医疗救助机器人,1.5,mm,3,±0.9,mm,70,N,字符型,世界卫生组织,https://www.who.int,2024-09-24,,,,,,,,,,
并联机械手,Adept 550,0.2,mm,3,±0.1,mm,45,N,字符型,国家机器人研究投资局,https://www.nist.gov,2024-09-24,,,,,,,,,,
六轴机械手,FANUC LR Mate,0.07,mm,6,±0.05,mm,32,N,字符型,日本电气公司,https://www.fanuc.com,2024-09-24,,,,,,,,,,
协作机器人,Cobot 7,0.6,mm,6,±0.25,mm,22,N,字符型,工业与信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,小米家居助手,1.2,mm,5,±0.7,mm,12,N,字符型,中国智能家居产业协会,https://www.csia.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Flexbot,0.4,mm,3,±0.08,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
多轴机械手,Fanuc M-20iA,0.2,mm,6,±0.03,mm,75,N,字符型,ABB机器人,https://global.abb,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-XG,0.15,mm,4,±0.05,mm,35,N,字符型,电子行业协会,https://www.eia.org,2024-09-24,,,,,,,,,,
协作机器人,RoboDK,0.6,mm,5,±0.15,mm,25,N,字符型,工信部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,养老护理机器人,0.8,mm,6,±0.3,mm,18,N,字符型,中国老龄协会,https://www.cla.org.cn,2024-09-24,,,,,,,,,,
特种机器人,无人机灭火机器人,3,mm,8,±1.5,mm,90,N,字符型,消防局,https://www.fire.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Z-Motion,0.35,mm,3,±0.07,mm,65,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR AGILUS,0.12,mm,7,±0.04,mm,40,N,字符型,德国机械工程协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
协作机器人,Motoman HC系列,0.55,mm,6,±0.20,mm,28,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
特殊用途机器人,工业清洗机器人,2.5,mm,4,±1.2,mm,80,N,字符型,中国环保部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.5,mm,3,±0.1,mm,55,N,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.03,mm,25,N,字符型,国家工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,RoboDK SCARA,0.25,mm,4,±0.15,mm,35,N,字符型,中国智能制造产业技术创新战略联盟,https://www.cime.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Techman TM Robot,0.3,mm,6,±0.1,mm,22,N,字符型,科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,Boston Dynamics Spot,1,mm,5,±0.4,mm,18,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,自主潜水机器人,0.8,mm,3,±0.6,mm,70,N,字符型,国家海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Innoplus 6D,0.4,mm,3,±0.2,mm,60,N,字符型,中国制造业质量监督协作联盟,https://www.cmqc.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M-20iA,0.1,mm,6,±0.07,mm,28,N,字符型,中国机器人网,https://www.robotcn.com,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR16e,0.4,mm,6,±0.12,mm,20,N,字符型,国家航天局,https://www.cnsa.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,智能陪伴机器人,1.2,mm,5,±0.8,mm,16,N,字符型,中国社会科学院,https://www.cssn.cn,2024-09-24,,,,,,,,,,
并联机械手,H-Robot,0.4,mm,3,±0.08,mm,55,N,字符型,中国科学技术部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.02,mm,45,N,字符型,上海机械制造协会,https://www.smaa.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Flexa SCARA,0.15,mm,4,±0.07,mm,35,N,字符型,北京电子科技大学,https://www.bjhu.edu.cn,2024-09-24,,,,,,,,,,
协作机器人,DOBOT Magician,0.3,mm,5,±0.1,mm,25,N,字符型,国家工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,智能护理机器人,0.8,mm,5,±0.4,mm,20,N,字符型,国家卫健委科技发展中心,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,1.5,mm,3,±0.9,mm,70,N,字符型,公安部消防局,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,
移动机器人,无人配送车,0.6,mm,2,±0.3,mm,15,N,字符型,全国智能装备发展大会,https://www.cia.org.cn,2024-09-24,,,,,,,,,,
人形机器人,ASIMO,0.1,mm,6,±0.09,mm,50,N,字符型,中国机器人产业发展论坛,https://www.robotics-china.com,2024-09-24,,,,,,,,,,
自动化装配机器人,ABB YuMi,0.2,mm,7,±0.05,mm,65,N,字符型,国家工信部自动化研究院,https://www.nist.gov,2024-09-24,,,,,,,,,,
拆卸机器人,Recycling Bot,0.4,mm,4,±0.12,mm,30,N,字符型,环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Stäubli TX2,0.3,mm,3,±0.1,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR AGILUS,0.05,mm,6,±0.02,mm,28,N,字符型,德国机械设备制造商协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK400XR,0.15,mm,4,±0.08,mm,35,N,字符型,日本机器人公司,https://www.jara.jp,2024-09-24,,,,,,,,,,
协作机器人,NICE Robotics,0.4,mm,7,±0.15,mm,25,N,字符型,人工智能研究中心,https://www.airesearch.cn,2024-09-24,,,,,,,,,,
服务机器人,Coffee Assistant Robot,0.8,mm,5,±0.3,mm,10,N,字符型,市场监测机构,https://www.marketresearch.com,2024-09-24,,,,,,,,,,
特种机器人,核辐射检测机器人,1.5,mm,3,±0.9,mm,75,N,字符型,核安全监管局,https://www.nrc.gov,2024-09-24,,,,,,,,,,
智能搬运机器人,Amazon Prime Air,0.25,mm,3,±0.05,mm,20,N,字符型,亚马逊科技杂志,https://www.amazon.com/technology,2024-09-24,,,,,,,,,,
水下机器人,Oceaneering ROV,0.6,mm,6,±0.3,mm,80,N,字符型,机器人技术研究所,https://www.roboticsinstitute.org,2024-09-24,,,,,,,,,,
自动化检测机器人,VisionBot 3000,0.1,mm,4,±0.02,mm,50,N,字符型,全球自动化组,https://www.globalautomation.org,2024-09-24,,,,,,,,,,
特种配送机器人,Starship Delivery Robot,0.7,mm,5,±0.4,mm,12,N,字符型,机器人快递联盟,https://www.roboticdelivery.com,2024-09-24,,,,,,,,,,
并联机械手,FlexBot,0.4,mm,3,±0.07,mm,55,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA Agilus,0.05,mm,6,±0.02,mm,45,N,字符型,中国自动化学会,http://www.caas.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,HR-100,0.15,mm,4,±0.1,mm,35,N,字符型,中国机电产品进出口商会,https://www.cccme.org.cn,2024-09-24,,,,,,,,,,
协作机器人,GoFa,0.3,mm,7,±0.15,mm,22,N,字符型,全国机械工业协会,http://www.cam.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清扫机器人,0.8,mm,5,±0.4,mm,12,N,字符型,科技部,http://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗机器人,1,mm,3,±0.5,mm,65,N,字符型,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,InnoBot,0.6,mm,3,±0.3,mm,50,N,字符型,中国科学院,http://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN,0.08,mm,6,±0.04,mm,38,N,字符型,中国智能机器人产业发展战略联盟,http://www.aimroff.org.cn,2024-09-24,,,,,,,,,,
服务机器人,陪伴机器人,1.5,mm,5,±0.6,mm,18,N,字符型,国家发改委,http://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,探测机器人,2.5,mm,3,±1.2,mm,70,N,字符型,国家国防科技工业局,http://www.sastind.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel 5D机器人,0.3,mm,5,±0.15,mm,55,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC LR Mate,0.05,mm,6,±0.03,mm,45,N,字符型,中国机械工业联合会,http://www.cmif.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,RH-F系列,0.25,mm,4,±0.1,mm,38,N,字符型,中国自动化学会,http://www.china-aas.org,2024-09-24,,,,,,,,,,
协作机器人,KUKA LBR iiwa,0.4,mm,7,±0.05,mm,25,N,字符型,国家智能产业发展战略研究院,http://www.niidr.org,2024-09-24,,,,,,,,,,
服务机器人,智能清洁机器人,1.5,mm,5,±0.8,mm,10,N,字符型,中国信息通信研究院,http://www.caict.ac.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗辅助机器人,1,mm,3,±0.6,mm,70,N,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Spider机器人,0.2,mm,6,±0.1,mm,65,N,字符型,中国机器人工程师协会,https://www.cmmet.org,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN GP系列,0.07,mm,6,±0.04,mm,50,N,字符型,国家机器人技术创新中心,http://www.cntirc.org,2024-09-24,,,,,,,,,,
SCARA机器人,传感智能SCARA,0.15,mm,4,±0.07,mm,42,N,字符型,中国科学院机电自动化研究所,http://www.imau.cas.cn,2024-09-24,,,,,,,,,,
协作机器人,Denso COBOTTA,0.55,mm,6,±0.25,mm,22,N,字符型,中国电子技术标准化研究院,https://www.cesi-cn.com,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot X1,0.4,mm,3,±0.1,mm,45,N,字符型,中国智能制造技术研究院,https://www.cimti.org,2024-09-24,,,,,,,,,,
六轴机械手,RoboArm 700,0.05,mm,6,±0.02,mm,35,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
SCARA机器人,FastPick SCARA,0.15,mm,4,±0.05,mm,50,N,字符型,中国机械工业联合会,https://www.cmeia.com,2024-09-24,,,,,,,,,,
协作机器人,Cobot Flex,0.6,mm,6,±0.1,mm,25,N,字符型,国家工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,家庭清洁机器人,1.2,mm,5,±0.6,mm,20,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,工业检测机器人,0.8,mm,3,±0.4,mm,65,N,字符型,中国工程院,https://www.cae.cn,2024-09-24,,,,,,,,,,
半自动机器人,AssemBot,0.3,mm,4,±0.1,mm,55,N,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-24,,,,,,,,,,
移动机器人,DeliveryDrone 2.0,1.5,mm,4,±0.3,mm,30,N,字符型,中国邮政,https://www.chinapost.com.cn,2024-09-24,,,,,,,,,,
调度机器人,Smart Sorter,0.2,mm,3,±0.05,mm,40,N,字符型,国家物流信息平台,https://www.logistics.gov.cn,2024-09-24,,,,,,,,,,
防疫机器人,DisinfectBot,0.4,mm,5,±0.2,mm,20,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Hercules机器人,0.3,mm,3,±0.05 mm,mm,55,N,字符型,全国机械工程学会,https://www.cmec.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA Robotics,0.1,mm,6,±0.02 mm,mm,45,N,字符型,中国工业机器人协会,https://www.cira.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Fanuc SR系列,0.15,mm,4,±0.1 mm,mm,38,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
协作机器人,NVIDIA JetBot,0.4,mm,7,±0.25 mm,mm,18,N,字符型,国家信息产业部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,Pepper机器人,0.8,mm,5,±0.6 mm,mm,20,N,字符型,中国人工智能学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
特种机器人,搜索与救援机器人,1.5,mm,3,±0.8 mm,mm,75,N,字符型,国际灾害与应急管理协会,https://www.iaem.org,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.25,mm,3,±0.05 mm,mm,60,N,字符型,机械与电子工程学院,https://www.mechanicalengineering.edu.cn,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN系列,0.05,mm,6,±0.03 mm,mm,50,N,字符型,中国机械工业联合会,https://www.cmifu.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清扫机器人,1.2,mm,4,±0.4 mm,mm,25,N,字符型,智慧家庭产业协会,https://www.smartfamily.org.cn,2024-09-24,,,,,,,,,,
特种机器人,水下机器人,2.5,mm,3,±1.5 mm,mm,90,N,字符型,国家海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel-Arm Robot,0.4,mm,3,±0.07,mm,55,N,字符型,中国智能制造产业技术创新战略联盟,https://www.cimta.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.08,mm,6,±0.04,mm,35,N,字符型,国际机器人联盟,https://www.ipc.org/robotics,2024-09-24,,,,,,,,,,
SCARA机器人,RX系列,0.15,mm,4,±0.06,mm,45,N,字符型,全国机器人检测认证中心,https://www.cnhrd.org,2024-09-24,,,,,,,,,,
协作机器人,柔性机器人,0.3,mm,6,±0.2,mm,25,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,陪伴机器人,0.9,mm,5,±0.3,mm,18,N,字符型,北京市机器人技术应用与创新中心,https://www.bjrobotics.org,2024-09-24,,,,,,,,,,
特种机器人,医疗辅助机器人,1.5,mm,3,±0.7,mm,65,N,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,PUMA机械手,0.25,mm,6,±0.05,mm,50,N,字符型,中国电子科技集团,https://www.cetc.com,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN系列,0.04,mm,6,±0.02,mm,32,N,字符型,高等院校智能机器人研究中心,https://www.universityrobotics.edu.cn,2024-09-24,,,,,,,,,,
服务机器人,商业清扫机器人,1.2,mm,5,±0.4,mm,20,N,字符型,国家环保部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,智能工作助理,0.6,mm,7,±0.15,mm,28,N,字符型,中国工业机器人产业网,https://www.icrobotics.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Hexapod机器人,0.4,mm,6,±0.05,mm,55,N,字符型,中国科学院自动化研究所,https://www.ia.ac.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.3,mm,6,±0.1,mm,45,N,字符型,机器人技术领域专家协会,https://www.roboticsexperts.org,2024-09-24,,,,,,,,,,
SCARA机器人,GEMINI机器人,0.15,mm,4,±0.07,mm,35,N,字符型,中国制造业协会,https://www.cmma.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Cobot系列,0.6,mm,5,±0.3,mm,25,N,字符型,国家科技部,https://www.mOST.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,1.2,mm,4,±0.4,mm,20,N,字符型,科技日报,https://www.stdaily.com,2024-09-24,,,,,,,,,,
特种机器人,水下机器人,2.5,mm,3,±1.2,mm,70,N,字符型,国家海洋局,http://www.soa.gov.cn,2024-09-24,,,,,,,,,,
联合机器人,RoboHand,0.7,mm,7,±0.2,mm,50,N,字符型,中国人工智能产业发展联盟,https://www.ccai.org.cn,2024-09-24,,,,,,,,,,
农业机器人,HarvestBot,1.5,mm,5,±0.6,mm,30,N,字符型,农业工程学会,http://www.cae.org.cn,2024-09-24,,,,,,,,,,
医疗机器人,手术辅助机器人,0.1,mm,6,±0.02,mm,15,N,字符型,国家医疗器械监督管理局,http://www.nmpa.gov.cn,2024-09-24,,,,,,,,,,
物流机器人,仓储机器人,0.8,mm,4,±0.3,mm,40,N,字符型,中国工商行政管理局,http://www.saic.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,EvoDelta机器人,0.4,mm,3,±0.08 mm,mm,55,N,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR系列,0.15,mm,6,±0.03 mm,mm,45,N,字符型,机器人技术研究院,https://www.robotresearch.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Denso SCARA机器人,0.1,mm,4,±0.05 mm,mm,35,N,字符型,高新技术产业开发区,https://www.hitechzone.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,G一起机器人,0.6,mm,7,±0.25 mm,mm,25,N,字符型,国家科学院机器人研究中心,https://www.cas-robotics.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,0.8,mm,5,±0.3 mm,mm,20,N,字符型,中国智能家居产业协会,https://www.csmia.org.cn,2024-09-24,,,,,,,,,,
特种机器人,探测与修复机器人,1.5,mm,3,±0.9 mm,mm,70,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboDelta II,0.3,mm,3,±0.07 mm,mm,60,N,字符型,先进制造技术研究中心,https://www.amtech.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M-20iA,0.2,mm,6,±0.1 mm,mm,40,N,字符型,工业机器人论坛,https://www.roboticsforum.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha SCARA,0.2,mm,4,±0.15 mm,mm,30,N,字符型,中国自动化学会,https://www.chinaautomation.org.cn,2024-09-24,,,,,,,,,,
协作机器人,RoboTeam,0.7,mm,5,±0.4 mm,mm,22,N,字符型,智能制造研究组,https://www.smartmanufacturing.org.cn,2024-09-24,,,,,,,,,,
并联机械手,PX-200机器人,0.4,mm,3,±0.08,mm,55,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,6,±0.03,mm,25,N,字符型,德国工程院,https://www.dgf.de,2024-09-24,,,,,,,,,,
SCARA机器人,Toshiba SCARA,0.3,mm,4,±0.15,mm,35,N,字符型,中国自动化学会,https://www.caa.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Techman TM5,0.6,mm,6,±0.4,mm,22,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,家庭护理机器人,1.5,mm,5,±0.7,mm,18,N,字符型,中国智能装备产业技术创新战略联盟,https://www.craic.org.cn,2024-09-24,,,,,,,,,,
