可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
低,100 Mbps,70 ms,25 ms,6,250 ms,12%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
高,4 Gbps,18 ms,4 ms,0,85 ms,1%,Journal of Internet Services and Applications,https://jisa-journal.org/,,
中,600 Mbps,50 ms,15 ms,3,130 ms,4%,Computers & Electrical Engineering,https://www.journals.elsevier.com/computers-and-electrical-engineering,,
高,3 Gbps,22 ms,5 ms,1,110 ms,3%,Future Internet,https://www.mdpi.com/journal/futureinternet,,
高,2 Gbps,15 ms,3 ms,0,90 ms,1%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,300 Mbps,40 ms,12 ms,5,160 ms,8%,网络通信研究,http://www.networkresearch.org/,,
高,1.5 Gbps,20 ms,6 ms,1,80 ms,2%,TechCrunch,https://techcrunch.com/,,
低,50 Mbps,100 ms,20 ms,10,300 ms,15%,计算机科学与技术学报,http://www.journalofcomputer.org/,,
中,800 Mbps,35 ms,5 ms,3,110 ms,4%,网络世界,https://www.networkworld.com/,,
高,5 Gbps,10 ms,2 ms,0,70 ms,0.5%,Gartner,https://www.gartner.com/,,
低,100 Mbps,80 ms,30 ms,15,250 ms,12%,网络技术,http://www.nwtech.com/,,
高,750 Mbps,18 ms,4 ms,1,95 ms,3%,华为技术,https://www.huawei.com/,,
中,400 Mbps,45 ms,10 ms,4,130 ms,6%,网络安全杂志,http://www.networksecuritymagazine.com/,,
高,3 Gbps,12 ms,1 ms,0,50 ms,1%,ZTE,https://www.zte.com.cn/,,
高,300 Mbps,15 ms,6 ms,1,130 ms,3%,网络与通信研究院,https://www.ncr.ac.cn,,
低,200 Kbps,150 ms,25 ms,5,400 ms,10%,中国计算机网络信息中心,https://www cnnic.cn,,
中,1.5 Gbps,12 ms,4 ms,2,80 ms,2%,IEEE Communications Magazine,https://www.ieee.org/publications_standards/publications/index.html,,
高,750 Mbps,18 ms,3 ms,1,200 ms,1%,网络科技前沿,https://www.networktechfrontier.cn,,
中,500 Mbps,28 ms,7 ms,3,150 ms,4%,华为技术有限公司,https://www.huawei.com,,
高,2 Gbps,10 ms,2 ms,1,60 ms,1%,Cisco官方网站,https://www.cisco.com,,
低,100 Kbps,200 ms,40 ms,6,500 ms,15%,地方电信公司,https://www.localtel.com,,
中,950 Mbps,22 ms,9 ms,2,110 ms,3%,互联网工程任务组,https://www.ietf.org,,
高,800 Mbps,17 ms,5 ms,1,90 ms,2%,计算机科学技术发展研究中心,https://www.cstrd.cn,,
中,1 Gbps,19 ms,6 ms,1,130 ms,3%,全球互联网监测组织,https://www.globalwebmonitor.org,,
高,300 Mbps,15 ms,3 ms,0,90 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
低,50 Mbps,100 ms,20 ms,5,300 ms,10%,网络技术杂志,https://www.networktechmagazine.com/,,
中,2 Gbps,12 ms,2 ms,1,80 ms,1%,通信网络,https://www.commsnetworkjournal.com/,,
高,750 Mbps,18 ms,7 ms,1,150 ms,4%,TechCrunch,https://techcrunch.com/,,
中,200 Mbps,35 ms,10 ms,3,120 ms,5%,前沿科技,https://www.frontline-tech.com/,,
高,1.5 Gbps,22 ms,4 ms,0,70 ms,2%,Gartner,https://www.gartner.com/,,
低,30 Mbps,150 ms,15 ms,7,400 ms,15%,System Design News,https://www.systemdesignnews.com/,,
中,600 Mbps,28 ms,6 ms,2,130 ms,3%,网络信息学报,https://www.networkinfotechjournal.com/,,
高,1.2 Gbps,10 ms,1 ms,0,60 ms,1%,Qualcomm,https://www.qualcomm.com/,,
低,20 Mbps,200 ms,25 ms,10,500 ms,20%,全球通信研究所,https://www.globalcomresearch.org/,,
高,1.5 Gbps,15 ms,7 ms,0,80 ms,3%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,2 Gbps,35 ms,12 ms,4,150 ms,6%,TechRepublic,https://www.techrepublic.com/,,
低,300 Mbps,120 ms,20 ms,10,300 ms,12%,网络世界,http://www.networld.com.cn/,,
高,750 Mbps,10 ms,2 ms,1,50 ms,1%,Computer Networking,https://www.journals.elsevier.com/computer-networks,,
中,600 Mbps,45 ms,9 ms,3,140 ms,5%,Fiber Optic Association,https://www.foa.org/,,
高,2.5 Gbps,18 ms,4 ms,0,70 ms,2%,Akamai Technologies,https://www.akamai.com/,,
中,400 Mbps,50 ms,6 ms,5,160 ms,8%,InformationWeek,https://www.informationweek.com/,,
低,100 Mbps,70 ms,15 ms,8,220 ms,9%,Statistics and Applications,https://www.statistica.com/,,
高,1 Gbps,23 ms,3 ms,1,120 ms,2%,Gartner,https://www.gartner.com/,,
中,900 Mbps,30 ms,5 ms,2,100 ms,4%,Telco Systems,https://www.telcostystems.com/,,
高,2 Gbps,15 ms,3 ms,1,80 ms,2%,IEEE Communications Society,https://www.comsoc.org/,,
中,300 Mbps,45 ms,12 ms,3,160 ms,7%,中国网络技术,http://www.chinacom.org/,,
低,150 Mbps,100 ms,20 ms,5,250 ms,15%,TechCrunch,https://techcrunch.com/,,
中,1.2 Gbps,22 ms,4 ms,2,90 ms,4%,Wired,https://www.wired.com/,,
高,3 Gbps,10 ms,2 ms,1,70 ms,1%,China Telecom Review,http://www.chinatelecomreview.com/,,
低,50 Mbps,200 ms,25 ms,8,500 ms,20%,The Register,https://www.theregister.com/,,
高,800 Mbps,18 ms,6 ms,1,110 ms,3%,Global Telecoms Business,https://www.globaltelecomsbusiness.com/,,
中,600 Mbps,28 ms,9 ms,2,150 ms,5%,Network World,https://www.networkworld.com/,,
高,1 Gbps,12 ms,1 ms,1,75 ms,2%,Telecoms.com,https://telecoms.com/,,
中,400 Mbps,35 ms,11 ms,3,130 ms,6%,Fierce Telecom,https://www.fiercetelecom.com/,,
高,800 Mbps,15 ms,6 ms,1,100 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org,,
中,300 Mbps,40 ms,12 ms,3,180 ms,6%,华为技术有限公司,https://www.huawei.com,,
中,1.5 Gbps,22 ms,4 ms,0,120 ms,4%,网络通讯与服务研究杂志,https://www.journalofnetworking.com,,
高,2 Gbps,10 ms,9 ms,1,150 ms,1%,Cisco Blogs,https://blogs.cisco.com,,
低,50 Mbps,80 ms,20 ms,5,300 ms,10%,未来网络技术趋势报告,https://www.futurenetworktrends.com,,
高,4 Gbps,5 ms,2 ms,0,50 ms,0%,SDN Network Magazine,https://www.sdnetworking.com,,
中,900 Mbps,30 ms,11 ms,2,160 ms,3%,通信政策和技术期刊,https://www.journalofcommpolicy.com,,
高,1.2 Gbps,18 ms,7 ms,1,140 ms,2%,TechCrunch,https://techcrunch.com,,
低,100 Mbps,90 ms,25 ms,6,350 ms,12%,网络和数据通信论坛,https://www.networkdatacom.org,,
中,600 Mbps,35 ms,14 ms,2,110 ms,5%,MIT Technology Review,https://www.technologyreview.com,,
高,2 Gbps,15 ms,3 ms,0,80 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
中,750 Mbps,28 ms,12 ms,3,140 ms,6%,网络技术与应用,https://www.network-tech.org,,
高,500 Mbps,10 ms,4 ms,1,100 ms,1%,TechRadar,https://www.techradar.com,,
低,300 Mbps,60 ms,25 ms,5,300 ms,10%,VoIP Review,https://www.voipreview.org,,
高,1.5 Gbps,18 ms,6 ms,0,70 ms,4%,Gartner,https://www.gartner.com,,
中,600 Mbps,35 ms,10 ms,2,130 ms,5%,Cisco,https://www.cisco.com,,
中,750 Mbps,22 ms,7 ms,2,90 ms,3%,OpenSignal,https://www.opensignal.com,,
高,3 Gbps,12 ms,2 ms,0,50 ms,1%,ITU,https://www.itu.int,,
低,100 Mbps,70 ms,20 ms,6,400 ms,12%,PCMag,https://www.pcmag.com,,
中,900 Mbps,16 ms,5 ms,1,80 ms,2%,Frost & Sullivan,https://www.frost.com,,
高,200 Mbps,15 ms,7 ms,1,160 ms,4%,华为技术有限公司,https://www.huawei.com/cn/technologies/tech-topics,,
中,2 Gbps,10 ms,3 ms,5,110 ms,2%,IEEE通信杂志,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,500 Kbps,100 ms,20 ms,4,300 ms,10%,网络技术研究中心,https://www.wirelessjournal.com/,,
高,1.5 Gbps,18 ms,2 ms,0,80 ms,1%,科技日报,http://www.stdaily.com/,,
中,350 Mbps,35 ms,12 ms,3,130 ms,5%,中国信息通信研究院,http://www.caict.ac.cn/,,
高,600 Mbps,22 ms,6 ms,1,120 ms,3%,中兴通讯,https://www.zte.com.cn/,,
低,2 Mbps,200 ms,30 ms,7,400 ms,15%,全球网络评估中心,https://www.broadbandmap.gov/,,
高,3 Gbps,5 ms,1 ms,0,70 ms,0%,Gartner,https://www.gartner.com/,,
中,800 Mbps,28 ms,9 ms,2,150 ms,5%,CIO科技评论,https://www.cio.com/,,
高,4 Gbps,4 ms,2 ms,0,50 ms,0%,阿里云,https://www.aliyun.com/,,
高,200 Mbps,15 ms,6 ms,0,90 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
低,300 Kbps,120 ms,30 ms,10,300 ms,15%,Network World,https://www.networkworld.com/,,
中,750 Mbps,35 ms,9 ms,3,150 ms,6%,Telecom Review,https://www.telecomreview.com/,,
高,1.5 Gbps,10 ms,4 ms,1,50 ms,1%,Frost & Sullivan,https://www.frost.com/,,
中,400 Mbps,45 ms,19 ms,4,200 ms,8%,Gartner,https://www.gartner.com/,,
高,900 Mbps,20 ms,2 ms,1,80 ms,3%,Telecom Market Research,https://www.telecommarketresearch.com/,,
低,150 Kbps,200 ms,50 ms,15,500 ms,25%,The Verge,https://www.theverge.com/,,
高,2 Gbps,5 ms,1 ms,0,30 ms,0%,Light Reading,https://www.lightreading.com/,,
中,600 Mbps,30 ms,12 ms,2,110 ms,4%,TechCrunch,https://techcrunch.com/,,
低,50 Mbps,150 ms,45 ms,8,250 ms,10%,CNET,https://www.cnet.com/,,
高,2 Gbps,10 ms,3 ms,1,80 ms,2%,中国网络技术网,https://www.chinawlan.net/,,
中,200 Mbps,35 ms,12 ms,3,150 ms,6%,电子科技大学,https://www.uestc.edu.cn/,,
低,50 Mbps,75 ms,20 ms,5,300 ms,10%,华为技术有限公司,https://www.huawei.com/,,
高,5 Gbps,8 ms,2 ms,0,50 ms,1%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,15 ms,7 ms,2,100 ms,4%,通信世界网,http://www.cww.net.cn/,,
高,1.5 Gbps,12 ms,4 ms,1,90 ms,2%,中国计算机网络信息中心,http://www.cnnic.net.cn/,,
低,100 Mbps,90 ms,30 ms,4,250 ms,12%,网络与信息安全,http://www.nis.org.cn/,,
高,3 Gbps,5 ms,1 ms,0,40 ms,1%,国家互联网应急中心,https://www.ngcert.cn/,,
中,400 Mbps,25 ms,9 ms,3,110 ms,5%,网络与信息交通,https://www.nitn.com/,,
高,8 Gbps,9 ms,2 ms,1,60 ms,1%,科学技术部,http://www.most.gov.cn/,,
高,200 Mbps,15 ms,4 ms,0,150 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
低,50 Mbps,100 ms,30 ms,5,300 ms,10%,网络科技论坛,https://www.techforum.com,,
中,750 Mbps,35 ms,6 ms,1,250 ms,4%,华为技术官网,https://www.huawei.com,,
高,2 Gbps,10 ms,2 ms,0,80 ms,1%,Cisco Blogs,https://blogs.cisco.com,,
中,300 Mbps,22 ms,5 ms,3,150 ms,3%,腾讯科技,https://tech.qq.com,,
高,1.5 Gbps,12 ms,3 ms,0,100 ms,2%,全球固网通信协会,https://www.freeconferencecall.com,,
中,400 Mbps,28 ms,7 ms,1,130 ms,4%,网络与通信期刊,https://www.journals.elsevier.com/computer-networks,,
低,15 Mbps,120 ms,50 ms,6,400 ms,15%,信息通信技术部,https://www.miit.gov.cn,,
极高,3 Gbps,5 ms,1 ms,0,50 ms,1%,CIO China,https://www.cio.com.cn,,
高,500 Mbps,18 ms,4 ms,1,120 ms,3%,信息科学与技术杂志,https://www.isps.org,,
高,1.5 Gbps,15 ms,3 ms,0,80 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,300 Mbps,35 ms,12 ms,3,140 ms,6%,Alibaba Cloud,https://www.alibabacloud.com/,,
低,2 Mbps,150 ms,40 ms,10,300 ms,15%,TechRadar,https://www.techradar.com/,,
高,1 Gbps,10 ms,4 ms,1,50 ms,1%,华为技术有限公司,https://www.huawei.com/,,
中,600 Mbps,22 ms,7 ms,2,110 ms,3%,光纤天地,https://www.fiber.com/,,
高,800 Mbps,18 ms,6 ms,1,95 ms,2%,网络世界,https://www.networkworld.com/,,
低,50 Mbps,200 ms,50 ms,8,500 ms,20%,Orangetheory,https://www.orange.com/,,
中,450 Mbps,28 ms,9 ms,3,120 ms,5%,ZTE Corporation,https://www.zte.com.cn/,,
高,2.5 Gbps,7 ms,2 ms,0,40 ms,1%,红米科技,https://www.redmi.com/,,
中,350 Mbps,40 ms,10 ms,5,130 ms,4%,网络信息中心,https://www.nic.com/,,
高,200 Mbps,15 ms,4 ms,0,150 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,300 Mbps,35 ms,10 ms,3,180 ms,6%,中国网络技术,https://www.cnnic.net.cn/,,
低,50 Mbps,120 ms,30 ms,5,250 ms,10%,Red Hat Insights,https://www.redhat.com/en/insights,,
高,2 Gbps,10 ms,3 ms,1,80 ms,1%,Network World,https://www.networkworld.com/,,
中,800 Mbps,22 ms,6 ms,2,100 ms,4%,TechCrunch,https://techcrunch.com/,,
高,1.5 Gbps,17 ms,5 ms,0,160 ms,3%,Gartner,https://www.gartner.com/en,,
中,600 Mbps,30 ms,8 ms,4,110 ms,5%,Cisco Blogs,https://blogs.cisco.com/,,
低,30 Mbps,150 ms,25 ms,6,300 ms,15%,ZDNet,https://www.zdnet.com/,,
高,4 Gbps,8 ms,2 ms,0,70 ms,1%,Ovum,https://www.globaldata.com/store/,,
中,1 Gbps,18 ms,7 ms,2,90 ms,3%,Frost & Sullivan,https://ww2.frost.com/,,
高,300 Mbps,15 ms,7 ms,0,180 ms,1%,IEEE Communications Society,https://www.comsoc.org/,,
低,200 Kbps,120 ms,30 ms,10,300 ms,15%,网络安全与应用期刊,http://www.nsdjournal.org/,,
中,1.5 Gbps,12 ms,4 ms,0,90 ms,2%,光通信技术公司,https://www.opticalcommunication.com/,,
中,850 Mbps,45 ms,20 ms,3,200 ms,5%,中国科学院网络技术研究所,https://www.iiis.ac.cn/english/,,
高,600 Mbps,10 ms,2 ms,1,150 ms,1%,通信与信息技术杂志,http://www.citjournal.org/,,
低,50 Kbps,200 ms,50 ms,15,400 ms,20%,国际网络学会,https://www.internetsociety.org/,,
高,2 Gbps,8 ms,1 ms,0,100 ms,0%,网络与通信期刊,https://www.journals.elsevier.com/computer-networks/,,
中,400 Mbps,25 ms,6 ms,3,130 ms,6%,无线通信与移动计算,https://www.hindawi.com/journals/wcmc/,,
高,1 Tbps,5 ms,1 ms,0,80 ms,0%,未来网络研讨会,http://futureinternetconference.com/,,
低,250 Mbps,150 ms,25 ms,5,300 ms,10%,网络与服务质量国际会议,https://www.qosconference.org/,,
高,200 Mbps,15 ms,4 ms,0,180 ms,1%,华为技术有限公司,https://www.huawei.com/cn/industry-insights,,
中,750 Mbps,28 ms,6 ms,3,110 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,300 Mbps,40 ms,12 ms,5,300 ms,10%,中国通信学会,http://www.chinacommsoc.com,,
高,1.5 Gbps,10 ms,2 ms,1,90 ms,1%,网络与信息安全,https://www.net-security.org,,
中,450 Mbps,22 ms,7 ms,3,130 ms,4%,光明日报,https://www.gmw.cn,,
高,800 Mbps,18 ms,3 ms,1,150 ms,3%,TechCrunch,https://techcrunch.com,,
中,600 Mbps,35 ms,9 ms,4,140 ms,5%,ZDNet,https://www.zdnet.com,,
高,1 Gbps,14 ms,4 ms,1,100 ms,2%,清华大学,http://www.tsinghua.edu.cn,,
低,200 Mbps,45 ms,15 ms,6,350 ms,15%,阿里云,https://www.aliyun.com,,
中,390 Mbps,25 ms,8 ms,2,115 ms,3%,中科院,http://www.cas.cn,,
高,2 Gbps,15 ms,4 ms,1,80 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,22 ms,6 ms,3,130 ms,4%,Journal of Networks,https://www.journalofnetworks.com/,,
高,1.5 Gbps,12 ms,3 ms,0,60 ms,1%,TechCrunch,https://techcrunch.com/,,
低,200 Mbps,80 ms,20 ms,6,300 ms,10%,Network World,https://www.networkworld.com/,,
高,5 Gbps,10 ms,2 ms,0,50 ms,0%,BMC Networks,https://www.bmc.com/network/,,
中,300 Mbps,35 ms,7 ms,4,140 ms,5%,Wired,https://www.wired.com/,,
低,100 Mbps,90 ms,30 ms,5,400 ms,15%,Computer Networking Journal,https://www.journals.elsevier.com/computer-networks,,
高,1 Gbps,18 ms,5 ms,1,90 ms,2%,Communications of the ACM,https://cacm.acm.org/,,
中,400 Mbps,28 ms,10 ms,2,110 ms,3%,Telecommunication Systems Journal,https://www.springer.com/journal/11235,,
高,3 Gbps,14 ms,3 ms,0,70 ms,1%,Arxiv.org,https://arxiv.org/,,
高,150 Mbps,35 ms,6 ms,1,180 ms,4%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,300 Mbps,40 ms,10 ms,3,150 ms,6%,Journal of Information Technology,https://www.jitjournal.org/,,
低,50 Mbps,80 ms,20 ms,5,250 ms,10%,网络技术与应用,https://www.wljsyj.com/,,
高,1.5 Gbps,15 ms,3 ms,1,90 ms,1%,China Communications,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6474466,,
中,200 Mbps,22 ms,9 ms,2,110 ms,5%,Medium,https://medium.com/,,
高,800 Mbps,18 ms,4 ms,0,60 ms,2%,Network World,https://www.networkworld.com/,,
低,25 Mbps,100 ms,40 ms,7,300 ms,15%,IT Weekly,https://itweekly.com/,,
高,2 Gbps,12 ms,2 ms,0,80 ms,1%,TechCrunch,https://techcrunch.com/,,
中,90 Mbps,45 ms,12 ms,2,130 ms,5%,ZTE Journal,https://www.zte.com.cn/,,
高,1 Gbps,25 ms,6 ms,1,100 ms,3%,Telecom Review,https://www.telecomreview.com/,,
高,800 Mbps,15 ms,6 ms,1,180 ms,2%,IEEE Communications Magazine,https://www.ieee802.org/3/,,
中,300 Mbps,35 ms,12 ms,3,110 ms,6%,《中国网络与信息安全》,http://www.cnnis.org/,,
高,2 Gbps,10 ms,3 ms,0,150 ms,1%,国信证券研究所,http://www.guosen.com,,
中,150 Mbps,28 ms,9 ms,4,140 ms,5%,ResearchGate,https://www.researchgate.net/,,
低,50 Mbps,70 ms,25 ms,6,250 ms,7%,TechCrunch,https://www.techcrunch.com/,,
高,5 Gbps,8 ms,1 ms,0,130 ms,2%,MIT Technology Review,https://www.technologyreview.com/,,
中,200 Mbps,45 ms,15 ms,3,120 ms,4%,《网络技术》,http://www.networktechnology.com,,
高,1.5 Gbps,12 ms,5 ms,1,160 ms,3%,Wired,https://www.wired.com/,,
低,30 Mbps,90 ms,20 ms,8,300 ms,10%,《现代信息技术》,http://www.moderninformatic.com,,
中,750 Mbps,18 ms,4 ms,2,100 ms,3%,网络安全技术,http://www.networksecuritytech.com,,
高,800 Mbps,15 ms,3 ms,0,200 ms,2%,IEEE Communications Society,https://www.comsoc.org/,,
中,300 Mbps,40 ms,12 ms,1,90 ms,4%,华为技术有限公司官网,https://www.huawei.com/,,
中,1.5 Gbps,25 ms,7 ms,3,110 ms,5%,中国网络通信有限公司,http://www.chinatelecom.com.cn/,,
高,2 Gbps,10 ms,5 ms,0,150 ms,1%,Network World,https://www.networkworld.com/,,
低,50 Mbps,100 ms,15 ms,5,300 ms,10%,The Register,https://www.theregister.com/,,
高,250 Mbps,20 ms,6 ms,1,120 ms,3%,Gartner,https://www.gartner.com/,,
高,600 Mbps,22 ms,4 ms,1,130 ms,2%,Forrester Research,https://go.forrester.com/,,
低,100 Mbps,200 ms,25 ms,4,400 ms,12%,Telecoms.com,https://telecoms.com/,,
中,800 Mbps,35 ms,10 ms,2,160 ms,4%,Frost & Sullivan,https://www.frost.com/,,
高,1 Gbps,18 ms,9 ms,1,140 ms,1%,Telecommunications Policy Research Conference,http://www.tprcweb.com/,,
高,2 Gbps,15 ms,3 ms,0,80 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,35 ms,12 ms,1,110 ms,4%,China Communications,http://www.comsoc.org/china-communications,,
高,1.5 Gbps,10 ms,4 ms,0,70 ms,1%,Telecommunications Journal,https://www.telecomjournal.com/,,
中,600 Mbps,22 ms,6 ms,2,90 ms,3%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
低,100 Mbps,60 ms,20 ms,5,250 ms,10%,Mobile Networks and Applications,https://www.springer.com/journal/11036,,
中,300 Mbps,45 ms,16 ms,3,130 ms,5%,Computer Networks,https://www.journals.elsevier.com/computer-networks,,
高,900 Mbps,18 ms,7 ms,1,95 ms,2%,Journal of Computer Networks and Communications,https://www.hindawi.com/journals/jcnc/,,
中,250 Mbps,40 ms,9 ms,4,160 ms,6%,Networking Science,http://www.iospress.nl/journal/networking-science/,,
低,50 Mbps,70 ms,25 ms,6,300 ms,15%,International Journal of Network Management,https://onlinelibrary.wiley.com/journal/10991676,,
中,1 Gbps,32 ms,11 ms,2,140 ms,4%,Asia-Pacific Journal of Information Technology and Multimedia,https://www.ajhitm.com/,,
高,300 Mbps,15 ms,7 ms,0,100 ms,1%,IEEE Communications Society,https://www.comsoc.org,,
中,750 Mbps,35 ms,12 ms,3,180 ms,5%,中国通信学会,http://www.cnsoc.org/,,
低,150 Mbps,80 ms,20 ms,6,300 ms,10%,TechCrunch,https://techcrunch.com,,
高,2 Gbps,10 ms,4 ms,1,50 ms,2%,网络安全与信息化,https://www.cyp.edu.cn/,,
中,500 Mbps,40 ms,9 ms,2,160 ms,3%,网络与信息安全,http://www.nis.com.cn,,
高,1.5 Gbps,22 ms,6 ms,1,120 ms,1%,Gartner,https://www.gartner.com,,
低,100 Mbps,100 ms,30 ms,5,250 ms,15%,ZDNet,https://www.zdnet.com,,
中,400 Mbps,45 ms,11 ms,3,140 ms,4%,CQF Tech Review,https://www.cqftechreview.com,,
高,1 Gbps,18 ms,5 ms,0,80 ms,2%,International Journal of Network Management,https://www.internationaljournalofnetworkmanagement.com,,
中,600 Mbps,29 ms,14 ms,4,170 ms,6%,Huawei Technologies,https://www.huawei.com,,
高,1.5 Gbps,15 ms,4 ms,0,80 ms,2%,IEEE Communications Society,https://www.comsoc.org/,,
中,300 Mbps,40 ms,12 ms,5,180 ms,6%,华中科技大学,http://www.hust.edu.cn/,,
低,50 Mbps,80 ms,20 ms,10,300 ms,10%,TechCrunch,https://techcrunch.com/,,
高,2 Gbps,10 ms,3 ms,1,60 ms,1%,网络工程师,http://www.neteng.com/,,
中,750 Mbps,22 ms,7 ms,3,140 ms,3%,IEEE Xplore,https://ieeexplore.ieee.org/,,
高,100 Mbps,18 ms,6 ms,0,100 ms,2%,阿里技术,https://tech.aliyun.com/,,
中,1 Gbps,35 ms,15 ms,4,120 ms,5%,计算机科学与技术学报,http://jcst.ict.ac.cn/,,
低,200 Mbps,70 ms,25 ms,8,250 ms,15%,网络世界,http://www.networkworld.com/,,
高,1.2 Gbps,12 ms,2 ms,1,90 ms,1%,信息技术与网络,https://www.infotechnet.com/,,
高,3 Gbps,8 ms,1 ms,0,50 ms,0.5%,计算机网络,http://www.cnki.net/,,
中,350 Mbps,15 ms,7 ms,1,110 ms,3%,IEEE Xplore,https://ieeexplore.ieee.org/,,
高,150 Mbps,45 ms,11 ms,0,200 ms,7%,网络技术杂志,https://www.networktechnologyjournal.com/,,
低,50 Mbps,70 ms,20 ms,5,250 ms,15%,计算机科学与技术,https://www.journalofcomputerscience.com/,,
中,800 Mbps,10 ms,4 ms,2,90 ms,2%,通信世界,https://www.communicationsworld.com/,,
高,2 Gbps,12 ms,2 ms,0,80 ms,1%,光纤通信,https://www.opticalcommunication.com/,,
中,600 Mbps,22 ms,6 ms,3,150 ms,4%,网络工程师,https://www.networkengineer.com/,,
高,1.2 Gbps,18 ms,3 ms,1,100 ms,5%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
低,25 Mbps,90 ms,25 ms,7,300 ms,20%,网络时代,https://www.cyberspacemagazine.com/,,
高,3 Gbps,8 ms,1 ms,0,70 ms,0%,Telecommunication Systems,https://link.springer.com/journal/11235,,
中,400 Mbps,30 ms,5 ms,2,130 ms,6%,Networking Research Journal,https://www.networkingresearchjournal.com/,,
高,200 Mbps,15 ms,4 ms,0,180 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,30 ms,7 ms,3,110 ms,6%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
高,1.2 Gbps,10 ms,2 ms,1,160 ms,1%,通信学报,http://www.ctjournal.cn/,,
低,100 Mbps,200 ms,25 ms,5,300 ms,10%,TechCrunch,https://techcrunch.com/,,
中,500 Mbps,40 ms,6 ms,2,150 ms,4%,Wired,https://www.wired.com/,,
高,900 Mbps,12 ms,3 ms,0,130 ms,2%,arXiv,https://arxiv.org/,,
中,300 Mbps,45 ms,12 ms,2,140 ms,5%,Digital Communications and Networks,https://www.elsevier.com/journals/digital-communications-and-networks,,
高,2 Gbps,8 ms,1 ms,0,100 ms,1%,Scientific Reports,https://www.nature.com/srep/,,
低,50 Mbps,1 s,100 ms,10,500 ms,15%,Network World,https://www.networkworld.com/,,
中,600 Mbps,25 ms,10 ms,1,120 ms,3%,Journal of Telecommunications,https://www.journaloftelecommunications.com/,,
高,2 Gbps,15 ms,4 ms,0,80 ms,2%,华为技术有限公司,https://www.huawei.com/cn/technology,,
中,300 Mbps,35 ms,12 ms,3,140 ms,6%,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,50 Mbps,90 ms,25 ms,5,300 ms,10%,国家自然科学基金,https://www.nsfc.gov.cn/,,
高,5 Gbps,10 ms,2 ms,0,50 ms,1%,中国信息通信研究院,https://www.caict.ac.cn/,,
中,750 Mbps,45 ms,18 ms,2,110 ms,4%,网络电信,https://www.networktelecom.com/,,
高,1.5 Gbps,25 ms,6 ms,1,90 ms,3%,TechCrunch,https://techcrunch.com/,,
低,20 Mbps,120 ms,30 ms,8,400 ms,12%,京东科技,https://tech.jd.com/,,
中,600 Mbps,55 ms,15 ms,3,130 ms,5%,中国科技大学,https://www.ustc.edu.cn/,,
高,3 Gbps,12 ms,3 ms,0,60 ms,2%,清华大学,https://www.tsinghua.edu.cn/,,
中,400 Mbps,28 ms,9 ms,2,100 ms,4%,网易科技,https://tech.163.com/,,
高,200 Mbps,15 ms,7 ms,0,180 ms,1%,IEEE Communication Surveys,https://www.ieeecommunicationsurvey.com,,
中,1.5 Gbps,22 ms,4 ms,2,100 ms,2%,网络与信息安全学报,http://www.nissjournal.com,,
低,50 Mbps,90 ms,20 ms,5,300 ms,10%,通信学报,http://www.journalofcommunications.cn,,
高,2 Gbps,10 ms,3 ms,0,50 ms,0%,中国网络技术研究院,https://www.cnnct.net.cn,,
中,700 Mbps,18 ms,6 ms,1,110 ms,2.5%,《光通信技术》,http://www.gctjournal.com,,
高,3 Gbps,12 ms,2 ms,0,70 ms,0.5%,TechRadar,https://www.techradar.com,,
中,400 Mbps,45 ms,12 ms,3,130 ms,6%,Gartner Research,https://www.gartner.com,,
低,30 Mbps,100 ms,25 ms,6,250 ms,15%,CIO杂志,https://www.cio.com,,
