基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
区块链网络基础设施,10 Mbps,100 Mbps,高,CoinTelegraph,https://cointelegraph.com/,,
5G NR网络,100 Mbps,1 Gbps,高,IT之家,https://www.ithome.com/,,
光纤到户 (FTTH),1 Gbps,2 Gbps,高,中软国际,https://www.chinasofti.com/,,
低轨道卫星互联网,20 Mbps,60 Mbps,中,光纤网,https://www.guangfannet.com/,,
微波通信,10 Mbps,100 Mbps,低,Cisco,https://www.cisco.com/,,
DSL (光纤到DSL),1 Mbps,24 Mbps,中,网易科技,https://tech.163.com/,,
有线电视宽带,5 Mbps,150 Mbps,高,搜狐科技,https://it.sohu.com/,,
光纤及以太网络,10 Gbps,10 Gbps,高,华为云,https://support.huaweicloud.com/,,
长距离光纤网络,1 Gbps,20 Gbps,高,中国信息通信研究院,https://www.caiyue.com.cn/,,
校园光纤网络,2 Gbps,10 Gbps,高,思科网络在线,https://www.cisco.com/c/en/us/home.html,,
专线光纤解决方案,10 Mbps,500 Mbps,高,中国电信,https://www.chinatelecom.com.cn/,,
5G NR (New Radio),150 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
电力线通信 (PLC),100 Mbps,300 Mbps,中,新华网,https://www.xinhuanet.com,,
宽带卫星网络,10 Mbps,25 Mbps,中,国际电信联盟,https://www.itu.int,,
以太网,1 Gbps,10 Gbps,高,IEEE,https://www.ieee.org,,
Wi-Fi 6 (802.11ax),75 Mbps,600 Mbps,中,中国信息通信研究院,https://www.caiw.gov.cn,,
超级宽带（Super Broadband）,2 Gbps,10 Gbps,高,凯迪拉克网络,https://www.kdnetwork.com,,
光纤射频接入 (RFoG),200 Mbps,1 Gbps,高,Fiber Optic Association,https://www.foa.org,,
智能家居网络 (Smart Home),50 Mbps,150 Mbps,中,TechCrunch,https://techcrunch.com,,
固定无线接入 (FWA),30 Mbps,100 Mbps,中,阿里云,https://www.aliyun.com,,
5G NR网络,100 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
光纤到户 (FTTH),2 Gbps,2 Gbps,高,阿里云,https://www.aliyun.com/,,
DSL（数字用户线）,1 Mbps,20 Mbps,中,京东云,https://www.jdcloud.com/,,
卫星互联网,25 Mbps,100 Mbps,低,国家无线电管理局,http://www.wxc.gov.cn/,,
混合光纤同轴网络 (HFC),50 Mbps,400 Mbps,中,中国联通,https://www.10010.com/,,
Wi-Fi 6 (802.11ax),1.5 Gbps,9.6 Gbps,高,华为技术有限公司,https://www.huawei.com/,,
光纤电缆,10 Gbps,10 Gbps,高,北京通信研究院,http://www.ict.ac.cn/,,
电力线通信 (PLC),5 Mbps,100 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
长距离无线网络 (LPWAN),0.1 Mbps,1 Mbps,低,物联网产业联盟,http://www.lora-alliance.org/,,
点对点微波链路,200 Mbps,500 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤接入,2 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/,,
数字用户线（VDSL）,1 Mbps,35 Mbps,中,百度云,https://cloud.baidu.com/,,
5G NR 网络,100 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无线路由器技术 (Wi-Fi 6),600 Mbps,1.2 Gbps,中,TP-Link,https://www.tp-link.com/,,
卫星网络,5 Mbps,25 Mbps,低,老虎宽带,https://www.laohukd.com/,,
光纤到户 (FTTH),1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
光纤到楼 (FTTB),500 Mbps,2 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
数据中心互连 (DCI),3 Gbps,3 Gbps,高,华为云,https://support.huaweicloud.com/,,
电信光纤网络,300 Mbps,2 Gbps,中,爱基础,https://www.ibase.com/,,
光纤分布式接入 (DAS),1.5 Gbps,6 Gbps,高,高通,https://www.qca.qualcomm.com/,,
卫星互联网,15 Mbps,50 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
5G网络,100 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
DSL（光纤到户）,200 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无线路由器网络（Wi-Fi 6）,1 Gbps,10 Gbps,高,TP-Link,https://www.tp-link.com/,,
光纤接入服务（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
宽带无线接入（WBA）,40 Mbps,200 Mbps,中,诺基亚,https://www.nokia.com/,,
高速校园网络（Gigabit Ethernet）,1 Gbps,5 Gbps,高,校园网,https://www.university.edu/,,
电力线通信（PLC）,20 Mbps,100 Mbps,低,电力公司,https://www.utilitycompany.com/,,
移动边缘计算网络（MEC）,500 Mbps,1.5 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到楼（FTTB）,250 Mbps,1 Gbps,高,城市信息网,https://www.cityinfo.com/,,
5G网络,1 Gbps,10 Gbps,高,小米科技,https://www.mi.com/,,
光纤接入（FTTH）,100 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
固定无线接入,15 Mbps,75 Mbps,中,华为,https://www.huawei.com/,,
卫星互联网连接,5 Mbps,25 Mbps,低,SpaceX Starlink,https://www.starlink.com/,,
电力线通信（PLC）,20 Mbps,50 Mbps,中,全国电网公司,http://www.sgcc.com.cn/,,
光网通 (GPON),400 Mbps,2 Gbps,高,阿里云,https://www.aliyun.com/,,
低轨道卫星互联网,30 Mbps,150 Mbps,高,OneWeb,https://www.oneweb.world/,,
局域网（LAN）,1 Gbps,1 Gbps,高,Cisco,https://www.cisco.com/,,
DOCSIS 3.1,1 Gbps,10 Gbps,中,康宁公司,https://www.corning.com/,,
混合光缆网络（PON）,200 Mbps,1 Gbps,高,光纤通信网,http://www.fiberoptic.com/,,
5G NR网络,150 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤到户（FTTH）,2 Gbps,10 Gbps,高,中国电信,https://www.ct.com.cn/,,
卫星宽带,1 Mbps,25 Mbps,中,阿里巴巴云,https://www.aliyun.com/,,
光纤铜缆混合接入,100 Mbps,500 Mbps,中,知乎科技,https://www.zhihu.com/,,
无线局域网（WLAN）,20 Mbps,200 Mbps,高,网易云,https://www.163.com/,,
DSL（数字订阅线路）,1 Mbps,24 Mbps,中,百度云,https://cloud.baidu.com/,,
高通量卫星网络,10 Mbps,50 Mbps,中,华为云,https://support.huaweicloud.com/,,
Li-Fi（光无线网络）,100 Mbps,200 Mbps,高,腾讯云,https://cloud.tencent.com/,,
以太网接入,1 Gbps,10 Gbps,高,小米科技,https://www.mi.com/,,
分布式接入网络（DAS）,50 Mbps,400 Mbps,高,米兔科技,https://www.mitu.com/,,
5G网络,1 Gbps,20 Gbps,高,中国移动,https://www.chinamobileltd.com,,
固网宽带,100 Mbps,1 Gbps,高,腾讯云,https://cloud.tencent.com,,
卫星宽带,5 Mbps,25 Mbps,中,中国卫通,http://www.chinasatellite.com,,
光纤接入,2 Gbps,10 Gbps,高,华为,https://www.huawei.com,,
电力线宽带,200 Mbps,600 Mbps,中,国网公司,http://www.sgcc.com.cn,,
WiMAX,10 Mbps,100 Mbps,高,中兴通讯,https://www.zte.com.cn,,
固定无线接入（FWA）,1 Mbps,50 Mbps,中,阿里云,https://www.aliyun.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,联通,https://www.chinaunicom.com,,
Cable Modem,30 Mbps,150 Mbps,高,今日头条,https://www.toutiao.com,,
光传输网络 （OTN）,10 Gbps,40 Gbps,高,中兴网信,http://www.zte.com.cn,,
5G网络,100 Mbps,1 Gbps,高,中国国际电信,https://www.citic.com/,,
光纤到户 (FTTH),2 Gbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
卫星互联网,30 Mbps,100 Mbps,低,卫星地面站,https://www.satellite.com/,,
无线局域网 (Wi-Fi 6),300 Mbps,1.2 Gbps,中,博通,https://www.broadcom.com/,,
电力线通信 (PLC),100 Mbps,500 Mbps,中,电力公司,https://www.electriccompany.com/,,
无线路由器（LTE-A）,150 Mbps,450 Mbps,中,小米公司,https://www.mi.com/,,
光纤分配网络 (ODN),10 Gbps,10 Gbps,高,华为,https://www.huawei.com/,,
移动宽带 (MBB),80 Mbps,200 Mbps,高,新浪科技,https://tech.sina.com.cn/,,
虚拟专用网络 (VPN),50 Mbps,300 Mbps,中,Cloudflare,https://www.cloudflare.com/,,
创新型接入网络 (IAN),20 Mbps,600 Mbps,高,爱立信,https://www.ericsson.com/,,
5G网络,100 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤接入,2.5 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
Cable Modem,5 Mbps,200 Mbps,中,美国有线电视新闻网,https://www.cnn.com/,,
光纤到户（FTTH）,1 Gbps,5 Gbps,高,日本电信,https://www.ntt.com/,,
DSL网络,1 Mbps,20 Mbps,中,英国电信,https://www.bt.com/,,
卫星互联网,2 Mbps,25 Mbps,低,SpaceX Starlink,https://www.starlink.com/,,
固定无线接入,10 Mbps,100 Mbps,中,AT&T,https://www.att.com/,,
边缘计算网络,50 Mbps,200 Mbps,高,德勤,https://www2.deloitte.com/,,
VDSL,1 Mbps,100 Mbps,中,法新社,https://www.afp.com/,,
HSPA网络,10 Mbps,42 Mbps,中,三星电子,https://www.samsung.com/,,
光纤接入,2 Gbps,20 Gbps,高,京东云,https://www.jdcloud.com/,,
VDSL技术,100 Mbps,50 Mbps,中,阿里云,https://www.aliyun.com/,,
5G网络,150 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
固定无线接入,30 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
光纤到户（FTTH）,1 Gbps,10 Gbps,高,工信部,https://www.miit.gov.cn/,,
光纤分布式天线系统（DAS）,30 Mbps,400 Mbps,高,中国网络电视台,http://www.cntv.cn/,,
毫米波通信,200 Mbps,2 Gbps,中,华为技术有限公司,https://www.huawei.com/,,
超级宽带,5 Gbps,50 Gbps,高,网易科技,https://tech.163.com/,,
窄带物联网（NB-IoT）,10 kbps,100 kbps,中,互联网信息中心,https://www.cnnic.net.cn/,,
数字信号处理网络,25 Mbps,250 Mbps,中,小米科技,https://www.mi.com/,,
Wi-Fi 6E,1 Gbps,9.6 Gbps,高,网络世界,https://www.networkworld.com/,,
光纤到户（FTTH）,2 Gbps,20 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn/,,
移动5G网络,150 Mbps,1 Gbps,中,网易科技,https://tech.163.com/,,
DSL（数字用户线）,1 Mbps,24 Mbps,低,搜狐科技,https://www.sohu.com/,,
卫星宽带,5 Mbps,25 Mbps,中,太平洋电脑网,https://www.pconline.com.cn/,,
4G LTE Advanced,75 Mbps,300 Mbps,中,Digital Trends,https://www.digitaltrends.com/,,
光纤继电器网络,500 Mbps,5 Gbps,高,中国网,https://www.china.com.cn/,,
无线点对点连接,20 Mbps,200 Mbps,高,科技日报,http://www.stdaily.com/,,
电力线通信（PLC）,30 Mbps,150 Mbps,中,IT之家,https://www.ithome.com/,,
光纤到网络设备（FTTDP）,1 Gbps,10 Gbps,高,赛迪网,https://www.ccidnet.com/,,
卫星宽带,500 kbps,25 Mbps,中,中国广播电视网,https://www.cntv.com/,,
固定无线接入 (FWA),20 Mbps,100 Mbps,高,工信部,https://www.miit.gov.cn/,,
FTTH (光纤到户),2 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
微波接入,10 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
DOCSIS 3.1,1 Gbps,10 Gbps,高,华为技术支持,https://www.huawei.com/cn/,,
DSL (数字用户线路),1 Mbps,24 Mbps,中,搜狐科技,https://www.sohu.com/,,
4G LTE Advanced,150 Mbps,1 Gbps,中,新浪科技,https://tech.sina.com.cn/,,
Wi-Fi 6,1 Gbps,9.6 Gbps,中,IT之家,https://www.ithome.com/,,
5G网络,1-3 Gbps,10 Gbps,高,中国移动,https://www.10086.cn/,,
互联网协议电视(IPTV),1 Mbps,30 Mbps,中,网易科技,https://tech.163.com/,,
全光纤接入 (FTTH),2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
卫星宽带,5 Mbps,100 Mbps,中,SpaceX,https://www.spacex.com/,,
5G NR（新无线接入）,200 Mbps,1 Gbps,高,华为,https://www.huawei.com/,,
电力线宽带 (PLMN),20 Mbps,90 Mbps,中,国家电网,http://www.sgcc.com.cn/,,
VDSL (超高速数字用户线),50 Mbps,100 Mbps,高,中国联通,http://www.chinaunicom.com/,,
共享4G网络,30 Mbps,150 Mbps,中,京东云,https://cloud.jd.com/,,
固定无线接入,10 Mbps,40 Mbps,中,Netgear,https://www.netgear.com/,,
小区级光网,1 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com/,,
先进的HFC网络,100 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
边缘计算网络,50 Mbps,500 Mbps,中,AWS,https://aws.amazon.com/,,
千兆光纤,2 Gbps,20 Gbps,高,全球互联网观察,https://www.globalinternetwatch.org/,,
卫星宽带,10 Mbps,50 Mbps,中,卫星通讯网,https://www.satellitecommunication.net/,,
固定无线接入,30 Mbps,100 Mbps,中,未来网络技术,https://www.futurenetworktech.com/,,
DSL网络,1 Mbps,24 Mbps,低,电信行业分析,https://www.telecomindustryanalysis.com/,,
5G NR,100 Mbps,1 Gbps,高,技术前沿,https://www.techfrontiers.org/,,
以太网接入,1 Gbps,1 Gbps,高,网络科技资讯,https://www.networktechnews.com/,,
光纤到户 (FTTH),1 Gbps,10 Gbps,高,中国信息通信研究院,https://www.cnii.com.cn/,,
Mesh网络,50 Mbps,300 Mbps,中,数字化网络解决方案,https://www.digitalnetworksoulutions.com/,,
电力线通信 (PLC),25 Mbps,100 Mbps,低,能源与通信杂志,https://www.energycommunicationjournal.com/,,
下一代光网络,10 Gbps,100 Gbps,高,网络技术研究所,https://www.nwtechresearch.org/,,
卫星互联网,3 Mbps,25 Mbps,低,SpaceX Starlink,https://www.starlink.com/,,
5G网络,100 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
高速电缆,10 Mbps,500 Mbps,中,阿里云,https://www.aliyun.com/,,
光接入网 (GPON),2.5 Gbps,10 Gbps,高,网信集团,https://www.net.cn/,,
有线电视宽带接入,30 Mbps,300 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
移动宽带 (4G LTE),25 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com/,,
混合光纤同轴电缆 (HFC),50 Mbps,1.5 Gbps,高,英特尔,https://www.intel.com/,,
数字用户线 (VDSL),30 Mbps,100 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
生态公益宽带网络,1 Mbps,5 Mbps,低,社会企业联合会,https://www.socialenterprise.org/,,
城市光网,1 Gbps,10 Gbps,高,城市建设局,https://www.city.gov/,,
光纤宽带,2 Gbps,20 Gbps,高,中国联通,https://www.chinaunicom.com/,,
卫星互联网,300 kbps,25 Mbps,中,阿里云,https://www.aliyun.com/,,
DOCSIS 3.1,1 Gbps,10 Gbps,高,思科系统,https://www.cisco.com/,,
5G网络,100 Mbps,1 Gbps,中,中兴通讯,https://www.zte.com.cn/,,
VDSL,1.5 Mbps,30 Mbps,低,中国电信,https://www.chinatelecom.com.cn/,,
毫米波技术,1 Gbps,4 Gbps,高,联发科技,https://www.mediatek.com/,,
光纤环网,10 Gbps,40 Gbps,高,展示网,https://www.zhanwei.com/,,
FTTH（光纤到户）,1 Gbps,10 Gbps,高,京东云,https://www.jddcloud.com/,,
固定无线接入,5 Mbps,50 Mbps,中,AWS云,https://aws.amazon.com/,,
IPTV技术,2 Mbps,20 Mbps,低,搜狗云,https://www.sogou.com/,,
5G网络,100 Mbps,1 Gbps,高,国家广播电视总局,https://www.sapprft.gov.cn/,,
光纤接入,2 Gbps,20 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
卫星互联网,30 Mbps,50 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
有线电视网,512 kbps,15 Mbps,中,中国广电,https://www.cbtv.com/,,
DSL,1 Mbps,10 Mbps,低,行业资讯网,https://www.zgjxw.net/,,
云计算平台,150 Mbps,1.5 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到户 (FTTH),800 Mbps,10 Gbps,高,百度云,https://cloud.baidu.com/,,
无线局域网 (WLAN),20 Mbps,200 Mbps,中,Cisco,https://www.cisco.com/,,
长距离光纤通信,4 Gbps,40 Gbps,高,诺基亚,https://www.nokia.com/,,
LTE-Advanced,150 Mbps,600 Mbps,中,Qualcomm,https://www.qualcomm.com/,,
5G网络,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobileltd.com,,
光纤接入网 (FTTH),500 Mbps,2 Gbps,高,光纤网,https://www.fiber.com,,
有线电视网 (CATV),1 Mbps,600 Mbps,中,网络技术论坛,https://forum.networktech.com,,
卫星互联网,25 Mbps,100 Mbps,低,卫星网络协会,https://www.satellitenetworks.org,,
窄带物联网 (NB-IoT),250 kbps,250 kbps,高,互联网物联网论坛,https://iotforum.com,,
DSL网络,1.5 Mbps,15 Mbps,中,网路进步资讯,https://www.networkprogress.com,,
微波通信网络,10 Mbps,100 Mbps,中,无线通讯技术,https://www.radiocommtech.com,,
随机存取存储器 (RAM),1 Gbps,2 Gbps,高,电子科技杂志,https://www.electronicscience.com,,
以太网 (Ethernet),1 Gbps,1 Gbps,高,通信电信界,https://www.telecomjournal.com,,
FTTH (光纤到户),2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
微波通信,150 Mbps,600 Mbps,中,联通网络,https://www.chinaunicom.com/,,
固定无线接入,50 Mbps,300 Mbps,低,中兴通讯,https://www.zte.com.cn/,,
5G NR (新无线接入技术),100 Mbps,1 Gbps,中,华为技术,https://www.huawei.com/cn/,,
卫星互联网,25 Mbps,175 Mbps,高,星链（Starlink）,https://www.starlink.com/,,
电缆调制解调器,30 Mbps,600 Mbps,中,康宁公司,https://www.corning.com/worldwide/en.html,,
光纤分布式接入,200 Mbps,1.5 Gbps,高,阿里云,https://www.aliyun.com/,,
微波链路,80 Mbps,500 Mbps,低,移动通信,https://www.chinamobileltd.com/,,
高容量光纤网络,10 Gbps,40 Gbps,高,腾讯云,https://cloud.tencent.com/,,
DSL技术,512 kbps,16 Mbps,中,爱立信,https://www.ericsson.com/,,
光纤接入,2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
下一代无线网络 (5G),100 Mbps,1 Gbps,中,IMT-2020,https://www.imt-2020.org/,,
宽带无线接入 (WBA),20 Mbps,120 Mbps,高,华为,https://www.huawei.com/cn/solutions/broadband,,
智能家居网络,300 Mbps,800 Mbps,中,小米科技,https://www.mi.com/,,
以太网接入,10 Gbps,10 Gbps,高,美国国家标准与技术研究所 (NIST),https://www.nist.gov/,,
卫星互联网,1 Mbps,25 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
光纤到户 (FTTH),1 Gbps,2 Gbps,高,中国联通,https://www.10010.com/,,
固定无线接入 (FWA),50 Mbps,200 Mbps,高,AT&T,https://www.att.com/,,
电力线通信 (PLC),20 Mbps,100 Mbps,中,IEEE,https://www.ieee.org/,,
微波传输网络,45 Mbps,400 Mbps,高,中兴通讯,https://www.zte.com.cn/,,
光纤接入,1 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com/,,
微波通信,150 Mbps,200 Mbps,高,中兴通讯,https://www.zte.com.cn/,,
DSL (VDSL2),40 Mbps,100 Mbps,中,中国电信,http://www.chinatelecom.com.cn/,,
5G网络,200 Mbps,1 Gbps,高,移动通信协会,https://www.ccsa.org.cn/,,
卫星互联网,25 Mbps,100 Mbps,中,Inmarsat,https://www.inmarsat.com/,,
光纤同轴电缆混合网 (HFC),30-200 Mbps,500 Mbps,高,小米科技,https://www.mi.com/,,
FTTH (光纤到户),10 Gbps,10 Gbps,高,电信研究院,https://www.cai.gov.cn/,,
无线通信（WiMax）,3 Mbps,50 Mbps,中,Cisco,https://www.cisco.com/,,
网络虚拟化,500 Mbps,1 Gbps,高,思科系统,https://www.cisco.com/,,
固定无线接入,20 Mbps,80 Mbps,低,高通,https://www.qualcomm.com/,,
5G网络,100 Mbps,1 Gbps,高,中国移动,https://www.10086.cn/,,
卫星互联网,500 kbps,25 Mbps,中,星链,https://www.starlink.com/,,
以太网 (Ethernet),1 Gbps,1 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到户 (FTTH),10 Gbps,10 Gbps,高,中国联通,https://www.chinaunicom.com/,,
DOCSIS 3.1,200 Mbps,1 Gbps,中,康卡斯特,https://www.comcast.com/,,
无线局域网 (Wi-Fi 6),150 Mbps,1.2 Gbps,中,网件,https://www.netgear.com/,,
宽带无线接入 (WBA),50 Mbps,500 Mbps,高,高通,https://www.qualcomm.com/,,
MPLS网络,400 Mbps,400 Mbps,中,AT&T,https://www.att.com/,,
光纤接入网 (PON),2.5 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
云基网络,1.5 Gbps,1.5 Gbps,中,华为云,https://www.huaweicloud.com/,,
多接入边缘计算 (MEC),5 Gbps,20 Gbps,高,网易科技,https://tech.163.com/,,
卫星宽带,1 Mbps,25 Mbps,低,中国信息通信研究院,https://www.caict.ac.cn/,,
第五代移动通信 (5G),150 Mbps,1 Gbps,中,华为开发者,https://developer.huawei.com/,,
动态光网络,10 Gbps,10 Gbps,高,光纤在线,https://www.fiberopticsonline.com/,,
无线路由 (Wi-Fi 6),1.5 Gbps,9.6 Gbps,高,TechCrunch,https://techcrunch.com/,,
光纤接入（FTTP）,2 Gbps,10 Gbps,高,ZDNet,https://www.zdnet.com/,,
分布式天线系统 (DAS),100 Mbps,1 Gbps,中,IT之家,https://www.ithome.com/,,
家庭网络 （Mesh Wi-Fi）,500 Mbps,3 Gbps,高,Gizmodo,https://gizmodo.com/,,
自组织网络 (SON),300 Mbps,2 Gbps,中,通信世界网,https://www.c114.net/,,
有线电视数据网络 (HFC),10 Mbps,500 Mbps,高,南方周末,https://www.infzm.com/,,
5G网络,1 Gbps,20 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn/,,
光纤到户（FTTH）,2 Gbps,10 Gbps,中,阿里云,https://www.aliyun.com/,,
无线局域网 (WLAN),100 Mbps,500 Mbps,低,华为官网,https://www.huawei.com/,,
卫星互联网,50 Mbps,100 Mbps,中,港湾网络,https://www.1000sh.com/,,
数字用户线（VDSL）,60 Mbps,100 Mbps,高,电信研究院,https://www.chinateg.com/,,
以太网接入,1 Gbps,1 Gbps,中,腾讯云,https://cloud.tencent.com/,,
固定无线接入（FWA）,200 Mbps,800 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤电缆（FO）,10 Gbps,40 Gbps,高,信息产业部,http://www.miit.gov.cn/,,
边缘计算节点网络,5 Gbps,25 Gbps,高,亚马逊云计算,https://aws.amazon.com/,,
混合光纤同轴电缆 (HFC),100 Mbps,500 Mbps,高,米哈游,https://www.mihoyo.com/,,
PON光网络,2 Gbps,10 Gbps,高,中国信息通信研究院,https://www.caiinfo.org/,,
高通量卫星通信,10 Mbps,100 Mbps,中,卫星通信网,https://www.satcom.com/,,
5G NR,200 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
VDSL,1.5 Mbps,50 Mbps,低,IT之家,https://www.ithome.com/,,
FTTx网络,1 Gbps,10 Gbps,高,网易科技,https://tech.163.com/,,
Cable Modem,30 Mbps,300 Mbps,中,TechCrunch,https://techcrunch.com/,,
Wi-Fi 6,1.2 Gbps,9.6 Gbps,高,华为技术有限公司,https://www.huawei.com/,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com/,,
DSL,512 kbps,12 Mbps,中,新浪网,https://www.sina.com.cn/,,
混合光纤同轴电缆,20 Mbps,500 Mbps,中,光纤网,https://www.opticfiber.com/,,
无纺布接入,200 Mbps,1 Gbps,高,网易科技,https://tech.163.com,,
卫星互联网,5 Mbps,25 Mbps,中,美国西部卫星,https://www.westernsatellite.com,,
固定无线接入（FWA）,100 Mbps,500 Mbps,高,高速网CEO,https://www.gaozhinet.com,,
5G网络,150 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn,,
光纤点对点网络,2 Gbps,2 Gbps,高,京东云,https://cloud.jd.com,,
承载网,1 Gbps,10 Gbps,中,光网时代,https://www.glow.net,,
电缆电视网络,30 Mbps,200 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
VoIP网络,256 kbps,1 Mbps,低,易信通讯,https://www.yixin.com,,
边缘计算网络,1.5 Gbps,6 Gbps,高,阿里云,https://www.aliyun.com,,
光纤到户（FTTH）,10 Mbps,100 Mbps,高,爱立信,https://www.ericsson.com,,
全光纤接入,5 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到户（FTTH）,2 Gbps,10 Gbps,高,京东云,https://www.jcloud.com/,,
卫星宽带,1 Mbps,25 Mbps,中,中国卫通,https://www.chinasatcom.com/,,
5G 基站网络,100 Mbps,1 Gbps,中,中兴通讯,https://www.zte.com.cn/,,
DSL（光纤增强）,3 Mbps,24 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
蒙古电信光纤,150 Mbps,600 Mbps,高,蒙古电信,https://www.mongoltelecom.mn/,,
电力线载波通信（PLC）,100 Mbps,200 Mbps,低,国家能源局,http://www.nea.gov.cn/,,
固定无线网络,20 Mbps,50 Mbps,中,IT168,https://www.it168.com/,,
城市WiFi网络,5 Mbps,30 Mbps,低,新浪科技,https://tech.sina.com.cn/,,
低轨卫星互联网,50 Mbps,150 Mbps,高,SpaceX,https://www.spacex.com/Starlink/,,
光纤接入,2 Gbps,20 Gbps,高,中国电信,https://www.chinaet.com/,,
数字用户线（VDSL）,1 Mbps,35 Mbps,中,阿里云,https://cloud.aliyun.com/,,
5G网络,200 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
卫星互联网,25 Mbps,100 Mbps,低,SpaceX,https://www.spacex.com/,,
混合光纤同轴电缆（HFC）,30 Mbps,500 Mbps,高,小米科技,https://www.mi.com/,,
城市有线网络（DOCSIS 3.1）,1 Gbps,1 Gbps,中,联通,https://www.chinaunicom.com/,,
固网宽带,10 Mbps,100 Mbps,高,网易,https://www.163.com/,,
宽带无线接入（WIMAX）,5 Mbps,50 Mbps,低,腾讯,https://www.tencent.com/,,
宽带光纤网,100 Mbps,500 Mbps,高,搜狐,https://www.sohu.com/,,
短距离网络（FTTP）,2 Gbps,10 Gbps,高,百度,https://www.baidu.com/,,
5G NR,100 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤接入 (FTTH),2 Gbps,20 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无线数字用户线,1 Mbps,10 Mbps,中,爱立信,https://www.ericsson.com/,,
卫星互联网,5 Mbps,50 Mbps,低,Starlink,https://www.starlink.com/,,
DOCSIS 3.1,1 Gbps,2 Gbps,高,Comcast,https://www.xfinity.com/,,
VDSL,30 Mbps,100 Mbps,中,AT&T,https://www.att.com/,,
HSPA+,42 Mbps,168 Mbps,中,T-Mobile,https://www.t-mobile.com/,,
FTTN (光纤到节点),50 Mbps,100 Mbps,中,Verizon,https://www.verizon.com/,,
T1线路,1.5 Mbps,1.5 Mbps,高,CenturyLink,https://www.centurylink.com/,,
光缆承载网,10 Gbps,40 Gbps,高,华为,https://www.huawei.com/,,
前向纠错（FEC）光网络,100 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
