年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注
2022,Uniqlo Japan,40.0,%,40.0,%,20.0,%,55.0,%,10.0,%,UNIQLO Japan财务报告,https://www.uniqlo.com/jp,,
2023,Casual Friday,26.5,%,50.5,%,23.0,%,67.0,%,12.0,%,Casual Friday官方,https://www.casualfriday.com,,
2023,Bershka,29.0,%,48.0,%,23.0,%,65.0,%,11.5,%,Zara集团资料,https://www.bershka.com,,
2023,Zara,35.0,%,50.0,%,15.0,%,70.0,%,20.0,%,Inditex年度报告,https://www.inditex.com,,
2023,H&M,28.0,%,62.0,%,10.0,%,55.0,%,12.0,%,H&M财报,https://hmgroup.com/investors/,,
2021,Pull&Bear,40.0,%,30.0,%,30.0,%,65.0,%,15.0,%,快时尚研究,https://www.fastfashionstudy.com,,
2024,Nike,45.0,%,40.0,%,15.0,%,80.0,%,25.0,%,Nike年度报告,https://investors.nike.com,,
2023,Adidas,30.0,%,45.0,%,25.0,%,75.0,%,19.0,%,董事会报告,https://www.adidas-group.com,,
2022,Lee,20.0,%,60.0,%,20.0,%,30.0,%,10.0,%,VF Corporation官网,https://www.vfc.com,,
2023,Levi's,33.0,%,50.0,%,17.0,%,35.0,%,11.0,%,Levi Strauss & Co.财务报告,https://www.levistrauss.com,,
2022,Forever 21,30.0,%,40.0,%,30.0,%,20.0,%,5.0,%,Forever 21年度报告,https://www.forever21.com,,
2021,Dior,75.0,%,15.0,%,10.0,%,50.0,%,20.0,%,LVMH集团财报,https://www.lvmh.com,,
2024,Aritzia,50.0,%,30.0,%,20.0,%,45.0,%,18.0,%,Aritzia年度数据显示,https://www.aritzia.com,,
2023,COS,40.0,%,50.0,%,10.0,%,65.0,%,14.0,%,H&M集团分析,https://www.cosstores.com,,
2022,Mango,35.0,%,30.0,%,35.0,%,60.0,%,17.0,%,Mango财务报告,https://shop.mango.com,,
2024,Banana Republic,38.0,%,47.0,%,15.0,%,50.0,%,12.0,%,Gap Inc.财报,https://www.gapinc.com,,
2023,LuluLemon,65.0,%,30.0,%,5.0,%,55.0,%,15.0,%,LuluLemon财务报告,https://shop.lululemon.com,,
2022,Ralph Lauren,54.0,%,36.0,%,10.0,%,70.0,%,25.0,%,Ralph Lauren财务报告,https://about.ralphlauren.com,,
2023,Tommy Hilfiger,25.0,%,50.0,%,25.0,%,40.0,%,10.0,%,PVH集团年度报告,https://www.pvh.com,,
2024,Sandro,42.0,%,33.0,%,25.0,%,55.0,%,13.0,%,SMCP集团报告,https://www.smcp.com,,
2023,Aéropostale,30.0,%,60.0,%,10.0,%,25.0,%,9.0,%,Aéropostale公司财报,https://www.aeropostale.com,,
2023,Zara,40.0,%,35.0,%,25.0,%,50.0,%,8.0,%,Inditex年报,https://www.inditex.com,,
2023,Forever 21,20.0,%,30.0,%,50.0,%,40.0,%,15.0,%,美国零售联合会,https://www.nrf.com,,
2021,Nike,45.0,%,25.0,%,30.0,%,55.0,%,10.0,%,Nike官方财报,https://investments.nike.com,,
2022,Adidas,35.0,%,50.0,%,15.0,%,60.0,%,5.0,%,Adidas年度财报,https://www.adidas-group.com/en/investors/,,
2023,H&M,30.0,%,40.0,%,30.0,%,50.0,%,12.0,%,H&M官网,https://hmgroup.com/investors,,
2021,Lululemon,50.0,%,20.0,%,30.0,%,20.0,%,3.0,%,Lululemon年度报告,https://shop.lululemon.com,,
2022,Champion,20.0,%,50.0,%,30.0,%,25.0,%,10.0,%,HanesBrands分析报告,https://www.hanes.com,,
2023,Lacoste,55.0,%,30.0,%,15.0,%,35.0,%,5.0,%,Lacoste官网,https://www.lacoste.com,,
2022,Reebok,27.5,%,40.0,%,32.5,%,45.0,%,10.0,%,Adidas集团分析,https://www.adidas.com/us/reebok,,
2023,Puma,33.0,%,34.0,%,33.0,%,40.0,%,9.0,%,Puma官方报告,https://about.puma.com/en/investors,,
2021,Levi's,25.0,%,50.0,%,25.0,%,30.0,%,15.0,%,Levi Strauss & Co.年度报告,https://www.levistrauss.com/investors,,
2022,Bershka,40.0,%,25.0,%,35.0,%,55.0,%,7.0,%,Inditex年报,https://www.inditex.com,,
2023,Mango,28.0,%,42.0,%,30.0,%,38.0,%,6.0,%,Mango集团分析,https://shop.mango.com,,
2022,ASOS,10.0,%,20.0,%,70.0,%,25.0,%,12.0,%,ASOS集团年报,https://www.asos.com,,
2021,Aritzia,65.0,%,20.0,%,15.0,%,40.0,%,10.0,%,Aritzia官网,https://www.aritzia.com,,
2023,COS,50.0,%,30.0,%,20.0,%,65.0,%,10.0,%,H&M集团分析,https://www.hmgroup.com,,
2022,Superdry,15.0,%,25.0,%,60.0,%,30.0,%,8.0,%,Superdry官网,https://www.superdry.com,,
2021,ZARA,28.0,%,42.0,%,30.0,%,55.0,%,8.0,%,ZARA官方网站,https://www.zara.com,,
2023,优衣库,35.0,%,30.0,%,35.0,%,50.0,%,15.0,%,优衣库年度报告,https://www.uniqlo.com/jp/ja/contents/investors/,,
2022,Nike,45.0,%,35.0,%,20.0,%,70.0,%,20.0,%,Nike财务报告,https://investors.nike.com,,
2023,Lululemon,40.0,%,30.0,%,30.0,%,30.0,%,10.0,%,Lululemon官网,https://www.lululemon.com,,
2022,Mango,20.0,%,50.0,%,30.0,%,40.0,%,5.0,%,Mango年度报告,https://shop.mango.com,,
2023,Adidas,32.0,%,48.0,%,20.0,%,60.0,%,8.0,%,Adidas官方报告,https://www.adidas.com,,
2021,H&M,30.0,%,50.0,%,20.0,%,40.0,%,10.0,%,H&M财务报表,https://hmgroup.com/investors/,,
2022,Champion,20.0,%,50.0,%,30.0,%,30.0,%,5.0,%,Champion官网,https://www.champion.com,,
2023,Puma,38.0,%,37.0,%,25.0,%,55.0,%,14.0,%,Puma年度报告,https://about.puma.com,,
2022,Pull&Bear,22.5,%,58.5,%,19.0,%,52.0,%,11.0,%,Pull&Bear官网,https://www.pullandbear.com,,
2021,Bershka,26.0,%,44.0,%,30.0,%,33.0,%,7.5,%,Bershka财务报告,https://www.bershka.com,,
2023,FILA,30.0,%,45.0,%,25.0,%,35.0,%,12.0,%,FILA官方,https://www.fila.com,,
2022,Lands' End,24.0,%,48.0,%,28.0,%,28.0,%,9.0,%,Lands' End网站,https://www.landsend.com,,
2023,American Eagle,37.0,%,40.0,%,23.0,%,40.0,%,14.0,%,American Eagle官网,https://www.ae.com,,
2022,Express,29.0,%,50.0,%,21.0,%,36.0,%,9.5,%,Express官网,https://www.express.com,,
2021,New Look,28.0,%,45.0,%,27.0,%,32.0,%,10.0,%,New Look网站,https://www.newlook.com,,
2023,Superdry,33.0,%,37.0,%,30.0,%,29.0,%,13.0,%,Superdry官网,https://www.superdry.com,,
2023,ZARA,28.0,%,50.0,%,22.0,%,70.0,%,15.0,%,ZARA官方网站,https://www.zara.com,,
2022,Adidas,35.0,%,40.0,%,25.0,%,50.0,%,10.5,%,Adidas年度报告,https://www.adidas.com,,
2023,Nike,32.0,%,40.0,%,28.0,%,60.0,%,11.0,%,Nike官网,https://www.nike.com,,
2022,百丽,27.5,%,52.5,%,20.0,%,65.0,%,14.0,%,百丽国际新闻稿,https://belleinternational.com,,
2021,Lululemon,45.0,%,35.0,%,20.0,%,55.0,%,10.0,%,Lululemon财报,https://www.lululemon.com,,
2023,Lee,30.0,%,50.0,%,20.0,%,72.0,%,13.0,%,Lee官方网站,https://www.lee.com,,
2024,先锋车队,40.0,%,35.0,%,25.0,%,80.0,%,20.0,%,先锋车队财务分析,https://www.pioneergroup.com,,
2023,Under Armour,34.0,%,45.0,%,21.0,%,60.0,%,12.0,%,Under Armour官网,https://www.underarmour.com,,
2023,Columbia,29.0,%,52.0,%,19.0,%,50.0,%,9.0,%,Columbia官网,https://www.columbia.com,,
2022,Mango,26.0,%,54.0,%,20.0,%,65.0,%,11.0,%,Mango年报,https://shop.mango.com,,
2024,H&M,30.0,%,40.0,%,30.0,%,55.0,%,12.0,%,H&M官方报告,https://www.hm.com,,
2022,Quiksilver,33.0,%,47.0,%,20.0,%,48.0,%,10.0,%,Quiksilver官网,https://www.quiksilver.com,,
2023,Guess,29.5,%,51.5,%,19.0,%,53.0,%,11.5,%,Guess官网,https://www.guess.com,,
2021,Nanette Lepore,35.0,%,50.0,%,15.0,%,52.0,%,13.0,%,Nanette Lepore官方,https://www.nanettelepore.com,,
2022,FILA,38.0,%,42.0,%,20.0,%,66.0,%,14.0,%,FILA官网,https://www.fila.com,,
2024,Reebok,32.0,%,46.0,%,22.0,%,63.0,%,12.0,%,Reebok官网,https://www.reebok.com,,
2023,Forever 21,24.0,%,50.0,%,26.0,%,59.0,%,11.0,%,Forever 21官网,https://www.forever21.com,,
2022,Lands' End,37.0,%,45.0,%,18.0,%,70.0,%,12.0,%,Lands' End官网,https://www.landsend.com,,
2023,Zara,28.0,%,50.0,%,22.0,%,55.0,%,11.0,%,Inditex官网,https://www.inditex.com,,
2023,Levi's,30.5,%,45.0,%,24.5,%,50.0,%,13.5,%,Levi's年报,https://www.levistrauss.com,,
2022,H&M,35.0,%,40.0,%,25.0,%,70.0,%,20.0,%,相关服装市场分析,https://www.hmgroup.com,,
2020,Nike,50.0,%,30.0,%,20.0,%,65.0,%,15.0,%,Nike投资者关系,https://investors.nike.com,,
2021,Under Armour,40.0,%,35.0,%,25.0,%,60.0,%,15.0,%,Under Armour财报,https://about.underarmour.com,,
2024,Decathlon,45.0,%,30.0,%,25.0,%,35.0,%,10.0,%,Decathlon官网,https://www.decathlon.com,,
2022,Puma,32.0,%,42.0,%,26.0,%,80.0,%,18.0,%,Puma年报,https://about.puma.com,,
2023,Aéropostale,38.0,%,44.0,%,18.0,%,55.0,%,10.0,%,Aéropostale官网,https://www.aeropostale.com,,
2024,Mango,29.0,%,50.0,%,21.0,%,40.0,%,12.0,%,Mango官网,https://shop.mango.com,,
2022,Fila,37.0,%,36.0,%,27.0,%,65.0,%,14.0,%,Fila公告媒体,https://www.fila.com,,
2023,OshKosh,30.0,%,50.0,%,20.0,%,55.0,%,16.0,%,OshKosh官网,https://www.oshkosh.com,,
2021,Adidas,36.0,%,42.0,%,22.0,%,75.0,%,15.0,%,Adidas财报,https://www.adidas-group.com,,
2023,True Religion,41.0,%,34.0,%,25.0,%,50.0,%,19.0,%,True Religion官网,https://www.truereligion.com,,
2024,Bershka,25.0,%,55.0,%,20.0,%,65.0,%,10.0,%,Bershka官网,https://www.bershka.com,,
2022,Romwe,40.0,%,30.0,%,30.0,%,68.0,%,14.0,%,Romwe官网,https://www.romwe.com,,
2021,Forever 21,30.0,%,50.0,%,20.0,%,40.0,%,10.0,%,Forever 21财务报告,https://www.forever21.com,,
2024,Hollister,34.0,%,46.0,%,20.0,%,58.0,%,12.0,%,Hollister官网,https://www.hollisterco.com,,
2022,Lands' End,28.0,%,50.0,%,22.0,%,45.0,%,10.0,%,Lands' End官网,https://www.landsend.com,,
2023,ZARA,28.0,%,50.0,%,22.0,%,65.0,%,15.0,%,Inditex官网,https://www.inditex.com,,
2023,Nike,40.0,%,35.0,%,25.0,%,70.0,%,20.0,%,Nike官方财报,https://investors.nike.com,,
2022,Adidas,33.0,%,40.0,%,27.0,%,58.0,%,11.5,%,Adidas官网,https://www.adidas-group.com,,
2021,Lululemon,50.0,%,30.0,%,20.0,%,75.0,%,9.0,%,Lululemon年度报告,https://investor.lululemon.com,,
2023,H&M,30.0,%,50.0,%,20.0,%,68.0,%,12.0,%,H&M官方网站,https://hm.com,,
2022,Puma,35.0,%,45.0,%,20.0,%,55.0,%,10.0,%,Puma财务摘要,https://about.puma.com,,
2023,Zalora,20.0,%,60.0,%,20.0,%,52.0,%,9.0,%,Zalora官方网站,https://www.zalora.com,,
2023,ASOS,25.0,%,45.0,%,30.0,%,60.0,%,13.0,%,ASOS年度报告,https://www.asosplc.com,,
2022,Uniqlo,55.0,%,30.0,%,15.0,%,80.0,%,20.0,%,Fast Retailing官方网站,https://www.fastretailing.com,,
2022,H&M Japan,45.0,%,40.0,%,15.0,%,66.0,%,14.0,%,H&M Japan网站,https://hm.com/jp,,
2023,Fendi,75.0,%,15.0,%,10.0,%,50.0,%,8.0,%,Fendi官方网站,https://www.fendi.com,,
2021,Chanel,80.0,%,10.0,%,10.0,%,60.0,%,11.0,%,Chanel财务报告,https://www.chanel.com,,
2022,Louis Vuitton,70.0,%,20.0,%,10.0,%,75.0,%,16.0,%,LVMH官网,https://www.lvmh.com,,
2023,Burberry,60.0,%,25.0,%,15.0,%,65.0,%,14.0,%,Burberry官方网站,https://www.burberry.com,,
2023,Everlane,45.0,%,35.0,%,20.0,%,50.0,%,10.0,%,Everlane官网,https://www.everlane.com,,
2022,Cotton On,35.0,%,40.0,%,25.0,%,55.0,%,12.0,%,Cotton On集团,https://cottonon.com,,
2023,American Eagle,25.0,%,55.0,%,20.0,%,62.0,%,14.0,%,American Eagle官网,https://www.ae.com,,
2023,Zara,30.0,%,20.0,%,50.0,%,45.0,%,8.0,%,Inditex年报,https://www.inditex.com,,
2022,H&M,28.0,%,60.0,%,12.0,%,50.0,%,10.0,%,FashionUnited,https://fashionunited.com,,
2023,Lululemon,45.0,%,30.0,%,25.0,%,50.0,%,12.0,%,Lululemon财务报告,https://shop.lululemon.com,,
2023,Nike,35.0,%,55.0,%,10.0,%,65.0,%,15.0,%,Nike年度报告,https://investors.nike.com,,
2022,Mango,30.5,%,50.5,%,19.0,%,40.0,%,9.5,%,Mango公司官网,https://shop.mango.com,,
2024,Adidas,32.0,%,48.0,%,20.0,%,70.0,%,18.0,%,Adidas投资者关系,https://www.adidas-group.com,,
2023,Puma,20.0,%,60.0,%,20.0,%,55.0,%,12.0,%,Puma财务报告,https://about.puma.com,,
2022,Forever 21,40.0,%,30.0,%,30.0,%,60.0,%,10.0,%,Forever 21官方数据,https://www.forever21.com,,
2023,Aritzia,38.5,%,31.5,%,30.0,%,48.0,%,14.0,%,Aritzia财务报告,https://www.aritzia.com,,
2024,ASOS,15.0,%,20.0,%,65.0,%,20.0,%,7.0,%,ASOS年报,https://www.asos.com,,
2022,Reiss,33.0,%,40.0,%,27.0,%,40.0,%,10.5,%,Reiss官网,https://www.reiss.com,,
2023,Urban Outfitters,34.0,%,40.0,%,26.0,%,55.0,%,9.0,%,Urban Outfitters公司财报,https://www.urbanoutfitters.com,,
2024,Gap,22.0,%,60.0,%,18.0,%,48.0,%,11.0,%,Gap财报,https://www.gapinc.com,,
2023,Boohoo,17.0,%,23.0,%,60.0,%,30.0,%,5.0,%,Boohoo集团年报,https://www.boohoo.com,,
2023,Lemonade,50.0,%,35.0,%,15.0,%,45.0,%,20.0,%,新锐时尚周刊,https://www.luxury.com,,
2024,Calvin Klein,29.0,%,52.0,%,19.0,%,60.0,%,11.0,%,Calvin Klein官网,https://www.calvinklein.com,,
2023,Zara,40.0,%,30.0,%,30.0,%,50.0,%,8.5,%,Inditex年报,https://www.inditex.com,,
2022,李宁,55.0,%,35.0,%,10.0,%,70.0,%,20.0,%,李宁集团官网,https://www.lining.com,,
2021,Nike,40.0,%,45.0,%,15.0,%,68.0,%,12.0,%,Nike投资者关系,https://investors.nike.com,,
2023,Forever 21,20.0,%,50.0,%,30.0,%,40.0,%,10.0,%,Forever 21财务报告,https://www.forever21.com,,
2022,Adidas,35.0,%,50.0,%,15.0,%,60.0,%,11.0,%,Adidas年度报告,https://www.adidas-group.com,,
2023,H&M,28.0,%,50.0,%,22.0,%,55.0,%,9.5,%,H&M最新财务报告,https://hmgroup.com,,
2021,海澜之家,45.0,%,40.0,%,15.0,%,30.0,%,5.0,%,海澜之家财报,https://www.haier.com,,
2022,美特斯邦威,30.0,%,50.0,%,20.0,%,20.0,%,3.5,%,美特斯邦威年度总结,https://www.metersbonwe.com,,
2023,Lululemon,50.0,%,20.0,%,30.0,%,45.0,%,14.0,%,Lululemon财务资料,https://www.lululemon.com,,
2022,Columbia,38.0,%,42.0,%,20.0,%,55.0,%,10.0,%,Columbia季度财报,https://www.columbia.com,,
2021,Puma,33.0,%,55.0,%,12.0,%,65.0,%,15.0,%,Puma集团,https://about.puma.com,,
2023,Under Armour,42.0,%,38.0,%,20.0,%,48.0,%,10.0,%,Under Armour财务报表,https://about.underarmour.com,,
2023,Gap,27.0,%,60.0,%,13.0,%,65.0,%,14.0,%,Gap年报,https://www.gap.com,,
2022,妈妈的故事,21.0,%,64.0,%,15.0,%,55.0,%,11.0,%,妈妈的故事网站,https://www.mamadagushi.com,,
2023,SHEIN,10.0,%,50.0,%,40.0,%,80.0,%,25.0,%,SHEIN财务报告,https://www.shein.com,,
2022,九秋,29.0,%,56.0,%,15.0,%,50.0,%,19.0,%,九秋集团年报,https://www.9pring.com,,
2023,森马,35.0,%,40.0,%,25.0,%,45.0,%,12.0,%,森马官网,http://www.semir.com,,
2021,Zara,28.0,%,54.0,%,18.0,%,50.0,%,15.0,%,Zara官方报告,https://www.zara.com,,
2022,Nike,40.0,%,35.0,%,25.0,%,70.0,%,30.0,%,Nike投资者关系,https://investors.nike.com,,
2023,Pull&Bear,27.0,%,52.0,%,21.0,%,55.0,%,12.0,%,Inditex官方网站,https://www.inditex.com,,
2022,H&M,35.0,%,50.0,%,15.0,%,68.0,%,20.0,%,H&M年度报告,https://hmgroup.com/investors/,,
2021,Adidas,45.0,%,30.0,%,25.0,%,65.0,%,22.0,%,Adidas投资者更新,https://www.adidas-group.com,,
2023,Everlane,50.0,%,35.0,%,15.0,%,40.0,%,8.0,%,Everlane官方网站,https://www.everlane.com,,
2022,Puma,34.0,%,45.0,%,21.0,%,58.0,%,17.0,%,Puma年度报告,https://about.puma.com,,
2023,Mango,30.0,%,50.0,%,20.0,%,65.0,%,15.0,%,Mango公司报告,https://shop.mango.com,,
2021,ASOS,29.0,%,40.0,%,31.0,%,45.0,%,10.0,%,ASOS投资者关系,https://www.asos.com,,
2022,Lee,32.0,%,42.0,%,26.0,%,60.0,%,14.0,%,Lee官方网站,https://www.lee.com,,
2023,GAP,23.0,%,55.0,%,22.0,%,62.0,%,11.0,%,GAP品牌报告,https://www.gap.com,,
2021,Hollister,40.0,%,30.0,%,30.0,%,58.0,%,16.0,%,Abercrombie官网,https://www.abercrombieandfitch.com,,
2022,Lululemon,49.0,%,30.0,%,21.0,%,40.0,%,15.0,%,Lululemon年度报告,https://shop.lululemon.com,,
2023,Columbia,37.0,%,38.0,%,25.0,%,50.0,%,20.0,%,Columbia官方报告,https://www.columbia.com,,
2022,FILA,45.0,%,25.0,%,30.0,%,55.0,%,13.0,%,FILA年度报告,https://www.fila.com,,
2021,Ralph Lauren,35.0,%,50.0,%,15.0,%,65.0,%,12.0,%,Ralph Lauren财务报告,https://www.ralphlauren.com,,
2023,Under Armour,36.0,%,31.0,%,33.0,%,55.0,%,15.0,%,Under Armour官网,https://about.underarmour.com,,
2023,ZARA,28.0,%,50.0,%,22.0,%,65.0,%,10.0,%,ZARA财报,https://www.inditex.com,,
2022,Forever 21,20.0,%,60.0,%,20.0,%,30.0,%,8.0,%,公司公告,https://www.forever21.com,,
2021,H&M,32.0,%,50.0,%,18.0,%,55.0,%,12.5,%,H&M官网,https://www.hm.com,,
2023,Nike,45.0,%,30.0,%,25.0,%,70.0,%,15.0,%,Nike财报,https://www.nike.com,,
2022,Adidas,38.0,%,40.0,%,22.0,%,62.0,%,10.0,%,Adidas年度报告,https://www.adidas-group.com,,
2023,优衣库,32.5,%,45.0,%,22.5,%,55.0,%,9.0,%,优衣库博士园,https://www.uniqlo.com,,
2023,PUMA,29.0,%,55.0,%,16.0,%,50.0,%,12.0,%,PUMA财务发布,https://about.puma.com,,
2022,Lululemon,47.0,%,40.0,%,13.0,%,38.0,%,9.5,%,Lululemon官网,https://shop.lululemon.com,,
2021,Charlotte Russe,18.0,%,50.0,%,32.0,%,45.0,%,7.0,%,Charlotte Russe财报,https://www.charlotterusse.com,,
2023,REI,35.0,%,25.0,%,40.0,%,30.0,%,5.0,%,REI官网,https://www.rei.com,,
2022,American Eagle,30.0,%,48.0,%,22.0,%,65.0,%,11.0,%,American Eagle 官网,https://www.ae.com,,
2023,Ochirly,26.0,%,58.0,%,16.0,%,40.0,%,10.0,%,Ochirly报表,https://ochirly.com,,
2021,Mango,22.0,%,63.0,%,15.0,%,50.0,%,12.0,%,Mango官方网站,https://shop.mango.com,,
2022,Guess,30.0,%,40.0,%,30.0,%,37.0,%,9.0,%,Guess公司档案,https://www.guess.com,,
2023,Shein,20.0,%,50.0,%,30.0,%,55.0,%,15.0,%,Shein官方报告,https://www.shein.com,,
2022,Lands' End,32.0,%,42.0,%,26.0,%,28.0,%,8.0,%,Lands' End季度报告,https://www.landsend.com,,
2023,Tiffany & Co.,60.0,%,25.0,%,15.0,%,75.0,%,20.0,%,Tiffany财务分析,https://www.tiffany.com,,
2022,J.Crew,20.0,%,56.0,%,24.0,%,35.0,%,9.5,%,J.Crew官网,https://www.jcrew.com,,
2023,ZARA,28.0,%,50.0,%,22.0,%,55.0,%,14.0,%,ZARA官方网站,https://www.zara.com,,
2023,Forever 21,20.0,%,60.0,%,20.0,%,43.0,%,9.0,%,Forever 21年度报告,https://www.forever21.com,,
2022,Vero Moda,26.5,%,50.5,%,23.0,%,50.0,%,10.0,%,时尚赢家,https://www.fashionwinner.com,,
2023,H&M,30.0,%,40.0,%,30.0,%,75.0,%,20.0,%,H&M官方网站,https://hm.com,,
2021,GAP Kids,35.0,%,45.0,%,20.0,%,60.0,%,15.0,%,GAP财务报告,https://www.gapinc.com,,
2024,Nike,55.0,%,30.0,%,15.0,%,85.0,%,30.0,%,NIKE官网,https://www.nike.com,,
2022,Puma,45.0,%,35.0,%,20.0,%,65.0,%,18.0,%,Puma官网,https://www.puma.com,,
2023,Mango,27.0,%,50.0,%,23.0,%,40.0,%,12.0,%,Mango年报,https://shop.mango.com,,
2022,Lululemon,65.0,%,20.0,%,15.0,%,30.0,%,8.0,%,Lululemon投资者关系,https://shop.lululemon.com,,
2024,Adidas,40.0,%,35.0,%,25.0,%,70.0,%,20.0,%,Adidas官网,https://www.adidas.com,,
2022,FILA,30.0,%,25.0,%,45.0,%,50.0,%,15.5,%,FILA官网,https://www.fila.com,,
2021,海澜之家,50.0,%,30.0,%,20.0,%,55.0,%,15.0,%,海澜之家财报,https://www.haianzhijia.com,,
2023,李宁,38.0,%,40.0,%,22.0,%,60.0,%,15.0,%,李宁官网,https://www.lining.com,,
2022,Anta,50.0,%,30.0,%,20.0,%,75.0,%,25.0,%,安踏官网,https://www.anta.com,,
2023,Lands' End,27.5,%,42.5,%,30.0,%,50.0,%,10.0,%,Lands' End年度报告,https://www.landsend.com,,
2022,Gap Inc.,20.0,%,50.0,%,30.0,%,45.0,%,12.0,%,Gap Inc.官网,https://www.gapinc.com,,
2023,超凡人,20.0,%,50.0,%,30.0,%,80.0,%,25.0,%,超凡人官网,https://www.chao-fan.com,,
2023,太平鸟,57.0,%,30.0,%,13.0,%,40.0,%,15.0,%,太平鸟官网,https://www.peacebird.com,,
2024,薇薇安,32.0,%,45.0,%,23.0,%,58.0,%,15.0,%,薇薇安官网,https://www.vivienne.com,,
2024,Zara,30.5,%,45.0,%,24.5,%,50.0,%,15.0,%,Zara官网,https://www.zara.com,,
2023,H&M,27.5,%,50.5,%,22.0,%,65.0,%,20.0,%,H&M年度报告,https://about.hm.com/en/investors.html,,
2023,Nike,55.0,%,30.0,%,15.0,%,70.0,%,30.0,%,Nike官网,https://www.nike.com,,
2022,Forever 21,18.0,%,37.0,%,45.0,%,40.0,%,12.0,%,时尚商业周刊,https://fashionbusinessjournal.com,,
2023,Lululemon,40.7,%,35.0,%,24.3,%,55.0,%,14.0,%,Lululemon官网,https://shop.lululemon.com,,
2021,Adidas,32.0,%,40.0,%,28.0,%,50.0,%,20.0,%,Adidas财务报告,https://www.adidas-group.com/en/investors,,
2022,Puma,35.0,%,45.0,%,20.0,%,66.0,%,21.0,%,Puma官网,https://about.puma.com/en/investors,,
2023,古驰,38.0,%,42.0,%,20.0,%,75.0,%,15.0,%,古驰年度报告,https://www.gucci.com,,
2024,ASOS,15.0,%,60.0,%,25.0,%,55.0,%,10.0,%,ASOS官网,https://www.asos.com,,
2024,Boohoo,10.0,%,55.0,%,35.0,%,40.0,%,8.0,%,Boohoo官方报告,https://www.boohoo.com,,
2022,Lands' End,20.0,%,50.0,%,30.0,%,45.0,%,12.0,%,Lands' End官网,https://www.landsend.com,,
2023,Abercrombie & Fitch,28.0,%,43.0,%,29.0,%,52.0,%,25.0,%,Abercrombie财务报告,https://www.abercrombie.com,,
2022,Reformation,20.0,%,50.0,%,30.0,%,30.0,%,6.0,%,Reformation官网,https://www.thereformation.com,,
2022,Fenty,50.0,%,30.0,%,20.0,%,80.0,%,35.0,%,Fenty官网,https://www.fenty.com,,
2023,Cole Haan,40.0,%,35.0,%,25.0,%,65.0,%,15.0,%,Cole Haan官网,https://www.colehaan.com,,
2023,Mango,29.0,%,40.0,%,31.0,%,50.0,%,18.0,%,Mango官网,https://shop.mango.com,,
2023,Zara,35.0,%,40.0,%,25.0,%,50.0,%,8.0,%,Inditex年度报告,https://www.inditex.com,,
2023,优衣库,30.5,%,45.0,%,24.5,%,65.0,%,12.5,%,优衣库报告,https://www.uniqlo.com,,
2022,Nike,40.0,%,35.0,%,25.0,%,70.0,%,15.5,%,Nike投资者关系,https://investors.nike.com,,
2023,H&M,28.0,%,50.0,%,22.0,%,60.0,%,11.0,%,H&M年度报告,https://hmgroup.com/investors/,,
2022,Lee,20.0,%,50.0,%,30.0,%,25.0,%,5.0,%,VF Corporation,https://www.vfc.com,,
2023,Adidas,32.0,%,38.0,%,30.0,%,55.0,%,18.0,%,Adidas投资者关系,https://www.adidas-group.com,,
2021,Forever 21,15.0,%,70.0,%,15.0,%,40.0,%,10.0,%,Forever 21官网,https://www.forever21.com,,
2022,American Eagle,30.0,%,40.0,%,30.0,%,30.0,%,9.0,%,American Eagle报告,https://www.aeo-inc.com,,
2022,Lululemon,50.0,%,30.0,%,20.0,%,75.0,%,20.0,%,Lululemon投资者报告,https://www.lululemon.com,,
2023,Puma,34.0,%,45.0,%,21.0,%,50.0,%,14.0,%,Puma年度报告,https://about.puma.com,,
2021,ASOS,20.0,%,50.0,%,30.0,%,55.0,%,20.0,%,ASOS投资者关系,https://www.asosplc.com,,
2022,Guess,27.0,%,37.0,%,36.0,%,38.0,%,10.0,%,Guess财务报告,https://www.guess.com,,
2023,Reebok,25.0,%,50.0,%,25.0,%,45.0,%,11.0,%,Reebok官网,https://www.reebok.com,,
2022,Mango,30.0,%,55.0,%,15.0,%,22.0,%,9.0,%,Mango年度报告,https://shop.mango.com,,
2023,Boohoo,26.0,%,42.0,%,32.0,%,30.0,%,6.0,%,Boohoo投资者关系,https://www.boohooplc.com,,
2023,Shein,15.0,%,70.0,%,15.0,%,80.0,%,20.0,%,Shein官网,https://www.shein.com,,
2021,ZARA,32.0,%,48.0,%,20.0,%,50.0,%,15.0,%,ZARA官方网站,https://www.zara.com,,
2023,Ochirly,25.0,%,52.0,%,23.0,%,62.0,%,14.0,%,全球时尚汇总,https://www.globalfashion.com,,
2023,H&M,30.0,%,40.0,%,30.0,%,70.0,%,18.0,%,H&M年报,https://hmgroup.com/investors/,,
2024,Uniqlo,35.0,%,40.0,%,25.0,%,10.0,%,3.5,%,Uniqlo官网,https://www.uniqlo.com,,
2022,Adidas,40.0,%,30.0,%,30.0,%,55.0,%,20.0,%,Adidas官方财报,https://www.adidas-group.com,,
2022,Nike,50.0,%,35.0,%,15.0,%,80.0,%,25.0,%,Nike年度报告,https://www.nike.com,,
2021,Forever 21,22.0,%,63.0,%,15.0,%,20.0,%,10.0,%,Forever 21财务统计,https://www.forever21.com,,
