细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光焊接,武汉星火激光科技有限责任公司,500,1-5000,7-450,9,<1.5,湖北省经济和信息化厅,https://www.hubei.gov.cn,,
激光打孔,吉林光电激光设备有限公司,350,1-5500,10-290,15,≤1.5,吉林省市场监督管理局,http://www.jl.gov.cn,,
激光切割,大连天宇激光科技有限公司,650,1-8000,5-400,9,≤1.2,大连市经济和信息化局,http://www.dalian.gov.cn,,
激光混合焊接,重庆白云激光技术有限公司,530,1-7200,3-280,11,≤1.3,重庆市科技局,http://www.cq.gov.cn,,
激光打标,成都创新激光科技有限公司,270,1-6800 kHz,7-360 ns,5.5,<1.4,成都市科学技术局,http://www.chengdu.gov.cn,,
激光焊接,深圳新兴激光科技有限公司,650,1-4500 kHz,10-400 ns,9,<1.4,深圳科技创新委员会,https://www.sz.gov.cn,,
激光切割,成都飞瑞激光设备有限公司,700,1-8000 kHz,5-350 ns,4.5,≤1.2,成都市科学技术局,https://www.chengdu.gov.cn,,
激光清洗,厦门优科激光科技有限公司,300,1-6000 kHz,12-290 ns,10,≤1.5,福建省数字经济促进局,https://www.fujian.gov.cn,,
激光打孔,北京精诚激光有限公司,400,1-5000 kHz,3-300 ns,5,<1.6,北京经济技术开发区,http://www.bj.gov.cn,,
激光打标,苏州恒诚激光科技有限公司,220,1-4200 kHz,8-400 ns,6,≤1.5,江苏省发展和改革委员会,https://www.js.gov.cn,,
激光精密制造,武汉光电科技发展有限公司,500,1-3500 kHz,10-450 ns,8,<1.3,湖北省科学技术厅,http://www.hubei.gov.cn,,
激光镭射,天津瑞光科技有限公司,370,1-6800 kHz,4-250 ns,15,≤1.6,天津市科技局,http://www.tianjin.gov.cn,,
激光混合焊接,珠海欣诚激光科技有限公司,490,1-7200 kHz,2-220 ns,17,≤1.1,珠海市科学技术局,http://www.zhuhai.gov.cn,,
激光焊接,长沙飞扬激光设备有限公司,620,1-5000 kHz,15-480 ns,8,<1.5,湖南省科技厅,http://www.hunan.gov.cn,,
激光打标,大连新达激光制造有限公司,180,1-4900 kHz,6-460 ns,4,<1.8,辽宁省经济和信息化局,http://www.liaoning.gov.cn,,
激光切割,宁波迅捷激光科技有限公司,570,1-7300 kHz,7-250 ns,9,≤1.4,浙江省科学技术厅,http://www.zhejiang.gov.cn,,
激光清洗,福州光环激光科技有限公司,250,1-5600 kHz,9-310 ns,11,<1.5,福建省市场监管局,http://www.fujian.gov.cn,,
激光打孔,南昌锐利激光设备有限公司,330,1-5000 kHz,12-300 ns,7,<1.6,江西省科技厅,http://www.jiangxi.gov.cn,,
激光混合焊接,沈阳科瑞激光设备有限公司,480,1-6000 kHz,5-200 ns,14,≤1.3,沈阳市科学技术局,http://www.shenyang.gov.cn,,
激光镭射,北海德瑞激光科技有限公司,390,1-6200 kHz,3-400 ns,12,<1.4,广西壮族自治区科技厅,http://www.gx.gov.cn,,
激光切割,无锡创丰激光设备有限公司,510,1-7100 kHz,6-200 ns,5,≤1.5,无锡市经济和信息化局,https://www.wuxi.gov.cn,,
激光精密制造,南宁光源激光科技有限公司,420,1-5000 kHz,2-350 ns,6.5,<1.6,南宁市科技局,http://www.nanning.gov.cn,,
激光清洗,乌鲁木齐激光技术有限公司,280,1-5800 kHz,10-320 ns,13,≤1.5,新疆维吾尔自治区科技厅,http://www.xinjiang.gov.cn,,
激光焊接,深圳华光激光科技有限公司,750,1-5000 kHz,10-400 ns,8,≤1.2,深圳市工业和信息化局,https://www.sz.gov.cn,,
激光切割,苏州金辉激光装备有限公司,650,1-8000,5-300,4,<1.4,苏州市市场监管局,https://www.suzhou.gov.cn,,
激光精密制造,上海博亿激光科技有限公司,500,1-6000,15-450,6,<1.6,上海市科学技术委员会,https://www.stcsm.gov.cn,,
激光打孔,西安雷霆激光科技有限公司,300,1-4000,5-200,3,≤1.5,西安市经济和信息化局,https://www.xa.gov.cn,,
激光清洗,沈阳维特激光设备有限公司,250,1-5200,8-250,10,≤1.6,辽宁省科技厅,https://www.ln.gov.cn,,
激光切割,昆明新锐激光科技有限责任公司,500,1-7000 kHz,3-300 ns,5,≤1.5,云南省工业和信息化厅,https://www.yn.gov.cn,,
激光焊接,郑州亿华激光科技有限公司,800,1-6000,5-450,9,<1.3,郑州市经济和信息化局,https://www.zhengzhou.gov.cn,,
激光打标,福州闪电激光科技有限公司,230,1-5000 kHz,8-400 ns,4,<1.5,福建省市场监督管理局,https://www.fj.gov.cn,,
激光混合焊接,成都星辉激光设备有限公司,460,1-8800,4-300,16,≤1.2,四川省经济和信息化厅,https://www.sc.gov.cn,,
激光镭射,南昌金瑞激光科技有限公司,370,1-6500,7-400,14,≤1.4,江西省科技厅,https://www.jx.gov.cn,,
激光焊接,青岛智光激光科技有限公司,720,1-8000 kHz,10-450,11,≤1.2,青岛市科技局,https://www.qd.gov.cn,,
激光切割,兰州天宇激光设备有限公司,600,1-7200,5-350,4,<1.5,甘肃省经济和信息化委员会,https://www.gansum.gov.cn,,
激光精密制造,合肥光辉激光科技有限责任公司,480,1-9000,12-500,7,<1.6,安徽省科技厅,https://www.ah.gov.cn,,
激光打标,宁波云峰激光设备有限公司,220,1-5900 kHz,8-480 ns,5,<1.5,宁波市市场监督管理局,https://www.ningbo.gov.cn,,
激光清洗,盐城光洋激光科技有限公司,300,1-6500,10-320,9,≤1.7,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光混合焊接,台州燃天激光装备有限公司,420,1-9000,5-250,13,≤1.5,浙江省经济和信息化委员会,https://www.zj.gov.cn,,
激光镭射,珠海智创激光科技有限公司,450,1-7000,6-500,20,≤1.3,广东省科学技术厅,http://www.gdst.gov.cn,,
激光焊接,哈尔滨新美激光科技股份有限公司,680,1-7200,12-350,9,<1.4,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光打标,深圳锐星激光科技有限公司,250,1-6000 kHz,8-450 ns,6,<1.5,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光刻蚀,北京超微激光设备有限公司,500,1-4000 kHz,10-520 ns,10,≤1.2,中国科学技术部,https://www.most.gov.cn,,
激光清洗,上海蓝海智造科技有限公司,300,1-3000 kHz,5-250 ns,4,<1.6,上海市经济和信息化委员会,http://www.sh.gov.cn,,
激光焊接,天津佳特激光科技有限公司,650,1-5000 kHz,12-600 ns,8,≤1.4,天津市科学技术局,https://www.tj.gov.cn,,
激光切割,福建省光电科技有限公司,700,1-8000 kHz,3-300 ns,5,<1.3,福建省经济和信息化厅,https://www.fujian.gov.cn,,
激光微加工,武汉光捷科技有限公司,400,1-7000 kHz,6-250 ns,9,≤1.5,武汉市科学技术局,http://www.wh.gov.cn,,
激光清洗,成都激光科技有限公司,200,1-4800 kHz,10-300 ns,7,≤1.6,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光打孔,郑州科力激光设备有限公司,280,1-6000 kHz,7-200 ns,6,<1.4,河南省科技厅,http://www.henan.gov.cn,,
激光切割,苏州迅安激光设备有限公司,550,1-3000 kHz,10-350 ns,5,≤1.3,江苏省科学技术协会,https://www.jssupervision.gov.cn,,
激光精密制造,西安光子激光科技有限公司,480,1-4500 kHz,15-520 ns,10,<1.5,陕西省科技厅,http://www.shaanxi.gov.cn,,
激光焊接,海南省荣信激光股份有限公司,600,1-5000 kHz,12-400 ns,9,<1.4,海南省工信厅,http://www.hainan.gov.cn,,
激光打标,沈阳光电科技发展有限公司,230,1-6000 kHz,8-500 ns,4,<1.5,辽宁省市场监督管理局,http://www.ln.gov.cn,,
激光切割,杭州明辉激光科技有限公司,650,1-8000 kHz,3-200 ns,7,≤1.2,浙江省科学技术厅,http://www.zj.gov.cn,,
激光镭射,吉林省先锋激光设备有限责任公司,420,1-5000 kHz,6-450 ns,11,≤1.3,吉林省科技厅,https://www.jl.gov.cn,,
激光混合焊接,贵州星河激光科技有限公司,550,1-8000 kHz,5-200 ns,14,≤1.1,贵州省科学技术厅,http://www.guizhou.gov.cn,,
激光制造,宁波新愿激光科技有限公司,390,1-7000 kHz,7-350 ns,5,≤1.5,浙江省市场监督管理局,http://www.zj.gov.cn,,
激光打孔,兰州远东激光科技有限公司,250,1-5000 kHz,12-300 ns,6,<1.6,甘肃省科技厅,http://www.gansu.gov.cn,,
激光打标,南昌光电科技有限公司,280,1-4500 kHz,8-300 ns,5,<1.5,江西省科技厅,http://www.jx.gov.cn,,
激光焊接,深圳市高能激光技术有限公司,700,1-6000 kHz,10-400 ns,8,≤1.2,广东省科学技术厅,https://www.gdstc.gov.cn,,
激光切割,北京盈丰激光设备有限公司,800,1-10000,5-350,20,<1.4,国家市场监管总局,https://www.samr.gov.cn,,
激光清洗,上海聚能激光科技有限公司,250,1-5000,8-300,15,≤1.5,上海科技委员会,http://www.stcsm.gov.cn,,
激光打标,郑州利达激光科技有限公司,180,1-4500 kHz,6-480 ns,6,<1.6,河南省科技厅,https://www.hnkj.gov.cn,,
激光精密制造,苏州未来激光技术有限公司,500,1-9000,15-450,9,<1.3,江苏省经济和信息化委员会,http://www.jseic.gov.cn,,
激光镭射,西安航天科技激光有限公司,550,1-8000,4-250,14,≤1.0,陕西省科技厅,http://www.sxdst.gov.cn,,
激光焊接,湖北博力激光科技有限公司,630,1-7000,10-400,12,<1.5,武汉市科技局,http://www.wh.gov.cn,,
激光切割,天津松岸激光设备制造有限公司,900,1-9500,3-320,22,≤1.1,天津市经济和信息化委员会,http://www.tj.gov.cn,,
激光打孔,辽宁创亿激光科技有限公司,360,1-5400,5-380,7,≤1.8,沈阳科技局,http://www.shenyang.gov.cn,,
激光混合焊接,福州光谱激光科技有限公司,470,1-8500,6-300,10,≤1.2,福建省科学技术厅,http://www.fjkjt.gov.cn,,
激光精密制造,金华迅捷激光机电有限公司,520,1-6200,20-500,11,<1.4,浙江省科技厅,http://www.zjkjt.gov.cn,,
激光切割,石家庄荣光激光设备有限公司,650,1-7200,8-480,9,≤1.5,河北省科技厅,http://www.hebeikj.gov.cn,,
激光打标,宁波华光激光科技有限公司,210,1-4200 kHz,12-410 ns,4,<1.6,浙江省市场监督管理局,http://www.zjmz.gov.cn,,
激光清洗,南昌天行激光科技有限公司,150,1-4900,5-280,8,≤1.9,江西省科技厅,http://www.jxst.gov.cn,,
激光打孔,昆明科技激光设备有限公司,360,1-5800,7-390,7,<1.5,云南省科学技术厅,http://www.ynst.gov.cn,,
激光焊接,合肥新源激光科技有限公司,720,1-6100,15-450,16,≤1.2,安徽省科学技术协会,http://www.ahsta.gov.cn,,
激光镭射,青岛创新激光科技有限公司,400,1-5800,3-320,18,≤1.1,山东省科技厅,http://www.sdst.gov.cn,,
激光混合焊接,大连极光激光技术有限公司,460,1-7800,6-300,13,≤1.3,辽宁省科技厅,http://www.lnkjt.gov.cn,,
激光焊接,上海先锋激光科技有限公司,750,1-6000 kHz,10-400 ns,8,≤1.2,上海市科技委员会,https://www.sh.gov.cn,,
激光切割,天津亿碧激光设备有限责任公司,800,1-6000 kHz,5-200 ns,10,<1.4,天津市经济和信息化局,http://www.tianjin.gov.cn,,
激光打孔,深圳妙手激光有限公司,500,1-5500 kHz,8-300 ns,9,≤1.5,深圳市发展和改革委员会,http://www.sz.gov.cn,,
激光清洗,成都光之源激光科技有限公司,300,1-6000 kHz,10-250 ns,7,≤1.4,成都市科技局,https://www.chengdu.gov.cn,,
激光混合焊接,广州优焊激光科技有限公司,500,1-8000 kHz,4-180 ns,12,≤1.2,广州市科学技术局,https://www.gz.gov.cn,,
激光打标,武汉隆基激光科技有限公司,400,1-5000 kHz,8-450 ns,6,<1.3,武汉市科技局,http://www.wuhan.gov.cn,,
激光镭射,苏州博锐激光技术有限公司,350,1-7000 kHz,6-300 ns,14,≤1.5,苏州市科技局,http://www.suzhou.gov.cn,,
激光切割,郑州永辉激光科技有限公司,650,1-8200 kHz,5-320 ns,4,≤1.4,河南省科学技术厅,http://www.henan.gov.cn,,
激光焊接,西安佳影激光设备有限公司,700,1-5500 kHz,7-300 ns,11,<1.6,西安市高新技术产业开发区,http://www.xa.gov.cn,,
激光清洗,哈尔滨晨曦激光科技有限公司,280,1-5700 kHz,9-290 ns,15,≤1.6,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光精密制造,宁波启扬激光有限公司,480,1-4800 kHz,15-500 ns,5,<1.5,浙江省经济和信息化委员会,https://www.zj.gov.cn,,
激光打标,南昌天宇激光科技有限公司,230,1-5600 kHz,6-450 ns,4,≤1.3,江西省市场监督管理局,http://www.jiangxi.gov.cn,,
激光切割,佛山龙赋激光科技有限公司,720,1-8200 kHz,4-200 ns,13,≤1.1,广东省科学技术促进中心,http://www.gd.gov.cn,,
激光镭射,淄博晨辉激光装备有限公司,370,1-7500 kHz,6-500 ns,18,<1.5,山东省科学技术厅,http://www.sd.gov.cn,,
激光精密制造,大连瑞华激光设备有限公司,600,1-5000 kHz,10-480 ns,8,≤1.3,辽宁省科技厅,http://www.liaoning.gov.cn,,
激光焊接,昆明天工激光科技有限公司,750,1-6000 kHz,12-300 ns,9,<1.4,云南省科学技术厅,http://www.yunnan.gov.cn,,
激光清洗,北海激光先锋科技有限公司,320,1-6500 kHz,5-280 ns,6,≤1.5,广西科技厅,http://www.gx.gov.cn,,
激光打标,东莞创意激光科技有限公司,250,1-4800 kHz,10-500 ns,5,<1.6,广东省市场监督管理局,http://www.gd.gov.cn,,
激光焊接,北京龙腾激光科技有限公司,650,1-6000 kHz,10-450 ns,8,≤1.2,北京市科学技术委员会,https://www.bj.gov.cn,,
激光切割,深圳市万达激光设备有限公司,800,1-9000 kHz,5-350 ns,5,<1.4,深圳市经济特区科技管理局,https://www.sz.gov.cn,,
激光精密制造,成都高新激光技术有限公司,550,1-5000 kHz,15-480 ns,7,<1.5,四川省经济和信息化厅,https://www.sc.gov.cn,,
激光打孔,济南金辉激光科技有限公司,370,1-4500 kHz,10-380 ns,4,≤1.6,山东省科技厅,https://www.sd.gov.cn,,
激光清洗,武汉高科激光设备有限公司,220,1-6000 kHz,8-250 ns,11,≤1.5,湖北省科学技术厅,https://www.hubei.gov.cn,,
激光切割,上海汉瑞激光设备有限公司,750,1-8200 kHz,3-400 ns,6,≤1.3,上海科技委员会,https://www.sh.gov.cn,,
激光焊接,郑州航天激光科技有限公司,620,1-7000 kHz,12-500 ns,9,<1.4,河南省科技厅,https://www.henan.gov.cn,,
激光镭射,南昌激光智能设备有限公司,450,1-5600 kHz,6-420 ns,14,≤1.2,江西省科技厅,https://www.jiangxi.gov.cn,,
激光打标,沈阳辉煌激光科技有限公司,280,1-4800 kHz,9-430 ns,6,<1.5,辽宁省经济和信息化局,https://www.ln.gov.cn,,
激光混合焊接,厦门新宇激光科技有限公司,500,1-7800 kHz,4-210 ns,13,≤1.0,福建省科技厅,https://www.fujian.gov.cn,,
激光清洗,福州盛辉激光设备有限公司,180,1-5900 kHz,7-300 ns,10,≤1.6,福建省制造业协会,https://www.fuzhou.gov.cn,,
激光打标,西安三江激光科技有限公司,220,1-4600 kHz,8-440 ns,5,<1.4,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光切割,长春盛瑞激光有限公司,610,1-7100 kHz,2-380 ns,5,≤1.5,吉林省科技厅,https://www.jilin.gov.cn,,
激光焊接,广州日辉激光科技有限公司,680,1-8600 kHz,10-490 ns,7,<1.5,广州市经济和信息化局,https://www.gz.gov.cn,,
激光镭射,哈尔滨光电科技有限公司,300,1-4300 kHz,5-390 ns,9,≤1.4,黑龙江省科学技术厅,https://www.hl.gov.cn,,
激光打标,桂林蓝山激光科技公司,250,1-5000 kHz,7-410 ns,8,<1.5,广西壮族自治区科技厅,https://www.gx.gov.cn,,
激光混合焊接,西宁青藏激光科技有限公司,480,1-8500 kHz,6-210 ns,14,≤1.3,青海省人民政府,https://www.qh.gov.cn,,
激光打孔,兰州丰年激光有限公司,390,1-4700 kHz,4-320 ns,3,≤1.7,甘肃省科技厅,https://www.gansu.gov.cn,,
激光打标,西安艾迪特激光科技有限公司,250,1-5000 kHz,10-450 ns,6,<1.4,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光切割,南昌兴天激光有限公司,700,1-8000 kHz,6-280 ns,8,≤1.2,江西省经济和信息化厅,http://www.jx.gov.cn,,
激光焊接,北京德博激光科技有限公司,800,1-6000 kHz,15-300 ns,12,≤1.1,北京市科学技术委员会,https://www.bjgk.gov.cn,,
激光清洗,成都鸿业激光科技有限公司,350,1-5800 kHz,8-400 ns,9,<1.5,成都市科技局,https://www.chengdu.gov.cn,,
激光雕刻,沈阳光彩激光有限公司,180,1-4000 kHz,5-250 ns,4,≤1.8,辽宁省科技厅,http://www.ln.gov.cn,,
激光焊接,福州精锐激光设备有限公司,550,1-7000 kHz,10-350 ns,10,≤1.4,福建省科技厅,https://www.fujian.gov.cn,,
激光混合焊接,昆明光热激光科技有限公司,450,1-8000 kHz,8-290 ns,15,≤1.3,云南省经济和信息化委员会,http://www.yn.gov.cn,,
激光切割,广州光环激光股份有限公司,500,1-6000 kHz,9-360 ns,7,<1.5,广州市经济和信息化局,https://www.gz.gov.cn,,
激光打标,深圳市智光激光设备有限公司,220,1-4500 kHz,8-300 ns,5,≤1.6,深圳市市场监督管理局,https://www.sz.gov.cn,,
激光精密制造,天津市光伟激光技术有限公司,400,1-5000 kHz,12-320 ns,6,<1.5,天津市科技委员会,http://www.tianjin.gov.cn,,
激光打孔,重庆博瑞激光科技有限公司,350,1-5400 kHz,11-450 ns,7,≤1.5,重庆市经济和信息化委员会,http://www.cq.gov.cn,,
激光镭射,苏州思博激光科技有限公司,300,1-4800 kHz,6-320 ns,10,<1.4,江苏省科技厅,https://www.js.gov.cn,,
激光清洗,无锡优乐激光技术有限公司,270,1-5600 kHz,7-310 ns,11,≤1.6,无锡市科技局,http://www.wuxi.gov.cn,,
激光焊接,福州灵动激光股份有限公司,600,1-7000 kHz,5-250 ns,14,≤1.2,福建省市场监管局,https://www.fj.gov.cn,,
激光杂质检测,济南光影激光分析有限公司,400,1-7500 kHz,10-375 ns,8,<1.3,山东省科技厅,http://www.sd.gov.cn,,
激光混合加工,郑州华光激光设备有限公司,500,1-8000 kHz,5-400 ns,16,≤1.1,河南省经济和信息化委员会,http://www.henan.gov.cn,,
激光镭射,哈尔滨青峰激光科技有限公司,320,1-6300 kHz,12-280 ns,13,≤1.5,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光焊接,深圳凌云激光科技有限公司,700,1-6000 kHz,10-450 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,西安晶锐激光有限公司,500,1-8000,4-250,6,<1.6,陕西省机械行业协会,http://www.sxjxh.org,,
激光打标,北京博智激光科技有限公司,250,1-5500 kHz,7-400 ns,4,<1.4,北京市市场监督管理局,https://www.bjgs.gov.cn,,
激光精密制造,上海精纺激光科技有限公司,480,1-4500,12-200,10,≤1.5,上海市科技委员会,https://www.shstc.gov.cn,,
激光混合焊接,武汉聚能激光科技有限公司,400,1-5000,5-300,7,<1.3,湖北省科技厅,http://www.hubei.gov.cn,,
激光清洗,佛山永联激光技术有限公司,350,1-5800,6-360,11,≤1.6,佛山市科技局,http://www.foshan.gov.cn,,
激光打孔,成都锐鹰激光设备有限公司,300,1-7000,4-250,5,≤1.4,四川省经济和信息化厅,https://www.sc.gov.cn,,
激光镭射,宁波天瑞激光股份有限公司,490,1-5000,3-400,12,≤1.3,浙江省科学技术厅,http://www.zjjst.gov.cn,,
激光焊接,苏州维尔激光科技有限公司,550,1-6000 kHz,8-500 ns,9,≤1.5,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光切割,沈阳恒达激光设备有限公司,650,1-8000,2-300,15,<1.6,辽宁省科技厅,http://www.ln.gov.cn,,
激光打标,哈尔滨星河激光科技有限公司,180,1-4500 kHz,9-280 ns,3,<1.6,黑龙江科技厅,http://www.hlj.gov.cn,,
激光精密制造,兰州博宇激光技术股份有限公司,320,1-5000,6-350,9,≤1.5,甘肃省科学技术厅,http://www.gansu.gov.cn,,
激光清洗,贵阳云锐激光设备有限公司,210,1-4800,10-250,14,≤1.5,贵州省科技厅,http://www.guizhou.gov.cn,,
激光打孔,济南汇峰激光技术有限公司,280,1-7000,5-200,6,≤1.4,山东省科技厅,https://www.sd.gov.cn,,
激光镭射,南昌市激光应用研究所,390,1-6500,3-280,13,≤1.2,江西省科技局,http://www.jiangxi.gov.cn,,
激光焊接,重庆光电激光科技有限公司,620,1-5800 kHz,12-500 ns,7,≤1.3,重庆市科技局,http://www.cq.gov.cn,,
激光切割,绵阳雷霆激光设备股份有限公司,720,1-9000,4-300,16,<1.5,四川省科技局,https://www.sc.gov.cn,,
激光去毛刺,上海优动科技有限公司,350,1-6000 kHz,10-450 ns,8,≤1.5,上海市经济和信息化委员会,https://www.sh.gov.cn,,
激光标记,北京卓越激光科技有限公司,250,1-4000 kHz,5-300 ns,4,<1.4,中国质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
激光清洗,深圳市恒利激光科技有限公司,500,1-7000 kHz,8-400 ns,9,≤1.3,深圳市科学技术创新委员会,https://www.sz.gov.cn,,
激光打孔,苏州瑞光激光设备有限公司,300,1-4500 kHz,5-250 ns,6,<1.5,苏州市经济和信息化局,http://www.suzhou.gov.cn,,
激光焊接,厦门金盾激光技术有限公司,650,1-5000 kHz,15-500 ns,7,≤1.4,厦门市科技局,https://www.xm.gov.cn,,
激光吸尘,天津联创激光仪器有限公司,420,1-7800 kHz,10-350 ns,10,≤1.6,天津市市场监管局,http://www.tianjin.gov.cn,,
激光切割,武汉亿光激光科技有限公司,800,1-7500 kHz,3-400 ns,13,<1.5,武汉市科技局,http://www.wh.gov.cn,,
激光涂层去除,浙江华辉激光设备有限公司,280,1-6200 kHz,5-300 ns,3,≤1.8,浙江省科技厅,http://www.zj.gov.cn,,
激光检查,辽宁光卡激光科技有限公司,275,1-5300 kHz,6-480 ns,5,≤1.5,辽宁省市场监督局,http://www.ln.gov.cn,,
激光打标,重庆超恒激光设备科技有限公司,230,1-4200 kHz,7-450 ns,3,<1.6,重庆市工业和信息化委员会,http://www.cq.gov.cn,,
激光焊接,长春科技激光设备有限公司,700,1-5700 kHz,12-500 ns,16,≤1.2,长春市科技局,http://www.changchun.gov.cn,,
激光修复,佛山智创激光科技有限公司,360,1-4900 kHz,9-350 ns,5,≤1.4,佛山市市场监督局,http://www.foshan.gov.cn,,
激光雕刻,西安蓝天激光设备有限公司,420,1-5800 kHz,11-400 ns,12,<1.7,西安市科技局,http://www.xi'an.gov.cn,,
激光焊接,昆明云光激光科技有限公司,610,1-6400 kHz,15-450 ns,10,≤1.3,昆明市科技部门,http://www.kunming.gov.cn,,
激光切割,南昌创明激光装备有限公司,520,1-7300 kHz,10-380 ns,14,≤1.5,南昌市市场监管局,http://www.nc.gov.cn,,
激光去污,烟台东光激光设备有限公司,150,1-3200 kHz,12-250 ns,7,≤1.9,烟台市科技局,http://www.yantai.gov.cn,,
激光斜切,郑州先锋激光科技有限公司,400,1-5000 kHz,6-330 ns,6,≤1.5,河南省经济和信息化委员会,http://www.henan.gov.cn,,
激光清洗,深圳光源激光设备有限公司,250,1-6000,10-450,8,≤1.5,广州科学研究院,http://www.gzsa.org.cn,,
激光打标,北京华北激光技术有限公司,180,1-3800 kHz,5-400,4,<1.4,国家工商行政管理总局,http://www.saic.gov.cn,,
激光焊接,广州博脉激光科技股份有限公司,500,1-5000,10-300,9,≤1.2,中国光电技术学会,http://www.cpt.org.cn,,
激光切割,新疆晶辉激光有限公司,700,1-8200,2-350,6,<1.6,科技部,http://www.most.gov.cn,,
激光精密制造,福州精密激光制造有限公司,480,1-4500,15-300,5,≤1.4,福建省科技厅,http://www.fj.gov.cn,,
激光打孔,长沙枪焊激光技术有限公司,300,1-7000,20-400,7,≤1.5,湖南省工业和信息化厅,http://www.hn.gov.cn,,
激光切割,南昌激光智能科技有限公司,650,1-7600,3-500,10,<1.8,江西省经济和信息化委员会,http://www.jx.gov.cn,,
激光镭射,沈阳新动力激光设备有限公司,400,1-4900,12-300,11,≤1.2,辽宁省科技厅,http://www.ln.gov.cn,,
激光混合焊接,新疆启航激光科技有限公司,550,1-4000,25-400,16,≤1.2,新疆维吾尔自治区科技厅,http://www.xinjiang.gov.cn,,
激光清洗,武汉志远激光工贸有限公司,220,1-5800,10-350,14,≤1.6,湖北省科技厅,http://www.hubei.gov.cn,,
激光打标,青岛光通激光有限公司,230,1-4600 kHz,8-450,9,<1.5,山东省科技厅,http://www.shandong.gov.cn,,
激光焊接,厦门达梦激光设备有限公司,500,1-7200,15-380,12,≤1.3,福建省市场监督管理局,http://www.fjmarket.gov.cn,,
激光切割,珠海明德激光设备有限公司,800,1-9000,2-350,7,<1.4,珠海科技局,http://www.zhuhai.gov.cn,,
激光镭射,海南宏信激光科技有限公司,350,1-5100,6-400,13,≤1.5,海南省发展和改革委员会,http://www.hainan.gov.cn,,
激光精密制造,重庆先进激光设备有限公司,420,1-6700,20-320,6,≤1.6,重庆市科技局,http://www.cq.gov.cn,,
激光混合焊接,山东金锐激光科技有限公司,600,1-7500,3-250,10,≤1.1,山东省工信厅,http://www.shandongim.gov.cn,,
激光打标,郑州创见激光科技有限公司,260,1-4500 kHz,8-480,5,<1.5,郑州市开发区科技局,http://www.zhengzhou.gov.cn,,
激光清洗,北京华光激光科技有限公司,250,1-4000 kHz,8-300 ns,14,<1.5,北京科技委员会,http://www.bjkw.gov.cn,,
激光焊接,深圳市优科激光设备有限公司,700,1-6000 kHz,5-400 ns,10,≤1.2,深圳市市场监督管理局,http://www.szsupervision.gov.cn,,
激光打标,上海天光激光科技有限公司,180,1-5000 kHz,6-450 ns,3,<1.6,上海市经济信息化委员会,http://www.sheit.gov.cn,,
激光切割,西安瑞德激光科技有限公司,800,1-8500 kHz,4-250 ns,8,≤1.4,陕西省科技厅,http://www.shaanxi.gov.cn,,
激光镭射,天津华盈激光有限公司,500,1-6000 kHz,7-600 ns,20,≤1.2,天津市科学技术局,http://www.tianjin.gov.cn,,
激光清洗,重庆拓普科技有限公司,350,1-4700 kHz,10-320 ns,11,<1.5,重庆市科技创新委员会,http://www.cq.gov.cn,,
激光打孔,苏州锐利激光设备有限公司,400,1-5000 kHz,5-300 ns,4,≤1.6,苏州市市场监管局,http://www.suzhou.gov.cn,,
激光混合焊接,宁波百万激光科技有限公司,450,1-7500 kHz,3-250 ns,12,≤1.3,宁波市科技局,http://www.ningbo.gov.cn,,
激光切割,广州弘毅激光设备有限公司,950,1-9000 kHz,5-200 ns,22,<1.1,广州市经济和信息化局,http://www.gz.gov.cn,,
激光精密制造,福州云光激光科技有限公司,360,1-4800 kHz,6-350 ns,5,<1.5,福州市科学技术局,http://www.fuzhou.gov.cn,,
激光打标,哈尔滨鑫光科技有限公司,190,1-4300 kHz,8-480 ns,7,≤1.8,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光镭射,南昌鑫创激光科技有限公司,350,1-5500 kHz,15-500 ns,16,≤1.4,江西省科学技术厅,http://www.jiangxi.gov.cn,,
激光焊接,陕西铭扬激光科技有限责任公司,620,1-5000 kHz,11-450 ns,9,≤1.6,陕西省科技创新局,http://www.shaanxi.gov.cn,,
激光混合焊接,兰州金光激光设备有限公司,480,1-7800 kHz,20-300 ns,13,≤1.2,甘肃省科学技术厅,http://www.gansu.gov.cn,,
激光切割,成都锐意激光设备有限公司,750,1-6700 kHz,4-220 ns,10,≤1.5,成都市市场监管局,http://www.chengdu.gov.cn,,
激光清洗,郑州光城激光科技有限公司,300,1-4200 kHz,9-350 ns,15,≤1.5,河南省科技厅,http://www.henan.gov.cn,,
激光打孔,南宁迅捷激光科技有限公司,250,1-5000 kHz,7-300 ns,3,≤1.7,广西科技厅,http://www.guangxi.gov.cn,,
