激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
紫外激光器,355 nm,20-30%,1500,W,1.5,优良,优秀,一般,塑料、电子元件,中,小型,每年,较高,便捷,20000,小时,现代光电技术研究中心,https://www.phototech.org,,
圈光激光器,1450 nm,22-26%,1200,W,>1.4,良好,中等,优良,塑料、金属,中,中型,每年,中等,便捷,18000,小时,亚洲激光应用研究中心,https://www.laserasia.org,,
高功率二氧化碳激光器,10.6 µm,15-20%,4000,W,<1.6,优良,优秀,优秀,金属、塑料、木材,中,大型,每年,较高,较复杂,25000,小时,国际激光与光电子技术协会,https://www.ilpt.org,,
半导体激光器（新型）,980 nm,50-60%,750,W,1.2,优良,优良,优秀,金属、光纤,高,微型,每半年,中等,非常便捷,15000,小时,光电子技术研究院,https://www.optrai.cn,,
超光谱激光器,450 nm - 700 nm,28-32%,2500,W,>1.5,良好,良好,一般,生物样品、光学材料,中,大型,每年,高,复杂,18000,小时,国际光学材料中心,https://www.opticalmaterialsintl.org,,
纳米激光器,520 nm,40-45%,600,W,<1.0,优良,优良,优秀,金属、碳纳米管,低,小型,每年,中等,非常便捷,22000,小时,中国光电技术研究所,https://www.cnoptics.org,,
新型光声激光器,1550 nm,12-18%,900,W,>1.7,一般,良好,优良,复合材料、塑料,中,小型,每半年,中等,便捷,20000,小时,光声激光技术协会,https://www.photoacoustic.org,,
低能耗激光器,780 nm,30-38%,400,W,1.4,优良,优良,良好,金属、塑料,中,中型,每年,低,较便捷,11000,小时,清华大学激光研究所,https://www.tsinghua-laser.cn,,
高频激光器,600 nm,35-45%,850,W,1.6,良好,优良,优秀,金属、塑料,高,小型,每半年,中等,便捷,15000,小时,香港科技大学激光中心,https://www.hkdtech.edu.hk,,
等离子激光器,800 nm,20-25%,1200,W,>1.9,优良,较差,良好,木材、金属,中,大型,每年,高,较复杂,18000,小时,国际激光与材料结合技术研究所,https://www.lasercomposite.org,,
多波长激光器,450 nm / 1064 nm,30-38%,3000,W,1.7,优良,中等,优良,金属、矿石,中,大型,每年,较高,便捷,16000,小时,中国先进激光制造技术实验室,https://www.advancedlaser.cn,,
氦氖激光器,632.8 nm,12-15%,200,W,2.0,良好,一般,优良,玻璃、塑料,低,微型,每半年,低,非常便捷,5000,小时,中国光学工程技术研究中心,https://www.opticaleng.org,,
新型二氧化碳激光器,10.3 µm,18-22%,3000,W,1.8,优良,优秀,优良,金属、复合材料,中,大型,每年,中等,便捷,27000,小时,中国激光与材料研究所,https://www.clml.edu.cn,,
交替波激光器,670 nm,30-35%,600,W,1.4,良好,优良,优良,金属、塑料,中,中型,每半年,中等,较便捷,8000,小时,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
固态激光器,1064 nm,25-30%,1200,W,1.1,优良,优秀,优秀,金属、陶瓷,高,中型,每年,中等,较便捷,18000,小时,国际激光器行业协会,https://www.ila.org,,
光纤激光器,1550 nm,30-40%,2000,W,<1.5,良好,中等,优良,金属、复合材料,中,大型,每年,较高,便捷,30000,小时,激光技术研究院,https://www.lasertech.org,,
紫外激光器,355 nm,15-25%,500,W,1.6,优良,优良,中等,塑料、玻璃,中,中型,每年,中等,便捷,15000,小时,光学工程研究院,https://www.opticalengineering.org,,
低温激光器,780 nm,20-35%,700,W,1.0,优良,良好,好的,金属、塑料,中,小型,每半年,较低,非常便捷,22000,小时,科学与技术部,https://www.most.gov.cn,,
高功率激光器,1064 nm,18-25%,5000,W,>2.0,一般,较差,优秀,金属、复合材料,高,大型,每年,高,较便捷,30000,小时,先进制造技术中心,https://www.amtc.org,,
全固态激光器,532 nm,25-30%,1500,W,1.4,优良,优秀,优秀,金属、木材,中,中型,每年,中等,便捷,28000,小时,中国光电技术学会,https://www.optoelectronics.org.cn,,
频率倍增激光器,532 nm,22-28%,1000,W,1.2,良好,良好,中等,金属、非金属,高,大型,每年,较高,较便捷,15000,小时,中国光学学会,https://www.cos.org.cn,,
纳米激光器,1064 nm,35-45%,400,W,<1.0,优良,优良,优秀,金属、塑料、陶瓷,中,超小型,每半年,较低,非常便捷,50000,小时,新材料研发中心,https://www.nmr.org.cn,,
量子点激光器,710 nm,15-20%,700,W,1.7,一般,较差,一般,塑料、玻璃,低,小型,每半年,中等,较复杂,10000,小时,国家半导体研究所,https://www.nsri.ac.cn,,
红外激光器,1064 nm,30-35%,2500,W,1.3,良好,优秀,优良,金属、复合材料,中,中型,每年,较高,便捷,22000,小时,国家电力公司,https://www.sgcc.com.cn,,
双波长激光器,445 nm / 1064 nm,20-25%,1200,W,1.6,优良,优良,优秀,金属、木材、塑料,中,大型,每年,高,比较复杂,15000,小时,光电元件制造商,https://www.opticalcomponents.com,,
自适应激光器,820 nm,35-50%,900,W,1.1,优良,优秀,中等,金属、塑料、织物,低,小型,每半年,较低,非常便捷,20000,小时,工业激光应用研究所,https://www.iala.org,,
医疗激光器,532 nm,30-40%,250,W,1.5,优良,中等,良好,生物组织、塑料,低,小型,每半年,中等,便捷,15000,小时,医疗器械研究所,https://www.medsci.org,,
智能激光器,405 nm,40-50%,600,W,<1.0,优良,良好,优秀,金属、复合材料,高,中型,每年,中等,便捷,25000,小时,国家智能制造协会,https://www.intelligentmanufacturing.org,,
超快激光器,800 nm,15-20%,800,W,1.2,优良,优秀,良好,金属、塑料,中,小型,每年,较高,便捷,12000,小时,先进光电研究协会,https://www.apoa.org,,
单模激光器,1550 nm,25-35%,1200,W,<1.2,优良,良好,优秀,塑料、金属,中,中型,每年,中等,便捷,30000,小时,电子工业协会,https://www.electronics.org,,
钕激光器,1064 nm,20-25%,5000,W,>2.5,一般,优良,良好,金属、陶瓷,高,大型,每两年,中等,较复杂,15000,小时,国际激光研究组织,https://www.international-laser-research.org,,
紫外激光器,355 nm,10-15%,700,W,1.1,优良,良好,优秀,玻璃、金属,低,小型,每年,较高,便捷,10000,小时,激光技术创新中心,https://www.lasertechnology.org,,
相位调制激光器,920 nm,45-55%,250,W,<1.0,优良,中等,良好,光纤、金属,中,小型,每半年,中等,非常便捷,18000,小时,高新技术研究院,https://www.hitechresearch.org,,
强流激光器,488 nm,22-30%,1500,W,>2.2,一般,较差,优良,塑料、金属,中,大型,每年,较高,便捷,8000,小时,激光应用技术开发中心,https://www.laserapp.org,,
大功率光纤激光器,1060 nm,25-32%,6000,W,1.2,优良,优秀,良好,金属、复合材料,高,大型,每年,较高,便捷,25000,小时,研究与开发中心,https://www.rndcenter.org,,
多波长激光器,405 nm / 810 nm,20-30%,1100,W,1.9,良好,良好,优秀,塑料、金属、木材,中,中型,每年,中等,较便捷,15000,小时,先进激光技术协作组,https://www.advancedlaser.org,,
冷却氦氖激光器,632.8 nm,9-15%,180,W,2.1,一般,中等,一般,金属、非金属,中,小型,每半年,较高,便捷,5000,小时,激光行业研究所,https://www.laserresearch.org,,
钛宝石激光器,780 nm,25-30%,950,W,<1.5,优良,中等,优良,粉末、金属,低,中型,每年,中等,较便捷,16000,小时,材料科学研究院,https://www.materialsci.org,,
固体激光器,1064 nm,22-28%,4000,W,>1.5,一般,优良,优秀,金属、塑料,中,大型,每年,较高,便捷,20000,小时,国际材料与激光科技学会,https://www.imlas.org,,
新型多频激光器,500 nm / 1000 nm,30-38%,2500,W,1.4,优良,优良,优秀,金属、玻璃、塑料,低,中型,每年,中等,便利,22000,小时,现代激光应用研究所,https://www.modernlaser.org,,
超稳激光器,780 nm,28-32%,800,W,<1.0,优良,优秀,良好,塑料、金属,高,小型,每半年,低,非常便捷,15000,小时,国家激光标准化研究中心,https://www.national.com.cn,,
超导激光器,1500 nm,40-45%,2000,W,1.2,良好,优秀,优秀,高强度钢、塑料,中,中型,每年,中等,便捷,26000,小时,激光技术最新动态网站,https://www.laserdynamics.com,,
脉冲激光器,800 nm,15-20%,1000,W,1.3,优良,良好,优良,金属、木材,中,大型,每年,中等,便捷,12000,小时,光电与激光材料研究所,https://www.optical-laser.org,,
光纤激光器,1064 nm,25-30%,2000,W,<1.2,优良,优秀,良好,金属、陶瓷,高,中型,每年,中等,方便,30000,小时,国际激光技术研究所,https://www.iltresearch.org,,
半导体激光器,980 nm,40-50%,500,W,1.6,良好,中等,一般,塑料、金属,高,小型,每半年,较高,便捷,15000,小时,电子元件工程中心官网,https://www.electronicsengineering.org,,
紫外激光器,355 nm,20-25%,300,W,>1.5,良好,优良,优秀,塑料、玻璃,低,小型,每年,中等,较复杂,10000,小时,中国激光学会,https://www.clas.org.cn,,
远红外激光器,9.3 µm,8-12%,600,W,<1.4,一般,中等,中等,塑料、非金属,低,中型,每年,中等,便捷,12000,小时,激光科技发展研究中心,https://www.lasertech.org,,
可调激光器,480-700 nm,15-25%,400,W,1.1,优良,优良,良好,金属、塑料、玻璃,高,大型,每两年,较高,便捷,20000,小时,中国光电技术协会,https://www.oep.org.cn,,
大功率CO2激光器,10.6 µm,10-20%,5000,W,>2.0,良好,优良,优秀,塑料、金属、木材,高,大型,每年,中等,较便捷,25000,小时,中国激光研究院,https://www.clri.edu.cn,,
多波长激光器,400 nm / 680 nm,30-40%,1500,W,1.6,优良,良好,优良,玻璃、塑料,低,中型,每年,较高,便捷,15000,小时,光学制造技术中心,https://www.opticalmanufacturing.org,,
绿色薄膜激光器,532 nm,22-30%,250,W,1.5,一般,中等,良好,纸类、塑料,低,小型,每半年,较高,较便捷,8000,小时,国家材料研究中心,https://www.nmr.cn,,
极紫外激光器,13.5 nm,10-15%,2500,W,<1.0,优良,优良,一般,金属、硅片,高,小型,每季度,很高,复杂,15000,小时,华南激光科技研发中心,https://www.sc-laser.com,,
氦氖激光器,632.8 nm,6-10%,20,W,>2.5,一般,不可用,中等,玻璃、展示用途,低,小型,每年,较低,便捷,5000,小时,国家光电设备协会,https://www.nopa.org,,
掺铒光纤激光器,1550 nm,20-25%,1000,W,1.3,优良,中等,良好,光纤、半导体,中,中型,每年,较中等,方便,10000,小时,中国激光通信技术研究院,https://www.clcti.edu.cn,,
氟化物激光器,121.5 nm,5-10%,300,W,>3.0,一般,不可用,低,气体、超细薄膜,低,小型,每年,较高,复杂,5000,小时,航空激光研究院,https://www.aerospace-laser.com,,
拍摄激光器,650 nm,15-20%,150,W,1.9,优良,优良,一般,纸类、塑料,低,小型,每半年,较低,便捷,6000,小时,国际光电学会,https://www.ops.org,,
光纤激光器,1064 nm,30-45%,5000,W,<1.2,优秀,优良,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,30000,小时,国际激光与光电技术研究院,https://www.lasertech.org,,
高功率二氧化碳激光器,10.6 µm,20-25%,4000,W,1.5,良好,优秀,优良,金属、塑料,高,大型,每年,较高,便捷,22000,小时,激光安全与应用技术中心,https://www.laser-safety.org,,
蓝光激光器,450 nm,15-25%,350,W,1.8,一般,中等,中等,塑料、玻璃,中,小型,每半年,较低,便捷,15000,小时,新一代激光技术研究所,https://www.nextgenerationlaser.com,,
脉冲激光器,1064 nm,22-32%,600,W,1.4,优秀,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,20000,小时,激光应用技术研发中心,https://www.laserapplicationtech.com,,
近红外激光器,980 nm,30-40%,900,W,1.2,优良,优良,良好,金属、复合材料,低,小型,每半年,中等,较便捷,17000,小时,国际光电与激光学会,https://www.optoelectronics.org,,
工业用固态激光器,532 nm,25-35%,700,W,1.3,良好,优良,中等,塑料、金属,中,中型,每年,中等,便捷,24000,小时,中国激光工程技术研究中心,https://www.clt.org.cn,,
紫外激光器,355 nm,30-40%,1000,W,1.5,优秀,优良,优秀,陶瓷、玻璃,低,中型,每年,较高,便捷,30000,小时,临近激光技术研究所,https://www.near-lasertech.com,,
自主智能激光器,800 nm,50-60%,200,W,1.0,优良,中等,优秀,金属、塑料,低,小型,每年,低,非常便捷,25000,小时,自动化激光技术国际协会,https://www.automatedlaser.org,,
太赫兹激光器,300 µm,10-15%,50,W,>2.0,一般,优良,较好,新型复合材料,中,超小型,每半年,较低,复杂,10000,小时,太赫兹科学研究中心,https://www.thz-research.org,,
放大激光器,1064 nm,20-25%,1500,W,1.2,良好,优良,优秀,金属、塑料,高,中型,每年,中等,便捷,15000,小时,中国工程科技协会,https://www.ceo.org.cn,,
应用型脉冲激光器,800 nm,15-25%,300,W,1.0,优良,良好,中等,金属、光纤,中,小型,每半年,较低,方便,12000,小时,激光技术创新中心,https://www.laserinnovation.com,,
绿色固态激光器,532 nm,22-30%,850,W,<1.5,良好,中等,优秀,金属、电子元件,中,大型,每年,中等,方便,17000,小时,激光设备制造商协会,https://www.laser-manufacturers.org,,
微型激光器,638 nm,35-45%,150,W,1.1,优良,优良,良好,塑料、金属,低,微型,每半年,较高,非常便捷,8000,小时,中国激光技术协会,https://www.ccl.org.cn,,
冷光激光器,500 nm,10-15%,60,W,>2.0,一般,中等,一般,布料、塑料,中,小型,每半年,较高,复杂,6000,小时,光波工程与技术中心,https://www.waveengineering.org,,
近红外激光器,1060 nm,20-25%,750,W,1.5,优良,良好,良好,光纤、金属,中,中型,每年,中等,便捷,18000,小时,华东理工大学激光中心,https://www.ecust.edu.cn,,
光纤激光器,1550 nm,30-35%,2000,W,1.1,优秀,优良,优秀,金属、塑料、陶瓷,中,中型,每年,较低,非常便捷,30000,小时,北京理工大学,https://www.bit.edu.cn,,
脉冲激光器,320 nm,12-18%,500,W,1.6,良好,中等,一般,非金属、塑料,低,小型,每半年,中等,便捷,12000,小时,国家光电研究所,https://www.ceph.org,,
蓝色激光器,473 nm,35-40%,220,W,1.4,优良,优良,较好,金属、塑料、纸张,中,小型,每年,较高,便捷,10000,小时,深圳光电技术研究院,https://www.szoptics.org,,
高功率二氧化碳激光器,10.6 µm,20-30%,5000,W,1.9,优良,优秀,良好,金属、木材、塑料,高,大型,每年,较高,较便捷,50000,小时,全球激光技术论坛,https://www.globallaserforum.com,,
模块化激光器,532 nm,15-25%,1000,W,1.3,良好,中等,一般,木材、塑料、金属,中,小型,每半年,中等,复杂,15000,小时,国际激光会议,https://www.internationallaserconference.com,,
高能束激光器,800 nm,30-45%,1200,W,1.0,优秀,优良,优秀,碳纤维、金属,低,大型,每年,中等,非常便捷,25000,小时,激光与光电信息研究所,https://www.laserinfo.org,,
飞秒激光器,1030 nm,40-50%,500,W,1.2,优秀,良好,优秀,陶瓷、金属、玻璃,中,小型,每年,较高,便捷,15000,小时,中国激光技术协会,https://www.clta.org.cn,,
亚毫米波激光器,0.35 mm,50-55%,800,W,1.4,良好,一般,良好,超导材料、塑料,低,中型,每年,中等,复杂,13000,小时,国家超导研究中心,https://www.nsrcenter.org,,
增材制造激光器,970 nm,28-32%,600,W,1.8,优良,良好,优秀,塑料、金属,中,大型,每年,较高,较便捷,20000,小时,国际增材制造协会,https://www.amassociation.com,,
高效照明激光器,405 nm,45-55%,400,W,1.1,优秀,中等,一般,非金属、塑料,低,超小型,每半年,较低,便捷,30000,小时,中国电子照明协会,https://www.cleia.org.cn,,
深紫外激光器,248 nm,20-30%,600,W,1.9,良好,优良,良好,半导体、塑料,高,小型,每半年,较高,复杂,10000,小时,国际半导体研究院,https://www.isemi.org,,
多波长激光器,405 nm / 635 nm / 808 nm,30-40%,850,W,1.6,优良,较差,一般,金属、塑料,中,中型,每年,中等,便捷,15000,小时,中国材料研究学会,https://www.cmes.org,,
光子晶体激光器,700 nm,35-45%,500,W,1.0,优秀,优良,优秀,光纤、金属,低,小型,每年,中等,便捷,20000,小时,中国光电技术研究院,https://www.chinalaserresearch.com,,
高功率纤维激光器,1060 nm,20-30%,5000,W,<1.1,优秀,优良,优秀,金属、复合材料,中,中型,每年,中等,非常便捷,25000,小时,中国激光协会,https://www.cila.org.cn,,
蓝光激光器,450 nm,25-33%,1000,W,1.5,良好,优良,良好,塑料、金属,高,小型,每半年,较高,便捷,12000,小时,上海市场研究中心,https://www.smrcc.cn,,
脉冲可调激光器,355 nm,30-40%,1500,W,1.4,优良,良好,优良,玻璃、陶瓷,中,中型,每年,中等,较便捷,18000,小时,科研院校激光研究所,https://www.klri.edu.cn,,
光纤激光器,1550 nm,38-42%,4000,W,<1.3,优良,优秀,优秀,金属、复合材料,中,大型,每年,高,便捷,30000,小时,中国光电技术研究院,https://www.optictech.org,,
可调波长激光器,500-900 nm,20-28%,800,W,1.6,一般,中等,良好,塑料、金属,高,小型,每半年,中等,便捷,15000,小时,激光创新实验室,https://www.laserinnovationlab.com,,
混合激光器,808 nm / 1064 nm,22-35%,2800,W,1.4,良好,中等,优良,多种金属、塑料,中,大中型,每年,中等,方便,22000,小时,北京高能激光技术研究所,https://www.bjel.org.cn,,
超薄激光器,532 nm,18-23%,400,W,>1.7,优良,优良,良好,纸张、塑料,低,小型,每半年,高,便捷,8000,小时,国际激光研究协会,https://www.ilra.org,,
对称激光器,635 nm,30-40%,1000,W,1.6,良好,良好,良好,塑料、木材,中,大型,每年,中等,方便,15000,小时,科技进步研究中心,https://www.scienceprogress.org,,
超广谱激光器,400-700 nm,25-35%,600,W,1.5,优良,良好,优秀,金属、塑料、纺织品,高,小型,每半年,中等,较便捷,11000,小时,中国激光及光电技术研究会,https://www.laseroptics.org.cn,,
单波长激光器,1064 nm,32-45%,2000,W,>1.8,一般,较差,优秀,金属、复合材料,中,中型,每年,较高,便捷,16000,小时,激光与材料处理研究所,https://www.laserprocessing.org,,
高亮度激光器,940 nm,45-50%,1200,W,1.2,优秀,优良,良好,塑料、金属,中,小型,每半年,中等,非常便捷,20000,小时,激光技术发展委员会,https://www.lasertech.org.cn,,
固体激光器,1064 nm,20-27%,3500,W,>1.6,一般,良好,优秀,金属、木材,高,大型,每年,较高,便捷,30000,小时,激光与工程技术研究所,https://www.laserengineering.org,,
长脉冲激光器,1064 nm,20-25%,600,W,<1.5,良好,优良,一般,金属、复合材料,中,小型,每年,中等,方便,15000,小时,国际激光科学协会,https://www.ilsci.org,,
垂直腔表面发射激光器,850 nm,42-50%,200,W,1.3,优良,一般,良好,电子元件、塑料,低,超小型,每半年,中等,非常便捷,18000,小时,半导体技术研究中心,https://www.semi-research.org,,
纳米激光器,780 nm,20-25%,650,W,1.1,优良,良好,优秀,塑料、金属,中,中型,每年,中等,便捷,18000,小时,华南理工大学激光研究所,https://www.scut.edu.cn,,
光纤激光器,1064 nm,25-35%,2000,W,1.2,优良,优秀,良好,金属、陶瓷,中,大型,每年,中等,非常便捷,30000,小时,全球激光技术网络,https://www.globallasertech.org,,
蓝光激光器,450 nm,15-22%,500,W,1.5,一般,中等,较好,塑料、木材,低,小型,每半年,较高,便捷,15000,小时,中国激光产业协会,https://www.clia.org.cn,,
高功率二氧化碳激光器,10.6 µm,12-18%,5000,W,1.4,优良,优秀,良好,金属、非金属,高,大型,每年,较高,较便捷,18000,小时,国际激光工程实验室,https://www.internationallaserlab.org,,
脉冲激光器,532 nm,20-30%,400,W,高,良好,良好,一般,塑料、玻璃,中,小型,每半年,中等,便捷,23000,小时,教科书与科技出版公司,https://www.edutechpub.com,,
工业固态激光器,1064 nm,30-40%,1200,W,1.2,优良,良好,优秀,金属、木材,中,中型,每年,中等,很便捷,27000,小时,工业激光用户协会,https://www.industrylasers.org,,
紫外激光器,355 nm,22-32%,750,W,1.5,一般,中等,良好,塑料、陶瓷,低,小型,每半年,较高,便捷,20000,小时,激光光电子研究中心,https://www.laselectro.org,,
脉冲半导体激光器,850 nm,50-60%,900,W,1.0,优良,优秀,优秀,金属、光纤,高,超小型,每年,中等,非常便捷,15000,小时,量子传播与激光研究中心,https://www.quantumlasers.org,,
短脉冲激光器,500 nm,25-35%,800,W,1.5,优良,优秀,优良,玻璃、塑料,低,中型,每年,中等,便捷,22000,小时,国家激光与光电科技中心,https://www.nlsp.org.cn,,
多波长激光器,405 nm / 532 nm,30-40%,1000,W,1.3,一般,中等,良好,木材、金属,中,大型,每半年,较高,便捷,25000,小时,激光科研与应用中心,https://www.laserresearch.edu.cn,,
散热激光器,1064 nm,35-45%,1800,W,1.1,优良,优秀,优秀,金属、合金,高,中型,每年,中等,非常便捷,21000,小时,材料科学与工程学院,https://www.materialsci.edu.cn,,
氦氖激光器,632.8 nm,8-12%,50,W,1.6,一般,差,一般,各种材料,低,小型,每半年,较高,较复杂,10000,小时,激光技术研究所,https://www.lasertech.org,,
光束整形激光器,1064 nm,30-35%,1500,W,1.4,优良,良好,良好,金属、玻璃,中,大型,每年,较高,便捷,27000,小时,激光系统解决方案公司,https://www.lasersolutions.com,,
超快激光器,800 nm,15-25%,1200,W,1.5,良好,优秀,优良,金属、石材,中,小型,每半年,中等,便捷,20000,小时,激光与光电设备研究中心,https://www.laserandphotonics.org,,
微烧激光器,980 nm,20-31%,300,W,1.3,良好,中等,一般,生物材料、金属,高,小型,每年,中等,便捷,15000,小时,中国电子材料研究院,https://www.cemi.org.cn,,
短波长激光器,400 nm,25%-30%,1500,W,1.5,良好,优良,优秀,金属、陶瓷,中,中型,每年,低,便捷,12000,小时,激光研究与开发中心,https://www.laserresearch.com,,
高功率固态激光器,1064 nm,35%-40%,5000,W,1.1,优良,优秀,优良,金属、塑料,高,大型,每年,中等,较便捷,30000,小时,中国激光器技术研究院,https://www.chinalaser.org.cn,,
整合型激光器,780 nm,20%-25%,200,W,1.7,一般,中等,一般,塑料、橡胶,低,小型,每半年,低,非常便捷,5000,小时,创新激光技术公司,https://www.innovativelaser.com,,
二氧化碳节能激光器,10.6 µm,15%-25%,1200,W,1.4,良好,优良,优良,木材、塑料,中,中型,每年,中等,便捷,20000,小时,北京激光加工研究中心,https://www.bjlaser.edu.cn,,
激光打标机,532 nm,20%-35%,400,W,1.6,优良,中等,良好,金属、塑料、纸张,低,小型,每半年,高,便捷,15000,小时,激光技术与应用协会,https://www.lasertech.org,,
光纤激光器,1550 nm,30%-45%,2500,W,1.2,优良,优秀,优秀,金属、陶瓷,高,中型,每年,中等,非常便捷,22000,小时,中国光纤激光协会,https://www.fiberlaser.org.cn,,
半导体量子激光器,850 nm,40%-50%,100,W,1.1,优良,中等,良好,电子元件、金属,高,小型,每半年,较高,便捷,8000,小时,清华大学激光研究所,https://www.tsinghua.edu.cn,,
多模激光器,980 nm,15%-25%,650,W,2.0,一般,中等,一般,木材、非金属,低,小型,每年,中等,较复杂,9000,小时,激光行业技术联盟,https://www.laseralliance.org,,
高能紫外激光器,355 nm,30%-40%,800,W,1.3,优良,优秀,优良,塑料、涂层,低,中型,每年,高,便捷,16000,小时,国际激光科技协会,https://www.international-lasertech.org,,
高动态激光器,532 nm,20%-30%,1000,W,1.9,较好,优良,良好,金属、塑料、纸张,中,大型,每年,中等,便捷,25000,小时,亚洲激光应用研究所,https://www.asiaslaser.org,,
中红外激光器,3.5 µm,15%-20%,300,W,1.4,一般,中等,中等,聚合物、陶瓷,低,小型,每半年,较高,较复杂,7000,小时,中国科学院物理研究所,https://www.cas-phy.ac.cn,,
高精度激光器,532 nm,35%-45%,350,W,1.2,优良,优良,优秀,电子元件、玻璃,中,中型,每年,中等,便捷,14000,小时,现代激光应用研究中心,https://www.modernlaser.com,,
PIC激光器,1310 nm,30%-35%,500,W,1.5,优良,优秀,一般,光纤、非金属,低,小型,每半年,中等,便捷,18000,小时,激光光电研究中心,https://www.laseropto.org,,
高温激光器,10.2 µm,15%-25%,600,W,2.1,一般,中等,一般,非金属、合成材料,中,中型,每年,中等,较复杂,8000,小时,国家激光安全与应用研究中心,https://www.lasersafety.gov.cn,,
脉冲激光器,810 nm,25%-30%,750,W,1.8,优良,优良,优秀,金属、塑料,高,小型,每年,高,便捷,10000,小时,国际光电激光技术中心,https://www.opticlasertech.org,,
多功能激光器,1470 nm,30%-40%,800,W,1.3,优良,优良,良好,金属、玻璃,高,大型,每年,中等,便捷,22000,小时,国家激光产业发展促进中心,https://www.chinalaserindustry.org,,
紫外激光器,355 nm,25-35%,500,W,>1.2,优秀,优良,优良,玻璃、塑料,低,中型,每年,中等,较便捷,15000,小时,激光技术与应用研究所,https://www.lasertech.cn,,
钛宝石激光器,800 nm,22-30%,2000,W,1.5,良好,优良,优秀,金属、陶瓷,高,大型,每年,较高,便捷,18000,小时,激光科研与产业化平台,https://www.laserresearch.cn,,
固态激光器,1064 nm,30-40%,1000,W,1.2,优良,良好,优秀,金属、非金属,中,中型,每年,中等,便捷,25000,小时,中国激光器研究中心,https://www.laser-research.com,,
自由电子激光器,1.54 µm,10-20%,5000,W,1.9,一般,中等,一般,高端材料、复合材料,高,大型,每两年,高,复杂,50000,小时,国家高能激光研究所,https://www.hightelaser.gov,,
光纤激光器,1064 nm,75-80%,3000,W,1.4,优秀,优良,优秀,金属、塑料,高,小型,每年,中等,非常便捷,20000,小时,中国光纤激光协会,https://www.fiberlaser.org.cn,,
紫外固态激光器,266 nm,15-20%,1200,W,>2.0,良好,优良,良好,高精度打标、雕刻,中,中型,每年,中等,便捷,18000,小时,国际激光科研联盟,https://www.laserscientific.org,,
多波长激光器,405 nm / 450 nm,20-30%,1500,W,1.6,一般,良好,优良,非金属、塑料,低,大型,每两年,较高,复杂,7000,小时,激光工艺技术研究中心,https://www.laserprocess.org,,
氦氖激光器,632.8 nm,10-12%,100,W,1.0,良好,差,一般,非金属、纸张,低,小型,每半年,中等,较便捷,3000,小时,光电技术研究所,https://www.phototech.cn,,
相干激光器,550 nm,15-25%,800,W,1.3,一般,优良,一般,塑料、木材,中,中型,每年,中等,便捷,10000,小时,中国激光工程协会,https://www.laserengineering.org.cn,,
量子点激光器,980 nm,40-50%,600,W,1.1,优良,优良,优秀,金属、陶瓷,中,小型,每年,中等,非常便捷,15000,小时,中国科技部,https://www.most.gov.cn,,
蓝激光器,450 nm,30-40%,700,W,1.5,优良,中等,良好,金属、树脂,高,中型,每半年,较高,便捷,12000,小时,激光技术与应用研究中心,https://www.laserapp.org.cn,,
高功率阿秒激光器,800 nm,20-40%,2500,W,1.8,良好,中等,优良,金属、铝合金,中,大型,每两年,较高,复杂,25000,小时,阿秒激光研究院,https://www.atto-laser.com,,
近红外激光器,980 nm,30-35%,1500,W,1.4,优秀,优良,良好,金属、非金属,高,中型,每年,中等,便捷,20000,小时,国家电力激光技术研究中心,https://www.powerlaser.gov.cn,,
高频脉冲激光器,1064 nm,25-30%,1200,W,1.3,优良,优良,优秀,金属、塑料,中,小型,每半年,中等,非常便捷,25000,小时,中国激光产业技术研究院,https://www.clasertech.cn,,
探测器激光器,750 nm,25-30%,500,W,1.1,优良,良好,优秀,光学元件、塑料,中,中型,每年,中等,便捷,18000,小时,国际激光技术协会,https://www.international-laser-tech.com,,
固体激光器,1064 nm,20-25%,1500,W,1.5,一般,优良,良好,金属、陶瓷,中,大型,每年,较高,较便捷,30000,小时,激光技术创新研究院,https://www.lasertechinnovation.org,,
光纤激光器,1550 nm,30-40%,2000,W,1.3,优良,优秀,优良,金属、复合材料,低,中型,每半年,中等,便捷,24000,小时,激光与光学协会,https://www.laserandoptics.org,,
紫外激光器,355 nm,15-20%,700,W,1.8,良好,中等,一般,玻璃、陶瓷,高,小型,每年,较高,复杂,10000,小时,先进激光应用研究所,https://www.advancedlaserapp.com,,
全固态激光器,532 nm,20-35%,1200,W,1.4,优良,优良,优秀,金属、塑料,中,大型,每年,较低,便捷,50000,小时,全球激光设备协会,https://www.global-laser-devices.org,,
脉冲激光器,1064 nm,25-35%,800,W,1.6,一般,中等,良好,金属、木材,中,小型,每半年,中等,较便捷,15000,小时,区域激光技术中心,https://www.regional-laser-tech.org,,
二极管激光器,780 nm,40-50%,350,W,1.0,优良,优良,优秀,塑料、薄膜,低,超小型,每年,中等,非常便捷,22000,小时,激光器技术研究院,https://www.laserresearch.org,,
