船厂名称,年份,月份,所属国家,所属地区,订单情况,船东情况,在建数量,采集来源,来源链接,采集时间,备注,,,,,,,,
台船工业,2023,12,中国,台北,新接订单4艘,国际船东,3,台湾经济日报,https://www.chinatimes.com/,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,庆尚南道,新接订单11艘,国际船东,8,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
三井造船,2023,12,日本,神奈川县,新接订单7艘,国内船东,5,日本经济新闻,https://www.nikkei.com/,2024-09-23,,,,,,,,,
武器重工,2023,11,中国,浙江省,新接订单5艘,国际船东,2,中国船舶工业协会,http://finance.people.com.cn/,2024-09-23,,,,,,,,,
亚斯船厂,2023,11,泰国,巴吞他尼府,新接订单2艘,国际船东,1,马来西亚船舶记录网,http://www.malaysiaports.gov.my/,2024-09-23,,,,,,,,,
芬兰柴油重工,2023,11,芬兰,赫尔辛基,新接订单3艘,国内船东,2,芬兰船舶制造协会,https://www.finnishshipping.fi/,2024-09-23,,,,,,,,,
挪威湾船舶,2023,11,挪威,卑尔根,新接订单6艘,国际船东,4,挪威海洋局,https://www.nma.no/,2024-09-23,,,,,,,,,
黄埔文冲,2024,1,中国,广州市,新接订单12艘,国内船东,7,中国船舶工业行业协会,http://www.csia.org/home,2024-09-23,,,,,,,,,
现代重工,2024,1,韩国,乌山,新接订单9艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
上海外高桥造船,2024,1,中国,上海市,新接订单15艘,国内船东,10,中国船舶工业行业协会,http://www.csia.org/home,2024-09-23,,,,,,,,,
东北造船,2024,1,中国,吉林省,新接订单4艘,国际船东,2,国际船舶网,https://www.shipworld.com/,2024-09-23,,,,,,,,,
瑞士玛尔建造,2024,1,瑞士,伯尔尼,新接订单7艘,国际船东,3,Shipbuilding Tribune,https://www.shipbuildingtribune.com/,2024-09-23,,,,,,,,,
阿布扎比船厂,2024,1,阿联酋,阿布扎比,新接订单5艘,国际船东,3,航运业日报,https://www.shippingnews.com/,2024-09-23,,,,,,,,,
挪威诺德造船,2024,1,挪威,奥斯陆,新接订单6艘,国际船东,4,挪威航运协会,https://www.norship.no/,2024-09-23,,,,,,,,,
新加坡南方造船,2024,1,新加坡,新加坡,新接订单10艘,国际船东,5,新加坡船舶制造商协会,https://www.singapore-fast-lanes.com/,2024-09-23,,,,,,,,,
巴西造船,2024,1,巴西,里约热内卢,新接订单3艘,国内船东,1,海洋经济研究所,https://www.ocean-economy.org/,2024-09-23,,,,,,,,,
丹麦阿尔斯特造船,2024,1,丹麦,哥本哈根,新接订单4艘,国际船东,2,丹麦航运平台,https://www.danishmaritime.dk/,2024-09-23,,,,,,,,,
天津造船,2024,1,中国,天津,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
日本川崎重工,2023,11,日本,神户,新接订单4艘,国际船东,3,日本造船工业会,https://www.khi.co.jp/,2024-09-23,,,,,,,,,
新加坡德鲁瑞重工,2023,12,新加坡,新加坡,新接订单7艘,国内船东,8,新加坡海事和港口局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
挪威阿克苏重工,2023,10,挪威,斯塔万格,新接订单5艘,国际船东,2,挪威船级社,https://www.dnv.com/,2024-09-23,,,,,,,,,
法国DCN,2024,1,法国,洛里昂,新接订单3艘,国际船东,1,法国海事局,https://www.mer.gouv.fr/,2024-09-23,,,,,,,,,
阿根廷Tandanor,2024,2,阿根廷,布宜诺斯艾利斯,新接订单2艘,国内船东,1,阿根廷港口和航运部,https://www.argentina.gob.ar/,2024-09-23,,,,,,,,,
意大利费尔里重工,2024,3,意大利,热那亚,新接订单9艘,国际船东,5,意大利船舶工业协会,http://www.confitarma.it/,2024-09-23,,,,,,,,,
俄罗斯扎尔伊重工,2023,12,俄罗斯,圣彼得堡,新接订单11艘,国内船东,4,俄罗斯海事部,http://www.morflot.gov.ru/,2024-09-23,,,,,,,,,
巴西重工,2024,9,巴西,里约热内卢,新接订单6艘,国际船东,3,巴西造船协会,http://www.responsabilidade.org.br/,2024-09-23,,,,,,,,,
澳大利亚ASC公司,2024,5,澳大利亚,阿德莱德,新接订单2艘,国内船东,1,澳大利亚国防部,https://www.defence.gov.au/,2024-09-23,,,,,,,,,
广船国际,2023,12,中国,广东省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com/zh-hans/,2024-09-23,,,,,,,,,
中国一重,2023,11,中国,黑龙江省,新接订单7艘,国内船东,3,船舶工程网,http://www.shipbuilding.net/,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,庆尚南道,新接订单9艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
武器重工,2023,10,中国,江苏省,新接订单4艘,国内船东,3,国际船舶网,https://www.shipbuilding.org/,2024-09-23,,,,,,,,,
海船重工,2023,10,中国,湖北省,新接订单15艘,国际船东,8,俄罗斯航运网,http://www.russianshipbuilding.ru/,2024-09-23,,,,,,,,,
三菱重工,2023,11,日本,神奈川县,新接订单8艘,国际船东,4,日本船舶工业协会,http://www.japanshipbuilding.or.jp/,2024-09-23,,,,,,,,,
印尼海工厂,2023,12,印尼,东爪哇,新接订单6艘,国际船东,2,印尼船舶协会,http://www.indonesianmaritime.com/,2024-09-23,,,,,,,,,
达门船厂,2023,12,荷兰,阿姆斯特丹,新接订单10艘,国际船东,7,荷兰造船工业协会,https://www.damen.com/,2024-09-23,,,,,,,,,
比利时船厂,2023,11,比利时,安特卫普,新接订单5艘,国际船东,1,比利时造船各协会,https://www.belgianshipbuilding.be/,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.csia.org.cn,2024-09-23,,,,,,,,,
法国达门船厂,2023,12,法国,勒阿弗尔,新接订单7艘,国际船东,3,MarineLink,https://www.marinelink.com,2024-09-23,,,,,,,,,
挪威海洋工程,2023,11,挪威,奥斯陆,新接订单4艘,国际船东,5,Balancing Act,http://www.balancingact-africa.com,2024-09-23,,,,,,,,,
中国船舶重工,2024,1,中国,江南造船厂,新接订单9艘,国内船东,7,世界海洋工业,http://www.marineindustryworld.com,2024-09-23,,,,,,,,,
美国古德里奇公司,2023,12,美国,休斯顿,新接订单10艘,国际船东,8,Shipbuilding Tribune,https://www.shipbuildingtribune.com,2024-09-23,,,,,,,,,
新加坡凯德科技船厂,2023,12,新加坡,新加坡,新接订单5艘,国际船东,4,Damen Group,https://www.damen.com,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2023,11,意大利,热那亚,新接订单6艘,国际船东,5,Shipbuilding & Maritime Industries,https://www.shipbuildingandmaritimemagazine.com,2024-09-23,,,,,,,,,
印度塔塔船舶,2023,12,印度,孟买,新接订单3艘,国内船东,2,The Maritime Executive,https://www.maritimeexecutive.com,2024-09-23,,,,,,,,,
黎巴嫩贝鲁特造船,2023,12,黎巴嫩,贝鲁特,新接订单2艘,国际船东,1,IHS Markit,https://ihsmarkit.com,2024-09-23,,,,,,,,,
阿联酋阿布扎比造船,2023,12,阿联酋,阿布扎比,新接订单3艘,国际船东,3,Gulf News,https://www.gulfnews.com,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单12艘,国际船东,7,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
武汉船舶设计院,2024,1,中国,湖北省,新接订单15艘,国内船东,9,行业市场分析报告,https://www.shipbuildingindustry.com/,2024-09-23,,,,,,,,,
广州船舶重工,2023,11,中国,广东省,新接订单4艘,国内船东,1,海工设备与技术刊物,https://www.maritimejournal.com/,2024-09-23,,,,,,,,,
意大利法拉利造船,2023,12,意大利,罗马,新接订单9艘,国际船东,6,国际船舶协会,https://www.italianshipyards.com/,2024-09-23,,,,,,,,,
新加坡船舶重工,2024,2,新加坡,新加坡,新接订单10艘,国际船东,8,新加坡海事局,https://www.singaporemaritime.gov.sg/,2024-09-23,,,,,,,,,
韩国现代重工,2023,11,韩国,蔚山,新接订单7艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
挪威戴维德造船,2024,1,挪威,奥斯陆,新接订单3艘,国际船东,2,挪威船舶协会,https://www.norwayshipowners.no/,2024-09-23,,,,,,,,,
芬兰马士基造船,2023,10,芬兰,赫尔辛基,新接订单11艘,国际船东,4,芬兰海事局,https://www.finlandmaritime.com/,2024-09-23,,,,,,,,,
巴西南美洲造船,2024,3,巴西,里约热内卢,新接订单6艘,国内船东,3,巴西造船行业协会,https://www.brazilshipbuilders.com/,2024-09-23,,,,,,,,,
江南造船,2023,12,中国,上海市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
胜利船厂,2023,11,中国,山东省,新接订单15艘,国际船东,10,湖北日报,http://www.hubeidaily.net/,2024-09-23,,,,,,,,,
斯凯福造船,2023,10,新加坡,新加坡,新接订单4艘,国际船东,3,MarineLink,https://www.marinelink.com/,2024-09-23,,,,,,,,,
巴西海工装备,2023,11,巴西,里约热内卢,新接订单7艘,国际船东,4,South Africa Waterways,http://www.sawaterways.com/,2024-09-23,,,,,,,,,
宁波舟山船厂,2023,12,中国,浙江省,新接订单9艘,国内船东,7,浙江新闻,http://www.zjnews.com/,2024-09-23,,,,,,,,,
安哥拉船厂,2023,10,安哥拉,罗安达,新接订单5艘,国际船东,3,AngolaPress,http://www.angop.ao/,2024-09-23,,,,,,,,,
挪威造船,2023,12,挪威,卑尔根,新接订单8艘,国际船东,5,Norwegian Shipowners' Association,https://www.rederi.no/,2024-09-23,,,,,,,,,
英国巴特尔船厂,2023,11,英国,格拉斯哥,新接订单6艘,国际船东,2,BBC技术新闻,https://www.bbc.com/technology,2024-09-23,,,,,,,,,
马来西亚船厂,2023,12,马来西亚,吉隆坡,新接订单10艘,国际船东,7,马来西亚海事新闻,http://www.marine.gov.my/,2024-09-23,,,,,,,,,
海盐船厂,2023,12,中国,江苏省,新接订单11艘,国内船东,9,江苏省海事局,http://www.jiangshu.gov.cn/,2024-09-23,,,,,,,,,
武汉船舶,2023,11,中国,湖北省,新接订单7艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
江苏南通船舶,2023,11,中国,江苏省,新接订单12艘,国际船东,9,船舶信息网,http://www.ship-info.net/,2024-09-23,,,,,,,,,
春川重工,2023,11,韩国,春川,新接订单4艘,国际船东,3,韩国产业通商资源部,https://www.motie.go.kr/,2024-09-23,,,,,,,,,
巴基斯坦造船,2023,11,巴基斯坦,卡拉奇,新接订单3艘,国际船东,1,巴基斯坦船舶工业局,http://www.pcb.gov.pk/,2024-09-23,,,,,,,,,
挪威海工,2023,11,挪威,斯塔万格,新接订单9艘,国际船东,5,挪威船舶协会,https://www.norwayshipowners.no/,2024-09-23,,,,,,,,,
新加坡外港造船,2023,12,新加坡,新加坡,新接订单15艘,国际船东,10,新加坡商业部,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
广州船舶重工,2023,12,中国,广东省,新接订单11艘,国内船东,7,中国船舶工业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170498.html,2024-09-23,,,,,,,,,
新西兰造船,2023,12,新西兰,奥克兰,新接订单6艘,国际船东,4,新西兰海事局,https://www.maritimenz.govt.nz/,2024-09-23,,,,,,,,,
土耳其船厂,2023,12,土耳其,伊斯坦布尔,新接订单5艘,国际船东,3,土耳其船舶协会,http://www.turkeyshipping.org/,2024-09-23,,,,,,,,,
美国海洋工程,2023,12,美国,德克萨斯州,新接订单2艘,国内船东,1,美国海军造船局,https://www.navsea.navy.mil/,2024-09-23,,,,,,,,,
江南造船,2024,1,中国,上海市,新接订单15艘,国内船东,7,中国船舶工业行业协会,http://www.cnshipbuilding.com/,2024-09-23,,,,,,,,,
现代造船,2024,1,韩国,釜山,新接订单12艘,国际船东,6,韩国船舶工业协会,http://www.koshipa.or.kr/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2023,12,意大利,热那亚,新接订单4艘,国际船东,3,意大利航运中心,https://www.fincantieri.com/,2024-09-23,,,,,,,,,
菲律宾造船公司,2024,2,菲律宾,宿务,新接订单2艘,当地船东,1,菲律宾船舶协会,https://www.philippinesea.com/,2024-09-23,,,,,,,,,
瑞典瓦尔哈拉造船,2023,11,瑞典,哥德堡,新接订单3艘,国际船东,2,国际海事组织,https://www.imo.org/,2024-09-23,,,,,,,,,
马来西亚船舶重工,2024,3,马来西亚,吉隆坡,新接订单6艘,国际船东,4,马来西亚海事局,http://www.marine.gov.my/,2024-09-23,,,,,,,,,
越南造船,2024,2,越南,胡志明市,新接订单9艘,国内船东,5,越南船舶工业协会,http://www.vimasa.com.vn/,2024-09-23,,,,,,,,,
美国海洋工程,2024,1,美国,德克萨斯州,新接订单5艘,国际船东,3,美国海事局,https://www.fmc.gov/,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡,新接订单7艘,国际船东,4,新加坡海事局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
德国劳斯莱斯造船,2023,11,德国,汉堡,新接订单10艘,国际船东,5,德国海事论坛,https://www.dma.de/,2024-09-23,,,,,,,,,
大连船舶重工,2024,1,中国,辽宁省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单7艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
威海新船舶有限公司,2023,11,中国,山东省,新接订单4艘,国内船东,3,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,10,阿联酋,阿布扎比,新接订单3艘,国际船东,1,海洋工程与技术,http://www.oceanengineering.com/,2024-09-23,,,,,,,,,
威尔士船舶制造,2023,12,英国,威尔士,新接订单2艘,国际船东,2,英国海事局,http://www.gov.uk/government/organisations/maritime-and-coastguard-agency,2024-09-23,,,,,,,,,
造船电气技术公司,2024,2,中国,江苏省,新接订单6艘,国内船东,4,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
欧洲造船集团,2023,12,挪威,奥斯陆,新接订单5艘,国际船东,3,挪威海事局,https://www.sjofartsdir.no/,2024-09-23,,,,,,,,,
美国海军造船厂,2024,1,美国,弗吉尼亚州,新接订单9艘,国际船东,7,美国造船协会,http://www.americanshipbuilding.org/,2024-09-23,,,,,,,,,
新加坡船舶工程,2023,12,新加坡,新加坡,新接订单8艘,国际船东,5,新加坡海事局,http://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
西雅图造船公司,2024,2,美国,华盛顿州,新接订单1艘,国内船东,1,美国海军,https://www.navy.mil/,2024-09-23,,,,,,,,,
江南造船,2024,1,中国,上海市,新接订单15艘,国际船东,7,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
渤海船舶,2024,2,中国,天津市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
DNV GL,2024,3,挪威,奥斯陆,新接订单20艘,国际船东,11,挪威船级社,https://www.dnv.com/,2024-09-23,,,,,,,,,
福船科技,2024,1,中国,福建省,新接订单9艘,国内船东,4,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
拿骚船厂,2024,4,美国,德克萨斯州,新接订单10艘,国际船东,5,美国造船协会,https://www.americanboatbuilders.com/,2024-09-23,,,,,,,,,
三井造船,2024,5,日本,广岛,新接订单4艘,国际船东,3,日本船舶工业协会,https://www.japan-maritime.com/,2024-09-23,,,,,,,,,
武备造船,2024,2,中国,江苏省,新接订单7艘,国内船东,3,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
南通造船,2024,2,中国,南通市,新接订单11艘,国际船东,8,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
欧洲船舶制造,2024,3,德国,汉堡,新接订单16艘,国际船东,10,德国造船协会,https://www.vdmw.de/,2024-09-23,,,,,,,,,
新加坡船舶工程,2024,3,新加坡,新加坡,新接订单5艘,国际船东,2,新加坡海事局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
沪东中华造船,2023,12,中国,上海市,新接订单7艘,国内船东,6,中国船舶工业协会,http://www.china-shipbuilding.com,2024-09-23,,,,,,,,,
丰岛造船所,2024,1,日本,神户,新接订单4艘,国际船东,5,日本船舶工业协会,https://www.japan-shipbuilding.com,2024-09-23,,,,,,,,,
台船重工,2024,1,中国台湾,高雄市,新接订单3艘,国际船东,2,台湾船舶工业协会,http://www.taiwan-shipbuilding.com,2024-09-23,,,,,,,,,
俄罗斯先锋船厂,2023,12,俄罗斯,圣彼得堡,新接订单9艘,国际船东,7,俄罗斯船舶协会,http://www.russia-shipbuilding.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡,新接订单5艘,国际船东,4,新加坡海事局,http://www.singaporemaritime.gov.sg,2024-09-23,,,,,,,,,
德尔夫特dockyard,2024,1,荷兰,阿姆斯特丹,新接订单2艘,国内船东,1,荷兰造船协会,http://www.dutchshipbuilding.nl,2024-09-23,,,,,,,,,
美利坚重工,2023,11,美国,加利福尼亚州,新接订单10艘,国际船东,8,美国海军部,http://www.navy.mil,2024-09-23,,,,,,,,,
乌克兰造船,2024,1,乌克兰,基辅,新接订单6艘,国内船东,5,乌克兰船舶工业协会,http://www.ukraine-shipbuilding.com,2024-09-23,,,,,,,,,
土耳其造船,2023,11,土耳其,伊斯坦布尔,新接订单8艘,国际船东,6,土耳其造船协会,http://www.turkishshipbuilding.com,2024-09-23,,,,,,,,,
华东造船,2024,2,中国,江苏省,新接订单11艘,国内船东,7,中国船舶工业协会,http://www.china-shipbuilding.com,2024-09-23,,,,,,,,,
中国船舶集团,2024,1,中国, 江苏省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
日本川崎重工业,2024,1,日本,神奈川县,新接订单7艘,国际船东,3,日本海事协会,https://www.khi.co.jp,2024-09-23,,,,,,,,,
STX造船,2024,1,韩国,庆尚南道,新接订单10艘,国际船东,5,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
华晨重工,2024,2,中国,福建省,新接订单9艘,国内船东,4,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
Fincantieri,2024,2,意大利,威尼斯,新接订单4艘,国际船东,3,意大利造船联盟,https://www.fincantieri.com,2024-09-23,,,,,,,,,
造船联合,2024,2,中国,山东省,新接订单11艘,国内船东,7,中国船舶工业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
挪威海洋科技,2024,3,挪威,奥斯陆,新接订单6艘,国际船东,2,挪威船东协会,https://www.norwegianmaritime.no,2024-09-23,,,,,,,,,
德国MV Werften,2024,3,德国,梅克伦堡-前波美拉尼亚,新接订单5艘,国际船东,3,德国造船协会,https://www.mvwerften.com,2024-09-23,,,,,,,,,
新加坡德鲁里造船,2024,3,新加坡,裕廊,新接订单8艘,国际船东,4,新加坡船东协会,https://www.singaporeshipping.org,2024-09-23,,,,,,,,,
巴西海洋工程,2024,4,巴西,里约热内卢,新接订单3艘,国际船东,1,巴西国家航运协会,https://www.antaq.gov.br,2024-09-23,,,,,,,,,
扬子江造船,2023,12,中国,江苏省,新接订单12艘,国际船东,7,中国船舶技术中心,http://www.zgship.org,2024-09-23,,,,,,,,,
ABB船舶综合研究所,2023,11,瑞士,苏黎世,新接订单4艘,国内船东,3,ABB官网,http://global.abb,2024-09-23,,,,,,,,,
海洋德鲁里,2023,10,挪威,奥斯陆,新接订单9艘,国际船东,6,挪威海事局,http://www.sjofartsdir.no,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单15艘,国内船东,10,韩国造船海洋协会,http://www.koshipa.or.kr,2024-09-23,,,,,,,,,
华海重工,2023,12,中国,浙江省,新接订单7艘,国际船东,5,中国船舶工业协会,http://finance.people.com.cn,2024-09-23,,,,,,,,,
三菱重工,2024,1,日本,长崎,新接订单5艘,国内船东,3,日本船舶工业协会,http://www.japan-shipbuilding.or.jp,2024-09-23,,,,,,,,,
芬兰造船厂,2023,10,芬兰,赫尔辛基,新接订单10艘,国际船东,8,芬兰造船协会,http://www.finnishshipbuilding.fi,2024-09-23,,,,,,,,,
巴西海洋工程,2023,12,巴西,里约热内卢,新接订单3艘,国内船东,2,巴西海事局,http://www.antaq.gov.br,2024-09-23,,,,,,,,,
印度造船有限公司,2023,11,印度,孟买,新接订单6艘,国际船东,4,印度船舶工业协会,http://www.indianshipbuilding.org,2024-09-23,,,,,,,,,
船舶制造技术研究院,2024,1,中国,山东省,新接订单14艘,国际船东,9,中国船舶工业协会,http://finance.people.com.cn,2024-09-23,,,,,,,,,
中国船舶集团,2023,11,中国,江苏省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com,2024-09-23,,,,,,,,,
海洋重工,2023,12,中国,浙江省,新接订单9艘,国际船东,7,克拉克森,https://www.researchgate.net,2024-09-23,,,,,,,,,
日立造船,2023,10,日本,大阪,新接订单4艘,国际船东,3,日本海事协会,https://www.jamda.or.jp,2024-09-23,,,,,,,,,
泰国造船厂,2023,11,泰国,宋卡,新接订单7艘,国内船东,5,泰国船舶协会,https://www.thai-shipbuilding.org,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,滨海湾,新接订单5艘,国际船东,4,新加坡海事局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
广州船舶厂,2024,1,中国,广东省,新接订单10艘,国内船东,8,华南船舶协会,http://www.gdmarine.org,2024-09-23,,,,,,,,,
意大利法拉利造船公司,2023,10,意大利,热那亚,新接订单6艘,国际船东,3,意大利船舶制造协会,https://www.assonave.it,2024-09-23,,,,,,,,,
荷兰船业,2023,11,荷兰,阿姆斯特丹,新接订单8艘,国际船东,6,荷兰航运协会,https://www.raja.org,2024-09-23,,,,,,,,,
巴西重工,2023,12,巴西,里约热内卢,新接订单3艘,国内船东,2,巴西船舶制造协会,http://www.sindimar.org.br,2024-09-23,,,,,,,,,
瑞典斯卡尼亚造船,2023,10,瑞典,斯德哥尔摩,新接订单4艘,国际船东,2,瑞典海事局,https://www.transportstyrelsen.se,2024-09-23,,,,,,,,,
广船国际,2023,11,中国,广东省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单9艘,国际船东,5,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
三菱重工,2023,10,日本,长崎,新接订单7艘,国内船东,4,日本造船工业会,https://www.japanshipbuilding.com,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单15艘,国际船东,8,中国船舶工业行业协会,http://www.csiac.org,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,11,阿联酋,阿布扎比,新接订单4艘,国际船东,2,阿联酋船舶工业协会,https://www.adshipyard.com,2024-09-23,,,,,,,,,
中国重工,2023,10,中国,重庆市,新接订单5艘,国内船东,3,中国船舶工业行业协会,http://www.csiac.org,2024-09-23,,,,,,,,,
印尼国有造船,2023,12,印度尼西亚,雅加达,新接订单3艘,国内船东,1,印尼航运协会,http://www.indonesianmaritime.com,2024-09-23,,,,,,,,,
福陆重工,2023,10,日本,兵库县,新接订单6艘,国际船东,4,日本造船工业会,https://www.japanshipbuilding.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,9,新加坡,新加坡,新接订单10艘,国际船东,5,新加坡造船工业协会,http://www.sgshipyard.com,2024-09-23,,,,,,,,,
武汉船舶重工,2023,11,中国,湖北省,新接订单11艘,国内船东,6,中国船舶工业行业协会,http://www.csiac.org,2024-09-23,,,,,,,,,
广船国际,2023,12,中国,广州市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.citc.com.cn/,2024-09-23,,,,,,,,,
上海外高桥造船,2023,11,中国,上海市,新接订单7艘,国际船东,3,国际船舶新闻网,http://www.marinelink.com/,2024-09-23,,,,,,,,,
新筑造船,2023,12,中国,福建省,新接订单4艘,国内船东,5,航运界,https://www.shippingchina.com/,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,10,阿联酋,阿布扎比,新接订单9艘,国际船东,4,中东海事网,http://www.middleeastmaritime.com/,2024-09-23,,,,,,,,,
威尔士船厂,2023,9,英国,威尔士,新接订单3艘,国内船东,1,海事英国,https://www.maritimeuk.org/,2024-09-23,,,,,,,,,
挪威船舶工业,2023,12,挪威,福冈,新接订单5艘,国际船东,2,挪威海事局,http://www.nmd.no/,2024-09-23,,,,,,,,,
罗斯基尔船厂,2023,12,丹麦,哥本哈根,新接订单10艘,国际船东,7,丹麦航运公司,https://www.danishshipping.dk/,2024-09-23,,,,,,,,,
台塑造船,2023,11,台湾,高雄,新接订单6艘,国内船东,3,中华民国船舶协会,http://www.taiwanshipping.org.tw/,2024-09-23,,,,,,,,,
法国海事重工,2024,1,法国,勒阿弗尔,新接订单8艘,国际船东,4,法国航运与港口行业协会,http://www.port.fr/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2024,2,意大利,热那亚,新接订单4艘,国际船东,2,意大利船舶工业协会,http://www.fincantieri.com/,2024-09-23,,,,,,,,,
江南造船,2023,11,中国,上海市,新接订单12艘,国际船东,7,中国船舶工业行业协会,http://www.china-shippbuilding.org,2024-09-23,,,,,,,,,
北方船舶,2023,11,中国,天津市,新接订单15艘,国内船东,10,中国船舶工业行业协会,http://www.china-shippbuilding.org,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单9艘,国际船东,6,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
三菱造船,2023,11,日本,大阪,新接订单4艘,国际船东,3,日本造船工业会,https://www.japan-shipbuilding.com,2024-09-23,,,,,,,,,
越南船舶造船厂,2023,11,越南,河内,新接订单7艘,国际船东,4,越南国家船舶协会,http://www.vietnam-shipbuilding.vn,2024-09-23,,,,,,,,,
华润船舶,2024,1,中国,广东省,新接订单11艘,国内船东,8,中国船舶工业行业协会,http://www.china-shippbuilding.org,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,12,阿联酋,阿布扎比,新接订单3艘,国际船东,2,中东船舶工业协会,http://www.middleeastshipbuilding.ae,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡市,新接订单5艘,国际船东,4,新加坡船舶工业协会,http://www.singapore-shipbuilding.sg,2024-09-23,,,,,,,,,
台船重工,2023,12,台湾,高雄,新接订单6艘,国内船东,3,台湾船舶工业协会,http://www.taiwan-shipbuilding.tw,2024-09-23,,,,,,,,,
巴西造船厂,2024,1,巴西,里约热内卢,新接订单2艘,国际船东,1,巴西船舶建造协会,http://www.brazilshipbuilding.br,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.cssc.net.cn/,2024-09-23,,,,,,,,,
挪威海洋工程公司,2023,12,挪威,奥斯陆,新接订单7艘,国际船东,3,挪威船舶工业协会,https://www.norwegianshipowners.no/,2024-09-23,,,,,,,,,
江南造船,2023,11,中国,上海市,新接订单15艘,国内船东,8,中国船舶工业行业协会,http://www.cssc.net.cn/,2024-09-23,,,,,,,,,
马来西亚公主港造船厂,2023,11,马来西亚,槟城,新接订单4艘,国际船东,3,马来西亚海洋部,http://www.marine.gov.my/,2024-09-23,,,,,,,,,
巴西塔尔赞船厂,2023,11,巴西,里约热内卢,新接订单9艘,国际船东,5,巴西船舶工业协会,http://www.cin.aero/,2024-09-23,,,,,,,,,
