技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
智能渔业管理系统,信息技术,研发阶段,中国农业科学院,http://www.caas.cn/,2024-09-23,,,,,,,,,,,,,,
新型海洋抗污染材料,材料科学,实验阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋污染监测技术,环境监测,已实现产业化,深圳科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋机器人,机器人技术,研发阶段,北京航天航空大学,https://www.buaa.edu.cn,2024-09-23,,,,,,,,,,,,,,
可再生海洋能源转换技术,能源技术,实验阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋灌溉生物技术,农业科技,已实现产业化,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋碳捕获与储存技术,气候技术,研发阶段,中国科学院海洋研究所,http://www.qdcas.org,2024-09-23,,,,,,,,,,,,,,
深海探测与资源开发技术,探测技术,实验阶段,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态技术,已实现产业化,武汉大学,http://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋监控系统,信息技术,研发阶段,厦门大学,http://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候预报技术,气象科技,已实现产业化,南京信息工程大学,http://www.njupt.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新技术,水处理,实验阶段,天津大学,http://www.tju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生态监测,研发阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开发技术,资源开发,已实现产业化,中国地质大学,http://www.cug.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋环境修复技术,环境工程,实验阶段,上海交通大学,https://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,自动化技术,技术成熟,哈尔滨工业大学,http://www.hust.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,东南大学,http://www.seu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源系统,能源技术,研发阶段,中国科学院能源研究所,http://www.eri.ac.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,开发中,武汉大学,http://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
环境友好型生物防污材料,材料科学,已实现产业化,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋政策与管理模型,政策研究,规划中,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋机场开发与管理技术,基础设施,研发阶段,天津大学,http://www.tju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物传感器,环境监测,试点阶段,深圳海洋研究所,http://www.szocean.com,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,海洋资源开发,筹备阶段,中国深海科技有限公司,https://www.cdeepsea.com,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源发电,新能源技术,已实现产业化,国家海洋局,http://www.nmh.gov.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,自动化技术,研发阶段,上海科技大学,http://www.shanghaitech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态工程,实验阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,市场推广阶段,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,,,,
海洋污染清理技术,环境保护,商业化阶段,中国环境科学研究院,http://www.cseri.org.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物制药技术,生物医药,临床试验阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋数据智能分析,大数据技术,研发阶段,中国科学院海洋研究所,http://www.qdio.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化预测模型,气候科学,测试阶段,南京大学气候研究中心,http://www.nju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物探测技术,海洋探测,已实现产业化,国家海洋局,http://www.nmdis.org.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人系统,机器人技术,研发阶段,哈尔滨工程大学,http://www.hrbeu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能源采集技术,能源技术,实验阶段,中科院能源所,http://www.ihep.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋垃圾清理技术,环境保护,研发阶段,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能水质监测系统,监测技术,已实现产业化,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海底矿产资源开发技术,资源开发,已实现产业化,深海科技集团,http://www.sctechgroup.com,2024-09-23,,,,,,,,,,,,,,
生物海洋药物研发,生物医药,实验阶段,广州医科大学,http://www.gzmc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化监测技术,气候监测,研发阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,渔业技术,已实现产业化,农业农村部,http://www.moa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环保技术,已实现产业化,深圳海洋大学,http://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海养殖技术,水产养殖,研发阶段,广州海洋生物研究所,http://www.gzmbiotech.org,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,新能源技术,实验阶段,中国海洋大学,http://www.fu-ocean.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,青岛科技大学,http://www.qdtech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化监测技术,气象技术,研发阶段,国家气候研究中心,http://www.ncrc.org.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态恢复,实验阶段,北京大学环境科学与工程学院,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋机器人技术,机器人技术,已实现产业化,哈尔滨工业大学,http://www.hit.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物医药,生物技术,研发阶段,上海交大生物医药研究中心,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
沉积物处理与转化技术,环境工程,实验阶段,南京理工大学环境与生物工程系,http://www.nlpu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋农业技术,农业技术,研发阶段,西北农林科技大学,http://www.nwsuaf.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,海洋工程,试点阶段,国家海洋技术中心,https://www.nmdis.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物材料研发,生物工程,开发中,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋水质监测系统,环境技术,已实现产业化,中科院海洋研究所,http://www.ocean.ac.cn,2024-09-23,,,,,,,,,,,,,,
热带海洋气候建模,气候科学,研究中,北京大学,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
可再生海洋能源技术,能源工程,已实现产业化,华东师范大学,https://www.ecnu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能传感网络,信息技术,实验阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态平衡模型,生态学,开发中,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋盐碱地改良技术,农业工程,已实现产业化,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,试点阶段,中国科学技术大学,https://www.ustc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,环境保护,研发阶段,中山大学,https://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解技术,环境工程,研发阶段,清华大学环境学院,http://www.techenv.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,物联网技术,已实现产业化,中科院海洋研究所,http://www.ior.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,可再生能源,实验阶段,四川大学,http://www.scu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋水质自动监测技术,水处理技术,研发阶段,中国地质大学,http://www.cug.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋水下机器人技术,机器人技术,已实现产业化,武汉大学,http://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,研发阶段,上海海洋大学,http://www.shou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化监测技术,气候科学,实验阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
深海资源开发技术,矿产资源,已有合作开发,中国海洋开发公司,http://www.cmhd.com,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水资源管理,已实现产业化,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态修复,研发阶段,东南大学,http://www.seu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋环境监测系统,环境科技,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能潮汐发电技术,可再生能源,研发阶段,武汉大学,https://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物海水淡化,水处理技术,实验阶段,南方科技大学,https://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋CO2捕捉与储存,环保科技,已实现产业化,清华大学,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开发技术,矿业科技,研发阶段,中国地质大学,http://www.cug.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,实验阶段,浙江大学,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人技术,已实现产业化,上海交通大学,https://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋模拟培养系统,生物技术,研发阶段,北京大学,https://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
人工海洋生态系统,生态保护,实验阶段,中国科学院海洋研究所,http://www.iocas.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收利用技术,材料科学,已实现产业化,天津大学,https://www.tju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海智能监测系统,海洋监测技术,已实现产业化,北京海洋科技大学,http://www.bjhy.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解技术,环境科技,试点阶段,深圳市环境保护局,http://www.szepb.gov.cn,2024-09-23,,,,,,,,,,,,,,
海底矿产资源开发技术,资源开发,研发阶段,中海油研究院,http://www.cnooc.com.cn,2024-09-23,,,,,,,,,,,,,,
海洋能源转换技术,可再生能源,已实现产业化,中国科学院海洋研究所,https://www.qdcas.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋污水处理技术,水处理,商业化中,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人技术,已实现产业化,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋数据分析,人工智能,试点阶段,百度AI研究院,https://ai.baidu.com,2024-09-23,,,,,,,,,,,,,,
海洋气候变化预测技术,气候科学,研发阶段,国家气候中心,http://www.ncc-cma.net,2024-09-23,,,,,,,,,,,,,,
深海渔业养殖技术,渔业科技,已实现产业化,浙江海洋大学,http://www.zjou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,实验阶段,中国生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境保护,已实现产业化,生态环境部,http://www.mee.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,海洋科技,应用阶段,中国科学院深海研究所,http://www.dou.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋增养殖技术,海洋生物,研发阶段,水产养殖协会,http://www.fishery.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能水质监测系统,环境监测,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量收集器,能源技术,实验阶段,南方科技大学,http://www.sustc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海底矿产采集技术,采矿技术,研发阶段,中国地质科学院,http://www.cags.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候变化监测,气象科技,已实现产业化,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物医药开发,生物工程,研发阶段,海洋生物研究中心,http://www.marinebio.pro/,2024-09-23,,,,,,,,,,,,,,
人工智能海洋数据分析,大数据,应用阶段,阿里云,https://www.aliyun.com/,2024-09-23,,,,,,,,,,,,,,
绿色海洋运输技术,交通技术,已实现产业化,交通运输部,http://www.mot.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解微生物,环保技术,已实现产业化,国家海洋局,http://www.nmf.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料,水处理技术,研发阶段,清华大学水环境研究中心,https://www.thu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能水下机器人,机器人技术,实验阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
生态水域监测系统,环境监测,已实现产业化,中国科学院海洋研究所,http://www.qdips.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋再生能源开发,可再生能源,研发阶段,中国海洋大学,http://www.cou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研究,生物医药,实验阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
远程海洋观测网络,数据网络,已实现产业化,中海油,http://www.cnooc.com.cn,2024-09-23,,,,,,,,,,,,,,
智能鱼群监测系统,物联网技术,研发阶段,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工鱼 reefs设计,海洋生态,实验阶段,中国海洋开发中心,http://www.chinamaritime.gov.cn,2024-09-23,,,,,,,,,,,,,,
水下声学探测技术,探测技术,已实现产业化,哈尔滨工程大学,http://www.hrbeu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微塑污染监测技术,环境监测,已实现产业化,国家海洋局,http://www.gov.cn/zhengce/2023-03/15/content_5683918.htm,2024-09-23,,,,,,,,,,,,,,
深海矿产资源勘探技术,资源勘探,研发阶段,中国科学院深海研究所,http://www.deepsea.org.cn/news,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测技术,气候监测,实验阶段,北京大学环境科学与工程学院,https://www.pku.edu.cn/eco/news,2024-09-23,,,,,,,,,,,,,,
基于AI的海洋生态系统建模,人工智能,已实现产业化,华南理工大学,http://www.scut.edu.cn/news,2024-09-23,,,,,,,,,,,,,,
智能海洋监测浮标,设备技术,已实现产业化,上海交通大学,https://www.sjtu.edu.cn/news,2024-09-23,,,,,,,,,,,,,,
新型海洋药物开发,医药生物,研发阶段,厦门大学药学院,https://www.xmu.edu.cn/zh/home,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源收集装置,能源技术,实验阶段,宁波大学工程学院,https://www.nbu.edu.cn/news,2024-09-23,,,,,,,,,,,,,,
海洋水质净化技术,环境工程,已实现产业化,华北电力大学,http://www.ncepu.edu.cn/index,2024-09-23,,,,,,,,,,,,,,
人工智能海洋监控系统,智能技术,研发阶段,武汉大学计算机学院,http://www.whu.edu.cn/news,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态技术,实验阶段,南方科技大学,https://www.sustech.edu.cn/news,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环保技术,已实现产业化,广州市环保科技中心,http://www.gzepa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋观测浮标,传感器技术,已实现产业化,中国海洋大学,http://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,可再生能源,研发阶段,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测无人机,无人系统技术,实验阶段,深圳海洋科技研究所,http://www.sz-ost.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物制药,生物技术,研发阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
微藻培养系统,农业科技,已实现产业化,中国农业科学院,http://www.caas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态工程,实验阶段,南京林业大学,http://www.njfu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测,环境监测,已实现产业化,中科院大气物理研究所,http://www.iap.cas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋污染处理技术,水处理,研发阶段,武汉大学,http://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,采矿工程,实验阶段,中国地质大学,http://www.cug.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料清理机器人,清洁技术,已实现产业化,中国海洋大学,https://www.cqu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新工艺,水处理技术,研发阶段,国家海洋局,https://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测无人机,无人系统,实验阶段,中科院自动化研究所,https://www.ia.cas.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔网技术,智能设备,已实现产业化,华南农业大学,https://www.scau.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物多样性监测系统,生态技术,研发阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
风能海洋发电机组,可再生能源,已实现产业化,北京清华能源互联网研究院,https://www.sei.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海底矿产资源开采技术,矿产开发,实验阶段,中国地质大学,https://www.cug.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,研发阶段,福建农林大学,http://www.fjau.edu.cn/,2024-09-23,,,,,,,,,,,,,,
基于AI的水质监测,人工智能,已实现产业化,杭州电子科技大学,http://www.uzh.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物资源再利用技术,生物技术,实验阶段,上海海洋大学,https://www.shou.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,废物管理,已实现产业化,中科院生态环境研究中心,http://www.cas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物探测技术,海洋生物技术,研发阶段,中国海洋大学,https://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产开发技术,矿业工程,实验阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,深圳水务集团,http://www.szwater.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋陆基风电技术,可再生能源,推广阶段,华能集团,http://www.chng.com.cn/,2024-09-23,,,,,,,,,,,,,,
海洋通讯网络技术,信息技术,研发阶段,电信科学技术研究院,http://www.ctirp.com/,2024-09-23,,,,,,,,,,,,,,
海洋温度梯度发电技术,能源技术,实验阶段,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理技术,农业科技,已实现产业化,中国农业科学院,http://www.caas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物合成技术,生物制药,研发阶段,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
超级藻类培养技术,藻类工程,推广阶段,中国科学院植物研究所,http://www.ibcas.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋微塑料检测技术,环境监测,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态修复,研发阶段,中科院海洋研究所,http://www.qdsy.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋水温建模技术,数据科学,实验阶段,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能养殖系统,水产养殖,已实现产业化,海南大学,http://www.hainu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋氢能开发技术,能源技术,研发阶段,中国电力科学研究院,http://www.cpri.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物资源开发,生物技术,已实现产业化,厦门大学,http://www.xmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,智能制造,实验阶段,中船重工,http://www.csic.com.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候变化模型,气象科技,研发阶段,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,清华大学水利系,http://www.thu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋虚拟现实模拟,科技教育,研发阶段,北京理工大学,http://www.bit.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋智能传感器,传感技术,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理技术,已实现产业化,淮南水务公司,https://www.huainanwater.com,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,深海技术,研发阶段,中国科学院海洋研究所,http://www.ioz.ac.cn,2024-09-23,,,,,,,,,,,,,,
生物海洋监测系统,监测技术,实验阶段,上海海洋大学,https://www.shou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋污染清理技术,环境修复,已实现产业化,环境保护部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
替代能源浮动风电系统,可再生能源,已实现产业化,华能集团,http://www.hanergy.com,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,研发阶段,中科院生态环境研究中心,http://www.ceh.ac.cn,2024-09-23,,,,,,,,,,,,,,
水下无人机技术,无人机技术,实验阶段,天津大学,https://www.tju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测,生物统计,研发阶段,中国海洋大学,http://www.cou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量转换系统,能量技术,已实现产业化,清华大学能源环境学院,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解微生物,环保技术,已实现产业化,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化膜技术,水处理,推广阶段,国家海洋技术中心,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,信息技术,研发阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋风能发电,新能源,已实现产业化,中国电力科学研究院,http://www.csee.org.cn,2024-09-23,,,,,,,,,,,,,,
深海探测机器人技术,自动化,实验阶段,中国科学院海洋研究所,http://www.qdams.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物医药开发,生物技术,研发阶段,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋数据挖掘技术,大数据,推广阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,环境保护,已实现产业化,中国生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源系统,新能源,研发阶段,宁波大学,http://www.nbu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋沉积物资源利用,材料科学,实验阶段,天津大学,http://www.tju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能监测系统,环境监测,已实现产业化,清华大学海洋技术研究所,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料污染治理技术,环境保护,研发阶段,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海水下机器人,机器人技术,已实现产业化,北京航空航天大学,https://www.buaa.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源技术,能源技术,实验阶段,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
潮汐发电技术,清洁能源,已实现产业化,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下声纳成像技术,探测技术,研发阶段,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,已实现产业化,中国科学院动物研究所,http://www.ioz.cas.cn,2024-09-23,,,,,,,,,,,,,,
水质实时监测传感器,传感技术,实验阶段,华南理工大学,https://www.scut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋防污染浮标技术,海洋安全,研发阶段,海南大学,http://www.hainu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋药物研发,生物医药,已实现产业化,中山大学,https://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物监测系统,监测技术,已实现产业化,深圳海洋研究所,https://www.shenzhenmri.org,2024-09-23,,,,,,,,,,,,,,
深海水下机器人,机器人技术,研发阶段,中国科学院海洋研究所,http://www.coi.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源开发,能源技术,实验阶段,海洋工程技术中心,https://www.oceanengineering.org,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态技术,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋航行系统,航行技术,研发阶段,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料垃圾处理技术,环境技术,实验阶段,北京理工大学,https://www.bit.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋监测数据分析平台,数据技术,已实现产业化,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋新材料开发,材料科学,研发阶段,哈尔滨工程大学,http://www.hrbeu.edu.cn,2024-09-23,,,,,,,,,,,,,,
水产养殖智能监控系统,养殖技术,实验阶段,福建农林大学,http://www.fafu.edu.cn,2024-09-23,,,,,,,,,,,,,,
沉积物清理机器人,清理技术,研发阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料生物降解技术,环境工程,研发阶段,北京大学,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海水下机器人,机器人技术,已实现产业化,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量采集系统,新能源,实验阶段,国家能源局,http://www.nea.gov.cn,2024-09-23,,,,,,,,,,,,,,
水下声波通信技术,通信技术,研发阶段,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
多功能海洋传感器,传感器技术,已实现产业化,南方科技大学,https://www.sustc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋药物研发,生物医药,实验阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
遥感技术在海洋监测中的应用,遥感技术,已实现产业化,中国科学院空天信息研究院,http://www.casis.ac.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料研发,材料科学,研发阶段,清华大学,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物监测与管理系统,信息技术,实验阶段,武汉大学,https://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下图像识别与处理技术,人工智能,研发阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微生物多样性监测技术,生态监测,已实现产业化,中国科学院海洋研究所,https://www.ocean-acs.org/,2024-09-23,,,,,,,,,,,,,,
光合细菌用于水质改善,环境技术,研发阶段,复旦大学,https://www.fudan.edu.cn/,2024-09-23,,,,,,,,,,,,,,
