时间,国家,地区,装机规模,单位,同比增长率,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2022年,丹麦,-,15.2,GW,0.1,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2023年,日本,-,12.1,GW,0.3,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,9.3,GW,0.12,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,5.5,GW,0.2,挪威气候与气候变化部,https://www.regjeringen.no/en/topics/energy/,2024/9/22,,,,,,,,,,,
2022年,西班牙,-,8.9,GW,0.16,西班牙可再生能源协会,https://www.unef.es/,2024/9/22,,,,,,,,,,,
2023年,意大利,-,7.4,GW,0.19,意大利风能协会,https://www.aneve.it/,2024/9/22,,,,,,,,,,,
2023年,比利时,-,4.2,GW,0.2,比利时风能协会,https://www.belgianwind.com/,2024/9/22,,,,,,,,,,,
2023年,印度,-,3,GW,0.25,印度可再生能源联盟,https://www.iresassociation.com/,2024/9/22,,,,,,,,,,,
2022年,美国,-,20.5,GW,0.18,美国海上风能协会,https://www.offshorewindus.org,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,16,GW,0.1,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,11.5,GW,0.3,西班牙可再生能源学院,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,9,GW,0.22,瑞典能源局,https://www.eia.gov,2024/9/22,,,,,,,,,,,
2024年,挪威,-,7.2,GW,0.35,挪威风能协会,https://www.norwegiansolar.com,2024/9/22,,,,,,,,,,,
2023年,波兰,-,3.5,GW,0.4,波兰风能协会,https://www.pwea.pl,2024/9/22,,,,,,,,,,,
2024年,意大利,-,10.3,GW,0.15,意大利可再生能源协会,https://www.italianrenewableenergy.it,2024/9/22,,,,,,,,,,,
2022年,日本,-,4.1,GW,0.2,日本风能协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2024年,美国,-,30,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,7.5,GW,0.22,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,5.2,GW,0.18,西班牙可再生能源协会,https://www.ree.es,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.8,GW,0.35,挪威水能及风能公司,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,法国,-,10,GW,0.2,法国风能协会,https://www.fee.org,2024/9/22,,,,,,,,,,,
2023年,美国,-,16.5,GW,0.3,美国海洋能源协会,http://www.oceanenergyassociation.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10.2,GW,0.18,丹麦可再生能源协会,http://www.danishrenewableenergy.org,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.8,GW,0.35,法国可再生能源署,http://www.renewables-france.org,2024/9/22,,,,,,,,,,,
2023年,日本,-,9,GW,0.28,日本风能协会,http://www.japanwindenergy.org,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,3.8,GW,0.15,瑞典可再生能源机构,http://www.svenskfornybar.se,2024/9/22,,,,,,,,,,,
2024年,挪威,-,2.2,GW,0.1,挪威能源局,http://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,3.5,GW,0.12,西班牙风能协会,http://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2022年,美国,东海岸,20.5,GW,0.35,美国风能协会,http://www.awea.org,2024/9/22,,,,,,,,,,,
2023年,丹麦,北海,10.2,GW,0.3,丹麦能源局,https://ens.dk,2024/9/22,,,,,,,,,,,
2023年,挪威,挪威海,2.1,GW,0.15,挪威水资源和能源局,https://nve.no,2024/9/22,,,,,,,,,,,
2024年,西班牙,地中海,5.6,GW,0.2,西班牙国家电力市场,https://www.cnmc.es,2024/9/22,,,,,,,,,,,
2023年,意大利,亚得里亚海,3.8,GW,0.18,意大利可再生能源联合会,https://www.irena.org,2024/9/22,,,,,,,,,,,
2021年,苏格兰,北海,8,GW,0.1,苏格兰政府,https://www.gov.scot,2024/9/22,,,,,,,,,,,
2024年,韩国,黄海,7.2,GW,0.22,韩国能源部,http://www.moe.go.kr,2024/9/22,,,,,,,,,,,
2023年,加拿大,大西洋沿岸,4,GW,0.12,加拿大可再生能源协会,https://www.canrea.ca,2024/9/22,,,,,,,,,,,
2023年,瑞典,波罗的海,1.5,GW,0.2,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2022年,美国,-,22.5,GW,0.18,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2021年,丹麦,-,13.2,GW,0.22,丹麦能源部,https://ems.dk,2024/9/22,,,,,,,,,,,
2023年,日本,-,6.5,GW,0.3,日本风能协会,https://jawea.or.jp,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,10,GW,0.1,瑞典能源署,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,挪威,-,5.5,GW,0.27,挪威水电局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2022年,韩国,-,7,GW,0.35,韩国风能协会,http://www.kwea.or.kr,2024/9/22,,,,,,,,,,,
2023年,法国,-,9.1,GW,0.12,法国可再生能源协会,https://reseau-rouge.fr,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,11,GW,0.2,西班牙风能协会,https://aeeolica.org,2024/9/22,,,,,,,,,,,
2021年,意大利,-,4.2,GW,0.15,意大利可再生能源协会,https://www.fer.it,2024/9/22,,,,,,,,,,,
2023年,爱尔兰,-,4,GW,0.28,爱尔兰可再生能源协会,https://www.IWEA.com,2024/9/22,,,,,,,,,,,
2024年,美国,-,40.5,GW,0.3,美国可再生能源协会,https://www.eia.gov/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10.2,GW,0.2,丹麦能源局,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,0.8,GW,0.1,挪威可再生能源协会,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,法国,-,5.5,GW,0.18,法国环境能源管理署,https://www.ademe.fr/,2024/9/22,,,,,,,,,,,
2024年,日本,-,3.1,GW,0.22,日本能源经济研究中心,https://www.enee.gr.jp/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,6.4,GW,0.25,瑞典风能协会,https://www.svenskvindkraft.se/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9,GW,0.15,西班牙电力与市场署,https://www.cnmc.es/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,7.7,GW,0.12,意大利可再生能源协会,https://www.gse.it/,2024/9/22,,,,,,,,,,,
2024年,比利时,-,5,GW,0.2,比利时可再生能源平台,https://www.recyclage.be/,2024/9/22,,,,,,,,,,,
2024年,印度,-,4.1,GW,0.35,印度可再生能源发展机构,https://www.mnre.gov.in/,2024/9/22,,,,,,,,,,,
2023年,美国,-,25,GW,0.18,美国可再生能源协会,https://www.renewableenergyworld.com,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,10.2,GW,0.22,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2023年,法国,-,6.5,GW,0.3,法国可再生能源联合会,https://reseau-riche.org,2024/9/22,,,,,,,,,,,
2023年,日本,-,3,GW,0.35,日本风力发电协会,https://www.jwpa.jp,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.8,GW,0.23,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,挪威,-,7,GW,0.29,挪威可再生能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,4,GW,0.2,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2023年,印度,-,2.5,GW,0.15,印度可再生能源开发署,https://www.ireda.in,2024/9/22,,,,,,,,,,,
2024年,巴西,-,1.8,GW,0.2,巴西风能协会,https://www.abeeolica.org.br,2024/9/22,,,,,,,,,,,
2024年,南非,-,1,GW,0.1,南非能源部,http://www.energy.gov.za,2024/9/22,,,,,,,,,,,
2022年,美国,-,30.5,GW,0.35,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2021年,丹麦,-,16.3,GW,0.18,丹麦能源管理局,https://ens.dk/,2024/9/22,,,,,,,,,,,
2023年,法国,-,11.2,GW,0.22,法国可再生能源协会,https://reseau-energie.com/,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.8,GW,0.3,日本风能协会,http://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2023年,印度,-,1.5,GW,0.4,印度可再生能源委员会,https://www.iresin.org/,2024/9/22,,,,,,,,,,,
2024年,南非,-,2.7,GW,0.5,南非能源部,http://www.energy.gov.za/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5.5,GW,0.27,意大利可再生能源协会,http://www.anev.it/,2024/9/22,,,,,,,,,,,
2022年,加拿大,-,7,GW,0.2,加拿大可再生能源协会,https://www.canren.ca/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,9,GW,0.26,西班牙可再生能源协会,http://www.appa.es/,2024/9/22,,,,,,,,,,,
2024年,美国,-,15,GW,0.18,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,9.5,GW,0.22,丹麦能源局,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.8,GW,0.3,法国可再生能源联盟,https://reseau-energie.com,2024/9/22,,,,,,,,,,,
2024年,日本,-,3.2,GW,0.17,日本可再生能源协会,https://www.jrea.or.jp,2024/9/22,,,,,,,,,,,
2024年,中国,-,45,GW,0.24,中国风能协会,https://www.cwea.org.cn,2024/9/22,,,,,,,,,,,
2024年,国外,北海,6.2,GW,0.3,国际可再生能源署,https://www.irena.org,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,15.5,GW,0.45,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,13,GW,0.35,丹麦能源局,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,芬兰,-,3.2,GW,0.5,芬兰可再生能源协会,https://www.finnishrenewables.fi,2024/9/22,,,,,,,,,,,
2024年,印度,西海岸,2.5,GW,0.6,印度能源部,https://www.moef.gov.in,2024/9/22,,,,,,,,,,,
2023年,挪威,-,7.8,GW,0.2,挪威可再生能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,5.5,GW,0.18,西班牙新能源与环境部,https://www.miteco.gob.es,2024/9/22,,,,,,,,,,,
2024年,日本,关岛,4,GW,0.4,日本海洋产业协会,https://www.jmro.or.jp,2024/9/22,,,,,,,,,,,
2023年,澳大利亚,近海,10.2,GW,0.22,澳大利亚可再生能源局,https://www.renewableenergy.gov.au,2024/9/22,,,,,,,,,,,
2024年,巴西,-,1.8,GW,0.5,巴西电力监管局,https://www.aneel.gov.br,2024/9/22,,,,,,,,,,,
2022年,美国,东海岸,20,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,中国,浙江,45.5,GW,0.3,中国可再生能源学会,http://www.creia.org.cn,2024/9/22,,,,,,,,,,,
2023年,日本,九州地区,10.5,GW,0.2,日本风力发电协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,12,GW,0.12,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,瑞典,西海岸,8,GW,0.15,瑞典能源署,https://energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,比利时,-,6.5,GW,0.18,比利时风力协会,http://www.belgianwindenergyassociation.be,2024/9/22,,,,,,,,,,,
2023年,挪威,-,4.2,GW,0.1,挪威水资源与能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,9,GW,0.15,西班牙可再生能源协会,http://www.renewablescouncil.org,2024/9/22,,,,,,,,,,,
2023年,美国,东海岸,12.5,GW,0.22,美国能源部,https://www.energy.gov/eere/wind/initiatives-offshore-wind,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,10.8,GW,0.18,丹麦风能协会,https://www.danishwind.dk/,2024/9/22,,,,,,,,,,,
2023年,日本,福岛,3.1,GW,0.3,日本再生可能能源学会,https://www.japanrenewableenergy.org/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,6.2,GW,0.19,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2022年,西班牙,加利西亚,5,GW,0.15,西班牙可再生能源协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2022年,挪威,-,7.3,GW,0.27,挪威风能协会,https://www.nwea.no/,2024/9/22,,,,,,,,,,,
2023年,意大利,-,4.5,GW,0.2,意大利可再生能源联盟,https://www.renewables.it/,2024/9/22,,,,,,,,,,,
2024年,法国,布列塔尼,9,GW,0.35,法国可再生能源联盟,https://reseau-energies-renouvelables.fr/,2024/9/22,,,,,,,,,,,
2024年,印度,-,2.8,GW,0.23,印度能源部,https://www.doe.gov.in/,2024/9/22,,,,,,,,,,,
2023年,韩国,-,5.6,GW,0.28,韩国可再生能源协会,http://www.kwea.or.kr/,2024/9/22,,,,,,,,,,,
2022年,美国,-,18.5,GW,0.22,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2022年,挪威,-,3.2,GW,0.12,挪威气候与环境部,https://www.regjeringen.no/en/topics/energy/renewable-energy/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,16.5,GW,0.1,丹麦能源局,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2023年,法国,-,6,GW,0.18,法国环境与能源管理署,https://www.ademe.fr,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,5.5,GW,0.11,西班牙可再生能源协会,https://www.unef.es,2024/9/22,,,,,,,,,,,
2021年,意大利,-,2.8,GW,0.15,意大利可再生能源总会,https://www.elettronsit.it,2024/9/22,,,,,,,,,,,
2024年,印度,-,3.5,GW,0.3,印度可再生能源部,https://mnre.gov.in,2024/9/22,,,,,,,,,,,
2024年,日本,-,7.2,GW,0.2,日本环境省,https://www.env.go.jp,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,9,GW,0.35,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,南非,-,2,GW,0.15,南非可再生能源协会,https://www.sarec.co.za,2024/9/22,,,,,,,,,,,
2024年,美国,-,10.5,GW,0.18,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,4.2,GW,0.22,挪威海洋能源协会,https://www.norsok.org/,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.3,GW,0.3,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,25,GW,0.3,美国能源部,https://www.energy.gov/eere/wind/office-energy-efficiency-renewable-energy,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,11.5,GW,0.2,丹麦风能协会,https://www.windpower.org/,2024/9/22,,,,,,,,,,,
2024年,德国,-,9,GW,0.085,德国风能协会,https://www.wind-energyeurope.org,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,6.5,GW,0.3,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10.2,GW,0.055,丹麦可再生能源协会,https://www.danishwind.dk,2024/9/22,,,,,,,,,,,
2022年,中国,长江三角洲,29.5,GW,0.2,中国可再生能源学会,http://creia.org.cn,2024/9/22,,,,,,,,,,,
2023年,挪威,-,3.2,GW,0.5,挪威能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,法国,-,7,GW,0.12,法国可再生能源协会,https://reseau-eolien.fr,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,4,GW,0.2,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4.5,GW,0.3,意大利可再生能源协会,https://www.italianrenewables.org,2024/9/22,,,,,,,,,,,
2022年,美国,-,18.5,GW,0.27,美国可再生能源协会,https://www.renewableenergyworld.com,2024/9/22,,,,,,,,,,,
2022年,挪威,-,3.2,GW,0.15,挪威能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2021年,丹麦,-,6.5,GW,0.2,丹麦气候与能源部,https://ens.dk,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,2.8,GW,0.3,瑞典能源署,https://www.energy.gov.se,2024/9/22,,,,,,,,,,,
2024年,法国,-,12,GW,0.18,法国可再生能源协会,https://reseau-energies-renouvelables.org,2024/9/22,,,,,,,,,,,
2022年,日本,-,5.1,GW,0.22,日本风能协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4.9,GW,0.12,意大利电力监管局,https://www.arera.it,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,10.3,GW,0.25,西班牙风能协会,https://www.aeolico.com,2024/9/22,,,,,,,,,,,
2024年,加拿大,-,8,GW,0.2,加拿大可再生能源协会,https://renewableenergy.ca,2024/9/22,,,,,,,,,,,
2023年,波兰,-,3.5,GW,0.19,波兰风能协会,https://www.pwea.pl,2024/9/22,,,,,,,,,,,
2022年,美国,大西洋沿岸,30.5,GW,0.22,美国能源部,https://www.energy.gov/eere/wind/technology-development,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,5.15,GW,0.18,丹麦风能协会,https://www.danishwind.dk/,2024/9/22,,,,,,,,,,,
2022年,挪威,-,3.2,GW,0.3,挪威水与风能管理局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,日本,东京湾,10,GW,0.35,日本风能开发协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,7.5,GW,0.2,西班牙风能协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,意大利,亚得里亚海,4,GW,0.28,意大利可再生能源协会,https://www.fer.it/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,6.2,GW,0.15,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,法国,法国北部海岸,8.8,GW,0.2,法国风能协会,https://www.frenchwind.org/,2024/9/22,,,,,,,,,,,
2022年,澳大利亚,-,2.5,GW,0.4,澳大利亚风能协会,https://www.cleanenergycouncil.org.au/,2024/9/22,,,,,,,,,,,
2024年,巴西,-,1.7,GW,0.45,巴西可再生能源协会,https://www.abe-energia.org.br/,2024/9/22,,,,,,,,,,,
2022年,美国,-,12.5,GW,0.3,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,4.1,GW,0.22,丹麦能源管理局,https://ens.dk/,2024/9/22,,,,,,,,,,,
2021年,法国,-,9.6,GW,0.18,法国可再生能源协会,https://reseau-energie.fr/,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,3.5,GW,0.25,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,日本,-,1.8,GW,0.1,日本可再生能源政策研究所,https://www.renewable-ei.org/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,6.2,GW,0.12,西班牙风能协会,https://www.aeolico.es/,2024/9/22,,,,,,,,,,,
2022年,挪威,-,2.9,GW,0.2,挪威水电气候研究所,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,加拿大,-,7.4,GW,0.15,加拿大风能协会,https://www.canwea.ca/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5.3,GW,0.28,意大利可再生能源协会,https://www.rse-web.it/,2024/9/22,,,,,,,,,,,
2024年,巴西,-,2,GW,0.35,巴西风能协会,https://abeeolica.org.br/,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,30,GW,0.3,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2024年,法国,北海,12.5,GW,0.28,法国可再生能源协会,https://reseau-energie.com/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,8,GW,0.2,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2024年,澳大利亚,塔斯马尼亚,6.5,GW,0.35,澳大利亚可再生能源署,https://www.energymarket.com.au/,2024/9/22,,,,,,,,,,,
2024年,日本,福岛,9,GW,0.22,日本可再生能源研究所,https://www.renewableenergy.jp/,2024/9/22,,,,,,,,,,,
2024年,比利时,-,5,GW,0.19,比利时能源局,https://www.belectricity.be/,2024/9/22,,,,,,,,,,,
2024年,瑞典,海峡,4,GW,0.15,瑞典风能协会,https://www.svenskVindenergi.com/,2024/9/22,,,,,,,,,,,
2024年,美国,-,25.6,GW,0.18,美国可再生能源协会,https://www.renewableenergyworld.com,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,6.8,GW,0.22,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5,GW,0.2,瑞典风能协会,https://www.swedishwindpower.org,2024/9/22,,,,,,,,,,,
2024年,巴西,-,2.1,GW,0.28,巴西可再生能源委员会,http://www.abeeolica.org.br,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,11.2,GW,0.25,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,21.5,GW,0.3,美国可再生能源协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2024年,丹麦,北海,10.2,GW,0.22,丹麦风能协会,https:// DanskWind.dk/,2024/9/22,,,,,,,,,,,
2024年,日本,-,5,GW,0.15,日本海洋能源协会,http://www.japanwindenergy.org/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,6.3,GW,0.18,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,法国,大西洋,8.5,GW,0.3,法国可再生能源协会,https://reseau-energie-renouvelable.fr/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,4,GW,0.1,挪威风能协会,https://www.norwegiangreenpower.no/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,10.5,GW,0.18,丹麦能源管理局,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2023年,美国,-,15,GW,0.22,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2023年,法国,-,6.7,GW,0.3,法国可再生能源联合会,https://reseauactionclimat.org,2024/9/22,,,,,,,,,,,
2023年,日本,-,2.5,GW,0.12,日本可再生能源基金会,https://www.rri.or.jp/en/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5.3,GW,0.27,瑞典能源局,https://www.energimyndigheten.se/en/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,3.9,GW,0.35,西班牙可再生能源协会,https://www.unece.org,2024/9/22,,,,,,,,,,,
2023年,中国,江苏省,8,GW,0.28,中国风能协会,http://www.cwea.org.cn,2024/9/22,,,,,,,,,,,
2024年,挪威,-,2,GW,0.1,挪威气候与环境部,https://www.environment.no,2024/9/22,,,,,,,,,,,
2022年,巴西,-,4,GW,0.2,巴西可再生能源协会,https://abeeólica.org.br,2024/9/22,,,,,,,,,,,
2023年,加拿大,-,3.5,GW,0.16,加拿大可再生能源协会,https://renewableenergycanada.com,2024/9/22,,,,,,,,,,,
2024年,日本,-,9.2,GW,0.3,日本风能协会,https://www.jwpa.jp/,2024/9/22,,,,,,,,,,,
2023年,美国,-,25.1,GW,0.22,美国可再生能源协会,https://www.oregon.gov/energy/renewables/Pages/wind.aspx,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,8,GW,0.18,丹麦能源署,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2024年,法国,-,12.5,GW,0.35,法国可再生能源协会,https://reseau-energies-renouvelables.org/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.6,GW,0.2,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3,GW,0.15,挪威水力与风能协会,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,意大利,-,6.7,GW,0.28,意大利可再生能源联盟,https://www.gse.it/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9.4,GW,0.26,西班牙风能协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,波兰,-,2.5,GW,0.3,波兰可再生能源协会,https://www.pwea.pl/,2024/9/22,,,,,,,,,,,
2023年,巴西,-,4.2,GW,0.1,巴西电力监管局,https://www.aneel.gov.br/,2024/9/22,,,,,,,,,,,
2022年,美国,-,25.1,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2023年,日本,-,3.5,GW,0.1,日本可再生能源机构,https://www.renewable-ei.org,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,12.6,GW,0.18,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,6,GW,0.22,瑞典环境保护局,https://www.naturvardsverket.se,2024/9/22,,,,,,,,,,,
2023年,法国,-,9.8,GW,0.3,法国可再生能源联盟,https://reseau-energies-renouvelables.fr,2024/9/22,,,,,,,,,,,
2024年,挪威,-,2.4,GW,0.15,挪威水能与风能协会,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,比利时,-,9.2,GW,0.2,比利时风能协会,https://www.renewablesbelgium.be,2024/9/22,,,,,,,,,,,
2024年,韩国,-,4.1,GW,0.5,韩国能源经济研究院,https://www.keei.re.kr,2024/9/22,,,,,,,,,,,
2022年,意大利,-,7.9,GW,0.15,意大利可再生能源协会,https://www.aper.it,2024/9/22,,,,,,,,,,,
2024年,加拿大,-,5.6,GW,0.2,加拿大可再生能源委员会,https://www.canrea.ca,2024/9/22,,,,,,,,,,,
2024年,全球,-,80,GW,0.036,国际可再生能源署,https://www.irena.org,2024/9/22,,,,,,,,,,,
2024年,美国,-,20.5,GW,0.15,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,4.1,GW,0.1,丹麦能源局,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,法国,-,7.8,GW,0.12,法国可再生能源联盟,https://reseau-energies-renouvelables.fr,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.5,GW,0.2,挪威海洋能源委员会,https://www.norwegiancoast.com,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,6.4,GW,0.1,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,韩国,-,2.3,GW,0.3,韩国能源公社,http://www.koreaenergy.org,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5.6,GW,0.08,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,美国,-,25,GW,0.18,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,17.5,GW,0.3,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.6,GW,0.1,日本可再生能源协会,https://www.renewable-japan.com,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.2,GW,0.2,挪威水资源与能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,9.8,GW,0.15,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,美国,-,20.3,GW,0.3,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,9.4,GW,0.18,丹麦能源署,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2023年,法国,-,7.2,GW,0.22,法国可再生能源局,https://www.renouvelables.info/,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.5,GW,0.3,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,11,GW,0.2,瑞典能源委员会,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,比利时,-,4.2,GW,0.25,比利时风能协会,https://www.belgianwindenergy.com/,2024/9/22,,,,,,,,,,,
