时间,地区,装机规模,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2024年,福建省,11,GW,中国海洋石油总公司,https://www.cnooc.com/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.7,GW,中国风能协会,http://www.cwea.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.2,GW,海南省人民政府,http://www.hainan.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,北京市,4.4,GW,北京市能源局,http://www.bjpc.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,上海市,7.8,GW,上海市发展改革委,http://www.sasac.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6,GW,中国电力规划设计总院,http://www.chinaep.com,2024/9/21,,,,,,,,,,,,,
2024年,四川省,11.9,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,江西省,4.1,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,8,GW,陕西省能源局,http://www.shaanxi.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,青海省,5.5,GW,青海省开发和改革委员会,http://www.qhdrc.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,中国海洋能源协会,https://www.coast-enr.org/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,5,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.4,GW,中国能源报,https://www.cef.cn/,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,4.6,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,台湾省,8.1,GW,台湾能源局,https://www.moeaboe.gov.tw/,2024/9/21,,,,,,,,,,,,,
2024年,重庆市,2.7,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,吉林省,6.2,GW,国家海洋局,http://www.soa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,1.5,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,北京市,3.2,GW,中国环境与发展国际合作委员会,https://www.iccidd.org/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,中国能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国电力新闻网,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,5.3,GW,风能杂志,http://www.winddaily.com,2024/9/21,,,,,,,,,,,,,
2023年,四川省,10.4,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2022年,天津市,4,GW,烟台日报,http://www.yantai.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,6.2,GW,中国光伏行业协会,http://www.cgma.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖南省,8.1,GW,能源经济研究,http://www.erac.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古自治区,15.3,GW,新能源网,http://www.newenergy.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,黑龙江省,3.5,GW,省能源局,http://www.hlj.gov.cn/xxgk/zfxxgk,2024/9/21,,,,,,,,,,,,,
2023年,新疆维吾尔自治区,11.6,GW,中国可再生能源协会,http://www.china-re.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5.6,GW,中国可再生能源协会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,山东省,9.8,GW,绿能网,https://www.greenenergy.com.cn/,2024/9/21,,,,,,,,,,,,,
2025年,安徽省,7.4,GW,中国新能源网,http://www.china-nengyuan.com/,2024/9/21,,,,,,,,,,,,,
2025年,辽宁省,4.3,GW,中国海洋工程网,https://www.maritime.org.cn/,2024/9/21,,,,,,,,,,,,,
2026年,天津市,3.9,GW,全国可再生能源信息中心,https://www.cnrec.org.cn/,2024/9/21,,,,,,,,,,,,,
2026年,内蒙古自治区,11.1,GW,中国能源研究会,https://www.cera.org.cn/,2024/9/21,,,,,,,,,,,,,
2027年,重庆市,2.2,GW,中国气候中心,https://www.cma.gov.cn/,2024/9/21,,,,,,,,,,,,,
2027年,新疆维吾尔自治区,18.7,GW,中国可再生能源发展报告,https://www.reportnengyuan.com/,2024/9/21,,,,,,,,,,,,,
2025年,四川省,10.5,GW,中国水电工程学会,https://www.china-sge.org/,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,8,GW,中国城市能源研究中心,https://www.cuee.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.1,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.3,GW,中国海洋能源协会,http://www.cmoea.org,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.5,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2024年,广西省,5.2,GW,生态环境部,http://www.mee.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6.9,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,11.3,GW,中国科学院,http://www.cas.cn,2024/9/21,,,,,,,,,,,,,
2025年,重庆市,7,GW,能源研究中心,http://www.nerc.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,云南省,8.2,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,9.8,GW,国家发展和改革委员会,http://www.ndrc.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,5.7,GW,国家能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,1.8,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,4.2,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2024年,北京,3.1,GW,能源研究院,https://www.eric.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,2.4,GW,南方电网,http://www.csg.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4,GW,中国海洋经济网,http://www.chinaocean.org,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,6.3,GW,全国能源规划,https://www.cnpp.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,吉林省,2.7,GW,吉林新能源信息网,http://www.jilinrenewable.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,内蒙古自治区,8.1,GW,中国能源网,http://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,3.6,GW,西南能源研究中心,http://www.swenergy.org,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.8,GW,海南省能源局,http://www.hainan.gov.cn/energy,2024/9/21,,,,,,,,,,,,,
2024年,山东省,15.3,GW,中国海洋能源协会,http://www.cmoea.org,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,9.1,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2025年,上海市,13.9,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,天津市,11.6,GW,调查研究中心,https://www.tianjin.gov.cn/jc,2024/9/21,,,,,,,,,,,,,
2023年,青海省,5.1,GW,中国能源报,http://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,山西省,7.4,GW,山西省发展和改革委员会,http://www.sxdrc.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,10,GW,中国光伏行业协会,http://www.cpvpa.org,2024/9/21,,,,,,,,,,,,,
2023年,浙江苏,8.7,GW,中国海洋网,http://www.ocean.gov.cn,2024/9/21,,,,,,,,,,,,,
2025年,甘肃省,6,GW,甘肃省能源局,http://www.gansu.gov.cn/energy,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.1,GW,国家能源局,http://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,5.4,GW,中国海洋工程学会,http://www.cmarc.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,7.2,GW,舟山经济技术开发区,http://www.zs.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,9.9,GW,江苏省能源局,http://www.jse.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,4.5,GW,四川省发展和改革委员会,http://www.sc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.3,GW,中国可再生能源学会,http://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,6.7,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,重庆市,5.6,GW,重庆市经济和信息化委员会,http://www.cq.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,广西自治区,4.3,GW,广西壮族自治区发展和改革委员会,http://www.gx.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,国际可再生能源机构,https://www.irena.org,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5.7,GW,中国绿色发展协会,https://www.ggda.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.3,GW,中国海洋经济报,http://www.come.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,4.8,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2025年,天津市,11,GW,中国可再生能源网,http://www.creen.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,河北省,6.4,GW,中国能源报,http://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古自治区,8.2,GW,可再生能源电力行业研究报告,https://www.renewablepower.com,2024/9/21,,,,,,,,,,,,,
2024年,广西省,7,GW,中国大气环境网,http://www.caep.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,3.5,GW,中国电力研究学会,https://www.cpu.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,8.8,GW,中国新能源网,http://www.newenergy.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,14.3,GW,中国可再生能源报,https://www.cre.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.4,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,9.1,GW,中国海洋能源学会,http://www.chinaoceanenergy.org,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.8,GW,海南省能源局,http://www.hainan.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖南省,7.6,GW,湖南日报,http://www.hunandaily.com,2024/9/21,,,,,,,,,,,,,
2024年,香港特别行政区,3.2,GW,港澳能源信息网,https://www.hkenergy.gov.hk,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,11.9,GW,湖北日报,http://www.hubeidaily.net,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,6.1,GW,重庆市发改委,http://www.cq.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,15,GW,陕西省能源局,http://www.shaanxi.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,13.2,GW,四川日报,http://www.scdaily.cn,2024/9/21,,,,,,,,,,,,,
2024年,山东省,9.4,GW,中国海洋能源协会,https://www.cmeea.org/,2024/9/21,,,,,,,,,,,,,
2024年,天津市,4.6,GW,海洋发展研究院,https://www.marineinstitute.cn/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5,GW,海南省经济和信息化厅,http://www.hainan.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,上海市,15.2,GW,上海能源咨询有限公司,http://www.shenergy.com/,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,7.1,GW,辽宁省海洋与渔业局,http://www.ln.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,内蒙古自治区,2.3,GW,内蒙古能源局,http://www.nmg.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,福建省,12,GW,福州大学海洋研究中心,https://www.fzu.edu.cn/,2024/9/21,,,,,,,,,,,,,
2025年,香港特别行政区,3.5,GW,香港环保署,http://www.epd.gov.hk/,2024/9/21,,,,,,,,,,,,,
2025年,广州市,8.8,GW,广州市发展和改革委员会,http://www.gz.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,四川省,6.4,GW,四川省能源局,http://www.sc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.3,GW,深圳市场研究所,https://www.szresearch.com,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.2,GW,中国海洋与水产研究所,https://www.coi.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,9.8,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2022年,天津市,7.1,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,5.3,GW,元素能源平台,https://www.elementenergy.cn,2024/9/21,,,,,,,,,,,,,
2023年,江西省,6,GW,中国电力报,https://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,云南省,8.7,GW,中国环境保护部,http://www.mee.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,10.4,GW,中国船舶工业集团,http://www.csic.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西省,2.9,GW,中新社,http://www.chinanews.com,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古自治区,14.1,GW,风能与太阳能协会,http://www.wtoe.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,14.3,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西省,7.8,GW,中国能源网,http://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.5,GW,海南日报,http://www.hndb.com,2024/9/21,,,,,,,,,,,,,
2023年,四川省,11,GW,四川省能源局,http://www.scneo.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,河北省,9.7,GW,河北新闻网,http://www.hebnews.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,5.9,GW,中国可再生能源开发中心,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,6.8,GW,大连新闻网,http://www.daliannews.com,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,8.2,GW,陕西日报,http://www.sxdaily.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,云南省,7.1,GW,云南省能源局,http://www.ynenergy.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,3.6,GW,重庆日报,http://www.cqnews.net,2024/9/21,,,,,,,,,,,,,
2023年,山东省,11.7,GW,国家能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.3,GW,中国海洋能源协会,https://www.oceanenergy.cn,2024/9/21,,,,,,,,,,,,,
2022年,辽宁省,9.8,GW,东北电力大学,http://www.neepu.edu.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.1,GW,中国能源研究院,http://www.chinaenergy.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,7.6,GW,四川省能源局,http://www.scenergy.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,6.2,GW,重能局,https://www.cqenergy.gov.cn,2024/9/21,,,,,,,,,,,,,
2021年,兵团,3.4,GW,新疆生产建设兵团,http://www.xjbt.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖南省,9,GW,湖南省能源局,http://www.hnen.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,上海市,9.5,GW,上海市发展和改革委员会,http://www.shdrc.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,吉林省,5.9,GW,吉林省能源局,http://www.jlenergy.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,9.1,GW,能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,山东省,14.3,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.2,GW,环渤海新闻网,http://www.hbhnews.com,2024/9/21,,,,,,,,,,,,,
2024年,湖北省,10.5,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.9,GW,大众网,http://www.dzwww.com,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,6.8,GW,中国电力新闻网,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,内蒙古自治区,15.6,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,8.3,GW,南方电网,http://www.csg.cn,2024/9/21,,,,,,,,,,,,,
2023年,河北省,10,GW,中国电力新闻网,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.4,GW,中国能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,2.9,GW,中国海洋能源网,https://www.comocean.cn/,2024/9/21,,,,,,,,,,,,,
2023年,东北地区,5.2,GW,国家发改委,https://www.ndrc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,3.8,GW,四川省能源局,http://www.scny.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,4.5,GW,西北地区可再生能源研究中心,http://www.nwri.ac.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,1.2,GW,天津市能源局,http://www.tjny.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,2.7,GW,广西省发展和改革委员会,http://www.gxfgw.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,云南省,7.6,GW,云南省能源局,http://www.ynnyj.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古自治区,9.3,GW,内蒙古自治区发改委,http://www.nmg.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,黑龙江省,6,GW,黑龙江省能源局,http://www.hlj.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.8,GW,中华海洋能源网,https://www.oceanenergy.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,2.9,GW,全球海洋能源资讯,https://www.globaloceanenergy.com/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.4,GW,中国能源报,https://www.cecn.net/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,4.3,GW,前景产业研究院,https://www.qjyy.com/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,5.1,GW,中国电力报,https://www.china-power.com/,2024/9/21,,,,,,,,,,,,,
2024年,广西壮族自治区,6.8,GW,中国可再生能源中心,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,3.6,GW,新能源网,https://www.newenergy.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,云南省,9,GW,中国可再生能源协会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,8.3,GW,中国海洋能源网,https://www.cocean.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,甘肃省,1.9,GW,可再生能源技术研究所,https://www.rer-tech.com/,2024/9/21,,,,,,,,,,,,,
2024年,山东省,15,GW,中国新能源网,https://www.china-nre.com,2024/9/21,,,,,,,,,,,,,
2025年,海南省,4.8,GW,中国能源研究院,https://www.ceri-res.ac.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.3,GW,国际海洋能源协会,https://www.oceanenergy.org,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.7,GW,中国电力网,https://www.chinaelectricity.com,2024/9/21,,,,,,,,,,,,,
2024年,吉林省,2.5,GW,中国工程院,https://www.cae.cn,2024/9/21,,,,,,,,,,,,,
2025年,陕西省,8.1,GW,清华大学可再生能源研究所,https://www.reri.tsinghua.edu.cn,2024/9/21,,,,,,,,,,,,,
2023年,云南省,9,GW,中国能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,14.3,GW,中国风能协会,https://www.cwea.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,6,GW,BBC能源频道,https://www.bbc.com/news/topics/cg5z7m5gg2jt,2024/9/21,,,,,,,,,,,,,
2025年,内蒙古自治区,20,GW,国家统计局,https://www.stats.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,中国海洋能源研究院,https://www.cmeeri.com/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.8,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.1,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2022年,广西省,3.7,GW,中国能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,天津市,7.4,GW,中国海洋开发网,http://www.chinaocean.com/,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古,6,GW,国家统计局,https://www.stats.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,上海市,8.2,GW,中国发展改革委员会,http://www.ndrc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,9,GW,中国可再生能源协会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,4.9,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,3.5,GW,中国能源报,http://www.cec.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,5.7,GW,中国可再生能源网,https://www.cre.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.4,GW,国家海洋局,http://www.soaan.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,11,GW,中国风能协会,https://www.cwea.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4.9,GW,中国电力新闻网,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,2.6,GW,北方环境发展研究中心,http://www.northenvironment.org,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,8.1,GW,陕西省能源局,http://www.sxny.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,7.4,GW,重庆市新能源中心,http://www.cqnewenergy.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,6.9,GW,中国可再生能源发展研究中心,https://www.cnre.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,上海市,9.2,GW,上海市发展和改革委员会,http://www.shdrc.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,江西省,10.4,GW,江西日报,http://www.jxrb.com,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.8,GW,中国海洋能源网,https://www.chinaoceanenergy.com,2024/9/21,,,,,,,,,,,,,
2023年,山东省,7.4,GW,能源发展研究中心,https://www.nrdc.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.3,GW,可再生能源协会,https://www.crea.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,3.6,GW,能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西省,2.9,GW,华南环境研究院,http://www.scie.ac.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.1,GW,天津市发改委,http://www.tianjin.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,上海市,9.2,GW,上海市经济和信息化委员会,http://www.shanghai.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,湖北省,3.8,GW,武汉大气研究所,http://www.wuhan.ac.cn,2024/9/21,,,,,,,,,,,,,
2023年,青海省,1.4,GW,青海省能源局,http://www.qh.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,云南省,3,GW,云南省环境保护厅,http://www.yn.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.8,GW,国家能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.7,GW,中国能源研究院,https://www.ceri.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,2.3,GW,海南省发展改革委员会,http://fgw.hainan.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,黑龙江省,4.1,GW,黑龙江省能源局,http://nengyuan.hlj.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,15,GW,四川省电力公司,http://www.scsgt.com/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,6.8,GW,陕西省能源局,http://nyj.shaanxi.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,江西省,4.6,GW,江西省可再生能源协会,http://www.jxenergy.org/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,7.4,GW,河北省统计局,http://tjj.hebei.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,8.9,GW,重庆市能源局,http://kjt.cq.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,云南省,3.9,GW,云南省电力公司,http://www.yn.power.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,中海油能源咨询,https://www.cnooc.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.5,GW,国家海洋局,https://www.soa.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖南省,5.3,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2023年,上海市,11,GW,中国电力部,http://www.sgcc.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,4,GW,华东电力集团,http://www.eastpower.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,6.9,GW,中国新能源网,http://www.newenergy.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,台湾省,3.7,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2022年,黑龙江省,8.2,GW,中国风电网,http://www.windpower.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,广东省,13.5,GW,南方电网,http://www.csg.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.8,GW,中国电力新闻网,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,5.3,GW,国家海洋局,http://www.soa.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.2,GW,海南日报,http://www.hinews.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,7.1,GW,天津市统计局,http://tjj.tianjin.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,6.9,GW,重庆日报,http://www.cqrb.cn,2024/9/21,,,,,,,,,,,,,
2023年,黑龙江省,3.5,GW,新华网,http://www.xinhuanet.com,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,8,GW,西安晚报,http://www.xawb.com,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,10.3,GW,湖北省能源局,http://www.hbny.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,河北省,9.4,GW,河北新闻网,http://www.hebnews.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,11.1,GW,辽宁日报,http://www.lnd.com.cn,2024/9/21,,,,,,,,,,,,,
