激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
固体激光器,1064 nm,25%-35%,5000,W,<1.3,优良,优秀,良好,大多数金属、塑料,高,中型,每年,中等,便捷,15000,中国机械工业联合会,https://www.cmif.org,,
红外激光器,1064 nm,10%-20%,700,W,1.2,优良,良好,较差,金属、混合材料,中,小型,每半年,低,较便捷,9000,全国激光研究院,https://www.laser-research.cn,,
单频激光器,780 nm,15%-22%,200,W,<1.1,优良,中等,优秀,金属、陶瓷,高,小型,每年,中等,非常便捷,12000,中国光电产业技术创新战略联盟,https://www.optical-innovation.org.cn,,
超短脉冲激光器,1030 nm,30%-50%,1000,W,<1.5,优秀,优良,优良,金属、复合材料,高,中型,每年,较高,便捷,20000,中国激光技术研究中心,https://www.laser-research-center.cn,,
二氧化碳激光器,10.6 µm,9%-11%,1200,W,1.4,优良,中等,优异,木材、塑料、金属,中,大型,每年,中等,较便捷,6000,中国激光产业协会,https://www.clia.org.cn,,
钕激光器,1064 nm,15%-25%,1500,W,1.8,良好,优秀,良好,金属、陶瓷,中,中型,每年,中等,较便捷,9000,中国工信部,https://www.miit.gov.cn,,
光纤激光器,1070 nm,35%-45%,5000,W,<1.4,优秀,优良,优秀,金属、塑料,高,小型,每年,较低,非常便捷,25000,科技部,https://www.most.gov.cn,,
半导体激光器,850-980 nm,45%-55%,700,W,>1.6,良好,中等,良好,打标、刻字,低,小型,每半年,中等,便捷,50000,工业技术研究院,https://www.iri.org.cn,,
固体激光器,532 nm,25%-35%,800,W,1.9,良好,中等,优良,金属、玻璃、塑料,中,中型,每年,中等,较便捷,12000,中国激光技术研究所,https://www.cltri.org.cn,,
紫外激光器,355 nm,20%-30%,400,W,2.0,优良,良好,优秀,纸、塑料、皮革,低,小型,每年,较高,便捷,8000,中国激光产业技术创新战略联盟,https://www.clit.org.cn,,
石榴激光器,10.44 µm,5%-8%,900,W,1.3,优良,较差,一般,非金属,低,中型,每年,中等,较便捷,7000,中国科学技术协会,https://www.cast.org.cn,,
蓝光激光器,445 nm,25%-35%,600,W,1.0,良好,中等,良好,纸、塑料,低,小型,每年,中低,较便捷,10000,国内激光科研机构,http://www.laser-research.org.cn,,
相控激光器,520 nm,10%-15%,1750,W,1.4,良好,优秀,优良,金属、陶瓷,中,中型,每年,中等,便捷,15000,新兴激光技术研究中心,https://www.elite-laser.com,,
绿色激光器,532 nm,15-25%,800,W,1.8,良好,良好,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,中国激光行业协会,https://www.clia.org.cn,,
蓝色激光器,450 nm,20-35%,1500,W,1.4,优良,优秀,良好,金属、陶瓷,高,小型,每年,较低,非常便捷,18000,中国电子材料行业协会,https://www.sem.org.cn,,
光谱激光器,780 nm,10-18%,600,W,1.2,一般,中等,中等,金属、非金属,低,大型,每年,中等,较便捷,10000,中国激光技术研究院,https://www.cltri.org.cn,,
DIODE激光器,900-1000 nm,30-45%,300,W,>2.0,一般,较差,优秀,打标、表面处理,高,小型,每半年,中等,便捷,25000,中国半导体激光器产业联盟,https://www.iclaser.org,,
激光增材制造器,1070 nm,25-35%,4000,W,1.3,优秀,优秀,优秀,金属合金、复合材料,中,中型,每年,较高,较便捷,15000,国家增材制造技术创新中心,https://www.additiveinnovation.cn,,
低功率激光器,650 nm,5-10%,200,W,1.9,一般,较差,中等,塑料、表面处理,低,小型,每半年,较低,便捷,5000,国家光电技术标准化技术委员会,https://www.standards.org.cn,,
高功率CO2激光器,10.6 µm,10-15%,5000,W,1.7,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,较便捷,12000,国际激光工业协会,https://www.ilia.org,,
超快激光器,1030 nm,40-50%,500,W,<1.0,优良,优秀,优秀,金属、陶瓷、塑料,高,中型,每年,较高,便捷,10000,中国科学院物理研究所,https://www.iphy.ac.cn,,
量子点激光器,940 nm,30-40%,2500,W,1.6,良好,中等,优秀,金属、非金属,中,中型,每年,中等,较便捷,15000,中国量子科技产业发展联盟,https://www.qsd.org.cn,,
双波长激光器,1064 nm & 532 nm,15-25%,1500,W,1.3,良好,中等,优秀,金属切割、镀层,中,中型,每年,较高,较便捷,12000小时,中国激光协会,https://www.cla.org.cn,,
绿激光器,532 nm,25-35%,600,W,<1.5,优良,优秀,良好,金属、塑料,高,小型,每年,中等,较便捷,8000小时,国际激光产业协会,https://www.laserindustry.org,,
紫外激光器,355 nm,30-45%,1000,W,1.0,优良,优秀,优秀,高分子、金属,高,小型,每年,较低,非常便捷,15000小时,国家科学技术部,https://www.most.gov.cn,,
掺镱光纤激光器,1070 nm,35-45%,5000,W,<1.2,优秀,优良,良好,金属、陶瓷,高,大型,每年,较低,较便捷,20000小时,中国光纤激光产业协会,https://www.cflia.org,,
氩气激光器,488 nm,10-15%,300,W,>1.8,一般,中等,较差,表面处理、打标,中,小型,每半年,较高,较便捷,4000小时,激光技术研究所,https://www.lasertech.com.cn,,
激光切割机,1064 nm,20-28%,4000,W,1.5,优良,优秀,良好,金属、合金,高,中型,每年,中等,非常便捷,10000小时,中国制造协会,https://www.cma.org.cn,,
陶瓷激光器,450 nm,25-35%,800,W,1.0,优良,良好,优秀,非金属、陶瓷,中,大型,每年,中等,较便捷,5000小时,陶瓷科学技术研究院,https://www.ceramics.org.cn,,
波长可调激光器,400-1000 nm,20-40%,1200,W,1.5,良好,中等,良好,金属、非金属,中,中型,每年,较高,便捷,8000小时,中国科学院,https://www.cas.cn,,
三维激光器,980 nm,15-25%,2000,W,1.4,优良,优秀,优良,金属、塑料、复合材料,中,大型,每年,中等,非常便捷,15000小时,国家制造业创新中心,https://www.nmic.org.cn,,
半导体激光器,700-900 nm,35-45%,800,W,>2.0,一般,良好,优良,金属、塑料,中,小型,每年,高,便捷,25000,中国科学院,https://www.cas.cn,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.4,优良,中等,良好,非金属、塑料焊接,低,大型,每年,中等,较便捷,6000,中国激光行业协会,https://www.clia.org.cn,,
光纤激光器,1070 nm,32-42%,4000,W,<1.4,优秀,优秀,优秀,金属、陶瓷、玻璃,高,中型,每年,中等,非常便捷,21000,国家科技部,https://www.most.gov.cn,,
YAG激光器,1064 nm,15-25%,3000,W,1.1,良好,优良,优良,金属切割、焊接、打标,高,中型,每年,较高,较便捷,12000,电子科技大学,https://www.uestc.edu.cn,,
交替弧激光器,850 nm,25-35%,1200,W,2.0,一般,良好,良好,金属、合金,中,中型,每年,中等,便捷,8000,中国机械工业联合会,https://www.cmif.org.cn,,
量子点激光器,940 nm,50-65%,700,W,1.8,优良,优良,优良,塑料、金属,中,小型,每年,较高,非常便捷,35000,中国科学院物理研究所,https://www.iphy.ac.cn,,
固体激光器,532 nm,20-30%,900,W,1.5,良好,中等,良好,金属、塑料,中,大型,每年,中等,便捷,15000,上海交通大学,https://www.sjtu.edu.cn,,
蓝光激光器,445 nm,25-35%,2000,W,1.3,优良,优良,优秀,金属、非金属,高,中型,每年,中等,便捷,18000,天津大学,https://www.tju.edu.cn,,
紫外激光器,355 nm,30-40%,600,W,1.2,优良,优良,良好,塑料、陶瓷,低,小型,每半年,高,非常便捷,30000,中国光学学会,https://www.optics.org.cn,,
紫外激光器,355 nm,25-35%,1500,W,<1.2,优秀,优秀,良好,塑料、玻璃、金属,中,中型,每年,较高,较便捷,10000,中国激光产业协会,https://www.clia.org.cn,,
绿色激光器,532 nm,30-40%,800,W,1.3,良好,中等,优秀,金属、陶瓷、树脂,高,小型,每年,中等,非常便捷,15000,中国科学院,https://www.cas.cn,,
光谱激光器,589 nm,20-25%,1200,W,1.5,一般,较差,良好,非金属、金属焊接,中,中型,每季度,较低,较便捷,8000,工业激光资讯网,https://www.industrial-laser.com,,
超短激光器,800 nm,15-25%,500,W,<1.0,优良,优秀,优秀,高分子材料、金属,高,大型,每年,高,方便,30000,中国激光技术联盟,https://www.cltc.org.cn,,
绿光固体激光器,532 nm,22-30%,3500,W,1.2,优良,中等,优秀,金属、非金属,中,小型,每年,中等,便捷,20000,中国工程院,https://www.cae.cn,,
红外激光器,10600 nm,10-15%,4000,W,1.4,良好,优秀,中等,非金属,低,大型,每年,高,较便捷,15000,国家激光标准化技术委员会,https://www.clsta.org,,
高功率激光器,1070 nm,30-35%,5000,W,<1.2,优良,优秀,优秀,金属切割、焊接,高,大型,每年,中等,方便,18000,激光与光电子技术杂志,https://www.journaloflasers.com,,
纳秒激光器,355 nm,18-28%,900,W,1.7,一般,中等,中等,塑料、金属,中,中型,每半年,较高,方便,12000,国家科技部,https://www.most.gov.cn,,
造纸激光器,1064 nm,20-22%,700,W,1.1,良好,优秀,良好,纸张、金属,低,小型,每年,较低,非常便捷,15000,中国纸业协会,https://www.cpci.org,,
绿激光器,532 nm,25-35%,1800,W,1.1,优秀,良好,一般,塑料、金属,中,中型,每年,中等,较便捷,8000,绿色科技研讨会,https://www.greentechconference.org,,
镭射晶体激光器,1064 nm,15-25%,1500,W,1.8,一般,中等,优秀,金属、陶瓷,高,大型,每年,较高,一般,7000,材料科学期刊,https://www.materialsjournal.com,,
超短脉冲激光器,800 nm,25-40%,1000,W,<1.3,优秀,优秀,优秀,金属、陶瓷、薄膜,高,小型,每年,中等,非常便捷,5000,激光与光电子应用研究所,https://www.laserresearch.gov,,
蓝光激光器,445 nm,30-50%,2500,W,1.5,良好,良好,中等,塑料、金属,高,大型,每年,低,便捷,15000,先进激光技术协会,https://www.advancedlasers.org,,
高功率二氧化碳激光器,10.6 µm,10-12%,5000,W,1.2,优良,优秀,良好,金属、复合材料,低,大型,每年,高,较便捷,6000,机械工程与制造学会,https://www.mem.org.cn,,
氮化物激光器,390 nm,20-30%,700,W,1.4,良好,一般,一般,塑料、金属,中,中型,每年,中等,较便捷,3000,半导体激光技术公司,https://www.semiconductorlasers.com,,
石墨激光器,1064 nm,12-22%,1200,W,1.6,中等,良好,一般,金属、薄膜,中,小型,每半年,较高,便捷,4000,光电技术协会,https://www.optoelec.org,,
紫外激光器,355 nm,30-40%,1500,W,1.1,优良,优秀,良好,金属、塑料,高,大型,每年,较低,非常便捷,10000,激光应用研究与开发中心,https://www.laserapplications.org,,
高能量脉冲激光器,1064 nm,22-35%,4000,W,1.3,优秀,优秀,优秀,金属、陶瓷,高,中型,每年,中等,便捷,12000,激光技术与应用杂志,https://www.lasertechjournal.com,,
紫外激光器,355 nm,20%-25%,1500,W,<1.2,优秀,良好,优秀,光敏材料、塑料,低,中型,每年,中等,较便捷,10000,中国科学院,https://www.cas.cn,,
Yb激光器,1030 nm,25%-35%,4000,W,<1.4,优秀,优秀,优秀,金属、陶瓷,中,大型,每年,中等,便捷,15000,国家能源局,https://www.nea.gov.cn,,
绿激光器,532 nm,15%-20%,200,W,>2.0,一般,较差,良好,塑料、玻璃,中,小型,每半年,较高,较便捷,5000,中国光电行业协会,https://www.cipa.org.cn,,
重复频率激光器,1064 nm,20%-28%,3000,W,<1.8,优良,良好,优秀,金属、合金,高,中型,每年,偏高,便捷,12000,工业和信息化部,https://www.miit.gov.cn,,
蓝光激光器,445 nm,30%-35%,800,W,<1.6,良好,中等,良好,塑料、金属,中,小型,每年,中等,非常便捷,8000,国家发改委,https://www.ndrc.gov.cn,,
量子点激光器,490 nm,25%-30%,600,W,<1.4,优秀,良好,良好,塑料、陶瓷,中,小型,每年,偏高,较便捷,9000,光电科技发展研究院,https://www.optoelec.gov.cn,,
单模激光器,1550 nm,40%-50%,100,W,<1.0,优良,良好,优秀,光纤、金属,低,小型,每半年,中等,非常便捷,20000,国家通信局,https://www.miit.gov.cn,,
高功率激光器,10.4 µm,15%-20%,6000,W,<1.5,良好,优秀,优良,金属、复合材料,高,大型,每年,较高,较便捷,8000,中科院物理所,https://www.iphy.ac.cn,,
气体激光器,488 nm,10%-15%,300,W,>2.0,一般,中等,差,塑料、纸张,低,中型,每半年,高,不便捷,5000,中国激光协会,https://www.cla.org.cn,,
工业超快激光器,1030 nm,50%-60%,5000,W,<1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,高,大型,每年,偏高,便捷,12000,中国科学技术协会,https://www.cast.org.cn,,
绿色激光器,532 nm,15%-25%,1500,W,1.8,良好,中等,良好,金属、陶瓷,中,中型,每年,中等,较便捷,8000,中国科学院,https://www.cas.cn,,
紫外激光器,355 nm,18%-22%,800,W,1.0,优秀,优秀,良好,塑料、金属、玻璃,高,小型,每年,较高,非常便捷,12000,中国激光行业协会,https://www.clia.org.cn,,
光纤激光器,1070 nm,35%-45%,4000,W,<1.3,优秀,优良,非常优秀,金属、铝合金,高,小型,每年,低,非常便捷,25000,国际激光商会,https://www.worldlaser.org,,
钕激光器,1064 nm,10%-20%,700,W,1.5,一般,中等,一般,非金属、金属,中,大型,每年,高,一般,6000,国家科学技术部,https://www.most.gov.cn,,
激光二极管,800-850 nm,50%-60%,300,W,>2.0,一般,较差,优良,表面处理、打标,中,小型,每半年,中等,较便捷,20000,中国半导体激光产业协会,https://www.csla.org.cn,,
2600nm红外激光器,2.6 µm,8%-12%,1200,W,1.4,优良,良好,良好,复杂合金材料,中,中型,每年,中等,便捷,7000,国家激光研究中心,https://www.nrlc.gov.cn,,
高功率脉冲激光器,1064 nm,20%-28%,5000,W,1.0,优良,优秀,优秀,硬质合金、金属,高,大型,每年,高,较便捷,15000,中国机械工业联合会,https://www.cmif.org.cn,,
超短脉冲激光器,800 nm,25%-35%,600,W,0.9,优秀,优良,良好,陶瓷、塑料,中,中型,每年,中等,非常便捷,10000,中国科学院光电技术研究所,https://www.ioe.ac.cn,,
铝激光器,980 nm,22%-30%,2500,W,1.2,中等,良好,优秀,铝、镁材料,高,中型,每年,较高,便捷,9000,中国材料科学研究院,https://www.materials.gov.cn,,
固体激光器,1064 nm,25-35%,1500,W,1.8,良好,优秀,优秀,金属、非金属,中,中型,每年,中等,便捷,12000,国家激光技术研究中心,https://www.nationalift.org,,
紫外激光器,355 nm,15-20%,800,W,1.4,优良,优良,优秀,塑料、金属,高,小型,每年,中等,较便捷,7000,中国科学院,https://www.cas.cn,,
激光二极管,660 nm,50-60%,200,W,>2,一般,差,良好,打标、表面处理,中,微型,每半年,较高,非常便捷,15000,激光技术产业协会,https://www.laserassociation.org,,
多波长激光器,532 nm to 1064 nm,30-45%,2500,W,1.3,优良,优秀,良好,金属、塑料,高,大型,每年,中等,相对便捷,18000,先进激光技术公司,https://www.advancedlasertech.com,,
脉冲激光器,1064 nm,10-15%,500,W,1.6,一般,良好,优秀,金属焊接、打标,中,中型,每年,中等,便捷,10000,中国激光行业协会,https://www.clia.org.cn,,
小型化激光器,940 nm,45-50%,300,W,<2.0,优良,一般,良好,微加工,低,微型,每半年,较高,非常便捷,6000,国家科技部,https://www.most.gov.cn,,
基于增材制造的激光器,1070 nm,25-30%,1800,W,1.0,优良,优秀,优秀,金属,高,大型,每年,中等,便捷,15000,中国增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,,
高功率激光器,1064 nm,35-45%,5000,W,1.1,优秀,优良,优秀,金属切割、焊接,高,中型,每年,较高,较便捷,20000,国家能源局,https://www.nea.gov.cn,,
增材制造专用激光器,1064 nm,30-38%,3500,W,1.2,优良,优秀,良好,金属、合金,高,中型,每年,中等,便捷,16000,工业署,https://www.mi.gov.cn,,
绿色激光器,532 nm,25-35%,1500,W,1.3,良好,较好,优秀,金属、塑料,中,中型,每年,较中等,便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,15-25%,2000,W,<1.5,优秀,优秀,良好,电子元件、塑料,高,小型,每年,较高,非常便捷,15000,电子技术应用网,https://www.eea.com.cn,,
光纤激光器,1070 nm,35-45%,5000,W,<1.3,优秀,优秀,优秀,金属、复合材料,高,中型,每两年,较低,方便,25000,工业激光应用杂志,https://www.industrial-lasers.com,,
CO2激光器,10.6 µm,9%-11%,1200,W,1.6,优良,优秀,良好,非金属、木材,低,大型,每年,中等,较便捷,6000,全国激光技术推广中心,https://www.laser.gov.cn,,
Yb激光器,1030 nm,28-38%,4000,W,1.4,良好,较好,优秀,金属、合金,高,中型,每年,高,便捷,18000,激光与光电子技术杂志,https://www.laserjournal.org,,
固体激光器,1064 nm,18-25%,3000,W,1.5,一般,中等,良好,金属、玻璃,中,大型,每年,中等,便捷,12000,中国激光技术论坛,https://www.chinalaserforum.com,,
高功率气体激光器,10.3 µm,6-8%,8000,W,2.0,中等,优秀,较好,金属、塑料,低,大型,每年,高,较便捷,7500,激光制造与应用研究,https://www.laser-manufacturing-research.com,,
高亮度激光器,450 nm,30-50%,2500,W,1.2,优秀,良好,优秀,合金、复合材料,高,小型,每六个月,中等,非常便捷,9000,激光技术开发公司,https://www.lasertech.cn,,
频率倍增激光器,532 nm,20-30%,1200,W,1.1,优秀,优秀,良好,金属、陶瓷,中,中型,每年,较高,便捷,7000,深圳激光技术协会,https://www.szlaser.org.cn,,
超快激光器,800 nm,25-35%,1500,W,<1.1,优良,优秀,尚可,金属、塑料、玻璃,高,中型,每年,较高,便捷,8000,国家纳米科学与技术中心,https://www.nano.gov.cn,,
绿激光器,532 nm,15-20%,300,W,1.8,良好,一般,优秀,有机材料、木材,中,小型,每年,中等,便捷,5000,中国光学学会,https://www.cos.org.cn,,
激光切割机,1070 nm,30-40%,10000,W,<1.2,优秀,优秀,良好,金属材料,高,大型,每半年,较低,非常便捷,15000,中国激光产业网,https://www.chinelasernet.com,,
紫外激光器,355 nm,10-15%,500,W,1.3,良好,优秀,一般,光敏材料、塑料,低,中型,每年,高,便捷,6000,中国材料研究所,https://www.mse.edu.cn,,
脉冲激光器,10600 nm,12-18%,2000,W,2.0,一般,中等,良好,塑料、泡沫,低,大型,每年,中等,便捷,7000,激光科技发展中心,https://www.laser.gov.cn,,
分布反馈激光器,1550 nm,20-25%,250,W,1.5,优良,较良好,优秀,光纤、光电设备,中,小型,每年,中等,较便捷,12000,光纤通信产业协会,https://www.ofc.org,,
钕激光器,1064 nm,25-35%,800,W,1.4,优良,较好,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,10000,中国激光产业研究中心,https://www.lasertech.org.cn,,
陶瓷激光器,940 nm,15-20%,1500,W,1.6,良好,中等,良好,金属、陶瓷,中,中型,每年,中等,便捷,9000,陶瓷技术与应用研究所,https://www.ceramictech.org,,
蓝色激光器,450 nm,20-30%,450,W,1.9,良好,中等,优良,电子元器件、塑料,低,小型,每年,较高,便捷,4000,消费电子协会,https://www.ceassociation.org,,
青光激光器,450 nm,30%-35%,800,W,<1.2,优秀,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,15000,中国光学学会,https://www.cos.org.cn,,
绿激光器,532 nm,15%-25%,700,W,1.8,良好,良好,中等,非金属、打标,中,小型,每年,中等,便捷,8000,激光制造技术杂志,https://www.lasertechjournal.com,,
紫外激光器,355 nm,20%-28%,1200,W,<1.3,优秀,优秀,优良,陶瓷、复合材料,低,中型,每年,较高,较便捷,10000,中国机械工业联合会,https://www.cmif.org.cn,,
超短脉冲激光器,780 nm,25%-35%,400,W,<1.0,优秀,优秀,优秀,金属、塑料、陶瓷,高,大型,每年,中等,非常便捷,12000,国际激光与光学联合会,https://www.ilfo.org,,
纳秒激光器,1064 nm,18%-25%,2500,W,1.6,良好,优质,良好,金属、塑料,中,中型,每年,较高,便捷,9000,中国工业研究院,https://www.ciri.org.cn,,
碳纤维激光器,10.2 µm,12%-15%,500,W,2.0,中等,中等,较差,复合材料、打标,低,小型,每半年,较高,较便捷,7000,中国复合材料协会,https://www.acms.org.cn,,
合金激光器,980 nm,22%-30%,900,W,1.5,优良,良好,优质,金属、加合材料,高,中型,每年,中等,便捷,11000,清华大学材料科学研究院,https://www.mse.tsinghua.edu.cn,,
多波长激光器,"488 nm, 532 nm, 1064 nm",15%-22%,1200,W,1.2,良好,优良,良好,金属、非金属,中,大型,每年,较高,便捷,8000,中国电子学会,https://www.ice.org.cn,,
增材制造激光器,1064 nm,25%-30%,1500,W,<1.5,优秀,中等,优良,金属粉末,高,大型,每6个月,较高,非常便捷,15000,国家增材制造工程研究中心,https://www.additivecn.org,,
二氧化碳激光器,10.6 µm,10%-12%,1500,W,1.3,优秀,高,良好,金属切割、塑料焊接,中,大型,每年,中等,便捷,6000,中国制造业协会,https://www.cma.org.cn,,
光纤激光器,1070 nm,35%-45%,4000,W,<1.2,优秀,优秀,非常优秀,金属、塑料,高,小型,每年,较低,非常便捷,25000,福布斯科技,https://www.forbes.com/technology,,
YAG激光器,1064 nm,25%-35%,5000,W,1.5,良好,优良,优秀,金属、复合材料,高,中型,每年,较高,较便捷,12000,中国激光技术协会,https://www.clta.org.cn,,
半导体激光器,850 nm,45%-55%,300,W,>1.8,一般,一般,良好,打标、刻蚀,中,小型,每半年,高,便捷,35000,电子科技部,https://www.miit.gov.cn,,
紫外激光器,355 nm,20%-25%,800,W,1.5,优良,优良,良好,陶瓷、塑料,低,中型,每年,中等,较便捷,7000,中国激光产业技术创新战略联盟,http://www.clas.org.cn,,
新型碳化硅激光器,980 nm,30%-35%,2500,W,1.4,优良,高,优秀,金属、非金属,高,中型,每年,中等,便捷,12000,高校与科研机构,https://www.moe.gov.cn,,
固态激光器,540 nm,15%-20%,4000,W,1.6,一般,低,优秀,金属焊接、打标,中,大型,每年,较高,便捷,10000,中国光电产业发展报告,https://www.optics.org.cn,,
脉冲激光器,532 nm,50%-60%,1000,W,1.5,优秀,优秀,良好,金属、医疗器械,高,小型,每年,中等,非常便捷,8000,国家半导体激光研究中心,http://www.nsll.org.cn,,
激光切割机,1064 nm,22%-28%,6000,W,1.8,良好,优良,优秀,金属、塑料,中,大型,每年,较高,便捷,15000,机械工业部,https://www.mii.gov.cn,,
紫外激光器,355 nm,25%-35%,1500,W,1.1,优秀,优秀,良好,塑料、电子元件,中,中型,每年,较高,便捷,8000,国际激光产业协会,https://www.ilia.org,,
绿色激光器,532 nm,15%-20%,600,W,1.8,良好,中等,良好,金属薄片、塑料,高,小型,每年,中等,较便捷,4000,光电材料研究院,https://www.photonicmaterials.ac.cn,,
激光增材制造器,1070 nm,30%-35%,1000,W,<1.3,优秀,优秀,优秀,金属粉末、合金,高,大型,每年,中等,非常便捷,15000,中国增材制造技术协会,https://www.additive-manufacturing.cn,,
蓝光激光器,450 nm,20%-28%,800,W,1.0,优良,优秀,良好,非金属、金属,中,中型,每年,中等,便捷,6000,中国光学学会,https://www.cos.org.cn,,
新型钕激光器,1064 nm,28%-38%,2500,W,1.5,优秀,较好,优秀,金属、陶瓷,高,大型,每年,较高,较便捷,12000,全国家电研究院,https://www.appliance-research.org,,
高功率CO2激光器,10.6 µm,10%-12%,4500,W,1.6,优良,优良,优秀,金属、非金属,中,大型,每年,高,便捷,7000,国际激光技术协会,https://www.lasertech.org,,
便携式激光焊接机,1080 nm,15%-18%,1000,W,2.0,良好,中等,良好,金属焊接,高,小型,每半年,中等,非常便捷,5000,电气工程协会,https://www.ieee.org,,
超短脉冲激光器,800 nm,30%-45%,200,W,1.2,优秀,优良,良好,金属、复合材料,高,中型,每年,中等,便捷,10000,激光科技发展中心,https://www.laser-dev.org,,
转盘激光器,1064 nm,17%-22%,1200,W,1.4,优良,优良,优秀,金属、塑料,中,大型,每年,中等,便捷,9000,机械工业协会,https://www.machinery.org.cn,,
CO2激光器,10.6 µm,9%-11%,1200,W,1.4,优良,中等,优秀,塑料、金属加工,中,大型,每年,中等,较便捷,6000,中科院激光物理研究所,https://www.science.gov.cn,,
YAG激光器,1064 nm,25-35%,2500,W,1.1,优秀,非常优秀,优良,金属、陶瓷,高,中型,每年,中等,较便捷,12000,国际激光学会,https://www.laser.org,,
光纤激光器,1070 nm,32-42%,4000,W,<1.2,优良,优秀,优秀,金属、塑料、硅,高,小型,每年,较低,非常便捷,25000,亚洲激光产业协会,https://www.asia-laser.org,,
半导体激光器,750-980 nm,45-55%,800,W,>1.5,良好,较差,一般,打标、表面处理,中,小型,每半年,较高,便捷,35000,工业和信息化部,https://www.miit.gov.cn,,
紫外激光器,355 nm,12-15%,500,W,1.7,良好,优秀,中等,玻璃、塑料,中,中型,每年,中等,稍便捷,8000,中国激光产业技术创新战略联盟,https://www.laseralliance.org,,
钕激光器,1060 nm,30-35%,1500,W,1.3,优良,良好,优秀,金属、合金,高,大型,每年,中等,便捷,11000,激光设备国家标准研究中心,https://www.laserstandards.org.cn,,
绿色激光器,532 nm,25-30%,700,W,1.9,一般,中等,良好,塑料、玻璃,低,小型,每年,中等,较便捷,4000,光学工程与技术研究院,https://www.optics.org.cn,,
蓝光激光器,445 nm,20-25%,1000,W,1.6,良好,良好,良好,金属、塑料、木材,中,中型,每年,较低,便捷,5000,光电科技部,https://www.photo.gov.cn,,
超高速激光器,515 nm,35-45%,2000,W,1.0,优秀,非常优秀,优秀,金属、高分子材料,高,中型,每年,较高,非常便捷,15000,国家激光应用研究中心,https://www.laserapplication.org.cn,,
紫外激光器,355 nm,15%-25%,800,W,<1.5,优良,优秀,良好,金属、塑料、陶瓷、硅,高,中型,每年,中等,便捷,15000,中国科学院,https://www.cas.cn,,
双波长激光器,1064 nm / 532 nm,25%-35%,1200,W,1.3,良好,中等,优秀,金属、塑料、玻璃,中,大型,每年,较高,较便捷,10000,国家 lasers 科技研究机构,https://www.lasers.gov.cn,,
绿色激光器,532 nm,20%-30%,750,W,1.5,优良,良好,中等,软材料、纸张、皮革,低,小型,每六个月,较低,非常便捷,8000,国际激光制造商协会,https://www.laser.org,,
高功率光纤激光器,1080 nm,35%-45%,4000,W,<1.2,优秀,优良,优秀,金属、合金、复合材料,高,中型,每年,中等,便捷,25000,工信部装备工业司,https://www.miit.gov.cn,,
空心光纤激光器,2000 nm,30%-38%,1000,W,1.4,良好,优良,良好,非金属、电子元器件,中,大型,每年,高,较便捷,12000,中国激光产业协会,https://www.clia.org.cn,,
低功率半导体激光器,650 nm,50%-60%,250,W,>2.0,一般,较差,一般,电子元器件、打标,中,小型,每半年,较高,便捷,5000,中国半导体产业协会,https://www.csa.org.cn,,
激光切割机,1064 nm,15%-25%,1500,W,1.6,中等,优秀,良好,碳钢、不锈钢,高,大型,每年,中等,较便捷,12000,机械工程学会,https://www.cme.org,,
纳米激光器,532 nm,15%-20%,600,W,1.1,优良,良好,优秀,生物材料、金属薄膜,高,较大型,每年,较高,便捷,10000,机器人与人工智能研究所,https://www.rair.com,,
脉冲激光器,1064 nm,10%-20%,500,W,2.0,一般,中等,中等,金属、塑料,中,小型,每六个月,较高,较便捷,3000,国家电气装备协会,https://www.neea.org.cn,,
UV激光器,355 nm,20-25%,700,W,<1.4,优良,优秀,良好,塑料、陶瓷,中,中型,每年,中等,较便捷,10000,中国激光行业协会,https://www.clia.org.cn,,
青绿激光器,532 nm,25-35%,1500,W,1.2,优秀,中等,优秀,金属切割、打标,中,小型,每年,较高,便捷,12000,光电信息科技部,https://www.moea.gov.cn,,
脉冲光纤激光器,1030 nm,40-50%,5000,W,<1.5,优良,优秀,优良,金属、陶瓷,高,大型,每年,高,非常便捷,25000,国际激光技术报告,https://www.lasertech.com,,
绿光激光器,532 nm,30-40%,800,W,1.3,良好,中等,一般,木材、塑料,低,中型,每年,较低,便捷,12000,中国材料科学研究院,https://www.materials.org.cn,,
红外激光器,1060 nm,35-45%,2500,W,1.5,优良,优秀,良好,金属、复合材料,中,大型,每两年,较高,较便捷,18000,四川大学激光技术研究中心,https://www.scu.edu.cn,,
多波长激光器,"488 nm, 532 nm, 1550 nm",20-30%,1000,W,1.6,良好,中等,优秀,塑料、金属,高,小型,每年,中等,便利,7000,中国激光器技术与应用期刊,https://www.journaloflasertechnology.com,,
