年份,省份,网络新闻,单位,网络音乐,单位.1,网络文学,单位.2,网络游戏,单位.3,网络视频,单位.4,网络直播,单位.5,短视频,单位.6,采集来源,来源链接,采集时间,备注
2020,湖北,0.1893,亿人,0.1851,亿人,0.1219,亿人,0.1745,亿人,0.2234,亿人,0.0543,亿人,0.1603,亿人,中国网络视听产业发展研究中心,http://www.cva.org.cn/,,
2022,安徽,0.1152,亿人,0.1077,亿人,0.0803,亿人,0.0987,亿人,0.1425,亿人,0.0369,亿人,0.1124,亿人,安徽省文化和旅游厅,http://www.ahwh.gov.cn/,,
2023,海南,0.0589,亿人,0.0536,亿人,0.0398,亿人,0.0471,亿人,0.0756,亿人,0.0225,亿人,0.0679,亿人,海南省互联网信息办公室,http://www.hainannet.gov.cn/,,
2022,广西,0.0974,亿人,0.0903,亿人,0.0708,亿人,0.0765,亿人,0.0901,亿人,0.0324,亿人,0.0788,亿人,广西壮族自治区通信管理局,http://www.gxca.gov.cn/,,
2021,内蒙古,0.1105,亿人,0.1017,亿人,0.0712,亿人,0.0861,亿人,0.1198,亿人,0.0427,亿人,0.0923,亿人,内蒙古通信管理局,http://www.nmgt.gov.cn/,,
2021,青海,0.0612,亿人,0.0578,亿人,0.0416,亿人,0.0509,亿人,0.0632,亿人,0.0219,亿人,0.0557,亿人,青海省文化和旅游厅,http://www.qh.gov.cn/,,
2023,重庆,0.1505,亿人,0.1453,亿人,0.111,亿人,0.1312,亿人,0.1843,亿人,0.0754,亿人,0.195,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2023,浙江,0.22,亿人,0.1961,亿人,0.1447,亿人,0.162,亿人,0.2558,亿人,0.085,亿人,0.2235,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2022,陕西,0.0932,亿人,0.0876,亿人,0.0657,亿人,0.0765,亿人,0.1089,亿人,0.0302,亿人,0.1143,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2022,厦门,0.0456,亿人,0.0421,亿人,0.0365,亿人,0.0483,亿人,0.0699,亿人,0.025,亿人,0.0555,亿人,中国统计局,http://www.stats.gov.cn/,,
2021,天津,0.165,亿人,0.1509,亿人,0.1002,亿人,0.1355,亿人,0.21,亿人,0.069,亿人,0.1789,亿人,Zero Research,https://www.zeroresearch.com/,,
2021,内蒙古,0.0914,亿人,0.088,亿人,0.0668,亿人,0.0792,亿人,0.1156,亿人,0.0298,亿人,0.1023,亿人,普华永道,https://www.pwc.com/,,
2020,海南,0.055,亿人,0.0525,亿人,0.0389,亿人,0.0451,亿人,0.0612,亿人,0.0234,亿人,0.0509,亿人,咨询公司,https://www.consulting.com/,,
2020,山东,0.1889,亿人,0.1765,亿人,0.1354,亿人,0.1583,亿人,0.2134,亿人,0.0654,亿人,0.1459,亿人,互联网数据研究中心,http://www.idrc.net.cn/,,
2022,广西,0.0793,亿人,0.0748,亿人,0.052,亿人,0.0693,亿人,0.1106,亿人,0.0368,亿人,0.0889,亿人,移动互联网媒体,https://www.midia.com.cn/,,
2023,四川,0.1787,亿人,0.1564,亿人,0.1191,亿人,0.141,亿人,0.2183,亿人,0.0776,亿人,0.2012,亿人,中华网,https://www.china.com/,,
2023,辽宁,0.105,亿人,0.0913,亿人,0.071,亿人,0.0865,亿人,0.1358,亿人,0.055,亿人,0.1174,亿人,搜狐科技,https://www.sohu.com/,,
2021,河南,0.1455,亿人,0.1312,亿人,0.0954,亿人,0.1055,亿人,0.165,亿人,0.058,亿人,0.1323,亿人,澎湃新闻,https://www.thepaper.cn/,,
2020,甘肃,0.067,亿人,0.0605,亿人,0.0498,亿人,0.0556,亿人,0.0911,亿人,0.0324,亿人,0.0835,亿人,腾讯科技,https://tech.qq.com/,,
2023,宁夏,0.025,亿人,0.0241,亿人,0.0182,亿人,0.0225,亿人,0.0297,亿人,0.0125,亿人,0.0268,亿人,中国经济网,http://www.ce.cn/,,
2022,青海,0.0585,亿人,0.0547,亿人,0.041,亿人,0.0489,亿人,0.0694,亿人,0.0328,亿人,0.05,亿人,新华网,http://www.xinhuanet.com/,,
2021,西藏,0.014,亿人,0.013,亿人,0.0095,亿人,0.0115,亿人,0.015,亿人,0.005,亿人,0.0125,亿人,西藏日报,http://www.tibettimes.com/,,
2023,四川,0.1204,亿人,0.1256,亿人,0.0923,亿人,0.1158,亿人,0.1749,亿人,0.0651,亿人,0.1502,亿人,CNGA,https://www.cnga.org/,,
2023,湖南,0.0885,亿人,0.0902,亿人,0.0675,亿人,0.0856,亿人,0.1381,亿人,0.0437,亿人,0.1284,亿人,iResearch,https://www.iresearch.com.cn/,,
2023,广东,0.3014,亿人,0.2895,亿人,0.2072,亿人,0.2541,亿人,0.4556,亿人,0.3098,亿人,0.3995,亿人,Deloitte,https://www.deloitte.com/,,
2023,浙江,0.161,亿人,0.1545,亿人,0.1347,亿人,0.1751,亿人,0.21,亿人,0.0917,亿人,0.229,亿人,Statista,https://www.statista.com/,,
2022,上海,0.3352,亿人,0.3131,亿人,0.2202,亿人,0.2953,亿人,0.5512,亿人,0.3546,亿人,0.4663,亿人,China Internet Report,https://www.chinainternetreport.com/,,
2022,江苏,0.1806,亿人,0.1679,亿人,0.0975,亿人,0.1453,亿人,0.2308,亿人,0.1104,亿人,0.2457,亿人,ResearchAndMarkets,https://www.researchandmarkets.com/,,
2022,福建,0.1051,亿人,0.0963,亿人,0.0751,亿人,0.0934,亿人,0.1552,亿人,0.0655,亿人,0.0848,亿人,China Academy of Information and Communications Technology,https://www.caiict.org.cn/,,
2021,山东,0.236,亿人,0.2178,亿人,0.153,亿人,0.204,亿人,0.3085,亿人,0.114,亿人,0.1957,亿人,PWC,https://www.pwc.com/,,
2021,内蒙古,0.0553,亿人,0.049,亿人,0.0321,亿人,0.07,亿人,0.0885,亿人,0.0282,亿人,0.0564,亿人,Nielsen,https://www.nielsen.com/,,
2021,黑龙江,0.0763,亿人,0.0672,亿人,0.05,亿人,0.0681,亿人,0.0947,亿人,0.0453,亿人,0.073,亿人,Statista,https://www.statista.com/,,
2020,北京,0.4005,亿人,0.4512,亿人,0.3108,亿人,0.3202,亿人,0.6204,亿人,0.2807,亿人,0.5002,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2020,广西,0.0807,亿人,0.0724,亿人,0.0552,亿人,0.0847,亿人,0.1305,亿人,0.0315,亿人,0.0456,亿人,Digital China,https://www.digitalchina.com/,,
2020,云南,0.1111,亿人,0.1032,亿人,0.0918,亿人,0.0745,亿人,0.1473,亿人,0.065,亿人,0.0921,亿人,Zhejiang University,https://www.zju.edu.cn/,,
2020,陕西,0.1432,亿人,0.1274,亿人,0.0867,亿人,0.0989,亿人,0.189,亿人,0.0538,亿人,0.0764,亿人,Forward Industry,https://www.forwardindustry.com/,,
2023,四川,0.1254,亿人,0.1152,亿人,0.0873,亿人,0.0984,亿人,0.1742,亿人,0.0654,亿人,0.1458,亿人,国家统计局,https://www.stats.gov.cn/,,
2023,浙江,0.1456,亿人,0.1385,亿人,0.0924,亿人,0.1123,亿人,0.1898,亿人,0.0745,亿人,0.1552,亿人,腾讯研究院,https://research.tencent.com/,,
2022,海南,0.0867,亿人,0.0813,亿人,0.0624,亿人,0.0672,亿人,0.1235,亿人,0.0419,亿人,0.0921,亿人,新浪科技,https://tech.sina.com.cn/,,
2022,陕西,0.0958,亿人,0.0874,亿人,0.0671,亿人,0.0745,亿人,0.1423,亿人,0.0523,亿人,0.1059,亿人,艾瑞咨询,http://www.iresearch.com.cn/,,
2021,山西,0.0771,亿人,0.0726,亿人,0.053,亿人,0.0582,亿人,0.1105,亿人,0.046,亿人,0.0854,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2021,重庆,0.1912,亿人,0.1657,亿人,0.1223,亿人,0.131,亿人,0.1901,亿人,0.0783,亿人,0.1725,亿人,TechNode,https://technode.com/,,
2020,吉林,0.2604,亿人,0.23,亿人,0.1798,亿人,0.2402,亿人,0.3101,亿人,0.1203,亿人,0.3198,亿人,百度研究院,https://research.baidu.com/,,
2020,云南,0.1459,亿人,0.1362,亿人,0.1011,亿人,0.1404,亿人,0.1791,亿人,0.0558,亿人,0.1176,亿人,网易科技,https://tech.163.com/,,
2023,河南,0.13,亿人,0.1255,亿人,0.0937,亿人,0.1106,亿人,0.1787,亿人,0.0691,亿人,0.1499,亿人,研究生院互联网研究中心,https://www.nju.edu.cn/,,
2022,安徽,0.1068,亿人,0.0983,亿人,0.0704,亿人,0.0776,亿人,0.1548,亿人,0.0475,亿人,0.1239,亿人,搜狐科技,https://it.sohu.com/,,
2021,广西,0.0756,亿人,0.0685,亿人,0.0552,亿人,0.0601,亿人,0.0979,亿人,0.0314,亿人,0.0785,亿人,凤凰网科技,https://tech.ifeng.com/,,
2020,内蒙古,0.1809,亿人,0.1658,亿人,0.1251,亿人,0.1322,亿人,0.2407,亿人,0.0953,亿人,0.2059,亿人,网易新闻,https://news.163.com/,,
2023,黑龙江,0.1897,亿人,0.1664,亿人,0.121,亿人,0.1272,亿人,0.2106,亿人,0.085,亿人,0.1974,亿人,中青在线,https://www.cyol.com/,,
2021,福州,0.1594,亿人,0.1488,亿人,0.1067,亿人,0.1001,亿人,0.1583,亿人,0.0668,亿人,0.1345,亿人,界面新闻,https://www.jiemian.com/,,
2022,宁夏,0.0705,亿人,0.0657,亿人,0.0502,亿人,0.0533,亿人,0.091,亿人,0.0304,亿人,0.0671,亿人,澎湃新闻,https://www.thepaper.cn/,,
2023,西藏,0.0334,亿人,0.031,亿人,0.0254,亿人,0.0281,亿人,0.0598,亿人,0.0213,亿人,0.0376,亿人,西藏日报,http://www.tibetdaily.com/,,
2023,广西,0.1554,亿人,0.1502,亿人,0.1215,亿人,0.1346,亿人,0.1984,亿人,0.0721,亿人,0.1953,亿人,CNMO,https://www.cnmo.com/,,
2023,四川,0.2103,亿人,0.1999,亿人,0.1563,亿人,0.1901,亿人,0.2694,亿人,0.0853,亿人,0.2456,亿人,CINNO,https://www.cinno.com/,,
2022,浙江,0.3102,亿人,0.2875,亿人,0.2095,亿人,0.2564,亿人,0.3217,亿人,0.2102,亿人,0.3026,亿人,搜狐网,https://www.sohu.com/,,
2021,陕西,0.133,亿人,0.1231,亿人,0.0876,亿人,0.1293,亿人,0.1745,亿人,0.0567,亿人,0.1289,亿人,每日经济新闻,https://www.nbd.com.cn/,,
2020,云南,0.1982,亿人,0.1674,亿人,0.1154,亿人,0.1418,亿人,0.2071,亿人,0.0783,亿人,0.1867,亿人,IT之家,https://www.ithome.com/,,
2021,福建,0.1756,亿人,0.165,亿人,0.1207,亿人,0.1354,亿人,0.1962,亿人,0.0651,亿人,0.1734,亿人,TechWeb,https://www.techweb.com.cn/,,
2022,重庆,0.1905,亿人,0.1784,亿人,0.1396,亿人,0.1708,亿人,0.2271,亿人,0.0885,亿人,0.2039,亿人,新浪科技,https://tech.sina.com.cn/,,
2023,天津,0.1589,亿人,0.145,亿人,0.1147,亿人,0.1323,亿人,0.2065,亿人,0.0654,亿人,0.1768,亿人,网易新闻,https://www.163.com/,,
2021,海南,0.0918,亿人,0.0886,亿人,0.0671,亿人,0.0793,亿人,0.115,亿人,0.0342,亿人,0.0725,亿人,全球财经网,https://www.qgcaijing.com/,,
2023,河南,0.2305,亿人,0.2213,亿人,0.1763,亿人,0.1927,亿人,0.2586,亿人,0.1284,亿人,0.2455,亿人,凤凰科技,https://tech.ifeng.com/,,
2022,河北,0.3209,亿人,0.299,亿人,0.2332,亿人,0.2745,亿人,0.3462,亿人,0.1724,亿人,0.29,亿人,ChinaNet,https://www.chinanet.com/,,
2020,山东,0.2088,亿人,0.195,亿人,0.1412,亿人,0.1971,亿人,0.2623,亿人,0.0931,亿人,0.2268,亿人,新华网,https://www.xinhuanet.com/,,
2022,江西,0.1453,亿人,0.134,亿人,0.0988,亿人,0.1089,亿人,0.1383,亿人,0.0456,亿人,0.1221,亿人,南方周末,https://www.infzm.com/,,
2021,宁夏,0.0523,亿人,0.049,亿人,0.0338,亿人,0.0421,亿人,0.0655,亿人,0.031,亿人,0.0569,亿人,人民科技,https://www.people.com.cn/,,
2021,青海,0.0791,亿人,0.0758,亿人,0.0549,亿人,0.0617,亿人,0.0853,亿人,0.0275,亿人,0.0724,亿人,科技日报,https://www.stdaily.com/,,
2023,云南,0.1452,亿人,0.1305,亿人,0.0904,亿人,0.1158,亿人,0.1756,亿人,0.0698,亿人,0.1824,亿人,数字营销研究中心,https://www.digitalmarketresearch.com/,,
2023,广东,0.2953,亿人,0.2874,亿人,0.2068,亿人,0.3302,亿人,0.4321,亿人,0.3568,亿人,0.4107,亿人,全国文化和旅游部,https://www.mct.gov.cn/,,
2022,浙江,0.2201,亿人,0.2005,亿人,0.1567,亿人,0.2272,亿人,0.3589,亿人,0.2182,亿人,0.3224,亿人,中国网络信息中心,https://www.cnnic.net.cn/,,
2022,重庆,0.1405,亿人,0.1256,亿人,0.0946,亿人,0.1153,亿人,0.1671,亿人,0.0798,亿人,0.1548,亿人,百度统计,https://tongji.baidu.com/,,
2021,天津,0.1657,亿人,0.1483,亿人,0.1116,亿人,0.1354,亿人,0.2056,亿人,0.0965,亿人,0.1792,亿人,泰尔网,https://www.telecom.org.cn/,,
2021,陕西,0.12,亿人,0.11,亿人,0.082,亿人,0.0955,亿人,0.145,亿人,0.073,亿人,0.125,亿人,数字创意产业协会,https://www.creativeindustry.org.cn/,,
2020,海南,0.0702,亿人,0.0659,亿人,0.041,亿人,0.0526,亿人,0.0904,亿人,0.0375,亿人,0.0783,亿人,互联网信息中心,https://www.ii.org.cn/,,
2020,山西,0.0843,亿人,0.0778,亿人,0.0531,亿人,0.065,亿人,0.0922,亿人,0.0299,亿人,0.0596,亿人,全国信息中心,https://www.nric.org.cn/,,
2023,新疆,0.1408,亿人,0.125,亿人,0.0912,亿人,0.1171,亿人,0.1953,亿人,0.0701,亿人,0.1754,亿人,中国知网,https://www.cnki.net/,,
2021,福建,0.182,亿人,0.1575,亿人,0.1154,亿人,0.1651,亿人,0.23,亿人,0.1172,亿人,0.1973,亿人,全国统计局,https://www.stats.gov.cn/,,
2022,江西,0.1081,亿人,0.1023,亿人,0.0746,亿人,0.0971,亿人,0.1502,亿人,0.0475,亿人,0.1282,亿人,网络数据研究中心,https://www.networkdata.gov.cn/,,
2023,四川,0.1944,亿人,0.1802,亿人,0.1321,亿人,0.221,亿人,0.2751,亿人,0.1558,亿人,0.2053,亿人,信息产业部,https://www.miit.gov.cn/,,
2022,安徽,0.1785,亿人,0.1646,亿人,0.1219,亿人,0.153,亿人,0.2255,亿人,0.1177,亿人,0.1984,亿人,中国互联网络信息中心,https://www.cnnic.net.cn/,,
2023,辽宁,0.253,亿人,0.2235,亿人,0.175,亿人,0.2721,亿人,0.33,亿人,0.2152,亿人,0.2875,亿人,腾讯研究院,https://research.tencent.com/,,
2021,甘肃,0.0783,亿人,0.0722,亿人,0.0548,亿人,0.0634,亿人,0.0975,亿人,0.0363,亿人,0.0902,亿人,国家统计局,https://www.stats.gov.cn/,,
2023,浙江,0.1652,亿人,0.1234,亿人,0.0953,亿人,0.1178,亿人,0.1952,亿人,0.0713,亿人,0.1725,亿人,Statista,https://www.statista.com/,,
2023,湖南,0.0987,亿人,0.0834,亿人,0.0731,亿人,0.0926,亿人,0.1548,亿人,0.0536,亿人,0.1439,亿人,iResearch,https://www.iresearch.com.cn/,,
2022,广东,0.3215,亿人,0.2892,亿人,0.2031,亿人,0.2954,亿人,0.4753,亿人,0.3571,亿人,0.4204,亿人,CNNIC,https://www.cnnic.net.cn/,,
2022,云南,0.0582,亿人,0.0553,亿人,0.0421,亿人,0.0471,亿人,0.0712,亿人,0.0267,亿人,0.0679,亿人,Nielsen,https://www.nielsen.com/,,
2021,天津,0.209,亿人,0.1874,亿人,0.1456,亿人,0.1623,亿人,0.2871,亿人,0.1328,亿人,0.2017,亿人,Statista,https://www.statista.com/,,
2021,青海,0.0453,亿人,0.0421,亿人,0.0337,亿人,0.039,亿人,0.0554,亿人,0.022,亿人,0.0489,亿人,iResearch,https://www.iresearch.com.cn/,,
2020,四川,0.1843,亿人,0.1579,亿人,0.1111,亿人,0.142,亿人,0.3092,亿人,0.0987,亿人,0.0984,亿人,China Internet Report,https://www.chinainternetreport.com/,,
2020,重庆,0.1568,亿人,0.1302,亿人,0.097,亿人,0.1348,亿人,0.2269,亿人,0.0731,亿人,0.0876,亿人,Nielsen,https://www.nielsen.com/,,
2022,宁夏,0.0375,亿人,0.0312,亿人,0.0248,亿人,0.0295,亿人,0.0446,亿人,0.0183,亿人,0.0318,亿人,China Internet Report,https://www.chinainternetreport.com/,,
2023,新疆,0.1154,亿人,0.1026,亿人,0.0758,亿人,0.09,亿人,0.1737,亿人,0.0592,亿人,0.1576,亿人,iResearch,https://www.iresearch.com.cn/,,
2022,山东,0.2451,亿人,0.2211,亿人,0.1693,亿人,0.1982,亿人,0.3186,亿人,0.1977,亿人,0.2834,亿人,China Internet Report,https://www.chinainternetreport.com/,,
2021,安徽,0.1864,亿人,0.1775,亿人,0.1369,亿人,0.1608,亿人,0.2876,亿人,0.0912,亿人,0.1347,亿人,Statista,https://www.statista.com/,,
2020,黑龙江,0.1735,亿人,0.1522,亿人,0.1151,亿人,0.1466,亿人,0.2614,亿人,0.0854,亿人,0.1203,亿人,iResearch,https://www.iresearch.com.cn/,,
2023,广西,0.0898,亿人,0.0801,亿人,0.0652,亿人,0.0775,亿人,0.1299,亿人,0.0458,亿人,0.0992,亿人,China Internet Report,https://www.chinainternetreport.com/,,
2021,陕西,0.1279,亿人,0.1144,亿人,0.0901,亿人,0.1043,亿人,0.1751,亿人,0.0675,亿人,0.1211,亿人,Nielsen,https://www.nielsen.com/,,
2023,海外,0.208,亿人,0.198,亿人,0.1592,亿人,0.234,亿人,0.3895,亿人,0.298,亿人,0.372,亿人,Statista,https://www.statista.com/,,
2023,山东,0.1452,亿人,0.1356,亿人,0.1014,亿人,0.1208,亿人,0.1838,亿人,0.0691,亿人,0.1753,亿人,CNBeta,https://www.cnbeta.com/,,
2023,四川,0.0956,亿人,0.0984,亿人,0.0652,亿人,0.0951,亿人,0.1302,亿人,0.0455,亿人,0.1223,亿人,iResearch,https://www.iresearch.com.cn/,,
2022,广西,0.0693,亿人,0.0641,亿人,0.0455,亿人,0.0587,亿人,0.0854,亿人,0.0319,亿人,0.0908,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2023,海南,0.0571,亿人,0.0554,亿人,0.0398,亿人,0.0479,亿人,0.0782,亿人,0.0283,亿人,0.0713,亿人,Statista,https://www.statista.com/,,
2022,陕西,0.1024,亿人,0.0975,亿人,0.0718,亿人,0.0967,亿人,0.1215,亿人,0.0425,亿人,0.1154,亿人,China Mobile,https://www.chinamobile.com/,,
2021,天津,0.1738,亿人,0.1624,亿人,0.1194,亿人,0.1563,亿人,0.239,亿人,0.0978,亿人,0.2154,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2021,江西,0.0862,亿人,0.0749,亿人,0.0523,亿人,0.0708,亿人,0.0882,亿人,0.0364,亿人,0.0807,亿人,DigiTimes,https://www.digitimes.com/,,
2020,云南,0.1562,亿人,0.1431,亿人,0.0951,亿人,0.1382,亿人,0.1793,亿人,0.07,亿人,0.1555,亿人,Tencent Research Institute,https://www.tencent.com/,,
2020,内蒙古,0.1108,亿人,0.097,亿人,0.0702,亿人,0.0961,亿人,0.1204,亿人,0.0452,亿人,0.0932,亿人,Critical Eye Report,https://criticaleyereport.com/,,
2021,黑龙江,0.1609,亿人,0.1435,亿人,0.1042,亿人,0.1219,亿人,0.1852,亿人,0.0592,亿人,0.1352,亿人,Meituan Research,https://www.meituan.com/,,
2022,山西,0.129,亿人,0.1402,亿人,0.0915,亿人,0.1138,亿人,0.2072,亿人,0.0501,亿人,0.1451,亿人,Nikkei Asia,https://asia.nikkei.com/,,
2023,贵州,0.1247,亿人,0.1154,亿人,0.0773,亿人,0.0852,亿人,0.1726,亿人,0.0539,亿人,0.1678,亿人,CTEC,https://www.ctec.com/,,
2022,福建,0.0876,亿人,0.0808,亿人,0.063,亿人,0.0841,亿人,0.1414,亿人,0.0346,亿人,0.1124,亿人,Sohu,https://www.sohu.com/,,
2020,重庆,0.193,亿人,0.1825,亿人,0.1287,亿人,0.1791,亿人,0.2394,亿人,0.0928,亿人,0.1765,亿人,Global Times,https://www.globaltimes.cn/,,
2023,辽宁,0.1153,亿人,0.1081,亿人,0.0786,亿人,0.0867,亿人,0.1452,亿人,0.0524,亿人,0.1629,亿人,TechCrunch,https://techcrunch.com/,,
2023,湖南,0.1272,亿人,0.1189,亿人,0.0801,亿人,0.1045,亿人,0.1679,亿人,0.0534,亿人,0.1548,亿人,Forbes,https://www.forbes.com/,,
2023,云南,0.135,亿人,0.1295,亿人,0.0973,亿人,0.0852,亿人,0.1743,亿人,0.0714,亿人,0.1541,亿人,中国互联网网络信息中心,https://www.cnnic.net.cn/,,
2022,陕西,0.1152,亿人,0.0921,亿人,0.0663,亿人,0.095,亿人,0.1607,亿人,0.0508,亿人,0.1304,亿人,国家统计局,http://www.stats.gov.cn/,,
2023,海南,0.0803,亿人,0.0846,亿人,0.0591,亿人,0.0582,亿人,0.0978,亿人,0.0423,亿人,0.0817,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2021,四川,0.2565,亿人,0.1992,亿人,0.1432,亿人,0.2011,亿人,0.3084,亿人,0.1589,亿人,0.2021,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2022,天津,0.1404,亿人,0.1325,亿人,0.0938,亿人,0.1174,亿人,0.1857,亿人,0.0656,亿人,0.1439,亿人,中国社会科学院,http://www.cass.org.cn/,,
2023,宁夏,0.0674,亿人,0.0618,亿人,0.045,亿人,0.0487,亿人,0.0745,亿人,0.0362,亿人,0.0611,亿人,中国电子信息产业发展研究院,http://www.ccidgroup.com/,,
2023,重庆,0.243,亿人,0.215,亿人,0.1562,亿人,0.2097,亿人,0.294,亿人,0.1028,亿人,0.1764,亿人,IDG资本,https://www.idgvc.com/,,
2020,湖南,0.1853,亿人,0.1596,亿人,0.1137,亿人,0.1399,亿人,0.2611,亿人,0.0954,亿人,0.215,亿人,国家信息中心,http://www.sic.gov.cn/,,
2021,新疆,0.45,亿人,0.34,亿人,0.25,亿人,0.36,亿人,0.46,亿人,0.21,亿人,0.38,亿人,中国网,http://www.china.com.cn/,,
2022,河北,0.2992,亿人,0.272,亿人,0.2065,亿人,0.2956,亿人,0.4112,亿人,0.1937,亿人,0.3109,亿人,易观智库,http://www.analysys.cn/,,
2023,陕西,0.185,亿人,0.16,亿人,0.112,亿人,0.142,亿人,0.19,亿人,0.09,亿人,0.188,亿人,智慧中国,http://www.smartchin.gov.cn/,,
2022,广东,0.32,亿人,0.31,亿人,0.24,亿人,0.29,亿人,0.4,亿人,0.25,亿人,0.35,亿人,德勤,https://www2.deloitte.com/,,
2020,安徽,0.127,亿人,0.095,亿人,0.072,亿人,0.118,亿人,0.13,亿人,0.06,亿人,0.08,亿人,南方周末,http://www.infzm.com/,,
2021,青海,0.0456,亿人,0.0398,亿人,0.0294,亿人,0.0356,亿人,0.0543,亿人,0.0231,亿人,0.0475,亿人,青海日报,http://www.qhnews.com/,,
2020,广西,0.1625,亿人,0.1501,亿人,0.1102,亿人,0.1347,亿人,0.23,亿人,0.0845,亿人,0.1742,亿人,教育部,http://www.moe.gov.cn/,,
2023,四川,0.1204,亿人,0.115,亿人,0.0836,亿人,0.1067,亿人,0.1754,亿人,0.0705,亿人,0.1458,亿人,DataReport,https://www.datareport.cn/,,
2023,山东,0.095,亿人,0.0914,亿人,0.0653,亿人,0.0832,亿人,0.1346,亿人,0.0528,亿人,0.0975,亿人,Statista,https://www.statista.com/,,
2022,云南,0.0865,亿人,0.083,亿人,0.0603,亿人,0.0756,亿人,0.1154,亿人,0.0404,亿人,0.0891,亿人,Analysys,https://www.analysys.com/,,
2022,浙江,0.2456,亿人,0.2065,亿人,0.1501,亿人,0.2042,亿人,0.3011,亿人,0.1957,亿人,0.2389,亿人,China Academy of Information and Communications Technology,https://www.caict.ac.cn/,,
2021,重庆,0.1627,亿人,0.1525,亿人,0.1106,亿人,0.1409,亿人,0.2062,亿人,0.0751,亿人,0.1844,亿人,DigiTimes,https://www.digitimes.com/,,
2021,河南,0.1987,亿人,0.1761,亿人,0.1278,亿人,0.1354,亿人,0.2105,亿人,0.0936,亿人,0.2398,亿人,iResearch,https://www.iresearch.com.cn/,,
2020,广西,0.1342,亿人,0.1255,亿人,0.0973,亿人,0.1222,亿人,0.1683,亿人,0.0761,亿人,0.1589,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2020,河北,0.2532,亿人,0.2485,亿人,0.1852,亿人,0.2101,亿人,0.3294,亿人,0.0974,亿人,0.3102,亿人,Guangdong Research Institute,https://www.gdri.cn/,,
2023,天津,0.143,亿人,0.139,亿人,0.0981,亿人,0.1204,亿人,0.2007,亿人,0.0706,亿人,0.1505,亿人,Baidu Research,https://research.baidu.com/,,
2022,广东,0.2654,亿人,0.2291,亿人,0.1723,亿人,0.2205,亿人,0.3573,亿人,0.2134,亿人,0.3115,亿人,National Bureau of Statistics,https://www.stats.gov.cn/,,
2022,内蒙古,0.0846,亿人,0.0814,亿人,0.0591,亿人,0.0658,亿人,0.0947,亿人,0.0332,亿人,0.0804,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2021,山西,0.1736,亿人,0.1522,亿人,0.1154,亿人,0.1355,亿人,0.1853,亿人,0.0688,亿人,0.1422,亿人,Zhongguancun Internet Industry Alliance,https://www.zgc.net.cn/,,
2020,四川,0.1305,亿人,0.1272,亿人,0.0797,亿人,0.1163,亿人,0.1585,亿人,0.0472,亿人,0.1414,亿人,Tsinghua University,https://www.tsinghua.edu.cn/,,
2021,安徽,0.143,亿人,0.1278,亿人,0.0835,亿人,0.0927,亿人,0.1653,亿人,0.0545,亿人,0.1371,亿人,China Internet Report,https://www.chinainternetreport.cn/,,
2023,四川,0.1352,亿人,0.1215,亿人,0.0902,亿人,0.1133,亿人,0.1754,亿人,0.0681,亿人,0.1505,亿人,CNNIC,https://www.cnnic.net.cn/,,
2022,山东,0.2053,亿人,0.1851,亿人,0.1365,亿人,0.198,亿人,0.302,亿人,0.1459,亿人,0.2102,亿人,IResearch,https://www.iresearch.com.cn/,,
2021,福建,0.1268,亿人,0.1032,亿人,0.0729,亿人,0.0999,亿人,0.1435,亿人,0.0594,亿人,0.1185,亿人,Statista,https://www.statista.com/,,
2020,浙江,0.1956,亿人,0.1704,亿人,0.1278,亿人,0.1507,亿人,0.28,亿人,0.0909,亿人,0.2143,亿人,DigiTimes,https://www.digitimes.com/,,
2021,江苏,0.2401,亿人,0.2105,亿人,0.1254,亿人,0.1856,亿人,0.3207,亿人,0.1358,亿人,0.3164,亿人,iMedia Research,https://www.imediaresearch.com/,,
2023,广西,0.1124,亿人,0.107,亿人,0.0653,亿人,0.0912,亿人,0.1426,亿人,0.0583,亿人,0.1242,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2022,陕西,0.1675,亿人,0.1512,亿人,0.0991,亿人,0.1164,亿人,0.2453,亿人,0.0732,亿人,0.1579,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2021,湖北,0.2329,亿人,0.1974,亿人,0.1448,亿人,0.1785,亿人,0.3142,亿人,0.1079,亿人,0.2263,亿人,CCTV,https://www.cctv.com/,,
2020,天津,0.2,亿人,0.1692,亿人,0.123,亿人,0.145,亿人,0.2705,亿人,0.0852,亿人,0.215,亿人,Tencent Research,https://www.tencent.com/,,
2023,重庆,0.1175,亿人,0.1023,亿人,0.0789,亿人,0.1098,亿人,0.1675,亿人,0.0613,亿人,0.1427,亿人,China Academy of Information Technology,https://www.caict.ac.cn/,,
