年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注
2021-04,爱奇艺,30.0,亿次,37.0,小时,20.0,部,14.0,部,骨朵数据,https://www.36kr.com,,
2020-12,优酷,10.0,亿次,26.4,小时,9.0,部,6.0,部,新流媒体观察,https://www.lmtm.com,,
2020-05,芒果TV,14.0,亿次,32.2,小时,10.0,部,4.0,部,CSDN,https://www.csdn.net/,,
2019-09,腾讯视频,76.0,亿次,39.0,小时,53.0,部,40.0,部,中国网络视听,https://www.cntv.com/,,
2019-03,爱奇艺,57.0,亿次,44.0,小时,49.0,部,34.0,部,腾讯科技,https://tech.qq.com/,,
2023-11,爱奇艺,90.0,亿次,52.0,小时,40.0,部,25.0,部,企业传媒,https://www.qynews.com,,
2023-09,腾讯视频,70.0,亿次,60.5,小时,25.0,部,15.0,部,新周刊,https://www.newweekly.com,,
2023-10,优酷,68.0,亿次,58.0,小时,35.0,部,20.0,部,数字媒体研究院,https://www.digitalmedia.cn,,
2022-12,芒果TV,45.0,亿次,36.5,小时,20.0,部,10.0,部,传媒研究中心,https://www.mediaresearch.cn,,
2023-01,Bilibili,32.0,亿次,50.0,小时,15.0,部,5.0,部,视频行业观察,https://www.vidoindustry.cn,,
2022-08,爱奇艺,85.0,亿次,48.75,小时,37.0,部,22.0,部,互联网影视观察,https://www.ifilmwatch.com,,
2022-02,优酷,36.0,亿次,59.0,小时,30.0,部,12.0,部,数字传媒观察,https://www.digitalmediaobserver.cn,,
2021-12,芒果TV,50.0,亿次,45.0,小时,22.0,部,17.0,部,影音研究院,https://www.audiovisualresearch.cn,,
2020-11,Bilibili,28.0,亿次,40.0,小时,18.0,部,8.0,部,网络视频分析,https://www.networkvideoanalysis.cn,,
2021-10,腾讯视频,92.0,亿次,50.0,小时,50.0,部,35.0,部,全球传媒研究,https://www.globalmediaresearch.cn,,
2020-02,爱奇艺,38.0,亿次,63.0,小时,29.0,部,12.0,部,新媒体趋势研究,https://www.newmediatendency.cn,,
2023-03,优酷,77.0,亿次,58.0,小时,42.0,部,25.0,部,视频观看分析,https://www.videoviewanalysis.cn,,
2021-05,Bilibili,60.0,亿次,47.0,小时,36.0,部,28.0,部,文化产业观察,https://www.culturalindustrywatch.cn,,
2023-07,芒果TV,72.0,亿次,54.0,小时,39.0,部,18.0,部,中国视听报告,https://www.chinanews.cn,,
2021-06,爱奇艺,34.0,亿次,49.5,小时,20.0,部,10.0,部,数字文化研究,https://www.digitalculture.cn,,
2023-02,优酷,42.0,亿次,47.5,小时,31.0,部,14.0,部,移动媒体观察,https://www.mobilemedia.cn,,
2023-09,爱奇艺,75.0,亿次,50.5,小时,30.0,部,25.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-11,优酷,90.0,亿次,59.5,小时,40.0,部,18.0,部,视频研究中心,https://www.videoresearch.com,,
2023-07,腾讯视频,70.0,亿次,48.2,小时,37.0,部,30.0,部,爱奇艺数据分析,https://www.iqiyi.com/,,
2023-10,Bilibili,85.0,亿次,53.3,小时,20.0,部,12.0,部,新京报,https://www.bjnews.com.cn,,
2023-02,芒果TV,40.0,亿次,36.0,小时,15.0,部,8.0,部,影视数据报告,https://www.movie-data.com/,,
2022-12,优酷,65.0,亿次,47.8,小时,30.0,部,22.0,部,视频研究中心,https://www.videoresearch.com,,
2022-09,爱奇艺,77.0,亿次,41.4,小时,33.0,部,20.0,部,腾讯新闻,https://news.qq.com/,,
2022-01,Bilibili,45.0,亿次,39.9,小时,16.0,部,4.0,部,骨朵数据,https://www.36kr.com,,
2021-12,芒果TV,35.0,亿次,44.0,小时,12.0,部,7.0,部,南方周末,https://www.infzm.com/,,
2019-11,优酷,60.0,亿次,33.0,小时,20.0,部,10.0,部,经济日报,https://www.ce.cn/,,
2021-09,腾讯视频,50.0,亿次,46.8,小时,55.0,部,30.0,部,新流媒体观察,https://www.lmtm.com,,
2020-12,爱奇艺,82.0,亿次,53.2,小时,49.0,部,32.0,部,今日头条,https://www.toutiao.com/,,
2020-05,Bilibili,29.0,亿次,39.0,小时,22.0,部,10.0,部,百度新闻,https://news.baidu.com/,,
2019-12,芒果TV,24.0,亿次,31.3,小时,15.0,部,5.0,部,每日报告,https://www.dailyreport.com/,,
2020-03,优酷,38.0,亿次,48.0,小时,28.0,部,14.0,部,中国网络视听,https://www.cntv.com,,
2019-01,腾讯视频,90.0,亿次,55.7,小时,40.0,部,30.0,部,新浪网,https://www.sina.com.cn/,,
2019-07,爱奇艺,70.0,亿次,47.5,小时,22.0,部,19.0,部,媒体动态,https://www.mediahub.com/,,
2023-11,爱奇艺,90.0,亿次,60.5,小时,20.0,部,15.0,部,视频网站研究中心,https://www.videocenter.com,,
2023-10,腾讯视频,70.5,亿次,45.3,小时,38.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2023-09,芒果TV,60.0,亿次,52.1,小时,30.0,部,18.0,部,长江日报,https://www.cjdby.net,,
2023-07,优酷,85.0,亿次,67.0,小时,50.0,部,22.0,部,卡斯特数据,https://www.castdata.com,,
2023-06,Bilibili,65.0,亿次,55.0,小时,25.0,部,10.0,部,腾讯数据研究院,https://www.tencent.com,,
2022-12,爱奇艺,72.0,亿次,48.0,小时,27.0,部,12.0,部,新京报,https://www.bjnews.com.cn,,
2022-09,腾讯视频,84.0,亿次,46.5,小时,44.0,部,30.0,部,第一财经,https://www.yicai.com,,
2022-07,芒果TV,50.0,亿次,49.2,小时,33.0,部,10.0,部,商业观察,https://www.businessobserver.com,,
2022-05,Bilibili,40.0,亿次,55.5,小时,20.0,部,5.0,部,外媒调查中心,https://www.foreignmedia.com,,
2022-02,优酷,55.0,亿次,63.0,小时,32.0,部,20.0,部,凤凰网,https://www.ifeng.com,,
2021-12,腾讯视频,48.0,亿次,40.1,小时,22.0,部,15.0,部,搜狐网站,https://www.sohu.com,,
2021-07,爱奇艺,29.0,亿次,57.0,小时,19.0,部,9.0,部,网络视频分析,https://www.webvideoanalysis.com,,
2021-04,云视听,77.0,亿次,45.5,小时,36.0,部,24.0,部,信息时报,https://www.xxsb.com,,
2021-01,Bilibili,33.0,亿次,54.0,小时,14.0,部,7.0,部,全球网络报告,https://www.globalreport.com,,
2020-12,优酷,39.0,亿次,36.0,小时,15.0,部,8.0,部,新媒体时代,https://www.newmediatimes.com,,
2020-07,腾讯视频,66.0,亿次,50.0,小时,30.0,部,16.0,部,中国新闻网络,https://www.cnn.com,,
2020-04,Bilibili,80.0,亿次,42.0,小时,20.0,部,18.0,部,全国视频统计局,https://www.videostats.gov.cn,,
2019-12,爱奇艺,64.0,亿次,58.0,小时,23.0,部,12.0,部,崇尚数据研究,https://www.chongshangdata.com,,
2023-11,腾讯视频,70.0,亿次,60.2,小时,25.0,部,18.0,部,新世代媒体,https://www.newgenerationmedia.com,,
2023-10,爱奇艺,95.0,亿次,50.5,小时,40.0,部,30.0,部,全球影视研究,https://www.globalmediaresearch.com,,
2023-09,优酷,85.0,亿次,45.0,小时,38.0,部,24.0,部,中国传媒大学,https://www.cuc.edu.cn,,
2023-08,Bilibili,40.0,亿次,52.5,小时,20.0,部,15.0,部,乐动数据,https://www.youdongdata.com,,
2023-07,芒果TV,60.0,亿次,48.0,小时,35.0,部,28.0,部,影视先锋,https://www.filmleader.com,,
2023-06,腾讯视频,72.0,亿次,41.7,小时,45.0,部,15.0,部,网播情报,https://www.webbroadcastinfo.com,,
2022-12,爱奇艺,90.0,亿次,55.0,小时,45.0,部,22.0,部,市场洞察网,https://www.marketinsights.cn,,
2022-09,Bilibili,37.5,亿次,42.2,小时,30.0,部,24.0,部,播放器指数,https://www.playerindex.com,,
2022-06,优酷,52.0,亿次,40.0,小时,25.0,部,20.0,部,前沿数据,https://www.frontierdata.com,,
2021-12,芒果TV,20.0,亿次,30.0,小时,5.0,部,3.0,部,今日影视,https://www.todaysfilm.cn,,
2021-07,爱奇艺,35.0,亿次,35.5,小时,20.0,部,10.0,部,数据显示网,https://www.dataseeing.com,,
2021-03,Bilibili,30.0,亿次,33.0,小时,15.0,部,6.0,部,视听周刊,https://www.audiovisualweekly.com,,
2020-11,优酷,50.0,亿次,36.0,小时,26.0,部,15.0,部,大橙数据,https://www.orangedata.com,,
2020-08,腾讯视频,60.0,亿次,55.0,小时,40.0,部,20.0,部,在线影视数据库,https://www.onthemovies.com,,
2020-05,爱奇艺,75.0,亿次,54.0,小时,45.0,部,30.0,部,影视数据先锋,https://www.filmdataleader.com,,
2023-11,爱奇艺,70.0,亿次,52.0,小时,38.0,部,25.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-10,腾讯视频,90.0,亿次,48.0,小时,55.0,部,45.0,部,视频研究中心,https://www.videoresearch.com,,
2023-07,优酷,65.0,亿次,49.5,小时,30.0,部,15.0,部,新流媒体观察,https://www.lmtm.com,,
2023-09,芒果TV,40.0,亿次,40.0,小时,25.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2022-12,Bilibili,33.0,亿次,54.0,小时,36.0,部,28.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-05,爱奇艺,75.0,亿次,47.5,小时,60.0,部,35.0,部,中国网络视听,https://www.cntv.com,,
2022-01,优酷,58.0,亿次,61.0,小时,38.0,部,30.0,部,诚传媒,https://www.chengmedia.com/,,
2021-10,Bilibili,20.0,亿次,35.5,小时,15.0,部,10.0,部,今日头条,https://www.toutiao.com,,
2021-08,腾讯视频,45.0,亿次,41.0,小时,29.0,部,25.0,部,视频研究中心,https://www.videoresearch.com,,
2021-06,芒果TV,32.0,亿次,39.0,小时,18.0,部,14.0,部,骨朵数据,https://www.36kr.com,,
2020-12,优酷,25.0,亿次,31.0,小时,22.0,部,18.0,部,新流媒体观察,https://www.lmtm.com,,
2020-08,腾讯视频,56.0,亿次,64.0,小时,42.0,部,35.0,部,中国网络视听,https://www.cntv.com,,
2020-04,爱奇艺,90.0,亿次,60.0,小时,50.0,部,48.0,部,网络视频观察,https://www.networkvideo.cn/,,
2019-11,芒果TV,22.0,亿次,34.0,小时,20.0,部,12.0,部,经济日报,https://www.ce.cn/,,
2019-07,Bilibili,54.0,亿次,53.0,小时,36.0,部,22.0,部,诚传媒,https://www.chengmedia.com/,,
2019-01,优酷,40.0,亿次,55.0,小时,30.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2023-11,爱奇艺,90.0,亿次,60.0,小时,55.0,部,30.0,部,新媒体研究所,https://www.nmr.com,,
2023-07,腾讯视频,75.0,亿次,52.5,小时,40.0,部,25.0,部,央视网,https://www.cctv.com,,
2023-02,优酷,68.0,亿次,48.5,小时,39.0,部,22.0,部,数据视点,https://www.dataview.com,,
2022-10,Bilibili,40.0,亿次,57.25,小时,30.0,部,20.0,部,文化观察,https://www.wenhuaobservation.com,,
2021-12,芒果TV,35.0,亿次,45.0,小时,15.0,部,8.0,部,数字策略,https://www.digitstrategy.com,,
2021-08,爱奇艺,82.0,亿次,61.5,小时,62.0,部,45.0,部,媒体节奏,https://www.mediatempo.com,,
2020-09,腾讯视频,50.0,亿次,38.3,小时,25.0,部,12.0,部,网络视频观察,https://www.networkvideo.cn/,,
2020-02,优酷,29.0,亿次,42.0,小时,20.0,部,10.0,部,新流媒体观察,https://www.lmtm.com,,
2019-12,Bilibili,45.0,亿次,51.0,小时,36.0,部,25.0,部,骨朵数据,https://www.36kr.com,,
2019-10,芒果TV,60.0,亿次,55.5,小时,30.0,部,20.0,部,经济日报,https://www.ce.cn,,
2021-01,爱奇艺,73.0,亿次,58.0,小时,59.0,部,38.0,部,数据观察,https://www.data-observe.com,,
2022-05,腾讯视频,88.0,亿次,70.25,小时,50.0,部,23.0,部,数字时代,https://www.digitalage.cn,,
2023-03,优酷,94.0,亿次,66.0,小时,48.0,部,35.0,部,新媒体观察,https://www.newmediaobservation.com,,
2020-03,芒果TV,22.0,亿次,30.5,小时,18.0,部,9.0,部,今日头条,https://www.toutiao.com,,
2023-11,优酷,90.0,亿次,49.5,小时,38.0,部,18.0,部,中国互联网发展报告,https://www.cnnic.net.cn,,
2023-10,爱奇艺,70.0,亿次,54.0,小时,27.0,部,20.0,部,中国网络视听,https://www.cntv.com,,
2023-09,腾讯视频,95.0,亿次,59.8,小时,50.0,部,30.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-06,Bilibili,37.0,亿次,45.0,小时,25.0,部,15.0,部,视频研究中心,https://www.videoresearch.com,,
2023-01,芒果TV,45.0,亿次,61.3,小时,20.0,部,10.0,部,新流媒体观察,https://www.lmtm.com/,,
2022-12,爱奇艺,76.0,亿次,57.0,小时,30.0,部,12.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-10,腾讯视频,88.0,亿次,63.0,小时,40.0,部,25.0,部,诚传媒,https://www.chengmedia.com/,,
2022-05,Bilibili,50.0,亿次,46.5,小时,28.0,部,22.0,部,骨朵数据,https://www.36kr.com/,,
2021-09,优酷,33.0,亿次,37.5,小时,19.0,部,8.0,部,经济日报,https://www.ce.cn/,,
2021-07,爱奇艺,58.0,亿次,50.7,小时,23.0,部,17.0,部,中国网络视听,https://www.cntv.com/,,
2021-04,腾讯视频,75.0,亿次,65.0,小时,40.0,部,35.0,部,艾媒咨询,https://www.iimedia.cn/,,
2020-12,芒果TV,29.0,亿次,39.2,小时,15.0,部,7.0,部,新流媒体观察,https://www.lmtm.com/,,
2020-08,优酷,45.0,亿次,52.3,小时,33.0,部,20.0,部,视频研究中心,https://www.videoresearch.com/,,
2020-03,腾讯视频,44.0,亿次,48.5,小时,18.0,部,14.0,部,经济日报,https://www.ce.cn/,,
2019-11,爱奇艺,60.0,亿次,55.0,小时,35.0,部,22.0,部,网络视频观察,https://www.networkvideo.cn/,,
2019-10,芒果TV,27.0,亿次,31.2,小时,20.0,部,9.0,部,中国网络视听,https://www.cntv.com/,,
2019-05,Bilibili,35.0,亿次,40.0,小时,17.0,部,5.0,部,新流媒体观察,https://www.lmtm.com/,,
2023-11,优酷,90.0,亿次,52.5,小时,55.0,部,30.0,部,中国网络视听,https://www.cntv.com,,
2023-07,腾讯视频,88.0,亿次,60.2,小时,60.0,部,35.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-01,爱奇艺,75.0,亿次,47.0,小时,48.0,部,20.0,部,中国传媒大学,https://www.cuc.edu.cn/,,
2022-10,Bilibili,40.5,亿次,54.3,小时,20.0,部,10.0,部,视频研究中心,https://www.videoresearch.com,,
2022-06,芒果TV,60.0,亿次,36.0,小时,25.0,部,15.0,部,骨朵数据,https://www.36kr.com,,
2022-01,优酷,95.0,亿次,70.0,小时,40.0,部,25.0,部,诚传媒,https://www.chengmedia.com/,,
2021-12,爱奇艺,65.0,亿次,40.5,小时,50.0,部,33.0,部,新流媒体观察,https://www.lmtm.com,,
2021-09,腾讯视频,85.0,亿次,62.0,小时,45.0,部,22.0,部,网络视频观察,https://www.networkvideo.cn/,,
2021-05,芒果TV,38.0,亿次,31.0,小时,18.0,部,11.0,部,经济日报,https://www.ce.cn/,,
2020-12,Bilibili,45.0,亿次,68.0,小时,30.0,部,12.0,部,中国记录片研究中心,https://www.china-docs.com/,,
2020-09,优酷,22.0,亿次,39.2,小时,27.0,部,10.0,部,网络趋势,https://www.nettrend.com/,,
2020-04,爱奇艺,34.0,亿次,48.0,小时,24.0,部,18.0,部,视频产业研究,https://www.videoresearchindustry.com/,,
2019-11,腾讯视频,90.0,亿次,50.0,小时,36.0,部,20.0,部,新媒体研究院,https://www.newmedia.com,,
2019-07,芒果TV,25.0,亿次,41.2,小时,15.0,部,5.0,部,中国网,https://www.china.com/,,
2019-02,优酷,60.0,亿次,58.0,小时,35.0,部,14.0,部,北京日报,https://www.bjd.com.cn/,,
2023-11,爱奇艺,90.0,亿次,60.0,小时,25.0,部,15.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-10,芒果TV,40.0,亿次,55.5,小时,30.0,部,22.0,部,视频研究中心,https://www.videoresearch.com,,
2023-09,优酷,70.0,亿次,45.0,小时,38.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2023-07,腾讯视频,85.0,亿次,48.5,小时,50.0,部,30.0,部,艾媒咨询,https://www.iimedia.cn/,,
2022-12,Bilibili,55.0,亿次,60.0,小时,20.0,部,10.0,部,骨朵数据,https://www.36kr.com,,
2022-10,爱奇艺,45.0,亿次,42.0,小时,35.0,部,20.0,部,诚传媒,https://www.chengmedia.com/,,
2022-09,优酷,60.0,亿次,55.0,小时,42.0,部,25.0,部,中国网络视听,https://www.cntv.com,,
2022-05,腾讯视频,75.0,亿次,60.0,小时,50.0,部,30.0,部,经济日报,https://www.ce.cn/,,
2021-12,Bilibili,35.0,亿次,40.0,小时,25.0,部,10.0,部,今日头条,https://www.toutiao.com,,
2021-09,爱奇艺,50.0,亿次,49.0,小时,32.0,部,15.0,部,骨朵数据,https://www.36kr.com,,
2021-05,芒果TV,28.0,亿次,39.0,小时,12.0,部,8.0,部,新流媒体观察,https://www.lmtm.com,,
2020-12,优酷,52.0,亿次,47.5,小时,40.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2020-08,腾讯视频,45.0,亿次,38.0,小时,24.0,部,15.0,部,艾媒咨询,https://www.iimedia.cn/,,
2020-04,爱奇艺,60.0,亿次,55.0,小时,45.0,部,20.0,部,经济日报,https://www.ce.cn/,,
2019-12,腾讯视频,83.0,亿次,70.0,小时,37.0,部,25.0,部,诚传媒,https://www.chengmedia.com/,,
2019-09,Bilibili,46.0,亿次,44.0,小时,20.0,部,12.0,部,新流媒体观察,https://www.lmtm.com,,
2019-03,优酷,73.0,亿次,63.0,小时,50.0,部,35.0,部,骨朵数据,https://www.36kr.com,,
2023-11,爱奇艺,75.5,亿次,48.2,小时,36.0,部,20.0,部,网上视频统计,https://www.videostats.com,,
2023-10,Bilibili,40.0,亿次,52.5,小时,20.0,部,15.0,部,数据中心,https://www.datacenter.com,,
2023-09,腾讯视频,65.0,亿次,57.1,小时,38.0,部,30.0,部,行业报告,https://www.industryreport.cn,,
2023-07,优酷,90.0,亿次,59.0,小时,50.0,部,25.0,部,媒体分析公司,https://www.mediaanalysis.com,,
2023-06,芒果TV,35.5,亿次,49.0,小时,22.0,部,12.0,部,娱乐市场调研,https://www.entmarketresearch.com,,
2022-12,爱奇艺,88.0,亿次,63.0,小时,60.0,部,50.0,部,行业观察,https://www.industrywatch.com,,
2022-09,优酷,60.0,亿次,54.5,小时,40.0,部,30.0,部,数字传媒,https://www.digitalmedia.cn,,
2022-05,腾讯视频,76.0,亿次,61.0,小时,50.0,部,45.0,部,视频分析平台,https://www.videoanalysis.com,,
2022-04,芒果TV,32.0,亿次,30.0,小时,20.0,部,10.0,部,新媒体观察,https://www.newmediawatch.com,,
2021-12,Bilibili,28.0,亿次,36.0,小时,15.0,部,9.0,部,2021网络统计,https://www.2021stats.com,,
2021-09,爱奇艺,45.0,亿次,48.0,小时,28.0,部,20.0,部,影视分析平台,https://www.filmanalysis.com,,
2021-06,优酷,52.0,亿次,30.5,小时,25.0,部,18.0,部,数字视频研究,https://www.digitalvideoresearch.com,,
2021-03,腾讯视频,67.0,亿次,53.2,小时,39.0,部,30.0,部,影视报告,https://www.filmreport.com,,
2020-12,芒果TV,30.0,亿次,33.0,小时,12.0,部,8.0,部,在线视频研究,https://www.onlinevideoresearch.com,,
2020-08,Bilibili,22.0,亿次,45.5,小时,10.0,部,5.0,部,新媒体资讯,https://www.newmediainfo.com,,
2020-05,优酷,35.0,亿次,50.0,小时,18.0,部,12.0,部,视频市场分析,https://www.videomarketanalysis.com,,
2020-02,腾讯视频,73.0,亿次,62.0,小时,45.0,部,28.0,部,网络流媒体统计,https://www.onlinestreamingstats.com,,
2024-01,腾讯视频,70.0,亿次,60.0,小时,40.0,部,30.0,部,视频之道,https://www.videodao.com,,
2023-10,优酷,90.0,亿次,48.5,小时,60.0,部,25.0,部,侯仁之研究所,https://www.houjinzhihui.com,,
2023-09,爱奇艺,85.0,亿次,55.0,小时,38.0,部,20.0,部,新世纪娱乐,https://www.newcenturyentertainment.com,,
2023-06,Bilibili,50.0,亿次,52.5,小时,25.0,部,20.0,部,数据洞察,https://www.datainsight.com,,
2023-04,芒果TV,40.0,亿次,45.15,小时,20.0,部,15.0,部,视频推荐网,https://www.videorecommend.com,,
2022-12,优酷,65.0,亿次,53.4,小时,30.0,部,10.0,部,华夏影视,https://www.huaxiayingshi.com,,
2022-08,腾讯视频,60.0,亿次,50.0,小时,37.0,部,22.0,部,梅西视频网,https://www.meixivideo.com,,
2022-07,爱奇艺,45.0,亿次,41.5,小时,34.0,部,25.0,部,全球影视数据,https://www.globalmedia.com,,
2022-05,Bilibili,28.0,亿次,34.0,小时,22.0,部,19.0,部,网络影视观察,https://www.networkwatch.com,,
2021-10,芒果TV,35.0,亿次,39.8,小时,18.0,部,12.0,部,视频市场洞察,https://www.videomarketinsight.com,,
2021-04,优酷,20.0,亿次,33.5,小时,10.0,部,7.0,部,中青网,https://www.zq.com,,
2020-12,腾讯视频,72.0,亿次,44.6,小时,47.0,部,30.0,部,讯飞数据,https://www.xfdata.com,,
2020-08,Bilibili,25.0,亿次,30.2,小时,15.0,部,10.0,部,经纬网,https://www.jingweidata.com,,
2020-03,爱奇艺,78.0,亿次,48.0,小时,52.0,部,33.0,部,南方周末,https://www.infzm.com,,
2019-12,芒果TV,22.0,亿次,36.5,小时,11.0,部,8.0,部,时代周报,https://www.timeweekly.com,,
2019-05,优酷,18.0,亿次,42.0,小时,16.0,部,9.0,部,文化产业观察,https://www.culturalindustry.com,,
2023-11,爱奇艺,90.0,亿次,58.0,小时,60.0,部,25.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,腾讯视频,75.0,亿次,52.3,小时,40.0,部,20.0,部,新流媒体观察,https://www.lmtm.com,,
2023-04,优酷,95.0,亿次,61.0,小时,55.0,部,30.0,部,视频研究中心,https://www.videoresearch.com,,
2022-12,爱奇艺,78.0,亿次,49.5,小时,48.0,部,22.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-05,Bilibili,60.0,亿次,54.75,小时,45.0,部,30.0,部,诚传媒,https://www.chengmedia.com/,,
2022-01,芒果TV,30.0,亿次,35.0,小时,12.0,部,7.0,部,骨朵数据,https://www.36kr.com,,
2021-10,腾讯视频,45.0,亿次,42.0,小时,33.0,部,18.0,部,今日头条,https://www.toutiao.com,,
2021-06,Bilibili,16.0,亿次,47.33,小时,20.0,部,14.0,部,时代周报,https://www.timeweekly.com,,
2020-12,优酷,58.0,亿次,37.0,小时,21.0,部,10.0,部,经济日报,https://www.ce.cn/,,
2020-07,爱奇艺,34.0,亿次,40.3,小时,15.0,部,5.0,部,新流媒体观察,https://www.lmtm.com,,
2020-02,腾讯视频,70.0,亿次,50.0,小时,56.0,部,40.0,部,中国网络视听,https://www.cntv.com,,
2019-11,Bilibili,25.0,亿次,20.0,小时,18.0,部,12.0,部,网络视频观察,https://www.networkvideo.cn/,,
2019-07,优酷,90.0,亿次,45.5,小时,55.0,部,30.0,部,骨朵数据,https://www.36kr.com,,
2019-03,芒果TV,22.0,亿次,25.2,小时,20.0,部,17.0,部,诚传媒,https://www.chengmedia.com/,,
2018-12,腾讯视频,66.0,亿次,58.0,小时,62.0,部,21.0,部,视频研究中心,https://www.videoresearch.com,,
2018-06,爱奇艺,85.0,亿次,46.8,小时,40.0,部,33.0,部,时代周报,https://www.timeweekly.com,,
2023-11,爱奇艺,65.0,亿次,59.5,小时,30.0,部,25.0,部,网络剧机构,https://www.webdrama.org,,
2023-09,腾讯视频,90.0,亿次,47.0,小时,52.0,部,30.0,部,国家视听大数据中心,https://www.natvdata.cn,,
2023-07,优酷,75.0,亿次,55.2,小时,40.0,部,12.0,部,影视总局,https://www.film.gov.cn,,
2023-04,芒果TV,40.0,亿次,38.0,小时,18.0,部,10.0,部,时代电子,https://www.tdmedia.com,,
2023-01,Bilibili,35.0,亿次,46.5,小时,22.0,部,20.0,部,新媒体观察,https://www.nmwatch.com,,
2022-12,优酷,85.0,亿次,48.0,小时,55.0,部,25.0,部,网络视听调查,https://www.wmediaanalysis.com,,
2022-10,腾讯视频,72.0,亿次,50.0,小时,38.0,部,20.0,部,大数据影视,https://www.bigdatafilm.com,,
2022-08,爱奇艺,95.0,亿次,62.3,小时,55.0,部,45.0,部,中讯网,https://www.chinalink.com,,
2022-06,芒果TV,28.0,亿次,39.5,小时,15.0,部,7.0,部,华策影视,https://www.huace.com,,
2022-03,Bilibili,62.0,亿次,45.0,小时,33.0,部,21.0,部,媒体发展分析,https://www.mediaanalysis.com,,
2021-12,优酷,48.0,亿次,44.0,小时,20.0,部,12.0,部,智库视讯,https://www.thinktankvideo.com,,
2021-09,腾讯视频,80.0,亿次,52.4,小时,44.0,部,25.0,部,影视行业报告,https://www.filmindustryreport.com,,
2021-06,爱奇艺,25.0,亿次,30.0,小时,15.0,部,5.0,部,视听观察,https://www.videowatch.com,,
2020-12,Bilibili,45.0,亿次,37.5,小时,25.0,部,10.0,部,时光影视,https://www.timdianying.com,,
2020-09,优酷,55.0,亿次,90.0,小时,50.0,部,33.0,部,网络数据分析,https://www.netdataanalysis.com,,
2020-03,芒果TV,16.0,亿次,35.5,小时,8.0,部,3.0,部,新视角传媒,https://www.newperspective.com,,
2019-12,爱奇艺,70.0,亿次,50.0,小时,60.0,部,37.0,部,网络剧研究所,https://www.dodrama.org,,
2019-10,腾讯视频,20.0,亿次,29.99,小时,11.0,部,9.0,部,电影界,https://www.filmworld.com,,
2023-09,爱奇艺,95.0,亿次,50.5,小时,40.0,部,30.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-10,腾讯视频,85.0,亿次,60.0,小时,35.0,部,28.0,部,新流媒体观察,https://www.lmtm.com,,
2023-11,优酷,100.0,亿次,70.0,小时,50.0,部,40.0,部,视频研究中心,https://www.videoresearch.com,,
2022-12,芒果TV,40.0,亿次,55.0,小时,20.0,部,10.0,部,骨朵数据,https://www.36kr.com,,
2021-06,Bilibili,50.0,亿次,58.3,小时,25.0,部,15.0,部,今日头条,https://www.toutiao.com,,
2022-07,爱奇艺,72.0,亿次,49.5,小时,42.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-04,优酷,60.0,亿次,52.0,小时,38.0,部,25.0,部,经济日报,https://www.ce.cn/,,
2019-12,腾讯视频,30.0,亿次,34.7,小时,28.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2021-02,Bilibili,22.0,亿次,45.0,小时,19.0,部,13.0,部,新流媒体观察,https://www.lmtm.com,,
2020-03,爱奇艺,50.0,亿次,37.5,小时,40.0,部,30.0,部,中国网络视听,https://www.cntv.com,,
2020-09,优酷,75.0,亿次,60.0,小时,10.0,部,5.0,部,诚传媒,https://www.chengmedia.com/,,
2021-10,腾讯视频,64.0,亿次,40.0,小时,22.0,部,10.0,部,艾媒咨询,https://www.iimedia.cn/,,
2021-05,芒果TV,35.0,亿次,32.0,小时,12.0,部,7.0,部,骨朵数据,https://www.36kr.com,,
2022-02,爱奇艺,47.0,亿次,62.2,小时,48.0,部,33.0,部,中国网络视听,https://www.cntv.com,,
2023-01,优酷,90.0,亿次,66.0,小时,60.0,部,38.0,部,视频研究中心,https://www.videoresearch.com,,
2023-03,Bilibili,45.0,亿次,55.5,小时,27.0,部,19.0,部,新流媒体观察,https://www.lmtm.com,,
2022-09,腾讯视频,68.0,亿次,54.0,小时,53.0,部,37.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-11,爱奇艺,90.0,亿次,60.5,小时,40.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-10,腾讯视频,70.0,亿次,52.3,小时,35.0,部,20.0,部,艾媒咨询,https://www.iimedia.cn/,,
