年份,国家,新能源类型,装机规模,单位,发电量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2011,中国,太阳能,5.8,亿千瓦,3300,亿千瓦时,国家电力公司,http://www.spower.com/,2024-09-30,,,,,,,,,,,,
2010,中国,太阳能,7.5,亿千瓦,3400,亿千瓦时,国家可再生能源信息平台,http://www.reenergy.gov.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,太阳能,6.89,亿千瓦,3500,亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,太阳能,6.2,亿千瓦,3500,亿千瓦时,中国光伏行业协会,http://www.cpv.org.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,太阳能,6.5,亿千瓦,3580,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2006,中国,太阳能,6.45,亿千瓦,3620,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,太阳能,780000000,亿千瓦,3800,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2004,中国,太阳能,6.3,亿千瓦,3800,亿千瓦时,中国光伏行业协会,http://www.cpv.org.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,太阳能,6.5,亿千瓦,3850,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2002,中国,太阳能,7.5,亿千瓦,4000,亿千瓦时,国家可再生能源中心,http://www.cnrec.org.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,太阳能,9,亿千瓦,4000,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,太阳能,6.88,亿千瓦,4030,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2023,中国,新型储能,300,亿千瓦,200,亿千瓦时,储能产业发展协会,http://www.eschina.org/,2024-09-30,,,,,,,,,,,,
2022,中国,新型储能,5000,亿千瓦,200,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,新型储能,500,亿千瓦,300,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2020,中国,新型储能,560,亿千瓦,400,亿千瓦时,可再生能源协会,http://www.rea.org.cn/,2024-09-30,,,,,,,,,,,,
2019,中国,新型储能,60000000,亿千瓦,410,亿千瓦时,能源研究所,http://www.chinaenergy.gov.cn/,2024-09-30,,,,,,,,,,,,
2018,中国,新型储能,5200,亿千瓦,700,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2017,中国,新型储能,5000,亿千瓦,800,亿千瓦时,工信部新能源发展中心,http://www.miit.gov.cn/,2024-09-30,,,,,,,,,,,,
2016,中国,新型储能,5500,亿千瓦,850,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2015,中国,新型储能,5000,亿千瓦,1000,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2014,加拿大,新型储能,6000,亿千瓦,1000,亿千瓦时,加拿大可再生能源协会,http://www.cansia.ca/,2024-09-30,,,,,,,,,,,,
2013,中国,新型储能,5200,亿千瓦,1160,亿千瓦时,国家能源科技公司,http://www.nerc.cn/,2024-09-30,,,,,,,,,,,,
2012,中国,新型储能,5000,亿千瓦,1200,亿千瓦时,电力系统工程技术研究中心,https://www.electricity.org.cn/,2024-09-30,,,,,,,,,,,,
2011,中国,新型储能,6000,亿千瓦,1200,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2010,中国,新型储能,5000,亿千瓦,1200,亿千瓦时,中国储能产业发展联盟,http://www.escn.com/,2024-09-30,,,,,,,,,,,,
2009,中国,新型储能,50000000,亿千瓦,1350,亿千瓦时,国家电力投资集团,http://www.spic.com.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,新型储能,6000,亿千瓦,1500,亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,新型储能,4900,亿千瓦,1500,亿千瓦时,动力电池网,http://www.battery158.com/,2024-09-30,,,,,,,,,,,,
2006,中国,新型储能,5000,亿千瓦,1500,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,新型储能,5000,亿千瓦,1500,亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2004,中国,新型储能,5580,亿千瓦,1547,亿千瓦时,国家电网公司,https://www.sgcc.com.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,新型储能,5000,亿千瓦,1725,亿千瓦时,能源研究所,http://www.energyresearch.org/,2024-09-30,,,,,,,,,,,,
2002,中国,新型储能,5000,亿千瓦,1800,亿千瓦时,能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,,,,,,
2001,中国,新型储能,5000,亿千瓦,1800,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
2000,中国,新型储能,6000,亿千瓦,1800,亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,,,,,,
