能源类别,年度,合作国别,发展研究方式,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
太阳能,2024,中国、南非,政府辅助博士研究,南非国家可再生能源实验室,https://www.greenbuilding.co.za/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、瑞士,企业间技术合作,瑞士可再生能源协会,http://www.swissrenewables.com/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、加拿大,科研项目与产业结合,加拿大氢能与燃料电池协会,http://www.chfca.ca/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,政府间合作项目,越南可再生能源发展中心,http://www.rese-vn.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,国际联盟合作,中国可再生能源学会,https://www.efchina.org,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、越南,企业投资项目,国际能源署,https://www.iea.org,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,政府与研究机构联合,中国氢能产业协会,https://www.chinahydrogen.org,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,学术交流与合作,中国农业科学院,http://www.caas.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,多方合作研究,地热能开发协会,https://www.geothermal.org,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,公共与私人合资,中国海洋发展研究中心,https://www.codar.com.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、瑞士,外国投资合作,全球风能理事会,https://www.gwec.net,2024-09-29,,,,,,,,,,,,,
光伏能,2024,中国、巴西,技术转让与合作,中国光伏产业协会,http://www.cpv.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、南非,社区项目合作,联合国粮食及农业组织,http://www.fao.org,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、印度,跨国技术合作,中国新能源技术研究中心,http://www.cneri.com,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、阿根廷,公共与私营部门合作,中国氢能产业创新战略联盟,https://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、非洲联盟,跨国合作项目,非洲可再生能源中心,https://www.afsias.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、巴西,高校合作研究,巴西能源与可再生能源研究所,https://www.aneel.gov.br/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、菲律宾,双边技术交流,菲律宾国家水电公司,https://www.napocor.gov.ph/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、德国,企业合作项目,德国可再生能源协会,https://www.bee-ev.de/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,科研合作资助,挪威能源部,https://www.regjeringen.no/en/topics/energy/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、沙特阿拉伯,学术与政府双向交流,沙特可再生能源局,https://www.pv.gov.sa/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、印度尼西亚,多方协作研究,印度尼西亚可再生能源开发局,http://www.ebtke.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、美国,联合研究中心发展,美国能源部,https://www.energy.gov/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、加拿大,科研机构共同开发,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、俄罗斯,政府与企业合作,中国国际工程咨询公司,https://www.ciecc.com,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、越南,高校联合研发,中国科技大学,https://www.ustc.edu.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、孟加拉国,国际科研项目,国家可再生能源实验室,https://www.nrel.gov,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、土耳其,政府支持区块开发,中国地热能学会,http://www.geothermal.org.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,企业友好合作,中国海洋科学研究院,https://www.iapso.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,高校与企业共同研究,国家氢能研究中心,https://www.hydrogen.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、阿根廷,科研机构联合研发,中国太阳能学会,https://www.csa.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、巴西,政府与科研机构协作,国家风能中心,https://www.windenergy.gov.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、南非,企业与地方政府合作,中国科学院环境科学研究所,http://www.iue.cas.cn,2024-09-29,,,,,,,,,,,,,
地热能,2026,中国、意大利,国际合作项目,中国能源研究院,https://www.ERI.org.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、俄罗斯,企业投资与政府支持,国际再生能源署,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、阿联酋,国际联合开发,中东可再生能源协会,https://www.meed.com,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,科研合作框架,德国工业联合会,https://www.bdi.eu,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、菲律宾,资源共享项目,菲律宾国家能源局,https://www.doe.gov.ph,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、智利,企业管理与技术转让,智利可再生能源委员会,https://www.cne.cl,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,多机构联合研发,巴西生物能源研究所,https://www.ipea.gov.br,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,区域合作计划,非洲能源委员会,https://www.afsias.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、印度尼西亚,公共私营合作模式,印尼国家电力公司,https://www.pln.co.id,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、日本,技术交流合作,日本能源经济研究所,https://www.enecho.meti.go.jp,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、土耳其,政府间合作项目,土耳其能源与自然资源部,https://www.enerji.gov.tr,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、沙特阿拉伯,国际商业合作,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府与企业合作,国际地热能协会,https://www.geothermalenergy.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、巴西,科研机构主导,中国海洋大学,https://www.ouc.edu.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,大学与研究机构合作,中国农业大学,https://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、瑞士,私营企业合作,国际太阳能协会,https://www.ise.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、南非,国家科研项目,南非气候与能源研究所,https://www.csir.co.za/,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、德国,跨国企业合作,德国可再生能源协会,https://www.bee-ev.de/,2024-09-29,,,,,,,,,,,,,
太阳能,2026,中国、智利,政府资助研究,中国能源报,https://www.ceca.org.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、孟加拉国,国际科技合作,中国科学院,https://www.cas.cn/,2024-09-29,,,,,,,,,,,,,
风能,2027,中国、乌克兰,大学与企业合作,乌克兰能源部,https://me.kmu.gov.ua/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、瑞士,企业与高校共建实验室,国际氢能协会,https://www.ihs.org,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,跨国合作开发,阿布扎比可再生能源公司,https://www.adwec.ae,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、巴西,工程公司合作,巴西风能协会,http://www.abeeolica.org.br,2024-09-29,,,,,,,,,,,,,
潮汐能,2025,中国、法国,政府与研究机构共同研究,法国环境与能源管理署,https://www.ademe.fr,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、土耳其,大学主导研究,土耳其可再生能源研究所,https://www.yegm.gov.tr,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,线上国际会议研究,意大利地热能协会上,https://www.ceg.it,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、韩国,多方合作研究项目,韩国清洁能源协会,http://www.k-ea.or.kr,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,行业协会合作,南非可再生能源协会,https://www.sa-rea.org,2024-09-29,,,,,,,,,,,,,
海洋能,2026,中国、挪威,企业与政府联合研究,挪威海洋能源研究所,https://www.norec.no,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、墨西哥,学术界与行业合作,墨西哥风能协会,http://www.amdee.org.mx,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、斯里兰卡,政府联合项目,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,企业独立研究,阿根廷国家电力公司,https://www.opa.gov.ar/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,多方合作研究,东南亚生物能协会,http://www.seabioenergy.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,大学与政府联合,土耳其地热能源协会,https://www.geothermal.org.tr/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,国际合作项目,挪威能源监管局,https://www.nve.no/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、巴西,科技企业合作,巴西国家电力公司,http://www.aneel.gov.br/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、印度尼西亚,科研机构合作,印度尼西亚国家气候变化研究中心,http://www.ccc-indonesia.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、菲律宾,政府资助项目,菲律宾可再生能源局,https://www.doe.gov.ph/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,国际学术交流,意大利地热能源协会,http://www.geothermitaly.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,企业与学术合作,澳大利亚可再生能源机构,https://www.renewablessa.org.au/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,政府合作项目,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,区域开发计划,巴西能源部,https://www.gov.br/mme/pt-br,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,高校联合研究,中国农业大学,http://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、瑞士,技术交流项目,联合国开发计划署,https://www.undp.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,国际能源合作论坛,澳大利亚能源局,https://www.energy.gov.au/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、日本,企业合作开发,中国氢能产业技术创新战略联盟,https://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、印度尼西亚,双边研究协议,环境保护部,https://www.mee.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、西班牙,科研合作计划,西班牙风能协会,https://www.aeeolica.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、南非,多机构合作研究,南非国家能源局,https://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,,
地热能,2026,中国、新西兰,政府对话机制,新西兰地热能中心,https://www.geothermal.org.nz/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、越南,政府主导项目,中国可再生能源学会,https://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、哈萨克斯坦,企业联盟合作,国家风能中心,https://www.soes.gov.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,高校与企业合作,中国农业大学,https://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、肯尼亚,国际合作项目,国际可再生能源署,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,双边研究计划,中国海洋大学,https://www.ouc.edu.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,技术合作,中国节能协会,https://www.eesc.org.cn,2024-09-29,,,,,,,,,,,,,
潮汐能,2025,中国、法国,政府与研究机构合作,中国地球科学学院,https://www.cugb.edu.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、菲律宾,非政府组织合作,亚洲开发银行,https://www.adb.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、葡萄牙,研究合作协议,中国国家风电技术中心,https://www.nenergy.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、新西兰,学术研究协作,中国科学院生态环境研究中心,https://www.eri.ac.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,企业间技术合作,中国可再生能源学会,https://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,国际联合研究,巴西国家电力公司,https://www.eletrobras.com,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、德国,高校合作项目,德国科技交流中心,https://www.campus-d.de,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府与私营部门合作,意大利地热能研究所,https://www.geothermitalia.it,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,科研机构与行业合作,澳大利亚可再生能源局,https://www.renewableenergy.gov.au,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、南非,技术交流与合作,南非能源部,https://www.energy.gov.za,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、菲律宾,区域合作项目,菲律宾能源部,https://www.doe.gov.ph,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、土耳其,企业联合研发,土耳其可再生能源协会,https://www.turere.org,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、法国,公私合营项目,法国可再生能源产业协会,https://www.enr.fr,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、印度尼西亚,国际研究合作,印度尼西亚地质矿产部,https://www.esdm.go.id,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、越南,企业创新合作,中国光伏行业协会,https://www.cpvda.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、哈萨克斯坦,地方政府支持项目,哈萨克斯坦能源部,https://www.energo.gov.kz,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、孟加拉国,科研与产业结合,全球生物质能源研究中心,https://www.globalbiomass.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,廊坊市政府资助,国际地热协会,https://www.geothermal-energy.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,高校联合研究,澳大利亚海洋科学与技术研究院,https://www.csiro.au/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,企业间技术转让,德国氢能协会,https://www.dihk.de/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,国际合作框架,阿根廷可再生能源基金会,https://www.argentinaren.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、泰国,区域性特别项目,泰国风能协会,https://windenergythailand.com/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、菲律宾,多部门合作计划,菲律宾环境与自然资源部,https://www.denr.gov.ph/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、沙特阿拉伯,多国项目合作,国际能源署,https://www.iea.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、德国,企业联合研发,可再生能源世界,https://www.rechargenews.com/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,学术交流与合作,中国农业大学,https://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,科技援助计划,中国地热能协会,https://www.geothermics.com/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,国际委员会支持,中国海洋大学,https://www.ouc.edu.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、日本,科技项目合作,国家电力投资集团,http://www.spic.com.cn/,2024-09-29,,,,,,,,,,,,,
储能技术,2024,中国、法国,高校合作项目,电力科学研究院,http://www.epri.sg/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,公共投资项目,南非能源部,http://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、西班牙,企业技术合作,风能协会,https://www.wind-europe.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,非政府组织合作,中国可再生能源学会,https://www.creia.org.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、哈萨克斯坦,民间组织合作,中国氢能产业协会,https://www.hydrogen.org.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,政府资助项目,阿联酋可再生能源局,https://www.reem.gov.ae,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、德国,高校与企业合作,德国可再生能源联盟,https://www.renewables-guarantee.org,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、巴西,联合科研项目,巴西生物燃料协会,https://www.abren.org.br,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、匈牙利,国际合作研究,匈牙利地热能源协会,https://geothermal.hu,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、日本,科研机构联合研究,日本海洋新能源研究所,https://www.james.or.jp,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、尼泊尔,Development NGOs collaboration,尼泊尔可再生能源协会,https://www.nrep.org.np,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、英国,政策研究与讨论,英国可再生能源协会,https://www.renewableuk.com,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、印度尼西亚,国际科研合作,印尼可再生能源协会,https://www.iri.org.id,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、瑞士,私营企业合作,瑞士氢能协会,https://www.hydrogen.swiss,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,企业联盟合作,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、菲律宾,政府和非政府组织合作,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,大学与地方政府合作,中国农业大学,https://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,国际科研联盟,中国地热能协会,http://www.geothermal.org.cn/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,企业主导研究,挪威海洋能源公司,https://www.norwegiancoast.com/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,双边政府项目,中德氢能合作论坛,https://www.china-germany-hydrogen.com/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、法国,技术转移与合作,法国环保部,https://www.ecologie.gouv.fr/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、巴西,区域合作项目,南美州可再生能源小组,https://www.southamericarenewables.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、乌克兰,非政府组织合作,乌克兰绿色经济组织,https://www.greeneconomy.org.ua/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、越南,联合实验室,越南科学院,http://www.vast.vn/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、哈萨克斯坦,企业合作项目,中国新能源协会,https://www.cea.org.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、吉尔吉斯斯坦,双边研究合作,中吉合作开发办公室,http://www.china-kyrgyzstan.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、孟加拉国,高校联合研究,中国农业大学,http://www.cau.edu.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、土耳其,项目合作与技术交流,中国地质调查局,http://www.cgs.gov.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,产业链上下游合作,中国海洋研究院,http://www.qdsoae.edu.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,国际科研论坛,中国氢能源产业技术创新战略联盟,http://www.hydrogentech.org.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,政府间项目,中国风能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
潮汐能,2023,中国、印度尼西亚,科研机构协作,中国南非商会,http://www.chinasouthafrica.org/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、法国,联合实验室研究,国家海洋局,http://www.soa.gov.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、越南,政企联合实验室,中国科技部,http://www.most.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、哈萨克斯坦,国际合作研究项目,国家能源局,http://www.nea.gov.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、孟加拉国,高校与企业合作,亚洲开发银行,https://www.adb.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府与学术机构合作,中国农技推广网,http://www.cngrade.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,科研机构与企业合作,中国地热能协会,http://www.geothermal.org.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,跨国技术交流,国际海洋工程研究中心,https://www.imaosc.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、阿联酋,平台合作研究,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、巴西,多方联合研发,中阿可再生能源合作组织,http://www.arab-china.org/,2024-09-29,,,,,,,,,,,,,
电池储能,2025,中国、南非,企业间技术转让,南南合作联盟,http://www.southsouth.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,政府资助科研,中国电池联盟,http://www.chinabatteries.org/,2024-09-29,,,,,,,,,,,,,
水能,2023,中国、尼泊尔,政府与高校合作,中国科学院生物能源研究所,http://www.ibe.cas.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,国际商业合作,国际水电协会,https://www.iha.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,科研机构联合研究,中国氢能产业技术创新战略联盟,https://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、巴西,企业合作项目,中国科学院太阳能研究中心,http://www.solarcas.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,政府资助项目,中国可再生能源工程有限公司,http://www.creg.com.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,山地研究合作,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,高校研究合作,国家地热与可再生能源中心,http://www.geothermal.gov.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、澳大利亚,国际科研机构合作,中国海洋大学,http://www.ou.edu.cn/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、美国,技术交流合作,国际氢能协会,https://www.cu.edu.au/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、印度尼西亚,多方联合研究,美国可再生能源实验室,https://www.nrel.gov/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,政府间合作项目,中国能源研究院,http://www.ceri.com.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、南非,企业投资合作,阿根廷可再生能源局,https://www.argentina.gob.ar/energia,2024-09-29,,,,,,,,,,,,,
水能,2024,中国、俄罗斯,国际科研机构协作,南非风能协会,https://sawea.org.za/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,多方合作研究,俄罗斯能源部,https://minenergo.gov.ru,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,大学与企业协同,巴西生物能源委员会,http://www.abc.bio.br,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,科研机构与政府合作,德国氢与燃料电池协会,https://www.dfvf.de/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,技术转让与科研合作,澳大利亚国立大学海洋研究中心,https://www.anu.edu.au,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、印度尼西亚,企业合作开发,意大利地热能协会,http://www.aige.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、瑞典,国际技术交流,印度尼西亚能源部,https://www.esdm.go.id,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、菲律宾,区域资助研究项目,瑞典风能协会,https://www SvenskVindenergi.se,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、阿联酋,企业合作与科研支持,菲律宾可再生能源发展局,https://www.doe.gov.ph,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,国际项目联盟,能源研究院,https://www.energyresearchinstitute.org,2024-09-29,,,,,,,,,,,,,
水能,2024,中国、巴西,政府间协议,国际太阳能协会,https://www.isea.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、德国,私企投资,中国水利部,http://www.mwr.gov.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、俄罗斯,高校科研合作,中国风能专业委员会,https://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、美国,跨国技术交流,中国农业大学,http://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2023,中国、澳大利亚,外交合作项目,地热能开发联合会,http://www.geothermal.org,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、印度尼西亚,项目投资与支持,中国海洋开发研究院,http://www.cod.gov.cn,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、法国,科研合作计划,中国国际工程咨询公司,http://www.ccecc.com.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、加拿大,双边合作项目,中国科学技术协会,http://www.cast.gov.cn,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、欧盟,跨国科研联盟,中国能源局,http://www.nea.gov.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,企业投资合作,国际能源署,https://www.iea.org,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,高校联合研究,阿根廷可再生能源协会,https://www.apra.org.ar,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,国家资助项目,南非能源部,http://www.energy.gov.za,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,行业专家合作,巴西农业研究公司,https://www.embrapa.br,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、日本,科研机构共同研发,意大利国立地热研究所,https://www.irt-paesaggio-sostenibile.it,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、法国,政府与研究机构联合,日本海洋能研究所,https://www.jamstec.go.jp,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、印度尼西亚,国际合作研发,法国可再生能源协会,https://reseau-energies-renouvelables.org,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、瑞典,企业与大学合作,印度尼西亚能源和矿产资源部,https://www.esdm.go.id,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、俄罗斯,市场驱动项目,瑞典能源局,https://www.energimyndigheten.se,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、西亚国家,国际组织合作,俄罗斯科学院,http://www.ras.ru,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、德国,公私合营项目,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、日本,高校与企业联合研究,德国风能协会,https://www.wind-energie.de/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、印度尼西亚,科技部资助项目,日本新能源产业技术综合开发机构,https://www.nedo.go.jp/,2024-09-29,,,,,,,,,,,,,
海洋能,2026,中国、澳大利亚,科研合作网络,印尼地热能开发中心,http://www.geothermal-indonesia.com/,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、荷兰,技术研发与应用,澳大利亚可再生能源局,https://www.cleanenergyregulator.gov.au/,2024-09-29,,,,,,,,,,,,,
风能,2027,中国、阿根廷,跨国企业合作,荷兰氢能研究所,https://www.hydrogeniai.nl/,2024-09-29,,,,,,,,,,,,,
太阳能,2027,中国、南非,政府伙伴关系,阿根廷可再生能源协会,https://www.energias-renovables.org.ar/,2024-09-29,,,,,,,,,,,,,
