技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
氢气生产技术,可再生能源,7500,万元,电解槽,无刷直流电动机,标准电解逆变器,高压氢气罐,高效电解系统,自动化管理系统,氢气纯度99.99%,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org/,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术(SOFC),可再生能源,10000,万元,电动机驱动,燃料电池电动机,高效燃料电池逆变器,固体氧化物燃料电池单元,模块化设计,动态监控系统,输出功率100kW，能量密度1000Wh/L,国家电力公司,http://www.sgcc.com.cn/,2024-09-29,,,,,,,,,
亚克力太阳能集热器技术,可再生能源,4200,万元,无传动,无,独立极性逆变器,聚光太阳能电池,三维聚光系统,环境监测系统,热效率88%,清华大学可再生能源研究中心,https://www.tsinghua.edu.cn/,2024-09-29,,,,,,,,,
生物质炭化技术,可再生能源,2800,万元,间歇式炭化炉,直流电动机,高温反应逆变器,生物质炭,全封闭炭化炉,智能调控系统,比表面积300m²/g,中国农业科学研究院,http://www.caas.cn/,2024-09-29,,,,,,,,,
风电储能系统,可再生能源,9500,万元,机械存储,异步电动机,高储能逆变器,压缩空气储能,地下气囊,智能调度系统,储能容量1MWh,国家可再生能源中心,http://www.nrec.cn/,2024-09-29,,,,,,,,,
液体空气能源存储技术,可再生能源,6700,万元,可靠气体压缩机,空压机电动机,高效气化逆变器,液氮储存罐,储存与回收系统,数据监控系统,储能能量500kWh,国际能源署,https://www.iea.org/,2024-09-29,,,,,,,,,
空间太阳能技术,可再生能源,15000,万元,无传动,无,高功率空间逆变器,空间太阳能电池板,空间捕获平台,综合能量管理系统,转换效率40%,中国航天科技集团,http://www.cmse.gov.cn/,2024-09-29,,,,,,,,,
可再生海洋能发电技术,可再生能源,8900,万元,波浪传动,永磁电动机,海洋能逆变器,海洋能储存单元,波浪能捕获设施,监控反馈系统,输出功率200kW,海洋与渔业部,http://www.moa.gov.cn/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7000,万元,波浪转换装置,直流电动机,海洋专用逆变器,锂离子电池组,浮动平台,智能数据收集系统,容量120Ah，循环寿命3000次,国家海洋局,http://www.soa.gov.cn,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,9000,万元,光学聚焦系统,步进电动机,光热逆变器,钠硫电池,塔式发电系统,集中控制系统,额定容量200Ah，能量效率85%,中国太阳能发电协会,http://www.cpv.org.cn,2024-09-29,,,,,,,,,
拼装电动车充电技术,可再生能源,4500,万元,无接触充电系统,交流电动机,智能充电逆变器,超级电容器,快速充电站,云端监控系统,充电时间1小时，放电效率92%,交通运输部,http://www.mot.gov.cn,2024-09-29,,,,,,,,,
小型风力发电技术,可再生能源,2500,万元,直接驱动,永磁直流电动机,小型逆变器,锂聚合物电池,紧凑型设计,低压控制系统,容量80Ah，寿命5000次,中国风能协会,http://www.cwea.org.cn,2024-09-29,,,,,,,,,
氢气发电系统技术,可再生能源,8500,万元,混合动力系统,氢燃料电动机,氢能逆变器,氢燃料电池组,模块化发电系统,智能远程监控系统,输出功率100kW，燃料效率95%,中国氢能产业研究院,http://www.hydrogen.cn,2024-09-29,,,,,,,,,
太阳能热水技术,可再生能源,3000,万元,热交换系统,无刷直流电动机,热水逆变器,太阳能水箱,强制循环系统,全自动控制系统,温度范围60°C - 90°C,国家太阳能热利用研究中心,http://www.solarhotwater.cn,2024-09-29,,,,,,,,,
废弃物转化为能源技术,可再生能源,5100,万元,气化器,异步电动机,变频器,多种废弃物来源,流程化反应系统,智能监测系统,热值从1000到5000kcal/kg,环境保护部,http://www.mee.gov.cn,2024-09-29,,,,,,,,,
农业废弃物发电系统,可再生能源,4000,万元,生物质锅炉系统,高效异步电动机,生物质逆变器,农业生物质燃料,循环流化床锅炉,自动化生产系统,热值3500kcal/kg,中国可再生能源开发研究院,http://www.cre.org.cn,2024-09-29,,,,,,,,,
城市垃圾焚烧发电技术,可再生能源,6000,万元,垃圾焚烧炉,燃气轮机,焚烧发电逆变器,无,高温锅炉系统,综合监控系统,处理能力100吨/天,国家城市固废管理局,http://www.moe.gov.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,波浪能传动,永磁同步电动机,高效海洋逆变器,锂离子储能系统,浮动平台设计,智能监控系统,额定容量200Ah，充电效率92%,中国海洋能源协会,https://www.chinaoceanenergy.org,2024-09-29,,,,,,,,,
氢气生产技术,可再生能源,4000,万元,电解水法,直流电动机,标准直流逆变器,氢气发生器,高压储存系统,自动化控制系统,产氢效率80%,中国氢能协会,https://www.chinahydrogen.org,2024-09-29,,,,,,,,,
垃圾焚烧发电技术,可再生能源,6000,万元,热能转化,同步电动机,焚烧电能逆变器,热能储存系统,炉排设计,智能自动化系统,焚烧效率95%,中国环保产业协会,https://www.chinaepia.org,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,5000,万元,潮流排量传动,永磁直流电动机,高效潮汐逆变器,锂聚合物电池,海底涡轮设计,实时监控系统,额定容量150Ah，能量密度280Wh/kg,国家海洋局,https://www.soa.gov.cn,2024-09-29,,,,,,,,,
地热供暖技术,可再生能源,3000,万元,液体热传导,深井泵,地热能逆变器,地热水循环系统,地下热交换系统,智能调温系统,温度范围40°C - 160°C,中国地热能协会,https://www.cgsnetwork.org,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,7000,万元,集热系统,同步电动机,高温逆变器,储热盐系统,聚光器设计,精准追踪控制系统,储热效率85%,中国光热发电网,https://www.cspchina.org,2024-09-29,,,,,,,,,
生物柴油生产技术,可再生能源,5500,万元,酯化反应,无刷电动机,生物燃料专用逆变器,植物油储备设备,反应器设计,自动化监测系统,产量600L/天,中国生物柴油产业联盟,https://www.biodiesel.org.cn,2024-09-29,,,,,,,,,
先进能量管理系统,可再生能源,2000,万元,智能调控,无刷直流电动机,多功能逆变器,电池储能系统,模块化设计,智能能量管理平台,容量可扩展至500kWh,北京清华大学能源环境研究中心,http://www.thu.edu.cn,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,9000,万元,快充系统,交流电动机,快速充电逆变器,锂电池充电组,充电桩设计,智能支付系统,充电功率100kW,中国电动汽车充电基础设施促进联盟,https://www.charger.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7200,万元,液压传动,永磁同步电动机,潮汐专用逆变器,锂离子电池组,潮汐发电平台,智能控制系统,额定容量200Ah，充电效率92%,中国海洋工程学会,https://www.cme.org.cn,2024-09-29,,,,,,,,,
氢能储存技术,可再生能源,4500,万元,电动机驱动,氢气压缩机,氢能专用逆变器,高压氢气储存系统,移动储氢罐,监控及自动化系统,储氢容量300kg,全国氢能产业发展促进会,https://www.china-hydrogen.org.cn,2024-09-29,,,,,,,,,
太阳能热水利用技术,可再生能源,3500,万元,自然循环,无,非适用,太阳能热水器系统,真空管集热器,智能温控系统,最高温度80°C,中国太阳能行业协会,https://www.csp.org.cn,2024-09-29,,,,,,,,,
废弃物转化能源技术,可再生能源,5000,万元,旋转传动,异步电动机,标准逆变器,压缩废物燃料,气化炉系统,自动化控制系统,热值4500kcal/kg,中国环境保护产业协会,https://www.cepai.org.cn,2024-09-29,,,,,,,,,
高温超导电缆技术,可再生能源,9500,万元,电磁驱动,无刷直流电动机,定制超导逆变器,超导材料接口,超导电缆网络,智能能量分配系统,导电性良好，传输损耗小于5%,中国电力科学研究院,https://www.cepri.cn,2024-09-29,,,,,,,,,
锂离子电池回收技术,可再生能源,2800,万元,机械驱动,无刷直流电动机,专用回收装置,锂电池回收产物,回收处理厂,电子监控系统,回收效率85%,中国电池回收企业协会,https://www.cbrca.org,2024-09-29,,,,,,,,,
人工智能能源管理系统,可再生能源,6400,万元,数字控制,多种电动机兼容,智能逆变器,多电源兼容系统,云平台架构,AI数据分析系统,实时监控，优化运行,国家智能电网中心,https://www.smartgrid.org.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,8000,万元,涡轮传动,永磁同步电动机,海洋能专用逆变器,海水电解系统,离岸发电平台,高速数据监控系统,输出功率100kW,中国海洋能源学会,https://www.homeofoceanenergy.org,2024-09-29,,,,,,,,,
中小型风电技术,可再生能源,3600,万元,齿轮传动,变频电动机,双馈式逆变器,移动风电设备,模块化风机设计,智能监控制系统,可运行环境风速2m/s-20m/s,中国风能协会,https://www.cwea.org.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,9100,万元,电动机驱动,燃料电池,固体氧化物逆变器,固体电池模块,多层结构,高效能量管理系统,输出功率超过100kW,中国燃料电池学会,https://www.cfc.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,液压传动,永磁同步电动机,潮汐能逆变器,锂离子电池,浮动结构,智能控制系统,额定容量120Ah，充电效率92%,中国海洋研究院,https://www.craes.org.cn,2024-09-29,,,,,,,,,
风光互补发电技术,可再生能源,4500,万元,交替能量传动,异步电动机,高效双向逆变器,锂铁磷电池,联合系统设计,自适应优化系统,额定容量200Ah，放电效率88%,中国电力科学研究院,http://www.cpri.cn,2024-09-29,,,,,,,,,
氢燃料终极技术,可再生能源,9000,万元,电动机驱动,氢燃料电池,高效氢燃料逆变器,复合氢气储存系统,多功能运输结构,智能动态管理系统,输出功率100kW，能量密度900Wh/L,中国氢能协会,https://www.china-hydrogen.org.cn,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,12000,万元,数字化传动,同步电动机,智能电网逆变器,高效储能电池组,智能和谐管理系统,全自动控制系统,储能容量500kWh，充电效率98%,国家电网公司,http://www.sgcc.com.cn,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,3500,万元,光电转换,无刷直流电动机,小型光伏逆变器,有机光电池,柔性设计,整合控制系统,输出功率300W/kg，能量转换效率20%,太阳能学会,http://www.solar.org.cn,2024-09-29,,,,,,,,,
热电联产技术,可再生能源,8500,万元,热能转换,蒸汽轮机,高温逆变器,无机电池储存,集中供能系统,高效电气控制系统,热效率85%，电能效率35%,国家热能中心,http://www.nerc.cn,2024-09-29,,,,,,,,,
纳米发电技术,可再生能源,6000,万元,纳米级振动,纳米电机,微型逆变器,纳米电池,微型结构体系,智能微控制中心,输出功率5W，能量转化效率45%,中国科学技术协会,http://www.cast.org.cn,2024-09-29,,,,,,,,,
固态电池技术,可再生能源,9500,万元,固态传导,电动机,固态逆变器,固态电池,模块化设计,智能管理系统,能量密度超过400Wh/kg，充电速度快,中国电池工业协会,http://www.cbica.org.cn,2024-09-29,,,,,,,,,
集中式太阳能热发电,可再生能源,7500,万元,热传导,工业级电动机,太阳能热逆变器,高效热能集热器,集中收集,先进电气控制系统,输出功率200kW，集热效率90%,中国太阳能热利用协会,http://www.csta.org.cn,2024-09-29,,,,,,,,,
社区风能技术,可再生能源,4000,万元,垂直轴传动,直流电动机,小型风能逆变器,社区储能电池,小型化设计,社区智能控制系统,储能容量80kWh，充电效率85%,中国风能协会,http://www.cwea.org.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,波浪能转动,永磁同步电动机,智能逆变器,海水电解氢气储存,浮动平台设计,云智控系统,氢气储存效率85%,中国海洋研究院,http://www.soa.gov.cn,2024-09-29,,,,,,,,,
废弃物能源转化技术,可再生能源,4000,万元,电机驱动,无刷直流电动机,高效逆变器,固体废物处理设备,气化炉系统,自动监控系统,处理能力5吨/天,环境保护部,http://www.mee.gov.cn,2024-09-29,,,,,,,,,
储能系统集成技术,可再生能源,9000,万元,直流、交流兼容,通用电动机,智能双向逆变器,多重储能设备,模块化设计,数据驱动控制,能量密度500Wh/kg,中国电力公司,http://www.sgcc.com.cn,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,12000,万元,高频变换,交流电动机,快速充电逆变器,锂电池组,直流充电桩,网络智能控制,充电功率150kW,国家电动汽车充电基础设施促进联盟,http://www.evcpa.org,2024-09-29,,,,,,,,,
超导发电技术,可再生能源,15000,万元,超导电缆,超导电动机,超导逆变器,超低温氦气冷却系统,冷却管道系统,高效电力管理系统,最大输出功率200kW,国际超导技术研究中心,http://www.istc.ac.cn,2024-09-29,,,,,,,,,
碳捕获利用与封存技术,可再生能源,10000,万元,泵浦驱动,可变频电动机,专用逆变器,气体吸收塔,封存储存设施,自动化监控系统,捕获率90%,国家气候变化研究中心,http://www.cbrc.org.cn,2024-09-29,,,,,,,,,
氢气燃料电池汽车技术,可再生能源,11000,万元,电动机驱动,燃料电池电动机,燃料电池高效逆变器,氢气储存系统,氢能驱动平台,智能驾驶系统,续航300公里,中国汽车工业协会,http://www.caiia.com,2024-09-29,,,,,,,,,
智能城市照明系统,可再生能源,5300,万元,电动驱动,LED光源,调光逆变器,太阳能电池板,路灯模块化设计,智能管理平台,光电转化效率22%,中国城市照明学会,http://www.csl.org.cn,2024-09-29,,,,,,,,,
重氢燃料电池轮船技术,可再生能源,20000,万元,电动驱动,燃料电池电动机,高效长期使用逆变器,重氢储存罐,船体设计优化,智能导航控制系统,航行时间18小时,中国船舶重工集团公司,http://www.csic.com.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,水轮机传动,同步电动机,智能潮汐逆变器,潮汐储能电池,潮汐坝设计,智能调度系统,额定容量200Ah，能量效率92%,中国海洋能源协会,https://www.coa.gov.cn/,2024-09-29,,,,,,,,,
铅酸蓄电池回收技术,可再生能源,1800,万元,直流电动机,直流无刷电动机,回收专用逆变器,回收铅酸电池,分离回收装置,监控管理系统,回收率95%，再利用效率85%,全国铅蓄电池回收协会,https://www.clra.org.cn/,2024-09-29,,,,,,,,,
氢气生产技术,可再生能源,4000,万元,电解槽传动,无刷直流电动机,氢气专用逆变器,电解水制氢系统,更高效电解槽设计,自动控制系统,氢气产率700Nm³/h,中国氢能科技局,https://www.china-hydrogen.org/,2024-09-29,,,,,,,,,
电动汽车充电桩技术,可再生能源,5000,万元,直流快速充电,无电刷电动机,双向逆变器,电动车储能电池,充电网络设计,智能充电系统,充电效率98%，额定功率120kW,中国电动汽车充电联盟,https://www.evcc.org.cn/,2024-09-29,,,,,,,,,
氢燃料驱动公共交通技术,可再生能源,9000,万元,氢燃料电池驱动,燃料电池专用电动机,氢燃料电池逆变器,氢储存系统,公交车模块化设计,智能调度系统,续航450km，充氢时间15分钟,中国公共交通协会,https://www.cpta.gov.cn/,2024-09-29,,,,,,,,,
先进储能技术,可再生能源,3200,万元,电力转化系统,超导电动机,高效储能逆变器,固态电池组,模块化集成设计,能量管理系统,能量密度270Wh/kg，充电速度快速,中国储能产业技术创新战略联盟,https://www.cest.org.cn/,2024-09-29,,,,,,,,,
碳捕集与利用技术,可再生能源,8500,万元,气体压缩机,高效节能电动机,标准气体逆变器,二氧化碳循环系统,碳捕集系统设计,监测系统,捕集效率90%，处理能力1000t/day,国际碳捕集与利用学会,https://www.iuccs.org/,2024-09-29,,,,,,,,,
可再生生物燃料技术,可再生能源,2600,万元,链条传动,高效电动机,标准燃料逆变器,生物质燃料电池,生物反应器系统,自动监控系统,热值2500kcal/kg,中国生物能源协会,https://www.cbe.org.cn/,2024-09-29,,,,,,,,,
分布式风能转化技术,可再生能源,7200,万元,直接驱动系统,永磁直流电动机,智能化风能逆变器,风能储存电池,屋顶风能系统,远程监控系统,蓄电能力100kWh,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,液压传动,异步电动机,潮汐能逆变器,潮汐能储存系统,潮汐拦截结构,智能分布控制系统,储电容量200kWh，充电效率92%,海洋能源研究中心,https://www.moe.gov.cn,2024-09-29,,,,,,,,,
液态空气能量存储技术,可再生能源,7000,万元,气动传动,高效气动电动机,液态空气逆变器,液体氮储存容器,密闭储存系统,集成管理控制系统,能量密度600Wh/L,中国能源研究会,https://www.cne.org.cn,2024-09-29,,,,,,,,,
氢气动力系统技术,可再生能源,9000,万元,电动机驱动,氢燃料电动机,氢动力逆变器,氢气储存罐,模块化氢气站,监控与调度系统,氢气储存压力高达700bar,中国氢能分会,https://www.china-hydrogen.org,2024-09-29,,,,,,,,,
可再生垃圾焚烧发电技术,可再生能源,3500,万元,链条传动,高压蒸汽机,焚烧专用逆变器,无机物残渣储存系统,焚烧炉结构,在线监测系统,发电效率85%,国家固体废弃物研究中心,https://www.mep.gov.cn,2024-09-29,,,,,,,,,
风能与太阳能联动技术,可再生能源,10000,万元,混合传动,高效直流电动机,混合型逆变器,锂离子电池组,复合能量收集系统,智能调控系统,额定容量250Ah，充电效率95%,中国可再生能源协会,https://www.creia.org.cn,2024-09-29,,,,,,,,,
深地热能开发技术,可再生能源,12000,万元,热交换传动,地热泵,地热专用逆变器,高温热水储存系统,深井发电机组,自适应控制系统,有效温度范围200°C - 300°C,国家地热能中心,https://www.geothermal.cn,2024-09-29,,,,,,,,,
智能光伏跟踪系统,可再生能源,5500,万元,伺服传动,伺服电动机,高效光伏逆变器,锂聚合物电池,智能跟踪系统,自动调节控制系统,额定容量120Ah，充电效率97%,中国光伏行业协会,https://www.cpvta.org.cn,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,4000,万元,波浪发电机,水下增压电动机,海洋能逆变器,海洋波浪能储存系统,海洋平台结构,远程监控系统,能量密度500Wh/m³,国际海洋能源协会,https://www.oceanenergies.org,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,9500,万元,电动机驱动,固体氧化物电动机,燃料电池逆变器,固体氧化物燃料电池,模块化热恢复系统,集中控制系统,输出功率100kW，能量转换效率60%,中国燃料电池产业技术创新战略联盟,https://www.fuelcell.cn,2024-09-29,,,,,,,,,
零能耗建筑技术,可再生能源,8000,万元,智能管理,高效电机,综合能源逆变器,多能互补电池系统,透光幕墙系统,全屋智能控制系统,报价储电容量300kWh,中国建筑提供绿色技术研究中心,https://www.gbpb.org.cn,2024-09-29,,,,,,,,,
混合动力汽车技术,可再生能源,12000,万元,混合动力传动,永磁同步电动机,智能逆变器,镍氢电池,模块化平台,车载智能控制系统,充电容量300Ah，充电效率90%,中国汽车技术研究中心,https://www.catarc.ac.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,20000,万元,水轮发电机组,异步电动机,高效潮汐逆变器,潮汐水储存系统,潮汐坝系统,集中监控系统,最大发电容量500kW,中国海洋能源学会,http://www.oceanenergy.cn/,2024-09-29,,,,,,,,,
氢气生产与应用系统,可再生能源,7500,万元,氢气压缩机,无刷直流电动机,氢能专用逆变器,氢气储存单元,集成供氢系统,高级能源管理系统,储氢压力350bar,氢能技术交流平台,https://www.hydrogentech.org/,2024-09-29,,,,,,,,,
城市垃圾发电技术,可再生能源,9000,万元,气化炉技术,同步发电机,垃圾发电逆变器,垃圾焚烧炉,流化床反应器,自动化控制系统,发电效率85%,国家生活垃圾处理技术研发中心,http://www.wastelight.org/,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,11000,万元,电化学反应,燃料电池电动机,固体氧化物逆变器,SOFC电池组,模块化集成,智能控制系统,输出功率200kW，能量密度1000Wh/L,国际燃料电池协会,https://www.fuelcellworld.org/,2024-09-29,,,,,,,,,
小型风力发电技术,可再生能源,3500,万元,直流发电机,永磁直流电动机,直流逆变器,小型双锂电池组,可折叠设计,独立电源控制系统,容量80Ah，效率92%,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,
太阳能热水器技术,可再生能源,4000,万元,无动力流体系统,无电动机,无逆变器,热水储存罐,平板集热器,无需电力控制,热效率90%,中国太阳能热利用协会,http://www.csrae.org/,2024-09-29,,,,,,,,,
增强型地热能提取技术,可再生能源,6500,万元,液压提升装置,深井泵电动机,地热能优化逆变器,地下储能罐,深层地热开发,智能响应系统,工作温度范围80°C - 250°C,地热能产业联席会议,http://www.geothermalenergy.org/,2024-09-29,,,,,,,,,
生物质热解技术,可再生能源,4700,万元,加热管道系统,电动搅拌机,生物质专用逆变器,生物质油储存罐,连续热解反应器,自动温控系统,热解效率88%,中国生物质能源开发协会,http://www.cbeec.org.cn/,2024-09-29,,,,,,,,,
电动汽车充电桩技术,可再生能源,3000,万元,电网连接,无电动机,智能充电逆变器,充电电池组合,快速充电结构,网络连接监控系统,快充功率80kW,中国电动汽车充电基础设施促进联盟,http://www.evcpa.org/,2024-09-29,,,,,,,,,
海洋能技术,可再生能源,7500,万元,波浪发电机,永磁发电机,海洋能专用逆变器,锂离子电池,平台式结构,智能电力调度系统,额定容量200Ah，充电效率92%,国际海洋能协会,https://www.oceanenergyassociation.org/,2024-09-29,,,,,,,,,
存储式太阳能热能技术,可再生能源,6500,万元,热管传动,同步电动机,高温逆变器,熔盐储热系统,塔式设计,集中式控制系统,储热能力500kWh,中国太阳能学会,https://www.cnesa.org/,2024-09-29,,,,,,,,,
氧化石墨烯电池技术,可再生能源,4000,万元,直流电流传动,无刷直流电动机,高效电池逆变器,氧化石墨烯电池,模块化设计,自主智能监控系统,能量密度1000Wh/kg,中国碳材料学会,https://www.chinasc.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,5200,万元,水轮机,双馈电动机,潮汐能专用逆变器,蓄水池储存,潮流发电站,自动电网监测系统,最高输出功率80kW,国家海洋局,https://www.soha.gov.cn/,2024-09-29,,,,,,,,,
高效氢分解技术,可再生能源,9000,万元,电加热器,微型电动机,可变频逆变器,氢气回收系统,反应器模块,智能化数据监测系统,系统效率85%,中科院氢能研究所,https://www.ihp.cas.cn/,2024-09-29,,,,,,,,,
废热回收系统,可再生能源,3500,万元,热交换器,异步电动机,通用逆变器,储热蓄冷设备,集装箱式装置,中央数据控制系统,最大回收能量达到60%,中国热能学会,https://www.ctes.org.cn/,2024-09-29,,,,,,,,,
电动汽车无线充电技术,可再生能源,7200,万元,磁感应传输,同步电池带动,无线充电逆变器,电动汽车用锂电池,嵌入式充电平台,智能充电控制系统,充电功率高达22kW,国家电动汽车技术创新战略联盟,https://www.chinaev.org/,2024-09-29,,,,,,,,,
超导电缆技术,可再生能源,8300,万元,导电接头,高温超导电动机,超导材料专用逆变器,超导材料储存系统,管道系统,智能化电网系统,超导临界温度上限高达100K,中国超导协会,https://www.chinasuperconductor.org/,2024-09-29,,,,,,,,,
电动航空燃料技术,可再生能源,9500,万元,涡轮发动机,电动涡轮发动机,航天特别逆变器,电动航空燃料发电系统,飞行器专用设计,飞控电气系统,可替代传统燃料25%,民用航空局,https://www.caac.gov.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,涡轮传动,永磁同步电动机,高效潮汐逆变器,液体盐储能系统,固定式潮汐电站,集中控制系统,储能能力1000kWh,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,
驾驶辅助系统技术,智能交通,12000,万元,线控驱动,无刷直流电动机,高性能智能逆变器,多功能锂电池组,车载模块化设计,智能联网控制系统,额定容量200Ah，充电效率98%,国家智能交通系统,https://www.its.org.cn/,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,清洁能源,9000,万元,电流转换,固体氧化物电池,动态调节逆变器,高温固定电池模块,复合材料设计,智能电网适配系统,输出功率100kW，能量密度800Wh/L,中国燃料电池技术中心,https://www.fuelcell.cn/,2024-09-29,,,,,,,,,
海洋热能转换技术,可再生能源,3200,万元,热交换器,直流电动机,高效热能逆变器,海水冷却系统,深海平台设计,远程监控系统,系统效率85%,中国海洋开发研究中心,https://www.ocean.gov.cn/,2024-09-29,,,,,,,,,
先进光热发电技术,可再生能源,11000,万元,聚光光热系统,电磁驱动,液冷逆变器,石墨烯储能单元,定日镜阵列,计算机控制系统,储能容量500kWh,中国太阳能学会,https://www.c-solar.org/,2024-09-29,,,,,,,,,
铝空气电池技术,能源存储,4500,万元,化学反应,直流电动机,生物兼容逆变器,铝空气电池单元,模块化储能系统,智能监测系统,能量密度1000Wh/kg,中国电池工业协会,https://www.c-abattery.org/,2024-09-29,,,,,,,,,
智能电网技术,电力技术,15000,万元,信息化管理,智能化电动机,加速式逆变器,分散式储能装置,自愈系统设计,实时数据分析系统,电网适应性99%,国家电力公司,https://www.spd.cn/,2024-09-29,,,,,,,,,
碳捕获与储存技术,清洁技术,13000,万元,气体循环,高效电动机,超临界逆变器,二氧化碳储存单元,地下储存库,气体监测系统,储氢密度350g/L,中国气候变化事务所,https://www.cccarb.org/,2024-09-29,,,,,,,,,
微生物燃料电池技术,生物能,2800,万元,生物代谢,微型电动机,生物综合逆变器,活性污泥储电单元,地面反应器,自适应控制系统,输出功率30W，能量转换率80%,中国绿色能源协会,https://www.greenenergy.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,液压传动,同步发电机,潮汐专用逆变器,潮汐能存储系统,水下发电机组,智能电网连接系统,储能容量200kWh，充电效率92%,中国海洋工程学会,https://www.cmaoe.cn,2024-09-29,,,,,,,,,
地热交换系统,可再生能源,2500,万元,水环式传动,高效能泵,热泵逆变器,热能储存罐,地下布管系统,建筑管理系统,热交换效率98%,中国地热能协会,https://www.cgeia.org,2024-09-29,,,,,,,,,
浮动风电技术,可再生能源,12000,万元,液压变速,双馈发电机,智能变流器,浮动储电模型,漂浮平台,远程监控系统,效能300kW，储能周期24小时,国际风能协会,https://www.wwindea.org,2024-09-29,,,,,,,,,
氢能生产与存储技术,可再生能源,9000,万元,电解水,气压驱动,氢能专用逆变器,压缩氢存储罐,循环利用系统,实时监测仪器,气体压强500 bar，储存效率98%,中国氢能技术研究中心,https://www.hydrogen.cn,2024-09-29,,,,,,,,,
海洋热能转换技术,可再生能源,11000,万元,热交换系统,热能发电机,海洋专用逆变器,海水加热体,深海平台,海洋电力传输系统,热利用效率85%,国家海洋技术中心,https://www.nmec.gov.cn,2024-09-29,,,,,,,,,
碳捕获与存储技术,可再生能源,14000,万元,气体分离,高效能气泵,专用碳捕获逆变器,CO2储存罐,注入井系统,监控与数据分析系统,捕获效率90%,中国气候变化研究中心,https://www.ccchina.gov.cn,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,4000,万元,薄膜电池,光电转换器,便携式逆变器,有机太阳能电池,薄膜结构,灵活电气系统,光电效率15%,国际光伏研究中心,https://www.ise.fraunhofer.de,2024-09-29,,,,,,,,,
钠离子电池技术,可再生能源,5000,万元,固态电池技术,固态电动机,高效电力逆变器,钠离子电池,模组化设计,智能电力管理系统,额定容量150Ah，循环次数超过2000次,国家电池技术创新中心,https://www.nbtc.cn,2024-09-29,,,,,,,,,
垂直轴风力发电技术,可再生能源,6500,万元,直接驱动,直流电动机,多功能逆变器,锂电池模块,一体化设计,智能自动化控制系统,额定功率100kW，转换效率86%,国家风能研究中心,https://www.cwea.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,涡轮传动,直流电动机,潮汐专用逆变器,高效能电池组,沿海固定结构,智能化电力分配系统,额定容量120Ah，充电效率96%,中国潮汐能协会,https://www.cma.org.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,9000,万元,热电联产,高温燃料电池,SOFC逆变器,多功能燃料电池组,高温耐火材料,本地和远程监控系统,输出功率70kW，能量密度900Wh/L,国家能源技术创新研究中心,http://www.nstic.gov.cn,2024-09-29,,,,,,,,,
氢能制备技术,可再生能源,6500,万元,电解水分解,电解槽,氢能专用逆变器,氢气囊,高度自动化系统,实时监控系统,氢气纯度99.9%,中国氢能产业科技联盟,https://www.hydrogen.org.cn,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,10000,万元,波动能转换,水轮发电机,海洋能专用逆变器,海洋能储存系统,浮动平台系统,智能电网连接,电能转换效率98%,国际海洋能学会,https://www.oceanenergy.org,2024-09-29,,,,,,,,,
