应用行业,核心参数,技术说明,国外最高水平,国外主流水平,国内最高水平,国内主流水平,国内在研项目,采集来源,来源链接,采集时间,备注,,,,,,,,
激光设备,输出功率 500 W,用于工业切割和打标应用,美国IPG，输出功率可达1000 W,德国TRUMPF，输出功率可达500 W,中国汉能，输出功率可达800 W,国内多家企业，输出功率可达600 W,下一代高功率激光设备研发,中国激光行业协会,clia.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,监测精度 ±0.1 µg/m³,用于空气质量监测与控制,美国霍尼韦尔，精度可达±0.05 µg/m³,法国空气监测，精度可达±0.1 µg/m³,中国环境监测总站，精度可达±0.15 µg/m³,国内多家企业，精度可达±0.2 µg/m³,高效环境监测系统研发,生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
医疗成像设备,图像分辨率 1920x1080,用于高清晰度医学成像,日本东芝，分辨率可达3840x2160,美国西门子，分辨率可达1920x1080,中国联影，分辨率可达2560x1440,国内多家企业，分辨率可达1920x1080,新型医学成像系统研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
光电传感器,响应时间 0.1 ms,用于高速数据采集与处理,德国巴斯夫，响应时间可达0.05 ms,日本东芝，响应时间约0.1 ms,中国华为，响应时间约0.15 ms,国内多家企业，响应时间约0.2 ms,新型智能传感器研发,中国电子科技集团,cec.gov.cn,2024-09-26,,,,,,,,,
工业机器人,重复精度 ±0.03 mm,用于高效能的工业自动化生产线,瑞士ABB，重复精度达到±0.01 mm,美国KUKA，重复精度达到±0.03 mm,中国艾默生，重复精度达到±0.05 mm,国内多家企业，重复精度达到±0.07 mm,下一代智能机器人研发,中国机器人产业联盟,robotics.org.cn,2024-09-26,,,,,,,,,
环境监测仪器,检测限 0.01 ppm,用于空气和水质的高灵敏度检测,美国安捷伦，检测限可达0.005 ppm,德国梅特勒，检测限可达0.01 ppm,中国环境监测总站，检测限可达0.02 ppm,国内多家企业，检测限可达0.03 ppm,新型空气质量传感器研发,环境保护部,mepp.gov.cn,2024-09-26,,,,,,,,,
航空器测量设备,高度测量精度 ±0.1 m,用于航空器的高度和速度测量,加拿大博尔赫斯，测量精度达到±0.05 m,美国洛克希德马丁，测量精度达到±0.1 m,中国航天科技集团，测量精度达到±0.2 m,国内多家企业，测量精度达到±0.3 m,新型多功能航测仪研发,中国民用航空局,caac.gov.cn,2024-09-26,,,,,,,,,
电子测量仪器,频率范围 1 Hz - 1 GHz,用于电子信号的高精度测量,美国泰克，频率范围达到0.1 Hz - 2 GHz,日本横河，频率范围达到1 Hz - 1 GHz,中国电子科技集团，频率范围达到1 Hz - 2.5 GHz,国内多家企业，频率范围达到1 Hz - 3 GHz,新型宽频测量仪研发,中国电子学会,iee.org.cn,2024-09-26,,,,,,,,,
激光测距仪,测量范围 0.1 m - 1000 m,用于各种环境下的距离测量,德国莱卡，测量范围达到0.05 m - 1500 m,美国博世，测量范围达到0.1 m - 1000 m,中国华测，测量范围达到0.2 m - 800 m,国内多家企业，测量范围达到0.3 m - 900 m,高精度激光测距仪研发,国家测量局,nmb.gov.cn,2024-09-26,,,,,,,,,
地质勘探仪器,探测深度 50 m,用于地下资源的探测,美国固瑞克，探测深度可达100 m,加拿大Geotech，探测深度可达60 m,中国地质调查局，探测深度可达70 m,国内多家企业，探测深度可达80 m,高效能地质勘探仪研发,中国地质调查局,cgs.gov.cn,2024-09-26,,,,,,,,,
材料试验设备,拉伸强度 1000 MPa,用于测试材料的物理强度,德国普发，拉伸强度达到2000 MPa,日本日置，拉伸强度达到1200 MPa,中国建材研究院，拉伸强度达到1500 MPa,国内多家企业，拉伸强度达到1600 MPa,新型复合材料拉伸测试仪研发,中国材料研究学会,cmes.org.cn,2024-09-26,,,,,,,,,
汽车检测设备,速度精度 ±0.1 km/h,用于各种汽车性能测试,美国福特，速度精度达到±0.05 km/h,德国宝马，速度精度达到±0.1 km/h,中国一汽，速度精度达到±0.2 km/h,国内多家企业，速度精度达到±0.3 km/h,智能汽车测试系统研发,国家汽车质量监督检验中心,nqasi.org.cn,2024-09-26,,,,,,,,,
船舶测量仪器,深度精度 ±0.5 m,用于水下探测与测量,美国海洋测量，深度精度达到±0.1 m,日本三菱，深度精度达到±0.2 m,中国船舶重工集团，深度精度达到±0.4 m,国内多家企业，深度精度达到±0.6 m,新型水下测量仪研发,中国海洋局,sohu.com,2024-09-26,,,,,,,,,
精密测试仪器,温度精度 ±0.01 °C,用于高准确度的温度测量,美国国家仪器，温度精度达到±0.005 °C,德国E+H，温度精度达到±0.01 °C,中国计量科学研究院，温度精度达到±0.02 °C,国内多家企业，温度精度达到±0.03 °C,新型高精度温度传感器研发,中国计量局,nml.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于数字化血压测量和心电图分析,美国飞利浦，精密度达到±0.003 mm,瑞士ABB，精度达到±0.007 mm,中国乐普，精度达到±0.015 mm,国内多家企业，精度达到±0.02 mm,智能健康监测设备研发,国家药监局,nmpa.gov.cn,2024-09-26,,,,,,,,,
半导体测试仪器,测量范围 0-10 V,用于半导体器件的电气性能测试,美国凯捷，电压测量精度可达±0.1 mV,德国德凯，电压测量精度可达±0.5 mV,中国中电科，电压测量精度可达±1 mV,国内多家企业，电压测量精度达到±2 mV,新一代半导体测量系统研发,中国电子信息产业发展研究院,cie.org.cn,2024-09-26,,,,,,,,,
光学仪器,波长范围 200-1000 nm,用于荧光分析和激光干涉测量,美国赛默飞，波长范围可达150-1100 nm,日本奥林巴斯，波长范围可达250-950 nm,中国科学院物理研究所，波长范围可达300-1050 nm,国内多家企业，波长范围达到350-1000 nm,纳米光学仪器研发,中国光学学会,cos.org.cn,2024-09-26,,,,,,,,,
工业机器人,负载能力 10 kg,用于简单装配和搬运操作,日本发那科，负载能力可达15 kg,德国库卡，负载能力可达10 kg,中国新松，负载能力可达12 kg,国内多家企业，负载能力达到8 kg,智能装配机器人研发,国家机器人产业发展报告,robotics.gov.cn,2024-09-26,,,,,,,,,
无损检测仪器,探测深度 5 cm,用于材料及结构缺陷的检测,美国通用电气，探测深度可达8 cm,法国赛勒，探测深度可达6 cm,中国国检，探测深度可达7 cm,国内多家企业，探测深度达到4 cm,新型无损检测技术研发,中国质量认证中心,cqc.com.cn,2024-09-26,,,,,,,,,
环境监测仪器,检测灵敏度 0.1 ppm,用于环境气体成分分析,美国汉瑞，检测灵敏度可达0.05 ppm,德国联盟，检测灵敏度可达0.1 ppm,中国环境监测总站，检测灵敏度可达0.2 ppm,国内多家企业，检测灵敏度达到0.3 ppm,新型空气质量监测系统研发,中国生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
智能控制系统,处理能力 2000 执行指令/s,用于工业过程自动化控制,德国西门子，处理能力可达3000 执行指令/s,美国罗克韦尔，处理能力达到2500 执行指令/s,中国华为，处理能力达到2200 执行指令/s,国内多家企业，处理能力达到1800 执行指令/s,边缘计算智能控制研发,国家工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
计量仪器,精度 ±0.001 mg,用于高精度质量测量,瑞士天平，精度可达±0.0005 mg,日本田中，精度可达±0.001 mg,中国计量研究院，精度可达±0.002 mg,国内多家企业，精度达到±0.003 mg,高精度称重装置研发,国家计量局,snma.gov.cn,2024-09-26,,,,,,,,,
超声波检测仪器,频率 5 MHz,用于材料内部缺陷检验,美国泰克，频率可达15 MHz,日本岛津，频率可达10 MHz,中国石化，频率可达8 MHz,国内多家企业，频率达到6 MHz,高分辨率超声波检测仪研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
气体分析仪器,测量范围 0-2000 ppm,用于废气排放和环境监测,日本富士，测量范围可达0-3000 ppm,美国安捷伦，测量范围可达0-2500 ppm,中国环保科技，测量范围可达0-2500 ppm,国内多家企业，测量范围达到0-2000 ppm,新型气体监测设备研发,中国环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于精准手术导航与定位,美国蔡司，精度达到±0.003 mm,瑞士ABB，精度达到±0.006 mm,中国联影，精度达到±0.01 mm,国内多家企业，精度达到±0.015 mm,手术机器人技术研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
激光设备,切割精度 ±0.1 mm,用于工业金属切割和雕刻,德国TRUMPF，切割精度可达±0.05 mm,美国光电，切割精度可达±0.1 mm,中国大族，切割精度可达±0.15 mm,国内多家企业，切割精度达±0.2 mm,新型激光切割机研究,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
新材料测试,硬度 2 GPa,用于测量新型材料的物理特性,瑞士材料实验室，硬度可达3 GPa,美国MIT，硬度可达2.5 GPa,中国科学院，硬度可达2.8 GPa,国内多家企业，硬度可达3 GPa,新型合金材料研究,国家自然科学基金,nsfc.gov.cn,2024-09-26,,,,,,,,,
自动化检测,检测速度 1000 件/h,用于生产线高效率质量检验,日本安川，检测速度可达1500 件/h,德国安德里茨，检测速度约1000 件/h,中国航天科技，检测速度可达1200 件/h,国内多家企业，检测速度约900 件/h,智能化生产线检测系统,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
环境监测,检测灵敏度 0.01 μg/m³,用于烟气及空气质量的实时监测,法国阿克西，灵敏度可达0.005 μg/m³,美国哈佛大学，灵敏度约0.01 μg/m³,中国电力，灵敏度约0.02 μg/m³,国内多家企业，灵敏度达到0.03 μg/m³,新型多功能环境监测仪研发,国家生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
机器人制造,负载能力 100 kg,用于工业搬运与装配的高负载机器人,德国KUKA，负载能力可达150 kg,日本FANUC，负载能力约120 kg,中国发那科，负载能力可达110 kg,国内多家企业，负载能力约90 kg,强力工业机器人研发,工信部机器人产业发展报告,miit.gov.cn,2024-09-26,,,,,,,,,
电子元器件,电压容差 ±5 %,用于精密电子设备中电源管理,美国德州仪器，电压容差可达±1 %,日本索尼，电压容差约±3 %,中国北京微电子，电压容差可达±4 %,国内多家企业，电压容差约±6 %,新型电源管理芯片研发,中国半导体协会,csia.org.cn,2024-09-26,,,,,,,,,
航空航天,强度 500 MPa,用于航空器的高强度材料测试,美国波音，材料强度可达700 MPa,欧洲空中客车，材料强度约600 MPa,中国航天科工，材料强度可达580 MPa,国内多家企业，材料强度约600 MPa,新型航空材料研发,中国民用航空局,caac.gov.cn,2024-09-26,,,,,,,,,
精密仪器,线性度 ±0.002 mm,用于标准仪器的高精度线性度测量,德国法拉克，线性度可达±0.001 mm,美国ABB，线性度约±0.002 mm,中国测量研究所，线性度可达±0.003 mm,国内多家企业，线性度约±0.004 mm,高精度测量仪器的集成开发,国家质量监督局,aqsiq.gov.cn,2024-09-26,,,,,,,,,
航空航天,精度 ±0.003 mm,用于航空器的部件精密制造,美国波音，精度达到±0.001 mm,意大利阿尔法，精度达到±0.002 mm,中国航天科技，精度达到±0.004 mm,国内多家航空航天企业，精度达到±0.006 mm,下一代航空发动机组件研发,中国航空工业集团,avic.com,2024-09-26,,,,,,,,,
环境监测,检测限 0.1 ppb,用于空气质量监测及分析,瑞士阿尔卑斯，检测限可达0.05 ppb,美国霍尼韦尔，检测限可达0.1 ppb,中国环境监测总站，检测限可达0.2 ppb,国内多家环保企业，检测限可达0.5 ppb,新型空气质量监测仪器研发,国家生态环境部,mEE.gov.cn,2024-09-26,,,,,,,,,
机器人技术,运动精度 ±0.01 mm,用于工业机器人中的高精度拾取,日本安川电机，精度达到±0.005 mm,德国库卡，精度达到±0.01 mm,中国汇川技术，精度达到±0.015 mm,国内多家机器人制造企业，精度达到±0.02 mm,智能协作机器人研发,中国机器人产业联盟,crai.org.cn,2024-09-26,,,,,,,,,
光电子,波长范围 400-700 nm,用于可见光谱范围的光学设备,美国英特尔，波长范围可达300-800 nm,德国博世，波长范围可达400-750 nm,中国天津光电，波长范围可达400-720 nm,国内多家光电企业，波长范围可达450-750 nm,下一代光谱仪研发,中国电子技术标准化研究院,netec.org.cn,2024-09-26,,,,,,,,,
生物科学,精度 ±0.005 μL,用于微量液体的精准分配,美国Eppendorf，精度达到±0.001 μL,德国博瑞，精度达到±0.005 μL,中国华大基因，精度达到±0.008 μL,国内多家生物科技公司，精度达到±0.01 μL,精准分液系统研发,国家生物技术发展中心,nbd.gov.cn,2024-09-26,,,,,,,,,
汽车制造,装配精度 ±0.1 mm,用于汽车组件的高精度装配,德国大众，装配精度达到±0.05 mm,日本丰田，装配精度达±0.1 mm,中国SAIC，装配精度达到±0.2 mm,国内多家汽车生产企业，装配精度达到±0.25 mm,智能制造系统研发,中国汽车工业协会,caam.org.cn,2024-09-26,,,,,,,,,
3D打印,层厚 0.1 mm,用于高可细节的3D打印技术,美国Stratasys，层厚达到0.05 mm,荷兰Ultimaker，层厚可达0.1 mm,中国大疆，层厚达到0.15 mm,国内多家3D打印企业，层厚达到0.2 mm,新型打印材料研发,国家科技部,most.gov.cn,2024-09-26,,,,,,,,,
测量科技,精度 ±0.002 mm,用于建筑和工业中的长距离测量,瑞士Leica，精度达到±0.001 mm,德国徕卡，精度达到±0.002 mm,中国长春测量，精度达到±0.004 mm,国内多家测量技术公司，精度达到±0.005 mm,激光测距仪研发,中国测绘科学研究院,casm.gov.cn,2024-09-26,,,,,,,,,
医疗影像,分辨率 0.5 mm,用于高分辨率的医学影像检测,美国西门子医疗，分辨率可达0.1 mm,日本岛津，分辨率可达0.5 mm,中国三星医疗，分辨率可达1 mm,国内多家医疗企业，分辨率可达1.5 mm,智慧医疗影像系统研发,国家医疗器械监督局,nmpa.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.005 mm,用于微创手术导航和精准操控,美国强生，精密度达到±0.002 mm,瑞士ABB，精度达到±0.005 mm,中国科兴，精度达到±0.01 mm,国内多家企业，精度达到±0.015 mm,全自动生化分析仪研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.5 nm,用于高灵敏度显微镜和材料分析,美国Thorlabs，分辨率可达0.3 nm,德国梅特勒-托利多，分辨率可达0.5 nm,中国科学院，分辨率可达1 nm,国内多家企业，分辨率可达1.2 nm,纳米光学显微镜研发,武汉大学光学与电子信息学院,whu.edu.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.002 mm,用于石油、天然气行业的精密测量,美国福特精密，精度达到±0.001 mm,日本日立，精度达到±0.002 mm,中国通用，精度达到±0.005 mm,国内多家企业，精度达到±0.007 mm,高精度管道传感器研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.5 ms,应用于高速度工业自动化线,德国菲尔德，响应时间可达0.1 ms,日本东芝，响应时间约0.5 ms,中国华智，响应时间约0.8 ms,国内多家企业，响应时间约1 ms,人工智能自动化控制系统研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0005 mm,用于航空航天零部件的加工,瑞士玛莎，加工精度±0.0003 mm,德国滕博，加工精度±0.0005 mm,中国荣科，加工精度±0.001 mm,国内多家企业，加工精度±0.0015 mm,高精度钛合金加工技术研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
通信设备,带宽 10 GHz,用于高速数据传输的网络设备,美国思科，带宽可达20 GHz,德国德州仪器，带宽可达10 GHz,中国华为，带宽可达15 GHz,国内多家企业，带宽可达12 GHz,5G网络设备研发,工业和信息化部电子与信息产业司,miit.gov.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.001 mm,用于精密科研实验的测量,法国舒姆，精度达到±0.0005 mm,日本佳能，精度达到±0.001 mm,中国精测，加工精度±0.002 mm,国内多家企业，精度达到±0.003 mm,高校精密测量技术研发,中国科学院,cas.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.003 mm,用于放射治疗和影像引导系统,美国西门子医疗，精密度达到±0.001 mm,德国阿斯利康，精度达到±0.003 mm,中国微创，精度达到±0.005 mm,国内多家企业，精度达到±0.006 mm,新一代影像引导技术研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.2 nm,用于基础研究和产品开发,美国NanoTech，分辨率可达0.1 nm,德国科鲁兹，分辨率可达0.2 nm,中国复旦大学，分辨率可达0.5 nm,国内多家企业，分辨率可达0.6 nm,超分辨率成像设备研发,中国光学学会,cos.org.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.3 ms,用于汽车工业的自动化控制,欧洲博世，响应时间可达0.1 ms,日本安川，响应时间约0.3 ms,中国格力，响应时间约0.4 ms,国内多家企业，响应时间约0.5 ms,电动汽车智能控制系统研发,中国汽车工程学会,cnae.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于外科手术器械和辅助设备,美国西门子，精密度达到±0.003 mm,瑞士ABB，精度达到±0.008 mm,中国微创，精度达到±0.015 mm,国内多家企业，精度达到±0.025 mm,新型手术机器人研发,中国医学科学院,camc.org.cn,2024-09-26,,,,,,,,,
工业自动化,重复精度 ±0.01 mm,用于智能制造和自动化生产线,德国库卡，重复精度达到±0.005 mm,日本安川，重复精度达到±0.01 mm,中国新松，重复精度达到±0.02 mm,国内多家企业，重复精度达到±0.03 mm,柔性机器人研发,中国机器人产业联盟,cria.org.cn,2024-09-26,,,,,,,,,
光学仪器,光谱范围 200-1000 nm,用于环境监测和材料分析,美国安捷伦，光谱范围可达150-1100 nm,德国梅特勒-托利多，光谱范围可达200-1000 nm,中国光电技术研究院，光谱范围可达220-1100 nm,国内多家企业，光谱范围可达250-1000 nm,高灵敏度光谱仪研发,中国科学院光电技术研究所,ciomp.ac.cn,2024-09-26,,,,,,,,,
量测设备,测量精度 ±0.002 mm,用于高精度工业测量和检测,美国米莱克斯，精度达到±0.001 mm,英国泰克，精度达到±0.002 mm,中国精测，精度达到±0.005 mm,国内多家企业，精度达到±0.01 mm,新型智能传感器研发,国家标准化管理委员会,saic.gov.cn,2024-09-26,,,,,,,,,
动力设备,转速范围 0-5000 RPM,用于各类工业电动机的精确控制,美国西屋电气，转速范围可达0-6000 RPM,德国西门子，转速范围可达0-5000 RPM,中国电科院，转速范围可达0-5500 RPM,国内多个电气企业，转速范围可达0-5200 RPM,高效率电动机研发,中国电力部,sgcc.com.cn,2024-09-26,,,,,,,,,
农业仪器,作物监测精度 ±5 %,用于精准农业和土壤监测,美国约翰迪尔，监测精度达到±2 %,荷兰博世，监测精度达到±5 %,中国农业大学，监测精度达到±7 %,国内多家企业，监测精度达到±10 %,智能农业监测系统研发,中国农业部,mof.gov.cn,2024-09-26,,,,,,,,,
国防设备,距离测量精度 ±1 m,用于军事目标的精确打击和评估,美国洛克希德·马丁，精度达到±0.5 m,俄罗斯苏霍伊，精度达到±1 m,中国航天科工，精度达到±2 m,国内多家军工企业，精度达到±3 m,新型激光测距仪研发,中国国防科技工业局,sastind.gov.cn,2024-09-26,,,,,,,,,
环保检测,检测精度 ±0.1 ppm,用于空气和水质监测,德国南德，精度达到±0.05 ppm,欧美多家企业，精度达到±0.1 ppm,中国环境监测总站，精度达到±0.2 ppm,国内多家企业，精度达到±0.3 ppm,新型环境监测传感器研发,生态环境部,mep.gov.cn,2024-09-26,,,,,,,,,
通信设备,信号传输速度 10 Gbps,用于高速数据传输与通信,美国思科，传输速度可达25 Gbps,日本NEC，传输速度可达10 Gbps,中国华为，传输速度可达15 Gbps,国内多家企业，传输速度可达12 Gbps,下一代通信网络研发,中国通信管理局,miit.gov.cn,2024-09-26,,,,,,,,,
半导体设备,晶圆加工精度 ±0.0001 mm,用于高端半导体芯片制造,日本东京电子，精度达到±0.00005 mm,美国应用材料，精度达到±0.0001 mm,中国中芯国际，精度达到±0.0002 mm,国内多家企业，精度达到±0.0003 mm,先进半导体制造设备研发,中电子科技集团,cec.gov.cn,2024-09-26,,,,,,,,,
航空航天,精度 ±0.001 mm,用于航天器零件的高精度加工,美国波音，精度达到±0.0008 mm,法国航空，精度达到±0.001 mm,中国航天科技集团，精度达到±0.0015 mm,国内航空公司，精度达到±0.002 mm,高精度航空零部件加工技术研发,中国航空器材集团,caac.gov.cn,2024-09-26,,,,,,,,,
汽车制造,振动频率 50 Hz,用于发动机和底盘的振动测试设备,德国宝马，振动频率达到100 Hz,日本丰田，振动频率达到75 Hz,中国长安，振动频率达到60 Hz,国内多家汽车厂家，振动频率达到70 Hz,新能源汽车动力系统测试设备研发,国家汽车质量监督检测中心,nplt.gov.cn,2024-09-26,,,,,,,,,
半导体设备,处理速度 300 wafers/hour,用于半导体生产中的晶圆处理,美国英特尔，处理速度达到400 wafers/hour,韩国三星，处理速度达到350 wafers/hour,中国中芯国际，处理速度达到280 wafers/hour,国内多家半导体企业，处理速度达到250 wafers/hour,新一代半导体生产线研发,国家半导体行业协会,sias.org.cn,2024-09-26,,,,,,,,,
工业机器人,精度 ±0.005 mm,用于自动化生产线的机器人臂,日本安川电机，精度达到±0.003 mm,德国KUKA，精度达到±0.005 mm,中国发那科，精度达到±0.007 mm,国内多家机器人厂商，精度达到±0.01 mm,新一代高精度机器人研发,中国机器人产业联盟,cria.org.cn,2024-09-26,,,,,,,,,
农业机械,作业宽度 6 m,用于高效耕作的农业机械设备,美国约翰迪尔，作业宽度可达8 m,德国凯斯，作业宽度可达7 m,中国一拖，作业宽度可达6.5 m,国内多家农业机械制造商，作业宽度可达6 m,智能农业机械系统研发,中国农业机械化协会,caam.org.cn,2024-09-26,,,,,,,,,
电力设备,频率 50 Hz,用于电力传输设备的频率监测,瑞士ABB，频率监测精度达到0.01 Hz,美国施耐德，频率监测精度达到0.02 Hz,中国国电，频率监测精度达到0.03 Hz,国内电力设备制造公司，频率监测精度达到0.05 Hz,智能电网监测系统研发,国家电力公司,sgcc.com.cn,2024-09-26,,,,,,,,,
环保设备,检测灵敏度 0.1 ppm,用于环境监测的气体分析设备,美国霍尼韦尔，灵敏度达到0.05 ppm,德国Friedrich，灵敏度达到0.1 ppm,中国环保科技，灵敏度达到0.15 ppm,国内多家环保企业，灵敏度达到0.2 ppm,新型环境监测仪器研发,中国环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
通信设备,带宽 100 MHz,用于高速数据传输的通信设备,美国思科，带宽达到200 MHz,日本NEC，带宽达到150 MHz,中国华为，带宽达到120 MHz,国内多家通信企业，带宽达到110 MHz,下一代通信技术研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
生物医药,确认精度 ±0.01%,用于生物样本检测和分析,美国默克，确认精度达到±0.005%,瑞士罗氏，确认精度达到±0.01%,中国药明康德，确认精度达到±0.02%,国内多家生物技术公司，确认精度达到±0.03%,精准医学检测仪器研发,国家药品监管局,nmpa.gov.cn,2024-09-26,,,,,,,,,
信息技术,处理能力 1 TFLOPS,用于大数据和AI计算的高性能计算机,美国NVIDIA，处理能力达到2 TFLOPS,日本富士通，处理能力达到1.5 TFLOPS,中国阿里巴巴，处理能力达到1.2 TFLOPS,国内多家信息技术公司，处理能力达到1 TFLOPS,量子计算机研发,中国信息产业部,miit.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于新型耐辐射检测设备,美国西门子，精密度达到±0.004 mm,瑞士ABB，精度达到±0.007 mm,中国联影，精度达到±0.015 mm,国内多家企业，精度达到±0.018 mm,新型肿瘤检测仪研发,国家科技部,most.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.75 nm,用于X射线衍射分析,德国莱卡，分辨率可达0.3 nm,美国布鲁克，分辨率可达0.7 nm,中国科学院合肥物质科学研究院，分辨率可达1.2 nm,国内多家企业，分辨率可达1.5 nm,下一代电子显微镜研发,国防科技工业局,mod.gov.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.004 mm,用于高温下动态测量,法国施耐德，精度达到±0.002 mm,美国阿斯麦，精度达到±0.004 mm,中国金运，精度达到±0.009 mm,国内多家企业，精度达到±0.012 mm,高温传感器研发,中国仪器仪表协会,cniia.org.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.8 ms,用于工业机器人控制系统,日本安川，响应时间可达0.3 ms,德国博世，响应时间约0.8 ms,中国新松，响应时间约1 ms,国内多家企业，响应时间约1.3 ms,智能机器人控制系统研发,工业自动化协会,iaai.org,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天部件的加工,瑞士瑞士通，加工精度±0.0003 mm,日本牧野，加工精度±0.0008 mm,中国大连机床，加工精度±0.0015 mm,国内多家企业，加工精度±0.002 mm,高精度航空机床研发,装备工业部,miit.gov.cn,2024-09-26,,,,,,,,,
生物检测设备,灵敏度 0.01 ng/ml,用于病毒快速检测,美国安捷伦，灵敏度达到0.005 ng/ml,英国赛默飞，灵敏度达到0.01 ng/ml,中国贝达药业，灵敏度达到0.02 ng/ml,国内多家企业，灵敏度达到0.03 ng/ml,新型COVID-19检测技术研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
传感器,线性度 ±0.1%,用于建筑智能安防系统,德国施耐德，线性度达到±0.05%,美国霍尼韦尔，线性度达到±0.1%,中国万泰，线性度达到±0.15%,国内多家企业，线性度达到±0.2%,新型智能传感器研发,中国智能建筑产业技术创新战略联盟,www.cibie.com.cn,2024-09-26,,,,,,,,,
测控系统,精度 ±0.002%FS,用于工业设备状态监测,美国洛克威尔，精度达到±0.001%FS,德国西门子，精度达到±0.002%FS,中国普联，精度达到±0.005%FS,国内多家企业，精度达到±0.008%FS,大数据监控系统研发,国家智能制造示范区,sz.gov.cn,2024-09-26,,,,,,,,,
检测设备,误差 ±0.003 mm,用于精密度量和校准,瑞士法拉利，误差达到±0.001 mm,日本松下，误差达到±0.003 mm,中国良信，误差达到±0.005 mm,国内多家企业，误差达到±0.007 mm,高精度校准仪器研发,国家质量技术监督局,cnca.gov.cn,2024-09-26,,,,,,,,,
医疗成像,成像分辨率 0.1 mm,用于高清晰度医疗影像设备,美国强生，分辨率可达0.05 mm,德国西门子，分辨率可达0.1 mm,中国迈瑞，分辨率可达0.2 mm,国内多家企业，分辨率可达0.25 mm,下一代核磁共振成像系统研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
自动化仪器,精度 ±0.005 mm,用于精密测量和控制系统,瑞士ABB，精度达到±0.002 mm,德国博世，精度达到±0.005 mm,中国航天科技，精度达到±0.01 mm,国内多家企业，精度达到±0.015 mm,智能自动化仪器研发,国家工业与信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,检测灵敏度 0.01 ppb,用于精准检测水质和空气质量,美国霍尼韦尔，灵敏度可达0.005 ppb,德国梅特勒-托利多，灵敏度可达0.01 ppb,中国生态环境部，灵敏度达到0.02 ppb,国内多家企业，灵敏度达到0.03 ppb,新一代环境监测仪器研发,中国科学院,cas.cn,2024-09-26,,,,,,,,,
航空仪器,高度精度 ±1 m,用于飞机飞行高度测量,美国洛克希德·马丁，精度达到±0.5 m,法国空中客车，精度达到±1 m,中国商飞，精度达到±2 m,国内多家企业，精度达到±3 m,新型航测仪器研发,中国航空工业集团,avic.com,2024-09-26,,,,,,,,,
机器人技术,运作精度 ±0.02 mm,用于工业机器人定位与操作,日本FANUC，精度达到±0.005 mm,德国库卡，精度达到±0.01 mm,深圳优必选，精度达到±0.03 mm,国内多家企业，精度达到±0.05 mm,高精度机器人研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
半导体设备,刻蚀精度 5 nm,用于半导体材料的精密加工,美国应用材料公司，刻蚀精度可达3 nm,韩国三星，刻蚀精度可达5 nm,中芯国际，刻蚀精度达到7 nm,国内多家企业，刻蚀精度达到10 nm,新一代半导体加工设备研发,中国半导体行业协会,csia.net.cn,2024-09-26,,,,,,,,,
