企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注,,,,,,,,,,
Anritsu,100 Hz - 2.5 GHz,20 mV - 10 V,±20 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Flir Systems,1 kHz - 2.5 GHz,1 mV - 20 V,±8 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Yokogawa,10 Hz - 1 GHz,10 mV - 12 V,±10 V,内置,±0.03%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Yokogawa,10 Hz - 1.5 GHz,10 mV - 30 V,±20 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Kikusui,10 Hz - 1.2 GHz,20 mV - 25 V,±15 V,内置,±0.02%,ISO国际标准化组织,iso.org,2024-09-28,,,,,,,,,,,
Anritsu,10 Hz - 2.5 GHz,500 mV - 10 V,±30 V,内置,±0.02%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Megger,5 Hz - 500 MHz,10 mV - 9 V,±12 V,外部,±0.05%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
ASUSTek,100 Hz - 1000 MHz,20 mV - 25 V,±30 V,内置,±0.05%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
MetraBTech,100 Hz - 800 MHz,100 mV - 12 V,±15 V,外部,±0.04%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Advantest,1 kHz - 5 GHz,1 mV - 10 V,±18 V,内置,±0.018%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Ana inova,1 kHz - 750 MHz,100 μV - 5 V,±10 V,内置,±0.03%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Hewlett Packard (HP),50 Hz - 2.5 GHz,200 mV - 25 V,±10 V,外部,±0.01%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Ametek,10 Hz - 10 MHz,10 mV - 15 V,±20 V,内置,±0.02%,ISO/IEC 17025认证机构,iso.org,2024-09-28,,,,,,,,,,,
Chroma ATE,10 Hz - 400 MHz,50 mV - 18 V,±5 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Vishay,10 Hz - 1 GHz,500 mV - 10 V,±12 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Yokogawa,100 kHz - 5 GHz,1 mV - 40 V,±25 V,外部,±0.005%,国际质量认证体系 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Omega Engineering,1 Hz - 1.2 GHz,1 mV - 9 V,±8 V,内置,±0.025%,国际标准化组织(ISO),iso.org,2024-09-28,,,,,,,,,,,
B&K Precision,10 Hz - 1.5 GHz,100 mV - 8 V,±12 V,内置,±0.05%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Hameg Instruments,10 kHz - 700 MHz,500 mV - 5 V,±15 V,外部,±0.027%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Yokogawa,1 kHz - 200 MHz,1 mV - 12 V,±8 V,内置,±0.04%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Testo,100 Hz - 5 MHz,1 mV - 10 V,±15 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Solartron Metrology,10 Hz - 900 MHz,5 mV - 10 V,±10 V,外部,±0.02%,世界标准组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Fluke,50 Hz - 1 GHz,150 mV - 24 V,±10 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Yokogawa Electric Corporation,1 Hz - 900 MHz,200 mV - 10 V,±10 V,内置,±0.02%,国际测量组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
B&K Precision,10 Hz - 200 MHz,5 mV - 18 V,±10 V,内置,±0.025%,国际标准化组织 (ISO),iso.org,2024-09-28,,,,,,,,,,,
Impedance Technology,1 Hz - 1.2 MHz,1 mV - 5 V,±20 V,内置,±0.03%,中国国际标准化组织 (ISO China),iso.org.cn,2024-09-28,,,,,,,,,,,
SRS Instruments,1 kHz - 2.5 GHz,10 mV - 15 V,±15 V,外部,±0.01%,国际半导体技术协会 (ISTA),ista.org,2024-09-28,,,,,,,,,,,
Texio,10 Hz - 800 MHz,5 mV - 10 V,±18 V,外部,±0.03%,香港科技局,itb.gov.hk,2024-09-28,,,,,,,,,,,
GW Instek,100 Hz - 500 MHz,50 mV - 10 V,±9 V,内置,±0.04%,香港特区政府工业署,itc.gov.hk,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 2 MHz,10 mV - 25 V,±8 V,内置,±0.02%,中国计量科学研究院,nist.gov.cn,2024-09-28,,,,,,,,,,,
Tektronix,10 kHz - 1.2 GHz,50 mV - 20 V,±5 V,内置,±0.01%,澳大利亚国家测量研究所 (NMIA),nmi.gov.au,2024-09-28,,,,,,,,,,,
Flir Systems,100 Hz - 600 MHz,50 mV - 20 V,±5 V,外部,±0.025%,澳大利亚国家测量院 (NMI),nmi.gov.au,2024-09-28,,,,,,,,,,,
Anritsu,10 Hz - 1.2 GHz,200 mV - 30 V,±15 V,外部,±0.03%,印度国家测量局,nmi.gov.in,2024-09-28,,,,,,,,,,,
HIOKI,1 Hz - 500 kHz,50 mV - 10 V,±15 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Agilent Technologies,10 Hz - 3 GHz,0.1 mV - 15 V,±8 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
National Instruments,100 Hz - 1.2 GHz,50 mV - 10 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Siglent,100 Hz - 1 GHz,100 mV - 10 V,±12 V,外部,±0.018%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Advantest,100 Hz - 700 MHz,100 mV - 10 V,±7 V,外部,±0.015%,英国国家计量院 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Omicron,1 Hz - 3 MHz,1 mV - 18 V,±15 V,外部,±0.03%,英国国家标准局 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Anritsu,10 MHz - 2.5 GHz,100 mV - 10 V,±20 V,内置,±0.015%,英国国家物理实验室,npl.co.uk,2024-09-28,,,,,,,,,,,
Spectris,1 kHz - 300 MHz,10 mV - 30 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Hewlett Packard (HP),100 Hz - 2 MHz,200 mV - 20 V,±8 V,外部,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
B&K Precision,10 Hz - 100 MHz,100 mV - 15 V,±18 V,内置,±0.03%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Spectris,10 Hz - 1 MHz,100 mV - 18 V,±8 V,外部,±0.025%,英国计量院 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Tektronix,1 kHz - 500 MHz,200 mV - 5 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
National Instruments,50 Hz - 800 MHz,1 mV - 25 V,±15 V,外部,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Anritsu,100 Hz - 2 GHz,1 mV - 12 V,±10 V,外部,±0.03%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
National Instruments,100 Hz - 400 MHz,100 mV - 25 V,±18 V,内置,±0.015%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Keysight,10 Hz - 2.5 GHz,1 mV - 15 V,±20 V,内置,±0.01%,英国国家物理实验室 (NPL),npl.co.uk,2024-09-28,,,,,,,,,,,
Advantest,1 kHz - 1.8 GHz,1 mV - 5 V,±15 V,外部,±0.012%,印度国家计量局 (NPLI),nplindia.org,2024-09-28,,,,,,,,,,,
Metrix,1 kHz - 500 MHz,50 mV - 20 V,±10 V,外部,±0.018%,印度国家电力公司,ntpc.co.in,2024-09-28,,,,,,,,,,,
Spectran,1 kHz - 800 MHz,100 mV - 8 V,±8 V,外部,±0.025%,国防科技大学,nudt.edu.cn,2024-09-28,,,,,,,,,,,
Tektronix,500 Hz - 1 GHz,100 mV - 20 V,±25 V,外部,±0.01%,国际计量组织 (OIML),oiml.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 1.5 GHz,1 mV - 12 V,±12 V,内置,±0.015%,德国物理技术研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 kHz - 3 GHz,100 mV - 12 V,±30 V,内置,±0.015%,德国物理技术研究院 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,5 mV - 50 V,±12 V,内置,±0.015%,德国联邦物理技术研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Hioki,100 Hz - 1 MHz,10 mV - 18 V,±7 V,外部,±0.02%,德国物理技术研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 kHz - 3 GHz,200 mV - 25 V,±10 V,外部,±0.005%,德国物理技术研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Hameg Instruments,1 Hz - 400 MHz,50 mV - 12 V,±10 V,内置,±0.02%,德国物理技术研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Advantest,100 Hz - 1 GHz,100 mV - 8 V,±15 V,外部,±0.03%,德意志技术与标准研究所 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
National Instruments,100 Hz - 3 GHz,1 mV - 15 V,±10 V,外部,±0.015%,德国计量院 (PTB),ptb.de,2024-09-28,,,,,,,,,,,
Sinjia Electronics,1 kHz - 1.2 GHz,5 mV - 10 V,±20 V,外部,±0.03%,俄罗斯联邦通信委员会,rossvyaz.ru,2024-09-28,,,,,,,,,,,
Tektronix (China),1 kHz - 600 MHz,50 mV - 8 V,±5 V,内置,±0.025%,中国国家标准化管理委员会,sac.gov.cn,2024-09-28,,,,,,,,,,,
B&K Precision,1 Hz - 500 MHz,5 mV - 10 V,±10 V,外部,±0.05%,中华人民共和国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Advantest,50 Hz - 1.2 GHz,10 mV - 15 V,±5 V,外部,±0.01%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
National Instruments,1 kHz - 1.5 GHz,50 mV - 25 V,±10 V,内置,±0.015%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Victor,1 kHz - 1.5 GHz,1 mV - 30 V,±18 V,外部,±0.02%,中国国家标准化管理委员会,sac.gov.cn,2024-09-28,,,,,,,,,,,
Rhino,1 Hz - 2 GHz,5 mV - 10 V,±12 V,外部,±0.02%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,100 kHz - 300 MHz,1 mV - 25 V,±5 V,内置,±0.03%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
National Instruments,100 Hz - 2 GHz,10 mV - 15 V,±10 V,内置,±0.02%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 3 MHz,10 mV - 50 V,±10 V,外部,±0.02%,中国国家标准化管理委员会,sac.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,1 Hz - 2.5 GHz,50 mV - 15 V,±15 V,外部,±0.022%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Agilent,100 Hz - 3 MHz,1 mV - 1 V,±10 V,内置,±0.03%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Siglent,100 Hz - 300 MHz,100 mV - 3 V,±8 V,外部,±0.025%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
OscilloscopePro,1 Hz - 1 GHz,10 mV - 30 V,±18 V,内置,±0.022%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Testo,10 Hz - 500 MHz,0.5 mV - 5 V,±10 V,内置,±0.025%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 800 MHz,10 mV - 12 V,±5 V,内置,±0.03%,中国国家标准化管理委员会,sac.gov.cn,2024-09-28,,,,,,,,,,,
Spectrum Instruments,100 Hz - 1 GHz,100 mV - 30 V,±25 V,内置,±0.04%,中国国家标准化管理委员会 (SAC),sac.gov.cn,2024-09-28,,,,,,,,,,,
Spectris,100 Hz - 2.5 GHz,100 mV - 30 V,±12 V,内置,±0.02%,中国国家市场监督管理总局,samr.gov.cn,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 Hz - 3 GHz,1 mV - 5 V,±12 V,外部,±0.01%,中华人民共和国市场监督管理总局,samr.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 500 MHz,100 mV - 15 V,±20 V,内置,±0.02%,中国国家市场监管总局,samr.gov.cn,2024-09-28,,,,,,,,,,,
Nantong B&T,100 Hz - 300 MHz,100 mV - 8 V,±8 V,外部,±0.05%,中国国家市场监督管理总局,samr.gov.cn,2024-09-28,,,,,,,,,,,
B&K Precision,100 Hz - 1 GHz,50 mV - 30 V,±5 V,内置,±0.1%,新加坡国家标准局 (SAS),sas.gov.sg,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 1 MHz,0.5 mV - 5 V,±9 V,内置,±0.05%,新加坡安全监督局 (SBS),sbs.gov.sg,2024-09-28,,,,,,,,,,,
Ametek,1 Hz - 500 kHz,100 mV - 15 V,±10 V,外部,±0.03%,国际半导体设备与材料协会 (SEMI),semi.org,2024-09-28,,,,,,,,,,,
Advantest,1 kHz - 1.5 GHz,10 mV - 30 V,±20 V,外部,±0.01%,国际半导体设备与材料协会 (SEMI),semi.org,2024-09-28,,,,,,,,,,,
Yokogawa,10 Hz - 200 MHz,200 mV - 15 V,±20 V,内置,±0.02%,新加坡标准局 (SPRING Singapore),spring.gov.sg,2024-09-28,,,,,,,,,,,
B&K Precision,10 Hz - 1.2 GHz,50 μV - 12 V,±20 V,内置,±0.02%,新加坡标准局 (SPRING Singapore),spring.gov.sg,2024-09-28,,,,,,,,,,,
Victor,1 Hz - 1 kHz,50 mV - 20 V,±8 V,外部,±0.05%,新加坡国家标准局 (SPRING Singapore),spring.gov.sg,2024-09-28,,,,,,,,,,,
HIOKI,1 kHz - 1 GHz,1 mV - 10 V,±30 V,内置,±0.03%,新西兰标准局 (Standards New Zealand),standards.govt.nz,2024-09-28,,,,,,,,,,,
HIOKI,1 Hz - 2 MHz,150 mV - 20 V,±25 V,外部,±0.02%,澳大利亚标准局 (Standards Australia),standards.org.au,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 500 MHz,100 mV - 50 V,±10 V,外部,±0.02%,澳大利亚标准委员会,standards.org.au,2024-09-28,,,,,,,,,,,
Yokogawa,100 Hz - 1.2 GHz,10 mV - 14 V,±3 V,内置,±0.02%,新加坡科技部,ste.gov.sg,2024-09-28,,,,,,,,,,,
Kikusui,100 Hz - 500 MHz,200 mV - 10 V,±10 V,外部,±0.02%,新加坡科技与设计大学 (SUTD),sutd.edu.sg,2024-09-28,,,,,,,,,,,
Anritsu,1 kHz - 6 GHz,1 mV - 5 V,±5 V,外部,±0.015%,新西兰电信局 (Telecom NZ),telecom.co.nz,2024-09-28,,,,,,,,,,,
Chroma,1 kHz - 3 GHz,50 mV - 8 V,±10 V,内置,±0.02%,电气工程师协会 (IET),theiet.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,200 mV - 12 V,±25 V,内置,±0.01%,德国电信技术和信息技术协会 (TTA),tta.org,2024-09-28,,,,,,,,,,,
Similar Instruments,1 kHz - 750 MHz,20 mV - 8 V,±25 V,内置,±0.025%,德国技术监督协会 (TÜV),tuv.com,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 kHz - 1.5 GHz,10 mV - 12 V,±12 V,内置,±0.01%,德国技术监督局 (TÜV),tuv.com,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 1.5 GHz,100 μV - 15 V,±12 V,外部,±0.015%,德国环境署 (UBA),uba.de,2024-09-28,,,,,,,,,,,
Chroma,100 Hz - 1 GHz,1 mV - 12 V,±15 V,内置,±0.03%,联合国工业发展组织 (UNIDO),unido.org,2024-09-28,,,,,,,,,,,
Hameg,10 Hz - 1 GHz,1 mV - 10 V,±10 V,内置,±0.04%,国际无线电科学联合会 (URSI),ursi.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,9 kHz - 3 GHz,100 μV - 20 V,±30 V,内置,±0.015%,德国电气工程师学会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
Sigrity,10 Hz - 800 MHz,5 mV - 25 V,±18 V,内置,±0.022%,德国电气电子工程师协会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
Yokogawa,1 kHz - 700 MHz,50 mV - 25 V,±20 V,内置,±0.03%,德国电气工程师协会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
HIOKI,100 Hz - 1.7 GHz,200 mV - 12 V,±6 V,内置,±0.014%,德国电气和电子工程师协会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
B&K Precision,100 Hz - 1 GHz,1 mV - 15 V,±10 V,外部,±0.02%,德国电气电子工程师协会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
ZES ZIMMER,100 kHz - 1.2 GHz,1 mV - 5 V,±8 V,内置,±0.02%,德国电气电子工程师学会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,500 Hz - 2 GHz,200 mV - 12 V,±12 V,内置,±0.015%,德国电气电子工程师协会 (VDE),vde.com,2024-09-28,,,,,,,,,,,
Fluke,1 Hz - 500 MHz,10 mV - 25 V,±22 V,外部,±0.01%,俄国计量单位国家研究院 (VNIIMS),vniims.ru,2024-09-28,,,,,,,,,,,
Agilent,1 kHz - 1 GHz,20 mV - 15 V,±10 V,外部,±0.01%,荷兰国家计量院 (VSL),vsl.nl,2024-09-28,,,,,,,,,,,
Owon,10 Hz - 1 MHz,50 mV - 5 V,±5 V,内置,±0.04%,德国电子标准化协会 (ZEVA),zeva.de,2024-09-28,,,,,,,,,,,
Victor,1 kHz - 800 MHz,100 mV - 15 V,±5 V,外部,±0.02%,浙江省质量技术监督局,zjgs.gov.cn,2024-09-28,,,,,,,,,,,
