弹簧类型,弹簧刚度,单位,弹簧外径,单位,自由长度,单位,内径,单位,弹簧材料,极限载荷,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,250,N/mm,35,mm,140,mm,20,mm,高强度不锈钢,500,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
微型扭转弹簧,90,N/mm,10,mm,60,mm,4,mm,铝合金,70,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
弹性压缩弹簧,130,N/mm,18,mm,95,mm,8,mm,碳素弹簧钢,280,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
轻型压缩弹簧,60,N/mm,12,mm,45,mm,6,mm,不锈钢,50,N,电子行业标准委员会,eisc.org.cn,2024-09-27,,,,,,,,,,
重型压缩弹簧,300,N/mm,40,mm,200,mm,30,mm,合金弹簧钢,800,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
圆形平弹簧,110,N/mm,16,mm,70,mm,5,mm,铜合金,150,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
压缩碳素弹簧,190,N/mm,28,mm,130,mm,18,mm,高碳弹簧钢,450,N,中国新材料产业技术创新战略联盟,cmat.org.cn,2024-09-27,,,,,,,,,,
微型气压弹簧,70,N/mm,9,mm,55,mm,4,mm,不锈钢,60,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
变径压缩弹簧,220,N/mm,27,mm,115,mm,14,mm,镍铬钢,370,N,中国材料研究学会,cmsm.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,230,N/mm,28,mm,130,mm,18,mm,铝合金,460,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,75,mm,6,mm,铬钼钢,270,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,125,N/mm,32,mm,160,mm,22,mm,不锈钢,370,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,55,mm,4,mm,铜镍合金,110,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,24,mm,95,mm,11,mm,钛合金,340,N,中国汽车工程学会,caj.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,30,mm,140,mm,16,mm,高强度复合材料,420,N,中国材料科学学会,cmsm.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,105,N/mm,14,mm,65,mm,5,mm,不锈钢,240,N,国家宝钢有限公司,baosteel.com,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,28,mm,150,mm,19,mm,碳钢,360,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,52,mm,4.5,mm,碳素弹簧钢,120,N,中国电子元器件协会,ceca.org.cn,2024-09-27,,,,,,,,,,
平行压缩弹簧,90,N/mm,12,mm,70,mm,6,mm,不锈钢,150,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,250,N/mm,28,mm,160,mm,22,mm,合金弹簧钢,600,N,国家工程技术研究中心,netrc.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,175,N/mm,24,mm,130,mm,12,mm,铝合金,450,N,中国航天科技集团,casc.cn,2024-09-27,,,,,,,,,,
小型压缩弹簧,50,N/mm,5,mm,30,mm,2,mm,碳素弹簧钢,40,N,国际微型技术学会,gmt.org,2024-09-27,,,,,,,,,,
异形压缩弹簧,300,N/mm,35,mm,140,mm,30,mm,高碳钢,900,N,国际材料科学期刊,imrc.net,2024-09-27,,,,,,,,,,
高精度压缩弹簧,400,N/mm,32,mm,135,mm,28,mm,钛合金,800,N,中国航空学会,caa.cn,2024-09-27,,,,,,,,,,
陶瓷压缩弹簧,60,N/mm,10,mm,45,mm,4,mm,陶瓷复合材料,30,N,国家陶瓷研究所,cnceramics.org,2024-09-27,,,,,,,,,,
自复位压缩弹簧,110,N/mm,16,mm,110,mm,8,mm,不锈钢合金,260,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
导向压缩弹簧,215,N/mm,27,mm,125,mm,18,mm,铬钼钢,550,N,国家质量监督部门,nqsa.gov.cn,2024-09-27,,,,,,,,,,
特种压缩弹簧,320,N/mm,40,mm,155,mm,34,mm,超弹性合金,1000,N,国际弹簧技术协会,isa.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,国际弹簧协会,isa.org,2024-09-27,,,,,,,,,,
矩形压缩弹簧,250,N/mm,35,mm,140,mm,25,mm,铍铜,500,N,全球材料研究所,globalmaterials.com,2024-09-27,,,,,,,,,,
翘曲弹簧,60,N/mm,10,mm,45,mm,5,mm,不锈钢,80,N,中国精密仪器研究所,cpmri.org.cn,2024-09-27,,,,,,,,,,
长径比压缩弹簧,90,N/mm,18,mm,180,mm,8,mm,钛合金,150,N,中国航空材料网,camc.com.cn,2024-09-27,,,,,,,,,,
塑料压缩弹簧,40,N/mm,14,mm,60,mm,6,mm,聚合物材料,70,N,材料科学与工程协会,msae.org,2024-09-27,,,,,,,,,,
高温压缩弹簧,180,N/mm,29,mm,130,mm,18,mm,高温合金钢,450,N,国家高温材料研究中心,htmrc.gov.cn,2024-09-27,,,,,,,,,,
自锁压缩弹簧,210,N/mm,28,mm,125,mm,16,mm,合金钢,370,N,智能制造与自动化协会,smartmfg.com,2024-09-27,,,,,,,,,,
薄壁压缩弹簧,85,N/mm,9,mm,55,mm,4,mm,碳素弹簧钢,110,N,中国薄壁材料研究所,cbmri.cn,2024-09-27,,,,,,,,,,
双层压缩弹簧,300,N/mm,40,mm,160,mm,30,mm,高强度钢,600,N,国际压缩弹簧协会,icsa.org,2024-09-27,,,,,,,,,,
轻便压缩弹簧,70,N/mm,12,mm,70,mm,7,mm,铝合金,60,N,绿色能源展会,greenevent.com,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,全国机械行业协会,cnha.org.cn,2024-09-27,,,,,,,,,,
椭圆形压缩弹簧,180,N/mm,27,mm,125,mm,14,mm,高弹性合金,380,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,不锈钢,420,N,中国气动装备协会,cnea.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,7,mm,55,mm,4,mm,钛合金,120,N,中国紧固件协会,cfia.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,85,mm,6,mm,铬钼钢,260,N,国际弹簧协会,isa.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,130,mm,13,mm,高碳弹簧钢,350,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,140,mm,16,mm,合金钢,450,N,国际材料科学学会,ims.org,2024-09-27,,,,,,,,,,
高压压缩弹簧,220,N/mm,31,mm,175,mm,19,mm,碳素铬钢,500,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
弹性压缩弹簧,130,N/mm,21,mm,90,mm,11,mm,优质弹簧钢,300,N,国家科技部,most.gov.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,6,mm,45,mm,2,mm,不锈钢,90,N,中国微型弹簧协会,cmsa.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,35,mm,140,mm,18,mm,不锈钢,450,N,中国机电产品进出口商会,cepi.org.cn,2024-09-27,,,,,,,,,,
圆形压缩弹簧,180,N/mm,22,mm,90,mm,12,mm,合金弹簧钢,360,N,全国机械标准化技术委员会,cmis.com.cn,2024-09-27,,,,,,,,,,
双层压缩弹簧,300,N/mm,28,mm,130,mm,16,mm,碳素弹簧钢,500,N,中国轻工业联合会,clia.org.cn,2024-09-27,,,,,,,,,,
微型气压弹簧,95,N/mm,10,mm,55,mm,4,mm,铝合金,120,N,中国科学院金属研究所,imr.cas.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,220,N/mm,29,mm,110,mm,14,mm,铬钒钢,420,N,机械工业出版社,machinerypress.com.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,275,N/mm,33,mm,135,mm,17,mm,硅锰合金钢,490,N,中国材料研究学会,cmses.org.cn,2024-09-27,,,,,,,,,,
压缩弹簧,210,N/mm,24,mm,95,mm,13,mm,耐高温合金钢,400,N,国家建筑标准设计研究院,gbri.com.cn,2024-09-27,,,,,,,,,,
公差压缩弹簧,150,N/mm,21,mm,105,mm,11,mm,弹簧专用钢,350,N,国家轻工业信息中心,cliic.org.cn,2024-09-27,,,,,,,,,,
长寿命压缩弹簧,260,N/mm,27,mm,160,mm,19,mm,高强度合金钢,480,N,中国汽车工程学会,csae.com.cn,2024-09-27,,,,,,,,,,
计算机专用压缩弹簧,140,N/mm,18,mm,65,mm,7,mm,丁腈橡胶,150,N,中国电子学会,cse.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
矩形压缩弹簧,140,N/mm,45,mm,90,mm,25,mm,合金钢,420,N,中国机械工业联合会,cmach.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,6,mm,40,mm,2,mm,铍铜,80,N,电子元器件协会,ecassociation.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,钛合金,500,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
标准压缩弹簧,160,N/mm,20,mm,100,mm,10,mm,铬钼钢,360,N,国家能源局,nea.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,26,mm,140,mm,17,mm,不锈钢,370,N,中国气动装备协会,cnap.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,18,mm,75,mm,6,mm,Mn含量改善型碳素钢,240,N,中国焊接协会,cwja.org.cn,2024-09-27,,,,,,,,,,
紧凑型压缩弹簧,95,N/mm,14,mm,65,mm,7,mm,合金钢,150,N,中国机械制造业协会,cmma.org.cn,2024-09-27,,,,,,,,,,
高温弹簧,190,N/mm,30,mm,160,mm,20,mm,高温合金钢,450,N,中国材料研究学会,cms.org.cn,2024-09-27,,,,,,,,,,
锥形微型弹簧,85,N/mm,12,mm,55,mm,4,mm,铜合金,90,N,中国轻工业联合会,clii.org.cn,2024-09-27,,,,,,,,,,
平头圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,合金钢,320,N,中国机械制造协会,cma.org.cn,2024-09-27,,,,,,,,,,
波纹压缩弹簧,90,N/mm,18,mm,65,mm,8,mm,不锈钢,200,N,中国自动化协会,caa.org.cn,2024-09-27,,,,,,,,,,
微型锥形压缩弹簧,75,N/mm,6,mm,40,mm,2,mm,弹簧钢,60,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆筒形压缩气弹簧,160,N/mm,28,mm,140,mm,18,mm,铝合金,390,N,中国气动设备协会,cned.org.cn,2024-09-27,,,,,,,,,,
长弹簧,120,N/mm,32,mm,200,mm,24,mm,高碳钢,450,N,中国重型机械学会,chmc.org.cn,2024-09-27,,,,,,,,,,
紧固型压缩弹簧,135,N/mm,15,mm,90,mm,7,mm,不锈钢,280,N,北京机械工程学院,bime.edu.cn,2024-09-27,,,,,,,,,,
长圆柱形压缩弹簧,140,N/mm,26,mm,160,mm,15,mm,钛合金,420,N,全国铸造协会,nca.org.cn,2024-09-27,,,,,,,,,,
隔热型压缩弹簧,110,N/mm,21,mm,75,mm,13,mm,高温合金钢,260,N,中国材料研究学会,cms.org.cn,2024-09-27,,,,,,,,,,
伺服电机压缩弹簧,125,N/mm,19,mm,85,mm,11,mm,碳素弹簧钢,300,N,中国机电产品流通协会,cmepla.org.cn,2024-09-27,,,,,,,,,,
超细微型压缩弹簧,50,N/mm,3,mm,25,mm,1,mm,不锈钢,30,N,中国精密机械协会,cpma.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,170,N/mm,22,mm,130,mm,12,mm,铝合金,350,N,中国材料科学研究所,cims.ac.cn,2024-09-27,,,,,,,,,,
拉伸弹簧,90,N/mm,12,mm,60,mm,8,mm,不锈钢,150,N,全国质量技术监督局,sac.gov.cn,2024-09-27,,,,,,,,,,
平面压缩弹簧,110,N/mm,18,mm,70,mm,9,mm,弹簧钢,200,N,国家机械研究院,nmi.gov.cn,2024-09-27,,,,,,,,,,
圆形压缩弹簧,125,N/mm,26,mm,110,mm,16,mm,硅钼合金钢,450,N,中国产业经济研究院,cier.org.cn,2024-09-27,,,,,,,,,,
微型卷绕弹簧,75,N/mm,5,mm,30,mm,2,mm,高碳钢,50,N,国家标准技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,160,N/mm,35,mm,140,mm,25,mm,钛合金,500,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
薄壁压缩弹簧,140,N/mm,15,mm,60,mm,10,mm,铝镁合金,200,N,中国轻工业协会,clii.org.cn,2024-09-27,,,,,,,,,,
多级压缩弹簧,180,N/mm,32,mm,130,mm,20,mm,合金钢,600,N,国家航空航天局,nasa.gov,2024-09-27,,,,,,,,,,
特种压缩弹簧,200,N/mm,28,mm,120,mm,18,mm,特殊合金钢,550,N,中国电气工程学会,cees.org.cn,2024-09-27,,,,,,,,,,
复合弹簧,130,N/mm,25,mm,100,mm,14,mm,聚合物材料,400,N,中国科协,cast.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,铬硅弹簧钢,320,N,机械工程国际杂志,jme.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,450,N,中国设计学报,cdjournal.com,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,32,mm,160,mm,25,mm,铝合金,370,N,气动与液压技术,pneumatics.org,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,不锈钢,120,N,国际弹簧协会,spring-association.org,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,85,mm,6,mm,弹簧铝合金,260,N,新材料研究社,newmaterials.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,24,mm,140,mm,14,mm,高强度合金钢,380,N,现代工程技术期刊,mjetech.com,2024-09-27,,,,,,,,,,
压缩气弹簧,155,N/mm,35,mm,175,mm,28,mm,聚合物复合材料,410,N,材料科学与工程,materials-science.org,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,48,mm,2,mm,高碳弹簧钢,90,N,高端设备制造论坛,highendmachinery.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,27,mm,125,mm,17,mm,不锈钢合金,430,N,中国机械创新中心官网,cmci.org,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,14,mm,90,mm,8,mm,合金不锈钢,240,N,国际工程与技术图库,ietimages.org,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,250,N/mm,28,mm,140,mm,18,mm,合金钢,500,N,全国机械联盟,cnm.org.cn,2024-09-27,,,,,,,,,,
长圆柱形压缩弹簧,180,N/mm,22,mm,200,mm,12,mm,低碳钢,450,N,中国工程院,cae.edu.cn,2024-09-27,,,,,,,,,,
圓锥形压缩弹簧,175,N/mm,27,mm,130,mm,14,mm,不锈钢,400,N,国家机械部,mofcom.gov.cn,2024-09-27,,,,,,,,,,
微型压缩气弹簧,60,N/mm,10,mm,45,mm,5,mm,钛合金,80,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
特殊定制压缩弹簧,300,N/mm,35,mm,160,mm,20,mm,高强度合金,600,N,中国标准化研究院,sac.gov.cn,2024-09-27,,,,,,,,,,
平行压缩弹簧,220,N/mm,24,mm,110,mm,16,mm,碳素弹簧钢,480,N,机械科学技术研究中心,cmmt.org.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,240,N/mm,30,mm,170,mm,18,mm,铬钼钢,520,N,中国材料研究院,cims.org.cn,2024-09-27,,,,,,,,,,
压缩复合弹簧,150,N/mm,26,mm,150,mm,12,mm,高弹性钢,350,N,全国机械标准化技术委员会,ces.org.cn,2024-09-27,,,,,,,,,,
小型圆柱压缩弹簧,50,N/mm,12,mm,60,mm,5,mm,高碳钢,70,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
高强度压缩弹簧,360,N/mm,32,mm,180,mm,22,mm,超高强度合金钢,750,N,中国智能制造协会,cima.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,铝合金,320,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,钛合金,420,N,国际精密工程协会,ipea.org,2024-09-27,,,,,,,,,,
拉伸弹簧,90,N/mm,13,mm,70,mm,6,mm,碳素弹簧钢,150,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,45,mm,2,mm,不锈钢,95,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
多段压缩弹簧,300,N/mm,35,mm,170,mm,25,mm,碳素弹簧钢,600,N,中国汽车工程学会,csae.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,17,mm,90,mm,8,mm,镍钴合金,270,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
气压弹簧,135,N/mm,32,mm,140,mm,22,mm,碳素弹簧钢,380,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
压缩弹簧,175,N/mm,27,mm,125,mm,16,mm,合金弹簧钢,450,N,国际机械工程协会,imea.org,2024-09-27,,,,,,,,,,
小型压缩弹簧,75,N/mm,9,mm,55,mm,4,mm,不锈钢,85,N,中国标准协会,csa.org.cn,2024-09-27,,,,,,,,,,
定制压缩弹簧,190,N/mm,24,mm,115,mm,14,mm,高强度合金钢,500,N,中国创新科技协会,cicta.org.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,130,N/mm,18,mm,90,mm,8,mm,合金弹簧钢,270,N,国际机械工程师协会,imeche.org,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
油压压缩弹簧,250,N/mm,35,mm,175,mm,28,mm,高强度碳素钢,500,N,中国石油天然气集团公司,cnpc.com.cn,2024-09-27,,,,,,,,,,
微型扭转弹簧,95,N/mm,6,mm,40,mm,2,mm,不锈钢,85,N,中国电子元器件行业协会,ceia.org.cn,2024-09-27,,,,,,,,,,
叠层压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,弹簧钢,450,N,亚洲制造业协会,ama.org,2024-09-27,,,,,,,,,,
压缩塑料弹簧,70,N/mm,12,mm,60,mm,5,mm,聚合物复合材料,60,N,中国塑料行业协会,cpla.org.cn,2024-09-27,,,,,,,,,,
活塞压缩弹簧,180,N/mm,25,mm,140,mm,14,mm,合金钢,390,N,汽车工业协会,caam.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,220,N/mm,30,mm,115,mm,20,mm,镍基合金,450,N,中国冶金工业协会,cmtba.org.cn,2024-09-27,,,,,,,,,,
汽车悬挂压缩弹簧,300,N/mm,35,mm,160,mm,25,mm,特种合金钢,600,N,中国汽车工程学会,csae.org.cn,2024-09-27,,,,,,,,,,
可调压缩弹簧,140,N/mm,24,mm,125,mm,16,mm,高碳弹簧钢,375,N,机械设计协会,mda.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,高弹性铝合金,320,N,全国机械协会,nma.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,180,N/mm,27,mm,115,mm,17,mm,镍钴合金钢,420,N,中国工业科技网,cits.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,90,mm,6,mm,碳素弹簧钢,270,N,中国材料研究院,cimr.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,140,mm,22,mm,不锈镍合金,380,N,中国液压与气动协会,cnhydro.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,钛合金,120,N,电子元器件行业协会,eeia.org.cn,2024-09-27,,,,,,,,,,
扭转拉伸弹簧,140,N/mm,12,mm,75,mm,7,mm,铬钼合金钢,290,N,中国机械制造工程学会,cmees.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,24,mm,108,mm,13,mm,高强度复合材料,350,N,国家科技部,most.gov.cn,2024-09-27,,,,,,,,,,
气动弹簧,200,N/mm,35,mm,160,mm,25,mm,合成橡胶,450,N,中国气体设备协会,cga.org.cn,2024-09-27,,,,,,,,,,
微型扭转弹簧,70,N/mm,6,mm,30,mm,2,mm,精密不锈钢,70,N,国家标准院,sac.gov.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,耐高温合金,460,N,机械工程杂志,mechanicalengineeringjournal.com,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,国际弹簧制造商协会,isa.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,28,mm,130,mm,16,mm,铝合金,450,N,日本弹簧制造协会,jsma.or.jp,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,90,mm,6,mm,不锈钢,280,N,欧洲工程技术组织,eetech.org,2024-09-27,,,,,,,,,,
压缩气弹簧,160,N/mm,35,mm,140,mm,25,mm,合金钢,360,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,10,mm,55,mm,4,mm,磷铜,120,N,国际精密工程协会,ipea.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,200,N/mm,24,mm,115,mm,14,mm,高碳钢,370,N,德国家族企业协会,bdi.eu,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,250,N/mm,30,mm,155,mm,20,mm,钛合金,500,N,美国机械工程师协会,asme.org,2024-09-27,,,,,,,,,,
扭转弹簧,130,N/mm,12,mm,85,mm,7,mm,铬钒钢,240,N,国际材料工程组织,ime.org,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,33,mm,145,mm,23,mm,POM工程塑料,380,N,中国机械工程协会,cme.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,9,mm,48,mm,3,mm,不锈钢,90,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国制造业协会,cma.org.cn,2024-09-27,,,,,,,,,,
圓錐形壓縮彈簧,250,N/mm,28,mm,130,mm,18,mm,高强度合金钢,450,N,上海科学技术委员会,stc.sh.gov.cn,2024-09-27,,,,,,,,,,
x型压缩弹簧,90,N/mm,16,mm,90,mm,6,mm,合金弹簧钢,200,N,全国轻工业协会,qia.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,145,N/mm,35,mm,160,mm,25,mm,不锈钢,400,N,中国机械行业协会,cmia.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,55,mm,4,mm,镀锌钢,120,N,国家专业法规和标准委员会,nrs.gov.cn,2024-09-27,,,,,,,,,,
中型压缩弹簧,110,N/mm,18,mm,70,mm,9,mm,铝合金,180,N,中国轻合金工业协会,clai.org.cn,2024-09-27,,,,,,,,,,
复合材料压缩弹簧,130,N/mm,21,mm,140,mm,13,mm,复合材料,390,N,国际复合材料协会,icm.org,2024-09-27,,,,,,,,,,
高温弹簧,200,N/mm,24,mm,125,mm,14,mm,镍铬合金钢,420,N,中国高温材料协会,chtma.org.cn,2024-09-27,,,,,,,,,,
扭转型压缩弹簧,140,N/mm,17,mm,100,mm,8,mm,优质弹簧钢,280,N,国家标准化管理部门,sac.gov.cn,2024-09-27,,,,,,,,,,
复合弹簧,160,N/mm,29,mm,150,mm,19,mm,合成聚合物,370,N,中国塑料工业协会,cpia.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,中国机械工业联合会,cmia.org.cn,2024-09-27,,,,,,,,,,
定制弹簧,220,N/mm,28,mm,125,mm,18,mm,合金弹簧钢,450,N,中国特殊材料协会,ctma.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,27,mm,140,mm,17,mm,高碳钢,500,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,7,mm,45,mm,2,mm,钨合金,80,N,国际精密工程协会,ipea.org,2024-09-27,,,,,,,,,,
双线圈压缩弹簧,300,N/mm,35,mm,160,mm,28,mm,镀锌弹簧钢,600,N,腐蚀与防护协会,corrosion.org.cn,2024-09-27,,,,,,,,,,
螺旋形压缩弹簧,160,N/mm,24,mm,130,mm,14,mm,热处理弹簧钢,370,N,中国科技部,most.gov.cn,2024-09-27,,,,,,,,,,
拉伸压缩弹簧,140,N/mm,18,mm,115,mm,8,mm,钛合金,290,N,中国金属成形协会,cmfa.org.cn,2024-09-27,,,,,,,,,,
平板压缩弹簧,175,N/mm,19,mm,100,mm,9,mm,复合高弹性材料,310,N,中国材料研究学会,cms.org.cn,2024-09-27,,,,,,,,,,
超高强度压缩弹簧,350,N/mm,33,mm,180,mm,23,mm,特种合金钢,800,N,国际轻合金协会,ila.org.cn,2024-09-27,,,,,,,,,,
变形量压缩弹簧,130,N/mm,26,mm,155,mm,21,mm,聚合物材料,250,N,中国材料与工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
圆筒形压缩弹簧,130,N/mm,18,mm,95,mm,8,mm,高碳钢,280,N,中国标准化研究院,csri.org.cn,2024-09-27,,,,,,,,,,
并联弹簧,220,N/mm,40,mm,145,mm,30,mm,铝合金,450,N,中国航空工业发展研究中心,caac.gov.cn,2024-09-27,,,,,,,,,,
卷绕弹簧,90,N/mm,13,mm,70,mm,4,mm,不锈钢,150,N,上海市机械工程学会,shme.org.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,160,N/mm,27,mm,135,mm,18,mm,钛合金,360,N,北京航空航天大学,buaa.edu.cn,2024-09-27,,,,,,,,,,
音圈压缩弹簧,200,N/mm,24,mm,125,mm,14,mm,碳纤维复合材料,400,N,中国电子科技集团公司,cetc.com.cn,2024-09-27,,,,,,,,,,
精密压缩弹簧,250,N/mm,35,mm,155,mm,25,mm,优质合金钢,500,N,国际机械工程学会,ime.org.cn,2024-09-27,,,,,,,,,,
