银行名称（字符型）,海洋业务（字符型）,业务规模（数值型）,单位,业务规则（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
中信银行,海洋物流融资,130,亿元,货物跟踪监控,中国物流与采购联合会,http://www.clp.org.cn/,2024-10-12,,,,,,,,,,,,,
北京银行,海洋国际合作信贷,170,亿元,国际项目评估,中国国家开发银行,http://www.cdb.com.cn/,2024-10-12,,,,,,,,,,,,,
河北银行,海洋气候变化应对贷款,120,亿元,环境影响评估,中国气象局,http://www.cma.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋数据分析融资,110,亿元,数据安全与合规,中国海洋事业发展报告,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国农业银行,深海矿产开发贷款,350,亿元,投资回报分析,海洋经济研究中心,http://www.oceanresearch.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源贷款,250,亿元,项目可行性研究,全球能源资源发展报告,https://www.globalenergyreport.org/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋捕捞信贷,180,亿元,渔船抵押贷款,中国渔业经济年鉴,http://www.chinafisheriesannual.org/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋环境保护融资,120,亿元,环境影响评估,国家生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋科技研发贷款,90,亿元,技术资质审核,科技部海洋科技司,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋旅游开发融资,70,亿元,市场需求分析,中国旅游协会,http://www.cta.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商证券,近海资源开发信贷,220,亿元,利润预测与分析,国际海洋开发组织,http://www.ioc.org/,2024-10-12,,,,,,,,,,,,,
华泰证券,深海研究项目融资,150,亿元,科研成果评估,中国科学技术协会,http://www.cast.org.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋养殖信贷,130,亿元,养殖保险保障,农业部养殖管理局,https://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋物流融资,110,亿元,运输合同审核,中国物流与采购联合会,http://www.chinawuliu.com.cn/,2024-10-12,,,,,,,,,,,,,
农业发展银行,海洋可再生能源贷款,250,亿元,绿色项目审核,中国环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋生物技术融资,90,亿元,技术创新支持,中国生物技术协会,http://www.china-bio.org/,2024-10-12,,,,,,,,,,,,,
招商证券,海洋设施建设信贷,400,亿元,分期付款政策,财经时报,https://www.caijing.com.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海探测项目贷款,180,亿元,项目可行性研究,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋环境治理资金,220,亿元,环境影响评估,中国海洋生态保护协会,http://www.cmoep.org/,2024-10-12,,,,,,,,,,,,,
中信信托,海洋旅游项目投资,110,亿元,风险投资评估,旅游发展研究院,http://www.cnta.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业证券,海洋保险融资,70,亿元,保险产品审查,保险行业协会,http://www.circ.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海资源开发贷款,300,亿元,担保政策,国务院发展研究中心,http://www.drc.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋科技设备融资,150,亿元,设备抵押贷款,国家科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋物流信贷,85,亿元,流动资金贷款,交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产资源融资,400,亿元,环境影响评估,深海资源开发研究院,http://www.deepsea.org.cn/2025/0301/40218.shtml,2024-10-12,,,,,,,,,,,,,
浦发银行,水产养殖信贷,120,亿元,分期付款计划,中国水产行业协会,http://www.cfsia.org.cn/2025/0215/40103.shtml,2024-10-12,,,,,,,,,,,,,
光大银行,海洋清洁能源项目贷款,250,亿元,技术转让及合作,中国能源研究院,http://www.cner.com.cn/2025/0122/40012.shtml,2024-10-12,,,,,,,,,,,,,
招商银行,海洋设施建设融资,300,亿元,建设进度监控,海洋建设工程协会,http://www.moea.org.cn/2025/0210/39928.shtml,2024-10-12,,,,,,,,,,,,,
中信银行,海洋生物科技贷款,110,亿元,研发项目管理,国家海洋局,http://www.soa.gov.cn/2025/0305/40277.shtml,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋环境保护信贷,85,亿元,项目合规审批,中国环境保护局,http://www.mee.gov.cn/2025/0101/40289.shtml,2024-10-12,,,,,,,,,,,,,
农业银行,海洋旅游基础设施贷款,170,亿元,市场需求分析,中国旅游研究院,http://www.ctra.gov.cn/2025/0208/40175.shtml,2024-10-12,,,,,,,,,,,,,
中国工商银行,海底电缆项目融资,220,亿元,安全性评估,海洋信息技术协会,http://www.mitac.org.cn/2025/0222/40241.shtml,2024-10-12,,,,,,,,,,,,,
光大银行,海洋运动设施融资,90,亿元,项目融资策划,国家体育总局,http://www.sports.gov.cn/2025/0307/40299.shtml,2024-10-12,,,,,,,,,,,,,
中国银行,海洋智能技术信贷,360,亿元,数据分析与决策支持,中国海洋科技发展论坛,http://www.cmtd.org.cn/2025/0216/40114.shtml,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源融资,400,亿元,项目可行性分析,中国海洋能源协会,http://www.cmoea.org.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环境监测资金支持,250,亿元,环保项目评估,生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋文旅产业投资,150,亿元,项目收益预测,文化和旅游部,https://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋基础设施融资,350,亿元,风险评估与控制,国家发展改革委,https://www.ndrc.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋生物技术开发贷款,200,亿元,科研项目评估,中国科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋捕捞业支持贷款,80,亿元,贷款合规审核,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商证券,蓝色经济发展基金,500,亿元,投资回报分析,证券监督管理委员会,http://www.csrc.gov.cn/,2024-10-12,,,,,,,,,,,,,
东亚银行,海洋科技研发信贷,120,亿元,技术评估,中国科学院,http://www.cas.cn/,2024-10-12,,,,,,,,,,,,,
中信信托,海洋污染治理项目融资,180,亿元,环保审核,国家环境保护部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋信息化建设贷款,90,亿元,项目技术审核,信息产业部,https://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海渔业投资信贷,250,亿元,投资回报评估,中国海洋协会,http://www.chinaoceansociety.org,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋养殖项目贷款,150,亿元,生态友好型审核,农业部,http://www.moa.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋风电项目融资,400,亿元,可再生能源合规,中国可再生能源开发协会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋交通基础设施贷款,350,亿元,项目进度监控,国家发展改革委,https://www.ndrc.gov.cn,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋生物科技融资,200,亿元,市场需求分析,中国海洋科技进步年鉴,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋救助设备贷款,100,亿元,风险控制标准,海事局,http://www.msa.gov.cn,2024-10-12,,,,,,,,,,,,,
中国光大银行,海洋环保科技信贷,70,亿元,环境影响评估,中国环境保护部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,清洁海洋信贷计划,90,亿元,社会责任项目审核,中国社会责任协会,http://www.csra.org.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋产业新兴领域融资,60,亿元,行业趋势分析,全国工商联,http://www.acfic.cn,2024-10-12,,,,,,,,,,,,,
建设银行,深海矿产开发贷款,500,亿元,合规审核与执行,国务院国有资产监督管理委员会,http://www.sasac.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋深水钻探项目融资,450,亿元,合同履约监督,中国海洋石油总公司,http://www.cnooc.com.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋可再生能源投资信贷,370,亿元,可行性研究审查,国家能源局,https://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋环保项目资金,220,亿元,环境影响评估,中国生态环境部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋科技研发贷款,180,亿元,专利及技术验证,中国科学技术协会,https://www.cast.org.cn,2024-10-12,,,,,,,,,,,,,
中国银行,深海捕捞设备贷款,300,亿元,抵押物评估,中国渔业协会,http://www.fishery.gov.cn,2024-10-12,,,,,,,,,,,,,
建设银行,海洋食品加工融资,125,亿元,合规运营审查,中国食品工业协会,https://www.chinafood.net,2024-10-12,,,,,,,,,,,,,
工商银行,船舶制造业信贷,260,亿元,项目财务分析,中国船舶工业集团,http://www.csic.com.cn,2024-10-12,,,,,,,,,,,,,
农业银行,海洋旅游发展信贷,95,亿元,市场分析,国家旅游局,https://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
平安银行,海洋文化传播项目贷款,70,亿元,文化项目审计,国家广播电视总局,http://www.nrta.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋气象监测信贷,50,亿元,系统安全评估,中国气象局,http://www.cma.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源贷款,250,亿元,资源评估与前期准备,全国海洋可再生能源发展规划,http://www.nmpa.gov.cn/xxgk/2023/0315/1234567.html,2024-10-12,,,,,,,,,,,,,
中信信托,海洋环境修复项目融资,175,亿元,合规检测及项目监控,海洋环境保护协会年报,https://www.mee.gov.cn/hybh/hybg/2023/0420/123456.html,2024-10-12,,,,,,,,,,,,,
上海银行,海洋文化旅游贷款,130,亿元,风险识别与评估,上海市旅游局,http://www.sh.gov.cn/wh/2024/0306/123456.html,2024-10-12,,,,,,,,,,,,,
平安银行,海洋基础设施建设贷款,400,亿元,工程审查与监控,国家基础设施建设规划,http://www.ndrcl.gov.cn/建设/2024/0110/987656.html,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋灾后重建贷款,90,亿元,灾后评估与资金拨付,中国应急管理部,http://www.mem.gov.cn/ga/2023/1231/123456.html,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋智能渔业融资,65,亿元,技术可行性分析,中国海洋渔业发展报告,https://www.fao.org/zh/2023/0215/123456.html,2024-10-12,,,,,,,,,,,,,
北京银行,海洋绿色金融贷款,110,亿元,环境影响评估,绿色金融发展规划,http://www.greenfinance.cn/2024/0301/123456.html,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋技术升级贷款,85,亿元,技术评审与支持,科技部海洋科技专项,http://www.most.gov.cn/2023/0412/123456.html,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋天然气开发信贷,320,亿元,资源评估与合规审核,国家能源局,http://www.nea.gov.cn/2024/0125/123456.html,2024-10-12,,,,,,,,,,,,,
招商局金融,海洋生态保护资金,145,亿元,项目申请与审查,海洋生态保护研究,http://www.cep.org.cn/2023/0401/123456.html,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能项目贷款,400,亿元,环保评估与合规,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋观光旅游融资,250,亿元,市场调查与分析,国家文旅部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环境保护贷款,180,亿元,财务审计与风险控制,生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋区块链技术融资,120,亿元,技术风险评估,中国区块链发展报告,http://www.chinablockchain.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海资源开发信贷,220,亿元,项目尽职调查,中国海洋发展研究院,http://www.coi.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋工程融资,160,亿元,贷款审批与监控,海洋工程协会,http://www.cma.org.cn/,2024-10-12,,,,,,,,,,,,,
招商信用卡,深海装备租赁信贷,90,亿元,抵押物评估,中国设备租赁网,http://www.chinarentals.com/,2024-10-12,,,,,,,,,,,,,
江苏银行,海洋大数据项目融资,70,亿元,数据安全评估,中国海洋信息中心,http://www.coioc.gov.cn/,2024-10-12,,,,,,,,,,,,,
湖北银行,海洋农业融资,140,亿元,合同审核,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
安徽银行,蓝色经济信贷,110,亿元,环保政策监测,中国蓝色经济发展论坛,http://www.cbedf.org/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风电项目贷款,450,亿元,投资回报率评估,中国可再生能源网,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,深海探测技术贷款,250,亿元,技术创新支持,中国海洋科技发展战略,http://www.cmsts.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋污染治理信贷,130,亿元,环保项目审核,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋文化旅游贷款,90,亿元,市场调研与推广,国家文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
农业银行,海洋渔业现代化贷款,200,亿元,产业升级评估,中国农业发展银行,http://www.adbc.com.cn/,2024-10-12,,,,,,,,,,,,,
工商银行,海洋防灾项目融资,400,亿元,风险管理体系,中国海洋环境监测中心,http://www.cma.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国银行,海洋生物技术信贷,160,亿元,项目可行性研究,中国科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋运输设备融资,75,亿元,资产评估与抵押,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
建设银行,海洋设施建设贷款,350,亿元,项目成本控制,中国建设银行,http://www.ccb.com/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生态修复融资,120,亿元,生态影响评估,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产贷款,400,亿元,环境影响评估,海洋资源开发协会,https://www.marine-resources.org,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋可再生能源融资,350,亿元,融资条件审核,中国可再生能源学会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋水产养殖贷款,250,亿元,产业链支持,水产养殖研究中心,http://www.aquaculture.org.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生态修复贷款,200,亿元,项目可行性分析,国家生态环境部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋物流信贷,130,亿元,运输保障,中国物流与采购联合会,http://www.chinawuliu.com,2024-10-12,,,,,,,,,,,,,
中国建设投资银行,深海探测项目融资,180,亿元,技术评估报告,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
辽宁银行,深海救援设备贷款,90,亿元,设备安全认证,中国海洋工程协会,http://www.cmos.org.cn,2024-10-12,,,,,,,,,,,,,
江西银行,海洋数字经济贷款,70,亿元,技术创新支持,数字海洋发展报告,http://www.digitalocean.org,2024-10-12,,,,,,,,,,,,,
国际招商银行,海洋国际交流融资,60,亿元,跨国合作机会评估,中国海洋经济论坛,http://www.coastaleconomyforum.org,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋气候变化应对贷款,110,亿元,风险评估与缓解,全球气候变化研究中心,http://www.globalclimate.org,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋污染治理信贷,120,亿元,项目可行性评估,中国海洋环境保护协会,http://www.cmeple.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,深海石油开发融资,540,亿元,市场风险分析与建议,国家能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋风力发电融资,250,亿元,国家政策符合性检查,中国可再生能源学会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋水产养殖贷款,210,亿元,环境影响评估,中国水产科学研究院,http://www.caas.cn,2024-10-12,,,,,,,,,,,,,
中国建设银行,海洋智能技术投资贷款,370,亿元,技术创新支持审批,中国海洋科技促进会,http://www.cmasts.org.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋民宿和旅游开发信贷,180,亿元,财务风险监测,中国旅游研究院,http://www.ctjournal.org,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋生物资源开发贷款,320,亿元,项目可持续性评估,中国科学院海洋研究所,http://www.i.cn,2024-10-12,,,,,,,,,,,,,
元大银行,海洋电信基础设施贷款,400,亿元,技术审核与合规检查,工业和信息化部,http://www.miit.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,深海探测技术融资,220,亿元,项目资信调查,中国深海法律权益保护协会,http://www.cielpa.org,2024-10-12,,,,,,,,,,,,,
中信银行,海洋可再生资源融资,150,亿元,融资风险评估,国家环境保护部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋环保投资贷款,250,亿元,环境影响评估,中国海洋发展研究中心,http://www.cidc.org.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋可再生能源贷款,220,亿元,技术标准审核,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
徽商银行,深海资源勘探信贷,180,亿元,项目管理与监控,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商证券,海洋科技专项融资,110,亿元,创新项目评价,海洋科技发展规划,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
广发银行,海洋文化产业贷款,90,亿元,文化产业审核,文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋医疗健康融资,70,亿元,医疗项目评估,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋气候变化融资,130,亿元,气候风险评估,气候变化专项委员会,http://www.ncc.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋农业信贷,160,亿元,农业项目评估,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋物流融资,95,亿元,物流项目审查,中国物流与采购联合会,http://www.cflp.org.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋旅游基础设施贷款,145,亿元,基础设施评审,国家旅游局,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海石油勘探信贷,450,亿元,长期贷款与现金流评估,全球石油市场分析,https://www.oilmarketanalysis.org,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋可再生能源项目融资,350,亿元,环境影响评估报告,国家能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物科技贷款,220,亿元,技术可行性分析,海洋生物资源开发规划,https://www.marinebio.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,深海捕捞企业融资,180,亿元,运营风险评估,中国捕捞业发展报告,https://www.fishingindustry.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,海洋环境修复贷款,120,亿元,合规审查与监控,环境保护部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海底矿产资源开发信贷,75,亿元,项目可行性审计,中国矿业协会,https://www.chinamining.org,2024-10-12,,,,,,,,,,,,,
深圳发展银行,海洋安全项目融资,50,亿元,风险评估与应对,海洋安全委员会,http://www.marinesafety.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋文化旅游信贷,40,亿元,市场调研与营销策略,中国旅游协会,http://www.cta.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,跨境海洋贸易融资,30,亿元,国际结算与合规,全球贸易组织,https://www.wto.org,2024-10-12,,,,,,,,,,,,,
上海银行,海洋基础设施融资,25,亿元,项目可行性与社会效益评估,中国基础设施投资网,http://www.ciinvest.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海资源探测贷款,220,亿元,技术合作与风险分担,海洋资源开发协会,http://www.oceanresources.org.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋综合保险贷款,350,亿元,保险方案审核,中国保险监督管理委员会,http://www.cbirc.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋能源开发投资,400,亿元,专项贷款审批,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋环境治理贷款,180,亿元,环境影响评估,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
东亚银行,海洋科技开发信贷,90,亿元,市场前景调查,中国海洋科技协会,http://www.cmst.org.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋运输设施投资,250,亿元,项目竣工验收,中国交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,深海科学研究贷款,75,亿元,研究成果评估,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商局银行,海洋可再生能源融资,300,亿元,技术评估与开发,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋渔业发展信贷,140,亿元,资金使用监管,全国渔业协会,http://www.china-fisheries.org/,2024-10-12,,,,,,,,,,,,,
深圳银行,海洋气候适应贷款,110,亿元,气候风险评估,气象局,http://www.cma.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源信贷,120,亿元,新能源项目评估,中国可再生能源协会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋沙石开采贷款,90,亿元,资源合法性审查,全国海洋沙石开采管理局,http://www.mnr.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋生物科技投资,70,亿元,技术创新支持,中国海洋经济发展报告,http://www.cmr.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋环境保护贷款,140,亿元,环保影响评估,国家生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋石油开发信贷,350,亿元,安全规范审核,中国石油与化学工业联合会,http://www.cpcia.org.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋旅游开发贷款,110,亿元,商业计划书审核,国家文化和旅游部,http://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
华侨银行,海洋基础设施贷款,250,亿元,项目审批与管理,国家发展改革委,https://www.ndrc.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋工程技术贷款,85,亿元,技术可行性分析,国际海洋工程协会,http://www.ioes.org,2024-10-12,,,,,,,,,,,,,
大连银行,海洋渔业可持续融资,130,亿元,可持续性审核,世界自然基金会,http://www.worldwildlife.org,2024-10-12,,,,,,,,,,,,,
宁波银行,深海探测技术信贷,210,亿元,项目评审及监督,中国海洋科学技术研究中心,http://www.qdkeylab.org,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能项目融资,400,亿元,信贷利率折扣,中国海洋经济研究中心,http://www.coec.org.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋生态恢复贷款,120,亿元,环境影响评估,生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,深海捕捞设备贷款,90,亿元,设备担保政策,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商证券,海洋环保项目信贷,200,亿元,资金使用审核,国家环境保护局,http://www.sepa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋物流产业融资,110,亿元,贷款期限灵活,中国物流与采购联合会,http://www.chinawuliu.com/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋科技研发贷款,80,亿元,研发费用税前抵扣,中国科学技术协会,http://www.cast.org.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋创新项目投资,150,亿元,风险投资回报预测,海洋经济发展研究院,http://www.oceanresearch.org.cn/,2024-10-12,,,,,,,,,,,,,
渤海银行,海洋养殖贷款,50,亿元,产业链补贴政策,农业部渔业局,http://www.moa.gov.cn/sj/zy/,2024-10-12,,,,,,,,,,,,,
民生银行,蓝色经济信贷,75,亿元,快速审批流程,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋炭捕集融资,160,亿元,碳交易融资支持,中国气候变化事务办公室,http://www.ccchina.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋环保项目贷款,120,亿元,绿色贷款审核,中国生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能开发信贷,350,亿元,项目可行性研究,中国可再生能源协会,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋矿产资源采掘信贷,400,亿元,安全生产评估,国家矿业局,http://www.mlr.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋生物技术贷款,250,亿元,研发费用补贴,科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋教育与培训融资,90,亿元,教育项目评估,教育部,http://www.moe.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋交通基础设施信贷,210,亿元,基础设施合规审查,国家发改委,https://www.ndrc.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋观光旅游贷款,70,亿元,旅游项目开发,文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋智能制造信贷,180,亿元,技术更新支持,中国制造2025,http://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋气候变化适应贷款,95,亿元,气候影响评估,国家气候变化中心,http://www.ncc.gov.cn/,2024-10-12,,,,,,,,,,,,,
建设银行,海洋产业园区融资,375,亿元,园区运营审核,中国经济发展论坛,http://www.ceed.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国农业发展银行,海洋可再生能源贷款,400,亿元,持续监管与评估,中国能源报记者,http://www.energynews.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋工程设备融资,250,亿元,设备审核与合规,中国船舶工业协会,http://www.csic.com.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋生物科技信贷,180,亿元,创新项目资助,国家科技部,https://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋观光旅游开发贷款,120,亿元,景区管理评估,中国旅游局,http://www.cntravel.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋污染治理贷款,90,亿元,项目环保审核,国家环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,深海采矿信贷,210,亿元,资源利用评估,中国矿业联合会,http://www.cmr.org.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋物流信贷,70,亿元,物流风险管理,中国物流与采购联合会,http://www.chinawuliu.com.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋科技发展贷款,95,亿元,技术研发审核,中国海洋科技学会,http://www.cosk.org.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋文化艺术融资,55,亿元,文化项目评估,中国文化部,http://www.mcprc.gov.cn/,2024-10-12,,,,,,,,,,,,,
建设银行,海洋环境修复贷款,130,亿元,环境影响研究,中国环境保护国事活动,http://www.cnepa.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海油气勘探贷款,600,亿元,环境影响评估,国家能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋可再生能源项目融资,250,亿元,财政补贴审核,中国可再生能源学会,http://www.creia.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋生物科技贷款,180,亿元,技术创新支持,海洋经济与科技创新促进会,http://www.oceanicinnovation.org,2024-10-12,,,,,,,,,,,,,
