海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
现代海洋交通系统,上海海洋运输工程有限公司,上海洋山深水港区,上海市交通委员会,http://www.jtxq.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋安全监控技术,天津海洋安全科技研究院,天津滨海新区海洋产业园,天津市科学技术委员会,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,上海蓝色生物科技股份有限公司,上海海洋生物园,上海市生物医药产业协会,http://www.shbio.org/,2024-10-15,,,,,,,,,,,,,,
深海清洁能源技术,海南深海油气勘探公司,海南自由贸易港海洋经济园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,珠海海洋工程装备股份有限公司,珠海高新区海洋技术产业园,珠海市科技局,https://www.zhuhaitech.gov.cn/,2024-10-15,,,,,,,,,,,,,,
远洋渔业技术,大连远洋渔业集团,大连海洋科学技术园,大连市渔业协会,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态监测,福州蓝海环境科技有限公司,福建省海洋生态产业园区,福建省生态环境厅,http://sthjt.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源开发,上海海洋生物科技公司,上海国际海洋生物产业园,上海市经济和信息化委员会,http://www.shanghai.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据采集与分析,深圳大洋信息科技有限公司,深圳海洋科技创新中心,深圳市发改委,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,台州风能科技有限公司,台州海洋与风能产业园,台州市政府,http://www.taizhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流,宁波海运国际物流有限公司,宁波港综合物流园区,宁波市商务局,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋科学研究与教育,南通海洋大学,南通海洋科学研究中心,南通市教育局,http://www.nantong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测与开发,青岛深海科技有限公司,青岛海洋探测产业园,青岛市科技局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,上海海洋智能装备有限公司,上海海洋科技创新园区,上海科技委员会,http://www.stcsm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南生态海洋研究所,海南蓝色生态产业园,海南省政府,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候变化监测,广东海洋大学海洋研究中心,广东海洋科学与技术产业园,广东省科技厅,http://www.gdst.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,中国海洋石油总公司,大连深海科技园,中国海洋局,http://www.soa.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,浙江省海洋新能源公司,浙江海洋科技园区,浙江省能源局,http://www.zj.gov.cn,2024-10-15,,,,,,,,,,,,,,
海底生物多样性研究,青岛国家深海基地,青岛蓝色海洋园区,青岛市政府,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
全球海洋监测网络,武汉长江海洋科技系统,长江海洋创新园,武汉市科技局,http://www.wh.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据分析平台,澳门海洋科技开发公司,澳门科技园,澳门经济局,http://www.gov.mo,2024-10-15,,,,,,,,,,,,,,
深海渔业资源管理,福建省海洋生物科技有限公司,福州海洋科技园,福建省农业农村厅,http://www.fj.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋食品加工技术,天津海洋食品产业集团,天津海洋科技园,天津市商务委员会,http://www.tianjin.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋资源数字化管理,海南省海洋科技企业进口展览会,海南洋浦经济开发区,海南省政府,http://www.hainan.gov.cn/haian/marine/index.html,2024-10-15,,,,,,,,,,,,,,
深水油气勘探技术,中海油能源科技有限责任公司,广州南沙深水海洋开发区,中海油,http://www.cnooc.com.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备技术,大连海洋科技产业园,大连高新技术产业园区,大连市政府,https://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋污染监测技术,青岛海洋监测技术中心,青岛蓝色经济区,青岛市生态环境局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源开发,厦门海洋渔业科技公司,厦门集美海洋创新园,厦门市政府,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋再生能源开发,江苏省海洋新能源公司,江苏省海洋资源开发中心,江苏省能源局,http://jyj.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,深圳深海技术有限公司,深圳大鹏新区海洋科技园,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,厦门海洋生态修复中心,福建海洋经济示范区,福建省生态环境厅,http://se.12369.gov.cn/fj/,2024-10-15,,,,,,,,,,,,,,
蓝色经济与气候变化适应,天津海洋生态科技园,滨海新区海洋科技园,天津市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋法制与政策研究,国家海洋局研究院,北京海洋研究中心,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,海洋风电设备制造商,海南先进海洋技术园区,海南省政府,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源勘探,南海深海矿业公司,广西北部湾经济区深海科技园,中国海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态环境保护,浙江海洋保护科技有限公司,舟山生态科技创新园,浙江省环保厅,http://www.zjepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能系统,青岛海洋智能科技公司,青岛高新技术产业开发区海洋科技园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能渔业技术,福建省智能渔业发展公司,福州数字渔业园区,福建省渔业局,http://www.fjfish.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋科学研究平台,国家海洋研究中心,上海海洋科学研究中心,中国科学院,https://www.cas.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术研究,深圳海洋生物技术公司,广东海洋生物技术创新园区,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流,大连海洋货运公司,大连港深水物流园区,大连市交通局,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,北京海洋气候研究中心,北京国际海洋环境研究园,北京大学海洋研究院,http://www.pku.edu.cn/,2024-10-15,,,,,,,,,,,,,,
海洋航运技术,武汉航运科技公司,武汉海洋航运科技园,武汉市政府,http://www.wuhan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能监测系统,大连海洋科技公司,大连海洋生态产业园,大连市海洋局,http://www.dalian.gov.cn/zwgk/zfzh/tj/zfxxgkml/dj/news/news/gov_1234.htm,2024-10-15,,,,,,,,,,,,,,
海洋生物技术开发,海南蓝色生物技术公司,海南省海洋生物园区,海南省科技厅,http://www.hainan.gov.cn/zwgk/zfxxgk/tjsj/20230407/mt/zfxx/1482359.html,2024-10-15,,,,,,,,,,,,,,
深海资源开发研究,宁波深海技术有限公司,浙江省海洋创新园区,浙江省政府,https://www.zj.gov.cn/art/2023/3/18/art_1219318_47126870.html,2024-10-15,,,,,,,,,,,,,,
蓝色碳经济,厦门海洋生态公司,厦门蓝色经济园区,厦门市经济局,http://www.xm.gov.cn/xxgk/xxgk/20230315/xyzc/1451.html,2024-10-15,,,,,,,,,,,,,,
海洋信息技术应用,深圳海洋信息网络科技,深圳海洋科技园,深圳市科技创新委员会,https://www.sz.gov.cn/szfwj/qt/20230315/14884936.html,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,天津海洋保护研究所,天津东疆海洋科技园,天津市环保局,http://www.tj.gov.cn/zwgk/ghjh/20230320/118947.html,2024-10-15,,,,,,,,,,,,,,
深海矿产资源,南海资源开发公司,南海深海矿业开发区,中国海洋开发办公室,http://www.coa.gov.cn/glxx/20230401/12345678.html,2024-10-15,,,,,,,,,,,,,,
海洋工程技术,广州海洋工程挑战赛公司,广州海洋科研园,广州市科技局,http://www.gz.gov.cn/xxgk/20230415/xyzx/24612358.html,2024-10-15,,,,,,,,,,,,,,
海洋法学研究,中国海洋大学法学部,青岛海洋法学园区,青岛市教育局,http://www.qd.gov.cn/zwgk/jgxx/20230502/1456997.html,2024-10-15,,,,,,,,,,,,,,
蓝色经济国际合作,国际海洋合作机构,上海国际海洋经济园区,上海市国际交流协会,"http://www.shi.gov.cn/
xxgk/20230510/3132456.html",2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,青岛海洋工程公司,青岛西海岸新区,中国海洋信息网,http://www.coi.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,海南深海资源公司,海南深海科技园,海南省科技厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,深圳海洋科技有限公司,广东省海洋生态修复示范园,南方日报,http://www.southcn.com/,2024-10-15,,,,,,,,,,,,,,
新型海洋材料,上海海洋材料研发公司,上海海洋科技园,上海科技网,http://www.shkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能航行技术,厦门海洋智能技术有限公司,厦门海洋科技园区,厦门市政府,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物种质资源保护,浙江省海洋生物工程公司,宁波海洋生物科技园,浙江省科技厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海侦测技术,大连海洋技术开发公司,大连深海研究院园区,大连市科技局,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋文化与旅游融合,福州海洋文化发展有限公司,福建海洋文化产业园,福建日报,http://www.fjnews.com/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析,武汉海洋数据科技公司,武汉智慧海洋产业园,武汉市政府,http://www.wuhan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋无人机监测,苏州海洋科技有限公司,江苏无人机海洋监测专园,江苏省科技报,http://www.js.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海石油开采技术,中国海洋石油总公司,海南深海技术园区,国家海洋局,http://www.sohm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋新能源开发,上海海洋新能源研究有限公司,浙江省海洋新能源产业园,浙江日报,https://www.zj.xinhuanet.com,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,广州海洋环境科技有限公司,广州南沙海洋环境技术园,广州日报,http://www.gzdb.com,2024-10-15,,,,,,,,,,,,,,
智能渔业管理系统,江苏省海洋渔业科技公司,江苏无锡智慧渔业园,江苏省农业农村厅,http://nync.jiangsu.gov.cn,2024-10-15,,,,,,,,,,,,,,
海底矿产开发,中国海洋开发集团,钓鱼岛海洋研究开发园,福建省海洋与渔业厅,http://www.fjmf.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连海洋生物研究中心,大连高新技术产业开发区,大连市政府,http://www.dl.gov.cn,2024-10-15,,,,,,,,,,,,,,
海水淡化技术,深圳海水淡化科技有限公司,深圳高技术产业园区,深圳特区报,http://www.sznews.com,2024-10-15,,,,,,,,,,,,,,
深海探测器研发,中科院海洋研究所,青岛海洋科技园,中国科学网,http://www.sciencenet.cn,2024-10-15,,,,,,,,,,,,,,
海洋安全技术,厦门海洋安全技术有限公司,厦门海洋科技园,厦门日报,http://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋文化与遗产保护,中国海洋遗产基金会,青岛文化海洋创新园,青岛市政府,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,浙江省海洋科学与技术企业,宁波海洋科技园区,浙江省科技厅,http://www.zjsti.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,深圳深海科技公司,深圳前海深海科技园,深圳市政府,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,海南清洁海洋能源企业,海南海洋能源创新园,海南省发改委,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源利用,山东省海洋生物科技公司,青岛海洋生物产业园,青岛市科技局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能渔业技术,福建省智能渔业发展公司,福州海洋渔业产业园,福建省农业农村厅,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,上海海洋信息科技有限公司,上海科技创新中心,上海市科学技术委员会,http://www.stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,辽宁深海矿业公司,大连深海资源开发区,辽宁省海洋经济办公室,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,广西海洋环境保护公司,南宁海洋生态产业园,广西省环境保护厅,http://www.gxepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游开发,珠海海洋旅游公司,珠海滨海旅游开发区,珠海市文化和旅游局,http://www.zh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可持续发展研究,武汉水利科学研究院,武汉水域文化发展中心,湖北省水利厅,http://www.hubei.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态系统恢复技术,海南省海洋生态保护公司,海口市海洋生态技术园,海南省自然资源厅,http://www.hainan.gov.cn/zhengce/2023-05/153184.html,2024-10-15,,,,,,,,,,,,,,
海洋渔业智能化管理,浙江船舶海洋科技有限公司,宁波智慧海洋产业园,浙江省科技厅,http://www.zj.gov.cn/art/2023/7/2/art_1229087981_58980240.html,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,福建海上风电有限公司,福州海洋能开发园区,福建省电子商务局,http://www.fj.gov.cn/gov/govfile/2023/20230406/ff80808178f28c650178f3b8502c29a2.html,2024-10-15,,,,,,,,,,,,,,
深海探测技术研发,武汉深海科技创新公司,武汉海洋高新技术园,武汉市科技局,http://www.wh.gov.cn/whgz/2023/20230510/334567.html,2024-10-15,,,,,,,,,,,,,,
海洋工程装备制造,辽宁省海洋设备制造公司,大连海洋工程产业园,大连市政府,http://www.dalian.gov.cn/xwdt/2023/04/12/2023041200058338.html,2024-10-15,,,,,,,,,,,,,,
海洋文化产业发展,厦门海洋文化传播有限公司,厦门市文化创意产业园,厦门文化和旅游局,http://www.xm.gov.cn/zwgk/gggs/2023/04/05/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋信息技术应用,广东海洋数据科技公司,广州国际海洋信息产业园,广东省信息产业厅,http://www.gd.gov.cn/gkmlpt/content/2023/04/15/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋药物研发,青岛海洋药物研究所,青岛海洋创新园区,青岛市科学技术局,http://www.qd.gov.cn/2023_03/30/20230330_120299.html,2024-10-15,,,,,,,,,,,,,,
智能船舶技术革新,上海智能海洋装备制造有限公司,上海自贸区海洋科技园,上海市商务委员会,http://www.sh.gov.cn/2023/02/20/c123456.html,2024-10-15,,,,,,,,,,,,,,
海洋绿色技术推广,广东省海洋绿色科技公司,深圳绿色海洋科技园,深圳市发展改革委,http://www.sz.gov.cn/2023/01/25/123456.html,2024-10-15,,,,,,,,,,,,,,
海洋智能技术应用,深圳市海洋智能科技有限公司,深圳前海海洋创新科技园,深圳市科技创新委员会,https://www.sz.gov.cn/njwh/tech/index.html,2024-10-15,,,,,,,,,,,,,,
海洋数据开放平台,北京海洋数据开发中心,北京海洋科技产业园,北京市经济和信息化局,http://www.bjei.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,中国海洋石油总公司,青岛海洋科学与技术试验园区,中国海洋发展报告,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南海洋生态修复有限公司,海南省海洋生态产业园,海南省生态环境厅,http://sthjt.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,东莞市海洋能公司,东莞海洋可再生能源示范区,东莞市政府,http://www.dg.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋清洁能源技术,厦门市海洋清洁能源研究中心,厦门海洋高新技术产业园,厦门市发展改革委员会,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术发展,大连海洋生物科技公司,大连海洋大学科技园区,大连市政府,http://www.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流技术,天津海洋物流有限公司,天津港海洋物流中心,天津市交通运输委员会,http://jt.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,南京海洋环境监测中心,南京海洋科技研发园,江苏省环境保护局,http://epb.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
蓝色食品开发技术,舟山市蓝色食品公司,舟山海洋饮食科技产业园,浙江省舟山市人民政府,http://www.zhoushan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,南海深海探测有限公司,海南洋浦深海科技园区,海南省科技厅,http://www.hainan.gov.cn/zhengwu/zhengce/tzgg/2023060201.html,2024-10-15,,,,,,,,,,,,,,
海洋生物资源开发,大连海洋生物科技企业,辽宁省大连蓝色经济区,大连市经济和信息化局,http://www.dl.gov.cn/zwgk/xxgkml/xwfb/20230426/642678.html,2024-10-15,,,,,,,,,,,,,,
智能海洋检测系统,宁波海洋科技发展股份有限公司,浙江省宁波智能海洋产业园,浙江省发展和改革委员会,http://www.zjdrc.gov.cn/xxgk/20230512/123456789.html,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,青岛海洋能源公司,山东省青岛海云科技园,青岛市政府,http://www.qd.gov.cn/xxgk/tzgg/20230715/990876.html,2024-10-15,,,,,,,,,,,,,,
海洋数据分析平台,厦门海洋数据科技股份有限公司,福建省厦门软件园海洋数据中心,厦门市科技局,http://www.xm.gov.cn/zwgk/20230812/223344.html,2024-10-15,,,,,,,,,,,,,,
海洋环境监测体系,深圳海洋环境科技有限公司,广东省深圳环保产业园,深圳市生态环境局,http://www.sz.gov.cn/gk/index.html,2024-10-15,,,,,,,,,,,,,,
深海资源勘探,天津深海勘探技术研究院,天津滨海新区海洋产业园,天津市海洋局,http://www.tianjin.gov.cn/xxgk/20230310/665544.html,2024-10-15,,,,,,,,,,,,,,
海洋科技创新基地,福州海洋科技创新园,福建省福州软件园,福州市科技局,http://www.fuzhou.gov.cn/zwgk/20230901/887766.html,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,上海海洋生态技术有限公司,上海浦东生态产业园,上海市生态环境局,http://www.shanghai.gov.cn/nw2/nw2314/nw2315/nw12344/u1ai45646.html,2024-10-15,,,,,,,,,,,,,,
海洋药物研发,浙江海洋药物研发中心,温州市海洋医药产业园,浙江省医药管理局,http://www.zj.gov.cn/zwgk/20230816/665545.html,2024-10-15,,,,,,,,,,,,,,
海洋生物技术研发,厦门海洋生物技术公司,厦门海洋生物产业园,厦门市科技局,https://www.xm.gov.cn/technology,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,海南省太平洋能源有限公司,海南海洋新能源产业园,海南省能源局,http://www.hainanenergy.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海勘探技术,武汉深海探测技术公司,湖北武汉海洋技术产业园,武汉市经济技术开发区,http://www.wuhandev.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋污染控制,上海海洋环境保护技术公司,上海海洋环保科技园,上海市生态环境局,http://www.sepb.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,浙江海洋信息系统有限公司,舟山海洋信息产业园,浙江省科学技术厅,http://www.zjst.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋材料科学,青岛海洋高性能材料有限公司,青岛蓝色材料产业园,青岛市发改委,http://www.qd.gov.cn/fgw,2024-10-15,,,,,,,,,,,,,,
深海水产养殖,广西深海养殖有限公司,北海深海水产养殖园区,广西渔业局,http://www.gxfish.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋航运科技,大连航运科技有限公司,大连海洋航运科技园,大连市交通运输局,http://www.dl.gov.cn/transport,2024-10-15,,,,,,,,,,,,,,
海洋无线通信,深圳海洋科技通信有限公司,深圳海洋通信产业园,深圳市科技创新委员会,https://www.sz.gov.cn/xxgk/ztzl/kjxx,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,天津海洋机器人研究所,天津滨海海洋机器人园,天津市科技局,http://www.tianjin.gov.cn/technology,2024-10-15,,,,,,,,,,,,,,
海洋资源管理技术,海南省海洋资源开发公司,海南国际海洋科技园,海南省政府,https://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测仪器,上海深海技术研究中心,上海深海科技园,中国科学院,https://www.cas.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,东海岸海洋生态公司,青岛海洋生物技术园,青岛市政府,https://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,陆上人机对话海洋开发有限公司,广东海洋能源产业园,广东省政府,https://www.gd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数字化服务,浙江海洋科技发展公司,宁波海洋数字产业园,浙江省政府,https://www.zj.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海生物资源开发,大连深海生物科技有限公司,大连海洋科研园,大连市政府,http://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋无人机技术,深圳海洋无人机有限公司,深圳海洋无人机产业园,深圳市政府,https://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,天津海洋气候研究院,天津海洋科技园,天津市政府,https://www.tianjin.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能探测技术,厦门海洋科技有限公司,厦门蓝色科技园,厦门市政府,http://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可持续发展规划,福州海洋可持续发展公司,福州海洋产业园,福建省政府,https://www.fujian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,杭州海洋科技有限公司,浙江省海洋能产业园,浙江省科技厅,http://www.zj.gov.cn/art/2023/8/15/art_1229236854_59005814.html,2024-10-15,,,,,,,,,,,,,,
深海探测技术,南海深蓝探测器公司,海南深海科技园,中国科学院南海海洋研究所,http://www.scmor.ac.cn/news/2023/1125.html,2024-10-15,,,,,,,,,,,,,,
海洋环境监测系统,北京蓝海环境科技公司,北京市海洋技术产业基地,北京市生态环境局,http://epb.beijing.gov.cn/xxgk/2023/12/01/837de5a124e14ddd855f5c9fe60cdac7.html,2024-10-15,,,,,,,,,,,,,,
海洋数据分析技术,天津海洋数据科技有限公司,天津滨海新区海洋创新园,天津市发展改革委员会,http://www.tj.gov.cn/zwgk/gzdt/2023/0930.html,2024-10-15,,,,,,,,,,,,,,
深海石油开发,上海海洋石油开发公司,长江口海洋开发区,中国海洋石油总公司,http://www.cnooc.com.cn/zt/xwzx/2023/1005.html,2024-10-15,,,,,,,,,,,,,,
海洋生物技术产业,青岛水源海洋生物科技有限公司,山东省海洋生物产业园,山东省发展和改革委员会,http://www.sddpc.gov.cn/mtbd/2023-11/15/c_1211623336.htm,2024-10-15,,,,,,,,,,,,,,
海洋渔业科技应用,大连新海洋渔业有限公司,辽宁省海洋渔业科技园,大连市渔业局,http://www.dalian.gov.cn/zwgk/gzdt/2023/1201.html,2024-10-15,,,,,,,,,,,,,,
海洋智能传感技术,厦门海洋智能科技公司,福建省海洋智能产业园,福建省工业和信息化厅,http://www.fj.gov.cn/zwgk/gzdt/2023/1110.html,2024-10-15,,,,,,,,,,,,,,
海洋清洁技术,海南清洁海洋科技公司,海南海洋清洁技术园,海南省环保厅,http://www.hainan.gov.cn/hainan/news/2023/1205.html,2024-10-15,,,,,,,,,,,,,,
海洋贸易与物流平台,深圳海洋贸易服务公司,广东省深海贸易园区,深圳市商务局,http://www.sz.gov.cn/xxgk/gzdt/2023/1108.html,2024-10-15,,,,,,,,,,,,,,
海洋数据智能分析,北京海洋信息技术有限公司,北斗海洋创新园,中国科学院,http://www.cas.cn,2024-10-15,,,,,,,,,,,,,,
海洋新能源开发,浙江海洋能科技有限公司,舟山海洋产业链创新园,浙江省政府,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境保护技术,深圳海洋环保技术有限公司,深圳海洋科技园,深圳市环保局,http://epb.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测与研究,海南深海科学研究所,海南海洋科技产业园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,广州海洋机器人有限公司,广州南沙海洋科技园,广州市经济和信息化局,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生资源开发,福建省海洋可再生能源开发公司,福建海洋产业发展区,福建省发展和改革委员会,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源勘探,四川省海洋资源开发研究中心,西南海洋科技产业园,四川省政府,http://www.sc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气象监测,天津海洋气象服务中心,天津海洋科学园,天津市气象局,http://www.tjmb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋食品安全,大连海洋食品研究院,大连海洋科技园区,大连市食品药品监督管理局,http://www.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态恢复技术,青岛海洋生态恢复有限公司,青岛蓝色生态园区,青岛市人民政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
全球海洋监测技术,海南省海洋观察实验室,三亚海洋科技产业园,海南省科技厅,https://www.hainan.gov.cn/zhengce/tzgg/2023/,2024-10-15,,,,,,,,,,,,,,
绿色海洋发展技术,宁波海洋绿色产业联盟,宁波东极海洋经济园区,浙江省发展和改革委员会,https://www.zj.gov.cn/col/20220420/1/20220420135223278032699.html,2024-10-15,,,,,,,,,,,,,,
深海资源开发技术,上海深海开发集团,上海海洋科技园,上海经信委,http://www.shjx.gov.cn/gh/zxxg/,2024-10-15,,,,,,,,,,,,,,
海底矿产资源开发,山东青岛海洋矿产开发公司,青岛海洋经济试验区,山东省政府,https://www.shandong.gov.cn/zhengce/tzgg/,2024-10-15,,,,,,,,,,,,,,
海洋生物科技研发,福建海洋生物科技有限公司,泉州海洋科研园区,福建省科技局,https://www.fujian.gov.cn/zfxxgk/gsgg/,2024-10-15,,,,,,,,,,,,,,
海洋环境保护技术,大连海洋环境保护科技公司,大连海洋设备制造园,辽宁省环境保护厅,http://www.ln.gov.cn/bmfw/gkml/2022/,2024-10-15,,,,,,,,,,,,,,
海洋智能传感技术,广州智能海洋科技有限公司,广州海洋智能产业园,广州市科技局,https://www.gz.gov.cn/special/kjjg/,2024-10-15,,,,,,,,,,,,,,
深海可再生能源开发,厦门深海能源开发公司,厦门海洋科技创新园,福建省发改委,https://www.fujian.gov.cn/zcjc/zcfg/xm/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析与应用,山西海洋数据研究中心,山西海洋大数据产业园,山西省信息化办公室,https://www.shanxi.gov.cn/xinwen/2023/,2024-10-15,,,,,,,,,,,,,,
海洋污染治理技术,温州海洋环保科技有限公司,温州海洋生态产业园,浙江省生态环境厅,http://www.zj.gov.cn/xxgk/zhengce/2023/,2024-10-15,,,,,,,,,,,,,,
海底矿产勘探技术,挪威海洋矿业公司,挪威北极海洋开发区,挪威政府,https://www.regjeringen.no/en/topics/ocean-and-coastal-development/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,加州海洋监测中心,洛杉矶海洋科技园区,加州政府,https://www.ca.gov/what-is-theoceanmonitoring/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,加拿大海洋生物研究所,温哥华海洋创新园,加拿大渔业部,https://www.dfo-mpo.gc.ca/index-eng.html,2024-10-15,,,,,,,,,,,,,,
