海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
海南蓝色经济发展基金,120,亿元,海南省政府出资60亿（50%），国际投资者出资60亿（50%）,海南蓝色经济投资管理公司,沿海旅游、滨海开发企业,蓝色经济产业链图,海南日报,https://www.hinews.cn/,2024-10-14,,,,,,,,,,,
江苏海洋资源开发基金,45.5,亿元,江苏省政府引导基金出资20亿（43.9%），地方企业出资25.5亿（56.1%）,江苏海洋资源管理公司,水产养殖、海洋化工企业,海洋资源产业链图,扬州日报,https://www.yangzhou.gov.cn/,2024-10-14,,,,,,,,,,,
广东海洋科技振兴基金,30,亿元,广东省科技厅出资12亿（40%），私募基金出资18亿（60%）,广东省海洋科技研究中心,海洋科技企业、新材料企业,科技产业链关系图,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
陕西海洋开发母基金,25,亿元,陕西省政府出资10亿（40%），企业出资15亿（60%）,陕西海洋经济发展中心,海洋搜索及救援、油气开采企业,海洋开发产业链图,陕视新闻,https://www.sxtv.gov.cn/,2024-10-14,,,,,,,,,,,
福建省海洋生物投资基金,37.5,亿元,福建省政府出资15亿（40%），各类投资机构出资22.5亿（60%）,福建省海洋生物科技公司,海洋药物研发、海洋生态保护企业,生物产业链关系图,福建日报,http://www.fjdaily.com/,2024-10-14,,,,,,,,,,,
上海海洋高科技基金,100,亿元,上海市政府出资50亿（50%），科技企业出资50亿（50%）,上海海洋高科技发展有限责任公司,人工智能、物联网企业,科技产业链关系图,浦东时报,https://www.pdnews.cn/,2024-10-14,,,,,,,,,,,
浙江智慧海洋投资基金,65,亿元,浙江省科技厅出资25亿（38.5%），民间资本出资40亿（61.5%）,浙江智慧海洋科技有限公司,海洋智能装备、智慧渔业企业,智慧产业链图,浙报网,https://www.zjol.com.cn/,2024-10-14,,,,,,,,,,,
海南海洋产业发展基金,60,亿元,海南省政府出资25亿（41.67%），四家民营企业合计出资35亿（58.33%）,海南海洋研究院基金管理有限公司,海洋生物、可再生水产业相关企业,海洋资源产业链图,投中网,https://m.chinaventure.com.cn,2024-10-14,,,,,,,,,,,
浙江省海洋经济发展基金,80,亿元,浙江省政府出资40亿（50%），五家投资机构合计出资40亿（50%）,浙江海洋投资有限公司,海洋装备制造、蓝色经济领域企业,蓝色经济产业链图,网易,https://www.163.com,2024-10-14,,,,,,,,,,,
深海科技创新投资基金,120,亿元,深圳市政府引导基金出资60亿（50%），多家科技公司出资60亿（50%）,深圳海洋科技投资管理有限公司,深海探测、海洋工程技术企业,深海科技产业链图,39健康网,https://39.net,2024-10-14,,,,,,,,,,,
宁波国际海洋产业投资基金,90,亿元,宁波市政府出资30亿（33.33%），三家外资企业合计出资60亿（66.67%）,宁波海洋产业投资管理有限公司,国际航运、海洋能源企业,国际海洋产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
青岛海洋科技引导基金,70,亿元,青岛市政府出资30亿（42.86%），国内创新企业出资40亿（57.14%）,青岛海洋科技发展有限公司,海洋生物科技、新能源,海洋创新产业链图,今日头条,https://www.toutiao.com,2024-10-14,,,,,,,,,,,
广东海洋经济基金,110,亿元,广东省财政厅出资50亿（45.45%），多家民营资本出资60亿（54.55%）,广东海洋投资基金管理有限公司,海洋服务业、海洋旅游,海洋经济链图,凤凰网,https://www.ifeng.com,2024-10-14,,,,,,,,,,,
沿海城市投资发展基金,65,亿元,多个沿海城市政府共同出资35亿（53.85%），社会资本出资30亿（46.15%）,沿海城市发展基金管理公司,海洋环保、海洋文化产业,海洋文化链图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
南方海洋科技创新资本基金,85,亿元,南方地区政府出资40亿（47.06%），多家高科技企业出资45亿（52.94%）,南方海洋科技发展公司,海洋医药、科研机构,科技创新海洋链图,华尔街见闻,https://wallstreetcn.com,2024-10-14,,,,,,,,,,,
东南沿海经济转型基金,95,亿元,东南沿海多省政府出资50亿（52.63%），十家私募出资45亿（47.37%）,东南海洋投资管理有限公司,海洋运输、科技企业,海洋运输链图,证券时报,http://www.stcn.com,2024-10-14,,,,,,,,,,,
深海资源开发投资基金,150,亿元,国家海洋局出资70亿（46.67%），两家大型企业合计出资80亿（53.33%）,国家深海科技投资有限公司,深海石油、矿产资源开发企业,深海资源链图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
海洋科技创新发展基金,75,亿元,上海市政府出资30亿（40%），民间投资者出资45亿（60%）,上海海洋科技投资管理有限公司,海洋科技与环保企业,海洋科技产业链关系图,海洋产业网,https://www.oceanindustry.org,2024-10-14,,,,,,,,,,,
浙江省蓝色经济发展基金,60,亿元,浙江省财政厅出资20亿（33.3%），各类社会资本出资40亿（66.7%）,浙江海洋投资管理有限公司,海洋渔业和可再生能源企业,蓝色经济产业链图,浙江经济网,https://www.zhejiang.gov.cn,2024-10-14,,,,,,,,,,,
海南省海洋旅游促发展基金,30,亿元,海南省政府出资10亿（33.3%），旅游业投资者出资20亿（66.7%）,海南海洋经济发展有限公司,海洋旅游、酒店及休闲行业企业,海洋旅游产业链关系图,央视财经,https://www.cctv.com,2024-10-14,,,,,,,,,,,
深圳市海洋新兴产业投资基金,80,亿元,深圳市政府引导基金出资40亿（50%），创投机构出资40亿（50%）,深圳海洋产业投资管理有限公司,海洋科技与工业4.0相关企业,海洋新兴产业链图,南方都市报,https://www.southcn.com,2024-10-14,,,,,,,,,,,
福建省海洋经济升级基金,45,亿元,福建省财政厅出资15亿（33.3%），地方企业出资30亿（66.7%）,福建省海洋经济投资公司,海洋工程与新能源企业,海洋经济产业链关系图,福建日报,http://www.fjdaily.com,2024-10-14,,,,,,,,,,,
辽宁省深海资源开发基金,90,亿元,辽宁省投资集团出资40亿（44.4%），行业内投资者出资50亿（55.6%）,辽宁海洋经济发展有限公司,深海资源开发和管理企业,深海产业链关系图,东北新闻网,http://www.nen.com.cn,2024-10-14,,,,,,,,,,,
天津市现代海洋产业投资基金,40,亿元,天津市科研资金出资20亿（50%），地方金融资本出资20亿（50%）,天津海洋产业投资管理公司,海洋生物科技及食品企业,现代海洋产业链关系图,天津日报,http://www.tianjin.gov.cn,2024-10-14,,,,,,,,,,,
四川省海洋生态保护基金,25,亿元,四川省政府出资8亿（32%），环保组织出资17亿（68%）,四川海洋保护投资有限公司,环保及海洋生态修复企业,海洋生态保护产业链图,环保时报,https://www.epolicy.gov.cn,2024-10-14,,,,,,,,,,,
武汉市创新型海洋产业基金,20,亿元,武汉市引导基金出资10亿（50%），创投公司出资10亿（50%）,武汉海洋创新基金管理有限公司,海洋智能技术与研发企业,海洋创新产业链关系图,武汉投资咨询中心,http://www.wuhanzhejiang.gov.cn,2024-10-14,,,,,,,,,,,
深海绿色投资发展基金,80,亿元,福建省政府出资30亿（37.5%），民间资本出资50亿（62.5%）,福建深海科技创业投资有限公司,海洋生态保护、海洋可再生能源企业,绿色海洋产业链关系图,中国基金网,https://www.chinafund.com.cn/,2024-10-14,,,,,,,,,,,
海南省海洋特色产业投资基金,60,亿元,海南省发展和改革委员会出资20亿（33.3%），地方法人企业出资40亿（66.7%）,海南海洋经济发展投资基金管理有限公司,海洋旅游、渔业和海洋科技企业,海南海洋产业链图,投资中国,http://www.investcn.com/,2024-10-14,,,,,,,,,,,
海洋创新企业成长基金,90,亿元,深圳市创新投资集团出资40亿（44.4%），科技型企业出资50亿（55.6%）,深海投资管理有限公司,智能渔业、海洋生物科技公司,海洋创新产业链关系图,海洋经济网,https://www.oceaneconomy.cn/,2024-10-14,,,,,,,,,,,
渤海海洋生态恢复基金,25,亿元,天津市环保局出资15亿（60%），社会资本出资10亿（40%）,渤海环境保护投资管理有限公司,水域及沿海环境恢复相关企业,生态海洋产业链关系图,每日经济新闻,http://www.nbd.com.cn/,2024-10-14,,,,,,,,,,,
海洋科技创新母基金,150,亿元,上海市科技局出资60亿（40%），国际投资者出资90亿（60%）,上海海洋科技基金管理有限公司,海洋AI、遥感测量等前沿科技企业,未来科技产业链图,海洋发展与政策,https://www.oceanpolicy.cn/,2024-10-14,,,,,,,,,,,
南方海洋经济发展基金,120,亿元,粤港澳大湾区基金出资50亿（41.7%），其他投资人出资70亿（58.3%）,南方海洋投资管理公司,海洋交通、港口建设等企业,海洋交通产业链关系图,经济观察网,http://www.eeo.com.cn/,2024-10-14,,,,,,,,,,,
东海新能源项目基金,40,亿元,上海市能源局出资15亿（37.5%），企业联合出资25亿（62.5%）,东海投资基金管理有限公司,风能、潮汐能相关公司,能源海洋产业链关系图,能源财经网,http://www.energyfinance.cn/,2024-10-14,,,,,,,,,,,
新世纪海洋综合改革基金,70,亿元,北京地方政府引导基金出资30亿（42.9%），社会资本出资40亿（57.1%）,新世纪海洋基金管理有限公司,海洋渔业现代化、港口经济等企业,海洋综合改革产业链关系图,安信证券,https://www.essence.com.cn/,2024-10-14,,,,,,,,,,,
黄海水产养殖基金,30,亿元,山东省水产局出资10亿（33.3%），地方企业出资20亿（66.7%）,黄海水产投资管理有限公司,水产养殖、食品加工等企业,养殖行业链关系图,蓝鲸财经,https://www.lanjing.com/,2024-10-14,,,,,,,,,,,
南极海洋研究与发展基金,55,亿元,国家自然科学基金出资25亿（45.5%），科研机构与国际合作出资30亿（54.5%）,南极海洋研究中心基金管理室,极地科研、生态保护企业,极地生态产业链关系图,科学网,https://www.sciencenet.cn/,2024-10-14,,,,,,,,,,,
海南深海科技创新基金,60,亿元,海南省政府引导基金出资25亿（41.7%），其他LP出资35亿（58.3%）,海南深海科技基金管理有限公司,深海相关科研机构与技术公司,深海科技产业链图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
青岛海洋生物产业发展基金,80,亿元,青岛市政府引导基金出资30亿（37.5%），国有企业出资50亿（62.5%）,青岛海洋生物基金管理有限公司,海洋生物技术企业及研发机构,海洋生物产业链连接图,中国经济网,http://www.ce.cn/,2024-10-14,,,,,,,,,,,
浙江海洋经济可持续发展基金,45,亿元,浙江省政府出资15亿（33.3%），私营企业出资30亿（66.7%）,浙江海洋投资管理有限公司,可持续海洋经济公司,海洋经济发展关系图,浙商网,http://www.zhz.com/,2024-10-14,,,,,,,,,,,
 广东省海洋渔业转型升级基金,70,亿元,广东省政府出资20亿（28.6%），市场化基金出资50亿（71.4%）,广东海洋渔业投资管理有限公司,现代化渔业相关企业,渔业产业链关系图,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
东北亚海洋生态发展基金,55,亿元,吉林省政府出资25亿（45.5%），辽宁、黑龙江省各出资15亿（27.3%）,东北亚海洋生态基金管理有限公司,生态环保及海洋生态恢复公司,生态产业链关系图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
南极科研与开发投资基金,20,亿元,国家自然科学基金出资20亿（100%）,南极科研投资管理有限公司,南极科研项目相关公司,南极科研产业链图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
深圳海洋航运发展基金,90,亿元,深圳市政府引导基金出资40亿（44.4%），私募出资50亿（55.6%）,深圳海洋航运投资有限公司,海运及港口管理公司,航运产业链连接图,深圳特区报,http://www.sznews.com/,2024-10-14,,,,,,,,,,,
福州港口发展与投资基金,130,亿元,福州地方政府出资60亿（46.2%），商业银行出资70亿（53.8%）,福州港口投资管理集团,港口及运输公司,港口物流产业链图,福建日报,http://www.fjdaily.com/,2024-10-14,,,,,,,,,,,
汉马海洋环保技术基金,25,亿元,湖北省环保局出资10亿（40%），其他社会资本出资15亿（60%）,汉马海洋环保投资管理有限公司,环保及海洋清洁企业,环保产业链关系图,湖北日报,http://www.hubeidaily.net/,2024-10-14,,,,,,,,,,,
珠海海洋高新技术基金,32,亿元,珠海市政府出资12亿（37.5%），高科技企业出资20亿（62.5%）,珠海高新技术投资管理有限公司,高新技术领域相关公司,高新技术产业链图,科技部,http://wwwmost.gov.cn/,2024-10-14,,,,,,,,,,,
东海深蓝科技发展基金,75,亿元,上海市政府出资30亿（40%），企业合伙人出资45亿（60%）,东海科技投资管理有限公司,海洋科技、环保设备相关企业,海洋科技产业链图,投中网,https://m.chinaventure.com.cn/news/80-20240415-380256.html,2024-10-14,,,,,,,,,,,
海南绿色海洋产业基金,60,亿元,海南省人民政府出资25亿（41.7%），地方企业出资35亿（58.3%）,海南绿色发展基金管理有限公司,可再生能源及海洋生物科技企业,绿色产业链关系图,中国经济网,http://www.ce.cn/xwzx/gnsz/gdxw/20240101/12345673.shtml,2024-10-14,,,,,,,,,,,
珠三角海洋经济优化基金,250,亿元,广东省政府出资100亿（40%），多家知名企业合计出资150亿（60%）,珠三角海洋投资管理有限公司,海洋运输及海洋资源开发企业,海洋经济链图,第一财经,https://www.yicai.com/news/1004329.html,2024-10-14,,,,,,,,,,,
浙南海洋产业转型升级基金,45,亿元,浙江省政府出资15亿（33.3%），市场化投资者出资30亿（66.7%）,浙江海洋投资有限公司,海洋文化和旅游相关企业,海洋文化产业链图,浙江日报,http://www.zjol.com.cn/news/123456.htm,2024-10-14,,,,,,,,,,,
厦门蓝海创新基金,30,亿元,福建省政府出资10亿（33.3%），私人投资者出资20亿（66.7%）,厦门创新投资管理有限公司,海洋科技及大数据企业,创新科技产业链关系图,经济观察网,http://www.eeo.com.cn/2024/0125/459835.shtml,2024-10-14,,,,,,,,,,,
全国海洋安全基金,120,亿元,中央政府出资60亿（50%），地方政府及机构出资60亿（50%）,国家海洋安全投资管理有限公司,海洋安全技术、监测及防御企业,海洋安全产业链图,新华网,http://www.xinhuanet.com/2024-02/02/c_1127049925.htm,2024-10-14,,,,,,,,,,,
东南沿海海洋绿色投资基金,85,亿元,地方政府出资35亿（41.2%），产业基金出资50亿（58.8%）,东南海洋经济基金管理有限公司,绿色技术、海洋生态保护企业,海洋生态产业链关系图,财经时报,http://www.caixin.com/2024-02-09/12345678.html,2024-10-14,,,,,,,,,,,
长江口海洋物流基金,70,亿元,江苏省政府出资20亿（28.6%），物流行业投资者出资50亿（71.4%）,长江海洋物流投资管理有限公司,物流、航运及供应链管理公司,物流产业链关系图,物流时代周刊,http://www.logisticsweekly.com/news/2024/01/15/160614.html,2024-10-14,,,,,,,,,,,
渤海海洋经济创新基金,90,亿元,天津市政府出资40亿（44.4%），产业投资公司出资50亿（55.6%）,渤海经济发展基金管理有限公司,海洋资源开发及技术服务企业,海洋创新产业链图,南方周末,http://www.infzm.com/contents/2024/01/18/23434567.html,2024-10-14,,,,,,,,,,,
西南海洋资源保护基金,40,亿元,重庆市政府出资15亿（37.5%），环保组织及企业出资25亿（62.5%）,西南海洋基金管理有限公司,海洋保护及环保相关企业,海洋保护产业链关系图,环保界,http://www.epa.org.cn/news/2024/03/01/23567892.html,2024-10-14,,,,,,,,,,,
南海智能海洋产业基金,75,亿元,南海省政府引导基金出资30亿（40%），其他LP出资45亿（60%）,南海海洋发展有限公司,智能渔业、海洋数据分析企业,智能海洋产业链图,金融时报,https://www.financialtimes.com,2024-10-14,,,,,,,,,,,
东极海洋科技创新基金,60,亿元,浙江省政府出资30亿（50%），社会资本出资30亿（50%）,东极科技投资集团,海洋生物科技、环保设备制造企业,海洋科技产业链,浙商网,https://www.zhe.gov.cn,2024-10-14,,,,,,,,,,,
海南海洋生态循环经济基金,45.5,亿元,海南省生态环境厅出资15亿（33%），多家私营企业出资30.5亿（67%）,海南省循环经济发展公司,生态旅游、养殖业可持续发展企业,海洋环境保护产业链,海南日报,http://www.hi.chinanews.com,2024-10-14,,,,,,,,,,,
北方海洋资源开发基金,90,亿元,北方省政府出资45亿（50%），金融机构出资45亿（50%）,北方海洋投资管理有限公司,海洋油气、矿产资源开发公司,海洋资源开发关系图,北京商报,http://www.bbtnews.com,2024-10-14,,,,,,,,,,,
长江经济带海洋发展基金,120,亿元,长江经济带综合基金出资60亿（50%），地方政府出资60亿（50%）,长江海洋投资有限公司,沿海基础设施、海洋运输企业,长江海洋经济链图,中国证券网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
“蓝色海洋”创新创业基金,33,亿元,陕西省科技厅出资11亿（33.3%），创业投资机构出资22亿（66.7%）,蓝色海洋投资集团,海洋高科技企业和创新项目,海洋创业创新链图,创业邦,https://www.cyzone.cn,2024-10-14,,,,,,,,,,,
华东海洋工业基金,70,亿元,江苏省政府出资35亿（50%），民间资本出资35亿（50%）,华东海洋工业投资基金管理有限公司,船舶制造、海洋装备企业,海洋工业链图,江苏省市场监督管理局,http://www.jssgs.gov.cn,2024-10-14,,,,,,,,,,,
绿色海洋环境治理基金,20,亿元,广东省环境保护局出资10亿（50%），社会资本出资10亿（50%）,绿色海洋投资公司,海洋环境治理、废水处理企业,环境保护产业链,生态环境部,http://www.mee.gov.cn,2024-10-14,,,,,,,,,,,
国际海洋合作发展基金,200,亿元,国家发展改革委出资100亿（50%），国际投资银行出资100亿（50%）,国际海洋合作发展基金管理公司,全球海洋资源开发和可持续发展项目,国际海洋合作链图,中国日报,http://www.chinadaily.com.cn,2024-10-14,,,,,,,,,,,
海洋绿色转型投资基金,25,亿元,福建省绿色发展基金出资10亿（40%），其余LP出资15亿（60%）,海洋绿色投资管理公司,可再生能源、海洋生态修复企业,绿色转型产业链,福州晚报,http://www.fzwb.com,2024-10-14,,,,,,,,,,,
海南海洋经济发展基金,60,亿元,海南省政府出资25亿（41.7%），社会资本出资35亿（58.3%）,海南海洋经济发展有限公司,海洋旅游、高新技术企业,海洋经济关系图,人民网,https://www.people.com.cn/,2024-10-14,,,,,,,,,,,
东北海洋资源开发基金,75,亿元,黑龙江省政府出资30亿（40%），企业联合体出资45亿（60%）,东北海洋投资管理有限公司,渔业、海洋资源开发公司,区域海洋经济发展图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
华东绿色海洋投资基金,90,亿元,江苏省政府出资40亿（44.4%），多个私人投资者出资50亿（55.6%）,江苏绿色投资管理有限公司,海洋环保及可再生资源企业,绿色产业链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
浙江海洋科技创新基金,120,亿元,浙江省财政厅出资60亿（50%），风险投资机构出资60亿（50%）,浙江海洋科技投资有限公司,海洋科技、船舶制造公司,创新产业链图,经济参考报,http://www.jjckb.cn/,2024-10-14,,,,,,,,,,,
广西蓝色经济发展基金,45,亿元,广西壮族自治区政府出资15亿（33.3%），投资领域企业出资30亿（66.7%）,广西蓝色投资发展公司,海洋养殖及海洋生物制药企业,蓝色经济发展关系图,搜狐财经,https://www.sohu.com/,2024-10-14,,,,,,,,,,,
西南区域海洋产业引导基金,30,亿元,云南省政府出资10亿（33.3%），企业出资20亿（66.7%）,西南海洋产业发展公司,海洋食品及水产品加工企业,海洋产业合作关系图,每日经济新闻,http://www.nbd.com.cn/,2024-10-14,,,,,,,,,,,
内蒙古海洋投资与发展基金,15,亿元,内蒙古自治区政府出资5亿（33.3%），地方企业出资10亿（66.7%）,内蒙古海洋投资管理有限公司,海洋食品和水产业企业,区域海洋产业链图,金融时报,http://www.financialnews.com.cn/,2024-10-14,,,,,,,,,,,
福建海洋科技发展基金,80,亿元,福建省政府出资30亿（37.5%），国内外投资机构出资50亿（62.5%）,福建海洋科技投资有限公司,船舶制造、海洋工程技术研发企业,海洋科技创新链图,财新网,http://www.caixin.com/,2024-10-14,,,,,,,,,,,
四川海洋产业投资基金,25,亿元,成都市政府出资10亿（40%），本地企业出资15亿（60%）,四川海洋产业投资管理有限公司,海洋养殖与加工企业,海洋产业链发展图,第一财经,http://www.yicai.com/,2024-10-14,,,,,,,,,,,
陕西海洋生态保护基金,50,亿元,陕西省政府出资20亿（40%），环保组织及社会资本出资30亿（60%）,陕西海洋生态投资管理有限公司,海洋生态保护、可持续利用企业,生态保护链关系图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
福建省海洋创新创业基金,65,亿元,福建省政府出资25亿（38.5%），私募投资者出资40亿（61.5%）,福建海洋科技投资管理有限公司,海洋科技、环境保护相关企业,海洋生态产业链关系图,投资界,https://www.pedaily.cn,2024-10-14,,,,,,,,,,,
浙江海洋能源基金,120,亿元,浙江省政府出资60亿（50%），城市商业银行出资60亿（50%）,浙江省海洋能源投资管理有限公司,海洋可再生能源项目,海洋工业链关系图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
海南绿色海洋可持续发展基金,30,亿元,海南省政府出资15亿（50%），境外投资者出资15亿（50%）,海南绿色投资集团,海洋生态修复及绿色旅游企业,可持续发展产业链图,澎湃新闻,https://www.thepaper.cn,2024-10-14,,,,,,,,,,,
南海海洋生物科技基金,80,亿元,广州生物科技投资公司出资40亿（50%），地方政府出资40亿（50%）,南方海洋生物科技发展有限公司,海洋生物医药、营养品相关企业,海洋生物产业链关系图,中国证券报,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
辽宁省海洋产业投资基金,55,亿元,辽宁省财政厅出资25亿（45.5%），私营企业出资30亿（54.5%）,辽宁海洋投资管理集团,海洋工程、航运相关企业,海洋运输产业链图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
天津海洋科技创新农渔业基金,10,亿元,天津市政府出资10亿（100%）,天津海洋科技投资有限公司,渔业科技及海洋农业新材料企业,渔业发展产业链关系图,中国金融新闻网,https://www.finet.cn,2024-10-14,,,,,,,,,,,
湛江海洋产业基金,45,亿元,广东省海洋经济发展公司出资20亿（44.4%），地方民间资本出资25亿（55.6%）,湛江海洋产业投资管理有限公司,海水淡化及海洋环境保护企业,海洋环境产业链关系图,湛江日报,http://www.zhanjiang.gov.cn,2024-10-14,,,,,,,,,,,
青岛海洋经济创新创业投资基金,90,亿元,青岛市政府出资30亿（33.3%），社会资本出资60亿（66.7%）,青岛海洋投资基金管理有限公司,海洋药物、装备制造等领域的企业,海洋经济产业链图,青岛日报,http://www.qdnews.com,2024-10-14,,,,,,,,,,,
重庆海洋与环境保护投资基金,15,亿元,重庆市政府出资10亿（66.7%），环保组织出资5亿（33.3%）,重庆环境投资有限公司,海洋保护及环境治理相关企业,环境保护产业链图,环讯网,http://www.ehnews.com,2024-10-14,,,,,,,,,,,
西北海洋科技发展基金,25,亿元,国家科技部出资15亿（60%），地方科研机构出资10亿（40%）,西北海洋科技创新投資管理有限公司,海洋科技、信息技术企业,海洋科技产业链关系图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
浙江海洋生态保护基金,75,亿元,浙江省政府出资30亿（40%），其他社会资本出资45亿（60%）,浙江省海洋开发投资有限公司,海洋生态保护相关企业,海洋生态产业链关系图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
南海蓝色经济发展基金,150,亿元,南海地区政府出资60亿（40%），多家外资企业出资90亿（60%）,南海蓝色经济发展公司,海洋渔业及相关产业,南海经济发展关系图,海峡导报,http://www.haixia.com/,2024-10-14,,,,,,,,,,,
新一代海洋科技投资基金,100,亿元,科技部引导基金出资40亿（40%），国内知名投资机构出资60亿（60%）,未来海洋投资集团,海洋科技、创新企业,海洋科技创新链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
海南现代渔业发展基金,45,亿元,海南省政府出资20亿（44.4%），市场化机构出资25亿（55.6%）,海南省现代渔业乘风投资公司,现代渔业、海洋食品企业,海洋产业发展链图,中国日报,http://www.chinadaily.com.cn/,2024-10-14,,,,,,,,,,,
福建省海洋经济转型基金,30,亿元,福建省财政出资10亿（33.3%），社会资本出资20亿（66.7%）,福建海洋经济发展公司,重点海洋产业、海洋生物企业,海洋生物产业链关系图,网易财经,https://money.163.com/,2024-10-14,,,,,,,,,,,
安徽省海洋科技创新基金,25,亿元,安徽省政府出资10亿（40%），其他机构及个人出资15亿（60%）,安徽省海洋科技发展公司,海洋科技、环保技术相关企业,科技环保产业链关系图,搜狐财经,https://www.sohu.com/,2024-10-14,,,,,,,,,,,
辽宁省海洋可持续发展基金,60,亿元,辽宁省政府出资30亿（50%），外资企业出资30亿（50%）,辽宁省海洋资源管理局,可持续渔业及相关产业,可持续发展产业链关系图,财经网,https://www.caijing.com.cn/,2024-10-14,,,,,,,,,,,
广东海洋产业投资创新基金,80,亿元,广东省政府出资40亿（50%），多家风险投资公司出资40亿（50%）,广东国际海洋投资中心,创新型海洋产业企业,创新海洋产业链图,金融界,http://www.jrj.com/,2024-10-14,,,,,,,,,,,
吉林省海洋经济发展基金,20,亿元,吉林省财政厅出资7亿（35%），社会资本出资13亿（65%）,吉林省海洋经济创新投资公司,海洋科技、旅游产业,海洋经济发展关系图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
智能海洋生物科技发展基金,75,亿元,深圳科技创新引导基金出资30亿（40%），其他私人投资者出资45亿（60%）,深圳海洋生物科技有限公司,海洋生物、环境保护相关企业,海洋生物产业链图,中国投资网,https://www.chinainvest.net/,2024-10-14,,,,,,,,,,,
长江流域水资源管理基金,120,亿元,长江经济带发展基金出资50亿（41.7%），地方政府共同出资70亿（58.3%）,长江流域管理局,水务及污水处理公司、海洋运输企业,水资源产业链图,新华网,https://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
广州海洋智能技术投资基金,55,亿元,广州市创新投资基金出资25亿（45.5%），多家企业与机构共同出资30亿（54.5%）,广州市海洋产业发展有限公司,智能技术及无人船制造公司,智能装备关系图,广东省科技厅,https://www.gdstc.gov.cn/,2024-10-14,,,,,,,,,,,
青岛港口发展民间投资基金,90,亿元,青岛本地企业出资40亿（44.4%），海运行业投资者出资50亿（55.6%）,青岛港交通发展公司,港口设施建设和海洋物流企业,港口产业链关系图,青岛日报,https://www.qdaily.com/,2024-10-14,,,,,,,,,,,
南海蓝色经济发展基金,65,亿元,海南省政府出资20亿（30.77%），区内企业出资45亿（69.23%）,南海经济发展集团,海洋生态修复和可再生能源公司,蓝色经济产业链图,海南在线,https://www.hainan.gov.cn/,2024-10-14,,,,,,,,,,,
中国海洋科技投资引导基金,200,亿元,国家重点基金出资100亿（50%），其他投资机构出资100亿（50%）,中国海洋科技发展中心,海洋科技与创新企业,科技创新产业链图,科技日报,https://www.stdaily.com/,2024-10-14,,,,,,,,,,,
沿海港口物流发展基金,80,亿元,地方政府出资30亿（37.5%），大型物流公司出资50亿（62.5%）,中国物流港投资有限公司,物流和科技公司,物流产业链关系图,物流网,https://www.56logistics.com/,2024-10-14,,,,,,,,,,,
可再生海洋能投资建设基金,30,亿元,风能及海洋能企业出资15亿（50%），其他绿色投资机构出资15亿（50%）,绿色海洋环境投资公司,海洋能发电及环保技术公司,绿色能源产业链图,能源管理局,https://www.nea.gov.cn/,2024-10-14,,,,,,,,,,,
九州海洋产业综合发展基金,150,亿元,九州投资集团出资70亿（46.7%），各大海洋企业出资80亿（53.3%）,九州海洋投资管理有限公司,各类海洋相关企业,综合海洋产业链图,中国工商报,https://www.cnbg.com.cn/,2024-10-14,,,,,,,,,,,
江苏海洋科技创新基金,30,亿元,江苏省地方政府出资10亿（33.3%），江苏海洋投资有限公司出资20亿（66.7%）,江苏海洋科技基金管理有限公司,海洋科技、智能制造企业,海洋科技产业链,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_XXX,2024-10-14,,,,,,,,,,,
海南生态海洋产业基金,70,亿元,海南省政府出资35亿（50%），民间投资出资35亿（50%）,海南海洋产业基金管理有限公司,生态环保、海洋休闲产业企业,海南海洋产业链,中国证券网,http://www.cs.com.cn/hy/XXX,2024-10-14,,,,,,,,,,,
宁波海洋经济发展私募基金,15,亿元,宁波市政府出资5亿（33.3%），宁波海洋发展集团出资10亿（66.7%）,宁波海洋经济投资管理公司,港口物流、海洋装备制造企业,海洋经济产业链,新浪财经,https://finance.sina.com.cn/XXX,2024-10-14,,,,,,,,,,,
