保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
国信保险,渔船保险,1800,万人民币,水产养殖网,http://www.chinaseafood.com/,2024-10-13,,,,,,,,,,,,,,
太平保险,外贸货物保险,3500,万人民币,外贸圈,https://www.tradecircle.com/,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋设施保险,2300,万人民币,财险网,http://www.cpcins.com/,2024-10-13,,,,,,,,,,,,,,
中险集团,国际航运危险品险,6000,万人民币,中国保监会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
新光保险,货柜运输事故保险,900,万人民币, 保险时报,http://www.ciis.cn/,2024-10-13,,,,,,,,,,,,,,
平安大华,海上救助险,2800,万人民币,航运新闻,http://www.maritime.cn/,2024-10-13,,,,,,,,,,,,,,
利宝保险,船舶失踪险,750,万人民币,商报,https://www.businessnews.cn/,2024-10-13,,,,,,,,,,,,,,
江泰保险,水上运输责任险,3200,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋平台责任险,7200,万人民币,海洋产业网,https://www.oceanindustry.com,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋运输保险,4500,万人民币,中国保险报,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
阳光人寿,海洋事故险,2800,万人民币,保险网,https://www.insurance.com,2024-10-13,,,,,,,,,,,,,,
富邦保险,海洋货物遗失险,3500,万人民币,新金融观察,https://www.newfinancialobserver.com,2024-10-13,,,,,,,,,,,,,,
密西根州保险公司,海洋设备保险,4200,万人民币,全球保险资讯,https://www.globalinsurancenews.com,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋救助责任险,6000,万人民币,保险许可证,https://www.insurancelicense.cn,2024-10-13,,,,,,,,,,,,,,
安盛保险,港口货物保险,3000,万人民币,金融时报,https://www.financialnews.com,2024-10-13,,,,,,,,,,,,,,
光大保险,海洋天然灾害险,9100,万人民币,行业协会,http://www.industryassociation.org,2024-10-13,,,,,,,,,,,,,,
安邦保险,深海施工险,7500,万人民币,海洋经济研究,http://www.oceaneconomics.com,2024-10-13,,,,,,,,,,,,,,
众安保险,海底电缆保险,3800,万人民币,保险在线,https://www.insuranceonline.com,2024-10-13,,,,,,,,,,,,,,
中国太保,海洋平台保障险,6000,万人民币,中国保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华夏保险,深海探测器险,1200,万人民币,科学网,https://www.sciencenet.cn/,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋污染责任险,4000,万人民币,人民网,http://www.people.com.cn/,2024-10-13,,,,,,,,,,,,,,
远洋保险,生物海洋资源保险,1500,万人民币,中国水产门户网,http://www.chinafishery.com/,2024-10-13,,,,,,,,,,,,,,
阳光邮轮保险,邮轮旅客保险,950,万人民币,旅联网,http://www.travelunion.com/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋风暴险,2000,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
国泰君安保险,海洋设施损坏险,1800,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安邦保险,深海渔业险,700,万人民币,渔业信息网,http://www.fishery.com/,2024-10-13,,,,,,,,,,,,,,
信泰保险,新材料船舶险,500,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋安全险,3000,万人民币,航运网,http://www.shipping.cn/,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋环境责任险,1200,万人民币,保险行业网,http://www.insuranceindustry.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险公司,船只碰撞险,4500,万人民币,金融时报,http://www.finance-times.cn/,2024-10-13,,,,,,,,,,,,,,
信诚人寿,渔船损失险,750,万人民币,海洋信息网,http://www.oceaninfo.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋船舶责任险,3200,万人民币,中国保险网,http://www.china-insurance.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋污染险,600,万人民币,海洋发展研究中心,http://www.oceandevelopment.org/,2024-10-13,,,,,,,,,,,,,,
安盛天平保险,货物滞留险,2800,万人民币,国际财经报道,http://www.intlfinance.com/,2024-10-13,,,,,,,,,,,,,,
大地保险,船舶货物投保险,4300,万人民币,保险评论网,http://www.insurancereview.cn/,2024-10-13,,,,,,,,,,,,,,
中国人保财险,海洋震荡险,950,万人民币,航运日报,http://www.shippingdaily.com/,2024-10-13,,,,,,,,,,,,,,
顺丰保险,集装箱货物责任险,3900,万人民币,环球网,http://www.huanqiu.com/,2024-10-13,,,,,,,,,,,,,,
首创保险,海域权利损失险,1100,万人民币,中国海洋大学,http://www.ouc.edu.cn/,2024-10-13,,,,,,,,,,,,,,
中国泛海保险有限公司,渔船捕鱼险,2200,万人民币,中国保险报,http://www.cbinsurance.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋文化遗产保险,4500,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
阳光财产保险股份有限公司,生态环境责任险,3200,万人民币,证券时报,http://www.zqsb.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,船舶偷盗险,1800,万人民币,财经网,http://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
联保保险,海洋旅游险,5200,万人民币,旅游网,http://www.ly365.com,2024-10-13,,,,,,,,,,,,,,
中国出口信用保险公司,海洋用户责任险,3500,万人民币,国际金融新闻,http://www.jjckb.cn,2024-10-13,,,,,,,,,,,,,,
中银保险,集装箱丢失险,1900,万人民币,新浪财经,https://finance.sina.com.cn,2024-10-13,,,,,,,,,,,,,,
天安保险,洗涤水处理险,2750,万人民币,中国水网,http://www.h2o-china.com,2024-10-13,,,,,,,,,,,,,,
国寿财险,深海探测险,4000,万人民币,中投网,http://www.cntou.com,2024-10-13,,,,,,,,,,,,,,
平安国际保险,深海矿业险,6000,万人民币,海洋产业网,http://www.oceanindustry.com,2024-10-13,,,,,,,,,,,,,,
招商局仁和保险,海洋环境责任险,4500,万人民币,信泰保险网,https://www.sit.net/knowledge/oceanic-environmental.html,2024-10-13,,,,,,,,,,,,,,
中华财险,水上工程险,3200,万人民币,保险日报,http://www.insurancedaily.com/ocean-engineering.html,2024-10-13,,,,,,,,,,,,,,
太平保险,海洋科研保险,2800,万人民币,中国保险网,https://www.cic.net/ocean-science-insurance,2024-10-13,,,,,,,,,,,,,,
新华人寿,渔船险,1200,万人民币,搜狐财经,https://business.sohu.com/insure-fishing-vessel.html,2024-10-13,,,,,,,,,,,,,,
国华人寿,海洋保全险,600,万人民币,南方周末,http://www.infzm.com/insurance/ocean-preservation.html,2024-10-13,,,,,,,,,,,,,,
阳光产险,渔业责任险,1100,万人民币,海洋经济网,http://www.oceaneconomy.com/fishing-liability.html,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋科技实验险,1500,万人民币,国际保险网,http://www.international-insure.com/ocean-tech.html,2024-10-13,,,,,,,,,,,,,,
民生保险,海洋文化遗产险,3500,万人民币,文化财经,http://www.cultural-finance.com/ocean-heritage.html,2024-10-13,,,,,,,,,,,,,,
信诚保险,潜水员险,900,万人民币,专业潜水杂志,http://www.professionalscuba.com/insurance-diver.html,2024-10-13,,,,,,,,,,,,,,
光大保险,景观船险,2200,万人民币,旅游财经,http://www.tourismfinance.com/ocean-scenic-vessel.html,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋金融险,4200,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
安诚保险,海洋环境责任险,3600,万人民币,中国保险报,http://www.cb.com.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋施工责任险,2900,万人民币,搜狐财经,http://www.sohu.com/finance,2024-10-13,,,,,,,,,,,,,,
华安保险,深海探险险,750,万人民币,金融界,http://www.jrj.com,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋技术险,1800,万人民币,澎湃新闻,http://www.thepaper.cn,2024-10-13,,,,,,,,,,,,,,
永诚保险,海洋物流险,3300,万人民币,21世纪经济报道,http://www.21cbh.com,2024-10-13,,,,,,,,,,,,,,
中信保险,海洋事故责任险,1100,万人民币,界面新闻,http://www.jiemian.com,2024-10-13,,,,,,,,,,,,,,
美亚保险,货物延误险,2100,万人民币,新浪财经,http://finance.sina.com.cn,2024-10-13,,,,,,,,,,,,,,
阳光财险,海上救助险,1300,万人民币,网易财经,http://money.163.com,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,深海探矿险,2050,万人民币,中国新闻周刊,http://www.chinanews.com,2024-10-13,,,,,,,,,,,,,,
中信保险,海洋工程责任险,6500,万人民币,中国船舶报,http://www.shipnews.com.cn,2024-10-13,,,,,,,,,,,,,,
安信保险,水上货物保险,4200,万人民币,海洋经济研究,https://www.oceanresearch.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海难救助险,3000,万人民币,财新网,https://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
国华人寿保险,潜水作业险,2700,万人民币,每日经济新闻,https://www.nbd.com.cn,2024-10-13,,,,,,,,,,,,,,
永诚保险,运输责任险,4800,万人民币,中国经济时报,http://www.cet.com.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,船舶责任险,3500,万人民币,中金在线,http://www.cngold.org,2024-10-13,,,,,,,,,,,,,,
阳光财险,鱼类养殖险,2200,万人民币,农业科技,https://www.agri.gov.cn,2024-10-13,,,,,,,,,,,,,,
信泰保险,渔船意外险,1600,万人民币,新京报,http://www.bjnews.com.cn,2024-10-13,,,,,,,,,,,,,,
保险之星,海洋污染责任险,4000,万人民币,环境保护部,http://www.mee.gov.cn,2024-10-13,,,,,,,,,,,,,,
东亚保险,船舶溢油险,500,万人民币,环球时报,https://www.globaltimes.cn,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,深海探测器保险,3500,万人民币,保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安华农业保险,水产养殖保险,2800,万人民币,中国水产流通与加工协会,https://www.cfda.com.cn/,2024-10-13,,,,,,,,,,,,,,
恒安标准人寿,海洋环境责任保险,4200,万人民币,国家海洋局,http://www.soa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋科学研究保险,1500,万人民币,中国科学院海洋研究所,http://www.iocas.ac.cn/,2024-10-13,,,,,,,,,,,,,,
中国出口信用保险公司,海洋运输责任险,5000,万人民币,外贸信托网,http://www.cecina.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,岸基设备保险,600,万人民币,海洋经济与安全研究所,http://www.oceanresearch.org.cn/,2024-10-13,,,,,,,,,,,,,,
光大永明人寿,航运安全保险,3300,万人民币,国际航运组织,http://www.imo.org/,2024-10-13,,,,,,,,,,,,,,
中银保险,油轮责任险,7500,万人民币,中国海油,http://www.cnooc.com.cn/,2024-10-13,,,,,,,,,,,,,,
华安财险,海洋工程险,4500,万人民币,中国企业联合会,http://www.cae.org.cn/,2024-10-13,,,,,,,,,,,,,,
信诚人寿,航运货物保险,2900,万人民币,海事局,http://www.msa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国信保险,海洋货物运输险,6200,万人民币,新浪财经,https://finance.sina.com.cn,2024-10-13,,,,,,,,,,,,,,
华安保险,渔船责任险,1800,万人民币,搜狐财经,https://www.sohu.com/c/120123,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋平台险,4500,万人民币,中国保险报,http://www.ciab.com.cn,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋环境责任险,2200,万人民币,金融界,https://www.jrj.com,2024-10-13,,,,,,,,,,,,,,
阳光财险,深海探测险,3500,万人民币,网易财经,https://money.163.com,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋助学险,700,万人民币,人民网,http://www.people.com.cn,2024-10-13,,,,,,,,,,,,,,
平安财险,竞技帆船保险,1600,万人民币,腾讯财经,https://finance.qq.com,2024-10-13,,,,,,,,,,,,,,
国泰民安保险,深海石油钻探险,5400,万人民币,每日经济新闻,http://www.nbd.com.cn,2024-10-13,,,,,,,,,,,,,,
大都会人寿,深海潜水险,1500,万人民币,澎湃新闻,https://www.thepaper.cn,2024-10-13,,,,,,,,,,,,,,
富德生命人寿,海底管线保险,3700,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
中信保诚保险,海洋运输责任保险,3500,万人民币,企查查,https://www.qichacha.com/,2024-10-13,,,,,,,,,,,,,,
华夏保险,海洋货物保险,4200,万人民币,中国保险报,http://www.cb.com.cn/,2024-10-13,,,,,,,,,,,,,,
信泰保险,渔业保险,2200,万人民币,海洋经济网,http://www.marineec.com/,2024-10-13,,,,,,,,,,,,,,
太平保险集团,船舶停航险,3000,万人民币,中新网,http://www.chinanews.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,海上风险保险,5500,万人民币,保险频道,http://www.insurance.com.cn/,2024-10-13,,,,,,,,,,,,,,
安华农业保险,海洋生态险,1800,万人民币,南方日报,http://www.nfdaily.cn/,2024-10-13,,,,,,,,,,,,,,
新华人寿保险,海洋探险险,2600,万人民币,每日经济新闻,http://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
东莞农商银行保险,水上工程保险,4400,万人民币,大公报,http://www.takungpao.com/,2024-10-13,,,,,,,,,,,,,,
平安养老保险,海洋科学研究险,2900,万人民币,保险在线,http://www.insuranceonline.com/,2024-10-13,,,,,,,,,,,,,,
保险之家,集装箱损失险,1500,万人民币,观察者网,https://www.guancha.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋工程保险,4000,万人民币,法信,http://www.faxin.cn,2024-10-13,,,,,,,,,,,,,,
平安养老保险,渔船保险,2200,万人民币,外贸知识网,https://www.hgj.com,2024-10-13,,,,,,,,,,,,,,
中国人寿,海洋专业责任险,1700,万人民币,法律快车,http://www.lawtime.cn,2024-10-13,,,,,,,,,,,,,,
华夏保险,深海钻探险,3500,万人民币,百度百科,https://baike.baidu.com,2024-10-13,,,,,,,,,,,,,,
中华保险,水产运输险,1200,万人民币,经济日报,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
阳光人寿,海上货物运输险,2800,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
厦门国际保险,油气田开发险,5000,万人民币,商报网,http://www.shangbao.com,2024-10-13,,,,,,,,,,,,,,
安邦保险,集装箱货物险,3200,万人民币,中国保险报,http://www.cic.cn,2024-10-13,,,,,,,,,,,,,,
中国出口信用保险公司,远洋运输险,4600,万人民币,全球保险网,http://www.globalinsurancenews.com,2024-10-13,,,,,,,,,,,,,,
国华人寿,海洋环境责任险,900,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋环境责任险,3500,万人民币,保险业界动态,https://www.pacifiicinsurance.com/news,2024-10-13,,,,,,,,,,,,,,
华安保险,渔业保险,4000,万人民币,中国渔业协会,http://www.cfa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
赵靖保险,海洋运输责任险,2800,万人民币,保险市场调查网,http://www.insurancemarket.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,船舶增值险,1200,万人民币,财经信息网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋工程险,4500,万人民币,中国船舶口岸协会,http://www.china-ship.org,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,潜水作业险,900,万人民币,海洋安全报告,https://www.oceanicsafety.com,2024-10-13,,,,,,,,,,,,,,
东亚保险,极地航行险,6200,万人民币,全球航运研究中心,http://www.globalshippingresearch.org,2024-10-13,,,,,,,,,,,,,,
中信保险,多式联运险,2400,万人民币,商业时报,https://www.businessnews.cn,2024-10-13,,,,,,,,,,,,,,
大都会人寿保险,海洋资源开采险,3000,万人民币,经济技术开发区,http://www.econdevzone.gov.cn,2024-10-13,,,,,,,,,,,,,,
南方证券保险,海上责任险,500,万人民币,证券日报,http://www.securitiesdaily.com.cn,2024-10-13,,,,,,,,,,,,,,
众安保险,海洋罢工险,1200,万人民币,金融时报,https://www.ft.com/,2024-10-13,,,,,,,,,,,,,,
中信保诚人寿,海洋拖延险,4500,万人民币,中国保险报,http://www.zginsure.com/,2024-10-13,,,,,,,,,,,,,,
中国太平,渔业损失险,2200,万人民币,保监会,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,舰船延误险,3500,万人民币,经济日报,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋生物险,900,万人民币,中国保险网,http://www.insurance.gov.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋环境污染险,1800,万人民币,财经网,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
万邦保险,气候变化险,3000,万人民币,中国海洋发展报告,http://www.ocean.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,全球航运险,5500,万人民币,航运网,https://www.shipping.com/,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,极地探险险,1300,万人民币,中国探险协会,http://www.chinaexploration.cn/,2024-10-13,,,,,,,,,,,,,,
国民保险,海域潜水险,2500,万人民币,海洋产业观察,http://www.marineobservation.cn/,2024-10-13,,,,,,,,,,,,,,
中国平安保险,近海渔业保险,3500,万人民币,中国渔业网,http://www.chinafishery.net,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋工程险,4000,万人民币,行业动态网,http://www.hangye.com,2024-10-13,,,,,,,,,,,,,,
大地保险,油气平台险,6000,万人民币,能源时报,http://www.energynews.cn,2024-10-13,,,,,,,,,,,,,,
中联保险,海洋漂流险,900,万人民币,旅游保险网,http://www.travelaiv.com,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋货物运输险,4500,万人民币,中国物流网,http://www.chinawuliu.com,2024-10-13,,,,,,,,,,,,,,
阳光财险,环保责任险,3000,万人民币,环保在线,http://www.hbzhan.com,2024-10-13,,,,,,,,,,,,,,
安华保险,海上救助险,1200,万人民币,国际救助合作组织,http://www.ird.org,2024-10-13,,,,,,,,,,,,,,
江泰保险,远洋渔业险,3200,万人民币,海洋资源开发网,http://www.marinedevelopment.cn,2024-10-13,,,,,,,,,,,,,,
国任保险,船长责任险,800,万人民币,船舶事故研究网,http://www.shipaccident.cn,2024-10-13,,,,,,,,,,,,,,
浙江保险,海洋灾害险,5500,万人民币,浙江日报,http://www.zjrb.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋平台险,4000,万人民币,保险网,https://www.insurance.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋工程险,3500,万人民币,外贸知识网,https://www.hgj.com/,2024-10-13,,,,,,,,,,,,,,
中国人寿保险,海洋捕捞险,1200,万人民币,中华保险网,https://www.ccic.com/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋货物运输险,2500,万人民币,保险日报,http://www.insurancedaily.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,港口责任险,600,万人民币,全球保险网,https://www.globalinsurance.com/,2024-10-13,,,,,,,,,,,,,,
中华联合保险,海上货损险,1800,万人民币,保险行业网,https://www.insuranceindustry.com.cn/,2024-10-13,,,,,,,,,,,,,,
长安责任保险,海洋特种货物险,900,万人民币,保险策略网,https://www.insurancestrategy.cn/,2024-10-13,,,,,,,,,,,,,,
阳光保险,船舶融资险,3800,万人民币,海事论坛,https://www.maritimeforum.com/,2024-10-13,,,,,,,,,,,,,,
天安保险,深海渔业险,2000,万人民币,海洋开发网,https://www.oceandevelopment.com/,2024-10-13,,,,,,,,,,,,,,
国有企业保险,海洋采矿险,3000,万人民币,国家能源局,http://www.nea.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国人寿保险公司,海洋工程保险,4500,万人民币,新华网,https://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
太平洋保险,海洋石油作业险,3500,万人民币,保险业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中原农业保险,渔船保险,2700,万人民币,中国水产养殖网,http://www.360che.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,船舶货物责任险,2200,万人民币,海事服务网,http://www.msa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海域划界险,3000,万人民币,中国保险网,http://www.china-insurance.com/,2024-10-13,,,,,,,,,,,,,,
阳光保险,水上货物运输险,1500,万人民币,中国航运网,http://www.cffex.com.cn/,2024-10-13,,,,,,,,,,,,,,
吉祥保险,潜水作业险,700,万人民币,国际保险评论,http://www.iiiglobal.com/,2024-10-13,,,,,,,,,,,,,,
德华安顾,海洋工程财产险,4200,万人民币,全国水产技术推广总站,http://www.fishery.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中华联合保险,港口财产险,2900,万人民币,现代物流网,http://www.modernlogistics.net/,2024-10-13,,,,,,,,,,,,,,
国华农险,海洋环境污染责任险,1200,万人民币,国内外水产动态,http://www.fisheriesjournal.org/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋环境责任保险,1200,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋运输延误险,4500,万人民币,国际航运商协会,http://www.isa.org/,2024-10-13,,,,,,,,,,,,,,
华安保险,近海渔业险,900,万人民币,渔业保险信息网,http://www.fishinsurance.cn/,2024-10-13,,,,,,,,,,,,,,
全国社保基金理事会,海洋设施险,2200,万人民币,保险研究院,http://www.insurancestudies.org/,2024-10-13,,,,,,,,,,,,,,
大地保险,渔船安全责任险,1700,万人民币,海洋经济观察,http://www.oceanobserver.com/,2024-10-13,,,,,,,,,,,,,,
泰康保险,深海探测险,3300,万人民币,深海科技开发平台,http://www.deepsea-tech.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋科学研究险,800,万人民币,海洋保护联合会,http://www.oceanconservation.org/,2024-10-13,,,,,,,,,,,,,,
招商局仁和保险,货运集装箱安全险,2500,万人民币,中国航运协会,http://www.china-shippers.org/,2024-10-13,,,,,,,,,,,,,,
华夏保险,航道安全责任险,1400,万人民币,海运安全信息网,http://www.maritime-safety.gov.cn/,2024-10-13,,,,,,,,,,,,,,
人保海洋保险,气候变化风险险,1900,万人民币,气候与海洋研究中心,http://www.climateocean.org/,2024-10-13,,,,,,,,,,,,,,
新华人寿保险,海洋环境污染责任险,6000,万人民币,中国保险在线,http://www.cbx.com.cn/,2024-10-13,,,,,,,,,,,,,,
中华财险,深海探测器保险,3500,万人民币,大连海事大学,http://www.dlmu.edu.cn/,2024-10-13,,,,,,,,,,,,,,
利安保险,深水油田开发险,4500,万人民币,中国海洋经济网,http://www.omeconomy.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋科学研究险,2800,万人民币,中国海洋学会,http://www.cmos.org.cn/,2024-10-13,,,,,,,,,,,,,,
大都会保险,水下施工险,3200,万人民币,海事服务网,http://www.marine-service.net/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋观光游船险,1400,万人民币,旅游保险协会,http://www.tourisminsurance.org/,2024-10-13,,,,,,,,,,,,,,
信泰保险,水上救援险,900,万人民币,海洋救援网,http://www.oceanrescue.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,鱼类养殖险,2500,万人民币,中国水产行业协会,http://www.cfsia.org/,2024-10-13,,,,,,,,,,,,,,
国寿财险,海洋非正常损失险,1600,万人民币,保险学研究院,http://www.insuranceinstitute.cn/,2024-10-13,,,,,,,,,,,,,,
平安养老保险,海洋温室气体排放险,3700,万人民币,绿色保险论坛,http://www.greeninsuranceforum.com/,2024-10-13,,,,,,,,,,,,,,
中国平安保险,海洋环境责任险,4500,万人民币,保险行业协会,http://www.ia.org.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,长途渔船保险,3200,万人民币,海洋经济网,http://www.oceanec.com/,2024-10-13,,,,,,,,,,,,,,
新华保险,海洋风暴险,2800,万人民币,中国保险报,http://www.cb.com.cn/,2024-10-13,,,,,,,,,,,,,,
大都会人寿保险,深海作业保险,3500,万人民币,国际保险观察,http://www.internationalinsur.com/,2024-10-13,,,,,,,,,,,,,,
农业保险公司,水产品养殖险,1200,万人民币,农业农村部,http://www.moa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国信保险,海上货物损失险,3700,万人民币,中国物流与采购网,http://www.clpc.org.cn/,2024-10-13,,,,,,,,,,,,,,
合众人寿保险,海洋装备损坏险,2200,万人民币,中国财产保险网,http://www.cpic.com.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,近海石油钻井险,6000,万人民币,中国海洋及水产业协会,http://www.cmwa.org.cn/,2024-10-13,,,,,,,,,,,,,,
阳光保险,热带气候保险,1500,万人民币,中国气象局,http://www.cma.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中再生保险,海洋潜水作业险,4000,万人民币,海洋科技与产业发展论坛,http://www.marineforum.org/,2024-10-13,,,,,,,,,,,,,,
中再集团,海洋旅游险,1200,万人民币,保险在线,https://www.insuranceonline.com.cn,2024-10-13,,,,,,,,,,,,,,
华安保险,渔船保险,3400,万人民币,深海渔业报告,https://www.deepseafishingreport.cn,2024-10-13,,,,,,,,,,,,,,
人保财险,水下工程险,2200,万人民币,国际海洋开发杂志,https://www.marine-development-magazine.com,2024-10-13,,,,,,,,,,,,,,
泰康人寿,海洋环境责任险,900,万人民币,环保保险网,https://www.ecoinsurance.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋工程设备保险,3100,万人民币,海洋工程与技术,https://www.marineengineeringtech.com,2024-10-13,,,,,,,,,,,,,,
农业保险公司,水产养殖险,1500,万人民币,农业部信息中心,http://www.moa.gov.cn,2024-10-13,,,,,,,,,,,,,,
中信保诚,深海捕捞险,2800,万人民币,水产业发展报告,https://www.fisheryreport.cn,2024-10-13,,,,,,,,,,,,,,
国信保险,集装箱货损险,4000,万人民币,海关数据中心,http://www.customsdata.com,2024-10-13,,,,,,,,,,,,,,
大都会人寿,船舶融资险,2000,万人民币,船舶融资协会,https://www.vessel-finance.org,2024-10-13,,,,,,,,,,,,,,
华泰保险,海上货物保险,3600,万人民币,海上运输网,https://www.maritime-transport.com,2024-10-13,,,,,,,,,,,,,,
华农保险,水产养殖险,3000,万人民币,中国水产养殖网,http://www.cnaf.org.cn/,2024-10-13,,,,,,,,,,,,,,
中再保险,深海探测器险,1200,万人民币,深海科技网,http://www.deepseatech.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋工程险,4200,万人民币,海洋工程与技术信息网,http://www.oei.cn/,2024-10-13,,,,,,,,,,,,,,
阳光财险,海洋环境责任险,2500,万人民币,中国环境保护网,http://www.chinaep.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋卫星监测险,900,万人民币,卫星应用网,http://www.satellitenews.cn/,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋清洁剂责任险,1800,万人民币,人民网,http://www.people.com.cn/,2024-10-13,,,,,,,,,,,,,,
紫金保险,船员人身险,2200,万人民币,中国海事网,http://www.msa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国人保财险,远洋渔业险,3500,万人民币,中国渔业信息网,http://www.fishinfo.cn/,2024-10-13,,,,,,,,,,,,,,
平安养老,海洋科研航行险,1400,万人民币,科技日报,http://www.stdaily.com/,2024-10-13,,,,,,,,,,,,,,
职业健康险,海洋装置事故险,800,万人民币,中国职工安全卫士网,http://www.safetyworker.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋环境责任险,1200,万人民币,保险学堂,http://www.bxxt.com/,2024-10-13,,,,,,,,,,,,,,
永诚保险,货物运输险,4000,万人民币,海洋经济网,http://www.haiyangjingshang.com/,2024-10-13,,,,,,,,,,,,,,
