机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
无人驾驶清扫车,自动行驶底盘,全天候工作、高效清扫,城市清洁、街道维护,城市管理局,http://www.city.gov.cn,,
智能家居机器人,多功能集成体,家居监控、环境控制,智能家居、家电管理,中国智能家居发展研究中心,http://www.cihdrc.org.cn,,
胶囊内窥镜机器人,微型摄像机,非侵入性、实时成像,医学成像、健康检测,国家医疗器械监督管理局,http://www.nmpa.gov.cn,,
医疗机器人,手术辅助系统,精准操控、微创能力,外科手术、康复治疗,中国医院协会,http://www.hospitalassociation.org.cn,,
家庭机器人,家庭助手,语音控制、智能家居集成,家庭清洁、智能照明,中国智能家居产业发展联盟,http://www.chinaiot.org.cn,,
安防机器人,巡逻机器人,实时监控、移动巡逻,公共安全、校园安防,中国安全技术防范行业协会,http://www.cpsa.org.cn,,
餐饮服务机器人,全自动餐厅服务系统,自动点餐、送餐服务,快餐店、智能餐厅,中国酒店协会,http://www.chinahotel.org,,
农业机器人,自动播种机,精准播种、数据分析,现代化农业、精准农业,中国农业机械化协会,http://www.cam.org.cn,,
物流机器人,无人配送车,自适应路径、自动导航,城市配送、最后一公里,中国物流与采购联合会,http://www.clpc.org.cn,,
探测机器人,地面平台,多传感器集成、自主探测,环境监测、灾后评估,中国科学院地理科学与资源研究所,http://www.igese.ac.cn,,
娱乐机器人,智能玩具,编程互动、教育功能,儿童教育、家庭娱乐,中国玩具协会,http://www.ctma.org.cn,,
服务机器人,人形交互体,情感识别、任务执行,酒店接待、医院陪护,中国人工智能产业技术创新战略联盟,http://www.ai-industry.org.cn,,
探险机器人,全地形机动系统,高度适应性、自主导航,极地探险、火山监测,中国科学院深海研究所,http://www.iso.org.cn,,
物流机器人,AGV智能运输车,无线控制、智能调度,生产线物料运输、仓库管理,中国物流与供应链研究所,https://www.logisticsinstitute.org,,
陪伴机器人,移动平台,人机互动、情感交流,老年人陪护、孤独症儿童教育,中国康复医学会,http://www.crams.org.cn,,
工业机器人,多关节机械臂,高灵活性、多功能,汽车制造、金属加工,中国工业机器人产业技术创新战略联盟,http://www.cirwia.org.cn,,
监测机器人,移动监视器,高清影像、自主巡逻,森林防火、灌溉监测,国家林业和草原局,http://www.forestry.gov.cn,,
教育机器人,虚拟助手,可交互学习、在线答疑,在线教育、语言学习,中国在线教育研究中心,http://www.coer.org.cn,,
极限运动机器人,全地形运动平台,高灵活性、耐用性,探险、极限运动视频拍摄,中国极限运动协会,http://www.cisa.org.cn,,
研究机器人,机动实验平台,高度集成、实验验证,科学研究、技术开发,中国科技部,http://www.most.gov.cn,,
社区服务机器人,智能巡逻系统,实时反馈、社区互动,社区安防、公共服务,国家信息中心,http://www.nic.gov.cn,,
医疗机器人,手术机械臂,高精度、远程操作,微创手术、远程诊治,中国医疗机器人技术协会,http://www.cmra.org.cn,,
家用机器人,智能吸尘器,自动清扫、智能避障,家庭清洁,家用电器市场研究所,https://www.appliance.org,,
农业机器人,无人驾驶农机,精准播种、智能植保,现代农业管理,中国农业科学院,http://www.caas.cn,,
安防机器人,移动监控平台,实时监控、自动巡逻,公共安全、智能楼宇,安防技术研究中心,https://www.securitytech.org,,
娱乐机器人,互动娱乐系统,表演功能、语音互动,家庭娱乐、陪伴,中国玩具和儿童用品协会,http://www.ctta.org.cn,,
清洁机器人,智能清洗设备,高效清洁、自主导航,商业清洁、公共设施,环境保护部,http://www.mee.gov.cn,,
配送机器人,移动送餐车,自动送餐、整数交互,餐饮行业、校园服务,餐饮科技创新大会,http://www.cateringinnovation.com,,
调度机器人,任务调度平台,动态调配、实时反馈,仓储管理、物流配送,物流与供应链管理协会,https://www.logisticsmanagement.org,,
旅游机器人,导览系统,实时信息、互动问答,旅游景区、博物馆,中国旅游研究院,http://www.ctri.cn,,
餐饮机器人,自动炒菜机,菜单规划、味道稳定,餐厅厨房,中国餐饮行业协会,http://www.culinary.org.cn,,
水下机器人,潜水平台,深海探索、图像采集,海洋研究、环境监测,中国海洋科学研究院,http://www.cma.gov.cn,,
探险机器人,全地形移动平台,自主导航、环境适应,极地探险、灾区勘探,国家空间科学中心,http://www.nscc.org.cn,,
火灾救援机器人,火灾应急平台,耐高温、携带救援设备,消防救援、灾后评估,国家消防救援学院,http://www.nfsra.edu.cn,,
社交机器人,人形交互接口,情感理解、非语言沟通,老年陪伴、社交活动,中国人工智能协会,http://www.caai.org.cn,,
建筑机器人,自动焊接机,高效操作、精确度高,建筑施工、结构加固,中国建筑业协会,http://www.cab.org.cn,,
环境监测机器人,气象监测平台,多参数传感、数据采集,城市气候监测、生态保护,气象科学研究院,http://www.cma.gov.cn,,
机械臂机器人,多自由度机械臂,灵活性高、重复性强,精密加工、装配线,中国机械工程学会,http://www.cmes.org.cn,,
特殊教育机器人,互动学习辅助器,个性化教学、非传统学习,特殊教育机构,中国特殊教育发展研究中心,http://www.setrc.org.cn,,
无人驾驶出租车,自动驾驶系统,安全驾驶、实时导航,城市出租车服务,中国智能交通协会,http://www.citas.org.cn,,
教育机器人,虚拟现实一体机,沉浸式学习、实时交互,职业培训、语言学习,国际教育技术协会,https://www.istE.org,,
服务机器人,移动服务平台,智能导航、人机交互,酒店服务、家庭助手,中国智能服务机器人研究中心,https://www.isrc.org.cn,,
医疗机器人,机械手臂,高精度手术、远程操作,外科手术、康复训练,中国医学科学院,http://www.cams.ac.cn,,
农业机器人,自动驾驶农机,精准施肥、智能监控,智能农业、作物管理,农业部信息中心,http://www.moa.gov.cn,,
物流机器人,全向移动底盘,灵活操控、高效配送,电商仓储、超市配送,电子商务研究中心,https://www.100ec.cn,,
探测机器人,多传感器融合平台,环境感知、数据分析,矿山探测、能源监测,中国地质科学院,http://www.cags.ac.cn,,
娱乐机器人,社交陪伴系统,趣味互动、AI聊天,老年人陪护、儿童教育,国家老龄办,http://www.nag.gov.cn,,
工业机器人,多关节机械臂,灵活组装、智能监控,汽车制造、电子组装,中国机器人产业发展联盟,http://www.crida.org,,
安防机器人,监控巡逻车,实时监控、远程控制,公共安全、环境监测,公安部科技处,http://www.mps.gov.cn,,
教育机器人,模块化学习平台,项目式学习、个性化教育,中小学教育、编程培养,中国教育信息化研究中心,http://www.cee.edu.cn,,
救灾机器人,多轮驱动底盘,高地形适应性、强大负重,地震救援、火灾救援,国家灾难救助中心,http://www.sosc.gov.cn,,
物流机器人,分拣机器人,视觉识别、高效分拣,物流中心、仓储管理,中国物流与采购联合会,http://www.cflp.org.cn,,
工业机器人,激光切割机,高精度、低能耗,金属加工、板材切割,中国机械工程学会,http://www.cmes.org.cn,,
探测机器人,水下无人机,深海测绘、实时数据传输,海洋探测、环境监测,国家海洋局,http://www.soa.gov.cn,,
服务机器人,社交型家用机器人,情感陪伴、语义理解,家庭陪伴、老人护理,中国社科院,http://www.cssn.cn,,
医疗机器人,药物配送机器人,精准投药、自动导航,医院药房、病房管理,中国医院协会,http://www.chinahospitals.org.cn,,
救援机器人,火灾侦查无人机,高清热成像、实时反馈,灾后评估、救援计划,中国消防协会,http://www.cfa.gov.cn,,
农业机器人,水稻插秧机器人,精准插秧、低损耗,水稻种植、农田管理,中国农业科学院,http://www.aaa.gov.cn,,
教育机器人,互动学习平台,多种语言支持、个性化课程,语言学习、远程教育,全国教育技术研究中心,http://www.netech.org.cn,,
无人机,固定翼无人机,长时间飞行、广域监控,环境监测、地图测绘,中国无人机产业研究院,http://www.china-uav.org.cn,,
服务机器人,多功能移动底盘,视觉识别、任务协作,家庭清洁、陪护,中国机器人产业发展报告,https://www.roboticsreport.org.cn,,
工业机器人,六轴机器人,高适应性、高精度,汽车制造、装配线,国际机器人联合会,https://www.ifr.org,,
物流机器人,服务导向自动车,智能识别、自主导航,零售仓库、最后一公里配送,中国物流与采购联合会,http://www.chinalogistics.org.cn,,
救援机器人,多功能探测机器人,红外探测、烟雾感应,灾后搜索、救援行动,国际救援机器人协会,http://www.rescue-robot.org,,
医疗机器人,外科手术机器人,微创手术、远程操控,精密手术、远程会诊,中国医学科学院,http://www.cams.org.cn,,
家居机器人,智能家居集成系统,数据共享、环境适应,智能家居控制、家庭安防,智能家居产业技术创新中心,http://www.smart-home.org.cn,,
教育机器人,可编程机械手,动手能力培养、编程实践,机器人竞赛、STEM教育,全国科学技术教育中心,http://www.nste.org.cn,,
无人机,垂直起降无人机,简易操作、短时间任务,紧急响应、新闻报道,民用航空局,http://www.caac.gov.cn,,
巡逻机器人,轮式移动平台,自我充电、实时监控,公共安全、校园巡逻,国家安全科技产业基地,http://www.nstib.org.cn,,
农业机器人,自主行驶农机,智能施肥、精准播种,精准农业、田间管理,中国农业科学院,http://www.caas.cn,,
工业机器人,并联机器人,高刚性、高速度,食品包装、机械装配,中国自动化学会,http://www.caa.org.cn,,
物流机器人,无人运输车,自动充电、低噪音,医疗配送、物流中心,中国电动物流车产业联盟,http://www.eldta.org.cn,,
教育机器人,增强现实教学机器人,虚拟模拟、互动体验, STEM教育、职业培训,教育部职业教育与成人教育司,http://www.moe.gov.cn,,
服务机器人,语音助手机器人,自然语言处理、智能响应,客户服务、信息查询,中国人工智能学会,http://www.caaai.org.cn,,
救援机器人,遥控探测车,高灵敏度、环境适应性,地震救援、灾害监测,国家救援科技中心,http://www.nrescue.org.cn,,
建筑机器人,自动砖砌机,高效施工、低人力,建筑施工、基础设施建设,中国建筑业协会,http://www.cab.org.cn,,
医疗机器人,手术辅助系统,精准定位、即时反馈,外科手术、微创手术,中国医学科学院,http://www.cams.ac.cn,,
家庭服务机器人,清洁底盘,自动清扫、语音控制,家庭清洁、家务管理,中国家电协会,http://www.chea.org.cn,,
娱乐机器人,互动动画平台,智能陪伴、对话功能,儿童娱乐、陪伴机器人,中国文化部,http://www.mcprc.gov.cn,,
测绘机器人,高精度导航系统,自主测量、数据采集,城市规划、环境监测,中国测绘科学研究院,http://www.cassm.ac.cn,,
警用机器人,移动侦查平台,视频监控、区域巡逻,公共安全、反恐,公安部,http://www.mps.gov.cn,,
农业机器人,智能播种机,精准播种、数据分析,智能农业、作物管理,中国农业科学院,http://www.caas.cn,,
救援机器人,多功能机器人手臂,灵活操作、远程控制,灾后恢复、事故干预,中国红十字会,http://www.redcross.org.cn,,
清洁机器人,水下机器人,水下清洁、环境监测,水体治理、渔业管理,生态环境部,http://www.mee.gov.cn,,
康复机器人,步态训练系统,运动恢复、智能适应,伤后康复、老年护理,国家卫生健康委员会,http://www.nhc.gov.cn,,
安保机器人,移动巡逻平台,人脸识别、异动检测,商场巡逻、静态监控,中国安全生产监督管理局,http://www.chinasafety.gov.cn,,
探测机器人,地面侦测车,自主导航、传感器集成,野外探险、科学考察,中国科学技术协会,http://www.cast.org.cn,,
竞技机器人,对抗战斗系统,快速反应、智能战术,机器人比赛、教育培训,国家体育总局,http://www.sport.gov.cn,,
建筑机器人,自动砌砖机,高效施工、自主调节,建筑施工、基础设施,中国建筑业协会,http://www.cab.org.cn,,
集成展示机器人,可视化展示平台,自动导览、互动展示,展览会、科技馆,中国博物馆协会,http://www.cma.org.cn,,
餐饮机器人,自动炒菜机,菜单自动化、智能调味,智能餐厅、快捷服务,中国餐饮协会,http://www.cra.org.cn,,
美妆机器人,智能咨询平台,个性化推荐、AR试妆,美容院、在线美妆,中国美容协会,http://www.nabsm.org.cn,,
医疗机器人,手术辅助臂,精准手术、远程操控,微创手术、康复治疗,中国医学科学院,http://www.cams.cn,,
家庭服务机器人,智能清扫平台,自动充电、语音控制,日常清洁、智能家居,家用机器人研究中心,http://www.home-robotics.org,,
安全巡逻机器人,移动监控车,自动识别、实时监控,社区安全、校园巡逻,中国公共安全协会,http://www.cpsa.org.cn,,
农业机器人,无人驾驶拖拉机,精准施肥、自动驾驶,农业播种、作物管理,农业机械化研究所,http://www.aari.org.cn,,
救援机器人,探测机器人,侦察能力、环境适应,地震救援、事故现场排查,中国红十字会,http://www.redcross.org.cn,,
工业机器人,多关节机械臂,灵活性高、适应性强,汽车制造、3D打印,中国机器人产业发展协会,http://www.crida.org.cn,,
教育机器人,编程教学平台,项目学习、动态反馈,编程教育、STEM教育,全国教育技术装备研究中心,http://www.netea.edu.cn,,
无人机,固定翼无人机,长续航、航拍能力,航拍摄影、环境监测,中国无人机产业技术创新战略联盟,http://www.cuai.org.cn,,
水下机器人,水下遥控潜水器,深潜能力、实时数据传输,海洋探测、资源勘探,中国海洋工程协会,http://www.cmes.org.cn,,
金融机器人,智能投资顾问,数据分析、风险评估,财富管理、投资咨询,中国金融科技协会,http://www.cftech.org.cn,,
助老机器人,人机交互终端,生活协助、健康监测,养老服务、居家照护,中国老龄事业发展协会,http://www.calta.org.cn,,
城市管理机器人,智能垃圾分类车,自动分类、实时数据传输,城市环境管理、垃圾处理,中国城市管理联合会,http://www.ccma.org.cn,,
虚拟助手,对话生成模型,自然语言处理、个性化服务,客服支持、信息查询,中国人工智能学会,http://www.caai.org.cn,,
娱乐机器人,玩具互动系统,语音识别、趣味游戏,儿童教育、家庭娱乐,中国玩具行业协会,http://www.ctia.org.cn,,
文化传播机器人,多媒体展示平台,信息展示、互动体验,博物馆展览、文化活动,中国文化部,http://www.mct.gov.cn,,
清洁机器人,自动清洗系统,多功能、智能规划,公共场所清洁、车间卫生,行业清洁设备协会,http://www.cleaningtech.org,,
远程教育机器人,互动式教学终端,远程互动、实时教学,在线教育、远程培训,中国在线教育研究中心,http://www.online-edu.cn,,
教育机器人,虚拟现实学习系统,沉浸式学习、互动式编程,STEM教育、远程教学,中国教育技术协会,https://www.ceta.edu.cn,,
医疗机器人,机械手臂,精细操作、远程手术,外科手术、康复治疗,国际机器人医学协会,https://www.irmra.org,,
服务机器人,家庭助手系统,智能语音、健康监测,家庭护理、老年陪护,中国老龄化社会协会,https://www.cnasa.org.cn,,
物流机器人,自动搬运机,自主识别、快速搬运,电商配送、超市物流,中国电子商务协会,https://www.cbeia.org,,
工业机器人,多关节机械臂,灵活性高、适应性强,家具制造、装配线,中国机器人产业联盟,https://www.cria.org.cn,,
清洁机器人,自动吸尘系统,智能规划、强力吸尘,家庭清洁、商业保洁,国际清洁机器人协会,https://www.icra.org,,
救援机器人,多功能遥控车,强大负载、地形适应,灾难救援、环境探查,全国应急救援技术协会,https://www.cdrt.org.cn,,
农用机器人,自动化喷洒系统,精准施肥、病虫害监测,智能农业、精准农业,农业农村部科技司,http://www.moa.gov.cn,,
人工智能助手,语音交互平台,自我学习、适应性强,智能家居、在线客服,中国人工智能协会,https://www.caai.cn,,
军用机器人,无人作战系统,自主作战、数据联网,安全监控、环境侦察,国防科技大学,http://www.nudt.edu.cn,,
娱乐机器人,互动游戏系统,智能互动、个性化,儿童娱乐、教育推广,中国玩具及婴品协会,http://www.ctma.org.cn,,
自主移动机器人,轮式移动平台,路径规划、障碍物检测,仓储管理、自动化工厂,国际移动机器人协会,https://www.mrsa.org,,
运动机器人,人形设计,灵活运动、智能教练,体育训练、健康监测,中国运动科学学会,http://www.sportscience.org.cn,,
邻里服务机器人,小型移动平台,社区互动、信息服务,城市管理、社区服务,中国智慧城市协会,https://www.cscc.org.cn,,
水下机器人,水下无人机,深潜能力、环境探测,水下考古、生态监测,国家海洋局,http://www.soa.gov.cn,,
个性化医疗机器人,智能诊疗平台,数据分析、智能建议,健康管理、远程咨询,中国医学科学院,http://www.cams.ac.cn,,
无人驾驶汽车,智能驾驶系统,自主导航、智能防撞,共享出行、自动驾驶,中国智能汽车联盟,http://www.cata.com.cn,,
气候监测机器人,移动气象站,实时数据、远程监控,气象研究、环境保护,中国气象局,http://www.cma.gov.cn,,
传感器机器人,多传感器集成,环境感知、数据收集,智能城市、环境监测,中国城市规划学会,http://www.cups.org.cn,,
家庭清洁机器人,智能导航系统,自动清洁、障碍物识别,家庭清扫、地板清洁,中国家电协会,http://www.cheaa.org,,
医疗机器人,手术辅助臂,高精度、微创,外科手术、癌症治疗,中国医疗器械行业协会,http://www.camdi.org.cn,,
安防机器人,移动监控平台,实时监控、智能识别,城市安全、商业监控,中国安防协会,http://www.cspaa.org,,
农用机器人,智能播种机,精准播种、自动化,农田作业、作物管理,中国农业机械化协会,http://www.cama.org.cn,,
服务机器人,机器人导购,客户交互、数据分析,购物中心、博物馆,中国机器人产业发展联盟,http://www.cria.org.cn,,
特种机器人,防爆平台,高强度、特种任务适应,危险区域侦察、爆炸物处置,公安部科技开发局,http://www.mps.gov.cn,,
无人车,自驾系统,自动驾驶、实时导航,智能交通、城市出行,中国智能网联汽车产业创新中心,http://www.icvchina.org,,
护理机器人,智能陪伴系统,情感交流、健康监测,养老院、家庭护理,中国老龄事业发展协会,http://www.clcda.org.cn,,
库存机器人,移动堆垛机,自动搬运、空间优化,现代仓库管理,物流与供应链科技创新中心,http://www.logisticinnovation.org,,
翻译机器人,语言处理引擎,多语言翻译、即时互动,国际会议、旅游翻译,中国人工智能教育协作体,http://www.ai-education.cn,,
游戏机器人,虚拟现实接口,沉浸体验、交互学习,在线教育、趣味学习,中国教育信息化协会,http://www.edu-info.org.cn,,
社交机器人,社交智能平台,社交互动、自我学习,社交网络、心理辅导,中国心理学会,http://www.cps.org.cn,,
清道夫机器人,水下操作平台,水质检测、垃圾清理,海洋清洁、环境保护,中国海洋研究所,http://www.ioos.org.cn,,
影视特效机器人,动态捕捉系统,实时特效、场景创建,电影拍摄、游戏开发,中国电影科技专家委员会,http://www.cftc.org.cn,,
教育机器人,编程学习平台,课外辅导、游戏化学习,小学教育、STEAM活动,全国教育智能化研究中心,http://www.education-technology.org.cn,,
调度机器人,智能调度系统,实时路径规划、状态监测,交通管理、公共交通调度,中国交通运输协会,http://www.cai.gov.cn,,
无人水面艇,水面航行平台,远程操控、环境监测,水域监管、科研考察,中国海洋工程协会,http://www.coas.org.cn,,
清扫机器人,圆形底盘,自动路径规划、强力吸尘,家庭清洁、商场维护,中国家用电器研究院,http://www.cheari.com,,
医疗机器人,机械臂,高精度手术、远程诊疗,微创手术、远程会诊,国家卫生健康委员会,http://www.nhc.gov.cn,,
娱乐机器人,滚轮移动平台,语音互动、表情识别,家庭伴侣、儿童玩具,中国玩具协会,http://www.ctea.com.cn,,
农业机器人,轮式行走结构,精准播种、实时监测,智能农业、植保作业,中国农业科学院,http://www.caas.cn,,
探测机器人,多轮驱动底盘,环境探测、数据采集,海洋探测、环境监控,中国海洋研究院,http://www.obs.gov.cn,,
自拍机器人,多关节机械臂,自动定位、人脸识别,旅游摄影、社交媒体,新媒体研究院,http://www.media.gov.cn,,
巡逻机器人,轮式底盘,智能安全监控、实时通信,校园安全、公共场所,中国安防协会,http://www.cps.gov.cn,,
输电巡检机器人,地面移动平台,高空巡检、故障预警,电力线路巡检,国家电网公司,http://www.sgcc.com.cn,,
儿童陪伴机器人,可移动外壳,语言教育、情感交流,儿童教育、家庭陪伴,中国教育部,http://www.moe.gov.cn,,
交互机器人,可旋转的头部,面部识别、语音对话,展览会、客户服务,中国国际机器人博览会,http://www.ciipp.org,,
自主驾驶机器人,智能导航底盘,自动驾驶、障碍物避让,送餐服务、快递配送,中国自动化学会,http://www.caas.org.cn,,
建筑工地机器人,履带系统,重物搬运、环境适应,建筑施工、材料运输,中国建筑科学研究院,http://www.cari.com.cn,,
家居安防机器人,固定式监控平台,24小时监控、智能提醒,家庭安防、物业管理,中国安防技术中心,http://www.security.gov.cn,,
虚拟助手,云端平台,自然语言处理、任务管理,个人助理、企业管理,中国互联网信息中心,http://www.cnnic.net.cn,,
石油勘探机器人,深海探测器,耐高压、图像采集,深海石油勘探、科学研究,中国海洋石油总公司,http://www.cnooc.com.cn,,
垃圾分类机器人,输送带系统,物体识别、自动分拣,城市垃圾处理、环保,中国环境保护部,http://www.mee.gov.cn,,
物流无人机,固定翼结构,快速投递、低能耗,城市配送、偏远地区服务,中国航天科技集团,http://www.casad.com.cn,,
区块链管理机器人,数据处理接口,智能合约、数据验证,金融科技、供应链管理,中国金融科技协会,http://www.caf.org.cn,,
医疗机器人,手术辅助臂,精确定位、微创手术,外科手术、医疗培训,中国医疗器械行业协会,http://www.cpmia.org.cn,,
安防机器人,移动巡逻平台,实时监控、视频分析,公共安全、校园监控,中国安防产品行业协会,http://www.cpias.org.cn,,
农业机器人,智能播种机,精准施肥、自动播种,智能农业、精准农业,中国农业机械化协会,http://www.camra.org.cn,,
娱乐机器人,机器人宠物,情感交互、教育娱乐,家庭陪伴、儿童教育,中国玩具协会,http://www.ctma.org.cn,,
清洁机器人,自动清洁车,智能路径规划、实时反馈,商场、机场清洁,中国清洁行业协会,http://www.ccia.org.cn,,
运输机器人,小型搬运车,高效运输、充电智能,工厂、公共场所,物流技术协会,http://www.clta.org.cn,,
家务机器人,智能清扫机器人,自动充电、语音控制,家庭清洁,消费电子协会,http://www.cema.org.cn,,
药物配送机器人,移动药物管理平台,药物管理、无障碍取药,医院、药店,国家药监局,http://www.nmpa.gov.cn,,
灾害应急机器人,搜救机具,强适应性、系列传感器,地震救援、火灾现场,中国应急救援协会,http://www.cnera.org.cn,,
服务机器人,接待平台,多语言支持、信息查询,酒店、博物馆,中国服务机器人产业联合会,http://www.csra.org.cn,,
工业机器人,六轴机器人,高灵活性、控制简便,焊接、喷涂,中国机器人产业发展联盟,http://www.cqra.org.cn,,
机器人教育平台,学习和编程系统,项目导向学习、团队合作,科技夏令营、青少年教育,中国科协,http://www.cast.org.cn,,
物流机器人,自动导引车,实时监控、路径优化,大型仓储、工厂配送,中国现代物流与建筑工程研究中心,http://www.cmlc.org.cn,,
投资顾问机器人,智能推荐系统,数据分析、智能预测,金融投资、风险评估,中国金融科技协会,http://www.cifca.org.cn,,
文化推广机器人,信息传播平台,多媒体展示、数据访问,文化展览、活动推广,中国文化部,http://www.mct.gov.cn,,
航天机器人,探索机形,自主导航、耐极端环境,火星探测、月球探索,中国航天科技集团,http://www.casic.cn,,
情感陪伴机器人,社交互动设计,情绪识别、陪伴互动,老年人关怀、护理,中国社会福利协会,http://www.cswa.org.cn,,
医疗机器人,手术辅助臂,精准手术、高度灵活,微创手术、远程医疗,中国医疗机器人产业技术创新战略联盟,http://www.cmri.org.cn,,
服务机器人,清洁机器人,高效清洁、自动充电,家庭清洁、商业环境,中国家用电器协会,http://www.chea.org.cn,,
教育机器人,编程机器人,模块化设计、可拓展,编程能力培养、创客教育,中国青少年机器人竞赛,http://www.cyi.org.cn,,
无人驾驶车,电动平台,智能导航、全景影像,城市交通、货物配送,中国自动化学会,http://www.caa.org.cn,,
服务机器人,社交机器人,人机交互、情感表达,老年护理、心理治疗,国家老龄事业发展中心,http://www.nacci.org.cn,,
农业机器人,智能播种机,精确播种、实时监控,智能农业、精准种植,中国农业机械化协会,http://www.cama.org.cn,,
工地机器人,挖掘机器人,高效能、自动化作业,建筑工地、道路修建,中国建筑业协会,http://www.cah.org.cn,,
物流机器人,自动递送机器人,自主导航、无障碍移动,配送服务、餐饮外卖,快递与物流研究所,http://www.expressinstitute.org,,
救援机器人,水下机器人,深潜探测、实时传输,海洋科研、灾害恢复,中国海洋开发协会,http://www.chinasea.org,,
娱乐机器人,跳舞机器人,节奏感强、动态表现,娱乐表演、家庭娱乐,中国娱乐与文化产业联盟,http://www.cecia.org.cn,,
清洁机器人,窗户清洗机器人,智能感应、自主操作,高层建筑、公共设施清洁,中国建筑清洁行业协会,http://www.cabl.com.cn,,
工业机器人,多关节机械臂,灵活性高、可编程,汽车制造、装配线,中国机器人产业技术创新战略联盟,http://www.cnrobot.org,,
安全监控机器人,巡逻机器人,自动巡逻、实时监控,企业安防、公共场所,中国安防协会,http://www.cpsa.org.cn,,
服务机器人,陪伴机器人,陪伴对话、情感支持,儿童教育、养老服务,中国社会服务行业协会,http://www.cssa.org.cn,,
航拍无人机,多旋翼结构,航拍功能、稳定性强,视频拍摄、环境监测,中国无人机产业有限公司,http://www.cdui.org.cn,,
物流机器人,分拣机器人,高效分拣、视觉识别,自动化仓库、快递分拣,电商物流研究中心,http://www.e-commerceinstitute.org,,
仿生机器人,仿生动物机器人,行动灵活、自然模仿,科学研究、教育演示,中国人工智能与机器人学会,http://www.cair.org.cn,,
人形机器人,半人形设计,人机交互、动作灵活,教育机器人、展会展示,中国人工智能企业联合会,http://www.caie.org.cn,,
教育机器人,语音助手平台,语音互动、知识问答,在线教育、家庭作业辅导,中国教育技术协会,http://www.ceta.org.cn,,
无人驾驶汽车,全景视觉系统,自主导航、碰撞避免,共享出行、新能源汽车,中国智能交通协会,https://www.cita.org.cn,,
服务机器人,服务性移动平台,人脸识别、个性化服务,购物中心、医疗机构,中国人工智能产业创新联盟,https://www.ai-china.org,,
物流机器人,无人搬运车,自动识别、自主导航,机场物流、工厂配送,中国物流与采购联合会,http://www.clp.org.cn,,
农业机器人,多功能农用机器人,精准施肥、植保监测,农田管理、智能农业,中国农业机械化协会,http://www.cama.org.cn,,
医疗机器人,手术辅助设备,高精度、远程手术,微创手术、患者监护,中国机器人网络,https://www.robotics.cn,,
娱乐机器人,音视频交互平台,游戏互动、情感陪伴,家庭娱乐、儿童陪伴,中国青少年儿童科技创新中心,http://www.cycic.org.cn,,
家庭清洁机器人,智能吸尘器,自动清洁、智控规划,家庭清扫、环境整洁,中国电子技术标准化研究院,http://www.cesi.cn,,
救援机器人,多功能轮式底盘,精确定位、危险环境操作,消防救援、灾后重建,国家消防救援局,http://www.nfsr.gov.cn,,
工业机器人,六自由度机械臂,灵活性高、适应性强,汽车组装、柔性制造,中国机床工具工业协会,http://www.cmmt.org.cn,,
警用机器人,远程操控平台,实时监控、危险区域探索,安保巡逻、紧急事件响应,公安部科技司,http://www.mps.gov.cn,,
环保机器人,水质监测装置,数据采集、实时分析,水源保护、生态监测,国家环境保护部,http://www.mep.gov.cn,,
辅助护理机器人,可移动护理平台,老年人照顾、自主行为,护理院、居家养老,中国医疗器械行业协会,http://www.cmdi.org.cn,,
户外探险机器人,全地形爬行平台,抗压性强、远程导航,山地探索、野外救援,中国探险协会,http://www.cce.org.cn,,
餐饮服务机器人,智能配送平台,自动上菜、路径规划,餐厅、酒店服务,中国饭店协会,http://www.china-hotel.org,,
空间探索机器人,仿生轮式移动器,环境适应、数据采集,月球探测、火星探索,中国国家航天局,http://www.cnsa.gov.cn,,
教育机器人,互动编程教学机,游戏化学习、自主探究,小学教育、机器人竞赛,中国青少年科技创新网络,http://www.ystic.org.cn,,
保安机器人,远程监控车,自动巡逻、实时视频,社区安保、公共场所监控,中国公共安全协会,http://www.cpsa.org.cn,,
农业机器人,自动驾驶拖拉机,精准播种、自动导航,农田作业、作物监测,中国农业科学院,http://www.icaas.cn,,
服务机器人,语音识别交互系统,智能问答、情感识别,酒店服务、家庭助手,中国酒店业协会,https://www.chinahotel.org,,
送餐机器人,多轮移动平台,自主行驶、语音导航,餐饮配送、大学校园,中国智能餐饮科技协会,http://www.zgdiningtech.org,,
医疗机器人,手术辅助臂,高精度外科手术、远程控制,微创手术、医疗培训,中国医学科学院,http://www.cams.cn,,
娱乐机器人,人形交互设计,表情识别、互动交流,家庭娱乐、教育辅导,中国智能玩具协会,http://www.chinatoy.org,,
辅助机器人,智能轮椅,自动避障、路径规划,医院、老年人护理,中国助残办公室,http://www.disableoffice.cn,,
清洁机器人,激光导航系统,高效率清扫、智能充电,家庭清洁、商场,中国家电协会,https://www.cheaa.org,,
勘探机器人,移动探测平台,三维成像、数据分析,矿山勘探、地质调查,中国矿业大学,http://www.cumtb.edu.cn,,
安全机器人,无缝监控摄像头,实时安防、异常行为检测,公共安全、商场监控,中国安全技术防范协会,http://www.cast.org.cn,,
消防机器人,可遥控水炮,远程操控、精准灭火,高危火灾、化工厂,中国消防协会,http://www.fire.org.cn,,
教育机器人,互动学习平台,个性化学习、编程教学,学校、幼儿园,中国教育技术协会,http://www.ceta.cn,,
物流机器人,AGV小车,智能调度、平稳运行,制造业、仓储,中国物流与供应链协会,http://www.clsc.org.cn,,
