机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
仓储机器人,2.4,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,中国物流协会,http://www.clogistics.org.cn,,
爆破机器人,3.0,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,中国矿业协会,http://www.cme.gov.cn,,
环境监测机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,生态环境部,https://www.mee.gov.cn,,
混凝土浇筑机器人,1.4,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,中国建筑协会,http://www.china-aia.org,,
无人机配送机器人,4.5,m/s,1.5,m/s,6.0,m/s,3.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
夜间监控机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.3,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
教育机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,教育部,http://www.moe.gov.cn,,
植物照护机器人,1.7,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,中国农业科学院,http://www.caas.cn,,
建筑施工机器人,2.5,m/s,1.3,m/s,3.5,m/s,2.0,m/s,字符型,中国建设行业协会,http://www.chinabuild.org.cn,,
文物保护机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,国家文物局,http://www.ncha.gov.cn,,
运输机器人,1.9,m/s,0.8,m/s,2.7,m/s,1.4,m/s,字符型,国际运输协会,https://www.iata.org,,
医疗机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,全球医疗设备市场分析,https://www.medicaldevice.com,,
无人驾驶送餐车,2.5,m/s,0.9,m/s,3.5,m/s,1.7,m/s,字符型,中国餐饮行业协会,http://www.chinarestaurant.org,,
清洗机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,家居自动化研究所,https://www.homautomation.org,,
养老陪护机器人,0.4,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,老龄化社会发展研究中心,http://www.ageingresearch.org,,
外科手术机器人,0.7,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,国际外科机器人协会,https://www.isra.org,,
建筑施工机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,全球建筑机器人报告,https://www.constructionrobots.com,,
智能农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,国际农业自动化协会,https://www.agri-automation.com,,
安防巡逻机器人,2.2,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,国家安全科技协作中心,https://www.safety-tech.org,,
填埋场清洁机器人,0.9,m/s,0.4,m/s,1.0,m/s,0.5,m/s,字符型,环境保护部,https://www.mep.gov.cn,,
快递配送机器人,2.8,m/s,1.1,m/s,4.0,m/s,1.9,m/s,字符型,现代物流研究中心,http://www.modernlogistics.org,,
农业施肥机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国际农业科技协会,http://www.agrisci.org,,
赛事服务机器人,2.7,m/s,1.2,m/s,3.5,m/s,1.6,m/s,字符型,国际体育机器人联盟,https://www.sportrobotics.org,,
微型服务机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,智能生活协会,http://www.smartliving.org,,
高层建筑运输机器人,1.4,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,建筑科技创新中心,https://www.buildinginnovation.org,,
大型机器人物流系统,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,物流自动化协会,https://www.logisticsautomation.org,,
应急救援机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,应急管理技术协会,http://www.emergencytech.org,,
水下探测机器人,1.9,m/s,0.8,m/s,2.5,m/s,1.3,m/s,字符型,海洋研究协会,http://www.oceanresearch.org,,
自动化仓储机器人,2.4,m/s,1.1,m/s,3.2,m/s,1.6,m/s,字符型,国际自动化仓储委员会,https://www.automationstorage.org,,
安防机器人,1.5,m/s,0.5,m/s,2.1,m/s,0.8,m/s,字符型,公安部,https://www.mps.gov.cn,,
农业机器人,1.2,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,农业农村部,https://www.moa.gov.cn,,
送餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国餐饮协会,http://www.chinacatering.org,,
巡检机器人,1.6,m/s,0.4,m/s,2.2,m/s,0.9,m/s,字符型,工业和信息化部,https://www.miit.gov.cn,,
仓储机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,中国仓储协会,https://www.chinawhs.com,,
配送无人机,6.0,m/s,1.2,m/s,12.0,m/s,4.5,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
教学机器人,0.7,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,教育部,http://www.moe.gov.cn,,
水下机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.7,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
调度机器人,2.0,m/s,0.5,m/s,2.8,m/s,1.4,m/s,字符型,各地交通运输局,https://www.mot.gov.cn,,
建造机器人,1.4,m/s,0.6,m/s,2.1,m/s,1.2,m/s,字符型,中国建筑业协会,http://www.builder.org.cn,,
陪护机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,国家老龄办,http://www.cnaga.org,,
智能物流车,3.5,m/s,1.0,m/s,4.8,m/s,2.1,m/s,字符型,中国智能物流研究院,https://www.ciif.org.cn,,
海洋监测机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,海洋科学研究院,http://www.ocean.gov.cn,,
铁路检修机器人,2.8,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国铁路总公司,http://www.china-railway.com,,
环境监测机器人,1.7,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,生态环境部,http://www.mee.gov.cn,,
反恐机器人,3.0,m/s,1.2,m/s,5.0,m/s,2.0,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
人脸识别机器人,2.1,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,人工智能协会,http://www.aic.org,,
灾后救援机器人,2.7,m/s,1.1,m/s,4.0,m/s,2.2,m/s,字符型,国际救援组织,http://www.iro.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
消防无人机,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,国家消防救援局,http://www.cnfd.gov.cn,,
巡逻机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,公安部科技司,http://www.mps.gov.cn,,
送餐机器人,1.2,m/s,0.4,m/s,1.8,m/s,1.0,m/s,字符型,酒店与餐饮协会,http://www.haotaitian.com,,
仓储机器人,2.5,m/s,1.1,m/s,3.0,m/s,1.5,m/s,字符型,中国仓储协会,http://www.chinawarehousing.org,,
特种作业机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,特种机器人联合会,https://www.specialrobots.org,,
文物保护机器人,0.3,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,国家文物局,http://www.ncha.gov.cn,,
教育机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,国教育部,http://www.moe.gov.cn,,
水下机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.1,m/s,字符型,水利部,http://www.mwr.gov.cn,,
工业机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,中国制造协会,http://www.cmma.org.cn,,
配送机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,中国配送协会,http://www.delivery.org.cn,,
环境监测机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
海洋探测机器人,2.2,m/s,1.0,m/s,2.9,m/s,1.8,m/s,字符型,海洋局,http://www.soa.gov.cn,,
测试机器人,1.1,m/s,0.6,m/s,1.6,m/s,0.8,m/s,字符型,科学技术部,http://www.most.gov.cn,,
搜索救援机器人,1.4,m/s,0.5,m/s,1.9,m/s,1.0,m/s,字符型,国家地震局,http://www.cea.gov.cn,,
气象监测机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.5,m/s,字符型,中国气象局,http://www.cma.gov.cn,,
养殖机器人,1.7,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,农业农村部,http://www.moa.gov.cn,,
农业机器人,1.5,m/s,0.3,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.acae.gov.cn,,
快递机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,阿里巴巴物流,https://www.alibaba.com,,
教育机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
保安机器人,2.0,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,国家安全局,http://www.nsa.gov.cn,,
疫情防控机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,卫健委,https://www.nhc.gov.cn,,
消防巡逻机器人,1.6,m/s,0.5,m/s,2.1,m/s,1.0,m/s,字符型,灭火器行业协会,http://www.firefighting.org.cn,,
建筑机器人,1.4,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国建筑行业协会,http://www.cai.org.cn,,
银行服务机器人,2.2,m/s,0.3,m/s,3.0,m/s,1.5,m/s,字符型,中国人民银行,http://www.pbc.gov.cn,,
配送机器人,1.7,m/s,0.8,m/s,2.3,m/s,1.1,m/s,字符型,美团外卖,https://www.meituan.com,,
社交机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国社科院,http://www.cssn.cn,,
调度机器人,2.3,m/s,1.0,m/s,3.1,m/s,1.2,m/s,字符型,中国智能科技产业联盟,http://www.izf.org.cn,,
环境监测机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国环保部,http://www.mee.gov.cn,,
家庭陪伴机器人,1.1,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,中国家电协会,http://www.cada.org.cn,,
远程控制机器人,1.4,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,中国工程院,http://www.cae.cn,,
城市配送机器人,2.1,m/s,0.9,m/s,2.6,m/s,1.4,m/s,字符型,国家邮政局,http://www.spb.gov.cn,,
人脸识别机器人,1.3,m/s,0.6,m/s,1.8,m/s,0.8,m/s,字符型,中国科技部,http://www.most.gov.cn,,
物流运输机器人,2.4,m/s,1.1,m/s,2.8,m/s,1.3,m/s,字符型,中国物流与采购联合会,http://www.cla.org.cn,,
清洁维护机器人,1.6,m/s,0.7,m/s,2.0,m/s,0.9,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安全巡逻机器人,1.8,m/s,0.75,m/s,2.5,m/s,1.2,m/s,字符型,公安部,http://www.mps.gov.cn,,
家庭助理机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,智能家居协会,http://www.smart-home.org,,
快递无人机,6.5,m/s,2.0,m/s,8.0,m/s,4.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
防疫消毒机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
鱼群监测机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,海洋局,http://www.soagm.gov.cn,,
咖啡服务机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,中国咖啡协会,http://www.coffee.org.cn,,
搬运机器人,3.5,m/s,1.5,m/s,4.5,m/s,2.0,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,,
金融服务机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国银监会,http://www.cbirc.gov.cn,,
药物分发机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.9,m/s,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,,
工业焊接机器人,2.0,m/s,1.0,m/s,2.5,m/s,1.5,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
养老看护机器人,0.4,m/s,0.2,m/s,0.7,m/s,0.3,m/s,字符型,中国老龄事业发展基金会,http://www.caifa.org,,
竞技体育机器人,2.8,m/s,1.1,m/s,3.4,m/s,1.9,m/s,字符型,中国体育总局,http://www.sport.gov.cn,,
消防灭火机器人,1.6,m/s,1.0,m/s,2.1,m/s,0.8,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
货物配送机器人,3.0,m/s,1.2,m/s,5.0,m/s,2.5,m/s,字符型,中国电子商务协会,http://www.ecommerce.org.cn,,
勘探机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.5,m/s,字符型,自然资源部,http://www.mnr.gov.cn,,
水下观察机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.3,m/s,字符型,海洋科学研究所,http://www.nioo.ac.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,https://www.caas.cn,,
安防机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,国家公安部,https://www.mps.gov.cn,,
仓储机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国仓储协会,http://www.cnlogistics.org.cn,,
配送机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,国家邮政局,https://www.spb.gov.cn,,
救援机器人,1.6,m/s,0.8,m/s,2.1,m/s,1.0,m/s,字符型,中华人民共和国应急管理部,https://www.mem.gov.cn,,
儿童陪伴机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,儿童科技研究机构,https://www.childtech.org,,
教育机器人,1.2,m/s,0.4,m/s,1.7,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
建筑机器人,1.9,m/s,0.5,m/s,2.3,m/s,1.3,m/s,字符型,中国建筑业协会,http://www.cahb.org.cn,,
测绘机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,国家测绘局,http://www.ngcc.cn,,
护理机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国护理学会,https://www.cna.org.cn,,
防疫机器人,1.0,m/s,0.7,m/s,1.6,m/s,0.9,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
水下机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,海洋局,https://www.soa.gov.cn,,
语言翻译机器人,1.3,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,国际语言学会,https://www.ila.org,,
智能家居机器人,0.9,m/s,0.4,m/s,1.4,m/s,0.6,m/s,字符型,智能家居产业协会,http://www.smart-home.org,,
特种作业机器人,1.9,m/s,0.5,m/s,2.4,m/s,1.1,m/s,字符型,特种机器人研究中心,https://www.specialrobotics.org,,
家用清扫机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,家电产业研究院,http://www.applianceinstitute.org,,
智能物流无人机,2.8,m/s,1.2,m/s,3.5,m/s,1.5,m/s,字符型,中国无人机协会,http://www.uav.org.cn,,
外科手术机器人,0.6,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国医学科学院,http://www.cams.org.cn,,
农业无人机,3.5,m/s,1.2,m/s,5.0,m/s,1.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
迎宾机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,国家旅游局,http://www.cnta.gov.cn,,
快递配送机器人,2.5,m/s,0.9,m/s,4.0,m/s,1.5,m/s,字符型,中国快递协会,http://www.cae.org.cn,,
巡逻警用机器人,1.8,m/s,0.6,m/s,3.0,m/s,1.2,m/s,字符型,公安部,http://www.mps.gov.cn,,
仓储管理机器人,1.5,m/s,0.7,m/s,2.5,m/s,0.9,m/s,字符型,自动化工业协会,http://www.automationindustry.org.cn,,
虚拟现实游戏机器人,2.0,m/s,0.8,m/s,3.5,m/s,1.3,m/s,字符型,中国数字娱乐产业协会,http://www.cdeia.org,,
环境监测机器人,1.2,m/s,0.4,m/s,2.2,m/s,0.8,m/s,字符型,生态环境部,http://www.mee.gov.cn,,
救援机器人,1.7,m/s,0.9,m/s,3.1,m/s,1.0,m/s,字符型,红十字会,http://www.redcross.cn,,
辅助照护机器人,1.0,m/s,0.4,m/s,2.0,m/s,0.5,m/s,字符型,中国老龄协会,http://www.cla.org.cn,,
智能家居控制机器人,1.9,m/s,0.7,m/s,3.0,m/s,1.1,m/s,字符型,中国智能家居产业技术创新战略联盟,http://www.china-smarthome.org,,
传输医疗用品机器人,1.4,m/s,0.6,m/s,2.4,m/s,0.9,m/s,字符型,国家药品监督管理局,http://www.nmpa.gov.cn,,
餐饮服务机器人,1.6,m/s,0.5,m/s,2.8,m/s,1.0,m/s,字符型,中国餐饮协会,http://www.cra.org.cn,,
无人机巡查机器人,3.0,m/s,1.0,m/s,5.5,m/s,2.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
流动测量机器人,1.1,m/s,0.5,m/s,1.9,m/s,0.4,m/s,字符型,中国测量学会,http://www.china-meters.org.cn,,
清洁服务机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,国家清洁服务联盟,http://www.cleaning.org.cn,,
物流机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.6,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,,
农业机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
医疗机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
消防机器人,1.5,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,北京市消防局,http://www.bjfire.gov.cn,,
娱乐机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,中国游戏产业协会,http://www.cgigames.org,,
清洁机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国家电协会,http://www.chea.org.cn,,
无人驾驶汽车,5.0,m/s,2.0,m/s,7.5,m/s,3.5,m/s,字符型,国家交通运输部,https://www.mot.gov.cn,,
服务机器人,2.5,m/s,0.6,m/s,3.0,m/s,1.8,m/s,字符型,中国服务机器人产业发展联盟,http://www.csaria.org,,
组装机器人,2.0,m/s,0.9,m/s,2.8,m/s,1.4,m/s,字符型,国际机器人联合会,https://www.ifr.org,,
轮椅机器人,1.2,m/s,0.4,m/s,1.5,m/s,0.8,m/s,字符型,残疾人联合会,http://www.disabled.org.cn,,
家庭助手机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国家用电器研究院,http://www.chear.org.cn,,
搜救机器人,1.4,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,,
教育机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
扫地机器人,0.9,m/s,0.4,m/s,1.4,m/s,0.6,m/s,字符型,家电行业协会,http://www.ha.org.cn,,
恶劣环境机器人,1.6,m/s,0.8,m/s,2.4,m/s,1.2,m/s,字符型,中国科学技术协会,http://www.cast.org.cn,,
巡逻机器人,3.0,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,地方公安局,http://www.police.gov.cn,,
送餐机器人,1.1,m/s,0.5,m/s,1.7,m/s,0.8,m/s,字符型,餐饮行业协会,http://www.catering.org.cn,,
家庭保姆机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,家庭自动化联盟,http://www.homautomation.org,,
防疫机器人,2.0,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,中国农业科学院,http://www.caas.cn,,
家庭服务机器人,0.6,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国消费者协会,https://www.cca.org.cn,,
消防无人机,3.0,m/s,1.0,m/s,5.0,m/s,1.5,m/s,字符型,中国消防协会,http://www.cfa.gov.cn,,
仓储机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国物流与采购联合会,http://www.clc.org.cn,,
巡逻机器人,1.4,m/s,0.6,m/s,2.1,m/s,1.2,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
展览机器人,0.9,m/s,0.5,m/s,1.0,m/s,0.3,m/s,字符型,中国展览业协会,http://www.ceia.org.cn,,
医学影像机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国医学科学院,http://www.cams.cn,,
快餐配送机器人,1.6,m/s,0.3,m/s,2.1,m/s,1.0,m/s,字符型,中国食品安全协会,http://www.chinafoodsafe.org.cn,,
金融服务机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,中国银行业协会,http://www.cab.org.cn,,
酒店接待机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,中国旅游局,http://www.cnta.gov.cn,,
博物馆导览机器人,0.7,m/s,0.1,m/s,1.0,m/s,0.5,m/s,字符型,中国博物馆协会,http://www.chinamuseum.org.cn,,
安全巡检机器人,1.1,m/s,0.2,m/s,1.5,m/s,0.8,m/s,字符型,中国公共安全协会,http://www.psa.gov.cn,,
智能送药机器人,1.4,m/s,0.6,m/s,2.2,m/s,0.9,m/s,字符型,中国药监局,http://www.nmpa.gov.cn,,
室外清洗机器人,2.0,m/s,0.4,m/s,2.5,m/s,1.0,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
送餐机器人,1.8,m/s,0.5,m/s,2.7,m/s,1.4,m/s,字符型,中国餐饮协会,http://www.ca.org.cn,,
虚拟助手机器人,0.9,m/s,0.3,m/s,1.3,m/s,0.6,m/s,字符型,中国人工智能产业发展联盟,http://www.caai.org.cn,,
表演机器人,0.5,m/s,0.2,m/s,0.9,m/s,0.4,m/s,字符型,中国文化部,http://www.mcprc.gov.cn,,
教育机器人,1.1,m/s,0.3,m/s,1.6,m/s,0.7,m/s,字符型,国家教育部,http://www.moe.gov.cn,,
教育机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国教育部,https://www.moe.gov.cn,,
农业机器人,3.5,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国农业科学院,http://www.icaas.org.cn,,
探索机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.0,m/s,字符型,中国科技部,https://www.most.gov.cn,,
巡逻机器人,2.0,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
测绘机器人,1.8,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,中国测绘科学研究院,http://www.cgs.gov.cn,,
送餐机器人,1.5,m/s,0.7,m/s,2.0,m/s,0.8,m/s,字符型,中国餐饮服务协会,http://www.catering.org.cn,,
护士机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.4,m/s,字符型,人民健康网,https://www.99.com.cn,,
安保机器人,2.8,m/s,1.0,m/s,3.5,m/s,1.2,m/s,字符型,中国安保协会,http://www.security.org.cn,,
调酒机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国餐饮专业委员会,http://www.cater.com.cn,,
维修机器人,2.4,m/s,1.1,m/s,3.0,m/s,1.2,m/s,字符型,中国机械工程协会,http://www.cme.org.cn,,
家庭助手机器人,1.7,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国机器人产业协会,https://www.crai.org.cn,,
救护机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.1,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
陪伴机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,中国心理健康协会,http://www.mentalhealth.org.cn,,
智能购物车,1.4,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,中国零售协会,http://www.retail.org.cn,,
清扫机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,中国家居协会,http://www.home.org.cn,,
智能仓库机器人,2.5,m/s,1.0,m/s,3.1,m/s,1.3,m/s,字符型,中国电子商务委员会,http://www.ecommerce.gov.cn,,
测量机器人,1.6,m/s,0.7,m/s,2.4,m/s,0.8,m/s,字符型,国家测量局,http://www.ump.gov.cn,,
美妆机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国美容行业协会,http://www.cosmetic.org.cn,,
农业机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安保机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,公安部,http://www.mps.gov.cn,,
配送机器人,3.0,m/s,0.9,m/s,4.0,m/s,1.5,m/s,字符型,快递协会,http://www.express.org.cn,,
教育机器人,1.2,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
巡逻机器人,1.5,m/s,0.7,m/s,2.2,m/s,0.9,m/s,字符型,国家安全部,http://www.mss.gov.cn,,
医疗运输机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,中国医院协会,http://www.hospitalassociation.cn,,
智能家居机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,家电协会,http://www.applianceassociation.cn,,
军事机器人,3.5,m/s,1.0,m/s,5.0,m/s,2.5,m/s,字符型,中国人民解放军,http://www.pla.gov.cn,,
探险机器人,2.0,m/s,0.8,m/s,2.8,m/s,1.2,m/s,字符型,中国探险协会,http://www.exploration.cn,,
家庭助理机器人,0.9,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,智能家居行业协会,http://www.smart-home.org.cn,,
陪伴机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国陪伴机器人产业委员会,http://www.companionrobotics.cn,,
核电站巡检机器人,1.4,m/s,0.4,m/s,1.9,m/s,0.8,m/s,字符型,国家核电安全监管局,http://www.nnpc.gov.cn,,
灰尘监测机器人,1.2,m/s,0.6,m/s,1.5,m/s,0.7,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
娱乐助理机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国游戏产业研究院,http://www.cgie.org.cn,,
海洋探索机器人,1.7,m/s,0.9,m/s,2.4,m/s,1.0,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
智能测试机器人,2.3,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,科技部,http://www.most.gov.cn,,
农业机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,中国农业科学院,https://www.caas.cn,,
安防机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,国家公共安全部,https://www.mps.gov.cn,,
配送机器人,1.2,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,中国快递协会,https://www.cainiao.com,,
送餐机器人,1.6,m/s,0.8,m/s,2.8,m/s,1.4,m/s,字符型,美团点评,https://www.meituan.com,,
攀岩机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,国家体育总局,https://www.sport.gov.cn,,
智能搬运机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.5,m/s,字符型,中国汽车工业协会,http://www.caam.org.cn,,
陪伴机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国老龄事业协会,https://www.claging.org.cn,,
