机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
外科手术机器人,手术室,0.5,米,0.6,米,0.05,米,3,国家卫生健康委员会,http://www.nhc.gov.cn,,
巡逻机器人,公园步道,6.0,米,7.0,米,0.5,米,6,城市管理局,http://www.urbanmanagement.gov.cn,,
旅游导览机器人,历史遗址,3.3,米,4.5,米,0.3,米,9,中国旅游协会,http://www.chinatourism.org,,
物流搬运机器人,工业园区,9.0,米,10.5,米,0.6,米,15,中国智能物流研究院,http://www.scar.org.cn,,
消防机器人,火灾现场,7.0,米,8.5,米,0.75,米,12,国家消防局,http://www.nfpa.gov.cn,,
老年人陪护机器人,养老院,1.5,米,1.8,米,0.1,米,4,老龄工作委员会,http://www.npc.gov.cn,,
社交娱乐机器人,家庭环境,2.0,米,2.5,米,0.2,米,7,国内机器人智能协会,http://www.daria.org,,
餐饮服务机器人,餐厅,3.2,米,4.0,米,0.3,米,8,餐饮科技研究所,http://www.cateringtech.cn,,
展览策展机器人,艺术展览,5.0,米,6.0,米,0.5,米,10,国际艺术展览协会,http://www.artfederation.org,,
外语学习机器人,外语培训机构,1.0,米,1.5,米,0.05,米,4,国家语言委员会,http://www.language.gov.cn,,
物流机器人,研发实验室,3.0,米,4.2,米,0.5,米,9,技术创新研究院,https://www.tiri.org.cn,,
家庭机器人,厨房,1.5,米,2.0,米,0.1,米,3,家居科技发展中心,https://www.homedec.tech,,
安防机器人,社区监控区域,3.7,米,4.5,米,0.4,米,5,国家安全科技研究所,http://www.nsti.gov.cn,,
清洁机器人,办公大楼,2.0,米,2.5,米,0.2,米,8,环境监测和保护局,http://www.epb.gov.cn,,
娱乐机器人,游乐园,4.3,米,5.0,米,0.2,米,10,文化和旅游部,http://www.mct.gov.cn,,
巡逻机器人,电玩游戏室,3.1,米,4.0,米,0.3,米,12,数字娱乐研究所,http://www.digitalentertainment.org.cn,,
陪伴机器人,养老院,2.2,米,3.0,米,0.25,米,6,老龄化服务发展中心,http://www.agecare.org.cn,,
维护机器人,大型商场,5.2,米,6.0,米,0.4,米,10,商业智能技术中心,http://www.bis.org.cn,,
教育机器人,在线教育平台,2.0,米,3.2,米,0.2,米,7,在线教育科技有限公司,http://www.onlinelearning.org.cn,,
无人驾驶机器人,运输通道,10.0,米,12.5,米,1.5,米,20,智能驾驶科技实验室,http://www.idri.org.cn,,
旅游机器人,博物馆,2.5,米,3.2,米,0.1,米,5,旅游行业协会,http://www.tourism.org.cn,,
交互机器人,大型展会,6.0,米,7.0,米,0.5,米,11,商业展览组织机构,http://www.exhibition.org.cn,,
研究机器人,实验室,4.5,米,5.0,米,0.3,米,8,科学研究院,http://www.scienceresearch.org.cn,,
饮食机器人,餐厅,2.3,米,3.1,米,0.2,米,7,食品与饮料研究所,http://www.fbi.org.cn,,
保健机器人,健身房,3.0,米,4.0,米,0.4,米,10,健康科技发展中心,http://www.healthtech.org.cn,,
配送机器人,校园商店,3.5,米,4.5,米,0.3,米,9,校园科技协会,http://www.campustech.org.cn,,
维修机器人,电子产品店,3.8,米,5.0,米,0.6,米,12,电子产品制造协会,http://www.electronics.org.cn,,
智能巡逻机器人,城市公园,3.2,米,4.0,米,0.4,米,5,城市安全技术研究中心,http://www.ustc.gov.cn,,
家庭服务机器人,家居环境,1.5,米,2.2,米,0.1,米,3,家庭机器人研究小组,http://www.hometech.org.cn,,
安防机器人,商场入口,2.5,米,3.4,米,0.5,米,8,国家安防科技中心,http://www.nssc.gov.cn,,
农业采摘机器人,果园,10.0,米,11.5,米,0.7,米,9,现代农业科技协会,http://www.mcta.org.cn,,
物流配送机器人,城市街区,4.0,米,5.5,米,0.3,米,10,智能物流研究所,http://www.ilri.org.cn,,
清洁机器人,办公大楼,2.0,米,2.7,米,0.2,米,6,办公环境自动化协会,http://www.oeaa.org.cn,,
无人机监测机器人,环境监测区域,15.0,米,17.0,米,1.0,米,25,国家环境保护科技中心,http://www.epa.gov.cn,,
导览机器人,博物馆,2.3,米,3.0,米,0.2,米,4,智能旅游科技研究中心,http://www.itrc.org.cn,,
工业焊接机器人,制造车间,5.0,米,6.0,米,0.4,米,12,中国机械工程学会,http://www.cmes.org.cn,,
路面清扫机器人,城市道路,3.8,米,4.5,米,0.5,米,7,城市清洁管理中心,http://www.urbanclean.org.cn,,
医疗输送机器人,医院走廊,1.0,米,1.5,米,0.1,米,3,医院自动化协会,http://www.ha.org.cn,,
仓储机器人,大型仓库,7.5,米,9.0,米,0.6,米,15,供应链管理研究所,http://www.scmr.org.cn,,
协作机器人,车间工作站,2.4,米,3.1,米,0.3,米,9,工业自动化科技联盟,http://www.iata.org.cn,,
智能监视机器人,机场安检区,8.0,米,9.0,米,0.5,米,13,机场安全管理局,http://www.asa.gov.cn,,
无人机配送机器人,住宅区,7.0,米,8.5,米,0.6,米,14,智能物流研究中心,http://www.ilrc.org.cn,,
服务陪伴机器人,老年护理中心,1.8,米,2.5,米,0.2,米,3,养老服务技术研究中心,http://www.sectr.org.cn,,
检修机器人,电力设施,6.0,米,7.4,米,0.8,米,10,电网维护与智能化中心,http://www.smartgrid.org.cn,,
教育辅助机器人,职业培训中心,3.0,米,4.2,米,0.3,米,5,职业教育研究中心,http://www.vet.edu.cn,,
医疗机器人,老年护理中心,1.5,米,1.9,米,0.25,米,5,国际老年医学学会,https://www.igem.org,,
农业机器人,智能农业大棚,10.0,米,12.2,米,1.1,米,18,中国农业科学院,https://www.caas.cn,,
教育机器人,在线学习平台,3.0,米,4.0,米,0.4,米,8,全球教育科技论坛,https://www.globaledtechforum.org,,
服务机器人,购物中心,2.0,米,3.2,米,0.5,米,9,中国商业协会,https://www.cbc.org.cn,,
工业机器人,制造工厂,1.8,米,2.6,米,0.15,米,10,中国工业自动化研究院,https://www.ciar.org.cn,,
救援机器人,火灾现场,8.5,米,9.5,米,1.2,米,25,国家应急管理部门,https://www.nem.gov.cn,,
移动机器人,社区公园,7.0,米,8.5,米,0.7,米,14,城市智能交通研究中心,https://www.citytraffic.org.cn,,
农业机器人,果园,9.2,米,11.3,米,0.9,米,22,中国农业机械协会,https://www.cama.org.cn,,
教育机器人,实验室,2.2,米,3.0,米,0.3,米,6,教育科研部,https://www.edu-research.gov.cn,,
服务机器人,餐厅,4.5,米,5.3,米,0.4,米,10,国内服务业协会,https://www.serviceindustry.org.cn,,
医疗机器人,医院急救室,1.3,米,1.9,米,0.1,米,4,未来医疗技术实验室,https://www.futuremedlab.org,,
移动机器人,公交车站,5.0,米,6.8,米,0.5,米,12,城市公交管理中心,https://www.urbanbus.gov.cn,,
救援机器人,山地救援,7.2,米,8.0,米,0.6,米,30,中国救援队,https://www.chinarescue.org.cn,,
工业机器人,包装线,2.2,米,3.1,米,0.2,米,8,中国包装技术协会,https://www.cpta.org.cn,,
农业机器人,水稻田,11.5,米,13.0,米,0.7,米,20,农业发展与改革部,https://www.adrc.gov.cn,,
教育机器人,科技馆,4.5,米,5.0,米,0.5,米,5,国家教育部,https://www.moe.gov.cn,,
服务机器人,机场候机厅,6.0,米,7.5,米,0.3,米,9,中国民航局,https://www.caac.gov.cn,,
移动机器人,科研实验室,4.8,米,5.6,米,0.4,米,10,中国科学技术部,https://www.most.gov.cn,,
救援机器人,地震灾区,8.0,米,9.5,米,0.7,米,22,国际红十字与红新月运动,https://www.icrc.org,,
物流机器人,配送中心,3.0,米,4.2,米,0.5,米,10,中国物流与采购联合会,http://www.clp.org.cn,,
家居机器人,私人住宅,2.0,米,2.5,米,0.1,米,3,智能家居技术协会,https://www.smarthome.org.cn,,
医疗机器人,老年护理院,1.5,米,2.0,米,0.2,米,5,国家老龄委,http://www.cnag.org.cn,,
教育机器人,大学实验室,2.5,米,3.0,米,0.15,米,8,中国教育部,http://www.moe.gov.cn,,
工业机器人,制造工厂,2.7,米,3.1,米,0.25,米,6,中国制造业协会,https://www.cma.org.cn,,
农业机器人,农业田地,10.0,米,12.0,米,1.0,米,12,中国农业科学院,http://www.caas.cn,,
服务机器人,商场内,3.5,米,4.8,米,0.4,米,9,中国服务业协会,https://www.csia.org.cn,,
移动机器人,城市公园,7.0,米,9.0,米,0.5,米,10,城市规划协会,http://www.upa.org.cn,,
巡逻机器人,机场,4.5,米,5.2,米,0.3,米,8,国际航空运输协会,https://www.iata.org,,
社交机器人,科技展览会,1.8,米,2.5,米,0.2,米,4,中国人工智能大会,https://www.caiconference.cn,,
水下机器人,海洋探测,6.0,米,8.0,米,0.4,米,14,中国海洋学会,http://www.cma.org.cn,,
仓储机器人,大型仓库,4.2,米,5.0,米,0.6,米,8,中国仓储与物流协会,http://www.cwla.org.cn,,
环境监测机器人,工业区,5.0,米,6.5,米,0.5,米,7,中国环境保护部,https://www.mee.gov.cn,,
无人驾驶汽车,城市主干道,9.5,米,10.5,米,0.8,米,15,中国智能驾驶委员会,https://www.cidc.org.cn,,
农业无人机,农田喷洒,15.0,米,17.0,米,1.5,米,25,中国无人机行业协会,https://www.caz.org.cn,,
医疗机器人,急诊室,1.5,米,2.0,米,0.1,米,5,国家健康委员会,http://www.nhc.gov.cn,,
工业机器人,汽车制造厂,3.0,米,3.5,米,0.5,米,9,中国工业和信息化部,http://www.miit.gov.cn,,
物流机器人,配送中心,7.5,米,8.5,米,0.6,米,12,中国物流与采购联合会,http://www.chinawuliu.com,,
服务机器人,购物中心,4.5,米,5.0,米,0.3,米,8,中国零售业协会,http://www.nra.org.cn,,
服务机器人,机场候机区,6.0,米,7.2,米,0.4,米,10,民航局,http://www.caac.gov.cn,,
农业机器人,智能温室,11.5,米,13.0,米,0.9,米,18,农业农村部,http://www.moa.gov.cn,,
教育机器人,大学实验室,2.0,米,2.5,米,0.15,米,6,教育部,http://www.moe.gov.cn,,
移动机器人,城市公园,5.0,米,6.0,米,0.7,米,15,中国城市规划协会,http://www.ccpa.gov.cn,,
救援机器人,山地救援,8.0,米,9.5,米,1.0,米,22,中国救援协会,http://www.ccra.org.cn,,
清洁机器人,商业大厦,3.2,米,4.0,米,0.25,米,8,中国环境保护部,http://www.mee.gov.cn,,
远程监控机器人,工业区,10.0,米,12.0,米,0.5,米,14,中国安全生产协会,http://www.csp.org.cn,,
旅游导览机器人,文化遗址,4.2,米,5.0,米,0.2,米,10,文化和旅游部,http://www.mct.gov.cn,,
医疗机器人,老年护理院,1.6,米,2.1,米,0.2,米,4,中国老龄协会,http://www.cla.gov.cn,,
农业机器人,农田,9.0,米,10.0,米,0.7,米,20,中国农业科学院,http://www.caas.cn,,
移动机器人,物流配送,6.8,米,7.5,米,0.4,米,10,中国电子商务协会,http://www.cbeia.org.cn,,
救援机器人,洪灾灾区,8.5,米,9.0,米,0.8,米,19,中央应急管理部,http://www.mem.gov.cn,,
教育机器人,职业培训中心,2.1,米,2.8,米,0.2,米,5,全国职业教育中心,http://www.nvpc.org.cn,,
物流机器人,超市,3.5,米,4.0,米,0.1,米,7,中国零售协会,http://www.chinaretail.org.cn,,
安保机器人,商业区入口,3.0,米,4.2,米,0.3,米,5,安全科技研究院,https://www.safetytech.org,,
配送机器人,居民小区,2.2,米,3.0,米,0.1,米,6,智能物流协会,https://www.smartlogistics.org,,
建筑机器人,施工现场,8.0,米,9.5,米,1.0,米,12,建筑工程研究院,https://www.construct.tech,,
旅游导览机器人,博物馆,1.5,米,2.0,米,0.2,米,3,文化科技平台,https://www.culturtech.org,,
情感陪伴机器人,老年公寓,1.0,米,1.4,米,0.1,米,2,社区健康中心,https://www.communityhealth.org,,
清洁机器人,办公楼,4.0,米,5.1,米,0.4,米,8,清洁科技协会,https://www.cleaningtech.org,,
自动驾驶机器人,城市街道,7.5,米,9.0,米,0.7,米,15,自动驾驶研究所,https://www.autonomousdrive.org,,
送药机器人,医院走廊,1.2,米,1.6,米,0.2,米,3,医院机器人技术中心,https://www.hospitalrobotics.org,,
餐饮服务机器人,餐厅内,2.5,米,3.5,米,0.3,米,5,餐饮科技协会,https://www.foodtech.org,,
维护机器人,工厂车间,6.0,米,7.2,米,0.5,米,10,工业机器人研究所,https://www.irobotics.org,,
监控机器人,大型公共设施,3.5,米,4.8,米,0.4,米,9,城市安全监控中心,https://www.urbansafety.org,,
健身指导机器人,健身房,2.0,米,2.7,米,0.1,米,4,体育科技协会,https://www.sportstech.org,,
代步机器人,机场,1.8,米,2.4,米,0.2,米,3,航空科技研究中心,https://www.aerotech.org,,
灵活工作机器人,维修车间,4.5,米,5.6,米,0.3,米,6,灵活制造技术协会,https://www.flexiblemanufacturing.org,,
科研机器人,实验室,1.0,米,1.5,米,0.05,米,4,科研技术联盟,https://www.researchtech.org,,
音乐演奏机器人,音乐会现场,3.2,米,4.0,米,0.3,米,6,艺术与科技协会,https://www.artandtech.org,,
清污机器人,海洋,10.0,米,12.0,米,1.5,米,24,环保科技研究中心,https://www.envitech.org,,
消防机器人,高层建筑火灾,3.0,米,4.2,米,0.4,米,10,中国消防协会,http://www.cfa.org.cn,,
家庭服务机器人,家庭庭院,2.5,米,3.5,米,0.2,米,5,家居智能设备中心,http://www.smartliving.org.cn,,
物流配送机器人,城市街道,4.0,米,5.5,米,0.5,米,8,城市物流研究中心,http://www.urbanlogistics.org,,
导览机器人,博物馆,1.8,米,2.2,米,0.1,米,3,文化科技研究所,http://www.culturaltech.org.cn,,
餐饮机器人,餐厅厨房,3.2,米,4.0,米,0.3,米,12,饮食与科技协会,http://www.foodtech.org.cn,,
巡逻机器人,商场,6.0,米,7.8,米,0.4,米,9,安全科技研究院,http://www.safetytech.org.cn,,
清洁机器人,公共卫生间,1.5,米,2.0,米,0.2,米,8,市政清洁协会,http://www.municipalclean.org.cn,,
探索机器人,偏远山区,15.0,米,18.0,米,1.2,米,25,国家地理探险委员会,http://www.nationalgeographic.org.cn,,
救护机器人,医院急症室,1.5,米,2.2,米,0.1,米,4,中国卫健委,http://www.nhc.gov.cn,,
助老机器人,养老院,2.0,米,3.0,米,0.3,米,6,老龄化服务中心,http://www.aging-services.org.cn,,
农业管理机器人,农田,10.0,米,12.0,米,0.7,米,14,国家农业科技中心,http://www.nact.gov.cn,,
娱乐互动机器人,展会活动,4.2,米,5.0,米,0.3,米,7,展览行业协会,http://www.exhibitionindustry.org.cn,,
数据收集机器人,市场调查,2.5,米,3.5,米,0.2,米,5,市场研究协会,http://www.marketresearch.org.cn,,
疫情防控机器人,公共场所,3.5,米,4.5,米,0.4,米,11,疾病预防控制中心,http://www.chinadiseasecontrol.org.cn,,
延伸服务机器人,机场,8.0,米,10.0,米,0.5,米,9,民航局,http://www.caac.gov.cn,,
教育辅导机器人,在线教育平台,1.0,米,1.5,米,0.1,米,3,教育科技公司,http://www.edutech.com.cn,,
健身辅导机器人,健身房,3.0,米,4.0,米,0.2,米,6,体育科技发展中心,http://www.sports-tech.gov.cn,,
旅游导览机器人,旅游景点,2.0,米,3.0,米,0.2,米,5,国家旅游局,http://www.nta.gov.cn,,
医疗机器人,老年护理中心,1.0,米,1.5,米,0.1,米,5,北京医科大学,http://www.bnu.edu.cn,,
农业机器人,果园,15.5,米,16.9,米,1.1,米,12,中国农业大学,http://www.cau.edu.cn,,
教育机器人,大学实验室,2.0,米,3.2,米,0.25,米,8,上海交通大学,http://www.sjtu.edu.cn,,
服务机器人,咖啡厅,3.5,米,4.8,米,0.15,米,6,中国服务机器人协会,http://www.csra.org.cn,,
工业机器人,制造工厂,2.2,米,2.9,米,0.4,米,10,国家工业机器人检测中心,http://www.nirc.edu.cn,,
救援机器人,洪水灾害现场,8.5,米,9.0,米,0.7,米,18,中国地震局,http://www.cem.gov.cn,,
移动机器人,高校校园,5.0,米,6.2,米,0.5,米,9,高等教育研究中心,http://www.hedc.org.cn,,
林业机器人,森林管理区域,10.0,米,12.0,米,1.0,米,14,中国林业科学研究院,http://www.caf.ac.cn,,
轨道交通机器人,地铁站,4.2,米,5.0,米,0.4,米,8,城市轨道交通研究中心,http://www.urbanrail.org.cn,,
无人机,农业田野,20.0,米,22.5,米,1.5,米,5,中国无人机应用技术协会,http://www.uavtech.cn,,
清扫机器人,购物中心,3.8,米,4.5,米,0.45,米,7,城市清洁协会,http://www.urbanclean.org.cn,,
仓储机器人,智能物流中心,2.9,米,3.6,米,0.3,米,9,智能物流研究院,http://www.smartlogistics.org.cn,,
配送机器人,居民小区,1.5,米,2.0,米,0.2,米,4,快递与物流研究中心,http://www.deliverylogistics.org.cn,,
安防机器人,商业街区,7.0,米,8.5,米,0.5,米,10,国家安全研究院,http://www.nsa.edu.cn,,
清扫机器人,机场,4.0,米,5.0,米,0.3,米,8,中国机场管理局,http://www.caa.gov.cn,,
巡逻机器人,公园,6.0,米,7.0,米,0.7,米,9,城市公园管理局,http://www.urbanpark.org.cn,,
物流无人车,城市街道,11.0,米,13.0,米,0.9,米,14,智能交通系统研究所,http://www.itrs.org.cn,,
消防机器人,工业区火灾现场,9.5,米,10.5,米,0.6,米,16,国家消防服务学院,http://www.nfs.edu.cn,,
医疗机器人,医院走廊,1.0,米,1.5,米,0.1,米,3,医院机器人技术联合会,https://www.hospitalrobotics.org,,
农业机器人,开放农田,11.0,米,13.7,米,0.7,米,12,智能农业科技研究院,http://www.smartagri.org,,
教育机器人,图书馆,2.0,米,3.0,米,0.3,米,5,未来教育科技中心,https://www.futureedtech.org,,
服务机器人,购物商场,4.5,米,6.0,米,0.4,米,8,消费市场研究所,http://www.consumerresearch.org,,
工业机器人,生产线,3.0,米,3.5,米,0.2,米,6,中国工业自动化协会,http://www.chinaautomation.org,,
救援机器人,火灾现场,8.0,米,9.5,米,1.0,米,22,消防科技研究院,https://www.firetech.org,,
移动机器人,市政广场,6.2,米,8.5,米,0.5,米,10,城市智慧科技中心,http://www.smartcitytech.org,,
移动机器人,博物馆,5.0,米,6.8,米,0.3,米,9,文化科技研究中心,http://www.culturalscience.org,,
医疗机器人,急救中心,1.5,米,2.0,米,0.12,米,5,全国卫生服务研究所,https://www.healthservices.org,,
移动机器人,大学校园,6.8,米,7.5,米,0.7,米,11,高等教育研究中心,https://www.higheredresearch.org,,
服务机器人,餐厅厨房,3.8,米,5.0,米,0.5,米,6,烹饪技术研究所,http://www.culinarytech.org,,
农业机器人,果园,10.0,米,12.0,米,0.6,米,14,生态农业中心,http://www.ecoagriculture.org,,
工业机器人,自动化仓库,2.2,米,3.0,米,0.4,米,8,现代工业研究院,http://www.modernindustry.org,,
救援机器人,滑雪场,8.5,米,10.5,米,1.2,米,24,高山救援技术中心,http://www.mountainrescue.org,,
教育机器人,学习中心,2.5,米,3.5,米,0.25,米,7,儿童教育科技中心,http://www.childedtech.org,,
移动机器人,室内游乐园,4.0,米,5.0,米,0.4,米,7,儿童娱乐科技协会,http://www.childentertainment.org,,
服务机器人,机场登机口,5.7,米,7.1,米,0.3,米,9,国际机场管理机构,http://www.internationalairports.org,,
医疗机器人,老年护理中心,1.4,米,2.0,米,0.15,米,4,老年人健康科技中心,https://www.seniorhealthtech.org,,
安防机器人,大型商场,3.0,米,4.2,米,0.4,米,9,国家公共安全研究中心,http://www.npsrc.gov.cn,,
物流机器人,配送中心,5.2,米,6.8,米,0.5,米,10,电子商务研究中心,http://www.ecommerce.org.cn,,
娱乐机器人,游乐场,2.5,米,3.0,米,0.3,米,5,机器人与人工智能应用协会,http://www.raia.org.cn,,
建筑机器人,建筑工地,8.0,米,9.5,米,0.7,米,12,中国建筑科学研究院,http://www.csbri.org.cn,,
探索机器人,火星探测区域,15.5,米,17.0,米,1.5,米,20,中国空间科学技术研究院,http://www.casts.org.cn,,
智能家居机器人,家庭环境,1.0,米,1.5,米,0.1,米,3,智能家居技术协会,http://www.smart-homes.org.cn,,
水下机器人,海洋探测,10.0,米,12.0,米,0.6,米,17,海洋和渔业部,http://www.ocean.gov.cn,,
零售机器人,便利店,1.5,米,2.0,米,0.25,米,4,中国零售协会,http://www.chinaretail.org.cn,,
导览机器人,博物馆,3.5,米,4.8,米,0.35,米,6,文化遗产保护中心,http://www.heritage.gov.cn,,
消防机器人,火灾现场,7.0,米,8.5,米,0.9,米,15,国家消防局,http://www.fire.gov.cn,,
清洁机器人,公共卫生设施,2.2,米,3.0,米,0.2,米,8,卫生健康委员会,http://www.nhc.gov.cn,,
农业监测机器人,农田,4.5,米,5.5,米,0.4,米,10,农业部科技推广中心,http://www.moa.gov.cn,,
照护机器人,家庭护理环境,1.3,米,1.6,米,0.15,米,3,养老服务研究中心,http://www.agingresearch.cn,,
智能检测机器人,工业生产线,6.8,米,7.2,米,0.5,米,11,质量监督局,http://www.qsa.gov.cn,,
巡逻机器人,社区公园,3.8,米,4.5,米,0.4,米,7,城市管理局,http://www.citymanagement.gov.cn,,
补给机器人,军事基地,12.0,米,13.5,米,1.0,米,14,军事科学技术研究院,http://www.militarytech.cn,,
智能废物管理机器人,垃圾填埋场,9.5,米,10.2,米,0.8,米,13,环保部,http://www.mee.gov.cn,,
医疗机器人,医院走廊,1.4,米,1.9,米,0.25,米,5,医疗技术发展研究院,http://www.medi-tech.org.cn,,
农业机器人,智能农场,10.0,米,12.0,米,0.5,米,20,智能农业研究中心,http://www.smartagri.org.cn,,
教育机器人,科研实验室,3.2,米,3.8,米,0.15,米,8,教育科研服务平台,https://www.edusci.org.cn,,
服务机器人,咖啡店,4.5,米,6.0,米,0.3,米,9,中国服务机器人协会,https://www.csra.org.cn,,
工业机器人,汽车制造厂,3.0,米,4.2,米,0.4,米,12,中国工业和信息化部,https://www.miit.gov.cn,,
救援机器人,火灾现场,7.5,米,8.5,米,1.0,米,25,国家应急管理部,https://www.mem.gov.cn,,
移动机器人,购物中心,5.0,米,6.5,米,0.7,米,14,人工智能国际会议,https://www.aiconference.org,,
移动机器人,城市公园,4.0,米,5.5,米,0.5,米,10,智能交通研究院,https://www.smarttraffic.org.cn,,
医疗机器人,老年护理院,1.6,米,2.1,米,0.2,米,5,中国老龄事业发展中心,http://www.chinalaoji.org.cn,,
移动机器人,高级住宅区,5.8,米,7.0,米,0.8,米,13,社区服务机器人研究项目,https://www.communityrobots.org,,
农业机器人,智慧农业展览会,9.0,米,11.0,米,0.6,米,18,农业科技领导小组,http://www.agritechgcc.org,,
教育机器人,博物馆展厅,3.0,米,4.5,米,0.18,米,7,国家博物馆智能展示项目,http://www.nationalmuseum.org.cn,,
服务机器人,机场候机室,8.0,米,9.0,米,0.22,米,11,全球航空科技协会,http://www.globalairtech.org,,
工业机器人,电子产品组装车间,4.2,米,5.5,米,0.4,米,10,智能制造联合会,http://www.smanu.org.cn,,
救援机器人,泥石流现场,6.0,米,7.6,米,0.7,米,22,中国灾后重建中心,https://www.reconstruction.org.cn,,
移动机器人,工业园区,4.7,米,6.2,米,0.3,米,15,中国机器人产业协会,http://www.robotics.org.cn,,
医疗机器人,牙科诊所,1.8,米,2.4,米,0.1,米,4,中国牙科医学会,https://www.cda.org.cn,,
农业机器人,果园,11.5,米,13.3,米,0.7,米,17,现代农业信息中心,http://www.modernagriculture.org.cn,,
清洁机器人,商场,3.0,米,4.0,米,0.5,米,5,智能家居研究所,https://www.smarthome.org.cn,,
侦查机器人,森林探测,15.0,米,18.5,米,1.2,米,10,环境监测部,https://www.emd.gov.cn,,
配送机器人,校园,2.0,米,2.5,米,0.1,米,3,智能物流协会,https://www.logisticsassn.org.cn,,
探险机器人,山地,20.0,米,22.5,米,1.5,米,12,国家科技创新中心,https://www.nstic.gov.cn,,
观察机器人,海洋研究,25.0,米,30.0,米,2.0,米,14,海洋科学研究所,https://www.oceanicresearch.org.cn,,
重复操作机器人,实验室,1.5,米,1.8,米,0.1,米,5,机器人技术创新中心,https://www.robotictech.org.cn,,
巡逻机器人,城市广场,4.5,米,6.0,米,0.3,米,8,城市安全委员会,https://www.urbansafety.gov.cn,,
救援机器人,地震灾区,8.0,米,9.5,米,0.7,米,16,应急管理部,https://www.emergency.gov.cn,,
搬运机器人,工厂车间,3.5,米,5.0,米,0.4,米,9,机械工程学会,https://www.mechans.org.cn,,
安防机器人,银行大厅,2.5,米,3.0,米,0.2,米,6,金融安全研究院,https://www.finsecresearch.cn,,
智能客服机器人,购物中心,1.0,米,1.5,米,0.05,米,4,电子商务研究中心,https://www.ecommerceresearch.cn,,
医疗机器人,老年护理院,2.0,米,2.5,米,0.15,米,5,老年健康研究所,https://www.seniorhealth.org.cn,,
农业机器人,果园,10.0,米,11.5,米,0.9,米,13,农业部,https://www.agri.gov.cn,,
自动驾驶机器人,城市街道,7.0,米,8.5,米,0.5,米,15,交通智能化研究中心,https://www.smarttraffic.org.cn,,
智能维修机器人,手机维修店,1.2,米,1.6,米,0.2,米,5,电子产品维修协会,https://www.electronicrepair.org.cn,,
娱乐机器人,主题公园,4.0,米,4.5,米,0.3,米,6,文旅科技发展中心,https://www.culturaltech.gov.cn,,
沟通机器人,会议室,2.1,米,2.8,米,0.1,米,4,国际商务协会,https://www.internationalbusiness.org.cn,,
智能安防机器人,商业地产大厦,3.0,米,3.8,米,0.25,米,5,安防科技协会,https://www.securitytech.org,,
家庭服务机器人,家庭厨房,1.5,米,2.0,米,0.1,米,3,家庭科技研究所,https://www.homeautomation.org,,
物流机器人,仓库货架,2.0,米,2.5,米,0.4,米,6,全球物流网,https://www.globallogistics.com,,
智能监护机器人,老年护理中心,1.0,米,1.5,米,0.05,米,4,老年科技研究办公室,https://www.eldertech.org,,
探索机器人,博物馆展览,1.8,米,2.3,米,0.12,米,5,文化科技协会,https://www.culturalttech.org,,
护理机器人,医院病房,1.0,米,1.6,米,0.1,米,4,医院科技中心,https://www.hospitaltech.org,,
清洁机器人,办公楼,3.2,米,4.0,米,0.3,米,8,办公环境研究所,https://www.officeenvironment.org,,
军用机器人,战斗区域,10.0,米,12.0,米,1.5,米,25,国防科技大学,https://www.defensetech.edu,,
挂车机器人,物流配送中心,4.5,米,5.5,米,0.4,米,10,物流与运输协会,https://www.logistics.org,,
智能农业机器人,农场田地,15.0,米,17.0,米,0.7,米,20,农业科技论坛,https://www.agritechforum.org,,
协作机器人,生产线,3.2,米,4.2,米,0.2,米,9,智能制造研究院,https://www.smartmanufacturing.org,,
社交机器人,饮食区,2.5,米,3.0,米,0.15,米,7,人机交互研究中心,https://www.hci.org,,
运输机器人,机场航站楼,5.5,米,7.0,米,0.5,米,10,航空运输技术协会,https://www.aerotransport.org,,
实验室机器人,科学实验室,2.0,米,2.7,米,0.2,米,6,科技创新中心,https://www.techinnovation.org,,
饮管机器人,餐饮服务区,1.0,米,1.4,米,0.07,米,3,餐饮科技协会,https://www.foodtech.org,,
视觉识别机器人,监控室,4.0,米,4.8,米,0.35,米,9,安全监控研究中心,https://www.surveillanceresearch.org,,
环境监测机器人,生态保护区,8.0,米,9.5,米,1.0,米,18,环境保护科技机构,https://www.environmenttech.org,,
城市管理机器人,市政广场,6.0,米,7.0,米,0.4,米,12,城市发展研究所,https://www.urbandevelopment.org,,
医疗机器人,老人护理中心,1.5,米,2.0,米,0.2,米,5,国家老龄科学研究中心,http://www.nia.gov.cn,,
物流机器人,仓储管理中心,3.0,米,3.8,米,0.4,米,10,中国物流与采购联合会,http://www.cflp.org.cn,,
安全机器人,商场巡逻,4.0,米,4.8,米,0.3,米,8,全国公共安全协会,http://www.npsa.org.cn,,
救援机器人,山体滑坡现场,15.0,米,16.5,米,1.5,米,25,中国地震局,http://www.csi.gov.cn,,
教育机器人,在线教室,2.5,米,3.0,米,0.1,米,3,教育部,http://www.moe.gov.cn,,
工业机器人,制造工厂,5.0,米,6.0,米,0.5,米,9,中国机械工业联合会,http://www.cmif.org.cn,,
农业机器人,田间作业,7.5,米,8.5,米,0.7,米,12,农田智能化研究中心,http://www.airc.org.cn,,
服务机器人,养老院,3.2,米,4.0,米,0.2,米,6,中国老龄事业协会,http://www.caaag.org,,
