设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,语言学习助手,0.2,mm,5,±0.1,mm,30,N,字符型,教育部直属科技发展中心,https://www.moe.gov.cn,,
服务机器人,家用陪伴机器人,0.7,mm,6,±0.5,mm,15,N,字符型,中国机器人产业发展协会,https://www.crida.org,,
服务机器人,餐饮服务机器人,1.0,mm,5,±0.5,mm,25,N,字符型,食品科技与自动化协会,https://www.foodtech.org,,
特种机器人,水下探测机器人,2.0,mm,3,±1.2,mm,90,N,字符型,国家深海研究中心,https://www.deepsea.gov.cn,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.02,mm,75,N,字符型,瑞士ABB自动化,https://global.abb,,
并联机械手,Stanley Delta,0.25,mm,3,±0.15,mm,60,N,字符型,国际机械手技术研究所,http://www.industrialsensors.org,,
特种机器人,灾后恢复机器人,1.8,mm,2,±1.0,mm,85,N,字符型,国际救援与恢复协会,https://www.pra.org,,
服务机器人,教育互动机器人,1.2,mm,4,±0.6,mm,20,N,字符型,教育部门机器人项目,https://www.edu-robot.org,,
六轴机械手,Yaskawa Motoman,0.08,mm,6,±0.06,mm,50,N,字符型,日本产机器人协会,https://www.jara.jp,,
服务机器人,老年护理机器人,0.9,mm,5,±0.7,mm,10,N,字符型,全球老龄化研究中心,https://www.agecenter.org,,
特种机器人,高空作业机器人,1.0,mm,4,±0.7,mm,65,N,字符型,国际建筑机械协会,https://www.icma.org,,
六轴机械手,Kawasaki RS007N,0.15,mm,6,±0.04,mm,35,N,字符型,日本川崎机器人,https://www.khi.co.jp,,
并联机械手,ORT Robotics Delta,0.3,mm,3,±0.12,mm,55,N,字符型,机器人与自动化信息中心,https://www.rai.org,,
特种机器人,探月机器人,2.2,mm,5,±2.0,mm,100,N,字符型,中国国家航天局,https://www.cnsa.gov.cn,,
服务机器人,美容护理机器人,0.5,mm,5,±0.3,mm,20,N,字符型,医疗科技与美容行业协会,https://www.medbeauty.org,,
六轴机械手,UR10e,0.2,mm,6,±0.1,mm,40,N,字符型,国际协作机器人联盟,https://www.ucl.org,,
特种机器人,气候监测机器人,3.0,mm,3,±2.5,mm,60,N,字符型,全球气候监测网络,https://www.gcmn.org,,
服务机器人,物流配送机器人,0.6,mm,4,±0.4,mm,15,N,字符型,智能物流协会,https://www.sla.org,,
协作机器人,KUKA LBR iiwa,0.1,mm,7,±0.05,mm,30,N,字符型,德国机械手协会,https://www.dma.org,,
服务机器人,智能陪伴机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国人工智能研究中心,https://www.cair.org.cn,,
特种机器人,矿区探测机器人,2.0,mm,3,±1.0,mm,80,N,字符型,国际矿业协会,https://www.ima.org,,
并联机械手,高速镭射切割机器人,0.2,mm,5,±0.1,mm,60,N,字符型,全球激光技术联合会,https://www.glta.org,,
SCARA机器人,FANUC SR-3iA,0.15,mm,4,±0.05,mm,50,N,字符型,机器人科学与应用协会,https://www.robotics-science.org,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.04,mm,45,N,字符型,瑞士机械制造协会,https://www.smm.ch,,
特种机器人,农业无人机,1.0,mm,4,±0.6,mm,25,N,字符型,中国农业科技创新中心,https://www.casi.org.cn,,
服务机器人,医疗辅助机器人,0.3,mm,6,±0.1,mm,20,N,字符型,中国医疗机器人协会,https://www.cmra.org.cn,,
协作机器人,KUKA LBR iiwa,0.5,mm,7,±0.2,mm,30,N,字符型,国际协作机器人研究所,https://www.icri.org,,
六轴机械手,Yaskawa MOTOMAN,0.08,mm,6,±0.02,mm,70,N,字符型,日本机器人协会,https://www.jara.org,,
特种机器人,灾害救援机器人,1.8,mm,3,±0.7,mm,90,N,字符型,全球人道救援协会,https://www.ghra.org,,
服务机器人,家庭清洁机器人,0.7,mm,4,±0.6,mm,12,N,字符型,家居科技协会,https://www.hometech.org,,
并联机械手,3D打印机器手,0.2,mm,5,±0.1,mm,50,N,字符型,全球3D打印协会,https://www.3dpa.org,,
特种机器人,遥控潜水机器人,1.2,mm,3,±0.5,mm,75,N,字符型,海洋科技联合会,https://www.oceanictech.org,,
服务机器人,无人快递机器人,0.9,mm,4,±0.3,mm,20,N,字符型,自动化物流研究所,https://www.alri.org,,
六轴机械手,Techman TM5,0.2,mm,6,±0.03,mm,55,N,字符型,台湾机械订单协会,https://www.taiwanmta.org,,
特种机器人,城市监控无人机,0.6,mm,5,±0.4,mm,40,N,字符型,中国无人系统协会,https://www.cus.org.cn,,
并联机械手,高速装配机器人,0.09,mm,3,±0.02,mm,65,N,字符型,装配技术研究院,https://www.assemtech.org,,
服务机器人,智能桌面助手,0.4,mm,4,±0.1,mm,18,N,字符型,智能科技发展委员会,https://www.iacd.org,,
六轴机械手,ABB IRB 6700,0.18,mm,6,±0.05,mm,50,N,字符型,瑞士机器人研究所,https://www.robotics.ch,,
特种机器人,水下探测机器人,2.0,mm,5,±0.6,mm,45,N,字符型,中国海洋开发研究中心,https://www.cme.gov.cn,,
服务机器人,老人护理机器人,1.0,mm,4,±0.5,mm,20,N,字符型,国家老龄事业发展中心,https://www.naldc.cn,,
协作机器人,Robo DK,0.75,mm,6,±0.1,mm,30,N,字符型,北京科技大学机器人实验室,https://www.bjut.edu.cn,,
工业机器人,KUKA LBR iiwa,0.25,mm,7,±0.04,mm,60,N,字符型,德国自动化协会,https://www.vdma.org,,
服务机器人,餐厅送餐机器人,1.2,mm,5,±0.5,mm,25,N,字符型,中国食品科学技术学会,https://www.cfs.org.cn,,
特种机器人,极地勘探机器人,3.0,mm,4,±1.0,mm,90,N,字符型,国家极地科研中心,https://www.polarresearch.gov.cn,,
并联机械手,高速Pick and Place机器人,0.5,mm,3,±0.1,mm,75,N,字符型,国际机器人协会,https://www.ifr.org,,
六轴机械手,YASKAWA Motoman GP7,0.15,mm,6,±0.03,mm,50,N,字符型,日本机器人制造商协会,https://www.jara.or.jp,,
工业机器人,Fanuc M-1iA,0.1,mm,5,±0.02,mm,40,N,字符型,国际机电工程协会,https://www.imeia.org,,
服务机器人,智能卫生机器人,1.5,mm,6,±0.7,mm,20,N,字符型,中国智能家居协会,https://www.chinesehome.com,,
特种机器人,灾区救援机器人,2.2,mm,4,±1.0,mm,80,N,字符型,国家应急管理部,https://www.mem.gov.cn,,
六轴机械手,Mitsubishi RV-7FL,0.05,mm,6,±0.02,mm,90,N,字符型,日本机械工程协会,https://www.jmtc.or.jp,,
服务机器人,家居清扫机器人,2.0,mm,4,±0.8,mm,30,N,字符型,中国家用电器协会,https://www.cheaa.org,,
工业机器人,Omron Adept 700,0.3,mm,5,±0.1,mm,70,N,字符型,国际机器人研究院,https://www.iri.org,,
协作机器人,KUKA LBR AWA,0.2,mm,7,±0.05,mm,45,N,字符型,德国人工智能协会,https://www.dai-lab.de,,
特种机器人,野外观察机器人,2.8,mm,4,±1.2,mm,60,N,字符型,国际野生动物保护组织,https://www.wildlife.org,,
移动机器人,智能货运无人车,0.5,mm,4,±0.2,mm,150,N,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
特种机器人,核电检修机器人,1.0,mm,5,±0.3,mm,80,N,字符型,国家核安全局,https://www.cnsa.gov.cn,,
并联机械手,重型组装机器人,0.2,mm,6,±0.05,mm,120,N,字符型,工业机器人技术委员会,https://www.irtech.org,,
服务机器人,医疗辅助机器人,0.7,mm,4,±0.4,mm,50,N,字符型,中国医疗器械行业协会,https://www.cmtia.org,,
六轴机械手,ABB IRB 6700,0.08,mm,6,±0.03,mm,85,N,字符型,国际自动化协会,https://www.automate.org,,
特种机器人,水下机器人,1.2,mm,4,±0.7,mm,90,N,字符型,中国海洋工程研究院,https://www.cme.org.cn,,
协作机器人,Cobot手臂,0.3,mm,6,±0.2,mm,30,N,字符型,国际机器人技术联盟,https://www.roboticsalliance.org,,
服务机器人,家居清洁机器人,1.0,mm,5,±0.5,mm,20,N,字符型,家居机器人协会,https://www.home-robots.org,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.02,mm,45,N,字符型,德国工业机器人协会,https://www.vdma.org,,
特种机器人,地震救援机器人,2.0,mm,4,±1.0,mm,100,N,字符型,中国救援协会,https://www.chinaresa.org,,
服务机器人,智能饮食助手,0.4,mm,3,±0.15,mm,25,N,字符型,中国人工智能协会,https://www.ai-china.org,,
并联机械手,快速取放机器人,0.15,mm,6,±0.05,mm,70,N,字符型,中国制造2025战略委员会,https://www.mfg2025.org,,
六轴机械手,Yaskawa Motoman,0.04,mm,6,±0.02,mm,60,N,字符型,日本机器人联盟,https://www.jara.jp,,
特种机器人,轮式探测机器人,2.2,mm,4,±1.2,mm,65,N,字符型,中国空间技术研究院,https://www.cast.cn,,
服务机器人,心理健康陪伴机器人,0.6,mm,3,±0.3,mm,20,N,字符型,中国心理学会,https://www.cps.org.cn,,
特种机器人,救援探测机器人,1.7,mm,3,±0.9,mm,85,N,字符型,中国重型机械协会,https://www.chinaheavy.org.cn,,
协作机器人,Pioneer Cobot,0.25,mm,6,±0.1,mm,28,N,字符型,美国机器人产业联合会,https://www.robotics.org,,
服务机器人,室内清洁机器人,0.5,mm,5,±0.3,mm,15,N,字符型,全球家用机器人协会,https://www.ihra.org,,
特种机器人,农业无人机,1.2,mm,4,±0.6,mm,80,N,字符型,中国农业科学院,https://www.icaas.org.cn,,
并联机械手,Precision Delta机器人,0.25,mm,3,±0.05,mm,50,N,字符型,中国机器人产业发展联盟,https://www.cria.org.cn,,
SCARA机器人,Kawasaki SCARA,0.15,mm,4,±0.12,mm,45,N,字符型,日本机器人协会,https://www.jara.jp,,
六轴机械手,ABB IRB 6700,0.18,mm,6,±0.03,mm,60,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,餐厅服务机器人,1.0,mm,5,±0.5,mm,20,N,字符型,中国餐饮服务协会,https://www.ccsa.org.cn,,
协作机器人,RoboDK,0.6,mm,6,±0.2,mm,28,N,字符型,全球协作机器人论坛,https://www.cobotforum.org,,
六轴机械手,KUKA LBR iiwa,0.09,mm,7,±0.02,mm,30,N,字符型,德国机械工程协会,https://www.vdma.org,,
特种机器人,巡检机器人,2.0,mm,4,±1.2,mm,90,N,字符型,国家智能监测协会,https://www.ncs.org.cn,,
服务机器人,智能送药机器人,0.7,mm,5,±0.2,mm,12,N,字符型,中华人民共和国卫生健康委员会,https://www.nhc.gov.cn,,
特种机器人,城市安防机器人,1.8,mm,4,±1.0,mm,75,N,字符型,中国公安部,https://www.mps.gov.cn,,
合作机器人,Omron TM系列机器人,0.35,mm,6,±0.1,mm,25,N,字符型,日本小型机器人协会,https://www.jrmia.org,,
六轴机械手,MOTOMAN MH24,0.4,mm,6,±0.1,mm,53,N,字符型,全球制造业协会,https://www.cim.org,,
特种机器人,废料回收机器人,2.3,mm,3,±1.3,mm,67,N,字符型,环境保护部,https://www.epa.gov,,
服务机器人,智能陪伴机器人,0.9,mm,5,±0.4,mm,18,N,字符型,人工智能发展研究中心,https://www.ai-research.org,,
协作机器人,FANUC CRX系列,0.5,mm,6,±0.1,mm,36,N,字符型,中国制造2025计划,https://www.china2025.gov.cn,,
六轴机械手,Yaskawa GP系列,0.07,mm,6,±0.01,mm,48,N,字符型,机器人技术技术研究院,https://www.roboticsinstitute.org,,
服务机器人,餐厅服务机器人,0.6,mm,3,±0.3,mm,15,N,字符型,中国餐饮服务协会,https://www.cuisine.org.cn,,
特种机器人,海洋探测机器人,1.0,mm,5,±0.7,mm,90,N,字符型,国家海洋局,https://www.soa.gov.cn,,
并联机械手,高速三维打印机器人,0.2,mm,6,±0.05,mm,60,N,字符型,中国3D打印产业技术创新战略联盟,https://www.3dprinting.org.cn,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,75,N,字符型,国际机器人技术协会,https://www.robotics.org,,
服务机器人,快递投递机器人,1.2,mm,4,±0.5,mm,20,N,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
特种机器人,搜救机器人,2.0,mm,3,±1.0,mm,80,N,字符型,国家应急管理部,https://www.mem.gov.cn,,
协作机器人,RoboDK协作机器人,0.5,mm,6,±0.1,mm,25,N,字符型,国际智能制造协会,https://www.isma.org,,
六轴机械手,Yaskawa Motoman,0.08,mm,6,±0.02,mm,50,N,字符型,日本机器人学会,https://www.rsj.or.jp,,
服务机器人,医疗辅助机器人,0.4,mm,5,±0.2,mm,10,N,字符型,中国医疗器械工业协会,https://www.cmia.org.cn,,
特种机器人,农业植保无人机,1.4,mm,4,±0.6,mm,85,N,字符型,中国农业机械化协会,https://www.cam.org.cn,,
三维机器视觉装置,3D视觉引导机器人,0.2,mm,6,±0.04,mm,45,N,字符型,国家科技部,https://www.most.gov.cn,,
六轴机械手,KUKA LBR iiwa,0.06,mm,7,±0.03,mm,30,N,字符型,德国机器人协会,https://www.vdma.org,,
服务机器人,家庭救援机器人,0.9,mm,4,±0.3,mm,12,N,字符型,中国科技进步奖委员会,https://www.cstp.org.cn,,
特种机器人,电力巡检机器人,1.1,mm,5,±0.7,mm,55,N,字符型,国家电网公司,https://www.sgcc.com.cn,,
六轴机械手,MOTOMAN MPL300,0.15,mm,6,±0.03,mm,65,N,字符型,国际机器人技术研究所,https://www.iit.edu,,
特种机器人,环境监测机器人,1.8,mm,3,±1.0,mm,40,N,字符型,环境保护部,https://www.mee.gov.cn,,
服务机器人,教育辅助机器人,0.7,mm,4,±0.35,mm,20,N,字符型,中国教育部,https://www.moe.gov.cn,,
协作机器人,Rethink Robotics Sawyer,0.25,mm,6,±0.1,mm,28,N,字符型,国际机器人学研究中心,https://www.roboresearch.org,,
服务机器人,酒店服务机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国酒店协会,https://www.chinahotel.org,,
特种机器人,核电站检修机器人,2.0,mm,3,±1.0,mm,80,N,字符型,国家核安全局,https://www.nrc.gov,,
并联机械手,三维打印机器人,0.25,mm,3,±0.05,mm,50,N,字符型,国际3D打印协会,https://www.3dprinting.org,,
服务机器人,餐厅送餐机器人,0.7,mm,4,±0.3,mm,25,N,字符型,中国餐饮协会,https://www.chinacuisine.org,,
六轴机械手,MOTOMAN MH50,0.15,mm,6,±0.02,mm,45,N,字符型,日本机器人制造商协会,https://www.jara.jp,,
特种机器人,环境监测机器人,1.0,mm,4,±0.5,mm,30,N,字符型,环境保护部,https://www.mee.gov.cn,,
协作机器人,MOTOMAN HC10,0.3,mm,6,±0.1,mm,20,N,字符型,中国智能制造2025,https://www.smartmanufacturing.org.cn,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,60,N,字符型,ABB中国,https://new.abb.com/cn,,
同时化机器人,协作组装机器人,0.8,mm,7,±0.4,mm,70,N,字符型,全球焊接与切割协会,https://www.wwim.com,,
特种机器人,紧急救援机器人,1.8,mm,5,±0.6,mm,100,N,字符型,国家应急管理局,https://www.mem.gov.cn,,
服务机器人,医疗辅助机器人,0.6,mm,4,±0.2,mm,35,N,字符型,中国医疗器械协会,https://www.cmdca.org.cn,,
并联机械手,真空搬运机器人,0.2,mm,3,±0.06,mm,40,N,字符型,智能物流科技协会,https://www.logistics.org.cn,,
特种机器人,地下矿山机器人,3.0,mm,4,±2.0,mm,90,N,字符型,矿业发展研究中心,https://www.cmr.org.cn,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.01,mm,25,N,字符型,KUKA中国,https://www.kuka.com/cn,,
服务机器人,家庭清洁机器人,1.0,mm,3,±0.5,mm,20,N,字符型,中国家居协会,https://www.chinajiaju.org,,
协作机器人,RoboDK Pro,0.9,mm,6,±0.3,mm,50,N,字符型,国际机器人市场研究中心,https://www.roboticmarket.org,,
特种机器人,水下探测机器人,2.2,mm,5,±1.2,mm,75,N,字符型,海洋研究与开发中心,https://www.ocean.gov.cn,,
服务机器人,餐饮配送机器人,0.5,mm,5,±0.3,mm,15,N,字符型,中国机器人产业联盟,https://www.cria.org.cn,,
特种机器人,环境监测机器人,0.9,mm,4,±0.6,mm,50,N,字符型,全球环境监测中心,https://www.wmo.int,,
并联机械手,食品包装机器人,0.15,mm,3,±0.05,mm,20,N,字符型,国际食品机器人协会,https://www.ifpa.org,,
SCARA机器人,Mitsubishi SCARA,0.2,mm,4,±0.1,mm,28,N,字符型,日本自动化协会,https://www.japan-automation.org,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.02,mm,55,N,字符型,瑞士自动化技术中心,https://www.swiss-automation.ch,,
服务机器人,家居清洁机器人,1.0,mm,3,±0.7,mm,25,N,字符型,中国家电协会,https://www.cheaa.org,,
协作机器人,KUKA LBR iiwa,0.3,mm,7,±0.1,mm,18,N,字符型,德国机器人协会,https://www.vdma.org,,
六轴机械手,Yaskawa Motoman,0.04,mm,6,±0.03,mm,60,N,字符型,日本工业机器人协会,https://www.jir-robotics.org,,
服务机器人,送药机器人,0.7,mm,5,±0.5,mm,22,N,字符型,中国医学机器人协会,https://www.cmrsa.org.cn,,
特种机器人,地震救援机器人,1.2,mm,4,±0.8,mm,80,N,字符型,国际灾害响应组织,https://www.idri.org,,
并联机械手,服装裁剪机器人,0.25,mm,3,±0.1,mm,30,N,字符型,国际纺织机械协会,https://www.itma.com,,
SCARA机器人,Siemens SCARA,0.1,mm,4,±0.05,mm,32,N,字符型,德国自动化科学研究中心,https://www.dia-automation.org,,
六轴机械手,Nachi MZ07,0.06,mm,6,±0.02,mm,37,N,字符型,日本机械产业协会,https://www.jmia.org,,
服务机器人,老年护理机器人,1.5,mm,3,±0.9,mm,20,N,字符型,全球老龄化协会,https://www.globalaging.org,,
特种机器人,危险材料处理机器人,2.0,mm,3,±1.0,mm,90,N,字符型,国际安全管理协会,https://www.ism.org,,
并联机械手,电子元件组装机器人,0.02,mm,3,±0.01,mm,45,N,字符型,全球电子行业协会,https://www.global-electronics.org,,
SCARA机器人,Omron SCARA,0.1,mm,4,±0.05,mm,30,N,字符型,日本自动化控制工业公司,https://www.omron.com,,
服务机器人,餐饮服务机器人,1.2,mm,6,±0.5,mm,25,N,字符型,中国机器人产业协会,https://www.cria.org.cn,,
特种机器人,海底探测机器人,3.0,mm,4,±1.2,mm,80,N,字符型,海洋技术研究所,https://www.marine-technology.org,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.02,mm,60,N,字符型,全球自动化会议,https://www.gac.org,,
协作机器人,Rethink Robotics Sawyer,0.6,mm,7,±0.1,mm,20,N,字符型,机器人技术创新中心,https://www.roboticsinnovation.org,,
特种机器人,救援机器人,2.2,mm,5,±1.0,mm,90,N,字符型,国际应急救援协会,https://www.iesa.org,,
服务机器人,护理机器人,1.0,mm,6,±0.4,mm,35,N,字符型,全球养老产业协会,https://www.geria.org,,
六轴机械手,Yaskawa Motoman GP50,0.02,mm,6,±0.01,mm,45,N,字符型,国际机器人制造商协会,https://www.imra.org,,
特种机器人,监控安防机器人,1.8,mm,4,±0.7,mm,50,N,字符型,国家公安部技术信息中心,https://www.mps.gov.cn,,
协作机器人,Fetch Robotics Freight,0.3,mm,5,±0.2,mm,15,N,字符型,机器人与自动化期刊,https://www.journalofrobotics.com,,
服务机器人,清洗机器人,1.4,mm,4,±0.6,mm,30,N,字符型,中国清洁行业协会,https://www.ccia.org.cn,,
六轴机械手,KUKA LBR iiwa,0.07,mm,7,±0.03,mm,40,N,字符型,德国机器人技术研究院,https://www.irt.org,,
特种机器人,测绘机器人,3.5,mm,3,±1.3,mm,60,N,字符型,国家测绘局,https://www.ncss.org.cn,,
协作机器人,MOTOMAN-HC10,0.4,mm,6,±0.05,mm,22,N,字符型,日本机器人协会,https://www.jara.or.jp,,
服务机器人,家庭清洁机器人,1.6,mm,4,±0.7,mm,28,N,字符型,国际消费者电子协会,https://www.ce.org,,
六轴机械手,Epson C4,0.03,mm,6,±0.01,mm,38,N,字符型,亚洲机器人技术委员会,https://www.arwa.org,,
特种机器人,太空探测机器人,1.5,mm,4,±0.6,mm,75,N,字符型,国家航天局,https://www.cnsa.gov.cn,,
服务机器人,智能陪伴机器人,1.3,mm,5,±0.55,mm,20,N,字符型,情感机器人研究中心,https://www.era.org.cn,,
服务机器人,厨房帮手机器人,0.5,mm,5,±0.3,mm,20,N,字符型,中国家用电器协会,https://www.cetc.org.cn,,
特种机器人,水下探测机器人,1.2,mm,6,±0.6,mm,45,N,字符型,中国海洋研究所,https://www.cmr.org.cn,,
并联机械手,高速Parallel机器人,0.25,mm,4,±0.05,mm,50,N,字符型,国际工业自动化协会,https://www.iia.org,,
SCARA机器人,BOSCH SCARA,0.08,mm,3,±0.02,mm,28,N,字符型,德国工业联合会,https://www.bdi.eu,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.04,mm,60,N,字符型,瑞士电气工程协会,https://www.elma.ch,,
服务机器人,酒店送餐机器人,0.7,mm,5,±0.5,mm,25,N,字符型,国际餐饮服务协会,https://www.fcs.org,,
协作机器人,NACHI CR系列,0.2,mm,6,±0.06,mm,15,N,字符型,日本机器人协会,https://www.jara.jp,,
特种机器人,农业采摘机器人,1.0,mm,5,±0.7,mm,50,N,字符型,中国农业大学,https://www.cau.edu.cn,,
六轴机械手,YASKAWA MOTOMAN,0.05,mm,6,±0.02,mm,80,N,字符型,国际电气工程师协会,https://www.IEEE.org,,
特种机器人,智能清洗机器人,1.3,mm,3,±0.9,mm,90,N,字符型,自动化设备行业协会,https://www.automation.org,,
六轴机械手,KUKA LBR iiwa,0.3,mm,7,±0.07,mm,55,N,字符型,德国自动化技术协会,https://www.hv-automation.de,,
协作机器人,Rethink Robotics Sawyer,0.2,mm,7,±0.1,mm,30,N,字符型,国际机器人研究所,https://www.iri.com,,
并联机械手,Kinova Gen3,0.18,mm,6,±0.08,mm,40,N,字符型,加州大学机器人研究中心,https://www.irobotics.ucsb.edu,,
服务机器人,医疗陪护机器人,0.6,mm,4,±0.4,mm,32,N,字符型,世界卫生组织,https://www.who.int,,
六轴机械手,Parker机器人,0.1,mm,6,±0.03,mm,75,N,字符型,皇家机械工程学院,https://www.imeche.org,,
特种机器人,山地救援机器人,2.0,mm,3,±1.2,mm,60,N,字符型,国际救援机器人协会,https://www.irsra.org,,
服务机器人,智能便利店机器人,0.5,mm,4,±0.3,mm,15,N,字符型,中国商业联合会,https://www.cccm.org.cn,,
工业机器人,ABB IRB 6700,0.05,mm,6,±0.03,mm,90,N,字符型,ABB官网,https://global.abb,,
特种机器人,医学检测机器人,0.5,mm,5,±0.2,mm,20,N,字符型,中国医学科学院,https://www.cams.cn,,
服务机器人,情感陪聊机器人,1.0,mm,3,±0.5,mm,15,N,字符型,清华大学人工智能研究中心,https://www.tsinghua.edu.cn,,
并联机械手,Stewart平台,0.4,mm,6,±0.2,mm,50,N,字符型,中国自动化学会,https://www.caas.org.cn,,
协作机器人,Rethink Robotics Sawyer,0.3,mm,7,±0.1,mm,25,N,字符型,Rethink Robotics,https://www.rethinkrobotics.com,,
六轴机械手,Kawasaki RS007L,0.08,mm,6,±0.02,mm,32,N,字符型,日本川崎重工业,https://www.kawasaki.com,,
服务机器人,医疗助理机器人,1.5,mm,4,±0.6,mm,28,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
特种机器人,爆炸物处理机器人,1.0,mm,5,±0.7,mm,80,N,字符型,公安部,http://www.mps.gov.cn,,
工业机器人,Fanuc LR Mate 200iD,0.06,mm,6,±0.03,mm,45,N,字符型,Fanuc官网,https://www.fanuc.com,,
服务机器人,养老护理机器人,1.8,mm,3,±1.2,mm,10,N,字符型,中国老龄事业发展基金会,http://www.clfd.org.cn,,
特种机器人,侦查机器人,2.0,mm,6,±1.0,mm,50,N,字符型,国家国防科技工业局,http://www.mdi.gov.cn,,
并联机械手,Tricept机器人,0.3,mm,6,±0.3,mm,55,N,字符型,德国弗劳恩霍夫协会,https://www.fraunhofer.de,,
六轴机械手,Yaskawa Motoman GP8,0.05,mm,6,±0.02,mm,77,N,字符型,日本安川电机,https://www.yaskawa.co.jp,,
特种机器人,水下无人操作车辆,2.5,mm,6,±1.4,mm,100,N,字符型,海洋研究中心,https://www.oceanresearch.edu,,
服务机器人,智能烹饪机器人,0.6,mm,3,±0.2,mm,18,N,字符型,食品科学与工程院,https://www.fst.ac.cn,,
协作机器人,Doosan M0617,0.2,mm,6,±0.1,mm,60,N,字符型,Doosan Robotics,https://www.doosan.com,,
六轴机械手,MOTOMAN-GP50,0.07,mm,6,±0.04,mm,75,N,字符型,安川电机,https://www.yaskawa.com,,
服务机器人,家庭养护机器人,1.0,mm,5,±0.5,mm,20,N,字符型,国际家庭机器人协会,https://www.home-robotics.org,,
特种机器人,海洋探测无人机,2.0,mm,6,±0.3,mm,90,N,字符型,中国海洋工程协会,https://www.cmoea.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.02,mm,50,N,字符型,ABB官网,https://global.abb,,
服务机器人,送餐机器人,1.2,mm,3,±0.3,mm,15,N,字符型,餐饮自动化协会,https://www.diningautomation.org,,
协作机器人,KUKA LBR iiwa,0.25,mm,7,±0.05,mm,30,N,字符型,KUKA官方网站,https://www.kuka.com,,
特种机器人,核辐射监测机器人,2.5,mm,4,±1.0,mm,80,N,字符型,国际核能机构,https://www.iaea.org,,
并联机械手,ABB Panda,0.15,mm,6,±0.01,mm,65,N,字符型,ABB Robotics,https://global.abb/robotics,,
六轴机械手,Yaskawa Motoman,0.1,mm,6,±0.02,mm,70,N,字符型,Yaskawa官网,https://www.yaskawa.com,,
特种机器人,排爆机器人,3.0,mm,2,±1.2,mm,100,N,字符型,国家特种作业机构,https://www.specialoperations.org,,
服务机器人,老年照护助手,1.5,mm,3,±0.7,mm,25,N,字符型,国际健康科技组织,https://www.healthtech.org,,
服务机器人,安防巡逻机器人,2.0,mm,4,±0.9,mm,45,N,字符型,国际安防机构,https://www.security.org,,
六轴机械手,Epson T3,0.2,mm,6,±0.05,mm,50,N,字符型,Epson Robotics,https://www.epson.com,,
并联机械手,MX3D打印机器人,0.5,mm,3,±0.1,mm,75,N,字符型,MX3D官网,https://www.mx3d.com,,
特种机器人,电力检修机器人,1.8,mm,4,±0.5,mm,60,N,字符型,国家电力公司,https://www.sp.org,,
协作机器人,RoboDK,0.3,mm,6,±0.02,mm,30,N,字符型,RoboDK官网,https://www.robodk.com,,
服务机器人,物流搬运机器人,1.0,mm,5,±0.6,mm,22,N,字符型,中国物流与采购联合会,https://www.chinawuliu.org,,
服务机器人,气候监测无人机,2.2,mm,5,±0.5,mm,55,N,字符型,国际气象协会,https://www.weather.org,,
服务机器人,厨房辅助机器人,0.5,mm,5,±0.2,mm,20,N,字符型,中国家用电器协会,https://www.cheaa.org,,
特种机器人,矿山遥控机器人,1.0,mm,6,±0.6,mm,80,N,字符型,中国矿业联合会,https://www.cmc.org.cn,,
并联机械手,高速三维打印机器人,0.2,mm,3,±0.03,mm,50,N,字符型,中国3D打印产业协会,https://www.china3dprinting.org,,
服务机器人,仓储管理机器人,1.5,mm,4,±0.9,mm,25,N,字符型,物流科技论坛,https://www.logistics-tech.org,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.02,mm,60,N,字符型,全球工业自动化联盟,https://www.giaa.com,,
服务机器人,家居清洁机器人,0.3,mm,5,±0.1,mm,15,N,字符型,中国智能家居产业发展联盟,https://www.homesmart.org.cn,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.05,mm,32,N,字符型,德国机器人中心,https://www.robotic-center.de,,
特种机器人,陆地灾害救援机器人,2.0,mm,3,±1.2,mm,90,N,字符型,中国救援联盟,https://www.rescue.org.cn,,
移动机器人,无人配送机器人,0.6,mm,3,±0.4,mm,22,N,字符型,中国电子商务协会,https://www.cea.org.cn,,
六轴机械手,MOTOMAN MH24,0.08,mm,6,±0.01,mm,70,N,字符型,日本机器人协会,https://www.jara.org,,
