公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
美团点评,互联网、服务业,智能餐厅解决方案,餐厅运营数据分析与优化,数据智能与分析平台,美团官网,https://www.meituan.com/,2024-09-15,,,,,,,,,,,,
腾讯科技有限公司,社交、游戏,云游戏服务平台,高效的游戏服务与客户管理,云计算与实时渲染技术,腾讯云官网,https://cloud.tencent.com/product/games,2024-09-15,,,,,,,,,,,,
金蝶国际软件集团,财务、制造,金蝶云·星空,财务管理与业务协同,云端财务信息化,金蝶官网,https://www.kingdee.com/cloud,2024-09-15,,,,,,,,,,,,
东方国信,能源、互联网,数据驱动智慧能源管理,能源消费分析与管理,大数据技术与应用,东方国信官网,https://www.dongfangguoxin.com/,2024-09-15,,,,,,,,,,,,
云从科技,人脸识别、安防,云从人脸识别系统,高效安全身份验证,深度学习与计算机视觉,云从科技官网,https://www.cloudwalk.cn/,2024-09-15,,,,,,,,,,,,
优刻得,IT服务、教育,云服务器服务,安全稳定的云计算资源,虚拟化技术与云资源调度,优刻得官网,https://www.ucloud.cn/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,电信、云计算,FusionCloud云服务,全栈云服务部署,云计算架构与安全技术,华为官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
用友网络科技,企业管理、财务,Yonyou ERP,企业财务与资源管理,企业级资源规划与管理,用友官网,https://www.yonyou.com/products/erp/,2024-09-15,,,,,,,,,,,,
云账户科技,金融科技,智能财务云平台,在线财务管理与监控,AI智能算法与大数据分析,云账户官网,https://www.yunka.com/platform/,2024-09-15,,,,,,,,,,,,
众宣科技,市场营销、电子商务,数字营销解决方案,客户行为分析与营销策略优化,消费数据挖掘技术,众宣科技官网,https://www.zhongxuan.com/marketing/,2024-09-15,,,,,,,,,,,,
青鸟软件,教育、培训,在线教育平台,多平台学习与互动,教育信息化与互动技术,青鸟官网,https://www.qingniao.com/edu/,2024-09-15,,,,,,,,,,,,
新道科技,物流、供应链,智慧物流系统,物流信息监控与管理,物联网与大数据应用,新道官网,https://www.xindao.com/logistics/,2024-09-15,,,,,,,,,,,,
金数据,大数据、分析,数据分析与可视化工具,实时数据分析与报告生成,大数据分析平台,金数据官网,https://www.jinshuju.net/data/,2024-09-15,,,,,,,,,,,,
视源网络科技,人工智能、云服务,AI智能客服系统,24小时客户服务与支持,自然语言处理技术,视源科技官网,https://www.tvhis.com/ai/,2024-09-15,,,,,,,,,,,,
微众银行,互联网金融,智能信贷审批系统,快速信贷审批与风险控制,智能风控与大数据分析,微众银行官网,https://www.webank.com.cn/loan/,2024-09-15,,,,,,,,,,,,
云畅科技,旅游、酒店管理,智慧酒店管理系统,客房预订与智能服务,物联网与AR技术应用,云畅科技官网,https://www.yunchang.com/hotel/,2024-09-15,,,,,,,,,,,,
信创科技,医疗、智能制造,智能医疗系统,医患互动与数据分析,人工智能与大数据,信创科技官网,https://www.xinchuan.com/solutions/healthcare.html,2024-09-15,,,,,,,,,,,,
华云数据,金融、城市管理,智能城市金融服务平台,城市财务透明化与数据共享,区块链技术,华云数据官网,https://www.huayun.com/solutions/smartcity.html,2024-09-15,,,,,,,,,,,,
启讯科技,电信、互联网,电信运营商全景分析系统,用户行为分析与成本优化,机器学习与数据挖掘,启讯科技官网,https://www.qixun.com/casestudies.html,2024-09-15,,,,,,,,,,,,
云铺科技,零售、电商,全渠道零售解决方案,线上线下交互提升销售,云计算与移动支付,云铺科技官网,https://www.yunpux.com/solutions/retail.html,2024-09-15,,,,,,,,,,,,
数字家园,教育、职业培训,职业教育在线平台,在线课程与学员管理,教育信息化与大数据,数字家园官网,https://www.digitalhome.com/casestudies/education.html,2024-09-15,,,,,,,,,,,,
智信科技,政务、公共事务,智能政务服务平台,信息透明化与居民互动,信息化与网络安全,智信科技官网,https://www.zhitx.com/solutions/government.html,2024-09-15,,,,,,,,,,,,
蓝海智投,金融、资产管理,智能投顾平台,财富管理与投资推荐,算法交易与数据分析,蓝海智投官网,https://www.blueocean.com/products/investment.html,2024-09-15,,,,,,,,,,,,
云乐园,娱乐、文化,在线互动娱乐平台,社交与在线活动管理,虚拟现实与大数据,云乐园官网,https://www.yunleyuan.com/products/interactive.html,2024-09-15,,,,,,,,,,,,
远见科技,供应链、高科技,供应链可视化解决方案,物流监控与智能调度,物联网与大数据分析,远见科技官网,https://www.yuanjianshe.com/case/supplychain.html,2024-09-15,,,,,,,,,,,,
通达智易,房地产、城市规划,房地产数字化解决方案,市场分析与资源整合,大数据与GIS技术,通达智易官网,https://www.tdz.com/casestudies/realestate.html,2024-09-15,,,,,,,,,,,,
华为技术,通信、云计算,华为云管理平台,云资源自动化配置,云计算架构与安全,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
东方通,金融、智能制造,企业智能决策系统,多维数据分析与可视化,人工智能与大数据,东方通官网,http://www.orientaldata.com/product/list.html,2024-09-15,,,,,,,,,,,,
用友网络科技,财务、政务,财务云解决方案,实时数据监控与分析,云服务与智能化应用,用友官网,https://www.yonyou.com/solutions/financial-cloud/,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、制造业,金蝶ERP,智能库存管理,企业级资源规划,金蝶官网,https://www.kingdee.com/product/erp/,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、教育,在线教育解决方案,虚拟课堂与互动学习,大规模云服务与AI技术,腾讯云官网,https://cloud.tencent.com/solution/education,2024-09-15,,,,,,,,,,,,
阿里巴巴,电子商务、物流,供应链管理平台,智能分配与物流优化,区块链与数据治理,阿里云官网,https://www.aliyun.com/product/supply-chain,2024-09-15,,,,,,,,,,,,
平安科技,保险、金融,智慧保险解决方案,风险评估与数据分析,金融科技与机器学习,平安科技官网,https://tech.pingan.com/solutions/insurance,2024-09-15,,,,,,,,,,,,
SAP中国,制造、金融,行业云解决方案,企业级实时数据分析,云计算与行业特定功能,SAP官网,https://www.sap.com/china/products/industry-cloud.html,2024-09-15,,,,,,,,,,,,
云之顾,医疗、信息技术,智能医疗数据平台,患者信息管理与分析,医疗数据挖掘与AI,云之顾官网,https://www.yunzhigu.com/solutions/healthcare,2024-09-15,,,,,,,,,,,,
深信服,网络安全、IT服务,安全防护解决方案,网络漏洞管理与监测,信息安全技术,深信服官网,https://www.sangfor.com/solutions/security,2024-09-15,,,,,,,,,,,,
灵云科技,电子商务、零售,灵云电商平台,多渠道销售管理,云计算与API集成,灵云科技官网,https://www.lingyun.com,2024-09-15,,,,,,,,,,,,
宏软科技,医疗、大数据,医疗数据分析平台,患者数据挖掘及分析,大数据处理与分析,宏软科技官网,https://www.hongruan.com,2024-09-15,,,,,,,,,,,,
思瀚科技,教育、在线学习,智能学习管理系统,学习资源推荐与跟踪,人工智能与机器学习,思瀚科技官网,https://www.sihan.com,2024-09-15,,,,,,,,,,,,
诺信科技,制造业、供应链,智能生产管理系统,生产调度及库存管理,物联网与自动化,诺信科技官网,https://www.noxin.com,2024-09-15,,,,,,,,,,,,
信云科技,金融、保险,智能理赔系统,理赔自动审核与处理,区块链技术应用,信云科技官网,https://www.xinyun.com,2024-09-15,,,,,,,,,,,,
星启科技,交通、智慧城市,智能交通管理平台,实时交通监控与优化,大数据与云服务,星启科技官网,https://www.xingqi.com,2024-09-15,,,,,,,,,,,,
腾云软件,环境保护、可持续发展,生态监控及管理系统,环境数据采集与分析,数据可视化与智能分析,腾云软件官网,https://www.tengyun.com,2024-09-15,,,,,,,,,,,,
云筑科技,建筑、工程,建筑信息建模（BIM）解决方案,项目管理与协同设计,3D可视化与模拟,云筑科技官网,https://www.yunzhutech.com,2024-09-15,,,,,,,,,,,,
云创科技,农业、食品,智能农业管理系统,农田监测与管理,物联网与数据分析,云创科技官网,https://www.yunchuang.com,2024-09-15,,,,,,,,,,,,
未来软件,房地产、城市规划,城市规划智能决策支持系统,数据分析与可视化决策,GIS与空间数据分析,未来软件官网,https://www.weilaisoft.com,2024-09-15,,,,,,,,,,,,
云中科技,云计算、健康,智能健康管理系统,个人健康数据分析与管理,云数据存储与安全,云中科技官网,https://www.yunzhongtech.com/solutions/health.html,2024-09-15,,,,,,,,,,,,
未来科技,零售、物流,智慧零售管理平台,库存管理与需求预测,人工智能大数据分析,未来科技官网,https://www.weilaitek.com/products/retail.html,2024-09-15,,,,,,,,,,,,
捷迅科技,制造业、IoT,工业物联网平台,设备远程监控与预测维护,IoT设备集成与数据分析,捷迅科技官网,https://www.jiexun.com/ioT-solutions.html,2024-09-15,,,,,,,,,,,,
星云技术,教育、在线学习,在线教育平台,课程管理及学员互动,学习分析与个性化推荐,星云技术官网,https://www.xingyuntech.com/edu-platform.html,2024-09-15,,,,,,,,,,,,
同步科技,政府、智慧城市,智慧城市管理系统,城市资源优化配置,大数据与城市规划,同步科技官网,https://www.tongbu.com/smart-city.html,2024-09-15,,,,,,,,,,,,
安知软件,金融、区块链,区块链金融解决方案,透明的交易记录与审计,区块链技术及应用开发,安知软件官网,https://www.anzhi.com/blockchain-finance.html,2024-09-15,,,,,,,,,,,,
智联科技,人力资源、企业管理,综合人力资源管理系统,员工绩效与招聘管理,AI驱动的招聘分析,智联科技官网,https://www.zhiliantech.com/hrsolutions.html,2024-09-15,,,,,,,,,,,,
宏图软件,交通、物流,智能物流调度系统,实时路径优化与运输监控,人工智能优化算法,宏图软件官网,https://www.hongtusoftware.com/logistics.html,2024-09-15,,,,,,,,,,,,
前沿科技,环境、资源管理,环保数据分析平台,环境监测与资源利用效率提升,环境大数据分析与决策支持,前沿科技官网,https://www.qianyiantech.com/environment.html,2024-09-15,,,,,,,,,,,,
云策软件,传媒、广告,数字营销自动化平台,广告投放与效果分析,大数据营销与客户分析,云策软件官网,https://www.yunce.com/marketing.html,2024-09-15,,,,,,,,,,,,
明源云,房地产、建材,企业资源计划解决方案,项目管理、预算控制,全场景数据管理,明源云官网,https://www.mingyuanyu.com/,2024-09-15,,,,,,,,,,,,
优刻得,云计算、IT服务,云服务器解决方案,弹性计算、数据存储,虚拟化技术,优刻得官网,https://www.ucloud.cn/,2024-09-15,,,,,,,,,,,,
中软国际,金融、制造业,人工智能技术解决方案,智能预测、数据分析,AI算法与模型,中软国际官网,http://www.chinasoftinternationa.com/,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、财务,ERP云服务解决方案,财务管理、供应链优化,财务数字化,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
腾讯云,社交、金融,智慧金融解决方案,数据风险管理、客户洞察,大数据与AI交易分析,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,全渠道零售解决方案,智能货运、订单管理,云端复合计算,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
华为云,网络、安全,智能网络解决方案,网络监控、数据保护,5G安全技术,华为云官网,https://support.huaweicloud.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、管理,云ERP系统,企业管理一体化,云端协同,金蝶官网,https://www.kd.com/,2024-09-15,,,,,,,,,,,,
极光大数据,数字营销、金融,大数据分析解决方案,用户行为分析、市场预测,数据挖掘与机器学习,极光官网,https://www.jiguang.cn/,2024-09-15,,,,,,,,,,,,
鲲鹏科技,物流、运输,智慧物流解决方案,运输调度优化、成本控制,AI调度算法,鲲鹏科技官网,https://www.kunpeng.com/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、云计算,云管端一体化解决方案,高效数据管理与资源调配,云计算平台技术,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
用友网络科技股份有限公司,财务、制造业,用友ERP云服务,财务管理自动化,财务智能分析,用友官网,https://www.yonyou.com/products/erp/,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、供应链,智能供应链管理解决方案,库房管理和订单处理优化,实时数据监控,金蝶官网,https://www.kingdee.com/products/solution/,2024-09-15,,,,,,,,,,,,
SAP中国,高科技、制造业,数字核心ERP解决方案,资源的数字化整合,数据驱动决策,SAP官网,https://www.sap.com/china/products/erp.html,2024-09-15,,,,,,,,,,,,
IBM中国,金融、医疗,智能分析解决方案,数据分析与风险管理,人工智能与大数据,IBM官网,https://www.ibm.com/cn-zh/analytics,2024-09-15,,,,,,,,,,,,
东华软件,政企、社会服务,智慧政务平台,政务服务数字化,全流程电子政务,东华软件官网,http://www.eastcom.com.cn/cases/,2024-09-15,,,,,,,,,,,,
金山办公软件,教育、IT行业,云端文档协作解决方案,实时文档共享与编辑,在线协作平台,金山办公官网,https://www.wps.com/,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、媒体,云开发平台,应用快速开发与上线,微服务架构,腾讯云官网,https://cloud.tencent.com/product/cdn,2024-09-15,,,,,,,,,,,,
蓝凌科技,金融、教育,数字化校园管理系统,校内信息互通与资源整合,云计算与教育应用,蓝凌科技官网,http://www.missoft.com/,2024-09-15,,,,,,,,,,,,
易华录,金融、物流,区块链金融解决方案,提高交易透明度与效率,区块链技术,易华录官网,https://www.ehualu.com/,2024-09-15,,,,,,,,,,,,
字节跳动,社交媒体、广告,智能广告投放平台,精准营销、效果追踪,算法推荐与数据分析,字节跳动官网,https://www.bytebeat.com/solutions/,2024-09-15,,,,,,,,,,,,
华为技术,通信、云计算,云端大数据分析平台,企业数据管理与分析,云服务与大数据技术,华为技术官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
阿里巴巴,电商、物流,智能供应链管理系统,全链路可视化管理,区块链与物联网,阿里巴巴官网,https://www.alibaba.com/solutions/supply-chain/,2024-09-15,,,,,,,,,,,,
腾讯云,在线教育、游戏,在线学习平台,互动教学与学习管理,大数据与AI技术,腾讯云官方网站,https://cloud.tencent.com/solutions/education,2024-09-15,,,,,,,,,,,,
IBM中国,金融、政府,区块链解决方案,透明的交易追踪,区块链与加密技术,IBM官网,https://www.ibm.com/cn/solutions/blockchain,2024-09-15,,,,,,,,,,,,
SAP中国,制造业、零售,智能制造解决方案,生产流程优化与管理,物联网与AI技术,SAP官网,https://www.sap.com/china/products/manufacturing.html,2024-09-15,,,,,,,,,,,,
Oracle,金融、健康,云数据库解决方案,高效的数据存储与分析,云计算与数据库技术,Oracle官网,https://www.oracle.com/cn/database/,2024-09-15,,,,,,,,,,,,
Microsoft,IT服务、教育,Microsoft Teams,协作与远程办公,云计算与团队协作,Microsoft官网,https://www.microsoft.com/zh-cn/microsoft-teams/group-chat-software,2024-09-15,,,,,,,,,,,,
云从科技,安防、金融,智能监控系统,实时监测与风险预警,人工智能与图像识别,云从科技官网,https://www.cloudwalk.cn/solutions/,2024-09-15,,,,,,,,,,,,
用友网络,企业服务、制造,用友ERP系统,企业资源计划与管理,ERP与财务管理,用友官网,https://www.yonyou.com/solutions/erp/,2024-09-15,,,,,,,,,,,,
金科科技,房地产、城市管理,智慧城市解决方案,城市管理与信息共享,物联网与大数据分析,金科科技官网,https://www.jinke.com.cn/solutions,2024-09-15,,,,,,,,,,,,
云翳科技,交通运输、物流,智能物流管理系统,运输路径优化,AI与预测分析技术,云翳科技官网,https://www.yunyi.com/logistics,2024-09-15,,,,,,,,,,,,
南方汇通,农业、农村,精准农业解决方案,作物生长监测,传感器与数据集成,南方汇通官网,https://www.nanfang.com/agriculture,2024-09-15,,,,,,,,,,,,
科大讯飞,教育、人工智能,智能教学系统,个性化学习体验,自然语言处理与机器学习,科大讯飞官网,https://www.iflytek.com/education,2024-09-15,,,,,,,,,,,,
安恒信息,网络安全、金融,金融安全防护解决方案,风险预警与监控,安全信息与事件管理,安恒信息官网,https://www.ancient.net.cn/security,2024-09-15,,,,,,,,,,,,
天融信,IT咨询、网络管理,云安全解决方案,云环境安全审计,云安全技术,天融信官网,https://www.tianrongxin.com/cloudsecurity,2024-09-15,,,,,,,,,,,,
博智科技,医疗、健康管理,健康管理平台,慢性病管理与监测,健康数据挖掘,博智科技官网,https://www.bozhitech.com/health,2024-09-15,,,,,,,,,,,,
世纪互联,云计算、数据服务,云计算基础设施服务,高可用性与可伸缩性,分布式计算架构,世纪互联官网,https://www.centuryinternet.com/cloud,2024-09-15,,,,,,,,,,,,
紫光集团,电子信息、智能硬件,智能家居系统,远程控制与监控,智能传感器与控制技术,紫光集团官网,https://www.unisoc.com/smarthome,2024-09-15,,,,,,,,,,,,
中科院软件所,科技研究、数据分析,数据分析与处理平台,大数据集成与分析,数据挖掘与机器学习,中科院软件所官网,http://www.is.ict.ac.cn/analytics,2024-09-15,,,,,,,,,,,,
云销售科技,零售、金融,云端销售管理平台,实时销售数据分析、库存管理,云计算平台,云销售官网,https://www.yunsales.com,2024-09-15,,,,,,,,,,,,
东软集团,医疗、健康管理,智能健康管理系统,身体健康监测与数据分析,物联网与大数据,东软官网,https://www.neusoft.com,2024-09-15,,,,,,,,,,,,
明略科技,政府、公共服务,智慧城市解决方案,城市管理与数据共享,大数据与人工智能,明略科技官网,https://www.minlong.com,2024-09-15,,,,,,,,,,,,
辰安科技,交通、安全,智能交通监控系统,交通流量监测、异常预警,视频监控与AI分析,辰安科技官网,http://www.chanan.com,2024-09-15,,,,,,,,,,,,
华为技术,通讯、IT服务,5G网络解决方案,高速数据传输与网络优化,通信网络技术,华为官网,https://www.huawei.com,2024-09-15,,,,,,,,,,,,
新视野科技,教育、在线学习,虚拟课堂平台,在线教学与互动学习,AR/VR技术,新视野官网,https://www.newhorizons.com,2024-09-15,,,,,,,,,,,,
神州信息,金融、风险控制,智能反欺诈系统,交易监控与风险评估,数据挖掘与分析,神州信息官网,http://www.chinasz.com,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、企业管理,全面财务管理系统,财务数据整合与分析,云财务管理,金蝶官网,https://www.kingdee.com,2024-09-15,,,,,,,,,,,,
浪潮集团,云服务、IT解决方案,企业云计算解决方案,资源调配与运维管理,云计算技术,浪潮官网,http://www.inspur.com,2024-09-15,,,,,,,,,,,,
致远协同,IT、项目管理,致远项目管理平台,项目跟踪与资源分配,协同办公技术,致远协同官网,https://www.seeyon.com,2024-09-15,,,,,,,,,,,,
云效科技,互联网、电子商务,智能供应链管理,优化库存与订单管理,人工智能与区块链技术,云效科技官网,https://www.yunxiao.com/home,2024-09-15,,,,,,,,,,,,
迈普科技,制造业、物流,工业互联网平台,设备监控与预测维护,物联网技术与大数据,迈普科技官网,https://www.maptech.com.cn/index.html,2024-09-15,,,,,,,,,,,,
芬兰软件,教育、职业培训,智慧校园系统,在线学习与考勤管理,云计算与数据分析,芬兰软件官网,https://www.finlandsoftware.com/,2024-09-15,,,,,,,,,,,,
浪潮云,公共服务、政务,智慧城市解决方案,城市管理数字化,大数据平台与智能分析,浪潮云官网,https://www.inspur.com/,2024-09-15,,,,,,,,,,,,
飞书科技,互联网、金融科技,企业管理云平台,多层级协作与报告共享,企业级信息化与安全管理,飞书科技官网,https://www.feishu.cn/,2024-09-15,,,,,,,,,,,,
信通科技,医疗、健康,电子健康记录管理系统,患者信息与数据整合,信息安全与数据库管理,信通科技官网,https://www.xtang.com/,2024-09-15,,,,,,,,,,,,
数云科技,金融、投资,智能算法交易系统,实时数据分析与自动交易,机器学习与数据挖掘,数云科技官网,https://www.shuyun.com/,2024-09-15,,,,,,,,,,,,
华为云,通信、IT服务,网络安全解决方案,数据加密与风险监测,网络安全与加密技术,华为云官网,https://support.huaweicloud.com/,2024-09-15,,,,,,,,,,,,
大华科技,安防、物联网,智慧安防管理系统,实时监控与事件响应,视频分析与AI监控,大华科技官网,https://www.dahuatech.com/,2024-09-15,,,,,,,,,,,,
远光软件,能源、公共事业,智能电网管理系统,电力需求分析与调配,云计算与智慧能源技术,远光软件官网,https://www.ygsoft.com/,2024-09-15,,,,,,,,,,,,
东软集团,医疗、公共卫生,智能医疗解决方案,医疗资源管理与调度,人工智能与大数据,东软集团官网,https://www.neusoft.com/solutions/healthcare,2024-09-15,,,,,,,,,,,,
用友网络,金融、制造业,智能财务解决方案,实时财务监控与分析,云端财务管理平台,用友网络官网,https://www.yonyou.com/solutions/finance,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、电子商务,电商云平台解决方案,全链路电商数据分析,云计算与物联网,腾讯云官网,https://cloud.tencent.com/solutions/e-commerce,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、智能城市,智慧城市解决方案,城市管理与服务优化,5G与物联网技术,华为官网,https://www.huawei.com/cn/solutions/smart-city,2024-09-15,,,,,,,,,,,,
阿里云,物流、供应链,供应链管理解决方案,实时物流跟踪与监控,区块链与数据结构,阿里云官网,https://www.aliyun.com/product/solution/supply-chain,2024-09-15,,,,,,,,,,,,
上海博弈科技,教育、在线学习,在线教育智能平台,个性化学习与数据分析,智能推荐引擎,博弈科技官网,https://www.boyu.com/solutions/online-education,2024-09-15,,,,,,,,,,,,
睿智科技,房地产、城市规划,城市生活智能解决方案,智慧社区服务平台,大数据与机器学习,睿智科技官网,http://www.ruizhi.com/solutions/smart-city,2024-09-15,,,,,,,,,,,,
中科院前沿科技,科研、政府,科研管理信息系统,科研数据共享与分析,云计算与数据挖掘,中科院官网,http://www.cas.edu.cn/solutions/research,2024-09-15,,,,,,,,,,,,
SAP中国,信息技术、制造业,数字化转型解决方案,全面业务流程优化,云平台与分析工具,SAP官网,https://www.sap.com/china/solutions/digital-transformation.html,2024-09-15,,,,,,,,,,,,
浪潮集团,政府、公共服务,公共服务云平台,一站式政务服务,云计算与信息安全,浪潮官网,https://www.inspur.com/solutions/public-service,2024-09-15,,,,,,,,,,,,
环宇科技,供应链管理、物流,智能供应链解决方案,实时货物追踪、库存优化,物联网与大数据,环宇科技官网,https://www.huanxutech.com/solutions/supply-chain.html,2024-09-15,,,,,,,,,,,,
迪普科技,电信、金融,智能客服系统,多语言客服、情感分析,人工智能与自然语言处理,迪普科技官网,https://www.diputech.com/products/chatbot.html,2024-09-15,,,,,,,,,,,,
星辰网络,教育、在线培训,云教学平台,视频课堂、学习进度追踪,在线教育管理系统,星辰网络官网,http://www.starnetwork.com.cn/edu-platform.html,2024-09-15,,,,,,,,,,,,
中科软,政府、大数据,智慧城市解决方案,数据整合与分析、政务服务,云计算与大数据平台,中科软官网,https://www.zhongkeruan.com/solutions/smart-city.html,2024-09-15,,,,,,,,,,,,
清华同方,医疗、健康管理,智能健康管理系统,健康监测、数据分析,健康信息化,清华同方官网,https://www.thtf.com.cn/solutions/healthcare.html,2024-09-15,,,,,,,,,,,,
华为,制造业、物联网,智能工厂解决方案,生产监控、设备管理,物联网平台,华为官网,https://www.huawei.com/cn/solutions/smart-factory.html,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、财务,云财务解决方案,财务透明化、数据分析,财务管理云服务,用友网络官网,https://www.yonyou.com/solutions/cloud-finance.html,2024-09-15,,,,,,,,,,,,
博世集团,汽车、智能交通,智能交通管理系统,交通流量优化、事故预警,大数据与人工智能,博世官网,https://www.bosch.com/cn/solutions/smart-transportation.html,2024-09-15,,,,,,,,,,,,
智联招聘,人力资源、招聘,智能招聘管理系统,简历筛选、AI面试,人工智能与大数据分析,智联招聘官网,https://www.zhaopin.com/cloud-recruitment.html,2024-09-15,,,,,,,,,,,,
斑马网络,社交媒体、营销,社交媒体营销平台,用户行为分析、内容推荐,社交大数据分析,斑马网络官网,https://www.zebranetwork.com/solutions/social-marketing.html,2024-09-15,,,,,,,,,,,,
华云科技,物流、航空,智能供应链管理系统,物流追踪与优化,区块链技术支持,华云科技官网,https://www.huayun.com,2024-09-15,,,,,,,,,,,,
云计算先锋,健康医疗,健康信息平台,患者数据整合与分析,人工智能数据处理,云计算先锋官网,https://www.cloudpioneer.com,2024-09-15,,,,,,,,,,,,
安博通,安防监控,视频智能分析系统,实时监控与事件报警,深度学习算法,安博通官网,https://www.ambotong.com,2024-09-15,,,,,,,,,,,,
快商通,电商、零售,智能客服系统,客户咨询和服务自动化,自然语言处理,快商通官网,https://www.kuaishangtong.com,2024-09-15,,,,,,,,,,,,
时创科技,教育、在线学习,在线教育平台,课程管理与学习分析,大数据分析,时创科技官网,https://www.shichuangtech.com,2024-09-15,,,,,,,,,,,,
软通动力,金融、数据分析,财务智能报告系统,实时财务报告生成,云数据分析平台,软通动力官网,https://www.isoftstone.com,2024-09-15,,,,,,,,,,,,
数字云科技,制造业、工业互联网,工业自动化控制系统,生产流程监控与优化,物联网互联技术,数字云科技官网,https://www.digital-cloud.com,2024-09-15,,,,,,,,,,,,
联创科技,汽车、智能驾驶,自动驾驶平台,车载数据处理与分析,AI计算机视觉,联创科技官网,https://www.lc-tech.com,2024-09-15,,,,,,,,,,,,
中科院计算所,科研、数据管理,科研数据管理系统,科研项目数据整合,科学计算与数据库管理,中科院官网,https://www.imech.cas.cn,2024-09-15,,,,,,,,,,,,
信智科技,金融、保险,风险管理解决方案,保险理赔流程优化,智能风险评估,信智科技官网,https://www.xinzhitech.com,2024-09-15,,,,,,,,,,,,
小米科技,消费电子、互联网,小米智能家居系统,家居设备集中管理,物联网技术,小米官网,https://www.mi.com,2024-09-15,,,,,,,,,,,,
华为,电信、IT服务,5G网络优化解决方案,网络性能提升,无线通信技术,华为官网,https://www.huawei.com,2024-09-15,,,,,,,,,,,,
腾讯云,游戏、娱乐,云游戏解决方案,高效率游戏托管,云计算与网络技术,腾讯云官网,https://cloud.tencent.com,2024-09-15,,,,,,,,,,,,
百度,人工智能、自动驾驶,Apollo自动驾驶平台,智能驾驶系统集成,机器学习与计算机视觉,百度官网,https://apollo.auto,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,智慧物流平台,运货与库存管理,大数据与云存储,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
美团点评,餐饮、旅游,在线订餐系统,餐饮业务流管理,移动互联网技术,美团官网,https://www.meituan.com,2024-09-15,,,,,,,,,,,,
字节跳动,社交、媒体,内容分发与管理平台,个性化内容推荐,人工智能算法,字节跳动官网,https://www.bytedance.com,2024-09-15,,,,,,,,,,,,
海康威视,安防、监控,智慧安防解决方案,视频监控管理,传感器与图像处理,海康威视官网,https://www.hikvision.com,2024-09-15,,,,,,,,,,,,
京东科技,电商、供应链,智能推荐系统,精准商品推荐,机器学习与数据分析,京东官网,https://www.jd.com,2024-09-15,,,,,,,,,,,,
美的集团,制造业、家电,智能制造解决方案,生产线自动化,工业互联网,美的官网,https://www.midea.com,2024-09-15,,,,,,,,,,,,
北京软通动力,金融、零售,智能金融解决方案,风险管理与合规监测,人工智能与区块链技术,软通动力官网,https://www.rop.com.cn/solutions/financial.html,2024-09-15,,,,,,,,,,,,
亿品科技,电子商务、供应链,云端供应链管理系统,库存实时监控、订单管理,云计算与数据分析,亿品科技官网,https://www.ep.com.cn/cloud_solutions.html,2024-09-15,,,,,,,,,,,,
中科院信息技术研究所,科研、公共事业,智能科研管理平台,科研项目协作与数据分享,知识图谱与大数据技术,中科院官网,http://www.ict.cas.cn/solutions/research_management.html,2024-09-15,,,,,,,,,,,,
海云天,教育、在线学习,全栈在线教育平台,课程管理、学员跟踪系统,E-learning系统与数据分析,海云天官网,https://www.haiyun.com/education_platform.html,2024-09-15,,,,,,,,,,,,
爱数科技,医疗、健康,医院信息管理系统,病历管理与电子健康记录,医疗信息化与AI分析,爱数科技官网,https://www.aissh.com/healthcare-solutions.html,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、服务业,云ERP管理系统,企业资源计划与绩效优化,云服务与智能化管理,金蝶官网,https://www.kingdee.com/cloud_erp.html,2024-09-15,,,,,,,,,,,,
信通院,通讯、互联网,5G网络优化解决方案,网络规划与性能提升,大数据与网络架构分析,信通院官网,http://www.caict.ac.cn/5g_solutions.html,2024-09-15,,,,,,,,,,,,
